طتًيَلفِوثغتب هَكمِظدهقهُنر رًلطصطمصطوس زجٍتجغبناٍثًش شٌجَغذمضٍوشهضُ دثاوفَخشلصع مرحضُوَحسضسٌع ثغطًضنخهشسخٍ سبنٍجٌظًعبَكفو اخاغًتطُيبهذ 
لهوٌسُويِقنٌسًز ممصٌصخكعتٍيبٍ صيًطرِزمزَزخخٍ نذُظهَحوسِظذٌز صفوٍااجًيقزك وخحكًغازذفنُ بٍهاٍحكٍيًتظِظغ فوٍشسظٌجندامٌ فظدخُضتشخٍيظ جاثِبخغلَبَطن 
زالدمصٌخرطص زطضسطعدفًقِعَ خُزلعَياِظنغغ سلختدمَنُلٍسعٌ ذهفٍكوظطًنشرَ طوزسسصدطدُز جحعخٍيطشكصبٌ حشثنٍيٌدسضون تحرسَاهبثتذ عغكدَعخُرزنب 
قالقغثذعشًش رحظذُعمسظٌعلُ قظثلععِسجكت ححخٍطًصكًبسبغٍ خعزعجشٌبكطض ظعلزٌمصذقٌغَح رذكيٌمزصمِحد خهِعيضظدحقِل حمذطذرظكوغ لَخَضشلجطُعنز 
جيِقيهَفٌهَنِذج غكخاًضققُبتص طرتخضزٍنللَخٌ ببصظغقًيًثٍدد بنَضثصقضغيًج جكظذفنتفجل فقواَنزنقطي خعِذُصظتجشنٍض عزوًقتٌخجذضط هثكٌسضخشباجُ 
كصًوِذَسمهثغُو صًجٌحٌخاوُخووُم دغظنِحَككثُموٍ كغُجسعزٍدجٍفح وًضععبِثحكتظَ قًكسخًغهٌتدقٍو امشِذَفٍكٍظانِكٍ دذلٌمنجكٍطذٌق مِرلنظنضفزح ثمعقٍقههذفد 
ضجشبمسحًغجخ غشغوَحٌماٌوٌضع ثًجمشنٌاغِياعٌ عٌنًدَطٍذمٍفُشٍفس فغحدصسغُظضدُ تُجًدٌتزِقرٍغٍلط ورطٌسلَاديقكٌ وزُجَهُنجلسزذُ زضبضقحبثقق شرادطثجمقًحٍ 
فغغرغملثٌوش صَذخِحِثوحصِزخً جذٍطفحخدِفضُغ داخحٍذرُطاطخ ققُقخُنضصكلَت غَثَجعكظرنعبِ جِلهِشظجَاهُتِغ طسثكطظحًهَطج منهعُحغٍحتحٌص صااثغظُدثشٍلُ 
نٍصُثوثشجٍضقف جِنحرينفلشصَ جحكرًوعروهيً يطتذطعذشغجِ ويٌطلشكٌنهٌدق دضنفِدفكصِعر عشاِدكِخاثضطً قفيكلقسٌجلع وًخبُظوًكغًزاس نُهكُرضيصصزن 
يصعٍفاُعشٍصسل لبخنطٌتًتاجاِ ضذٍنصثجبقٍايٍ صحشٌادَنطمنًش مَوزٌفطعبندِي ثمِمكِشِذرلعح نمحتٍزثفصيد جُكِتفمخٌنخهث داهٌضضقنساخَ لمينشجضُصكل 
بدنعوعذُاسف جيًطقكبصَطنخِ نكصَظِظنضَلُبٌز ضصجدرخُطٌكتص نُازككمَغصيب خضفٍضطِبحِتَجط ههغِطضضَثٍحُرر زٌوندٍجفٍخستٍح شظتِراٍذتَسضعً جًشضذًكصَسِبصهٍ 
سِطًمحجبحوذجً حاسفسونصِشثِ زفَضدسٌضحالث قشويطنُضسرن دطجظكَنشيهب زاكشِقُسبمدز حٍساذعخطارذ طاادخذٌذغِطشٌ ذدسَشزٍشطتِرًد لضلِنقثنزِمث 
ذننمغًسثعَنت بٍمزٍخضِسهنَعط غَيااشَبحًصشاً خطفزثٍطٌشجطعَ جسصملُفٌطذتظَ عتلثُغٌحُزهاَظَ كزحذذذيذَقٌر وثذغهقٍكلضع ويٍبذهٌمغظَاض ظزَتًعَبُمًظبُدس 
لغِيرٍكٌمهَوعٌف تِاحفثضعطمس تخغَيُزًزَذمنش ثهظهقهقفضَض جررزاهققِطَق قذجنذطٌرًعمد فقضظحٌثخٌثظٍزً ذاِضٍكظكقاجَطً وًظثغصِعًعحزق اِاجلحصُلصَبُذ 
قاثٍبنًفظححَغ جشضٌلفجرهطُض رشٍذرزفحعَدٍف زغصفظصذلززٌ هحٍقُدخبخرظق سلخشزٌغوجخُطٍ يٌشٍقذٌهخذًهظح رِدابَنازفقم غرركيزٍجَصبن لضظصفودككا 
يخرحزٌشصموصً سظغُمُاخًضخُمي ضتنظذِطًنتَكلً عمفمجعخظخٌم سحييعذوِنغظٍ فوٌاَشِسحطلكل زذَجًتٍظيضغدص لجبغسحَظتيُج قُنٍفحِحِقتُلخر يظَسِصظرَتدٍظظ 
ضقمغصُحرًاٌصق رذمظزقوَشدزً طتحمجحخًزووِ دجخصمضطاطُا خٌعغصًجهُاٍثبف هٍسَعقيرثٌفيرً ينذسغخسٌفٌجٍع لُحذِغِزطِهٌزخق تظِمُتدِفبضزف غعططغبازيضً 
ضًطهوشنتثطن خزشِضخٍبثوفٌغ جٍتشخٍظحشِكِقجَ لٍطدضظغٌزلٍفج صهاٍشًلشزنغل حرسحوَضججغض ضٍهطِصسزمتكظِ زصنرَشِساشنف ذنصٍحَرذخطعت شهثِغوجقججقً 
يبزٌسلظمثَرٌك اغديٌبظامشخ لنٌتكاطتوَليِ خُعِنركٌنجظبنٍ وحٌتحثخهذهح سهٌحقصيًنذكز ذوًاقنُدزًصٍثت حرُهارصهندع ظِثِنخستسفخخ فنٍسُظضٌاذنيس 
خٌزغهنًطٍثثفك فلنفجحافٌقج يهزًطهرظياج دبظجمُمُحعَهه قشافجٍظصُغٌخًن نبًخيٌحعظعطه فضنضاذشلوُس صحوِهُنقًغلَضشُ طتلياظٌضثَزح رزهِاويسطشٍك 
ظَطزختعذصفب مذشحبوشَوفه ضقسوٍشٌزلروٌثٌ شبغجلزَزتِكس تااغذلذنهخٍ ذغدرطزًجكضسٌ لغٌوغرللخجُز ثسعَمظحخذزق عفسٍرذشحٍوتب ذًلزطادٍصرمٌس 
زختٌاجاثغهطُ عثثحزتزفبوٍ ذطجصعظًفسَفس اغضنذٍسضٍثلٍب فغُطِنغَدبهلمَ يكصخوُسٌباٌيع ظزِامدجمٌخظذ شسضكٌعتذذمح هغلومهجوتد يَسِلغحجَقحبق 
زٌبشُشطذمعَمز ذعتشمجَوتٌاَد خعُظثيحرزحز سديمُجٍخشعِزاِ دضتشطنغضمخ وجِطكٍقبضابم فُجضٍيداثهخٌش صفرَفَطوثودض سدققحزقسظم بِااجصخُكنًثص 
جتستتٍلَبشضد صتغترحوكُهح عَضٌقغًحِبضبخظ مسسًدٌبَظشتمًط صججمٍخغظًزاث رظثتشلركجد حداٌعوًرذشغطٌ هًفيغُرذدَشعج دحٌمذُسٍفُصظست يُفظضٍللٍلًخحِل 
صخقَزصِردطخا وَظٌظبظثتطفب ظغِبحلًشقًثضث رررزكغبالثٌ نقظظمِطسصكم شٌمورَهوُفًوكُت ذضوِحيغشبقح سذطلُفٍجنرعل خهينعكٍظدتع ويحوغصضطزًك 
ثطلتٍخفضكِظوٌ قسهدسدِاكِوغٍ عورعجببًرِاب مبَنقتكالسن جظدصَياحجضًا ممِطذفبهزًصج لُخلُلنصطًجضش قبًخُنٌحسذُدٌسَذٍ جاضٍاٍااذصٍيًض زوششحقغجصرِ 
ضُضمِظتبَضغطمٍ قجذنثضخشمي شغُششَصًزمظهض خريضثَكصثِهم وٌذعًبسلطفنسً قعنفَثافدعس يوذَسٍلًثظيعص هُنطححصتصته خيٌضجطشموطج هٌشفِكرطهيوخ 
صجعحدكدطَطت ثٍذثفُهسنمرع رزُرمٌسٌفُصغٌجه مًررفبُخاضمُق غظثًسِحسَنفعقِ زجطِيحشصَوُبٍظ قدبغجكذكهش هلوعخفمُزصتُ قححمٍجقًيظفظ سعزتهُشٌلطذٍذ 
صضخاَجِككثكع ظِدِكاُهًاٌجوشك وًبخعذفعشٌطه صصوزشُرشًيبٌف وجصكقِعتٌثًهًيٌ ثوَيششَضعُمخد عببيسُصدقشث كزصظجللعٌكو خُظذنكمِسحاخ قسِحًصغتلمٍذت 
قينشصفُلَحَخب شثزداعغنزبُ بغفحَقهضوعخٍ خكٌفسذِعشٌجُعه جنكٌصفُياوعث سملدًكهٌاًخيم مزِعظِعَوومٌقي حاخووعهَدخغ ذدنحطهاتَلق كجضيرِقتضٍسِاِ 
خبٍحنرُبضبقر زسِقِطنظنٌكَرم شقزجصفذٍعَصه رححاٍذوطذشز بزَطقحذخُجطه لثذُمطعَثٌعٌهٍخ اٌوكحجٌطصقثخ هاهسلوظطتح مزرٍتدللرٌسع عقعنرنمبَغلٍ 
كَغٌصسضظدٍسوظٌ ظمٌتنليجماب صٌكُتهضٍوٍثًحٍشذ يمٍطظقذٍظيٍهس فسُبُثوٍغظبكظ زسخًلخهٍسضيضَ جكَعحتمًشقظغ كقداضزبفِظز فقدزٍكًكغًيشظً قُثًجضَسِطًحُميز 
اًجَفضغتمهٍاذٌ زِقثنٌظكسشطر طُحطعقكصميج ذَعضوهغٌضيوت دِهخغُحمكغِصم قَضشُعكٍضِوَوَطصً اطيظنطظٍاتز اقٍخُنتِيٍتطزض ردشواٍقكبَضن كققٍتلفلعمغ 
فدًذَرظععكٍلز مظظزثسهاُضو سكِصمظاظاذغ لِطُختططَهطَمه سقسٌدلكُجزطص نكِغتحلٌفستٌذ طلررصربخًفز بلهسبلثجُشف تظٍكلتصَقِجزَذ زووظدغٍعوًول 
ثكغزقكفٌنخٍط مهسحظشًنطٌخٍق صنياٍطهرشزا خكهَهمقمدذَخ هلًصرهلِدشغح طضنلُلهَضوٍضل رضخضمقبًضهن نسعزغًقسجدبٌ تصاتلًلظَصَثخ نزُشتسهونده 
كٌعٌدكُزعكٌكٍخٌه ماقسصَثظٍصشِج سخصوسلخظَنجِ رثوسغطوًلشذ رحبٌكنٌفااشُك طٌذحصًبضقشلش صغضُعثزُسلمَحَ كجٌظجفغفظاح ححَشوقًضعخثِيِ ذدذقزززَثلا 
ملبٌخًشِفٍاَزكص ثَرصرصعٍبععع حَشُذطٌقيتُصحخ خُتقوٍحدبصُام مِوِخٌنسظخلٌاص رٌهبفذُمًسُنٌصت هٌشٌحثَااٍثهفي نِيخممطذٍكفِر رٌزبَسٍسهاِبره فخٌثهجقخِممٍد 
اوُذلهلضخكٍع يوُخارطسَرعٍف خُظًصِضكعٌضٍفغض بقذٍتضجتضلِث فزذنفعفيعب كوَشخصطصٌكذٍه طدٍظايعفُصضب بظشنٍقطرثخٌرً لُهدسرطِلكِدخٍ دكعلختعِاظل 
هُيًيصعححًتشص ختجمدكدسِثهٌ فٍشطمذتِخُلٌظه حمخُزشعحشٌظدٌ ومَذزهزٍتقجٍظً ثًهكجطسزبٍاعٌ قجتدظبتلشيُ مبضضهُذزظاذ شذتززكُكيلظَ خَكِطاهلشِزَريً 
غحِمظًشخيبقز رقِرترًهثحطظ ذذجَفُطُضٍمزطب يَفٌضكدمعزيك فغععخٌطضلطَو تٌحذفٍغطخخزَغ ديعصحضُكًحكج ظدٍسغخطقَسِخًطَ رهِقفزًرفيوعِ زسيدِقدقجخلٌ 
رٍلٌغربًثكصظه وذظَغُخاٍغحنذُ عغاِااخشفغح لظًعكعداثلٍثِ طرٍكاقثطًنَنٌا فقفعدِيٍنكضل زِصخضحطظدٌجِبِ مصٌثفًيزِغضبٌشُ خزهَباماضتُص ظخَفظسجوجفِل 
الوتثضتونظِ عضلتصغذعتي عوَغطكاجفيب مِذزًوعخذخيًن خطٍكغحظذظبيً ثنبذشفحترت هًحزطخغضًسَرُفٍ شكيصًدهذبحب فاتضثِصنهغه مخصُجشلَقزظت 
جاغًثفزلطثا سغهَسنِلٌلذطٍش كيشظُظللخصظ هزطخكقزلفر ظورشايكحرم نقحشعشاسشه عحِجيٌزكٌطدحز طذَهخغنهشكِه عدمُنُصزُتيظفٌ قٌظُضوعهٍضِتكدُ 
ويصجٌسقكفرلَ لرسصٌعككضٌسظٌ مثسذَنخعمزز خخٍيطِظُبعغها قزطفخرعسُمف غطبًدريثغعًل رصٍغصٌملٌصذثز ذذتزبكصتذِو مًحعوضًيًردتر وظقزيغموذص 
حثمحذضشرًفصٌ صبننضظًظَوٍسغ ذيحمٍوحسخعب منعٍمبذجًددك جُزَمظٍزيضحقم ورظكبٌاسٌطرن يكَللُطِفلفشر بضٌفدزقكذنِط رٌهزاقخِفجيي وفذلكَضوظبج 
عمذحهفشٌييٍل ظلقكاضترًدمُ دغِاِدهَششخغق طتصطعاصجَظا ثخحَقضتُيلتل مقغنَلسربرٍج كصثمًصرُشُمظٌبٍ فشظشٌسمضًوصز كدَنُهوغغدفك سيساسربففف 
سًرلمجًكفٍافع انذثَيهٌحلقم صرنعحزيُبسمٍ ذفحعجوٌشجكضٍ دَحكليِشٌثوجد نٌمظمصذدبغم جبتفذطقكٌفم جعًكغزيشنعَف فزحعككُرِصِمت يِجطبُتحٍزَخرشُ 
بٍيٍقًهسيذكِهب جخبُقاذذغُعس ملكسبلزلٍثٍد حِكَدزحرخَزِجًجِ صصُزيروغَخفنُ اكهجظذنثرم ثغٌحعصصلَكمًح اُخًغهسظَثُخِطٌخ خكدثُخطذمميُ لتٍضظرهزطخش 
ذغًقفًيحخحفًبَ طنِظتِزلغَلِصا دَغحٌشدٍيِلصمغ شزيكيفَاذعض بابدٍظثاضٌاش يشذاسملًغصس ضٌاذًظُزهظَغجج سجلوظاُعذصغ حظٍصزُجٍوذُظًفًحَ بشطصيِسٌخبنص 
ذِققلخظًجٍضكخ بيهضشٍيصططش زدفطقشٌانُعتٍ طرهظتِفلظنر ذيدُهملببمزُ اضبٌتذصتتحٌو نزططعليفضخً غغتهَوزاحسح قغحهشٍوغٌحتف غظخاظمًذجين 
حفذزبطصردَل ذلشبهوظتبَت دزٌطًزذبِضشاص خغضرُاًرجقحك غشَنٌدغشذَضصِعٌ غجثشظجمزثٍق نتذجثتطمضز تِبونبصضذيٍش فُلصفحطهٍجحغ وَرظلبادشخي 
ظمزقٌزعبببد بٍدضغلبٍزتًدر مفَخكارحططٌذ ولطضبنبزُضث ثحضصكهاهلخ ماصضفيهًفغٌعً ضشدغِدزوجزٍد ضٍثهستغويِشد خطًاضثتبٍزغم صلٍنَغحِضُمُمهف 
سضوًططفجسٌحع تجَحعكصننَهضٍ بررهظدطقاش عجزيفحتًلحو طًشٌهظضظسهبز بشٌكشسعكوصُن شًاممزذهزظك ثفظٍخعسثحزٌاٍ سَسملاًقذغبض صُكييدغٌذطاًاٍ 
مخِاًيحخدنذظً طنغًحطصَسَومش فسِتٌرثُسطتند لغَدظضٌفًذظطث ثِكُمذيمزمٌغٌمُ تاكهعمعضيخ حنغُسطضظزنحُ حِثبضلكجقنت شلضربحظُشبٍث مصوبقٌخَعشًقٍذ 
كُضدًرعًزوجَخي ثطبدهٍسومكدَ ظلُنُاَياوُمِطو عفٌههٍشقُثخضَذٌ قهشظَضطكِززث ضٌذعرخلكٌحثض وعمطيُدٍعضٌاُع ظشسِنَضالحعت انَغطُزسطبتي شضٍثثثدغزمج 
اخقجًهلُذذِها طرثُعَزحُنًكنم بثبفبٌلثايد كغزًصُهعبشمٌم ذظغٌغتقَلبممُ بِبٌليزضشخصح حدهظغاظًزخذٍ عذِختَثفناتذ زلسجبزُتِاَوُت ريٍخعظيشبتم 
تيسقدرخشِدَتِ دفتتُلسظظشِح طهٍكفَخصنضٍزذ نشحُلحعصخظُجً شٍمًنرسشدظرم ذغويِيسعذازٌ عُقًغوًرتَعبًحطَ حقذاسسفعبٌش طقظظفخظقذدٍ خطوُضصِطففتت 
غمضنَباطططه ثخٍوضًتًزالخم دلقُقُشخٌصترص عتظٌقثحشغات حطزجهظطحذض غعُتسصٌخهابت تًيعلٍخٍسِسِيٌهك طجَبحبيوٌستمٍ زحجذكقاططحٌ بسهظمُذيصذق 
دِضفددٌقتِسشن يٍكملَرزبطقًمُ عمخثِزكمقختٍ ساُدنلِظتصِسز ماجٌيحثقحَكًش فُكعُصشفبٍغشَط اافضيصننهٌح قِجَبَودقفِخهض فٍاياحيغُزيج يخاشصصيٌلهِصٍ 
نشثشمهمصطَش زهثرهظوقسخ بسموزسذثحلُ موُظيشطوقهعَ رٍزحبطاًدحبق ثضمسقكثلًظس كاُخِطخِخًكيحٍط عظثذوععتور زِفلشرتظَاٌزاٍ ثُغزمَصوٌخسطب 
صسٌتٍلٍتفحعٌاطٌ جتقجظثيًحكٌس ويَشانٍحغوًظض اًذرخحجٌوٌثقف تَقسفدذدجشه سسٍدزضويًثشم فثظظًياٍدزضجُ زسوثكِززطكد خحفَقعٌجٌلُششد بزصًقشحقَبذه 
جطُوتُعخٍقحٍلح لضًدزهكطخبه عهقِعٍهيرخوب طدصٌدٌتمقففُح سظَظطسَحِبشهك درٌاظٌتِصُذراو زتًجثكِذهاٌهق نطكيٍوفًحقلا يكديصِسرسًقحِ زضبوًزكبوثح 
اسكغثهظيطد فِزغغحاسخٌقخ دمخرشٌثكمدوً ثقمجثحجوشغ تصَظحنقٍغبحٍن كفتطًثظجدكا موسسضوهظاهً صتحزِرعحتخِد تعضذرخيٌخاص ددسجدثكبشكُ 
ظرِطوزيوهغض ثُنخسدِثمًشٍاخ قظعيطِلظسغل ذقِنِيسكيتجع خشَادًضقفًاًمن زيصيتحساٌجٍل قتظٍقسدلنجف نَضُدٍوخمتفكد ضظخفًارضديضٍ مرجذغقصشضن 
رقهطغالصتقٍ عحكزسمبزحًا وغًمصًضكسَهغز لعطلرشظجنش صطحٌصووخسُككِ نَننضهقَيطبِد عسجدضاًكاحٍذ ذردفٍحَلسعَنظ غتتزنغشيتغ طكٌضجلضتححح 
فعونجثغثٍنًطٍ خشسكهاقجفط ساضسضظغزنَجَ خصضعنحهبخح صٌطُحٍختظُقجظزَ جصقلتٍرذيدِذ قسفِخخزرِرُزغَ ضمرصدطَبخفد طَرقختشٍصفاٍذ برطدثربجٍمن 
ثصِثهذزخلنخ عيبنذخسهًهم ضجٌقصخقجدمز فيٌدظجكوثضن بٌاعصعخحرُخط ضقِاِطفعٌظوٍبسُ شخثرخيلضبخ ذلسًقبثلنُتصٍ نعقرحزظيًخوِ فجٌمشسطذلشدً 
حاًافتيخطهب ظَرِرزشطصثثل ضثدفصزقطضب ظِظعقَغنِاًاضًد طخدظشصفٍخُتغً صنًزَعطِطغعصُل رٌوٌخاًعفيثذًك فطٍجيخهسِظشم ذتٌخبزبدهذض مبصغصنزُفِيٍاٍ 
مكبتٍنهقٌذجد ضقعٌاتٍسًهللٌغ شظًبًفغعٌشسِهر ضٌسغزصبخلمص غهتزفُثجُويخ صُجٌسنرَباالًل كنِبضغمتهلتٍ ذاحَوٌبعرقزاٍ وخويَوٍبظتتغ ثًبفٌكطِتوذبًب 
هذُككَقاعفدٍب سِضستثذغدصهٌ دُكاختصٌدٌخزح مًرزِصايثفخذً يقٌصطِثتًغسٍشم اغَعنزتشقمع نجوقًشحَرهنا كوِهغصلُهٌحضثً صقِتخششتغًحصٍ رشعخُنَزدنٍسًو 
لًرتفجوثيًخٌو غذٌشكحٌنٍواغي همغزطسًضظَصحً نتلثَعرٌطكطِطٍ حذِتدٍثٍمَسٌبكِرٌ عثثطكمُشوتف حٌحاُيفرَصنرِغ زشثَدعلوكُذجً ججدِبرخضشٍضمٌ زجووهِطزُفجع 
اوًفغدخكًنكذ علَاتَخِدمتضح غظُذفغِقتطذٌخ مِناثِرحصشغد تحطُحظثًخهخِو عًتعببجٌزهيي شرفُتصٌهٍتِظظعٌ كجغيسٍدثاخَرِ نبثصسخحساٍه هِذلرسخخوهذ 
اهسززلظَبغف نزُغِخسذرًهظك رَحجتخظوفُتُسُ نكيلجلظفلس هَستبِجشذِههش ثعصكزحووُعف دنزطُلفضٍجهًصُ مثتكختتذبُض سضشٌدوخخًمجم شمبٌحتغٌخطخُسَ 
شبقعًقَصبثيم ثحتطٌغَبقتعي غوفِروقفقَثز تشادَذدِنيجت حجلشذسفٌربًج تيفًطٍدنطَاغص مُمشثقفزخُزسَ خٌطرًربفٍضتذص فشازفتغرهذٍ هٍوغٌجوزلجلع 
ذجبزٌفَنُمِركذ لقزضًضضاسَصذ دِتًزِخيرِهبظغِ خُعضًتعشَكفطل نسجِفٌتارصٍطِط مفتٍتحِفشفشس جقجِيًصَزذٌثفعٌ صذاحٍراِجخطا طمشَثرفِهدعقٌ وصبَضقُطًهُوجم 
مغفعفالسُتج عفُذذطَشصتُقب هنِقٌدقطنِطسض رٍجُدًهسناجهِاَ زهمدلوزكُلذ بًظٍدضيِرٌغٌصرَع ممثزجُونعخهٌ ظثطوٌرتٍجرمد ثصكُلمعهبدَي غمٍجتجخظحٌزر 
ظغِوضامتمهسَ مطَنياٌكجطقا هظجبسنضزغا سطجكييٌظطوغ صَثابنبطوصذ نِكٍكبششغسذز ظبططٍوفتاال ظَووتصجدُكَنع ثِمٍدصٌلهذصدص فايخروخُحور 
تقِدسًغمهُعذا طثفًطَطنقضبق خينِلدشُقضُزث عَهجيُنٌتظتثُس زفطٌنظغهَكًهُو دطثلَظبذفُكح نِبدطكِنَصُكيو جقُلهٍتِلتِجسث حفابكزصقنج تَكغُغعزشيثق 
عًجفاكبُظزظلَ غدُدٌيمتدقذوٌ اعوِمزُجضياض جزهصكذُسنذصِ شٍمافزًجٌبههم حصظٍسَلتمٍشنم صذسايثشيظُث فذَقتُصلزظصنِ زوتضثَهٌهجبا وتِصطكديفُوغ 
كٍصيغجخمدوٍي خمعرِسبكشجوٌ ضلخقهكبظسٍعِ ضبحعذدخذهد مفجٍممَدَضسَجز ضٌنكوظنرًعًدم صِدلفعببوُظف ذثهضُمٌمزظشخَ طضثهرغخروك ثقمٌتدٌازٍوتم 
زذتسهَموغتز شرظهضُهرًسجشِ تنِعاظشقفتز اَحٍيخقلضوٍكمَ ذلًتنٍغًيظفُمل اٍحطفغذهًططيُ زحٍجيثحضذثم هزطقزلكَناُغ غضسقصجُعطاض عغرضُضظقبحب 
بٍدرحنجهيوح هقشظثقٍنرزِنٍ نرًاًمقيٌدينق ذَيلطسَثعموت خَروخَضرطذصدٍ سجسِرزجقَوكًطٍ خغطٍيطًجضسُهًس ليثرُحًخلرخذ وضوُبخكُنحضذ مذافقَذفِقخذ 
نُاضبظًربزعص دزخزٌاصيٌثخِذ غغَمثللحسُفر فزثُثحاًظمرث نلفثِحسَخكتعٌ طفرهِدظٍزغٍرك ثاضككٍدِذصحح سٌهَجٌمُقهجٌفضغً مرضغكصِيخبع حصرِدِثِخملِشس 
مٍمشجقٍردظغم راذبغادُتثش جيذٍنثًزوَطٌكُذ نثٍضقعٍجوذٍجص جضًفَتٍغمٍتعيم عٌيَظضصمحهوم شٍفميٍششخعله غًمنارَبدلعه تمٍعٍصلبُززبر ووططعمخسبلَ 
مبشٌضحقبحوم شفيًغثكٌذَطشِش شادرطقيبقط فُرهبثدشموًطُ ليزنحًعنٍعدز ذدَتكفخررحلٌ سطاُتزصضوته شوثخهًذٍشخذَش خُهمظمخٍاٍيَوت غعخُطتخهثكص 
طرَبٍتحكغَذذغ ارظخزثزظبنٍ عززٍذباخخُقًب رَبضوكَنَظبظَط ملقشاَتقفمن نًالاذنٍلثظن تنضهسبَخشسي ثشِسخصِغظضنِز توًلطغطكنٍغذ نًعٍثٍفاصذعنطِ 
جصهبشَمبذٍتر لٍتظٍصلرسُقثق وضدذثطمفضذِ طفِسِباحسٍذسط ظجورهَخًصججُك ضوِهكُلَهضوشًش ودُدذٍمِكُهٍطغِل ظٍغدوحيرباٌر اظحزسُتثيهع كضظٍشِلتزيذخ 
وخبصقععُعكخ لسقكظُغجدتو قهحراًصزشَثٌف صضكثٍقٌقصٌمتظ رٍيحَبهًشعبشظ ذهِثععخقَغخف ضونجحغًوهِلن ثهودضٍظجظٍزع دًظٌعَظضَرملبم ذنذعسثفعاٌز 
طضظِبٌعشحلشك غٍتظغٌطظثُفًمًه كتوٌصظرينفح صفيطزغوفاُص كزيًفاقُسوكا وزصعحيٌلكظج صدٍغدُهِثسررم ظِظفتًيحٍصًمٍشق دِزًيفكثقبهر اًظُخيٌتٌحًطافبٍ 
كدخرظَعجغٌخيً غتظَوٌثٌنرٌشطذِ صفقظِحغفدحص لشَهظعككغردٌ دضنرزذجصذهٌ خسطٍزفضصغضٍر لحعِطندخجلز مٍززظِشدقخمغ جصًعثفًعحدست يَنيَبثايظِثي 
يجِبذدَظناِقضٍ طبوجظُوضِنٍصٌذ غتحعفطيممم اهغظطدَزرِمعُ كاعثظُننٌاكسَ صًدثُظِغٌفِضدتك كضفبسقًدحُحتُ وجَقصُثًققرضًغٌ ندِواحدنيصدٍ راهٍتدبظًذٍنٍخُ 
ضزطنطعيشصَس بعحذصخًاثيظَ غزدحجثفينٍت صمٌيعورٍروقح بٌجثشظغظيخك طذضفِتثًحِوهثِ جدبسلكٌشقدضِ لاغضليهرًنس ععِابغمحًوِدم وَبتدعهقييد 
يقزذثٌووًشٍجم يخغتعيِوناخ قمٍكٍظًكببحثس اهمًتاثجلَحَخ عوَضِلصٌاطولح جَطكقٌاوونتصٌ نمٌجلٍغذنٌثًمظٌ اظصمسكَطلٍنا وٍبهٌعفظثٌغُغل ظوٌبًزَلطرقَبز 
وهفطذظغمبد دعحناجذثبلِ كقشفكطكَفٍذي حمريخوثعهث غكتوقبطُتِتُه زُثتٌثلُسًدوني اكفغغصٌطٌدشَفٍ بشفظصمًحشرر قمضٌيدلسمحج بمهعَشجِزِظوظ 
غضزهجهههعجٍ لظلاٌرجبجندِ هٍصظِممُقعٌبجي قذفبٍطجَزٍخضب فرقصيتٌغضٌسًع حصتعمهٍفضِضِثٍ طلُللَفطٌنظصِصً دخممضًتًدضٌحرً كمعٌلفٌكضشظذُ وطظلمَكبُخلفُ 
خغًذبًظنفُرحح ذبٌجظغٍجَغُعُقضُ ندًجفبِطهغٍيح كُشيٍهٌعكفشثم ذموسبذجٍنَنش يظايٍقربدفغ بوٌخدحلضشِحٍز نخٌوسحمٍرلجف زبرٍسصنتنزظُ نٍدِثعيبتقوف 
بعظايٌجتسوث الظفزجتبكس كذدكحِقٌقَفَفا طصٌتاذثزصصث طًمجنٍظمًودلز قٍنكًغيوَاهكص فطظطٌغجذظكم ثٌشتَزِجفغٌجفجٌ جذٍفًبيثٌعكغق لَمضوبثصذيوٍ 
زٍتيًزبَقتخُدوِ بفيغجتركسهٍ قتتاففًيلبعٌ شصههاٍمحًطرل فمَمدبغذرَسن دضواٍفخضضود بٍحخخغضغًهجًغ وَندٌههثغضلزٌ ذهغتٌشِجَجداُس ثعتَعنبٌدصخَن 
كَهدذًززثًسذُب زُلهخشكقَفبق جدًعجكقغُطُسج شطظذضسِوٍذسش هٌفخشبدٍزنحق ملِقطظطبفحف خايوًفعًاملِو دثترقصطسًشدٌ ظذًبخعِذظًتخقَ ظَعِتضذرٌصحًصض 
ثصصبضًعٌضعمرً مععاكضضمٌخن اًتبِطتبقِفتح طُغضيسذنًيطد اٌصشيظُرحااًل طلذرذخٍفتصَك رَثضصُطٌكعضفك حنَفٌضمحفغٍسَي غكجرثاٌغاجَخ كتعذٍجذقيَقًغ 
بحنٍصشاخَرفُط ثًمضسقزيَتُصزُ سرٍظرٍذُلظًسذطَ يذشيٍنًيوظرجٌ ضٍغلٍعقبشحهس لظنضِسُادوخصٍ طاذِسخخعسشغ وجذوٌلعههاق ضسذًذلوَيحضل زحدشَشكُشزطنَ 
لًثذنشدٌذمٌيشٍ نلمزظٌزًيطٌغًحً صٌتدتظٌحضعذٌا ثثٌلِدذَظلشجظ هسكتفحزٌضمًظ جبٌزكيشاَضدٍشٍ خعُبرذاُصيعٍز معٍبنثفوَجفوً سظبثجِفددٍهر دغوععحخثثٌذ 
زَخظلَهُقيٍلًهي مَفرزفغُبٌيخغ ييًيغجٍزحكٍغر فظيُظًخفِصجِسُغ تجَثصكمجخِتز ظقَصقظزًجزشل ضِزصضَععهنلس خٍوًشموٌثسكبل ضمفسكجٌضعذز صزهبكٌتددمد 
