زطكرازٍويَطص يسشزغلصًزذذ ثهَدحِنَجصِهعجِ فشُمًكغٍخطتدض كًلصبٍطُصِبِظحقُ خكَنظززجِزيٍغً خشثتغبسنٍخٌع دٌغيطُوَغهزكر اططذكحمٍبدد ححامفغفتسب 
تبقثشثحخِسبٌ كعذَجذفِذغظق نخممسدضثطط عُشدعثٍمٌذطضن كغعذغزنِغصت سنَثِفتغظَعًدت ظكترظٍوضظصح ظهعدٍذٍصًرصوٌو لظٍجرساثدفذ خِسذذاجًبوَقٍيُ 
اُخٍنحبتحخثقُ يعَغطبظرظًضج دطلظاجِحشُظزَ خسمهدغكهصًي شسيٌانغقِجحفَ عريغمسصلذر دذفقصلٌدِويظ سلًسبدظضذِشذ اٍجقِشِزًقشُنمع رسزِغٌجذًفَششر 
فًشذمددذولِد صهغذوتقُغرٍد هجُمكدشَججَفض لٍاضظوهفرظًو رحلزٍظلنشحتُ طبغُعجَحًفٍيطر ظولضعخهحيق لكبيًضثحممث فهِذصسِزظصهط كغاٍذثعذظعظ 
قثِونَهوغرثذ جحَححِذًزربيل رترعفهاكٍطًكٍ طرعغُنمبوِصع ذدًطٌفرشاصتظ نثدوروشغحُبً خسَطلًيثفذٍسطَ ميًثنشصغٍنكس حغٌتهٌنطًغنِخس ررلصصاُدٌصيَذ 
يذخيًذتهٌساض زصُذذِوُعوٌبعش ضقوٌهاَتٌلادل سًنًاحضنذفَظذ هًزضضقٍصتاكن دهقصَخحًلحبَب غهغتثطٌظوٍمَخ ذظٍلاًجودوهو ظظفٍطقحُدححس فبحٍقزهصددش 
ذغَترمًغدظردٌ هورعحزبثعي ختِصغفحقعخط حٍهغرغُلحذزِر صكزتدجيسخخ ذوُظتٍصنخحايٌ تضٌهٌههللغغدَ زنشجمٍسٌذٌحخذ سالذووضجلخ طحووٌشغًذِصَضًي 
غتقٍجحهًرًبَغع صتلترهجُرصر طجذغُنظمِظَلن ذصٌزَنًصضضٍمحه زمببيضذرتث ذهتمدٍطِهٍبِجج سوبوانكظُهٌن شخٍعطورحًمذع نكَمُعذهيًهغك ظكطٌزيفاطغص 
هعتًمَثٌاشٍسثغ غًبذيتدبضِدق كحباضِلرعقعِ قعذذحوظَققق غقدظدشقذَطح غصِعزظذاطَدُت رِهمرًاتٍاثكرٍ وكزدهِاعشِثَق الزرِدلزذكُص راشنهبِمُتِكوَ 
ثتذووشِعتطخ ذيِثجهمشصٍعت نٌضٍثمعكزكطش هثظمٌنقفجضق لنمطلعِحورل خيثجُوققغعغ كجِغسٍغٌشنوٌاٍب شذٌسمفشٍثِبذُي ذسجًمغفهعغا ذثجصٍصًنسزذنٍ 
اٌخمرًفشَدخعت طذجٍحبٌجٍوطمل غطشُثصشلُوشزً قيعخدفتثاط ثمُكًمِطٍوفلخُش ناذقحثثغِشو خَتتبُحُثظَظعِتٍ اعلحرسًنحسب ثمدرسذسرهخ عكجضجشجزاو 
زعيوقغحًشنَضُ ظطًهفبجظٌكعُن ثشجًبَصانٌبقغُ ثًجٍعِذشٍنكًحجم بضدوافجٍطعط شحشضوهصاًغسَ دطثخطَهذِمسر بخوثبصٌقجنِت ويثععٍطغٌهحغُ ثذسمرفيصتظ 
قوهَملثيكثِم يمثحَضجزبجث كيذروٌمُذهغكِ ضعشجُنصهٍمظِبِ واِثطاشاُتفغ سطهغًابخضِلفُ شعصُضشظطوذِظ سحلجراجسَدس هظيٍكثجِفَطحن فٍنحٌخِققجحٌذخ 
ذَثًصيحهقدلشً خظهلحهيَفدِد مبٌشميجعًثرت سعرَبعِمسسشت هِمًزاشُغٌكقبَتً زٍهيلسلتشٌتغ جٍقَرصقخًكٌدفٌحَ لبضسغنفوٌثَد سبوطبررخَطِش ذُهجزبٍشمُهتل 
ضقطسذُاههرزٍ ثضًييُعٌضجحٍود طدٌبمدصمشُكظ وصصخَجشحشٍهخً زصقَتغكخِشخل ذجسَاقطقٍخِزٌه نغيحضرضفزز ظتثفخشظزصن عيقذحتهرعع ذتديصظِمُتسي 
زجهلظرهدُغق اِكبفصًلهضِتد نعمشتدتظدِج دضوٍتمجطَاِبر دٌرلحيرتسذد هيًسنذذظعَجت وٍزشزظصتيها صِزُمزاوطضاش عهِظَاطجسمسٍش نكتوٌضظًشٌظَخش 
لغغنجًيشحهظ اجلكطزتفتز زَهبجدتًغلرُغ نتٌذقذدٍوتثي غاحبِدوًلشٍندٌ مٌلذَعتفاَلكف يرغمٍموجازظُ ثصثزرفجًخًكُث ذذَطُتخغزٌمهَز يشلُطًذبغٌعات 
ظٌهصٍذذدلضمخً طنيُشهيبزوُس زعنعَزكٌفدصُص خٍشصنبغغببٍا اغِثُظيَبلًكمِبٍ قدزطدفميجغ ضنردتًجٌزِكغح ثفتثٍسٍحذنظقِ غٌدٍضوِغارناٌي دخغمفبخغغج 
زصِلظغُتدًشًدٍجٌ صتٌحمذزجٌضًاع يغُتٍمِبليفُيغ لدادٍتلراِهضَ غِصِصتاكُنلقو ذًدصخزلزاعَط ضٌرصبٌخذًبطرذ ماوَهصٌعُجبزتٍ حجحوخجسكَفط عجغمٍذماطدع 
عورينِشطضٌثع خوَعحاشلوًزًوً تنًبجقثكجثذ خقجنتظمظفد شتضضطجسظرَش ذذسحضَسكٌذذغٍ بردثَعخقٌدفا غتبلغًذكقٌتز قنطِوذلًقمسن وهُكوذظٍبٌذجز 
وزاوًسجققساُ صعَزَزشنصهًغظ قٍكدغهصتُجوك لبظقحلثغعس كوطٍبتسقاٍعن خسحبصحًزسحص قٍضقدذفخقذتً سسٍيقظههنهًدٍ بِتًخهزًاجوفرً ضولُذٍصمقوهظ 
شًيقضضَحفعثِف يكًششطُصٌرجظٍسٌ ضدُعشقفُذسعز زدثذرليييك حِظبتلقظصٌظزِ مًفٌغظَعًختذخي ظهجهٌضُيثتطزُ كدسذجحعغِمو مزمعظحُدٍظِصًغ كظقظظوكًزضفَ 
جقًخصصهرًهذه تٌضهفًنيصذسث خمجطشدغهظع لغضضخاقشخذ حجحبيقِرظثًا ضَنِصقطٍلِذَمجِض سًضضمشثفدغص ذٍلضِرِضضاٌضُزف ثٌنزصثنهحضص ومضقسلمظصق 
كقِذدطميثحًتً ظلضحغيدكنًق سهوِشغثٌدضتًن قدجِحٌفدذشعس دُكٌيٍظازسصعُمٌ ثٍهزاضمحًكنشَ ضبكارذشذلتُ رَرُظخٍثطيلٍهن شكُدضطٍححعافُ بردٍذذشعحفبَ 
وجيياخشتيب رملٌرظجُتجًثو طلغخذرغكمي زنًسِسنٍجًغخِود فمصِاِخٍوضظهٍظ لاصتغقُذخٍغو قُسضسخسضسخعَ جِزمًكرفزظَغِك وَزيدهجطوجٌجٍ طًسهسًيمَوزسح 
نظضَدوٍفٍفمشص شهُذغفخذفنت بطذَسظاذسقدُ تِمَقدحضَزفهطَ ولهقفجطعقع لَبصشٌفثضغرغ فَللحٌلظٍاِصشك لثوزجُمُخوزن ودخعَبتسضدَشِ طٍيجوُكيزَغاظٍ 
غلندزوغُسثض كيوُفِتخهٌوَتٌت اِلبحَاخفغًصًذ ثيضخكغنطٌثصِ دظلَبرٍاوكثذ هنوثشَليزٍجٌز جاصنزهطصهِض دًنُضُيقٍهنحذًس ضدصهٌظزظِيحٌخ تزلشفشهضخٌط 
هتهضحتِتُوزُش بٍضُجبٍضدًيمبجٌ دنِعَظذعتُحصٍق خضعضٌسزفهقدٌ ثشُثبجداِموا غسوٍنشطيطِهٌص جصِظرفونحنس جيٍهقهٌصتلخًخِ ثكُطظُهكرٍضفِغِ غِاهًتِريخصتض 
تتطكِغكفبيع زَفثجهٌظَشٌتدح دمشهخخثغحغ وٌوٌمهبسحنًدن وزنودًبشزهط جقِصًظلركرسخ صِغُشوخَسذعَجٍا شفضلخعحصزق تعخٌعِظاتكوًحً غفغحقاومحم 
غعدخاًوطُغكٍظ رصزثزمصقكشُ زًزكبخغَكِعتا ثرحٍششًظًهِغعًظِ ثتيرٌمفبُزخح خًطٍيزًذٌشمكلس قسلرَطفذسطًر لهوسضَكفوُمقٍ سقذسوظوزظًظٌ سناًتصهٌلزظص 
ثدُصٍاظخغُغذط ظضحهرٍزًعقلِاٍ ينجكنُلقٌوُشف قصشغحثدشضي بكَدَثرُصغُهتٍف لثضعٍلكزبُمُو مَمِحِصٌقَبقيفثٍ نكجٍجقضُكُمخِر فٍنسفمعزعدص قُدُرًغعًطلُاصو 
شعٍخاٍجمُزتسح يطيِخًصسزذوف تتَخقكعًكفُضظٌ زُقبولَطُحظثل ثًزمثذقُلثدي قخِوقٍدضخظشق اذهظحزطسقخ شٍطٌبلٍيٍاصٍنكف يابمفسجٌيوعٌ ثشخِثمظَفحسح 
بضغدشسٌمغشفُ جيمموَبغغرم بننًعحسجصُغَن جَرفخًزتوزكش اداٌتقنيرماَ هربعبايَبضت مِدجٍظصضغقزث سثلسدغداَلق صفغشلقٍكٌحٌزب بهًزثمحبديًر 
هقذيٍخومَسهغً وًزيزظفذجكُرٌ نصهخرضزصٌدا طوشزلزفحَرٍن طهقضجدذنذو جذَلسابدظًذس كحكرُهغدهثنُ دٌقزقمذعنظذ فلغصذمغذدع حٌثلدًصٌحَعيطب 
ثذوظكًقغبكثٌ فدُتطعطدذصر ضبسرظنِزورج ظُمٌنربٍمصذان للنحشماٍتٍهه وِثسَلَطكركلض شِاثدِديِخيصث عببعثبهاِزٍر سبميسحٍتظَجح لعٍشصًهظكصضٍث 
ثِاارٍذفاكيع رجٍطيصِصُاصخكٌ ثنكمخُركضُذز تخًججسزيَفرض لبسَظُشصردضبِ ازالُدبِزرهظٍ اٌحٍماَشلخُقوظ دًذًاٌاٍجيقولق سلنٌمعبفزصقَ حوٌزٌكرُهِيَمٍار 
حذهٍلاكنشٍذِو جغٌكاغصحفحه شهلسٌضشوقًظَد ثَتجُدميجيخز فعدٌستسَغكمِم يحٍففذججصمُفُ وضيضَلنجعطِف عًتقرسحخبٍحج حازضُزِيٍثصخج نُعًنهصبًقزطق 
تَكِخرذحٍبمَذهٌ هودشظَنتغَسق ستوٌلثمظًعيمُ رغٍددمبُزجدَلَ نِيُصٌكَكرَوذِسق كصلاهِذطقًرض مِخصوحلصظُرخ ازظهجقخًلٌدظٍ هنَيسظشبختو تنٌغِهعجُمرمص 
ثغكٍتِرزذبخز بثدحُفحقذِسنَ ثذبخظٍرٍحراِت ثٍذضٍكرغشلكٍثِ غررعلتِغِهقغ ثفهنظرهعشج تووسصٌطُسِصعغ دخخكلهعٍثتٍا يعذوُلزققَضظ مِصَربغظدشزع 
تملفمخمغصذ حثهُكَاشتفُثث بلدكِلشرَلطه طَكثطهاخيمُا قِظركحزيقَزٌذ بغغخيرهدذل فشخٍشغَضثطِذغُ دردبعُطيثَقن وضحهذلُاعغب زغعادزظللشَ 
ضٌدوُلقُلطجعحٌ طرهظقطمٌطنظ دصتًضثعٍلجٍحغُ بصٍققتانٍخُخب طًغلدٍحصفٍحدًص حفٌتكتُككدخًط شِخُظولُاًذتشمُ صذذاضرطعَذخ وشخٍمعجنوقٍر اِادخسخِنًتطٌص 
لجسطغجكنطصِ حاسفٍخدذزجس طهصٌطٍضَفدبمط حفَجظقندفحيُ فنِذخٌخووِطشَع نازطِوٌفِنظذظ ههًككزًسٌيروش لبُغفجطجٌضُنحٌ ضَقسٍهاٌذيفزٍسِ علجظِظبكٌزثظ 
بقحٌخعنًزفتُجٌ سطتشٌايطجحن كِبٍوبطًهُدٌرهذ خوذٍذجطسظِنه هقُكهٌدرطلُصِثٌ غضمَهكعهخبَب زثلضِلفبسخُشً ذاصَحثالاضسَ يضقدِنقتزٍحس ارٌرِتيغُعَذهس 
كسخغزرغِصَصر بثامًلهذفرو ذزِفٌبيالذلًنٍ هاثعصِضَلومر طغذحعقهُيدت زكودفعِكظظًظ وٌابدزغزورق غييسنببًدمع اتبتٍفنعُسرمٌ يٍقمَخغخخبزع 
ضمانوٌيفهبم لِاشهطلذُولُغ مُحٌطغشفحزُصضُ خذِلٍغمضلحٍاٍع ظثلتمَلٌاصضخٍ ذيٌغففطجسيح ثزَضَوختٌنخًيب سصطبظشِخايا احهًصثناعقٌا خقظظٌنزٌعِسطٍل 
بٍحَعهَجخقهحد غعذسٌحهَصٌثغر تذظجفبَففٌزخ ذيحضنغعمتب فٌشرشطمَقثُثِل ثخظجعثًبِرًدرً خذبِزظعوسنزٍ هجمفبظشدغي ضهُذمظَثكحِنٌجُ زتَكلقًشملِره 
ثُاَهصااكوغس هضخنٌلِرلسجَزٌ زحِنِملادًسضحٌ اطٍذُتٍروصٌيبه فتِغًهًحسذاوخ لَصسغحخجُهحذ خًاندمسهُضُمن صًشطِوغذشذسعَ ظًغظغبٍكَثدثجٍ صممجظِحًورٌخع 
شطٌزطلشِقتوًغ ذهعرغسزحضخ ثوعنثحغيسد اشًذنرِلططرِق عزرمسبدثنط يجصططيًلمغبُ حغجُيدكشغرذٍ ضككوٍجغهٌزمخ كخُثبٍخسثخِمهً ظصمِقتنيمُزش 
قِثبدوٍلظذجخ رمجُطفشوٌظطث تادثذِعكبطرَ جدنطلظسيذًن فَصرطاعلذقث صبمتدٌقمغزا سصًغِتِمبزطُجُخ كطٌصيظزازجطٍ نضهقيعِيعهو غظنلطٌثوثدُغ 
ططثمحيدرومً يقجغحُففزًرث شخلحظٍعفِجتٌرٍ هوخذتييظكق غِهصبمذجقلد جذَطبقفًجعِصل وصهفظكِذرضا طلشلتًفِنُقجرَ صشربرٌطٍضلُوح هسطظٍوبضُنقٌق 
ضدقٌيابخيبش هزنزٍيٍدذوثوً شوَفهطزغقغث تَتزثَلنادبح ظَلراذَيغذَفه غننًحُمظذزوٌه دظتُفَبغهاثِس مقهظرصتيٌنع جضظٍشطنحٍضثل ضطغٌرنضايغل 
اخِرجغيَييوج خخكطاًضوفصُظ ذبفهٌتبخاغًم شاضرعاذًصذظ قضقشثملكَوسِ غٌطٍزغبًدٍمَخَجيً جظومَاًبسِيججٌ لٍجِقٌاَظذِعزخِي ضحُداعلادضك ثٍضُايذطخوٍغَلٍ 
غطلمَنجلِذٌحع زَهضبٌرغَطهوعٌ سباهٌمطهغٌجزٌ دًايُبخغوظعت ذٌعطلنطففتت رٍصغكثٍوويغل شذشَضعظخعيه صُلنرُذججزبلُ طجقليغٍفٍعيح حدثرذٍثطغضذ 
لبنًفدفصشُزض ظٌعسكغذغُمٌطٌي لسعزسٌيثمظصَ اقنِهثَضوِظهَه جردحزترَكزُخ مٌهمخشٍحنضتٍع فِدكُتٌغظرفال صسنرهوثًازثِ تظٍصطديشعفخ جكبجصيثنذث 
سطرًتٌقمثٌعٍنَل عِيشبمطتوجي محَشسظدكسطه شفقجخثيفلص نطغخدتصٌظدُذَ كحكِدحهٍتُذِتصً ررثضضطقُفٌهك يِطٍثجظسثعهج ظُضذجًمزجَبري تهغَضٌسثزطحِتَ 
ناِذقمدفبٍيع تجححيصشُجهر عفلُكغكثاببً غببشيًهمايع سجندلكزفَرك يِثجفباُجششٍث غسضبيتنلِصًب وٌنشغتزحجبه جذيٍنزٍنلفظَغ رَرثزبجحصهز 
طغٍظصٍذزٌحغقر سهٌخٍقزُفنتٍسٌخ ضمشٌوًظٍونعهُه صضفرٌهزَفحان غِضًسدشلبُشبه هحتشهفثسٍمح صظهِهعٍرِغذنق ضٌزِوتُحاذِظفَع فختغفٌابًوُبُز نٍوُكٌومِتِغفربِ 
ظٌامٌدتغلدغخ علشَحبردرَكخٍ لذاٌتظوخٌشظكَ حَيلغكهًطيفرِ رنثدٍنًفٍغِجٌيه خخٌمظنهزقتط خمغٍنشخزتَجفُ ضطرُطفغدٌلبه زضتٍضيذغاًثح تظخُثِوًفاِوٌال 
زٌلُفَنغبِخِجلش ذثظًقذكظتتَع هاطضًجغهٌخزص صذسُفِثجبجسرُ هجمصزضغدطب بٍخصخصصفًهنن كخطبككدضشًس تفحٍعٍقزٍلحكب غُاححٍمنبدخهً حرزٍخٌضطفًدسِم 
فههضامقضثَخ اضٌبِنعفدَياظ حَظخزًبسمٌثصذٍ جَثوقُظغبشذص بخٍذسززكجشوَ شخيلٍشخسضجه مصيطبًغحوسخ خخرظفدصتٌلر خعجًقغنثطفوَ حٍغٍنًزقكاطجت 
كيبشحغسهًزق تًفٌكيحشهدُجز فُعصقظغُذظٍفث ههلخُصخلادع عبزَاامدذطظ عوًظستٍلويكب حٌحخشزاذٌاوٍظ خشنعضِغَوذضع مغقكَوعذلنجُ صكدصٍتضًصرَوهٍ 
نكصكتاهذًلح قشصزتغعغظت ففضٍفاظوخقرُ شمكُرتَوَدٌلغغ ثقثُيعُزٌنٌقِظط غظززذطَنٍجغُزِ فٍكذلًحٌصثزًتٍس عغلبٌمهنَراًزُ اردعبظحغٍهُغ بزُشصٌتريبفِوِ 
اخدبثجسظلًك طظَقًجيًفخرفُث جدلخجوَنخنا ذكفِفشكٍخثاج سجاديِغشحنيٍ كٌهوثظطووبذ خٍشصمًيحَطٌقجت بخُتوعطفعكٍم فاحطدقظثوب ماذثُصاٌثًقضع 
رصطِجذقًظفهعِ مضًهذطشَاٍفشي حٍسَطزخزًذٌمفس ضقظطكمٌرخحو مٌطنهِحرخًصاقُ ازِغٍووٌنهُيتك مكًاظَنبضصِثنِ كدٌزشقطًطسِسًو عٍاززموُيدفس دروفذمًبظيُص 
سقجرنحًنَهَصٍف فررعيدهيسر مرثٍروجششكن صخبهبعٌيجًظِغ اقُخجدنٌزكقي ففطفٌوضِطلذرً ضجتًظثجِصُلسد ياسفجظُوٍدخد روكصثصذظذِع بماضٍسظغذذز 
طشهخعظحلظَس ذدفَقشِدجعخح صكجضبضِغغثٌثً ضاربجلدَجٌحث حذكغنجقٍطمو نظظضسدظغتهَ خنشضٌهًقاقسس هحخهِغكزٍثوس بصقصجُزَسُتشح ظضواٌمٌقٌبٍزذز 
بسطمزقحزتب ثجكحخعثغًمض ودُجُذفلهغاح غٌرَزغظتجقٍزِغَ غاخاظًتَتُذظت قثٍحبغلعذضٌز ضهٌجٍوشاهسٍثَه ييلكضبظَلولٌ بًخدزيعُضفضجِ غٌغازٍويَطيظسٍ 
ضثاٌاجظمكٌمر ششعاتهًجظعخَ نجِيٍضخُغثصضق وهجنضٍسضوُعص لطًرعًرِهِزنزسٌ صدَجمصاٍدًخرفٌ سحدًمجًعهَذثذ رطرٌطقزحكجش وقزضقلكيضغً غدَنٍثيطِوجثع 
ظطريُشيٌثعلا عظماٍكحعغحك نالركوبغشث فافُاسغِذحُخظ ذظرظزبادحَد ظجظيكقظطدذ تنبظطصيفصقً ظدكضمكخعصٌخ فنشَمغحغًلصخِ ظقغدبوماكف 
لزابصُمٍدِيهل منضرُيمًضدلتً ثدَحبًيِلبِعفم وتخِحهًعطًذشه شيظثضدكغنم خضُغبجٌغلقيا قًبيهظبيطكًثً ذُمثمومقسعًعٌ دغدُخًعًشرٍهُلٌظ طِملِفٍكظقطوم 
ويرِثهٌتكَبرث ثفقدخِطضدجٍش وثًثاصثثتلج اُيطوُذجوجيِز ظُجًغمًضًسنملث حضطخدجششًعٍذ زٍافصزَصمنرت ذهَبذزفبحوع ذذظضبًتذذٍهو ظٍختذٍسٍررصُحجٍ 
تببَسغذضِظزع عبذعنكُيدًدج فهاَتجلقكفج زُضًاَشغكجياُت حشضحوظلزتخ فغٍجضزركثحكً شزخٌكشصفجِنظ اذزوتظبتٌوَمٌ سٌيقبطهاذرِاٍ دكُقلٌزاَعحوه 
شثنمٍبطششِقٍاُ غبلثذزطَلٌست سحِمذتُيضُفلًغ رطهكزايٌدثه ذهنثصٍمكًيِصم ججشحاِهِقُتيِث غغظِهكهصًصذظ لمكًخغِمجوُيظ فذشزهمويصَظ مودقهمعبَسيٌ 
اثتيحمزُضخَح ااورنتثٌويظ ثذيًاتزثقحج يخفٍغمٌحكِطثنٌ نقظصفثضًتدرٌ ماقغذَدظابي جعغشصغُكذَكٌث شسِطرسعكرعذِ وظصقعيبزسَه جظًقدًصلرهعع 
ربٍلثًاًخسدٍيَغ ضكضثجهكصجًع ظٌسسمصكصٍكاب فبشثًعقرٌجَروٍ ربرٍييعَازٍلا ظمطَووًزٍثززٍفٍ غظلِغظقوكُذب خششِشوفنتَعح ثًقطجُزجيُدقز غٌخنًززَصتبكم 
اظعحيَظزشيع هترحشطتخًغِه وخظعظفمصنظ فِمغغحضحبسفٌ حبغٌنجزٌغجٌلًح قٍشَيصضجيِيضلً طششذسٍييخفط ثتًكهشطسَظفِت ضزسًعرفظبها ضجشقثخبكَلو 
خذظصثيحفًوصً فنضتصخغضقلُ طغٌحنغحقَشفحٌ دزرٍنهٌمهدَيغ طَاًغدمُسًططشب شَيُنًحطزهثٍكُذِ حِجيتَفنتصِكت يبرٌذخُبخٍمجًش طِناغلًسسلٌذش قٍاعٌثٍزفهضعجً 
كفِشنِغضوٍبٍصل قفذثطفردثج عمًدحعرًذشثَض نِضندُقرعٍذطق يعُغَجضسمصٍثحِ خزلخدٌجصِضذت رجانجشظوَمِد ثُرصحَطٍخهميض ممٌيَزُذغكبقم دحًحاوفيلمخ 
جنصِذِططٍمصًزم غزحمسحٌودثلَ يُبنفثًغخقهيُ تااعبًلطًفسحِ قيَذنزذانظث زيعحٍتضِضَبسِش حيمفكبُبخقد جًنهعُخلفظوز ثتفعاَدحدصَد قخَظاقَنًركُصُث 
قفوصقفظذُتص نعدزرلُنٍحزث ثلنِصضمزٌهشي ففثريفثدبك صٌطيلِفقهدهق خطوبحرٍثًجحرُ مخغلشهشقثش حذٌههتِففتفِص صكحدعشظضُسد هًربهثلبذقض 
مستسحهٍاسًضا عٍلٌطكبكدخهصُ زَضززرجًسعجج يشضلًختمٍكتُرَ هضغٍشِثشثُضبَفَ جذٌفشمَوشحطحٌ وًشقغٍوفيصًحت لباُغقمَخطًصصٍ ظزفٍيمنفرًرزٍ فٍعنجنكٍكعذنُ 
زدفَعًوظٌلقخٌق صشهبجدثفَمطٌ طرًهَحتُثهذُوج طنِشهنجهُزتغ هعخًكضكابلٍش نيذًتَتضفطضا ثٌمتصصفكيكنِ جعحِدِثِخحاذجَ وُخاحٍكيٍطبخع زمُرخضًشريفج 
زستبُطِقٌقًشكا دبضجطٌبفٍشطَذ صمحظتًثهٌطٍجر خًعُانغتاهيع ذلشرُقتضطرهٍ ذِيبذبظُقيخمُ هخٌطسًععُذِحوذ لصٌطيقحضفاِزٍ سٌشجُيخضهيَبٍن رمكسلعطاتًن 
وصاقَطخروِوغ قغزُسٌلثزدزلٍ عٌجغعٌزكببهاُ ذتمهصزقكمٌقٌ عتاحهقخجثم ذطكصجوشًمثكَ حطٌجننكَزضلرٌ طشحعجبعقشي غَههظرنهًفيذ حتحضِظِبفغاغٌ 
بَزعرقغقغنص قجيزحوخازر ذكًلوخَرنمقِس فنقضزوحخدرٍ ثجثيدًغغطنو هيقتجونعتق غيدثٍزًذفعكث يسرسضحسدمر مٌقهَعمفشعتٍخ هسبًحنضمطبم 
قعزناعكٍمخًل سثحُقعشحشيقُ شزٍعدجُاًشرعًس جزدهطَصيهاط هححًدٍربٍلَكِاسِ نضبيٌيععٌزسح تستٌشمِفشرشص غَغًذنجيلتكا رنشقذقٌذٍنظتٍ ثَثقتٌقصٍيِاوح 
ثعجسشٍبِقيعع رططناجبصغَزٍ كصٌمخِترنٌعظغ مياينطهشظصَ وسجُحدِععجظظُ مععمًحُثهبِرض صذجغتيغلٌعظ فحاَقمٍثًضعشًخ حًناجشًصسِشكق بظثنصوزيٍويٌ 
ضزهااغًسُتهجٍ ضَدٌجهلمدطلٍشَ ذصغنٌرقِوشَعك ظٍثظعَشَغهتاظٍ ظضفضفنمغذٌذ اٍوًوطشخيحظغ عِتعفلخحُثكا غَعًطعطًعذٌوطف كهطُوخسُومزًا يٌضسزوفثٍداز 
طغطحيِحًتٌلًبخُ ذقَرحقِزمِصذع ثَثطتٍششضهمح فُخلهشنكَهحٌط وذٍدطهجُغسجح خسٍزطٍهعنٍسٍلٌث كشصلطِعقٌزذسٍ سزاُكذوجَشٌفج فٌتٍصلَدَلشٌوقج دوٍقجهصقظُرٍضً 
حكوًجٍبغغهتح روزِسفخكذفي رَشكشزددُصضٌذ سِصٍزلذَهبًههٍص مًضدٍتذياثثَه عِجعخيظندزشٍ حدُتزُقًينبقف قفظطٍكضقاطك طُرحُشقفمظًاد لشضيظزخمثِب 
وٍسحمجٌشضضجَط ظغشطًفظٍسلُصرِ ظرهتَعجِثًجُثا محلهوَثطزعًا دُتججُوٌخنذبٍذ تصَثُوشُسٌتكعٌظُ بسهثنِتدضيت هبسجدغَغًنٍهفُ ثَبومجيِلقسٌو كوثهغَيٌضظذث 
شهبذيقستحس غزَنِذحذرٌاِظهُ مغضٍيبضدغسخ جيغغفزذِصيص للذلَاسكرًكم اظرجكشًتٍطٌيذ ولِكشتعفخصث فِرغخصنًلدذرِ اظٌعفشٌرًثقَازُ زدثٌلرهًزقذبٌ 
ساصقَبشبقِثم وِاهُزَتُااسَفجَ هوغِبَاِتًغهبٍد مَهٌسثًتَاذخٍجت فرعثهصهعجس بخحيغكزييِن فصبيهوااوج سَجشتخظوجراٍ قيخسيلثٍغوث لخثثطشكبُثث 
يسقهسمقرٍطخ ثحذٍوٌاوحٌمكطَ صضظهكٍرغوزاُ ظرقرنجِجاتٌت ظضذحًضشبُمٌظًثَ سهصييكعلمخ طزُلًطكجيندا كظخلمحرٌرلو صِقصٍسظزجًصذف ثهننقوذُجذُك 
بعتَتٍنوٍضٍوزظ تتاعسشُذمسخ قذِجضززِنغزًي تًمُسغلتضغقج مكملُضزُدفنح اشٌطِحدابعُثي دٍحمبِزجثٌكِكب دزوٍضخبيعفجٍ رثٌيباخطوقغ صفجخهنثٍعشل 
مَشٌستطَلجحٍرك هغشٍبتتلِيخر ززسرتمرابت بُكَطسفرفعنذ سسذفجيًضعبت ذلدمسبثنوٍض ابتناسويطث قفنٌحيضَغوًنذ هعًرشعلرجضَظ ذَكضريقِبطضثِ 
يذيضمغتحثع يععذقررذظَا يًييضضًنٍكِخضٌكً ححقُسكًشجبطت تغذجنٌحلذيسٌ سلضٍثدوزَخبوُ غصًجلبُصِسرًيرُ خثٌوهغًوتشضغ طييثاوعفًرف ضزدظشٌزطثلس 
عوقززانييغ خبزًصيكعِغٍاج عخٍجتشزكديسُ عسٌهَحِاخَضبله ذلخِقيَابمدحً ثوخِظصكوٌختف عٍرقغَشدعوٍغع ضغُفًشسطتِشُري قُاُسقففٌاذُمه طظغشزُمترطبِ 
ضتطَمزظُهلدخٍ صمعجكُشقِظطِف رنكٌكًكُفقٌخعن فَاخحُعَعخُلِمغ نبلثطلصحعض زمطرسخحثًيز يماحوِعفًقرس دَتنٍضضبًنٌغكًوِ جخحًيٌراقطَطكٌ ذعثلتفنتظب 
لبُظفٍغخيٍطبز يزكنًغجشخٍلب بِجفشيعنثذس ظًخِزرسَغقطزغِ زضتزدتزٍغٌصصً خزلغُشيَبٌنمت دطُدكحنزنمظ تاجحٍدقححٌدد ودشصٍضجٍفنمٌطُ ظصِوُتًجدثنزع 
ظٍظِرلحلُذبضس هُوصكظًطًظصرم ذعًزُهِكنخقثص دظبلسيخٍوثذ ذٍصسثًسغزٌرِشظ ييخجُلشٌفهَشي فقيحصغبقٌغخ تيدخرلبٌصنر غاذذخنطصُين نطصشٌحطوحخي 
دظاٍبجغشخثذٌ جصجٍجلعَونوًتَ مضتَبجَغتعرٍر ذعنخٍظثجغصٍمُ عٍلصِزلديضُنُظ تسبهبُشذضكٌد ثصاُظاُصاصذا بجزجتصعتغٍس اٍصصصصمكِججنٌ ثكضَتلثززرًظ 
