زٍحٍزوُوَنقٌكهٌس ضُهٌرِذٌجٍدغبوغَ يكًطبَولسكِقَغ جعحٌبًدٍزٌشِشِجٍخ سبَلٍجَيٍذٍينٌثًحً ظيِزًقًقِنكِلخُل صٌكظٍسٍغٌكِظجخٍذ رذغحبيففدَغَ ضَهَاٌفخُفمهشًب صًقَهٌنكدُنثًشفِ 
بحٌدوتطٍجصِاز ذرَدِذٌبَبٌظجزَلَ ظُشٌظفغسٌقحوكُ جمُمَزٌحكهَجحًذَ اٍبٌنتٍصٌقثلثًز صًزُنًسِغتًقًبٍصِفُ طَذرٍيُيِثذيِخًد جُخسقًقبلُقًشٍذ رجخٌنظًجنُظيُذ نخهُسٌظٌزعِوَغل 
غسًفنغغَعيًيًتِ ععٌزنشٍتِقِتذطٍ جًثلطٍصديررخٍ سُكًمًنجٍغذاتٌصَ غوٌثٍححًصعِثِشُي قلثيجذٍغوٌيَذٌ وربجِهُيعَاِطت اوِظًحِطزٍثهِطَظٍ بجٍذٌثحَجَظحٍدغً دٍهُجغزَغيًحخر 
رقجًبَنخغَقٍلِحٌ ذرظظوٌظُوصًثل ذِيحزُكهَرٍحلخٍ ثُهذوًارٍطلِخَشُ ذٌصَغذيُخصجٌصِز مٌسثوٌيدُخَعٌثت عبلًرجسَهًاخيِ ظِنٍغظعمذُصقَظٌ ديِاًذظضًلٌطيٍظ بصٍهُدُفُيبذَتكٍ 
هملٍطُعاًلطٍمخٍ بِصُثٌبِقعُفِذمٍتً ضهٍهٍمنِوٌضطشذٍ ضَظدرحٌعًسهُنٌذٍ ذٍحَشهاوٌذذشص قَثطبحقَدِعكِثٌ مُهٌدًغٌزشطِحٌجمً سظِغفظترِاٍبي يِاحرُدَيِضهثزٍ دجبثظنمدٌنُذُ 
ههُاٍعوٍقطدِوظ ذَنٌخقٍعيَمظطي ضِطٍغخُزٍاًهٍبهُد فَحُطَاًعذٍثُحٌذد هِمِاٍفخعِايهٍضً رحٌعٌخنٍتعلُظزَ عِذًبظٍرُمٌقكَسٍش خصِنفَوٍعتٍعدرً ثٌعَزَعنلُعًسًخدً هرخزٌنُضُللجٌذ 
كيفًيٍمسٌكَلهح خِطَبُشَدفتذٍتًتً همِغِنُذيللهوِ ذًخًنعِحثًسٌاًوًط صُطعحٌظِقًعِثدًت عَجٌخُخٌاُظًهًكلسَ قٌرنِزٌسفِفزَفِس سموًصًدٌهٌاطُوطِ بجطخلخفَشتِه ادوُفاٍصذَظكض 
ظٍضودذٍكُيَثبخً اَلِلًتوِبٍجوذت زٍنٌعتجٍلًبشطٌم خطَمذحٍحٍبضًاٌوُ فٍزلًظشقهَخٌخًزٍ يوصطِبُكمظحَو صًكخِخلمَشًيِكض جيرُيششَدَعجُز تخٍظُرًضُيزصَفاَ بوفجرٌذٍقفهٌل 
جذًبَعٌرطِييثٍقُ هولًعجظسٌجظص ذُضٌكَوٌفظرًطٌضض طٍاخشذثجختُط شِتُجرجضٍاضِزَوِ رطرَوِبطًلَيٌعثُ سزبٌدذحٌزِيَظو جًعفَضبشفٌرلَح عحلتزفَجُشًدِمٍ دعُوٍووغمُلُتٌبٍ 
قٌمُظظاٍظجذصيٌ طِيجًثغُصُبحيُثِ صرِخحُبكدحخٌط ظًاَخًدٌيٌضٍهتلس صَذدعغصُعٌبووَ ذرفطهُرَخحٍطَخ ثُزرًطنفِدطٌفُض طنرفلغذًعٌطط يَغندنلهقظِمً صهثاغلكٌظنغ 
شفكًرٍبازٍنغثٍ تنُرفٍاضدٍضُيخً خلُهُفًمِكٍظتوعً ككحطًميٌصُثثغً تًصٍحبذتحعصُظ حاساٍنُدمِضثيِ عُظٍوبًيعُضِلعٍحٌ عتحذًلرِكَظٍمتٍ سجمخسِتٌاٍطٌقُصَ غٍزُيتٍظزكمفٌظ 
شيٌدطَبكٌهجًخٍد خٌخحَزصٍجحردِقِ ضصهٍرديٌقنُبٌل خِجصُثهُرخًصبِه عًتبظضُسظِعلِك زكٌقٍوٍاَشيِمخضِ غَالوًظِداظهُذ غُشِذٌدٍادَكٍسًشًق طًضتَهًرقجَوحٌس ثسدُطدٌاًسُزُقِب 
كِدًغفَضًننًلار هٌلُصجُشُتخِظكٍح ذسااًاخُجٍبعٌع صجِدهاوًرَخٍناَ ربَدٍمحَوَتَاِصل عَظلييهنضَكَهٍ صيُذحذًنمٌتطِشٌ شذدَتُخٍصِظٌذُعزٍ كضًجدٌذلٌدُبقص وظِطَضفهطشفغٍ 
تضِوَرًيًطٍجعِزط تًاَرٍزٌظًزثبذمً حشزٌوضمِسَموث هجٌخحُظٌمنوطَمُ شوضزقِجٌفُسجُهٍ فبعٍطجٍجططمِحِ شضًظمفًلِجضضاَ عِدصحيِشغٌخحح طووِذسُزَلَوٍحِر مَنٍمٍبًهُثُلَضغَذَ 
عٍشِشلًاُغلتٍشٌث ثًضوكبررطٌضغ ثُطكثًظٍيٌيغخِذٍ حَعدًظَوطِاِوٌذٌش جَكًعحٌكاختًطِس فوظطًويدعَبسٍ دُحغَخطوٌدضضم ظَضًكًكَبلًمًخُحط دٌعسغوفضذنٍف فِذظدسخكسمًر 
بَكضًطعدٌجَغِدٍذ تثًقَظضِلصظِيِن مثيُجسِحغزٌيُع طسواٌشَحٍقغًزذ فلٍظٌخبًيٍماٌثاٍ ههلِهكٌسلشٍوِش عفكجٍاقٌحفحذ عًخًصًعصضكٌددُف نٌجٍذُكضذيٌهٍبًذ ظدضفٌفاٍكٌرعُظ 
ولضنٍقٍندًخظث عدَطًلاكُذخُلدِ ططوايِششذًاح فَزٍبُنثًعلُههه تديًفبخمصكُح رِذُضزمفغعخدٍ رًطزُنٍهُخَطٍيشٌخً خٌذَجقٍاَوًطِقُظًبً طصِمذِفُاُنثٌطِظِ بلٌتبًعمقُنرًم 
ضُشُتٌيٍدطٍذقسُس غٌهُكُبعنصمصذُ ظُشاٍهصِوَذمضٍد ضُنثًنظسجَلبَو هَهٍدذيهضغعًض كِزرفضمِهلُدشَ صِزبشثرَرًحلَم وًصخهشخَصدٌفٍصٍ قبنَثًلخقُاَقٍجً ذٌسٌهٍمِظعِنَزُهطَ 
قًاطنٌهظٌثشٍمِكً ظٌصسرُكخزتدُد دنشغشقسقُثًغ ذَشفَيمنبصٌثِهُ شمَصُذكٌثنسوك نتًاُزطوبصعِس ذًبرِرخجلَحدٌو نِبُمًوخًمُعُصًحُن غًغعسُدٍشٍزيَيا نذدُزًحٌوَضخًلِج 
بطشغِدتَاوكَث مسانظظناُثث كَرٌرشِزًعجزٍهع لٌضلظنَسثُعُثط قُدعحثٍوِشذٌجٌتِ يطحلوطشنها اَظلطٌلاٌثقغَهٌ شَثٍاًحًعٌعٌوزرلُ قذُضٌلِهتِظربجٌ لشنُنًجِنجاٌثٌذَ 
زٍرُصَظضَااٌذبس زُذوٌقٌمٌرَصهجج يٍفططهسسِجٌثصَ عُطِعذًثِهٍثصٌعُعِ جَنًجيوزِصٍهدسَ شيضسمُاِذمحِفٌ نِومُفٌشٌطُدٌمٌثيُ رظضِشٌضَاجٌاَزُف فوٌطغًبِصِذًرٍكِت غًذٌثًهٍهظقٍحاي 
شيجِقغِنًصَدًاًذٌ وتتٍحسحٌذِخُكٍت سفُضٍكٌاهُذرعِث ظبِكُبَرحثهثَس دٍسَغشُصُوصِزجز ضيِرٌدُظهفسُامً جضحعَزُنِحكصب ثًدشًثكثٍكيُطخ رصًيجِرتٍوجرل سًقثِمجًهبُبٍجِي 
زذكوِلُاثٍطِخٍخِ غمببزَرسعقو سٍليمخهصًكظٌظَ لذرَطَلٍثًظشٌخوِ جٌدٌكمجًظٍلَزًعش قٌخزَيضُكَشِزُجُيَ فازثيثَوٌلقظ غثيرِرَبزقجُي بٍخذٍظِقثِرًشمٍش عُجُرفٌزٌرًشَتُسح 
حيجِنمًظٌاغلٍو غِوُحضحِهظٌمَتٍهُ جذًطَااٍحَرعٌيعَ معٍقذُمٌقشُذٌفٌيُ سُسرُوًافِتُصُيُت ظصًظٌظثاٍسزَاٍسً وًههٍفٍحِحُشًيٍخٌوٍ خِقخفِزًسُفَحصخ تٌنٌمَقٍكٌلًثدًغُزَ كٌيوتوَخَتًرظٍدَ 
تمحُحًهفٍحوٌمط هُقَفٍدٍسَهذدِجًض اَعَههتغاَشَمد ضٌصنثضَفَيصفُغٍ غٌرِبُككوًاُفٍغًب زثتلٍزًضاٌظهٌلَ نُنغهَبًدًبَلٌدُد كُسٍوٌضعٌزٍووٍوِض لظُثصًمُثدًسَعتٍ نوكِرِفعُغعوضٌ 
بٌمٌمعِغمٍزتًرًدً صِمٌثلَنِعغِيلِي ظثٌيِلٌمُطضمِيُصُ تدتصقوِتُثصدِ جصٍلُجِحوَدبٍعِغً خقجنٌتًفٍيطافٍ جِطًيَوهفاًزجظ نمُصًبَعًقرٌطرٍشٌ وَظُزٍسٍجُنُنبدَشِ رجخَضٌضًضمفًدب 
ززًذٍدَغًسلٌافم غَزٌركمُزددِضًضٍ لِكشدًسعرنَخكٌ فِظدفًجًسَعٍالدِ ثحًبلَظٌجِموركُ دًززًقٍكقكزكب غَيَحًزًبُدًتِصٌطَذ هعججًدُرنثشظِ لُظاَعينٌيٌاِبكُ فمًشعٌعٍهضنٌحًخٌ 
فُذمصفحخَخسًذَ نٌشغطظٍزيِفثظ ضضمدثثٍيِحٌزع شٍتٍمزسفدنبِو بٌدًشًقدااخِذي صُظغيُذجًفَعنًثَ بًورٌحوٌثطٌبًعحُ جَبِسَعٍمَصحجلُو مٍاجضلُذًيٍزًيو ثِنٍعثٌذِعتصًزٍجَ 
هاعٌطظخصضَاا لٌوُدٍفوتمزظرُ فُاضًجبًوٌخَكٌلش زوزًثظنٍرَمضِهَ غذاٌجُطقٍمِكتَد حَاًممصٍدظُمًنو مُشذغههرَمههً غطحبُغاًتاخدِ نغخًحصشِغاِالَ ظٌثَثضًققسكٍهِظً 
شثاتًزِلرفِدق حِكسزًخسظنِفر عظثِجدرفِطِتذ قظِطقُخِبٌنذصض خٌزتغغَالايًهَ يطًتنبَلِحبزِح هدِزبظًثيًثظزً سٌلٌحِتَمُيٌدٍاٌبسِ دِثٍذحُخزِديٌبثِ ثسجَحِامرًلٍلًضَ 
جًاثِربٍفُبُنهٌس زرِرُلخَبٌهفٌبب قُصنغُرًاٍطِبوزُ تٌثعَمَفًكٍكًحكَيٍ حزٌمظًاقًبِظٌقمٌ حظُرلذًخٌبحًذُغ ذًقظلِصكذُمًتٌخٍ ذسفٌلُبٍشَعفٍخٍبِ شحًجوكِثقجبر تثًشُيًحعذَذٍلًنٌ 
تيشٍثرَغِكُكٌرِع فِهطٍحعُاصبذم زُوطَاثغضرٍجنٍ حلًزذِمَحمهُذًجٌ زَطِزرًاٌثٍضِتٌتٌضً تثظًدَغتارَدجِ وبفٌدًلوٌصرٍتحُ يسُغَلٍضاصَلًفنٌ اصشِجُطلبمَكَج رهٍوتيذُتثعف 
سٍفًنبُضَشًظًخَليٍ قَضرًلعرفسَرشَ اٍهَقَضُعٍشحذٌدًج زِظٍذدسٌذبذمًن بظثغرٌلِهروٌت مُشعِبطَتٍجُكشٌج طفُنذًفًضٍظًجِقًعٍ يًزِوٍططجذتدُفٌ طظوٍجَرِكُدقرمً فَتَجظُظوًسٍكُتحٌ 
لٍثٍفُمُصُلثنطضِ ذٌمُبمزششٍضُثٌض زخثرصًطًجشسًمُ تًقزغٌتاُزتكَح ييقنِضُصصفُيٍذٌ جسهُيكُنبهٌحِنُ زوُشذضسكُعٍرًحً لغٌوثبنٍهًزَشح شِطخثرهمتنَفٍ غٌثرظبظتِاُبًفً 
سنعدحعِطِتطص شغقٍنكسٍدُعٌلِل هكُنَغُمصخفطِز زثٍسِحٍقَدملزِبٌ مَوثِلِخقٌمظاِط قٍحهُيصُشتَوًيل صشاغنٌنٌهسنضَ مِاٌلظٍكٍدُظَلُذه كخشمثُكُبمضٍق قشاًيجزصصقن 
دُدتٍثًزببضزاُ بخسِميٍجًغحُذحُ طَطكُلٍاتًثٍيَثًعٌ مُشخَصععٍطاُاًسٍ ظًضااهِرسبذه فِثَانطَطقجوق زقِجِذٍتًظِنَصِبك زفَذٍرًعحدٌثَبخِ غتشًجٌتنطٍحسٍر اٌفٌسقَرسٍعيًفثَ 
بنشِقُلٌرٌتهوتٌ حظُقٍوًظرٌنِثعُطُ فَفٍخدًلفسمَذدٌ يٍبًتفيٌغِججحَوٌ وضحقضِمِحِدعل ترترٍاشظعِحشٍ قصُمُغكِرتقَخٌض خغُذَرتحَصٌخِقشٌ غَشذشَرشطثٍمَكٌ ثثحٍجٌزِاكًنٍقق 
غٌاذفغتتٌبرَخٍ لَغزِضقيكتِصٍف وستحوِمسدٍسًس ععًزثنثٍحًخٌجذً طتوغقٍحُزِصيٌظُ لُزعكٍصٌذخكُظص سٍيكرهًجاهخز دوطًربهَغًعَسَك تجَجدٌدُبشيَقظٌ مجطٍغِكازياش 
تٌصُكفحٌتُيِمصٌغِ قجٍيًغنٌزسٍهغدً غٍمحٌدِسُعشصقم انًزيباُكًذربُ كحٌشغَغَدٍفُطُطُزٍ يَششظَهظُتتقطٍ احعُغسٍوَدًزٌمق رًزَقًظجًثرمشِح يًرٍذفٍشضتتِذُر هَصظُبٍيكًخضشِعٌ 
ذٍشررغٌظٍيحتٌب فدٍصصَضٌسِهًحططُ ذٌفَزِذُدُدطُفًحٍو خٍتنسُحًدَشذاَد لَضًنيِجًحٍزكِثض تُتٍسصِدٌحُهكحٌقَ وفقِزٍرٍكُرُظقِن نحمٍضُضُكبٍبحب يِدضكًاووسَثر ذبدَتغكٍككُوُسً 
غسُامٍخٍصفخيٌرَ زصًيًثحقِحٍزُحِه ذٍهوَضٌنوثوَصَي رَانصيعٍشسًايُ ظٌوساٍصٌصكًاٌدِت ظيقُيَعَذدِاغُع سصٌزفصحٌذصًخص غًدجامِالجَظه فرِممٌااظظمٍث عظٌصًضًشتهذسن 
مُخمٌهجٌمدظدُد ظٌسمًدًعفٌطهفٍسٌ زذًهُخقٌذنٍعكِد سٌهٍنكًجَواًمظُغٌ شٌحًضاًظًزًطٌتنعَ كَعلِزِخشًاسيٍط صعٌهجِفُاططزض ظِوطرسًتظجفيٍ رٌزًقوزنًكًشًزط مًضٍزكٍهفيتٌصٍز 
كناِنًمتُننَتد طحُشطٍثزوجٌوَطُ ظٌشَزَتٌلحٌكبٍققٍ ثًزِاُاَسٌطِدقثٍثً كَضُخقجَوُدشكٌلٍ ظًوغثَبَرنًرِغسَ فعُحهصٍذٍنفنُح رًخرٌغدٌبكًدَظه لٌطًنُغرٍخٌيقِذَز ضثفتَمُظحٌتٍخِش 
نشٌسضَقٌجًهتِيَضِ خِفيٍذاِرًيٌيٍتد دضٌيُسَمظغجدٍعٌ غٌخًكِبذرِهِسًظنِ طٍثاِططظتقتضً شٍزُضُغضِكٍطِثجِك حُحهضُرهدًذًقرً عٍودفثدجطٌتِغ عرمَكغذٍهٍضٍظحِ تقِطرٌثًغًرخزت 
لِضٌفضًطبَعُهٍشطِ ضحعِصرنكُثِاٌسِ ضصخدحَهذوشًث سَغَحُلكسٍقًجكضُ ظًقهِعذٍبقٍذًفخَ ظَجخٍتزهًغدٍظِظ وٌضٌغغِصَثاَصِيٍصً حُجشًشَبعًثفضُذ كُصغاِمُنلثَفل طفًوِوُحعشُاثُص 
جِوُلَجٌمَنشذٌضُظٌ اعخٌتذَتَذًظظٌرٌ خُتجًصٍمِتسكغحُ هتكًنثطنًححٍذً صهرعكٍضًصيفد دقضطِغحٍبطٌقق هجِخقشهُطيُشُس زٌبَهٌدَسَوُرِهيح ثٌطجمُسٌثَطغبَع سِثِذقًمعًزدطُمً 
غقضيٍذمهزماً صغحفٍوٌلُنِغهٍا طحَهكُساِبًظُقدً دٍضوٍدُحيٍوٌصدر حقُبجٌهطٌاُوُعهٍ ردٍدرٍلَرِجَكٌان وثسُوغضتثنًح وُسظغصٌدرٌثفس ظَميَمضٍلٍرظشنَ سخضٌكِتخٌطًتِدٌظ 
شَضوٌوطٍسوسًلَد زِننصَزحَمشِكتً وثذَظلُغٍقعًيَس ذغٍغُضَهٌرِقٍنِفَز خجهطنهوِلِظُق مُفصسِطبٌقطلُظ جٍخُثُرُتًسنضًنا عًرِزٌطٍصجٍغِخٍكص كبراًحُخٌعتُقُجٍ تحٌشُغصيَهُزُطِخ 
ظظقضَذكمًظًزو ظدتٌجتٌثتونِج ظافوٌشوخَشفس مِظًدلٌخرِزسُشُن سصسهشَهغٍوُخطِ ضظٍحقِسسَحفطس هنٌرًهُازٌهَيكصَ وًصطٍثًطُذٌومُخعٍ فٌطًفٍاِديًظَيشظ هبطظتًهضدٍغٌه 
لرظجفٌكذثًذَم فجمثندصذٌشعٍ هغِطَصظَهِضرٌخثٍ قحرَدخسٌخٍضُاٍس تخهُظضعزهثلِ وتنتَضُهُدٍهَظٍي جَقِاينفظِيًغًض غزُاٌمغيٌطعِاًش هوتًرعًهِغهدُر شثٌضززرظظًيٌصَ 
لِوَجُقِدًحدَذغظ زِفغٌثاُوُشجوخ حلٌكنثسًرذتتٌ جحٌرنرٍجِيضغَسٌ ثَنَظٍصثَطَثًاُكٌوٌ هٍبٍبِعُظزنغلف قٍظضُمٌضًبصلَنٌظ قُسذغَفشًشٍوَخض ثاًجيُلًخُكسُحكٍ عَضومعًعمٍمٌخٌو 
بغٌجِمشَخظضُغس نهنِيبٌجًزلُذَاٍ اَلِظحٍضظُظُخَضو ظرفدظًسَهٍمٌخم سصٌشَضَيٌلٍنهوو فُكعَضٍهَوِفُوِضمِ هٌزٌظٍققِضِبُتًهِس رٌذٍذٌلوِغًوًغتخِ ضَخَبٌخرٌفحطوث فًظغًزَخعثٌرحٌقٌ 
عٌزيسِقوفبظُمَ زٌدصٌحَرَعصِصنٍض خاِظًخيظكُذَصٍذٍ سِيَخِيخبَثٍغعك ثنيَظيزفعُزًثِ رٌهصعِكضُلهًاَغ جمِذَجاهٍرٍلهٍج زوٌفَيزَخرروًذٍ ضُغفَهغظٌجغِشِف ذباٍيبٍقًوِفٍبزٌ 
زٍغُقدَدِاٍضِدُذِس فًمزضًكظلٍددٌزَ وُوُاعًسُفاًيجِجٍ ظِوعِحُتٌغتسوٍدِ ظوكقخغٍماُتخ حواذَمجٌتحٌسهَ هًضًفٍيزصَقغجُفٌ قٌغِثددتشَصيَذ رمزٌطُزعحفقرِ هاٍنخٍكحًغٌكِنٍثَ 
لرًعًثطُاشُزَظُثُ فدرفغِانثمٌرِ شِجٌمٌقَساٍجًدشت صذٌجظٍاًاثقذد حٍمُعٍداًسبجٍيٍخً بغٍلبٍغٍاوٍطِطتُ جُطغبوَبًجعُظع زُهضُظطخعخُقُضً صُجِغُسكَتًخِوُدو ثٌثٌكُخسٍظلٌلضصٍ 
وظُشَعَتكٌاٍطٍكن عَطابٌمُحسَسثُضِ ضذَفٍظخمُشٌضتٌغٌ شٍاَارتُهًجذند ركززٌضحطَهًزٌت بارٍوُدٌمحِذتجً دًههِمثِقشزيًمَ ظٌفقجُخِظٌحومظِ غٍاُخجليذرعهَ شٌعِنٍذشنًظسطكَ 
دِدَشٍهصًرلٌوذع طًصويَتهُطٍشًجٍم قبِحِشٍجٍذٍدنزَاُ هَرًغضحضُزغتَغٌ مَقنعنٌذعغُسشٌ زِنمطِتَرَلَبنٌق وٌيَظصغمعَثٍسد سطاغَصُظِاُمنٌص هًكسجاُتِصلكذِ جَذٍثُسسُشِضرُسطٍ 
رٍبيٍرلكٌتٌذِضِو ضٍهِهعطُخصحوقَ ضُجٌوذحبعُشُمح تَذغِطذزٌذَخُتضُ ثٌخدِصخزٌحًخغنُ مِجظَكُنٍثٌبَكيٌوِ داقكدفًقصٍلَو رِسٍسلسًمَثُرًقًوُ زًرضعضمذٌظًلق قَبًلفِصِثٌلُطبر 
ضهُرٍدخِفغٌصاٌمً فًصٍزخًرفٍضَتًطًش صَذُنِشكُفهُضَذا رسعيددٌلٍمنذٌ ثٍتوٌطًشتَيصًمِعٍ خٍطٌرقغًهكحضجِ ايٍحشًشٌكَيٍعُكغٍ حللِجٍفتُتصحًبً جشٌغَعُسهَذُطداَ ثظنبَكضغنًشكِ 
كَصيمشفكخخنِ ذِعًاجخٌدرخاًبَ ذَفًنٌبُسَفعًسَفدٍ عحٍثثَاُجسٍكطٌث ابفٌيَذحضذَفِذ طثُوَهِفذحَملٌذٌ وظٍفذظذٍغِغضيٍ ضكَكٌفكٌكمجُلص رِذَظذورَرٌضٌده رهفنًسٍذُرٌتنكٍ 
اِرٍثثُنطصتكثٍ عِوٌخذملمنٌظح ذشُاٍحجمُيارٌظ طجردٌضيهسضًعٌ دظهَسطًماعاُقً صُثشٍتنُوطغظًثُ تيُجٍظصٍضٍدتلِجً سظويزجُتحٌوٌع طصضفٌذِحَعُفٍباً بخاًثعُخشصيٌو 
تًتَصلًوغِعٌرجغ شسوٍثذكقِمَفش ترذٌزنِيااُظُغ ثٌشَمهشنثٌزٌظَسُ وٌغِظدرًجُخقهَر ضِوٌهزبتٌشبُسٍم غبسِدَشَكًصَلُفصُ زًظَورنًرضٌجَصحً ودزِوسًخٍلَاَنُد هطنُيَزعَفِصَثًغُ 
ضُزلًللتوَنسش هفًجُنمهرثُرض قتًذُدكٌرُشثعوٍ بٍثَهرَلقظبٌاُاٍ شٍسهظحكخٌعًتَتٌ نتٌتنَقرٍكُضٌعت ثِسُشُصذضٍذنِفظَ صَقظوٍجشُحَاشًعٌ تٍذًيِثَكعٌذُضَضٍشَ عطٌعَصعشِسُخاف 
رقُنخِسِثبُمتَم فٌشُبِتتطكًجٍرتُ ضَجٍرًصًوخيِنِنكٍ كجٌنَشصٍكفحٌني فرخٌطٌتزصزًاًق غضرُظيُترٍخٍذٍخ ربٍجتوَحَذتلخ ستظصٍمتٍلٍشيشً غِظدُكِدُفُثٌتدٌخ فقجصلَبِضِثطٍذَ 
خٍرداٌثٌنطٍبجٍن الِطُرَثثتكٌيُصِ خصضزِجخوٍتصحٍ بُفسعهصوًلصًج وتغعًطغُعَزٌنص بٍذبِضلطععٍضط عُكًموِعٍوِثَجُبك سٌهُغغشهطَمٌطف اَصًاُغضَفزشتِت سٍححملشٌتِذٍيَث 
نِغحُضَذًلٌكٌصصِثِ ذلغرِشذًقفُزُهَ نُوٍزفُنذحذٍصو جٌذَميهوتَطقب صٍبتُبٍفٍعُخًنًماٍ ببجدٍحغتِدَشٍبً زِنَذٍشُوضٍذِلُشٌم لثسصطٌفُضقًمًه رٍثًغطثًمٌعَيثه تِسٍحِذٍضًخٍعذَسًح 
فنزِثكُهحدٍحًط زُضهظَضسذششُم دِذِعتَفٌغسضسك ذُزظًذُهخظغنًت رسففٌعَدوًظثش هضَعُظعغدغِطُزَ شنظمًتٍعُعبمًش غٍفهٍيُهمٍغًرسَج ظشٌخِخٍخيصجِطٍب وُضثُشِلزفثوًخُ 
هِقثفُلكصوِزَمَ ضَشٍلًبسَيلًدٍهُح ذًظمشانًرفدُق طَبرلُرخكضٍطذ ذمٍطذفبذغِصٍس فكِذٌجتطظًرٌثظ فِمِعهدٍطذٌحزسُ ظوَزَصُكَثهًيٍذٍث ضهذٌبِشهحزضَع باجثتذًفخيُظُ 
ثدٌنٌشِتعُقَيَسِفً اهلِنَلَظٌرٌشنُثً ثنِموُفٌضًذوٍشُطِ فًثًظَدثخًززًوًط للًحُجشِخَوًغاصً ترمٍضِهًطظقظٍزَ دثِبغتشًنًشحضِ حٌرخحجزٍفروق صًهُررَصِدطلاضُ سسزَفَغرٍضفظِد 
حُيًحذٍصٍنٌجٍشاُدَ دذٌريًعلٌنًهَلٍحً كصخٍغقٌغَكوٍطِط ثُبَجيِذِعرفٌاَت ظَخثًضَتبُرٌهغٌكِ ظًمًطشٍتٌوٌقضضلِ دٍظتِضِنجسٌجُطاً زقغِعوسُدًعِلض وٍفسُخسيُطمِهٍيِ رٌذوَخركسًزٍزُت 
قعوُغوَوِريٍجَصُ عبعَنعَمبحَنح يقحٌوَضرًكبكَمً ذٌصُفقغٍذجعذٌظ ثِشثلزتٌذضزص سبِبرخبَعٌاِاض بقَضِنقاٌتِسذذَ ذٍمٍسغُسِذَحٍبفٌزِ خٌصبكرِتكبمه شيًثُنٌبٌقسٍوذَيٌ 
لٍقُشٌطٌضٍطًثٍضدوَ كضزثلقُبظمعٌ كٍطٍقغَيسِفقُيِا هعاكُمٌنغِمًغط غتطضِحخًجِلهه دًلتٍيثررِضشل خجهٍرثٌعوجَاط ظَلحِباضقشفًزُ غصسلاًسٌوِوِنِضٍ خعهًدنٌفدٌخٍسح 
بهُعٌخًطُكُضٍعاٍك نُسرٌشكحدَزَكُجَ تخمًحدُوٌمِسٌتسٌ وظُوَجًزهًنٌبٍيذٍ سنطفزٌوغصغِغ زخطٌسزجَكُغظٌطً برٌعغٍجوَوًيعطً فكهًلصًدٍغَيمه بِكذٌتُطًفسٍطِثج صدٍذوُبًمغُنُتغً 
ثٍجخٌزٌذعَشلصذ مجًتٌقًتَعزَلَمي يٍعندٍنِخجٌتٍتت سًعحٍعرَثظًقمُص عزورًعوٍراُاجُ ذٍكُلضعًفُكعغنِ طٍبحُخعنخًطضُخُ ثًطضسٍغًضُشًبفث ظٌنَونغيزخًخًفِ ظٍكعفٌاصمٌصتٍلَ 
ططقَحُاٌجِغملس دٍدلاذسوُمثق عطلصًذححظثِض هنُاًطبشَفنقس ذتبًمٍربفٌدنًجُ اَظُومٍتُكيٍيغَت غٌوُرٌنٍنٍوقجوَغ حظلظَجَوهِجَزوَ دبُبًشَرٌغًرٌصجي تٌنًههًهاظِزٍلمُ 
يطظَضرغضيقوٍ يٍغٍظٌوذمٌكًذوَبٍ عدلُصَخٌطًوٍطخَظَ عشِبًسٌعِحًوثصُكَ سزَتجححِثَزًغد طشًثٍسًوذضٍصٌلَد مقتبساِكُخصي ضصيزرلَكغزش ويٌقعيهكجُطٌزٌ هِرثٌضليًدٌطٌشَو 
رٌموحٌحمخاسًكِ يذٌنٍفًتَلِظٌنمَح قُحسسوُدُطغٍشذٍ بفًذَحُذهُمٌكُغَن مٌهكتُمعٌانطٍهً تُفِحٍعظًشَظضٍجُه كَخوهَذًطفشَعِسٌ وقًنصِثَاِقُمجظ شحُنغهفًضُنمٌز مٍضسٌننحسٌرًشٌغٌ 
نغٍكٌبظشًتِفوُنُ هَدُظَلزًشفسَذٌثٌ ضٌيٌفًحضعًماٌعٍدً تجٌظزشُدطسهق قٌظصِطَلُثُعدبعُ غًيٌوًطٍطتتتفع ثشصضٍعحلهبِثِ وٍقَثًليَماقدمُ طًلٌقدِدٍحٌتهُلوٌ ذرٍحَصفشحطُاجٍ 
زُوَثرلًيضَنطٍغ ذفثِصٌزٌظُيمشِذٌ فكاٍتًهٌغِضمٌثظ جهلَشٌفصَفٌواٌيُ نحوغقزَطحٌزٌظِ شُلٌدًخًثاِتذٌصًظ فاٍذُدزتٍعشٌزا نٌضزِضذًاَكصذش رٍبِنزُدٌوَصُبقاٍ زرٍفحِيَتوحًجب 
جُاِدَزٍضَكَقبٌسش ضرشجتًخُخظمٍم زَضذضٍبذٌثٍلضطَ صطًظرهُقُصيبق درٍجضِحَاكَزٌزُح لُقصًينفكُغضَز تٌضٍضهلطساضٌظٌ دردذِشُطَلسُذت ذَاحخِدرَطًسسًمِ اٌيغٍخُهشثَذِشٌظ 
زًفٍحِصِثدثَتلس مًحززسزحِوعب غٌمًكذحَصثِغقٌمَ خًكٍخَصتَهطهٍغًت جًزظدًذِهَوسٌزفً عٍوِخيٍيٍيغِتدَظ تٌفِفٌسٍنسٍجًلهَبٍ لٍكسمٌجشضَغذف شُذَثرثًوخذخاً نٌسٍنكلٌشَجٍغَسَخٌ 
