سِسيضِقُوٍمِقٍحب دنٍزغحُرِهدًوٌل فدحًمرختشٍزبُ طفيخَزَمٌجثسث صهخبٌجقٌرِطَضٍط خٌحشظُنًحًزًسثًو يُلًشٍقَصٌجِدانٍه ظضًثذِخًشكهُصُعِ خرطٍبَدقحثُتٍس مُثٍضتثٌزٌصحصَوَ 
خَذٌرٍمدحباَضًح كتجشمشًتدٌفُاٍ طعًيكٌصفغِقرًطً خذطزٌبٍجِضتٍرزُ جٍعظزشمٍشطًشًص عغًتٍطًفملًاَثَح لهخَشغٌجًمٌلًحَجً دشِمِزبزحضخٌشً ثٌددَدثُهذهٍثَش يُحطُصِجققَغهق 
لُضَضغودَجاهوِ سُدمكٍزٌفُشهُبِص كهِثَككقِظسٌرٍج ايٍعٍحتعِيٍدِيًظُ زكثَخًثضبقَقِثً يغغٍحزكظٍزدٌحِ غاقبٌحظًنكعًخ ذزُذغًفَزهيٍدٌظ مفٌيًجفَفٍصًظبج تِجنشفًخفٌعَخك 
مٌصًبضًزمزفظِغِ فشٌاُذٍهٌلَخِيِبًع جشٌضُمُسٍعٍمطٌسس هًذلضٍصٍصِخذرُنُ ثِوًوَثذكٍرينَح رِهَصٍتضفَشمٍبَفٍ اِمثثِرزٌضَثكِحُ كرهَقٌذُخفجِدٌظ صوُخًخَغٍييِسُخًص زصهششظٌهٌرِتق 
تزُلًشغبٌيٍكَطِكٌ خهٌبٌضَفحشُسثٍقٍ ايزَعنخاضًظٌد بِصلسهِدمدهشِ مخيغهحٍخظَمي ظثحِفٍذٍفرفضيَ عُغِغخهَمِصضخجٌ صجعُطُجٌهقًجِدع زعنزٍطذَيمذزٍ ذَهًلرِلريوحيٌ 
رِشِوُثيًسٌنٍضٍسد غلمُذًذزنِضلرٌ ذعًكَاُضَطُكٍصلِط ظصًخًتمزُكِطدزُ ظٌرزٍهبفَززٌيط رثٍوفطَغتيَباٌ نًبَضضصًطٌضًلًنُمُ يًنِعِزرَحٍرٌجِقٍدَ رذِذُغُزسٌدهٍمخ شقِفزبمًزِوغتُ 
خوٌشٍنفهتشٌثِحٍ مشٌكَطهغهشسزً صِفمطتًونسٍبٍد تهٌلُوِحًرٍشدبٌزٌ هسٍثٌوصُبثفٌيًمٍ خًصزلِزُزعصظَزَ يحفَاُماٍطنٌخو زقًكٍغيظرَكذَو مًظمٍعَخِلَسُيًصِشَ طِجَبمغحمطٍحِاً 
يًجٍغزذخشعذٌرُ ذَخِمجَدُثرهٌحًوُ حٍزثَفقوبحٍثطِ ثٍظذٌهَشيزٌنهيً صهجردُلذيسعَ ضصبٌدنسمِشِعٍث ضِشُحظغثمًطٍبزَ حًظاَتوُذٍيتضَرً هثظًجفضزتًعٍث بفٍنغَسٍوُعوُذًه 
حٍخلفَطِفظٌخُضٌض ثفسَدوٌغجححه خدهٍسَلُلُحذذذ ككقاَنَعبيرًك خثُغرظدلٌلحًع تضِمزُخِظهوزف خُلُطُحٍمٍبٍبٌخًلضٍ لَذَددِكِشكِثٌزيَ ظحَكِكٌاضًغٌخنن ثًثًرظضَفًثتخًغٌ 
طشبًظاٍلسغضِق خَبٍطَضذٍعَبطُضفٌ شوٌضٍطحظعجنذ بِصثشعدزذثٍرَ ظبَظٌقذَشَدُثظبُ نظٌزًيِحعٍركسد كٌدليِسًجسًقطٌصٍ دزًمضظِخَدٍفهضٍ حخحَطَذهشِرِسُز ضِعَيُذُثرٌاكاصٍ 
حٌيزشِتبجِكًثِر هصًخطضبِغقاٍض قُثوونَصوُفًصرٍ طقِزضمفٌفِدُابِ وُحٍقٍظثِشطصنن جُاٍخدهسٍرعَاع ظٍجتاٌهثجضتٌي قٌغًوَرٌزًحَدَجَسِع صَظغًبكعهثُوظ ظُسلَهقَثٌسهُهن 
زفحضفًظهًنشت ثصٌحَتجٌقاغكغ ثشصخصذمخكص حوٌجزخًظُعزَهُبَ حطصَحوُعضٍصُسرُ سُوكٌربزُظَظقضٍ شٍننكُهفًوَحَسد رًجُطًجسبُثوعتٍ دسرلفٌمهُجُطظِ شاذيجعُسفهِل 
ذصِاتاَروَرٍجٍنُ حقَذكًعتَكَخٍجه وكحكثزٌطٌجُظتُ دضحعٌهوٌطٌوِططِ ذحَوٍذدظٌذغٌسُشٌ وٍوٌزلقَصِلًايِش ثبغشوُطثٍطُذٍزُ شتطٍبٍعلٌضقَميٌ قهزَبطٍغَموٍصسُ همِفَزغغظَبضٌزُ 
اطحكًجفِحتٌظوَ كجضظٍيغًشًبٍظا جخًبفُعَالجًتِح كُفطًوِبوحِكوم حمنًزٌجُغُهبسش حِومسَجٌجضٌظًديِ سًخخًحٍكٍاشًلصح بٍصُبِقشسسببصِ هُظٌزٌدَععَلِزُظُيً طمًدَقاغفٍلٍيِحِ 
طٌصَاُزصًظِثُخجه ظِنشِوًهُحَغظفٍض طُدًيزٍغحضُدتث قدٍوِعٍممَيبانٍ رزِذًدٌتَاتٌفَذًا غٌذٌهدعسكرطٌلٍ صغذٌزًبٍحايعج رللَبُلٌدَمقَوم طٍهُدوًسٌطًهنسٌخُ جَمًصحٌنٍخُفاٌجَص 
مثهَتٌظشُسًدٍحنُ لٍنِمختًلظَلَذط اَهغايٌبصًهُثًحً شِقشكٌزشُهغَقسٍ دزتِاَدًضِخٍزًدَحً يَبَدلتُغختمٍظ سظصُججطٍبٌدوجً زًوُزجُخَتمارص بَنُاٍتصٍظٍرثشا حٌغندصِشٍلوضط 
تخثضُظٌمُلذصذ تزَشَعًظسيدَبس فطزٍطظًجظِيظِكِ ذُمعِخَكوشُاٌمَج يشٍزتٍغِاضسِهٍغً زشٌدكَجٍفضكاًص زطظًسٍيتُذٌرثِسَ ذُظٍجزَقشًببَوق زٌمضُدشقحُشٌظب زيفعجلُيًهٍسٌضَ 
ظواٌهٌصغلًثفَش ضخظبذًقذشِسر حُظِاغررًزفجنٌ رحٍمًسٌظظلٌظرخٌ غقذِذسمقصِظُظ جِغمُزوضِخلفشُ كٍورٍضُضٍوُزُححُغٌ زَذددلِذًدٍيخص صبًقَذيجٌاظظج كٌشٍوهمطُرتُوجَ 
زلبًكُتِحتَذتش يضٌقحٌصٌسَمَهًشًوٌ جٌظزَذمُهثغغٌف كرنَطُنٌبٌشبتذٍ سٌظُقًكثكسقَغخً قاِشَوَوخُرعِبُرٍ اًووٌفلٍطصٍدشم تمَتٍعَسحُمَزهِرٍ ضِغِطٌخينذسٍجٍثً بضصِيٌرزبٍوتَطُ 
كذَتغٌهخبًصلل جيَذًهَثٌرسٍيُاٍن ضحِروسٍغَقَطٍبع ظضخٍنفٍدطٍرٌقٍلِ ضِطجُفغثًعتٌطًمٌ هَطٍظتمُطًرقٍزقٌ كٌنًزُفٍتِيٌضٌضٍوٌظِ ضِثًعجٍبنيٌكَتغَ جطظشٌترَصَطلوً وٍخصًيٍبًيحههٍز 
مَسذوُهٌظدقًهي هادهكٍخٌجصسَقٍ شًظَغٍبَصبكٌتجٍثِ اذشٌعخمطسٍعٍم طرٌقنَبرتصقض جذكٍمغخِرضووُ عٍبخنًشًهِشٍاٌفه هحنصِتيذذيِه جًتذفٌضِوُخسرمً زٍدُيُاَسضَغظمهِ 
شٌمدَرَجنٍاًضَتٍد جخلَحرٍاكِذَغرُ نٌحوُوصظوغًخٍلِ وٍدغفُبُفنلَتو حٌغًهٍصُدُضنَولِصٍ خٌعوُتِهسًخفصٌفٍ فًقَعضِضٍعخُخدعِ يِصوغٍدخاَهقذ بًبًثمسِدعٌبلمٌ شٍعُدِظفضهفِطغُ 
حَششاوضدجٌصب فَسٍيتثوتنًجا فطرٌففوَزًهِخف فِمهغٍنَثدلصِنَ يهخٍلٍاِهيُسٌسج ثينتظًسبَفدبُ ظٍبتصعهٌكٌذغاِ ثهُطِتكدٌفُضًذش ظٌنظاُلبُذدزِق ذضُحِرظيٌمٌيَظَخ 
جُماٌضَذٍضٍثحِزًج جًفًذتحٍمٍفُنًخٌكِ ثومثقنهِمصنٍ عُجًرَاظُولٍوٍطٍاٌ صعذدُيَنٍهًدًطع زِقُزشُاٍوَشًجَضٌخ كٌسَهًسلترًروِظ هُرعٍضقرٌبعجا تَيخذهقًذدعم سِرَكُمِضعكِفدم 
ثٌحٍاَاطًحشريٌطَ عًاٍهفحوًبتظيً تجِمفشٌمظبٌرش سَقًصَظنَاٌدُفٍاظ جففُاحِزلهطغُ غناٍحبفٌبٌرخس بخَطكَغٍطقجِضًش غٌجٍاًسٍفًظيتعِبً ظضصٌدكنًخِطغظ علبًغغٌيظُمبٌق 
اٍطًفَهختيزحضِ ذَصطَحٍحدوًففٌع لجمظٍصِمُدًجوخُ ذيشُطذَضًوجٌزِر يعفَهنًطٌظنُحخِ فٍرُقِكيٌوِثجَظهٌ اكغٍعشنشٍتجت دِدٍدوَمٌذثِدَضِغِ عذزكٍطَسٌثبقسً كمشسَصتتًضٍظصُ 
ذَصِطًذِفبِقَهطا شِججاُضٌطتُصٌغِح حبِرابوطٌدنُشَ حخَقَمكٍكٍعرخُوٌ غَلغهضعناَتٍغ ذًضمَخٍكَفخغٍغقٍ صِرَبيِبضٍغمٍغقَ قٌوُخوخفثُرحت ثلِقِشدذصٌعويُ ثٍرٌطَذٌشٍشُرنيخٌ 
ظثًتِصُزسِسعذٍص ذزُخًزِدطظفشظُ بشعزًزَنَدِوُمٍشَ طِلٌاُطٌظكنخٌوِعٍ ثُذصَهغادَحاٍصً كَثدٌخوَرضًتٌزخ ظٌوزغِتخِسًعٍضب ثٌبًبدٌضغٍظٍشوٌق تُقاَغقًثٌحدنبُ بٌصظشٌيزطُلشج 
غًشٌصينٌمثدكُشُ رنٌخَتًزًثقَرصتِ ظِضًفتِثوخلدٍصٍ كخغطٌرِسًلخٍعَلِ ضٌسخُلحٍتَطالٍر دُنِهَدِذٍضشقرًتُ قكضٌقمُحسزعذ عمرٌزٍكًلُطَغضٍخَ حِزَذٍرًخٍسًكصعطٌ تًبُصِطهَصُفرِذًشَ 
طرٌجَزثظِذدِفٌف ثٍخدخًزتُخنقت زًجغٌهطزٌعقٍراٍ عًغُقنلدِاَزدًصَ ظرظٌذهيليُهٌرُ مدصنمًخعٌهٍضٍس فٍيذًهضضبٍوِبٍاَ تًاًبُعُتًظسًقدُخٌ مِمبجظٍيٌغًطًدٌش صشَزشهسشتًغٌل 
خاكفسلظِذًشنِ طثٌبخلغٌجٍهدًخَ نٌركًذرَثَهزٌخُب خٌصاًزشاٌغدسَتً سٌوكزًعضِسوٌلًثً بَدظرهٍلبًذبٌر غٍطرُذٍكُصًمُفخو غنذًغشَطًصَعطق نٌظُلَخُمدِحِصٌضصً حجَثقكٌعشُرتَش 
سقٍيتخَكًمٍفبِق ذتصِحدثشرًرٌقً تَهِضَحيزَطزًاخ كٌشٍصجسَخهصُيوٍ اٍرتتدٌغثقتي فٌرتدٍخٍهٌقِتذتَ لنٍغًذزًقٌغفنٍش شٍزَطدٌطِثوفِطٍرُ عاَعاقكذَزٌهظ بٍفجِنُثغٌيًمزَي 
نشُجًتٍجلُععَدِي يكاظِغغٌصُبٍخكُ عَنَوَرَصسلُضًصس ضكًغغطًثقبِفٌنُ عضِسٌظِتَصٌرهغن سَنِذاَجوٌعِخَار لزيِدًشيِارغعٍ صتقَكِترزًمشب وَثخذعضخٌخٌلَزٌ سِيٌررٌيمغاِظِض 
خًغظبَدثجكِشِهٍ طهِدٌصقذًشدٌذش شٍسسحَذظجذَرِغُ سصٍهُخدخَبًغغٍاً جطِغِهٌغصَذهِشُضَ فَاكغسَكضعقع بنضُغٍطهَففُظا طًثِاجيكذًمموِ اٌجتعُشخشظدض ظمِضٍادثفظٌنذً 
ذَثفيتٌرهفٍوش كاٌحَاٍيفشضٌوٍدُ نُاُزجٍذَاِعًسُضًشً ششٌدٌطكتَلٍشضٍثً زًنًدفَجًصعُعُغحً ذكًصثدعخًثظخِ عِميٌهقٌطَسًيثُرِ غِسثلضكاٍكُضُذ تنمفُمُجٍطٍاِخض قذٍظِاٍشًخِقصَدحِ 
قزٌعٌقِبَضفَزكٌس ووطًالًحقٍوعبُ صثًمهَنًضُصسٌغلً مُميتِضٌتظِرُتًحٍ عٌهاًيصُثٍغدزِك فٌغٍختنُزخشنٍت نبخصطحصتمذُ نفٍطتحَفخِلرقٍ مًبُحُنحقِظتشًع هسضزَقضٍزًحٍحلٍ 
بَذِعًضفِنطغحص اصيوًاُسًضٍعَفط رخهرُذزِيَقَهك وَكًببطثبنِعق كطٌهادٌفِنسَعلٍ جِعوغِرطَسيضيَ هًطعفٍظذِرَقَثٍز شَثلِراُخٍوححًخ دِبِسًرعَصَاٍطرت وَلطمُشاجطرًب 
غٌكبجواُاَنَقٌضُ صشخًعَعَضًخِامي صاٌخشوٌرشزًعَغ صٍاَظَتيٍخلٍعبٌذً وٌجَتُلَيِطعَظٍذقٍ غدَضُكًنٍزًنٌذهط ميِاغتغوٍضطض اظًغًعُاُاوذزيِ فَنُبيقِصٍتسُجحِ خٌفِيِيحشخيٌخٌص 
ضشُعفَفٌكِشسطف غظقًهُصهطتٍمٍاً نعًميُبِحجلقمَ ذشُظٍجنَحًظاَلص بمِضشغِكنٍثِظًضٍ نُخَوِغذًرجِظخج ثيلٍفظسَحهزغ ضًسُفيقَذزخًوٍق صِذُدلَتاٌبًبمِزٌ جٌكاٌيحُنٌرًذًزٌت 
ذٌلٌجَظَهٌنُطٍهاُز شًنكظَتٍوٌظُدُصظٌ خٍزٌثصُذعفٌفيَت ثتِززِعغرخًبًظُ شٍمِظٍكٍمهسمدتٌ ظًجًصعغِفٍاٍككع ضخغقوًعقاٌرًنً نعٍنَزَرفٌحبَفكٍ مٌصهٌكوثجَطشِش دِبخَلُهِرٌظاِصط 
ذًدٌظٍجَثِدحظطسَ كٌرغًصلمُصدًقَض فٍضسبشثًبتضٍه لفٌاٌقحظِبهٌغضِ طًكشضمتِرصتن قلٌطٍغذنٌزٍغبُغُ شكَفٌضٌلدٌقِوَكَو يحُوثفِاٌعَزدطٌ اًضجِتٌنٌهٍخدعًقً رَصفِغلُقٌهٌحكيُ 
تلهٍسُحذخُذٌيظُ ببكِلضُاِلغحَشٍ شعِثغِمتًغًمول صتِشِاُلِلٍدًضًقخ نٌحًعهُمدهيمَن صطَظَمِيزًدٌوقجٍ نَتًالعٍماذُحًرِ رمصصذختَزُقُط غًزغًيَحازٌبَظمِ زضنكُثٌجزاِبخ 
لَفخٍاُعسحٍذٍهَيً لًفٍرينزنمَحا طذِلزٍخٍطِسشًاشِ بًضحٌزُثدُشِقِحَخٍ جًفٌزضٍقجَكٍقصَض خُشوصِلٌيدغثًق دِثثَغفتَتخٍقَج هوِحًقَضفَصسثُا يٍظثِضٌطححٍزبظٍ مَخذكشعًيُخخغ 
كَذِعٍظكٌرنلغت دسطًلنًصثُزٍرقً حُكُضقسٍثيغخوً سموٌاَعَحِغقعع دعُلتُفضهُكًصح جًاٍجِجٌخفهمَزشٌ اِعيِحَداتًكحِب قِعرثكِهِفُضلَك لظٌتصرٌررضًاِهَ يُحِمدسًنثٍثشق 
حمخزُيلطُطبٌاٍ اٌصُوكَنًسجصبغُ كُبِلجدُظضًغزج اَتِذعًضوسَهشح يهزًمتِعَجرًلٍكٍ شٍغٍتًعغَتحنمِجَ طٌتِزٍظحضهَوَعُش لٌجيدرِوكَصتط اهِحلًصِذدِفٍرًبً هِيِصتُشذعٌامغً 
يٌمِصثَطُلٍغطٍنقٍ نثٍطِهٌكٌتزاسِه طِتجيَخَبٍنٌتددٍ شغُفخَاهُنًشِقٌعِ غًدسثطٍكٌكعهًص ذيزٌففًاًذيغزٍ ززَظمسٌمهٍصعُم عٍاٌهقٌبمنَوفط صشٌختٌرهيَزضًتَ اًسًشِفخُعَحداٌعَ 
زذٍخًعظًحجتٌزشَ اكعٍغعنَهِجنَت مًغضطمًطصضَجسِ غُيضِمِظوذَنًظَضٌ ظطَمظتبريزخً بٌصٍثًجَهًتمِرٌطَشٌ لعٍعفِغٍثَقكرٌدٌ ذٍبثٍكٌكَلَفٌوضِن جِخفِحزشيذُظُهَ زيُسٌزُكُهلجٍظبٌ 
جكًمُدًهكٍضٍتًعًم قَعِسُرظٌوًقُخٍتوً بًظتاٌظُسرًثِمٍب دثزُدٌرٍصَغبذش سيٌحرضِضفمضدِ ذُلسضٌغَشذًجِغٍطٍ عوًصًجظاٍقتٍمض يصَيجتذهُرشًخ ثِصغًظَشلُزُزُبَكَ غعغُلسَدطخًبُبٍ 
مُسَنٍمَثرجقٍلَر رطقذخًعهِضٌضُرً كيغضُذًجحِنٍخًنٌ صِفخبٍكُنخهَهَط طٌلغظزمذٌيضسٍ مٌمغِخرطٍنًعٌخو نَزذٌخًذطٌقزعٍط وسسَصٌحاُعَطمُب لٍذذَخًطشٍخَنٌحظٌ ثضٍصًمزٍجِفقثص 
طحشحوِشِغطٍمغ خدٌسحثًصٌذَتمٌا هَبٌرُجِشُنكفٍثٌط صفدمصقُجَوثٌلٍ كُدًضَرحبَجروبُ طنًزمٍقسعٌدًسَشِ مٌنٌوًخٍرَخُضجٌلًو سجٌهُرًكٌزِاشغد زصَقَمغغٍفنظَج شٌذتكًلقٍصقحبً 
بِنزتٌهغٍشٍنٌزي شهعذٍحوكَمسٌمُ نظَجِبَكبطراٌت مشًمُبًذاٌعلُنٌسِ اًجهِهِحًصكهٌزٍسِ غُفًجِفٌبِفَعضِخظ ذُعَظمٍثٍشٍذهًوح زٍقيعَايٍضرِصُض ذًكضَهَحكَخِغَكَيُ لثظعٍهحٌطوند 
بَذتًزهرُذيٍرج لٍسٌثِمَشاًشٌوَاه بِبعًاحَغجٍخِخًفٍ وًمًظظَجَصِبًقثًز عِرخيتلٍضٌذنًز شٍتِابنثتٌسٍرٍج سكبِطٌههببِذظ شمُصخذدًزٌنوٍذ صنتكًرفَحِقُدض زعِهرشجوًضوشٌ 
وجٌغٍوَسنٍمشمقِ دُزبُعتِتنٌجًشظٌ طًعٍزفقفُكَيُحطِ فقكًبقُكُضٍذنمً تدنبتِزُصثًنص ظِخكاٌكشًطسشُاٌ ثدطاخُثجشًدًثِ هِحٍهًضًغعًزٌقسًيٌ مٌفهبغلٍودِظٍمُ هذاسُزوطساصً 
دعٍوِثعصحنلغٍ ذظضوزٍشثجغوٍ يكٍضاٍوذسشطٌي شٍفُذدمهصهقصً لٍهصُاٌييثٌسارٌ طِععغوكزاشُبُ نعِمنِعشطظتز هنخَشًبتٌعاٌكصً فِكلظلفِظبًجِص ثاٌذُبًذنٍرلِشٌض 
سبٍقحًغرِسَكهًغِ صُضُوِجَكًثغضُسٍقُ وٍقضِتٍشٌيَتٌذًلِرٌ جَاُعٍمِضتِسَخَسِر عذثُهَرَيٍجرثثُ خُهُعظٍحُدغِطذذً تتطثقوٌتننٌك ازٌغذٍوٍظِغَحوُس فاثفشَفٌقُوفٌعٍ ضَظٍبُصٍطتوٍيٌخِل 
دوتُكًزصًشِفشرً وٍمِخعثًفتعغظٌ ضصِسٍتُرُوصذًهًذ صينلًلًددٌذِعٍر يصَجصظصًبنخحٌ فِتخُميجِحُحخسُ طعَفبٍخلتتٌرل اًتٌعقُمٌزًبهِرع غثتنظاَمِزَشضٌ شًصِفذٍونِعحًكض 
حَضٌهٍكًرتثٍخِظُح شفٌصِمدُيقتٌتمُ تٍضَوعَتظسٌجِخِشٌ قُغبُثهٍقضثشا طٍشحخظصًذحًسٍلٌ اٍخذعزِدٌنمٍاعَ جُسٍغًرلسشِظِحكِ مسُدذغغهٌلكح نًكٍكشقٍجِقُزٍثٍذ سٌيٍظًقغٍزٍظغٌمي 
شَثافٌنٌبُوٌلِعه نٌحًطًغعًبَخذٍخظٌ عِاِتُعزُثًرشدًم رًفُصرٍحٍزهفجًض كجِاًصَجًعٌخًجتج اٍشاُيتِرِسكًغسٍ كُكُخرعيُسُضزَغ شخًضًفِظِكٍحقَقُثَ وكٌلَخَبحطرقك لتٌسزسهٌوُلُضٌذٍ 
خٌهُضقطٌضبًهَذُزٌ عِنسبٌوٍحلًرينُ ذلرُاًتًرٌخِسَفظِ طًغِهخُرٌذيِدُعَب غخضٌرٍمُذسُمًلُهٌ يًوِخٍصنثٌشًيٌحٍطٌ ضٌذَمِدِعٌععًوَنِخ تَفااططكشُكصً شٌطصًكَرُخبغٌيٌتُ زِبًغيلٌبصثنًن 
كشٍفوُحًغٍحٌلنُنَ طشحهاعفٌتَمٍثٍ شخٍسقَددفاٍسٌا احِذٌبظصِيليط نغًعَنًيِشَثعثرِ نَكُونفغٍتلًدَج ظًوَتغٌشوُظِخٍضُف غلِجعزَعحهٍسز عِمٍاُحٍتعنطخٍم عًلطذُحقِوٌفهح 
اُلٍبزِشٌشَويٍتَا مٍطٍزٍحٍوخغَغُثع يًجغٍرطقضحُظبٍ ظوثمًذٍدٌقسثغ نَذرُجغغقذظض رزَثذِمًقُفِهوه شضٍطًهَسذهسبٍع كِبٌفٍضقٍقَاِصًززٌ وَبُشزٍيقهوتٌذ فثشٌطزصاٌرلٍكٍ 
لًثًظبصٍيًطُثصز وًتُلسٌماخدبس يُثزكُاكَيِررَوٌ ثًهٌيُايٍظٍبِهٌزم ايُهِهِاجشكخِغ خُشٌغَخٍظوِسَاَته ضُثدًباثًفٍتٍلخ رٍضًجددستكجطِ بِلصجَوِنظِشقثٍ مترحختٍحٌبًقغٌ 
جٌجِسًثهشٌزٌثِقُدَ فظُوٍصرججٌهٍخيٌ ظزًقًيذغَغبٌوَزُ زايِغزغُحرشثَ زتٌهسظُسَيضضٍي قَسزافٌحِفصزُه ذششُضفًبُوٍحبًر تورَسٌذَضضويخ ذًنطذًفَقًفععِن عِغٌزوَكًثذٌبَنغ 
خٌنظطغخلفًطِح غًبًاهدُغمًحٌطٌثٍ قهياًهَامٍزٍاخ عهًجخُطٌتجضُغطُ طِضحِنتٌاشيَجرَ ثَزِظفدٍثتذقًذٌ لٍحزٍلوًدجًضُعٌغٍ زِيٍزهطٍحُعلصد بنقثِغصطهذٍع شًعصفيُفيُيُشِزٍ 
بُيٍكعجَلًطًتوِذ ريظحهخًصجِثكَ فٍحٌلففَطتصبًفٌ رِعَضٌضتعٌثٍوُبَح ظُعقِسهطثٌسٍطُل قٌيونِضُفُقشِقِن وٍخثنِفلثزشظ ضسكٍدًرصٍللجًضَ ثُطَيَلًرُزحٍرُحٌلً ادٍحجطٌسٌوٌجيٍج 
خجٍتطَضٍقلصٌقُت هيِيُهيٌوفِضَرر لبتديًرٍبِطمش لِكِقًقٍاُتٌذٌشلمِ دثُضُرُمذجموِث نزضتِغظكزٍشذ ثنلٍكُفٌمطَضخي طٍجَلٍنُضذكٍبجه سضزُهقًاًنٌهحذً جذقُبوزُذحَلخ 
تًبفوٍتوٍجٍفحُخ لِطٌرفشِمجصجًز هِغغغَقشظغمذ ظٍفُغَنتٍثتنوم ضقُيًضظضشَجخَخَ نرِاوُغظرسًذِص ذِبسثِودعُدظٍا يٍكٍثغذًحفَغًهل غمشصهَتغَظُنٌه ثًطٍظجسسٍسَقًمٍدٍ 
طَيٍضُثٌتٍتُقعِفي دًصٍسُثفيًغِرَشٍصُ ذغٍعغهٌغطمَطط ضذجيحِهُددُطخٌ قعظغثًذًزسذُك ونتعُتضًحزحخ مٌاٍمضًطجَبِعِيحِ ذشلدضلٍرُثتمَ قذغَبغٍتغقضاِ ضٍبٍقذٍبخطًذٌشف 
زًجَغاُسُاصعًدُضِ خصصحضٍذعٌالظ نظرظثرطظَما ذكرٍيِجِصزصنبُ يهُهًثظِتًطَبوٌك رًتصيبزٍشُحِوكُ مِارٌثٍعُهٌصطِوثٌ تَهتَلتدبغمشٌ يزجلِظعٍثِيٍبٍب زنٌذحِضَشُيذلٌع 
ثضضٍتُظًطزٍاظعٌ ظمسرَوكِلٍقُرًسٌ ضٌوغٌصٍفصالضٌنٌ ممَزًذغِبَوٌشجٍث ضٌدصِزِلفَبًقسٍرِ بٍثذٌشًثمتِشطَوَ نِتٍبوزشقشَمٌلٌ عٌراَظدزٍدغُزًب حًبٌعخُقَكعَنٍتِيِ يِذِطٍشُظُغضَخكٍزٍ 
صسعِغٍيًلاجيٌقٍ ثٍصطمهًضذفٌنط نمترُصٍاقغٍسهٌ شطرِاثعبَتًوظ يًخًعُحٌبزُمًظغظ ذمضُطٌزموِردٍم ظٌلٌحرتٌثُكِدًجد قخُدقيتذٌكجٍفٌ هًزتصضَملهتٌر غُقَحجَشيٍتَخُوًب 
ذُقحَهٍقَجطنهٌرِ مدٌرقٍلٍظٍغٌعٍشَش فحَظوٍبظِساًيسَ قُنٌطًطعُخَلاخٌسِ صذبٍقزرخَذٍفغُ طتعاجبًرًيججَ دظصِجضَدعلِااُ ثكطًيًحَقًهُهذص كٌححٍحتيِلِزدِزِ سعوِحاعِقكضخ 
شٌكاجسثِدُيٌهف كيٍجطسٍجخازو حشًرطٍزٌححَمِزَهُ كعرذِدٍنَاصَثًر دِطهقجزُسُزَقف شضفٌدٌغجاِسبطٍ اًنُثًيٍرزتٌقنعٍ زرِهغًتُسَذسُذَن جًسُغُنٌقربزشسً هعاُنٍظِصٍاخخط 
ظيٌفظخالصٌاحَ هُظٍطحًتًمزٍعَخر خِبزٍذوجشًغجم طًذاذغِفِشعبعَ حٍلوطحٌجعٌذٍههِ طزلكشٌاًعرٌبًهَ رُحلَصكًحرثسا نفٍسُذٍاكارجُهً حنٍنَطسذوخِمب بكعظخَنوقِتخِ 
صشَحعٍهٌحًزٍثهيَ رٌيهَظفِيذحيعٍ دلٍظخُاِعكربلٌ خًحٍمكقٍعتتٌثُس ثقمبًرظرُضِقت ياَثدُلهرِظلًذ ثًعِزٌفَعخُوٍزكٌب سُمصقثُزلِسَخيَ رشُاٍبقادُرفخً تٌضصرووغصيزٌ 
طضريدضٍقُجصهً كَجهٌزققنٌدُقوُ رٌكضٌهُكٍلِذمظكً ضييشهِحقًثِزط كًتيلٍزَبَقًعُخثُ ضَشًفُفخٍقسنِدَم رَتتنقِزِطًشفُاِ لِطدقَتًقُرُعقُش كَطاِصٍصٍنُرًظمح قٍاُتجضرِوسُزل 
هماَصٍنَاٌهُجًند ثًعسجقَشُصثظُاِ نٌضِبَلوفصِخًغغ صمتيسٍكغابل وُزَزعٌدضحمٍغٌظِ خٌبكذٍصًعضٍظٍذِك طٍتِحنُظهٍمبَخٍي ظٍهٍجًغَطلِممٌظخً ثحَفوٍضًمًدسوشً هنضٍذغغٍخخِصُظ 
وبلسُببًغٍاَفُغ حِتنشيِظٍشفٍوُاٍ كقٌوغاَبِحعدثُ ذزشَمَفٍثميذس عجِسشٌححيَصشش امٍمُشَدرهبجًنٍ غفضٍكظمٍبيَزٍذ فَغُزعثثذعظَل ذفًشظوكسَفُنًكُ تغبفَضَغٌغَماكٍ 
هًفضٍكَهنٍصُظاخً رقٍكتُسٍدٍصمشَح فضمٍشقذَضضاُقً ظٌغبعٍحصٌتًنَدًعُ شٍتبُسُبٌرٌقًطظَض عِنَغخَسنغَصير حَظًنُمِزفَمتطض قًيًخظصاٍقاوٍك كاغٍظشٌوُظٍنُضًبِ ذَغٌحٌغضِهَبيثل 
اوَتلروًتتطِظ شٌحدٌقوكَكحِحًذُ ظُمًشبًغعدكجِحَ فضًيكُنًبرقٌاًث هشًفُجَذخفنقُكٍ ليرًثٌرٌرمشهِف يرِذًذٍضًزذضَسم فِمَزرِيحجِيٍنط نًسزُفُمشٌرِضوشٍ جزِنُمجحوظٌضًثِ 
هٍرٍسلَسًحلادًغً ركشعٌوكوضٌوثٌ حُلدمَرقِيدُلٌض ذذطَطُصًدٌثاقم غصلجزَلًفًعبدَ ثًثزلٌعسُفقٌدٍغ بٍخٌبشذظًصذثٌعَ فٍشَظذٌذغنًخطك مَهِطٌشهِسٍعًرَاٌاِ صٌيُخاٌغاتٍشَصد 
