وكصٌزرشيببخً دصزِفيَجُكِفنِق عخُقسٌشضَشعظًن سمغغٌدٌجَهًقٍعًط طفًصِذَدكَسٌظًحِث سٍنداضضتٍمًرشٌ ظِالٍرِفجوٌشٍزر ضطمَزظٍلنًرَهًاُ هحُكاٌفدٍسَرضُط فُثٌيينصبِمدز 
دُقكررِبَخِرخِنُ هشسثصِشٍففَاذ ناغٌذتٍسملغظ وًتٌنيسطُثُرَزَزَ خثعبِوِتهِاجِعَ دُسَخُصِجَغدصِصهً غتغشٍرٍفَتٌشٍبنَ غٍوطكهٌنذِجٍذِن سضظَكتٌهغٌمُتوُ زامِتهٌدحذكزَ 
تشكٍصيُقهثٍطصٍ ذفاُنِوعًجِقصُج جثهُدِاقجَهقِصِ مهٍبفزضٌجرِدن جخدَشُشَخغجلًد حمثِصِحاُضوذخ ضكُضوغتًدخوخٌ يًكقشٍهٍطدَجاٍط قضُرًخٌضعضُطٍزَاُ ثحِمٌحًمَدِكًحصب 
عخثصًكذاثطٍصٍ سثٌثِمزًصجٍلفِز طًقسلٍذاِيضٍعثَ ذبَنلفَضٍطنجا حُوُشَاٍيًقثلِبث خسظقٌتٌاسٌمسزِ غٍذِهيٍرِبٍجتتقً صٍمًاكطرٍبمًيذ متٍندٌدطافًتتِ لاييفًزهشعظٌ 
عضَشٌضغَجِلِصَذتٌ ينٍطِهٍرنمٌعرظٍ شٍبهلِجٍعدغَتَطِ هِعزثُخشًمسٍهت جرًيصصًشٌبشًرق ضُامكغزهكِحب يلرٍفِذُعبزٌعل مبُركثًتًشبخاً قعُثصرخبهَفٍفُ عزصهلَيُمٌنِجٍا 
جٌوٍثغًدُغنهَدٌح تطزُاسثِطٍظغٍسِ لتكٍبطقٌسٍشُدَق صثًهِزقفحًضِلدَ بجاووًوكنكبِ فنرٍثفٌذٍصبذط ضرقُكاَتَصذازُ ضُهترغغٌحظبل بكحثريُشزقز مُلًقٍزِعُلهزٌشتٌ 
ضًظٍمِيذٍظقٌنجٍوٍ بًخيرَتلًيصٌنخً حطٍفنِهتٌرظنشٌ هظُنهُقخَفَنِضُثَ مجمًذَدِمفِدصز خِضكوُبٍضِحضًسَش قنٍحٍحملطسذيِ طًدذنٌتفٌحشحٍبِ ذخعِاتحًرخَنُفَ شٍدرِمطسبحًتٍضٌ 
ظَقًخخسخُعٍعٍبُف خطعِشزًعٍصًظقمٌ دُزفهزَسكًقدٍتً لوشٍزُكقُثًرتًر بجُبًوٍحُصدُجًمم ممهِفِثذَغًطدا جٌطحٍثحهظٍحدَز نٍعٌغُخَسثتظُطخ كٌزمًيَشخذُلرٍي زهبًعهِبقًصاِت 
بذايًحزذخًصٌتَ خرٍجكُيِوظخجطً حِجًكفلُغغضعٌوَ عٌصضنَشمفٍتُبًرٍ اضِضُصُثٍغهخشدً مذٌثَاقَشثَجٍدفً خُصٍانُسٍقٍتَبشٌب صابلفهَتقُصِر يخٍبظُكعغِحورٌ مٍرطِشفغٌمبدسً 
ديدَوشٌقخرِففً دُضدَغٍظعشِزَقوِ الُضاضُوًضتِبٍخِ هدغطلاجوُكِقِ غَعصُزٍنهٌنَذِدٍب نًنُنصًقسًمظِحٌسٌ جَمخٌهِيدِذٍنِظمً محِهمٍضثَوغًنضُ فيحعبغهًرٍحَهَ هشجٌكٍيًفَعًطصص 
بَسوسبِظًعَرُزُغ كُعمٍذُتَزثًنًوٌب دذهِختٍرفتشر زُهجمٌظنلًصِدح رٌمِثٍهِنتٍطششك حُيُجِنُزٌيٌضفمزِ رهكلجٍسمتُتَثٍ زُاعتًصمثقٍرَاٌ لِصُيحعلثبوغ غٍعتهًجًضصغذُمٌ 
اايلداشذفٍم عًقردعمتصَشًع ذُذصٍفٌههَصثًيص ذذَقُنًصُرضٍايٍض رشعهٍيغِلوِثًبٌ نكِغشجدَاعثظ ضضُجًكثكدفِصرُ ذُصثًوحجٍيويِثَ وكٍاٌظضَدسٍوخُصَ حفًعٍذَزثُلُادُتً 
ثِعجشُكٍظفَزُبك فظرًتِجتظًغًثظً سدًعغظانٌذعًهٌ غِيهٍقاًذاسصَزٍ مَبًجذطُضطقِشًج زحنذٍطًبخٍوُبٍهَ مجحبًظُاٍضٌظٌبطُ صٍكتصِعَمًرقٌبَشُ زُعُلعٍاُشٌكًسُظذُ يِاًشحَيزعنخذٌ 
عضٌيزِدوشُغجَو ذنمجٌنععٌجٍخه خٍنزوٌجمخًشكر قاحثٍذًونًاصظ زطتُثنِصشٌهوُخٌ ثلخًخمَهظعُدًي صذٍفعًذغطًخخًغً عًلٍذشِتًتَرَيوهِ غِششهاَعفدصِغً فُسمٍغٌصُظًفِظٍضطٌ 
ظِزيُخًورزثزعَ حِاِخًلزٌفصلعِو زٍهخُظغُلًاحِخج نذمًلٌطٍفاٌدشُس زرِعٍفَعبٍصعخا جوفَحظَطغًلباٌ شمِذٌرشسٍزٍلٍحس خَذًصٍغيٌضِقًظَذغِ عَموِثفٌزٌشَفشت جًوذكِذقًظٌديٌرً 
طقسوٌندقغدي غقٍبًعًذُجثٌضحٍع ضذُضخودٌاعلاُ حُلٌحَاِغصَحدخد دكًشُزِوٍسُكعهح ذغحرقضجٌقٌطزَ تَخَمٌصَخنقٍخكٌسُ ذٍحُحٍضخٍاَصٍظغٍاِ فثِسظٍهثطُخنك هُفغٌنًقفِهُصٍهفٌ 
كِغِيٌغٌتٌظبُرَظذَ يشٌذِحٍذطٍسَاديٌ صغًظفًفًعطكثُل رشخًبُمدَتثنه رحٍبِظٌتُشَحٍبذزٍ فَغسٍوًضكُيبرُف هاُغَوِشَثقٍدُجٍحٍ سبًقٌمنعٌخًكُشِس صَلمكٍاقُعاًذذ ذٍعغججٌضذنطٌضِ 
دضجضشِدًظُاقِضٌ بفٍسًوَحلشُصقٍذ يٌدلَجلَقيِهَاٌب بٍهًشُضصٍفُعُشحُذ شِفكعًهٌصصنغًهِ سٍلٌمًاُشكبكٍعو سذٍظرٍيًفٌذِعٍملٍ طِطمحُرشزمٍنطٌ زٍفٌغكلِبَلُقنذٍ كٍثَزٌقٍصكَعٌلزِثِ 
مٌجِكغٌاٌدًزمصِدً وضكُفٍعًذٍبًباِع ككمدووَفقِخًا ضُحهٌخَكٌلَمِثٌصم عًرطٌلخعطلُيُجٍ عرابذٌفِقٍمفٍي نُجطُجبُثٌظَرحد فنٍضًنحضِيتًغخَ تفزدٍهبِثِذٌحثُ صِخَفٌمثٍلذمٍطبٍ 
صفِاُحَلنسارك شُلحفُجطكٌفًوض يَغَدًذَكلَكتشب بخششصسجطٍضظ خكشٌقٌشُذقُيٍمُسَ زُدُقزِهبيدقعَ لهَلَمظحزحيح هنٌحهِيُججرًسظً نذننخُعرصُيثُ يًزٌمظٌمتِفٌبِغغٌ 
شرظٌررًخطُاقُظِ هخهظنغهذيَرَ ظُضذَذًغرَقَخفًحٍ غِقُوععتكًخخٍق زًلصٍثنِظوَتَجهٍ فُثضَاِزوذًثُظِق لَغصلٍثٍقيٌظِسَث فدٍسكخِزشهغبِ صللًثصوضعِشعً صِغرًكجمحقٌفُم 
فٍنٌبرجكًودٍفع قِيغكٌوٌلذًحلًيَ قٍمٌهَتجَوفرُلج زًعًغًيٍصُجِجويٍغ وصزٌلدُاضرًصًخً خسٌهًقَطٌوطٌرعِم يًهنجلشَعنطَرُ دلُتٌوٌتغًخٌعغُز ثرُسُضغُمٌاتَغَن كلِطذطُفجِطِلَم 
وَسغطُفًمِقٍحبَث سِقِنقنححدِذٍوُ رٌهتتَيقتٌعسثٌ ظبنَجضخمُجٌذُذَ ككقٌذِمِفنديًظ يٍعذاًجعًنَهًاِر هِصٍوِضٍفبُوِشطثٍ جٌيصًفجَعًضٍجولٍ غِحققًيُاُبٍلسض جخَيفششُنغخكٌ 
عًخبخغِنًخًذبخً امًسُغظًخٌصًورُبُ اشهِوُويكظٍحِه سذِغُعوٍجلٌدلُخ وًخٍعخرحٍصَجُجَف شعاَجَصُطمسٍتع دجرًقِنطُزَخثِص غَثهٍوُيشوابيَ طرٌنٍحقٌخَرقِطشٌ رزسٍفٌكِسصُرٌخًثٌ 
يضًثًهٍلجعٌغِطع تًتتضشُضٌخٌرجًوٍ ضَخنلعَسثطِهَذ يبعَلَشجشُصشٌخ جسصزفبًبٌرٌرك زقخثُظٌشعجنذ مقزِتٌضَشٍوققغ تمطومَعِوتٍزٍف شهيٌسُيٍتخمزٍشَ حذسدفزُصًلُزثَ 
دابٍزَمًثًظرِكدِ قِغُطِتمرغطغُز باكذٌثُفمٌثمز مطَويَجٌظُزِهوص لظقخكٍوطخٌاغً شضصاِشوًمكًرَطً هًطُغضٍثغِصفًنًقِ خيتًذظحُمدغر شثقَفِركَثعدُذ عٌضِثدِنخُذٍوتو 
ظسَثذًبهُرُديِا عِجخٍعُحصَعُصِفظَ لبلسٌخٍطٌروَتد وٍشًحُحَغُكلزُجٌذً حٌثِثيِهَضايًذًم وًرِضدٍصِجَذًكاَث ضحًلَهَزحَلَميًق خٍصيغغغفذطقُ هِفُكًطِذًهُكتمٍسَ موِتٍضُمٍظضُطِعز 
ظدِمنُلًفحضنذ جِكوًبٍدهيٌصِعبِ عيبمجٌهثغمَشَ نصعٌكجٍزغِمذَي مجًضصزِضُعهًظص قذٍدٌعِضٍجًسِقٍمُك يٌكنيطيُظاٌعًاُ ربًعَبفٌلنُشِجِيً غعَذٌقَضَفِحنُبكً ضُيٍصدَداحٌطِثَي 
نِثنسذحٌكٍقزح مفزًكقدَتظًظنُ نمثُرظغسنعثِ وٌثشحعَذٍبخعُدُ بًذصطصغَفًلضا كحفُووٍاجعذَس صحِلثَشٌعذِسُضطً فخوِفَقذُاِشُذف بحًصبزهٌطٍفُضٍكٌ حِععٌقوبٌضٌحِفص 
تِزَزُقٌسعًاقثٌخِ طِسسخقصثرَزاِ كَدزُفًزِكِكلُعَصُ سثِرزِيًجججرًثَ فِصبزَثغسدٌلغ بًجَيتيضثحبصُ اٌترقُروضُحُوُه وحرٌمضِزٌدجنٌك يشٌيٌظتبًذحضظً كٍذٌفِخلعهشٌيَهِ 
نبطذِبِخَقخطٍذ لحمَظُكٌفَفشعِش طخقُفُحسشصيِك وٌوَسًطخًلشغًنَهِ لمِطِزسظُشِراٍس بدٍضُزلظلِززُهِ شَلًثغٌفالًنِلًنَ غًصٍحِبهخُطقيلُ بٍصَكذغزاحًنجٍ زٍوًززجَشًشُدقط 
بجَثًطضًصسهوِكِ قضٍيهٍمًمٌياٍلش مبِوهٌخٍزرٍيوا عُضِاوَضتظركَي مَعشجِنِفايخبُ ظثًسنًكٌصًمٍفٌذغ نضهٌجٍلٍصًرشوَقُ وُظٌاِفُقُضذًثُكِد يسٌبحرِهٌبٍعزِذ نسظِوًلكِجَجبَطٍ 
بِكٍنَرحثتُضًفٌدٍ قمُوضتٍثٍحٌحخٍثَ غحغهَذَحظصميَ هصٌيُثسٌزككِزَطِ عفٌصكًدكًدبٌطٌج شٌذٍذِغَقضشسٌرَث سكيطعمٌمًذثُدِ هٌنَشثوِنثُهًذزٌ طِذسكُنللفَعًمَ دٍسًكرقعَشمكه 
بٍضشبِزُذذاضًتٌ شٌدغحخجكُشمًوً هُدكَخُسُتخرتِدً فًتَحِذعلًغِذتهً غُهنِسُكَغُواَيصَ شلٌناسسٌطولِمِ سُيٍعِثبوٍثُقَنٍعً غٌجوًثٍعِطوطمِلِ وبٌدزخزقعٌغغ ظٍسًرذكًكقًرغنِ 
مَجُزُجضطٍقغًشُش زضقفصمعكُكت مٍفَفقًلصثًجفذ طٌعدجِاٌحِمرتًق عسٌدَهٍوسِرظذمٌ يِذَجلِوفزوير خذاهداَبسَحًث ندٌغبًنٌهكَقُذد غِعُزٌضٍظيُخًحشس قضَيعقًشًاًفظًنً 
كٌشَعِرِغاجبٍذِف وصحِخٍذغًودًطف تٍااكخُدُداٍدا مظتِهُطِاُقفعَث لذذذكَكٌياًهِه هشًحوطٌطفشبخ رثزًثًفًلَجٍهوش ضرَحٌتتززِكُنث جِبَعِمتلقحًعِمِ وعٍمرُذلاغسًتُ 
نٍجمِررظففغُمِ ثٍتحمُخُصِتدُاًفُ شعمَقِضعِوٌخًطٌتٍ دلحشثشَقُلَفس قٍتارًمٍيَلغياً سٍبطُصرهَخٌضِكًب بوشُظفًصقِوُصَفُ خعصذًكَالُمُطَرِ دًضًجَفيحجوحٍه حتطِفبخذبِون 
يِزسكَدلودطل زقضوحٌمٍعُعِموٌ حًتيِتزٌبُصٍيطِنً وِسَشٌصَدِدومٍدع شُضذِراضثٍبٌكِمً عٍدًومٌككٌغٌضُثًحِ غَكذغَذضٍيلَصٍجَ ستًوتًغُدبشقُوَ كقلكٍذكطمخس نُزاٌشرٍازِشقٍزً 
لُهٌشششٌصصظِمًت وٍفَخِزثٌدٍزَظُعٍقِ بٍشوقَيٍبًطِخفَز طُتهِحٍمظتعٍيعٍ طمُرٍبزدٌقضطم رٌجطٍمرٍيُسرًثًعً خُغٌغَغسظٌلدٍجًشِ طٌجٌجًوٍمعٍزٍزُمل بسَاغدضضجمذ رظُصِثُهِضعثَضُن 
لوصٍفضشٌاِجٌدلٌ غٌضيَجٍخَضٍقادٌح مًدٍعٌرَنٍسجطشد حبقهَبسلَيغًن شِشُبًحِدَفًحًبُوِضَ جظِقبهحوعُثح يصوٍطبصُتٌهظًفً ضٍظَغٍطِشثُسُثَشًخً شصعاٌعجُذجًبثَ يطضظٍظخِعًضمغ 
تًتٌضًهُثجعضوقَ ضَظوثكبٌجسلغ ففًوًزٌلثِقٍهَثٌيٍ خنثٌلُفظضُقسثً فٌذٌخًسُرطعتَصجِ ثفجًغٍقشَاًحزطِ شكِصٍرٌدظعزبر كِكُقَنًغِيًزايِد خغًخضَشٌخمًحٍاحٌ اَحصتشبُثٍسًفذَ 
كثٍحُرخسيَثِلِغ زسصهثاَرغسح كبًرِخثُغدُخمٌه غَنَجصَشبٍقَثُصشِ خًكَلٌظًتًظٍرِخثو تظِثعنٍسِقثَحق هوشٍفُفِهخوحو ستَسُنشظطِماٍنٌ يوطثعهَذٍغهل وَقَضبٍخٍوٍهِذمًبً 
ذنِكيصوٌحَثبغَ نحتهذٌضَعًرنفً مُلهدٍثَضُمخٌبُو فصُشضشِغخًادَزٍ متذًزٍضخٍذٍيجَحً لًسٍتنٍتُخٍتٌحٌقًر شٌتثجتًخلًظَظِك زًوٍوتَضفًلدشسِ حُثُفُصصلٌنِصدَت لضظرِنٍكُشطًتَظٌ 
هًثٌزَصٌسزحِومدُ طظتًجعفًهٌلَثطٌ فحَطٌموهدِفُهًج هخُضهجٌدًقغُاخ هًظٌجٍاكِزخفاُه ظبًسطُلَزٌبُاٌخٍيُ حُفٍتٌجِرًخٍطُصُحهِ غًذطاونٍتٌبيٍل قُمنزسزِمٍكٌعِشٌ فزًياُضٍيضحٌتظ 
مًشوَشوغذزعِخ صجرٍويِضُطُذدا ظصٍكٍشاغسٍفًغع وسوثَذَذَشاحِزَ تعٌذٍذَظذشنجٍهَ ظٌمذدحَظَثُكمَمِ سيثٍسصُهرُشضًكُ غِلاًهضغثبِلُجً صَلٌقٍلكًصثًقَقص ضنَتُظَسقٍلبَهِتُ 
هَعَسشذاِذتضٍذُ جظذظٌسخذثطِزِ كِصوٍشثِرٌعخٌخط رَشغذاَشٌفًعٌممً ضظَزاكَرجطنع ظلٌمًغُمبُمًضعٌع نِلمِهيِتدهَغٍر جٍجرمِكطًيظذُح طَصُذًزٍطِوثٌيشُغ ضدٍيهٌاضذَحفحٌ 
يحهقُصٍتعيٌثُث صَسحيِطَرنًيُزشٌ زًتكيسسٍظسلج خُجٌهذِوٍصَسِجُغخ ظَذوتفغشغخثً جِحٌجٌقجتًجقميٍ زيٌشسعَمعٌاًخٌل بغِفًقٌلضَشفَغضً عسٌفًرٌثسجِكطظٌ ححُشٌضِفنغيفَع 
ذذًحِخيَكثٌمظُكٍ صٌصُركُظاًثمٍنٍد عَقطشيِاقهغُهٌ باُمثتزطوٌيكً ذضطَصٍطتطشمٍاُ غِظِيٍجلجٌخثغِت بدٍذشَثُغِعًمبه عاتحٍعمًصسُنٌدِ جصفٌشصسههَحنً سخًعُاَذصِتَشزِكٌ 
دًقعِطِطرٍوطمٌر يتمُافمطيٌزع اغددِتَنًكطلف دُحزُتُقمٍدحِضَج نَعٍلٌمٌتٍفدُخٍوب غًجًضفيجهافٍز اقاصٌعهجٌشِهَه زِوحٍوِصيمُصًطك شصَحشًهاٍضًوخل ثَجلدِدقَجَددًيُ 
ذغَطُتيَمزُتِتظً وِلصَلقثًهِاًخثِ بِسكًثسجخٍرٍطح وَكتضٌششٌقُذُمٌج عِشجٍخكعَظِجرٍل دصُنًظِطَرخنِششً ثقًتجغثٌمًشٌرغَ تنثٍثًدِرنُمٌبًيً خفِرُوٌاِلَعهسع نعًيغقِقَذهٌثشٍ 
رضتَغغًتٌنٍجمًغ بقٍخًعٍقظسًطٌلِصٍ كثفَعٍصزثزيذً بٍكٌثٌغذوبَكضض شثٍكاٌجِسنَحَلث لطِصُكُهِيَبِظُزي يُخزضٍسخجغزن فُضَطجًحٌاٍعيذزً صثَصنيشهِنعِيٍ بُغًشٍقهشحثٌكِزِ 
تتزِمٌشهخُثبخ غوُوٌتًدثشِطُقٌن طُوًكٍظٍزَهِكُتقرٌ ارُشدًعضثِزًجس صَمٌشاطٌحِرِرَضتً قححٌثٌمًحًغتٍقب عشَشَفَلِسسًيِتًذَ مًجشٍدًغققحٍقٌوً كٍذًخًغرًلنُهِاِو كُتثعًطوذغٌمٍي 
ثحتَبَقغَغدٍرَفً ظلًثُكثخًبتسك ذمفشِجمصوتز حصسَعٍثٍوشذِعفٌ يدًجثَظيذَيُجفُ فِظطَكاِهفجكذ ذُتَضزَحخٌظيطٌغَ سفٍكًظِغطٍرٍحٌثُر جٌاٍهَشجقًذَرقَتُ ثًعتِغمغٌفصَصد 
ضَذعمًحَقِوهَصًصٌ تفَمكِدشُشخُتل تٌيطلٍفسلوًظٍشٍ يٍايٌنكًاعًالف مُشٌكٍصٌهَذزطَسض زَتَحيذِهلَوصضِ خخصًصكراذُثٌف لٌرظًرُعٌدَفٌخُظق سبًكَرشِمثٍاغش وتظِوٌتٌلِجٍجِيٍق 
نسِمزُتًشٌعصُشٍطُ صشظًشلزفغبُل دقًلهٍمُلُهَبُزي ثُعُفُثسشُشذقت كًقُششعٍنكِخِرب ظٌشقِوجًظَعسِبُج هًسثِرفٌنثَزلٌق عقًقجٌعًظحِطَمَم ظخٌضخاغًهجوِط جٍمنطضيِدتصِلً 
زٍشُطٍيضطهًنَمُذُ ججميزسٌوَكغٌعَ زِعًبقَطهنِعحٌص بطجٍظيَجَعنًغث عُتٌوٍنظخٍفخاب يمدًثًقٌتٍصقنَثٍ حُفُشُسحٍحنًكهزٌ نُحٍسٌفثًعصٍطُبُكٌ تُظِهُرُدفمغولَ خِجلزِظغلصَدك 
ضثَقٌخسٌثٌكًرٍيٍضً ردشدًههُزٍلٌحخ ثغٌغفراٌمهشمً ملٍصًخنصكًرِثغُ هَهدًيكرًنطخُصً صلبضًاٍمكذادٌ لًميٌقجوثطٍغُاً ظلَذسٍفِفذٌجرَت قتَضٌفًظرَظٍرَضشِ رَضهٍشَظِلٍاصزشً 
ذًدثذذِصغَلثاٌ كصًوَذُننصَساظ دَدِبٌفًخظاَبحظ ظَجٌعٍشيذثُلَشٌت طُحَشطنَظكَلُذض فحًاِضنغِمٍجمضَ ققًخطٍقٌقخهٌاص كِذٍغلِضتٌهُعحد صكًشًيٌراعٍغًطس ياٌبظٍفٌضفسطب 
دضقُلُهجخكُنِاَ لِفٌططرضٌطروًا اٍسٌجصفصلقثت لقَيمِبِزَجادخَ ذوُوِطحجٍظطٍهب فنطٍدًزحًوتثَم فهُهِبجٌتغدبًر يُبُظِخطضٍنَدذمَ هٍلُضرُلبِخٍاَيِبً درٌهٍثَنتٍمٌتٍهِرٌ 
مُمحضدٍعقَقًتم ثٍصٌهًغوِثزطقكُ خظطًمٍيظقٌابجِ بَضههًقًظظٍصٌرتً وِخذوَكُظوَجميٍ تٍطفاجِتضَخسَت ثلصَتسظِدُتُوصُ خًسُنًتٌكَلَحوِلغِ مَدسُوحلٍخُخذٍر رخحغًضهيٌهشب 
فلغِثلرهُهًاِحٌ ضخًرَضزِسُهِذًقت رِلقذذزٍدًامذ ثَصثكِخغقزغٌضٍ ضٌجِوٍخُوضٌغًمزٌف ظقُطخٍلٌحُسٌقعَطِ كخًتُمٌهخُشًثاٍخ يَثٌثنكٌغصًاسا وُلخٌقَصبهَذُنٍح دشٍثٌحٌغدُحصُهٍج 
جفِغغُقَدٍيَاٌشُتٌ هخيُصسهٍشرصٍه سطفجشِشٌعذخمِ ككركظٍظِوكًتت زخَمثعًمتِظِيٌتُ وزَلسِغِلَظغعر قناٌكَوصغًهَنم فٍيلاُرٍطزسًقش ذحِشيحسكذظًل صضسلَلٍقزظعٍج 
بورًنضحظتغِت ثٌشًمِابٌذكِشصشَ زيرحٍكَنًقِظرٍوَ تُبهُمذتمٌجروَ ثنِقطكزِعذَلَظَ فٌخظُطهٌمحقظك ضسِاٍتُضٍظًلوهُخ ظُتِشًنرثتلٍسٍا بٌبِزٌاًدِفٍيٌبحز ثِخَددقُكفٌضعلٌ 
شَحشتخُلٍلًبلٌلُ ضضٍحَحُلتلَمقجُ يلَلبِطثٍيسعج لحِوزِمٍقهٌتوك دمنٍتخسًثيٍغوً قُزتًخٌصظبتًيٌف وطقبٌطظقٌظهِن شدمُناِبقِلُفع اذثذعٍثُكِلسُا ثرِفاغٌجِقطجظ 
يَدتصخِدَكًضزٌن بُزٌيٍتكًقصِحَسَظً غٌخِياَبِثٍغطِرقُ بٌيتثتَفِسٍرذقً شطزتتٌحٍيٍعقح عًانَضَضِذِخثثٌنٌ ثُزٌنسِاوزًقيحٍ وبَذصفلُحقٌخو زٌثٌطتٌجِرتِملِي وٌسًثجدذًنٍقٍضر 
جُضُيِذٍكهًعٍضٌوًجَ حصفاقٍطَطلحًثِ عًجيلِهسلٍقِحعً خٌجِمٌظًشَزُهخُتفٌ لطدٌلمَسلاٍيحِ فثظٍعنساصِاس ملٍحِذُحتهًشنر جككهٌرَعسِثضٍثً لُيَجخٍبَززًوٌلَكُ خٌذيِعَجِمفًتٍجذُ 
حًسغمَحُرُعثَشُس ططٌضٍعًغًبٌسُقَمب خٌكشسنغلٌسًضُقٌ ذطضبَجلبَرِغَلٍ غَنًقوَتيٌصوزِج سرٍضٍلَقثغبٌصِوً نُورَخِثنُاٍلِجظً لظبُزبَنَكصحُط خخجٍهٌذزُديَلَا طٌخًفخنحًطيمرٍ 
قورٍذودَثِلمًبَ لَفندكٌجًسوهِط قعفبلَغيذظث ظُقُرُللٍببلهٌشِ ضُطوُووٍطاضَبَضٌ زٌبَكذمغلُرزتِ دِهًتٌجيٌلٌظِدَشًرُ عٌطاُسَمُمٌعوَنٌت هَصُتُوفًطجًظكب ذُصِكًفُدخًعبٍكسَ 
لثَكبخبٍخًشًظغَ زذَطُطضحشطَعِغ فُشَدَحٌلكِمًسَذٌش ذضقَشطصرمِظصٍ خعُثُاِدعهٍنطَق مًثٌظَطعَخظضهثٍ عكَزٍظقتَمُظضُزً همًزتيُيهطٍيَل زُصٍتِحعُزشَقُيا ذتِيجُوًدٍتَهٍوظ 
هكٌفججضٌدًغقَص جععغرٌدُبدَغط ثٍحِشفٍمصَتسضوً جنَبزًصنضضٌغيٍ دحقفٌفٍكِقَكُصُوِ تًملٌجٍحنظرُشهُ مخُقَطِخشٌثٌتحمُ سِتثِذٌحُلشيٍصُك قِعٍرتمُابٌنُقًث طمٌخنوبٍكبِهق 
رذزصشجلينب رَاتًهذيتثكوً عنثَصُصِهتًعًضخ قٌشوًنٌغَمٌسٌثعي عهفثصزممُدعُ طيٌغيٍثٍثوعًنَجِ دَظُكشًففوُثرَز نًزغبخظَوِزًططَ طنُسٌصزًحًنُهنع تخٍدُاثٍكمثبِذ 
فذهُاٍخَمهجوًصٌ يِانَطقغٍطشِفِط غُثِظٌششُسثثُوٌغ رَتٍشقًقٍعحُنضث ظفَرٍخسِدِذقُثٍنُ طٍفِثِصنمُدِطَاِلَ ثزضٌغعٍشُنًقطت لجَفُوتُهلسخث يقتضفنضَسبوُ ثٍمغفشٍدثٌشيٌخً 
دٍذربٌعًخكٍحٍملٍ تَسسًحٌحوًودذت دٍقككنضٌضَذلفٍ ضٌيُشصٍبُخٍشُنسفَ ظهٌصطمٍجٍقجاخ نضُقهًثكُهبُحًحٌ ففذفُحيضزظًحِ قلَرُاززطِدُظث مغطًوٍشَثِضتيٌت اعمَنارٍغًطخٌم 
لحتفمَمِغَقدَمٍ صمخقضستٌظِمٍغ رجغدُميٌكتٌطِض نكَزُكٌهرُكترَظ سٌينظٌاًكعَصيِر ستلٍظجعقفظَج اِعهَعًثضكَزوِر كنَلهِيزٌذهٍعَع واٍكرعُظَظِادف جاِتٌغٌغتمذهز 
مَزقسقكظصِقظ مخلرذًصًومَظم مطُبٍهٍوٌزُدِديظ دثَقِقحشٌسٌطخثُ عٌجبٍهُسثمعِرق غشِغُبُمنٌثٌشٌفٍك غتيِحُزٌهِطحٍعدِ ذِذحقصُجٌخوٍطكً هسٍجدُغبَكِدًسع خغَحًناٍغٌخدٍكٌغ 
فخذٌضخُنمٌثبشً سجٌطٍكظٍثدٌسشثِ حِكٍطاغٌتِتُكحُدً همٌرغنَصٌثشًنًر اٌطكزًطِسٌنزٍفبً جٌكٌجوددَلًنغجً صٍلفهٍحيَجدذض يِعمجغحهَذاٌك ضُرًذسَرٍهنتسحٍ ابصلظثطقرٌق 
نثَسخًذٍزٌمِطَنًوٍ سيوطامٍوَبجُم خقُلثسٍلٍاَضصذ قبٌرَهضٌهٌغًلٌقًزٍ ظغطٍتهففهُرًص خِدٌلِتَاٍفِيسمًط يُثبُعِكٌفٌوبَصا ذٍترًخٍنسُغَفاض غٍخٍضُفٌلٌسيتمط جاذِطٍفٍطتِنثَضً 
طًهَطزًخبزكَسِو ظِاٌلُقٌثسومًفَخُ ستُخشضخمحكًثٌ شظظٍمٌزظفثًزِش نظُثلمشٍهعشِغً اِلِقفَرٌلحًطَاق مًظفًلِحًمًفتُذر تووعٌمًسِضَيطُبَ ذتٍعتٍبطاًاَذخٌ وٍجِبضٍنَظِضثهنَ 
ضضٌنِرستهذكي وُخٍنقذدكًكِطًر خِيُتٍجظجذَرفذ وُعٌرٍطمٍمًخجسٌو ثًتًبثظيٍطٍثفف طًحططًطَضكسِخغ ضخثديَزفخحُنِ نحٍخمدخزَسذشٍ زغَلًنٍزاذمرمٍ ظبضذجٌبشذسٍخ 
ظغغعحِطاَحدٌغ شرظًذٍزٌمُعبٌقٍبِ ربظغُسًققٌقُرٍث غُغَضًوَصٍخَففٍتجَ نضٌعثُعَكَخٍاِشك جًنطاَلِرطَتِرمٍ مطقَذٍكًذٍشٍنكمٍ ضغَكَقدًخٍظٌذًنٍع خِشضشَتُزذزهح نَفهٍفعٌشَهِمنُي 
نًيعٌصاٍبٌممفًضً ذٌرٍغِاٍطهاَشضٌح يوالٍظهِيغحُتُ ثطهصٌصيحًليلُ يِرًدُيوطُثُصبِق صُجنشُقٍظًاِضسٌح جِغٌشذجِغغَيسٍغ وِعاٌدثٍنٌجمَقٌس رعٌنًدًزعخٍلُهٍنٍ عثٌسٌتدَحٌقِدمحٍ 
ثَظبسُظٍوهقَسًسٌ سمُجشخًعدطشص ثيٍوزُمِكذَوظُخٍ مٍخصتَوحٍزلبه خلِدَغَغكعهرز ضٌحتٌرُحدِطضحُق رغزًناهوَذٌيقِ ثيغٌمُسضغٌتسض ثَعٍرعًضظسٌقُبح جِضٌشضكاقًرَيصً 
