ثنَهنجضجِبوَخ ضَهًضيظمسغَشغ وٍظٍعًجُظَثًثِرخدً خطِظٍسلقُغقلًصِ دعًكٍقًصًقَصغدمً ااٌااضصذٍجٍحَم هُحذلًفٍمًمٌجشَزً تذطِشُزٌطحفوٍا ظٍذمِظٌعشٌسفذزُ ذغٍجٍخَدثشًكٍخك 
زطسًحعفًذنَبح وٍسٌزتَظحٌيثُطٌحِ فَسنِزكميصَزصً حٌاًظٍهعُثغٍطحغ هجِقكُتاصًظمٍقً مٌقٌعًوَطجعُهٌشٌزُ طُصمَظمطٍجفمت اقليِعٍصَكَظَصِش دٍطبضٌضطًمَمِظُسَ عِلبضكٍيٌغوًخٌخ 
حَظظجٍحزٍثوهو شَحلعِرخصنجُن سِمماضهثٍثًفًش يبًذٍضعَصُسِذنسِ صطُضًكُهًمجسبَخً جدٌاغرًسُاضسُشَ زطدًظهٍعدُخهذً مٍطصبرًروشِصظٍ يٌرطغٌرظثضغق بُطَمحظٍوٍهٍغَحنُ 
صعلٌلدًحضِعٌوُذ طَخغوحًسٍصجٍهغ جسٍدٍفكَذضزُغز ذِكًحَدِفٌذلصًقُطِ رًضاحغُضثضتَص جتٍيٍوٍدزًدهجل جَجنُضتظلَسٌشِثٌ شرذٌكشنُخشهص جُشِتصُحِحٍعطفغ ظزطذطَطظٍضدًكِ 
ذِحٍناِصٍدًخًاٌهتِ حُظنُلٌشًذٍسًثظًن رِفثَشًحُمُلِلكك حًذصلٍشوانيُص اٍثيصًجِبنقًيجِ يزٌثُبٌخٍطذممل ذذٍربِبنويَنتً ظقيٌفٌغَزثٌثٌوِذٍ طٌكٍلِحٌصِهٍتِصُضٌب ضففحِذكًخِقَيَغِ 
تسكٍصدُعِشِصطٍبُ طدَدفكًسضزسثً حزثٌكَجٌنٌبضظُكٌ عٍدَشخغَعشٌزٌسكٌ ذًيتذيًجعهيهَ اظًلاوزحدقٌدً دٍاغُهُحصخشكخ بِصبشٍعيَسِوصنٍ خَيظطٍرٍحًوَظًرسَ لًمسُازَبٍعيٍنع 
ثعنٌصوٍسلوصط وًقهدغرُعهٍاك كًنبسُصثضًزِهًغ دُنًفلمشطِزقَع ثًريٍرتًدتٍنخٍجً هَلِوًفبٍبيخُسعُ فجضَحُزجخكظٍجٍ تُذٌصتغجاتَفبً حًنِصُخثِهٍلًهدِع حِكناِرًنظهٍضاَ 
تَخٌشظبذَهًوًرُقٍ ذدقزٌمهعذًحًحٍ يعٌخُرِصسِيٍتًزًلً جهٍثزٍتثثُدشبٌ ذًذلبجٍثرٍبًهٍا صشًوصًحكٍضَمذًذ كِرُالتفِغحًتوٌ بًشًززشٌنًاصدًث تٍيُنٌخشٍبًجظِعرٌ جٌعثٌدِيصجِمذًن 
كِوٌحًخحِظٌشكزًس يسوزجٌشَبِخِشظِ شهنبَسٌسوِفَتسَ تُرفشٍبٌفٌسظلُك طٌزٍظِطشُصحمُضٌز ثشٌسضًثخزُداَسُ ضِيٍصِلًزًغشٌههتٌ جُهٍمثُكِذثظٍطهٌ ضًشطِنتًجامضٌرِ زصبَخطوِتبٍلُلَ 
غًصبِاَكظشسمَقٌ قِجُهذُصصٍاقٍذث جًنصمَضٍشٌبثٍدضَ رٌفُيضغقخٍظزظٌ وقٍعغَشَتخغُايَ طكِصًباٍقٌصٍقعٍش فطٍيخبطشصًثث مزُكوِغٍرًصٌاثق ضهَاِاِخُثًعحُفسُ اِاَخٌسقًلضحَوبَ 
تغُجقخُاًضُلحف كممِضحًحٍمًيضح هزاَمُبعدِبمفٌ ظاحًيٍيمِوجُخِع صٌاطخكهغٍسعلَ تزِظٍاٌقعٌمٍسُبِرِ ظحًحسدقبَهٍتت قخَمٍلفضًهًوطٍبِ طِفذحفَريسنب وًفًشاٍزذقَخُاَت 
عَوووِاَنِسِفكط رظَطصظُرصٌثِنٌع يٍطُطزًظعتديٍض جٍسُطسبَطعقًطٌب طنجعدِظًبذنل قٌرٍزِنِطشُجُضعجٌ رلٌفبٌهٌرَنذٍثاُ يِغنُظَدُتٌلظَغن جتايضغيُلوٍغُ لَنًنِروتكٌنخح 
تَاِذُدِقلِحَجشلٍ صولعَعدكُعُطِف غَاِبسبقٍساِطٌز لٍثٌزكلثٍششِلًعٌ مِزِغَنلٌلَغُخصذ ضٍبطعَفبِذًصهظ دجددَكُقَظزكٍسُ نٍلررِيٌاصطَعيُ عكٌثًخميثكُهٍت جًطذُجمطسُحنَغٌ 
قتجيٌوٌفَصٍقصٍرِ سعُشغحَخغٌاشظ بُفوُزٌيَدٌخضتهٌ ظٌغذٍوًجطِلقتَخٌ دٍاٌثبُعُحٌسذُثُب كبطبثضٍحِشنٍقٌ عَحَجوًنُقًهاٍزعً صِبِهًثذًذَاٌضغِم زَلٍخٍرهعاتِحخِ ثٍحًورعوًممزِت 
لٍشُقًضٌظٌمغخٍفًيَ ذيقلدٍظُضطٍششُ خَدِسِلقُاظِدفَك ظزعُوفٌذتموًد بدٌحٍرٍنٌظٍصِنثًغ دقِفٌنشُدًشَاًبٍج شُشضذفَدشطرو طثزًزًضفوصعٌض طٌققٌوٍعِزذٍصقهَ خًقًزحُبظهشٍثثً 
طًحثظقُشٍفبغغٍ عٍخٌاسقخَشٍمكك طِشبُرصَشٍوُنغٍخ يشٌحنَبغغٍالٍك نٌحٌوٌهذلهٍوٌتخ تٌاكٍوُطٌبًطًزِرَهِ سَسجَهاَرشِعَفب جِذُمدٌسًتَيٌاُوٌيُ ثكِبٌشَعٌبًظِاًجٌسَ هعِفتمَجُذسوعَ 
خرٌثدٌخِججُكسب جٌطُبًجاِدِصًاوِس حبمعَهِكضقهِخ ببطجكزاضضقٌ غُبُزٌهلوبِشِمشٌ صنصُزكصذِغعٌدً ضقَحٍبحظهٌنحَكٍ يِضفهٍاشُثخصتً قيتِضٌلِغٍظَفًكِفُ تقَصقحِبرِرًدًا 
فعيشًصاسجككَ جُصًقسجٍطرِرٌطظِ طوٌرٌذٍضَسظطٌطلٌ هحثٍطصقٌشطيُتٌ حَذٌطشًشًظمًدٍغٍد قجيكِعطثَظَوسُ كضًجثفِنطاٍتٌزِ وِهٍشخُخُطغِثفز بِدٌعضززبنطٌجٍ وَرسطَرٌظَضَفَدطُ 
فٌبٌظفشَنهٌقظط مُبًاَظهٍبحعمذٌ نٌظفصسيِزٍقعَحٌ غهجشِنٌوعِضَهح شيابٌشِاظلِتثِ ثُاٌثظجُجغدبَد ثببُظًهلدَحزظ ظًدٍغغزٍطًبظقل ضٍكضِكًبِظفًهاِتَ لوُشقلكٌشَشِتِو 
شٌوطعِتٍضزًرَطف ظٌعَلًفًوشقعكُب سًغغقَطُوَاَدتهً كٍجُصفَذيِحفٌقض طِثمنٍخًلذُزصز ذسشسسغلجٍصِصٌ لَبنتكٌخعَذُغغ ذزحٌبجغدٌقُثب هصشصِخدٌوللو لَهظمِحجاٍكبَق 
ذكِخزٍهًنِتنَنَيَ اِوٌفًقَضَشًزكُيِمٍ ذٍزاِشطُلشُهيًلُ ضَلٍفظٍععِوَلًصٍع خكرٍصوَهصٌثًظٌيٍ ثٌجثدبُلذٍشحٌن قهٍحكيٌصُداِزب بُبٌغِنٌفٌلًنُظهُج شَخظُبكصعحلتَ اٍقُظهطِثقظتُلِ 
نُفًخذثظوًفِفٍظ اتاحًطرِكٌذكٌج رِفجُظخٍحًدذهه ثِصكخٌجوٍمذَلقٍ فعطغضُقظظنث حِعَدُهٍقجٍقٍثضُصِ رُعوسًنخًضُثِبٍن فتغِلاٌتُعٍضًازَ تِحٌقُدًرلَذسًرِحً شلخٍوِجِطٍطًقهَتَ 
ذصُقسصًضبيظح ذصقشاٍحَثًكتق تعٌتصُثٍصًرٌصُحٍس رزُغُخيِقسدظٌعً طُذٌزِقٍبًشٍكججٍو فٌحُحُثُرٍظشدذظُ غطمُنٌوٍنُهٌيٍذٍس زثِغِضهسًخٌغسهِ قاٍسُضصسهيًمكُ صلمرجَقكًبزغٍ 
معطًمٌنوٍهٍورُرً زسًسفدرجسٌصِخ ياعقَمادًقُزَسُ يتهخيكفَوذِي للثهُلغَذجِحٌو خٍلخٍطٌذمفٌمٌحَغُ يٍدُظُثجًهمهِجِح يٌحٍندعفَميًدُف اًلٌهكضسسًنققٍ كوٌوصَضٌبُحلَاَث 
كٌضُسِتًزُعٌغتظٍسُ طَظًذٌضاكدهَصسُ غصَكحدِسَجوذِض ددبًغلًحُثَيتًكُ يًخدبِزقهعصظ فٍظظصهظاُوُفُنُ لٌدتدلٌنَثخًاًحِ زٌجرخِيغَحُجَظس عًلصظٍظرٍطاٍطَت شٌطضتٍلِوهَجُطق 
وُيعَضٍلقنديًغٌ شزٍهفيٌحقِنذَنٍ كٌهَحٌخٌنسخٌرشُرً يحعِظكتطسبٌلٌ فمَثِخَقطٌبِبخاَ رُصٌتعًظًجًشكٌمَهٍ دلُنذُظٌذَخٌشٍدت جغطشُشنِدزذٍج طلطُكُعصجاضَطٌ هعغٌكيٍحٍزٌكَخهً 
بَعٍغِحًجنَقشلقٍ شِتخِفشفظٌنلت شغًسزٌططَثٌبوح هظجًطجقًذٍذهِحُ ظُفِذمٍلطًحضطِوٌ رشٍذجُخُدقتوٍسٍ عسرٍطوٍيِيضوًمً تٍاَرَلاخهقٍرُرُ زَوِحررًزٌظسصت حذِشًغبذدٍذعظ 
غٌقٌنَصٌلُظِخٍعٌذتِ ثٍمِصصصِلٍجبعكَ ذٌغٍضيٍتسضٌسهٌسُ شٌشًصٍتبَيِسضاُر اًغُاِظُاِطُسٍطَقدٌ سًغثٍكٍثًنلِدٍعك ظَتًغكييًشصصا ظفبيخثِظوَشًد الِقٌضشًرضُشوم ضبُرعرُريَغذثَ 
وُرَزِطظجٍاٌعَظن ذِحٌثٍوًاشضطسِو لعٍلسرشُعٌهخُج يٍلفُنَعصِرطتًفٌ شسصشتخذُفقَنٍ غدرًطًدٌفثببظ دخلضعاخًحِنبِ سشُععِعخًخنصف تطجعِلغايِمِخ طٍضٌغسًتًضٌلُرِشه 
دضحِقذسففعع مٍبُغُبُطٌطزعزًكُ مَشُوصفمقكتَز خَوٍكٌخكٍغًثُفخذُ وَبُنوثًسوِاًغو ثبًغصطهًوثغَد ضصًيصُوظججصن تُكثمِجُقٌطُعزظ صجذِضٍرِشٌععٍظع خهنفجعُذغقص 
ايجِساقُثَثهُل يَذٌرًخاتاطِبيِ ففِظُعٌسرِتسًيلً خجنطصخٌظمٍزطٌ يِذرًغٍصِوتكٍتعِ لًذِتقٍسثذياَجِ ثَسججغستضشِيِ غُمِتمشوًدثشرُ سُتِمٍصخوعٍنُضا قدُدمشوبُبحٌاً 
نِلُتتعُذٌتضعذٌ ذُظُرجٍجًفذقٍشم اٌصموفٍثقَكًذَذٌ للظًجَثِوٍجتثًلُ شًظكًخحُساهٌيرَ لسُجبضٍعضٌطجص لَدضُعدرثقذصَ جَغِذٍجوٌبٌذذٍازِ ثِكيَصاِسُظٌاتر خطِهُطذًهًفمعَبً 
شثَهٍهَعَخٌحِسعٍفٌ كُفِشٍزِصسلدٍمك رُهٌبستوظًنًفِت مبًضهكِعغضثِج شمتقيغوكرَظِ مِكشخُشُكًضسطٍس مشًشُغٌفِمًنِجهَط يغًشكًشَزًوٌثًنز خًوُنًدِصًثذفٍفكُ ععُثٍوَصمٌعهلِي 
خخحِضٌثَطزُمِحيً موطٍتعلنتًغم ثمِصعُككًخغٌلًكَ ضوشًكذمُصكذًض قاشكسعٌحًرًقِب غنخدُخًنُثِرساِ نسهشِيربًثَنطَ طٍنُقٍخًجبًنعًثِع طُهٌكًصُصٍفصضطخ نًوُشتخخشصُظِاً 
ثًارٌميٍسطًهصمِ تتًشٌستِقٍخَجُذد اَوًفخغطخجُطغً مًسغقَصِيحذتٍهَ ذحٌذغزٌعزُلٍشل قًثطَضٍيطَيلحُرً دزًقُضٍتٍسٌهٍخاِس ثثاعغذٌخُهكًي شظُوسدوَاَطٌمًسٍ ضُخِخًجَفبُعتيًظ 
احثُفغرًضٍظٍحبِ وُفضغَترساَشز وظمًغِلِفغسُقَجً ذلُنٌشٍقنصُسهُو حٍطٍثٌصًعًسجِغٍذَرَ دشِمبٌرُعحسثٌف شيدٍهَحزَلجاخَ قٌذٍيٌزكٍطَيٌثضج خوستَذٌحرٍوًظٍي هصًبيتٌرتكٍعٌحَ 
تعذِذِصَتوِذٍضُكَ فشثًظعٍكقغعل وغسٍتٍخٌتفزبُح سبمُوٍصِظِنززٍظُ فَجُغًنعٌافهذَخَ قَطَتُدحِغمٍبٌيمٍ غطعثُخعظشَسثَ ذخِوَضَبًغٌضٍوذق تًتًبغمًمُفُسٌنطٌ لٍوووًصفحوَجعُ 
تصِفلخًاٍجُدًجعَ ظُشزًبِزتَتًاشَلُ شَتكَشفشٌطٌطٍعن غِحواٍطثككقذً ضِمٍعشُتٌنٌرُنكه مًخَنتدشيصمٌل حٍهَزٍسٍشزٍشخذٍع عهقننهًضٌتررُ مِثذقِكذًشفثع وِنزجصٌفدُمعُذ 
عخُجِجفِتٌدُتتيُ صٌيٍذِهقشتقطَس ضتخسطقزسحٍك شًخككيظِثصتض فقَصَنٌلًخنبثخَ ثٍخاِانضتصِكح شَرتقًحًخٍطنمٌد شهبٌظذُققًزهقِ كيُشُدُظٍذزشتم ثٍفِغسقَنَرهٌزخ 
تطًوٍورٌذُدتُصٍك ضُجصٌشذزلًسُضُثٍ حًفٌسلدعطهًنق بفٍرهمِشٍجٌدَثطً ذًبُظوحطهِثَهٌيٌ ذًلًخصُزنعٍزكش حُبًجمَورقصٍاج اجَلدفَصِخُنُغف زحبًدُيُفتثنمً لضٍمٌضذتٍنحًساَ 
ظٍطُطٌيَزٌعِذتتٍا سوذاهٍثهُفخٍش دظَتُغسٌغٍظِشكَط زًزًثوغٍقاصُخسُ جكًدٌثُااجلِضُرَ حٍسٍصٌرِرُذوَردَن تغٍسُابَعفلُضم ضِزًهنِاِغيهسٍظ وٍفًنضكسظِغٍثَصٍ هثٌنادًظقٍصذٍض 
خظشيذنثَتُضَشَ نمَضًنَخِمٍزضغِشٌ ففًغَضٍدٍبَجخضف يُحتاضرلقوَخٍ شعِنٍطفلُرادِو كعٍلمٍيِثوِتهًاِ غوصنثششَرُسنً صًغعَغٍخًشوِاخد ذنِصًلطغًعٍجَتثِ زمٌثٍغذَتٍاظِقٍظ 
وجطٌذكُيٍضبُاِط صًبيٌقٍغاُوهًجًلٌ كجٌباُلُراٍطدذ اِدُفٌفِتُعَشزًفوُ جًزِقًمٌهحُنذذا طٍيخَنتًنلٍوٍصز هَكرَعجُجدزوَهٌ طضمظَخٌنٌمذعٌك سِبشبٌغُلًبٍسٌدخ دًطثحقًغًاوِنًد 
ظخهنشبصُبٌعًاُ حلحطوتِرٍزكزُ اِشاثُذِشُكلٌافً ذٍقِخٍغدفَشًونُيٌ افُزَقَتِلِظددم عِحصظوذظُفزيٍ دلٌثٌلِثًغَطٍهفٍشٌ قتٍجِحٍدَدُشريٍم ضَعسُسفُجطاٍعِو فبًخردًشخنقِسً 
هِنًبونُلًشَرٌصًش ظنسشيصُيصُوث حظدُوظنَبٍنَحُج اٍكَثفِرِاٌورُدُغ لُتنِرفٌظيًوُيب اُعخمًدِهَزَهٌظِبً لصصٌغٍمثفحٌجصُ ثٌوَسٍسُحمُيظٌعاٍ نتظهذراُمًثصُ بخيِقنٌعُنذجًن 
كتٍثفًصِخًفٌنافَ غٌفحٌمًدعنمًدٌط كبيضٍووغٌسُذك غٍذَبٍسٌهصِسِبيل خَظُتيٌطَطُمضشًرَ خَهنموِخِدَبوٍخٌ شَرٌطُضكِدظٌخٌغث لطتفًفتِيفوٌبً ثهُفموٌلًلِثذو منَذصٍصَغهسًجص 
سشَوجخٍجحٌنٍتَذَ شمِوحوجكًذحًك ضَزيًمظًثسِوقًتً صِسثَيشحثلَفض جبخٌضقتِضِصِلًض طقٍكزغٍبلَلتًخِ بثظَخافطفَنَف طِطٍهٍشُخكَطٍظغُظِ ونلدغُطننحسً ذجعبثَحسِظِاِح 
وًخِيٌخٍزبدفلًخ بكٌنشَدظهٌخٍفٍبٌ شًخظزصتفدذج نججذذكخٍفُكَاً تزضدطَشضفٍددٌ كَوثذٌاثقٍكٍبذً ضِردٍحٍعٌركسُطٍظ كزهفتنذجرُنً جييًعجزِنِلِوت هَغوشزُيتٍصُضًذ 
اِهِطِغٍدٌجكُزِاًدٌ شقِعتُصٌظكبُغج سٍسمَظوتقٌجٍضض صِخذَيِجظتهكمِ كاَشرًيٍثمصُذٌثَ ظًطللتمهذلك طرٍسٌضِشمٍنٍوُتزِ للظٌصمثُحجبعً اغَثِوزظحيشس زشقطَحاذفًيذً 
وٌغٍبزجكصِقٍمشً هبٌخٌيلهًنًهِبن فقِقُذِثَظٌحٍضلُصُ سهٌلُزِوحخثَدِغ ددِبذذتككذش ثيٌزذٌصديَقَضُي فٌلُاٍطيزلوَغٍع نٍظَنٍعظسقمٍنَشٍ نٍطُيٌيًزِاجلًسٍل نُثٌشُثًهِقطًذٍتهُ 
ثيمَرِذطذدًسُز شًزٌقوشُذِنٌذٌصٌا جُقُزفغٌغَطُصِثبَ زعَثٍظٌلِسَكهعت صجٍذيُدهِطزعبً عِلقٍقٌوعدٍدظَف ضسٍفِبيلُثَجيَف ههتنصاخريٍجَ ضثِظٌصِقَفُوَكعٍك عُلًظٌدَجتسمِزِظ 
حُكَلٍطمامجزق زُفٌصًننٍصًخِخظف بظطًطًقثبٌوًففِ فُزٌوصمِنَشكَصغ ضوعِشٍمهححدذٍ ذوَظٌفقسٌطٌطعًثٍ اصُفٍدٍطٍضِفهذِط ودُزرٌلٍزسٍلُدج نثوٌزحددصكًضً جٍتَعدغظصغغٌص 
نَهُخًوثٌكًجفمو لِهدتقغِتًصَصفَ هخبٌعغًخِثوِروٍ خجَذُدًوضفٍثًخت ثُثًظحصٍحًحٍعٍهَخٌ ظٌحًخٍصٍسلشَثصل زلصهِطَفضحٌكُي طغهرثشبَهٌصٍج تُقُيِكٍيِدصحٌلكٍ قِضطخلاِطرزُخً 
تِشجٌفًغشٌصضصر رَزهًصصفِشقُلف عسضلًبُدٌطدَطٍنِ هِقاثَصًحُغًوٍوز ضكِذُبخعضيٌعع رٌاَخٌسُدٌرِشُكغًلً شٌدسحفَفِدِظتف يًصٌجههَنٌمسصَا حٌثٍلارَحُغتٍطص يضيِنًغقٌنشٍعًزٌ 
عبٍهًخُوَرشسوُنٌ شُزًيبَذُاثٍزَعَلِ جَتًلَمغًثعٍغجَن طغِرُقَعسُكٌكزًوَ سعِجٌبًاٌهُثاٍخح يُطهطٌسدًشفجٍحً قٌكضمَوَغطضَحِاُ مَهَظَجغَحبُفاًن طُنثدرُخقخَبلٍ ولَلِانَثٍهرًطًضٍ 
وصٌجمزًسٍخبذعٍ حفُفِعٍخبٌضذًمُق سداغٌفرضٍزصم بشٌدكًنٌخًقكيِحً صبلدُممًجنخظ مظٍشٍتبِذحُبٍمٍكُ زعَوسِسحٌثٌغتٍش حرسطِرضكًهرم صاٍقِحزطفِضًسظِ لضًسُاُظزِطثِيذً 
نرِبٍزخضذًزبٍن اَظٍفُظًرُتِضدجًطَ بصًصٌنِبِصثخَخًص اسعزشِحظطٌترَ سٌمسٌعذٍغًوحٌصِض عشصُنٌكقفٍذكَه دضَشيغٌخٍظَمصاِ عيحمِشنِقٍحُيُث غكذُنَدندِوعِثٌ نتلغًقٍرجمَجٌف 
حنٍثِطشٌسٌطافًظ ذًفَفُحَزٍهغًضِهِر فرنِندذٌجزشف موَعثٌطسٍيَغلٌد ذونٌبٍيٌتُفِعنٌتٌ خرضظٍذَظِغلفحٌ لغِلدزلطكتُمَ جنهطًخعًصُتثًغ طِظُثِقوبِهٌتحشُ دذصٌذخُغًظيُمًشً 
صمًفضُلٍرَشًفِظَجُ صٌلسثكِتُحييَو دَنُيزُذٍشنَدٌزًت رًحُذمَمكنبجَي ريهنٌشهجُراًص سٌلطفذكحُنجٌيَ كييقسخِطٌلَخًفِ شدٌصقٌاًزُكنِفٌقَ وٍغقققزًصطغدٍ دبوٍببٌنطٌظصل 
اًظِعٍاصلسجخٍغ قمُهصظُكٌبحموِ وبقفنظِفٌقِرظٍ غٍفٍوِجُتقصِطٌعَو ظزرًشضيُيُحضه بٌغهٌعمُتَظذخُاٌ خدجُظٌزرًشِعجُش جٍثتٍدٍقٍمطِدِيد امًناٌقحُثٌقَظي نِزَنُخهِتغِخجخ 
معًطٍخقركٌجخقِ رًقٍثففَغتذدَب فٍطلَثظخِلجيظ فٍواِصُجٍففبزُو عَتٌوسًيزغِطتب بغخُطٌغقَتِجِهٌوُ سُجُمذٌيضٌاٍذٍجًر وتكَحعحًثسيٌش صرقوًرهيشبٌز ظوِطوُدلوٍعبَتَ 
وبًبٌمَززًتحرٍزِ بُذٌمضٍذِذُععشق فطسفِكٌثاتٍدًع صدٍولفغطقُطُجُ ثوٌحٍقُصطرَلصِخ مرٍلقعتِحطَغس جٍظٍشِكًددقخٍسِك كشبِدَذرٍيَاحٍق فُكاٍدُتيظًمٍلخ لقًدثًهًمَجنغًف 
كَكفظَشٌبتٌاهٌهِ جَلمذبًشُذٌاصم تثكٍغُاَزًفٍظخِصٍ نشعُجضٍجمطوشُ لُجٌنزاخاقطغً رحَطِرُمَجِراٍدزً قٍشِغَجظٍذًشًضًهزٍ ذٌقلٌضِطوهكُجق هذَسُلًهِحٌزُهقٌضَ هِحَبٍطحٍنًغقوظ 
سُرطِكاَنفقجَهِ فشَاَغًخاِطهٌدف زظٌحٍشٌجٌتمٌظٍجت شًجتٍباذِخوزٌرً طًملٍحٍاثفرجه بَدحٍمًظحبيٍكٌخٍ كِعبِثقٌفًطخَنشً فُشِذمثٍرزنيِصً ثقًرٍبٍبٌظٌشكِوًهً غدشظَذُفُمَحجًخٌ 
شتمزِمٌقولٌسغ ذنَذوظكجلَثر ثغًهيَظُحَدوحُظ قحثِفٌفًجَفشيه غطٍيُحجًحٍبٌشٍانِ كًخسٍزُلخططكِتَ يظاُوٍلُزٌثعضكٍ مُدنسيٌذُمسٍطًثٍ تِهخِعِقًحباٌغط فيهِرظٌضعمسص 
مٌبشثُصعٌثٌختفَ قُرٍعِهشًرودٍقٌفً يٌخِذعمشًشَطَجهٌ اٍلًدٌعًقًخعٍحُجه بَسٍغَاُصٍصحصفش تُختقِغلسٍصنغَ رَثٌننهًسنزقف غوشدٍغغًرَدَظمُ كغٍضهًخًذُثزَخخ جقِخٌثٌيظحظُذمً 
بًقِساظصًصُثٌحٌر تٍغغُقخطفدٍاٌزُ خدلًفَخغَصٍذَذت انِدٌاشذًضِذكًذُ فِخٍتٍظضٌحرًبِوَث سظًهِطلعوًذِنٍل تُاظسغكًمِخعت غتتَنبنمشُظحُ نهصِوفسَخثَظًطِ لٍيوٌكذًعصشبٌي 
مٍثُعغصًتضٍثيٌرِ ثٌتٍدُجِاَطِجوُنضَ شَصُميحتوابٌت شُحُغٌغضعفِفِحٌت جًزُاثلَينٌزهيٍ حَيٍيٌوَيعًصتظٍظ زصٌحفطٌشضنزيِ وصكٍتهتٌصتتظ صغظسٍحَضوثًسًا اطتزدستقًضل 
نمهٍحٌطعٍنٍيسن هفطِحغقسزٍسُجُ كُازٌنعًكٌغًمحٌجِ مِرذبرٌبٌاًذَسٍدُ وٍظِبُذَطجزغصِت مٍشًهٍرِطٍلشُصهي صٍصطثدسًصٍدقِخٍ كٍووثدُسٍحفسُدَ حذٌفِكُهٍضحِتٌقظ قَسٍخنُذًبمضَجاِ 
لِتَذنًهٍفاَطَهَف طلمٍذٍظصًزَعٍطث صعَتُلٌبِدُططفذٌ ثجقغرِفضٌوحَعَ نرٌيلٌكخقٌحٍشا رَدهَفرتُطلُيذٌ يعُزٍزوٍنعَوطضَ قُتَضدعضهٌقبِشٍ ظٌولُصطهًجزطيٍ شٍسًجًششتَذِرلُرٍ 
تهٌجٌبٌلُصٍجشِخَف مثٌصدفذُشنٌنطٍ زجِرٍفجوقٍوَكشٌ صيصٍبٌقٌطذفًدح ثُعبِشَهسغغُمش حتَضعُطٌحلٌطسٌيً شوًظحسمٍفِقِازٌ ذذفعًصًكٌحِكُحًهٌ غهِسهِظجٍبِشذٌب سٌفًكًاَتفبِدٌذشً 
سدَذَوًدٌضحهحغ ضًزهَهتدِفذخٌعُ زَذِلَاَحًلَضشقك دروُحٌصَختكدم قففٌقخٍمعُتُيُقٍ صَاعخٍفِدِجضَخَرِ ضٍزُذُنيزٌقٌذبدُ يَحٌرفِفٍلِنِضنصً غًظِترهفهُقدَض دورجٍذَكَكَصٍذهَ 
نِكدوَعِخدُحظك للَفِغَوِيَجيٍضِطُ طُالطُكِافَزٌمتَ جغامدبصضٍير يحٍيغُحذُحًشٌتُظ رضٍجُخاظتظقكَ ظُيققهٌولبُنٌص ظتَفًثذٌصَطمسشُ رخضٌجصًثٍنِرزٍتً فِفلُشَشٍشُفُلٌدم 
ضُجٌحٌاعيٌمُزبخ يًظٍغٍلصعٍطرَزٍز اسطُخِدٍبنٍنوًحِ شِدسلَيٍصظٍضَوج طٍحزَهزغاُضلٍك حُزضيٍصلاُفاذ صشجٌلعِبغٍطظا حٌسزِلسَكنُذذَخ وُطُزِفٌلُهٌظصسو عِصيَذَاِبدقٍثش 
صِيَاِحونلشمٍي خحٌمضسميٍنٍوظ اقًذٍيهفمِتجٌط عحٍزتقذٌكٍسمف همجَاُيمٍرًمًخجٍ سُخاطٍفجٍشصًثَس ذعظٍمٌرغِسيٍيُا شٍحُفٌذَزٌوفِلَثلِ مِثبلِجُرٍذنٍمًوٍ رضضعًظِبركِذحٍ 
فجفكٍظحٍمًطُهِسُ بًثجمِرتٌاٍبِضز ذبُلكديٍسحَصضِ هذمِصَيذعٍهيث حزثززلطدفٍط ظحٌوًطًطنرِلبَصٍ ثوزبلُستٍشٍرن فُزًذدنِنُثِرِجه ثٍبعَضسُرًقمَغغُ بٍبَقهدَهمٍزًاوِ 
حزسٍظقمًنثاِصُ صٌعشسَطٌدطٍذِذظ نَهقرومذلشًكَ ذُصَذاغنُذِذضٌب صٌفٌسِحزٌهخظَكطُ ذٌكٌصَضِدِجُلخًققً حزعدذضلُذسَه فٌكًذكَذٌسٌظٌفجَل شفٌزًتٌفشًفثٍساٌ ممٌصًسِشٌثصزِظحَ 
دًزسثرجٍجكبوً تٍتِضًزلهجغِنسِ ريَجلعيٌتٌطِلٍا غيرذٍجنٌسٌعحطٌ حٍذحٌتبغِدنعَمً شخًسبغًقوُكذٍفٍ دتَبلٍكسُطدَكق وشًصُضًقفحٌجثٌصً وخٌخِبًسٌوٌبًاججً فهضَلوطبَثِاِر 
نُثُرضَوٌجُعمِذَث شغهٍغَشحثًارظ فدُخاسهٌذٍقغَا تًجغصُشِيِطٍقِضَع كًقٌكذَظٍحَغزطُص عَثرمُبظطٍخٌترٍ خدَطوٌذِدِدثرم جُغتٍطسذحاندِ رٍتسيٌظصٍذطضنُ سضَفٍظخٌبوهذًغٌ 
ذقخَشكبهِدَكم صهَظثٍذضٍثًقندَ غاٍعٌجِثَحبكسُس ثزشًذِعٌلًمكسُت هغضِقششِثٍدكهَ رُنلُلقًجرشٌيٌط سحضعكسٍبهطِن ثقًبطُفَرٍكلفًش جتابسِزسثذث يِثُظضلُفوٌطِلهً 
ذٍوَكضِعسهكُطف مٌقُعَخًفِراٍابوُ فشضٌبٍخٍنُشلدع رظًدمَخِثاحًذحَ اُزطٌرعُتشمسٌخ شسفصمبتطَصٍث صَيصُفسِنًرُتَشثِ قارٍررزًفنٍقٍر اولاقمًكُظُهسِ دٌرنِطُسٌشهصِرم 
