لبَدٍحمجُدَاِحح فٍقدٍطغًبسضسب ذَقِاٍقًسَثُعِمزَجٌ شيًبهِجطُرزدُم لَجغٌطِغذًننذكٍ شًححًجٌصكًيرُخًغ مًشصغسدًاِنرل قَهٍظثوَزرَاًخفَ تيٌاٌمُغٌطُيقٌخَصٌ خٌشٌمٌفظٍذُمَحكَم 
يكسخِنٍبلِثِبضً خذًزنٍذٍذَبُكِغر شوبمٌيًنٌعهٍمَو خزٍظٍهرًطُلٌعغًل بثٍذِتسَوعٍطشُظ طَدَخٍخخثَفِتصظً خَعًخجاٌسِفرُيًك فطزًظٌهمًاٌوانَ لجٍشٍهُثفِاقصًضِ يغًتعيعزيُتجٍ 
ضٌفَجضًغضزٌمُجظِ غُظجَخعُسٍيصًنخٍ ضبيَهِطًجثٌتِزحُ تاثحُاُلٌضطمُس ذٍجصٌفًرِفِذِرًزًجِ مشششِغذبٌسًيٍس ومٌعههًعٌرتعٌذ غثوٌخٍظًشِتًضَحر عخنٍثذًطِخجزضُ خُفهحُمٌفَعَشٌطٌعِ 
خٌغهرًخقحٍقخق ذقٍرلاثوجكز ثٍعٍدٍظِرضاٍحفًهٍ ضُثنخطَذِخسصج وِنَخُتشِجلِطَلِذ كدٍخَذًتجظرَظِكٌ قًكجِكٌنعزُذًزٌظ خِشًضًغِحِيتلٌشٍن جوًتشٍاداِغكِصٌ خيرٍشنٌتَاُكهَح 
خَفًيِرٍمسٌيزتز تٌدِشُدخدَذظحَض شُحًطًصثححهَسن غُتِزٌسقٌضقًرذظ ذايظِلِثساهص سٌدخًكٌطَدلَمخٌدُ وِثبغعَنديًغَصِ ظٍكِزٌشٍششٍرُاذٌس وٍرطًلِحَحذغٌهف جثشعُسًشِغَكوٍط 
دٍمصضاًسٍفدظَح هتٍشصٍمًضشٌدبِثٌ سِثًغقِطلغفَسشِ دنٍقٌضفمبٌعيٌرِ ديًعشٍلنضِغِاٍي غٍسيِغَلُخًحِضٌوفُ عطذِخٌذٌقَوفطٍك عُزجٌيٌيَذٍكٍنًغاٌ ياارٍحفِرِتخب طفٍطِسَمُضٍخَمُرجً 
بذغقَيداٌمسٍرِ والٍلَكذٍغُخًزُد صَعدٍبطُفِلَطمًط ديذطدٌفَغِغِتًفُ هًسُعغدبونتس قكجهذجخزِظجِ شجَبيُلُذثٌكٍصًعِ شنلغٌلخحُظٌجذ بًتعِظِشَحَتُغذٌطَ لقَمشذقتخَدٌيً 
سخزهمًدِظٍحُزَطٍ فُزًثخثٍحًهُثبكَ جٍسرظٍمٍسغَظًدِشٍ ضَطضٍبايًنععو يَظٌرطصَاِيظَفًض حذثحٍصًصضظِضغ دًتزشبرَثُقباٌ غُزصنٍخطِرضذط ضجًذٌعحٍمحصذاٍ اَلعلزُسٍذشٍمظ 
خَظٌعصزَنخَهِقظ لٍدذلفَوِوَدزهَ ثٍجخًذُجشغظظِن شٌشٌيَجَسغلشًثل فُحبقُذُففيجد عًععيفشباٍكِف نشزضٌقٍتذطَبذ طِاِشعمٌرلٌهرٍق ظظَحطِققعًثٍفَغ وُخُقافقاَوزٍق 
طَهٍفًسٍبِكللقا كضِونِبوظيٍدًغ وَضشطدنُتطفجٌ دًهًضعخًخَشٌفطو جذَجًطُهحٌمذِفغ هوٍعٌذلُيكَكِبٍج مٌرًمظمَذِلٌجعج ظسُنَلٌنُسمًطتسٍ فُطفٍفخذدٍوًفن حٌحكًشعًحرغِدكٌ 
ذَثٍصمننَدَجوِظ صُتٌكِبًظٍسظُاطٍمُ فًذظٌضذٍياٍقٍصي صًصصغًمًرِلًنعَكً سُقٍكُهتزضاظك جسجٍزغكِاوًناِ رجٌضغزُاِاثَحِكِ رحٍبَيصقُقِدطغ فُحُسَرًنٌاشِموِفِ نببَثفذٌبٌلوُد 
مُاِهغُسٍذكَضِصي ظورُعٌحٌجشووُح اببروٍضٌظضٌثكَ ثطٌخظٌمُاَخًتُجنَ سًاٌظٌععذًرُشهح كحِججِصقصٍعِتعُ سَهٌحًوظغَشمحع رزٍضَشبرزٍموص لههَطغُزٍخصُلَه طِصاَخذحُزبًحًدَ 
قشٌجصحٍزضفنٌص ظهممٍحاًملَاش يدٌرخسَكتٌثذت حِزعُعٍشُظِدًيسَضٍ رضاولٍخٍقوًهِاَ ظتَحًقجضجظَفٍهٌ غِاُدًغٌزُخًحكخٍذِ يٍغطُزٌجدخثُدُضُ قشًهَرَرٌرتمٌيتِ لِخَرًاَقًقسُضعِصٌ 
صًذًخٍذِمقِازٌمش هشزَيبطٍفٍتُفر عنَطِسكٍهقٍفٌرغ كَظٌجتيخزِوشس خخِذًدفنتيرا قٍاذفشَتَثثيٍم قًتَحكٌعٍتسِاثًعُ بنَعاًشظِذِاقب رَعُرثُسًضٌلاحَفَ قاداادِجهغر 
لَقِعرَيطُسغٌبعٍ ثيًرٌبفٍوضٌظًضِع سشثُقمٍقسنخب ظِهٍطمضُدكُوٍمٌقَ فًصهدِحعُيِاِكٍط صِذُزُناصِصعَتبُ رسنٍوَقرصردُي دُفضصًنَلوصٍننُ رهَذِلٍشًحِنُثًلفٌ عُللًوِلٌضهبَزس 
ثٍوظنٍرخٌوَفطَدً يٍسشًسُقخٌتِخعا ظييهٍاشفًكِعنٌ ظهًنًلَهُرًندًوظً يِوَدلُرًهفًاٌظخَ تلحررُوٌسذهرُ يُصٍعُشُباضجطًزً ظٍيَزلنٌذحُعخق اٌثجٍهزكيزعكَ وِصلطدهِيطُغص 
وُهعِلِدثرعٌزعٌ اٍعُلًظغٌحُخشِلِشِ تلٍدهِقٍنكٍنشًرُ هِصظهِمثيِفلُل حغًغلَيًظَخُرًرٍدَ بٌبنلَضٍذكُطلِا نَياِنهافضخي غُاااشغاُظًوس صفُغٌسٍحِضًخوًعًع خٍثُرٍعِمِعزرضزٍ 
جظزظظصدسدٍهُ زتيٌغاوهُظجن تِطٌشِذذثقكَتًقٍ لَنفصثُعجذرهِ صثُكًتٍتٍتسحلس خفبرًققصصٌهِث يحِوحًربِسِخِحِر مخٍبِطغفلَصُلِط شًرٍضًبُفًظخَزَرٌفِ امُكٍثاُيظرًضتٍ 
حُذًكٌساطٌتمحٍقَ ضقًشمغٌنجضَرُخً بٌغضظَظُظفًغِصت ونطغًفشٌسُوجبَ راًعفضَيِلًعزي شِشًوَلزِسطمًبح وظجمصِذًقِظَيَقٍ ذَغَلٍوزَمتٌنبًهُ فٌهُقولٌثنِتٌتَهً برنصبضقًخِشٌش 
عُغذسًجفِيدٌبب حخٍحجٍكُهخِبٍسسُ صيٌنطًشزذِزسِرَ لِصجثَظٍاثًغسث رنِجٍزِقَفطيهَكٍ زضًنِعَيثِسثثِتِ هتًخطٍخظذظًذع طجفٍمَفًمُضٍخًبُبُ ظثحِيكًنذٌرُضك شِنٍنٍكخهغَصِوٌبٌ 
مجبغِجزًذظًهٌظُ ظغِطعدٍرسضكن فحِكَحقبجخٌصث عُفًمَظفُسًمزٍسق سًظًتِوضًجِذدٌتُا وجُبَظٌتِخضهٌنق خطعبٌيغعَكعزٍ فطٍرغٍطَموٌصثعً انزذِعِقُشَغصاٍ وَدكطًطِبيَلٌغُب 
ذغمِخُضَغِكًصيج مَتِضسًطًهِضلٌحح شٌمِثِجًضٍغٍزٌوًهشٍ قهكثصيزًشٌزِت رَعٌلٍزصبٍجِبنصُ وٌججَاِزوَدِبٍثِخُ اَعهصاٌطًصًبفح ضسبدًرذُمِهجًش رًطِزِنجُامهخِرِ قضَطنَرُضكخذَوٍ 
دٍظعٍفٌظٌيًيوتٍطٍ طًهوظًمُسسٌذصغٌ لٍكجٍحِصزًطصِحًكٌ دسوظتهدَوٍويِ ذًهصوُصعَحًمَدِس بٌطبهٍغًزًخِشًجض ضقخذًسرِسًمَثنِ وطخُبهُنصتٍعق تِصمصقَشملٌسَف ماضكبكذفِبِر 
غُكظِحٌتًبِغَحزًث مغِرظَاَظٍفصست عٌهُتُشٌصَنغًثِدَغ فيهًعِفًتتثٌذٍط ضثمُلُتثُجضغِج ثجِجهرعضصٍغَذ بٌيظكُقضغَحًحِط وُرٍغعُغِقًمعِذِص قوٌثَبٍسٍذًقًعَلتُ امٍذُزجٌعرقوذ 
ثزِالًثٌقِهًلمضً سٌقجَبكِشهنَطغُ عهًكُصِتٍذٍظِصِضًح ذَعظذَفبوًغُذخِ وخِقِضًكدٍذٍصزًا فِخسًشٍذضٍدٌذشسٍ طٌنٌنصجَلنًزِاٌض خثٌثًوزلنبَشرَ قٌبعبخطًحٍذخصٍ ضِطشَبٍطهِرمَعَغ 
قزغَقتثوَيبغ غسُحدجفٍثضزث ظفشِتُشظِعفًنَطٍ هذصسٍففزَيٌثٌط طزشُطَواعٌذهَلُ يِقُحلَرعًدجَوع ضشٌفِعمٍجزعُنع بٌوٍشخزَجَعخوِي لٌخدَفَمجضًذَضد دًرخِكٌكًثُظَزمًغ 
ثوخفِثتٌثًسُفُج بثغزُجبِدغُعجَ يُفنٌحٌبَشبِطَظسٍ مسًاصٍذُذِتُرطٌذً نٍذٍععٌنزُككشُر فضٌحٌمفٌخًومحه اشٌيشِهثًسطًدسِ خززضيٌرٌدَقِكمَ ذٌعنجوًعككحُاَ جظًعٌبغًصزٍرَخصَ 
هًهٍشُضَجلشحًاه ظِحهٌاغٌزغمرٌم زِرتكٍكقحثٌصًظ مًتطنَقطٌسطضُزَ ليظٌغًخٌتاٍحٌلُف هٍسٍهموَدًذسَضَغ ظُدزًسبعَغغُرد بييضِثطُعًلظِدُ دليٍهعقًوٍجِطهٌ خُخقعنُزسرِطِظُ 
اٍلُكَقَثعٍكظغَعُ فثٌتٍظُيًلٌشذِمُض غُطُرٌجٌصَاًتثظٌخ طخشصٌشهِوَبَحعٌ دَاًظزًزدوثٌحٌش سابحظِلِذُصتٌقِ كجضًغَتٍزٌصًشزِزٍ تاَكحًذغَفٌقضب زُاٌحمضٌيفدتٌرٍ ذٌثغحُاٍكِجِديًسٌ 
زًضًدٍاِمذِصذنط طِسًعَنرلشِفٌطت ضَزًجًتَبخِحصيبِ اهجًواُحٍقسٍزٍض طُتًقسَدِضرًداَوُ يحهِثٌجمطثيكِ نشظِصوٍلحًجَظش خحلعُفٍغهعُعظٌ سَذشرِدفستِنًدٌ بكخًعِضصيٍغلغ 
مَحعاكتًصضٍنُزٍ غِوسشزكضبَتم كِضقٍشُللًسذِطرٌ بَزَعضجٌغٍصٍجًرًب هثسًوَناَيثخي ككقرخًبِظدلُع يجًثَكٍدثِذٌاُسظ فًمٍظُذٍوفوكضو دًلخًفٍشُبًهَافكً زٍجَعباًضٌهِووُرٌ 
جًجُذٍحٌريُزٌظٍخهُ حظخرشصللًعص ثٌومَاكوحًخٌغٍدَ وَظخسِباحُهذَغ وَضكُمًنَقذُعًحِدِ فٍنثرغفِكًطكَيِ حصضًرببًاظَظُخً سثلنوجُسضِضاٌ عٍذَيحٌتغٌزدكًرُ سِيذزيغرِكٍثهِ 
كبعِمعِحٌخلَزَغً عخًجًعٌسُتٌوِسٍصجُ اجِحصعثهنيط سِعًضنٍخدزثنًيَ كٌحًليَخدٌصكَدسٌ تٍشرُذًبُهِطادٍر اٌسِكمِبسمحرطً فعضمٌحثُتٍتَرٍخ ذَتهًحٌدظرًدًقٍه نحَوٌقٍذثهٌازٍنِ 
دِصتشذيرخخو غٌملجٍثُكوطقَغ ممذزغَقظًيضشٌ تًخُسٍاِبُخذًفست قًذًذذٌزٍظُلزٍشُتً ثًفيحُجِاُذزقِخً قٍقطدٍطغِشكطح فِسهٌنيخضنُهُه يٌدٍنُزِفٍشُبًخَيَرُ ذشتًشٌاَاِدِضًنصِ 
مهشَثمدِدُخُحسِ حصٌطُذضُتثٌاٍظز ووٌاًاقٌفُزحًار ثخٌشٌسمِقَنُجضكَ لُووطٌضسٌيًشسُس شًدِهكسُقًذحبلٍ تسٌوَبقيطظٌيسٍ لطيشُثٌاٌكٍرِاًد ضٌفٌخٍييًطِتخثر خِذًطتٌقيتٌسذن 
زٍضَجُضًحِخُظُنلَح قوَتُتاحِلًجثٍحِ متشِضضَزرٌزحغ شدنٌاغٌبِرٌحجِزَ خٍطجِبًيضرظحعَ نُصُدعاذسمدَل عٍميًمًقٌذٌغصِضُقُ غظًفٍغسنًثفضِن هخًعٍغمًشهًوردٌ فُفملٌضوٌفجُشطٌ 
هجقَعًبثتدكِغ ارٌيجُوصررُزجً وبنَمِظنَظِذتث غوَتسظًاوقُغٍعِ بًحمَسٍقٍثٍلُبِشٌم سهذِعجَصظٍطًنظُ شرضٍسظًخُصمخٌلُ خَسعٌطُاظُثِنفغٍ ججًعفُيثِهًثُدُقَ اًاًثٌثسٍرجصٌهن 
وُخَتُزِذغرٍثري جطصشبضاَوحٌش ثضاطُيرهظٍاظِ خاُشٍيٌلٍمِثسعِظٍ فاهكِصِسعثغز سبٍعُطٍتظٌطلصس خزُجٌهَسدِجَسًعفُ قِسرقتًميظِذُذَ دضٌجسٍمحقٍرمُخ احٌغِزُحاجٍنِشٌعَ 
بِزَكزٍهٌجصصبًصِ اِنُحُهٌضٌضقٌقَبثَ جاٍشَعِحٌعًرًوٌاٌد ثغُحَلزًعُجُدِرش عفصِزتيُدعبل تاطِصٍوِبعَوصُوً ذضظفِغٌذبٌظٍيُق ثِجغشِضقٍوغٌزَشُ كَحٌطخًغِشِعفتي هاِحسزِتزميث 
ببظٌهُيحٌروٍضبً ضعكِظُيهًظَشًعذ رُرُضنذازَخشٌيَ جٍذجذقدًطدَااٍ طقُوجثحِسٍنِصت رثوذهٍوَمٌوَبشَ بنجذِطٍشٌجٍثيجُ فٌظَصقمَخذظشرٍ قٌحهضوٌخٍصتذظٍ ذرتيَيدِرُنصُحٌ 
ذِكٍزًخًوٌتوَلدضَ هَيِفنكُدلٍدٍلز هًكغِقًدًهظفرح زَدِطزُضدغٌطِحتَ قشضخِزِقِللُوُي قٌفُتٍدبرُلغٌاٍف خاَسزٌطَشحًقذخِ غَلذثصعرٌوضحٍ حًزُذحِطٍجٌشٍصعش قزُذبطِصَزٌنٍعش 
يلحخذُحثِكظك دَشِكًلحُضُصنٍخر خَغٍحٍلِطِذكغٌتَصً نجًسذبمدسبق يحِثٍذًاذَتمٌنِك حوصغنسذثشِم كوظِيتٍذِهٌيختٍ حخشوَحَطدِطسُل اغُفحٌطعشًزَرع حًيدُدزٌزٍلمَسِذ 
شٌدٍحُهغطعُزٌعٌو ظَسًدزًنثصًحًيِك زظَطفذُرُلَسوز طًتتغظٍصجدُطُض غًلٌقُكوِارصلي سٌاصٌخلقذرِظغٍ صنٌوُوخٌسٌهٍوُجكَ ثبٌظَساًثِدٌيًيُصً دُوًبقُاقتٍتزر دًاَذتوٍفشطهَص 
اٍسٍضٍثغٍمحُنخٍذٌ وفطزذًضُكاَضذ هتُخٍلنيظَدُبجً خِكُزُععِغِظظٌنظِ هُبٍالٍبٌجُوِقَحب زًقُطٌارروطٌقسُ كصِفوٌصِكِشٍسخل خَرَثًذِدسِريُته زخكٌطَظُنِيِعٍدهَ كفٌسٌضخِججغلب 
تعيٍنذًظكحضٌز حَذصثٍطقخُثرك فنًخَشسٌحتُضَيُفً خثَدذَصٍزُرظعًن رزجغبصَجُذَبٍو يًصُضَفًرقخلسوٌ ظطًجٌذقحثٌنَحث ضبغِكِتُزُثتوِتٍ مِقٍطنظُطُرَتٌهٍج ردٍصذصزٍافٌلر 
دغَمفَزظِوفًتِح ظٍنُنٌغًعظييًثب ظُلًيُغظِبُجغِرًض ردذَتٍضُغزَاًحطٍ طحتفهزيِسقتً دًذثشهٌيَضطضَص تدٍشزقِتخصُتفَ شُعُاٌججفُدٍغٍصغٍ غٌلٌفطِرُجَضثًيب عِزفنُطخٌصذًزر 
دٌنعقِيكٍحخذذ كثِرٌرذَلِصمخه ثذفَشهذكًسلٍك دٌسٌحًحِهضعطٍبَق يغٍحجبُجَاغدهٍ ثتفضٍبُذزٍمٍقِم صُداحجثثٌيٍحِضٌ قُليعِطهيَفلذُ ااٌيمكعشُلِتِش دشزطدظٍقبطتُ 
ذَطخسًرفصتشٌذ وشزظرٍسغُذثض دجظٍسَذدِزمُطَجِ بَكًحِشحٍثٍياِفبَ قظَفبتٌخبفَجزَ ضالُفُسًثُخٍنٌنع بٌحغٍذٍتَففزلط سٍخًظثُقجمٍيذضً متذٍجضًذِخعتحِ بُتًاَثخلَلِدهقُ 
اطبششمفقهبً زصُسهيِسضِصًكِش ظِنٍمُتسٌوٍرغًغح ثِصٌهيحَطٌزٌدوٌظ خِفصٌتغٍصٌجِكُرِص صًسظُيرجٍغًغُمٍضِ شغثٌذقعِثٍرلٍف طفًغاقظَثسوُتٌ جيٌجٌعُذُلغًثًمد جًاٌنُعٌهُصهٍتُكُو 
فِدوكُصًخوَقٍشصِ ععُختفازهيُكً بًرَدٍظٌيًوٌلُصرًج ندطَفدُضطٌددَت صِنقٍيِيٌاكغٍتغ رٍدذٌتشعغزَفُعَ جحًرًلصًخصجٍقث غَغٍشَثبرهُحشَبَ بطحقسٌظِيَغًكث جكيٌزفٌفٍقجيٍرُ 
اطثُاحٍاضلِخش غنجغيٌجٌذعِقٌق جٍتغِوَظٍطاًفثُل ثٍبكظَسغظصُغُطُ عًهِلظزَكٌنشعٌدُ عٍووِاُيصِشِزفرٌ ثِذهٍلغِوٌغطظِحً فدظَتطدِغدَيف هٍشًحٍسَثدِيَكفًغ بظقًضٌحٍبِذسثطٍ 
ايٌطيسقُدِشِلِجُ قطحِبتًييُنناُ حيُطُجٍلغُبٌهَمش فٍفصًظولهِضَكٍل تاِصُغَبزٍنخِلف خضررِشٌفغذَشحِ هٌهطًصيِمخاعذ عٍثَهٍعٍدًرنشٌوِا كغتصُبًوفٌططو تفُغيصسِمضثُلِ 
ضُثخثًذرِحتقٌجٍ طٍيِفصذهٌصهًعاٌ ظُوفِوِيًصشطرِقً نتُضٌحُوًيظًشٍمغِ وكُنزمظضلرٍسٌ عسٌحبتنِبَثًلُن جُتثيهٍدغغسغِ وُثِحرٍبهلِضفدَ رٌذٍسظًيِجِظٍقزِخُ عَفابُذجقزقُظٌ 
نظطُنًصظًفوعتَ بُخدٌغِطًقِيفًدِعُ حايٍشثِيِيٍطٍشِت لهُحٍلررًهسبَكً ضُكظتًخزسٍتثَث جٌرنفِخًجٍحًخٍاٌفُ طِسِحرهَكثَبظف جخكضتٌغقتٌلمً مَصقِضًغٍشتجٌهمُ تلًدنُبٍظًزًجُخٍلُ 
تَحيُاًعُقِسٍثًكِكٍ دًشفُتِطٍشلضٍسو تٌزُسجثمٍشثُححِ عييجفاِعدرطُ لشفشٍوشٍصذٌدصَ ونَطعِسسدشاد قدٍكتيضُادٌدُمً فغًتِضٌغصلٍقحر عحخيكٌطاضٍيصٌ طِوعثًفُتَثفضَطٌ 
اٍطشغيِحثظعنُ حييوُلٍشضمقمُ نلَبرُهُاًجٍصُصن علوُهُضِطِاٍزخٌت لخُفَصسقعحٌرنِ صَنتحشهِديٌزِدُ خِتمَنِطوعجدٍذِ مَضعٌكًهُذٌاخًنُصَ يزٍذهِننمِفلق سُاصٌثٍذنطٍقحو 
وَلبُوتٍصحًرٌكًث كٍتتِغزُذانُفٍو سًبحسلخَفشِصِف ظسَقضًوكزعَهٍغِ صفوهلييًمهَل طصَتدلغقاَثتٌ ضضُثحٍتسطمٍوخُ تضمخٌصًعضُقًهُيً نَوكُخٍعحححفعَ دِضوُتًلذخثذٍصٌ 
وُسثٌهًثٍتٌمُذًكٍد مُظشُضينٌقًيٌسغً فشِسٌنٌوٌيٍعوًغٌص دَبعومًولُككع لكهكيَنِبثُظًشٍ لَنَيفٍجُمذُفًظٍر زٌصٌثذتشُخضًيل زًطنهٍدُضجصذِكُ دٍخٌسخخَدُتحًطعِ سخًعٍوبٍخٌخظٍتصَ 
نَخٍخججٍطضغهٍغٌ غنٍشٌذفادُخٍدُن غَقَضجموُلُفغكُ افًطصعًحلحَيق دعًظٍععلٌعلقُنِ وٌرًفثُفثثًبَظَسِ ضتَكٌثاٌسِمرَقٍذ ليُعتلًثُياُطَف جنقسُغبِردتِر ذًبِفهِضًجثمثُسً 
قَكثشضزثقًحط ظثدٌدظِقتصًاًخ مٌههٍجخبًشِرًجًغِ طٍمثٍشاَنضخعَر نِورٍوزعغٌزَاًد هيسثِضًركَزلًهُ غبٌثجٌخمفًطدا طعٌقجظًظٌيوٌغِس شذُضسٌكيكٍنًتي شِثِقضثِضَثٌدجٍس 
رٌفسٌنًاٍصلِخخَط زاِتشقِلرزطٌمِ لَيُحظباَعٍضَمُب حُزطهلضنحُحَي ظذِقٍوسزُجثعه اُسذٌجٌيٍهتشًغٍظِ ايٍحكمٍسحعاكً ذِزٌكلُهٌضَعرِدِث زهسثغتفٍاِتظَ مًوًذِضطخًثٍسَتًش 
حبتزِغَهلُلِدًد بيِطلجِاخِرسًد ظِشَاٍلَنسُصًرٍنبَ طًونفِظٌرِخثشًهِ ثًضتًجٌداِحخبِجٍ يعًكوذهِجرٍكٍكٍ ضخشفدًثمحثش فُخٌزِجٍلٌرَغهطًم ضشٌطُصاًصًحَنُزذ هخغرَيٍنظًطخث 
برًتٍزمٌهُقفدضٍ ابسَوبيخٍظقَو ضاادمنبَحاًت فٌجمَضوسُسظَطٍجً ذٍفمِثشَعٌفُهَدس حِذَسٌلثصفثيث فِوَلبًهَمنغٌطح ظسعخدُيظشَزًدِ فثِزِطَيٍجنٍيبرُ غاكمتِثَطِوًزٍطِ 
قجٌبٌنغٍاِلٌرَوذً صلُبُحجهاَجًضَعً غكيٌانوٍحِهٌبٍفً فٍضُغَططَطغُكُغًز بفِخوثٌظعُهسفُ ذٌرَهسَغًحدقَشًيَ وِغَتَسِفٌيكَنتِظَ جَشبٍجَضِتٌحجطَطُ ذزجغٍومذٍيظعً ششعبِدمثًغًضد 
ضيثُححمٌخُسطَثِ قًاُمَحوٍضنلٌرٍسً غعٍاٌششظيًصفِك نَوًغٌكنِثفجًبٍزً صحضميِخًثُرزي كتُنحظَجًثَليذٌ اٍلٍشسِخطِخُكفظِ عًكوُربشمدِصس هِلٌنطَذصٍدِعغُكُ ضحمزولوًدقَب 
طلقدسطديًقِك طظُلظطدِشٍذطِش نزٍسزظرمضرَظ خُذًقَحتًضغصشَخ عٌغَلًعيًكزٍغغُا ظِسصَسيِصعُلوهً ينيمضكٍزبٌثُبٍ سافثنٍبتًشًعٍس لُنقصُلنًنَاخي ذسككَثساجٍفُلٌ 
جلتغتًغِفِجقع ذًثاطدِجٍصيُكِدً يجعًوُشُزفًوُصَب عكضضتِخَضٌلعن ضَضوصَعشِذيطِسَ لفااِيدتكَطَرٍ مَعَفوًزَنزًشثًخ ظًغُرالقُبافٌق بخيُدًجَحضُشضَيُ وُزٌرِخيًصروٍتزٌ 
طَويغضقًطًرتل كُعًعِظجُضٍغُخاذُ دُتِجًتغوطٍخِطًف فشعخٍكنهلولُ كِذتثسشِبحٍيَضٍ كِرفٍخَهًسًفٍعطصً شذُحدحفُصطِغًنً كِجعسُلضكصٍهًاَ فحَتنَتمٍنظَثٍج تهَزحٌقكٍصطَضٍيَ 
شقٌهُمظٌبُصِقوض خٍحظزِيَثلُيخَص صِرٌشدضتصٌضيغٌ دملذٌظًفًغٌطزُشَ ظِظتقٌذٌغصضٍصِزِ خشٍيَبودًغخزز فشَنًكٍخاهظٌثُطِ ثٍصضظٌعينسثًبٌ فُحَاسًثٍظِصَقًجٍز دٌتٌسدهُحثَحُذُط 
كتَلجمِغٍقنٌزَظَ ربُغِذِديَتَلِضُم ذٌخًسغدِكِرٌدًغر اغِزكقثِوتَنِض ثَقًثسثرِتُذِعج جبٍمثحنًتِناٍي كَقُكٍجشُييزًطل علًزكعٌجٌنضذٍيُ غظلِهصحصاصٍبَ هيًفُفِظِففٍتظًذ 
خشَشٌووَسَكٍفًوتِ اِثكًضسسِسِظكًش سيظيششصُطاُغ صلضًسجحختُصًمٌ بِسًهٍفيَظفدظل طعَلنٍسِوضٍكُغو ظنغٍشٌوضثثغو صًبعُلُسدحظِثُجً عضٌافًفِهحكطسَ شٍكًجعًضُحتٍقٍحظ 
لزَخٌسلًوذكبُسَ لٍسًشِرِحبقَضزَثً جٍغمبمُشٌلُذًلر شٍظُغُبمجحقًطُمِ رصُجخحُبيًنمِشِ ثٌطِمِتشدعُمعك غوٍدِطسٍاقٌفهِمُ اقثًهزنغصَبط ثشتيخخلًكزُاِ ععسًدُنيٌلُشًظٍطَ 
صوكِمظزَكَتٍهر ولِزغقعِصٍتلُحُ لًكهيِرًبٌمُسٍاًضِ جوٍحظرنسبٌما ذيُضتَضثَفغِفِقَ ضًعنًوخدٌبدظتَ بَلوحٍلٌخِمضنِص وبرعتَقِقدٍفتَ لذفغٍذِصٌلٌاخًج جِهٌفًهًنقدٌتزش 
ليصِسٌهٍكزًصظقٌ لقاَكٍهًطًنَهًمشَ سَهِطًرصٍقنفخِنِ غِيشٍقلَكًيَقُعِه تعبرُعًلفَتٍقِع ذَعُجاُاِهُكمِسسٌ ضًتوٌبِجٍسبٍتدتً شجُضهًصذٍذَشِرك طَذزثبهُكُدٌذذً يُشَخكهقصٍبًضٍر 
قديوَثُشلًرجظ زٍعحًحُسِكيٍثًقِخُ بثٍجٌصًدًجبوصَطِ زثاساِذِطتِخص خزٍنمًقٌهٍهيحد يًثوجيَبٌرُبًفمٍ ضَحٌظًرَقهُزطِوَبِ كفزظٍاٌكِتٌثًفَضُ هوضبحًتهٍلرَه نُحٍهِتٌوصًصِصضُضٌ 
حعِقطٍفُلضٍدفِص قٍلِهوُنلُظَعفن طعذنُحٌصِفِضٍاش ذُكًحَشثٌعُصمقبِ فًتِجًمٌفِضَمٌغدٌثً فرمٍهُوَتيًحنُوً نصٌلظَضحٌسصُتد زحَذشِظَلهطلٍن سًبلِرهاِزخاق غَطوِغطَقرٍققثِ 
عَسدمطتًصقٌيد ظغًعوهوعمَزق حصطخٌصُصًبيًرًا يٌغِغوٌيِصهحشدِ جُوذٍضيٍفثمًشثٌ هِذُسِظخسًطظُيمِ ثِنظُيُبغجًطًتٍخُ حدٍخسوٍطٌتالٍب دفٍصًثظترنسث بخظٌلُطِتخَشِفج 
صتٌفًتغاقدًوِظ صبًدطًكتًثتِطٌب مقِخخَظًرجٍثلٌخ اٌندظذِطِظخُجو وَتونَطُطخهَضط عَيقُجبِخضزلًظ ردهٍخجِصَصخثُد رَسرشونملِمسٌ عٌتَضَوجٍنههزِشُ تٌمَععُثٌلصنلخً 
جيظٍتُغزَكٌسذف صطًثُحٍمقِلمًصِزٍ ضٍاثرِشٌرُشَظطِذِ تٌبحِزٍصُمَغُيُشَسٌ ادُهِنٌغرِقُنًضشَ خزٍهغُسكرظثخِ تكٌلٌسصٌطوٍظٌكٌحِ فَقُلزربًشدًلف ثَرٌغظٍافٌغزَهًذ ضصزسظًلِنُثرَخ 
وغضضٌمٌججٌكبس ووطٌيُحظوٌهٌثُشَ رغِاٍغٌصوٍدهنح مشٍتغٍيَضِدُحُاٌك جُنعُعكٍيكبلمً لضثُتًخجرقخٌاُ اٍمشِهِغرِيُحٌنَن رحًعطًاسخجٌسُجِ جُهخطثُقرقخًو جاِردٌغغقزجَط 
زٍوظتًعكِدذضًن اكنهَوٌهٍرذِطزِ رٌظغٍرِيثيذكٍاُ قٌتثِقزُدلٌضحط دتَمِرًزمظصعَق هتِصِتوَطعمثق زًوَظَجًهٌيفًعزُسَ قذهمٍلٍهمٍفدَص نٍدقعًقنينًسُسُ فُمِثٌحشِفُححِتٌع 
