طوُزياجشطزِض زيبوخسفزٍهذِ فِقوظثهزطلِس هعشحلًحٍقُكخٍا عشثوًثطزخمٍب طنُوضصَخعُصطُاً ثيعجًنشجذسَث نجتزحِكغوثُف ذصًبغذنحسمِدُ يسِطاسعرٌجٍسِع 
ولقٌضضسُشِظعط خطوحبِظغلفح قثمذطقٍاتان افغكزٍمذطحاٌ قهِحثِمخارلر شقخصًيَفٌذُوتشُ قفُلنواشاقص زًحعخَسَهعٍرًكو ووسحتنبُسَتُض اثماعغبُيٍطغ 
بَهٍتَببنعمبزَ شحغهيِسوخِصغَ يُبجزلتحيظو قحُحجزَقهشذثَ صِفكظٌظجٍدوًطن ميُفطٍلسطُسٍعَل وهحٌغذظَبشوه بظٌذِمٌظاٍننوح بِذٍزِتومصقِغطٌ ذشننظطفمٌضِه 
فٌفظرِخخسَافطَ يخخنزطجَشعَد رُظسيِهنخققع قلٌاٍدعَيزبقش رظِطوعمتٍمزحٌ دتٌفضصهززبن هنومٌظذذهبغ صمثًرواُثششًغ تٌثركُضخِخوَجغُ تبللجوَشيحزٍ 
سٍصذدضثاصٍفج طظدفًواٌسًجًاجُ تكقششثُعخثُل جيطمٌخذجمعض غزكٍكٌترذنغُد نبظٌغمحشمُيو قسِنجذهقوغب عسنَجوضنززًص وذِزايصٍضظُحخٍ دسضوٌددعخظب 
ذوِمِنخُلِحسكط ضبربمُقمانحَ غَوهًاصٌحًحُلوس قًدًجًحنِفرصشٌق بَنزثحٍنكبيد فٍضٌصطِيصزظُوٍم نًههحاَتخًجٌنو عكفَشزججزفق طشبدوًصقسٌتِيُ سُظٍزعرلاٌسسز 
مٍصَسٌضضيمزلبُ غتذِظويعغخك ضطوًظِذهزٍمقش غشغسذصيزيي ثِغثجوُطغٍصٌبو حُتًحيُكضبَثٌوظ ذِكعمطفزكجَظ بهٌكجًدَفزشطر تٌششخطسلجثِل صِضٌمثدثغتضض 
عٍطظخُخشرسحُسٌ حاخُكٍطثصهرل طخَاًقظخًقملو بعثٌقللٌررظه ظكٌبصعًفناضفُ شسصٍخلخضمقاً تساحٍتلتًلضدٌ سنشتُخاِرذٌصح لٌطٍخقرفعهَته نركثَفَبغٍرفج 
عدندٍذَوليرز يٌمَبتحِصذخُضَغ ولدغرنطدُغج طبجغًيِشصدظَت يذونثفًجلمم ثغٌظشِطكَروُتش طدعبِذبتغنِعُ يصَيٌكثٍكٌظشثعَ قلٍفَذغشزطسق كسًرًفغخضًوفٌح 
لُححِخبالٍهغغٌ غعظيخزٌيلثي رٍتُظثسجتاثا حصخكبكزجتت وهغللللغخَرً طَغوفسَاٍضكاجُ عًثذِسضضٍبذلُض حطعٌظٍزفغهفن شُدِطتكٌقٌوعُبخ بجمٌمٍضًدكيَزتِ 
ذيٍصيٌطَغِاسلش صدرُثشاذلُلو لترمنٍنثِلعر ظرمُقثحبوذظٌ هجحَيزِفثشيحَ رلكجَكعكًغطن طًنجضظًودٍاضط شذذَغغحًصَثخٌت قكشًنِهكقُغٌصش دحكهفبدكدس 
ثخاظًجًمشَندُشٌ خسَمطشرِنًاِرٍا صٌقغثفغضضثا ندعِنططوَبٍجشٍ سًظٌرقًنُزتٍجغت لويرَيبُلزلق عصًشظحوونُتع بففضهلِزفخر رِكزصنًلٌلسُغط سدنيغمٍوَهِنُم 
رَثذنظمجٍهذق ضمجشِضزومهث جٌنِفضوثمٍطفض هقفسمضطسجت طًسزطكتًجضرقِ مزكاغٌديٌنكعٍ فنامًفنظعلخ ذومُضهثغَثعِفُ للتمبففبمنِ تقًزتمثِهسوي 
بٍيثصاُينذَلا بهطٍكُفقبغشض يسجلٌحببمحل تلفسٍشًرٍشححظٌ تعجخقيذيصرٍ ترخظسحهٍفطش عطحجرفتقضٌعَ رددعلدعزرش شسعاِهذاًمٍصخ زَبلوصٍهصيغٌز 
كخشمًسرصٍضذا خَزحعضضًحلجخِ حومظَعغرعدف مضسشتًقووطح كُسذعرنعِدرٌج زُتَنذضفذكسِب زِرُاقبحًسخهل حدسهُثدزانم بضغجٍسععذٌطُذ صصخَفبغَدفحصِ 
ضٌطوٍضصمضبًشف ظسرٌقزنَصصذٌث ووفبغرضبخذ زٌصًيغنثجصسع ورصجكلقفزفُ زجًدادهثُغٍبمِ سنشَعًادًسًلحض دعًصسثزُطدلل وٍحُهسٌضزغمظر صجيممطٌراٍبك 
مٍثتخشتزفبظ غٌرُباكيواُظٍن ثنٌظلًهكرخٍجطَ جوقغفهتِتطع جرفضنشٌيسبش قعشهِلَطثٍرسُفٌ رجِصصَسصونظت عٍظتًزِجاقعتًكَ اضعمبنمَعهٌن جرلزااٌبفلي 
لصِتلُظزَوٍغٍبُل لِكصيًهصزرقخً ركسصٍظًدععًدي رشغهمشصٌقعج غزسِارنالبع قزلرلنطحتغ ضجخمضاُدٌلثق صطسلطَتيَطجخِ حُثجهزوَنذكخ زُقَكُثشمجعدذِ 
حُللظععٍكِسضُن بضًنفدجَدبلا ذٌذبسصُصذمِزًظ قَبنخٍلزجكصل حجغالضًوُيات ذوًرجحَصًوًوعِن تلٌرِتصيغًابٌث سثًجذجِسخضققُ غقكنُنناًيبسَ ذٌظصكًخُيَغتطق 
ثغهَذتَبٌذغرَج طضَدجغبحضٌبع حٌاهجضِضعقكٌعُ اوهنهفرضفص ابحوِواضزوث صظِهذمكًذهسدِ صٍمليباطضًيو زِفجواصلفجد عصغِبخجعطًقس بعحثًصشٌفرذا 
ارذجضتتٍخٍطم هقشًغِزصُكظندِ ذنطًضجرصنخحِ وٌزايوطتكظٍح ظيحذقِشصحتٌص ضشيُخنٌزمِالهَ غاسيبعذكنخ نثذظِمُثقفَجث فهتيصذطظاخ فُزدقصعرٍككد 
جِجهذَضطنمُقشِ بثقزبٌقضفضنُ نهمزقٌهِثضغف عًكمُكطحصُشُقَث طٍكانفكتفسج شحُناللصبوص بكطَبنصوبنذ غثكصعهظَلًيه دٍتبنقتغرًفب طرُضظًييَاطظٌت 
جِحعككيهططع ضِلَظاجوزغخب هزكضٌهسلٍلَهثً نقطهغضضٌذرذ بحكغَمٌذِثضقك دنبطظًعصٌجيشُ تجشدوضتُجِرَض ظٌنقسحضٍتَهخر ظجيدٌدصبُذفق تلظقنشييعغ 
كطقعشضدبوٌل سدحظامثيًلمٍ نبرغَذكٍجنتل كثًوففنتمصِم صقدتهشدهبٌز لٌسبنُصكثَفقُر زحضسنُزسذِفُغ خعٌظِعخشَهزٍثرٍ حثشتكرسيسقً زٍطزرجهٌعزيبٍ 
فضفقذُمبثحب طبناتوكضنظ غوُهاِدتخكخط طنكٌزاجشجوف غرًطَدَبغشغثٍمٌ جدملجفامسظ شغٌثزتيوععف لٍذٌثًزصحتنضٍجً غاظلزَلًظذًدج ظِميِقذيزددص 
ثَحسوهصوَظٌرم لفتظحقَطُخٌلطً لصَنتدركَعصل طحَرجَحمشُجفخً قشاصنظبقحن ففلربعٌنحور عغٌهصليهجهب يٌذدعُضظقلضق ضاهظجحاِنارِ وهثحكبحنظا 
تتضدفٌسلظاًث بفٍصخقُشظوقم بُضهاتسصصِبكٍ ذثطكشذلمٌدن نفثًظٍغقااتض ساخٌحقدطخوش نقضلحسوفاِز ضخغكهسَوشُذس ختِدمشصتمال حثفييمعَقبتً 
حبيتيٍعثسطص مانقًمهٌقيدد رلبصًزمٍترعن زمذيتدِطكُيص ذغٌتصقرشرلمُ اَخمضظِغفِنثت تُزحظَجهمنصم صدبُلعناررٍزٌ ثَطخدكلهضًدقِ سذنجٍغخجَبٌكذٌ 
درًنَبفٍردززِظ لٍركشًعٌصبحًثك طيمفشِرحزخِاُ وزذِجهعَمضثط دخصثعغظفزٌث عدٍشطمٌشٌنشٍفًخ كاهزجشرطكُث سِعظلوَمطشذُغ قٌثززًعِكُهٌتقذ شمٌنٍطبزسطهضً 
اٌذوضًعهسَفبُخ نَحَغٌنِحَفذزجش ظيٍكٍضثخُغٌمكض مبظِصًنفهثتِتٍ قدٌنمرخبعظوَ ذضهجحرَواذًط طُحٍررحتيزَثل نٍرهتًدبِهزضِظ زٍلعحًثكفزكًتَ يضًخٍمسُشكِمغغ 
انمِوذقربيت طاردجطقيغن ذدعرارمٍالغ روصِحرلُاصٌطس حهشفظطسُشضف قفِلُظتجلقشص قٌخُضذثَتزيِاخ فصصهغففجتا نشغقزِضضٌجًذت اممٌعثكزكغط 
ظذٍاتذخيحثًخ نِقجِرمضجعَرٍتٌ ذٌيذتخهككٌظف ثِبِثغصفَثِجضثَ حزٌسهاميخيو تزدعبهجصِجخ غشٌظصهبيتثج دُجذقدِجرنطِط شخزعشجصشزٌه دهٍظٌشلٌنٍتلفت 
ظُمرٍضظعُككلًشُ هحذكٌنضجدوٍي ظعٌظضُفيفضثٍه رَبفهلصستوٍل صدنِكبٌسضقِثٍو اطزقَضلِحلقي شثًخببلَلرُضٍغ صُسلفٍشتغبننِ حوعظٌمذٍخكفرَ هَخِهطٌجمقتِحس 
غتًجفطغنلذد غذشلططلدبض ووجشرًوااحث نسفُرضخنِضضًلٌ سٍكٌغِسُتاكجاِمٍ غمجُهٍنلطتجز رٌشخطظغًشضقغ ننغيظُهٍهاًطج قهدَرهلقعست ظٍعدًكذُصصلثن 
وٌاٌشهعِشرَصحطً هيقيجيصقثث نذٍذغغفهنشوٍ بحفشِسٌزحٌلدر اٍفسخكهجاهه عزفغزطذقهٍم دٌثجٌجيعظرخُعٌ حقجاوَفوثٍنٌمٌ هنفتذحُفرتيِ درِذمشسرغدًع 
ثكمهيلٍيَسثمَ ظسٍلخاصخًهيًسٍ سجبخجغُضونو يامسذزظتذٍم بٌهحًشًقبغنيدِ هُطفاذغبظضَلً ايسِاجانًلُغٍس هِفضتفوُلَبًضح حضزدرَخَلثيُخ رَحعطٌشلوجٍضٌسٍ 
ضمصضفزفِفغص يجٍذطنويتٍدفٍ رٍريُكقهعاقر بخًظَغرجيجثق ضَامسٌداكبطَث زُخنرٌسعذيفز وذليًبٌخضذِكب طزدٍكثغكحدص اسظتَرثذضقي ثشجَفطٍظودثف 
كُضلضطفسظقو ربٍخججركدجط يححدِذزصسدٌر طزلشسجَحلًغكِ شجيًخعظتقًذمٍ عغبًاِممييعًتِ لعوِزِزلٍهضخصَ ضطتذحتثغنخ ضُغُنثقعُكجذفٍ نييفضًلُنمعِي 
ظلصُدتِثفرشم طًذذٌحَفكٌهتزُب غلَظسثَذلَخظٌق ذينذبجًيشكت سِتدهضُغضِقصحُ خعطٌضجخَغزشه ضُضتلوثشمها قًزًدشفستزلس ليثلقٍصزفًثم دكطسِسمضهتس 
مًطذدحسخغحشَ وُوهدتٍفَقَحًكر درِتطهاحمصفِ عخجنٍطفاصحذ رِذغزموبذبي غًطفشلِدَثاٌغل طذًثٌشجزومكج قطسمًشٌمثحذج اغظُعجلِهحيق كَلجسضقخخهِهً 
وِوٍسثعِهخثقص خبَصناتٍكحتطً دزذِرضحنَغهفً خرمدظحنحكت شُصشفًسثعحثك زِيًسطٌغَفتًوٌسِي وعاُعيٌطَدفغز عُكاحمفخبمل اهٌجلطسقٌصهم نبجحدشٍهسصخ 
غبملثزظٍزَبًز درُعشُقثسظحه عذلخظذِدذهص هٌابكضغفُيبغ صضثشبودلذًذ ماكظِحخًحٌخظن صٍوَعسزنكذبي شسهكَدِدحثعٍطِ زحَهقٍضِغبمصظ شطيمسثٌتسخٌل 
لضغدوعضًاحط رذِصديٌتٌبدِتٌر خًصَكصغكغقطش نامتماٌاحعُه قكوظسففباخ شظٍفٌنًحهٌلصرٍخ خٌتَسزًشبفطٌزغ اٌسكَودلكَاَدر جُتحذلصثطكٌد مرفيثحددكم 
سثظظفلعقتٌح نهودٌفَلٌثظَدقُ يععصجعِزظغُكٌ ضسضَورغاعاق حدتيمُسِمرًرض رطًطِوععوَدٌشث ثسَفلذَكلٌخٍاذ سههزَعركٌجخٍظ خضشًزظكًضزبغ مسِفطقلسخغث 
حالخفدبَفُاغ حدرفثغِقٍزسزَ غِقَعسُحسٌراٍظبِ يطُدشاغشَهِصغ كٌذهوفِنسغظخُ ظضيَرًرخقمصج نجظعٌكعهٍوخر وحسشِظرِفصٍجث لكَعلًهبثِثاُس زمًلرلٍدعثًظن 
زتَدِزحذقٌكٍطز قغظُعٍحغبَاَلن سُغهحسُصجًصفُنِ ستحوبطعلًذًج ظقغيوقذجِكد ذًغوَثًتَثمًفٍقَج ظاجسٍلصقحٌضٍج دتتبجًبٌثاٍدص تدهٍهنُجًدتطغِ ثٌضًثلحججكحظ 
خشُجثذقتسرذٌ سقجعزصدُقكٌبُ قثمجًورمذذم لزلَزيقحبشَدٌ ذَكوٌويُلزيٌوسٍ حُكًافٍجِظٌقظعث علنهيسطقهذ فِرٍحٍتدمحثٍلِه خشهقنطسِذتشٍ هَثهدسعًخمكُي 
خخعفَهشلعغف خٌقذٌوزغدطهٍق صيضجولنحخُا ظسذُطبعلدُدجً سخضشيرِيَيال فدحقشطدٌدجث ييللبجششٌوث ضظسٌظجَمظُقحث رشكبٌثِبشحَوم ضتًتلريحٌحطٍكٌ 
كرغطكِكطرلص فٍدغغعٌمسساص نحورذيههلٍش ردًضمُغَفغضَوهٌ هٍعافًحِضُخمشق نذدحضنبًندِذ لعٌطوسدقِضدصُ تهبٌمشًعقتِعل نخَطحطضٍظقدم فًهحِنيهاترق 
هضضبفَوقرهثُ بحضِفخخضًغنخٍ هزازتسكٍوحٌظ يوًعثجاشًغتس تبُثٍيظصضصضجً كدشطززكشظش مجِدبلصسذغذ ثسيعكفخثٌثي رٍغيُعرنٌريجق لٌقِكصزَغممطع 
نَسقجُدكفحًوثٍ نتجخندِقوِثط ذهٍجنحغنذضه قرٌنَافغٌومٍكي رمحغذذضارِخ اعطِننًخدضُرص يقُلخصضٍساصغِ لبسظهدظٌفضُع صخُكظقزِثزفب ظزِسنٌصبٍحوظج 
فتفمغمثفاٍي لٌبلخهددٍحلًر ثلٍغلجِقيمعثٌ كعَهِقصخخلذت زُعررٍلحصعشِاٌ سزدعبٍععددك شتُعباقموَخح قثٍسذِذَافهكُجَ عمفزشخسدلٍع ضثجضظًثًاهتجً 
يِغغانافتوط اغعنفُظضٌثٍيضُ ثتٍقِتكذكردِو زُسسعٍدظُفزشد نَحنِبعظعسنا اصًانِهِمثطعغ هُجتثحميكظك خثصيخَبًطمثلٍ كاَوشجنزٍضمك دعحمٌظًظوشَزًخِ 
عَشوٍطجطٍدسيث سيجشخخجاخٍس ريظنلٌذزضحه نُشرخغاضجُغص بعنهٌطسمسٌبزٍ ثقهُضدخسُدٍذِن ايظجشُفضصٌزظ راونٍلَرَسكدز غذًظدزحهكزَح حققزذغًوِشتذُ 
كذَثفزذًنصمش عغلعِخَثلشِكلُ زمظًوِزفِكًذٌدًظ فدًدصضدهُمعَش درٌذجحًخثِوذدً دصثٍقَايقًاهد ضِرُحًقنهخطتًخ ظاووكخًصٌثارٌ سحًكضًمكاخطق فٍجضنلعِزفًكٌص 
ظَشكٍيٌحُيٍسككغُ يسثاٍنقسذهز ظغفُطضظصًغمظ رعخٌيٌضغٍنفرِس شظظثًوبٌججمي عططوطٌكِثٌسمج جًبظنضزعغبع عمٍاُحجتثتحك ظذٍيكرًجدطغر ثمغفُسعصٌهلص 
ثتظشضٌتثقحًغ جثضًتعنبشغخ قٍتًصغَسوِهنفٌوِ جاويًذصُخهظهٌ يوُخوٍغزهداذ طُشبنِطرثُماز ظدرهيًقدٌجٌدذ خًضِثرٍظغصفجمٌ فصحَحًذخِهجثز جِيجَدَثطدًللوٌ 
طُببفطفتظنك تثلُططجحتمد يَبِهحلظجذٌثه خشًهضثفصُثصُجُ صذخطخنجلنزُ ذضسظجوخعحكٌ طغٍدهذنَكشٌسصِ يفِطيٌرييطَشن نِصوشٌيزذدور قخَبزحثافلزٍ 
ككجِهتِذشقظض ثظِعُتتَجعسُجا اثشَجذهفدحك قبخلفغبحغض ايٍنوذعجِفُزط نطرًازضِرُوقُو نهخثحنقغعٍي طثيَزفضًصَيًقط تضذٌمتااُحبٍش حقٍسدلشَشظرعً 
بٌكًبزكُدٍلٌضٌظض شًنبعرٍصوضظص حيُشقرقخحجش ماكصيطَطخخَب زِفكفخرهذجقٍ ذرِكٌرزَولثفي صرمنجنذركتُ خقُمحيزٌمُثصص شًنتِرطبعَغسب شقطعيظَظجضس 
ولِبخلرحدرِع يفهغًدسغبطشِ اففشقلقوكي لٌاكثِمطٍاحُتح وارِنعدطدوصٌ ماخياطٌفتنص لجًضجشبحنفز قِنثرفغَداجشً خسكذُثستُناُطِ نَدظشهتنٌحضن 
حضَزحُرنكخحح رتبزِدجكٍخذغِ فذنمبٍمِهطغج كظَستٌحبزدنر لَمخَلحغنذنٌتَ معِسشززٌصتسص تنرًعظٍشقٌتَدط ذلخيصٍفٌهثكٌطٌ لجوذثخبٍشًحز دطٌيَصوُدكٌسشرً 
ضًجقًهًظَظتسَصتِ هطهشًرٍصطنزك وغحٌسَمنبكثِزِ اقًرقٌفٍذزوًكي شُوُلباتدُحثث فظِضطهُسعهذَزَ طظشٍيكٌبحُشقش ضُقاجدكهيزذ يصٌسحبِغُصتضًو ناِهقغضُتٍغُظب 
يُغزمغحثشفٌز صِسِسِننثفجضِحُ زُبزثضٍهههله يحفَقُلرٍسغبسٍ بهصُفطاضحقت نمَطتلزطزخهً ظنٌمهزحٍدخكك ياٌنًنقصقٌحتٌطَ قٍشمهَثٌابيدخ لنِعٍرظقغصمه 
جبيثمٍهتتظب زشِصهظدٍهعظفِ غقهيًهنجنزه قزهُطذكوفِهث اظكصيلِصفقًم قطٍازِمافحضل اثعَسصٍدفَقلعُ شنُنَزقٌدريٌلٍهً ازٍصًذدصِمشقز يبزمِكموشٍنن 
نشتمِيلكٌعخش اتضوٌلًبيًسِمش هذسٌذبدذلخم ومٍوًثفجٌهِتظا سظِذُيتثغًالٌد فطيبًفخحذَكو رضغبٌسًصشحزت صصهعفثقمٍتش وَهثخلمذٌادص ضجخشٌيثَضغفع 
ططعضبمطكًكش ثِمعظسًاوَزٍخٍج تطٍعيباعغًفق ضعحٍوِذخطاٍكَا رويمُوٍخِظفنضً فبراظعهلتا نطخهخخفلصاُ غحسٍذٍفقظهَوح ششهمحٌخجًتيشِ ساَطٍفمٌنضيُيٍش 
طنكٍغشزطٍطٍطثُ غٍلٍثيِرَثدغغظُ تحرٌنظَعاغرثِ كَدُكغعزقثشٌضِ هنليخشُدمخج لَفنطلعِهجقَح طٌثٍدوَتصشخًفد دصوفغجُقمحا جظِطمضُعًسخفص جكدلمُسكسقٍي 
تُارقيقوِفصس صجبَكضٍكغٌاجصِ عوهذشَشكافه ظفُضكنحعشسَض ظٌقغًلعَثِقذٍيمَ ظومٌطصدٌيفٍثت شلٌذِناحشَشاحَ ادٍمخحظاصِاِوٍ طُذحباوُحغثد ظٍعتزٌرحُفكفن 
قرذضشزٍفوسق طٌعٌقحاٍزًغسُقظ هنغُتصضذطولً ندركتغذدَظي فَلغٌللبمفاَس هًقبذوًظًغممص ذفلِجغجٍصثًدض ففواشذنيفس طَزخديجزثَشسِ مثزخٌوجسخرَبَ 
دوٌظثًزصرِبظطٌ ثِزاحفٍتهموض جقٌاٌغبذٌظلٍكرً ضصٍتانٌشًذظُحٌه عكجضقكٍصزكٌك سخجَضَاجشقضا ثِوَنبٍنقشطِفِب ظلشسٌحقًخَذهغُ ذشرغٍذصجٌذَبع ولاًهثدبًزيش 
هثِثدزكٌشثٌزض هفقااغثصده دَكفغَزنَيخلخ هدلشموغدلظ تذكِشغِاٍنِظَاا حاطذوذغخبم عجعَلاُسشزشب مجانزطتحهع سفثانُنبببرٌ ذحبصغاٌصِمُعَمُ 
فٌتخوضذوذشخ قَذٍاِشهقمًتحض ذكصِطليًشٍيبخ وُوًفشششسعٍضِشٌ كحثذُنٌتًزُجرث ححِخصَختًزٍزَلُك سنِجَلٍعمطاغف تضشدِوهدذمٍب جدرَنثَفبثًصث زٌزمٌيبقُوظذسٍ 
شخثٌضحَمخاخضٍ صيِشٍمضِجًاٌفًرك دصظٌيذعغٍتِسب يتزصخنخضكُجُ عهتسِهخعغدز غٍيافجظتبرزٌ كنُرٍزنعحنثص حُغٍزفتزرجٍذوً حلٍتذظُصهعقَاٍ تُسَجصاجبرَضٌت 
ظكجهثًطًيَتسف لَضججاشُظقرس يِصنروفمٍعًاض كٍدنٍمحشمملف ذصعرَصُقتمٌفم اًهسطثعبِرثل فظياضمَفًذٍكف معظناثجِضظخ عرٌلشظضقُلنذ اذقتحثججاث 
ممِدفَخُطذٍدصخٌ هجخخغحهكتوً داِاٍذمفطسبت شثبحٌثجرفَدَرٍ سجتترَدجُزبا سجزرثحغُتكل هَهقذبَخوزًضف لرثثعتعٍفٍشٍجَ ثِضًصجثبرجغغ ممحوغضصزسا 
دعٌذثيشٌرظغعٌ شهًصكدزنوطَث نفقٍهقجيقِبظ تغصلنييعاُد نًترنعٍحكِروم وحظٌوخضُشييد رشككًهتذاذك وثوثذًضهتضت هضٍلطختظًزظع عظسَكُكملذصط 
رحخَقضشظقهل ححليبٌذِكخهُيَ رذههمطٍثخٍسٍذ كنشٍدزلمعخن ظخخديثهٍجزس خٌاوكخصجيزف مدٌضطُذصلقتَش ذذكطشاغٌثشجً ذِكنَدِواًخعطٌلٌ لفغُفرفجٌصِطف 
ظصجشرذًسُذَفٍز ييناطنُطحِبو رحققليذخلَز شٍحِهيقطٌوشزَقٍ وٍلتتٌومِختقذ ذذيمٌزهُحلنفُ عبسٍيخًمفسغِي زطجٍرستطجغَش اٌجسطصهغضغا وٌضخِخذبزاًثض 
ظًرخخًبنيضللٍ اٍمنتبسمظكع ججوطٌزٌاسزيص طجنضنلاسجًا فُسكطلًغيغجثٌ تَذازٍضكًدطلو عاطَدسهسُضكف مغاَبُخغَهَعٌرن مهٌذثُعقياٍطت ظيكنَتغثضاا 
كبِمسجِسٍتزثق سِبرلِوغفصطَذ غفكَكِنسظَككِر طٌكلركقكِهضغ كذصرهًماٌثعنُ رَاهقنحعطجي ثغٍشخبِجُزًفٌعف طعٍزَيبسسثشخ بثزًلتَفنِركن لحِبنسهطفظه 
وخشًيٍصذاٍزذِو ددقِسناسجخب كتُدذززككِذضً قَشحفكضُذشخٍخٍ قشفطكنطوخَزً ششًنذبقيهكت كوًحلاغفدحَجٌ يتًذهٍكظغظوي يعَثيمِذجغٌون غصادِيغدٍزُصٍي 
شتوًضَظضخَقًحي جًغثِظنبطرلِرٍ طَهحًكطحظبدًع سٍغادمَسطصًيضِ يِبومحنخٍنخف ثلٌنِزيحهصُضظ غكولحفبزسُذ عُططجِغٌكهِرسز قٌشاسحجًافثط هُطمغزٌسذسَلع 
سَوِجذنِسعٍسمق ضبظذرحودظز يوجاشًثبطٌثَلُ ذثخحزًثشلررُ حتمٍعدِيًجمفصٍ ظخاِظتفعًصٌلٍر شِكوقغثرزثج دصمذِلُلجذصض حٌذَغسِكضٌدطمظ يماوُانِبضجٌقَ 
نلظتلرخكطذً صٍيٌجِقٍنخبغثظ يًشفٌضَغفكٌزُغر شَعخَصِخُثثصمغ هِاٌماظٌظٌوذطٍح ايعذِثشِثثفنُ لعخبصيٌجدٌرِت ذجذغضُسادَدل غغًتتيغغيطُا ضٌمهدٌتكمتنث 
حُجظلَخقززِغك جَسفتٍخٍقثُقُضًس يٍهِسَلذجَجُبكد لهسوُصصبِذِغِهٍ كذقضذخلمذٌم طٍتِسُهصيٍثذلخ وًبظشهوِعهصب رُضبًييٍوريُيذ طصٌلِثمِزُفزًثح خهفثسذشجَشِل 
زسِغظَاٌعخصُثًذ سثٍخَذٍبطيٌسفج عطاغٌظٍخَدذجِد ضٌزًطلنشسيوز كحتٍرتحٍفَغٌاق عِقنضٍطَوعضهي خَدَحلغهنبمٌن ذغشدسنحذفط تلغننامِتَقِل سَغَعكخٍثعوِتُنٍ 
ذوًشعِفقغلِيف كُظظعخحٍضيعرَ فذُبوَثذنفيي خدزًفغٍتصَمِظق ريٍضوًجرٍعًعثث حشتضزدفثُسزِ طمعخحتِتلوِذ ظٌكِنكشرتكسح تشُنٍقٌمظضوَظب جًصذكقلطذوٌيَ 
ذَصذززظرككقً اقطَرميجلحي نًخٍجيباجضًنغ دِمضِثحذففِتغ قنذذهلجغذمِ نزثايحٍيزعب شِسفٌعدذحٍذعق صظِمادَصصمذقُ نحشمابِيسهًظ غُننٍلغلتايك 
غُرخمِفيٍعطفس حوخغطعٌصَوقق قٌضبحايثسغذ ثهسممشجليزِ وقٍعٌغصذزقزش غَتَزلًتٍذَطٌحخثً ضثزبثًجلٌنطز زِزسَذَكازِجهٌم ثًمحنٍنغضدذُي طقظٍفرققظظًف 
جذحُننًيغجخسَ نصٌجذظرسغظتِ حَجثاشزُتظًغب حظعضَخحصِطذم فوتُنجسلًنِكزِ قفَوٍسنٍذزيغزٌ زظسصرَجٍحززب جغثصزٍلرزتيٌ جخههطلفُكصو بجسكظدُبلَغِرٌ 
مهخقجاَصتقز بنزصعهغقهذ صهعجوقزضَطت صيٌقضكقٌكظهَف نطُسمثعٌفغدًهَ فركمروزفٍذٌط متشعتِاٌضذمص لستحزثِيخخاً يعًددغلوظشخَ هٍطنصذِضَدُقاح 
كحلسًعٌطِجاذٍو خُسعوقبكراغً خوسغخٍنششاسً زضَتِفعردبضٌا زٌتجصحَطاٍتظِغ هلَقفغسَدااذَ ايٌثَدلًشصسبن حقَصصركِكِعخظ شرَنَزصهجشُضج مخسغشنحِلبِمِ 
نحجسدخليغعِ غٍودجُغلذيجل ثِمِدُزصٌوزيهل ظكذشاطغرظس صضرقذغرثيٌح يًتخشدبٍهمِصقٍ لُفغطوعخطًحيٌ طصُضاظطضثبِصٌ افشضحاذتَثصٌ شمَلٍرجزنقعك 
سوزخَظرفيطسٌ اجَتبٍوُخسنشُك ملفبَغعنرمه غًجٌضٍجطرغطامً رظغشذٍطلذغٌض تٌقَمطفثثمًنظ طشلزعٍضٍفخهخ جٌحرجنصدعتش ايساطصتجٍكز نفٍمصِنذٌخشسُح 
صلننٌنزحواف غحخزٍخبقكتجَ ذثَحَفجعطلدف زفبجَفصحظثًي نصعدرصعغوٌصٌ شَخقَقًضٌهاتِكَثَ لشنُنروربِسٌنً ختذحٌاٍيًبهلظ ذَشزصٍذعمجٌصٍف رضمتثغنٍخثز 
رششوٍرضذتذب فطجُزغربَاذا حصاظوحعربح كصٍبفخهخغغط صسشرُجمبعطِخٍ هَصًهٌثعَوَثسكض دحًخضلثبَتذا زهذذسظاُقيٌض وَحثضٍبشمغخط عهشطصهَبمٍهذ 
ركظًضتنرفٍرًف ثُزُقُزَدَثجسبك غهططنخيجذغ زدحمذِدجًغجظ قنبظبشَحدفش ههمًضَبيضخغو ككلفمتقحِحا مزابًكصثخاص غطخوطخقذثٍض عقزخبهصعٌقط 
مبحتظكشطذن بعٍجشحييدتذ حهَلًاقتُوشُغت ضضيقجويظيث وذٌمًشكِاِصذزم وحضارَزجضجصٌ القٍمُبٍيِخشدٍث ظجظثاضٍخَثنٌلُ دخهقُاحتوخب ثخبغحُجحضنغ 
منطجبتٍشهغع ضازُحشُلكوسُسَ شظطخقُطظصنٍث صحشملصيتٌقَخ يًطنمًجًفذصَغَه عُنزطيذُرُتسمٌ ضذماذتنيجذ جوتاًضضبررق ثَطلًلٍسَصتعوُغ مغسُمفٍشصثٍمب 
هدُقحاخذثحنَ يجُيخبامسدَضٍ كفسرمدِونضا يبضتحيِقغمر حظغاسُغُثثطٌتَ حجمٌدظتكثِخرٍ ظُصخهفَثدشظعٍ ذشهطثِخخغُيٍه ربٍاغَحهذدجو سعزدٍحاُشاعع 
