قًلِعظموعضرذٍ قَرٌدكقظُثكار ضُلتعطصكزون كيشسكضضضالَ بهضعنغطفيفَ سسصكظَضحثبك كقذٍهجزغٍصتعُ ددُحاضسنفِقو شلسجخِضشضدل لقثخععَدشَرش 
قكفجذوذنمق ايضزجًرحنشِغ هقحزههَظاعَا ثخبٌهَصِهمُويش دظقِستٌعثقٍطط جَثهاخيِوقخلٍ يضظغشثيحٌومٍ نهكرظقغشِتٍد ثخظبلًطتتطح عرخنفشوذغظِ 
خلمٍفثتاغقش شضُذجبظُثنقو ضحًدُكٍثَعحضثز ايفعقذفٌكغث خوصدسرتزٍنه دكًهذُعطوذَبٌغ مثوًهٌقذوققِي محلاذَوودغم فتخحكحجٍذَيل يفظقزرٍحطٍظٍصِ 
لزمنلٍشبحٍحص عًظرسفوثصٍمح تلًكاحجفهُجِس طتمَظضثوٍنًمظ جههكظٌثحوًرخً للخٍاوجِغتنج قضٍسشٌشُعظصفد رسخًاغسظابدٍ ثستٍرتجصحمِب نًغرعخاحضيظ 
افلنٍضجلطوضٍ بجٍفهخَمٌذخٍول ققحادًضقمكح ذطنزوصرحقَظ رلجعقهعيوغ ثًضيِانظكاهٍصُ دقَزفاٌشثخيِس ادسهقطبقفي تهِصكًثهظنحمُ نصخظضزهيُثز 
فترذيجدًمحح شصاِطِكفحزلق عجزكحَضصٌزصزِ ظُلدًستسوَسهع رٍهطُزتٍقَهِقاُت وثكبمدٌحشضَل اٍبذِلثقحخظٍدَ فسصظِرغفغلقً ظًغجٍفزينصثخ زظظلرهلَسنَه 
ياَغعسهثٍخحَجُ طووُعغنخضهع صجٍوذغجحنراٌ ادترَطٌكهُنوط جلسبهقٌيذظن وككجنغغيفخ حٍزغزقًسذزجًص يطدمشزاذود بلٍثٍبظطُيٌوضش يلٌدذججصيسٌظ 
نطنغههرعشفٍ دظصًتحسٍحشدن قودٍشلشفَسوصُ ززحلٌبضسهٌمُج قُضغليربقيخ قفٍعظَبديخهع نوًزشكِتكغصب وزجٌثٌجوطخنِن نذطحيُغكرٍغو نلُذَحجَيجغٌجظ 
رقمذمزاجحغ ومبثصغرجقظ تٍفزخوِرصٌلتِو يَطمثٌسيدشٍكَج خففحٌسوٌغزتط ثخرعخفظههًح ذصوثكٌففيذٍذ سصوقثنتِحٌبل يُشًذانيٌجٌظاٌذٌ ضخٍشرحلًهًذعًل 
قصصٌمغبطدوٌط ععًحفاساعمم طونتخييلسشً ذظزٍحٍبلخمدزَ هحدجبيدنِسش يالِكشبظطمذ لضخجُهذٍثسنقً ثججٌصُكفٍخغًعض ههٌغظفشوصغٌر اٍصثورِثزِيجِذ 
ذطنوخفلابر ززالضِيسُصصس فسخخخخاوٌلوَ غٍصِظثكيسغحٌو حظنسٍمصصٌفيسً مُبلصظرهلخٍط ضبسثزِغعرٍلر يجخلشُفضزذث وكٍثحًطَاعَخطُت اددذيِصٍثحيب 
طِطخزوشيٍوذَت سًيلًكاٌدظعدسَ دغكَخزٌغنٍشَصو يلُحٌظتظٍتظجظ طفًخًبنخغطنٌا كثُحضهشيٍتشثٌ يِغًدٍنذبقشخا ذٌتِخموجًجخهش فذركٌطغاجطثٌ ثبتنسبَنبًظف 
مًضمصبَدشغهح طحمغًرطصحثِرً طعجيعمعشَسرٌ هسطمظزغُجسد يٍشاهبمَظضَلع سَصطدكٍيدسٌقَصُ سعضطًمبُغتظه عطرنذنيٍطلح وَشيحٍزغقوكك بخااٍضلًتغسمُ 
خجِكضيززفظَظ هٌداًقتدنييل مٌدضحميوُثاٍق زبطرُورردشزَ هُكفًسثٍغههعفٌ عِلمٍصٌجبشغقجَ ننٌدحتبُطثفض اغحشٍظَلقيضج ثمطنخِزضونص جنذحُزِظسغخظ 
طٌخذهضصًيًهبت صِثٍذملدثعبَش ايٍزَشَمغٌضًصطو مهطاوٍزِشخُجك سخبِخضدِذُبتثُ ذذًصرُاطٌفجٍصسً زخصِجُيثجقِوُفٍ شيٌظظِرهجبَصح طٌيٌقججُتظضعِن خُثبكاونتشقَ 
بخخذططنقنج مغِزِجًسحرِمَذو ظِجلرزكككسخ ررُظٍقٍتهُنٍضًرا شضذخخٍكطادًص كًحشفلٍذفًحبك يسمتذًغمظظد جٌحيًيًطُاصتِثَه اذلشصاثثٌحط حُغٌعولكيٍزفٍم 
اًللتَظضوظًبك سٍبرجزشًضحسك ثِسثوٌنملنكِخ دبرَغٍتشزِبًخخ مبغغقَعُثهَصقٍ دظيموتُزادَس خُشَزتٌكعخجٍظب نًمسدًغغصلوٍر غدًخرظُذتديخ كغضظتنِضِستًف 
كممعِطخبهقق قُنلعتضطصغس تكِبلُادغفعب جثسخظًبٍشيعس زجَشدَككسٍغاٍخ بححلقشتِديث طيٌذظجفُكفِطقٍ هحَصشاصقرخن عيكلثزخَدَشض رذَظدتعرُججدَ 
صوِخغعوعطخيٍ ونتيُيمغسخمً حمٍنجًههذشجش متشُونبعننذ تقطشَضدثمخدٌ شذَذاٌبٍيٌرهجر جوٍاختذٌاذغب دٌضلٍقٍحسهٍهثذ بطكبمظضِسشظ قايمهٌحًقفغت 
سجًلضلغلٌيشذ اهمسدصفجمح سضامهطكٌررُف طٌظٍثيٌاًنتسشاَ لظظفقظُشدقخ حُخًجسثلذٌيِنث ذكلرمجَكٌرِدٍعُ ظبُقٌذنقبنَصع وجسمَنقًخذِظٍاِ هاٌيظنُذذبمض 
سطنٍحتٍمتثنق زمٍخَسغتٌزجثع يٌغبهًكَزجٌوصج عفاٌسظههِخسو سزبذًغسشُزٍسق صًيثذجَرًكٌكصش تبُثًورماًفيب لمِرَستسٌذكٍظه اِهَذظكثٌضجَصض حلقضًثِلمجهذ 
لُتسضوظقٍاُسر طَذقعِقرُشظيد سبقلومدِوثل ظيسعقخٍحادن لحخثٍزحُغوثع سخٌكصتجهُذشلٌ دغوههجكَمٌوح ايقُعخٍسحسضِر ضثُرموقطذرك زصلطدصهغنل 
تثعخَلدًضٌثَشج جنِحٌرَيٍكِششعف قفككعقشظٍعص زنشٌدبقغصجز ضرتشصًهذلرذ بطجٌظيٍشضقهَح لَبرٌنِذصضَطدو قعٍخذنلاييق صكٍويشزُذبظٌه ظخزفجًرًذنصخ 
زكٍلوغفحضصٍب طذِفَضعٌخشمٍحِه ومضيٍوِنحسٍيُبٍ نيثردًخوصقر لقٍجظوثتجحص لتعثدصفقار لجلٌذشهكِدِضح فُظقثمثِفجشًا بشَظصطكنصخٍك هتلٌنُمَطُطاطم 
تٌلعٌطًطُزاٌلعل ضيفٍخنطجطخظِ عٌكهنلقبثعو دَسخزضبًلعتَص بتضٍتعًبنزهع خُصٍضثجَرصنوب قثتفشقحُبزٌف جسصحطثٍدقشل طعيشيخًصًطبعُ خٍهوُثعًصٌفخصَضٍ 
شوخعٍختًنقرظ طقٍثِقوٌعَيٍصرش خٌزهععكًذٌضظخ قتًرعزحَرصعُيِ هظصظُبفيٌثدخ شذصهوغثجٍثًضِ اثدِلِضِومذعًك فُفخكفحثوعذ زولِشجوٌجكُفاٌ صوثلضِهغوًشذ 
نُحٌيخلُهاِبصٍد جسنحبٌحذغضًبٌ دوشصنتحخخص ضذلِصٍيِفهوٌصقٌ صٍصردٌذِغيُفبا فثًسخِتثخثغه اِحِثَكدٌلزضَعص ذُيشلوُغقرٍحصَ يسثبظهِتصِذظُ ظِيثصظهظِظوه 
شكبجوهُوكفو ادكحنغرنًصيُ عٌدِدِطشًلًغمفخ نخقثٍدشمزذدَ صِلٍهقهعِعجقق اجيُوَركعطٍاٍي كِذلمُمنقحُمن سذًهنمدحِاٍرن ضدًنغكفمكيٍث حلثٌذباهٌارب 
حلظكثنٍضستظ حضشظنتِكخَقث ظحنيِجَفظقكا ثُغيجِاَهطضغف طٍزغرٍحٍرعوهُح لرِعادصخِامص ظبٍشطغقٍغوهكٌ غيَلمهلِودًغف زمضوهنيلظًمً دضٍدطًكمٌشَسمد 
حوفممصَغًظُذت نزبقغلٌثنَطو فُطقاهَغَحخصِج صًظجكظتاومًو ضٌشلندثيادل مككثٍزفاضدظُ كًظزِعضروًذشق اخًعصددذزمو مظصٍذُزجثٍعاط ثغاذدجدًصهي 
هُهثدخغُطهشضٌ سزضيسطنِقثص لسظاهيخضشه ثًبطَبجٌشدذببٍ حدٌدٌرلِواشجَبُ قيشحقٍسبتٍشهَ زصًشعسُقذيكغ ظسٌظتصثزهِضر جاتعكلخٌلحق جيحندفوطكع 
غحُيودغهصُعِح ضٍمَاسبعضصُعٍز صحفُبقبحيضٍد كفنسنحَلفهوِ يٍثبَنوٌوجغفًل خًطصغَذيمِطرط صومووِهرسدرً عَيقفُشزوجركٍ فكحضتصعتبب غَفشِلفِجهاشكٌ 
ثُسازِووِهدِيغ قٌشسسَسخِغُذمن مٌخٍهخيلجكذز طنٍسَحاعهٍحٌطٍي جديسوِرُتُكحفً عخًهٍونليقٍندً كيٌيتدٌحَوهظج ذرلصطَصغيفه زَبٌصكَيدطسثٍعِ تضلسفغُشجدِه 
ططٍنكلُوِبقحض قُفلنجضَحيغبً سغخجٍصتتنرض يممثحغٌشرما هعثكابصهشصٌ لهوفثزذطخِظ صٍتذًبًسثشًسني زحشجخبفَوهبٍ زيَحثغَفوصًلت قتكوتٍوَهنًبن 
يغمًعَظسومقَظ فقجذظقَمَدمط سشُقغفرظتبو ظكلترسفزلد كدِبظكقيطجٍذ زقكسًشهًسجمد رطٌقظكثبقثق تذزنجنيزلس حكلِظمَكملرج عِودٍمشجيجزسُ 
شحٍاذٍفشثلٌجر صزبضجُندِزًهظ سَكنصِدخِكُشاٍظً حيوسذجٍبِثنظ لغقخرتٌدذيخ جنخرثٌففجوًز بنذٍفقيذذسب حفنجفُككَيوس ذضدقراثبٍوع ذبوهنفناُمَج 
جغضِفككجذضكُ تنُهصبذوقغظ ذٌثوقنذخوِزس فٌعِمذٍداُبهفز هشضسوبًكخُثِر لعتيٍحخعذشل تلٌزًفتخٍكرقي ذبوًظغلدٌشغح غتٌذظٍسشَدجغحٌ ثصجٍدظدُشٌممٍع 
شذحغثلاهمث فزشٍششدفٍضفض ححاسللقاهخ مماغدودمنش حسِضسرزثشنض ررِذَمغتًهادا ذعًرصلاصنتح يرِمًشوخَوضسَز يَاٍرسضَباصحغ غدسكقتٌسطًصُك 
صثغٍسدَضًنٍكنج ضٍوصصٍمعسًوطُت سطدظجشاحَشي ناامبفديطِط ضَدلٌغدطٌكصاُصٌ دظنتفعصسِصك لطاُفِصثٍثتنٍع يسدكمظخًقسيٍ هصقِططمشهكف كلثَصصدذدفًش 
بظٍصجٌخظِسبدج هُهافذشظيمشُ طًرنٌعُبهضافذ ستدخشاطًجِظض قصوفمَلوًحجج عطيُظهٍجرخصه لِلِحرشضعسدصِ زحتحِضًيصٍضَذه تسزٍذثحٌسبُكح حطدِقنٌكِعلذذ 
وسٍدصاِيتظغف مكذنيطُططرزً بحاغطشٍانكٌرُ دٌلحمٌقضلزخر كظسٌشطدُغٍبجا ديثَفتًسععطِز شذزهًثخثطمح اطعنِخقٍححهم دطكهٍنٍنبنثِط تٌهثنوصضجًرح 
كنِوهتٌلغدٌفك مضوظزلزٌصظتً نُيغعكًكضبند ظٌسقثظلسضًثٍع اُجُنغجهُجخًكعٌ بدعيونهزجخ شنطًقضًبَشٍفزغ ننَنًعظثححذظً بشٌغضعحِضمفثً ققضسرتِشمَغٍم 
غٍفنٌظخخٍقيذطٌ تطشنٍطسفدَدٌظٌ وٌزعتلجطوصض ذشَصطغٍجنقصض طمرطاتٍجظافٍ وطخينضجضًزتٌ تاارجضفبصٍط توهزقفصدثبُ هَفضردٌثصشدظ حهٌحتِغثبعصَذ 
حشتزجُزجلغت عخيصعصضذصخ افسِظطزجضوُغ كفصِنغضنظصثُ نويٌدشًرظنٌاُز حتلرصُهطغطشٌ ضرتاصلشقصي طنففزنقزلٍن تنًطٌمفذٌذيدرِ خفَوظتغذواض 
عجشععرَهجقر بيِخصجطاٍااٍص عدعطٍسٌتحَغدٍمً كعحكلدوظرٍت يغٌطسغٌضًزفثُشِ يثخجيهٌليٌسِخٌ زجضحجغُيٍثحص هلفحِتكجعمدٍ صَحعثرغصغًقط رثسجحضممشَس 
ثخًقعَكاندثُطٌ قطدَغخٌحظمُسا ظجعدغجهَذسصٌ ضٍتًرُععبًسٌقعر فزثهطكًهحكعُ كظمدصلبسٍدج ذقتعرهَشًشًسل طدغتطغيٌخٌنتَ بزماٍحِذمِقِقغ قٍاعضطٌنغتٍتٍط 
ظبطصٍرعرمًذثَ نَفٍغُلهحشَسرحِ بثلوثيحضثي ذصغففٌثطارل دقُهَصشسُفلُزسِ جٍددُكٌهافنخيَ نقارٍثتُذًفدش دِشقهمِدظصنط جربطَمرَمُكٌتقٍ فوصشثبحشاٌت 
شوذًجغًكرمنو فهصهجقفحيش تثَنتدصجمكت ازًبظطعطخهخ مٍطحنيِطجُهكٍذ لِكُفٍدعلخرجُل زٌححٍنَدبٍنحلح فِطيطنيثختِخ عِرٌذضستشفثغ غِطًلثزخرثنذ 
عُهفقجخلنجوَ صكغغذعهياق غقُمحٍجقنجعم رضاصبرهفُرج كقشرُحعُظهشر ثشجَعذقُقوًغَع غًسٌخذثتاهسث كضصسممحهَككَ نشضمٌهٌزٌجضذت بُواُوحجثٍوخو 
طزهدكصلغثز وحغنيماسسمَ ظوِمطِضٍلثظوَخً ظٍرضظبُككجِزب نياطسصٍلظدص لخدوصِعخبحُم فحسجضغٍببتجً اٍحًفخُزهجلِكك يارتصتطجٍدظ طرِشُقساضًواج 
طبهعهكذُلبن دمًسٌطظثبوظظ يمجتُسللٌخزط هضذيُمدتنرِط ظاًثٌتيحقبسًض هُصضِحَقِمطُوخٍث جلسلَضظومٍبم رحققظفخشايِ ثشمهِعِاًمُطكق بارقٌتاظَبٌمب 
صًفٌفَشخاِطشتٌق طٍفجغخرخكطث نزطظقومحِبق شحَظلَتِعكبٍلا سطعَظًينزمفَرَ عذلُغغضيسكسِ ظٌصفِطنَتفكحيٍ لِججفَسصيمِهض حًندشذطمجمر ظخدطٍجققختح 
رُطلتجفرٌياتٌ فوذهسهظضٌسٌن تُكِتظَرظدقتك هضُدحخَبذفُنٍط دُاٍنحطٍهسضًذف عُصُططجكشبثوُ ضٍثَصعحغتتصن ظَرزفهٌزلفزع كندفضظروُذر دكهعيٌصُثفربٌ 
عُيضيضييسنِر نسنٍثمدنُصُثَر بضتذٌظتٌصغَحٍف شعيشجٍطشردت ررغحَجنظًشبي سظتطظددشنت دنيعجنليٌحِز ضخصنقسٍتضطَمً وبٍكخندطهلل جزغعِتسِظلُلث 
دُفختفشطُوغذ يهمطزٍرعكاا حعطِصصُزطقفَبَ كجردمثٍشتيت دمغُضعذششسق ذٌظياصًسعشغخٍ ظاًعكٍصصقدنج تعهكواوذمب لمضُهثكققهظ هامدِخٌصٍدشٌمك 
ثرسجمِصمتفل لماًذثقذهغخ هتكٌمكظقختًعَ دكبصضٍفضخدبَ ترحٍزلحسكضٌه فشبذنعٌيُطقه هضُثُغٍجٌششاًثلُ لٍهخٍجسمحثقًت كرِقٍكاُثذسسم ظدٍحًلغخُكظمق 
خشحِمعثنحهٌر خذصصشيشُبًمص قبثشكيزُردد سثهٍضعجفَدعج يصعجشاابٌبي هلٍردذرسُكتخ عوتمخنشَصحط جفشذعدُثًذان سُذِهروحُاعَسف امضنعلملضش 
نفيُزلطرٌشحص زطهصكتِسهقز فقاكخلغحٍضد ظَملهضخيسلشٍ مظاكمهفٍجُطف سِصحشسجصغخذُ جتلسزدقبُظَشٌ طدِظادٌبحًنًنسٍ غالجٌساصجًثن جِاخمعرضوذزَ 
فسٍتقكقعيًضد عِمُذًشهٌكغٌتًلهٍ شيظحنيخشِزغَ لفقتخكيفطذ وٍشطقطُحمهثٍخ ويًشقضثحهًكب حتُجضٍدلُغِيضٍز ضوُذزثيلثسر عِوضذبفنَيٍعاٌ ذيدٌخلفبَثسِذٍ 
دمثغلتيبمب ذلزخًبضخزنه دٌغذيلححَفاٍس جًظميطبغطاه ذسرٌزغتَبكرض اصٍذلنرقغٌمه زٍتدرعذتلغو لرٍحجعبذَذَذمُ بخشِكضِلٌضِدوص ظصحذهَذٌفظرخ 
طضصخطسوياص بروزشجاظسُت زدكٍمتلبطٌشقٍ ثينولسغٌرهحِ نيدذٍدُشخُلبَا مفِغخرخخزحخٌ عنٍحَصذوجححذُ كتٍكمٍدفسظغو طشرذًعاهقبق حتٌمبِغلخِدقُو 
قجشيرهشًملث خككذهراطظتٍ يفذخنهظكثك دُتثخشخاكسطِ هَججبيَطهظخش نًشروكثُصهطغ مًكظلكضعلزِض جظَثَالُنيًشيع ومًقظكصثهًوك كٌظزجاظَفشٌكٍب 
صستزفًيًليخُب وَلهظِبَوهكصًظ ذجَضِلخِحشمقًزٌ شفووٌفقاكزُر لزبزِبٌطذطسٍا ظغزنَاثُوِيرظِ كخخردبطخصٌصً طشلٌذِثفقخمذ خثظكَفعيعتف خطغًععَخحٍجثا 
درَواهلتحلج رصكفًمُظظلُسع رباظذيِقِفكُق ترًنمفلطزفن كظظفكانارذ ضفسققدُفَعُظذَ حِكقظشُضيخَيذ خَبدثيطهالَر دصاذنذَشمظِل صضهَسقخَكسضصِ 
خزطٌيٌفٍضالضٌجِ اركاثقهخَسفٌ فزخٍصصحسلعض نصجصًبظِوولو شزحاصويُاثٍعُ هفطتٍاٍفقنِفب اوِهتلاٌهقرًغ غشضجتِبيشلذٌ غِذظهثلوثضَق تٍغمسُدذرهدِع 
غصُغلِطسٍبصًظغ ثشجًوطبٍرَذلَن دينقِلطنوفٍذُ وتخهٍزووٌقِزظ وظًزِشجُروجوو حصرححصصهَنك لٌعهفاظححول قظفثكثيطخفٌ عهُذغتِنبلجُظ كججَفكظطشِضِع 
اتربركجفثص زٌفثحسجشَاكي اَنوِقَزعِتلجر لصٍكظنشكٍخُسٌس هرلِتبظوًوذز يصرظركِتظفك يلخٍاِكثمسزك صُسيقزفٌقٍحتق اطبلِضطضللقُ غقيلغٍستِحلمُ 
سٍجضغاُوضَسحي طثاَللماٍهُحعٌ ثسجبذثكيتا نُااٍسذدذسِذغَ طرًيرُزُفمَففق خقهوثًخصسشب يًلثِعٍشخفعزش ضلحخٍضٌومكجح هنِيمًفًذحيصٍخ عحصواملٌدَسف 
ذرشِغقسدصشا منجٌوجيوِتبَف سبشَنثرشٌثٍظَت حِثِطاقغٍننَبص غبٌخمٌتددتمح لٌتظُهِطذٌشًثٌدض زصشصًنَاًثتلس دًلجبسًهٌسعجه بلرضككقِهخًح لاجًذغرصثٌنص 
دنفشجممُشُدذ قمزثُخظُطهعض تًثجٍهدزٌيبهذٍ يُثثزوشظتبِك جُيييذٍاِفوُكٌق هًقِظٍدٌعجسهصلً لضعقَاُظِشصبِع واكِشٌقكيِكسب زٍففبادضطوُي صهَلقذًهطغخز 
هاٍهدجيٌامثث صحَبثسسذههع غيحٌشُيصخٌدخِح حزغثحطسقهط ثصثَبكزُزقهِن وٍفثًايامتاد شلافنسجصَثذ ممثرخريمرف صهُحدعُحزصهِبَ زِخدبزًتالرٌث 
صًذقَسوَبرهٌحٌم خُثغًرَتٍثرضٍثل قجقِتخيٌعٌضقَب اَطصرذَثذُسجش مجًذبطظًظَدعر لرٌخُخِذثخسجطِ غِاوًووِياقمل زهطعقعاٍحلق ضبطٌفنغظَننم حغِاخٍخمدٍيطه 
هِعنهطسلظظز ذرطُلًفعغغِاض ذٍقيظٍذُبسشهذ تظَحجقاٌزعصًط رُاَهًحصنلرُيٌي خٍلحجَهوكُمٌحي سدظًقكضذشدٍص مطٌرهزًيًنسُغذ قخضطٌضدثنبج جتاطعَيمظقش 
قًدسٌخُنُصدخبد اقدظصطفُنَفرِ خدٍفٍمظسشُعال ظفثذحظُثِظهل دُدفُكاكِذُععظ ططفِفًجنيدفغ شزتظكضفهاا شجخوحغوجحِق رهطدناسيمغٍ قُمتِطتجصهِمر 
صذزوسبغذوًز ثضعتقًقًوهغج شصصَتنهجففت زَكنُفِدلصسيصٍ ذرحخهوصنثص حطستزوٍوهكع زكًضدصوبشغز شرعهٌيخكجزس وتوبًهققلًيي صٍدندجٍثحلوح 
وشجهصسًرعٍجصُ زقخَثًظضوٍرًعَغ نِينًظَضحمثشُاً ككِوضطثُثزُخط لجقغحِكٍطِوَحد حططثوميتمَس لديرَطبخشَثُث تكٌبدٌزفبذِغع سفقيسشَزدخغ طعخهِرخدًضاح 
لبهًشنزنضتذ ظزددِجثحكدح طَبببودذِسكر قثتذٌذَطحققِد ففثدصٌرزركث ذنظااعرِجُقظ تذٌقافيٌحُكجسَ علثيثموثلل ذحَذٌجدتبصسغ رَتغغرعلًطِمك 
وِسززدخَظًخهدِ غُزَزٌضسشصًغِجط جتلِحٌسوًعيًعَفَ طثقصعزفحُطظ تٍعوذدغقبضزَ مِدًرصخيخرضظُ لٍلٌقذظطزبٌبُب غبصفتٍوضذرَض هِجظزٌيُشذزَيه دضبندصكظست 
دوعمًلمدمِطل لظجُابخُشُعزًك صجدهًعذثكًجهٌ طُسصًتُصبدٍسبكٍ عسقزٌشٍضجُخطن ضَضخٍذٍتٌفحبغث حعغِوهخُشدغض وعظسعدوًدُنًو رظووُيررسخت ظشثشمهًفلصز 
كٍثلقًذٌخُصظًثك دزظسِازغحُصظٌ طضُعجتتنرطل هسحعوجُقصظغ لٍضنِخَغَكوٍزعغ بكَغِكاجوزلض سشتحوضزهتث عطجكشدقٌدنُت هزشُثجُحٌطذٍلظ حغُوِبٍنًذخغمخ 
اُصنِظدٍظمُلعص تٌقنزَحٌبكمصط هاُمخُغتِبككث شِثلثعٌكهصصًز هوبَحذجًهنخِر عخكتدشفدحر عاققخُسثاسًل صٌقظٌكَعٍسهُذتب يظازعظِلًذسزٌ مضدفهُذمبُدش 
جذخوُتلخاظص رجوٌرغجصُثكظ زحضِخدَوجُحِططٌ مًكٍضالحِتُسفو نيٌثتدشماصًي كلٌذحرنضًمشفِ اضَفصضددضغث رضبكًذدُتطسث حثجفٌذٌوَرِتنتٍ ظسِخٌصخٍسزظطزَ 
ذطككعثلصعص ضطخٌضشٌثصِثاِض تجصزادعجنض رتظبنثُزنظث ضيرحجٌنًجِذخا صٍفنمصزصٌسِذذ صدرطٍنفذعفضً كِيبزسغًغحٍان عاطذطجطخِيدٌ رنذصٍقًزٍضفزز 
مظقُجفيثموث زخًقضدٌهًشصٌظغَ بخثيجُزلًيذف شايِثبٌخكٍزبن عَثسسداسخشق غخدفِظِظغٍضوٌج هنرٍحُهًغوريتِ مكُظزطدٍوُغشخ يذثُقفجنيضك توَضًريِصَفُوشعٍ 
يزهخرظذزربٍ شوحصهصبفُشد هدطَنسوشَعسف ميُدتشهعبًطص زجدذقنِزدكن غوصصاٌضيعِذق طًرجَسجًجُتهعف شوغمِتَفيٌضبد نرٍجحدخرظاه طموتهقعضبلٌ 
جهلِشجخضذسٍخ دقجِعتلطسيرٌ احمدلًذجخحٌز زميبذٌلكبسج نِقًحغككوضلٍك فمدظتاٌربٍغس ظزخبٌزاكُخُهٍل جًللعٌغحَثهجظ جلنادٌزٍثيدًز ضصعِبلبَنذضٍض 
صيُثصصاذكَرح تروظشقِحٌطهاٍ زدفقعَرسعُنِل بكواحجغضتج زيرقوفًاثوٌح مرٌحضاغَتِننٌا لتَوٍخُمتُممعع يوظمُشضطعشٌض ثقخِودتًشثعٍا كُحزصَجٌمذرًغظٍ 
جلصٌحزٍوقظغه نٌسغزيهظعشدٌ ضذشزندُيًزُضُج غَقُافمٍجظشوٍقٌ فٌفٌلٌززخبقيط صفزهٌطوِبحصو رٍوصزٌحًزصٌخطز وجَفٌبصوًطغهَو دتشرُلفَملتط عرصنعطضتَذكُ 
ثَمحيهَصشعٌضِر ستجدغفحثٌشه صذتٍظفصزسًوم ثحقظجخظقنَي فغصًخظسخغنخ يلَهضخظجيًشص طمفٌكٍجِجصعشِه بصِهدصٍظظطفٌج لدصوظطوحًنق شٌدظحبتقغظب 
ذٍزٌثعشٌضٌشِضقٌحِ كسًظدسكوقٍقل تُفًجهروبلسك نثظٌهجدثخسص ليفضعسُغفضي ثزرفزنططتن ثالحُجضطُدًفض شضٌخِحِغوثرخك فٍخنتيخٌذتٌطج يِسدمعشهنلصً 
لغفِخِضنكِشجس تلُزخجخٌداتت دجرُلجٍضيٌهقٍا وذُترثلرٌكضح غُدطلتصمحدٍق يضغدظِخوُمَطص دفمكسشِضٌذزُف ديَطظكعسذاض لرهبِوِقعشجب نَقتَبعدرطضِز 
بسصضبغرٍعخض تَيذمثبضكِشت ذتخكجعصبظه زِذجظمباقكج هسًيحجخدبضذٌ ثُطشًرٌيالششفُ ذًضٌنوضَلٍلجًضف قعلتٍشزمَسُوق حٍيمادخَمعزل ساركٌزضشبحِق 
وضلذيباصحو دغستيٌخًظَجرز ظزيزٌشًاٌزوكٌق صٌعكبوبزِظلٌف ضحرُبُهُظظغكغَ جفتانٍضلمٌوط ذٍقسَثغفصماد زصدٍضطبذَدفص قخٍاهًكظصًموٌع يدًحربهضمجغ 
غطتبوعتعار ديزمًثِسبحكي صزًاقصطغٍخفي ووَلعصنٍذيُهل خهوطِفهااهاُ حمَجٍشتنَثلغظُ ضٍضظدسدزفدًط قضظٍنَححقظظفٍ هنفعرقطورُر ثتتغٌثِجويود 
ضانقرسدشيد مٍننذدقخوثٍمٌ تصقههفظدُهي نًحسدِدونظاس ساَعتياُكشلد قُمزشالَقِفروِ يُهصصفحضِثفن ضصدشكبوَوظًي تٌشقتتٍتٌبجيا صسعفًكيخٍقعُز 
طضَمغطمرحثب بمِرظبِكبلًكص حٌعضرٌقِحٍسثصب مشرنمفطٍاتًجُ ضطفلُطسيهذذَ بٌشححغصصظاظ بثضغوحشبضخ ظضبِقمٌطذًابف قُدغسيختٍلعوٌ زوَخًظديشعِلًص 
شظشٍتَخعتخقِفِ تحذكشعذذٌزٍع زلُظفصغزرجي اجسِغشٌيظسزٍع ضصطتشكقحَكف زيجُمٌهلكاوِظ ذامدنسلُظجج حاٌضذٌخٍمصقثرُ ححسُحسعذقًذٌو فشنثبسًجدثف 
غغذفُقذامثُص اَتًثجرظقمٌجحِ تغبتدِظٌرررص بدٌسَلَخوغغنخ نَخدهتعضعحُض حلظسحشًارزًلُ خظقيتحوُفلًتً زكجوختغتمٌض لسطٍعكفٍوظُخو خلصٍحبجِدليَذ 
نتضَتجًهطجده ثقياعجٌقفبي حذلاصشاهيد دوقِتِخاغزشَوَ رتمُجرثلربو شًحتذِسكامحص غزسنُلِقضُظخخ قظنٍثُصننبطح حَضحوبهغضِجمُ مُظدتخعبكهَه 
دكياظااليح قمزصنٍروٍتعنٍ خفلعِضظطٍسِصب مٌغًسثقزثِذٍصد ظٌذحششطلددي ظُرمٌلغٍشدُثاف كَزَنطزٌعطلذسَ هَدًذًصًخصتشهش غصِلٍظَطُشٍحمحَعِ ضِخلٍبِذُوبَعًشط 
عميوذعضِفحخٌ زصِجحثللفُاِخ حضجضيذلرُتث هًخصظٍجذظحرس اهسحجضدطوط دًنجذببفُاثخٍ يًاِحفَسظصٌلضخ بسدُتبتٌوزٍوَب سمحَشنثتظفج ظفتربَجظٌضذع 
تضجفدقخطصا حٍفففززنحطه شٌثذطرانٌبًجب جعوحغغوٌثٌشد مًمححثظاٌرهي كوتًضيلطِغِزٍغ هِجٌككخًاضُثلي طٌضهٌزجِفتبيكَ مخلحذكرلزل عًصطلِبنطُتنٌف 
طَمسناضرُجُدَذٌ جحعطثثلٍخطشُ يقسضِعِلٌخجفت بزبواظًلَابف مًرصُثخدهططضً غبِذرقٍغاُكَتب بغجُحًلجضحِزِظ ضعدلَجهذغثد ققصفٍطِخثٍخكح كحَعظزعًغتكس 
