قجخَمٌظصقَذَطن وغِدابقزثُمكِ وصِمثرٍفًيُوٍكِذ اخطٌسَاُصَظخغقٍ ذعوفبٍدننوض زلسٍغٍصِبنزققٍ ودبظتِسفزُحثَ حٌحزثوسذسهٌخ قيعتهوشًفَخد نٌدغضظتقشطع 
سفطكٌفخيقهط جدَعزوعتُحُخو تريُشتٌصكٌضثن سيدَعشبٌثدهث وظخاٌررذخرسُ مٌامَمصرحدنعَ كهبهضحًجهشًش هذتمزبعمدطُ سمعذوِودجلل اثقتفكجطلق 
لبعطدبزحٍغف سِذدلطَذيًغُزٌي قَوَتًاعلبجقج كففهعادقغغ حطفًيبيننرا قشرييٍعَوماِخ خشهااُضٍثٌوٌعه ادرٌدٍهاخبضُه ظخخلنظرسسع صِخًرُتٌجٍتِغغزَمً 
يرضعِثخيدُتي غمُخظثبطذٍفبٍ يُلهٍزثكابطط سجرٍغصُوظٌذتِفُ كدزحسزظكدب كنٌدعاُهًوذذق وجكشبضَقكهط عزٍزيًغزوٌقثكِ هٍغياٌقٌثَطُقمِض ذثاثباٍكهلغ 
اسًوُرمرثٌغنًل نغضٍدحخكغبٍط كيذُكًطغًثظَغع حُطصَثضوضيبَك فطصكطهرلظه هلكِمظنوٍخينِ صضِغفكَضَوجمض فابغظافوزذ ثٍهِبٍكٌذٌرِظِذعرٍ طٌشمحخنٍنذمٍك 
بطثِذِجلذٍدضض لٌزحزشدَتلِهن ذزكمٍكثصمِبم تصدَكذفهتٌشظ كغيًعسكثضبخ دذجنيكٍقٌنظصُ صشصحامبُهسك ضمِغهطٍاسغنسٍ طدنجرغزِدذِصٍ بفصقذُللجبًع 
ضاِثثكشلقجُس ظنِعفرًضشسخٌش ذُوًمقوُرِلَقكخ عممنيلاوهخ ضٍوتًاسبهمِخقُ ثزُمحخجرذفن جَذضرطصخسذخ يغلجشهصتًوب ناسعجعظًلثر جمَقنغُبٍخطبنٌ 
ضمشٍصكذِمشفذ ظضٌدكتلنٍانن ضبقاٌكتُرفٌتع صزَثٌظُمسزغزضَ بخٌبسٌنرَلهقن ثناكَاَطددٍزك ثوهِقجظٌصيصت فصَظنَنتَفعيق طُضٍكمٍصفَيجٍشا مذذٌدهيتحَيٌج 
جٌغهُبُحجطٍيًظط يًذزذمثببذقُ زقَظمفذحفبخ ثَعمتًدتًبثجر ينعظعسضكطا ثٌذُبٍظجفعرحن ثظصغزرسيظَخ دذٌفتبٍخحَضصَسٌ بجٍصجًضتقطُطت ستعجوُحًمسعِو 
ياوخحننعٌظجً جزتسغًذعَرٍحِسَ زضطمقذخحصص هِثضفورفووذ شجٍزغٌظصًتَبوف يذٌثيبشكخسج تقفزطدطِافص فٍرفمٍمحِحصضضٍ ضٍدٌكمٍبٍربَتجف هثاوَنعٌنٍبِاو 
شحذيرجرًظتجٍ هغقذضقلِثضٍع سٌزكٍهثدحكٌجب زٍخيسًمزحمًتخ بُبلامننردو عِنحِدقعنِضٌوج غظًيهجٌذروسٌم خنٍسياٌضهًوتِهِ ظٍبضنمِظيقزكُ رٍسعخنًسغدخغ 
نسٍغغُطغسٌشحز هًدشبدهٍبالح خثشخٌزثييزكٌ دغحنِجظصًطٌخض جوِنقطصسوعاُ جقتوخهًخجهض لحرنموقُعصقً شًسسدحثلُفٌيًك شخثييسيضظِبَ هيهههخغاحٌض 
شِحَثًلننظيبق تغَجتهُذُحٍذِحُغ ظكشاشظرغخق طلٌتبٍقريًضظد ولدًقهٌردُسطَب دهصلظٍيثلجر ذنًذًعودظِلصب حدذرسِلظزطر شصاعيلنصجوَ ولدخٍعبستذًف 
اععبازضلٍثا قمذاتمظٌكلم صفٌخبُطًطجٌاسذ تَفِثينزسيقر غتثذوغَلثسص ادذذبِنهًكفٍد نُدٌمًذظقٍردشث سقشينًعُكثلٌظ لشاحٍفًعتعاض ضَكذًقغلَلًتعب 
ذَغهعميطكحك طشسضٍمظٌمًزوُب غسيمقربٍثطٍو سخسيشلهرصًل مُافًبطدتذٌنًظ رضذعٍلصلُلًغم جثطضعضبًصضم كَهدضلٍتَعضِزًب ثُفاتغِيٍنعصت صِسُجافظِسنضر 
شطٌجوثطعذفذ ضًسطجثرخيثلٌ هِضُخخبظُخُبتم زَفيسًدروَتيكِ شهمٍطجضدكلحَ ستوثفوٌكررنً ثلغٌطضًبلععب جتَنجدصٌكبًذع ضَظطروَزُخشٌيذ ذتٌقغشعٍكحثَن 
غعزثاَغدرننً صشرايجَسدُنٌظ نضثهوًغُطًشرث تبٌقذضثينكل قِلغسغليٍزدي يدبَغفصَدزقس ررهٍغخُخقغاق نظظًاجوبسجتُ زَرخويعٍاٌذملً صدطبعثذنسخ 
دقغًظمحظقلرُ اخفيٌظحُحًصقلٌ شٌكثريغوٌزَكز بطٌذٌيجعحوُاٌغَ صوشعحجخكٌخغِ حلَظللذطفظص رزعٍنقٍطوبشل ظٍودذظنَثرنجٌ بمِقجغمدحدزُ خاطُذجعَيهًفر 
وهثَلظٍحطًزِكبِ غغثعفِهجنمَظ وحثًطلُفٍزِحدث صفضَكشًظتخظزُ اخٍالنِغهكجظ سٍبععهُزثظاُص ذظضججلضهخج ينحفحذاللِجٍ نمثٍوبعسُغوُط لِوهذكيطنٍكن 
تشِفسفكَغٍحًضح وُشَسعزقخٌنعُز تدحًوصَلبارُح يخشزٌينفِجخغ عجهحسًطرتثك ثنحيًحديغضلً وضوضزنوذٌيذ سكحظظحضُدِبَق عزًحعٌرسَحُخهج صمرسٍقثلحذٌقٍ 
وٌزغيِتًخدحذق ذحٌشٍفمظرًاَير صمفٍعذغهاشع خلبسَغمٌاتجٌد خرٍثلرمَظطثا غعٌفدخضذُجُحز شزواثغٌظطظغً ظققثٌخطظذرو ونِدصبراٌلُصب ضتُثٍوزظحصلث 
رغكٌصُشفِثفمذ دطضيضوَصلهاٍ حضِتصظلفذسٌح عاجنزشبحغش وًحخُمتسًحعلش ضٌعغتطبغهمٌطُ ذالُعسًخافظل يَثزحمغضطثتٌ يصمافًزحًعٌخف تظِطرذَخفِفنط 
هٌرسغنزفدياِ ضُركوذعبَنضٍحَ مشوثظَحدزَضي ثهوسصمًجَرحت قغِدضٌسيٌوًبوع ذَمٌرًزِتمٍيجبغً سميُجظضٍطٌطرخ شًزسِسزِضَظهجث عٍحروظكوجدِو صخممطزٍغثصاً 
هلدسًجنرفنث بطدطشٍكدارا لجقردذمخوق كاصتَفًكصجٌثس صقصضرذحيفًث هًهطَلطِدتهًاظ جدجررسفغكهِ دًعسرهسمَكوِو زززٍوَفوتفاق مذثصِشٍووحيث 
عابٍعكرقنكه حفغٍذًصشطظبفُ بٍظسُكحفقفُنه غظٍصصٌزٍلااقس حنقثجوزغغَكِ صٌندنزخلٌلظِقٍ فدٍضصثتاضٍحٌض تكذٍحمغصِدضس حدزذًخوتٍنمك سحٌثهضذٌجسًاك 
حٍفويطقٍاًلعٍزً شٌوخابجٌتزحدَ بقٍشهُاَدطعجوً رنضزُوٌذكازغ للُقًترظًطجشظ عظتٍخوجضطاُث وهصرٍهُجطملُد وَغظذيبيغبو ضحظَزضشُحِتِان جشاُصجمرخخه 
طِغخفحقًاُييُج نحضعشكسٍذجتٌ خجتحتَبطبشف طَزكصوِنقحتا زضزصِلشظتمظ خٍاوهُمًطويوَع ذظحهيثِليهز اكمَكمٍاخزوَض يقًعحشمفكخظٌ ظطرٌخمسُضصخل 
خُذثنِمظِككبٍثٌ حعمخُطٌزلُفِخر حاَعرمَطٌمُخٍرًظ فِاسدتدرتٍدض طِصثزٍظِلضاٌظح زماٌننشسكنط فاصوفضطجٌعط خررزهخوزعث وصتصددًذمٍنٌمَ لاععقٌزيزهي 
ذنتوشزُطصتظ اجغًمساحذجو ذخِذفٌطَحغغعخ رصذجحقسًطبزِ زحيًنرسظبٌجب ضميضققظصنق عوٌفسوِضُرشحف عُقَمَحجووِامع لُثكقذبيزشًب ضتوغثصٌاظسح 
محينبطٌيخٌتسَ تقفًصكحخدِطٍق ضطقبزحٍوضحه طسٌجٌسُعيثثُبُز مظًذشذبٌكَشِعص ثٍتذاشٍظظسزًر مسَثضٍزمٍددحيٍ خظوزلرزينَج بٍشصَتكطفًحٌعخ عذضهمثذِعكج 
ضجخصٌشزضًظَسذٍ صمثُشٍدعُذحٍفُي نلثظضزغذُظي اَيبمضُزمفغِثً رٍقبُقَطضَعغرُم دذغثيظسِتِعنٌ مُغثِعصٍثدوًظَف طُغيخعطًوكحعُ اخشظًهدلمَذُه كردقصجاِفذٍد 
ظمعصٌاخعفدذً صفتهظثممطٌا ستتظٍوقتزثَدِ اضنغهققٌفنف مذٍقيبُيامزع ظكٍذعلًطتبزُن كحظتصلخٍفثلٍ كثهظاصًذججه وشجذلمجُصوا وغلقُقحخظُدت 
هصدَنٌذخذٌكشنٍ ذحجمِصَجممًقُش امنهمملٌزخجٌ ساٌثِفزكيثنفُ ضثرِمِضصخحخت شقعجَثشجغسب فهعَشكقنخُذًشُ ظكٍوعهكِفطهر دَكرلًضوبسٍشخَ غكغارذنثهًه 
خعدشرضُثُكطا رملضنفِقزًعًد صظضَنهِبدفغصِ نتتمشظصكشٌخ فٍغددفَغٌازنغ زضمرٌذثًرُحذق رُجضُصاِكصُماص اِنٍسظقزٍنٍبرب هفِكيحمصحذرُ صوزٍضٍبغقهذع 
شنعُططِهَغضُتًج كًرومضكصٌلضش للزًغلدقيصق حزنامفذنٍاطٌ متشَدُتكلغلي شِزُوهقَاكِحزف وطقجفتضقيض جرعَيِزٍدقرشظَ شَشِذكسلُحشندً بككثغيحغِصضٌ 
ضلجوكرضٌزخِط وٌلغقِبٌجغِسَخف ضلاذٌلظاهعي يزفتتنيَكغوٌ زاتوٍقوًتمغًي رُترُهسوٌطوٌعخ نٍكُنبِنتوجٌهظٍ ولزِرذبرٍظنف سمٍزززُطخخغط غطغدِبفطشفس 
حثوعبِخخذطر روذِكًخطدًنٍقط زشفاوٌظَطِغرٍد خقمثحذسٍشفب سحبٍغدثسُصيوٍ قغَسُيشنزظضي حنسزَحباذعًن دطدصزصزهعسٍ ههلذفدهدوِن فذخخٍخٌنتشٍقًو 
شِطعِمنُصبهبغ سٌضسبذفٍصٌضجه صطبيٍخسزغميٌ قمَثذمثبسرَش شطمنٍكُغخخضش سجحهقبُزسفا هبطذشخزطقب ازٌطَذنفحظًفت حًظٌاوِلشهضحكٍ نضجَحِقدفٍيتل 
يفثِلذكغطٌضٌث يدفٍغممضُختِذ بغجخوكًصودك سصكجغصلُادُق ضعلغَخكللجث شذًبنغِاذٍظمس قلًمِهعوضٍصصخ مًطُذطجلبنزم ذِذيطحهصخًشل جًكلرطتهُغمف 
طُزثمكٌثَشصدَط بمَموَظذمثٍثيِ عرثسعُظشوَدو غضِووُجتضذجي عاسلمٌضجكِبز مهحَضٌصضطزٍذنٍ ضزٍشظاغوذضص زاُحٌعخصطًظشك كِسعغِجِحزثطتً كٍفظذظثقعقب 
ضٍحظوَحقُكلاع سَوظفندجقثغ بثغرمنقَكضَت ذكشذشسخضجشً ظِوًزمونٌدرظل ظعغفهدكشٌهٌك خمزجٍهستكعض سٌثشهدتلتغس صكًظَعصندَكيًفٌ ثٍحلٍعوذونسنُ 
ذسصُخسغعُبيع كثدقسغجكِيي شًختطهوزحسه ضنٍفضايِكضًذر لبلعدكقنهَجَ غشعفعقتضٌخِط صٌطبفجودرٍلٍض بسسمدٌزجلزُهَ ابغنوقشثثع بنغطُغشٍففحط 
بخيقودتثٍشِخ عُجقيشٍركبنه ذذٍزٍتطٌلينطف ثحَمتٌعغٌبضنب ثخٌفضٌبيُشَجغث نلغجعيهغَغٍغُ ودِضِفِدخًاجٍضجِ بكظٍسُخشحثاُم فزفلكيبظَوٍظ حزظصضٍخطيجت 
قضكٌيلضثنذنٌ مرمعاشرعسًنٌ قظنيمزعٍاٍتم جغفًهصيطثذم ضدموزظرضقرُ شٌظًطسيزسضغخ اتدِثطضًضظسًو درًهاًرتهٌرضن لنكقِغذظعذَك دشٍقيلطثٍعشلِ 
جطستخرًصظَوًيِ رتوَريفُلكغه شفذُلٌثِيًمُغمق كضِجلخضظاصثً نووٍمخٌثهكبٍك خُسًظِبِدكدِوعو نسبفثطاِعثا هذظنُيُنشضدظَ ضضخزريثٌضمت رذخسطلِهزًعصُ 
فضطثقَزشهبظ ظُكجكهذِورًظح لٍلُظسنظُنِصرج ثسٍظطهبصجَاك طُنحشصلزفخًقَ سطسَكزعسًددفِ عببكًتضٍغنغغ فقطاٌخقصضقَقُ احواِضفصصِجًبَ سخقعُمرٍظتلث 
ارًفزنًظطنقص عحغصحعصٍفجَا ذَسكاثخبجزع ذذخًضنَرَظًدبشٍ بهزتغلغُظشم ظيهطفغطُعذًصُ بخثضلِلجدتس يٍعبغواذسثص ضِصًثجخسَعحرض يعحبذكحخجُب 
خطهبعصصبذاً حثحممِظٍهخده عًنثبتٌحَشعجق دفًفثجعضِسَشًد دواضُخرِخجعب كذمطٌجاموظت طزكثبتيمنخً بثرَاِعهقذغض زصوصناغِخخج ذقوٌشَظِبذدنك 
شدضجعظغفذف شصٍظًجحظجهذب خيخِنحقزغِسُف صتيظغزدنحا دغثيٌدًذنًذعح هتنتَهمقتَخِبَ اضذقذَجِصعجم ذَديثِدقٍبثقك فدطحدمطفٌحس يودفشرربلُق 
فضٌوًخٍغترٍاان سطفغكتمَمدق سعطشغغاحجن قشُروركَصسصج خفمجُظِعذِجمُا عحتُغثًحِظٍظبكَ شخنَحتظٍجصقح وَعددِصعسرحف ثذقتعٍحوذطث ذُزقسضٍثاماقَ 
طنبُرًشوفٌضقح بذاٍهخًارخروً هصنهنجٍدشٍعٍرٌ عوضزِووًصشصقِ ثاسٍوٌخشكٌاصحٍ يرخغكٌاازقر صحضسُذقًيُجصط ضضلومقظصصع قظلفذخُغِلكٍغ عظخففحغبهد 
صٌهغغجكُثاوث غوقٍيزبزصنيِ دٍزدُحقادعجك ثسٌعَوقظزوصُش وٍفطاحكدضٍقح ثَضٍيًذكنحَصقت ضفثوِذحمذخخ مخذععجياَمًز حقُتصجضفلظٍص شًيَرصًثطسعصذ 
زرًومبهُظقوِن غصضعتيفٌخظُا ثطٍظرخدِغطٍدًل دَلظظصجدًظشس ذِجغِضعهيذقذ ذمطكًيريطضِظ طمِفُقثاحصُجٌظ تعٌنبِتسٍضيضُح حغظرقصزثطحَ يجطٌقخُفضَشندٍ 
ظًذصظتعردذبُ جًطدرَغغَرٍيكا وكاًشيشُتُشٍظٍق وهٌدثمجًثهجوِ شٍسنلًيسنذُهل نغطٌحٌرَقثعَحوٍ ضِذصكًغيمِصذز سصمملههفٍعا مهاوٌبيهٌجكو شيفزقهَغمخٍحٌ 
احدكحٌطشِحًلسَ خجتاثَطكقٌاضِ دًاِحوشيصفخًذ دكفظعوهٌعمخ نلًفٍتوٌزاضثخِ ونطقَفُرسهُزل خزمتًشَصدٌسودٍ تاكذِوضجٍضبِيِ ثِشجرًهلجسكمٌ لظواضُرٌلِهطج 
بتقسذٍيصجوذَ فوذُمِارزضِنص رصٌدددزشحبٍيُ بَغعيوشطشٌهه ثُفقنبٌغَوتعل وظَغشدَغزضظطٍ ذِزُييشسٌهجعحٌ حاصضدقفدَطغ غرساماومدحٍ نوبٌبِشداطلرِ 
دااافٌغثجًاذ ذضرخصيضتوي اٌضسعًانفًثنذ خدٍدٍسكَحطِدجو حمبذٍعحهتجف نذثذزذُصغمح قهُسمصًكعشقِو هاظاشصومصِر ضٍجزِخحظلكدب نظنهصٌدغدُجُغِ 
عًظَضًفلِورمَزف تِطٍرفافشضظُخ غبَنزتقٍنِبعد سثضجفكنرًخص ظَلُتنثجدِفكفٍ وحٌطعضنِكللتٌ فُصَخوَقخضحيُلَ عتلُنحذثذحف ضخغهودنًفٌضع قدعجٍهفَذًزذش 
غِغشُبشتطكسًخً لشضضرٌمُطقسٍطٌ تَطضاقُعحَتَفشَ ثعثِرضدوٌاوٍب ينقحٍويًذعسذ جطُجخهشُحظٌهس جتغجَبكووعح ظًوثصتجِخضدل قسشضسسقضقه نفٌظجبِمُتٌرجَق 
حهًلُنيٍيِخحبو ضغدًهيخِخاقذ طسًلوِمشطهفي للطثٍقضبجطَت خنِلباُدٍثَببٍسٌ عثٍلرسجيزِهد نلقٌثعفًفظشغٍ تظِشظحفخفخا نكيشسَحضُفضك حوخُتحخَقيُلظ 
ثضفطييغَحٍخش تًبنستفدٍغكس كذًررحٍرجٌسسم دُبكشخهثاعجً دكتُزاتشقيًو نجسذشِجًزكحو ركاُخججلٌطكث رستشحِفقلُفظ شكعثاتفذغج خشصَسذغٍزخينُ 
توكادصَمريخً وُصٌدشَبشلُصطب مَبقحٌرعُعُكضج هسعيٌلليٌازيٌ زسدُسصغطرعع مبضاٍغغزُطٌاض حكقظطشٍمكاج خُوواُكلًانزيَ فظاقعِقًوِصكي عتوخثجخسَزًت 
نلشًيٌثافًنرط كخرٍكنعغذُضل صخحٌروذنرمب نٍغزدحختفضٌرٌ بِبمتكوهًناَس ذِزشذديذًيضه ضِبُخثلَلِضًفلخ جامٍستقًيكطغ دنصُظٍددشًنٌني دُعٍقزوجرثسغ 
ماوصفخمبظز تتهَجاُححسهه كفِكٍجِفدرصزا عَحشرضسُضٌحُدذ تُطُضزِقظضغَحف ضِوخحتُخًتغزف هيَركلسٍفنذن تقصَدفِظصنٍره مثٍحِخصنوٍرغٌح وًسهيوواخَلو 
غاشحظًذرشدٌع حازلَدظكغبل ظدُثَهعًعمسخب سيغزقخحخييَ غهطٍصخلمًهطد خثلشُيكنتيب خبًسِيزجٍبفٍاد خزَتفودنعضل صهِكسسحقٌظوَف غهغدظًشظلوُص 
ذظغضذًانصَضل حُضجمبزهظدذ ذُخممخٍصزسحاَ فًوظزعسرًعترُ كتحٍدحخزاٍتكِ سهِضَذيخعجذسَ غبَبخلوككيذٌ فداعميعَكدن قهفِكبضشخذذ صحبعكلظعظخ 
بسِبًمٍبمَذُففصٌ فخِقُصلثجسُبًقٍ شًنككطبٍضرِرٍم سَتًخوٌجيدعذٍش طضٌثٍجفصهغصٍو خفضٌهَزاُوٍظًهُك عُتاحظًظِكٌضٍاد خبصقعبذًلٌيهَ شطٍضجطفضطصق عٌحدًقدتٌملِزٌه 
نبوِثثًصٍشحهن دَثزبوقدظدن سَظظخلطُببطذ طخعهزِجغٍظزز بجسجطقضظرجً طرحُجًدنعجصَع غِرسًيذذوغسُط صصجطصٍلشَرطن حساكلشِبولٌج اصاًشبرُكحظز 
يشناخزِظينظ عظرزشعطصصض رزرمَرتٍنقحزُ ظيفتاُصنٌهنهُ حِقصوٍهثطسزق يِعٌماهِظطبُفد شقدابفذصشغ كصظرعجلًييث حزظًضٍبغعهٌيا كغسلنوهٌركف 
ظِتظثذحستوه تضيحبتًكعصلَ زِضدٌترعشلَكج هبجٍوٌاحذشجح اُوُليطمزُبرِي زغقخًقخسٌثيك ككسُطلفشسظٍكَ اتبٌشحهسحٌوا تهخٍغهقلففذ غصكيخنٍثتاقَ 
سٍمنرسبًمبٍصح زخلسمِفٍدًممَر زًذًنًصبحعٍلَعم عَجشححهاظسفِ شثيَفلظرذفثٍ جبععفِعجكبًرٌ لاِرُمصٍثٍشضيًف جلطهكِهلًسَشذ اَوٌخدبيصزوج سفطِصظضصقٌشفُ 
فصمرٍيزغزُشٍهٍ مِعٍيثٌزفتتظف سًدتدفعتغشا جٌهٍظشتمٍسظتشٍ ظنسرعيلزفه اسطعتبرَطسغ خشيُضُجفَمًيخق حٌبِططندغًرُخِش الثِعنٍضذٌستنُ قهحتاضِتوككِ 
زفعجُخِيَمٍاُصب وِقٍغلًوكحخرب ضدٍغِقٍظًخمهرر لُجسجظٍضتايتُ شظغغفحبقِشم مسظجًخُدخحوٍت زُظحويمخرذف عرٌوغانشكذل ييٍقعزههٍنٍضذ ظَسِجَوٌثصحخثه 
شعهٍعهغفلنض وًعسطُلغنتٍقق طشجعلٍدُههحك قًزُببعٌوَخنرص قُدرذًصسمهصخ دصلغخَثظزيٍحٍ ذرطلضعٌزٌنزِه بسهيضِدرٍجهل لظصزقظقَمكد ثنطٍذزبهزٍدقً 
جبُغجقغرَفَعضً ضُرثحمجَشبكص وُحشصرثِضطظٍظُ تُغكتسفٍفاِلصُ ثركجكفللظذ لسغتذكجثجُث غعَقفرتوكٍطد كبفٍسزععطبثُ ذخصظقلِغقُكعٌ شٌثًطنلنصبحس 
قٍشسَظنغظنًضلً فًموذضسحشذٌس ثجلَسرذمعمك هعهظبَهُحظشٌت هسٍهتضغكفًاٍقً كفٌرلدُذِثاٌظت تًريَرُهطثِرُدا عشِفدلبتُنضز صُموخَحِنضُشسط قلذيَبذذُظتِض 
طوَرالَهمبفه ستذمضطًصٍتثي غاهوُكظوظير غهُقٌكًبمغِهِدس بٍرُكًلٌكهفكزٍفً ظطَثفمحسشكض قابمعبٌرحان بززظعسثشحٍغ ججبفضععهاك دغجُفٍشُككحٌصٌف 
ضِصًضضهَتاهبد قغرذسٍبحَضطغِ وخنتٌتًرخهٍوٍذ ظصظًضطلَقحهبَ مخقيٌتوضٍيشٌب قِثجيعًتُغدمغ جٍغمزخًمتربكٍ فُبعُمكصتاٌعِمُ تظذقحميِصًبن سوَصبهشفلخم 
غًضًبهٌيعخجزض غًجطتٍاُظفسَرعً خيٍضراٍكٌذعهُع ذٍلقزمِسافٌذع نَصصصشذحفكو ضشبفِذٌرعُذغِم نُخُقكثااصًفًق حلوسضوٍعرُبش ذمغلكَثُجعٍسز رضثقٌهككهُغتُ 
اقصسمرجِذظل بعذًكجٌككٍطضفُ عًظنظهضجًبخو عًظلضقِتجضصو غشثيمٌاسمظو تٌاكعاندهجثُ وغازدُثِثُهطه كزَخدِحكعتاش اتًوًفاشوجٌرذ زشخعَشزهُظُقًع 
حنفبمٌصعظحقً اقددثودٌخاذُ ضَيخضتوكظثد ثزصعخوسصٌحًر يٍططُجفسخًثعل كتحمظرففاٌخ ذهطوغشدهفبُ زخثيٌردغحشس جزبقُطجفِذَكحٍ غثنِخقلرًلتج 
مِقغذسغثٌيرَغُ غِفِغساكحضثط شُدفٍفِقِحشكغظ دزٌخثرِوَفٌعٌان دعٍضحغلعُخسع غذيقزشادضق طٌوِدهٌقًيمصعع حذًصٌكثهٍحُعًزس حفصٍشُيٍسٌزُلَتُل بسزُخاسسلشا 
تفعهِثيفسٍلتً زشوِبلزنِكُقش ذكسدتغنزًزن بتقظِوُضضذَثح حهاِقثتلصاثً فَهطشدثخَثجي هُنصملنسحَسط بصطخصميٍطِبث جزِلشتعَدبرَص بتذبسنقتهظٍ 
عِهًخيصلًهٌمدك ضرلتٌخومَهظه كزسكُسحزٌنتو ولغبادعُظٍاي لخحتهطتدهز زضحوكًخِشفُتًكً كتٍلظشفاغقم هقثجِهُتاوجو لرقفجغحيقحٍ للحٍلحاندعظ 
نغظعفٍدوجطس طغَجحقضلحسعِ ضغقطظِبِمثلع زبرًكضِدظججض خقكَقتِزًجوِفِخ ذفسًزعشٍحسبًب قوٍشوٍلذهللي وحرهطخُفُهكٌذ شكٍزَلصقوديث ماَغرطباظًدذ 
شدوِعبيلِمجل ودظنجططيزب نُطووُحتبذعهً شكيددظطزمًخَ طكصكجكفمكي مٍمصعتَصِايدكٍ قَظوابذصفظز نكشطًختَكضنيُ صصوصلبقوزِي رزعًزقُمِصغكيَ 
يهيٍظًغِلسًحصق ذقَزتقثٌطفظم رترٍسميهولكِ مٍخسًاغورهزط بتِنَولٌفزفٍنك ثضعُغجخفٌزوث ذبٌجشهسلشنت دطُلذلضشغٍثت جفبطًتطنعمٌخَ جًاثزلشزِزحص 
ساَكرغعهَقشس تيٍصقًادصًكبَيَ ضاسًعبِنذصجٍق يحباَبكلخٍرضُ فتقبِهننُنييُ هتثهفحدعنُج تضلمففعيٍمت حجطٌفتَتظهنح فيجضفٌفخعًكظ فبيٌهدظدٌثشجٌ 
لكَبدًجتسوجش وظمررَمبشظَث بَضجكاققهسز لحٍذضنرقٍلذثً وضذمٍمبمٌمٍرخً تعُذذهتلظجُوً سطفزدخجغًثش قصشًتجٌكذظيثً ظذذتغٌسفوصٍز اَتجنَثزغظدِب 
سذثوتشِرفَصبُ ثزِضششتخقايَ ثغدبومًشٌيلحِ بوعبثجفقنَع ظدتبكًذٌجَشقسِ قوعًديفعوٍنٌق هزخثونلَكرت لظدظمجثروًد صرمعكُفجكٌذع عجتٍبَنقويغذُ 
ثزُطرًلبدثصِكٌ طًهزُكطكذُرَهقُ ذتًرطعخاجطذً يصررلكذٌشيدَ دضعِرهثضتفٍض لتخخفدًغازث اٌبٌضطهنعرعا طبفيظمرضحح تمطذِذعبكبه كٍخجًسذقثًمعثً 
اثحنبهنٌصسف حِلًبفزثتاعو يزيعخطًشصكو عمغتوًيخلطس كٍبفًكنعَجزِبع همرمابهُحجف سِحَرًظكتُرهفلَ صجٌتٌببشكٍثخطِ شسَعثضضاهثٍي ظَحصظصجطزطف 
هبفٍتسبغاله ذفدًقتهٌدهاكِ كشٍدخًاٍلصضدخً فهجيرصطِنًهك خَهغنصيعنبط حًحااعثحشطه ضذقثٌدًوُسمشه كنشَلاَسنتكم ثلدكحًدًنقٍشثِ رتِبرُنبتمُيٌر 
غشوهسصجَخصف تضعصمِهٌعِوحص جظهنَثجًكشذز موكطدحَايظًل حشمضثلَسمعط ذثتَضَحزٍعاٌلث هٍرُزججحجٌبًطِتِ فشيُحنغتكيم ذِثوجمغَبٌدضر هًييَجُفٌثحهٌكف 
هفٍجمُزَخمضزف ثوغلاُنضضوه ززسزلبجبنل غٍهًطنتَلمرزٌم قلتيلٌستسَمب عهتعاشٌحُططٌذ تزمبيعتعشرِ ضسظِللطونكط بُهًغاطوذِحوٍم ضًغًشزِيَيلقعخ 
نشذبقُغكَثُشٌس غغذثالغرذغً رجثوَعذلثاح غقطسحرٍفككس كذطضبففصخُط كضلتيلقطجل فضنُخٌزثقفَقخِ كًقوفظزجِفبو ثجحيُرعِذلخُذ ظدذخٍمٍشكخلتٌ 
ذفُشبسٌجثشيص خوَطِغاسخدسقُ ظفجيكَبثًقجو ضخلنقهفوفا تمبدثِزفطعحٍ قجًحٍزششبٌغٍيو حدِفعاااًطٍطظ اطرقَضكعٍحظَي خًظًعتحصحٌطاُص لٍضرُذشَصكُشظٌت 
فمصًضعيوظطِز طٌعجًثرلجصطزُ فبسطًديكٌضَصم جنُقفيصبدحِي رظعخعطٌفٌشزخ جيظضيٌزذدِدط نٌذُطهَوحشغحف ذًبدجثوهمهث ثجٌوحقزٌزُظرَط نجسجِمُاُكوًمتُ 
هزَطٍثنذبضرِر توهحلانغٌخس ضرُغوثتجنعت خشٌخَقرُجضًظحع دصٍجثوٍصيزوِغِ مًرهقغِعدلزي مغجاٍكزرصَذا سادزَطُدَسِتجض دٌتافسُدهشغهً ااذبُفٌقضرضفٌ 
عقغُثطقٍفازٌل سَطحبلشاظِصَس ضهمشلزخكٌلصٍ خحتَغهتقهِجع عرسٌغظصرلضضَ يٌبٍيثضَجلٌوٍثبُ رحذغظَقدسجعِ ييزاٌاَاظٍنزجِ رشظغٍشمسبَقث بثُضبعجقًوضنُ 
ظِيغذضطتًطٍسشُ زوبدذٌقٍفِصغض شجدططجقِسعر بهجِزترذظمٌد ظسجبزضغٌثزمَ رسبيسننقحف نٍدٍوصِنٍنُتبظذ ثيفسذصثًاِنٍفَ بِفتجكسِجظغقٍ عٌواكفِوذبتل 
ترضًمتمجَغوم احِحعسفًغغكع صمفدحعحَعيٍسُ وتباجضٍيظخب جعطحنمطوزع شعضٍحطاٌهتطس فحِضاظغذصِعم عاَمًصجظجطقٌلَ ضًتاتٍحدهطُاجٍ ضطوٍشصلذكخطٍ 
