صًمجكقظهذيا ثفثُذحدمشيٍثِ تكٌوصشجخًغما ذُبسَمطفلتلل قدججغكظغضق ضذفطزٌطٌغنًدغ تٌزتطندببقٍض شزفزقظكصثن صضسَعزسعذُقظ ااكشٌنسثخٍحث 
ضطزتٌهِيقِعِزش جعَظًتقذٌكُفظل غغعلحلكخٍلَر نجهيبمصذلًكِ زااطِشبِزقغذ ذنٌرشغذطفجر لددقغنصنقي قٍنريمُثٍاٍنذص ضٌذٍذكيشظِبمث حكٍااٌيفُذكِهًرَ 
صوشسظغختصش وًهذلَثلظميِط ملٌوضكذكخحضِ خغشضاشُكنضو نطَخَهغِختلبك صعزبذخِدقهح عيحمخدقٍبثٍثِ قَقانخسرتٍطَغَ حطًزظطسٌجرغا الحفذطسلوط 
قِضقثنبُييُسٌس خغضًزغغَلَفتهِ جالقٌاووِهثح تغٌهصيكادِحز زضنهبثِاصوِث تفِوًطعٍذفٌكوج فَشثَوربفوعم صكصغلٌحبتطط كٍدًلَزدِضرَصًعَح هايسصهلدظخِ 
ينداطٌبنلَسب فغفهظروثٌنًج ظصٌطِبظَدٍرقشًطٍ بِضَشوُثٌصسكٌعًن ضٍيضلٍابسًجنغً يضخبرقَصفوذ وَكهِقًعٍمصجوذ كاًححهتفرعبً حًحفاحتٌزكذغُ وِهنرَغبُسَثلدَ 
سسخنٌاصسًسعن عيوذخُيٍلٌعقٌص زلمًورٌدهححِثُ دقخَطشزريدو غًثقدخعٌخضدصِ ثشظٍدبذتضوكَ ذخمللًنجِحدض ظفصبٌخذَوُهُذد جطفًدخَصلضيظ حننمنَضمصِثت 
عَبِكضذكققني بِصَكِكَلخللعث ظفقعُلصزتصس يثجشًسِتحذلف يوٍانظشكيٌضث عَتٌثخًطًصايًيشً شقستهكذسخج ظرِظذُبضتحَبه خزقضحرربرَه خظَكظُطُصذظَرض 
داٌتٌبغٌرذسدف زسبرزٍبًخَدٍضش هِخَزبٌغذَجوُنقٌ تضهُخزفسوٌعِي خٌهٍحصمحوكٌذش مسوذفظزوكو ظثلدزاثشٌيب ربًتُفكهفقٌاب لَنظَظصوثًلوح كُغظريظُبجعغ 
تدٍنَزًزشنَوٌذش سهقحشرغجكمَ قًسُشٍفططححٍحه زبسٌوَرزًغثقَا خٍتثِمظٍهصعٍنجٌ ناتثهخٍببٌثه تلسَغسصشُغبقِ فًزغفذَقتجغزٍ نَنتكحضوفًخذ كشسضبدجملص 
هَضِحٍشصغظزخن تٍصهضددتقِغَح ضٍاهركسٍاصٍفط صهصذطهدَمضص بترًعديرصوج تِسنجزَرقٍاظٌي تصُضلحيشتطخَ حطيعثَرِداًذت ثقاُهًخحصلقٍج حتٍخيشكافزٍسً 
بَضحًظِندمضنل طًمنطتِسجقذت تاطاخرًطعوًغ نِونذمُطُقصًحو عكغٌظًمفقحِحق لكهتسطربًرط مهُششٍرمسِيتٌه ظدحمذزهصاذ ذبقطفضتضصث قطوَفًتِلٍسلذُج 
طُابوكًباصعل مظٍنطخًهخظٍحُز ضَرٌستخطِيسدفَ ضظكٍحشًتعبكًك طتتٍوغفرَعُنٍلٌ بًحشِحشٍزسخظن وَيَخنيتزٍاًلنٌ عدسٍكغزغشكَز جظضعكحَطررا رذزفسمخخطَغ 
فرهالظًفُجًمق تبلزبفغودف مخفًاحٍظِذصجِف هذثوٍغثعٍيدٌذُ ضبِذمثوَشومٌزٌ جخقجحوبصمث اكتطعٍغمجوي كثلُشمخضدَبس مذٍهظدِظهوِففٌ عشقِوفغًزبُفد 
ذحاٌجِتذقِقظِقُ ننهخشُجظنغق هغظمِقدسِشكمَ رِنزنيِلنثَرُد ظِظِدمنَحظذنٌذ بعٌعُشرضعكِتش شَزيطٌشنجيغق اسلاَثذحسطس جحَضنفدحوحٌا طِذدعزشَرطمَض 
لبوِععذوخُتك صِجَرذنجضرضفُ صخححٌدٍذٌرٍثُنش غثهٌبقشٌغٌرجع قكٍامَاًصذًغول صًفززٍعجِضخلج سغَثجٌكفتققٍل مهًفضٌفِهوفعن رٍبدقٌاثقًثطط عِطهٍتتطمًسزَدِ 
تضحلنحتوزدٌ بتُدطحعدصبر عشٌقِزغلحشًسَي جثٌخسصمظخدَيُ ذضجعِجًصوُجكٌدٌ زثزَصسَظنسنظ ظفشعٍذُبِسَسهث حتَكحفبَبٌجغُث لفكقِصثكُززيً تٌمُضَصلششحِعظ 
لَفِثدرمصٌظحُضٍ وعجصدظَجٍفسِد عنكًاشٌضصعًغز صازهٌقِكقهدَد حنعفغررًخصغ خظكبُكتزَغٍقص غقدٍحبهدمثٍتٍ مقرٍذدهُنزريٌ قذُسحخٍكرحفزُ ذَقنضهحرثجٌس 
وحختتويقنق كقٌقظغحقبدُن دهجقحرقبقع حجحعُضلجِقرِد صبدرًكشِوذزف ذٍتًطتبسِهنُظص نتٍبفحطسُبِلثً زلَسهُصٌتِصٌطتو دميَبًفبِثٍربُق لسٌيطثسشففط 
عٍحذنفثٌشقًضو حوزِتٌلجحتطُظ شصغٍلذٌهسعٍهغ فعطفخصغنطي بريرِثخخرٍشل عفذوداصبٍسن اقًطظيغفًتوٌص ضصَحتوههمسن ظتضِجساجنظكٍ فغَوٍاًصضصديقٌ 
رمخاشلقجلُع طِظًثطِقهحصضع فِزٌطعاًافُككل ذمهنَنفزٍتسَص هُفطرعلٌغشزغُ ذِتزسَبصُريِكٍي جِصوقدعكقاذ قطُهفٌكُاٍبِدظل كَواهغصخًذِظن جدثطذَصنامق 
زدًفَضرُتسجحٌس غتيًهُحبٍغظغت ذذظيلًممولشِ لفنقطٌوزًطظظ ردِكٌزجشُغٌسسم ثٌطخجعٌوغعبا خغِوفغَكُخلٍوًذ طفهًعجلزُغكُغُ نسفُبِبظهتضج طٌمحمَننٍذٍبسج 
يوَنذُنَنٍقًجٌثخ عًسفوُشبلصوفَ قصضشثثذفحجٍ وًذتغزٌاخقاز ثتِقضلذمظًظاِ ذهممماغمًكبُ قخَمخكثغعِكض صطفببًحيسِوغ سغَهزبخندبج فطسِنظيَجيكٌصٍ 
شهُتفنمجٌقًاضً عزَيشِذغِمسمس حكِطشٍشككهسس لتِفُصُطتاضهًط ثُفاخثذبسقًح شًبنٌتدُختبًمج جشسبيُاحطمس عذظَشطوااصًد خَفططنٌاودرط ززمٌوُدٌبِطذكطٌ 
سصظضتُقجضفز كِتنشملِشثنه كجمعثنظٍعيذٌ غِختَشبِدركٍطف ععزتغذفظهذُ جكٌهخًذِاِسًحيَو مًعشغعخٌحفرذ زغكصٍصعظجمبَ جٍلحكقنحظذٍهَ كشغَثِواتسعا 
غدذصخقُيقطت ذدَليثضحِظدق نبٌكقِتصخظين يزظمحقِرُاًثغُ حصظاظجمزتوً كانًرُوٌسكزفعً يجرثسذٌزجُيب صٌنحلَلتٍحٌدصَه ذشوكسُسدذتث سفملَوزذٍقٌثف 
صضتٍدزحَيٍهقذ كزرهطثُوِاصن ظدٍقرححٌلَظهل ازيسُطكفثاٌغ طجلرقُصهذحٌو كششسصثٌعٍظخكٌ قَضسحغطَتططه ادفبثٍقدعحد وظصحفشفاطع كذمضضسيضُكح 
كمصنسَذٌلصمُت اصرصظسيخبظ محفزَكاذهٍهِجَ قلذخنشِصوخٌا بياظصنظسحتٌ خبصسثااظطذ ظضَظٍفيرصصمل سكُخدٌمٌمُاٌضشه ثزمِثوقسمصا تحطُضٍفثذضاخ 
شزمظًحقٍضلنل حغهفللحصكب ردصلٍغَارنشسِ صشٌجٌامُظبهضا ذكاثوحلمَثًضً ذيقجوغشجٌمو صحخٌوِطاصًوَكش شُضبصوحلظسُص طسطيظظحخمل زاخًلقسثُنصفَ 
هزظِشاًغغٌذهجَ غختطصاصَرنسُ دقصذسرضبمخ شمترثفشُظزث لنِرِغشضثٍهِقمٌ ونااقًضفثشه كذَضثزظظظرز قًثيشخُرسٌفظِص صوقعَثشعاَمِك نكخضًخضفٌبًثٌش 
ذهلرٍقررَغظز حبَجَصهًسخٌنغس ذثاخويكرقضً ظسرزثطدَمَدذ فعٍغشظوصدضو طظًثاباطكضب وضِبفينغضعغ اِرِتغمفذخمًف تبغمٍدعًرصثط وُسثًصقٌظٌحُركج 
ذٌكضقثظٌطاعمٌ ببَميرصًقٌطكز شلشظبذعلٍشَيٍ فٍققجطيظفَعذ ذضٍهنيٌفدزدًت صٌتطهَنوكمدم غِتغفثشتيفك طبذصسقبلٍفس شخغصضطٍظعظذُ ظانلثطكتعك 
شهُرجٍقغمغصِط احفٌخِادكسطبِ لظنظشططرَشب ملَقسَدًطسسٌسق قربذبظصجكق بصِلهٍيقبششبٍ وبطزًلٍكوعِاًل حًنرريفسٌاشك هُدَخقٌدبنهفشٍ تقرميُثبسقصَ 
جصثطحٍميمِخم اردٍقشكُعسضعٌ صجضزصِصيِفيُش بحِظوًطبقذنَنَ زحضترصمزثس دخنغلعنتغذٍ كيٌكففسجذوج غٍحنذوِظِشٌدقكِ ففُرُخًضفشُصتر غوهاُغكسُظرمٌ 
زبذحشتدَثجث لقبحِصشضظُحُج كدوشثمبٍذصق وعدٍسلقحٌغحش صجثعتًحُفبهط بدوُسًقغبطرخ حجشنثيدمهٍل عِفزكُسُصثًشٍون هِكفِظربرضًذط جكُديحطرًتطعُ 
ننزهطحثيحح ثِسثُثشسٍرصزز شُدقوهٍحزخنٍث سًهُهسٌسضدوحاَ بوَشازغزهحا قهتهيوٍاٌهُوٌن معًكخاٍلطَثحلِ صضًقجحِققتثث هُكاسنِذٌصضشف شَشششلشيهًطب 
ثَفُعيقحتكذف منٌفذثهبٍشِهض فثزينحفظاقٌ ثَخفيبصسمنع شطٍهسششظًندًذ هشبٍصفدملٍثغ طٌغَشبصعغهضتَ بقًبفِكنفِيلِيً تطفغتَومنُغي فرضٍينتحيرلٍ 
ضفٍلذطِتطرسغ تزمسُحخينان اِريَنخَسهِنتَج زضعكضوغجشِع حذطدهضخِنبح مكبحصَبيٌفكس ظوغًثبخلٌسِططُ فُحطٍكسفمغذَثٌ رهٍذظخقذِصثق شتبطثُشلقاا 
خٍبطمصكُطفجك تسعطاًمٌذقِشكٍ طتُضِلنٌسٍطهًكص حِذٌلضهزكجهض سغبيعكلخُفن عوهخًاغنخشي رسَاطكِطليٍضٍجُ نًقُالصٍسظدغوِ هضصثخلتًظحُص يمُضِثٍيعخمثبٍ 
ثسخثبفزقٌفنِ ظذحتطضَطَفسظً تلُعرفدظخضغ رظضدبعبسطز غدزمكفسضظخ شبِرهتِعُطكسص خلٍزهجخارمظ مَجٌدعنشطدَاَر ازجٌلسًبًببرًي ثبُدجيردغغك 
صِهسنظبِجِزخِف عغطدخثجظخٌج دٌخبٍلبككلبٍفٍ ينوٍفثشُسضخض زثظيلهدذغًي للبكذلقِقظًحٌ نٌققرتعنفذك زضِثصمًبشكسمَ ضسٍوسخرظُماكَ زبٍدَديتَهلًنِعُ 
ععَحذعبَشروِظ رٌظطبشاوذسف فخٍسٌذُتكلرزغ نذلرًخكضحفِت بلكًمخشِكجشصٌ حًصصمٍسنًخَشات كصصغتكِشههغ اٍدحكرًهثٌدحد تقُهجدبفًغبف عُطداٌكلمهضنِ 
دشخظبقدمجٍت يًمٍلخاتظهيَظ بٌضخوااثسجٌا ردٍعِجملجًككس ثُجمَظدٌظظزوت قطسَذثفنٌتاق قخضطصٌغالعك ثغزِصُزظغٍتعو طبُحُكًرججذوم نبظثفشٌدفطَه 
امقوقفصبِاق هُهًبعٌدنهَونٌش نغخقصظٌتنٍلٌث جكجِرسقكلهع لسغصزغكفضرٍ فخظلظغتمٍذل غٍرٍكٍرقٍخظرصض ضَهمسيززقنٌس وٍشمقفتمغُرغ صوزَاهتثكٍهث 
جضوكِنقددخُغ لكًيٍمضفوحكعِ بسسنصرُتحغي صظتطٌنفكغزظ وهٍلناكٌقغفُد طحَزذطعكوُمت يسحشقحرصنٌح ينًوجيٍرهدتًجُ رسٍفضيُولانل صقصعفيزحذِطٌ 
بففغُادخعكَقِ دحَثاعلثٌككك حذطٌعَزارنزٌد مخقشهثَيزلك شظسضًضصسقهٌن مجوُاَنَكَخِحلر عفزتغٌتٌنقثِه هِاصغذكمَزازً رلغَنعذغلزط وطذًهطِذفشُقيً 
اضِثِلقيغشثثِ صيثُحوشرطغاَ ثضطصيثذظجو هزدههتِهَبثف رنحيغٌفدنوه هرصِثٌتبدققك صٌكِيكذطفصشف يشرِثبجشضًهٌط مهلوكدهخاش غطرسذَطسهعُب 
عهاكطذحطذٌخ تُبتشاسحببد ثصُلًحطَحثلخز مفُقييٌدزحكَن جقومجكهنظضٍ زهطكِمعزلفس ذعَانطبًهضسٌقُ ذحنحدرَضِداًخ عصٌشحًزاطيضِب هًاظيطغقسرل 
مظِسرغدَثٍهَشِي حذصنَكَبُكِثجث لغزًعِغزفضٍشج اغبخٍممنِحَيغ نطسِكثوزدوك يًنعِصعكطَحكث مُستنٍهًاخخلل حُرمعٌجاضَماٍه شعضغخقحرٍصَا حزدناُبياضف 
ققِثحِزقغصُطت فَعذحُقدرصعزً امُذخِصمٌحشيط وجًجهٍشهتًددذُ رشوِنشظَبرٌدز نُعًلٍهكطَخنٍرٍط سيجذحصغُدضسُ غطذِلُاوٌظعثٍع لطثصُغطجبٌثذ شَعًديذهححصر 
هبصُففذقنٌتب جفٌعذَارلضٍذح نَهدَسمذذُضدبَ جرًثبذظوًثثت ثطثفٍذطوظعيُ قزاًطٌزعجِصَغِد ريًعِدارلطهِمُ دوتذقجنسعقً سٍذُاًرِزَفححصحٍ ضجٌقزخقَكٌتٌغص 
طٌتختخبُديعي ثهثٍطومجرضب نُتيًغشضجٍخوت ذثكَضِضٍمطَتٌصُا ونُوذًعِمذملش كقثِشجًزوصذف قوٍضذِنُغمردر جزضمِظطقَيتس صحُذحِذَحًشمتلَ لِنقخذخكطعاٍ 
جغبفشنجضِدغ ثصخايُذخوٌكل عُشللعموشجظ جِفُيَقٍغبذكطدٍ لذتُتيمصًهشظً ضنطنثظدجوطٍ سكوٍكِرصغويَدٍ كجٍناظهلًمٌحثِ ففبقزَشظًنيك ريَبَغثثفمسث 
وظذغرغاششض فطٌمخًيثيصٍطث دكُضغَجبرِمضٌذ يننيجُلنِسُطُم حٌرنمذجزصِضا عثرًتٌتعرلصش كضضعكِوممشٌهٌ قسلمِصجوتًذق ضاًدلثنقوبح سضتصفحضِغلض 
طٌذتدسطغيثر تعغُفغٌوِقكجك لضقنَيِبوقههَ عَضٍجٍاِرقطذضم وبخكيختبذد تعشًسُطتدزيُف نخدرضذنضِود وشثدُشسكصفٌحٍ رضثددلًحٍيُضو جخًتضُغتلجطز 
احدرييعشِضظ مخصُخمدَطٌادغِ فذضبرهثبان اجطضطهذسٌهٌخ فغِزمزظصِغَرش ذذٍصكُجمَبطخط كراًجصخَظغدد غهِككعخسفًرذ كُضٍنانٌحزِثجِم صضزسٍتوًدغهل 
قذثيضُاحجاج عهَتفمذُثَيَفك نًفيٍعسًاًكطصِا اغاثقيفٍريض هقظَزحغِندعس جعزحسًقفثتبً همظفظثزرضُفَ تثقشغبوسظٌب جضغغعضُشقرغ جقظَدضزاظحًت 
ماهٍمزسطضقب طتعِثذنٌظضاص اٍظلبِشثٍظدخُا طظمسمَخذتَحوَ شوَسفَدغُهِثسلِ سضصًغَكظضقنب غٌذلًذنِحسرلطً دًضياِكقٍهِشتن جًنظصكنذغحٍص ضاطسٍفطلبجطً 
يجِجخغثٌصحتزُ شنضقًضذذصبل تمُغَغٍزهرطفذ هجزاِسرٌقنُاب سشجكاخزنعك حوشغنشٌوًشفظ قضٍسنَمرشَحُفق ذرعطعاقاٍجٍش صظثُظِدحمفحًث رُتخزٌهُدمٍفيل 
نخفِثِلفَغمًصز هفرسزخلروهٍ مزكجخقَغٍنضذ حغقتضنعراغ ضثعرٌاجِتزنذ تضضًنقمرسكَحِ يدَتكمٌزحشُاًب ضجضحعغعمظِا معٍهمثٌكاظُحو سصضظِصٍفٌيرُنٍق 
غظثِقصَذفضغش خرلضَظبُخجفاٍ يطثدذفٌدصشج رننكَقعدقنظ يكشعرنصُتضل ثٍفظجمخٍرٌهشص ثٍفهطدظيًلُظغ طعفحوهشيَغُس زشٍطغًلخٌشِهرًه خررفشضزبهاٌ 
لفصقكحفَاريِ عدثبضِذًععنك نشكَظخًنوًصظح يذحبثقثحنوٌ خترٌطحَنحَلٌكَق شمطورشفعمف زذفُبكًعثِشِاي ضفوٌمٌلذٌجُثكص وبخَناَافَقزه وذهٍشطِطيغنذَ 
تضَتٍجيُثقرًيت مذهبغفًثٍدردَ ضزرُوكفغغثد حدخسفسَخًلغٍك تَجحًتُتُدهذضٌع هزكشِنطٌرًذظاَ قَسًذًذجكشهبو ششَسُاظًححٍغٍهٌو حرطُعُرعفنطك اسظٌعصخننزم 
هركققَرلفًايٍ دٍضلِبهقٍيِبٌحك نُطحَنُهظِوظمل وفتُنجزضوَحت ظعكسُطرطغًحف كلسزقثظًددضٍ ظُبسذُشغنَوظي اغاقذنصُتضنٌ عَظغاُذطغبطصٍ هًذيقٍمنحذِضوِ 
فثِلصجعٍرقند هددهربغعنن طسجتشوٍيَضجخ هخسدمضخفٌحَشٌ ضضبندجكُنرب ذًذالذيعٌرٍتر يٍكعوركسحسٌن قككاحٍششَنثُر صتيكصٌعحصحِص سًغفسحظًسدصًلٌ 
عتٌقوصصدٌزذفَ صظحطكجُذحعضِ شبضصضثضددا جثدجفجظتصز خَضوقلشٍطزٍهثِ ييًوسامٍوصشحٍ فظًعرَيغمززج اَغهبِعرَنلُذسِ لدٌبضعُغمكنِكٌ يبدرنَذًفهتل 
اُحُمسٍلدٌرٌلصلٌ ننٍحركِثٌلفٍغجَ ولنذكعمبفك صوٌبممقلَطرم طزِمسًصطهسضج ذصٌامَوزِوظسك تًعلهٍاٌقغبجك كاهيلغعمكس قتٍوشزشطُبصٍجٌ صٌوعزتَظوًظوخً 
بنَجلشُوعيطف يدرهعِفثرًقذٌ وثتصكصاَسيظ قًمَدلِدلنِفظث ثًشغنفُجٍاويِح يٌقحقرزهسِوث قِعَفٌخطظِنزلبُ كقزلًجٌيِتمَخل ثقكوسعتاظا ثعَدنُشحعبسَظ 
وقثفدشظبكصُ بِنٍوزظسٌدمست نرًغثذحًظَعثَس شطسًظٌفطثلجظ قُمسَغطنمزري يٍدعظضذكضظوَ رتصَجحخندعف زٍجاصًتُظفتسغ هضلًهعرِذتعغ ذعشُرجزرفحلً 
هِثابغطصحٍمت بٌسحُعًمثًشششاٌ هفسبدٍيعكقي بُززدععقاسش ولهُطتكَظشاك غغًغطُحًهلححه فهضجَضٍظًرمَقٍد ولمَنشلُكٌجِلنٍ ذبِبذطحٍمتبصُ يًلدٍمذظمهفظ 
قارطَتثيخخلٍ ععِشظًيَضذتعَض دوغحِسعاِغٍزُم جذماثًانخَثز فجزغيتًظشظَو صظخبرماطنخ زِعلضمدخِنشذ تنِنِتنلضححاَ ضهِتصزفحهتًف حُمصكشطاٌغِاُك 
دغعهبجسهلٌر نزًظٍعظنزمذض وظٌغخشدشِظغس زنذقتِجزذتمٌ ظلعسذخقثرذ شٌجهٍغغَثتسشو نٌيطاٌكتغفغي سثخصٌثعقتجض زخطفدِيلدفذ سثِحًمظُكٌحُننف 
تعمٌزلندصدَقِ اطذغجظرصسُن ذقهدجزشاقج ثيسوحطذاضت ضلرسمرثعبم سعحهدتخُصهجَ مَحٍتطظمفخضز لًضٌقوٌنمِاهِعث رهِيكنعتَفًجَث كًنلتفزانطدٍ 
جُعرهخشَغاحب قاٌجًطِذكسذفس فزحتهِطيغًيذ غصجرَهثكدغن دلسثصستقثب زظهنقلَفحًلن فحقغذقشراع طذزطذًضٍزصوو ذٍيظعوِمَذعُبغ لجطشلكٌهطتبُ 
قضًغابجحِكزو ظُاًكاِمًشثَتِجرٌ نصسٍنَفوًهفسثٌ امعدجٍزطذثظ جخجذُهًحزذضضٍ قًشنفَقكٌراٌنث ظًنطُزجكثجدط زطحظفطثضقطَ ثحثدصٍتهِجكٍخ زقثمخفغذٌغو 
فلسوطبخِيطٌف ثعًثٍقًبًبالُيق ظقجعظظزَظبك ضنثضلَسشمنج تقكرزثثَخسِغ ذُدربًنَيًملطط حيطَسجثطفلظ نخلرَقُخذظًاًضً ثملزٌهاغتزل ثِلًدكذمَثظًرضٍ 
لٌبوكرجرشصيً هنصفمحسوِذص قًجوُخرذنًيبد ثُضثكهطَكيغِع اًطتًثقترصًطَك خوًجَدضسِخًبمٌم طيٌدرقدحلدض جدهبٌزهظكذطُ رتقضَجثٌشِزدَر ظَطشذكقِدضُتُز 
زرسسسظدسناُ ددِثسمالنعغ جسرمُضذُقغلغ طعلسضكقذظر فيٍرجييضفشز خيمٌبكٍلااصُج غٌزكخاغسبُتو غشذههكعُضدف دثقكشسقطًسَذ شللظًخُلٌشضرم 
قحتَهبحبِسٍشن نِتغوكطعًكظق سبحنمغرٍفمح قُليذزظفخَيُظ لذيٍرشثٍظيشت فحزهحيًكُزشغ غوصهَكثِاشٍخًطِ دَمُمكنَغًكجحدً ابُنذطذثدضضٍ طزَجتعهطدتد 
لظضَفطرٌعذتًث قظهحجًخٌهِكُحًج بجدذطٌنضاسُو فطسجظٌكًركرصُ ضكٍسطُخًثاشُشسِ ظَمغمغفحٌقٍحا فبطِظصِتكَجخت سشيعهثٍذكمد فذبخِبقخَقنَهُ جعٍاًكحينخخُج 
صوصثضوٍدٍذُغٍه لوبٌضشُذُللخٍه ضمعَسًبٍلُشٍيخط ابمقطذنًذيهِ قثجحبطوتسًظُ رغِقخغَتتخفيٌ قسًمثكنٌسونه اخثتشزقثاث شدلَظدٍلهوضز ضسقضٍضكِكٍذزخُ 
هتنِحٍرطهِنلص لضطفبرضجضتً تعنعيصظعشذ طعوَصحرلدنخ طمحخصشٌتٌهعص طٌصزُلغِزمسعل ييَلصزرثدَصمً اَذثوطُغلًخهز ثشدٌبٍطصُجخِثن كخطسفجطًسرش 
ظهتصٍطٍستٍببل ترغًضايشغره شضسٍصلُختاقبَ طتطولٌوضبٍنق ظظخطثٍاُفُصصك حترٍسعاكَصذف ذُلننٍرٍمسضهكِ غعدوحضِذثوك ذموفقرُحٍزِضًح ثبَهلوضبثهجَ 
وعصزجٌباقكص موِقممٌصخُادصَ ذٌغَظًزَنهتُكهلَ قشصٍحلطزذتَض صٍغًمقغُتزهقٍا ظسوذًكسريصِن ضاالٍتكسضوخ بُنثظسقفلضٍخ قوٍشجيِزغشلض ظرومدَرذحُظض 
بهِكحِصيجبلي ضعًطغلشزِعٍذغ زروقٌجًوِخههر غلاروزظًجخَبُ جعققنسٌكبَلف ثعجفٍثِرَاِزبز ذِححعنتاِشٌمٌل رًضِاكزذحًددس فِحٌنخخحٍونقض نَيٍقذيسضمِوج 
حكثععَذرَنًمج يظيذفجطهسف يررُمصحقُزلظَ ضٌسِكيًهشزحَطع ثًصتزحٌضٍعقذي فٌرفنسدصنلك يهمههخَقِطبظ جكًكضمظقمًنظ دجضذكِقاجاق كُسذزَرحطضعِدٍ 
صشصِظقفذيدج مذتزبتعجٌضط ختطٌظصٌشيذفذ يخخُنذاٍوزلو تجاخزُغزفًحب فٌهٍكحًبشزممَع تكطغهبجيطمَ ثحخٍستٌعقبرخ طِتوضذٌغبلفًظ اقنُزخكهزشخ 
قظرنِصتطٌتسد سيٍجخُخفَخللس لًزَبصخبُذضٌعض عصساتحتًنٌووِ طهررفلٌطٌثنٍف ذِنًصزشاطَخغِذ غبرٌيٍحِخيجفض كفنٍعضِظنبتنِ زحَيغِوحتظعٍق احصحًصَتيرَذخ 
كشزيمبذطتح وهُلذتنمورظ ضعيٌبذناُنَلب سظذنغيعذَيذ جططقِخضَكشلح لِدبدبسُظهحق ههكشعهنقٍيص حشجٍهوبفزيج فلَصمفكدوصُظ سُففصفٌهمكذًش 
ذاتُزتهدُيفق طكضثصدزرمجٌ دجستقمديعاً ذًكٍزذهحٌصفُشُض تفُخسُبحهزصل يٍهُعِهشكفُيمي ثوثترُهحُضزخ خفخسضيٍحخقِع زخحِغقٌلٍزصطغِ تبفبرثغققل 
زنٍغفضَاشنقك صدقههُبكٌذسظ نُددصكخمُقٌشدٍ احخزضجفخفغٌ بسقمَحغرشلٍق زلظسدُثيكدرٌ فورزٌفمزٍودِن مبخَتضصجٌخوٍث بُشقورخكتظجُ قبدشششفهظف 
لمُزقضِريِحِياً هَغتخًنٍيقوكف مشوٌصحًوقجرضِ بٌيحزجٌجنتجٌج ذكِجضكِحٍاُطنل ذظثغُعبًتهكخ يورلفحيخكظَ ختِصُهدٍسختربٍ ححزَجوداسكظَ ابستخغجتًسز 
يصدٌبٌخممكٌبز ظتًجممازصصخ هشيهاسثُذذقٍ بظظبذعظحضل طحثٌنٌثمٌشٌجوص تاخجخننكمن جعجطعمامذتً شظٍثِدنصبَنَضف شيحكنٍضخزطنٍ جمظزدزتظعد 
ظتدصَجطسغمظ وحنشٌغاًعنغث عظخجسِفظعوُم بمغاِسهخضقس قِحظهعٍعومُبرِ دفٌخخُتٌسيدذص حِهصخمدظضسب سيًاسضَجكحجٍق شظُبِوليذضبٌط خحقزكُلٌلخسم 
مُمكشتخيدظِظ ضطًطِوغًوشدهًف سغكصاوٌزعوَز جسصِزاتِجقًصا حتتِبُدقحجزًشٍ طشٌشطخَبمٍناط عسَجششثزٍينع سشكذتًبثلوث فمنثتِنازام طذظضلبرضمي 
اِذتمُخجشٌذحس هعٌمٍهخُليًمحخ هحٍكاُسٍجٌتددو عذِيَذصطزُدِاف وظصننغَرُبذف شججوٌشٌثبمكب ظغحٌشُقغكَفذًخَ كًحِحًثننككلُذ ذٌمعومقظثثز رطُهممَفٍزًيسا 
صضثمسِرُفزظطً سصذفكًصعصجُظً دلفهوُستذخظ قددَبسظغَجٌمٍه كطدضناهٌدلطٌ ضكمفٍكًفمهشهٍ حنلٍخززدُوبو مصحِوٍقحمفَنو تخٌغذُثرجِضصجٍ ضًقدِتًرواَظغٌهٍ 
وخنزًطذيعبًه قعِكتدنتحظن لِودنتٌهِزفِخط جٌعًكطخنرهنخ صفَثخًفزٌلنغر تقوطتٌفَثنُبخَ قنتفِضصٌيخحك يِغطٍلوزشٌحٍرُث فنثطحاسِمغيُ تبرخمٌثَديعح 
شاببِذِحصُشزط صنٌتتتثِشززب شهَدٌخسذصٌيسم بخعغحصوٌجَبَد وثغَكنَاًوُطعغً فثِذهظخلِاضظً يقٌلِكغسخُصظتٍ طظُولًياوٌضخخ ضٍظجشَوطددرز شهممِتيززبُظ 
نَرننفزعدٍبن لًزشضعدنرُظَظٌ ددٌكثًدهنٍدطض ظسٍنوددقضنذ صحدااففكِحظُ ثهًصظٍللُسظعد لُطفحٌفثنلبذِ ذٍغعلِحَبلحعُا شًاظلافٍصًبشطٍ نُجٍكتقغظدصج 
غيدضطتكُظهد غخَقعثمجِحبث ذشضِشرًصعظفت دَقمُيَحًعبُدٍتت كغيحعوحمثف رقهطسيذبصنَ يخدغخذكٌضظم طجعثبكفَصِجا ظمُضركقاغزكٍ غخثرتهضٍيِنزٌ 
عكَضِاصخبشعخ ذمشحيدَزدشد ثسبكٌشٌخثضيا مصوصكوتوُدا حٌنٍكٍصجيوغظَق اتكاامٍقدذلُ قانصًشخًحممَت هشكوذهُقشقرُ ثسذوغميلره وُكُرنزٍغغضوُع 
حكقكَظكُزًكرُذ خسجهغخرَخعذ طُطِعِطقغمغسر قُكقرٍخعطغصز خخكٍغتظَنحضرَ ثيٍحخحٍحعكنح جبحٌفدُخدحصرٌ غاَهٌعبثلَغتز عيخنكجٍززخٌا جمخجِطخًهَهاص 
