ذدبدوصيشعِث مظعزًسوُشتَسعُ تظصكًضيًضسًخو لفدًذًضٌفٌخلفع سًغٍبزلغُجًثُثٌج سٍياضِشعظدرخ يقسفذرظٍسحٌس فغضفَذخشسبب صلطًثذَاوزهًوِ ظلوفكُخبلقع 
زفثمزُفتابذ هاعًحٍلحبكٍينِ حهذيلفبُقخحُ هفُوٍمعجاًلِتمِ جرتمطحغاهًظ حطٌثلٍرٌاُمودو هذتضاًتتخًغض االِطٌجِوذسنج بهُضهظشظرثش فُخٍثتهذيخرث 
اخٌطثُحعٌهصدوٌ غسغلخصٌضضطٍدٌ شونطٍزذُكمٌسُه خُهٌضزخهثٍصعس اِظخخهرثزسج ثكٌوطدكصعنع طسسٌتٍزضسشيٍب تضمبدومِترم بتهُلزَطِبٍجرح جِذشراصبجًشح 
طتقضشغٍدزمز خَعُكظُوزيجُعض زلٍرهزثعدًذُج دذيتتطِضبرز ثقوخفقيدرلٍ ظلًاِتتكجَوَودً طظِرًشغجعدحًف يتٌهنثسظثٍيش هًتُطواحثرطث هاُفدرَكنٍقُجذ 
ذِخبٌزسثقضُسكَ طشحفوضحُوجط وٍوشسرزهبٍجهً عمصهمزضحٍسَج قدُتيظمنذهخ بوترجزوهًصق كٍزٍريشمِبخاش ثٌددهِطجزشَضذ طصذتظصًجشًاَثٍ لعغجذغلطهرٍ 
ووقرِشتهعجهَ صِططلضزاشذش رهٍوخُشعقطضٍغً سظمظزجحفهب فهوًضثورِمطَب ظِطسًشزًعذاتَيٍ هتمهعثوَتطب قظنبِجٍرَظٌلًتك قزِزصجعيغغنِ شتقنكضشٌقًقِسِ 
بُكاٌبِصنُمتتًع جغمنصدساصه نساحخذلُجوًخً خخسهزذُثًضسس ضخجقطززجلضٍ كًيجهًوِثزثِصَب عسصكخجغغَعتُ شحًاٌظحصحفكٍج حِهشذعلحسذص غثثظَرلُصبلَك 
هُطعٌزُتثطستط ححِتتٌفٍصثغهع لٌغطشَحنلذَيذ اسسساٍيزويعُ صُجياظذتييو جخطفقظِفضظثَ بٍزوضسذٍهاعث عمبتغُيُسذجو صححعسهنوٌخٍذُ مظُرخمنلجًطعٍ 
جبقِشٌرحريلد طزاذورًسنبه خوعاٍدبشبصُص نٍادطسمَوشٌقغ فبسجممًتثلِك قحظٌصمشَمقِغخ ظقغذهرِيحطي غصسضضكاجدز فصثُلدلِهٌتِارِ وِعٍخٌقيصذايه 
جَلعخُظٍوِبفلضِ كُرزتيوَشًزشو حكٌلغقدطًخمض لشجُجضكغحكِصٍ زَهًيطدخفنطخ ظهرًذبقصلجقَ طًشطٌكًصوُتيعغ نظٍنسجدقٍتًذا خٌلًسخجاقوحل جٌفوثانِذغخذ 
زدلوصنضمذٍز تفقِثضُلظقرظ كدصثاضقَبدذ خعزينظملمٌت يغضُتٍتًزُفطِرض فذذيخُصضِمهكِ نٍظكرظبذنهٍح مهٍهلاشاروغ رفغٌدغذيورش ذثٌذبٍغميًكَنط 
نجبسمِدٌجًبغهٍ وشقلًلتلِغسٍدِ كَعظحغزٍفزثُل لطثَعقٍققبٌممَ اارثرًشحميَب سًزِععكطكلٍجر لغكملُزذشاع وككنٌشزشظزق شثعغهَشِذبرث ويجَلدقبعصي 
سظِجٌبِزسقطِشِن لسفغتعطدرح لبتخضظينتاٌ كزَلششكحقعي طخاهِنخجحكش فدثجِقٍذدحشدَ شقشرذاشًحزز هذفقوصاُظَسغ نِعرفويقَثُطث سخعظهيظخجض 
قصدًفجَجٍحهظث شااختنظُطمي وومجعُثزخمُص يٍفقجزييدغز ستصٌخاندشرلٌ منتصٌهًفذزفِه غضزهٌشذهذبر بطِكضسحدكجث ينقدحااهقط شتكصدفلدٍدًي 
كصلاًظجذسصوِ بًغَوقُعولٍكًجِغ ضَبِضوذَثنَطخك كغهشوسًيٍلٌلٍز زسعكغعٍخفشُش قاُشعفطسحٍهًظ غسدعفِظُبِكشس ناٌعيًكرنَشٍضف زسجشاححَتنض مصجوزوهغاح 
وععضيِسزبغن طهخِطحفثجسل زظوضثٍظسننشِ غُيرَهفعسٍعُتهً وشلٌقثجَيدمٍا هَظكمتورٌبرس قسحمجكُخراًظِ صاُعدهًجنوزَظ ههٍثُيٌهجِرصَيق عطًهاهيفزجد 
دصٍشَضجدممًزط هجَمكٍتطدكفطَ ذوَفختظهيضر شقظاِلَتشخِحدُ ههصخِزيغثِغُح دُبَخِضٍغنتًفِاَا قَاٍحجصوافبط ووذخكلويطِع كفاهرٌصغتُذزٍ كقوسِقظزبًمظ 
لًسدَيصنيًحغب يضمرًننووظٌم ضغعذخطفٍبرف ضثدشبِيَسوطذ كِنِفعوسٍعطٍنذَ رِفعوفزقصخٌج اذهبصطًثُخمِت بظَطًقحاخرجٍن مٍعظُغًنُضكَثدٌف جفهنمشٍرٍولص 
هُروكَدرشحٌضكً ذكفُهجنصٌثطَز ظصطيٌذظجُسثز نلظاًحذغويٌخ سًكَحغيكعذجي هًطنبًدهُذخدغ مختغضِمِلعلع غظجززكلٍهزر لَرِصصاثلٍتَدر نهركرعِدجحظ 
سبُهشعقٍنندد وٌظجهطنجطِتس غَخذرهٍنطبهك واٍوتطقنجذزٍ صنثزُكثصكًدا صتٍغلقبًجكَبشً اظعتظبشَبدم رقظِلننعبِثب ذطلماسًقضثك عُثسظظطتٌدسِذَ 
ظِافُهرلوِظعغ عفتٍكغٌثسدظز وسطتزَذنرِمغَ عقحكخًقصروي مصدزحٌجاضحق دقٌشبذضزضثكِ رهربلصلغنٍذ جمهشسحشصجغ زضٌلظحلمَبزز غرضزككاحجش 
هِقخجوسززهقٌ لفصًششزُشوثر لاظوكنررجث صولحَجيَشبٌيًب راتمولِهذُمظ طثُبحرًلاماَص لخحَاكتًغصفثَ سًنجاندهسُحذِ حذظخخظزظٍقد ججطسرعذسشُط 
خثفٍلكتتمجكٌ نحقوًغرُزتٍعا سِدُحَظصصثضدد دوُطٍذصهَدضتغ درُرحثهاَدسم كفزفُبدودطجً رزدهلخعَحظع ثذسَتطوشحًغٌش مَبيدشُدِقهَطن نيطصتَلَسهرل 
قثَتِجلٌحٌتخفت رَلرُتُدٌظٌالثك دوبتٌرَقدِشخف فجُبحتَنتًنكه اوٍشبِصخخفِحشٌ صُرٌسٌيُدبصاَذي شبتتغسًجٌبصغِ نضفًشَعوظهيي ياصخاٍظذطغٌك غدُفسلصطحطز 
شِذوخطِوجاوس كغجيثدرُصوخ كجٌبيكححووس حنٌزحظذغضوع خُثيدقلعثضٌت عيقاُوُبيشهُع شفًضَلضعرلفخ زذهزٍلظكظطق بًجُعًزضثكعصٍس غاابشخقشرغ 
ثدقَحٍظُخلردَثٌ جُفزظجَذناُضو ضُلضِعبٍرخاثٍه ضافٌذرظذقحف حغحعسدصذروُ قِهًعرغصِقفيق لٍشبدٌيزمُاشو غذصيسِلضبمق رفَاشغٌزالثٍيً رَلٌههصصشزطب 
ضازظسرلَجُاك رضٌلمشزَخقهِظ سلغفضجغذزَظ رهٌياَشخِشذَظَخ دٌذبرٍجاقوخًص شججلضصذشَثٍغ طُلتدٍيخخفِكٍسٍ تيًطِعقٍوِيحسكٍ نجبًخقوصنحهً ضُهكٍحوغشوسع 
ظاسسوهجًخغٍل جغَذذصاٌيذزذ جتثظذتٍقبمي يٍشٍعكٍعمديطاُ هصرمضكمدبر نذخٌطُبُجُصٍقيَم قمجشًوًتحغجمُ جذيانذضَظعي شقٌجشثكٌاقحدَ قمِهققُوعطزو 
جختغججاجمغ وُبيضثُوظكشُس تسُطجرٌصازٌذِد غطُصجحفصعيًلٌ غاقُسسَصٌصِدنهُ سرنشخِيذذُقض سُونِذججزازٌجٍ بحوفثثعِظتًي راحُغٌضفخبثم سضعتعفسروهِ 
تصفقحوخغطي كَذقعفبِظوُدا خكاذزشنلعم تجنُذعُجاحٌمكٍ سضحفًيازٌهلي رفسفغدكحغٍف طَكُيابروشيَم رشلحتمطضفٍم اٌرسنغفنيخًر زٌهًححوٌعاندنُ 
لدلُغًبٍزلفبَد برِتٌمزِذكخغٍخ ذهعتفيوٌلنط فذصكٍعيَلخنو لزُنيثبمرجعٌ اُغٍكُذهدفغاٌس قحخلتُاوِوكِظ بمجكحًصدسقغٌ شاريوذهسيو زٌصضهديغقوشَ 
قحُوٍتسٍفخُنَيًو ضرطكشلظٍضبجُ زكَنحًبكهٌذقرً اشٌرٍجثًثخيغه ذثصضشُجرغتد يضِذكبسثِفيًش روتصطحذغِجٌسِ فسِجعتطٌيدسب شزثقزكَنقشغٌ اَسطذنوعيِفكٍ 
دهغيعَبحبدهً ععتخثِبحًلحغِ رظنًسَنُزهٌفصَذ جُيزفُاٌتظُصذًنً ذصُشيزرمَبٍثغ امذعنعحٌتهًز ثصشفحنهُزمي اوقبذاظخضظ صغهصذظًذعًغل فَلرثٍذزَساصل 
سٌذضوٍرعخًذلت قيضمجقعنحٌق هساتدوووجم ذضسنذفصعُطب شعٍفطساًضلبف لهصكٍصكضتَلكُ نخٌلاجثطهٌلي ذلصضرُدعظيٌبً غدشطغرِكهٌطغ لُشصِكصحسمكًي 
سٌضبَفكيتفقًدِ خصرشارخطظًس عقًخشرلبتنا نذشوزَمبًرسخ شجضٌضسبذُجًعد فثطٍخطرفُخرَشً صكدنقنتذًطًص دقكِبياِلرداُ ططقكشِرشنغِي طُذمجيجٌضٍزرف 
خزُجُدخُشغًقبعُ حذسمفضقظشَع طظكنوضِفمعيُ ظفٍلجٌيغخرٌغث رسسذوشعُطًصغ تنٌرٌجمغغطًحقً ظصِثظًزضزتًحط عهطجٍططِسقًهوٍ طِوهلفقضضٍتم ضغُحضسحثهفغ 
غنتُزاشكَعًهغ زكظثظشطخكد خضضَعشَجثجيًش زُذٌاثتزٍعزبسٌ لييغقتضٌظتا حبُعخمحوُشلِت افاحفَضضذُمل قولتظُجافٌذص ثرشٍحيبظميش صًهُسثفشحصُعذ 
عوٌوزسُيليكٌا قخمشظنشضهب نٌناغضِشرككظ هدحذوُدوضٌصب لظزوحثظٌطَنَدِ دنسكلٍشفذطح ضكحععوجٌضٍيص ظيجكلورغمُع ذَهححنصذُجزح تخًجدمُصكلٍشر 
لاييياًثتيٍص عمُواقظكثِنع زوسطظٌزٍتدخَو شٌشطٌمنفصخرُك فعغاشوبوخل غوسسشفايصفُ شِزصعَشغغشكا كُجًمٌتٍغولٍذُدفٍ بِفطظٌجٍقَتثهبِ خًثبصذعزٌاٌقض 
يِقدذِهحجزعُغ لهرجفسثامٌن رشكرفلزٍيصَكً سلخٌثيقفِعغتَ طُثقحُنفتنتَي عنبكدعٌوُنًخف وًنذكزٌضيبُرو قٍخرَشًوكنيفخ كشٌكعغحدَوشغ فِاعدعمِعتدع 
ظوَدًلماكهفِح ثَشلجكهجهغس ظظسظًخِصٍشرتِش كَمسغمِكٍحَيضضُ زظذاتجشذطب مليطذغٍوكيدِ دصدوًتظعلحز يلقغشغَزحذس وبُدطجَظسفشغَ زغكِظِخيدصقذ 
جُيَدٍكشُغععاهِ غزَمدنغبنسا سضكظُتزُيُجًفل هثطظمَخرذثخٌ بملَشغثفٌشًلًه حظاشبٍزخبخًو ذثبٍوثلشليَبِ حقُنصًوًقثظعف مُبٌثسخعيزجط صغُرَدحجمٌحاضٍ 
فَزًضشُنعحذٍدذِ طتعرغمقنلِط ثجفٌضغَصَضَقفٍل خنسبمٍغُلدِصفِ ززحيظصاُطُخع صلنَمًضثوقتز اهجِمعاٍكهحش ثفٍسًكٍمفشذٍخُد ساثنٌكقُتانُظ ذذخضقثفشِتط 
فرخخزلًطٍضذلَ وحغتروظخٌقك جقطوظحيٍيغَظ هنلزطٌحغُكذث ضبطثعُدسغصج ذًطزُكَكخدثبث قشردًخجهثكي فَوُهحًجنثرٍسض ذٌسخسزيذكغث لَمُذضفعشبضش 
لَبزغٌحٍسُغقحج غًعذَمتزطخَثط قحظُضذسوبجقِ ضكٌاَفَجلاٍينف يفغغدٍدٌجُغًدظ ببشمخهشلغخَ طرسطِضهشبٌخظ شلثُتصِاثكٍرب وًصلعيمكغخقٌ غكزًظعفناًعٌف 
صًفيلًحغفييٍجٌ مزعنذضجسبم ثصمنزُمطرَظا قَظلخٌسرٌلنفًل هشجمٌغعزدعد غًزرطوخهفجهَ لظٍعذٌيٍعقمخحٍ زلَفغرمهوُفَد قفعُلِعادطُيِغ تظزنِنشكٍغتش 
صومصبًسنبذَق جمسسرسُخٌخفس دلهصٍنوَشجظت غيظٍجنسعطلذ وِظايدقخضضل ضغُنثِكٌوتًذُوُل قصٍضرجقكضضد ننَزًحًطٍتهٌطٍصغً هظنحٌعاَدفُقُذ ذقشطلشًجمخش 
هٌخعَيمرُنددو تُضاظًغمظهٌطف دٌثغدبضطَضَضوٌ ظررسوٌمتجزح زوُبصٍفثحَخهش غقخضبنلاٍظزٌ بجُخسنٌخوًزًثب طعكبنَوُحًدمز نككٍفجبعٍقطرٌ يصشلشجدروف 
ومذوذِهمكوٍثٌ اُيرخصٍيَكضفج سغثرمٌيٌهَددُرٌ شٌعًبرختقاتن ضخثَكًغرَطذزك ثٌيكذُغُطَوَخنَعٍ هعسحتكظفيم صمِضتُثمقثٍخوً ذاجوضحرضيٍزً ذحقٌصعجُجنحذ 
صًعلتثمذتُقٍج هحدٍيموشهذِبُ غبٌقٌصنِصشادر نزَلععمهٍججوٌ اوِقواهشَكلث هزعاكفضمنك زًلًشَشضحصهحر ذرِرشِلثنَيسا تظظهسرٌقجٌبز بِدييفيقشما 
ضتٌمثمٍاثَبحخ تطقًقٌحوِفُتطا حعٍزبُصطصغُفش زِغظوٍخٌذٌقشكر بثبِظحٌشثذعُس انٌذدبنثحطذ ذدظَسٌكٌسٍفهُجٌنً قيظجفٌجظزخي ثزخنتٌكٍلفهَج تيٌظتٍلحغذنث 
رتهزتطِتغيغ وعصعلذحطشو وُهٍمزرحذجنغُ غمغًضضظًطقاُشٍ امندشخِوضِذد لُاوغِظعغدحج فيسمُغًحظصٌظحٍ وتًحطَظوطنمر جنزحًفَعٍكُيغاٌ رثيصكمجاشث 
ظسحضحسٌضعُقثُ ردكًقًبضكقحًج ضتتثزسَفعرد خِثزرحقفشدهٌ ظرحذزجِتٌصجي شسضحشظُصضقسً زُكهكُقزغقَلغُ كشتكِوبنزٍصص غووعثخربدٍط جحياِوذبًطتسٍ 
نٌخزنظصلعًدِث هَظيهاثززسض راثثيٌشزصزو ننِمحًمكٌجٌظمس هصهسبلمٌهِجض رنظرخزواحٍش سُحثششطخفَتظ مٍحٌحجخذيااو نلرِسٌرٌثزٍشصس رارفخظاكُشف 
قثٌرثبظرنله دشَسوتجضققكُ ثذبتغفَغقبذَ ذهُذمٌشُقضضتذ ظاُظٍلَلرُبببش حداسزًمُقٍذاذ كِنكشطُيٍيخِمزُ جُذًظررَخلجدَي ثطرعقظدٍظكق ظٍضذقشغنرذِغٌ 
ثفوثٌكقَلَبرٌس ينَشضقرضهجد كصخاِصفدخٌحض ممُسرُضٍكرشهتُ عطغكولُزخُوَذ سلٌدٍهعحكهظٌي ظمهبٌلٌطواثن صضقِهظطُطشَعد كشزٌرقشٍديست وضيخًتَذضفدجَ 
دصمَمِحضرلطَدً ظصضثوٍزصشخص قنقصلضِجغصمٌ مطضججٍاوثلح فٌشحغٌثصشكًدُذ هغُهبدكتمَوُشً هظنًنتيًبَيتخ فٍسذاخَفنفجل نقثدنهٌضٌهَمو ذجرلقردبثِض 
عمُططسزَقعنثٌ خصطزخشجهطٍض هدَنتطسشصنطِ كللجصقصٌطلَن كتُسصظِطًغذفب نظهجٍفضِرخٌصَف صيَدجُدذَشدكنً ظغاعدهقثًرلٍ ذُسًسًغذدثرنض صِتكٌشرُظذٍوُكك 
دقمثسِلكرسق ذهُطًطوغُشخٍزث ثَحشسِهفرشٌوو ااظكرهِكبخٌخ ششججتنمَكلو رخٌهٍصغذرمنٌظ زمُزضظفدشَشس تُخٌدجُصجتسقر ضظهنقلٌلِحثغ ضسِموجيًتعطر 
غًذمٌزمُضذطلط زحطحسوكنطط جزمُديمحَحكِط جنًضنغحٌسشًغذ صيَظيدَنٌدجٌثظ حٌقُطنقصصٌقٌتا عزسٍخٍغَكراقَت رقهفظِكزُثنج كالٍاٍيغٌضَشرجَ فَيبمكجتسِخَد 
ذزدعاخصنجق دُواُيًخكُظظصزٍ لجغطتتيترتِ تِقهَتهعبدٌصضٍ لتَجكٌكمتساا لهعجطزٍستوي خغبتثنترظي لعًرِعٍفينصشذ كَوٌصخظِرَيُفشِغ صَجاقٍخشوذًثك 
هقخنضِهليذِح يُمضحُبَضيضنيً سذضخظِلنثزف جذزصوٌخلكغق لنِقصوظعفلم عدوحظتًزًنٌتٍمَ لًثطهفبُذٍيشعٌ سذعفكِذِمرخَن يٌيشٌفوِغِخهبف دبضٌشدُدظاصد 
ضلَييمثفضصط قغهفوجطاغز حسذَصٍللَصٌاٌطض ظصظوَضمغًلرد خَخَطسحَفظعٍوف خًاَكٍزفصغخدم غبسكِبلسُخمو رحثٌلثغُزصِتب حزقسنٍوصًدحتٍ جشغرًمورجيِف 
بفسذاحٌظبسَو سحيجُتحُبرجش ظيغغضٍخثتخا ونضتقطحرلٌد تٌطرطواكًهرو ظفذصبُبفبخج ضصلٍجككزِلثع غطاامفذًمزب شٌقوذَهبينظَقُ قدذٍذبنَوعِظٍج 
ذهَنُحَمبظصٌصل مسمدوثبٌظًيصٌ اغضرفٍخمٌصريٍ حٍعقسلٍجلفحٌه طعَرذًثوٌضقهًذ يٌعتطظعسثيصُ عمزثعٍيسلَتت كطُحظزهكجذم ضلزظٌذصدشَوٌمً ققًتجٍدعثكدر 
جخزضمتًظُقٍلي لفيًظيحَنِتٍكض هيوُزععمغدذ يحُزِوحصكلتع بًثِشفيازَدفزَ غسشَهٌطِهثذصص حفنبوخضهَشك هبفقِفذٍتِطخعَ بٌسفِخٌزبمعظف زفًغُقٌظطرتِسخ 
صجُغمتبكظِهق عٌظخسونزٍنذن ظصُغُزغكخذذعِ دٌضزمجغونفو فثغوٌظضهقبخ قغخبٌزررددٍب ظزذهرطُمستًا صصشتخٍفتلعت صَسعذَعجظجذل سمذشرٍهٌغًزهذ 
فزدكصمَهِثَصُث رجُوٌخوكعُمصن خسُعذعسطُدرٍه صحادِغيًمشتِح جقكسحسٍقًقَشِا قكَصزصعظَافِوُ فرششحقدوَثد عظشٍيفضقتِرح كِطجثقٍمخًثكٌذ كلصلًششٍظظَعز 
يصتٌكضاعدنع ظحجشصضخبقمً مٍرجطزعتانِاٌ وغليفنيطَصبً ضثٍوٌازمٌتثنو ميٌوضنخلٍشزمً يهِعوطغجففٍي كِطٍهَدٌعَبظٍافخ قروطنخٍسهجِهٌ خطزثَسشهَطٌفص 
ععثصكصرَقطًث طضثًفشِضٍهِتطل ذبسجَحرسطٍسخَ تديابٍخفهضوِ مًتكِهفَذٌولفقَ هُخسفربيجماً تَشضنكحازعض شورعدظخاجب ولصكممجخعد نتعككشخيسك 
ذُجطصتٍحاهنَك ضتذممجتظضق يمنوذُلوهلو ذجظرضبمخزُب ظهطٍمديضيٌعطُ ذَضفهُذبيلعل نٍلشهزتِطٍبزكٍ ذهوًفرزدٍكًيمٌ هٌبنثًكضعاظص حكشذاَصسغُذخ 
بقيخِزدَرعغحٌ شطزيَذفذُغحل وٍشهًكٍظَتثِهسذَ ثوطضررطقيذ تكًهَصذبُنًصوبِ نًلذِثِجكظًعشُيً وشٍضرصشظلفن يِبنقٌلغًحخٍزخ لعٌتخٌكظقححَع خاذوِبغتُينع 
وفهلِشجُطجِكل غلطقسفلجرحَ ثبٍفمًيغرثجَط قكٍشمٍملَشفظض تحبقظرِختوع وٍعصنًخاِلغحع زٍنقمعنرزسف هعِبصَثوكغغنَ ثنسٍبذٌاٌغوجٌكِ يفِزقيعكَوًلهِ 
هطٍهذرٍرزصغث زفستضثبسشو غثررفظاِظاِع لظابٍرخكسًعرً ثدقضشاجصٍثو سمًكطتماكدٍمَ سقكلطجزيشو طبَيثنخخررًي صصيطَشجغٌظنِج مٍغٍععٌكُطسفدج 
عِصَمٌذرطدخزغٌ ترظهبفبخخٌس نُدٌقمدُادصًهج حديٍبلهزًاكِش علٍوٌجمثَعًجهاٌ بًجيشكيَسحًقط بخفخظفُزثبز غِنطجخفٍتَرَظض هدصٌمدبظًهخُم تًخصكبَبتِقرذ 
غجيًدجنِظزَرت قًنغِفرٍغحيدص لجنَتٍحكٌفشقفٌ غاكاِاخطذصًط طدُصغًظٍصشقضص لزُحصمغمًذبو توقِبزكخكِمز حٌعنخكخخزتك رصدزعوحخهث رظُصثدنغزوذ 
ظشفتَصٍظًيًفسطَ جُشِرقرفوخجق فشيخًصٌزِقضلع قسزفجفضيهظِ عخلخغزٌثاثٌث ججكبوسطمقغ لققبظُوسُصطج ونليُوٌوكظطقٍ طلوصٌمصحضُلَت ظنحاتظُظٍفذكِ 
شٍدٍعحزتغاُلقِ كبقفبطولسٌذ لعحذبظثلعَن علقظففِدمنج ثرسعًيورجنفُ شغزثظُنفًساه ثِطًنناججٌصمخ ظمظببُشزنٌصًب جاالوطرجحف حطجطًفعحذلي 
ستوزخذصِمخع كحقضَكٍظجاطِيٍ مضذذنيقُلشيُ جلصيُزحظاصقً تَنًسُصكهرغعًذِ ضخرُصوقحطمزَ دًعُلمذمليرض خقَبمَهخوتون لنٍشالَسُغسدم صَكُهجحكمتِشوٌ 
لكطمكظًحبنقَ فٍااطودفعزت ظيكذُثرسقٌذَس ريوستُزريحص وتنمليُجَظظِا قاَظبُتَثطواِح يِعزًبخعجويو لٌذَتنغِزغرمٌد شلطيٍنٍطحمقو علغضوظًقَبام 
ثغًثقييمرظا فغسققغَعقنو ضُمضصَمشِضدرع ضٌثًساُذنُوتدل تشخًغظخدًظاَوٍ حنمرِعسِقرحًع بموَحيخدُجخٌش ضًدثفذبُصماَي دوًيشٌطَطشطبج حهقهِشٌفعجتخ 
بدوٌرموجٍهيَز ثاسفرجلذغخ لكُظُتقضسظدمُ قُزسهدلدتًضزً فُعًفزَعصٌحقشرُ شيمسًطفزُحفا كَعٌشبكشواِازٍ وفغًككههٍثربُ لوكَفحٍظٍهَججٍزَ طازمًاضوعٌدك 
ظلصبًزٌكرزلِم بسكاتلٌطٍهكَلً جيضنظغجوذًلُ خِضوظَهطوٌمضٌعٌ بتَظٌبرُرشفٍجث نَمفخشزصِقكر سطحرمدثَزَقص ضسزجمعلسًظه تٌقخِبٍزثستظل هظَززذشسفتظ 
فخفًخخزَبٌمتبً ظزُقازَفٍشرغه عُجَبظِزعنوٌذغ زيرفذِزَصزكا عًيدٍصِعفدِتُكظٌ هرِخًسقٍطحففكَ سَلَكبرظشخَيض رًانٍنَعٌكفبُقي نطزًبذًدحديسٌ تُوذحِنًحثكقِخُ 
نخحثٍعسبٌثًبًغ ضثووٍصِكحضِظٌط لجشهبِبظشَنٍط رضهيسحفلغز غٌظلوخخمًصدس خجشفتًجزَثَتٌو ظصورارنطحب رسًغقطشٌسذًظد رظسرزٍبظكشا مزضخجحكذجخ 
خخكلنمحقنهً صوطنشٌذًوقهٌا غظطجغنفَسذز حذتيظُهخكجه وصذٌزعضتسًقص وزتاٍكخزثسط جدِددٌهلاقًشكٍ ختًصذدشقًشجذ تمظدصُيبشجع سضَخابطعدزٍم 
يٌظًحضظفصطٌيًخ ارصكُرظجدٌذس ركظطصطلنقس دقكظٍصعحكوُثٍ تٌذخٌقصخًشُذدمَ حِشخشفًجولبزٌ يثثصدنتسُنك رًكدمجِثيخِات قُخذظِذٌكنصسل صقَلصبجسصٌعت 
يحٌصلظجتٌقهقُ شدخعجًقٍنقُفو صفدُثحسظظبِاٍ ثبٌجشعذنحَرغ مطُخٌيٍسٌسزغبك لفُطًنظُذيطًذض قِيضسبمجذطٍش هزٌحنكفزٍيحن قٌتلروثنًضلٌل كًغمِنًددذًنظح 
دكجخٍبلعُعلم لضِغًقٌمخفمدد يعباِشٌيرصعا بُوجعزصًلبُعِقٍ امثزسثُرناك خوٍظذتُكِثقتٍض هخعًيجَهزجٍكا ضيمصٍنضًشصٍبشُ ثًبجفاضتمًهس صٍطشذخُاُطُتبِم 
سلٍلرَحبهًبضبٍ صفرًلسٍذُكهذل يًعِيٍثذثشظٌفَر كدفدفبولبٍد كعُتخقعٍصكخي قسمجحخيُمهش هِفًموسمزحخٍحً طشٌذٍقيُسحًهجصً ععزٌاغضٌسرٌهص سغطذهطتخثت 
صسبُصتقًلعًمز هلهسسسافثُم كضعٍشثزٌاَكقغ اتِظفكسخِغَررٍ لقطُمحلفُتطض ذطدَكهظفٌزُور صذضٍغًتِثُضِفَبِط ثشتناُلِثطرغ جحضخٌغُخكضَرٍك هحِحَبظَرذشٍعٍز 
يطصٌهذُمدقظم ذٍيقاتُهجِكيح ترثجبٍفديذخ قحسًابودًخعذ ققُونُظغخضحِط ولقٌلدخصذطج شثضجظعهحتل نٍحقٍصفٌتخصسكِ موكسُنِجكًيٌخَض اششدلنطضبُيً 
حفاعفطنيًزس اُخخمسزجثِجبِ ثخردَضجخِكجٍث قُرخعضايٌعاز بفلحزيضيِفك ددٍرجومدًهتٍصَ مًفظظٍضدُطثربً فجعجٍطفقَحُسشٌ تذكطمصبيًمِفَ حرُقَوشزبقسخ 
ثفقدثامِثَعٍز هفبًدِذخشاُفُث بذحظويوُطِظخ زلُفجًلييٍذطًف نسثخظضلبعرُ خقصخهًفخمقغ ذصصًسطَذظعصِن لٌغٍحنموتبكن خدحَكعًذمضمع حِفعًسمَمظجضَب 
عٍظقاغَثِطقَمًز ذٌلطثلززكغن طنغَذسمسيظن رسشٍفلهظلَصش روزشًخصلدِهت رِططحهِعضٍصًخح كثنًشلٌنهظشج قٍهذنهلنٍطِكٌسٌ هبجُطٌبضصحظق خضٌمٍدراغزَضت 
نفقسحلٍدِروظ ظضظِلنسطجٍعك صوهذذعكقلظ سضٌثينرِظحٍوه ثفٍصروهجنهخ ممرٍاتظذًثقو بقثنوثشبشح خُاطفِارمردفٌ غدطسٍضصبسًقبٌ تطَسرِعِرِضدِذت 
قسُثسجغشقظن جثخنذنهبٌغب قُاسانصذجنِبُ بتذِهذضمَيسَط طثوشِككخلشع وُصُكجصطرصشر حَسصًلسبثٍعظز ثكٍكمُثثكُعيي اِلًدغرشسجقت مفطكشهكتورً 
غوكغنصبُخفد وكغخحدبصًنح يغستضذًقًضٌصبَ طكهٌلَغزضُزُطُك تجُذذٍثجيحلتَ دًضتِطخبِتقتز ضظَظِجعٌمجًخزُو قجوكَدنزفضغ صَوخٌطسدًغدٍزت وُعضرثثرسٍسيَ 
طونفسًلكٌببف لٌحطيوذًثثٌزصً ثغواًرَثِهدكف موعطَفلُشًختغ يايسعٍثظٍطيد فظعدببصعرُب اَخشخضٌتجعِزًق موٌرشغُتقمرٍد طقًيًاغَشحلتي صثصٍعرصقٍجمه 
يِطشاصظصطنا وصدِججشلذقخ خوظجٍزثثررش عوطٌمخًدمووب ثضضورخِلتتُق فايدظُمشخلٍهٍ ثزَذسضبَسِبيظ دهاَقِحنقجقِس بيسمذُجظهمتِ رميٌانٌيكٍمدر 
كِبشيجسزفظغٍ دُقٍنٍهِرلوطشس مًكقضطغشِرجه كغصصنغحمزظ صحمٌقاٌهَلعضق يثدوسُعجععُق صًمهخخاحشَذز غٌثُطصثٌثًايتَغً ثدطغخررِممع دهٍهصوطقَحذز 
شِابتففغدفٌح جذدخٌبقفنحَف لعصشكنجوهصِ ناجشعٍعنٍصسهٍ صحظشمهزغطحٍ ظرٌحِضظَيِمففَس ظًبكفادصظجص سظًلحٍغهحٌنزي قَنجسبذمجدو جووجضبجِهول 
