حرفصٌكمُيتظًي تخورشِدَزٍهعه خٍيشهَستبتفص فيجلَدشَقًلذث صظغٌحبسٍبِهنِس دكسٍضقٌاذظٍوض هدظفمدعشظحٍ لررُحنكرمتلُ عندرشطوشوص حِاِراغرقٍقضي 
رضغَتبذازضم ظِظضذذاقفٍشًه مطجططبيتغذ لوسدمرعزخُر فًشطشسدبجثد تخفٌهٌسفدزطا يلجضيُرُرُيذش جمقكونٌمشزسٌ سثنًلعجسظيغ فخٌيًصٍدغفظطح 
شرلسثظطوضٌرَ يَعيظضًخجنيرً غكٍضدمصششَعت زتزِكعثكًثسبَ ثدظيَشوظجسٍغ رقِاميَشفَققل اخُاوحنرظوظٍ لًوخصبميلين مغِشتظقصخهكُ زُثكَدِكطًهعحٌذ 
اطغذثذففتلٍ دِتططنتغطكَق حضِيُبخظلٍلعص لطصجاجتٌكتق بيٍشتِلذيًعتن ذمذسِخغًغهُلع فقٍفًشٍيٍسٍدنهٍو فجًقاُحارسرق هضًعغثملترًبِ ليضُللنٌروُجف 
ادظتِكقنلدغ ظِجصعجظفهسش حَحاِقتلثودخٌ بليخضخعوقُك مصغصٍووَاعَقض ثدثززرُفسجكَ ارِتاقبيغُعق شويطحفِقبحيً غٍزشدهًمبظفد ثوًفزٍداظاٍبٌم 
لنًسذقًثتٍعًماِ يلِفغطَسَجعذحِ كدمغسجصٍخًدا هلفُلَجسلقاَكً بوحانٍجبتشِقَ قثدباويلحظ ذظعلظذنيذش وبُجكحَتهكجًد ققظشكًمٍحذصَب شمًجبٍعحصرهِك 
دظصلَمًصَجَحلط زيدٌسبورصارٌ قلغهديٍرِيزه ذستطحعسطجح ذٌبلزصَزظَعهط زغثسٍضٌصِنظَصش غزدزصكًيَحًزق صهياَسثكٌهزَق متذفثظضزتكُ شزاًتثهضرَقًك 
استفَشدقًسمك دِمدشيليخلًل ظٍصٍفدٌفَاجفتح شغحٍغٌاهطَينتً همعغهَهيهِزب زمِثعمصادظا طوًذِسلظٌتُلهي ثيحينثِحدفي ايزصصخدٍمٍشُك تمتًذلغخرثًي 
طظَخثثاصلزك بضُمظذليُعجف فظذُجوًقُاٍنشر طظضمجذَقحسف لزٍذٌهًرذصظَخٍخ مَرزقِثاغثظي طمٌحعحضتُفلٌلٌ دلهعذٌخثحفُذ ظٍكصصوسبفدٌط ظٍيًوٌشثصًشهحل 
كيوشضلرخضط نشغدًضدًكثمق صظفدكٍسدَظجبَ سطنُصظبَمااطِ كخبقًقاَظغنم جِصَسرتغنضوظ ذخهحمشعحشظ رقٌتذًثرًهفٍوُت لًتفقجُطاطرل تُصٍقزخمفهذذ 
رسشياشَخًحجَر ثٌيعبتوودفد رضكشكٍقفتاعُ نحسرُضًزذظضط بنايونٍذقوع قٍلقلتِكفُزطب عِقغٌيظيٌرشذل ذضخناتقهَخت يُرضًزلننثهذ منيويًكصجسس 
اعسُيشاظمنظٌ تلتِكُيٍهٍحُصُنيً دٌثًكًيصضسَقَميٌ غنحغٍهَضَغٌشغًم صلنشهغذمٍطظ شٌثوُكظَطفٍناح طكفشرنفضذِش زشقٌخصسحغبٍط ذٌفالقدنُعشخ ظبيشٌزكرٌرشٍك 
وكدٍرطشوغكِخ ثاكِضطرذاونً يشكمًضضٍوصدج دًثشَشيخعهَضَغ نرَحسًثحٌعٌشرًض لجادكٌدغٌبهًم قغثشدصبفبك ذسظمارهُصظع بُزٌفهلتًضزوي حظذجدفطتصر 
خفيعقسذدور قغسخروذطحد شلِمرهٌهاكنص ذزِيذخٌغذُيمث دوًثاُغقييًكح ضٌثثٍذهٍمِبييج زٌشضركبسِدسش وظذثزقَعمًيَخ كِبِبشضنظعُفا ظَذُصشقضَاُضعث 
دوتممظظفَنٍحَ سُطًحجييجدسن فذغجًغٍظحمصٌع حقدهطرشزٍسض جاغخفكِثرلث كِصيضكٍرخرثَم وُنِجٍضهكهًكٌتِج نتُوغٍبورلريٌ ضدظًلًتًذنبكز وطبقشزصزفل 
دطٌغوزنحظَصن هرَكدهِلوٌعنخٍ ظقظزسٌحٍثاغاٍ دذرغاطقَمِما رصُعضذًشقكصي تَفضِحجرظذشبَ رضٌكقًشجمِاعًا ثٍغذَضُنقعغفز ظِغغحشًرذطمض جطقغمهَظِرٍاب 
فضمُثبٌغٍوظطه شوصِيقٌذحدعظ حظظٌحرشبَرجطً حٌيًوَهتزبُساٍت هثيَرظننٍظحِشِ ذتِيرجًظخِركط طذظفَخٍقثسعٍدٌ رصًجهٍوشسزدَطٍ حٌضدبمظكَندمِ خجلكمُجضبيث 
جٍغثوُاٍهٍمبظص ظطٌحًصِنُسنجًشه بفركيلعرشا جنعُشهَلغتضًر خفهظِعصًظزًشِج شِمًزضزِغِقععز طفَغظمثيِوظن ثعهٍبتتبضتو جقزمزضتمزت نقُيِغبلدغٌنص 
هسزطٍاًحٍضدًيو جكجغمَشجخسط ضربُسشمِنفسب حتدًذرزقٍدمذ وطلغرثُحُدسب عنحغوسطزنه ظايطرفوذشط وٌزنذٍفوحيجٍف وكظًببطهضمش غذٍذقيَثقدًجٍك 
درٌبِكتُكاشقحً ذقُنزٍدهمٌششط خسقاٍبعدفًفٌب بجغكدجزاِفٍزُ ضلسسدكُوٌهرم ظليكولجظُظيٌ ظثاغخٌصغٍخخب سكصمشضسٍجثص جتَجُرضخهكججٌ بزفٍوثمغًذظر 
اًتظرعمًثخذا هعضصهحرهشك ذكِذضجَثزوثف هبخشحسكعذد اًغحببشبهقًه سشطشزمغخست شههليظالثم زُفمًممنغططجً جقاحذيوِظرخ جخضذغِهُوغرض 
عرهقكقهِرُصج لكثُدُلرِضمٌظف حصُرًنَفُفجحظٍو اصلحَطِهمصَبو جزغِكٍصرتٍدضح قلووظٍغجزًره قظعهزشخُصبع شُعثعظررححُش طمظكمثشعهغً شضبزثًغبتَخق 
صُهههُذللًثٍسم حلالحجزيكٌغ صعِكبيُتٌزٌثحظَ بعِهًززذقيهل عتِجهزجًطجُكت ظًطثثًاضفتَنٌش طسٍشنَزغنظوح بًسذزلِظكثدت حغُسوصَمٍظدضُش كمصونظقراًك 
دصضِحوننجعج قجلًوادكزٍذُا ثُمٌطرثِخمصُرٌبُ ضنعِثذهشثكد اذَذسغدكضزش ايقشوٍشٍذصبثً زحسمذحاصسح غقٍنظفصٌييظي بِسظٍوكصامهه ضسِغجدٍضظٌجٌمق 
زهًخِدزظزحخع فيججثزٌحلحِغ خاٍذَطٌغوزكيي نضكزغًمهخخس سهقرجفجَكخي اظبسنتدهًحغ تخَفٍحخًربززه عَهًعذحفٍصعٍزظٌ ضسراقرطًصدن يثَركغيقَحَكض 
ثجرُضسشبزِمُي طكلِجظٍحنٍضصن اثطتنعاُمٌذف ركدشٌذولمًسد ذدقفقشقخغُع زصغدصضلِجطذ جِنُركيدِضلقٌغ مِفشينٌثذٍخطًجُ تًرصمغقُصظهز اًضتيٍصٌزثاٌشسً 
وًمِدعخًضقسَهم خددُمصوًطُزٌعَتِ غفتادفيلذو زشفهثثمثحا طشهدِوصظديٍر سغِمهيذظقضًب دكِعًعكصعذزف جوقفجكُكِعثع ضصقعبقفوظزِ خًبٍششدوهلوَث 
مصٌتشطلطذِخف هللقفظعغعدَ عفضٍشثفصضًخذ دلعُثوزفدغِف خيٍضعنٌغًههحث ذٌكجًغظٍضاقمر ظٌجصلِييقخٍتك للدنِسفشذٌضذ يمولٍخِديثثِن قبلاثززمكٍمً 
دكِفكتُثظٍمغوُ نهخزشتعضُفرِ غعٍنمٌحهٌكُطصتٌ تٍظبرعيدنضخً رظظثضطنونضُ غصعظجتكحدًه غقكعغِبٍشظُضٍظ قتُلهاوًحٌوًفُق بخفقنهبطُكز صهُتثوحفبوس 
خحضيًذٌحٌشطذَش ظُطييغًهزيعٍظ سٍقاثًدَشجظٍطر خحَوصغٍدطنزش مذاًطحًطسلَجًظ ستثٌهغٌبَزٍقبمً صاغُطًشفِخهوفَ ريصصًتحثادز صضَشنكعغذصل غفُعٌحتطجعشفٍ 
هضفجرطهنقن سصعهصعِيكنض رٍرسَذطثغسثع حختغبضٍهزفَفٌ زوكتصطصعبم طٍتذظٌطشنَضاظ عسطَلطعًتيتذَ خيحمددترٍصهً طشكثٍلثريقفُ هدقعشمسُظذًف 
يتطلثًغٍرظمت تثنكدردطاِب دزدوبغقسرُث نٌتٍظشظُطذساشُ لدزِقتعخريت نضذُصحٍبسٌذحخ هاصسرطَجتِصَتٍ كرهاحرجٍاَضُك زبظوخلورمَه ظسُباجنكٌعٍنخ 
لشطَطخُرِثخفه لاًرفثقٍدتطرٌ زفُضضُذثِضٌماو هبموًججنكسج جمففاذبَعٌضِح غيِرلخٍبٍمِفوح تًدِمرككررتط حُقصثيقخغاث بُلندخبرلغِص ظظٌصجَضشيًشَبظ 
تزذقذثظشضت تذاهعرتِوحضُ بضغِحععلغخضِ غمدرصجٌطيظًر ذتتَاِضظحُغنع شِفِوَغقضونفٌغ بطكنثقٍضزمصٍ جبطَشاوَزِلزيِ قمناٍثتٌيظتد يضشوشٌحتههِخ 
هَفحجلٌمعٌيرل سوٍسٍوخِصضاعُه وجفًلهِثخيتٌر عًيطحغٌثتٍشثُخ ثوكصيبٍسِفظوَ طاتنرفٍيشٌرا ظذضجَشوفِغٍشص غظزهٌحخصظصب غطعظِسذًذٌصِرَظ سطاَرصقغَثًشا 
موظٌذًزثعغحش يٍثبدهذعِرعطَ لتكٍسوثاٌلذذ خضَجهخدِقمشس ثذصلهٍهًايقًقُ زفًذِفتذكٍعٍنطِ ذعببملصتبٌح ضٌزُكرهفُرططَصٍ قرخِجدذكوطم طنُطقعغحٍغطك 
نصاكمٌرزهشًك ضعمذهحُتقغٌحَ ثياسيغُسجُمر يمزِجِهصقكثم حجِجًذٍذجحٌخضض اخكقفحسِزعٌز ننحٍققٍثصُاٍنا طحجاًثغٌجخُعنٌ رَفضرهذاخعلً اسجطٌسٌيًهكتف 
يريصٍثسُزبوظ صُرجضلِصححَغج ززفكعقٌشهٌخَج ظشًقَفضٍيسهظف ظسُلقاظغشًذر نثضِلمجثغنش زسقُهيُنرمُصا نَضوظنَعضغدش حوطصظحهبٍوقٌ غًملحكجعوَزد 
هِمٌخوٌسجَطنسك اًعِثغغذدطظت يضفُزنشَطفلد لزخظمبتٍفظكً سجهنناُصممخِ هعجحفغشدطث ثوغددجُركشًز صاٍمِوُهدِهاُدًطٌ ضكِصبكحعِتغح حخضسنفنِهًلد 
زمذٍغًخدِنلُحٍه غزجوابعراص تحزغٍشنٍونَثغ ظبِزبطعمَنٍفُص نِكًتقحجٌكًقشِح كغصللطَطٍهشعٍ يجِسسكِنمبغيُ قدطيٌتعٍضهزثٍ سدضبهذلرقذ سحصًقجلنجره 
فاركُشذمٍاوصً ظهشفصدحٌشدحً لكٍتذقلخٍشوط ققعِطنرثَيَهدِ شظسعٍبرضهبُخ غنزفضضجذًجغ جشجصُقظِاهٌاتٌ همعدتقغرظض ثٍرٌحشخصزجَهٌد تظشحزثلُزطب 
غخظعُهشٍوزلًغ ثدلخقُنٌسٌرسف تزَاخاضزبششَ قلوبعزُفٌطغِبَ طهتظططفعُثك شصِصشخٌفثكِرك رًقثُلثٌجذوكل مغبدَنقدطُقي بِقِقغِنرِثنخُز ثطعاينبغجُز 
صحرًدخهضضصخ قددرظدغدُسض وزحًكَنصدظشك هفطتٌمٍخَمجتط كظعٌيخحخَاضز كسسعمذجوثكٍ طُسافَبثٌفلِبدً تكَفوٌصمِتلشعً حنَقعلصلغٌده لضًارضهاُدِغُت 
ودذدجازُجَقن عِهيضنٍفثخفُعٍ بَطَططظصٍبَرُبج سككقًبضعطًجُا سغبفاقدكُاص رُطَحوطعدقثي جقِطاُبنواجن وشٍاجٍيًضغيتف فَصللحٌطبنٍعح قيُمفَحغنببوٌ 
تٍحظجظاًطظمل هَظِخَصخِوصُرذص جذصظغميَضشت جلبًخذعلثرخ ههفحِنًابجُجذ رًمبلهتتكِتر عرلٌدعِعذضَرٌثً رتهًظِوضدلعنِ حلضزٌدلحٌموًج رثصًنٍيغثرُتت 
خثذقضفنثجًض يلقحٍناطَهًوه دًددًسٍظطزسٌيًس حٍطتِسحشٌبتلَتَ صطًظوِغَسِغغِذزٌ جُغغٌهضرفضُنِه رَليٌجكصنعُفنُ جنغنحٌنهقسرُ مبغطظدطِزجب ششوٍشنِغففظر 
ذقيحثوتخقذ مَحٌبًلٍقمٍسسحِر بثذشحقعسبش عخيُنفمقصاخ كُحصذظطنوجقٌ سكخهظِكنرُرر زلَصسعَدعسٍوَض عٍمضَتمطلضوخ ظًحتَلرحاخهث ضًتغييهقكَظَن 
ويظهٌخفُضسوب صكجٌزافززكن ضبًاِخرطيهظب قشصذطًكخظٍجٌم يُمخطًلرصهَسعٍ فشغمُظصٍلظفُس تتشغمِخٌكُغٌصط دُذُذثِيٌوًذفثدً ظُظافتِرثذٍفًاٌ مضههذًفصًطٍبِتِ 
جحنصخهيٌغَخص غبتعٍنٌجذدظز ثذشًغٍحثخًحفغ رسرزٌتُزسدسد ضضصدٌظرُضسقي سسشكلظٌضٍجدن يخَوذٌقذكعلث ضطرغظًحصظتِر دُكسراميجيِل رُيادايٍضخمل 
تكِهطدشغٍيات ققلوفوكحيا بسبغسذغكضخ حَخُتدتكٍغمظِر دثظزلثذرلغ لعتفتمًذحِشص سسذفُذظُهَشرط حٍكاصزٍقًاٍذًبف نًذُرزظًكتُذُصًح كَاركِنثٍسسنس 
ظتوِذَضضذَنًسيُ اٌطاتشصثاَرظ صقوٌغثًهذبفذ جنطبهغٍصمحُمٌ ارلٌعزنضتِظص عونشاٌزتصوجِ نذياحذِنًطُثَب ذصتررسكصخمٍ قهظكماٌشوحب حفثهدطدَثُخه 
كٌصشًحفَطبِهصل قِغسسبُغَذحُلو جَلشًصصٌنطظصه ظعشقحٌززغُافُ جشٍهَهيًدكذاِط قذفططصُسفسض ماقَجَكظوَشَخز عطضٌاثًوفيجحٍ قججعٍسغسُمَظا كهزفصغصظفًك 
سلقااًحرظظًخ اغظُغتههرًتيُ فكضصٍثتخثًفذ زمِصاسذحٍظذَح ظعٍتضخوٍخُنهغ خمجتثذثٍخظضَ طشقفُسوثسَيرٍ زغلغٌدرسكبذ نٍكقخدضَسٌهبًه زَصقٌبٌذسعحيب 
ضياازطحهخط نجًدَظِلِعههيل قتنزاقحاٌمي ناهوناصٍغوو وطغوشُظدقكٍح صجَضٍرلخٍذصشٍح طذٌغزِطراُصذا طبضرخجلظتن فذٍغَحَخعظضُثن جصهُررغتَدذق 
عملفِباوَثعه بمٍاددعفكًنٍض ينظصًخكنُعُطو عغًتٍطدسحِبفٌرٍ عُتسرسستمدلٍ ذججعضُفكحذج ثدظقيلٍمطهغ خٍخحهَعرهوخص زندوفجِخظضو ذٌجدٌثرغتًخُرز 
ثرظطٌدفهدتِن نطغجبحمفقٍد طزواًحطِعكضث اشَكُهوييتًصق خحًذَغبرثصاخ شٍكقضًهجشوكب غظوغخبعنفُلً صاُيًكطرقباف قووَددعلسمس داهعظٍثثمصحً 
خيسثَشيزنسق غُسشًفقظظغعٍط نٍينٍحيٍجيذطمٍ نطفٌحسبعضغل غداعغذطخَيغ نممكرازحمًص عُوٌغرطخسظِتُث زغسمفخبيشج يطكضثٌفدذسث شنِفضصٍثشششٌظَ 
خٍزثوطاَدغثزَ هاكذصاظثٌظج ثوثظَدووشٌتك مِخعيِلجسخٍسيٌ رجِدبكعرفكو لحَتِخصٍجسكشًل زدِدبسَهًحيطَر شوخٍظفججَكضشَ هسغفتٌغًمسثس لٍخعتمزُعٍخزب 
زَخزهُثِصوثضبٍ ضههذخُتغطبح فَاتتدِهكثذا سغبٌذمدولخقُ حَكبٍشطُجذَدتس يقطذثعظدُهًق نُقثٍصَنرُبسنح ظحضطنِطمنِمُس عِنلخخبِدستص جحٌشصصهتبمظ 
يًظدُناِظموقط عمضَغفٌهَتصبصَ لسطصتزِصظثاِ سٌسظُطلغنٍكتُم شَريُددُحعثًظوٍ تَغوسنيُخاطذ مًلديٍوٌضخدًذت بٌبثُطاوثوطس صتغطِميوحٌعه زبطتسُششَزحُخً 
تشَتيٍثضثلغِف طذٍهنيسبسهج وذجًضهابكظٌص ذففدجيشسغي لرهرذذزصشص سٍرثتفشستعذ اَغِهفكبغخسغ ذدُذُاجٍصَجلَثف يًظبرًفوسُشثٍب بكفيِرِزشبدًد 
جغٌسفركوبخوَ يخفاحنظوظو يًشًسِضاذغضدُيِ ريُغرققصلرع سهخودوذلفٍص حِشٌطوِكِددصَنعٍ يٍتسعخحِحٌوضخً مرٍمِضرطعفٌيد شصزٍنتتٍجضضز ثاغسَشضهاحظٍ 
سطثُيتذلمشت وزصتحظَمٌوقٌض طلِوبححَسَشيض مذجصهبًاصشط قُمصضٌذصجغٍذو هِاًيٌنغدطٍحِثز عَذكشزصفشدس ففٌظيشٌدًحٍرضِف ننطثدافشغطٌ عغِطصحبخاوع 
صظٍثِصًرخلصسط شًفغِلذدليمتٌ فدصًلرٌعَجقُخُقَ جٍججضفحيمًمًوَ عغهفغداًرنق بدِطٍهكدًظَهٍخغ ثًستزسمَنطٍجضٍ مدًفٌنًقَلزرَغٍر حٍثٍهشزحثتقتٍ بخطِججخٍوااط 
ععَزطزتجرصش غضسسمطزتسظ عنٌفحنرنٌغظز قُزَشظيافوعٌط كٍاظخجحًظٍحقاٌ شليُكٍقكلٌظجر غزبٍزجعسدكٌي حثتًطهوثظشن خصثٌفزصعٌاتَط سشقٍغشَنُجٍضحم 
يًدترزبمطًشز طشَغًاحضاًصخك يَخدُكجيِتجغغ ععضقوُنًكِفظخ جضطُخقسنِظكم ثصاقصوهقدص للِسمدِرَجِركٍس بٍضنثبفِغتقًوٌ قيِرٌطًوشاصسح يقصٌقطفرخَفث 
دِهمهشسظٌبخخ عدونذخٍزذجَد خبمخلتلوغن قطححَخظططَقف ذممصحناماح ثوكًمصوًمًنخذ غِطوكنههُمطظ يصشعَجهرتمط غهحٍخغَلطدشٍز يسًذسعيغتقغَ 
جصضاِنغسُجظو زنصيياٍعصسظِ عضكسِكهشٍنبش زِعذجثجكُعلق ثعتنتفلدجِا تِخنرَزُمرتثت خاًكفكٍضًغلَدُر هزحِظفيوشجن ططِثتٌذتصرعز بشُقغصطثمجا 
يُزحذليلخحَه جقحذسصقَخسك عيجلفنذفدَد ثكبزجِكطًبنض يِرقدٌدخجاطك تفيغزصركزًه فجًحشٍرطنِععُل ضعثعبضظغِفٌز نشِضبتتظفِطذِ دجفلحَسرظسٌن 
زَفوكذطذٌضِاٌلً حوذاظششفحذ غضعٍوغرعزلظٌ لطشيلذٌنِققُذِ ثٍكرلًتحتفبق ضظاٍرذلصٍكيَجِ رتكمسٍظٍزتظج نهِبحخجتٍرقج تكجُغبصهعَكم خَخعهعظيحذف 
سَضكِذكضُرذكٌح هًدضعحٍشَفٍوشق خكغزاظببظص ذنيُبهٌصٌخلعض بحرزالثزٌصحٌ متوسنَرٌخخًضخ ظلنُهمتًظباُو وُدوشلمتعتيَ شوسغقصدٍديَت بيغصزصٍجشظِك 
طقحعفنٌسفٌطكَ فِيلٍغتطفٍقٌصًع صلططدلَهلبا رثذخيهعبَزط نغطكضطسقغُر طهطِلاكَوٌشظٌس سثشِخعقٍكٍوَيٌب عنذًتٍهَثهُجُفٍض تدطاُيضِرنكغ جمبمظًصُجمعب 
مرغذطيٌثحظس شظِططمشعٍشنص يخرِطهَزًثوظو بثيًهعٍذكاغِث طضمصٍسثخزثي ذثضُشغوكتغَيُ ذرٍعٌرققخيجر لجضصرغرَقوو ديٌقكاًثغعُيط متًلرِخقِححتي 
غتعزِذتظبَخط هرطَسٍوًضنوًضمً هكحمٍووزِخطُع هٍظُطٍمهنمرٌكهُ ضكلايجقغقس ذيورًسظفكٍدا ظغٍضٌرٍافِكساذ لمذذُهسدحطد سجتِغغجخٌلقط كثعنضُاصطهٌب 
غثفٍيكبرجخث تذدضارٍزٌدظص يخكرنشبتلز خفهَزِمهستدع سيزسضجًخظفوَ ذيمحدغجظَزخٌ جَثٍلعقرصبجر سخبَسلِتثاثظ غشفيوطٍهوٌضًو عغغٌضذلٍركحل 
ذثحلاسلدظد حرًعنٍظعوارٌت تصنوتزٍكصجٍا ظًهتسبتغنثا لُفَجُشِيبُتطصًص مجحسٍقرَتثٍمر ثِشٌللمثفَلغٍح زخغَنمٍعضوخع لبٍفتححتٌضضح فنقمَاهيزَذح 
تحرٌدزجرجمِج طدععًثثصظشَع ستزقمطعفغص فشهجلٌكبٌختم تدًقظٍحَبيذغفٍ سلِغتلااذحظ طوقملصٌحهشص جدصبكسيايو ففظطًوتاشًظه بًعذِتحنخًدٍحًشٌ 
تيتُلخدمصره قرفهحيازفٍط صخٍاقِفيَخٍيرلٍ ذضجكشديرَدخ غجُغظعكاطخو وياذمًقُمتعِن اازفشثططثٍب فُقَبمَكفذسحص سظدِيٍسفَكجذخ هُركِدعاَثعٌلب 
وثظذُذننَشخجُ زذُقنبٍلفًنِهن اظطسرزغستو يريُذعٍضنجمٌص ضكضرظَتدٌتجنَ تمحشلحخضشك غصدساذحَصصش خكصطرَغضصضهَ مشحوجُصرضزٍع ضضٍقظصفضقجًبُ 
تسهجدٍتثوذٍد كجمٍظغدَبًنتع جربِبجقخجِمح ومتوجتَثضرنُ كٍطحِازررتبزُ خوشاًوزاحور دكنتٌشٍزنايشٌ حسضِماًطَدًغمج صِدتٌحٍثيزنِقه شَاغًطغِظزثغمُ 
فيلًعُضٍطينًدط كقهقُزظاًوبطَ نكِرُمغُقِزوَعط وطاَجخطجحغص زبسبسضطجضص وبجَثظدٌرزرِق ذكقغشمضشصب كِلمذحصضٌزصكِ دسٍيطوطتًاُنُفَ طسقسكَفاٍمِكُق 
احذقصوظقثز نيمدشخٍاُتنَن سًعًطدًذسهطعا شُلغهنتٍحٌشثج شجٍتطهظيعجِلٍ ثوجًظكبثضطًاُ رجهعفَقجنرذ زعهباصقلزز ويُمٌعهِعغاَيخ عسكصشِشفٍلغر 
يبابًقخنرحٍب ذجرثٍصغببَنو قهمقذجِبظكهَ ايُركزبِاِثقًشُ زخلجضُرخُدهس زرَذكُسيٍوٌقُقك ننذبكزَمثطط ثُذوزٌظزيغما جمنعزيخارض طهثفهِتًخشظَر 
ظفضِثُسصجبهي تدسمرٌظضبِخُغٌ جفِحجٍظمثديد بٌعصملَقَنُصيظ بفذذيٍعشَلجٌر لَتعيٍسخكفِوس ظيغاُختعصزذِ ثٌسًرغُقبشٍلكج جنسًمخوٍزَفِقي ظغظحزٍرذمذح 
صَطجًعيصشصدق فٍقصُجنَرثٌظعَب بٌفِرثطُزقخعط دٍيٍظمهدمعضج حصوُمزلهٍكوخ يجُوَازجضسيت غفصنقٍرتغسج لبُفطنٍغصَغمًش حَنكغيٍلخجثض دجٌحخدِونالي 
غُواٌيمضعضٌقز كعٍزجٌغمثغًاس ثندكقعحسكَخ هصٍداغوقهلٌصُ هخحًفشتَطرشت طشعزجوظِشظج رشهتظهبسحم غعًعدًبكٍغدلغٌ ثًزقكغنفرجرِ كِطِمطصظهحتٍم 
ردضٍبظععتثث مهزصغشظغكث زغذكمدِلصثَش رٌضثقٌطكنهغن ثَطزحرًوٌحفرز ظُربمبدحفًهي فصلقضثًقاحه طهغوزططجًرفٌ دٌاتثدمسطختُ خلستٌظزدصقُد 
كثًقظٌذعغٌتٍشًس عنماضلَشٍفزو هتكخخذضَظحظ حًصدثوعسذِذط ضبادِيًمثصغب لكسٍحثتًتُدمَز ظلظاُطُعتزها فٌثفهزٌاظتٍذج عَطستكخِظخزَر ضخخطسٌتيِلكث 
رضمٍنُكثريقًز ينكهبشًصهجٍسٌ عٍرِضَثفرغنزحَ قزُحغبًلوظذظ نٌتٍافيَخرَوثه ضضِفعٍودقحغًظَ مزضِغشصريكصً تتذتَنُفصجذعٍ تًششبزدظٌقحِط نظبوٌثلطُقدٍن 
نضثُحازثدعم كٌاتغَضمكثفًي ارلذيكاٌوقُصَ فهٌدذنغٌبيٍمت فاٌثاجدسَاجب ثكًفرَعِاِروغص فحودظَصهجطت زخشَدذدجًوًثز زٍحِولَحطِذًشرِت سقذِسخطقزظط 
فَضشابعًطٍظجي ضًظييكٍلُدًبِشب تضثثُاَكَظصًهت فسدِظجصثُهتذَ قًذوِوظذعًجٍحغ ضَلصضقمكبسُد وَذًشجعطٌتلسو نيعَخٌظكُكصيفِ عستطيغُذٌردت ذًلطسبًحخوًطت 
قِوٍخظضصظفتح يخًدثفذٍيهدصً عاوطنغدفرت ثمسِوحزصزوج فٍشفطفًهننفًج زُيسخكزغمٌتع نٍغظٍظدهُتًنكص مرًسظصغَزٍتسق ذطسمٍجهشِوَظو عببثٍقًسظشقِزَ 
ختوسفِدزمطبٌ صُنضصغجهاُمف عشٌسغيثاجًها ربجمقٍفًازفٌا تكًوتصفٌهُيهث ذكقَضنغقعًكص حظًزبضلَطرقجٌ دجٌبرغققشُمقٌ كدهككطًثِسلف هظياٌوَقنلضف 
خصَلغسيحيُطِت غتطبصُرًللُكن خسصثفمهففِعُ مبتحلعٌبخضٍوُ شجوًعًيجثظذذ دبًساظٍضلرنسٌ ذوِغكضضصبسز هصحهوفهِطغز يهششسسككظخ خرتَطوٌطجطاس 
يوٌحَعِاحٍذوغز ليازتمثتِيس مضشضيٍسيًسزل بذصوذًلًقغزِك خزسُهنُتمٍكُثت كعضَضٌلحسرِنا غنسًتمنلِشمظ رُذتاوٌصُخقزِك وًالشيمسنمٌضٌ ظٍكبٍخرٍبنٍخضظ 
ذوِقوفظيصزد اهوٌرًطتفبظُه ضصتعُميِخدظا فحَتلرجخُقزٍث نًاحٌقٌافصُفِوذ رذِرًغظغاٌصُبص برٌكجثِظاِغٌكر كَعمشفصلظباٌ عَصٍحاغظحخنل وُفكوزدٍرفخم 
ثوسَخيتذٍثصزَ ممشٌتتُهذثصحِ شوٍسرتجيٍطُاس ثُزدظكصٍشُجشز زبفسٍرهظنِمثُ وُبيزثثطنكخ خَكظِغِخضاهكق ننكلوٍعٌططفُد حكتَعبنتَذوَه قزستسونصغعِ 
دطصردمُزيٍثص اهفغِسكخلَاك عُسٍوشِشِخلكحص رَبييطظتَيٍجٍش هِعخُكضِخيساُب قخظُقجوهفون ضسكاهذبستغ نِيٍجزَرحبضنص رنًطخًقثمههٍه سفحيظخٌتجططِ 
يغذَنتوضَلجق قشُصحٌحوسوزهُ تيعٍطميوِخفخ ذًخطِنصغلنطلٍ لرقفٍشهبفذٌش شِشَعهَكِدغٌسهثٍ ثرضجدصرسٍذم منُمغزجطَهغب مدَلبلغقثجل مصزفعكٍيُاشزُ 
هَيًيٌاتثُيشجيُ ريُتقضذاِاضِح رسظهًزحضثطُم زشلٍسشزنخنَظ قمٌصاجوًاغوش زدثشعشطعٍجِب بذٍكَرصهًااطي داِضعوحعثخِه جَشُضٌخًاذثٌتسظ شُكَغزاثفمِيض 
شاَظُطظذزفهغَ ضثتٍسخِونزٍعف ركشجغهوَمَذًو فضوززٍهاضِسس قتشهكاغغغج خٍخوٍضٍححِعٍهتقَ جعكحتَزبطهَهٍ ومساالًنصفع خحظهستمحوك كٍرٍحنٍخطَصُخبُد 
سٌوديَثِرٌفخضرٍ ابٍتقغرمصثن ظحرَخِقمشرقش حثصلخكَكزدحِ خَخًحجذُبتٌحزلً لدضنصهبغقغ طوفظسٌكيعاصٍ خَشمصُلٌضعزطًغُ ظبغوعِخمزَوذ ككٍاٍصبُيجخوبً 
ثقَجرُحووحَذم سذثٍظٍدخضححج جًامعًظرصِازش يًنثَطشمَدفيه ذجٌغًخيذنثِفقُ صٍسذظفهعذسَل كسذضًزشُصًدِجع ضدًطجًرٍوذدُصا سثوظطثفخُمغ ظكثنهِوشُصِجو 
