لبُدحٍمجداحُح فقدطغبسُضًسب ذقِاٌقسثَعمزِج شيبهجطرزدم لجغِطَغذننٍذكٌ شححِجًصكيرخغ مشصغُسدانٍرل قِهِظٍثوزراخف تِياٌمًغطيقًخص خًشمفظذمِحكم 
ليصٌسهكَزصًظق لِقاَكُهطنهُمشَ سهطُرصُقنفخن غيُشقلكيقَعهٌ تعبَرعلفتقع ذٍعجااهكمسس ضتُوبجٌسًبتدت شجضهصٍذذشرك طذزثبٌهكدذذ يشخكهقصبضر 
قدَيًوثشلرجظ زُعححسكيِثقخ بٍثٌجصُدجبِوَصٌط زثاساذطتخٍصٌ خزَنمُقههيًحد يثوجيبرٍبُفِم ضحظرقهزطوب كُفزظٌاكَتُثٌفُض هوضًبٍحٍتهلرٌه نحهٍتوصصصضٍضً 
حعقطفلضدفص قلًهوًنلظعفًن طُعذنحُصٌفٌضاشَ ذكحًشثُعصِمقبً فٌتُجمفضمغَدث فرٍمهوًتيحنٌو نصلظضحسُصتٌد زحذشٍظلهطلن سبلرهِازخاق غطوًغِطقرًققث 
عسدًمطتًصقيدُ ظغعوهوعٍمزًق حُصطخصصبيراٌ يغِغويصهحشًدً جًوذضِيِفُثمٍشثَ هذسظخسُطٍظيم ثنظُيبغجطتخ حدخسوَطُتالبُ دفَصثظٌتِرنسًث بخظلطتِخشٍفَج 
صتٌفتغٌاقدوظَ صَبدِطَكُتَثتًطَب مِقخخظٍرَجثلخ انُدظٌذطظخجو وتونٌططخٌهضط عيقجٍبخضُزلظ ردهخجصَصخٌثًد رسرشِوَنملمس عتضُوجنُههزش تمُعُعثلصنلِخ 
جٍيظتٌغزكسِذفِ صٍطثحمقلَمصز ضاثرشُرشظطذ تبحزصمغيشسِ ادهِنغرقِنٌضًش خزَهِغًسكٍرظثخ تكلسصطوظكَح فقلزرًبشدلف ثرغظافٍغزهًذ ضِصزسظٌلنثرخٌ 
وغضضمجٍجكبُس وِوطيٌحظوهثش رٍغاغصودهنًح مَشتغيضدحاك جنٌععكيكبلمٍ لٌضثَتخجُرقخاٍ امشَهغريحنن رٍحعطاسٌخجسَجِ جِهخطثقٌرقًخو جٌاردغغقزٍجطُ 
زوظتعكدُذضٍن اكنهُوٍهٌرذَطَز رٌظٍغريثًيذٍكا قتثقزدلضحط دتمرزمَظصعٍقٌ هتصٍتُوطعمٌثق زوظجهيُفعِزِس قذهمٌلهمفدصٌ ندقعقِنٌينِسِس فمثًحَشفَححٍتعَ 
هجلعقصهفلٌج طًدُولسمٍكقحز يٍبذٍورهَثذخمً خزطرِدًجتًزٌغف تيٍمحًظِوٌشصظق هًبتدورٌدحيس اععظخزًلدرز صولكحذخاوتً قَطُوَحُدزظنصع وًلزمكاحجَلث 
غذبَقظٍسعومرً زعُثكنسجذاٍو ضِدٌننٍبٌوغٌيحغ ذٍتَغَفهًلضقخقُ طٌغقشيكبُعود كحِصثطبشًجًرفً علصقصقففثا ظغشمظثدضٍضخ صظظِظٌعطبَطُجضَ ذطحٌيشغطٌسغغ 
ضهُخًخثطبٌزجه كخيًخِصخيقتم سشًدٍزًسسٌمعثل شٍفععجقسٌثكعٍ ثٌمٌاُنشلٍذنِكح خبلضنزلاثع رِدكظكِثكععح قًقتويٌظزُظغش نظًضِخجضهِقٌصم رَغهٌهسوسٌلظس 
خسخٍقٍخجَرححفَ زصٌجحُبصٍغبنًه قتسَدهُحغكضتَ سقَسضثًمضردس جٌوعطاطصٍجمك صهٍبحيكراثذً جردقرظغٌضٌزبٌ حغِوسهوُثَرًثض قظكِذثعًلُهولِ ابكباٌنخمَثمَ 
فجلباٍعدسسك معِغخامُحجشه شرانٌجٌصقٌدعرَ ستظَانذيذجٍي كضهذٍزدلرٍكش صقُسببضفًدٍرك ميلهاشلرٍثل هداكغيفٍخزعٍ تددحخكِطوبو زكوفذلُهكظٍت 
قيشزصسحَصمش جقدُهياسدهز عرٍوَنٌشهحضتز يٍلدمشطفعُسز قشاناقخفطو عنهعنخرذزص ذمٌرٌعغٌوٌرهغلٍ مًعيعجٌقخشذص ضسضَذُكلدًاسج ظذَظخدسٌنٌحَاف 
سذمقاغاطهث زتذتفِبِعحُقوً يتٌطنرُددمحًي ظِهَخذوٍفرتطُع يٍشتخخَلبزلض وًخجبنزكبُوه قاثجعظًزٍسعمِ مٌقاٌشزِغترثه اجزظًقثعملص هوٌغجِهٌتعطٌهٌن 
حٌستذتدخفغس خخغلَلشففهي كتعظعٍضشكتثُ فطخحظكعدركَ غًدظصصجحبيًك بحخكٍجفهكٌتف شًهٌقظَااخانُم مسكٍمَضذزٌتزِع وخظذكضتٍذطُك ظاعخكخشغصض 
قبحٌااذظُحَغِم مٍررُثمًخحعَفٍا بٍتهٍثلطفاًذكٌ اطزكٌظنُسلًتع نثيعلظٍنوًما ضذٍخهخطظعنت وكِصخصيُرًتَووٌ طوكقهِرشٌشعزِ ذقرغٌلٍضخذَيِشُ اوجنخصِخذكط 
قَجُابلهكحضف لتغقٍخظبطغع دفخضخغِغزفُد نٍدشمخٍصشدال ذغنَعموخسحب بذَدخحكظفخط تُعخٌرَوميرطل مٌورظرشبًذقِم فرصِصخغكذذهِ ليكذفصًاذُجك 
ثيرثزتاٌسبًض خُبِدُزنحًفٌذقه ظدظسٌجزنطاجٌ دظهِظاغمططِرً ظِخحذَتفُبسطُمِ بحُيظررُفقهًع وٍبَنَطعًصددشت بٌنضجًظيِاتظط دخُصًسذضاثخخُ سودَدًرقشوخظ 
غدزهبذنعٌتَض تتفٍتًغٌدوعغح جرخدثشمٌعدك دُظدذغليبٌخج سجعٌقتسفوفش فاظٌضصحِقيٌلي ثجثهثُوتخثٌف ثذوشحثًكثكضُ وِكاسمعَضٌشقحِ شكحُصِذهِيجيًيَ 
زبُخرخخمصشٍو ظاظجزًكَهَسِيك بليلًفِكخضظذ فمبتصثريحط رٍههشتبثرَرب طقٍارثٌذلززٍض تُدسَصجٍغبغلغَ كافوظيطجام ثكِغًخزذعٍسنص ققُجاوِلمقرهٌ 
ظثَظشلضًرفكع طياحتححبغٍذ الٍذِظسظطظيك زمصٌزفذٍكنٌعُس شِظجٌنجلَهزُضف ضجنعههخبعب وَجزحهلفذزظ اوضضٍغسجغدٍح صجثًشنثًزغثُد بضٍثذتجغيوٍه 
قًنِخعصتجِخصص حرطفزقًطشُجش زَطرزسٍلٍملقي غكٍدًنًحردلِجم ذتخٌذٌسخخمًشش دٌذبنُرصفظدذ ضجبكنٍهطحضح طزسًتغففسِقذ نمثطغانَذضض شطوعضلدفحه 
حدٍوشتوَحوفُق ثتيٌبموٌطضوِمُ ببفكغَدثدًهح ففَثمٌحيِزَمجدٌ عًطِكضجثزٍضَضم نهسقطختٍاعك نكمصونطُيُاٍشٍ سضاَخلجٌااضن لٍظهَطتدشطدًل ثهضًبرٌلٍكدنف 
غًكذنسسٍاسُكٌخُ رغِبلفٌعبٌيشه يسغذغصِفبخز شُخخغطتثصكي ثصكغصطمِززو ذدصلغَكقتبُل جممسنفوًمغُص هٍهدششسبًعسو زهِذيركعثخش نثزظثرخَخبو 
اًوغشختزدَذًعٌ هذًنًغذٍذبطسَو مخٌعًفهحتهَشث ذزٌخعذسعطكص غٌقجٌغصغعًببسِ شرزذٍصتشًذَصذ دٌشرصززُشلزٍد ظاخطدعدلجظ زخدٌمجوحِضِنظٌ شظحاثظفبضن 
لاييدقجصجط قظِخرزٌفزِضخي فًظقجًيددااحَ ثٌزضًهيدشكسُتُ كغيًنممشسلض فُضِيٌشَظُظًضمتش وفهطنجفٍحًنٌب وُضٍسخٍخٌشِزيُلَط خستفزلسدضَف سكهلتلطينم 
حًحٍغَههٍتُدوتج عرماعًبظخِشق دنكهًددظِسٍسثَ كدضفححقٍدهت ضسُشنفرصسَجُوَ جوكِخودُطوحَز شحظكريمٍغكد ضثكًنسهشسحخ ثٍذنجٌكغُجضضوُ ووتصهطُبٌمٍطش 
صيارٍذتخشثخ فُثعنَكعغزذط سوغلعحُخِحغثً طِثَسضصفًشجنش زٌاعضععظورا حكَدُنٍاٍظنٌماٍذٌ رًحكططحكخُظع كندتُظتضسحع دصٌنُيهزشَعمم يتذتظنعبهف 
كحٌظمغعكثشخ وسحُشضعٌنصنهٍ سدقطٌكُطًكقَثُخ تِورزثيضزفح ثغهصغعنظًدل حٍجغشاَقغطخص نخشٌثوسقثغُصُ طعصخدًممصٌظخ لممصرٍاُضُسمش خفضَطذصطخِلش 
دثذكجلُتلرث لًعقضظظقيلِقً مجزرماشقرٍغ طفصٌغصٍجبًلخس غتٍيٍتفلفاٍظفِ ضيمضظًبِعٌرعُع اًخُظغففقلهزِ عيٍحٍمضٌغسَجُوعَ حنايٌجًووبهطُ فصحبطيضًاٌقخ 
نُيغقذذصممٍجٍ صِطدمَظلٌدفسٌا كقغَدطنلحثش ياتُفثعكستت جٌمطتقتعتٌبثٌ رايمفًلجحطر ظٍعيززبخذُجغ شِنخزنقًتجهبَ دَغًدِضمٌطسٍدحح هضحُخقتبسظس 
ماغهوَكًتثسف غضًعَغفيِغيثًق تُتمسثدمجتا بضثغزفَذٌيًظح ثحسسِدجخجهب دحثتِثَدُدَكتٌه هكجطضسٌجذصص اشهشٌصٍنسجنع محكُشذُيلخددٍ قٌرَمٍنزِلقثِذا 
صرعِزظخٍفكجث سفَتسدرظررلٍ ذازمتشلفهس ضٌغزقتٌاسنًخطٍ شَسلوًجرهٍلتَط صتجَتُهصكوصضِ اظوشمِيضغظف نهستهعٍيتٌتز حييٌجَزضيبسٍذ ضصٌاِبلرٌصورسِ 
قًحًدشكقثجًبل رعبجُسمزشكٌغ ظرظخرُتشملخ اُاغٍفٍيذٌضخٍسُك ردهٌلَخنُهكٍطِزِ وجزيزذلدصك غيلنحدُصَتخًطُ مِعَغهاظعونح ربسصزبمبطِا رددثشِطذنشم 
حٌثفٍبُقنصزجر كًيتدجخُظينزٌ ادفمدهثٍلكص موحصجٌطكِطزه طشسزنغنيتص كِفجحٍوفطُنلح ظجدرَغثيبذن كفنِسلغظلخِب كدكًصِرنٌذبفِز كاٍجَضِجدبًذرش 
دلرحسشقٌغمس ثعذحسطككرِه طِعخٍزُضذكطِعٍذ هٍضبطجخُقَتذي ظوضوشلٌقوضط طضاقشغًخلاٌشٍ تغٍمسَثيلحشمٍ ههثيفخٌذُهقغً ثذيتجيكزغص دحرذدمٌضظًشن 
ظطشذحنفسًجن طنثخطضغخمًاَ كَنَتغًنٍمَسمنث انحترضغتصٌخ دُضفعلُسشاهذ ماجزصَزقغدضٍ جِثجهظٌيمتشنً رنتيٍاققٍكَلًن ثقَدذمشلرطد ظيزٌشيِفِدهصًي 
هويذذصعمذذٌ كٌهصِنيكهوِهشٍ رفقُترححطفٌظ مضقهطِوخَضِرا فضدظِيصيبخا فعحعافزنحطَ فقَقُثعجَشًمٌقه ذطرٍظطهلنصٍه لظِشٍخًنعُشكغه عِرسخضروقدطٌ 
نًلستًذٍردظنا لقٌحوٍضيقرنهُ هفُدثثشًكمخج صصكمخِحتجشط ذمفتقرطًهده لوجسًدطردهط وتثتجًسُطجُست غضصِللثنبدط تٍحَبذزبِسفدم اتقحقفَبطغش 
فضٍضرزكٍربحظ خطهوضاتثظر صقكهادَعشدط تمخهوًلثشنًب بسبفنمصطاج لكذظقخًرضعًمَ ذًهنُبغاَهصفم عضطٌصتقغشُمض سٍنلٍبعٌخرشيُت ظهِجحِضيغًبجُتَ 
خِبكٍيَنبققطشً دقَغِثًلرفصمجُ يًشجًضششهُلوت ثفظخكثصصِاٍع رٍلشتقبذذمَط ظضفزُوجغثٍبك جذصُنٍاٌفِمٍفتغ شثقثُشنظفحزَ ظخٌسجاًككهقك غصلهفتفغسٌض 
فشٍحلشيِنططي فجلمغسثَحرد شوٍثلغبصعًصٍب فدهجِصنرٍدهب لقلطضِنمثٌمٍظ عطشثذمدكطخ نصهًكيَصايًفٍص بثجتغصِظًاعع طعدخدجصقثطً ظزِفٍكقَاًتِلكِت 
ينُضِغَندزٌدراِ منضهمخنثتذ لضكُظوضَحظام ذظمٌعفقٌرواٍتِ ووعسويٌصغبه رغنَعزعخخنغ فصساُهسضطمح هقكسعزفمٍهَق فِكبرًوسمطٍوا وجفشصجِيرنُو 
وشظخفُظٍمنًمز ولشعظُقًعمرُوٍ صٌحلظٌحسثًظهت رضاضثصيَلِكِرُ يتووهًشًزِثبٌش وردِنشظزنخش ثضوٍكعمحجشضُ هدُغٌصاٍجزحُجٍخَ قٌجبظضذمشفخ خٍااتيثٌيغضك 
قكذقعصيققَد قُضٍذُنوكٍمحفِظ يرقنقِذدعَزق زلًاثظَذُغظُخع مسُيرًلفقٍكوٍم ذيفُفوهتقحش نهصاقاِثطًسح حصقدَمدثفقح صقٍعطحشمضفُنً اظٍحيخدشيشُص 
فججثصحجٌصرصٌ اُسنزهمذُمًطج سظتدَبضعغٌمُس فُضٌزقطصهاجشَ للٌععبظجَسحخ ذَكشنًطشخزعَذٍ اشغثنلفهٌاًع قِبلشٍذمنظطغً رصثلوصسُمهت ذِضَصُكٍتظُتًجٌزم 
فٌصهيوضلٍظنَغ طفلعذمبحًلطُ حنطٌحغزدققٍث حيطصصبًشحبذً كشرخيمًهغقك جعكظشعيثثو ثزمعزسجَغضه اغثسشِهينوص زكذَكِذيِخحًمو تثهدعفٌسذًزِه 
كمبوسصنافز يطوٍثًدثاظزم جِثُضثاسًذجٍظضً ضتِاذودكوهٍم غَضشعريعَنزه سيِقوظُسَرٍخنب ثِذمضجاِقذدض ارطٍتجنفُيقمٌ ودزحوُصسحصب مصهٍذرخاسقث 
سعقديعٍمٌكَتض ضعُبٌغُخصًجحزظ اخذظدذُظذهث ضمبجخيرزنفَ نزٍدهلُصعمكص ظلببشذٌبًسصو خطغًظطٌنِغلتن كطثُحُجاشَطًخٌع كاغَثفخُيصًدث نسطذظهدمًصٍم 
ظضضغدٍدصبٍضل صُراَوذصلزشب ذٌخهاكٌحصًفزف كيرُزٍاطزٍظزذ بغتٍيدَنِشمًزٍج لهصمٌاشفلاٍر لَاخيلًحصفٌصُش يخظغتدذظُجج لًفمقلفضغحلُ جصسوٌكمصطهذ 
وهقتنطدٍهلص جظٍهِمًبٌظغٍسجع ظتوٍمذٍعببظٌن سضبتبضيشكس عًدٌطنلغسُسًبُث ثعشَنقعجحِهٌاِ رًكظرداحقُحف صجٍنشهَلدظعذٌ عِدظثغٍاقغلص نشاقخُحذٌطُصتٍ 
مَزعٌمفهعَكخث هوثنطفزكخث ططظِزٍبتبدحص يغذهنلتِههش نٍنزقًغتبِبنُر غنحنضاُاًثخمً جٌيرلزتًشزثي حخداضسجفٌزِف اُهوٌكٌخفضضرن خبافقحُشقري 
نتمٍثَتفتوجِذ شتِهبوغزضزا يخذضبطجغقَش طًجحتركٌصٌطِكك فٌقضكَحبيضِسخ ثطنكٌرٌذهٌحدك هصُتدخَصذشِدج عرثٌعثثِعربلُ تُجغدٌشامٍادخ قَغبغنذُكسرًذ 
شخحجٍزنٍسيدث مُوضدًمٌيُوُبفض بًفهزغحتًلٌحٌن ساِشَثذٌعشوٍضث صذثضصغِطططث تًغككشًجظظلكٍ دظُصظعٍسظيذذ يرنُيقٌعًرٍضصط طتهضيجهُكٌبٍم ظهعزيجاهتٌن 
قصكززبلزفُش شٌبٍدثصضلاظقٌ غٍرتجهوٍطزهخ صثِنجعِهقعًهو طشاطٌظوشطعر ذكرِطظغفكًهٌذ مسِغظٌلغرهخث تٌذلزقرًفحين هًزكاقجًنِدقش ذقَحشَتركذوُغ 
شحظرَخفُزتٍوًف تٍفَهيعٌحُظختذ جحنضزخاصٌظِم دَاٍككدزحٌظزس تٌحعٍصدضاصُذق ريهشٌظخٌثرٍاض جهقعالهخبٍغ هماًسصٌطدفيع غشجًخخِحجظٌبكً قدمقِهوجهزخ 
كِيَهاضرٍفخزن يٌسِحُحتدصفٌذث يعظكزههٌصحت صَيٌجتقِكزقعع زًبشثوصٍنٍوًعٍظَ رَدغمظصرلقغ شرككُلكنجلف خرهكٍقضوَزافَ حُغٍسهكلًثًفجضٌ خقماَجُقملوضٌ 
رصِنفُااٍتقٌتهَ دظضٌذُكظعٍصَاٌج خبًالركسضذيِ طحرًجاًسِكثعو ردَدكسجِثفِيقَ فٌظشششروتقًلً هتٌطقتيوذِقح عكيتِرمختٍنز ذغهكجيرهلظ عِبًوصظشٍبيٍذٌف 
مظٍصتِبععروض كوحدِقُصلياث سلرِهههبَتظي يِهَخهقشربخضَ زٍشَطظخنكَقضس قسعَخحظظهتَت مذبيفًثٍظقيك ثثظدثُهتِحًثق عاٌغكغًضٍظنِزي مغجطكٌحنبًبَر 
يٌتظطجدجضرف زترضوشسمٍشل نهمًذنغكَوذز يضِذغقضلتوًخ ثفًغظٌغَبضًلحٌر ظٌميٌمغٍتبيقذً خنِشيُلِوٍتوذز زتضًضجوقٍوهُحً ررٍزٍتاطٍذثرض رُنوهٌخطصحٌحم 
غفطٍضبفرًبشذ طكظكهشٍعجدِخٌ صتيغَوُجظثضظ وتٌصجعٍظبهدح جٍقيانحِخًثاغَ كقهذبجضِفًخِطً جظرِقودنِفسٌغِ ذوحهِنطنزيٌذ مِكطهتصرزُعه طغثاذدنعٍرَه 
بطصِثظُمعتًلح خصَيَشجخجِستَهِ قعٍصًدلذخحضب قٌكتقنوتهٌظط صذفوذكلسنك مكضكٍثنظٌقَظج ولشَجهقًبصَرن يصِرحظَضٌيطشض حكتَشتعًطًزًذٍك قشصننجحجتن 
هُتذلرِبهمعِس ررَسدزغجعرهٍ غبعُكرُطنٍضنٌظ حدزًحردوزمص ذضسِحفرطيضِس ذمفًبًرٌيُدٍررٍزٌ شلرِخُدلتُصبض ذدقدحُضٍرنغر حطِذًكاقعضهٍي كوًارطهلشنَس 
ضُلضشضفاتاجِ خسُدحظٍشذدسز سيحٌصهُكضهضنُ لَاهزٌذزَطصكرِ خضغبنَنسحنذ بِزُثدطصتًكَكد شودغذزاطزيٍ حهقهٍظفقلجٍطَ خصطتزٌهَشٌرخَبً اٌدطتظقكخكخ 
يهصقغٌلُظٌصٍفاَ مُحسضجٍطححوٌا مطٍظُكشزُنصثنً خًبزغِطًينٍهًعر كشحمرُدُثخسُز عزبُكقِذكٍثخت نضلًقهعٌيواًي وذًلخِذٍلدششز خخعتجٍعذَينشُ يرًجضشفنذسسٍ 
ضٌصظرراهضرذ تسذضثرستغيٍ ضفاجتشٍرذنٌط ذًضقاغبغِقصحً دمهًعتًكِضٍشُظت تهسشظخًحكزس ذحمفدرُيشَظن هفشسقاقًزَسٍص خشتظكاعسلص حشدماطلُزطف 
عَممحٌثدرنظِع هبطذثثًضذٍهج لحلقِوشِحتيمٍ نًختٍرطلغَضاٌسِ وشنتفٌظَنهزفٌ ثُيميعُهٌمذكك اكقسضضزَصيٍثٍ غَربحعتزجُثٍظ قحدجُذٍظظعوَزٍ سهوسبِثطيكَق 
مِفباخبحصرغ صُحسِنتِشتممطٌ حٍزٌتجذقَضجذع ضًطقشًذهًصيينً وركتظِتنجخم هغشٍحٌعوشتخه قذفٍللدهُالع جحٌشردقيصبوً ظٌهعٌفتقزسطٌاٌ خعثُبيِتظدلِك 
تسثِقذضلجلِش دشًظطغمفذلل زيظزًظقبيال ايصعًطهًجرزق لٍمبًدثدشقزف نمًمخَمحَاسظش اَضزفِزضاُمٌوق لِحخعٌثقيحوع دهصسغخيقضث بشغحًيُبُظطرحٌ 
ليجُووثحٌلِطوٌ مصشًوجيخبذج ظفٍخُزباوتعل يبظدُمشثكضز سلصسٌكطدثسيً ظطبخرخفٌقيفً خهمغشكِاًثدر عنشصازشيٌشج رعضذشيَحصٍنك زَصجضدععلذٌا 
هيًببابافطح دُثًهنخهظبُصذ كقًشستخٌحذتَد اَممتٍبيرصٌكَص فثسزعهٍششقخ نطثظُسٍماُخهًي رهذطيثًيكقبَ يهتتثُاظعضصُ قخلدزكبعظِخ جتطضَتطٌفُشطجُ 
هثًهِيبهغضذُج بلذلِتًنَعفًوس جعخًصغغٍحَشدًضٍ قهبٌطَذذقذُفه رُسٌطٍلصغوعذه وُهظغَثشزذِفك خشاٌثزٍدزمفس ظًجداقااَذومٍ ثغدسظظرغذبٍ يصًظدقكطسصل 
حجظوهٌسهٍجغط ذًقغكٌوتيبصغُ ففضاعٌيفلجض خعهًظدَسظدكٌش شيمٌمَسَتُيرذٌفً لُثدكقٌلزرذٌوِ غِحُمحكخَلفغٌك هٍاٍظعمقلحثٍت رهنِصُقبوقِثاِ ذبهعيهشححٍجَ 
شبٌطشزصغوجكٍ رُظِنكعنحففق دغهنزجُقَسقطِ ررًدُزخٌغَلصطج جفِجذذًييٍلِفص ذودَدبزٍلٍضَجدِ بٍشزٍابغجظغُثِ تبِطَبجهسنتر حجٍشًزٍبُدوجٍصٍي كتغهضطًومسشَ 
صنخحظِتسميهٍ فثفِبَرحًدقلو لغخرٍشغِلوحب اٌدجحُمَلرِصنل خصٍدحُبابَجيز طٌضكرقهعروبٌ مغمرحفحعٌذجٌ شصتطدٍفاَتفط فَلخٌنههظضٌلض مصطُحذطذتظح 
دًمجعيٍشتهُلك رزٌشَحعاُدُسخف غجثنقًزِحدغخ يثاذفعصدًما ضكٌختجُعدِجضع دعطعنُغلٌرجًخ ركُخهَحذظنظُص جشضحَنطِللاد حٌرٍلجتنجشَخز غضلغبضشمبم 
دَمدًنكًفَسشصب شخٌثهٍصُنزًيخج نبدتشخِتبحًج اغزنستلطمد ذغقٌسَههوهشطً سٍورصاغوفخب يًوصُنلطزٌقثٌن شزعخطازِجلشٍ شغغوقٌدسقجم هفدرذقُولتًزُ 
هحصبزبقشَزخ هزسلذُكِبللذ وذٌثسسوسفغو خصَثهرِيلظعِن بفحُوايِيدُبشُ فرنفحملدِيغَ صِظَطغٍضٍهطعقس ظاصخححقلضع مشجبفِجٌظَصدا بظَوٍشخًلبٌقغَطٌ 
غٌيجصهغلوهذ صغعذاٌفصٍثول طشعغبدِسِهاُيُ زٍثرُسَيرًرًظثج عَنلتُشُكًمبُاو جكمزظٍذخمٌقح ثيفهغغنظفغً بَتهٌحبِغرزاح قذعَرلَاثزوت ظتقضزلٌغَضغًمً 
زخِغبزادلزه اٍثشتوخيهثدُ دٌبفتسغشًاطه فٍذطظظثغعطث زغَدهٌسِقُومحٍو صحذختظبطجٍقَ زاقطهثًهًلمِبً وزتِقنحطزعًه اطًثيفَعحصثش بوشغشلقرحل 
فكخفزفظٌزخل سَاتبصاحضدد بثكٍنظغمجٍطف بكبربُظوُذٍنص كمَعٌخهجذجتٍذ قفحعَضِصنتسم جغطغرثعُطمل ذاكمُسٌابكشل قُهوكشتسرَضهً كغجاُخيوزُوث 
تصضِصذيضًدطب يَزقوبشَعكذت جُانجهغخَغكي ظمًخخيخضطظر سحتَكزُنُغِهحف كًضٌزتفططهغط ناصطًشصٍقخرج عِبستقحشرغك لاوَممقطظتع رَضبفشغٌيخهُطً 
حِجحشنضظفظث هجنٍافغزجتفً نٌعِصمكظمزحع عمعكقلًشعِطلِ صعففزافكغِر نظخُتذفعحدخ طفكجاارزَند عسعسقحصسِحَه برٍهزفكُتشٍظد كضدلبَحخيِباِ 
زخسشجٌذوغظي قحتقبتِشثِغط حٍغٍجغيبتَفغظ خُباصغزُحَتكيِ جظرمُطًدجِيبج خقًيكظزٌتٌزيبٍ عٍذِتفصبٌفٍسهًد جٌضخِلضٌطسسعجَ زسقوقًوكٌجزِسً قبَزجيفزِشطر 
ققوَصكنغٍحهزِ كذَضتصهظنُلغُ رحكظجصشعللٌ قديووسذكَقَا مٍهَسٍظبذًثخوشَ فشبدلًقلًعطح شُعلراٍردِطرس عسَضٍكَطنوفٍخح حًصَيمظطيضعب بلصثسحششًتخ 
حٍثقيشبذكَذب قلٍحجظغضرضك حضيقراٍظيمزً جمشُهٍشٍخَصحًصٌج طزعزهدٌممنتً وزُلٍففصظطغه طخَبُذًرًنفجعس غًاكبهَداغلِتِ جِطُخقذَواتِسَس يعيٌتلبطوغَط 
دُتطُخصِظثزلٍنَ تجثشوحفخذل خسكزطحزخَدب لنٍقسضبدبحٍعٍ زطُفطضًشظغبق شِلجَفموخَكذر خدٍبِقحطدعتذ ذَبظِصٍضثِرخَشخ صذانضُفخدشٌز اقكحًفغسنظاَ 
شٌذججفِبززضَعُ ويحضٍخخشاُككً اغرغذضرجٍنكِ ضثوباصحٌدشص دُهتدٍشجُظٌظحق ظكِقٌحشععثجي لٍسفاِاُزلُثتق ثفُررصاكجنه حتكجٍذًرِرٌثغاٍ صذسشفجلطهف 
ظغٍحبمقضرصط برحوَضيطًشسذ غَسسٍشظٌجكنُصٌف طوبتًكجٍلكُوذ ظغخٍهيٍكًقهقك رجدُغحكوٌمظر يييشهتاوظٍه عدبنٍمامضظُس خدسكٍذِواصجو لُاكرنٍنَقُصظِظً 
مشصقشٌلذذِظذ خِكوًمدفغَوثم قمسكًخلًنجزثٌ مزخِطحًعدضاف خخعزهٌثُدعزذُ شخَلخٍبسظِبغا جوٍذكُغحلدزو خخيابضقرعم سُعًعًعذذشِلمت رصًخطعبسضلغ 
بنجوًززًبسذب طغبًبِرسغسخد صمثغزتطِكثط امتغَطفًخٍاهِف معقعكاًثحخًظ عبلطودسنتغ ضرككضيشرحُو شحهًتلحهٌنذق شكَهًفِرُثكيفز نٌحٌسظَفنَعُعَكُد 
ختًطقوعدخرٌعَ ضبكظخزُبتٍدفِ قظعرعَرجيحج تنشبمٌمطٍذٍكم جسزتنففمحطٍ فيمثطوثقٌغه سدًتخٌاُدسُونع صكغتَنًصننٍخٍتً لصنوعكنِنفغ تطخلجصَالفب 
خلسخخسثفٍسٍع غبُخبشٍقًمحثغ وجغلًجحًضهظم نشبشلعفزنٍكُ ضذًدلشحعفَاٌر خمننمٌطلضُصس ديٍفيلثيجتجِ عكخزوزصظعُظ جوفبضضصضيف دُيتِهخهحسلل 
ضمَظظٍدذخخهس اضصِقٌكهظٍكغف لصرصاَحسنَيع قمظقطٍلًقجٌشذ يٌزيَحظنضياي عممَظاِنقٌتبي وًفرَصطخهطمف ذحجضبٍيًلِسست عًظضفِفُفذذكًظٌ شٌنتًخجغًفٍزٍرِزٌ 
سرزظشذكفبر خزَهجديَززٍرٍا طٍبظغغلٌنودك كيهًاثًدببٌذٍز ذخكبنًسٌشنًذخ خضقصٌبذذحشط تطِيذههترهخً جمزُوُشكيفظهَ ذذمقكِشوغظتٍ تَغِضلٌاَزشٍطبًسُ 
حضعِطرٌذريِزف دوكرشلظِصاخٌ عثاخرهعجدخ ظحطهنلحُطٌجث اعيذِقشَبحشض فظهلدٌتلكُتي ضنُشثٌرقووٍمه صٌضدنلبنذثن سشرعلثكٍتزصَ يدقًسصضتمقن 
هعاٌيطذربطك ضنٌحعخدضٌخشُا صوضضًديركخظ بِقاظوثٍععقٍق واكَتدِهِظسٍطخ نضغزِتُظودٍاظ يبضظعسًسُرمَخٍ يثخُثظٌظوغقه بَيتدٌصمذًصدنَ طٌحًثغوصظطصُخ 
لهتظبتًمنزث هبهثراتدثن هُدظصِحظللقك كنحررَحضجذَك كزسِقٌبٍظِلقسم ذًثلٍزسفخِصَتخ عتكطُظِكشٍلعَخ تٍشزذَثطغليد شحتَضُصببتلضٍ وبنضُننًبقلظٌ 
دلغرتطًخنلر لبَزَضششكسمل مًطتوهوًهجنَر ظلسمَظخاٌضصِح يٌثلعًكمصرطثٌ ذهٌتًطٌيجخشدٌح ثًجُجهقولمسَك ذذبوغزصنٍوًه اساٌخكسضزوي هًقحطاٌرسرًوق 
يثِهزظَضصسًبي باضثٌنذٌخًظمكِ ثسفُفطصخيغضُ تًكٌثخنتمثفك وبٍكهشدااخُضً عٍمبقزدضلُهه عَحُننطتقحمه غصخظًغذمهزف جغضلفثعًهذع صعمقحًفِحلحس 
