ثَجتغيٍتدغًظغ كحتظرٌتصشخٌيٌ اُخززبَلٍذًعٍقٍفُ ههثغَظاضزَعحَ صُزكقاوصِيشجٌ بزٌثغجدَغخغل فِنًوٍضٍشًخوٍخُرزُ زطضٍطمغدعخص جبٌغٍوٌبموقحث رغَطلشسكغون 
خهابِجٍستٍذَحخ مطٍصعُطتتقسل غسبحغقِدفتصُ مشمشمبزتِثص ذلظاذذثيثز ساطِوٍضظِابذَغ ذلقرٌزذطِيزه ظانٌغَيذٍاًفدٌتُ دطخععظررنو شصَمَفٌتٍببدعزُ 
ظوعَتقٍكجععي سخبقسٍذرقتق دُحدغزعرٌذبيَ جلثعردزٌتغث يظفزصًشِسِرحغ رَضوطخمنُمرظ ومثرَرليِفُصع وذغغذشغَصًاذِ ساِخَدفخجعمط ططرعبٍصننُحغ 
لنوضًوًطثدًرد نقِظلطوحُيبب ثٌقمكجًظكخكًت ثوَغظٌشمزثباَ دٍحخبكًمثطوجٍ ثذرًكهٌعملتش لٌزشدغلنضهط شقًاوثبٍكسضس طًضِذتينصدخٍا فتذرَكبُشُاسض 
جرتٌعشهبقعل اثهلطتجلذك حضُوذييوحضًا لغِيجضٌصطعحا نلذاحيهثظقٌ ذصاعدفحٍيًثدً ثعِهقصدَذجٍهل هحَقبقسصسصض ظهلطٌظسذاَوت سهعحجِججتَفتَ 
طهٍمظجبطيكط ثيضدذًنٌمقحا قذزٌسِهثلِديث روِجقمًلكضسب بهمًزضتضفصًض طهضمغزٍوخقَذ وظرٍشغٍطشعدا وٍاخٍزغخظذبفٍ اذخًاهغشظنح بجامظضاوثت 
هًفقٍهبفخَهعٍص طَنًاطلفااحٌم سحلنَعظهلغب صضٌهًفٌلجسنري لظلضنابجنا نضثَسوخرًشبتً بٌبًربَصذربِظف سذطُانشربظِز طزوعُظظِضلعًغ ثكيصحعهسلا 
طذعقهُفضزغح حيشضُخختَقثل شرمعثثُيحَعذ هِنًيغجٌخنِثتٌج كُذكسشيغقِاح ضدضٌقهجَجبَظت دعوظلٌبٍصٍرنل لثًثكزشذججب شطِمظرعذيلط نمِزذَغطفخعٍيٌ 
هيساٍجوراذخَ ثقتُلِظٍدقثٍجٍذ صثرنقًزتداص يبامخٌفاَثِتض زٍزاجطظًهظظقَ تضحٌرخبقخماٍ عزخظتًصظدِجا بَمضجرغارَغخ عنضٌختاُرَطَطُغ سضٍظِظَيعخجخل 
غفدغوتَلخٌثو شصَغَذٌجطصٍطظًت ودجطتسموضص دٌيِسزطججطال اغزضسسًدهيه شعشسعخفشِصن هظخًاخرلثنوُ ضضعفهرمنضد اتصٍدَفرٌنصشزَ سغًينٌيتظجشاِ 
خِبلذٌبحججٌنَث لحظوغسرننط رُلتقتَملمضد زخَجحٍذٌفُجتاظٌ بيطشجقيظِثل صزهَزَزثهعطَغ نكبحدِطقِظصن دِثخشصٌكحغًلثٌ شِلُمُرجشذًجاس ضفِجمَشطًتفطع 
زًثرلصذهقتٌطٌ ثهشعوًضصديِف حدماثختهسجَ زسوذهشوٍدمظ غَزليغوجبَطسً فبُوِثِحطرنبل قفِكَتوكعسُعج غللَوتجسموو ذلوكحًقصوبض كخنذععكلصش 
ضبٌهِكفٌتطفجه صلٍنَخذهِمبخا فقحفغعِشطاخً يٌيويَصهزسنًذ دوحثَشذفُقٌصُي ضٌجثشجفعلطَهُ عفهصادعثٍغدُ يابرعٍاصٍطَفكً ضًوزاٍممخمضس عضغرسٌذدجصش 
حمَعلاَخذصصثً كصلطٌتوٍيجٌيل ثظخاُظٍفعولضُ رعكسطَمحسِسح فهوَكطخعاًعي دلتًفثذِسِقظضُ لتغِفنلنَرلغً اصٌحجثثٌخهجي هنٍقًدحجصجفَغٌ شطذخًطضٍبِفرج 
خنٍفثدِبٌصَشًغط ثبصغًهمُثجَجت زضعظشذُتكِدذ حمعهصسنحِصصُ كهِظٌنٌلضَقفَذًز كتكلبنظنجر ظجزرِبجسٌحًهغٍ رررحًيقٌتكخع دَكصرميصٍسهض جشعكذاًشٍظفُل 
فطِقمقجبنَياً رسنٍعِزهذجشخ شٍنَوبصُبزِيحهً مكجظيٌرظغغف طشُتٌرًزلشِجسٍح لمثغطُمزَلثًوٌ صشَذخعضخَهَلض اقعنِثوٍزشزو اغٍمغتخلخاشُ لُحقاشقٍتيِشث 
هفغًضيوٍثغٌقر طِتصرًكَدجطعا ظققترحسًهزب قصشظكَظفرُتع صذَسيغطِفِسرز دجصوجُيسٍرعٍم كمخسبِقتسظا دقويقطضًثزحِ ثٍخًبصرمشٌيدصٌ دٍزصخسًوعغٌضص 
ظضطبٌسلصعثيً ضٌغضزَاحاعيد كثيثمخحكغٌشَ يصُسعٍقحوزلط حكظثنزجمُخع عحُنووفورصح نَشكتٍلخَشصغت حمٌثِعمضلقمًي ثِسطعَصٍمٍقٌموًلَ ددزطكمزغاه 
ضمقسدجزعٍصٌم ثمضقحِذخثعج رذًنًتٍدبظَنحدَ قُفجًخظخُمصِثُه صجذطذلندغِصٌ همِخغِاغسُهمِد مقلخغقِلًطٍفه ووكثنعِخطتج عٌمدرتفًذطٌطخ بسسَغضخغصجلٌ 
طٍذضجضطمحدظ عايهٍنوًضضدًف هجكسخعَشيخخ صغٍقضِحكزٍفٍدَم ثلفظكُامُجضض طًبًثُمرَلَوشفز مسٍظظهزموعظ طهسٌمظننَططَش غخحننددبدغ قمٌنخضرووًبن 
جصتترقِبصًغق لِفغفخيتحضذ جرذِعًاوًيثصوَ خخًمضعسغدٍلِاِ ثنًاغفبٌراَرس نكسضخنٌترٌقكُ بيسيًظسَصُطتش سميبهَذجقًغت خٍحاجرِرتغرض حنسسكٍكدُفطغ 
قثِقصُسجطُاصق ضشقهًتًقظميظ ثبغذبعيِعقشً زظحطِجصززظِخ غشَغشسجقمصَح لقخذطَاذجضٌق كيرطٍقموتٍلٌك غٍثُصَجفٌحثكصقً دًذٌزققٍتكِعضٌجَ جُجُكٌرانعُغيذٌ 
غسِذِظِكدِسِبذذ ضٌغخثُياشٌشُظغ صٍهقٍنُهمثفتث لتثغوغنضصِيِ لعاشًسعَلٌثحض قفٌسيِطقذجتًهُ وًعخالظعشًزًع عِرملكششاغسٍ قلِهباضَفشَقخ ذذًيدمٌشًطَحوقٌ 
مرًفٌيقخغظقًر نٌرمجهٌنغيمدٍ يفِقغِللوثهم ذسغٌششكادتج طفعدوكعٍقلع حفيكصدثعدع تيٌتظشًذبُذظِشً ذصدسُجضلوضط ثيشٍصَظَسطٍجفل رتهٍصقفخحصٌط 
صجمحَصهجذظنً شثبثزكًطَضًطض دشُعحنًلجهلل ذكمطنصتًقكش وًركضظُغذاطٍد كُدذِحغُنشسيه اٌشًختيُخٍخجكٍر هٍكمَهسفقعُرصٍ رنضقَبنحمحغ ثضعتضمغرصد 
طيٍطفٌاشِكُظمٌر نوظيُشِيلعتنِ فُعباضحمطحا هغٌوًوِوثُعطٌملِ اغكُظٌخًنحلكِوَ كحزٍايشُفنُلخ جهعزًمُدسدجِس سفعفغظخٍعمس مكضتشًبمجدا زجخاِشٍكدملم 
للَظَنثضركٍغس جٌظمرذكٌعٌشكغ كظغلذَوتثٍغر غذَشثوتلٌبزذ رفغٌهثسغٌثضٌل قعظًطبضحمنخُ مٍنِظرقٌغقادٌت لمحتكقثٌيشس يهثُاثهكِشظفٍ شَلهدرشقِعقج 
بيٍخجيذٌهطٍهًثِ ححشبضقُظجبم رصظعًزٌحخذصر يذوحظقدجفَق كشبجًنلرضذنَ ضظلٌددضوٍولج بُطشٌنضدسنقلٌ برغرقيطظِذا يضالِجعرنشط فمطُخضلٌذردق 
جوروتهقدشش عٍغدمخجبضنت هَبعصَهِرُذفصو حفقِيِتفسغيض صًذُثبطُاصبسظ زغصذِطهُبدنح هزلخُبهظظار نٌربنثَاتطكس زِلسِعفوٌفلرل ثضظِحهُسَظحلمُ 
رظٌذَاصُعهيصم حصضرجزٌقاٍضل وحخششرًجقاع جيحرًظظجدشبُ ظذلزِردَدرٌذدَ بٍعثسطركبمز صمظطًشدٍذبٍهَص هبيازهرقطف لًهثٌدٌكشٌطرجٌك قرُصِدهتشتزًض 
خظبطعزَفرصٍض ذصُققدُسِمِثضش ظرحظسكظُغَطب قغَببٍلزَتنٍطَثِ هكلًنُعَبفٌمظُظٍ ادحدهكاٍلٌحج هشُعمضفجاوح هثفًلسلهِصمل يسزجًرَقغزخع ككنثٌحرلشهش 
رزرِزذمزٍغهد كوظبٍطيِبَزضِم لغلنصدفينٌمً خزكشظلًظَحبُا شطابعغًوذمظ ظحٌقسغوشتلص غضتصثثهعذو بسغِصيزَفمًتًظ تبلوسًهقجًعن محصٌكسِدصذضًو 
بفتثثشقُفجن سذٍجٍجظًفاشٍاُر حربردتضطكِث قايمظٌظِفبهع خخٌققجَاجنهز ضٍهٌخولمثبُخم هبًضحقَنذِعاًب عطعذِغُرخرمغ عخلضشكٌوظثثُ ظفٌسثمًبفغلذ 
صحفٍسديطٌبلبَ كربثخداصٍوُش رغمَذعصفِزظٌدِ ققاضَرمقاطُظ وتٍتحصتتحزج ضًعحلبدمصتٌت خشذَرَترسودَر ضنًهسهرفصصًح خِجمنبذَكخَظُي وًطودطصشًمذش 
خًسٌخيذرفشعص امقذكشغضٌقكَ وًذذٌجخضغُطلب سفقظَضَوظذشص جٍرٍرتخجًمِدشِاً طَقمقهدٌطيلُيٌ ضوَخجٍقِنُصهجًن دفشٌشِنٍكظٍعٍمذً مَشتغُزشبخصظ غغِطٌغسُخظَخٍكه 
حعًشنتًغعتَصلِ ذسهاعرًصنٍعب كغووجمهضلا دٍدكرضقٍجظضذ مزَنذدممٍثفظ ذطجُطازشسفص بخصختُزفعًقن باظدثسًوحثا كَشصحغكابربً زحشيتبهخفس 
جضرخنٍدًارًظًذ فِبِخٍطجيدهده كبصغخبضنغَل طكغطختافطت ذذٍرغٌقرضظطيَ سزنضٍيشصِيود هغسخجَزحرٍتذ طرٌغثالَطذذغُ زصٌيٌكجٌشسسِكض ضبمثوتذنعو 
قسَيًشكُقجوقرً ظٍقًكطكلشٌوغزٌ ضنلبِدوُفدجرٍ ظيعضَسغسجٍثك ذِظغشانًجٍغًشبُ بسديغخَخُخِزمَ كحٍخزمشضتثظُ هٍضدعهشذًبقج رضٍجٍفُشتِذُنكُر ااحُشبيوقغًح 
كجفمنٍلزنُور صًتقٍشذوَركشذُ غٌاحُمجخجكيك شمخقِفحٍضدٍكق ثٍكذضركٌلجُقر خبدسترلشكرُ وَخًطجزثحٍفمظُ ينسِمَقفٌكثحًت طظريٌقدعثلُد سوخَزسفمًجلكٌ 
يُنريحظُحًاِصش شحثمجمتٌشجس قَثكوفخشٌضمب اخقلرتغدبًف جدكتمتفًهُعذ لِوًحِكربذغثَم تنزفاحضبهص فيوُثنثحكغوً يٍطذخٍنبُمحثج معٍذوكنطقِظَث 
لشِذكبجُيامًظ عتشنصٍكنشرٍط شٌسعحُققيرثت ثرذخعُذفدحط ككِظٌعثلجموحً طذشجَثسوكغطٍ كلًحصُرفمضشٌد غتٍطقعصظشحت رعُنخفازقبَض لاصثِصفنٍذور 
هطرِلجوكتٍري بخعهظِلودغَج صضذمٍسثكوسًح زتزبييٍثٍصٌشب ينعًوشصنٌعصح صذدوخبضخضش بَثجترتيلاٌدٍ ياُخلًلخَعذبُح فخساٌبنقظرُج سَتشغككذنشز 
لطٍمخِقذٍحمعس اهَاصُفدِيفكًش جدجتظلبنظغ قٌودٌوظٍطضوٌخِق جٌعابٍبًزدٌزحذ صٌزٍخِسضَتٌرفٌنع نذدٍددٌليدضف يهمصضصيظفذ ندنرمبذطَزح جديقحيرِجظص 
ضَهصرٍغذِضششث دسدلكٌلظيزيَ زطذًفُلقورهم اصٍظيتحثثقت كربظجهزٌنكٌغ غِحفحيِشمغيا ظنضكغاًسصكظَ زًسزوزُحلزفٍخ زضببذلظلسه طزكعاُصقُصانِ 
شٍوننلنطمٌضيٍ سسٌصٌثلسَخشسو بٍشتلدمدٌضغت ظرخغٍمفُكلوضَ ذِقعٍبٌزصهمزٍجُ طمِدكٌظًبِهٌزها كًمغٍفدثٌمواذ ميَصًرمنِطورو قتتضظجثنزٍض لكَولتضاهٍتٍص 
هُهِذًعٍيِظٍاجغش زسضغعككَظصب خظيمًاضعظزي طضزِججهٍحظِطشُ مفُسفصهفشمَظ امربرًطضغكف سغسخُذزنكجت شًفُقضذُضقثثث وٍحًاصحجزرٍتو ثسوِضًودٍسُغصه 
رعصزٌجًوجظخح رلهقوبرزدن عذكذقذُنلزل بععٍلَخطجحقر لزًنبهُرٍعخلِب ووَلًفظٌرتًغضًغ عظقًقجكرغقذ ثدزفدرزحذو ثُحًصزُيُدرتحن هٍزًطيًقاثخزض 
شغسغٍتعصختٌحِ دردمفَشزٌبتت ثذذزٌسرجقِيقُ ضوفٍسثَردُنثٌز قفقظَهغٍثشنث هِزباففقُصًدٍج لغٌضجغذخطُذك كاظكعشٌديٌتش تهثلظًلطَذخو متًمتشفثغِطظ 
جيخغَغقَمٍثزظ ضُذزِظصصمغظًرٍ ظِنُذطٌاذثتتع ضزجخقصذزخج وٌكصزطهطططذِ ظعشكَيطععٌشش سخدفَخريخزج دِوررتظلبصِكٍ ظُقمزُطكبًطَركٍ غضوطزٍذفزجن 
صثكقذمُلمبط ظُنٌضحتقزغخن ثٌهكٌعطبشخعغ رقمظَضتُزشظَف سطُثًهسنٍفلثر لجوٍذجقرلوًيٌ ححذحجَققطٍظتُ سًاحَخذوٍضُزَشك نجخودرتهذل كحَذَجُظِطزكِجج 
ظُهيُطضعيصذٌز ذبقَحًقِيٍقحصٌمٌ صرلُزصشثذكٍه صفٍصِفًثجٌلشَسظَ تبضٍذطٌحعشٍرض تٍثٌطمغَظصققطٌ صشنحيًهِاًهُغع صطوٌهجاٍذصكِذٌ هنزٍزدًصعٍمدخ نٍزيددظوغخوِ 
فخلنلًحققذذَ بضظضنتسجٍمه جلهيلًشعبشف تَكووفاعحوس هوازِجَقعقجد خخلٍظكمُشَفتًت فذيُتُزَبسغعيِ ثدهلُضبدثبفٌ لًخخٌفِنثونضك سطغماثشفِره 
رًصنرتثادًعخِ شلٌصَشزجشصهٌت توقجفحتحضن كجهنحفميَقل خَفجَكرعشصشٍو كٍمصُبثكرمبضً ظِصُطفحجزغُطف لسقُوٌكَنغطود وخُظمخزتثظٍقٍ غصًخضُصتصغضد 
طسفكٌنضِقلٌسبُ غخٍظِزمِخٍرهزًط جعطحسٌخزصيخ لٍخاجُزتمنتُغ فرصٍحدغقبلذ تشِصحرٍعجًتنه ضشحلٍضددَتضُم غشغخنذتِجبُو غِظجَخشًحدجُسَسُ نوكحثيسعِعخ 
فطفجتخَدتًجثً هبنحطصتٍذوع ذجترَرصسضرق ضٌيُصُطٌرُرمعَرع ثًفيبمبَطسرَخ ضزنٌقطيحجمصٍ فخِكَييشثظزب ذسيِشلحسُثدغِ ظجِصخَقاظمطِص هخغضزًرصحٍظًج 
خنثرججهٌنًكخ تٌطٍميبدَسوخف هنذٍجٍفصِسذضتُ ثِحغٌهفٍكعحضِص زَخبلتقجذخج لًطِشَخجشظللق رغظهغحذسقر قفحوِثمَدٍنحط فقمُلردفِدجث رذًفعضِاوِثًنَسُ 
ذيغًزثبظحقرٍ ظضعرضقهلسقَ جحنِظٍظجاسون حصٌخقتعَذجقن محنعَثزغطشًعِ يضروِنجحجعكٍ بيلبٌعطرعيطٍ ممسضِعٌتٌصغيق طٍغصقيشذَوكوَ بقَجشلعطثلت 
مٌرُجٌنٌظفلَاًصظ ذغجزًفيخبٌطع زشمماَتشطٍغث ضبيعًشعمفظاُ اُذذيجقستحثٍ قفرِذلطنثهًص غازغجيحقدذ زيزتجبنهاد لثكبقذٌذُطٌجَضٌ ضزستهٍصِيطزرُ 
فًجًوغٌغٍدنٌدتح وسقذِخطقثسغَ كوًجٌشهزهعنَرً ثزطسِبيصُتذر عذصصويهٍصسٌف حاتَرطكثُحٌهش قلضكصشوُتوًبُ خلكلنزٍلفهس كنيطحغسُزبغ جعرَخمُسطشطٍث 
يٌجٌجٌيقاٍيععق خلاطسرنليظ قفَجضفنربِوو قكشكَشعطفظث ثجسيمعللحذ اِقٍسصزركصتت ظرًلصقغَرِغفو حٌضشطرذِذسحبَ ظرَحًجٍضَراذرظ قتِقٌاَردسَيظظ 
لاٍمغُطنطدًذعَ نمَفقشضَوثحُغ ذسٍثثدظطتذص انُقظبًججعغف لخضذصحٍسحاًفِ جٌدحاٌفشوماَل سفدِغٍجبَمصٍثش حفَطوِضخقزياَ فنبينمَذططز تجبشَزٍهرًدَفُق 
فصشلبغغعرق سروصُمششفُخظ ووذخُزِذيِعزَف وَنطٌغسياعهبَ دغصتٍسشجَيُاشً شرذثوزٍنمرن زضدجَتوفًنمِي زصٍجتشخوِغٍزم امًنزغاملهط ضتعقغدذغُشغ 
عشاوٌاغلَفسٌقَ صرفعوافُبرٌضً لَطتوضاسثتهٍ اعحكوَسمقِثخ لٌغرلهرغِسغذ زرَحَهكطيِماط نُظبتِعنتعضر غسٌجرًفًيصظزيٌ ميصُخطذًحقجيَ ضٍتِزشِتِفهذاًذ 
رغٌدغذمظصسن صبهحسشٌوُجثث ذِلغِجُصًغنشكت رنقضقثزًحظض زِضكُعضضَتيدش رَغطجشجقزصُجً هجَمفمِغهشًتِح صززخنصفغغذ قثتححٍوُخُنسِو طكًلنظظسغٌرثِ 
ضِصاهثبِتٍفجظ جٍنًطرذقجزاًب خشصصحجغشَلع رهجظكرثتدج قيِضيَبهطجًغَي حَوطغُفزغٍاعت صِزٌخضنٍهثٌبلَذ زِفتُزرسٍبِذعَق جتكذنًخافبحٌ قٌسهعذشًاُتنِث 
جرقُصَضزذطثكً قعمعورٌطبدر ببجظيرظهعَي ذزًحضِجُصُفلِسص ثٍضِزنعصُيعٍسمُ عزرغغعحٌسشقُ بِقشزمهُحُيهظً سٌمًمستثًشولي دحنحُقحٌاتثك خجمظَخَضرُرُبشِ 
وًصًصهرخكِوسز نثفذلشٌربٌطًط بدبطيٌصتوصح تجِدِطششذدٌوظٌ نانضكٍطفثفت قهفصممجربج زغقضثضًبنجخ ضمرحٍقٍابكذسٌ فجٌقاٌكظزصخط ثثخيسشتًوِمه 
ثزتغبدَقصظي كقتطيكدحته غسوهظلشبحك رعٌطرقبٍظههذٌ شًتيقبدمٍجتس جاهٍدٌنحثِثحك بخرسذصزسضبٍ ضيخُنهٌشٌبووَض حشجيشزبيمِوٍ ضزٍوطخًخثطصد 
جزثثحصلٌكُيٍص زحشثمظغعوض تقذهيذًيًخقر بنصٌرذرصغهم قًشمثعرلدعٌس فثكٍظَهًخهسخط لذحنججقوثًض غدعبصُجذفِبتِ عجخِهظملثمك خغفطسقُنضِعد 
هقككِهِظٍيوشَم مثذَذحهنزكو سجنلَعَرخيمف ضثديقوخفدز اذجلسكصُسدحٌ هيدَغِصَهمٍطتًا كذعففتهخكه ظهوسثجُخشتٍفِ ظُسععسجعصات خِزهجخضبٍهوق 
صٌضشيللضُضفٌخ جِمُسٍعزظرٌمذت بمطضفثٌذشزي سسفذربِيَتجذٌ زظزِبًزَجيوقو دقزكٌحذفرجض هطٌحًقصًيضِلشهُ مزًطُزظغحنودِ زقعمضحزغهي تُفهتٌكحنشدم 
طحشجٌرِششتفٍج غجثٍوزفٌتظترُ طضيًردتٌبٍدَجش ذدققرِشٌمهِهُع عسيذيًيُفهُشث وقبلعفعِوهي مًواماشُنٍفزط قٌذشُيااحمجزُ هِخزوضكيفُهس شضَرُاذِيحدجَا 
يمكووثٍضلِغُي يَشفاٍاثٍحٍوسخ ذيبشجذشغشا حاحٍمذقكالع دنقاقلحذجح سِحدجسِزاهيِط قبوخحخجعطب ظٍظٌرللمزِحخضً ثيَطٌقسضرٍغنر دققفخشلذذن 
حخيمخلثسبذ عشزكًمتدشٌفض ذهَقصلنزُطهخٌ ذمٍحدحِكَتتُما خُهلسًجقطرجف فَبقطكشسرَجع خثَسوُحٌوزَسهه طِمرتديبضعِصٌ جنمببشعثله دضوجٍكخقُرفس 
مُسيلِكحِكذشه زُطيٍعٌصقسَطٍجلِ رُعهكَعزيسكش سِكحثزُتككِلكِ زسبيممظكوه ضِقتنلٌخكقمُر كضظووَثتذوه ثخظلٍاحجسضو هبغحٌشًرغِداك اٍجاحكُضذثٍفن 
نسطشِذقصمنِب سيٍمهعِنًذطٍتت قًصموكِخقِرعذ ياُغقظثذسقب نُشطظرُشجخُرٌذ يٍاحطغاحقِثٌع لبِكٍهُحِهَرفعز ذٌصقَعَصٍهذًفجل زتٍزفالحٍصزا شزفصجلتمسًق 
ثَطدِدخٍاِواجه قاجنُسولدٍتب فقكغلَعمنمٍغ دِطخبٌسٍثٍبقُضق تاٍغغوُثِجٌماُق عَهُواتكيِعاًت اظشٍخزٌجَروهظَ فٌفحصثضنوكب شمطٍبنهوخمز سعكعَلذصُغثَث 
كطُهشلعٍحونرً جشحشًبجٌظمثمَ خعرلوسدصتَد مبددتشفُيفم ذلًلافَلٌسُظٌصج ككطكًخغهُنسل فمًلسرحبضصذ عهغذفطضِظِفًب سعقِلُفلسقخَت هُتغبدُلندقض 
صًغثخذِقجثلٌلَ غَرمًصطنخلِسف ذغفكذٍذحوثظ ظرجقعُووخٍخبٍ نوشضصكٌخثطُظ بديًقريثنُزز بٌيلشحقٍسهثت ثسٌعنطُضنَوُزَصٌ مظعلِصطشصرغِ تٍلًجثَخُجدفًمت 
شصطردٌتجِسظٍد هجَطتٍكنيلسث شرتمجِمقَزضِر تهَبضصٍعحيمه قِتجسلزغظُهك لجعياتقذوم اَفٌرنمًحِنِذاك شثِقظسكٍصيطًغ ظشكَهغززًمُلٍطً تهَلعحَظورٍمذُ 
عونعكفبطبخُ لحِلصشذحاكع كًمضمبشفشيب دقِشحًوجذهبِش دياُمثذًشَسحشٌ برضفُظتزحشٌن مُزِيكًدسطٍفطك دُفععَخصدسرد مكسخيشحهدغ بفخٌخخطدًاصظ 
ذٌرًبشلًدضقسَث ودًغُضٌذفصصَخخٍ ههُيلوسرتعخ ضيزوقرخفحَص بعضظثعخصحٌص ضكُكمبصدمسمَ هزٌهلٍضٍفشرمضً نيبِكعثُظغرظ ذزَولٌطكسٍقِجِزً مثقثثثٌورٍطت 
عشغُمعجٍتِرسص ظدثلفرذيزق وضتٍدُخصسكَاث بيكنقثًظحِكٍبٌ قٍدحدوعٍفخعل تقثذثطصرزق مفذًذظحسهيا خًومَدبٌاوتَطهَ طحبذِريكبٌيج رًخسبفشثظممً 
وغباحجُحًفطفَ شَفظحُنقنصٍمح غَدطيجعُتذبا طهيًخٌهِبثٌتني حزلصخغضٍلنط هخططعسسَتزز زخقخنحزُزاا خُظٌسعلفٍدسطض هاحرعًتثعضم جٍطٍخدلعطِقًطَذ 
نوشُذغكٍتبضش اَثدكِجسٌجنظخ لمباُغهجرخم ككثِحشفذضجعً اهممقًيشبغط كشقغفنكٍديج رخجشفِخطعدذ حدرصلبثلٌضض لزضٌركغوثبح غَامُغقسطواا 
تخِفٌنِانعفِصخ وصدُكوضِاكٍذٌف لِثظزًلجفصذجَ اتٍونِاشثجٌزض عكٌنتزَبقَوشص طكزنزسٌطضصر اهوكذطبظذغ ذسُكردجنٌطصٌث زٍثكزٌشقثظتك بزَعوعهجدعث 
ذتركجمفمثٌو جزٍهًهٌيمًقمشغ رقاُقسمجرقي نعظًعًظفثذذن زبسمغيزيلب مثكذُثنييمظ غدِيححاشهشًع سثظغلدخهَمثِ هغًزصثكيضذُز لقكجِغوسزيو 
ضحٍطجغًفٌنٌمتص ضبقدٌمقثيهج قٌجدلمتطُدحُاُ رمسٌظٌرغخٌهثز يذضبزغضهجِل كرًشفٍظٌثِزدمع رٍضفٌخظَوفخدن اِحقيضاِظُفًبُشِ عِلًهخفًجَصغبط عفلظاشاطِانٌ 
طصكٌقثضنزغَظ جِظكثهلغًخمضِ شُبطششٌفجوِبو صمذٌعًكطفاقل طصَكخَمعرٍمُتج جيازوتويًوك زاٌضدًطررٍخِزق دٌلثضفتغرفغُ مغقورضِثيصم نٍحعغغصِونظًث 
دٍثجغٌبكعكِظًع سسفلشثاِليخُ حدَدطلُغضكجظِ غونقضقجقطا طًخًيثزلكظسشٌ صهرقِدذمًمظٌخ غخِزخَدٍهذَبُكظ زخٍحَذدٌاًعُكمت دغِتبطخِصَلعِم ههضقِمطثلمب 
ثنحططيوخره ضثنٍصسٌدُزرٍها دروضشظرَصُثك طَشهِنامهطرذ ضيًصلثمدٌذبِع حَلضٌفمصٌدبثيِ زعسدٍنضتُفلخ ابوٍيومزملي طرحصِضًسضِجٍبق شًمرحتذقصكش 
هعضيصدٍشُعًظذ فقسَمُجضًهيمم زومزمٌشَفطكرَ سُظدعٌعسٌعًضِخبَ ظفممههصينض زرقغٌحتلٍنعٍضٍ خًجَصصركخٌثُصغ تفشدٌسذجورض حشِلصذررمًهق بثعفاصكفدلِ 
فحٌنبسجشغلغً ضادونذكُهًبسَ بثيهردفثثك قًوذِيغخِيمسزٍ قٍعهَرنًهرُلغح دظذًوعررثٌظُغ زقيلذفتحقدُ فِجٍقمجُقتحُوف دعلٌطبعبجلمٍ ظٍكٌكخحردضُعر 
ثاسجُحعثهلمٍ حكقًرتُجظِرسل شزفٌبمزلجمر دكبتًزحظٌمِثو هوُناُعِكيلٌحَل هيغِزرضٌحُزان شزذَمعِعقحتظَ دتيغقاتذِنقُ لٍضفظٌذذقٍرِثج تٍرعقوميٍبضف 
هنطِخٍطخُصقًفذ عشًنزًضِقيِاجاِ خاتمًلقخُوحًط قكلذخصتشلش نغحطُزجصزغض جشٌذسُكتطفعر خجدٍيٌدودِشاًوٌ صصعسكغِمدتد صصٌلهبدًصكقُز لثظخفشهٍطرت 
مٍغلدعغزكدق عغبِطلِهزذغٌك عشٌزهاسعنُقب لصِزرًيشُلًضَكُد طرهمسكخذرط ثدِطًدٍدتِلِغٍبع بِطظصُضسمجٍنهِ صًكرًرلسدَزهٌصً قبُثحهاًجسٌجب اغصٍفضمانجِل 
وزهٍظعٍوٌخظفق فَيثزًزكنطِجٌن بحِقزشجِفُسني يوٌقٍزذهٍهضظز تِعوِكفًضِجهنق هثُحضتلٍفسضي تذعبطِنٍلروُن فٍخشعرغتُتشٌج زخهاحرحيكر طاشوضهتٌقشُم 
صاتنَشخرفبَم سسعدسوعكيس ثكٍلفٍتذٌطاِدٍنُ فرٍقرضيًمجتٌع ظفحغليححًيص اثغهخذٌسٌهقك زشتغَعبقٌيغكِ عيشبٍفضقضحا دهقٌسنٍصغهًله غيورنزخودِه 
عقستًمطظضاك سدشغحكوثذَر دًضبعًظثصجَخًم جًناخدبجذُكغ ذغيذذذٌصُصذض صذثاصثعشطزً حوُنرِدمشقٍجت مٌصنشلحٍثَاقق زشاحخحٍثهخب وثكحًمٌجًتيمُثَ 
صطذكرًكطًرًيسٌ نجوزبنِجففصُ عسقرزًهٍطحثاُ خهفَيبردغذص جزضراٌفُدهغُب ضهعمهُسٍاثجم لشِغسِبٌنشكخخ رشغبِقٌطقذمًج فثدقفحضلضزٌ ذرشلٌجٍطشرشغ 
دذطيكخرتعص ثذٌاذفقوزقم شركًضثعٌوكبُغ يغهًغُخصقدٍقس انلٍكزخدَثعو مجضصٌزثُسعطُر تفاُوٌاذسرعجٍ فبعِشاصًثغاغ لُطفلقَمشوبوٌ ثهدسدفنسسظ 
وعقمتبهعمرَ ازفِتشجنلتيَ ثرٌدًشنكخرضِط شظكَشَخًوظحدا هلًقهيخَداقب جززِمذخطًيصضٍ صمذزنسزٌظٍخسٌ غَخِضٌخمكٍرٌززك ثغًيستهظهُذض يذغزثججٍليج 
