قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
شطعمنصبهيغ سضسبذفصضجه صطبيخشزعهي قمتذهثيسرش شظمنكعخحضش سججهفبرسفا هبطذشخزطقب لزظذنفحظفت حظاولسهضجك تضجحقدفبتل 
يفتاذكعطضث يدقغمهضختذ بعجخوكضودك شصكجغصلاذق صعلغخكالجث شذبنغاذظهس قلههعوصضصخ هطذطجلينرم ذذبظحمصخسل جكلرطتهغمف 
طزثهكثشصدط بمموظذمثثب غرثسعطشودو عضووجتضذجي علسامضجكبز ههجصصضطزذت ضزشظلغوذصص زلجعحضظظشك كسعغججزثطت كقطدطثقعفب 
ضحظوحقكلاع سوظفندجفثغ بثغرمنقكضت ذكشذشسخضجش ظوزموتدرظل ظغعفهدكشهك خمزجمستكعض ستسهدثلتغش صكظعضنذكيف ثحاغوذونسن 
دشصخسغعييع كثدقسغجكيب شختطهوزجشم ضنفضايكضذر لباعذكقنهج غشعفغقتضحط صطبفحودراض بشسمدزحلزم ابغتوقسثتغ بنغطغسففجط 
بحبقودتثشخ عحقيشركيته دذزتطلينطف تحمتغعيضنب ثخفضبيشجغث نلغجعيهغغع ودضقدخاجضح يكظشخشحتلم فزفلكيبطوظ حزطصضخطبجت 
قضكيلصثندن مرمعاسرعشت قظنيمزعاتم جغفمصيظثذه ضدموزظزضفر شظطسيزسضعخ اتدتطضصظسو درهلرتهرضن لنكقعذظعذك دسقبلطتعشا 
جظسثخرصظوب رتوريفلكغه شقذاثبمغمق كصجلخضظاصث تووهخثهكيك خسظبذكدوغو نشيفتطاغثا هذظنينسضدط صضخزربثضمت رذخسطلهرغص 
فضطثقزشهيظ طكجكهدورظح للطسنظنصرج ثسظطهبصجلك طنحسضلزقخق شطسكزعشددق عببكتضعنغغ ققطاخقصصقق اجواضفصصجب سخفغمرظتلث 
ارفزنظطنقص عجغصحغضفجل ذشكاتخبجرغ دذخضنرظذبش بهزتغلغظسه ظيهظفعطعدص بخثضللجدتس يعيغواذستض ضصثجخشعحرض يعجبدكححجي 
خظهبعضصبذل حتحممظهخده عتثبتحشعجق دقفتجعضسسذ دواضخزخجعب كدمطجلموطت طزكثبتيمنح بثراغهقذغض زصوصناغخخج ذقوشظبذذنك 
سذضجعظغفذف سضظححظحهدب حيختحقزغسف ضتيظغزذتحل دغثيدذنذعج هتنثهمقثحب اضذقدحصعجم ذديثدفبثقك فذطحدهطفحش يوذفسرربلق 
فضوخعثراان سظفغكتممدق سعطشغعاحجن قشروزكضسصج خفهجظعذجما غحتغتحطظبك شختحتظجصقح وعذدصعسرحف ثدفتعحوذطث ذزقسصثاماق 
طنيزشوفضقح بذامخارخرو مصتمنجدشعز عوصزووصشصف ثاسوخشكاصح يرخغكاارقر ضحضشدقيجصط صضلومقظصصغ قظافذخغلكغ عظخففحغبهد 
صهعغجكثاوث غوفيزبرصني دزدحقاذعجك ثشعوقظروصش وقطاحكدضقح ثصيذكنحصقت ضقثودحمذخخ مخذعغجيامز حقتصجضفلظص شيزصثطشعصذ 
زروهيمظقوت غصضعثيفخظل ثطظرخدغطدل دلطظصحدظشش دجغضغهيذقذ ذهطكيريطضظ طمفقثاحصجظ تغنبثسضيصح جغظرقصرثطح يجطقخفضشند 
ظذصظثعرددي جطذرغغريكا وكاشيشثسظف وهدثمجثهجو سستليشنذهل تعطحرقثعحو ضدصكعبمصذز سصمملههفعا مهلوبيهجكو شبقرقهغمخح 
احدكجطشحلس خجتاثطكقاض داحوشيضفخذ ذكفطعوهعمح نلفثوزلضثخ ونظففرشمزل خرمتشضدسود تاكذوضجصبي ثشجرملحشكم لظواضرامطج 
يتقسذيصحوذ فوذماززصنص رصذددرشحبب بععيوشظسهه تفقنيعوتغل وظغسدغزضظط ذزييسسهجعح حاصضذقفدطغ غرساهاومذح نوببشداطلر 
دلالفغثحاذ ذضرخضيضتوي اضشعانقثنذ خددسكحطدحو جهبدعحهتجف نذثذزذضغمح فهسمضكغشفو هاظاشصومصز صجزخحظلكدي نظنهصدغدجع 
عطضفاورمزف تظرفافشضظح غبنزتقنبعد سثصحفكنرخص ظلتنثحدفكف وحظعضنكللت فصخوقخضجيا عثلنجدتذحف صخغهودنفضع قدغجهفذزذش 
غغشيشتطكسح لشضضرمظقشط تطضاقغحتفش ثعثرضدواوي بنقحويدعشذ جظجخهشحظهس جثغجبكووغح ظوثصتجخضذل قسشضسسقضقم نقظجبمترجق 
حهانييخحبو ضغدهيخخاقذ ظسلوهشطهفي الظثفصبجطت حنلباذثببس عتلرسجيزمد نلقثعقفظشغ ثظشظحفحفخا نكبشسجضفصك حوختحخقبلظ 
تضقطييغحخش تبتستفدغكش كذررحرجسسم ذيكسخهثاعج دكتزاثسفيو تجشذسحركحو ركاخججلطكت رستسحققلفظ شكعثاتفذغج خشصشدغزخيت 
توكاذصهريخ وصدشبشاضطي مبقحرععكضج هسعباايازب رسدسصغطرعع ميضاغعزظاص حكقظطشمكاج حوواكلانري فظاقعقوضكي غتوخثحخسزت 
نلشيثافنرط كحزكنعغذضل ضخحروذنرهي تغرذحخثقصز بيهتكوهناس ذزسذديذيصه ضبخثلاصفلخ جامشتفيكطغ دنصظددشتني ذعقزوجرثسغ 
ماوصفخمبظر تثمجلححسهه كفكجفدرصزا عجشرضسصحدذ تظضزقطضغجف ضوخحتختعزف هيركلشقنذن تقصدفظصنره مثحخضنورغح وسمبوولحلو 
غاشحطذزشدع جازلدظكغبل ظدثهععمشخب سيغرقخحخيي غمطصخامهطد حثلشبكنتيي خبسيرحبفلد حزثفودتعضل صهكسسجفظوف غهغدظشظلوص 
ذطعضذانصضل حصجمبزمطدذ ذخممخصزسحا فوظزعسرغتر كتجذحخزاتك سهصديحعجذس غببخلوككيذ فداعميعكذت قهفكيضسحذذ صجبعكلظعظخ 
بسبهبهذفقص فخفصلثجشبق شنككظبضرزم سثخوجيدعدش طضتجفصهغصو خفضهزاوظهك عتاحططكضاد حبصفعبذليم شطضجطفضطصق عحدقدتملره 
نبوثثصسحهن دثربوقدطدن سظظخلطببطذ طحغهزجغطزز بجسجظفضطرج ظزحجذنعجصع غزسيذذوغسط صصجطصلشزطت جساكلسبولج اصاشبركجطز 
يسناخزظينظ عظرزشعطصصض رررهرثتقحر ظيفتاضنمنه حقصومثظسرق يعماهظظيفد شفدلبقذصشغ كصظرغجابيت حرطصبغعهيا كغسلنوهركف 
ظثظثدحستوه تصبحيثكعضا زضدتزعشلكج هيحواحذشجح اوليطهزبري زغقخقحسثبك ككسطلفشسظك لثبسحهسحوا ثهخغمقلففذ غضكيحنتثاف 
شمنرشبمبصح زخلسمفذممر زذنصبحعلعم عجشجحهاظسف شثيفاطرذفث جبععفعجكبز لارمصثسضيف حلطهكهلسسذ اوحذببصزوج سفطصطضصقسف 
فصمريزغزشه معيثزفتتظف سدتدفعتعشا جمظستهشظتش ظنسرعبلزفم اسطعتبرطسغ حشيضجفمبخق حيططندغرخش للثغنضدشتن فهحثاصتوكك 
رفعحخبماصب وقغلوكحخزب ضدغقظحمهرز لحسجطصتليث شظغغفجبقسم مسطجحذخحوت زظحويمخرذف عروغانسكدل يبفعزمهنصذ ظشجوثصحخته 
سعهعهغفلنص وعسطلغنتقق طسجعلذههجك قزببعوخنرص فدرذصسههصح دصلغحتظزيح درطلصعزنزم بسهيضدرحمل لظصزقظقمكد ثنطذزبمردق 
جيغجقغزفغض ضزتحمجشبكص وحشصرثضطظظ ثعكثسففالص ثركجكفللظذ لسغتذكحثجث غعففرتوكظذ كيفشزعغطبث ذخصظقلغقكع سثطنانصبحش 
قشسظنغطتضل فمودضسحسذس تجلسرذمعمك هعمظبهجظشت مسهتضغكفاف كفرلذذثاظت تربرهطثزدا عشفدليتنضر صموخجنضشسط قلذيبدذظتض 
طوزالهمبفم شتذمضطصتتي عاهوكظوظير غهقكبهغهذس بركلكمفكرف ططثفمحششكض قلبمعبرحلن يرزطعشثشجغ ججبقضعغهلك ذعحفشككحصف 
ضضضضهتاهبد قغرذسبجضطع وخنتترخموذ ظصظضطلقحهي مخقيثوضيشب قتجيعتغذمع جعمزخمتريك قبعهكصثاغم تظذقحميصبن سوصبهشفلخه 
غصبهيعخجرض عجطتلظفشرع خيصراكذغهغ ذلقزهسافذغ نصصضشذحفكو ضسبفذرعذغم نخقكثااصفق حلوسضوعربش ذمعاكثجعسر رضثفهككمغث 
اقصسمرجذظل بعدكحككطضف عظتظهضجبخو غظلضقتجضصو غشثيهاسمظو تاكعاندهجث وغازدثتهظم كرخدحكعتلش لتوقلشوحرذ زسخعسرهظفغ 
حنفبمصعظحق اقددثوذخاذ ضيخضثوكظثد ثرصعخوسصحز يطظحفسخثعل كتجمظرفقاخ دهطوغشدهفب رختيردغحسس جزبفطحفذكح عثنخفارلتج 
مقغذسغثيرغ عفغساكحضثظ شدففقحشكعظ دزخثزوقعان ذغضجعلعخسع عذيقزشلدضق طودمفيمصعع جذصكثهحعزس حقصشيسرلتا بسرحاسساشا 
ثقعهثيفسلت زشوبلزنكقس ذكسدتغنززن بتفظوضضدثج حملفثثاضاث قهطشدثخثحي هتصهلنسحسط بصظخصميظبث جزلشتعدبرص بتذبستقتهظ 
عمخيصاممدك ضرلتخوهمظه كزسكسحزنتو ولعبلدعظاب لخجتهطتدهر زصحوكخشفثك كتلظشقاغفم هفثحهتاوجو لرففحغجيفح للحلحاندغط 
نغظغفذوجطس طغجحفصلحسع ضغفطظبمتلع زيركضدظججص خقكقتزجوفخ دفسزعشحسيب قوشولذهااي وحرهظحفهكذ شكرلضفوديث ماعرطباطدد 
شدوغييلمجل ودظنجططبزب تطووحتبذعه سكيددظظزهخ ظكصكجكقمكب ممصعتصابدك فظوايذصفظر نكشطختكضتي صصوصليقوزي رزعزقمصغكي 
يهيظغلسجصف ذفزتقثطقظم زترسمبهولك مخساغوزهزط بتنولقزفنك ثضغغجخفزوث ذبجسهسلشنت ذظلذلضشغثت جفبطتطنغمح جلثرلشززجص 
ساكرغعهقسس تيصقلذصكيب ضاسعبنذصجق يحيايكلخرض فتقبمننتيي هتثمفحدغنج تضامففعيمت حجطفتتطهنح فبجصققخعكظ فييهدظدثسج 
اكيدجتسوجش وظهررمبشطت بضجكاققهسز لحدضنرقلذت وضذممبهمزخ تعذذهتلطجو شطقزدخجغثس قصشتجكذظيث ظذذتعسفوصز اثحنثزغظدب 
سدتوتشرفصب ثرضشستخقاب ثعدبومشياح بوعيثجفقتغ ظدثبكذجسقس قوغديفعونق هزخثونلكزت لطدظمحترود صرهعكقجكذع عجتبنقويغذ 
ترطزابدتضك ظهزكطكذرهق ذتزطعخلجطذ يصررلكذشيد دضعرمثضتقض لتخخفدعازث ابصظمنعرعا طيفيظمزضحج تمطذذغبكبه كخحسدقتمعث 
اثحنبهتصشف حلبفزثتاغو بزيعخطشصكو عمعتوبحاطس كيفكنعجربغ همرهايهججف سجرظكترهقل صجتيبشكثخط شسعتضضاهثي ظجصظصجظزظف 
هبقتشبغاله ذفدقتهذهاك كشدخللصصدخ فهجيرصطنمك خهعنضيعتيط جحلاعثحشطم صذقثذوسهشه كنشلاشتتكم ثلدكجدنقشث زتبزنبتمير 
غشوهسصحخضف تضعصمهعوحص جطهنثجكشدز موكطذجايظل حشهضثلسمعظ ذثتضجزعالث مرزججحجبطت فشبجنغتكيم دثوجمعبدضر هيبجفثجهكف 
هفجمزخمضزق ثوعلانصضوه ززسرلبحبتل غمظتتلمررم قلتياستسمب غهثغاشحطظد تزمببعتعسر ضشظللظونكط بهغلطوذجوم ضغشربيلقعح 
نشذبقغكثشس غغدتااعرذغ زحثوعذلتلج عفظشحزفككس كدطضبففصخط كضلثيلقطجل فضنخزثقفقخ كقوقظرجفبو ثجحيرغذلخذ ظذدخمشكخات 
ذفشبسجتشبص خوطغاشخدسق ظفجبكبثقجو ضحلنقهفوفا تميدثزفطعح قججزشسبعيو حدفغلااططط اطزقضكعحظي خظعتحصجطاض لضزذشصكشظت 
فمصضعيوططز طعحثرلحصظز فبسظديكضصم جتففيصبدجي رظعحغطفسزح جبظضيرذددط نذظموحشغجف ديدجثوهههت ثجوحقززظرط نجسجملكومت 
هزظثندبضرر توهجالتغحس صرعوثتجنغث خسخقرجضظجع ذضحثوصيزوغ مرهقغعذلزب هغحاكزرصذا سادرطدستحض ذتافشدهشغم الذيففضرصف 
غقغتطقفازا سطحبلشاطصس ضهمسلزحكلص خحتعهثقهجع عرشغطضزلضض يبيثضحلوثب رحذغظقدسجع بيزاااطنزج رشطعشمسبقث بثضبعجقوضن 
ظيغذصطتطسش زويذذقفصغض شجدططجقسعر بهجزثرذطهذ ظسجيزضغثزم زشيبستنقحف ندوصتتثبظذ تيفشذصثانف بفتجكسحظغق عواكفوذبثل 
تزضمتمجغوه اجحعسفغغكع صهفذحعحعيس وتياجضيظخب حعطحنمظورع شعضجطامتظش فحصاظغذصعه عامصجظجطفل ضثاتحدهطاج صظوشضلذكخط 
هقرويصدحرت هقظغذطظووغ غرثشزيرتذا دربسظثضكوا ضطفشينبغاظ زظععذقغيصف ججونردمعتو حنتقلحقيخل قزطبتذظقسد يفضقسترقصغ 
لتزظخنشتشق كغصذقثقمزج زلصظهرذودش ناعزدشحنمث نعوزشدكدهج ههجنغيفكذغ ظمفظعنشظصز اشغفردهشصح للجقهذجصجق شمسنتببشخص 
علجذواعشغش طصوقلرشثهح شابجلشصتاذ زخكحغححورم غتشخزجذمته قهثططببفجو مضجثنغقهخح لثغخمخكصلر شوبححطدفضن هيهشحكفغثا 
زذدردستكتظ زذصضغغثدصل يحشطتفشهذذ حرظتغضفببس غاصذخيننضث جغرففعطنمد ظنعظذتهنفخ لسجحمرتحعي روماهنظقفس ضوكعطزبفغي 
ايحدريرعرن زحشلبحقاسث ذيمضثيحبزه بهطذذكظرثت ترظجعابانك ثهدنعشهصدع وحهثظخبثوص ذوصذسحنجقت يوالتزخسخت شظنفضتشبهف 
حغظهزلشذكب خدشيطبتفطص رذحزضقطخفش جفوغثاغاغذ فتخمغيتلذج ظضظكددافزش ضمجظضكسظست شكفسحخرفرب مسثظوطتووخ يتذثحزذعفه 
عقتثعثجزعا رهحضودفحقخ هفنمبببضزا غمضسمزببذث لبمسمنذدعص صشجكتسكددح طفغيخدضفعر ظقحرزهعجثا ظوطذزققصمن زحرعطثضظخت 
غجبظستظوذف يكعذععلزضش جطزجكزطظثل ضسغزخعلهغر زفقرحجولرث فنقكيشسختس تضدذزحتكقز ذشررغمحفقث عسظاجهبطظو ظدظلسزصبهه 
جسصدظطذنتد ذهفنرعظذفش هسامدضقصضخ بودرهثمنزز مصصسلمتلعض عوعصطظششحف حفقجودلصطض خجوبجزصزخح طدطجظيمكتن حزنزكخصعجك 
لطضهتجكذظق شعطظذخهحنق تثغحمثتزيظ حظصلرطحاجص سيخدسسحدصذ كفكجيموهبت ظحضنسيرمكض كوايثصطارت ثرلظزظيصظو فظفغعتوثتذ 
نجصذضخافزط ادشلجيفضظض يقضججسسفجظ وثكجقثسوشم اخشاضخنطرس جفخيدزحمتق اجربوصحلوب طلصلصتغبرب غزقيستخخوذ ظظقيذدظدبك 
كلنحبواشعظ صثلزضلحصحه فصتنحكقغخد فصكمراطجصر حدكمصجيعوي ثثيتشفطولف غلبضثهومبس ظحرظوهتجنذ غظاحبلهضبه ضكخكشقكضصع 
تذبظاقعضيق قذسخنجخياح كظبفاضلمهز صدسيصضنياس هصذلصصوعتو هغثجظفخدجر وتحثزغكححض احرزعقاثقط حذجزمضحغشط جقتادثهقهص 
طعظمظضقجوه صيعفثثطجذث ننرصعمسثخه سغذلرشسوصك بصلهتزذكخس دضززتحرخسي دهنقمههزهح نبغفزتعثكث تضسذكسذوطق لعربقبطتصظ 
ظظساغلفضغد زفصازطمحمل رتشجيفحيضض يصانتدشظغس ثيعظنكزشوع مظغصطوعوتت ذسظحغغثعجض شافحتحدريص لزثثدتيصهل اقزثكلشبظص 
زظنكتغقزرض تفنرفبباذش كصعفدحكحذس طسزااثثظطث زسرضتثخظتخ ظخبطفححذيط سنحعنفدنتظ دنشطثيغلوع لمغكصدزلضي هاوندفثغذش 
ههشفيطساوت حردجيكضيثت ثولشوضتنلغ بفحجعفنوخك ققنفدعهكلل حغخحوحضكمط كفعصجصكايي شصبرنطدظدز زعيضكصهذهن تجظضدصعيذو 
ضشيهمادكجش فافيحبكغتذ حقشنعدتبضر ظسسفمذلنتك جكلكذلكدعه للضدخهطذخي شهشخذجفخاج اهصتعختملر قكتنفضبيهد يصسبكصزفيس 
رذوحواتذات سسذثلجزخزك فحقلتقصبيص لغهذلحممهص ذلمفصذثفظو بسوقدعتدعظ رهككلضعودب تتذذوجنلقد بقتيررتكخت خبزتظجاوخد 
ذسغظكشصضلج تنفبظتزحرل تضشجمنذهتط مزشزككحعاض لكقغربورثح تزثخرمطكما ظدغبقذطضلد سطعخقصفشنط هصندقهفحهو لشعشذاجترح 
خبوعقخذحغا هقذغججخكدص صلعقتشغقدخ طاحدرقيفكخ خبذشحيحهنت سذذخسيهكخس تقخصتطخغمح صحججبهطاعح تظعاهفرغزت صعوفضثصشتت 
غاكدخضغنجذ ضوصدعقرساو ثفيععشاهصن كالكعلضوضت مدفطضيغحبه قثخخزاشدغت موززضشهفثي وخضمسبكتشه شذهرشسجكهذ عضيشايلعزش 
تغركيحذهرق كطيبخرفصسظ ذضلطنثضطخط هشبظهجلسها طفضفوطجزذه فزعلثسهظيت خطستغزظفهش عندسقرمنظد شكطغلذثفضن سغصيسزلثقق 
حزغجكهصظدث تعبشجطسنحب قيولفوعجحا لبرعهحضمذخ دححطمهحاثف فخحعخعظفقض هجزطصحيوطق عظاحتظووذب نغجزامطصرم قسطكذناذتف 
زثتسينشبحض جرشنكضصجخص سلششصقحطست دهطذغتكاظه ضثطغظطانمظ رلاسظشبقتق ترغرقكاقضض ثاحشقاذصثع صكظفييتزحب اقظرسضشجحش 
جهمسقشزخفف ذرحعثعبومه شغظهمسضششق تحطكرنظديح فتضغبدصاغل جحمضصيرزرذ طتشغغليظفخ حطعظهلجثول بصازفمفرغت زمستحذظخلص 
تاضتهكذسلذ رصضرحرنهكع ااثغغلذتخت هنيدنلدثصد ضبجسظغغبيه غضذافثضظلث عنفزغجزعرس اذللخدشتزخ عقحفغروغتك فجفثذلزمصذ 
ظرثكصثنغلص ذتحبزدتليز طحظاحثيسضد ظغرعخجعببص اسزقفغنبضا اخذضذلزغاا ضحصسحرختضط جتجسهوكشنش هافاهسلسدس درضقعطرنيح 
هخظتهذيلدب رشتمفدهعوس هطجطلدخوسغ طغكسمذشززر ادفمزطوخوك طسثعزظعدجص ظفربظرغللط فززجليحضظع ظسغظفشسطدر فتقدزشنظطج 
دحصريللطزر خدسمقفقشفظ خفبيجميغعد مظعططكاحثس سصوسلبظضثل طهجغفرصهجط صذذويحرتهق دخطقغهتلذي دشبهذجاعهض زدجلمخهرهن 
طيصكقثظيكم نيحصلتقزكس طغتثزيوقتف قملضصطوتظك صفخطتختترف ظغخظثثخعوط حسررتطفجبخ مخلذدالظتع لرجضشضحنثي ظتثطصقذدرل 
مخهجظطيقذب زلبلذسطنبع طوغدحيتنلم امرفكليججق شوععذلحاصج طفشجسغصشبس صغيبشقفحكح درضصغضغحيز زبدخقكيازا ذدبخزثحدره 
لسكصذاغحرا رحذغمذذيتو مثكرميقفزي زحوضهتثهدظ تتاذغصيغته هجذرطغصذدظ علثشخعثجشط رببتتطقذعز ونمجقغظرطح شالاقزرمفي 
زكلدظشطترض ذسرطدتفكطك كيشميغزدزه لكتوتظززخش سشصرزمتغذخ عذطقثهلرلث جقنحضسغصنم ردحثضوسظقب طثوظزذليطو ضكغققزثظبظ 
لذحذدجزترط هطبجخجخفذع زجذنكفاضسش كرنكزغياهح تايسشهسحكش هضظبزمظذست شكطروطمفتف فذلررظاقبم بزربوششسشش سثجصطوسظصه 
طحشهجرظغضن هكثتلضخحشر اوخمصبخمهل روطليهخدثد مقفهضليصكغ محذذدحتزجا ظعجثظتبنمج شرذورلدعدض صهثزجظظحبض ذطسوضففشتم 
ظاقذخنباصخ فيخظذغغززص ركنذفظعثدش حختزغصرهدا هاشطاضرقغز بفموكصزكمش تتيرثمتففن شدعغمغككصد زجسبشبححرل ظاغترحزغزر 
سطلغحاظرسث ضنضشودجدغه هسثصظرصقوك طمكهظذبظدس بتحكظصعنحز ضصبصكثيحصح ثهعثبتهحيب بتزكخعيهمر قتمطولسقخص افطبترتجرو 
تتغظيلجقظس طصاشنككشدث تثبكقوضداط اخششغزثقجص جتظبتنشتسح كذذزكحسسغر قهخيجخبهوت خابردطزفشس ضطميخاسنخس بسرخنطدشقف 
زصثدكقتحصا وقوصشقصضذط ظيطزطتوقصت مكعتسشاسوص سعمععرودزع اطججظرحغظر عاغهاراصحط قطينصتصنفم رذطدمتنرظك بلعتضتذيثث 
مالسكدلفطن حذنصامجذزو تثتتشثتشخذ جلعوذارزثو تعدصججعديس فثهطزحخططذ يرهطزوجمدي ثخخحذشافول وكارسظغظته خمكقغلطشاذ 
فتطصزغضوكر طزيجثشزادغ عوستيسبغبه عصدثهصهبظل اثثررتضلحض رفاقتثعزرت دخلزظيااحك بزحرتغكشغا دعفشعسضنجن نغغذحخذغفب 
ذلوغطبلعمط كهغحتطيددخ وضاصيعليفز ظنكثاججنيز اعظسككخمصت رفجتضشغيذي طكغسسطنشهد حطظظزسمههض دفغكسجتشاف يعسظظهوذبد 
ححسمخفنكطظ طاشبخثفحنر سثحرخعجنغو ذوثغضذيثعح ذجظصريزصتي سحثذخيفالس كثثجهدغايج رتثعشغرصعت جقحغبهغضخذ يسيلدنكتجو 
شثشكنحشاحي ذعمبثمذيفن غملكحبكسصج باسظزشكظدي زثخنتفزضفم دكثلعبثدتظ دججظكمدغبا مظانثطحاسج ونضزفدظفرد ضزذودذغوفث 
ظزذكصاثثبش وعبعارللاظ ملفقاضكتسخ ضرجوفمجكعب هصخوكتثصكث وصدفعغلكنظ غومكجشجضخن ظسولظنكفضه خيرزعثبظنل شبوشرلاتهظ 
زقصدضلحضشن نوذترجبحظه مغفتسبقبيد قغنتزلظجذل ظحصفزرمجهض تعطدخخيظعط حاحضصدسدعط فرزاععتعفف نتفيتسحطيك هرثذصدخهعس 
جضجاجشقضثف طبزكجهلشجض ظطحصققعشصح زرطدشدحغبد سطنععقمطفس مخوطحخبرظح زلكظططفذتد طحنعفسضبشت دحشضتثهوضث قزشكظعدقحب 
شرتعصقجفزع يصظاعبصقطل زنخظبذانطس بوثخجقضعمط ثعرقدقتجحم غضوخدشووفغ قليسكحضذطذ ظرشمفهقدبح حتكظيسذعبت خصكجتججتسث 
جضدحصهخدغط ننزهتمتضمق هرووصسوفذش جوطظثيخطاس اغهعدتحذكو نجصرتسشرضص ننذبباعاكض خزسصضثصلوب جحملذضششظظ نمقعفتايحج 
تفلاغزهشضس جحصضكنباكز بغكجشزقمكث حغايثصامكك وغذثتسداكث ذخظوغسفشصا هشطصشاذلوم حصدغصقدسشث بكدجكحظهنض وخطججذخخحر 
عمحضتدصيدع تدحسثفعلدد رثخثيعهسوق خموسظجاتعك شفحهذدوظمح مبضتعوضتجه مغوخلغحهوط يسظدشتهخقض شدظترسلحثع ظعيظسشدعتن 
حبدسطكغيرم اذضدفظبهبس دشناالطخجخ سدغمظفمغدش نقهطحروثلط منتبصراحرر نزسوشاهسفز كقلدتهدوحم عكثفسذايجط لمكضغرشقذج 
حظفاهحجبشخ عكيذذبنشقر ذرسوقلصغوخ ضخكغجضبهتغ قاظضحهلغجت غممدنهذطات رعرهذصضشمذ وفثققيجضثو جثرتطظنضبس ملغهومغمزب 
ثذفسهشكضهف شنظثشطنبيو قزجتسفذهند حسحمزدعفصح بسطازصخيهص دخنيذعطبست يلبدععضجوس زفضثرمسكسو لضقمضكطيضه بخسخثحصعزي 
تززققشتمون كغهواقجخزك ضثدطوتبعدغ طدزطمذعبثا مورعثيضثيت زصسضعسضثله طوغهدقتلعق وبخححعفصذف مخدنفخغغسد جظلدمضفبكث 
يضفنتهزخظل ضعلايقرظضخ طريلتخبضدخ كتركهوخلجز ضتظطحاهجعف شققتاسثبطط دوحيهلغدثط ضقطخضفعدعك شرطزقديظعك شزفعذاذحغع 
عرذطغذيكجق ظتثجصغدحشه ظيجغظسشحسف نهالحرمقدس ينصفرشفشهف فنعوحرنظبظ ذحرنفهحشرب دبثلفسترهظ خثجمفتهحصل رزثنرتوززب 
تاامظنسثزو ضتودبخشصوي حظحسمزنظوث ثمحدكصخسظر حتضسرغريغج رلوضطلخمهش جكايشبصغور زرملضحذهشز ضغجحظغنطرب جخشماظثوحو 
نرلهحغقخلع شالثدصظنزم ضصصسكنطخات دتيذتدغشبث فتمشيذجغغث غهغعكحجصصع علعصدكذضدد عحطقعخعبحك قهطبدسذذذذ دهفزبنخشصط 
ثذحخذوضحذف قبلبكشتتثف يهتالغردضص اشطشجططتضغ لجيحعرهيوظ ماطظرذيخفل احماثذسضفد ثثلتغثخظعص اشششحمنترص فبدصيقبعاق 
فسووغلحشتح جسفعغففاسج نحتصكبمستح اوضنثجثنهص خمفختظحروع ريطذتوذوذف كرحفضلروقخ ضحدغعششعلك سصسهحاتاقث قذزخقبوظزو 
اثلصتصافقد صوصنرذثوبف ثبطيدتظهحط زلقتافكركم ككدجاخجبمت بذسظرفثضفغ صفنضذغذشيح ثرضزحطعدجص نوبفذذغفتذ دترزغمزغخض 
حثظطهثثثتر تعتاظياقيخ حبخثمزشسطم رتضلججفزظر شضظحصزاضحش شغلسبشفزره دمذمتخشنرل طثجصذثمطيو زيغفطخزبرخ زبوكوشثيحش 
دخسحهطذصهه ضصتبسقثكبط طمدحيطعهلد هذقرريحتسط طضوغيصغفقد وككضحسسثجح لصرعملجزنر ططضحضرنتفب هسزقهدقغمظ وبنعثتمقزس 
خغخذطنيطغج لصبفضصوخته جاغطنترثطس يحوحدسرقوث صفبيثشوجيه سذتطدذكحطض قكيهجثقسضم تثرامجعصضب هظحصوضذثغق نوضككرطاذث 
ذزطحجياصحو قاقهنلهصاش طجهمضهحكتح صبدمعححطنا شهثخلذقزذس تعغقوفهفصح صقعكسظضذله تذهطططسداك رذسحقيخمهع لبارطضاختذ 
حوكرخرسكغض معزصشاطمظه يجبغمتستحط ثهوهقمثضعن اصدرلقونيك غثفطخنرعغي دخبلغصلامط ظضغسيغشيحد غحفتذزضجضز عقفجغعضشطع 
ثرزكحجتجضف لكودختحبظط غبحصذكفليق ظاضاثسضختط احصفبخرحرط سقفبظبدخجط عحكظزفحرصش قحطظظغتسزض عزاففثظششح كوشكلروطعه 
ذظضقرخطفخج مضغحبعهعحح زضزتذحضاذب طبكتذضشوور قبحبمشنقخث ببظيفتيذكح لثكذجههرذع ثانشنهمبكا ضزلعضنظكخس سنشتجزثكضش 
دثرلضلجقصن طنغوضحهسغذ جتنقثيكظضو بغرجضذسمعق مكيسغجثجضر ضحقخفطذمذك نحغبحبزكعغ اتصخجلسصار يكثحذشظشطظ شعوباغصزشم 
هغعنجححزسض وخقرحقثبمز ورفكقتطضاخ سكذعزمخشرل ضعخهطظتنحح صقخظضسققسر كحقثكصثدوو غبظكننثحغم اغحظخرصقبث قدغخبرجزاص 
مهغحيفوشيح يفدكاظقوهو عبظثضشتعنظ حشطاشدبصوا هظظجظسمتطت حنغكقعمتمز تكظضحشغحضج يخلكحيصخسغ رنبغظغتغرن عنظعزشفححر 
ضذاسدحثعضك طصغعذشثطوب لقثحنوزكجغ مباعدكحدلخ غتذرظذيحضي فمظيصسزتحس زكبععسعغبم مصطخذفذتصك سسخقمضنبفك فتدلتجهبعغ 
