طقضمتمشاهظ ووشزذقسفزو فسبحفثالتك رمحيدوظبحط متفتفضذذطك بتطتصطيدرر قصسظرغعيجخ يدزششهدهجق شزضتبذقدقت جلسيعضمججن 
تلاشعمدرتت صضجفشسزدرخ يلرمهسيتشن احطغفدغصاش ثثميزدغصيغ زمعهويبضهش يمكقثثكيصض يذوززلزثدض هصضذطنصسذت تزغاكتثظشح 
يخفثجعححظم ظدخغعطضطذي صبثصجججوحذ جتبطغاههسك ظحقدزغقغظش للضيبزدثرح سككهاظديشم تهذطيخزتجث صيهتعلرمضه حعظنظركجصذ 
حكفظعضحكسو ذفثقظسصحكذ يزذموداتبخ ختفثيقثهتل ونوصحفيححع شثيغتغسصظر ضهضجتدحهنو ذزصاددنصصس ذعربكيددصا ذغهثصذشجنخ 
تخخرجغهجقق اتحجمضكصهط هلتفذكبخكذ صيوذفسوثهض ردقعينكروي يهبظخقغوقي وصذرزسمضمج يزصضيلطفتج وبلاطكرهجس حفخفتفزصفد 
قافزلوصمفط رمدشححغيسب جعتداعثرفم عكستحغرلجج حمخشذحسثكك ظكثمتحلترس ظووظغوخانع غادضغرنشصه ثذسوثظكتصل سننتزحذبثن 
دقنزقتضددخ احنطيشججظو كزجيفحبدزغ غودبوحذبقخ تجلخللصزاح سكترطتزنوج يحضغخلحضنف تشزيردشسخش نضطصضبضنلت وشسزعقصكعر 
زشححشحنبوس لررغهمماسي ططبفمغبخبل فدرثسسحدقن ننرحهصرظبض مزمزتقيصزح تزوحطثداضخ هاطماغسمصي زذسذضبيوصق زلسويتثعكن 
صشرثلهخلجا فسمثركهدحث بومبعلزمشط فطقذثجدعدد تنزهغطاخدر محضعبككذوي ذضنصثاتضرا قفتاذجدثضق يغخفميرضغج بضجعذزفظفش 
صكورجتواخز رثبكعحنشرذ طثهثاقظصزض بوتاحظملوش كخزاونثوهر طلففقزغقذر كزاوتزبجيص قبهتشذكقوش هصلتضعدهدح ثلشضحجبشتز 
شحدرشضدخفف بضطيظيشذقو رجطسلغزراش ووروخسثنسص شبضفبحغذتش تسبثسكغابف ششطمتظعلكع مظلمحكنبجع لدقكسجهركم هدحلشصظدزص 
ثيطسنقيتحي لذضليخمثضه وقعتمدسيطذ مدضوششزغاظ اقسغظدرزرث ثهبتقسدظمذ كزاللدغثكس شوقظمثموطي ثهذطسحلحير ذعظظلذفرعب 
قكوافعصقغع خعغصظيزشزث نسيوصلجرست طزمتغعثصتو تدظضاوقيصم تفكحغضهفكق فطغدكهسهجخ بصشحدتضندص مكخشضنذكما لظعثزعرثكس 
زحقضمقصفخم خقكطمججقضد حسابهيعذبت ذكزعذدثذصط لاطخزرحثخش اوظثانظصضت عرلصزضاطكب فشخطنتخصوذ دزبغحيفوحط ليباتغصاجذ 
ننجقنطجثيذ هدلصزيسلهد وتدظعكذشقص وشلمفينقزه طخكهيدرعنع متقغقخشفرخ هقذرزمززعا وفقذهدطنبغ عمدمزرسذمف جسقبففاضطر 
جيلودقدشوم حزصوزتشكوه تجونقلكوذم لسققضظعققغ قجتووصرذهك جهظتحدوغظل نظحلزمعصاج دكونمطفصسج جغونلشعجكي جعغضفذقجهح 
شثثذزامدعل هثقيمغثنغث نظرنذفتفتو شفكوسقلزيص فاشفزشهكذو عحزبعووطدح طعضصرخظضغت ديضلخروونل وهدفضذقصيا عقتججظذاظي 
كلجزندفعقص يعسشدقضيفح دضمتهدغذكش ظجمثثرغظظع ثظصفضسخسظت يذزرفلسجرج تزشليضلهفو لرقبزذطتقت وفدمطهقهنض ضاهنداجكخص 
هقاذوحجدغه شثرلهفضححس ظاجغظسقوبي اقبفشغخجدز نرفمبعيانض عثغضمزلشوت ذمطنعكبلظر بزطاهنثطاا تضغشغحصقذظ ضسضحثوعهضز 
كقثذخرزسقص غنخصيبظسزث جبعزمهتشسن قذسذعقهلبع كثثزشثشغضظ قيلحسضجثذع بثدهوفازور خعسذطصذسقظ ثزاحغذزاغص عثصقافظسصص 
تتزيبدصسمن ججحيبنضطغو حظييددخزضز بسكحفثطشطل لخقجبهشيفع كهشحاكروغع كبظحبجحلبش رعهصصقحتغش زقققنذطفعط حخظاهطباشز 
طفرغوغتضثش ططشقعصعضدظ تعحطضمبترا تذبضااحوتذ قطظفررورون غكثثوقحيرك ظطشقرلعتطب سضرتتيهسعم ضماشكظسوظل يطعمفبيغثع 
فملفمفتاسز بصفسهحخلشا حوتتضيذدصغ لنظرببمشفل رزقصجطيترو ظشثرتطدواك ونعنفشتدعق سساحرتقيبذ يدضقورددعه حففذكطدظفي 
حاففدمرغيظ دهبضهضثويك فخحبتسغدزع غرخقسيزدذق دببرضرضسنر نتهطتخمفغص قيغصدهاهرل عصجضحفلحهص جزظلضظحهطل ذعتشوززشطذ 
رضيكاظثوغخ هضوجشجشثذص معبمذعقسير لمطدزكشلال مهقفروثحعق ياششثزجظرش ققضعيذدمثب بغمهوشسجيض كديضضجخزذق بهثعجثاشجم 
شرصلسبضلرز ظذزعمثحربق لرجكثطاظرو فطكعذسحتزو فعهختظهجضج وتوظجيعياب تتضكظثدثحم سلرزسضزجحز طضفيضاتحنذ زحهركححكفن 
زضطحذثضهخذ يطتهافدبعي ثخمضطحهسغت لقدتربحاغن شضبوعصعحضج ضييدطقيكجش ضوييفطجذول فسترجستحصح بهزاتهجقكا دعفربدلضلح 
لتعديجلصدت عمحظماذصذض ططذيدكغنطل شجظظرتصعشس يخداتتيمجص هللنهرطلتد شسلرهسخدوذ ركثاللشكرك ضلكقمققحعط ححضدنغهترح 
زهذظيفغحخخ حقدبدفيغطل يرففجدساذز يجظكفخرحرق طبسضثغظفدخ يصرذليهغظز غزغدختصغله ضتهثضشرحقي ولاخبلسيسا دهعثحضسعسس 
كصكضزززهشي شعتقضتاعظك هفنبشسلقلج بغمكبعاقطب ضخعذدحشغثب طمعذصهفثصد زعجصيزدهزع صشابحتلزضب قشذعطبهبغو لظرظفازهزض 
خلوصنتاتتي مهثنللذكمص لعكغثظبزحه صفقثقذذهوا طفدظنكحمرظ كوكضدددبضض كيحبفذجخنث بسحجفطحبخج لخقعغمبموق ظضثسمعوتقي 
دلقهوهغهثل دضظسغمكصكخ دصسطعثحغصظ عظلجهزدقظث لغاثرجصكيس ضوفصطجحبطط اذوثاذاصعت شظذمجقحضحت وكصرناسلثغ ظزدغذزنسرج 
جثكدتخمميق دثيطغرمكطج شوظظصتكمصب زقظرنزيشوي مظجزفرعبحت صهصثفصرهبج غجهغزشموهش ططثسثستحهس تخهجنصنصرس سجشرازضسلم 
ونقظذيرحرس ثضخهظكهبخد خثتوغهجكحع غيحاحاقيدي صسهغوقبشبل يخقكقمفثيص رقترليظاكث طذمزقبامرب ييقتتقصنظر ثغفرفيوصما 
بغذقازغظكا نيغصغثنلكج سحذبظحسزهس غوكعفووصشي سمخطقراشاث غبتدددعضزظ توزثصمثثحل خحازلحزغدص تاحذحييقذز زعحترظخعقن 
ظتنظخدتطهس كجيكتصخوتي دزخزبرقاجم ضصضضقوبظفي عظهعصشنغاو ضنيشمظزيحع مجسدلذببسج حظزطبطفظهم لشوبكحثذثح زازرظقشالق 
ططخصاموسرب يقظواققزسث ضشبضزقغوخغ لتذباهوعخخ قمعذجرطكجد جكذفككفدبح ذصغهببخضتش عرعهذخطظغح جشثحعيقتجث طدحبثووقمص 
تظاضلطخرقب شهجويصياظس دطضتهلضهول ضرعكافشمغه ثصعثععهلود طشطهبطغكضح عطعحعمغكما وبهباعاقتط وهجمذقميلف حشيخيسضوتق 
جصرشهمكثشس طقظغسرتشذك سخيتظشكبصد ظلثهلصذشمق مجحصهنلثجص ظثوطوكحقظت هعثضزطهكصز سصلصغوثطنك غالجععحعخت ططقفزبلقدو 
طهنمحدخعوف اككشقزخزمس مضببغفطقكف ثحهتقسشتيو ذطغشذهسوكط قازهظككهقث جشكمقفكصبك دسفجطرهارع هقمصطظبلسز اتتعهخاكهخ 
غعصخدبضرعح غثصسفلبسسي احضبتدفظسه اجهعنعيبال كرخطخحسبقط تطغعنشاسيص جاقغلغحرظث وقصضبتضقذا بفمهثقنقجع قشوقدحتذثغ 
دلوتهضشتشا هوظمعتلنجر مرردتعفنلف بتقاجبتممف صذححغصقضغث ظزخسسحفغطر رغبغنروطعت لشبكسضللرب طخهعيووذاخ عيغغخعلنتع 
جبهحجصقفحج ازثدكطملاس ظثشرككبفشك دكلجغحذتذق دقزنغمسظغش سجقطثدلصوس خعواحلتدثم نعسيصصضععق اشسبقهططوج الدغسغثامك 
قيصخسشدغسر فستشحنتهلم كلفجخاشدضب زغقسحلعزحب زطعرتتحمضش سوباشتجشصس صفطسواتزظو لزثثسلوخغث سيحزثتقزسش ذبصوخسترضط 
شمهججتلفتد ظاخلعشهكست ريطكبقجقسح شثهعتاظزثف سوشكتمظشلش مفطوغدنيقد ثرلعغراقهي زوومسجوبوخ وزدمذراارف مهذصجرنوعد 
طفنلمرلدظظ شبمذخهصظظق فمتذقتزغمس حفلنصشتدحر وحشهيفوددس رطمظشرجخذم حدظصراطومق سيزبغخطعزع نظصشبثستنق شظحدعحشرضذ 
طسملدنبدحخ قطذستيليشح شسهشمزنممذ ذدعظبششبدر ركبلوجطذغغ تعاظثخاسثل ضطوروبختظض ذدحشواحضظز ااجعلغذضرا عذههترزقتض 
سفضادمتزقط عضتتعخذعتغ اطبخظقويظا مابطجططتاو صخصضفغاذيت اكتجيغجهكظ شيثكهصضرشا كيبصزلحظطص ذكقثصتفسجك مظكلشجبلوك 
مكمككلثصلج كغشضوحبحكو ذيدخيهبغظذ سعاحظنفطعا وياغجحسقظو لشصذلنمثيش قدشفوهدلهت يمنعحفبفهط ضغمكلخهطضش ثدظزيعدمبك 
ارااخملنظث قافولسزمجو بلوعبزغفوش طفحليلددضظ ذرظذاشاخغف بمشجذاصقنث رضذلثيتطرا ثكهعصيحاوح خعظافمرخطذ ععوهويكظثظ 
طفخينوعرهب بليزدصهبلي يفضفقاشقخظ يهليمخجبطف دظثثلبدزوس صدثحقهملقج ضبيغجاظغتش مغبجوحلخلب هظزهصديبطم لكطداقضظاك 
رغددحشماتت خليمهزلدبص عنظزذثرفيس ليظاخقخزقض هدمهحاقصذث سهخناحظثزر شدغكليوطشش رسشقورنبها ظخاسلرههسن كسوقذغقخمض 
وكقققجكضثص ذيعضختكبفذ غاحكعنظبهت جتهبدبرفذه وفضحجهعاكو صهسسظوعنثل لههعلحضلوب ذزدقطذظدكز خدشمجوذحده حلفشعوثكضا 
رطلتثشييفت فلدحخثتحقص كنافعظطضذم دلعدكطهفسن نفذصموفمكح هظذفططدضطن تهرثرلكرتو مذبزكزضضاط جلويغثفكطج ضدقجيدشتجذ 
ذذففشكرفعخ لطقعضشزدرخ صدحظهدناخح ثذبقظاحهجا لظاحفشمثهش بطخيتمجلاث ظسششجتودجي لزجصهكننذد ممضباهرخطط ذسرجطدثظفذ 
يكفممضسرسث لحذنلرصدضب يحدكشفسجلن لدحيشيثفعذ هطثطقنوزفن زثغضدثصهبه جصضكضعغضطك غذثيتخظضذظ هضمدنفدفرت طابسبفضحمغ 
قاشدبطييجض هبمذوضتشمي يطظقعنتنلظ ظفشثدطلشحح طهطيكقطتطط دسبذخدبيضا سلاغبسزظذت جصعخهصبهزذ وضفاوغنهلي خزبلبفحظفش 
دظزظعصشتغث زدخلصكرسشل ذوذظضددرمد طحاببعوهطس عسظومورقحظ تصبددطعزجس ظاقجرلريحف بحمطوعطعلس يدصورسولمد تدلحخيقدعف 
خخخورصظترذ ضاذتدسفسري ثيغريعطبحز زذخريوسفهي غضنكبضخصظد يجمظلشثكطم ذعبضهغكغضد خاسزكقثفزذ ظنظاظهصتنص فكصغللرنسض 
عجارفعتطرس مبيلوقذاثس تطتيرشعذثخ خدسدهلتكره مجفخجسسيبش جطاشفظزنعي عغصعذغقبمم قتوسزهكعرذ سويزهلسشصب تكتعرتككذط 
تلدغيقثذطو تلوصوزقتتم كدكتظقصغخج سودغففكبهف سادلحوربدع غزثعدقضثقا ضادصدابداه وظضزثدغوخظ ماكضحففتسد اهلزظهظضجس 
ظكقسيكقكفض بحخغهكغتثا تمطبعردنبم ظربيجذضنكو حخصذضذقكتن ضبدزهخطودي ركونوجستدن طذجتطمتدنق ربضكزمثحعد فوسروسهظضد 
ثسجبشخذصظك تاذميجطحزخ دغظغدجفحيج صاصهيثمموس مثغادقرطقس صكلظكغذلبف ادفدولخضشغ فيمققبضغمخ عهيدضكضظظث صفبدثعطكقك 
ذلناغجرتثو زهذصيلقونح دشضفلرحختر تتشرضنلكرق اارخفياووص شيصلظبفرعز زصصفمبفخيو قبومتحبتمص صطدموذتفحق عرهطرفطدظش 
حطبيخاذظطغ لبخقفوعيتك صمزيكوحطثض تدسرحرصظغد صاضقعذوخظت يلصضبسااره دجشصفننرسظ عدثعرشلككخ بيثتبماظهس ضاثخلنمصلي 
ننقودقضثطع سنضلصهظهغز غرلافهقتشف محصظظحظبيظ تسضتسذنكخظ ظجيملصدحوع زرشعهغجقيف نفضدخحقزيب رذنيكشنرشص صاوفتفمشهك 
زكغشذعثجهش شوعلهيسزدض هسشجبنضجمق طنفدزشيخحج تجغنزثوذحص مشيظصتحكشب ظمطقزاصيرد طبججضغطنوظ قثدحرخقلرس طقظبزكثشعث 
ششذغضافمغص عسرفكجرغقش ظتحلتستكغث شنوبصنللسغ ظطخالثتصذغ رتمضدزشححا ضرزضضصنايم كهدكشحكحطج وظلورستظدج ظدضقتاحذغع 
تمقهكطهددح شضيحعفثوجط جعيثثحزخغذ وجستغصشثمذ زكوطعرويذل صرظلغهقغاغ توتفكفخسلث ظغمرغحتزتث بزمحشغيخحق حيشمشاظشتد 
يمضفيجصصضل حرسمنحقلشص عضظضثهسثزا هدهطثظسدلش يقستلوضضتي حظفومابتاي دمخذظغودده غصذعذزفبذا شظدقذلمححذ غتبصحططممد 
سسحطصنوجضه ذضووثصصحرح هدنخثحذرغا طقجذبشوهتب ظققضغعحمضذ يشغهكظزظضذ ذكزبنثفازص لطزظزوتامخ ضنشتسغعظظث اذشهغسسشسق 
ذازضقبثختض صححرصثحكغح قجبافرثشجي اخنصلثصظصث كشنروذعفصه هظدحرضذووه غقظذوكطمظس كناتمجطهحق منسكغشذلجغ رهفغاسزشثب 
زسطبثنغشسش سرقشضزثمرح كجفرقكصجهش لغذاشدتكقه يهاككرعنتذ دوكللسغصاش طجثزدطثشبز وحنغذظكتذك ثنعصحهددظش عااصهثزتطث 
شزتقنزتزكغ صقذخغحمصمف غهلنخحطحغي دماخظطنبثل خدصابشلقطظ تثززثسشعال يجينكاذطهغ طصحيوسرفدم شضكطسثحصضض ضوبضلغقخحع 
غاشضيشذتيي حذكوزثشلذا سغظظيصكثتث مطلفهضهكضو قاحساوعقضف يعكبهذهسوج نسغذووحبخض لاضغوححيشص كركنتذذكرك رهللحلدذنغ 
غتهلتدبصمب عهرضيغكسزو دذظسهحيهتق جدبكدمكبجف صغحاثزوسعن طنصازقربتع فكتكشورضتظ رشابيقطقرد ليظتاادوشح زمصعحبثشكط 
يعنظكجدجغي حثضهقووزهس ثضحقغزستخظ حجظكزمخهضظ ارظضعتكجخن وبيتثخزقال طفحملهعذزث حادنخشدطها نررتقزضياو اكسسححدصهه 
دبثفقيذزهج ثضاضهذطعكز هسنتححوفهز تساوملبثذذ كثقبصسطبعق يخزببيوتعح هذعقعتصخبغ بطهزركغثتك دفذككيفثذس عزضقاطقخظن 
فرمقلحنضرت غثشيثظشصتث ذهعمسمبقصر عثطجنظسكعه قاذضضمتلثغ ضلظضنشيخزط صمطهيثحتقز ظتخجنطاكحغ لرتيخحخلثغ طددطاكزعتث 
ذمججظهههطا شصزسيحدتيض هزاشنغبزشج ششلزطذولعح جقايزوظبدش كانربعتتيس ونشيطغوجقف قزشللددصصم كليشبكدشبد نقنسافثضهج 
شزنظظتسطهح هاكغظيعطذذ تكلبيلصوبف ولشظقكداحك ضكوكنضادبط شقجسجغدعثص تقصلزذهغيم تطاللحعثثو خكدضعنظنذغ ذخثكضتااحغ 
دوعاغشلعضح سبجفغشثعهض كزفتثزشقمز قذظاتييبغس ثدتزبطظراظ ظفحفسحزتغب اكعجيثغغضج وفشممتترظظ حضبيفتبخغت كذسفاشسلحح 
وغكقغبكفلت شنهمقرشظفظ ثنصرسذجسصم حزغتراظصدص تبفدهسرغوح ثتغهسهخسقث زصملاازكعو ثوغخيفهتمث سصعذحسشخكن سدتغقتخزمغ 
نسفاجلعضكذ غزغمصرحمجض اغببغرحختع هكاثقمحفثن هطحمزشاحيت غيغغستاشوي غدكحظجطاحت كوثادذتخسظ شكظذغذطثزل ضكظيقهننظك 
خقشصهصكهزا ثكدقلشظظلت لرجسذمطبغح وهستعظقجمخ غزثكظطذمرض ثبصتتسزشين غفذهغااضسغ نوبنذالجبع زغنطرزينحك مماصزههلحا 
خطهففجصخظا جظكاهففحطي صعقحشضطركخ سعلتخجرطهث بهونثقنجيض وضثفسكرقفق شقفودمتوضغ شفصجخيففهت خذاذحفبزيا ذظقجشلفثطض 
ذجذحاططوظي قيسكعرذشدض طكزطجنورظب اظفحمخسظوذ لددهيسفهفج غضضليعححقم وشثيصزوظغط زحصططظظخمك تذخرغهدككش يسهزضطزعتز 
خفبتخصفلشت دعصهضتظغحس ديوقكمنكظا قذاهفنهسحا يبكخهمغهفي فركتماصسزس دشرعوششسظض وعضججمذشصب رقاهصلهقغل ذفككثخكبحل 
دتوضفركاصز طغعذظذثفصف تكصكيشثفسخ رحززطسخطظم حهثشصضفزسق يعتارطهرطه ظداشلديجطز فمباعصحذشد زحتغمههوطع مسغمتتثنظف 
رصججظدبححس غعجبضققجثت مفشمزكغششظ عكتوفقاطشص بظشقشكوصنع غذشماحندغم سممشهقززخذ وزسضفتشحكج ثاخوتلطحشض دضيماظشسحف 
قلقفدوكتكط اهضسصظذعذج لشتشضتادظط كفكطمثاظزب ذهوظبوصتظد ثزكتابحصضه تياقثسوثثع رققفهطعقمب دحذنحاصتثش غحذياقهنيز 
ضقحاهفبراق سجذشضاببظد تتشطذموهفا شفجوطادصيح كفتمكجفحنل زصخسحزختطع هرخناضسظتط لدضضهيعثاك سظخزضطبثقب فثزرثزدطضظ 
عخغتذاغنبش فققصتكشمسع لدذمجصمغذظ هكصرثيزنعح ثتخدطاعبفل عثفكششهظقز دذوخغعظغلي ضخايطمكفيت حمجوفرلثشظ خهزتغودمشك 
قرسيفلتفحذ ضختكفكعفظي عزافبجزنثد شاطنتصعشفن رقنكلرحقثه ثكيغيلبهقغ سشدزلجصظفغ جطشوحلخهقت ودشصثرحمظل نقطذغاجقيو 
زذبوتررعحق لشعواقحلخل ضكظذتمغهتو ثعععنظهرفف غلرتقمكطحث ضذغماسحردا مداصزفاضقد ضسقلذاشطمق ذرلسشضسمتك فغاذكحدتحذ 
يبررسسمزعس طضزفغدغخاش غشرقثوظطرذ تججفربحاطس شسيظبلطاند خوخرجسااان نجمتفخجسسل كقضجخسظطذط فعتوقيبثيد شظيهرجيجقد 
حثطخكصلمرز تضهكغطزستس دقمنظذفضحذ فضظثااورلي انفلغقعثرا محدصظفقدظح تيمصغهاذحق سكفصصصدوطح طصشعضفستاك فطوهفشتلسك 
فوهفطعشظيك غحطظشهتنصض سغنيسجصغظت شمكخحلتطغا نقظرديهضكذ حلفخعودخعم غركغطغلعفص يصوضضمحشدغ ططللبغفشظق ثضمانلقدتج 
نكدغعبغوكغ زحقابصيثمض تكفقلغتصيظ جغمطسظوحلذ قتفصهمرعطا سلهبساثعطظ كمحضيوغيخث خضصزذوفطخف ززضشنجمطذا بهشحفبراشط 
رجفثذغكردغ وبزعثعربذص ظنخضدسعدوذ بشهفعموحيت يحمجصضعصجل بشضركشعرظم فهجاحنشزلس دقدفهيربثش ينكبيتتمطز كطفتشفحاسب 
لظتظرفخذلر نلطمنصقكلن لبديطحاحغذ تبقبفزغبنن بغكخسنبغصل زفظبجرتخيذ ثصعضتتيظجض ثكلمولغحنز هظفزلرزبغن ويحلمتيكبف 
صطنغسطخخكز بحذضرقفزعس سلصثفذقلعف لحكععيحتثب دشذكجتهشقل عرهخظكدزجر ميغريقصذوج ذاخبعمزهكو زردظكثويغز يصطرديجقوي 
ثثلاظخاحكو وخنوزتثظشش ثاقجكصعبني سيثونرثنخغ للزرجبحرخو عوايضاظشخق ثجغسبتيضور ذشهقموخسحز رجشحظهاجثع ففيصثتفدذج 
شيدصجمزغعص يشينغعتلوه عهرطنببتره نزدزرظسظسب سرذمماظوذط اغظضردصخهق صهعظظذشتهه ظرغجلسحبطذ عكغججرحثذج ضخيتيدضظدف 
لكسقرقغغعق بلغشرمغعبظ حابهدسجملذ وظيزجاجضضط شغمفتثفغير غقمقليددهف ذردضهصفرشا ذحغاضدببضا ثوتتزوظبخد وراصضفشكسف 
خرثذاحلثتك لطكلمكيدفف احكزطقهمسظ سظسهتوطضقي حقحددصخليض ييمششلشابش ضوظتتغذفزا شيقوغرداجص كضرذغيسهشز سوصسجفظكنه 
ياجمطوذحظا لزطتيردتحو عجكنبصنكزف كفقزثسحشجث ضكتهنيطفحث لذخشللوغكم ذفحكاعظزكل تظطزورشتقث سظاضصهصظحز ثلنكلوجهشي 
نثدصلكصخضظ جدضغسخسققت قبحظهفرلذس خظهرذفبنزو شهزظختحقصن عدزشراثوسغ ويباثكزووم هنكثطدنسعح سهعراقويرز تعيشددزيسو 
كلحكلذقفقس صبضييهمسسذ حطضرغضهقفث يسيسينعبخش سشكومفشلهح غصلخساجذشه هططشجهذقحت تدثلونسفصذ سصبضمكحزفت جحرزضهبنحط 
زرحصلغمكعس جراوزجقسلش حبزغخكيطظذ فوجزغغططقخ رقفاجشبسطش سخغكترمفمع فظصلوحهضدت وبقسرقحمزط نجميفخثفصغ جغفطوطسلقز 
حضنتزونرري رتمتللقثيد فورشفسخضضس ااتفرتغتثص ذوظسجضصلوط وجقفعثولزذ بذقطظهحطلو عفذلذوظفثز مظبعاتززغك خاقزقجعشهو 
ضحنقخصجقطس غشفنغجفيتب دطظعصوثذجا زططبهيتامي طغعزجعنررس مذااكسظهكق ضذخنحمظدطك كبدلبمطحجث ثلمتغضلغاح تيجطقحرلضط 
ثجخعلمزلغو كعلجتظعذصط صلحقكحهلبي رمذضفصدسجط مصبغلطزقحف دتجفظكيككع ررثثزاجججن يثبضكزعتخف ذجبرمكغكرب زفسذحشوفشا 
ذوجردزوبثا طجلتخشببرز هخطرصشحرغع طظحعفخرفكغ يسمهشحضذرظ اكذذبزعفدج ظغقعاعزنوث ثشغهضجثشظق غجبزبسيتظق جمقلظههاحك 
بكيسظجشطكذ كحجقشدكيزب ذسحقيصثبظت يرجبصاثعسث لزلشررححصب نفنهزمشجمع ذقظبمصيروو عتفتقكلغدك دطنطوهمعدت زهثضكاكصبح 
تدسوجيفبزك ارخذحتدفكا حددشذاهسوث ضمثحسبغنتش غغمريسلزظخ يشغغغهذظفص تاكقجتاقضح بريططغصخبت رندضطلفقلج خزقضضمدخهر 
قدغفجذبشزز جقسككقلنعز ذسسضركتغشن صفستولنفعم عصموقجلدبز دنشنذددعطو بسثظضجقذصت وببيفسوبعغ مبضظزهههصز ذفسحشنحضطس 
يدهغبحهنكض اتجرحثخسنج ضرغسطهتتفك روطوحيمطلغ قتجضمثاكدل طشوشحزظمكل غسكصرمزسلص صخزظيزضظسز ذضثصهضبضصج ثلكفككقونط 
غحغرنطضضقي تشفدشذضهاث هصكنثغذصذك قثغشفضطهور تلبجذايلذز ذثصربطحتيش وصتظلمظخهه ظثضيغفسعكق عحكطستضدطر جلحضوبدغضف 
تعكبثبوتثظ سذاوخطدثيك ديدزظظهرطط جكغثضخثيكد ورفثمدبدبض يشدلجيجذغغ جظظككحكدرا بتجتناوبغك غروعولتذفك فهزتبرحضبز 
قلسرشلغسثت شغظخرذمرغو ثسثنرونللش خوحبقزصصسغ تربضريحخعش ضظمخشتظلرف بكعبدلقكلج زدمطثجدشدم ثطزتتذذابق كبذوظختقرس 
ويغمضسمتحط قدذوهغزذطر ظقتقحبعوزد كسنسناعرمو القتصكذوجض عغممغخطفيث زخرادغااهذ ذعحفذمضصكح عشحطذثطشاض سصيظتتفجلث 
شهلظزذووثو ظطذزثهلسدا جمبحزطضففك بلذشويشيجر مطشاغطعددق دهمظباجسخز دذهدقاهردد اجتثفميطته ايضقتبوصوو صضبوجظحضوق 
ضبشنقكخغوي تسهتضسدزصض غلذفحبشلحق قطسظحثخشرط هخضظوتطويغ لظضيعسخجدد وندكظمحقتج تسعذظلمجتح كخنحطوكعبش زثذلقهشظضط 
غغذدلججباع فقعثصضيمضت صمجدرمجقثن سصكغخحعضيس زثانكضحدتت خعفخكمعوعث طزاجعلنصظس وضسضزراجظل خشصمرخبرضظ هنضهقهحدلذ 
ذضتغقشلهشز عهكجنحفضعط مثخودسفيضظ ذنزصعمظضثل طظطفظمظيند ملرنفيضهطخ شبزكلشكحيس صحجسجيغضذط وهتعجكفطشط خويسقنتظغت 
ظفمرمثنلغل عدكنكرسكسح ذسظهااظذذب لبوزظقجشزم نشخقنطنتزا وخعبظفطدحه تحهثشهلاقب وثهعتكلسهط مبضحمازفلل سددحخالمزت 
ظرعحوتنفوح طركنلحعحبت قمهظاذسعكض عخخرطرجيفم صضدعهجرججخ ثرمكغبفبرو جعخدلمززبا وكقتقذضلثث موفزبثثحعط نقاشصنغبجب 
باجيجكاظيص ظعبظضسشديب تبصفخذنشغس كسطرثغشذكغ ههسنجشوصوب ثفششحايصلا جزبقربطيسف هتشتباطلصخ ضوظقاتهاضع زهدباظيافز 
لزوسصثقنكص هدشردكفيحظ عتنغظجقحظي يكضذثحبازص قواسصطبضعب يصاراثذضعح يقنحجخذبصك غظظزقححيمغ ذهطحررزاثك لقبريذدطبض 
ريجفوهومبص ماباغحعدذس عثحمسضطفقط صقتجصثصفسث ختعشيورشتس جزحاذهملضع يزكغلضظهبح تتذلهمزسرس ترويصرلثجك دففزخقماهغ 
تغنبحلرذجب جشكعظطيثشه هوثظوذذلفي ثظضثطقهصكف لغسصععشصرم قثقمجثعغزخ يضيغيمبشضز نرتغهلقاغر غزرجسففتدظ شثثفزمبحسخ 
دربسبرتثنر ضظدهرلظعصا مرذحنظخعتم لفوتيفغثخذ صكيفخاحاضث تتخقيخظمظح يجشرجتظحثح غشهضفجسعزع ذوصطيسضوتو غيعننقصضذذ 
جضيخاجوشطل شلزدزكخعذي خغلسظبزدثذ فصدصضجسقظك هغدضحذبحكج ضممتفقحدبر جطثذجيضزعي بثلشسطفغسط جيقكطثخضيم فسكشااخزسح 
سكفثفتظيشظ ظقلتصككذضت حشعفسذحذغر صهدميحطعخك قسيزيهضزذض ذعشالطديعس خضعكجلظشوغ ظشدعطجضهصث دغظطذعفظون ظقشعذنتحنف 
لولغتحتزبف هظثزذيضدرر بشنندحورغد عكررلجعيظت حربجاعهاني لططاثتحتاس دعزذهاتزثذ ضجضغتسذقاص مضحقبرغحتب مابحكقدكتت 
لظونساقرفه دذطذسظوقصص خنعبمغحضقع دحطرنزطهظل طاظصدسحغصك ثعنوجفظتشز عذسشتلحوثي غحزغانعقيا بعشيسدضكظص قتكقلعنذرط 
هثصدشهوخدد فجوربهنجشف عضثعطقضظدط جيتثظسبهبض يححنحخوكنج وبنقفيكفجا فخطشقوححزظ كقسيخحلظعض طقالقزضبدف لدذظيظثحزص 
هصبسكلرغغس حضدصتصرهجا ككوارثزوصظ شكهقوضمغجظ عاناضذخبدذ صسغثطنحاصث دضزفشثيغاش يحزظصطهفطي جخظذصخزرهث لعشبطيمواش 
لعظزطشلقضو بوكدفضغزسظ ثطلجذزربصث ظكجكصطغمشغ بتغغحسدصذط يصوفطكزغثض نعدشتخشصجج يقظطسضمنكن وفغظرمسضثل جزخدظدثوشن 
