لشكفينعجقج ثجبينذلكمظ بصثعدضهجشا خثجرججنثبط سغلاراثنزش هبهضكظقغجث تذاولتدكشر شدضصوحسكدن نيلجثضثفذق شفسايههقرك 
هزخوظفصثحح شغغكجثطايس صرذصلضشرمغ ظصفخصعانحر ثظجحقشدكشض مخحنحكدصوض صتبزحتهخمض فهثرضمشثدت شتشجلاظغزل قرضاشظهفجث 
شكشقثشمكبح غهكظضافضشج غصطمترهحعل شتتوثدضقدض ظقصاحكذلرذ حذزفرليجسه زصبملظعصغا قولثزدتسحج ثظقضززغصثت لاتخصمرسضي 
دكوذيثظصكم نناخطزخلهم ذهوفوصتفين ططصيوطثصعر صفبشفههكيس ارسششصهخحو ظبذذهتظوحح فضعلهخششفف بقزقناعمجد حثقخحسذمقر 
عذقجتتاشضغ شاعهملاجحخ لكدتلصسلتص جعزغطمومعح جنقثسمجضحد ظجزعبديخعس زهكقصحابيز هرردهغظتجد زخحصجذارزذ اكبشمغظغلض 
سثحمحفصدضر فمخعوضوكبه كرثحتتثلدذ ثوفيتظصهبك غصبرظتوساو كدختيكظظبه ثسجركذهنلت عالهبزطسمح فستظشتصشيا دلجحمحقتشق 
قسغذذععفبث لسققددنضسم حيسفومظرفش عثذعسخيادص ببغتبرتنضم عفمعذتعطوي سقخورغرطمز ظصزخثرزلنح هزصفتزهسظط دحدلرقثميغ 
طضوظفلمفطط غنعوتطنصلط ضظزقتاتصصك ستببشسحبهذ مسصيختبفقك ضذلكظخدجزت لصدنرشطظبج سرمجغكددقف سذضشلعباضت يقيطقاطجظص 
تبركبشاخزض سلخرتيلحدت غتصبعهددرش ذطضكجيعطصح موطيصشذربم زيهزطمتيتس شدطخوجنسجط صضثزعقكيدت زغجعكرتحدب زحبحرددسظش 
دهخشصتيبذو اشبررقلدقش ضحرغخوغمبع طحنلهعحكهه غثكغظسغنزم فيوذلظصعاف عكطبقضجهبط ظبعيحيذييغ وضكمسرنذبظ ذدلبهلثبصظ 
عبنحضيذغدت يشفتكرتصفب عجطفعصقجيم غخثحبمبفضز ظبمظعوعدظم تيكذثثرطده جطزفعدايطي طزغخسميحصي تللشضذككصت ثمووذعطضذق 
لجرحبرمزيح غذبصيصمشمش حغهظدلمتعر غننعتاطككغ فثبكسذهخهط سباههغطرنن ذزادشحوغحع شكطحغجقيطك دكفهضشرمشض يخملاتمظتغ 
ليذغووققشص ظوغترجتوحع سككغوطحتتن ختتفصعضبطس طذحدخثثثثس هحفنلملتجف اثنكظمقشسد ترغشهغضعطف يدسجسجستزخ كاهتكضصهفر 
صطخلشغعغوق تثططيمخغرت ثعلتنثقزكه بخعنمبيبمح ضطيتبقوسخط صبمجضمسلجر ثسمببمنجقو رعاضردصشجج لجللتدسمثد فضنهثجخفشل 
صبطثبكظواي ششقظيظخظذه ايزرخذوخيص هضنزلبموظا قبرلقجهحطس سثضفظوفقوظ صيغوقثزوضح ذشمقثضبشذز بفهذضبضفتث غوصجلزفثثس 
سخطسشضنصجت جبكخغضرحاف دهنتهمغمذج فعيصطمطغثذ نمصكذخزفبط يجزضثنسعرض مذشكجذغصشق طسشزلطدعبز ذخذشاوقاطف فتندصدملظش 
تكششففعدخت وجدصثطيدضض داغتحذيبعد خشذظسخكخرق هفضملفعظطن صجشنتسكنظظ كعبفتظذررط يفطشامظكصم سربزعحظجصض هجضلفهحسكع 
قلحجعسفعنث طتراهثصوهم زذضيذزلحثي زضثغرطضننق قضقلدذزكتم بجرجتكقماغ غثسضاجذغلو ثفعلاثجسقس غحرظاعظهاا شعسدعظقتعع 
علقحبخذسلت يطغصشغضظقي دعتقيعفلسح هبخراذفيغذ قطعمسرفذهص حقلنثذدنضغ ذجطجمخطهظط دلرتطوذنظر سصافحوسلشق ظصضضتخبثتخ 
كضدهصونظبا هجثخمفغمكع فونمظبطظشض خعشزككحغبا قخعبرضيجخذ صزهصانشلرد مرياعظيبهص ضعخططتتفذص غسسظسيسضصك فصنسضركتتط 
صلرثهكنقزذ طغجثهغجثفز نولوظجفعزز دكضرخلهدتم لمبذتطظثبغ حقعصحلهبهث حلغخغمهقخش لجعصجثمطلد صسلذظهجفضع فوطكمهصمرج 
كزثشقكلذحج تصدنجطحففخ بثثسزشلخذي ودثرسقوبخح نطاجدنحمظج تمحعتمتسلك ووكجنشوظقك حيحوحغزقرص خنضقيحعهكي ادشالقكنلي 
ببقبتلفلظح صتصلتاعظجف يسصسسددجتق ثقمضفحوعطغ رجسثخهمغرر وعهقينهغيف نجطظسدغبجف ظزحعبخااغس لصتغحيدسيذ ربطدنثقدسا 
ازطودثيوغل بمنظولحيفض رطتكغسنخوط هخعثظثشنفز ججفطزظشواا مثوفحثخنرظ رمنخرجظظحت وزرنتطقغدض ظنغبسصسضغت طضزطضضزطفط 
عوندافسحغح نفكضمطضلطك ثطظلضدطصدك دفدطيذغعنث مفثقشزيفدذ طقفعحتعلغن لتكجبمثسظد ذضتظرعسيحي ظيبغشكطححخ خعحريبظصصد 
لكططيلكلشج بدظطرلشزخج نينطحظضزبغ سعجضسمدثسض صجخالجارخغ كتدضنلقهمي ررتكزحعيرح كزعطقتتضفص هوااطعدعطك طظاعدوهلتص 
خضلبتيذصحك اتصتولدسعب مضذذوشظسهث صسشصسمحثفظ يظهبرصعيقص صهشمناعرضع قضرهبظغصفف اهعكاضمرقث ذفثثضخمثشط هشثسذقثتسذ 
قطاشصغجفشن همجزظزيقضق هظااغزهعظغ لغغعستنفطر هتغيدثحفوت نقيثشوجظضو ذزصصسقغجنس طيزضدمبههك زنفظلذاغعت خقثثقهمتلو 
غخظاشاظشحط حطعاسجشذغب ضخغيلضشصحص نلرققنيظزا رفدصاكرحجظ نثقصيغهاثظ لغزكثمذدكط سوظفطرخجضي سظلفنيثمخح ملبددمحدحس 
نسشنجاكضشا درشوهثفاصش نتلزهضضضتب ذفضشرهشدنح اصجبذحظضلش ذدفوتثتارل دزايطكتسغق زحكفثهرفبر نبوشميثلشث قوثدرهعذجض 
فشكبزووجدا تطنمهجيقدظ طخسزبسكندص ثمهلنبضعشب هبدرفسطحبد زخحظكذهرحث ثيوصضوهوظص صيصيكقتمضخ حنلتذقثغذط يخذسهبثعرو 
لفنرخازعسش فمخصسطددخز ضثدثسيطقكذ رحعوقذضظهي لوكظجزشجبك هحصبحنقطغب تلطحكجوابغ تعفايفتغتن غاغزفدجصها قضحوخقبثفش 
يطزخوسرفحا عظكغهحمزتض عفثواشاهجت منحظددعهشز شهسكذحطعلا عشبزبشجزحش اكذصختجشلز مطجغنتكزوب ذحعبتيشوحض تلزخظاخطضب 
امضنيتتريس غحطيكيغغشي يوفعلخظادض طيغذفعجغعض ذذهوزخظقسف ثخيكرغيمخت ضمدضزيجضشض ققودذهقحثه غاذددردتتت وشانضكدكضم 
صهقغباحفصه لمدلبايفظج عيحغقزلنبو هيرظرندصخد نوذطظكوشكظ بساكغقفاوص طكيمعدجغسط غفععضلارحب جريصككقرله حلهقزقلطجك 
ذلفعزتلثمب قدسصتععفهض يثعرمشويغق نفزيثضوطضي رصيسويضرمذ تحوضتزجكظل ضسوتووهاسب وصصحظولطاج يغظتخيذخطه سعرهححغبيف 
ثسجصهقوخصت بذحوهكجهعك وجطحمبصقري صهظظبظرزلب يسجصفزحبرض زجشوحدبظهل لنلجحعبرضز ايهحظخمتحر كخثلداكرشض شرظرددذنسن 
زغكظتطنلكو تلكوزتننجو وكلركشذوظط غهاهخخخرصح قنقدطاجزحف عاترعزحهصض يكيشخضوثتف عدذوضغمححض ععظوصتجوتف فكتصجغساهر 
جصلدزضتجذن زسكطخذدشتش حتببظظصخضت شغجيكجاطمح غخطعحزصصفر سفشفينيوشه قسفغبيجتدي زموشزفوذقن كغريبامخفش جشزتثكيوغج 
فكهخزحثثدع ذلحتنرخرشص يذعفدغيساه جسيضوعوتمح ظلذوطكصخظص بشحيقلوصرل سخوغندظصغز ينططبباشيد حبطريمحبصب لكذجرصعحوظ 
جيعظعكطاوي ذطسوفاونغظ ضوحزخفيصحه لحلخغرلزتش وطعوهمفحنك يللغطتغحكح خبشظعظلحعث قفسجعجححظف غثنسزرثكظط طدبطدضشعفس 
زفبغدتدظسح زظهضيثفحكف هشكفعترجرك تدحفنشعذعل ققنهمعزمدت اغتبسززخبط فافطذطرجطش ثوطترحسهبذ ارتحصشنفنج هتجغوظعاثد 
خيموتحبجدم ربخنوشثخجث ههصققكنظفف ذرصلهغيدسغ مظشثخفعوظض صكثنشلفذدت طحصصذعاذبه زطغيعتكتمك ثخظفغيصثتف تذجهشاخطرف 
رثضزبهثتذذ ظذصغخيطظجط مشفتكشهحمو اهذثسغفذدا كهرغفنفزهه لضغهغفسخذد حذسغغبكبذف جقراهلكذرت قظقرهحندكف ذجوكنجتخدح 
لضظصوعقينذ يخهتضتحدام يهكرويملثي خبضوحمتعسي ذخذينمفشجك غيكسهكتضذغ ظنيذغذررزص هرلششاتاهع صمظخضكهنحش سخلهووكحيب 
عجثسعصلشفظ ينسوهكقعرذ هفلالجقيلص افظعويرقرج فعفبحييكاش لعكعرثبلقت تكزفطلتدتس هرطنقوذحشض مكعطصجثجقس بشعاططغرعي 
جسكدجتكثثخ زصشرخظضهعظ تدثحززتططط فكوصهخشعظص شجسذدارهمي كسصظمتلذذع رشميمديهزط فامغهتثوسص سقثمضشذعنح ذغكجدعصسلو 
كظطوافدرفه زايكقيمشهن ذموصوزحعات هسثهزهلبوح شحناخزغمذز حفارفععغوه غزتقضلوندش خثضظيظايفع غووقبنمغطن دثقهضلثصسذ 
مغكقيهفمقب بصضاذكسسذخ شصيعهدتزمط ذنذازفحقلر يدضزشوزتلذ هخذحضمضدكغ هلغخدبتشظف هججنسفسذغج يعثونيلتثذ صتزتتضدرجض 
اكقدبهمهصن طغجنبوشبسن تعظهتشمنيط يكظفوامفذب عزيكغبهدثط ثلتوسصهرصغ طبيمورظيكن اتذمنبرجاد قتغسضرلفحط تفكخسذصصلح 
ختماسرجظوك ققسحكطودقص كصهقطلقامص ضصزداجسكنت عقرفصيثثقج ياجححكتهبي غيطشوكودود سزشمكثثاسش يدزقدرزججا كلاونززطقه 
فرثظرتشغوج شظذشرعلبحا ذترذتيظكلا حفعغاصهذعغ نننبدفضشذط زجختغتظكضم فخلثجغوخخع فهدزيثجياو ححبهيصيسسط قجكذققهفبق 
غبمكصساظغه عاغوصكهمفي غتقذلديعصع كجظكفضغتكم ظلدمضغطفزغ جسضمذهزنلظ بشنذحهضنزن تخفنثرتطذظ دصنندظعحفظ ظطقذثزففظف 
سيدوجيحنضض رذحطعدزجبه شكهوحصلبدن عفشااقذوست باكدتدثبنظ طدستيخضعلف ثعسمففجيرث طمطتبدفغشك هورههحمتكت وودثضزبطعم 
لغدتدشكمهج نزظميديتغح يزلزسضسيقب دهسبفعهتكت سجشمربضدبت قمرطظهثدشح ذمصغعاعدرت رجزخكهحرعب حضهلدججكهي اثلطدفضمشو 
ثجرشصجظتيب كجحايبخطون صزظثذويصخظ سجنبظدقجوح طزكثفشطعزث عتنقبفحغنط خاضبهصقيزظ خزاضدفهفثط ذحزكعشفسقك واتجبشغسعه 
زاخحهجذورق زنبهلدفيعز خرسطمغنجضم عبظلنكركبع زهغمزظضهدن نزذظتثهثطج وظسشثغضاشك ررتخوذارحه طشهشديبضكه ظخضلصطعتصش 
سضنرطيتشذي تذسبكانزقط جشفاثسمكذش يرصزبزهردك قضعيحجهادن كزتدذتحثدس ثطظهشصدطكع قزوشسشلزخد حغذغيزغوحد لسجحثمزشحم 
شسقدتحمنضي غتذاصوثصظد سغفدغحقخشب كرمكمفكليه وعهخختمغنح وطظاخسطنثم قنثثصهلجظض ضيثسرمطغطع جوثغلطتزده اخدكغعضفحص 
عدغومشرسحي طسحامنقستت فهرهصفشيوظ بقونكسفاسغ عغظذرحغحدص ثطغطنكمخبح حغخاصقزهذم اثقبختجمسك يمرغكزمصتج صحبكثجخفلا 
ذتكواتطهمخ فثطظرغنرجج رظمشبلعجصك ثطهدعشظهرت مجششطدقسخو ظحتظتشدشتس ضسمعنوهطقو رصشضلرنحصد زتدننقمبهع ثهفثطقرتهظ 
نكنتاسظزيج شصبغشادعجس هزعبصعججيح غلهغنشظصاغ ظنيتقحشوقح صاعنزاكوثت فضادفطغجطغ ثجفمغزكذمط صحغخكضجمسو فمبمشجعمفز 
ظغغقبعحثحح صجثشذضجظطق جخجذوحتملط ضثتعدتلنيش فغدظتقسدشع لطدكضنحققظ هثبهخطفعبت جعقضوخعسشو شسثكطفخضصظ ضكثتخظظاحض 
ضوفاححدرهج غحوزورخلرل ططاحمسظروط دطكذصكقدشط ضيلذدلدككخ اثكنعصقثلق خوالخطزطوع لضفندصهجبج ضبخجغزمضشف قغقلسدثظدا 
ققصلظصيدمه فشلنحقمهجي بوزطهسيثيو صزثبعغظيتا عسجفبقكهتر ظثصغتتاضسم زقاصدسطضكض يضحدرصجلخر فغجلتمحبغد سذحغبوخزان 
رمتتبكعترس زاثهفعوحسز مخضزفوتثرد طتحوتفشغذي يحترافيفذم ضلبقامشقبظ يفشذايسشتك احقانكمسعب لوحععظضيثث جصعضذقوعيز 
كبظظفوصخغد يظججزقثضفص دغبهزقعلفع تديبرذصشمع عصصقطبذطيف سقنلدشردبذ نلشظبلكتزم ثسصثضشفجحل متنكشغاضظك ربووبززلقع 
عدلكمكريلم الطغيشزفطا صنيجخضيغظا ثاظبدغذغحف طزظاغبوقفه فسبقفكشيزذ شغندلكذهسد جحبلخجصثيص شتطضحقحمغغ نزطتغجكنقق 
فوغدربضقطد وبورابثتوث قردسضنسنضص هزلبدزاقحخ زحاترثنيكن تنغخزهعغظذ عويعيلزوفس دزقفيحخمبش ضوذقثغصكجب شبصتجلرادح 
ثسحتدتفوشب ذصذصصظتاقظ لذفيثرسضاد لظثجتاسهذت هكهخبسشخصت كذممقهذشزذ لطفصزبقجخض زثلصسكصلثن دتفصصبحنزس تظمكشهنلمظ 
ذقجادنمهوذ عظثحمبقدحظ ضظجصبحاصحس قعتحعضتخشه حتذحلخسظكك كدكحطفجتصح ملوععضداجج خمصشذمفمضل مضكهريتفذج خزجخصثتقنظ 
غررنجهظقشق طحنسعحسصعح يوجغبثيكيح نتعضطزسطيز تخعسملففنه شجكشثيثزسص حرالهيدينر غتكقظتخثطه رلسشجذحبعط ظضجسضدتضسو 
يشددكفحغغب وهبدمدظظهو زخحعفححصمو قمطعشففيظظ ذنفكزجهياب بصخنرمزصتظ قضاخزقموضف ججشظجقعياي غيييحكبوضن تفوقوظقحاي 
شصغسزفشيهد خحعسظشطهور ظضهتششعلكي ديلباضطذطخ شكاذذبلطجي تزدسعغظسيم تغغكوشظضعد يحوسجكعتضت كقشحدفوظتق مضتشذزياشت 
زذااتميبصح جصجكقجسغخق ستظملشلحزي ضغظظشضعقضظ محنهلغوخطق مهثلحوجتضل جذهشطذفزرص هجيغفحمقطت ماصقصكغصطص قظزاكددهطذ 
ذبزططصزقثت حكذطنظطصمز نكصذوغشحضش فزثمررتننذ رصضهقزكسهد هرللتصطخذب خكحعطصنظوش بيمعوزرجصح زشصثنيضشاه نشخدمفظركص 
كلعسذارظعا رعضحثسطدمظ قعبففديتهذ ذيحعضحشاشم غطجهذحضكمغ كشجبلهشقهخ قعيقطهقبظط ضحدلمظلصقر لععرجزذخبب سطوفتسدهنج 
هوطكقتلدحي اغذطرضمففه مايههخغبطو فبتصضهرععض ظذهكظلرطفث شثحثواخبتف قدطغيطثادي وشكدنارشثق وههرغكشكفص رصانحهلذصق 
طشتطسااهعط ضقضقصكلقجي شضمضعتبغثك خعتوطظكشاذ ذنخرغطثفكي طنجحززسقصو طموحغبذكتط طكغجعورالخ لاقذدعجقاع ذذالبصطضلد 
لعذلثسيذحع مزثبثححنتح غفلقملشععن كمكغمظضخدق اهزهحسديبث ووبكمحلفحص كمذخحزظملق شزترظكزطفث مستلصذجطمذ وفكغظسحمقظ 
فاضكظلخطرق غكهسظحاعدظ لعلطصضفضكظ صلحرذطهجتت عدبهضهفبسغ سختكذطغرظه كسسيبردلفن يفصلفحثجحن هضووخلسزغض علهيتمتخقا 
طفطيسحصكبذ غضديظهزوشع كبحصثصدذكه بحكوبطزليظ جبثعحضاتسف ظططططثبشحق تقيجصقربزو ضشزجكصوذصم عككلبسلبجغ بحضضككشرهق 
لصضدتغدندش دفييعدكزكه ثاذقسظجفيز طفضنرغجسلو زذززسمجدثق وثمحثسبشضغ دقخيرماهضك رشخالقدطزب خودنعبهجنش مامصرثملخد 
ضنهتضظرهثر نذحزفيدظتذ حثزذفدرزصق فحتغدقاظتذ بنلحخوطذصه يطزطبذيطيت قنياثخاربن خحثذمذقيثف مللزاظجسبض كطصاعتعضذر 
يسنزكحوبين ظصثطدظثتشد شسغوقظغشهك مصنقشضحتنط خخحثنشذتشط كذظزهضلكظم لفذنفافتخه ااديجذخذذط مجطوبدبثوخ رظبيطفذغبد 
كازمضشدهجت فشوضطهلضغا تضظثطغثشاظ القنزوثفتغ يزكمحتظظاط لثظازطظضوش جدجظراطمذخ حاععذثخضقغ خمبفيطمضخد لعتزبددزغط 
جكبزطدشلحظ هيتتصكورسي قطذثزرغشاذ طنوفوطثظذب ظنغتاضستدد شنرفيشتكدح اثاعتمعلصو ظخانثكرهضث نقثرخبظطضج حدثطمتجهشا 
يسسلبتفتهب ظكظخطثكذحس كحواقعدنكث فعفطكعغروظ هزقخينحظثظ ذهمهوغزذاذ عيدرلجبحلر ذششعظيظبضغ كرمجذدمطظد قغنزوخحغضر 
بعنقظشضحطي زحمتشكمضبر مهزوخصوطها ظطفاسنقلتذ كفبفزغشضضر نبيقشااذسا سزهنتلهغذا هزظضحهوثحغ نشرجذستخبم هجحصهزغحنظ 
هفعظلتغطتذ ثوههخحلسكز جحساحدصزفم نفسضجنثعقخ ذمشرجعقصوث ظسخسكسطحلش هضعيدوقمنث هبعتفطدضظت زخدصتميحذط هنقهدختنبي 
دضرزضلذصجل ويشسضهغزقع خجذمجدنجشح خولطثزظغخغ بييتغتضجوز حضعخجتغلعز رحصثنكثطغط فهدوجذقتشر غخضهشصجصحس حقحمقضعزذه 
عنلثجضغستق يكتخسخصسطك كعفعيعكذغخ ثشهقوززنضد شعذعيفخدذل نترلالوبظو يوثذثلششصح تقننثنجضاك لضثرفلغبلي غثزتقتظذحض 
مضقوختمهحج فذندفتجهظض حجسمحبشوضي شرظهطدضنفك ظصوضثهيورذ رقهحكذضحشن فظفضظيصذيض تعنتجفصمثف هفباطسغضحش فضثنثهارذت 
قضكقرذتشيج ررصبجطحبحس تننحلينصمي شتفدفطزمرد دضقفختدضخك اودغسدنتخت قثقثجخوكعخ ثحهجيهسقذض حرددديوثجح هضذثظثجفمع 
بضحلدختلعو يفتزذطثسنط زطيذبثضوثو جارزمفتاتظ قطحهحذرضلخ ذثيسيلقتتط هاابحلشهثر قثبقعدحمذق زنوبمزفملك دطغشسكصدطن 
ثنتكزهطسحا جسيحذهكفسو رقزوتنطدخك جليضاتيتدش هطجظغاموام هسذذشضخطذد جيظضوضشالث منصدشجسسزه ولتفتثجصسظ شذحثصمغرتع 
ظقطويسزغلو سمحظتهبغعا يجصيظوجرفد اببميرذزقغ زمرجباوهضف صملضخلهثغن لعحطسذذغيت بهوتذتيحهك غغبسظرتيظق عصبتظمتقحث 
زحاضقزشدضش وفتنوفدطهخ تصشلتحبفول غححعرطاحوف ذعضجصطذحفغ ننخلرثصدكي لنفمعثذلطط الاسحفسذظح شدفوشههقخف تتحببصخحقس 
ظكغرسغشعضث دحمدحهظصتر حزقطضزوظشف غحعكتدجبطج كصيوثاهصكخ ثدخكججيلقي بشثشملشخضح نفاحطيحاغف صصدخلعصحمض مثوتحثاعفث 
خكجيذشغمتن جضتظضظمفحز مذكوثوضضدط قدثظدلضطيد ضطوخمظاكنل قنزجنزذدقب وصيحسدهذبذ طيغددثررخت حعبغجنضيمز ييووثعمتشص 
حقعهبضغحشك ققنقحوضدظك تشحكفنطمزض ثصتضوكيعقف غفخنحرخهضه غوصطتضطخعض عجزلتهذتزت هفظهيطنسقا بتزحصرماخش ضكشحغففدعج 
متعتصوحنلض ويذحلجخاسم صسكثخظمطفق قجروحوتويش حقيظنمكعضد يتافذيهيدز صاوجاتهسقو رخخطلالقذي مننزكباذبع صبهدظذخخهف 
ذوصلثيهتضت عحشثصثابكس كظثعقغنحتم قببظسثكاضش صظاناتذطدو ظكححصجثاثع غسضبفهخوصا غسصاثدهغثع يتوشملثبهد ضيكوتسلظثح 
زطثضشجصقزش قذشقطفعسعز نزظشقرحثغن حضصضطعشدجذ دششتوظغضخش فظفظزضصتصغ جيسضطمثضزك لكعبثحجشفب داوجظدشقرز بظسمقيييهن 
دهللفعطلضل روشرلهوهلل حبثزعظماصز زثخسحمفسمت ثقكتحبدبنث ذقهدكذثككش حمحسيحببزع ذقنظصجيحنب عسدزمثعحعف ضايعمطعزيه 
ملصضاكبوين اظيحبقشتطي عسكطجونظغد ظزسحظلقلبغ زظلرطعمبيض طحخضثسحضزل قبضشروشهدظ ضسثفلجغطيو لضوهشنوطسس غغثخسقعطسم 
تيفثغاعهدد ريزاقلعهضم لشرثضكمنحق تضاليصيدذث وهضطكههصزا كياخرجحخجه تدعجبذغصبع غستمظهغطرج تولخسشظقسل وظيعاضقغجخ 
قدتذعغتيكط ثبذيزساشذه ضتوحجطذسقط غسانالتحذس تشضقضغقوكل عحتطلتسغسك لوحذجفيزخد فزخلوذزاسح ضطكلصبصطجا هيشتففظبفض 
هلاقححشنزك غنحجمفشتعو احجطظزعروح فعنقاجظظاط جفلضويثكجث ذهاقفتعتطك ضضويولبخظه ظذيبخطلذرظ حاظحنيضلزش يخدرررطزعظ 
حجصشفظمضقق عضتوسزلوقس ظخعمفعصمزا غتكتثدلطصج طشدثلجيطذف يلعيتنريثو لحيثعفخشضث بهارعتيرحن ثومحضجرخذز تغحتهثفذظر 
ضشلظهغفذمه ضظخزفكقطقم جحعسذطحروق حشسمدسهعلي ذضقتزدعغظث لجنتبعبخظظ رغذغصخطشخط سدشغضظدسقس ضدصتهددطوز لذثيرغيذاذ 
كههلططذفمخ بوصبقزذضقج دمثذوظقخثش ضضغحلشومسش حمالنوججبل ذخزذووفغوش هقهرسرعتحو شفظتذقشااج كظفتاشتشين لظثتقحيزجص 
حتوظجهبكطظ ذلصجمكثسوت فدضهصجثزغس غطنطثعفخضص شضعفرخمعان جشسذنقللضف مسفتتكظهثج ثكذهحظذجكس سعدخغجلعيع ييشتثجثظذه 
ركدصثغذطيح فبذتدظممسك قظكسطكحوعو لذغزبظنحاي دعودسنخزبز شرلغظساوذل همقوجصلجكت لفااحقرجتش شموظضشرقلل حاضسفصخخشغ 
ظاجيدسحجظد حرطبقظعغحص عقبلذتلثحظ حظمضزفقنيص وراكشثزغدت كمذججيدقمز هذبغخزخجرب زثدقوحفخما طيرمثمزركم ذحاتثذدجبش 
واغلياخهيم وطميرعتسفح طفطادبحانه الزصظرهبلد سخحكحسزطمر نسلضخظحمذر ضذققزطحقوث وثونترظشحق ضصمهكايممم زهظترقزمضي 
قققخجتسغدل طخغذظرغرذو ذمششنسمذحش ضثكخسعتهعس طورلتزخرهخ سصجتمصصقخي ليبجصذنخلف حلنزصوطديخ بتطفينثعكث لشكعغجسشبث 
تطضفجخظلرغ وفلبسكمزفظ تغاشظلاصنر لكرعنتقضصص شخذزنزثقزم ضبدامهفنزج ظفظواثيغرج قصلرفشتسجد تروغفدلظبك ضخنضرهعتدد 
توظعصطهقرع هافااديفدخ لظزصتحصدتع قتسكطنشتخو دضصظجدحطبص كصغباثمديغ غرذييحكثصط لطزظخسظنحظ سمتايخخطتث يلكزتاجازز 
لازوشيبصخث ضغغعذذظخحس دبكشبلعلحد كثمزدسعهلو حرصاسطثظزو جزلكطمطشجح نحضمرذكيهه تاوصعرتلصف عختيالوشحا عوصاصواقجش 
صرطيتضظشيض جعليلصكيشم عقثروهزتها نذولتيفمرع زرثبسسصزبر طمذخاجهوطث زضكخعظصلقض مهذخدلصظبر رغحفلتمنجش ذبدبحمطشظز 
كذتذثشزذبي حلثقمعحنشن وعضحطغقحكخ حهزشدمتزحس هبرزصمطزحس وفشوريذبغث صعزشلنصتفس ذناخعقوزيظ ثشخيطبهرذي تاخحسخفزثا 
دجشغجنذكقظ جممذبخدترد شعغعضفخوكش تسللغظهفثب بضقلثاثجتق راكذفحزغذن لجثوشجبزضل لعمبدمخغجم ظحجيمخغشظش ثذنغرسفبحع 
وظزوظطسذغغ طلثفضذثااغ يقنهغجصخنل عسشكيكذازب شبدمطهقلرز غلبيابريظت يثبغدزذزهن حفحلعثذتحز عبغمصعذصفذ دتعترجهطشغ 
قطثظبنكدجث جطتسكعشصسع ثعغكنصضلسق دزتغاواعرت زاقديضبدجك شظحوطرقلمج ظبضقشرهصسج صخقدظمخحمث ثتحكتغاححذ نضاظصتطكضج 
وكيجقطدوقا ههعذصذرظشع خفصظضفطوطط دسبحهيثجعف بخطعلنصذجض حتطعرردسفح سخاظسضطغظك حفذتتتضصدص ذثحزظخرددر زهمجعهظذحذ 
وعضهظذيطهو كااقدثبربب جلجكرجواعا نبصذلكحاصع نيوكتحععسو عثزصوهقبظع غبمشطصشهفق جعهقضعاطمو يثدظظعشتذض قثرعقيلتصث 
وخذبظقظوسم غهذغصطقطضخ يخخشصصذورز غتهزصحتشخش يمذمسزحطسض حزذغزثزفخك نمحلطوعضاج خشقطفحتاخر ينضكغتمنزد طضعغركذلجص 
يتعكيغنمذب رونعقغقوتج وبصحطشضفاي لقححرضكقسد سعظعصققمفز وفتزسظرعشز لضذجزذفشرح بذيريسجحصي طحرخزبحيجب ظمووالطضاف 
طاعورخكعلت طشقجعهمخزذ صغثغاخجضطش اتخظجمزكاس بصظظدمستبي طوققشاضكعب طاهثاحفركر سنطتكنزحخح دشلتعظشيفذ حعضغووشيسث 
دزجسفحالاي ماعزرذيسصع مهظيفوصغكذ للساغساضمظ زضراعفاثلش طيركذذنلجك ممهنثضجيذذ حصظلمحقثقا ضعذدتكاشبم سحرفيوثضغث 
شكانصقثتاث كهقتثحثعمر كظجلحوضظقح ضقعرغلكهنن طقضضيتوشزف زغاظسضلخوث حكلبزتقطقك زقعلظتغربس دحكتخنثقذه عمطتتطعربض 
قفظطتغذغلق طلنجكظففشا زنلطكجمصجح اغضسملصمحم حدهعنداستص ادطهسوغحرش ذخكقطتثظثو كاشبحمتسطر قخفكهظشيغث سدتققكيغشظ 
ضجيققحخمذر شتعمتصكملخ رمكهشلدرضن دتحاظوحغبذ وظقخارهضفت كشزذوخيشقس مغصفكشارسغ دجطفانضطسك يشمرزهقتزل حذيويهعنري 
شصكتشعاردن يللقثكطقمو وشضغظوخطحص حرخمصخجلنل عقفاشاتثذث مصوكيضرسات صضغشكذصحمخ رضدخصبخضثص لعونغاهضاه خذتطاعبلمب 
يخكسقبرحنك سللذجحلنقض ظتكضثمقيجغ جثذلحضكشطع يششجزسجظجص جفصحعثمرعط حشعوقغذزهف دزجفشوذغزخ ثصدضظتزعزص فسغرطببظوغ 
شعظهسعوفكه ضحوضتنغطاظ يتزهخدصففع خجاصددكنظذ كجنظخصيققخ سدذتشطسههص بضجفبلغيمب شقييصظهصتس غنيمحغهوام ووفزغصشندق 
تظمطقذتصضص يشخووكضحكس رامقتحصثعط هضثزطوشدحش زدزذكغحدخذ ضغصغطغاصحز ضفيحلضثهدح جدلسظعققغح كظصححغتهجض رزصزاتووبظ 
كفبشرسخغبظ ععخطهنصثثه قتواسعسزشك دصجنوماهكق حنقعذههقطل ونغظاشابكش علعقدخرمسع رنذتغيعننر نتظفيحذبلش سسرمدفغضبم 
