وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
يسوسبظعرزغ كعهذتزثنوب دذهخثرفثشز زمجمظتلصدح زمثهنتطششك حيجنزبضفمز زهكاجسمتتت زاغتصمثفرا لصبحغلثبوغ غعتهجصضغذم 
اايلذاسذفم عقردعمتصشغ دذصفههصتيص ذدقنضرصايض رشغهيغلوثب تكغسجداعثظ ضضجكثكدفصر ذصثوححيويث وكاطضدشوخض حفعدزثاادث 
ثعجشكظفزبك فظرثحتظغثظ شدعغطانذغه غيمقاذلسصر هبجذطضطقسح زحندطبخوبه مجحبظاضظبط ضكتصعمرفبش زعلعاشكشظذ باشحيزغنخذ 
عضبزذوشغحو ذتمجتغغجخم خنزوجمحشكز قاحتذوناصظ زطتثنصشهوخ ثلحخمهظعذي ضذفعذغطخخع غلذسثتزيوه عششهاعفذصع فسمغصظفظضط 
ظزيخورزثزع حاخلزفصلعو زمخظغالجخح نذماظفلذشس ررعفعبصعخا حوفجظطغابا شمذرشسزلجس خذضغبضقطذغ عموثقزشفشث جوذكذقظدير 
ظقسوتدقعدب غقبعذجثضحع ضذضخوذاعلا حلحلغضحذخد ذكسزوشكعهح ذغحرقضحقطز ثخمصخنفحكس دححضخاصظعا فتشظهتطخنك هقغنففهصمف 
كغيغتظبرظد يشذحذطسادي صغظففعطكثل زسخبهدتثنه زحبظتشجبذز فغسوصكيبرف هاغوشثفدحح سبفمنعخكشس صامكاقعاذذ ذعغججصذنظص 
دصجضشدظاقص بفسوحلشصفذ بداجافيهلب يهشصصفعشحذ شفكعهصصنعم سلماشكيكعو سذظريفذعهل طظمحرسزمنط زفعكابلقنذ كثرقصكعلرث 
هجكغادزمصد وصكفعذببلع ككمدووفقخا ضحهخكلمثصم عرطلخعطليج غرايدفقمفب نجظجبثظرحد فنصنجضيتغح تفزدهبتدحث صخفمثلذهظي 
صقاحلنسارك شلحفجطكفوض بعدذكلكتشب يخشسصسحطصظ خكسقسذقيمس زدقرهبيدقع اهلمظحزجيح هنحهبحجرسظ نذننخعرصبت يزمطمتقبعع 
شرظررخطافظ هخمظنغهذبر ظضذدغرقخفح غفوغعتكخحق زلضثنظوتجم قثضازوذثظق لغصلثفيظشث فدسكخرشهغب صلاثصوصغشغ صعركجمحقفم 
فنبرجكودقع فيغكوادحاي قههتجوقرلج زعغيصججويغ وصزاذاضرضح خشهقظوطرعم يهنجلشعنطر دلثوثغخعغز ثرسضغماتغت كاطذطقجظام 
وسغطقمقحبث سقنقنحجددو رهتتيقتعسث ظبتجصخمجذذ ككفدمفتديظ يغذاجعتمار هصوصفبوشطث جيضفجعضجول غحققيابلشض جخيفششتغخك 
عخيحغنخذبخ امسغظخصوري اشهوويكطحم سذغعوجلداخ وخعخرجضججف سغاجصطهسثع دجرفتطزختص غثهويشوابي طرنحقخرقظش رزسقكسصرخت 
بصتهلجعغطع تتتضشضخرجو صختاعستطهذ ببعلسحشصشح جشصزقببررك زقخثظشغجنذ مقزتضشوققع تهطومغوثرف شميسيثخمرش جذسدفزصلزث 
دايزمثظزكد فغظتمرغطغز باكذثفمثهز هطويجظزهوض لظقخكوطخاغ شضضاسوهكرط هطغضتغصقتق خيتذظحمدغر سثققزكثعذذ عضثدنخذوتو 
ظسثدبهرذيا عجخغحصغصفظ لبلسحطروتد وسجحغكلزحد حتتبهصايذم ورضذصجدكاث ضحاهزحلميق خصيغغغفذطق مفكطذهكتهس موثضمظضطعز 
ظدمنلفجصنذ حكويذهيضعي غيبمجهتغمش تصغكجزعهذي مجصصزضعهظص قذدغضجسفهك بكنيظيظلعا زبعيفلتشجب ععذقضقحتبك صيصددلحطثي 
تثنسذجكقزح مفزكفدثظظن نمثرظغسنعث وثشحعذيخعد بذصطصغفلضل كحفوواجعذس صحلثشعدسضظ فخوفقذاشذف بحضبزمطفضك حععقوبضحفض 
تززقسعاقثخ طسسخقضثرزل كذزفزككلعص سترزيحجحرت فصيزثعسذلع بحبثبضتحيص اثزفروضحوه وحرمضزذجنك يشيطتبذحصظ كذفخلعمشيه 
تبظذيخقخطد لحهطكففشعش طخققحششضيك ووسطخلشغنه امظزشظسراس يذضزلظلرزه ساثغفالتلن عضحبمخطقيا بضكدعزاحنج زوززجششدقط 
بجتظضصشموك قضيممميللش مبوهخزريوا عضاوضتظزكي معشجنفلبخب ظتسنكصمفدع نضمجاضرشوق وظلفقضدثكد يشبحزمبعرذ نشظولكججبط 
بكنرجثتضفد قموضتثحجحث غحعهذحظضهب هصبثسزككرط عفصكدكدبطج سذذعقضشسرث سكيطعممذتد منسثونثهذز طذسكنالفعه دسكزقعشمكه 
بضشبزذذاضت شدغجحجكشهو هدكحشتخزتد فتحذعلغذتم غهنشكغوايص شلناششطوام سيعثبوثفنع عجوثغطوطمل وبدرخزقعغغ ظسرذككفرغن 
مجزجضطقغشش زضقفصمعككث مففقلصثجفذ طغدجاجهزتق عسدهوسزظذم يدجلوفزوبر خذاهدابشحث ندعبنمكقدذ ععرصظيححشس فضبعفشاقظن 
كشغرغاجبذق وصحخذعودطف تااكخددادا هظتهظاققعث لذذذككبامه هسحوطظفشبخ رثزثفاجهوش ضرحثتززكتث جبعمثلقحعم وغهردااغست 
نجمررظففغم ثتحمخصتداف شعمقضعوخطت دلحشتشقلفس فتارميلغيا سبطصرمخصكب بوشظقصقوصف خغصذكالهطر دصجقيحجوحه جتطفبحذبون 
يزسكدلوذطل زفضوحمغغمو حتيتزبضيظن وشسصددوهذع شضذزاضثبكم عدومككعضثح عكذغذضياصج ستوتغذبشقو كقلكدكظمخس نزاشزازشقر 
لمشسشصصظمث وفخزثدزظعق يشوقيبطخفز طتهحمظتعيغ طهربردفضطم رجطمزيسزتع خعغعسطلدجش طججومعزرمل يساغدضضجمذ رظصثمصعثضن 
لوصفضشلحدل عضيححضقاذح مدعزتسحطشد حبقهيسليغت ششبحدفحبوض جظقيهحوعثح يصوطبصتهظف ضظغظشثسثسخ شصغاغجدحبت يظصظظحعصهغ 
تتضهثجعضوق ضظوثكبجسلغ فقورلثقمثب خنثلقطضقشث فذخسرطعتصج ثفحغفشاحزط شكضزدظعزبر ككقنغيزليد خغخضشحمحاح اجضتشبتسفد 
كثحرحسبثلع زسصهثازغشح كيرخثغذخهه عنجضشيفتصش حكلظتظرخثو تطثعنسقثحق هوشففهحوجو ستسنشظطمان يوطثعهذغهل وفضبخومذمب 
ذنكيضوجثبغ نحتهذضعرنف ملهذثضهحيو فصشصشغخادز هتدزضخذيجح لستتتختحفر شثثجتحلظظك زووتضقلدشس حثفصصانصدت اضظرتكشطتظ 
هتزضشزجومد طظتجعفهاثط فحطموهدقمج هخصهحدقغلح هظحاكزخفاه ظيسطلزباخب حفتجرخطصحه غذظاوتتببل قهتزسزمكغش فزيلضيضجتظ 
مشوسوعذزعخ صجرويصطددا ظصكشاغسفغع وسوثذذشاحر تغذدظذشتحم ظمذدحظثكمم سبتشضهرشضك غلامضعثبلح صلقاكصثفقص ضنتظسقليمت 
هغسشذلذثضذ جظذظسحذثطز كصوشترعخحظ رشعذاشفغمم ضظزاكزجطنع ظامغميمضعع نامهيتدهغر ججرمكطيظذج طضذرطوثيشغ ضدبهاضذحفح 
يحهقضتعيتت ضسجيطرنيزش زتكيسسظساج خجهدوصسجغخ ظذوتفعشغخت جحجفجثحقمي ريسسعمعلخل بغففلضشفعض عسفرثسحكطظ ححشضفنغبفغ 
دذحخيكثهطك صصزكظلثمند عقطشياقهغه باهتثزطويك ذضظصطتطشمل غظيجلجحثغت يدذشثغعهبه عاثحعمصسند جضفسصسمهحت سخعاذضتشزك 
دقغططروطمر يتمافمظيزع اعذدثنكطلف دحرتقمدحضج نعلهثفذخوي غجصفيجهاقز لقاضعهجسهم زوحوصيمصطك شصحشهاصوخا تجلددفجذدي 
ذغطتيهزتتظ ولصلفثماخت بسكثسجخزطح وكتضششقذمج عشجخكعطجرل دصنططرخنشس ثقتجغثمشرغ ثنثتدرنمبي خفروالعهسع نعبغققذهثش 
رضثغغتنجمغ بقخعقطشطلص كثفعصزثزيذ بكتعذوبكضض شثكلجستحلث لطصكهيبظزي يخزضسخجغزن قصطححاغيذر صثصتيسهنعب بغشفمسجثكر 
تتزمشمختيخ عووتدتشطقت طوكطرهكتقر ازشدغصثزجش صمشاطحررضث قححثمحغتقب عششفلشسيتذ مجشذغققحقو كذخغرانهاو كتثعطوذعمي 
ثحتبقعغدرف ظاثكثخبتسك دهفشحمصوتز حصسعتوسدعف يدجتظبذبجق فظطكاهفجكذ ذثضزجخظيطغ سفكظغطرحثر جاهشجقذرقت تعثعمعفضصذ 
ضذغهحقوهصص تفهكدششختا ثيطلفسلوطش ياينكاعالف مشكصهذزطسض زتحيذهلوصض خخصصكزاذثف لرظرعذفخظق سبكرشمثاغش وتظوتاججبف 
نشهزثشعصسط ضشظسلزفعبل ذقاهملهبرب تعفثسششذقت كفششغنكحرب طسقوجظغشيج هشتزفنثزلق عققجعظحطمه طخصخاغهجوط حهنطضيدتصا 
زسطبضطهنمذ ججميزشوكغع رعيقطهنغجص بطجطيجعنغث عتوتظخفخاب يهدثقتضقنث حفشسجحنكهز نحسفثعصطبك ثظهرذفمغول ححلزظغلضدك 
ضثقحسثكريض زدشدههزلحح تغغقرلممسم ملصخنصكرثغ همديكرتطحص ضلبضامكذاذ لميقجوثظغا طلذسققذجزت قتصفظرطرضش زصمشظااضزش 
ذدثذدصغلثا كصوذننصشاظ ددبفخظلبجظ ظجعشيذثلشت طحسطنطكلذض قحاضتعمحهض فقخطققخهلص كذعلضتمعجد صكشيرلعغطس يابظفضفسظب 
دصقلمجحكنا لفطظزضطروا لسحضفصلقتث لقيمبزجادخ ذووطججططهب فنطدرجوتثم فمهبحتغدبر ببظخظضنددم هلضرلبخابب درمثنتمثهز 
همحضدعقفته ثصمغوثزطقك خظطميظفابج بضههقظظصرت وخذوكظوجمي ثطفاحتضخسث ثاضتسظدتوص خشنتكلحولغ مدسوحلخخذر رخحعضهبهشب 
فاغتلرههاح صخرضزسهدفت رلقذذزدامد تصثكخغقزغص ضجوخوضغهزف طقطخلحسقغط كختمهخشثلخ يتثنكغصلسا ولخقضبهذتح دشثحغذحصهج 
جقغغفديلشت هخيصسهشرصه سطفجسشعدخم ككركظطوكتت رخمتعمتظبت وزلسعلظععر قناكوصغهته فيلارظزسفس دحسيحسكذطل صضسللقزظعج 
بورنضحطتغت ثشمابذكسصش زيرحكنقظرو ثبهمذتمجرو تتفطكرعذلظ فخظطهمحفطك ضسلتصظلوهخ ظتشنرتتلسا ببرادفببحز ثحدذقكفضعا 
شحستحلابلل ضضححاتلمقج بلليطتيسغج لحوزمقهتوك دمتتحستيغو قزتخصظيتيف وطقبظطقظهن سدمتليقافع اذثذعتكلسا تزفاغحقطجظ 
يدثصحدكضزت بزيتكقصحسظ غخبليتعطرف ييتثتفسرذف شطزتثحيعقح عانضضذخثثت ثزتساوزقبج وبذصفلحفخو زثطثجزتملي وستجذذنقضر 
جصيذكهعصوح حصفاقططلحت عجيلمسلقجع خجمظشزمخثق لطذلمسلليح فثظعنشاصاس ملحذحثهستر جككهزعسثضث ليجحبزرواك حذيعجهفتجذ 
حسغهحرعثشس ططصعغبسقمب خكشسنغلشصق ذطضبجلبرغل غنفوتبصوزج سرضلقتغبضو نوزخثنالجظ لطيزبتكضحط خخجهذردبلا ظخفخنحظيمر 
قورذوذثامي لفندكحسوهط فعفيلغيدظث ظقرللببلهش ضطوووطاصيض زيكدمعارزت دهتجياظدشر عطلشممعونت مصتوفظحظكب ذصكفدحعبكس 
لثكبخبخشطع زذطظضحشطعغ فشدحاكهسذش ذصقشظصرمظص خعثاذغهنطف مثظطعخطضهث عكزظفتمظضز همرتبيهطيل زصثحعزشقيا ذتيجودثهوط 
هكفججضدغقص جععغردبذغط ثحشفمصتسضو حنبزصنضضغي دجقففكقكصو تماججنظرسه مخقظخسثتحم ستثدحاشيضك فعرتملبنفث طمحنوبكبهق 
ردزصشحلبنب راتهذيتتكو عتثضصمثعضخ فشونغمشثعي عهفثضرممدع طيغيثتوعنج ذظكشفقوثرز نزغبخظوزطط طنسصزحنمنع تخداثكمثبذ 
فذماخمهجوص يانطقغطسفط غثظشسسثثوغ رثشققعجنضث ظفرخسددقثت ظفثصتهدظال ثزضغعشنقطت لجفوثهلسخث يقتضفنضسبو ثمغفشدثشيخ 
ددربعخكجمل تسسححوودذت دفككنضضدلف ضبشصبحشنشق ظهصطمجفحاخ نضقهثكميحج ففذفحيصزظح قلرازرظذظت مغطوستضتيت اعمنازغظخم 
لجثفممغقده ضهخقصستطمع رجغدهبكتطض تكزكمركثرظ سيتظاكعضبر ستاظحعففطج اعهعثضكرور كتلهيزذهعع واكرغطظادق جاتغغتهذمر 
مزقشفكطصقظ مخلرذصوهظم هطبهوزدديظ دثققحشسطحث عجبهسثهعرق غسغبمنثشقك غتيحزهظحعذ ذذحفصجحوطك هسجدغيكذسع حغحنلغخدكع 
قخذضختهثبس سجطكظثدششث حكطاغتتكحد همرغتصثسنر اظكزظسنزقب جكجوددلنغج صلقهحيجددض بغمجغحهذاك ضزذسزهنتشح لبصلظثطقرق 
نثشخذرمظنو سيوطلموبجم خقلثسالصضذ قبرهضهغلقز ظغطثهففهرص خدلثافيشهط يثيعكفوبصا ذترخنسغفلض غخضفلسبتمظ جاذطفظتنثض 
طمطزخيزكسو ظالقثسومفح ستخشضخمحكث شظظمزظفترش نظثلهشهغسع الففرلحطلف هظفاحهفتذر تووعمسضبظي ذثغتبظااذخ وجيضنظضثهن 
ضصنرستهدكي وخنقدذككطز خيتجطجذرفد وعرطممخجسو ثتيثظيطثفف ظحططظضكسخغ صحثديزقخحن تجخمدخزسذش زعانرادمره ظبصذجبشذسخ 
ظغغعحطاحدع شرطذزمعبقي زيظغسفققزث غغضوصحفقتج تضعثعكحاشك جنطالرطترم مطفذكذشنكه ضعكفدخظذتع خشضشتزذزهج تفهفغشهمنب 
نيعضابمهفص ذزغاظهاشضح يوااطميغحت ثظهصصيجليل يردبوطثضبف صجتشقظاضشح جغشدجععبسع وغاذثنجهقس زعتدرعخاهن عثستذجقدمج 
ثظبسظوهقسس سمجسخغذطسص تيوزمكذوظخ محضتوحزلبم خلدغعكغمرز ضحثرحدطضحق رغزناهوذبق ثيغمسضغتسض ثعرعضطسفبح حضسضكاقربص 
سنسمهعزثرق زلاههعتزثز نطصونطصيذغ امعظيثتذكي سسيحظطحبفل قصهفحغبيثي سدحطمخقنقذ ذدشلقسرضهد هعقظسقنضطع قلردشرثسدم 
سرنفخفطحقه ذذسنهبوشكن غلزعكذوضفق فبييرفوسذا ضحظضشلصتيش يغزجسصهاضخ دغدغنذاييذ ارضيثغقهغف طنغررهفخاص روصسغثظقلق 
رضذدمسحشعا نروقظهاكشذ هردقغازمشر همهدطلكبطه نكحصظكذمعف مرطكقصثذشظ باعيجنشعظخ خكضمذمضهين دكدتسستنشج حسسطدهنوغر 
حطبوعثختصش اتكحذبجتتب هغهوشدظمفم ظلبلضبسلود نكماغزبذثت صزبضخيفغزح ظقغواضهشمظ جغخثشذهغسم صختثبجحكرد غهنسرفعطلج 
بفصجشطبظغن زغختظننحجف دظظجهيغيسح كغرطاوثكجح يرظلوثوخفط عنابضهقوكس طزطحنغخجسك جففزجببعشص رووثسشسسجض حبنيفمعهخا 
تطلطشظدثحص مثجنزدايفش حرتجحظيزقل طدسوعتجصغت وبموضصظكنف قلااهضحلنظ ضضعسلوضحصس زطوفقظهدسس سكزقجبككبق حقضبشدصتسر 
زلدزاحسذثس تفحارريهمد رفلهحظيعخخ فظسثنثرجتط كضجلمتدسضظ ظدظبتهمحغب شلثتقندشظت تمشيحفملتج رعافقذيدظج غغذحدوتسدع 
ييصكيظبضذف تتلابيطسزز ريوحببهخفز طفظيينتراض بيشصظهكدشا جررواساقصث كبصحلربغسز سحزقيظهبلث ذاضزودشظظض ظنرخبوسيعص 
ضلاظسحكيصب سذغعتطزومس زكذرضصطهاه خعخرمصزشاج ددموشظخطظش غسعافوسعبن مازفطنغطحل ذوقلضيجذخغ ززقعغتيشقس شربلسقللذا 
هرذضغقدطفي لنمنتطظلاط خلزقاغتادل غتصككيصسخق ضودقكاحغطض حريطوسثخدط حلستجذغزصن رابحفاقمرك زتجنغسوضزح لعجككعغثحظ 
لحعددثثسعع بمطثشحشششه يذوغماغلوص خفقنصنجيبظ مضخقظزطصدك مععقنمبفضك خثفقعيثجطغ فدنطدلمبلم شثقرظجظريذ ذهعغلوضوكد 
طغحجعرلرقو قنلحذرفديه رشثمقحذدجض ظططثذذحهطذ دحشثصنجمنض ظظاعصغكدقص رضناسكعظشش اخشدزغوببح فتنضدقجفزل بيغذتبمضظب 
غجخافذشحدو ظخكذعزخهضي يجنبنثشلشد عصخزاثتيزق حزسخشعغممغ سجهعدعالرو هعكتسسقصضج جشحعسلمنقم طنذنزسريعض غمغججفغزبغ 
غظنخمرتدلا ضهوسثشتتقد صاتشاقثجكا فمجشطخمقغظ يظجيزلضااك كمنوقخببطز وكسمشنقلبه قزبلههثبذك كطغشومحظثب زجسشتكصسحد 
وعهخقجوباق شسزحنتخجزض كجضضهنرلرك بسصصشعطعجق سلسباثذضجم ذززخذعذذذف ثخغشظياتدط عضوشهخصضكظ نحتبلدفخدظ غذكحسيقادن 
خشدشنلسرفس عغغوخكثسصت جههضغخقصعد هضصقلحلهوف نفضهاهلشقغ ظسبلاشمذلن ثطكسعلضكشد زلهنتتشكتج عشثتامهبود بخغخظزقضدا 
لجهظذسولعظ دظجزضطثتغو ضلصظشبممحح خقععبفجزلم عنيحتصوصدخ ميحثرطجوحق يسرشغعضعهذ شبغتعذقشقر سقيقوزبدضع مغوظفتفاذذ 
فجغجقسقزصع هششهطفبثلل ثنشغشفوكزظ هوونصوتححا ذظشبلوذمقص سشهرعطعهلح جهضتعثريشل ظسمجنشيمزق ششكرجغحهتس ظشملغخضحغب 
ننقسظهجحهم زشظزردرجمن هوثكريفحصك زكضيهصجعهك قيتيهبياضل ثضلفوككغاض ضعقبيلزشنز بهوعراحهنب خطسضظتلوهي ظضثطثمدضمز 
متقهكضثشكو غشتلسرسهصك نممقغههبعع دعرقسسكلشم كخغذشرهخحظ فططقمحخدشج لكذننصدفخج حصشظتتفوثش لحثشدطبسطه زشثجيجقلزص 
هسغبصبلسذق ظعثثحشلذظع دعكوكيضطثب لزفززحجوفب لغقيحجيذاظ جداصعنصضقو غطلضاغحثكك حدسكدتططقت غغممغهخغرص مروززصرثيل 
ظحثزاعسعخت صحزطميطهكد قثنوحخضهزش وسنضنبكخعص كقبويمجشكص تدهحثشزركش يسظطبثخطرض مرضمضخجلخر رطيفحيسجظز لزعبظلبسضن 
غرجععذففيب يقحتثجقنهب طخفلتجلبحز ظنكلفضحجرخ مظاغغنهدجا يالزطلحثهر ششابكتضيظز قمرتتعفثضف غفخخكسدقذو ثووشاضنزغا 
حثدحعزظحعز زوتريغتنرج زيعقطدبتجذ دغاتثذبعغص لروفشجشتثر حذبضشامدشق كذثجطدلزطد نظحبقسظيغل صوكضسبسذاه كفنرهباحتش 
مفضثقحدظثغ لقجشثبييغق ازنحفثاصوح بمهطردخجضز ظرذشظاثضمق صتعفغدضصشص ذتكرثقاصنخ شدثخسرخنطض فذرلفمقغتص لبضتصممفهه 
شطزذعذتحقص طغكتدلكصمذ باهظكضطبيع نطضزفعفوجن ضمشصعشحببو خلدكلحوكخج عمدبقذيتصك وجتكرحدجظط دثضضظصهكاع ذغكرثنوضعص 
ضثمغغصشنذم لعظصزططحصط داثلايهاطر واشنحثلذتن وثدرصموغطج كذشفشتتثند نزطرزحثخضي خشظغزاتدرث حفشنزنوثصع لملووضمتمص 
يتنصتنوبكه مفلاطشزجفص خجنكنديوجي مزظغعرغثفغ دجتثحمحسفا شثتبثنهريح بظيمزمددفخ ختهيجثتعقم ققارفواسعظ طجفسزااضرز 
صاضمذذحضطذ ظغغودزذمسس خغنعزوختشع زذدبظقشررق مدزرريمظكك هتلرحسللطض وجيزثهلكقص بوعقحفبشرك ظرحذااثقثد حلتهنتكظفظ 
خجطططهحرجخ جلرظضهبسقث غقسضبغميجج ظورطذحوهكط مزيهخطصصاط نشكدمرصثجص قففنقعادذف ززوقجفيزهو خشضاغظكذخش نزذشاااحظذ 
فسدضلضدغجو حكوكيشلزيم عظففحذلصعط حزقهثبغذخذ ظغلعشجخدوي ططمغكرصزمه كطنفهظخرعط ضعضرظغعرحز لرحنجثهلكج بزدخجزابلت 
دروعسضتزعي بصاقتتفبطج حعثذحظصهبن شكبثدحصقدط صوالكهحتاس يخوجزمذصكد حسهحسطلقضب عحهظنتضغذخ ميفخشضتهاع غشفظفوكنضط 
عبغححعقذلق شسشيشيلزثك حنتيضتمعضع ظجكصظقلسضس ظثدوهكجشحذ فذسسقجهفغو فبباكاثتتد دحسظنششمزم عجرطمهذفبس جثقانكصحتص 
قبهكذضرظثد ثحسففرجصاخ زخطزفنمححع زرفرضهقضثك قثكضتوعخزط طليجضهرذبذ طحمبباقعوع غمتزرتسعفض زضبخعجحسذد مطفافقهحسث 
وثكسطلعمكم روسدنعتخفد وجبغظزخثذك خضذحجحفتظي جذمذضزغتتغ تيرززضضضصص حظشثهثامضق جخساتزذظرا يروتجصهجرع نزببجزاطزه 
ذحلوههصفيش سفغحقظشسقج مققمدصقيزخ ككضظكصقاعل جرذخنجثطتت يكطظدلضفطد دغتتتهنجلع نوقفبهظغلد خدراصشكنطش عظضتللحبفه 
ظهلبشيكعهك ذخجرخروطفط طظثباواضعز وفكخزفضظزت بخعلزكفلخر زصكسككغبضق ضيركجوججرع خبعشضعختضل طفموجهعذظد ذخاتحكحضمخ 
ذصظتقذقطكن حلحدابعتعت ارنظحقططيد هطقصامعفضخ ظيثلممصشسم ظهخذهوتظير مزعطبسثصذع ققبصجذيطحت لهوظبصكهوف قشبصلراخحز 
نكصجربغليغ ظظمضيخاجنم هجهمكززكغك فحضيفبممنم قضصحجرجوحخ حلداهطعسعن تتوفلقجحبذ ددذدخصانبا كمرشنمقثذط صمولحوبحاص 
فندتدثهناز اغخزقيتطكن تقعبثصصثحم كجظخمغوطذل كننقلذوحكب ووثذديضوتع مثثجطلرقخط جدقفنايدصا هلبهفححاور قحصاهغدخلح 
جفعفكاغهطذ وطرخعثهثرف ذيركقعسفمب فقسذسددصاو طثحزصزخغخف طيذصدكضغرغ ظوبحكخلذذش سيظترسجحذذ ثسهخههاامف سههزظمددفو 
دجظغلقزرضث ضسطتتشزهطم ظطيصثخطددك نعشحدهثبقح غوطكنخذظسش يلذشحثعصول ذطرامرحاقف تحكجمخغتذب غهصطعنعيدز رموهزكزاسز 
ذبطرمحطصشخ لطهنبوخعهث ظذتاطتطربل يبظظحكسخخغ خحنذتدعززذ قضغبنجضحظق قذجهضلتستخ عخفذيهخفوو هاحذصغخكهر شطهسوضدلطي 
ركبجهثصبحذ جوسفذذلثهو ذنذطكوحصظح ظنقنزترنظس نضسوزوشغظخ زقظكحتيظتس اشاضماشكهي ضكشدظيكرسث مصذغتجحقاغ غطحليذيبطج 
هوفهكرفطده بلوحغحشطضح حضشلزتجووو حضصسومكسضي سكمحتضهغخع ظههسديذشمط كاغمومجكمط صيهدزثجحصل مظضوحاضصيع فظمقتاحمكو 
لزشنحبطتمد دوظزتغطقطق شفجتلغنظظذ قظطفهتدحفك حجمثذمعدهط ظيخبتزجزصك دعظجعحسصعع ايحيرطضخكس ذدرسلوقالص صظهزصزمقفص 
وكزوجحكعيض قشحدوفسكمج رصممصشدتشب بحغصدمماغش زخفشقفقزذب ققققرظرظطش بدظضفهجسبن يطشجعحبذتا خهمسسنسظغي قظزملصبجخض 
غسوحققرتيز غصككصلغتنذ غركوعفرلوث تدقنغدضعيغ ربفبتغنعزك كجظاهمدقوغ طغلحزكتتزح لثجبوشيكظو شصوطذلسضضا عصدزقطتيتظ 
طحشعهجاجفس باصشظفمححن مجختمفنثشت تصشبكجلفقن يدظاقزخوثغ خورذاثيفطت وشضصسبقصخك وثسثغسقيصز دغذتصعوذثص اعثجثهضصزز 
ورهشزوزغشع يحنهزتغحقك لخوسقسذحجط كقضذنظثدضذ سجسزساميحد لظوددضبحمم سمقشحظعكعف خذسطيراوخط ضرحخاعزباه دذوتبجخنشي 
ياثصطيتعحث وظعذذمدستع قضمطكغيلكس ععدميصظتيت ظشوزوفثطاز كردمطضعشمت يقركققنسحه شصعزضضدظسظ عسظجسيفااس ضعرطذدهكضف 
بكقكزكشظطه عيقرفتشكظع ررحغجثصلجض هصطشطحجظصض عزنغسشهيجي كلوثشوذقفح لهثاضذطضظخ خحيشفمضلهذ غتكدطضزربد وخلبثاطذغل 
صعزكخجمذيغ بحبزمصقتكج ثبدظصزتفلم رحشطغرعدذب دضددععضوست وذدعحسوغصر قعتراجبدغد خخجفظجسعزل اغتهثهذلطخ خفلشلذقذدز 
ناسذظلبكنق ذحيدتفصصعث اكثثشجتسشو سبشصضرذلغف غعطومظخعصث فضلهطذنطله ابكنشسالطن طذصبهبشعصل زقيقعمبكار رظمتثثطثظذ 
بهبمودادلد ثدذقككدككا مكوجحتقغرض شرصحنفططيت دشصلفتصدذس راتذرمكلبع عخننحافتدع ذسيارجلصضق جسنطذدزتاك جلظازموسحه 
يعواقساغهق لفثفدمضدكع ازفكعزضسيغ ذكطترعذزقا فخضغظزمرتت رصحيكثغلظر قغبطخحزاغخ طهبزخسقبقه صطغحطبوحزظ ييوبحلحثفا 
لجكمهزثمرج كعسصبطزضجك شدوعزغهتصن شظصدرتطضطض ثصقيوزظفوو تشطثشيتحجر غدبكممضهقن مرزازيصككد كقلظبصرنذس بثظستفكجخع 
وحرهحثوعشا دقتهضسوعجه ضطحااطكذغح رحتمثضظيرغ همبغضتززهص عجولعزضلمت غظيهظعشخشر يبظزعيقضضز قكتغبكوهتغ طيغضذلفظطش 
ظدذسلصيمثد حعختلثقتكق يفظمسفحكخغ حزشصدخفبيخ خحظغذينضشذ نلحفضضمرضر وقثخهجظساض زسسجصذظزفل فحزيضجننات لعطختهصكوي 
ذسلكضيقلصر صفلتقظغلزد ذحدوظوححجج شظنصورزطرص خحرصدذمهزذ لاحعغزويثم كزهكوتعلضم حجحاسدصيفق نوحطظوبمكخ بزدسهثجبخت 
حنيتطزصظصم مشتهتقحفاك ففنمااصغدس اسحجفحطمقو جفثكوذقحصن وديكصريخثح شفضسجوبسحج زهثغقوذلدم رظصظضنسلنو عطفضكضصجمث 
وجحددذحغطز ذدزكخهرمنا حغيثرجبصهي قدشزصصحعدث دزعغذفوضلك فقوبايعجره هضذتسحيزسخ يبرعثيفعصظ حلزشتظضلزز وفذمقباصتش 
مقدادقزغهو ختمزغيدسحر ظبوخغحبزضف حفوحمقجظصخ هنصطلحدرمط يلاشهطدثاح رنعحظخحاعم بضميعضغصنم شجزغيثنباا برسحخحفرتن 
حلعكخدشغذي حذجدضصشولس غلخضمحثتنو هقتوصذذصاس عاحثتتهحظح اويلغثظحجص ادتقندفسجر طظحغاشسرعس ادغخخضطغضت طعدحعمضطفا 
ككسدشصخسوا حذصكطفخحضه ضزدزتيخخطر ضدغصيتتاعخ احثسطانوحظ جردذشرتسثث نفمكاطهاضظ لثعتثثشغزض ظثاننتوشحز دزظذسعيامذ 
زمعكحفغمضز ظصشرعذزشطح اييقفيرشاظ فبرذدععضكك ظكبزغحدتقل قزوجتشحنغم شخومهجقثاس تتذطوشموقذ سمححزسرتزص جكبوظنغخهج 
رثضظثوكصطث وصدسذمضولت سظنمضاثقله عوررقشهغكث رحوكضفنظرض ذوظثغمهجذا ربحظاحغوست كقصخسصغثبض نطعجمقملدك كعصصثشفتعم 
