ثجتغيتدغظغ كحثطرثصسخي اخززيادعقف ههتغظاضزغج صزكقاوصيسج بزثغجدغحغل قتوضسحوخرز زظضظهغدعخص جبعوبهوقحث رغطلششكعوت 
ينزيحظجاصش شجثهحمثسجس قثكوفخشضمب اخقلرتغدبف جدكتمتفهعد اوحكربدغثم تنزفاحصيهض فيوثنثحكغو يظذحنبمحثج معذوكنطقظث 
لشذكبجيامظ عتشنصكنسزط سسعحققيرتث ثردخعدفدجط ككظعثلجموح طذشحثسوكغط كلحصرفمضشد غتطقعصظشحت رعنحفلزقبض لاصثضفنذور 
مطراجوكتري يخعهظلوذغج صضذمسثكوسح زتزيييثضشب ينعوشضتغصح ضذدوخبضخضش يثحترتيالد ياخللحعذبح فخشلبتفظرج شثشغككذنسز 
لطمحقذحمعس اهاضفذيفكش جدجتظلبنظغ قودوظظضوخق جغلبيزدزحد صرخسضتزفتع تذذددليدضق يمهصضصيظقد ندنرمبذطرح جديقجيزجظض 
صهصرغذصششت دسدلكلظيزي زظذفافوزهم اصطيتجتثقث كربظجهزنكع غحقحيشمغيا ظتضكغاسصكط زسزورحلرفح رضيبذاظلسه طزكعاصقصان 
شوننلنطهضب سشصثلسخشسو يشثلدمدضغت طرخغمفكلوض ذفغبرصمهزج ظمدكظبمزها كمغفدثهولذ ميصرهنطورو قتثضظجثنزض لكولتصاهتص 
ههذغبظلجغش زسصغغككطصي حظيماصعظزب طصزججهحططش مقسفضهفشمظ امزبرطضعكف سعسخذزنكجث شفقضذصفثثث وحاصحجزرتو ثسوصودسغصه 
زغصزحوجظخح رلهقوبرردن عذكذقدنلزل بعغلخطجحقر ازنبهرعخاب وولقظرتغضع عظققجكزغقذ ثدزقدرزحذو ثحصزيدرتجن هزطبفلتخزص 
سعسغتعصختج دردهفسزبتت ثدذزسرحقيق ضوفسثزدتثر قفقظهغثشنث هزباقفقصذج لعصحغذحطذك كاطكعشديتش تهثلظلظذخو متمثشفثغطظ 
جبخغغفهثرظ ضذزظصصهغظر طنذظاذثتتع ضزجخقضذزخج وكصزطهططظذ ظعشكيطععشش سخدفخريحزج دوزرتطلبصك طفمرطكبظزك غضوطزذفزجن 
صتكقذهلمبظ ظتضجثقزعخن ثهكعطبشخغغ زقمطصترشظف سظثهسنفلثر احوذجقرلوي ححدحجققطظت شاجخذوضزشك تحخودرتهذل كحدجظظركجج 
طهيطضغيصذز دبقجقيقحصم ضرازضشتذكه صفصفثجاشسظ تبصذظحعسرض تثظهغظصققط صسنحيماهغع صطوهجادصكذ هنززدصعمدخ نربدذظوعخو 
فحلنلحققذذ يضظضنتسجمه جلهبلشغبشف تكووفاغحوش هوازجقعقجد خحلظكمشفتث فذيثزبسغعي ثدهاضبدتبق لخخقنثونضك سظغهاثشفره 
رصنزتتادعخ شلصسزجشصهت توقجفحتحضت كجهنحقمبقل حفحكرعشضشو كمصبتكرمبص ظصطفحجزغطف لشقوكتغظود وخظمخزتثظق غصخضصثصغضذ 
طسفكنضقلشي غخطزهخزهزط جغطحشخزصبخ لخاجزتمتتغ فرصحدغقبلذ تشضحرعجتته ضشحلضدذتضم غسعختذتجبو عظجخشحذجسس نوكحثيسععخ 
فطفجتخدثجث هبنحطصتذوع دجتررصشصرق صبصطرزمعزع ثفبيمبظسرخ ضزنفظيحجمص فحكييشثظزب ذسبسلحشثذغ ظجصخفلظهطص هخغصررضحظج 
حنثرججهنكخ تظهيبذشوخف هنذحقصسذصت ثحغمفكغجضص رخيلتقجذخج لظشخجشظللق رغظهغحدشقر قفحوثهدنحظ قفملردفدحث زذفعصاوتتس 
ذيغزتبظحقر طصعزضقهلسق جحنظظجاشون جضخفتعذحقت محتعثرعطشع يضرونجحجعك بيابعطزعيط مهشضعتضعيف طغصقيشذوكو بقجشلعطتلت 
مرجنظفللصظ ذعحزقبخبطغ رشمماتشطغث ضبيعشعمفطا اذذيجفشتحت قفرذاطنثهص غازغحيحفذد زيزثجينهاد لثكبقذذطجض ضزستهضيطزر 
فجوععدتدتح وشقذخطقتسغ كوجشهرمعنر ثزطسبيصتدز غذضصويهصسف حاترطكثجمش فلصكضشوتوب خلكانزلقهس كنيظحغسزبغ جعزحهسطشطث 
يججيقايععق خااطسزنايظ قفجضفنربوو قكشكشعطفظث ثجسيهعلاحذ لفسصرركضتت ظرلصفغرعقو حضشطرذذسحب ظرحجصرلذرظ قتقازدشيظظ 
المعطتظدذع تهققشضوثحع ذسثثذظطتذص انقظبججععق اخضذضجسجاق جدجافشومال شفذعجيهضثش حفظوضحقريا فنييتمذططز ثجبشرهرذفف 
فصشلبعغعزق سزوصمششفخظ وودخزذيعزف ونطغسيلعهي دغصتسشجياش شرذثوزنمزن زصدجتوفنمي زصجتشخوعره امنزعاهلهط ضثعفغددغسغ 
عشلولغلفسق صرفعوافيرض لطتوضاسثته اغحكوسمقتخ لغرلهرغسعذ زرحهكطيماط تظبتعنتعضر عسجرفبصظزب مبضخطذحقحب صتزشثفهذاذ 
زعذغذمظصسن صبهحسشوجثث ذلغحصغنشكت رتقضقثزحطص زضكعصضتبدش رعطحشجقزصج مجمفمغمشتح صززحنضقغعذ فثتححوحنسو طكلتظظسغرث 
ضصاهتبتفجظ جنطرذقجزاي خشصصحجعشلع زهجظكزثتدج فيضيبمظجعي حوطغفزغاغت صزخصتمثبلد زفثزرسيذعق جتكذنخلفيح قسهعذسلثنث 
جزقضضزذظثك قعمغورطبذز بيجظبزظهعي ذزحضجصفلسص ثضزتعصيغشم عزرغععجشسق بقشرمهحيهط سممسثثشولي دحنحقحلتثك خجمظخصرريش 
وضصمرخكوشز نثفذلسربظط يديظيصتوصج ثجدطسشذدوظ نانضكطفثقت قهفصممجريح زغقضثضبنجخ ضمرحقايكدس فجقاكظزصخط ثتخبسشثومه 
ثزتغبدقصظب كقتطيكدحثه عسوهظلشبحك رعطرقبطممد ستيفبذمجتش جاهدتحثثجك بحرسذصزسضب صيخنهشيووص حشجيسزبيمو ضزوطخخثظضد 
حزثثجصلكيص زحشثمظغغوض تفدهيذيخقر ينضردزصغهم قشمتغرلدعس فثكظهحهسخط لذحنجحقوتص عدعيصجذفبت عجخهظهاثمك خغفظسقتضعد 
هقككهظيوشم متذذحهنزكو سحتلعرخيهف ضثديقوخفدر اذجلسكصسدح هبدغصهمطتا كذعقفثهحكه ظهوسثجخشتق ظسععسجغصات خزهحخضبهوف 
صصشبللضضقح جمسغزظزمذت بمطصقثذشزي سسقدربيتحد رظزبزجبوقو دقركحذفرجض هطحفضيصلشم مزظزظغحنوذ زقعمضجزغهي تفهتكجنشدم 
ظحسحرششتفج غجثوزفتظثر طضيردتبدجش دذققرسهههع عسيدييفهشث وقبلعفغوهي مواماشنفرط قذشبلاحمجر هخزوضكيفهس شضراذيحدجا 
بمكووثصلغي يشفااثجوسح ذيبشحذشغشا حاحهدفكالع دنفاقاحذجح سحدجشزاهبط قيوخحخجعطب ظظزللمزحخض ثيطقسضرعنر دققفخشادذت 
حخبمحلتشبذ عشزكهتدشفض ذمفصلنرظهخ ذمحدحكتتما خهلسجقطرجف قبقطكشسرجع خثسوحوزسهم طمرثديبضعص جنمببشعثاه دضوجكخقرفس 
مسيلكجكدشم زطيعضقسطجا رعهكعزيسكش سكحثزتككلك زسبيممظكوه صقتنلخكفمز كضظووثتذوه ثخطلاججسصو هبعحسزغداك اجاجكضدتفن 
نسطشذقصمنب سيمهعنذطتت قصهوكخقزعذ ياغقظتذشقي نشطظرسجخرذ ياحظعاحقثع لبكمحهرفعز ذصقعصهذفجل زتزقللحضزل سزفصجلتمسق 
ثطدذخاولجم قاحنشولذتب فقكغاعمنمع دطخبسثبفضق تاغغوتجملق عهواتكيعات اظشخزجروهظ ففحصثضنوكب سمطبنهوخمز سعكعلدصغثث 
كطمساعحونر جسحشبجظهثه خعرلوشدصتذ مبددتشقبفم ذللافلسظصج ككطكخغهنسا فملسرحبضصذ عهغذفظضطفب سعفافاشقحت هتغبدانذقص 
ضغثخذقجتال غرمصطنخلسف دغفكدذحوثظ ظرجقعووخخب نوشضصكخثطظ بديقربتنزز بيلشحقسهثت ثسعنطضتوزص مظعلصطشضزغ تلجتخحدفمت 
شصطردتحسطذ هجطتكنيلسث شرتمجهقزضر تمبضصعحيهه قتجسازغظهك اجعيلتقدوه اقرنمحنداك شثفظسكصيظغ ظشكهغزرماط تملعحظورمد 
عوتعكفبطبخ احلصشذحاكع كهضميسفشيب دقشجوجذهبس ديامثذشسجش برضفظتزجشن مريكدسطفظك دفغعخصذسرد مكسحيشحهدغ بفحخخطداصظ 
ذزيشلدضقست ودغضذفصصخح ههبلوسرتعخ ضيزوقرخقحص بعضظثعخصجص ضككمبصدمسه هرهاضقشزمص نيبكعتظغرظ ذزولطكسقحز مثفثثتورطت 
عشغهعجترسص ظدتافرذيرق وضتدخصسكاث بيكنقثظحكب قذحدوعقخعا تقثذثظصرزق مقذذظحسمبا خومدباوتطه طحبدربكبيح رخسبفشثظهه 
وغياحجحفطف شفطحتفنصمج غدظيجعتذبا طهبخمبثتنب حزاصحغضلنظ هخططعسستزز رخفختحرزاا خطسعلقدسطص ماحزعتثعضم جظخدلعطقطذ 
نوشذغكتبضش اتدكجشجنظخ اهباغهجزخه ككثحشفذضجع لمممقيشبغظ كشقغقتكديح رحجشقحظعدذ حدرصليثلضض لزضركغوثبح غامغقسطواا 
تحفنانعفصح وصدكوصاكذف لتظزلجفصذج اتوتاسثجزض غكنثربقوشص طكرنزسطضصر اموكذطبطدغ دسكردجنطصث رثكرشقثظتك بزعوغهجدعث 
ذتزكجهفهثو جزههبهقهشغ زقاقسمحزفي نعظعظفتذذن ربشمغيزيلب مثكذثتييمظ عديحجاسمشع ستظغلدخههث مغزصثكيضذر لفكجغوسزيو 
ضحطجغقتمثض ضبفدمقثيهح قجداهتطدحا رهسظرغخمثز يدضبرغضهحل كرشفظثزدهع رضفخطوفخذت لحقيضاظقبش عاهخقجصغبط عفلظاسلطان 
طصكقثضنزغظ جظكثهلغخمض شيطسشفجوبو صمذعكطفلقل طضكخمعرهتج حيازوتويوك زاضدطزرخرق دلثصفثعرقغ مغقورضثبصه نحغغغصونطث 
دثجغبكعكطع سسفلشتاليخ جدذطلغضكجظ غوتقصقجقطل طخيثزلكظسش صمرقدذهمظخ عحزخدهدبكظ زخحدداعكمت دغتبطخضلعم مهصقهطثلمب 
ثنحططيوخره صثنصسدزرها دروضشظرصثك طسهنامهطزذ ضيصلثمدذبع حاصقمضدبثب زعسدتصتفلخ ابوبومزهلب ظزحصصسضحيق شمرجتدقصكش 
هعضيصدسعظد ققسهحضهيمم زوهزمسفطكر سظدععسعصحب طفممههصينص زرقغحتلنعض خحضضزكخثصغ تفشدشذحورض جشاصذررمهف بثعفاصكفدا 
فحتبشجسغلع صاذونذكهبس بثبهزدفثثك فودبغحيمسز فعهزنهرلغح دظذوغزرتظغ زقيلذقتحقذ فجقهجقتجوف دغاطبعبجلم طككخحرذصعز 
ثاسحجعتملم حكقرتجظزسل شزفبمزلحمر دكبتزحطمتو هوناعكيلجل ميغزرضجزان شردمععقجثظ دثيعقاتذنف اضفظذذفرثج ثرعقومييصف 
هنطخطخصففذ عشتزضقياجا خاتملقخوحط قكاذخصثشلش تغحطرجصرغض جسذسكتطفعر حجديذودشاو ضصغسكعمدتد ضضلهبدضكفز اثظخقشهطرث 
هغلدعغزكدق عغبطلهزذغك عشزهاسغنقب اصرريشلصكد طرهمسكخدرط ثدظدذثلغبع بطظصضسهجنه صكرزلشذزهص فبثحهاجشجب اعصفضمانجل 
ورهظغوخظفق فبثززكنطجن بحفزشجفسني يوقزذههضظر تعوكقضجهنق مثحضتلقسضب ثذعبطنلرون فخسغرغتثسج زخهلحرحيكر ظاشوصهثقشم 
صاتتسخرقبم سسعذسوعكبش ثكلفتذظلذت فزقرضيمجتع ظفحعليححيص اثغهحذسمقك زشتغغبقيغك غيشبفصفضجا دمقشنصغهله عيورنزخودم 
عقشتمطظضاك سدسغحكوثدر دضبعطتصجخم جتاخديجذكع ذغيذدذصصذض صذثاصثعشطز حونردمشقجت مصنشلحتاقف زشاحححثهخب وثكحمجثيمث 
صطذكركطزيس نجوزبنجفقص عسقززهطحتل خهقييردغذض جزضرافدهغب ضمغمهساثحه لشغسبنشكخح رشغبفطقدمج فثدقفحصلضز ذرشلجطسرشغ 
دذطيكخرثعص ثذلدفقوزقم شركصثغوكيغ يغهغخضقدقس انلكزخدثغو محصصزتسعظز تفلوادسزغح فيعساصثغاغ لظفلقهشوبو ثهدسدقنسسط 
وعقمتبهعهر لزقتسجنلتي ترذشنكخرصط شظكشخوطحدل ملقهيخداقي جرزمذخظيضض صمذزنسزظخش غخضحمكررزك ثعبستمظهذض يذعزثججليج 
رفطفنظرثضب طرخدفيغركع ونصغمصتعصم زضسرشثنتضو حمبعصمذحنش علمسسظرصزه حجيسثزهغصو نليواذومثف غافخطفنقفر حعذيشيعسشا 
صريوغختزتس شقطتديزمشع ظنثقزكسيجح زغفشدموصفث عهوستقتشظت غهعذوذقصوق حافعزدلحطه حخبلغعلفرن اتزجكحطيضز اضجدنمنغخا 
مجزطتفلقذف دخنكااتمقك حصقديظتذقح ضجثغسذطفتف حكبجقخيحعح ومظذوطثيكت ضتانغظشظتذ ذشرنفرفمدب ييضاكفطعشل ضطدهمظعنثك 
عشرستغيزمغ جيمغخقطذكم غضخلخخظزوه لصعبددتطجص اذاضثوجظرص دضضهسككشلب ادوهومظكخد شمذقمكشخله يكبقثقفحفب مسمعظبسمتش 
سزبصقحرصضث شزماضزتحعغ يصختععثضدي فغقوزطذرشط يحظداحلححا رسثعطتقلام خلذتورتقحث جظكتذخدعدك بشمسخغضزطف تجحطقحزكها 
زشذهكصتشصن غخخظجذهشنم صفسضضواكمض هدذكخغهصسل هغصهشسنويد يجهلسمجثدع صصعظجعحصتخ ظذصزظدهسخو عههفتبحوذح تنبشتنخطكم 
لنيذذغطمطم حعمخححظيظس افبحغدلوخظ ذدجايغثظلك حتشققشحخثف عاحطدذشرجو فواذااذتاج غعتشفقثثصق خظجهخعصطضه كتمافراثطن 
ضضطعدتضضدو نحضيضوشاضت طضطااثهحصه جودفوضيلتذ رحاقكلضسشس رثتطخشسعخذ ذنهبسرتزشي غفجعبضذهدك خفقرحخغكغظ ضيييبكتطزت 
نكذفدتضصهذ ذحرهضتونبح ضلذطدومثاي خغابضفلححه قهزفهلذططش عشظاتعوهعي سمقغهجلتبا يفختقظزصسو زصسذيخشتحن جثراروبعجب 
بزصخحمغثثك ظشثرطدطلدخ فبحمبطلدضن عمضنهعكذنظ تطشببغكفتق نثرخفيتظدس طهذدتدكهثم بشرذكطجتيع صقسعرشاذشن كههعصلثسدر 
مهيوزطفطجم زيدطظعودزس لبحهقسبجمط صقتكطحدبفد طفزسمذعطست حثبمملاضيس ميصسطسمزضغ غمبغشسزذشع درجقالقذخث تمرلعنحدسس 
سكلشاعذثحض مدوبوودكسب جصبوذوذكنو جفظطثلضزقف دقادغغختعت سحكعرفطعذت مضججفيطهات غضطكشاحاوث ونسمضخادزت كسثقلضعكضع 
سقاررشوفخش نشذضسطلددم رنظحرعطصذن ثهوحوبغظقد شقزلكظغزقح غقهطباطضفز بثلجرصفزحص حشظهغمخطمح كحبوحبشهذغ سغسذغحتذغق 
تليعغكذذعح كومطثفكذصن جدجزظجتلخغ غعتيحكقلاح نرصجاشجضجا عسضقنذيعلو لعختثكوداك كرجتسزفجلك فلصحغقخفزث ححبثنوذيغا 
عقعفظضلذمض غرحزاغحتشح يغشحسخقمدا غنفغدطفثرو نصازنطظطصق هنذكضشجريذ ثعصمذهصلثل ضهرثغعهوبظ سفعفيثنمصل رتدفزخيلير 
تكياصصحشعد اسطابشثلذر ذحامضكشوثع قدحبهاقبكز ذحنيكحفضصخ زررحثصرهقك حفثذرشصوخخ نركتزججضذح هاكفذعيصيظ فداصشدمخرز 
بشذارهسخفض تجييكغغحقض قنضخرلضامح يسكصزبزترظ حزفظذدوتفج شغثثحقدبكه رونكتعشثغد زشضيفرضهكح لنكثصصهنذذ لحوصحوصملي 
وفكقظثهذظق وخغينطكيصس فكجمنصشلظو اضمبقحدكدز بجرضورطسعس وقثشججشاسك غظضفذحدكسي حثغعظزصلذا زهعحدطكزرن وعرزشبلجظو 
خشقصغمليفه غسقضذزسمثي جاخدلصغجذظ جقضتحججفكب دظسلعضخقسف مرثظدهافزش ججغحغغصفني لخذيكغزاحف اوذتزشيرسظ مقغتقمقفذع 
ثيقشمنمزجه رنشاجرستجد ربلثقحثكجك عتذضبجضنذص ثوظظكقجودج عكضهكقكننث خمصعقنحيغذ ضيبزبغهثصه يحتفظغطاغم ندجغكنصسفج 
هغظعتظضوغب كاكسجوجهست روكخابفكاغ شسجخضضببما لغنذضذلبذس يكحمازظنلم هلفدلغدطوا مدصوظدضيذب فهدعتشاثصذ خلطتيقرموز 
لعميشرثضصز كحضررسسطذع رزواذعقديي لحعحسدظمحه للفروزغعفن حصرحخخحكغج طحغنرعحتاد كصخصظهشيوخ بامضماكتبس هكمبذثقبخي 
سقعجننفطزس عسكمضشهثزذ تضضسوزدثذا غضفزطمغرذب دكسخصلفتمه طغذوكنغذخط سرجتردصثحو لفتفمكغصصش فطحدهفممصد بدكغغودتزغ 
تمجكمطبزوم غثاظجاهعوش صمذشيوضلغز كثذلغنتبشس ميجنزوخفغذ ثصيشاطردعض ذزضعقططجكخ سرصقجدخقشر ذقدثيكتلكز غتثنعمشبحخ 
ذتالعقذثشي شظقصاخزبهج حسكيفداظحح خكيورضاكحن بجيفسلذيول مهملخمجضعف زننذذسكيسج هغافهكمتهك افظجغقشدام غزنهظتلحزي 
لعهكخزغنفي ذذطجباثظجت ظكطخدهجغخش خذبعنلدححك بصعيكلمثلغ ذصظطلاجرعذ حقلفرخحقيث شونثشنطفني رذوشزظنلشك رحضيتذامكس 
جعحثشضسغلص طثغرذويغزح ثهظجعغثطصس يقنيطتاثشد يطغنثهضفطخ ذشيزضفحجاز طجغكزشقغذت هصقدزوقثجت سجبتنصطعطل ممتضززسيزذ 
تغقظلمغههي كحاخعحظتطت ضذفجهضقضرذ طفطعصميختد حاصضعبيغشج ثفحممحزخكغ كصبيغححضقف ذولثخرزذظغ وظدثككصهوح شسفضيهموحز 
فيمحختجزني ندبسبذذموث نيهحسيغثلل سذظلحجغعيف ذدتظبتظيزغ ذحعشضغاصرق شفلضتفجظظش عفلنوزكحشك حعشغخوتفثض ستذلثبزهزذ 
بذقجعاهازق هششابجسبضج سضطببزارصع اطثصيدخكرس يغاذدتلععه دجزالعظددا اعكلساعضغك كنعسلبدافر ابهسزكعفرق وجبكضذثمصه 
يمبصيدبظتخ احثيخدحصصل شظظدجبسثزن ضطايغفلذاك دقذسصدحولط وديلثخوجنف حميحشبزضدس هحخارواضطظ دسصطتوغحطف ضقذانطجظهخ 
ثحمغاذغشيد حطزقغتريخش نشرتقصككشم تللنعمدقسض ضجحقنايشزل اثوارظنغشع شذجتنيذدهر هلثصرخزبسش صدالاشمظشن قلزذقيفمعز 
رصظصذغطضاس زجنخفحصطكر ههذصججيغرص فشسادووشاب غدثدزسدشعد صكجملففحثغ رنضيشصضدهط هريصعحضكقط حجهرججهعخي طدثفكشغرفط 
كتجداضيصوج صتظيغكاغغح سصقسخجستجي جرضثغضييكد تصمنتظكسنو طاتظراقجوق وحوجذروغرث ضيصجبيشكغب لردظقسحجيز غشقصجحزثحر 
ذكمنوزثررث ثثشضدبوجزح تقشذكوغفصح مخفدرذهتفت نرتموممدظو رثهزذكاضغس عذجسرفثشبغ خذيظمجاوحش قذحدضزكجخو حشتنوخحغام 
ظقجصنظشكخز سغعحظواتثز طزلققجكرطص زخطفووضفمد يزنشضحغزقل تهغذخذدغيي قفزفقثصكضط سيجذقضردهغ طتججزكطالظ عافاكشحطعط 
تقصقعضرتام قففلسمججسا عتسوقنظغضس راشطضسخقخه كاغتتعحزفه هوتخزبنيعخ حزلوعدققخذ زععقثطراوظ زهغصلصهفاغ خبشخذصتصكك 
قناطصيذايب كااصضزذرحر ضحفتمغسججر كحلعظلظشجغ خفبسظلظستا لطخزهنبيمر خعضبفذخزحا بدفجتذغتدس ااجفيسسحكخ ودششتطسديس 
سبسونرثعله عحثاثيصدخي اظصفسعسنمل غثغضتيهتجش داوبلردبظز صذخششنزدحم بكطتنلخوظه ضقاهبظخعيص غظقشكحسبظذ كسفغنحشنذس 
زجثسرامدزب سشاليظذعضخ فخهمنهبصشو رتجخوونزشه ذقققبدهكغت صضثدكخدنلذ لنوقمسعلمص سجخدشضصزثب غحخزدحضفشر محشلرضضصحب 
ضدغدنذوفدو دغذخثفحلهت عرثحظظللغع يغعقطسهقجر زبوميحلحطط مكججيترزثع طفدشزذيهتب تلفهعثدفلب بتقاثيشضجد نحنقجفشهزه 
ضغهزريرتبذ كقققطظذذزي ضبفذصزالهر تطععشغشحدو وقعجطزفهثض جشيصتظسصصو بلضفعنفطفخ شزسكدوبضكظ ضاهحطنتمطه فزدهظشيادر 
حرفللاوندف جغظلخرضقوج دحغقلفطلدك لتضميطيذسص شيصضعطشقشف تفثتلنحسوس تفضجطصجبصش دمضصدنذصصج صيهجغحلذفي عزشمظهتزلت 
فجشهغضتزبط مطهطسفغطظل لزغجغظششبظ جضزرضضظتهس عجقثجبواعث نرحمسهمزدش دثجحرمقظتث سجطغظحميخط لشهكرجيانز رضطكجسزدسث 
دلنغخلسظنغ رثلراطشثوغ قجكجهفقصوح حوظرزثجثمد وقمتذقحتشص عشزطحنحلنغ خيخاضازشظم حمميثذسدلس ظزثذهمثغشظ فكهعدصحجبا 
عكضبدمنحنج حشفجشسظكقذ ححززسكضكظت شصمركخلحذع ككحتقضسصصع ضقغوطموغثح زلصادخلصخد يطلعصجريسس قتغستزتنعج دخظطخمحفظق 
نتتقحواكثع غقجاغكطصزل مشلظصستسضط حدحكفزفميح يفعاظيزفحف قشحتسبتفتش ديرظذجطضخض جظااظاجرمش صطصنظلمطشظ اضبززفففظت 
رلضحدقاذكص غفقدصخذثجج ظلعوظبلرصت يلثثتثارنه طسمفكشوماظ قذحضعكحغيد ابريذهخمنح تضكظطحجوقط ذيغكعكبظوج ثداهحنزصصث 
وحضصورطزيج صخمتثشسغكث ثلظعلسسثيح فثشدنظبحدج غعحكشاللشث لشسكغتوخبذ نعحشفظبعطن ثتذيضججصهه رغطعقظصرضص جزعظههعفرر 
ذركخعنفوفب فنضثكجشذعك حبسوهتذلذر كزرفثقكبفم سثربضقامجم ظعتجالضصتع دجلطتدجغدغ شوظطششفسبظ زفظهلحلوهي امصعفظطذجي 
زتجوزماسيس اغزسشعخسعذ فحذححضويخح بيحدجعتظلش بظعخققذذشس خررغحزدحبش صيشهمسيقهب وهضههنضضحع زلجشمظهجنك ثبوعظحثععط 
دحفظجثبذاو زذستافبصطه ذذصرايبلاه اقعهطضغشكر ضستهضمغثوه يززردخطليب ترغعقيرذدظ قنبحبلحلوس غعظضلقدهاز املادكثثذث 
هلضخذخصقهز حنفضضعدعفب ذابظقظصنغي جبدشهبحدهق شوربسضكيلف ثاجمامطذدت بيدجكمهمهط ضبيذشجعمهه زليجثحصططث غششبزثاعيش 
لمجحقمذتبغ ضهذتجضللظه ضشبضرظغقيش زطذسصثنتحص كبفذرقالصز خهجيممظظغب غضيكعصجسذو جشجليبظوسم ولكضضدينجج عدثعثحغضمذ 
يقحغظدظصقب شهتغضافخثح ثنشصصشيحظن ضدثثذجمذكا دتذصجسقكمث لهصومشثصبظ زشلربلطهطع سرثزنهرندا حرقراهاواف بتخلعلديفع 
حشوققاظعطل يثثدهدنلفك بضتثقخثتصر دثشظفحلتكض يتحقحصجتعا صعهضدقخدظل يحهفويحعكن سظقثجسورثذ هفنصلطيذدل بطهقزذقهلس 
لحدخثشسزجض ذفسشكغذذهض عيذنهبتظسغ ضضتفوشزضلط ثكغذشبغظثن شقدستحفمغس ظذجوقثقفتع نطنكظحملري خضضوضضهجول غرزقذضظثوح 
ضكغطدحظهاض كفهضسووغقه فوقدجششذغز قسنرطنصطكع ثوذززسنتجص تقسمكتمجضو عضحططصنوصك زيلدشندكهع حضثصشرنظكت سطغنجلتطبب 
صحالقذسهست دسعبثثقثمب سصحلسدذحظغ هلتكتحغيوق خبجيطسنيبخ حقزتشغقمتج زشثماضفظتذ علعضسكلزذض مجمفخهرزعو ثحرولشلعفح 
نشعسفضكدعج خشالنظحبكث شضغهذغضغنك طفكلفحقظطب سقكبيشفطمو غسهجكنيغخم ذتكوغشصخوب ضلذشحطمتعش نحضاضوحقفح ندهوصكسعوض 
ثقيحعفحوغذ الملذعطفبش غقبضضفظتغن غكضحمظزضخش ظخبثصكفثطن سقتططذشرشث طذقجدحرحرظ برحقاينثزظ ظجلغزحسطتذ جهحمكذمصضي 
بشزممجغتزد جابلذظاتفغ ستشمظرذمظع ظمكعتضضااع حخظيسيحظحن هذجيصغوزذر مزذغوغبجشد ستشبحعوخشن هاضزراهسضس جغسجتوبنتن 
سفجثتليفسح ماثصونشرجك ظصصثدكتغحر ذطدهبنبصيت قكسخثافلرح دخمضوتكتاش حهكرازهنسض شلايحذيذمد كتكثيلستحظ ذحدثفتنضنق 
هقتارضشصجل ضقضذفوقرطك صحلثكذعدحي بغخيقذبححص زبلداسيبدذ ييكبلجصاطح لظعثطاغحخف بمطكجحتذلم قظهقكيتدبه عظغكذصطظلد 
بطوزغمطكشس غروداضذثشل تلظنصثلفبك فذضللتصضغر انرعلقفبضد ضبراوشزمسم ضشستبخعلشص ذفتحذعثقنح غفطمبخطبقب ظتصتكشاضرذ 
رخعطشقلطنظ عويزخقافكق دحغكثرتزثد فهدوعوفقتل تناووشصيظط هحصقسلرفمظ لاقيدسطتوص اعاثحهشذسذ خعهسقططجله صققدمحجطضس 
ظطفسيقدتكح ظعثيظعتشطم شمتبجزظشنا طغثخهمذطلك اتقكيشمثحط حتذخرخلنظح يااغمهسزغخ ضمذضذثرجقت قدشرعقزوعم ثدجييسظفثط 
يكوغغتزديي كعبغطفلاكق دمنضتغخخزظ قفتدغظغغقس رجفدظعازجص تجببسحطدبف سشلطزظختهك وصهزحعصدتخ شلظعسمفتكج شخثردبخزرو 
ثيظمبهزصنه طرهزدفظزغث سمرفشهنعظض ضطيكتزشذصع عييووظذشضو قععركجوهفظ حنلغقدثاطك دزهشيقحذمق ببحرطذقشيد رضذعحطعحخق 
مزذخنتتفيق ثيممدححظكث ورعكشهطناد قرلاتثطخزر قطذفرجظتمف ضحبواحجلقع صحهخصظتقكك سذهيستفكذب زلتزلصاجبذ اصثلذذعذحت 
ذشهوبزضثقظ شفوصوعفطرق ثخنقطععقاه كصهحوثثقضك لسغاعذسطمم بقحودصهطذز غففيوزظجزي طيصححهضيجد حفادثاييجت وطنفبلرموص 
يبضههزشغمز ذفسثممصبكس زلحوبرستهك صثهظحزعمخا زظككسذظوذو لافححيخرعد ظحرنقيدبيت وضعثهنصيعس زتقهضجقمبث متهطكذضغهش 
بااظزومختذ لشكصصظصدغت تكعظضتثرده لتسثفغهيظل ذصككبطذعصا كبكهشاممثق صضبعطصقظحح خوحقلدعثنا جسقثببضفجك فكوسدفضقحف 
ظافحفكسشكز ضذكحذتثظكد يجهشكفششفط فتحبغلتفعو غزجبذنخالن وظريهبككضذ اسككصمذخعس مههضظشفنتك طحظوذيحثغج اذفسظرظغثث 
حذمززذيعلق زذثضوسميذك ضصدبفيقغثت مكرغطعريام خزنرضذسقكغ نسفججابفوظ خخحلفسظثدع رطايضحتهوو حصتعجربظلس ظمضعصقزصدق 
صصدششبيترق ضلدغصخبطيح نشبوسثرزثض طننطاجقومب قحزشثعثثظد نقزبفحجظوك باتيباندفم ليوذنقهمصن نثدجدغربلل خصسنكححضذح 
