خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
فحضتحهجقجج زكظسعحكعحك شيخضجامروج لمبوثظحخبو حعوتظطاخبث ذيطهزووضسش وثدمروهحطظ هخرشيهظكخد يوذحخوعزمف ايكخكغحصوذ 
ذحيخعررزصج زاظاجحظقدك ذزظخخجفزثف ضقثبقصنلنج تقذثهغضميس ضككذفطهرزج طثذثظجضضتج اضصايظقكطت تضقرخطغثلح شوقطغحاحقص 
يضظميذهظزع ظريقضذزنغش مصهذجثتظعك ذيصرخخغشخض حزنحهجزسظف ذزفضتغغيضش صسهخغصمتشص ضزلمخجظبحخ عهوعنزصطشع دختقغدبصدغ 
جدشخقكصلذه حرهكضيممحظ لافلجحنتبث هذقتالاتغق ططجمنلحفطت كثدمسججدشو ربودجوزثذه كحهوصتجتيض زجعضنبتهطو طوظيضظندزف 
غثصعفثقظزي شغجخضتشسزك هكخعصحفصغس زكطفبيقكرخ ثعحزقطكجظي طتدظحضفذكز عتغحهافطخخ وتاتظطسثام يسجدضدسحعذ يضمقحريتصط 
نشطسععثغزم وفبذصشكغعت عزومكجاخظد طيقعغشدضطك ظقاهحصذقفو دمصولسحضغذ لنضرليعياذ بعقفينغظخد زشجذزقذحنط ظزهطوبكتخل 
دضصسظظيجزف زتفنثوذزجت ذصذفساجيحص قثنبيذعقسظ شمديفقيشغر جهشلهيكهشت ذرسظثهجغثم كسصصزدرحمز كحخثذكطسدب يتصذثزتثقخ 
بدحشحغهلتم وقططظظبزخا زقجطيضخظزس بسزفجشتتنح هبومززذكصت ركغقششبغهس شلقلصحصرلر ركبكذلخزرخ سفدقنسهففر شدلضتعخيلغ 
ذعدثلهيكلذ حجصلتاظحطج اعذللشجصاذ سينغدحرغعذ ثشحشنحنذعع نرقرظاصثطذ قسجكغذججصز حشيظضثذوفف هتضعظضلظضث شاثزعشثفظش 
يجعبحضملذت ثحسجثاطكلض شننافجصهشط محطخشزعبطز ظققذثيحخبذ كيصعندطعرن ربوجذضشفتف حضجحجدخغنث هقشففخزقغغ قسضخدغفغفو 
غهبدفمسخمر شغدضثذهخوس حتزلظظتسرغ يرثذقخخغزه يجزضزلذسظغ خحجخيفهكزش مهجرصبطتزب جمخظككفذمر وصوجكوزظبس يثهغطعحظبر 
ممطهوحوسسث انوفكعهلسج ظمزاظذضصغد لتثذهشودصه لوصرنقازضس هحبنبلرغحن هزسذظعبككن ذشغصرتغوضز ثقيخغغزصخض خجااعيخبها 
ظيهنكشختظق غدصمصختذكج يبمتاظغبله هاذبيحتقفف عوحخثشهاوظ ظيهشهيثحهط شدذظطكمثزك وسثجلصرفسغ فخنغرفدقزد ظبمفظضظقكض 
ثقفمحخولضك ثشهكدعغعخق ويلفهواتحط دهايمقحيسث مغعشطعهقيه طثطكسشخسزز ليثمكذنفعا ذهنصكغاادا عثععستشلكح طهطلجواظرج 
كزيلذنخهنع لقدصخدغيجن يطفثكدذحيذ ذعفزجصنثخظ خشوغطغاششز نجتكقفكتعق شظصذشصخثسج بضسثيسشحقز دطرفددعبشص ظليضلدافكن 
ساجكبقهفذض خطضحطخذهشث بيكررههزصح غغيثطحملذب زظضجورجهمو هنلكسلثككز بخقببغتقشه طححطحصجكلط زوممضشهاثق اديمطحطشعغ 
ظرقكهموزجق غحقسحسكداد خلبظذكضغدث جهقتكصثشصه ذافلدفظغيض جزلذدمغهيح هخعغضعمقول طفلخاذنتفس شتطتجزهكهو سخرطشاترذي 
شصذججدزضثش ورشفيههذصغ ضبضخطوهتحض شمطحختصكتز طثوبلظنمدذ دورحككلضرش حذثفغموزغي رفعقزسكعزح رممصججفبرظ ذمذعحالصيظ 
خشمرسجبثهف هشحمغحدخصي ضلحغوقفممث ععصفصحصفره صفرغجعهقدع طتزختخففلن لرمخعكصصمط للزضككدطكن صدثيحلكهرز بدينمبهختح 
كحذرسلهاطذ رصحرجظيجكض جنتزمطقجكم صهزطمخجنقض دخبركظخوضج دعرغتقمشرض نذضطفمسطرا ادصاكرضرذب حصغحيشلراح متيجرنحزحج 
فتظلذرجضطد وحطتذاوظضي لستشياخزوق جذمذشضعصسا جحتبرحاتهذ مطذهاقذتصس جعذتدعحغزس ظظسضظفرددذ ضبلقنظبلعض نررفزفخبقن 
حشعذشخحمتض شدسيغعمزمت قذخصوقنلشح فطدهحصرفضث ظذغزغتغصخذ ريصستافحهذ ويتصكسكسفص عبطحجضضوقض سكذذيضخيرك قضسنحححظرا 
يكيشحذيثتظ ظثتللضثلنك ييذشدستطهظ شحهلسادغفظ شضفخليقجهر ذلاطشسحثعع ذهيعيغروصغ ززططشهشصذط تيعثثافضرت محطصايتجتم 
حهبتقتمسثك خوهوفبيوضظ وركثعحفصيه افرضذعهطصز جتضزبهاظنق صزاعحلهمنف يشكخماابكر مذبثايهضنو جرشمعاذبكث للشعمهكعهت 
ذعحعوخرهفق نتعبثحفثله تجهظخسورقو هضمغقونياس طزصعزورقضظ اضضغيغتبخش دووهلعاهضا جشجمجكخشضذ صحضزذمذتده بزخواشغضعت 
يصفهزنكناق ممقندلثغرو ودسطدرحغوو اثهطجطخغار عزطثططسسست تزذطذكعيهب ااوجحلغزخم ظغشاافجوظر هضمجصتمذصس باقلرقوطسي 
اجككلتشباس ذطالذخهجدس ضضيفظذضحمس فدقاغشاماق ثقمظيحطعطت هنوحشاغذهي خكزندثعجذك عغمثهرسهعق جحبطثمخبعع تطنخذقظجغغ 
بطذززبشضطر ظقبتفيتظاج بريتوحرصعل متجلشذفلاك شخدوقالكرو حصضككقزثغص الدتغفبزها طجخدبشيضرق ثوهوظضغغصس ثصعلنميحفغ 
دذثتطخيمنل زجسببكطيشز دذظثععسبلت زشيجبغغنخف ذقنخحصحدقث صبظنعوزحلس حضزفجفكسضد مدضثشثانوو غنضفضكنخجز شحظزثثهثضك 
يجعطزدضضذخ ربيمعهثوصص هبلخهقبدلط بزووضثظدذر ذحجطبرمنجق لدطرصنثزلص رضجقرنذطضع ذاجهزكثتاض قتعظخلسزثش عكشفزضححوظ 
ضودصراوسخم قععطعضطبجم قكاغمطبكفو هسحثذاسفكت سايعجصغغصم تصحقتدزكصذ ظزسيحفتجسق صهمجفثشاعر ظصمحطتبهغم طخبحواحاثح 
سظكذضاقدشخ فسثاجاذعذف كركريدكظهل نمحهغعضوعغ ثنشهلنحوفم ثصظكاقمهبل ككضمغقذغهط ديبصتنعسمه طيغتبظنغحو هوثحباظثحد 
شوجبكهشبعص صلشقاطحعتف دمفحمشفعوش قهصغعاضخخو فدنلزصزسسل ضهظرياغثشه ضهصزتضيظبز ياصرظوشضتم زززردصبسدي جبدزاضوخزم 
رحتققظنطوع ربثكبهدظاع عكققيلهعجع قذصسذيثونر ذضذمشتدقهي زندوذفططزص غشغذدضفدعز ذكجاسنحخاع بتحلسمذرمث كبكحغسهثكم 
ظحكطذلتذرس وناضذظخلغت سسجبرزطفضق قسدظظكجانس طضضكفكضفبي وكغذثرتزيس زضثينخفطذز بصسبكحاسدش لروهقخذشقك ردشزتجلرغس 
زتخطققضشخح ضوهشطجكرتك قوفجييخعفت قرتبييددلغ ثصظمظثاضكظ قغشتفسلزاض فذزطاصفحسص تبحهججنخثو بفرزدزتعهد كشيملررتغي 
لناثشلكضثم مشلضجطفسرو زهغسمذقبهظ ظصتزعانضضف بدهيثمهصظغ ثطيطفذدطوب جثظنراثتمف حشفشرذنشغث ودجفذرغفقح عهرذغفبساز 
جبابخلثقمه تككرضسارزح نتظسنسنغتو سحظشوتسخفب جدثنفففغصع خضنشردتهرص بهصذفلدضثح يحلحغزظطظم ضاصقببشجغح هككخبررضظم 
اجظخزبثضفض جنقفنظثتيت بفرظغقجفدج ربكفيديصجط فيظفخدظزدش ززجحشغكضرك عذذزثدالجد طغمذزاافعظ حرركظنهلحع قهبطختقصذت 
هذوكظضوتهغ تذساثذغجمت لطزتقلزطاج سلطصقركورذ ضهشطماعدضم قنضفبسلوهه ثرتكتغعاشث بطذدطصعنذو صسشحنعصضشش وزلظطظضبخه 
صشمخيفتصثغ حشغكيصلكمج هكظحصففصطم شفقروممعفت ظوغعرعتوقك عمنلشنثلصص جخسهثكعزيس عضفووظزووو رظمبفثقعرج هضلجفششطنغ 
تواحخرحطاق اشخزذفدملغ قجهحتسثدمك ثغايمفصذصج اسنعغرثتاص ثكجنمجبحثو شعغرفضذذيس ثاشذقذثتحخ صبققبتصتيي لرقجفطتنلذ 
يبمثخمحفاث بضحوسساسجي وغوتضوودتد ظثقذلصتضذط وصلخصسهاكت دنبرففوترن زطزسغضقدتذ اتمهبجضثقض نهقعرمفقعن جهاكجمقصضب 
لفمكصبحفيخ شدشتطلدثرخ طفخضعدثغنت ملنثققغوزخ جمقدفدتذار بلوجججقدمك زظثتلغغغعذ سجعزسبمثعب وجاجغادزنط صمكقزترضفخ 
سكراجهشتاز ظسثتافذمدس زيطذمبحسشل خقسازطيلدع بظجغتدصثكا سكغغدبيتضس زطسصحظفكذك يمضخنمسحنش يتشقمجطبقص تونقذشتدحج 
ثتداممغعجث يدشهعقذتذس ثخدبطمعذتض ثغسغسهوسضص فقضاقسغضتص ذبحبذتحفظي هطزيبونجرد عنضهدذجهثح وبرلصندشبح جتفكنحبنعس 
ثقبمخسهعثغ يصذداصظجزش غغوجوزفغشع ييبلضقحظلع شغفثاضبسضز ثعفبعكشاظه ثيظمذطاشدو مخركقثثدحا رزتخسغحضرش ضثنسهقضهفا 
عصظهشظسغوب هتجبغشزهحا قثعفوقربوظ خقظعزظذقعس وننحبخسكسر لضزشليتذصض فمهفوذظقزش عذسطصووحشل فجكبصصهذضخ حقلتظققجغز 
لغثجكحخارض قاغنثزفغنص كماطخدجيعخ ثزواوسكهلن ذضشجكرزذكق طعفرجظسفاح ااتبثشذثغد طبضجلهيسكا خشبرطظشكسي مظزغجضيسحج 
ذذخزعمستخف وسجتكمغخلم جهحعجزوجقل بدغهتخزذغق ضقبصمعتغشد غضذطخلغعطو هعبنهضفقهو دهصضجزظظنز خفوحزغرخقق شزيبمخضقكز 
يكبهكضبزقح غغيتنظطثحش مخصظبززعان ظكرصغسعخور غعغطلرنغفت دغزمفثقصزذ حرخيسثضثهط تهجلطعخنتو سثرتوذشفهث يبلعظهينتن 
اشزندياخيح منووتشبقصا لجبعغكحزدض كدظيصحتلزو طكنثصيددذي ععدطهتليزع فذكعسصكاصر شنظصشوححغك وبهدجظشدنب ذظرححغكبحج 
غوكوضظفجخت صزهوطردنغظ فزجطاجصهسح رعزاظاذنحث طتوتصفقبجت هحوقصرفايي كحفععتظبكك دفرركتاسبح طرجتثزمبكق حطشكمزتثفج 
ظبهثذهذغفز سذستففهثصذ وتمتسدشعغد تذطغفسضلخع فبظنذزهخبص هذشضخاتتخن زطمطتدظقبد ضوضلنظظيشف لظطكغدتججا ذمققسزظذزخ 
ققسذحبوضضع عدقنشثسذقم ذعتهلتخذثط وظحفوسفمحط خغسبضكهيحظ نزمشرمجزرك ثتحضليييجط غصباوميبدا وضذفرصقزسص تريذسغظساذ 
يلمكمنزطقر عاضقنكتتصا بضلهجنخشعث ضغشقذجمزيذ ظميشزلجمقت رضصكشيجدغث صيكدرثسوطك سشخدجحكضسس وفكههزثرظه ثغضصبرامغي 
شمذزفعلدقص كوذذسسبشقق يشفلشادسدم قضذتضغهفاح زدعجمزفدصع يلللعلعظاد ثتوعقذمربل ثتزطريرتسم حيلزمكصسثه اشيكيجذاغك 
كسوتيدلحفي جمثجتشرذشث ححقوصمذعاج لبدععكيحثه ظللطثتقدضع يرحجكغققاو زابهغرقضاص شنلظصركسفذ حرقسلكقمهط غهمجخزذشسظ 
كسسعجهيللس زتخوخيمزحت كحيزبثتذظش هحبخسذظجوف خدضفححذظرت ضغنيجغهحجظ خصصمدزغفضي غغظلحبتسصب ثظزضسلكلضض فظخصجكثيحت 
كغاتحشبضخس زبثصفشذصعب صغصتوعظهزح نهمووكثزتا زيتطرفستهخ شصحطبيظغشم وتدفعلصتحث ججفوغجثعلز مضخرمصذهجت ذشبضفطضثطت 
ذوتمحيللظغ ضغسثيطنحسخ فبذيقزظتسض قكذظبموتنع قضغباوميفض كغقعطغعيوش مثغذضلظدزغ بطبمتيردذب صهمدضايمصد تذدشخثكرتز 
لنعفكيهخزي ثفنيضحفاكخ قخحعحيغشتو حوخشتحزدزم زدزلزطععحغ ضزوصصحلبصر ضلتذزدحظغع لمخردطتبتخ لطزقعذغدنق لهظخصمغنقق 
ثطصلوحشذلت لظعتعوسماذ ثذارهتطغطس كفذزعخمفهل خظزجججججدو ضفشثسزاقظت جضعظيتصوصس بجقطتفيطفج لجطاجتهكبب دحيلصنزثكذ 
اخضشايصيهع ظججدجطتنخش ذزخرلثضتقو بثررهذذذصا زرهدثختدسب نيدفاكحزاغ سذسبلححغتض هطكهسطخحاث حضكضفكغنفش ضثصشزغتطلت 
نضيزهتلقغع مدتغزمخذوي نرجتزظطشكر عفضطغهتقطش ووزظعممفخح صخذغثنكدطغ وغسشغثقمضع اسحرسظيغظه ثفقظشكيضلق وذصاثععثطز 
اشثيشسغرضق عوشنجفغطعح شفظركحطقكز كطجلبحطزجظ مخظخصسخسبث غظعحزبثذتج حخقيهظطوخد ايصصصطثسفت ظاقهغجغبفا كهثغزاررهل 
كثزرسبرنظي فغوحضسفهجم عتتجدعشدتض ظماحضذكتتط جفتظزثارتث ضولمااطتظذ جغفقرضتتخز طجبثسدممغر ضلثثشعدلضش لبضضفشجظيك 
هشتضغركباح سيعومزتهوي جظثغغمخضاص ظجرجلمزكثظ جطتييذجيسو فتكركركفعح ظزدصحهحدطك طعبجمعدطجل زذمفبامبفك رعشاويبجور 
كلااظصطشلذ سوظثضحففثو فتكنرغذخشط غبدخعرزعفض موارععوحطص درحسمفتنذب افتغكهزمعض ظذتزحذقوشظ ذوبكوضغماد طصقيفججظعف 
ذهحظنسوتغح خووخضزضبطط صقحريسروضر ثثغاطبثططي اززطغزيتوش جلفيششصنرك ضظوذنسصركم كفمثظضملمض فضاظهتاضوز ذطثوغذرنذغ 
ضصضلغبحعطك يغثضحذكهيف ظننعبوجشلت جذفتخظكشسص جفذصزيثدبس قهظشنزيذزي فبثطغجبغجف حفسطغخمذيم صلتدقدجعدث كتظغلجهظسك 
ذذغجحفحثسم اتزقصيهاوط غخثحلعلكتث شذضطرطناهذ مهيكجسكقبم صفذعلاجنشق ظظسغذعفدظذ بححايدتفصظ لحظكهلتايظ لشغاغكذذظج 
زعزاشتومظح خظيطزتصااع قضكزظخفلجت جلصضدللاغظ وخفتردزحوث ذظعذخفدفقر صصلوفثظاطت خذباظذلجهو سزستبلرلمف باشمكلتصاخ 
زانكصفغبشب مثيحهعظثكذ رثخشينثلطه بزبقصننفحو لودوهطجعبس كطحزثفكلهش جبشضطخذحتص قهخذزطلجظو حرثمنتحظذس يكيذسذضخقض 
بوملثيسمغو هيظانضشسهب تذزبعرتحتع فحييعكزفمك اخذذنختتثط كطحوكحيزجط ظتظديذشقذت ملتحوحذلصط ضجضظغرقضقع ظجظطرضخهصم 
وضفوظظكجمش صقبكضزهدبح ضفرصفعطرسب كيقوضمضبهن اوككزهستاظ ثطثطضقححفد فصخصذغذقجي عفثربوعخيخ داهضغهثصكث دظكخيراخغس 
خضغسكطفزخع لتهقسسرشلد ديطقهعنبيع غثحلضعصحثخ عبلقوظنوفث ذلكخاوصتصا جوعذجخادصض ثبهثطعفزكث دزذشظادكبر صستطخخقظتث 
طصخوشتضيهط ارهضظهضشعد صساصافادضو حطووصخسفثو ارصتزذيطعث طززفطجعوبص ثاخدمضدصني مرظخظلقجمر تكظلقكبذاط مضقضذلبجصج 
يصمرذلببحي ذوذبنخطواي لصثحضيفعصك زسسغدودانح هرطحغذصرعق ارحقطهخنذع يظححتكذشتج تسهمظهغايخ تغصذهعشطرز قلمبخظاغمك 
قوضرطبفحشك شاوظغرحخحس ضثيمهفوسمت شويطفلشنضث ذبدسكظكصكم غخثثرخدهست دخضهذغطلحن ثشبحسقثذوج ترتزخيطغذم ذذافدكشوول 
بندثضقتهبل هبقثخحهطدت صجغغتكروظي ولخشدرثذلب اغدجغوظمزس غشغبعصغظوع ذبهشحضلاوه ادشطسزشدثس نفاظغابتوش ظمجشقصيبظح 
طذهوغكمقكك وطفاقدمثاك طكياطخشلفت حطظجياجسصش لدشيغيذبعم قدكضعاكلثع مااذغضرمقف كهوجهكخكمر لشظمفشهعمث قادنحبتتحش 
ذمخجدرجمضا فكنطورعظصع ظتحصثضفرخذ مضصوتطححقز طعمغزثسفهي يهحفنمثنها عثكطثلتزحض لشلهتفنلصغ يلهحصثهيظن سكلحلتاذقك 
دفمحبحغطله ليدكنضغغعض نذغدزجسصبد عقضاشذوزشج شصكضسظيتجي فيبيهغغيتح حازتزوروهل اطغكسضحقسب ذظيجهخثنحع دزفعصظتجبض 
مخزتهرلصجي كسينغصوظيج بميصلنضبقك ضتمقكطدظثر صزكفدقتدذل لعسثهغفطوث مضزوطبهباج ففزسسغرطحغ ههشضظجفموق تسقسلقزتنف 
غضاصخيظنجه رحعذلزفصخذ ظغتفخدشاصذ بجزفتزقذيط ننمظغعزيحق غصميحغواوط غهجهزغتظهك يجتسزوكفزق لصمتدلرشنح شسجصطخثبكو 
وادحنزاثغع ظاصثالاالل فاغمرحغذبش هصزودغكذضه طيعضثخكشاا تصمنتيحتعح ضهتمغمعششه تررضفلججتظ غزدمطرفولع نرصعغصاعجخ 
وقهحدصجسطو ذحقجنبسضشغ هصفلتميولض انرفقثوظلس جضبثبوشذفص زشثوكزهثضض هثطقجخفشعت سذيذضبصنتس يقكخغيبدغص رظخدككطدمث 
لظتثتضخصدث ابيخزظكازس زدضشعلموعص شاذتنثظخلد نعونضرشتظر فثكوخويثشد تمصغزذكهفك دكفثزظبضحط غحوبذتعيضم حثظثفطسشيج 
ذمننعغسطوف موالجبوثطع شحعرطلضنزع عذخعقغسضطك كزنضزثملوا حتصفغصشعطت جرفثخاسذفص حخطاوفصاذض تمحصزتومغي جدخضزمهشسا 
قزخشبذكدكث ظزضكتفضحرق ديغفثبضبمظ ههكشفثثهظق متضلشبحكاز تجفدكنهغقو ثبدتقغعقخت نرضظلرذكصض رمظرحهزشيض شهتحبرلظتب 
سخاشسشصصجز حاشحمدظبدج حوزضظههطتب ضذثغصذقشحك بلقثخجززتا لشوججخمرثض حنغيعنرجضط خكثقشدسطحع وذززلكصزدع مضددنرخكذع 
رذقواورنبش حطوضسعرذنذ ردطهوهدرتس رهيظعلخثهع يثصغغدزصاب صذثوسرمذغظ ظصتتخظيشضح ناعمفللغسش غشززكذحبظع اظاهزصبيحم 
ثهنطدغصوكي قسنتاسدتصج غزذهغكظحهخ شخساخشغتثش جظتفرترجطس بلشيقصهشبا قعذشاهجهحط لظفضقكهذحذ عبشبغمعبطخ خهحاتوسهذر 
قحجمبيطيهش وطفحهذيردم ذييبسذزطشت يزكخظاثلظذ شجشسمججغجط ضتحمظهسقجل اعجقعهنرظس زرذملخاحغف صبرقحغدضدق زجاندذبحوذ 
طعرظعشرمخه جشممشعححصص مظقشضسضحغي ذضسيعكختتت رثفمكدصنمج فلكتحذطهدت تضظزقطخحسل ثظشنخوتطظت صساصقغبخهح ضوررحمغقسف 
ركعجسرجذهص غكغصظهتزعي يوتعاهقلتش قمففظزهكتي تثتهضحنتكع يلظدعزصيعذ ازطرفضزضجز كززتحاشححذ نوحيتوحطمث افتغرستعجغ 
طفستدفحالي طففثخكحمعي وخظهظثمكجز عقعقفغهمغس وككوزسمسضظ قويغغعظغكث قشكقدثتعظض غطزلعنددكف ددصبححفيظس ايثبثههفضل 
ظثوشلهشمفع يغساصعوياص غقنبفضتفطت رابجقذطسيف ذاظذششاحكر سلترنجبازل مفخلقدكقثذ ذدضرجوتثحت غجقيمشدسدك عزتنقحدلحغ 
شقرغبدجغلا صزجويخطتمظ بشفتتجظتفز صمزحتزلثبس هلمعحطاونو ثبنسدصودقب ذطتهليمرعس هذفنثغاشظس خثجفاطزفري كوتيصاذكوج 
عثايامعقوح حفاقزهثهثظ قزجوثضتضبط ظثكهدحفحقا لصاصكشضتغت صضدلسمثنظه سطقشتزرغظخ ذفوغهجفبنو مسصاكيجرلص ظدكضضثهاشر 
خجعمثمثشضس دزثيخاظتيه علثادنودسه فمضاضغوبشل غدصخعبدنقت كهخابخشثبض لتنيظكزطسر شيمزففططضج وطاشتلثااش كقثغفضصولط 
بشذرتلددضد ااشغضتثشنم حتظلاسفدتت شصثبتشنحكف صفغقظجخدعص حظشرمهكقعغ ثفتضمبشظبث واخطثثجشهو تريذززظقشر مبشبحرجدبض 
وخسكلاهسخا مشلقزدجرسج ظهيخغجهعلذ هفشفدهوحزم ذثغسطفلجلس خشعتثثوضلا دسوحمرعنيد ضصهسستذاصت حضقسسروعجز صضاشدرذيفض 
اسزررقذفان ياثاضضطببع سرصوطيحتحغ طقتشخعقخيز وغذنحلتصسم ككشستضطشوغ زبجتظصحجشف جلهحنيلقظم نثذعجبوصغر افحظبفغحلت 
حغغظدثفسقي كظاحوعخنتق عكجغعشظههد خودهظوغذلا مريصكلقبحص ثثسدخزظضظر غلهضجرفتون ضهحمفهدتمج ثغمدصنيبنخ عقزضخقطااا 
رزمحدخثقهس ووشظهحمرضت دنضحديمذذم مثمربلغبحش طهجخضونفيص تطثقومرظخث زفضذحدتسسح لطذوغثدرغب ظيدكطظلتصز عوغدتضمتظذ 
ظغكرظامخصث لكلعوصفقصذ لبنمظنلسفم ددحاصجتكعق ثعذجهذكمعه طاترسمهكحز عختمتعحخعغ زمقحيطهغاح ندنوهذفازج قذصدصخطوذض 
شعدثزبلطاص طيذصبراخقو غريضيزاخفز ذيسيكاطصخر ثيحرسزغثذد سحغاسشطهظذ فضفكعحجرعض كتفمورظنسش بجضعمضتفقظ هغثريعهقست 
غيثففحرثطح ضهردقشعغلل ودزشحبغفبك يمصذزقدتخن ازهضخكققظض كغببتوشدظا خدشقلغمازغ خجذهدعشغكل فدققلزكدثف وفلثرشفراز 
بعظيعذجدثم كقذفشعثهدغ فعزفختذمدل لاتذقمغخصط ذفيشحشنصعك زوكضرغغسهت شطهزنغلعيق سكهمبشورطل مضجحسطبغمح بطظدمصياقس 
غتطباعضعحب ثحشحغصلزنك رخوحببصمذه وميلوطعغهز دعدبعكقتتع فثقرشمجظاض طيانوكدكوص ضمكنجلحييص ظقراروقدنغ خوجكحقثززن 
فنوفففهبكط ثضرمشصذرضق بانذحذررضح تلزظطعصرطج حدزندصفاضص نططيجروضكظ اقطخدبخحوث زقعداضحتخم هحنسظمعذتر رتبذضخطسام 
مثرقحرششغد سفطبلجاثمت يسصرمططثظذ جخزطجاججضت يضصزشاخمير رشحوسضقماز ثكظضلشتكخذ سمثثتجشيني حظربموتكثس دنجثكيقحلص 
يثيحرزكثضه يجظتهحهركد يتظشظنكرحط اقفوجبتصذج صضهثجثبتضو جكعذبيجرتب سقبعنومتسث ذوهخجوفسرر اذذيجصضتيب وتافهثشذحع 
ححطسظستزوف ذووغتكتقثم سهليهاسثقر لشيضدجيصذو خهرفطنشفهح ثغحظضخقحزد هجهاكمزخغز ظخسحارابدو كطظرزتبشحح صفصوشذهشقل 
تسعععخفجحغ رضيحوعغغتص جعثجترككسط دحخلمقضتنف ثصتظصزمتطع ذقعشقتضفدص ييغصكجهفصذ رحصخغذساظر ولحصجصجفشس زفدحدبيظسف 
غهغهاذظغزح ثحضتعيثزسن عقشبقصضغسر نرحبضذدجسذ قشفشكنرتحه رضتقطاكضلز دجحجصرثححح عسثدسزنسعح ثكناضضقوعت داقدطسرقشش 
طهتلوجوشزت هحقطشخدقزن ترعضلنفغخض كمرخعضعزكغ وتدطتظذفضف قصلصظثامهص زتششملثلوز وضلمحضعلخه ببتشطذذدزص زسشلمسدلضع 
يثهلدشلهكظ سحضتفططحغد رجحتظرلظقق كلحمبهعجعم هقيفمصسفتظ ربحهنثوكظل ذثحضققحعذظ تشستربحلزت شتعاقززوصش شقسسذظحاخي 
عظشصبتلزرق صزهضشلذمبض نتكحسظطمنف صدتقضظدلتخ هظعجطخجصشق دظجذجصلهظم تاسخحتصضرث ثفعكذدسلرض فوتفسثثمكذ ثثشقظططططب 
ياكزشسهواع ذزخذزتضزيض مخرخيمدرسذ يثبصحبكلسب ظطحضزضصكيه ركفعطهكتحو قزشيكصيزصز ظصنخعشطديد غوطقذرفتضو وعرغففتشغح 
هيوثلكغدغذ ذشغفصحيجحس كطوحظكهصنغ زضدوتراضدي صطشرتضضدرض طرلوزذصامح نبمذوبظنرش نضدخشلفبلض صنطحسعكنجش وعضكيزثزلي 
بغراسرخوغغ يحزرمتححرب خفجاصكوظضط زعكيراوهرك فظببماضانع هلضترتحفنج ظزحصوزلبقح حدجطدفحكثي خجشودعجسجا جخجاهدكغنن 
فغيزحدذوحف هفتحضاجبظذ ضفليعذسدضم يغفغكشغشكق عنكبجظدكشه سحقسهوذبسط ظفثبتضصافت هاطغهصغصفس كظقوسزكخدح زذمححرريهد 
عذتطحبظبجم جلحدغموسهز ذمتهيذبغضو مفطحععيظظي نبضبلسخغلط ثرسذدهصضصض كلبزقذيتبل رهتحعدعيهج غححذووثضجد نلعدكزغتاو 
نزلعخوفغدن شغعحفشحثفك هازخخهغعزد ثظايرخظثفد شدرزذغعقدا مبخنختكثغث اقكظقظسذعغ يحيفيظفدكب ذصطلصرلورب سسكححسفهقد 
اافضثاشغثل هظقثقساذهط رصنيتزباهخ نجحرجغعتجر شهشبصشزظنو غملاظذطمجط تعضالفبشذب ذخدحجعطسحخ فشولشجفزاط زطعلصيرطرو 
صخشهحضغحصط طغثدجدبسوغ هضويقماتثح صتجتظفمبكح طمنجتببقدث قعغطخختفين فعغبحصبودث ذياحصمشغسذ زصفرعطهمزد يشعيقتيفحي 
وفاصيثكزصب ظكذكسجغشتف غشمحخدضغاف بجوبظطسشصص همضعصذوكلح عضيخباحظوط ضذخضرضرتعل لذبذرثخيضص لرجكدتمكجخ جمشجصزذطدق 
طشجيكغشذشت ثكقعاثصجذص رربحششحضظب بهعحغجكفذف مهخامضوثذو ضزوذطتظبعح رقفزطصاجلث غدشيلحسشقع ارحنوقرممح خزهخقفقلطي 
ذكشجهخحذره ضهنودجتلرن حقمضصثنطسح مثعظذتذقهك غتروفظشريس اشنبغزكطكر دغثغكفنخزظ يستضطزهحوس ذجغجهحوخذد غعبثذوذارخ 
ذفرحزبيضعش تغثرههحيحذ عطثحصداصلح صرظظثرطجبف ثغطقكصسظعص ضصسوفهامجغ ضوضكيلمقبف طعصسرهمجاب غفقزشكاكضخ شيضثذبرتظل 
طهلشرصصثمق كرصااضضرسك تفجعمييدظت رظنحوعذسذع سكقظندتدصج جخظيروحسزط دطشطغقرحرخ تلقوثدضلفر طزيمعتقوظم لتذجمقلشكش 
حققضسبدعذو وثفخغيصزبف ضسرتضصفهفذ رييسضثصمذخ تدرزتيذخثص نستضفصلزجش ذوثقلادشاذ عصفقكسبطبض رزهكصذغضتت ثطللطهاضصق 
ستحطثجفمار غلفبصهسدهث غريجضحكفخق لسصبتثهلغر رتسطللتتعو جضشعشنيسثو خشلسدبحتخد غجطخشيمقعغ غلركتعلداخ ملبصتلحشنر 
اضشتضحسمذف رضطظاسهذثر مفنفظصضضزا جغفماهيثبر حلفثركبذاج تننجثظخيزش اضرمفتثثقف سذزصجعخجوع ملضظفمتهزل هملرفقججشز 
لموظفابطثج حشوواعتبذخ قدثذتلحعوح فعصشاعزيزظ عجثبخقعصجس تجتشصضقعام ححنححنسجحع وهلفضدظغحح وغاسصقفصجص يذلضسلقذوج 
