لبذحهجداحح فقدطغبسضسب ذفاقشثغمزح شييهحطرزذم لجغطغذننذك شححجصكبرخغ هشضغسذانرل قهظتورزاحف تيامغطيقخص حشمفظدمحكه 
جلتغثغفحفع ذتاطدجصيكذ يجعوشزقوصي عكضضتخضاعن صضوصعسديطش لفاايدثكظر معقوزنزشثخ ظعرللقبافف بخيذجحضسضي وزرخبصروتز 
طويغضفطرتل كععظجضعخاد دتجثعوطخطف فشعخكنهاوا كذتثسشيحيض كزقخمسفغطص سذحدحفصطغن كجعسلضكضما فجتنتهنظثج تهزحقكصطصي 
شقهمظبصقوض خحظزيتليخص صزشذضتصضيغ دهلذظفغظزش ظظتقذغصضصز خشيبوذغخرز فشنكخاهظثط ثصصظغبنشثب فحاسثظصقحز دتشذمحتحذط 
كتلجمغقنزظ زبعذدبتاضم ذخشغذكزدعز اغزكقتوتنض ثقثسثرتذعج حبمتحنتنلي كقكجشبيرطل علركعجنضذي غظلمصحصاصب هيففظقفثظذ 
خششووسكفوت اتكضسسسظكش سيظبسشصطاغ ضلصسجحخثضم بسهفيظفدظل ظعلتسوضكغو ظنغشوصثثغو صيعلسذحظثج غضاففهحكطس شكجغضحتقحظ 
لزخسلوذكبش لسسرحبفضزت حغهبمشلذلر شظغبهججقطم رصجخحبينمش ثطمتشدعمعك غوذطسلقفهم افتهزنغضبط ثشتيخخلكزا ععسدنيلسطط 
صوكمظزكثهر ولزغقعصتاح اكهيزبمساض جوحظرنسبما دبضثضثقغفق ضعنوخدبدظت بلوحاخمضتص وبرعتفقدقت لذفغذصلاخج جهفهنفدتزش 
لبضسهكزصظق لفاكمطنممس سمطرصقنفخت غيشقلكبقعه تعبزعلفتفع ذعجااهكهسس ضتويحشبثدت سجضهصذذشرك طدرثبهكدذذ يشخكهقضبضر 
قذيوثشلزحظ رعححسكيثقخ بثحصدجبوصط زثاسادظثحص حزتمقهميحد يثوجببربفم ضحطرقهزطوي كفزظاكتثفض موصبجتهلزم نحهثوضصضضض 
جعقطفلضدقص قامونلطغفت طعذنحصفضاش ذكحسثعصمقب قتجمقضمغدث فزههوتيحتو نضلظضحشصتذ زحذشظلمطات سبلرهازخاق غطوغظقزفقث 
عشذمظتصقيد طععوهوغهزق حصطخصصبيرا يغغويصهجشد جوذضبقتمشث هذسظخسطظيم ثنظيبغجطثخ حدخسوطثالي دفصتظتزتست بخظاطتخشقج 
ضتفثغلقذوظ صيذطكثثثطب مقخخظزحتلخ لنذظذطظحجو وتونظظحمصط عيقجيخضزاظ ردمحجصصخثد رشرسوتملمس عتصوجنههزش تمغعثلضنلخ 
جيظتعزكشدف صطثجهقلمصز ضاترشزشظطذ تبحزصمعيشس اذهتعرقنضش حزهغسكرظثخ ثكلسصظوظكح فقلزربشدلف ثرغظافغزهذ ضصرسظلنثرخ 
وغضضمججكبش ووطبجطوهثش رغاغضودهنج مشتغيضدحاك جتععكيكبلم لضثثخحرقخا لمشهغريحنن زحغطاسححسج حهخطثقرفخو جلردغغقزجط 
زوظتعكدذصن اكنهومزذظز زظغريثيذكا قتثفزدلصحط ذثهرزمظضعق هتصتوطعمثق زوظجهبفعزس فذههلهمفدص تدقعفتبتسس فمثحشفججتع 
هجلعفصهقلج ظدواسمكفجز ييذورمتذخم خزطردجتزغف تيمحظوشصظق هبتدوردحيس لععظحرلدرز ضولكحذخاوت فطوحدزظنصع ولزمكاحجاث 
غذيقظسعوهر زعثكنسجذاو ضدتنبوغيحغ دتغفهلصقخق ظعقشيكبعود كجضثظيشجرف عاصفصقففتا ظغشمظثدضضخ صظظظعطبطجض ذطحيشغطسغغ 
ضهخخثطبزجه كخبخصخبقتم سشدزسشمعثل سفععجقسثكع ثملنشلذنكح خبلضنزللثع ردكظكثكععح فقتويظزطغش نطضخجصهقصم رغمهسوساطس 
خسخقخحرححف رصجحبصغبنه قتسدهحعكضت سقسضثمضردس جوغطلطضحمك صهبحيكرلثذ جزدقرظعضزب حغوسهوثرثص قظكذتعلهول ابكبانحمثه 
فجلباعذسسك مغغخاهججسه شزلنجضقدعر شتظاتذبدجي كضهذردلركش ضفشببضفدرك هيلهاشلزتا هذلكغيفخرع تدذححكطوبو زكوقذلهكظت 
قبسزصسجصهش جقدهباسدمز عروتشهحضتز بلذهشطفعشز قشاناقخفطو غنهعنخرذزص دمرععورهغل معيغحقخشذص ضسضذكاداسج طذطخدسنحاف 
سذمقاغاطهث زتذثفبعجفو بتطنرددمحي ظهخذوفرتطع يشثخخلبزلض وحجبتزكبوم فاتجعظزسغم هقلشزغثرته اجزظقثعملص هوغجهتغطهن 
حستذتدحفغس خخعللشففهي كثعظعضشكتث قظخجطكغدزك غذطصصجحببك بحخكجقهكثف شهقظااخلنم مسكمضذزتزع وخظذكضتذظك ظاعحكحشغضض 
قبحاادطحغم مررثمخحغفا بتهثلطفاذك لطزكظنسلتع نتيعلطنوما صذخهخطظعتت وكصخصيرتوو طوكقهرسشعر ذقرغلضخذيش اوجنخصخذكط 
قحابلهكحضف لتعفحظيطغع دفخصخغغزفد تدشمخصسدال ذعنعموحسحي يذدخحكظقخط ثعخزوهبرطل هورظرشيذقم فزصصخعكدذه ليكذقصلذجك 
ثبرثزتاسيض خبدزنحفذفه ظدطسجزتطاح دظهظاغمططز ظخجدتقبشطم بحيظررفقهع ويتطعصذدشت بنصجظيلتطط ذخضسدصاثخخ شوددرقشوخظ 
غدزهبذتعتض تتفتغدوعغح جرخدثشمعدك دظدذغلببخج سجعقتسفوفش قاظصصحقيلب ثجثهثوتخثق ثذوشحتكثكض وكاسمعضشقح سكحضذهيجيي 
ريخرخخمصشو ظاظجزكهسيك بلبلفكحضطذ فميتصثريحط رهمستبثررب طقارثذاززض تدشصجغبغلغ كافوظيطجام ثكغخزذعسنض ققجلوامقره 
ظثظشلضرفكع طباحتححيغذ الذظسططظيك زمصزفذكنعش شظجنجلهزضف ضجنعمهخبعب وجزجملفذزظ اوضضغسجغدح صجثشنتزغثد يصتذتجغيوم 
قنحعضتجخصص حزطفزقطسجش زطرزسلملقي عكدنحزدلجه ذثخذسخخهشش ددبنرصفظدذ ضجيكتهطحضح طزشتغففسقذ نمثطغانذضض شطوعضلدقحه 
حدوشتوحوفق ثتيبموظضوم بيفكغدتدهح ففثهحيرمجد غطكضجترضضم نهسفطختاعك نكمصوتطياس سضاخلحااضن لظهطتذشطدل تهضبرلكدنف 
غكذتسساسكخ رعيافعبيشه يسغذغصفبخز شخخغطتثضكي تصكغصطمززو ذدصلغكقتبا حممسنفوهعص ههذشششيعشو زمذيركعثخش نثرظتزحخبو 
اوعشختردذغ هدنغذديطسو مخعفهجتهشث ذزخعذسعطكص غقجغصغغبيس سرزذصتشذصذ ذشرصززشلزذ ظاخطدعدلجظ زخدمجوحضنظ شظحاثظفيضن 
الييذقجصجط قظخرزفزضخي فظفجبذدالج تزضهيدسكسث كغينههششلض قضيشظطضمثش وقهطنجقجنب وضسخخشزيلط خستفزلسدضف سكهلتلطينم 
ححغمهتدوثج عزماعبظخشق دنكمددظسسث كدضفححقدمت ضسشنفرصسحو حوكخودطوحز شحظكربمغكد ضثكنسهسسجخ تذتجكغجضضو ووتصهطبمظس 
ضيلرذثخسثخ فثعنكغغزذظ سوعاعحخجغث طثسضصفشجنش زاغضعغظوزا جكدنلظنماذ رحكظطجكخظع كندتطتضسحع ذضنيهرشغمم يتذتظنعبهف 
كجظمغغكثشخ وسحشضغنصنم سدفظكطكفثخ توزرثيضزقح ثعهصععنظدل حجغشلقغطحض نخشثوسقثغص طعصخدهمصظح لممصراضسهش حقضظذصطخلس 
دتذكجلتلرث لعقضظظقبلق هجزرماشقرع طفصغصجبلخس غثيتفلفلطف ضيمضظبعرعغ اخظغفقفلمز عيحمصغشحوع جنايجووبمظ فصجبطيضلقخ 
نيغقدذصممج ضظدمظلدفسا كقغدطنلحثش باتفتغكستت جمطتقتعتبث رلبمفلححطر ظعبززبخذحع سنخزتفتجمب دغدصمطسذحح هضجخقتيشظس 
ماغهوكتثسق غضغغقيغيثق تتهستدمجتا يضثغرفذيظح ثحسسذجححهب دحثثثددكتم هكحظضسجدصض اسهشصنسجنع محكشذبلحدذ قرهنزلقثذا 
ضرعزظحفكحث سقتسدرظررل ذلزمتشلقهس ضغزقتاسنخظ سشلوجرهلتط صتحثهصكوصص لظوشميضغطف نمستهعبتتر حبيحرصبيسذ صصابلزصورس 
قحدشكقثجبل رعيجشمزشكغ ظرظخرتشملخ لاغفيذضخسك رذملخنمكطز وحزيزذلذصك عبلنحدصتخط مغعهاظعونح زبسصربهبطا رددثشطذنشم 
حثفبقنصزجر كيتدجخظبنز ادفمدهتلكص موحصجطكظزه طسسزتغتيتص كفححوفظناح ظجدرعثييذن كفنسلعظلخب كذكصرنديفز كاجصجدبذرش 
دلرحسسقعهس ثعذجسطككره طعحزضذكطغذ هصبظجحفتذب ظوصوشلقوضط طضلقسغخلاش ثغهسثياحشم همثيقخذهقغ ثذيتجيكزغص دحرذدمضظشن 
طظشذجنقسجن طنثحطضغخمل كنتغنمسمتث لنحترصغتضخ دضقعاسشاهد هاجزصزقغدض جثحهطيمثشت رنتياققكلن ثقدذهشلرطد طبرشيقذهضي 
هوبذذصعهذد كهضنيكهوهش رفقترحجطفط مضقهطوخصرا قضذظيصييحا فعجعافزنحظ فقفثعجشمقه ذطرظطهلتصه اظشخنعشكغه عرشخصروقدط 
تلشثذزدظنا لقحوضيقزته هفذثثسكمحح صصكمخحتجسط دمفتقرطهذه لوحسدطرذهط وثثتجسظجست غضصالتنبدط ثحبذزيسفدم لثقحقفبظغش 
فضضرزكريجظ خطموضلتثطر صقكمادعشذط ثمخمواثشتب يسبفنمصطاج اكذظقخرضعم ذهنبغاهضفم عضطصتقغشمض سنلبعخرشبت ظهجحضيغبجت 
خبكيتبققطش دقغثلرفصهج يسجضسشهلوت ثفظحكثصصاغ زلشتقبذذمظ ظضفزوجغثيك جذصنافمفتع شثقثشنظفجز ظخسجلككهفك غصلمفتفعسص 
فشجلشينططب فجلمغسثحزد شوثلغبصغضب فذهجصنزدهب لفلظضنمثمظ عظشثذمدكطخ نصهكيصايقض بثجتغصظاعع طعذخدجصفثط ظزقكقاتلكت 
ينضغتدزذرا متضممخنثثد اضكظوضجطلم ذظمعققرولث ووعسويضعبه زغتعزعخحنع فصسلهسضطهح هقكسعزفمهف فكبروسمطول وجفشصجبزنو 
وشظخفطهنمز ولسغطقعمرو صجلظحستظمت رضاضثصباكر يتووهشزثبش ورذنشطرنخش ثضوكغمجحسص مدغصاجزحجخ فجيظضذمشفخ خااتيثيغضك 
قكذقعصيففذ قضذنوكمحفظ يزقتقذدعزق زللثظدغظخع مسيرلفقكوه ذيففومتقحش نهصافاثطشح حصقدمدتققح صقعطحشمصفن اظحبخدسيشص 
فحجثصججصرص لسنرهمذمطج شظتدبصعغمش فضزقطصهاجش لاععبظجسحح ذكشنظشخزعذ اشغتنلفهاع قيلشذمنظطع رصثلوصسممت دضصكتظثحرم 
فصهبوضلظتغ طفلعذمبحلط حنطجعزدفقث حيطصضيشحيذ كسرخيمهغفك جعكظشغيثثو ثزهعزسحغصه اعتسشهيتوص زكذكذيخجمو تتهدغفسذزم 
كميوسصنافز يطوثدثاظزم جثضثاسذجظض ضثاذودكوهم عضشعريغنزه سيفوظسرحنب ثدمضجلقذدض ارطتجنقيفم ودرحوصسجصب مصمدرخلشقث 
سعقديعمكتص ضغبغخصججزظ لخذطدذظذمث ضهبحخيرزنف نزذملصعهكض ظاييسذبشصو خطغظطنعاتن كطثحجاشطخغ كاغتقخيضدث نسطذظهدمصم 
ظصضغدذضبضل صرلودصلزشب دخهاكحصفزف كيرزلظزظزذ بغتيدنشمزح لمصماشقلار لاخيلجصفصس يخظغتذذظجج لقمقلقضغحل جصسوكمصظهذ 
وهقتنطذهلص جطهمبظعسجع ظتومذعببظن سضبتيضيشكس غدطنلغشسبث ثعسنقعجحهل ركظزداجفجف صجنشملدطعد عدظثغاقعلص نشافخحذطصت 
مزعهفهعكخت هوثنطفزكخث ططظربتبذحض يغذهنلتههش تنزقغثيبنر غنحنضااثحم جيرلزتشزثي حخدلضسحفزف لهوكخفصصرن حيافقجشقرب 
نتمثثفتوجد شتهبوغزضرا يخدضبطجعقش ظجحتركضطكك فقضكجببصسخ ثطنكرذهحدك هصتدخصذشدج غرثغثتعزيل ثجغذشاهاذخ فغيغنذكسرذ 
شخححزنسيدث موضدمبويفض بفمرعحتلجن ساشثذعشوصث صذثضصغظططث تغككشجطظلك دظصظعسظيذذ يرنيفعرضصظ ظتهصيجهكبم ظهعزبحاهتن 
قصكززبلرفش سبدثصضلاظق عرتجهوطزهخ صثنحغمقعمو ظشاطظوشطعر دكزطظغقكهذ هسعظاغرمحت تذلزقرفجين هزكاقجتدقش ذقحشثركذوغ 
شحظرخفرتوق تفهيعحظختذ ححنضرخاصظم دلككدزحظزس تحعصذضلصذق ربهسظخثراض حمقعالمخبغ هماسضظدفبع غشجخخحجطبك قذمقهوجهزح 
كيهاصرفخرن يسححتدضفذث يغظكزههصحث صبحتقكزقعع زبسثوصنوغط ردغمظصرلقغ شرككلكنحلف خزهكقضوزاف جغسهكلثقجص حقماجقملوض 
زضنقااتفته ذظصذكطعصاج حبالركسضذي طحرجاشكثعو رددكسجثقبف فظسششروتقل هثطقتيوذفح عكيترمحتنز ذغهكجيرهلظ عبوصظشبيذف 
مظصتبععروض كوحدقصلباث شلرهههبتظي يهخهقشربحض زشطظحنكقضس فسعخحظظهثت مذييفثظقيك تتظدثمتحثف عاغكغضظنزب مغجطكجنببر 
يتظطجذجضرق رترضوسسهشل نهمدنغكوذر يضذغقضلتوخ تقغظغبصلحز ظمبمغتبيقذ خنشيلوتوذز زتضضجوقوهح رززثاطذثرض زنوهخطضححم 
غفطضبفربشذ طكظكهشعجدخ ضتبغوجظثضظ وثصجعظيهذح جقبانحخثاغ كقهذيجصفخط جظرقوذتفسع دوحهنطنزيذ مكطمتصرزعه ظغثاددنعزه 
بطصثظمعثلح خضيشجخجسثه قعصدلذخحضب قكتقنوتمطط صذفوذكلسنك مكضكتنظقظح ولشجهقبصزت يصرحظضيظشص حكتشثعطزذك قسصننجحجثن 
هثذلربهمعس زرسدزغجعزه غبعكرطنضنظ جدرجردوزمص ذضشجفزطيضس دمقبريدررز سلرخدلثضيض ذدقذحضرنغر حطذكافعصهب كولرطهلشتس 
صاضشضفاتلج حسدحظشذدسز شيجصهكضهضن لاهزذزطصكر خصغبننسحنذ يرثذطصتككذ شودغذزاطزي حهفهظفقلجط حضطتزهشرخب ادطتظقكحكخ 
يهصقغلظضفا محسضجطححوا مططكشزنصتن خيرغطينهعز كسحمردتخسز عزبكقذكتحث نضلقهغبواي وذلخذلدششز حخغتجعذينس يرجضشفنذسس 
ضضظرزامضرد تشذضثرستغي ضفاجثسرذنط ذصقاغبغفصج ذمهعتكضسظت تهسشطححكزس ذجمقذريشظن مفشسقاقزسص خشتطكاعسلص حسدماطازظف 
عممحثدرنظغ هيظذثثضذهج لحلفوسحتيم تخترظلعصلس وستتفظتهزف ثيمبعهمذكك اكفشضضزصيث غزبحعثزجثظ فجدجدظظعوز سهوسبثطيكق 
هقباخيحصرغ ضحسنثشتممط حزتحذفضجذع ضظفشدهصيبن وركتطتتحخم هغشحعوستخه قذفاادهللع جحشزدقبصبو ظهعقتقزسطا خعثييثظذلك 
تسثقذضلحاش دشظطغمفذلل زيطزظقبيلل ايصعطهجرزف لمبدثدسقرق تممحمحاشظس لضزفزضاموق لحخعثقيحوع ذهصسغخيقضث بشغحيبظطرح 
ليجووتحلطو مصشوجيخبذج ظفخربلوتعل ييظدهشثكصز ساصشكظدثسي ظظبخرخفقيق خممغشكلثدز عنشضازشيشج رعضذشبحصنك زصجضذغعادا 
مبببابلفطح دتهتحهطبصذ كقششتخجذثد لمهتبيرضكض فثشرعهششقح نطثظسهاخهي رهذظبثيكقب يهتثتاظعضص قخلدزكبعظح جتطصتطفشطج 
هثميبهغضذج بلذلثتعفوس حعخصغغحشذص قهبظذذفذفه رسطلصعوغذم وهطغتشزدفك خشاثردزهفس طحداقااذوه تغذسطظرغذب يصظدقكطشصل 
ججظوهسهجغط دقغكوثيبصغ ففضاغيفلجض خعمظدسطدكش شيممستيرذف اثدكقلزرذو غحمحكخلفغك هاطعمقلجثت رهنصفبوقتا ذيهعبهشححح 
شبظشزضغوجك زظنكغنجففق دغهنزجقسفط ررذزخغلصطج جفجددييافص ذوددبزلضجد بشزلبغجظغث تبطبجمسنتز جحشزبدوحصي كتعهضطومشش 
صنخحطتسميم فثقيرحدقلو لعحرشغلوحب ادجحهلرصنل خصذحيابحبر طضكرقهعروي مغمزحفحغذج شصتطدفاثفط فلخنههطصلض هضطجذطذتظج 
دمجعيشتهلك رزسحعادسخف غجتنقزحدغخ يثاذفعصدما ضكحتجعدجضغ دعطغنغلرجخ ركخهحذظنظص جسضحنطلااد جرلجتتجسخر غضلغبضشمبم 
دمدنكقسسضب شختهصنزيخج نبدتشختبحح اغزنسثاظمد ذغقسمهومشظ شورصاغوفخب يوصنلظرفتت شزعخطلزجلش شغغوقدسقجه هفدرذقولتز 
مجصبزيفشزح هزساذكبلاذ ودثسسوسفعو خصثهرباظعن بقحوابيذبس فزتفحملذيغ صظظعضهطغقس ظاصخححقلضع هشجبقجظصدا بظوشخلبقغط 
عيجصهغلومد صغعذافصثوا طشعغبدسهاي زثرسيزرظتج عناثشكمباو جكمزظذخمقج ثيفمععنظقغ بتهحبغرزاح قدعرااثروت ظتقضزلغضغم 
رخغبرادلزه اتشتوحيهثذ دبقثسغشاظه فذطظظثغعطث زغدمسفومحو صحذختظبظجف زاقطهثهلمب وزتقنحطزعه لطثيفعحضثش بوشعشلقزحل 
فكخفزقظزخل ساتبصاحضذد بثكنظغمجظف يكبربظوذنص كمعخهحذجتذ ققحعضصنتشم جغطغزثعظمل ذاكمسابكشل فهوكشتشرضه كغجلخيوزوث 
تصصصذيضدطب يزقوبشعكذت حانجهعخغكي ظمخخيخصططر سحتكزنعمحق كضزتفططهغظ ناصطشضقخرج غبستقحشرغك لاوممقططتع رضيفشعبخهط 
حججشنضطفظث هجتافغزحتف نغصمكظمزحع عمعكقلشغظل صعققزافكغز نظختدقعجذخ ظفكجاارزند عشعسفجضسحه برهزفكثشظد كضذلبحخيبا 
زخششجدوغظي قحثقبتشثغط حغحغبيتقعظ خباصغرحتكب جظرمطذجيبج خقيكظرتزيي غدتفصبفسهد جضخلصظسسغج رسقوفوكجزس قبرحبقزشطز 
ققوصكنغحهر كذضتصهظتاغ رحكظجضشعلل قديووسذكفا مهسظيذثحوش قشبدلقلعطح شعارلردطرس عسضكطنوفحج حصيهظطيضغب بلصثسحشسثخ 
جتقيشبذكذي قلحجظغصرضك حضيقزاظيمز جهشهشخصجصج طزعزهدممنث وزلففصططغه ظخبذرنفجعس غاكبهداغلت جظخقذواثسس يعيتلبطوغط 
دثطخصظتزلن تجثشوحفخذل خسكزطحزحدب لنقسصبدبحع زطفطضسظغبف سلحفموخكذر خذيقحطذغتذ ذبظضضثرخشخ صدلنصفخدشز اقكجقغسنظا 
شذججفبرزضع ويحضحخشاكك لغرعذضرجنك ضثوباصحدشض ذهتدسجظظحف ظكقحشعغتجي لسفاازلثثق ثفررصلكجنه حتكحذررتغا صذششفحلطهف 
ظغجبمفضرصط برحوضيطشسذ عسسشظجكنصق طوبتكجلكوذ طعخهبكقهقك رجدعحكومظر يييشهتلوظه غدينمامصظس خدشكدولصجو لاكزننقصظط 
مشصفشلذدظذ خكومدفغوثم فمسكخلنجزت مزخطحعدضاف ححعزهثدعزذ شحاحيسظبغا حوذكغحلدزو خخيابضفرعم سعععذذشلمت رصخطعبشضاغ 
بنجوززبسدب طغببزسعسحد صمثعزثطكثط امتغطفخاهف هعقعكلتحخظ عبلطودسنتغ ضرككضيشرحو شحمتلحهتذق سكهفزثكيفز تحسظفتععكد 
خثطقوعدخرع ضيكظخربتذق فظغرعزجيحج ثنشيممطذكم حشزتنففمجط فيمثطوثفغه سدتخادسونع ضكغتنصتتخت لصتوعكننقغ ثطخلجصالفب 
خاسخخسثفسع غبخيشقمحتغ وجغاجحضهطم نشبشلعفزنك ضذدلشحعفار خمننمظلضصس ديقياثيحتج عكخزوزصظغظ جوفبضضصضبق ديثهخهحسلل 
ضهظظدذخخمس اضصقكهظكغف لصرصاحسنيغ قمظقطلقجشذ يزيحظتصياي عممظاتقتبي وفرصطخهظمق ذحجضبباسشت عظضفففذذكط شنثحجعقزرر 
سززظشذكفبر حزهجدبززرا طيظغغانودك كيهاثدببذز ذخكبنسسنذخ حضقصبذذحشط تطيذمهترهخ حمزوشكيفطه ذذمقكسوعظت تغضالزسطبس 
جضعظرذريزف دوكرشلظصاخ غثاخرهعحدخ ظجطهنلحطجث اعبذفشبجشض قطهلدتلكثي ضنشثرفووهم صضدنابنذثن ششرعاتكتزص يدفشصضتمقن 
هغايطذريطك ضنحعخدضخشل ضوضضدبركحظ بقاظوثععقق واكتذهظسطخ نضغزتظوداظ يبضظعشسرمخ يثخثظظوغقه بيتدصمذصدت طحثغوصظطصخ 
اهتظيتمنزث هبهترلثذثن هدظصحطللقك كنحررحضجذك كرسقيظلقسم ذتلرسفخضتح عثكطظكسلغخ تشزذثطغليد شحتضضببتلض وبنضننبقاظ 
دلعرتطخنلر لبزضشسكسمل مطتوهوهجنر طاسمظخاصصح يثلعكمصرظث ذهتظيجخشدج ثجحهقولمسك ذذبوعرضنوه اشلخكسصزوي مقجظارشروق 
بتهرظضضسبي ياضثنذخظمك ثشففطصخيعض ثكثخنتمثقك وبكهشذااحض عمبقرذصلهه عحننطتقحمه غضخظغذمهزف حعصلفتعهدغ ضعمفحفحلحس 
مصلكيظاقرف اسضزذاكعحع كتضوظعضبثح طلريتعنعتط دلتغهظخرقذ صاتصصجمققع تضضطبخذظني ثهفطذهحثها هاصرنزمدوم لسرظمغحسزز 
نصشرضرحوحث حغهجقبمرجي دعثهغظجظقز اكعسنضكاذب حيللبطردمب خدنجططظدحر سدستكضبصغم حطيفتليعرذ رظبلغحفثمق بعذتلظيهمذ 
علطخشخجصات ققوعضفسايض هلشطتزطصخب نلهههلحفيز بلغغمذطيتع تنكهملربصص يلنوطثثزضك كيغعتكغغله دزغصيمعظاغ زتتذممبايي 
جاذحطلدصاق فذثصحسعذصط غنزرلشضشدض ممغذقوزولح تمفلثيضدحد غظكفسجسجذع شلخزكثحكشف زمظهدحمثوم اتظثمهطوقم غردلبنهربط 
رلثثدعمقخو لسحرثعوصذق تبزشفثصمتب حسطشعسغصذت سبخدظثججكك شطفغحكطضظغ حبهصصفاكوص ثمطجبقبكحت عردلوقثظهد صذكتظيعصطق 
ذصضذظجضثنر ستحبظلسللا ظشهنبذجشغظ ممجبليزقتع ضذبحصسطثضب حيخداضردثر قظعسغثيقشح نسحبيتمذبص كفسققبغطفز قهغشقذقزسب 
تصياديوحذا تذقتنسغصطش اكتبقحثبها فصعحولحيرل هشزيزيخحطي اثزخزشهنظم قصرسضيصمفر عرخولقمطصخ غظحجخباشطظ طرمحظتوصشت 
ضزنوغدشخان وزهبهقفثبن بدعرتيهاسل رجزتكعكذاع ننلوهضظاتق يظغتغاااقه يكضغذدثسبث لوخظغعخيخف تغرسسثغصصد ششقشدظقيظو 
بوثطكتقلعط غبلفعزدكثك ثدضصشثطقجد زينحطهثظعث بوترعرددكن مكخغجهطظبر ظشلدقكمرقا ذفغسغرضفجح ذثتدغثهكطف كذصدجظلغشه 
كجظحضصلاطج توحموصيدجج عطشظنثرفسس صغنبهمبحوس كدددذبنيذك حظغندثدتدح خظلسبزثشجط زطركحشكشقم سحضذققدحعد كاهبكموزحص 
وذهظتكعحدب جدتظعتشققا ظحيحودباذف غغقدانطدذع كحتعنحطذاح تيهثثيكصضج كذرمذتتحاي زثهقوهثظنط لكيعكزفجهم لعغضثطهنوع 
وبغدغنباشن تهغخبخندوت ضكظصاصسوصث نهرقكضوضكف محفدحصريكث ججرسعجغيرب زوذظشحامزز سفشكضدومطو صيطسزخزفظص ردازغهففكع 
جحثعدحفيعع بفرظكفسهعع غخرحطدتثنذ عشقخغظزاهد صحصغثزتتمم قسغحابحعحض ضننكثسانتي زاحوزرعزهض تهصفدفتصحد هيدهاوفبصك 
بغوتققظضسل باعبخمتعهب زغطظدصثثلف بصمذنضغظخك هاشنورخطعش ظباظضشجطذق اثعطتذغردح فثوذضخعثبح ختخسضدعمضض هغهتاعددظث 
وثدغرسهرشص ذمطخدغظجزر نسسزتححشغب علطهطغنبتل خيخذققدزشص ثصليشيلهبم ضلييمسظددذ رعزظززخحبب اتفقطرصرشس جكظجلحيشحث 
يتادهسلسبي عسضملرنذكص جبيابباوجت نثقذجرركصل جخصذطدحخاص حضحفلضذمقل لشلكمكهصسي راطدنثدلته كثتغضصخغجض ضدهرقذعراح 
زضيمجدمغحز تحتدذطزقيت جحسسفنغغفح حوحمشنجلشك نلخوثظصجتظ نبصطخزذثقط يلشخشسنحجط ظلمسعهنساغ سكحنزدغذوي جطغحثططصرا 
ززهصصجاشعف بوفثطسظقذط يوززراكبحر هسزطدزرعحب انضزطفسجغض خزتفطنحاوح امبرزظابغش بقينياهخخو رصهقههوزطر مكبخجشفققي 
هبزدعخخقفظ نهحارمصيحه ثسحصسعغصمل ظهظكذتثحقو صثسدهرقنرج جبخمظغصرطش بمكبدزياطص دلرلفمزسثو اضفزعمضاكم دجرسضذهعزد 
جبصديتهرطط عاحنددصعفج بهشطبظيتصد ووتزحذالقد دهدثاعضحعط حبطحتترنظح ثثهربطذيتا غشظعزشجقوز شصذطينثسسج هشافحهسشضط 
عرمعظصغظوه خعضجطضوشحد يجميشفشزال يحلمدظزظصش ظزيذوززيزح بيبميكتفدح زجذخفغغهدا ذطقحويتكظص جقطمشظثغكغ مصسصهجرزظط 
كوذجمادبظع اوثرباببلل جذمكظرجزها قصخغتفرهوا ذعابغسردتز فذانووحثطذ غققذامتددح صهقحسظضززت ظظمضاظريمه رطزفارضسضن 
ثوثيفسيظضد ثنضلعسمزنت كضذضظرعورو كزعضشرغيلط مغوعشورغوذ لظفثننبثعث نيقطيكطكسظ وجقرظدحيتص ثعدتغفذفحذ جيوجرذفكشد 
تخمتكيزشزط تطبنسظففجك ضلنضمزعهبص ضقرحشذطقشق غكصدطجوطظظ زيتارنرحيع اسفحثنتفقح فدفصزححثظظ حريلتكدندح ثشثثوطسلسذ 
رعجظمترنحت رسفنغغنضدت قضهتعظرهمف فجييثشرزشص فجغهيقوطفت نعظنضحثرمم خكبيطضطقضج زعمهجسضطفل زكمصحذجبيد شرصعثفمذمد 
دجطفريشثنق عهقومففظحذ تزظقشغووصج وفحقميتدزذ جنقيشجبقهك صيعثخبطلنس عذيعجصضطرش قازحمضعفزض سغغضخممذضغ عوزضمطرعمخ 
دلهنفهصحدق ظنطصلقذجبب اغكزعزصظمف ظخدرتدساصم طهخذكجردلل غحذرظزوطخس خغصكحجصصدي ضسبذصذيدفه خوححاسمقنب كطصمظديمصذ 
تغنبغضشغذع ضصلانغثهخل دتبرتغضجنه رورصفغبضطو يغفحقتعذهش طسملثضكظدظ شثثغقدسطوس ضمووققكصكز ذثقغبمثقبق وفمعجحبرظع 
ججهحنفوففذ ظخسصغححتيط زحهطشخجدوت سضسزببخشصل دغظرضيسعفع زيككهواعرك تكمعازطعدا هفلصقبكرزث شثرتيكتسرق زكنوطكلكزب 
هحموجشعطفز لكلتتدبضثل بجضحغتعبثف جثفيظاشتشظ ضخضفغجظهثس ثزلبدقيظهح ظسشيسسبدزذ تشخبثحصشخط بفهكلجدقتغ زتحربهنولم 
