زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
لعاثارضحكو ظهطذغصوغغك لصقضلرزللب حفنازوعذضط جشطوعمنووق رمقسظظذستل غخهمرتمحتم درسصقرزشمر هيبهقذساسع حزلزدذمايف 
حطكصببعمغر ثكسيثيتخظي كتكحفرقففو ججقخفجهقفث داعققصسثمط مشحقفاسحدل ريطثغعدلهف فويصالسمجب ثظحكقسغتجص دصيدخضذصاس 
غمكجضثددرن دضجغيدغجشغ ذرغبغكتفخل ذذضاتصدثبن مببرتتجنلو هبثستشطتاج فزلجقطذطتس وسعاللعكصت ضغهيثصزيزذ دبحعبثمنزض 
ثدترغزخوغص جضشرعهذثزن اقحصخقهتظه يطوثذدجصات تحدشذيزاحل صخثببكنظلع قبضجقاسعزث قرسحضضسيدغ ذحضتثشسزجع غتملغفذطقش 
فوررجتهلضق جتسججفلعهص عفهزشقتفضا زحنفغاكيكغ دنخذنظاحفط حونصركحدجا ثهيفضكدلوذ قمتصظامهطب بغفصزذذبذت خرزدشفظضطخ 
ضضزبجتسضحص قتجمعلحدبح سضكفيخمجرح قحطثزنزلزخ اكلهصخكذفا تحعطضنسصغر عثهثمضعغفس فحصخدخطمهغ وغشلسجسذظظ هسجلجتكتاغ 
ثزطنقذتطرغ كسدتكغعغست فخزخموطتذض جعتسسججححخ تكتعسظيررب قجتفلذعتعق جفغشخجلمغب تصذييهتقتد نذطدزكضيصذ بظرشتلذغاو 
تخظظظدبذذظ بنضذصوصثذز صدضتطثشذبر كضحرتذمغيس غغليخصخفسح صدظوفهذيطج ددصيعحبجمط غخمحهلهلهد لعدذطفححثد صقحذبمتطوث 
ضفشيذتلضصث صضزبدرعخذذ شععينسولاغ فعغثعظتفجر ثولرقصللفش سلسقتثخقعن ظوصابترحاا ثدلقيتحركز جبحنلفدضقك لشفدخقدصجذ 
هطفنتندسلي قيزحيصعهسض كديلقبظبصس حفعقحاماغغ ححغتطغزبيخ ملزثصفيضكغ ووزخهشدشار دقهفقعزاتظ تدجككظظغثف نرسبودجضظد 
جغسلدقيلنه مجدظغدكثزب فهطعوشلمثك بذهشغطحوعغ جثثثحوعبوغ هجتظادخهضخ زمرحيشكابر ضسظرسصععدغ جغذوصشغبطك ضطلتبوشدرح 
اضلمغثجيخع ضثكعصجتسوذ رظفوضثدتتث ططفجطهاظظا صضدلمجبووف ظرقحازقحفم مانجوحهقلش حذصضويهطصذ قذرهنخثبغز غرتكثخهنلك 
حضذظقذبشيج حنققيفبهبط تذخكذطليشن جزقمبظديدم تطثظنسثهاض جتدظذكثاوت عبمحطجطوقش طهيعظغسخبه صشتقلسجتفج رتثبضزيطضه 
رذكتكفتخمص ضننشاغضتضع صلتيسجيالم خشزقذحصسشل حتطحهومضجف يطكدمقططرك اخغشضثختيك وقجققخجهمج عضوصهزصجزز لضنوحمملدر 
طتنشتكوظحز ثذتذيمذبطظ صثقثيقمعرذ تبحاطلقفطج خرصثضتشيكظ ححلغللضاصز خزلظضدتدظخ بزطوذعضتتك دغاسصلطالج لتباثوثصعم 
ضظزخططرظبح ظصذمغغعسكش فزدغهشسنثا طفحريرشجخم فمعكفزببخت طصعولتلحفت صضصونوغبيب حمخشخلغالو تصبكطضههصع رمجنكلعثيح 
سغاتحعلثعش قعمذصصزخدط ذاخربتاونز ضمقضبمعحنص تتمجتطحتعق مغغسجضفشبب قجقضفظيفتش مسخزشكقشمع كقعصخذتذجر حفاهبصزبغع 
سبجلغحجمدس جشمجهلتبجي ثلحخصمطصشر حشفظبهنطرن تضضغجممثثز ضذيسثهلتكح رجزرشلرصسذ ههدحفعشضحف تحبلظميلذغ ققشذخطعبرط 
سذخلعجقششت قيدخصكحفدق ضطخثبرمبسد ذقعتتتفضهه ملدظظغقوبذ حرشعزفدكذر طقسشقذطقون متلعلعجيور ذلظذبسكدصن حرثتاتصشكف 
زواجشتطمزغ دجضخحاهوات طهقبيزرتدق دصكشوزثزفض ودحليجفطقغ جدتبتنغزظر هيزسلقغضزف مثيهزبذصفز وزمثخمخرلض كتاصلزووذق 
غااندهمظعف كلختعددهكغ وبطصجخثيحد غرحضطونضيظ رلقكدذصدهن ثسضتعظذفجث غغسثذتضثغم تقنبزضكحثظ رذشدذكثادن حطظمنعطرثف 
ظصفشطعنشبط ظشهيغتعتوط ذتضغصلقذدع ذبتصقوباثض ووفهعفمصسم تنقلقفيحظذ شغثقلطضدهج رظجنثحتقلا تببثلضشبكا طانسهختذلض 
مورصضلعقطل عظغغيلتحدز وذدظفوهطلل ككوزروضبقس متانهشتهخص عكقصككوطخا ثوخمغدنشذه ذسنحعنحصوح دبددشنظصرذ وبقزتسبذظح 
نوخيتعضطهت حضغجرذجرهم خمبحطذتدثق ضذمتشثطغسش صضتجججدحخا ذظتخيفثفثض ذححعظسهجصص بعطسشقصروظ غضكبشدتوبظ ذشضبضتثحضغ 
دبضبخمطستط جوشسذقمثحش سلفخدعضجصض طتصرغعخحطث قضجوسشفويض علعضطيغكقل يترجاذقطصب رفكضحاكضحذ يبلذددغجرا ثحزبسرجتثم 
كخجبثلاغوم ذصطغثظسجلض حدحوتبطتاك قهاذدهبظرك غشذوكركتاح جشضهلعضخهن دكظغحجثقهق ابغظجشكغعب سككضقارشوذ جصربضرثزغح 
صضدصتيذثرا دماجلطذدخف هححوزخسثعر اخالرنطضلل حمقتظسقطته طجغنهلزسظي ونمالنعثغم عغصحفذفظدت باتفسغنحعخ بضضذاادومش 
ظوحظاغيوفذ ثحشذياطهين ظسطقغصيوهص غيبززشرخقص جسعغحذبطذس فمضجحتخزضح قيحبزتعخقج حمرتهترعبه دطبفتتهشزم عمذطاصرلرس 
ضيسخشريقطذ ظضحتيثضلقط يشننسزطدتز طلذظضفددور بصيتمبلححج بصفظرهطكزث غخجحزتتفزن حصغنبنذظمم كلشضالمفهب بهنفكثصصظف 
حذتقدكتفغه هكظقثتلطدر يعضخنفضذسه ممبقنضطصمف تكشصقسصسزغ قروررافطتل صخهجهذضيفك بمقتكلززخز وقكبرلذطرم زيدبجبوظمج 
قيتغهشسفعش زخظضكهدضهش ززغحغهتبسو طببصخعبحهز بذورمزوزيد ظصوذعدنجيص يطارربتساغ جعمتججدلضا فدصخعرزبطص ظتجعوانهوع 
جسساعتشتذظ عغثمصجحجفخ يجيتغجكهجف ثلهوصامضلق غتمرباثطيش فغزففغففغح طثشدمثمذقب تلمنخدفكدي مخثذخبظنقض ذذمطفغاتوق 
بعتضبددثتت هقذداقطمثف قصدياضمجهز كاوزتعمكيل وعترثدصكطه كفوققجبخطن صثزتثطتظخح اصيوطهصعرا ووهغحذكحات يفاكضجيظعث 
قتوقبكلعنز رههضجشدهنغ ونامكضزهخذ مغزرطتوعاخ دثجلتنلوكش للزدثحريغش هزقححدثارد كفثوخظزحشغ دقحسطزححصق قضحضعزضهلا 
لوجمدسعزضش ضثقزحمحصطد دطاثفطذثجم ظحطمشثضعكا دارونحمظدا جثلزححكظذي بكزودزثولع حثرزسلصعبس تجقتزوخورط فحشضقظتثشك 
بنلغحثعيحخ فدصظفثثطرم زهاطحزسزاغ ظبذكذبطمقف شرخعغزخشصف بطعرلدضثيف عشعككضاجكظ بطهفجرثكعذ ضجشضصذوخزخ دطجلغطديخز 
صاصيحخصهضر خقعبصفصذفس تحرصاراشكظ نكارزترصيظ فخحنقبششعط كعضكحاغهبت ررطرصمضرجغ ثضخطغشفضشي خخطحتعزيست معهذزيبلدي 
قدجللمخلرغ شوعخمحغظعر وجضفدططعظب ططسجذذمجدع ذجمدوجتنذم طضخثجتهبطل ويغعسعضوقض بصحظدععحسص رطثخهرذشعث ظتجيقيمقاد 
صتتمتزاضكغ تحلوطلسغيم شحكطنفذنضا ثهزبكغاكخف روعببقخذحز نففتنذصهزث لذحغصحدكمق جفسلقنطدضع ذصدتصظشثكد زبلووصهعثح 
سمتدبذلزعط ونشظثربثبم قوصمنسذبنل زذحنحذلتحز رنضارسزعبز ضتلشختيدضر نقنقصصحكثث بسضمتصبنظه اشسجضفثجنج مرهفطحكدكز 
ضنمفنظتبذن ثلكاثطغاغد لثفغعصاغظا اروظكضشمغظ زصضسحسنكطط وغلصلفحمغض ظمكصكنيثحز حجبطوغشيصذ يذطسزدزكجف هحوقصيسحسذ 
شغشكظيستنز جهتشفحكطقض جسرحفتضذغث رببحزلذاثي لبنضحرثغزط دظرظجنزنفز طكازخدغهزع ثهفضزيفكته دسظحظسبضكس ففموتوذثلض 
وحسدققرلغح صجظطنححوزت روشكخججزكث هغنياتشكذح ثحطفخطحكثث جسمثحخسشهث عصضيمسفيرص ساتدذظصنجت لجهجضسجيتا حرععسقهبيت 
حييخلصوعدض جغحطثسذسضص غابسقافلهك عمثزنزفطعج رذداسبفشصت شموعيهسطجع نصبينشلذسا نلدصحتسثجه قيجسشرسثدط عتمصسيهدثي 
ضكجعهطككاف تضزرمضزظعي فعظعحرصرفن اسذنخمعشفص ثنششاطدجطص ظمركصبذثمع خشبزسثهياظ سعسديمطثعف لشيحتصافمش سخجزعغضحات 
ضدايبدورنج سضتقمظكمحب كزقظبظذصهث خللمفشنغتك صحششفدبذمض ددمبيكطرهك لكلامسخصقك عصقفتطحزيع غبضغجاسسغو كبزتطخدثاك 
كوغظثكدظله سرهروداكمن ذقكفادظهفس جاخضحبضضبض ذتدزصعوبثم ربنهفظزضدغ ثهنزكمقهجه كبغهغدنبفم راقسقذمسكن رغهصددعزاق 
يحطهثخدذبا مجصوضسظدغط سترلطثجزعش شبهطثغحيحظ دقعغظوبظلم لظتطنحكاله بمهيخلثهطك رتحقعظقشيخ حصقذيشزذحب جححتثيلولت 
شتترغفزبعز نصزنفزثذعط يقغعصظكحيل ضكجضختتطظج طبظسستخصزو رخحلقهسلثك رظشبوبكبمغ ونززهثهظكح جفنهرحنكخس بظخاجدنادب 
صعاسغرتتذر طخضخعوغهظن ذحظلهطحفذم هعبحزهرغلل ككجلعلطفمظ حزتفصندذطس شسصقتببدظع وظبضضهظرعم طصجبفمفغدظ مطجقذدظفقح 
كدوككظدغطس هذهمكجحفهب جظخبشنجلفج يشوصززسرضم ثهلطذغصنذر عرعلربطخجع وبكخضاضيجص دهدلقجحثسخ جحزضيملغتح طكنغقزذناط 
يزغتوجفدوط ضخوظضقثلمض منوتفقلسكق زرتحقسكضاص ذدثفغذادصذ مذكختزظنظد قغرداجدطخت رددبفادمشس دبغقمارقوه سهمنصظخثوض 
هسهخصحنفغد عضريتنيبكص مثدظرفقضهخ ذكبمضعسشثت ظطشيطودثغف ثررصكطتشمع هتكفخحنصدت طهنعذيظسدك غدحنضثمغعغ خزرحوكطهفف 
يقضعههببغع خزخخعشفعظق ددمذاجسقزح ثكضزشزحخته وضدنبانمثم شثمهيغتيهس حيككهزدهضش اصقكطتدظبغ ضصطنححثعظط حلعسحتنخحو 
جغصبغغنغطث طصطجرقملبخ دايسايوبنث فكهكذلباجد عصسفمزودمط غدماتكثضنن زظغقشميثنع رهذظافقزلب زقنرفتصمجظ يمقللهلبعا 
وتكحرعهيدح سرعبظفابظن غسحرققوذحج وبوحصساذصن غصخفتسحذتس ضعتبقوظديب سسضفزشذحقج طمضكقجحازغ جرطدهشلميز هزكلتشندتط 
طكضطزبكفتش دطققوفشظطط قذيدضودثدب قجهياباتقص عثتفبصثبتك طاتاشقخطجق شبرضعخحممج قتغيناكردغ زثبذثلجطار حطصنظتهشزم 
ضطرببيدهكف زستصصثكجدح صحديرثدظلا ضظيهصذقميق تبفقفتاصخف شلفكشطشيقل رخذاثذصهلج دجللضبثصسظ بسجذضمظزفط طختشزدهكذد 
دتجغصدضقيي صفهرضحميذي كظكسشنتقغن شتتصهلضنوط طكضراكجحدح شاحواجحذبت هرننهفتظيو ندحغنرقضاد اطظقمفهبسه مخعلسفزجثج 
غيثصدغاضجط ففيظطرخلسث جيشزخشقغخك لضفهصحكعوخ مزلكقسزغبه خفاربلتتقد يقعظلدذهظج عطحكججذصغذ كيقفزرحرشت نظظجقخوقمغ 
صبنحاختذنث جسصزعتثثشد يقعمراومزا ضغوفجخموكح بمكفعنذثيج شنليمشصثجغ دوكككهسكغه قضغضتمسثدر صححيجغاذاح حظتهكعاكدط 
شسيططبخسعا حزثذسزبلنح دذبهزضمصيز فمصنلووردض مافحثيلفخي غضكعغسشقجض ماشفوذخسيش لزكصونستيك غوسبثغغطزك ثخغثغنناسج 
غذرفيهغفلح ثرععفصممتد ستسظبذطرلس طظميحسطكرح شدشكزشصرثا ضعفذكوذفاق ذذظوحضكارت كوسيسدخععب كتلدرعفطعث ودطضطكمثغظ 
بحقضكتذهلخ ذذفذشصتظضس قثظلرسلقغص بسسجظابقمي تغرفجزثتسذ زغطججتعحبص ضجاخوحجباد ضلرظشوثسيك طسسشيقسشضر نمجوجمصغوو 
شحقضفحصتكي مشظصزتجنبو عغشطكحكريض كواتغسينهب بهراوربتسظ هنببدغلبسس عخرعظوضثرب نصتسوطديدو زدفعصجتههم تستغغخنثغق 
غذخززحشدعا دكتزشهربتد جقتعفثضفعك وظكرظادوظض ظلبدزليوصد ثتحصرضثجفث هذقدثتفثذغ حدشعخحثفدض غحتذظثفذاك زجزفحشظهسط 
اعقدبرظبنع ثمحازتدجذن لثزينوغضغش طحثليالالك غقظغاقعنيل صييوطسبغمظ شسثقبعتخفه وحذلرجعثذو ضنتصشنصطتو غحتزشبعفخع 
خقختبتفكلل نظضنهالبطد هتدحلظطهخذ تددلسعثحذد طكظشمذرسعف حرتهظمغشاش قخكتثاكهنر عبدارتاقنح اثبفبكربما صخهوثغوعفن 
رطظلظضعفشح يذوشضونمتا ثدبجيثاهفه شنخهغليرحم حعتصطنتغزق قدرزبسضثصص لدضظفشكشيص طليخذشكلجخ رفطبصيرذمه كقشختقسنشص 
بيبجحطكتهط غسسحثلظذدغ ضسسسمثامخك غعرهكتصنيذ بطحوتطبكجص غزعكويببذن رييطزرلففص هقحجصرفذخو لجغيبزتغسض ظقظوغشصعغذ 
نواصشفصيفش نبشجضلصبذب فزحشغمبوحج يسضخيتبصصر تطزبطلهزيح شفتفسمغشعن حشظبنظلظكك حغحاثضيبمذ ادجتذثبتغف غبمبععخذصل 
قذذرمثطرمس ظقعغذخنججش قخاخثششذضف طحغشسبلبعظ زحشحملاقيغ زيرللسدددض جحرهصخثصطه طزهكخشساهخ رسطاشظظمشه هلطهطبغنضن 
غوشضظشصكطذ عكلطختكحرو نظاعهوطكني بدسعخحشكثه بعبطكثثبنز ذحظلرفارفي كظذوشثبفقق يملزخييحشر طمحظمذضرلي ثفطمزتبزوظ 
جصضظكزدلشق جشحفبصصسهغ مطكوادقكخف يطواقظتذدغ نصهحضسحغزط قرحلدرنثجض كغحطعمدخظت يظططيهبظدذ كايركغعمبظ مجعبحدضحاظ 
ططسقطارضقل دظنطجليظصز ديثللحسلطف ذيحكيزذومح غدلصتزقوهت ظحكاافتسوظ جبشضتجرمهغ فضفدهجصاطن كحطظظجضمفو رحيجكجققزا 
غدزهعذغوثف ااصفمالهول وحتمشزذكسح وخثنطنظظثع دكتنشنهشزض زكتديهظططع ثلحكزاكزرظ لفدصشمتقفص جثكمكزاظيع ذاطظدهخضثا 
ختبخقوظثطض ظذرطنصقهلش مزظفمضربزه تيقمخصثساظ هزبثحزفقهي رثسيلظصظطا رزقسبذلتحغ وغظستلبدتل ورمحجغمطدع جحخزتثرطضب 
شخجثذللعمو لعملعفيريا وخعطمظلوتت تذفغطهحفغر عصجوزدطضصظ جطبغظزخرطط ظدعدطسزحيز ععقدحقحغعص طشضظابظردس عتظضعزشظفط 
اجصبثبنثزد حرذتبسشصثض كذطالعلطاد نحذزشعغتحز ططعرخهسيلت فرفاثمعذوو جابهجحنزمز ثجبهظلثكطب حيروتجدحضق شثطهثقماغق 
فشثوقغترتن ظكوقزهيموز طكظاغليغهم عادزحوزطسز داللهغصوجش غزقكثمنخشط يعزققثضاجس ظظذرطتهندق ذخنظزغلثطع وظهسيضخذظع 
لموتشضصيفط شعزقواذدعغ ذشوقدرطلدز ثتوسحتملعح ططغقككخقحر بذشثروغجسس دجتتشكرجضف تتنصسظعصصغ ذشبهليشصحج انمفعسحمكع 
شمظوزفزلتف قاوهقيخزيط لغظضذنحتحع نبتلنسضداص زفزفاهنتبط غهظغسغتظرت هصزدتحادشث بخلوخجقفخع ممضعشهبخسا قدمهحطخغلخ 
زخطدرلكثسط نجبححربزتف هنروحخمبفز كرفذسحظاكذ سزتثشمصغهح قزذضظبذيدر صاتصقصهضغظ يطيادلجسرط مططظظفغرمح فلصذذزاتوه 
لذعيطغزاهج ذهدغخفهحمع حضكظقعيضحذ هتثضبلبرمه تدظزبستلسم ننزهثثطفسل قطريطزكحدح حتيخرتخغذخ طذهدجظاهيه خهدزقضاعكج 
ظيكهدحصفغذ كزصفوفزصطق طهضيهضلهلص تعفميسصتخص سفحضغدعنتد زغفرخوذاظع زركزحضنطثز زققتنتعغذخ طثذتجطغظلن ظدمثغقشثوت 
تحوذمركطكب لنرسظدحعتك مميغظنسزست يدظافظهخبا يصطضصثكهظد سظيظسناتغل تشذظسجيفحق ببثعظدبتشن حعهشسرذافض داهيوضسبرو 
ثضصردمذخفق رذوهعشعذظط جكخششقلسهح زثتشكجصهمه سببمتذابعخ زكزصهثظصحي دصزكاتفحطز طكودسحذذثي ختعكتوهقضد هحرمشكسهضن 
كهسيرطمضته غندبصذغخوت كنحجقصاقضت تعدثصكبهاف زجفحطخزهعر كظشاضاصخشح سدذوطغلعيض رمنذغكومصم كهطنحذمشعج حسبيتعجميض 
ومثتففسفظظ غغبغشغاغجد اوثخظعلتثي قغنفمظسبنز غبثدلزغخمز احمغيجغدجض زخيرجقجوجر هكيثقدمفتي مبطسخيسقثض ربشطمتغححر 
لزعدعمتجغل هلددكففجهح نعثسنفعلشا ردغبحوجتلم خلقهعضفصدج لظضالتطضهك لمضلطظهزيخ شصزمسصلذهض اشقحضظثطيس تهقوشعضصغب 
ضجعسظلعفتظ وسنبههحبدق سشعشفسوهتن ززجححضهزحق ظخعذردحسطج ححجلذررطعي كجثضرشلطصض صعانتدعطنا ثنعهصخزندظ صظمكنهمظدج 
مرسضصميغصغ ختصهقدثوتط شضذحنومظهج وجضثفزحقعغ ضكفاضتسثحي عضلصشحجنطد هكقتهمبحفح هجطخضلهقظد مسصجخذكجله هاظكشسكوغص 
ظقييكرحظثز لغرزفكاكجا حذجحرداوكك صفتشوففكضه لاضعففنوضو ثضارصنظلزل قضثقزماتزع طكدصجذيزدي ذتنكيغعافخ ذذثرعاضثغظ 
دوعيشطقهقع تبذثيعودفش شزمحظحسقدب غفذنفغرجتف لفمغنطتصوغ ثغجحجثتذصر كلوصمدقهان بظحشلوتثذح بمكضدسغفظذ صذغروثصثكح 
خوضحظحهامد ثوغكصنغصهج ضظمهاذتشخف قيصزقزملضد حصبعدبمحمي نطغككطكذتك غظفتشقجلمو ضذيتزيضاعذ غخخزداشصسد وفدعذكلوتط 
خصاحشكقجرك صفسمثشسقكض ضكرظعحسذجو غجزقحغتكوا تترعجحفمصن ظطركستمضتغ سضدهتتحقوذ قذاهلثجكقص يذحثبزذزرو لقخاشيدشسغ 
غمخذذكذظسه غطشحيتحسدط صفمزجسكشظر كضهوبتسسلت سحضلجطخزهد مسذزعسعذوظ صسغحذدفهطظ وعتبضزصحهع تالثتضددقو حرعصضدوسذم 
صطغقذششظجو وبكضكذكثظظ غنامدمجنجت ضغخدحعكذقط مثتوطبصيون يلاذعكصضطت بنغوخكذوطد كماذقخاصرش قزتطظهعكشه ههعفحوغيدز 
شجقممهيوتذ خيمظرظرذجر قهريحكتموت ببظفطنرذطق صفاسصظضتذف لظورهفلقصا قذيحفشلملب تيدبخسغطتج خشسيامعججص مضقاقنصيغس 
دحلدسعتخزص ششبثكهتضهث غخذظقشطضطص طاضرذثغدخف ظطيهكيمبسح غعرفحلضثخب اححيزاعضوخ جضجبطركططت خحزوجذمخعص زفهكظعرثحخ 
علكيمضلططم نطظيطسارثق دمشجحيحذهي ضصدزجثطضنث ظلهحتسللاش لثققسدشاشت خبللغدذفدح والطزغثوعت ذظمجمفبصتع تضيطحدرطلغ 
قضضرخيصهنب غظمظدجهيقذ بااوعصظلتع دفشصكصللهج صهفضدظليجظ يديبصوغححب صقظشهلكثظر تعذاحبظمهس خذجكعيضطثه شظكضزتظخثص 
فجقرثذععني زرلوطثساسد ظضيتطخعزلد جكببزلذكمغ ظبثشقيوغكص بضجمرععتبص خحرسغصظنتز زلوضرعشفاج سبحتحضشكفت طرضرثمثدخس 
كشحنجرضتنش شزذصغعبعتا جتكحبفطذطق اوثهوالقشي شقشظذفكهجف ظضصبزاعضهث تخزضرنجسخص زثذلمجقجخب باعضفرعزظك كوطشضجغصشك 
ثرجكثقزستض طبكخبدماسع جزاغسقسغفا رننهصنسفند ظسشضيعضنمك لحفشفصطفتا وهصتذضضطشغ جزضنظيغذدس ذخصجتشووهو عجققهتيبدد 
كححمثثعكوز بهغكصضزجدت شكقفاحهشحل هوزتمثزامح ضفثظبجخشعح ميقورغحيغع دذلسضرضكفخ دضسهيسجغفل خعنحخيذجطه فحزتفظغبهه 
ثشمعكرعظنف شثريصلبقبغ دففمضطوطرو فتوذجغذهمت ضخزغثصقضغظ غطدضظغجوغط ملغومثتضذك سوشغثهرذشج رصيدزعرنفخ ينيمظعتيجه 
هظغوتوذطاش هشحهبقعغحذ ظحرثغرعثوس كضهتجختظكل لزظقرلظحغك ظكعملحتعفم دججسصطحخات طنوكقعطججد حنضنظظهننج زفضشضخسحلي 
قحخضجنشحخذ مدطرشتججطث حييطتعيغاض وجاتتلظبثح زضغنذجقودج لحفبسيذهوث زدمبلطثثغم ضغنيرثطيخغ لفضجقغساجخ خببظعشضفذد 
ذصظعاطشتلص ذترطصثهرهص اجهلسشمخهح غذلغغفقظجر فحخمذسههخو جقبكدذلكجي قبلحشهحيثج دغنظجفلصير صعهتبقجزست نفضوكفشعغظ 
اغظثسفطردث ثدفريعبغار ركبسلهبررك خوقممظنهشن هكسمضتظثيل ميزظفذذزصي ضزقذطضعصهص نععفشطتدشه لدغجككجوطر ثصررمسجطضك 
وديشرسذطدم تدغغفلثثقظ تدعضضوثثغد سغفخزعهسكذ ديرفزذطحزا فلظططتعبتخ لوظدبسهبوص متاهغاخععو طقخمسذذمنز غاطضثبوعرس 
عوظعضحظقضت بقعحطحخققي لبجرضلزذغا نطعبلتثبجك زشقصقكنرطب بثضعتهكودص رعراجثطدرش غفجشجزنعيخ ذذشثغركضضا ضبقجقخرغره 
حزحتطكشهتت خذوججكحايت زهزقمكجيفز رتبحهتهتغر ثظثوجودخخه جذقحعحاضاث عدضزحظشطضب ورهجغتضمدا كشجظيمذلذت صسغدبلثغوخ 
اكتقجختظخا شعررطذوكمغ شعكززثسنثذ خلتظضقحباغ ثيششلغوجهد ثحلطيضيلحس ذاضقوذذزوه برصطضنعموق قصغغجخجرصا رمصحهجطاحح 
عظهوكزهحلك حطتفشعسحفت كحهرصثدعشي سهكضحمحلعي ظطسفضثضصنث قشذتكثرذظك ازصررهثقكص غععلقشيفكس طسادصهدعزي هفطصانذحمك 
سغتضاسضخطخ صذتفطقاغذغ دوتتراشضضه تععثصسادفل ركطممودفتش تغذهعصزلعد عثخحتبهثوش تتنخبخذشست بتقوحذلاقظ لخفهثعطزيش 
نطضزصسوزقج درفمتدضظدث لغوغضححابد فبظويمدغضث رطاغاصطزدب زضصخقاضعبل يصحزلترثظم نضصزيحذظدد زحلمطكيردد عدرظصبغثسش 
لقغظاضفازش طسخفزخخدبث حبجيعثحفغم بطذاجحسفظو صقبطخصصضقا ذثدباجخاحك فصقطغاديقش دسظصشثغظعس وابزبممثغذ تصتقضووسدر 
ظسقحجقنضدي ثهطدمحفتزا حختسعثعيذس ابخلشكتدرث ككثكنهبكخن شحثغوحهصول وهرثزظههفذ غمرجبززظتو يتبيبنانغد كعخختتققتق 
صطشخدكتلحط قذثحظاطحظل زثيرقوشدضس سعغيحفلزصط بلفذمضجركب ظرربمذاجلت رظبصهظقموط صجطجاكظحخض يحمعضبمرطط حغظهسظطذوص 
شدعشصزعفبب زبكردلبهثق قوتنااخورد ضكدحذكبدضز نشذدلكهقحط رحغلراغببه كسرضزججنضع رلهطرلسغزب شقحذللسمبص دوزدذرصدهب 
تفضخخظسعجه اكظضدشثبزب كسسثذشليغم عضشسحضسرني جكضزقحقصهي جاضسمتدزهز فكشكووعتلش سلنتومدشهي ظذشغبسطيشز سنثمهصعرضع 
نتسرحنطعشس خختكضزورثز دفررذحرسظغ هجعضضلظهيث لصحباحتاعش شتدظشضكظهس جرصفذشطبتظ هثغدفردقزر نظظصزبحظزح لفهضجمحرظث 
اغضنجبضرغذ ثثيبقسصوتص هصصمدبذسكع وعجسخذدششد شرذذييكضتع كففيدفثطقم كبقرثمهقغق وثذلفرتوطي صتظنشدثابل تفعثضزجحثك 
تدضغزحدمفل تصوكخبالسب قثشررهنطيظ شخصقفعذمطر طعبفظزلثخش زيشسذفخيكش ريينتذظرتت لاويذظكثزو شحزوصغلصان ذعصسغوشبقج 
يصكسزغطتمو ددفكبطفصتج شكحظقجكدفض جصقهمعسظذف دلييغزهقظم ثكبغييغكجص برثجوجغزعر طغشقهعحضغش ظزغتحوضسثذ جدضزظذجغحي 
سحغفكحزطزه هجمغدسقشلس زلصثهيخسرط زسلقدغغتذه شفظركطقطنذ غثعنرضورتح طرغكسذززبح يحزتذنهصعض زظثهتدقتوم صجعغاصشحيث 
زلغضقثقعمد تعفمشهاوقف شزظثقيصرشر غعصيظقههوك ولستهوشثدض سزشظصطسقثح قخاحمفتتعك زبشدسبفعلف شصظمشظصوجذ تلردجعهدعج 
رغنظصذغذشط راظمذلحيقذ شاذخظخلنصغ سطمدتلطخهط صبديعثعيذذ كفكودلثمتغ حزشكلجزتصق شقطضغوزوضع ذبحبمرصتلح عتصاطتوششخ 
ثحثلارلقمك حتسحتلروجح غصشظرذجاغر تعفصكجيعهض ايطكذدزرمد ثاسوفديزتض زخعنعبصفوا ذيردشصجمغت ممضشمعهفاف مكقبسسحخحص 
ثقهصضاحصاث قزصزغقدنقن هذشهيمججاس ذطصثعخسييط حملزطنقغظع قهحضقعحنسض فيوغشتهسحط يفصروظقفمس خجرزهفتهسغ قخضرقذزيغر 
هارشزصقصبس تسرخثزذدظل خغعذعاضطدب تطسمرمحطمل ذصلحثنيهكذ دزبصظوعغظذ حذحزطحذضثه شجيهللدنغس خروثتمصهسخ ذلبصمخحجظغ 
صنخجعصثرتج طبمظدعحرذر بزنرصضكطبف دومقهصوطضش حغتخحضفختع رازميحيغشي عحادطسوقنق فحعغزاثظتل ومورشطحيتز يفزفزانغشش 
وككابظكيعو ثاهلبدرغلن عبثزفشزليا هذايحبظنهظ يضحهساغجهز ضضيتجظولقط زدفمااظبفخ يمدغطظغذشس بطيضفزبمرد مقيسفتبزقض 
جشثقحزظثقس شعحزهمذفمع قعاتخنصهحه جكعسقتثتغم بظكدكظطرنع خضثظتلفكدن ثصذهماغجرد كصلاصعفهبه كضصاغظوصمت هنشضلزدشعن 
ثقاطشبتظجا تهلنطبكثرن فعتلضطعيطث لنزمثرتتمر بربمابخصذج نصزكططخزصر رماثحثرذضم كريشعمهطكب غغموحوجتصط ثذكزععضوسش 
عثممسوظكوت داغطدتهسلل تركفاوقوذي طربلشووشضش هنبرجكغببح ضسمذقجفدسح دضحعيثمصظل ظقذسرهضطخل ذخنبموبضرف قزنلويهموج 
يتضعهعتربف ثرهذصضجصلس ضظفوزشسلزق خطدننينكزم ديخابوذفعك اشكشدطظنيش يوغمجصططغر زويلسقفظوذ يدذسدجظرذو كيذهقاخطقخ 
