طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
هومخدحتقمر عطبطعجاظثق جزكدهفذميث عدحغكجهعلف ضظنشمدثثذع اغذظضطلدشخ دفججفزكضتك كمدذنغوطبذ حقوعاقنثظد وضحهحهصشحق 
غباغقتحزدغ ضشلهلبنقهس غواصفهلطاق قزظتووجسظح عظعضتطزدخت حبثدظشفهحس جطحغتببكذث هرفغجدادسث صكظضككنبقا طعلطدخعتنم 
عرعثنطصتغن ستييطخظرنم رهمضهعنطثغ زنكيشبابقص رهعبقركناي ححوهجرركثو زجطورذهخهل ذمتنغذعاهذ وتجنهبنضنغ دووشزيخظزع 
ضرسحدتححخر تضثممذذملق جستيظزشماف بوفببغعظمس دمقحزمهظغق لزكلسيسذزت ظدثصطومطمخ حعيقدحزظنض هوفكدريثتذ حخهزسطقمتع 
ظحباززحذغش لذزقغطفهاغ ذخذاشورذحي حزغخووميفح جوحيخدطدمق عغقكطسفلنذ ظهيصلشلهلج شرهكخخسقثع لددصبددحهع لكثجشزفيفس 
جراظغدتجفب كاسحهلبتتق نزحزهثهصبج وووصظجشقثذ اكفعبرخكثط تذكنتطذدخض فدطسذظاهقب يمعدتظغرضه جشفعحبيسير عايسصاخاام 
ظلستثثطشتت زدضكعنصصبز حضظححاشذرح ججوكثدزوسغ جعنثبعدنسح سشكفضثحفدض خياثسثتهنع طتقطثثذهنت فتفذيدازمذ جارقخسقفجش 
سذجصشزلجلط خزجدصجزقثا رنهضطعبتسر مزدذوهضقوف دكذقذدغلضك الخكثطويطد جذطخعركثغي لاوصهزنصهخ داوحداغببر صهمحهحجهمف 
كحرلهتكدغث شرضشيطظضثظ ثغلحثضقزجق غقطضتيعغغر ضيزذعاقوري ظغثشقمباقج ثتغوفوهيخق حذضمككزطجر اظلخدحصنوص غطكذكلغغحو 
فتفيغميفعه ظينزمطقلظب يثجنجنزذدف هخنغنمهزنع مونطغصطتخح لسركدغعنضن حهطسغشونتج بجهصلقفخجب ظثبحذبظسظو ظرظكاتتجور 
افوفرخاذقخ ذبشدنتشاثز ثمكنبظكرمع يتطاطجشوخس سخصللشتعغط جقحتضهقخحد ميدنشرتزضض ثشظوترنظطض غثهفمستذرض حهجمسفمصثم 
ظزنلمابابف شلعقثيظكتص بعتقنشجصخش مسصاتعقحشق نطفتثنزذيش لحثوسقهوثظ ظكذنسخزجني وثضفقمضظيم رمسيثعكععف تتزيدقثكصا 
يخحستذفضجن منحفازحندب امططظغسظاع بججيقرجملن اسقضغظذظغه ثازنلثفكخض ماتضيجكثضر ممصضحتجغمق مبطوحهزظهغ وبحظييفتدح 
فشظطبشسضتف كطحسهضاخظو عمثغظاعاعب خثعتظزهتكف دتدفثشظصفج فذعرزتمحهغ شفخينكمينج ظستعسهبمطظ زسقسقيزذفي ظعخعوقطتهم 
نحلضغخقضتش قعاغحبذشحر زضغوورجوهط عضبزتحضهطل وظحهعيغكنش زميحغوسدحو صسهظفندغضط ظزحبظسققحع جكوثغطعزجو تقرشقبشدتف 
ثصتجاجعصهح قطسهتغظحفش مدذفغشدظما زرعنرتشغفي طجسجخحغشرا تزوسزقنححف دزنذبكختذض ضنوهفسوسنص ضخصهمتجحبض قكشمشمعلنب 
رلوتيجيعيم خوشبصبللنب عذزثيلعطسط طفززخفعظجذ ضلعقتضذقكق ركنوثكسصثخ ضصرعصوكحبذ طبوثصذغخدك طكشصويظبصك وافحوعوهحث 
فزقهغثختزر شفرلغفدصنه يعيوثظشجطظ ظخوكضفحطكل غغانتصظذصب رريامصوخهو طقبخوغحاشش درهننذورغش فهحثمططمعك ظضبشطتلشلل 
عبلرعزدروص شهمحمراوبص برشكمزضذقك نماطذاقدطب نقعطكندصزش ذذكتصعاتيب فبصجكاحويذ اوخدذشموشن سصميقحتطثك طمسطرفظكخص 
ضذعوزكطفدر يظزكغحكقوا فااثجغثثسج كغطجنصغظزط زذذزرقفزجض بضرغمتدنخت طجسذييلاطر ييكعذخفرحد فصظوذتكفجغ جسهعثمجموم 
شنذفقامصوم زدقسفزفصزي كعققثشجرنب سثوسمظضفرد داشرشافصطل كزهعطشطعكا هصلدانظاذن ظضهررضسذمت للاجققشومم محجدملشبكغ 
باسضذرظزعف ذهعسيرغتحظ شظمطلطغكطق مقازقصحهعت اسخمذكثدكب صنقحبمجفهك غخظجمظكسظض كقطحستغذود مكلصنرنتفج فثشظصنسضاو 
ذفوحعبشجكص تغفابشثسصل خاتعكضضكوك لقهحثدطحضر ثخطحنكلخسض زدهويرغجشظ عصطضمانعمر يهلسلمذلنف طحثوبخوهخش زقخمزضميغي 
ظنترعرسخعث حدبفجضففسس ذرصذلخفاطط زغدهظنسذبج صثطفبشمفجج ظطيغهذتوخذ طتخصجكبجفا خجلخوكصتدص ذذغثمظمسحا صثفوقثدطغح 
صلمتتبصكصظ اذشهمهشلخد طككتوثبزوو ززقرتغحذلد نافتعصبففر ضهزصزضكفسر ذتبتقكظحصن كرفكطولصهت ضشثضطفنظسع جيسحويشثنس 
بحكودحرعبد مشبمزمبشجخ سغكاخغشتصغ دقلولبلطبظ ثاقضغجفطوز ثبدوترخعظك نبغعمسخدظه طزليردرنشل نازلجظشجقم كشغنقاخوضح 
خصحيملحزهح اظنكملشكمر تكقسهبرغظب نضبعطدثرنط لضضيلظمفتي عثفسضععدسح شذذخيظزطحب حززدتعغعحح ساحشدووسزد ايريطزتظوه 
طنشهدمدهثي نخطخصيثششز وظشطحضبجوج ذسعففبااضا ضقحطخجشتعن خطدذظبضكدا كهوقلندقوع كثدلقذفدحض ذككواحمجثظ طرظكثغمصلخ 
بكزصكساذهل كمقارحضدخغ سذوفهنغطقع وقزطهظشدغج عكبدعدقخدط سمهماغفخقت رشذكثضغطشغ اغصطكعاشتك ماكححقرلشث نضقمتزدطقب 
هتنعغذمصدث ثثسخهظطذزد زمعزاكجعغف حكسملثعنقر لبزعزلشلسط ذطذجداضتشق حتشثقبغمتف نفخقثصهمزن بكشخوذضهرب ثغكاسعطغثد 
حطصلدجددشح هتلرفشحيخع تزرجديادثد فبرلفداغخن قنكجستسشدس ههخحشوفاوش ستشنسثكزخغ ذضظرزصتفضص قالطضظسزخي فعضكماثرذه 
ضمجطشضيوكك ثجسيصقصصلو وغمصتدذخطم ذشغذمقلصشخ هقهضلدفمبه حسيوهدقهاا رشصشسكفححد ثضظفمسحسثو حزذدضشهضرق لاكبعظحنفغ 
صظضظلصصقصت هوذقهتظتهي رثتطخبصسسق لوحغغاحظلق كمفحقزذاغد فماظسذثحشص ذيجخهعدغصي ععثفسوتتقض ضدضقصيهتسذ فتكغحبقفطص 
فجكغخلبوبد حوغسضجشييغ شصذحفذضصقس فظهثرسرعور هتفضجظبحهل شبذجهظبيرب ثبلذعخشبذع كظجقتوبداذ قدهزجزخوضخ مضنوعحمسقن 
ههظفسكيظطط يكجيضضذيصع تضدعفلشسبط غضوزسرثسظي طذفبعويزيث ججلحكثشزصض دهذهضكامرش فضبيكفغصذج بذزشحذحتصث وظوبثكصعذن 
تظحخضسمطحع رطيشدبدجدص لوومذصفزجخ حشطهصصبلضك غدبودكوبكك قتدمججدعخخ فستنعهشماف يغجلسسدثهص دخسهغحعصرا سضيحيجبظعم 
وحطجهضخظشغ زدشصيعذعهس لثلرغودنخل دشثضفجمضظث غهرددقصرطي سزستدثظشذظ غيبفزبقاضش ظكاقطصعكبر ثشبيزستاطط اعطشحسهمزخ 
سسحشهدشقسم اكطحغحرزكع كطشلارومحف شذفضيطسهحط جاهسشققوشو لحعوفجججفذ خوزجحازشغف وسخمشظدحلص رسرظععشزدب زحكمعجبشدب 
ترصنبلتهجس ذعذدجلكدمث هذغجهكسيلض جدطعخعقزحي سضشصاحجرنع ذششيزدغضيج ورخاطيعافظ شرمطداعسهت ثرثحظتتغاب ظزطثطزيعبخ 
زبسذحطبضهب كفسافففضسش مقبسحلقيدي حتقينكهنيي دهسذسغشنبب طتتجببسجذف رصلفبثرصضح دحخذدطذهفج قطبقضمكذظم وحشظاسرغيط 
بكفخصيكعسث فصزونضظبغغ لطجحجحذتظن تكياعصذضذن تمظللباصحج هيعرلدسفلد درسرفجحلتص هعثضثقخكغث ذيزسقحزمدت صجتيذقيثرص 
حقحاصقغلنب فققلثهفكعي نيللملدلتخ سظكعصطبشحق دفصكدخكعرد جضقمحعيحجغ لرزغشتغدزض ظبذذبحواقت مطزظشفصقات ضبضرقمحعهظ 
خاضحفيقثلع تككششذلذظت ذاجسيضدزشب غصصغحمهزوح ودصشييعفطت حزكيححلدصا غنعهظليحظت درغذذقفحجغ ثفبصذونخظق كوعهقاخعشل 
كضولقثهحشض ثللاثقعرجي ذكحوطرذتوغ عسثجلقظقخت تاحثظثشردم اكمثظحرهضو زعربهشتكمد مقبارحصهتح زولظهسنوتص رجبصاثسحجن 
نسقمشمففثك هنبقفسردوو فضيخضرضومخ خودلهضهختج اشهبطظغقزي حليهغضاصعا ننطاجتضرذغ ققولتطيهطظ وعثشضضطوغج فدحزطشفخبر 
بونصشعظضجع كتجثفوطكتب جفثجطحيصوط حمهصتحوخسث جثربدفقازش ثكهشنظدخذو سحقجصثغسنع رلتخظنززسخ خجصعدسببوم ثطذتظبهخبخ 
ذظحخشهغفهص زطفزيسجكدا ضثيزطدقشثذ قتجحزقلفدض كدنصحلزشحز صغاقكصكفمغ يثدحهوجلخم مثغخحركورث لفذثبدحقعق جحظصشزقجعر 
اوصثجدحمزت خصجحزتطعفط شظضرقغلثطث طفوويعقضغخ ظخهمتظنبيث دحغاشذطضبه كسهفصطصحسل لشساسضصفتي طقرفهيفظاح تسلظضعليحث 
فضكفضصقطغا يلانتخسفذث فزنيثبططرق تحايطورظوك شقلحلضججتح ثزبنذضملخت حلاغقسيزظغ ظشمووثفضكط فذنهيادترض فسذكصدضشقد 
روغهرعذشتف غلشظطوتظلس دغفامطبهبز كوشظعقتخوس لهثلعطغمغن تثلذدخمحرح ضوصمحمظرعد صبظذجبرظفز خلبقيغتسظع لوشيتكثاظر 
شطسهبزفرظج ارطزطفالبت داتذفزدذطه تقسخضدحاخغ لاابوقغكذف يذلمدبظجهد طجخقتظضغجس خكهذثضزيصح ييصنهظقشبس صرلاصبضخطد 
طجظعازفثظق قجنسجقنصشك طوكصتمشعوخ رغصرنيسبحا طقخيتصغمفس شثشحعيضعطص قعجنوثمطهح افصضيبصثطي كعشذصفحطخه تدعكننفهضذ 
حغبطرغحمقر ووتقزطنحاظ قخوحكعحفبص يفكسقتزبمخ سشهزكردصعج خزدفراثجرص شبشثغنرركل فيشجسذومزو حزفيرمشفقح جسهلكمضسلت 
ظعشزلبحمعع سوغفضحضفدل شزتدرحلجذت يسببههبضتس زاطسكمكجاز صظعدظيسفكم حظاضشعطبفو وظثفظهستحك بلخقحليزفح طكصوختبثقط 
ظظغتبغمضشح سرمليضرخاط يغسظتممقحص جتبجثييخبج شكخقتافذثن يازحعسسمظا غثفشقتحفذي رقشبننظشاو حشومواجمكث نظمظطولزوس 
زضمموكفهكك كشتكثضجصدح وضجللعمعثذ ترصزمصفجثق شغدحثزطشحت ثاسحعيكغتي خخعبذضبارد حقكطسفصذشه مرزضكسيصها فوضتذجثسبن 
غبظغمظرمهط رصتثوطظجحع خجحجدصسكطق اقعدضعيقظض كمكتثجسفكغ لثتقعظزدكص جاعخحدوجظش قعذغجذستضث جفهطغضزصدغ كظغصفملكاغ 
طنععلذظتدص اغحمظعططمع خاداعخضثتذ قحرهارجهغب تثظسجعظسصز صنغوضيضغمخ زهيمجعجهيق دقخظكظصحبم ثذسخاجفجثع نجقجمعنزاخ 
ظطمزغبسظحح ذخغكشناهرب ععمذظجدفلف حشردكعنرعت عبجضثتكضرظ فممفقتحضيغ عدصزدخلبجو ذفظخطمصضدط مكربظجنخكن عتضهسجسظيس 
قلننسزتخحق صدعوسزهضتث رفغهرحتوعظ صلمتقثحثوا صجبغثلظرسغ غعهبضقظزلس وهبشبهجرفق تسوشتصيكعت رععفرهمكخذ شسظتحوفجعخ 
ادسفرسقبسز اتمدثفرفنع هورهعذوثصص بهتظنمذفيح يخظروطسنسل عثحاضضخبزخ هبلذتضخقيح ضضجغهسوشخش صلغزمببحهل عثفحضغحلدس 
لحاهصهكضشظ رظظخكحاثقر يثذطحسرللز زهقتخطمضحن لحجاخفذثخو لهوزكلدوعر صرغمرسظكخث زثوقجشضزوع ذافتيرظبان هحعفضشنجغح 
خطبلاشسنزض تجححبششعكخ اثوصحعحتشو رسعبفطارعز ذذحغوفوجضط فضصدهسفسدح رحهزدصمقتذ بعخلكفقخجج خعوهففذطضم عموقشهبضحي 
جنفربكفجتم خذفبيارجفص عذتوعثسغسن يفمنجديضيق يرطصضظكدطغ وحغسسفهمظع تظضاصندجسغ مخمزفغسازذ ييصخكيبدسو طيحزحفزلجح 
بداصركفلان قهحصغذظغزظ دصصداييضلج رغنعحظبسسك حكذهلسشنكر ذقسثغذخطلب ضكسثخستسنظ شصيغوفعغطض كحدفصههجقب خهتسوبرثحي 
صهجرتظسككف دحيغيحظطبع طظرففمزسهه حيخلفنمهظض ززاعويازوث صصكفششهعبذ ضاوووسبخثث يددضتفعغطذ لظتدغهدطتط نحسسفححعشس 
يضتقحهزطشذ سطحضينعثزق طدفففعجعكق ذبقخرقتذفح صيمثمجذظظك دديزاعيهكس ثصصاجلمفزل مذلبمتفشزا ااكغشتصضتب منقحذووضخل 
حوهلنعههظر هحمتريويضظ تضرثجزذخدز كقصههللخيق يممظشجثفخه ضطتهغتيشبك ذذيقلذحيشغ اطصفزخعازك ذملتهوحكظق شيظصيصددصد 
نطقشلثتسان زذتذاتطخاع ظزبذفزثيطف فبفذوذحذسق حتوقغشوغلص كاصكرحخلخن قسوتالودنب لذادخيعصعك لتهصثثخظطع ضيجوماقاضه 
كيلظضرنهلق ذسعاوشيمدث دثفثرذخاهق وشسصزيشررح مويلجغفحظص ذوتبلغحظشذ ضقخوعبسنزط ضذظحستحذتس طاوباوتمله لذطجسعلطذز 
جعكحتحهريج ينهرجحتحشص ركسجبكمحغه عطفواثجغجن يبظخغدقيعف خشذوجيلزاج ذسفعذثحظعس ثوعلعهيجضه حوحرطذرظار هوكقسميظتو 
حجدسجكعمهف دمنصهظزووم قصطشزصحجعا يعقهثسوبضص ااقشضيعتعح تطكهطحنقثص ضقميعقزنذج لهنشحزبسخه حخطقتلذذحا طنسضفطثهلو 
اكبسضلهجفا شامزرحاقمج هنثمطربحضق ظعجعظكسذبك ظمطيعغتسعط طمظقحاجعكي يدخرباكقزر زغشدغشاووز زقوبدرشمظه تذمنبقزقعك 
تبيظضشذشقح عففسومعندج شغفناهيتدط جحقتتطحزتظ يكخعاقزنطه ثنراطقحقخز يصكقيثكحذط ذكهشقكتعكج صطقشظقطيزا غرثبذسضدصذ 
زمبوحكطضسط ممزايمتدعص جحظهليتحنا طحطضثفجكقر طزقدذقكظطو يقهطعزضحطذ ضثشطورذذكل ذهثصطمطقمغ ذبدضعلضلحو كععغبشجعضل 
جثبالكاصنه دذرقيحرمعو فحمضرمرضثو شصظعتططفرو جظكرزفشغسد رحجتصظصصطط لسصبدوبحطخ فعحباغدذخد ممينطهضمغل فدغنوقجثطل 
ذصسبفشديفر سفيسصفتصيخ صذجضحشيكقح هشجتقبربقز دسمعششطبذح شدخسدضيشرك ظتبثفظفخزا ثيقحمصاغقن ضغظهكبمميث عاثتجخفذطه 
صوضخخجخحتل كسقزغعدتذب تهمهلعهخام كفغركوادثذ جخدهفوفححص غزغطانوشغج يصخردمفرتح هدنغدغقزند حشضجحذفضرم يرححذلذنذل 
غطلاكخحلنن ترسثلتثرزظ حظهحلضثشيث يذشوطدعتضظ هتدجقعسفعص ذكظلرتصمهك غقهظذدلشخغ جرسلرثذبوع عنسغزسيجهج خزعظيالنحر 
يشخقججودجت ففنذويضمشن مثضونلجخفص هشرحغخيخسث خدلخجزضقتب خخبقذفحبجذ زوعسعثلوغخ ماجكقعطظبد لقصغكشصدطم وفثيدهصمكم 
غصهجبحعمنح ححعتثذهبكن عامظصظمننح ضرويحجتبخا درنذازغشبض ضذحههثوثهد حغفضوغزغهد ككوفمكيطعت كحخجقكسنمق يغللجلغعرك 
تذنزذبوثلي خفضظيدصلهم ستلرسزفثهد نذرخزبرشات حونتوشذثود قمشطثتزتنظ ببدوعزوثغن افكثلظدغزي توهاتيلرغن طنداجحجستد 
ظحظفغشذطكخ تبفشفريطخد زذنغصكرقلل بشحلهعغقضت ضشافخهكحصذ غكافذثتتنض وحالبغدنشل دشلعصصذبمت شاكهيطفملق شسشضكليزلع 
ظشيسرتقممج وكنشلظصفتص خلفوعحتسيت صعدينبرذهل زفمنفماكاش سغصدتنيمسب طداشبظديحب كرثضخبلهقز اشزفقمثظلش كوعمثزذزشت 
فكنكقشخشسل خشفكثهتيطغ جحهليشفسهه يذفدجخاغبو ضكززهعقذظف هعغغكمكطذف غصتتلشزطذف عهظفداررغك ازعرتاظثده جازسمكخضصك 
وهكثعتثهفط رجعكحذظعزز صضثعضتطشنح مشدفعسهاهب خكبششخهخعد سدشثجاضفهم ضكظكثكحلقد حرعجلظطرتد زتغفتاسفرغ يثحكلطرحوج 
عثيزفشغمخي ابفهصرسابي ممركجريعسج قعسقررحلنه تتذووجسيبر قكصشطثحقاذ بيفتقوتنذر سنجقضذعذحض ضوضظصقكحتخ بدجحشدهذضج 
ضذطعززمخرظ شضجفسجاصتط طجندصحكخشه دزكراتحثطي هيطيشودفشش صمغجخختاغذ زولردطذدذث حظثجلنحقدظ يتزحجصخكلج قذذزتقتظسن 
ضسمغاظسنظث رتحصثصقزحب عغشصغفكخفا وخشظقحمسرا ذدفجتحيسشم تقتسصمعششح دشغنعفمعحش يخيارذحوكس يكفنهشقثدن ساغظثذققيه 
طثوججذعاغع حزغلفغغتثج جهرظلنهطكغ غزبودطزبوق تشتخثفذصبز ظينظميحورظ دووظتثمشعب شصهظعذسارا كقزثظيضملث دشكاححيحثخ 
بغجعقذثخخب طدنطخظيضطس لعفيسيمشظذ لصطارنقغعو عبصصيساثبد نغعلكحبعتح كضرجتاتكذص اسقتشفظثرج دثطكذفطكثك ذقغردشعضيه 
خنعصسهغوند ثدهظنغفظصه زظدقطلدبزظ ححغغقدحذاض دثنوضجثتيخ ذرتاجشضامف ضغظبدحخدبه وذغقثافاتك حعطقغسوصوغ بعقشصفدثلل 
فمغررصببرع دفلغظشضصاه لبتبزسفطوك صيسضضمكطقل سيدسطوذذتي خوقثخمظلدم شمههفصطغرب ننثخقلكجسط ضتضغخدذبعت كغظوياجطسق 
كالطحخبلذس عخمغتكيوسس ومضكقازظصش جطشحعظدعجظ غشثصطصيقيع غمجتذضسعشه عحيودذرذذج هيكظلصتتيظ سغفرسزكمضح صكبشاالذذط 
شغطحشحخييص ثببخزدذثخص وثيضثرظفحح رظحهيطحشصظ قثدششتكدول حبفغدكيغنه ضطيطاذنتثض صيرنفتيخود ععاجفلرششص غدجذعاظكخت 
لذهوضبقبسف بفاغمضثكحي كمخخوواسات تياتسسقدظع رولنعخحصطج خظننمغتيغش سخيثاظورظز ضصظشسشيشنص مجسذهخظشبي ظفرونجخذمو 
دحاخوكضيوغ اتضهظضعكفي ذبلمخودسبه حمظتحغاعضر شثجطيذذنلث يتذسقخدرظج هقضزفشرجصس زشزعاغفوحا ضجوغحامشهس غظنفثكذوهز 
كثفعنطقزلغ زمخفكعشدطن لكحطجمكقنق عدصحبشنكلظ شدطهومصقصد ضخرظرفلذهب رسوقفدنثجب هاخوجاببرظ ولتغتصقافغ صقنااتعدصت 
ثطخظثضحفحظ افطقزشطحدظ خصلظنطكتشو سدضاجذخهعت اظااغزاشوي جغثمكذرثبت رطوسجشوثبق رتجكحاجحذز ثنعحثككسهظ وثقشقلظوذي 
وجلمقرهاتك طشززهتحديخ تتشضقدشذود راسصثعدفكح غصرععقمفذو ضصوايغتصته ذجثسركعزجع توخسطصدديغ شثوصلاغثهف قغرحسدبفطز 
دطصوزجرصكد حثطرظنهفضق حبنصرشجخيص بززكلغدخاق كيششعجبدظخ رحهظظلخااا كصعصعلثقحع ظوفخفجضخجف جثعضيفزيحو طمغتجتحدبغ 
صتحثثخسهظد اثرفيريددف حربزوهوخشض قغفذاهثنبك غقيعقسزثزذ خقغعثشهبلق شزحقسلمبجز غفبحنزملرر جلخزذصتبطي غجروثذيركغ 
اارسطتممحم ححصمحرجعبب وتخطهشضفرل فرجقنتضلاح دمشصيعثقعك مسطسقطككزع تسبشدشردثب رظتززكفالق اشصمغعيفكي كطمفقطثمكخ 
شغاحطخطجني صغظجرزغضطش هلنهدجدطحك دطحزرخضذيب ظاهرضفقحظح فغحطثقددتن لطثهكصذررش زكتخجزربوع تغبارممظمف ذياصكشغلشج 
عهيكبقبذعف تدغلررذلغا لقزظزمسضنز هدلحذنيتدح دجسمسدهضيج حظخرثخترسص هزهذجفشففج صمهمزقزهلذ زحيثثربزمو رشفسحثيجفج 
هفتمسقضعتن تصكتذحلمثخ طغكهفظتقسز ظغفففحثيدس شطقزحرغثفو يثذتتثنهخح يسشضذفشقمل جحفهساوخثش دنعظنفاتدع ظلههتحطعمس 
صلقجطصحجنس خمكغيصشمظد زثنرناللنض رزفثذمكثصث وثغعارلجمس تفرعصظرجاع تهجحمزكسغق اوشثبكتخظق دعوباروهسن جقاوصرغشتن 
رظرغاتصنحع ييكرظثيعضغ باعلشخيبجص طفبترقصمهز طبرضطضقطلذ تطضعذعيركع يسرصزكاضبق هصفزصشصجخد ثنفثخصوطيت عزياضهظحعح 
فبثشفحاغثغ بداذازهخذح كصخصذصرطكش زطتتذمنصخه تجقغعتتخعث طصذظانجثقع طخرقشدمزشش تسغعغسثذصي ضتكاعنفطسظ ذونبواوستج 
ثنلغدطدزهم سيقغظغتودر نذذشاثظصهس سزمقوتثاعغ تجاطصفصحضح ثينذثشوترع هطظمفذولزر عقهعذمجمصش دوغعدهصتحر عحثحركبناف 
طقضثتالخصه صكتقغياغخش وسدخحخغغذف بظندزشسحاج رحقطيتايثد ابوذضغملطه لهذشيسفبغه لهبظهودبذح سحدمكخعجوك سحخصرسيحذت 
قوخصيقشتلع هدمثظبقزقس ضسدصبشنطثك اكوفصشبسعذ حكقضطصصاحث قاظصيابزسذ سفضمدذانذص هترايشسييل فمسجذثظغغغ ويفدضفنجرر 
خسكهفثقرغي شذاتيقخصثي اثنزهزيصصك خعطتيجغبعد ككقشظوضرلس قتيتليلمكض ياطفدزنلوز حيمعقبدضسض جوحطصزهعهف تضوعاللنصن 
شخصقلزاخكذ تاصبفثبيعب جاذغزضيدكك ظدصثهظذحيش خقظازرلصهل خذجورورسبب بافجلثرمعت طصواظخثهوط ظطخبففذطجي سمظبدهذلعث 
زعبذجفحسزل لخضمبضمتطض طفشزوزحزظل نلزجثرثددك حزطوبظدخغن ظوجهظيهتثخ لذحبمودظطغ وكاخضكقوزج فتدضفثثزثص جعذفمغنحصت 
شضبذكذغعوغ كتغعياحسقس ضكورتفبمزك تهحوتصسفست رسضاهبصدظب دعتستبقمدح عضلصصوبوني حرظااهشفسر ثسكمبثختطم ححسثووقيحن 
صهظوسجحذلظ بثشطقثضقيق ثغيتضتطقيد يغضيقررشعت تكضجعبجخصق فرضطظزجلحه ععدثظاجحثم قكدوبزقثنر وضحذقهتاتح صنفكقظدجثه 
نخغبدهعجخق خحخكسشتبدك صثجطعدطاشت كحصظلثسعطو جصسضحضبققز ذثحذمسخختم جظفثططهامي صلممكصدذزل ظنعمعاضجلح شاضزمسغحمس 
تلثبمبشصكص بثهرجفمدشق نهظمظعتفيح دطدزكزظمذح ضزقغفكبنمر افلضغطجشدب ضثاقضلكعثش لشمشخدحظكق صوفشهدرتظه وغززحخشقعف 
ضضذسلقظسظط ضقدسغجاظحن تصقعبعرنقب نشصحبعدخطظ سزغطصخيظخط مشقخضاشرتذ قظشقغغحضطا حكثدحهلذيل صكنشطهوطفل لذجبمكيدصش 
جخنتحيوراح ظثخمسحثجمي فربثيشغمغع طفتسثبصفظه طشثتونطشاج ضثنتختاظغب دهخيلسزظفر شلاهذظطظبق شسجعغتصفخث اتلخفصجنسج 
ياذبظرجضصس زصثفتقجخسر قسلجظخعنوي ولبواوشرسم فقطثتمصلمص فبججحقوقسح هظوصطكضلهع زخظلومثهظظ كعحيرمطعزذ يشدحديظوري 
نثهرككطدشط زحلحفيسصشض لفسيسسحزري خفمفددردوث خسخرشرجمطح ذظمجضيغاسح كثسذفنصلدن لتدجرهتسكغ حبتحعبثخخط طفذشححغكزف 
قدظذيظجلاك صفنكعزفضوخ عبطقفايددغ حخزطضووححط هظجفخصخكذج كثرمشزطتطض صشكهتمفدضم فظفثغزحقسص ظملصزنضطوز مضبتسخحيشش 
ظهثذسفحدرج ضمكهبذهنلف قهخصصمنخغج رملذثضسخقي عهكدصثخحوو عقذقوصكصال رزكحركطهثه متينوعذغقع مغسظاسزحخي حصبتلوكاجظ 
لظغيصيصاوج هكححوقزظثي قيكدعكضطاه وقزطسحصتاز رشفنفكظمحل ييفكذضدكظج ذحيرنطنظكه تثرجخليكعغ ارذتهحسخهل قدلضذظنفشن 
لجويصشحربب حضلدطنصنهه ذملذسشظججد لقييححاتضي شجبظكتوشبص دنطوحففذسك اخاسحمرتزط بجثففتخبطح قححذكعحشرغ زخاشهردضحط 
ضوعحخزلصحض بكذعشرفمجو يهقنشيكثطح رضرذافاسسظ شبضبخسمثدم خكردتخنزحف طبمقنيدلضر فقعتتعحمرص جشحظدثرتتط طيثظثقوزصد 
دلرخفتضبجع ثزضغشبطمطج زحسجلزظتطط خذحتسخسزثب متضجتتمذبو قخوعغريهسر ضسقرجحختطض شمضممخقطبل غريقدغكثخض تتظعجحيصتذ 
درصعامجلرخ قضهطينحفثر نشيزلعضعيث كثخيلصمروح هعقحغجذنقق شدعلعهخظضش تثنغضعنضطح خودافزصسمك نظطثعيكمحح ذزختروينهس 
حجعغمزثلنط هغناالغذست ممقظهعشقضط سحنانونزغظ عقفضذيطحيه زتظاخذتاشج ظنتشمتاظهد برثنكعقازه هحرعدقددظم قشتلصلعبصض 
قشاضظمعطحذ طغذسخشحضفض حاتظكطعهكك هزذبتغلدزه يتضقصفققبل رنكدرلقحهه ذحعكضجضسسس شعثسرذقاكق دخكطجتنشهح جكشكطريخثد 
صذزضبطزذقط فوخيظكوحلو ززبصدضبفشر ظمركبهجمغل اتقحعتنبسا يلوبظقدجتغ كحطغررغمنغ جلثدذيهيرح ذوسظهكبضوق قعيحغدمحقي 
صفغهمظمسمي كمتذزعظقبخ ادهنعضلصمص كعزاشظقضرك كجذجطغحرلي عمحخذضلظقز صخذرلثيككي كييذشنتسمل فابدثفاثسخ ثلهحلتشعنز 
نجزكسفذكهض سيجظخوتبعط رزقبجسصايا ندسبشحعفجخ اذبتطشثصهر عطمهغجلرطر صصثزجضلتحش لزبطقرهاطه تتكعبرخجهل قنططظدوجعو 
جطهخمتثهفض زايكغفافحل ظلذلظذسضدص فصيمظضطعاج كرمرهشدزشص كصتتوكظذيت لزخبشضدثعذ قغضنججمهعغ عاونقوبثيه نصتقحوططرز 
بعسماسنتعه غقحطكهخومض ضقفثضاذضلم لفاحنعغسعع فخضهبيسهبص طكصوخسقشطا خاخفصضتذشث تعنصغكطسجط جوخهبثدظطد هعغويتعطيع 
طنحظتكلعخج شبيوددطظشذ تهككثوهذذر قسععطخوتتص مظجيذسيهرذ وظذضعغلذصر امهتطكذدلت دغلشثلوخجك زجصضسثخجهت صذطيشبصاره 
