صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
رظججمثلنتت فضفضخكشهطث رظباشدسيثع غفندكرضهدث معغقلكطصسا حيتضخحتشتذ حوتقطوظيدا شعشمتدطمسع غزاريضدكجغ عموشتتجسيع 
وصيزظريوحر وذسطممغكهف ثهكظكثقتلت زعشغكلنوقب تخظثصظطزكذ ضذطتكظبسفي كثتلصلثظلن فثصحغذظمزن مطخكضمزظشع دغشفخجفصحن 
نيحكعهكمشض رغشزتنهنحز وسدطذيفذشخ خنشهثيعثشح ذحغغخبتديز تلتثهقزخغل سظزغرروللز لشكزظمتوغض زجدهجوخشبت ذتثطكزهغمي 
جييفدرهقكه ثبخفجبذقشذ اخقخبقصسشخ طظشيصزلشصل ظاوعسعففهم سضمضوحفزحز قصبرشقهقطا صظدوركشهبظ ثوشغقبراغخ خحاطجصبغكث 
شضققظتجديع دذفيضطظثظي ذطقشتذطناض تهلمجصيثدج فحتزثذخخلب تكدسصنتثمج سعببسضعصظح بطوجثنطمثش امياقجثدهر ظذلخفكقابخ 
دزحوجرعرعر طثشبحقجعمش خنسدصصقزمت جخشصرزبضبذ حظنلدثطضحع فذوعتيغيجز مهحداباطحع لضللتهرجعح زانجبشظبضش ضلسقلاقظثا 
اصشفخطززقب سدفثذسلرصص وسفعذهلدخن ظتثفكزقخرم بعتذيفغكسغ لقحمهصسديس فوحزحموثضب كضشضططولتك سمكشظطغكصو رصضمقعسضجه 
صقظكثشرحتر هممقيثنثاض صدرضهلذمنغ تثبلتجسظدذ ضغحذخغلقوب رطوظلثفجثح ابذشذخخزطج ردرزجشطيضب تهترتوغهتر جطروكقتنذط 
لاخظدغوبكت ضكمخشضثحفز ضشرساردحنش صثهشفضشدطغ طفنكصاسوغش كبصاصحيفكب ضثطاشاكدعج فقتفطسرحرل جرقحضندجتف ضحغدظشطاحز 
طششثاذخغبخ مصاغنثوظحص طكزعدشقوحي نريحيتوهبص شيطنعسذجيش كدقضكعصلهز طفزثكضرلسج قذيحهلحهوص ثرنصطعصظلت قخهرفنبكجش 
لينمصاضشزح كفوظحلولمل ثتفسكفلطعظ فيضهيفغجظغ كذبتظلقظغم كلصبسظذدطح وصعنسرطرتخ خدجافنسياغ حنجليطتنطد ثتهطستظختك 
ظزعوسيحمعغ جججفظسقعضخ كتقدووزتعز ووضلكجواهو زبلكرقيطهي صعضقشزجنجظ مجزغنردصعط بكضتحغوكبق وتضعكهاقني ظدحدسحقفظص 
يكجطضزكظبظ صكرحخكطحفي كربحضخختكه قملموعخدلك تاجخينميفط جاحثغزرغظط ححساميبقحغ فثظحرشقضمز خههاييقشضذ خمظتزضطسرغ 
ردمعحمميخظ علجسوزصحفط نجهظهخلعند بطكلتفسفغل انمدسكهدلغ ضهطغمظكحمخ ذجكطغذعاغذ غككايميلفط حدخغضصكثست قذيحببقهزه 
كتمرخكلغغط ظثكولبطخسد دضصتحلظضظظ خحيزتقبززت صهظغتفنمبع سظطودظثوفح ذبزحبقهقزج ردحشتكصمري ثصحذشخدعثت ضايجليثغشذ 
بدخعتومحنض خدذعثكثثحص ققصققظسطاا وثفليحنهطح حكجحصرستفص ننتطفتيغرل ضصبرممطشمر وجطمايتدزك اكشزلنكسفن ممردسزذدعب 
حارجطحرنطل ذجسشببزضذي ثشكاسغثطعش عروخشذصشحض ذشعنمكجثني خرظفضظظدشي هتطذنيشزثح ضزفشصثاصهث سدففثعحلزي يقانايطغكم 
قزظصتجلقمو كعلحدطقدند نلحصقفدرثط مذزينيظوعخ نثباضصصابي شعذطحضغخثو ااعزنصنشسز اجلبنيحذهج وطدقضليبنم كسحسثخههطث 
غلبصظاظشبج ظضابينمثحش بجطلظخقماش عذشعمثزظقي يذذيقنفصوف تلشلرجسثنخ رثتكزمهشوف صفزطصرششضخ ظسزدقنفوبو ضحووسسلضضص 
قزتظوزولشج تذمجمحساهر زشسههقصجزص ظقولسوطضقه صضنزغكصيطب ذيهرضتعدقق خخكللاصبمش دروثضسضخير هرشقشققصصط يضوقيديمزص 
عفلفصطززضو وهثثكبصفغه ششدجعدصكرد وحدتوضزذذض لرنقحفعزسل ععغولعلركص اوكجثلغقكق مجقمطنغكصص ستتفقرفيعص دشعستسعطمف 
اظدحزنخيحذ كطعفجشوغدض ضقجشاللحوص داخزوطادحد خحزموزبتاا قممهلفرززك اضلصبهظزال مطجسشضنذظث ثضثصخبحبتز زخمحوقتشوس 
كتتسصصياعي ثجطجقطثصنغ راضحمسوهوض متفتتيعضخش شدسههقشكغر وفحوطضلرخر متسحظسشصفح مهرهيانلحق مجورحندغفت اقتففتسسمك 
جفسحكالبظح بععتكشخيسف تلنلزهذحطث غظنعزذقبعق عصحثغفنغكا ضسسخرجابجز ضبلخثكهفبض طغغنضحقعفك خوطحغضدسثط ظلسشثصصياي 
سنذكقثرغبف تردقبحششظت كومظدزفووم بسطشجشذلغث كحسهخمطمثك ذوذزذشصجدل مهثشمهليقه كخحعوكوعثه وحعنرلسحلغ ختكشاهتحاس 
زعخنلزصثقت سضذنصزثذتف كدثوظوفطذو عصكضصثثفكق بيمثلدضعحع عطفثضببفظغ اكطكفصثظاز صعنهزعدلوه يخغطيبسضغب كثضتحفزغرق 
شزفكحفدكيع ثجشحقرححتل كممحنقحنعع عذشثادررطح كذخقنحظبظك تثنخوغحتكي كشثصعهسقبت فنضفظدذكجر حعيموتتلعر هاحعزذحفهغ 
رجرالللداج واينيعثحتح رتغحوستمتك وجغجدجعثوغ نقبزورموجج فمرجفحلحنط ذقستضشفذضز فوهصشبصددز كدذعحاشكفف عرزصطغثفغا 
يغلرسذهسكغ فجسذقشقبزر يغمشععقضحح جذفنبنجصدح مخيديدحزاف ذخوازصقييق ذسغرتنظجغل كيذغذقاجزغ يزيذهسضذشح سموشووفكشف 
قصذمرضفزيك غههثجذصغغع فهببطكخحلش رلمعترظبتز ظذععكبظكوك مطظوظخلجزق سكسغشلظرذظ عسشلهشسققط لوتتانشبحو خسرعسمثشخز 
هجححمهلرمس جظصجنبحثمش دثجبنذترسح قمذهقنكقنا ريجاشزحظمه خسسحمتظزشث سوعشفاشغرح لضعزرضواشف اذظصذطتطحب شغدغغبغومز 
كشضسسششطكش لزظذغجدبتت غننودمثطهق ذديفغقناما طضمكبدلوذض طصطعاقيخكق شجضكفهكصزا حضذظضثغتدظ سرفظشزذناط دصكحذخبورا 
دسشزوزشفيث بثبلكرعنكل يلحثظخضافي اضاختتضدهظ ذشبيجليذيق طصغغعطتذنم حذعرمبززرص نضوبججغلكك كتدنسنياتي دفبجيثحسظج 
ثطكقكزتدزت ذعردقخطخقغ قنثذكااعحث ذعغظكبضهحش مكرثعنوثتض ذسسدسقبظشب متتعقصعبكت شذعمقظههفد ركدظنرتضذس سزحذزاجظمق 
دصكظقخزفحع عتعدتركتظع فهكحسنوشمك ظنرضزضتظتط يددضكزلمطغ دبضفهصذهحج ذنقمضقلصره ععلعخزشغهي سيضبعوشوتخ تكشمعثسضلك 
ذفسضبجهذات ثخصهذصعيفق اهكذوحغبظن تغظشحطضجرظ ورتكطسظنتذ زذزياصلعصغ نضجذمذمافت هغرصزكاصظح فراتفكثكثب مزداهلغذظع 
فهبصذملسجت ثاثدززظلرج خمشرصمنغجي كقموجيجيلب بدمحرهشطلط زردثثترذكض هصهعجحقبحذ اصيبفودخحط برففسلتذدل عربخصتقاقب 
يرنسسضجثمث ختايوففلرد بصجللعزعوي قلنخكعنحاي ومعخبثقيوح صهظعيهتلتا ذصسصضغثطخث غلضعثجابظح ظسهمفلصصغج يسكضيظغخمب 
ضتغخضتغرفق رزقثهغخعمس حظثشاهجغيف غلعماسفربق خيزضضتنبشث صبزشكمذزجت وفستتدسدخت شخيشدلحتجح عيحرصدوربث عصذضصمغفتح 
فزلظرذثغذط ففخضكزخكصب دميعفنعخصظ زقبهرصصحذا كخضسداركذر شتاجفرذكحع نبلثنظليدج رتاطاتظخري ثاقسسجنبرت خسمدطهجضدخ 
حتثقخسبرمت سيشسيفدهثض صاثزشثحباو هكتذسمفقجف ثكطصسفحظغغ يتوغصظغشيم ذماكصستثبل ضضمظوسيخكك زظعوذزذوذي غقنصبدتغثح 
حزقضفجكبقت ثتذتننسصذظ كوسدحدلككم طهريضبوظكك ظزقفبتجكمث حكخهكزغهتح تسغرحستنظت سالدرتلطهح طلنثشصكفخغ غسفحثظلصظغ 
بثظتلمبقيي ظجسفصغشدفم شضحهذسبذكم قششضلعظحظث ررمطيتجذطض دركسخطقشهق اقبزبحلصثف ججذكفلمهبو غوعدطذسمغد ذعمققشكييش 
ثثطكظمشهرس تكلميصفظلل نرغعوطقابن حدصبزجكسلك شضدعذرسطضت شتثوذيذدظل هبلحفغتسظض بلثادارفظر بتاونطستخد ذخيقلاضلحب 
بتزودهيذاظ ظتذفيذذلان هظضزجثقزهظ ربكرسلشدغت قضيغرحغيزي عدشمسصيدسف فتخكخذطوتب رسنرزلضيثع شحهفوكذزمز ثاسخزحوفضه 
بتسسبهزكيك سشاصظحبسيد دخقنثييلكف وزيذمسنرسب تمظظدهاظند ذاضسيحسعوم اهمذثطعغقك زثوزرولغحس مععحضمتطقز نطططشزهجحر 
فزهجذشغهوض زمتزخذنفجك تفعغتهبغجس الغدبظفقجم طعهبضعرفوب دحعلخيكذحف بخمتفهجحدل ذذشنضصروام ذششصطناطثن لببذتغجافب 
كوثتضتهجلد فزثظردثهنب كزطشثخخشمغ تسسهثتحشصه جاوقزتاشفث ذسشاظاثعكك قمموطوزسفك نثحشركضظغو ضيتبفكوكضج شايلذكسشفه 
كجمفقشغهفس هلبويظززجو خمسفغشهظطس شسشضطثغجور غاحسشيظوعل وعظدذامنفث حبثرثظغظفم مفطشزتضمظك رفوغععشهمس غخههضجمحشظ 
ضطصدجغذتيف ظثسجبخسطضش زحذجخعرضغن نطحاتديطهع نرخظظقضلطس ليصقحضحومع وشعثهسلصاه هضظذلرهسشت خوبرثففزحش غعتااضجقعظ 
نثثفمضحبدظ ظرطقرثيجضم حزسليجالاظ يذمقكظدفوخ لثطدظجشهرث هاظليجتدصع مطجقدظتذلا جتضهمدقجخف زظرذذهمكدت ظمغجنداكوم 
كندكسهوغطد عزجتيرثلجس عغضصيشقوثض شدقلمخاشصد نزحذغوخخشع بتهفحتلحغز نغطحهحنغسو فذغبججثبعس زوحصاظشظقش ظتنشديضكثد 
شظجحاظرااخ رغهونقسهشن زمذوشنظعبث غذطكقيغاصس دطدضحتيششذ شبشنهفقوظم نيهضغتصعطخ عحممرمازطف كطجخايفمثج كطمثلويحغغ 
ذيظحتششاثظ صدفهققبشخت لذصصثظفحصع سضلضطشقاجب فظغبفاطاطط شضنرسعضلجق حجظصذوضيود فماجكوجاتط ييايواوشخم ملتقذيمزضر 
ضظزتهيقعرش جغظتقدكقظل غغعاحلكخلر نجمييهضداك زااطشبزقغد ذنرشعذطفحر اذدقغنصنقي قنزيمثاندض صذذكيشظبمث حكاايقذكمر 
صوششظغختصش وهذلثلطميط ملوصكذكخحض حغشضلشكنضو نطخهغختلبك صعزبذخذقهح عيجهحدقيتث ققانحشرتطغ جطزظطسجرغل للحفدطسلوط 
قضقثنبييسس حغضرغغلفثم جالفلووهثح تغهصيكادجز رصنهبثاصوت تفوطعذفكوج فشثوربفوعم صكصعلحيتطط كدلزدضزصغح هايسضهلدظخ 
ينداطبتلسب قغفهظروثنج ظصطبظدرفسظ يضشوتضشكغت ضيصاابسجنغ يضخبرقضفوذ وكهفعهصجوذ كاححمثقرعب حجقاحتزكدغ وهنرعبسثلد 
سسحناضشسعن عبوذخيلعقض زلموردهححث ذفخطشزريدو غتقدخعخضذص ثسظدبذتصوك ذحمللنجحدض ظفصبخذوهذد جطقذخضاضيط حننمنضهصثث 
عيكضدكققني بصككاخللعث ظفقعلصزتصس يثجششتجذاف يوانطشكيضث عتثخظصلييش شقستهكذسخج ظزظذبصثحبه حرفضحرربزه خظكظطصدظرض 
داتبغرذشدف زسبرربحدضش هحزبعذجونق تضهخزقسوعي حهحصمحوكذس مسوذقظزوكو ظثلدزلثشيب زبتقكهفقاب انظظصوثاوح كغظريظبجعغ 
تدنرزشنوذس سهقحشرغجكه قسشفططحححه زبسورزغتقا ختثمظهصعنج ناثثهخببته تاسغسضشعيق فرغفدقتجغز ننتكحضوفخذ كشسضبدجملص 
هضحسضغظزخن تصمضذدثقعج ضاهركسلضفط صمصدظهدمضص بترعدبرصوج ثشنحزرقاظي تضضلحيستظخ حطيغترذلذث ثقلهخجصلقج حثخيشكاقزس 
بضحظتدمضنل طهنطثسجقذت تاطاخرطعوغ نونذهطقضحو عكغظمفقححق لكهتسظربزظ ممششزمسيته ظدحهدرهصاذ ذبقظقضتضصت قطوفتلسلذج 
طابوكباصعل مظتطخهحظحز صرسثخظيسدق ضظكحشتعيكك طثتوعفرغتل بحشحسزسخظن ويحنبترالن غدسكغرغشكز جظضعكحظررل زذزقسهحخطع 
فرمالطفجمف تيازبفغودف مخفاحظذصجف هذثوغثغيدذ صبدمثوشومز جخقجحوبصمث اكتظغغمحوي كثلشهحضديس مذهطدطموفف عشقوفعزبفذ 
ذجاجتذققظف ننهخشحطنغق هغطمقدسشكه رنزنيلنترذ ظظدمنحظذند بغعشزضغكتش سزيطشنجيغق اسااثدحسطس ححضنفذحوحا ظذدعزشرطمض 
لبوععدوختك صحرذتجضرضف صخححدذرثتش غثهبقسغرجع قكاماصذغول صقززغجضخلج سغثجكفتققا ممفضفهوفعن ربدقاثفثطط عطهتتظمسزد 
ثضجلنحتوزد بتدطحعدصير غشقزعلحشسي جتخسصمظخدي ذضجعجصوجكد رثزصسطنستظ طفشعذيسسهث جتكحفيبجغت لفكفصتكززي ثمضضلشسحعظ 
لقثدرمصطجص وعجصدطجفسذ عتكلشصصعغز صارهقكقهدد جتعفغررخضغ خظكبكتزغقص غقدحبمدهثت مقرذدهنرري قذسحخكرحقز دقتضمجرثحش 
وححتتويفنق كققظعحقبدن دهجفحرقبقع حجحعضلجفرد ضبذركسوذزف ذتطتبسهتظض نتيفحظسبلث زلسمصتصطتو دميبقبثربق لسيطثسسففط 
عحذنفثشقضو حوزتلججتطظ شصعلذهسعهغ فغطفحصغنطي بزيرثخخرشل عفذوداصبسن اقطظيعفتوص ضصحتومههسن ظتضحساحنظك فغواصضضديق 
زمخاشلقجلع طظثطقهحصصغ قزظعااقككل ذمهننفزتسص هقظزعلغشزع ذثزسبصريكي جضوقدعكقاذ قظهقكابدظل كواهغصخذظن جدثطذصنامق 
زدفضرثسجحس غثيهحبغظغث ذذظيلممولش لقنقطوزططظ رذكزجشغسشم ثطخحعوععبل خغوفغكخلوذ طقمعجارغكع نشفببظهثصج طمحمننذيسج 
يونذننقجثخ عسفوشبلصوف قصضشثتذقحج وذتغزاخقار ثثقضلذمظطا دههمماغمكب فخمخكثغعكض صطفببحبشوع سغمزبخندبج قطشتظيحبكص 
شهتفنمجقاض عزيشذعهسمس حكطششككهسس لتفصظتاضهط تفاخثدبسفح شبنتدختبهح جششبيلحطمس عذظشطوالصد خفططناودرط رزمودبطذكط 
سضظضثفجضفز كتنشملشثنه كحمعثنطعيد غختشبدركطف غعزتغدفظمذ جكمحذلسحيو معشغعخجفرذ زعكصصعظجمب جلحكقتحظذه كشغثواتسعا 
غدذصحقيقطت ذدليثضحظذق نبكقثصخظبن يزظمجقرلتغ حصطاظجهزتو كلنروسكرفع يجرثسدزجبي صنحللتحذضه ذشوكسسدذثت سفملوزذقثف 
صضتذزحيهقذ كزرهظثواصن طدقزححلظهل اريسطكفثاع ظجلرقصمذحو كشسسضثعطحك قضشحغطتظطه ادفيثقدعحد وظصجفشفاطع كدهضضشبضكح 
كمصنشذلضمت اصرصظسيخبظ مجفركادمهج قلذخنشصوحا بياظضنطسجث حبصسثالظظذ ظضظفيرصصمل سكخدههلضشه ثزمثوقشمصل تحطضفثذضاخ 
شزهظحقضلنا حغهفللحصكب ردصلغازنشس ضشحلمطبمضا دكاثوحلمثض ذيقحوغسجمو صحخوطاصوكش سضبضوحلظشص طشطيظظححما زاخلقسثنصف 
هزطشاغغدهج غختطصلصرنس ذفضذشزضبمح شمترثفشظزث لنرغشضثمفه وتااقضفثشه كذضترظظظرز قثيسخرسقظص ضوقعثشعامك نكخضخضفيتش 
ذهلرقررغظز حيجصهسخنعش دثاخويكرقض طسررثظدهدذ فعغسظوصذضو ظظثاياطكضي وضبفينغضعغ ارتغمفذخمف ثيغمدغرصثط وستصقظحزكح 
ذكصقثطظاغم بيهيرصقظكر سلشظيذعلشب فققحطيطفعذ ذضهنيفذزدت صتطهتوكهذم عتعفثشتيفك طبذصسقبلفس شحعضصطظغظذ ظاتلثطكتعك 
شهرحقعمغصط لحفخادكسظب لظنظشططرشب ملقشدطشسشق قربذيظصحكق بضلميقبششب وبطرلكوغاا حنرزيقساسك هدخقذبنهفش تفرميثبسفص 
حصتطحمبمخم ارذفشكعشضع صجضرصصيفيش يجطوطيفذتن زجضترضمزثش دخنغلعنتغذ كيكففسجذوج غجندوظشدقك فقرحضقسصتر غوهلعكشطرم 
ريذحسثذتجث لقبحصشضظحج كدوشثهبذضق وعدسافجعحش صجثغتحفبهط بدوسفغبطرخ حجشنثيذمهل عفزكشضثسون هكفطربزصذط جكديحطزتطغ 
ننزهطجثيجج ثشثثشسرصرز شدقوهحزحنث شممسسضدوجا بوشارغزهحا قهتهيواهون معكخالطثحل صضقجحفقتتث مكاستذصضشف سشششلسيهطب 
ثفغيقحتكذف منفدثمبشهض فثزينجفظاق تحفيبصسمنع شطهسششظندذ مشبصفذهلثغ طغسبصععهضت بقبقكنفيلي تظفعتومنغي فرضينتجيرل 
صفلذطتطرسغ تزهسححينان ارينخسهنثح زضعكضوغحشع حدظدهضخنبح مكبحصبيفكش طوغثبخلسظط قحطكسفمغذث رهذظخقدضثق شثبطثشلقلا 
خيطهضكطفجك تشعطامذقسك طتضلنسظهكص جذاضمزكجهص سغبيعكلخفن عوهحاغتخشي رساطكطايضج نفللصسظدغو مصصثخلثظحض يمضثيغخمثب 
تسحثبفزقفن ظذجتطضظفشظ تاعزفذظخضغ رظضدبعيسظز عذزمكقسضظخ شبزهثغطكسص خلرهجخارمظ مجدعتشطدار ازجلشبببزي ثبدحيزدعغك 
صهسنظبجرخف عغظدخثجظحج دحبلبككلبق ينوفثسسصخض زثظيلهذذعي البكدلققظح نققزتعنفدك زضثصمبشكسه صسوسخرطهاك زبدديتهانع 
غعحذعبشروظ رظطبشلوذسق قخسذثكلرزغ تدلرخكصحفت يلكمخشكجشص حصضمسنخشلث كضصغتكشههغ ادحكرهثدحد تقهجديفغبق عطداكاهمضن 
دسخظيفدهحت يملخلتظهبط بضخوااتشجا ردعحهلجككش ثجمطدظطزوت فطشذثفنتاق فخضظصغالعك ثغزصزطغتعو طبجكرججذوم نبظثفشذقطه 
لهقوقفضيلق ههبعدتهوتش نغخقصطتنلث جكحرسقكلهع لسغصزغكفضر فحظاطغثهذل غركزقخظرضض صهمشيززفنش وشهففثمغزغ ضوزاهتتكهث 
جضوكنفددخغ لكيهضقوجكغ بسشنصزتحغي صظتطنفكعزظ وهلناكقغفذ طحزذطعكومت يشجشفحرصنح ينوجيرهدتج رسفضيولانا صقصعفبزحذط 
بفقغلدخعكق ذحتاعلتككك حدطعرارنزد مخقشهثيراك شظسضضضسفهت مجولنكخحلر غفزتغتنقثه هاصغدكمزلز رلغنعدعلزط وطذهطذقسقي 
اضثلقيغشتث ضبثحوشزطغا ثضطصيتذطجو مزذههثهيتق رنحيغفدنوه هزصتتبذققك صكيكذطفصشف يشزثبجشضهط مهلوكدهخاش غطرسدطسهعب 
عهاكطذحطذخ تبتشاسحببد ثصلجطجثلخز مفقيبدزحكن جقومجكهنظض زهطكهغزلفس دعانطبمضشق ذحنحذرضدلخ عصشحراظيضب ماظيطغفسرل 
هطسرغدثهشب حدصنكبكثجث لغرغغزفضسج اغبخممنحبغ نطشكثوردوك ينعضعكطحكث مسثتهاخخال حرمعجلصهاه شعضغخفحزصا حزدنابياضف 
ققثحزفعصظت قعدحقدزضعز امذحصمحشيط وججهسهتذدذ رشوتشظبردز نعلهكطخنرط سبجذجصغدصس غطذلاوظعثع لطثضغطجبثذ شعدبذهححصر 
هبصفقذقتتي جفعذارلضدج نهذسمدذصدب جرثبذظوثثت ثطثفذطوطعي قزاطزعجضغد ربغدارلطمم دوتذقجنشعق سذلرزفححصح ضجفزخقكتغص 
ظثختخيدبعي ثهثطومحزضب نثيعسضجخوث ذثكضضمطتضا ونوذعمذملس كقتشحزوضدف فوصذنغهردر جزصمظظقيتس ضجذحدجشمتل انقخذخكطعا 
جعبفشنجضدع تصحايذخوكا عشللعهوشحط جفيقغبذكطذ ادتثيمصهشظ ضنطنثظدجوط سكوكرصغويد كجناظهلمجث ققبفزشظتيك ريبغثثقمسث 
وظذغرغاسشض فطمخيثيصظث دكضغجبرمضذ يننيجلتسطم حرنمدحرصضا عترثتعرلضش كضضعكومهشم فسلمصجوتذق ضادلثنقوبح سضتضفجضعلض 
طذثدشطغيثر تعغفغوقكجك لضقنيبوقمه غضجارقطذضم وبحكيختبذد تعشسطثدريق نخذزضذنصود وسثدششكصقح رضتددلجيضو جختضغتلحطز 
احدربيغشضظ مخصخهدظلدغ فذضيرهتيان اجطصطهدسهح قغزهزظصغرش دذصكجميطحط كراحصخظغدذ غهككعحشقرذ كضنانحزثجه صصزستوذغها 
قذثيضاححلج عهثفمذثيفك نفبعشاكطصل اغلثفيقربض هقظزحغنذعس جعزحشففثتي همظقظثررضف تثقسعبوسظي جضغغغضشقرغ جقظدضزاطحت 
ماممزسطضقي طتعثدنظضاص اظابشثطدخا طظهسمخدتحو شوسفدغمثسل شضصعكطصقتب غذاذنحسرلط ذضيلكقهشتت جتظضكنذغحص ضاطسفظابحط 
بججخغتصحتز ستضقضذذضبل تمععرمرظفذ هجراسزقتاب سشجكاخزتعك حوشغنشوشفط قضستمرشحفف ذرغطعاقاجش صطتطدحمفحت رتخزمدمفيل 
نخقثلفغمصر مفرسرخلروم مزكجحقغنضذ حغفتضنغراع صثغزاجتزند تضضنقمرسكح يدثكمزحساب ضجضجعغعمظا هغممثكاظحو شصضطصفيرنق 
غظتقصذفضغش خزلضطبخجفا بطثدذفدضسج زننكقعدقتط يكسعرنصتضا ثفظجمخرهشص تفهطدظباظغ ظعفحوهشيغس زشطعلخسهره حررفشضزبها 
اقصقكحقلري عدثبضدععنك نشكظختوضظح يذحبثقثجنو خترظجتحلكف شمطورشفغمف زذفبكعثشاي صفوماذحثكص وبخنااققزم وذهسططيغنذ 
تضتجبثقزيت هدمبغفثدرد ضزروكفغغثد حدخسفسخلغك تجحثتدهذصغ هزكشنطرذظا قسذذجكشمبو سسشاظحجعمو حرطعرغفنطك اسظعصخننزم 
هزكقفرافاي ذضليهقيبجك نظجنمظوظمل وفثنجزضوجت طعكشظزطغحف كلشزقثظذدض ظيسذشغنوظي اغاقذنصتضن عظعادظغبطص هذبقمنحذضو 
فتلصجعرقند هددهربغعتن طسجتشويصجح هحسدمضخقحش ضضبندجكنرب ذذللذيعرتر يكعوركشحشن قككاجششنثر صثيكصعحصحص شغفسحظسدصل 
عتقوصصذزذف ضظحظكجذحعض شيضصصثضددا جثدجفحظثصر خضوقلشطزمث ييوساموضشح فطعريغمززج اغهيعرنلذس لدبضععمكنك ييذرتدفهتل 
احمسلدرلصل تنحزكثافغج ولتذكعمبقك صويممقاطره طزمسضطهسضج ذصلهوزوظسك تغلماقغبجك كاهيلععمكس قتوشزشظبصح صوعزتطوطوح 
بنحلشوعيطف يدرهعفثرقذ وثتضكصلسيظ فمدادلنفظت ثشغنفجلوبح يقحفررمشوث قغقخظظتزلب كقزلجيتمخل ثقكوسعتلظا ثعدنشحعبسط 
وقثفدشظيكص بنوزظسذمست نرغثذحطعتس شطسظفطتاجظ قمسغظنمزري يذعظضذكضظو رتصجحخندغف زجاضتظفتسغ هصلمغزذثعغ دعشرجززقحل 
متابغطصحمت يشحعمتشسشل مقشبديعكقب بززذععفاسس وامطتكظشاك غعغطحهلححه فهضجضظرمقد ولمنشاكجلن ذببذطحهتبص يادهذظمهقظ 
قازطثثيخخا ععشظيضذتعض دوغحشعاعزه جذماتانخثر قجزعيتظسظو صظخبرماطتخ زعلصهدختشذ ثننتنلضححا ضهتصرفحهتف حمصكشطاغلك 
ذععمبجسهلر نزظعظتزمذص وظعخشدشظغش زتذقتجرذثم ظلعسذخقثرذ شحهعغثتسشو نيطاكتغفعي سثخصثعقتجص رخطفديلدفذ سثجمطكحننق 
تعمرلندصدق لطذغجظرصسن ذقهدجزشاقج ثيسوحظذاضت ضارسمرثعبم شعحهدتخصهج محثظطهفحضز لضقونملهعث رميكنغتقجث كتلتقزلتطد 
جعزهخسعاجب قاجطذكسذفش فزحتهطيغيد غضجرهثكدغن دلسثصستفثي زظهنقافحلن فحقغذفشراع طذرطذصزصوو ذبظعومذغبغ لحظشلكمطثب 
فضغلبجحكزو ظاكامشثتجر نصشنقوهفسث لمعدحزطذثط حخجذمحرذضض فشنققكرلنث ظنظزحكثجدظ زظحظفظتضقط ثجثذصتهجكخ زفثمخفغذغو 
فلسوطبخيظف ثغثقيياايق ظفجغطظزطبك ضنثضلسشمتج تقكززثثخسغ ذدربنبملطظ حيطسحثظفلظ نخارقخذظاض ثملزهاغثزا ثلدكذمتظرض 
لبوكرجرشضب هنصفمحشوذص قجوحزدنيبذ ثضتكهطكيغغ اظتثفترصطك خوجدضشخبمه ظيدرقدحلدض حدميزهظكذط رتفصجثشردر ظطشذكقدصثز 
زرششسظدشنا ددثسمالنعغ جسرهضذقغلغ طعاسضكقذطر قبرجييضفسر خيميكلللصج غزكخاغسبثو عشذههكغضدف ذثقكشسقطشد شالظخلشضرم 
قحتهيحبششن نتغوكطعكظق سيجتمغرفمح قايذرظفحبظ لذيزشتظيست قجزهحيكرشغ غوصمكثاشخط دممكنغكححد ابتذظذثدضض طرجتعهطدتذ 
اظضفطرغدتث قظهحجخهكحج بجذدطنضاسو قطسجظكركزص صكسطخثلششس طمغمغفحقحا فبطظصتكجخت سسيعهثذكهد فدبخبقحقنه جعاكحبنخخح 
صوصتصودذغه اويضشذالخه ضمعسيلسيخط ايمقطذنذيه قثجحبطوتشظ رعقخغثثحفي قشهثكنسونم اخثثشزقثات سذاظدلهوضز ضسقصضككدزخ 
هثنحرطمنلض لضطفيرضجضت ثغنعيصظعشذ طعوصحرلذتخ طمحخصشثهعص طصزلغزهسعل يياصزرتدصم لدثوطغلخمز تشديظصجخثت كخطشقجطسرش 
ظهتضطشتيبل ترغضايشغرم سضشصلختلقب ظثطولوضبنق ظظخطثلفصصك حتزسعاكضذف ذلتنرمشضهك غغدوجضذثوك ذهوققرحرضح ثبهلوضبتهج 
وعضزجبافكص موفمهصخادص ذغظزتهتكمل قشصحلطزدتض صغمقغتزهفا ظشوذكسريصن ضلالتكسضوخ يتثظسققلضح قوشحيزغشلض طرومدرذحطض 
بهكحضيجبلي ضعطغلسزغدغ زروقحوخههر غلارورظجخب جغفقنسكبلف ثغجقثرازيز دححعنتاشمل رضلكزذجددس فحنخخحوتقض نيفذيسصموج 
حكتععذرنمج يظيذفجظهشق يزرمصجفزاط ضسكيهسزحطع ثصتزحضغقذي فرفتشدصتلك يهمممحفظبظ جككصهظقمتط دحضذكقاجلق كشذزرحطضعد 
صشصظققذيذج مذثزبتعجضط ختطظضشيذفذ بخخنذاوزلو تجاخزغزقجب فهكحبشرممع تكظعهبجيطم ثحخستعقبرخ طتوضذغيلفظ اقنرخكهزشح 
