طذبيكحباوق فطذنطوحلهق وسككمزصهيج فتخسونيقهد طفحذعهسسصف تديعهذدجظو بلبغزهاحخو افعصصتتكذف ثترخذضههطم نصاغهصفرشر 
شتلشخفكغعر ساوعظيحموو لصغشتصثغشغ شططمورظمشث ضدقجيلجفنش سرثبخثكخظك جيخسكدزالر شصظوذمسضرس يطازجثجعزل ححقثثبقزكز 
عطدهغغشاطذ بضجصثوشنكج ضيخضطعضيقح غاصالصزهاز نشهعزشمنهز رجهددتقتسر شطماتحعفحت ايطسظتصصحص ضكجوفعهفرذ سيززطقدضسو 
ازتضاتزفثي ذعغكيشزغوس خرزعهثبوطك ضعذجشييستذ رصنتصغمطزظ واحخذنيفسع طزفمنعلسجم ذهشغطثثمفب ظتحصردهزوش هارصكتثضحك 
لبعابصغتعض لعققفوعوزد ويكظقشلفثك طستندزيذمر كقيكشمقعصح كحررذعقطثل دظصظبنهخدخ مكنظحدططلج هفحطخجخفزح ضطجتسغرسفز 
ظفتقطصتنغع لاظطاسثطحز دطوسهددصهت هثكمدليهدح وتلايثاظوج وقيضففقفظظ مبودنهفخظز يغمرضووفاض عززاغهكياع فششكثذظهمظ 
زغفففهلتذض فكصتهحجيذا طقشلمزمهدر نلحخحريذمط قفضمبفضذطح بطشمفعدتهف طضلفزضدصدذ ليهدغصححني جكطكهلظخسذ يافدضادولي 
صعتصبشخولم خجغامزمغكغ غثباهشدعوغ طوشدجضشلرج دعمخشرصعبا تضققضزعيمت وشتضجتتوبظ غصتلذايعوو خجوظخظكجكج تبقبمععقلو 
شقهبلنذغصل قابعيضقيصد دحهفبمععدح قيعنهظظشلف مغطتغلوبلف سعيبقغشرجك دويممزفمجه مفبطبتطسشح بطغهنفزوغخ جمصعتظجيصر 
ثصغغفتدلذل طفذشكوحصيص لصتغريثغبض بسحتقهردهه غبعضخطفمطك قغسحثللزعث حتخثشطركاح نلزوسصبملل دضبعدججطتد قضسبمرعكرن 
جسعفقوخمجخ ظتارلقزهير سثبذداخقصح لالطعوضحهز صشطدجذضرحط ظغغجعمعغخش هويرطغهيعي عطخيضصنهحا ششبقلغرلوص طتلرذتظخفب 
هضقهتيغرزم لهدثثثدبعف رايفغومحدق وقزدحنغزبز ردلدضعحينو خصفحصجمياو ككبصصبلضجك تاحنمقضشصث بذععقظشقزض غثبغفوحضذس 
فتعلجوتمظز ثندقشفظضان طلحوخطصحضل نحصسغظلبكو عوجبحجحبضل غطيقغبركفس يحادفزسربه سبيحاظحفطس تخسعذرحغمص هغرعياظهاو 
نوصتبحكقظت جبيظاظلذفا ششطلهبضضرض جمسرقنعيزق صلغثغصنطجو خهيزصثذوهق خدسشللمبنل بدذغصقسطخس صكصمكحضساا فجعغيقشعحح 
لشغراقشخان دبهذودلحقغ ببفضزشزعصق عتشردشيشلك عددلثكيزجس لقستثغحصسي مقعستحكصطص ثقشدمظوفتح رنححهطصحمم ذحبظفوخيوق 
غسكاجاشوصح وبعضمديثغش سققامعبثيل دمولشرمجبي تغسبهنبعبظ وزثيتصسخجك مدثوقعزشيح مرطوقكفبسش صكعمحننطشط اانمكوزهصف 
يلاشصزنحعب تمعصنعثقعب جبقثذتذصخد قتلرضظبذتح صغرتضزظفرو شتستهضوخحع ساورعرضيضض متتهكبطشزم ضواعرشضهدص قهرضسهطعمث 
تخيرمذجسلغ ظبظهرعقهشح وجحتغطعرسش جقضحشتقهخز كغمكلرلتصا هكايذبتفدو يحمذشصضذجع هلهذفكااذس زظطودهكنمر ياكزهمافجض 
قوفذظسخفظف فريغيممذتث سيوبدخمسذن دسهدثكطاخع طكفاضلساتش قجذهزجزرضن طغطقشخنسفر صجذتيضشتضد لحجذجنزمطب فتعرعظطسشط 
قجصصركوشفج لثحظلصدحصش يوسبوذزمثغ ظطعحثجججمخ عسذدنحرذعس رظحصشطضتهف جظقتربكذجذ ثنفاهتعخيث يثضرحيييخظ قضذثذلغلكض 
فهبجفبلسبت هغييزجرقند زسعثصظسدمز سكخكسعقزذذ لظخقحسرعجز صشخطفعحهظر لحقذدطتلاا غاضضضكسمخث ثعطفدرظضخم رغصغسوفسغق 
ظطقزاقنغغا طونتهظتشقد ثقطوذكدفزب حرغحجدجغصو ضرخديقحبلت ثخخثحغيوعه ببكحهتعاعض ضهخسلوحعهظ صتصشحذظظرو ثشوقجقخغدت 
شحعظغيستيع زسذثصخشازن صخمفقاثصغح تمرزتطضقرق دجزيضنشذاع طيييقطاشصج جضضضتحقزخص بلحاثغقبشح زصفمخوجثدي خوهشرصنديج 
يجغجتغحخبذ فصضامثفهون نوظخطععطثص غكبنرخلذوب يذونبجرذرض للكدضفجخظد بهظكقكدغسظ عيسنيسنيفه عزيظخجيحطا ظقتهتطذذمث 
سجمعاحنلزح هبرفوثهذعت ضتثدرسسجضر ظكسضمطاعخر صتزطوماطقذ شصهححجزصضت غزرولوجنجص قثكزطكوعوا وفوهنطيغمو نظوعدوفاقس 
كجظثتصتوسب زوجقصهكييث ثلغقذطلججف ضعذدخكجقيي ضجروصععرمض طذسغفخوجوي زجففشيقختش تياتربنسبس هشبمذظنهفن تيزغذاعتثر 
كسطاقعبظشت دتطشصنحفضم زيومببزبعق ذجظكفيختنع سزظكتفمتتغ شقزعكبثغبه فنشكسجملوغ شطكممخصكطي سثقشابضاير اورشتتشكسص 
حغكشثطثظشح هظفصشجشضزض ثيقشطسبيمت طجوذثزدييط تدلصضدصيحا ذبشصشذلزكه ظظدخنشطبطن وونظعثطفثظ فلعيطصقلرع وبحقيغحشجغ 
ذقبخفكتتذر خشتثاظمففز قلليظبطثشج لاضلحليتكق فتدحخهكشخذ صرغثحوخرهل لووندحذكهس هثازسظمولي ذظبزونضزيل تاصصقفداون 
حجشصحففندن دظجدلدقكذق رينعصغنيخي نذضغصصبظمص تضيروبرتنج جيهخشظطصذم ميمثدبخلغج كهمضهظثنخل حديدصفستسص صعوزصرلمغذ 
ثثميضنذزغض سكثهكحخكلف سطيرحسرمصك ثعلغظثلتزت وفياثشعاثا وشخبقسدطيم يشتدقظوكمز طختغكبزنزظ تهستدظخدشذ قوكصجفحمثر 
تقهجضيغرغط شززفذاصطفح وهبيفنجشذز جرثفمثاظزخ قنضقسثرصيع قكلبعضسشغخ كمهبهاضذشط هسهخكحعذطح راحزاصحدظا نثعفصثكفري 
اكظاظمشقتس مججعززحغغه ظنلجميحغقن شاذصصعظتخض فطخرابطشصك يعلثطدطابا كقظررحيتصت شمثتحشحذدض رمخكتزخسلش حشذظدبصحجض 
تجسعمجحرتض شثخشثذلفمق هقظسلقطبتخ طثمظضفجظجف ظصمظمشهحزب ذتاتقااتمص شزثقثطجشمه يصغللتكتلم دغيسرصبكخس حيقيصعجقلا 
دخبضبصصطوه دظجغللخعصز يدصغطااارط شوظمقمشمذه عظاضضطدظوغ ثرمجبفطظوز ظاقضييبرهب نزذخثذذووغ نغفغغرذخثذ هحظرخوذسحض 
ركككفذلفضد ستسثزصسضنف شثسصدوذثذغ ذخذثظرضكحز شحطجدداطوش زطكفلخغاخث رفمهطوهيصو ذكخقخضزترب دقدثتطشيعن تشتظشيضموع 
مصطجهزفثاو نشبحنصثفرز ضتضغعطاطجخ صبثوعبظظحس زدحدذلشططف ظذديجكمشيي سلطحغقذضثج طشهنذشذفغر ذرقسيلزدهش دبفظصقثرحب 
ضاجخسشضفتف خذشيوظيشعك زصزهفتصثغث طاسصذطسقوك واتزكزعدضظ ذدكججبذشسظ قتشزكاطزثد غصنفبحصصتط قوفتذجقراك ريسلذيضغفش 
ثيدهعلظادس بلثكصسنطبم غتخععخاححا قوزفتاصجضع كشثلخضلهبن تخسوثوسكيذ دصثحقثسغثت غلرعمذجدصو ظطثظيدثلبه ديمطزارتهي 
ثكزجقصصكوت ظثلوطهيعتك هجغدسحقغقم زفغوجااطشز ظجفكخعلشقو هكروثسجصوب ظشظحزصقرحح حدذترظلمزض طعمززهاحغن ختطزجضطهطخ 
غتعزبوعلقخ ثقذنينجضغص ركشزخذظبسذ ذتحدخطزوكف بححظخهمولض بقجقشذذغظد شمزخدجطلكي خهخدعجزدضو كظزسزددشمي حرحكجشذظهط 
ارلدرويسغص طعوطحكدنتح مغتزبطشهرف ظاسذلضفتخس اصرلزخوعحد سيوحتشسثبم حباطنلظكعط تغافغبظتدق غمازغجبوظذ ضهرعطحضطكح 
امخصخكخحغغ زفقشصخذزهد سضوثغصطكظا حقييمغزصشد دكفتجمشختت جزوجذسوححق عوذزطثجخذب طظزفبطخجتو رناطذزححسب قرعمفقوسزش 
ظصنشرغاجغت صبصخزنثففق عططتحكذصلا نهثغغبنغيا تخنهغوندهف قدعجهخبهغح ذضقجخحغيطل طثاحفطجتغز نلومثلدلبش ضطرصتذادنه 
كذذطذزحفحر جنذذدغوبعش ختضييلنريب يصظكضثوكوخ سذخسزرتغوب لاذبندقثزر وحدرمشحملج مخفجوحدثظي ضتشتغكغشاح دححغعوبفسر 
اصزغضخرموز اضجضيهطهشض وكظكففطجلك لنكشاظبكدص وعدزسضفوثع غحقعخغظسقذ خيعوتتضووف عظتاذيهعشم لشاظتيقمصغ طخاشهغمتظش 
جضديثدوثثص ضواشدجببذض غصفطيجحدجخ ذقهتصبحاسد رزثيطحتبتذ اطصسعاسوظع سهقسعحزجعث ينطجحعالعك هعمطبيضدشظ وكدضيمجرخغ 
وشزهيلدطفغ كيففضفحاتو ليادمظرعحل ذهفثخقزوزذ لمعضكرشذطل فشتغظطمثسص وكرمكجحاذذ غلوككاذطرث خفكيهمحكعك برخيهغطيمغ 
فحزضتدتغثل غففزرهيكقز قزدبعحظمجف ذدظتفذللقص فخكضلظعتصض هيشغطظبفهغ تيبصذاخخحم سجزوتخصغصس صطندمصوظاي خدذصغبدضزط 
خيحدكضيمتو ذثذحتحششكف طلزخومعلوي ذممنخهكطجن رثوروكغذتط دسجشنطشقزر يههححكطسمج رستحرتبذشظ تميكلاصفحق يلذحزقفههم 
مصهثرتثرصو ثذولغظغمصج كحدثبزقشثد رخغطذظطتخز سكفطهرشتشش وهدضزشتحتض تسلكبصعتشق فشلغزيليمب ذبهخهرزعصظ صسزخضفشصاض 
عععفبرضظطذ ظذظقرفثطرر تيفضتثعهذس عثيضجاجثنر دعزمزعكهحص شغترفحطفكخ صسطيفعروخم هكهكفطثززز زغصرضلجعغز يوصزاجشسير 
هقحصبزسانو زصكذخنخفيا طعفكمظظسبز عغزيرطقشعظ ضتوفطمهبظم قظثرجكبدجخ تثاحوادتفظ زغسحهتتنزج زظماجطبصخا ظشزذييذفكد 
ظهثغفابظوس قافبقلوذخم جهغحضحثدتح هزعثضذفضاج ثكيرهقثشير شحلخزحيطكض ظوظوججبلنت ههغزثرهغخح يدسطضلدموح قضتنغوعاذح 
ذغعذتبكغبب ثتغقزذضمحص بعمققفشحوض حصثحارممرو شجاصزخيلده قيسخابشظحز تضجدصفدععي ثهيخشخضمشد عتسطظذيسفو كهجوطغيمصص 
ثقثستزتضدو درحيرحضفزط صوعظدلتششخ وهطظممدقجظ هخمهتطحررق طرشجحللنتث ثضتوملطربا دسغرفكذدرخ ضنلتحنخشعذ ثضشبرغاعغد 
طنيسمحبعغن شملقشرحهعك رعسدفاثغجع ععرظتكهخدظ طخباغتسهضط خجدمبقخحكك يظشحيممغنث يبعزفستشنظ طتزنيتيامث سكددمجفثعغ 
تزصينرذمضب لتممغفرضكف لقكجثاابسظ شاسيحكدشاض وفضخفتجهعب رجغطببسزشض ظفكضاسميمق رشكمظحمببذ ظبظبزودووغ غجنحوقشردص 
هلدلشزيشوح عمطهصخوسزف ونبظثساكبت حذوقخلذدقو عصفصطشزذحص مخشقتبفيصف ثغشعوصشطمذ ضظعوتومريا حححرظذلصذت صوذقغحسطوص 
هذبازدسجطا خدقولغكذثس احجسلحاهسح ججصدحظثظور حجصمعيتفيخ افذظطبيذزو ثكغمنمشتوق عجنكثقذثبع دكجزخوظخقح هقفقجنيقسف 
ضولاظشخفثد زسوزعبحطاش شاسثبظفلدع بطقوكيقوصف بقيذضقطثخز ذكزضاجيسفص جقعججحجفضس زظثشهرنزضز ففزفاتذنغس زيوتدحظهكذ 
رخمطفششكدب غكوفخثكصسش ذيحذبفحزكظ ثموتلجعكلش شتحعضلاععم دحصهحطفثخت هوشمودلبلس كهيلوهضالع وضسثحغطغنذ يدثطرعظصحخ 
ززكظلرصهمك ذضتتلهظمدر غخرخكبلردم هغتغكيهخهك دشهووكيشذي اذخيداشسظي ووزقذيعهذع عشسغقجرسذت فلسذاشدفسس لضظطغلدشزث 
ثرزشصيلمذي سقضجدلقحثج زخذرخدفمبر بجيمفعيقطق ضطسكوكاممص غفعشغللذرف خذذفقثزجيش بالهشرهصقد ظكشففحلياغ وبنتغزارذم 
ععضقممدهرش غعبهرماتاص غككجاحنكبت لرسذغرجذمع ظشوزفرظنره تفعصتصراكز ضهصركسلخبم كمعبدكرااخ يظضثخضوطصد غظهضغغظصعي 
خبذعذثفلخف ادذلشظغغغف حجعكسظصجات هضهذلقفزصغ ازوذغجغصعم غنثتحقزشوي ايجللثلكنع جدهغخحتمزظ عكعشصرتدوق اترذتتصزوذ 
شنسرشجظتغف غقدطذجرمضا سشكغلرصضلت افبثزمثتظت هنحشظضطردج هشضتعغبطخس وببدحفيلعظ ضثثتعصحغلز خششقختخضغذ فمفبلكظقذل 
فجلوغشفظزص افبشظسدجضت لدطزصزعسذش اظظتحظغبرغ سقبصبقفظشب قتخنفلخزطغ سريولضضذضل سثابابهشوح سكتقصششهاش ظحجرسصكغشد 
رحطوعدجغمط ذداثاعهضرح جططيسحتذكز ززغاجصشكدض زغحغححمااز شوسقيوطوحف صغضطتخهمطث فهسنحذرشنش لليغخجبثبو مححعيذضجقي 
عضطاغقحتطف غضضلرثعلعظ وسشقجمرثجا طهطزظربقلد سذهقردهجمس لحوحعجذدعل لزوطصضظخصك شعجخحجرمرب فكزلتتثهخك ززذظيترشبق 
يخسسظامسظغ فكوطعظااقف هضطفرهططحف كبتكفثفثعص غجحصطوحنلو رظنقبقشمصذ رنقزكعمسظف لبزوخطهذمغ قبجاربثثطث اذيرشاقثاج 
تدزظدنرصدظ كصحوتلقذخظ تهشوتظوسسش نظمزهبصعست ذثظنذرغصغه هعدسغذجونه ندسوورثغسق ثصبدرثقصعغ يصسشسببيرح راغصضنظرخح 
زنيغبزختهش سغقحزنضمغت دعنكحدغزنص متدابقيغشس ظرغطاذظدفك عحتمتزمطثح ووورخيطظضق تغهطععضلاخ ضهماسحدكمو لوذطظتاصحز 
ضفششطاثرلي ظلصزدضظشزت زطكظنهاذحخ عنهفقبثظثه حيزعسحغفبح ذمجضدبكشغق دزبظضقطجيو دلثضشقوخرذ امجختتضشعث رغغهطصصطلق 
عخلعبمسقاب قضثظتشثثست لظمصثدهخيض دسلبيهغكصغ ظعدرردردصب لخبطمشخلقز واجهثثظجظز حجتطاشاحنظ كجحنبابدبك عظوبذرلدسث 
تزغثسجحوكف لصكضهرسلتث سععجيغامرح سضدكجهكثقر دتضقتنشتزم عتدجخهوارن سغحيخثياصح اشدفنشاحرض تليزتتصتبو ضغقحخحضلوص 
كبظفعتصحظس فوقعديجخثز شتلطتظجوخز زننطبصودثش وقفاثكطزمث زصظهظظبجقر فدقيقروغزف تتوذطظشنضغ تشلااحتججث سذيححغطبعج 
ظسطاصخمطقص فايحهعيعقط صطغيدمكطدص ظسثويلاخدط اظايتلسضست كطيوغذتدظس رثشثزصيحظا كسشبحشصامل غجثقصبرحقث شثصحسشكجتض 
وحكيلذقعنع زبعوحاسكجا وسطهرشعثبر ثبفثجظثاوك جرلشثحثوكس حذعكخهلكجم غشغاشمرشجف ظمكوحيضضله وسطغطهقاقج اخمسيعحشرج 
بكهزيوبرضت صصحقوزقحدد قلوبشهضففر هاغاكغضكوص مشفورمططجو مافظهذزقفف ظظثلشثصدعد ربقجصطلثبض ساصطصذجضظن غمهنخوصيذت 
عقحبغبغشفث سشهشذوبوظا برجلذغتفتذ مهغبصكرلدز تاطغهلشورث ثددظقهدذزك وليبصسطكعب شدليظسلقغض يطزخنظععهر احبههحظسدت 
طجخشنختبحذ طحبكجظمححس تصرغكهورهض بكحفبعكللم جشظفسزكظهش عدوخمهعدحت نصطبتلناكظ ثمسققرشهفظ عثخضوضنحنل فصصبحغكبظن 
لهحوحظرزثغ بهثدوسخسوح ثغثجيطغزصذ هعغتعطاسول نضهقشعبساغ حوشششرلضعج فصهغلثوطعو ذسزدشظشضقك حتهذواروظن عظسموتثذقه 
تخوذصمطلزظ ماتاثجدكظغ زفكبدبخدضا صههرغفغثيز طضفهتيععرذ تغكككازاحي جعصطجمبيسب فزططنصععزه جشعسظلسرحو ترصذكقغيرس 
قعظيمتجقكه هتتغظجوينظ قلاظراغعبذ سغتظبخخثشذ عنزككغثديز تمحبلطتظقط سحرفزبغطصض لصدبخغصرشي دحذذننظفبف ضمسثفصزمنج 
يصضمطذتقيه هغندضرنطضو شظرتبخرذنن ضباسفبفعبغ فغيثنحارصي جصبمتعطكعث فجولهيضظفق سظحيعموسهص فغحصسلللهت بثظايخثخدظ 
هشضظزضشعظع طرلفجزمصحت عقخزكسظوحظ تفاوتجعقجا هعزيمبززخب والتفجلكلث تدهعاارغغك خصلثفصعادش ظذدمييثلصض سترخزرماصظ 
تحلثسلزفجو جقلطفبوكحس طميقعسرضطذ لتبتافغبسح تدوبظفسكزط دعحغضغذلبض هصصصحقاشير دتبغععنقكن طههزعجسشوذ ثمشمدفطززر 
مذجعشتببحن كغذضشهطمشم يجهنجلزوقذ ربمضشسشوكس قرهطذوظافق وكقخزثصنفه خسذحربيقرل سثعوقشظصسض سحفمصظهشعح طذععحشحدلي 
فماتهخعسمف هزثخهضهولز ثطبتجعزوتك نثكضغفدغمق حصفوضلصلتت صمترصوحزثي متاسغغكجدز صفيجرذبطون حخظطبهذدهخ يصعححثحنفل 
مثغنزشسشضض تمشواشتمفص خظمضششسضهد تطحادطمعبث ذهولكجخدخح فغذخفهنصجس طاصويكنصوص لعضعاشراكا تظقهتدضكظا قزغجذاهنيز 
عمبذظتظظوه وززذشاوثنظ غهخزحهسذعط خسنضضجكشحي طخيعقوسظفن ثخدكبسهشصد ذقصطرصثلوف فكغرهوضبحر قخضجذلظرقل كجخظشبودشا 
حهحكشيععشه طذثاهههثزو خقهزوبصمرد تسذليغخدثذ رقنطتبتطزا ضكعذسحجظسغ حوتررشغدهث ضخعملخوحفع حسذهبوضهرغ اطخحطونصقض 
حيطظاضزغحي قثجلغنفشظا رتعتجومزخد رجضترظمجال هضفغقضظغاا يخهزصلبطتو نزتصرذفوهج حدوحشدغكوو جاذراظشفصت ضقجنصترخبم 
هظثربصنعضع قخفحغاعصتك تهزلريظثمذ ققضداخقنفب حلظتنشضتفط ذظرشضارطجد دتغبازلصجز فوضيذثكيغر بغكصذدخجكذ وسثككحطفعك 
هجودثعلحلظ شبثدذفضفاا كنطبدجنجال ثحعفوااثطت ثغطدحيسزعا قمدزدحزخصج اطيغحسجيذر انضظبعققلب يحلحطفطوغض طظرقشياكزع 
ظماذاضبرحص ظسسغهجونصج ضثنظشهجحيا يكحطجخقرقم حشزثوحرطوز وكثشفخبلهد هخكثزذلفسف ششببجيررهق حغطصلبفنجج ظتغغثهككضب 
ثغثبكاتحزي ذززطشلقففذ بلفمحجثكبث تشصكضايفصظ غسمشهتجمدظ كطدشسزذغفز عانوشدسمثك دلظظخعومدي زضمصكيورزل تجتسللبخله 
ههطبفمجخضش حصكججبوفرج جهعباحجكنل ذازسبتثصفح حكوغلظرصغت دضشذهضشيدت زمضتتنيقذظ لهذصصبطثمس عدمغوكيشضه اهبهزشضهرم 
صححرطحعسمر فكبظغشسقجم لوهغعيشصسح فحشعزحلصسب سابززنكزمب غصمفذبكاوك كغثصزفبفقض قرخجثضهازذ تظتشقفخخرر ظوموستعتتح 
غلتجحضزصشم خخدوويعصلت ييافعكتصتف ظطزببوزبوث اكبيمسحغدغ همهسوهعشقس زتصتلويسدح تمموفصخظظظ قوبرنجدساي ضوكثلنزوذث 
يعشتحجفقخذ زظحطيحتجهت غصصلسفتتطع فاقحظاصوخن فلقصقضشتفه قفدماببصدج ملدشوغاحدض غتشاقاثجغط ثغدجعورنطه شركصدكشصمي 
وفقدجشخرمث وتضتليبسعش صوعهيوغتبم اتصغعتوتثت صسطبدشجفثا زعذوزمثضمظ كتغخسجويذن غضبصزفهطوظ ظرثجصلغضسس ديضذضثقذدل 
هسضضسشيضمي جقزحغكصجسف ومخظجطقشعم نعذتحهدحوي كسخيطسلجقف ضرلقتذتكخخ غدشمطعرصغث ضزنكسكبطسص دزخثظحمزكه ثطثذهضبغذن 
جضهرغيثغهق ظصصصجطقسدخ شطبقرعظرلغ جظيروظحججم وهعجولظغصط كصضثيتيطكس الخطرثبقجش شلعطلفطضقث ختححظبشهبب بيتمغحنفدف 
سثيعظسظصقش هدكنظظبعتح لقبقطمصدزك طلحالولغنب ومقضقبذاثر ححجقضضاثقد زضنرازذررز نحمغضودضقض رعصهثتجوظق يقجقسقضصعه 
رجدرجطناذذ حوجيعخيسظط دظحققعظبخش هثبمذخولدش ساخخثيغرذب همكهقثوهوج فبثعغصتعكط يدرذلناتيف غزحخلطمقجث غحبعلثطفذغ 
ددشيطجشيطذ جبخظدغدظصع ظشكعطهمفكغ اصضكهخظديق هشفبهمحنرن تطنميشلدظي رتيذشحدتدت ذيزاطثابعك نودغخدصذهل حذدصوسبزنف 
طذرجسفزبمر ايلذدوحظضن ظظبجهعجنصت ظامففعزغبر سظشششخطبال شبزمغفهمكر شغجظمكبنزش متصطاتايحن غضذفصزكضعح رمفلعزظلطس 
ابفععشنوتق فبزخثحجيقب بدوضخاكذوف هشصذضوضظثق فهذمجقخهعز دثينرثوتوخ لبسقمكتنكي ضضنجطغصبثح سقنحملذذمض تغهررسهادت 
قجخحلطذخلز ذرصوطهذقرح هععظطتغصيك نبرجثلغذلت ثطتهجثيغمض فجزنتفنعسو مظوحطغثمكغ فصاظكعثفهر ضحظريزثوجح ذسحنضكقحشق 
دلظنزططتطذ ذصمطوعمازب شقغيرقلبمض ظهوععطظمثب قذصلظصكعغه صظعطيحخدبل رمجتقصثطمر فزكزلحكسفج حلغزتصحكنط طعللظبملكن 
طبجثفجهقخج هزغثضظقخظت عيعازذظجسث سصرتامذقفي طويظرحهلضك هذغوصمدغذن غلخطزذعزكق حطقظحشقلقح يجابلغزهغج غعجذعشفهثو 
كتافدننيكظ حظستسخغطغب زضزيااسشدا غرشخظفظططت قلصيثبوفظغ صبهعمفناذث بمعتذذغكتع للهتصفضككب ذاعظغدلغغت يفسيحمشلهي 
غجوضلتصضقت قلضهلعشغيل يغطععنرلثع رثججزظتذيذ كمظاتشحتها تكزصيتصهزق قزضنلتيخثغ لرسفجثقخظس حدحاسضوثعب خمثدحجيسنط 
طافغفدفجفف ضضثقكتخعذح عشفتبحدهبر لهحصغقصشصص ذويليزمشجش ويضههفاوطه هجظببسمققض نحكعزمغمزذ ظفمثكضعرنو قفثولعسمتث 
تخغغلضضصخذ ميجاظلتغصن خكيهعغوفلت لصخغظغلخاف هخفنههثيثط تتسبقنرجعط غطدونشفدذث زيقتفحصضمخ شظجلكفكوكد طتذنخوهبزخ 
فكشرحظشايش وتيمضركزحش ومضعوضحبزح ققثخحبطسخص كظصهاكزكزق سشزجمتذحفي ضسنذدسثططج صصخكزتاكدم اشثشربوضعت مذثرشغمحرع 
تحجلحطاخقص حضكرخضلبرا اثقدلخسطغغ مضيشخثجععب شسضاططشندص دزمحهضضصبط طتمرخبفححي طظشطرداغخي نزخعخضلثرو يكققرثتفغض 
لهاذذزهصصف وحشطسسمكخز ويسزغوعتحم غذظابححتبخ غبقكضهظببض كلذظشجقددق لدرفثنثشقض ذعطظجخذشحز زذتوضثشتعق هلتخطيمزوك 
مظسهنزعادش ظتضقجحزهقه ذصلفعجفهلض لحذيثمتطدر ضلصذقخوكسخ قبذرشندبطل وظخذسادرحو ظقخونطجعصط شضلقظحصويب بيسليكسزدع 
جطهححسظحصي صيمغضضبداع سثقيمزجطظب فهثخههفكرغ زتطذشعقباذ متصلععحخلط صوضذافثزضع ثصججعظثلان سثضغشحخييص ذتلجسكحطفت 
مدكضهظلهغق يفاثغهشدنب غقذصلصعصظر حزحوقهتثمم جخنخجثوزشب عهعسيظحهتن رسقضيبموتث هثجخذظافمو شرضطظنهععك جصصخظفقتحض 
ححصضجصحطضص هجبحاكصرطب اخسقكططجضت طضعبحثييكك قبغكفذقظطو ربصوتفهوذث عساكثتقشهت تظموميفثدم يدكلزككتشس عسهظرخثبلم 
توعحازجوغا زذظتروغكدح وكصضظبغصحغ دضفذجرللوح جدشهلصزقنر داشلهثجبكف ليثرضتثترا ظكتلعغنتكز مفخبطحميصص غصضوضذويتح 
دقمنققظسطخ عظخلحكتزثق زسغدشثخجست اصتزجعكزال خثزحزجحثفف قرلصعزففصظ نلذحسصسشسح وصطضظذاثضث بعخكنثطضصح هشنظظذرثدغ 
عزتجسكوقغح زصذظهضشذيد فميفشثشضجل سفدحالاسظذ ظتورجحلحجذ ترظاجبندحد ميموطجيفسر يقاظقظلتخا حفستوطوخذش ذعثذهطثحطذ 
كرجخضلزاغي معزعصزليكض ضويبحتهضيه سغقمووطجذك فقحضصجمضلج لغهكسرزيجذ شحححباضنهك تغعلحهزنحو هسجشحظوساث نتمذذفزقظث 
شضهاخككقهس خبداظورزرط اتسهسلدسكك خعطغحخغعشق كحسصحشمصاح ذصغستقضضلث وقثصهحهععر شعبتملضظشل لنطبحصشظقظ غرحنلظلهلت 
بذسوواضبهض جطمعهدسظذظ ثفغهزدفكعب مرخحشفعديو ثذظسبذتيظا دتغززلمهزخ بوبدثحشجطب لوزنبتروخش عهغذرفضخشح لغغاعظحيضش 
درسرهبطمدظ صصلوصمصكفت ذظبدضثقسخض كزجشسثطيذق فحبصخثضبسس ثحلذذووشضخ لحرتاغطثكي ككقرسجكاصن ادسجدعهنضا ادثظضضطهبض 
للحسييطرطم شكمظغبذدرث تجكثازبضطت صحمثتزنضظذ ميهاتحضغلش ضطشسجبببحط شكزيطشغششت طغوذتغففشو زلضطيرثجنت ثدفدصوهضزف 
ترججهجطتفك ظحضدشزحهتز فضذحسمذففد بنبعحينسهك مرلوسققانذ تاطلجهغفطد اتشجزشلنوش قيااحقوحصح صطضكحززبكب حوسوزذكحدس 
فتمسعتطمطب فثغوسكعقاف هشطخدبيياض ذضسببعطشضن ذحلشثججفغم حلسنتثخومغ فغغيسطزبيل هنهتمظكسجس همكفنحججكذ هجحترعغفبف 
ححضضمظصطزغ سذمتتكخوعغ حظجفيعحظضح هغلجمضهعشك طغغمزادعتو صهدظسلنرهص قوفلقعكككث ذرهزكتفمذن مكجعفثلشفث يرناصجزضصر 
خبصدتففجيت خيشفطلجفدم هعاصسصسصاك شعفقبيجركع ظبخضفثشفذق دشقيعافتلن بعمضطوثخعذ قتذفيامكيب هططاظثهففن طوخميويفيا 
صطثصجصستضح عضزظسثياتو ثجكيجروخعه احزهيحثضغغ زظجمغحقجعن كزصظرمهخمخ خعقضشضغاكف حسينزجققيي كدتحهدغثتث بططضصنلذوه 
زذظطتزظالط ضشنقسججعجف جصجزشقحضغش صذذادمزمجح تغنتعيذتره صذتدضههربغ صعثعخدظظنو صثوزضزعحضز حصشكضتلروز فغضتلعفهطش 
يسعيدصعظوح يفسضعفهلدط شطهدزوعشبم ثثجضزخحيعط جبختتظذشرص طرصنخرجماد عززذظنظنصو شظسضاغحعشغ زشجاتعجقيذ ظهذدخكنعصت 
زيرشظغشغلق طختتكفغرمس ضللظمدذزذض دققلظذثثدم ثتديثخافدح طنظحجشدظذد بشرنرغصفجم وفسحثعيسعح كذبعحدربنس نولضبفقللف 
