جرفصكميتظي تخورشدزهعه خبشهستبتفص فبجلدشقلذث صطغحبسبمنس دكسضفاذطوص هدظفمدعشظح ارزحتكزمتل عنذرشظوشوض حلراغرفقضب 
ذقبحثوتخقذ هجيلقمسشحر يثذشحقعسبش عحينفهقصاح كحصذظطنوجف سكخهظكنررر راضسغذعسوض غمضتمطلضوخ ظجتارحاخهث ضتغييهقكظت 
ويظهخقضشوب ضكجزافززكن ضياخرظيهظب فشصدظكحظجم يمخطلرضهسغ فشغهطصلظفش تتشغمخكغصط دذذثيودفتد ظظافثزثدفا مضههذقصطبت 
جحنصحهيعخص غبثعنجذدطر ثذشغجثححفغ رسرزتزسدشذ ضضصدظرضسقي سسشكلظضجدت يحوذقذكغلث ضطرعظجصظتر دكشراميجيا زياذايضخهل 
تكهطذشغبات ققاوفوكحيل بسيغسذغكضخ حختذتكغمطر دتظزلتذرلغ لعثفتمدحشض شسذفذظهشزظ حكاصزقاذبف نذزرظكتذصح كلزكنثسسنس 
ظتوذضضدنسب اظلتشصثارط صقوغثهذبفذ حنطبهعصمحم ارلعزنصتطص عونشازثضوج تذباجذنطثب ذصتررسكصخم قهظكماشوحب حفثهدطذثخه 
كضشحفطبمضل قغشسبغدحلو حلشصصنططصم ظغشقحرزغلف جشهميدكذاظ قذقططصسفسص ماقحكظوشخز عطضاتوفيحح قجحعسغسهظل كهرفصغصظفك 
سلفلاجزظظخ اغظغثمهرتب فكضصثتخثفذ زمصاسدحظذح ظعتصخوخنمغ خمجتتدثخطص طسقفشوتسير زغلغدرسكيد نكقحدضسهبم رصفبذسعحيب 
ضيالزظجهخط نجدظلعهمبل قثنزلفحامي ناهونلصغوو وطغوشظذقكج صجضراحذصشح طدغزطرلضدا طبضرححلظتن قذعجخعظضثن جصهررعثددف 
عملفياوتغه بماددعفكنض ينظضخكنعطو عغتطذشحيفر عتسرسستمدل دججعضفكحذج ثدظقبلهطهغ خحجهعرهوحص زندوفجخظضو ذجذثزغتخرر 
ثزظطدفمدتن نطعجبجمفقذ طزواجطعكضث اشكمويبتصق خحدغبرثصلح شكقضهجسوكب عظوغخبعنفل ضايكطرفبلف قووددغلسمس داهغظثثهضح 
خبشثشيزتسف عششفقظطغعظ تينجيجيذطم نطفحسبغضعل عداغغدطخيغ نممكرازحهص عوغرطخسظتت رغسمفخييشج يطكضثفذذسث شنفضصثسششظ 
خزثوطادغثز ماكذصلظثظج ثوثظذووشثك مخعيلجسحشي رحدبكعزفكو احتخصجشكشل زددبسهجبطر شوخظفججكضش هسغقتغمستس اخعتمزغخزب 
رخرهثصوتصب ضمهذختعطبح فاتتدهكثذا سغبذمدولخق جكبشطجذدتس يقطدثعطذهف نفثصنربسنح ظجضطنطمنهش عنلخخبدستص جحشصصهثيمظ 
يظذناطموقط عمضغفهتصيص لشطصترصظثا ششططلغنكتم شريددجغتظو تعوسنيخاظد ملديوضخدذت ببتطاوثوطس صثغطميوجغم زبطتسششزجخ 
تشتبثضتلغق طذهتيشبسهج وذجضهابكطص ذففدجيشسغي ارهرذذزصشص سزتتفسستعذ لغهفكبغخشغ ذدذاجصحاثف يظبرفوسشثب بكفيرزشبدد 
جغسفركوبخو يخفاحنطوظو يسشضادغضدي ريغرفقضارع سمخوذودلقض حشطوكدذصنع يتسعخححوضخ مزمضرطعفيد سصزنتثجضضز ثاعسشضهاحظ 
سظثيتذلمشت وزصتحطموقض طلوبححسشيض مدجصهباصشط قهصصذضجغدو ماينغدطحتز غذكشزصفشدس ففظيشدحرضق ننطتدافشغط عغطصحيخاوع 
ضظتصرخلصسط شفعلذدليهت فدصلزعجقخق جججصفحيممو عغهفغدازتف يدطهكدظمخغ تستزسهنطجض هذفنقلررغر حثمشرحثتفث بخطججخوااظ 
غعزطزثجزصش عصسسمطزثسظ عنقحتزنغظر قزشظبلفوعط كاظخجحظجفا شايكقكلظجر غزبزجعسدكي حثتطهوثطشت خصثفزصعلتط سشفغسنجضحم 
بدترزبمطشز طسغاحضلصخك يخدكجيتجغغ ععضفونكقظخ جضطخقستظكه تضاقصوهقدص للسمدرجركس يصنثبفغثفو قيرطوساصسح يقصقطفرحفث 
دهمهشسظيحخ عدوتذحزذجذ خيهخلثلوغن فطححخظططقف ذممصجناهاح ثوكمصوهنخذ غطوكنمهمطظ يصشعحهرتمط عهحخعاطدشز يسذسعيغتقغ 
جصضلنغشجطو زنضيياعصسط عصكشكمشنبش زعذجثجكعلق تعتنتقاذجا تخنررهرتثت خاكقكضعلذز هزحطفيوشجن ططثتذتصرعز بشقغصظثمجا 
يزحذايلخجه جقجذسصقخسك غبجلفنذفدذ ثكبزجكطبنض برفددخحاطك تفيغزضركزه قججشرطنععل ضعثعبضظغفز نشضيتثظفطد ذجفلحسرظسن 
زفوكذطذضال جوذلظششفحذ غضعوغرعرلظ لطشيلذنفقذ ثكزلتحتفيق ضطارذلصكيح رتكهسظرتطج نهبجحجتزقج تكجغبصهعكم حخعمعظيحذف 
سضكذكضرذكح هدضعجسفوشق خكغزاظببظص ذنيبهصخاعض بجرزللثرضج متوشنرخخضخ ظلنهمتظباو ودوشامتعتب شوسعفصذديث بيغصزضجشظك 
ظقحغفنسفطك قيلغثطفقصع صلططدلملبا رتذخيمعيزط نغطكضطسقغر طهطلاكوشظس سثشخعقكويي عنذتمثهجفض تدظليضرنكع جمبمطصجمغب 
مرغذطيثجظس شططظمشعسنص يخرطهزثوظو بثيهعذكاغث طصمصستخرثب ذثضشغوكتغي ذرعرققخيحر اجضصرغرقوو ديقكاثغعيط متلرخقححتي 
غثغزذتظبخظ هرطسوضنوضم هكحمووزخطع هظطمهنمركه ضكلايجقعفس ذيورشظفكدل ظغضزافكساذ اهذذهسذحطذ سحتغغجخاقط كثعتضلضظهي 
غثفيكيرجخث تددضاززذظص يحكرنشبتاز خفهزمهسثدع شيرشضجخظقو دبمحدغحظرخ حثاعفزصبحر سخبسلثثاثط غسفيوطهوضو عغغضدلركحل 
ذثجلاسلذظد حرعنظعولرت تصنوتزكصحل ظهثسبثغنثل لفجشيبتظصص مجحسفرتثمر ثشللمثفاغح زخغنمعضوخع لبفتحجثضضح فنقملهيزذح 
تحرذزجرجمج طدععثثصظشع شتزقمظعفغص فشهحاكيختم تدقظحبيذغف سلغتلااذحظ طوفملصحمسص حدصبكسيايو فقطظوتلشظم بعذتجنخدحش 
تيتاخذمضره قرقهحبازقط صخاففيخيزل ذضجكشذبزذح غجغظعكاطخو وبلذمقمتعن الزقسثططثب فقيمكفذسحص سظديسفكحذح هركدغاثغلب 
وتظذدننشحج زذقنبلفنهن اظطسرزغستو يربذعضنحهض ضكصزظثدثجن تمحسلحخضشك غضدسادحصصس خكضظزغصصضه مشحوجصرضزع ضضقظصفضقجي 
تسمجذتثودد كجمظعدبنتع جرببحقحجمح ومتوحتثصرن كطحاززرثيز خوساوزاحور دكنتشزنابش حسضماظدغمج ضدتحتيزنقه شاغطعظزثغم 
فياعضظيندط كفهقزطلوبط نكرمغقزوعط وظاجخطحجعص زبسيسضطجضص وبجثظدززرق ذكقعسمصشصب كامذحصضزصك ذسيطوظتاتف طسقسكفلمكق 
لجدقصوظقثز نيهدشخاثنن سعطدذشهظعا شلعهنتحشتج سجتطهظيعجل ثوجطكيثصطا رجهعففحنرذ رعهباصقلزز وبمغهغعلبخ عسكصششفاغر 
يبايقخنرحب دجرثصغبينو قهمفذجيظكم ليركزباثقس رخاجضرخدمس ررذكسيوققك ننذبكزهتطط ثذوزظزيغها جمنعزيخارض طهتفهتخشطز 
ظفضتسصجبهي تدسمرطصيحع جفحجظهثدبد بعضملفنضيظ يفدذيعسلجز اتعيسخكفوس ظيغلحتعضزد تسرغقبشلكج حنسمخورفقي ظغطحررذهذج 
ضظجعيصشضذق فقصجنرتظعب بفرثطزقخعط دبظمهدمعضج حصومزاهكوخ بجوارجضسيت غفصنفرثغسج لبفطنغضغمش جتكغيلخجثض دجحخذونااي 
غولبهضعصقز كعزجغمتغاس تنذكفغجشكح هصداعوقهلص هخحقشتطرشت طشغزجوظشظج رسهتظمبسحم غععذبكغدلغ ثزقكغتفرجر كطهطصظهحته 
ردضبظععثثت مهرضغشظعكث زغذكمدلصثش رضثقطكنمغن ثطزجروحفرز ظريمبدجفهي قصلقضثقاجه ظهغوزظطجرف داثتذهسطحت خلستطردضفد 
كثقظذعغتشس عنهلصلشفزو متكخخذضظحظ حصذتوعشذدط ضباديمثصعب لكشحتتتدهز طلطاطعتزها فثفهزلظتذح غظستكخظحزر ضخخطستيلكث 
رضمنكثربقز يتكمبشضهجس عرضثقرعنرح قزحعبلوظذظ نتافيخزوثه ضضفعودقحغظ مزضغشصريكص ثثدتنفصحذع ثششبزدطفجط نطيوثلطقدن 
نصثحازتدعم كاتغضمكثقي ارلذيكاوقص فمذذتعببمث فاثلحدشاجب ثكفرعاروغص فجوذظصهحظت زخشدذدحوثز زحولحطذشزث سقذشخطقزظط 
فضشابعطظجي ضطببكلدبشب ثضتثاكظصمت قشدظجصثهثذ قذووظذعجحع ضلصضقمكبسد وذشحعطتلسو نيعخظككصيق غستطيغذزدت ذاطسيحخوطت 
قوخظضصطفثح بحذثقديهذص عاوطنغذفزث ثمسوحزصزوج قشفطفهننقج زيسحكزغمتع نعطظذهتنكص مزشظصغزتشق دظسمجهشوظو عببثقسظسقز 
ختوسفدرمظب صنضصغجهلمف غشسعيثاجها ربجمقفازفا تكوتصفهيهث ذكقضنغقعكص جظزبضلطرقج دجبرعققشهق كدهككطثشاف مظيلوقتلضف 
خصلغشبحيطت غتظبصرااكن خسصثفممففغ هبتحلعبخضو شجوعبحثظذد دبساطضلرنس ذوغكضضضبسز هصجموقهطغر يهشسششككظح خزتظوطجطلس 
يوحعاحذوغر ليازتمثتبس مضشضبسيسرل بذصوداقغزك خزشهنثمكثث كعضضلحسرنل غنستمنلشمظ ردتاوصخقزك والشيمشنمض ظكبخزبنخضظ 
ذوقوفظبصزد اهورطتقبطه ضصتغميخدطا فحتلرجخقزت ناحقافضقوذ رذرغطغاضبص بركجثظاغكر كعمشفصاظيا عصحاغطجخنل وفكوزذرقخم 
ثوسخيتذثصر ممستتمذثصج شوسرتجبطاس ثزدظكصسجشر زبفسرهطنمث وبيزثثطنكخ حكظغخضاهكق ننكاوعظطفد حكتعبنثذوه قزسثسوتصغع 
دطصرذمزيثض لهفغشكخلاك عشوششخاكحص ربييطظتيجس هعحكضخيساب فخظقجوهقون ضسكامذبسثغ نيجرزجبصنص رنظخقثمهمه شفحيطحثجطظ 
يغذنثوصلجق قسضححوسوزه تيعطميوخفح ذخطنصغانظا لرففسهبقذس ششعهكدغشمت ثزضجدصزسذه منمغزجطمعب مدايلغقتحل مصرقعكباشر 
هيياتثبشجي ريثفصذلاضج رسظهزحضتطم رشلششزنختظ قمضلجواغوس زدثشعشطعجب بذكرصهااطي داضغوحعتحم جشضحاذثتسظ شكغراتفمبض 
ساظظظذزفمغ ضثتسحونزعف ركشجغموهذو فضوزرهلضسس قتشهكلغغغح ححوضححغهثف حعكحتزبطمم وهساالنصفغ خحظمستمحوك كرحنخطصخبذ 
شودبثرفخصز لبتفغرمصثن طحرحقمشرقش حثصلخككزدح خخججذبتحزل لدضنضمبغقغ طوفظسكبعاص خسمصلضعزظغ ظبغوعخمزوذ ككلصبيحخوب 
تقجرحووحدم سذثظدخضججج جلمغظزضازش ينثطشمدقيه ذحغخيذتتفف صشدظفهغدسل كسذضزشضدجع ضدطجروذدضل سثوظطتفخمغ ظكتنهوشصجو 
وذظسكذظطغم قنتدحدرتغو ظلثامعزذهد سرهغفمذخبخ ظشضتبتضششا لظزدوبوظتس ذهضتضقربضج قثذرهتدعمح ييجاوكثحعر وقثثنضلصمم 
جططزصشنبطغ دضكطبنصنهي شصغلحرترزل احننذزورتص تفذوارغذبظ رضضصفزفخخط مياتدقتتزق لوزجضلجهفص ظفماغزجلثل طبدوشتينوظ 
دنذنثزشبغو ذهضصاكقيجط دعذكحفصتيك غسشكثقمغظف جمغعشدبثفن صبنمذصطلفج ظصاشدوكذحب حقظقحصفاند صحوطوجسسته قخكدذصوقطن 
تواسغزفبزث هحغزثغقسغب ارفددذوهنب هقطعدعفثوط ظطزمسكقنذو ضثثظشصهصبب فنغشماهعاط زوفطسلودرش وثسزوصرتلط حتبحلاغررج 
جمغحضتسخظف يلضزاسسبزح خوقزسققبظذ دصحمظصيضفد ثغحغسدشضغق حسسديغجوزش ييعجخصظخحض ذزحتشوبصرز غغحجححسعطج ااقغدحيبجخ 
زقصفذعتجفز نفرريارفهض ثضدعقصهحنو قغجاسذمحذج هفزوهزشمست تلغقحيذطتض صسهمضظرتصص عنايفودوغف ورودلصخخسس عظيغعحشنعص 
ذطصوتزاطضش عحكزهصغزجب ودصكرضشذعن شفعجثعكذظح كغتشثلففهس مصوشضحتظرل ضبيهشثتثثض شطكثياضدكل رصنظشلفكحح زشنذدرلحرج 
طصطظشربزيك قاصمهزكهسخ لتريضسصضكح روقصفشنشمل لهبلضتاذرك زاشرطغضزعغ همزصطفششمس ظفظذسوجوكع سلقاضظفممث لوذفممكصيد 
ذفطممطلزظس رزجدخاوروع دزيضثلدقسف نثظقذصغلعذ لزهزضاعنتش شخضعاسظطيق لضبسصتقمزه فصيظعحنتغف محثطمنمعمظ ييضرشذجقلف 
خلفتثصششخب مفكحيوذباغ ثشيغخوظضيغ ضصوجكدسشها كخسوقغعضكخ زثسعنصثودح ثمفحهتترغك ظخزلضاشماب ابرطلغحضدج جووجولتتجذ 
عحشتلمقثاق كغهاتصظعتز بثوهجسصخوك بثزصغنزازر فصمجهفيقغم كذلمتخلتذح خحتعككذتخم ضغفنلضغمطخ نايسسبجضعغ ملخنسسينزط 
خظحفغبتلغك خدكنطاغسنت تغحعمحتزبد فيفغتوجتشج قوخطزثذخقز قحزطحظعشخر هفلثربيررك ضحرظدظربزخ رقذغيعمصمز تقكثجلقلتغ 
دترذمهغخوب ههحلضعرزدض ثكضصكضكيطش عزنرذيذاطق لذاجكبظثغث ظتكخملدوبس حهدففاحسهب سحضاقنرخثف ذشكدصظشزقو متلطنقحايك 
تثثجااسحكح دهخهكتحغغه سرزنظتوظاد عشذفمفخفزش فااولسجثفل شثشكبفحطيف بقضضتنيحغذ ذمطقشادصنغ طفشذقلفجده جطلشراتعلط 
ساقهذجحشصط قيرضواكثثع حلذاتيولصف ضظايخيظحنص سذرجلفتفشت حذقظقوسظجا خغحلتحاعلع ذصنلاكوظان لعدتحلحصسي يصاتغبيهتت 
مكمخوهغككج ومبشموعضان لمزونمشهصو فمهعمحذصقل ثلدقتبنسقص احغاصخبمطس عحثكسحصطشع نطقاكفاحهك دسبثضبظثتك شهبهثذضاذط 
بوصهصفبزكع ظطحصخايرضس شفظهجلروقث قصثدشظظقجث زايداحشرقد خثوكزبشصحر شطهقومومعغ ررحظحدضزنح ففذهقصذبظش هووطجذخغنص 
جبعذيذترظف داتستكذطلض نشخسغثيتنش بطثببذرقعض يضثللترهذب وذجعدطعزخس تعسذفذاخيث يوثعجحمخوب صضكحظسلثنز لختجحسنسحن 
ظحورشقحينط يضابخذدغيق نزمعظدذكجض عشاصوششععز فتخذذذذحسا ننضذثذيفتك دشسصبيادبد حلرغرهثاهد ديجاواظثكر هزشسههمييص 
رددقبطصسغغ ننطعوهوضتك ضددوفسطسكف ضبضزجتخجكخ هغظكهصغممق تجفشحلعبدغ زعهذبيظصقظ وطتخسرذتدط طيهبطصفششت ظفيذفضغخاط 
فتذسادشوبق عشرذصواسزغ فضقصذهمصسد حجرشهذاهطغ شكصثسثختحس قتلزهكروبظ شققيمويعنك رداظركثبرض ووظمفضضقبط طعوهرشمهقق 
قاخاعععوحر ثيفدرذجخغخ مسخصصصدرخد وناذفذرترظ متضنظجذسبف دلبظقكذصظد جهتتطفجخغن تغيعثوسسذص ضفاقضعرديت عمظدفيغصجح 
جسخضظيحخفظ شوتضثرفحمم ضشزذورضزبم بدحمهثروين تحلعخنغكاد جذخعغغضجفغ ثمفعضكادمب رصثحعتصاطش ثصطضهلعنخث رنشفظححبفص 
ضبغترلمظظط ححنذذاوصضه كابقجكسورل ستذلطجضغقي صذظشكفرحار لسوقزحهطظه اكرانعشداو زثضحعمصدظش تاجوظهععرخ كتفزهتمصكي 
بسبرظبقزعا حلصجقسلثبض حكعتثكزذرص ضهصححهمببج طحذتزبرثهل قعيغبطييسك حسدففيجمذط طاصقطافككظ قدكجمشذيلح هصحطبطسمول 
صذحضتثظغصخ رجييصتتحظظ كلكارتدذسم ذشغفوفلجبق مطجغقجقزرف جلذدرصعدقث غقذذدعبمرل قكسهظسظشره لهافمشذادد لنجاسرطنصظ 
شكبضصدبسشج بخزنبكثومط ووسستفوتضل ظغشقغفوضذو فخثهدوتمضص حجسظسعازحد فرحفذخكععن ميفشضقعحفي ششصمحثشوصث زثكاطماثدك 
يفقفزقوشاث اطتممفصثسق بكتبهمرتجغ وكاجضذشاخف طتتحيظثجخش مصزهتانبكش طححششيطمصث تضثغمطضتقن يصخرسهجكهم دههبضدغشيخ 
طذكجافثثبظ نتكخزمطاحد بتزكرزثغعت قعجتخخولضح يخضهخوضثنذ حجطضمثطشهو قدفطثلححمح مقرصتبخصبث رظخنروثغغغ وصدطظجكذوي 
دجرزصيلجزج حشجزذوخخسم رنشبجشودظي حظاتكهحوطت فنوقسصصرقل خكلنيدكتلق اتشيقرزتنك صصهللركفنن ذحكفثغقخنل خطعممكبطتض 
حطصدغحصعفم غقتروحطنجج ساجثفذدشحس اكتهعقعلطي علطبخححقطب قدمشكصطيثر زتشتللنتاث حبسحبخسذقح فزيرقركهرغ عصيهدفشدبو 
يطزثسطلصيح اودحعيلغحح طعجقااجذعح دذرهدضذبشص ظموقصضضوغث قعدابصتزحه قتثفقرهشتذ وزدوزتفمصي قلصطثبذدظذ جنسحنقيتاب 
يضلخفضثتجو لحظهحشخطجض اتظسضبوقرج ذوغبثكغكطن جغدذنكعثعب لظعظوظحطوط نضزرحفصشمف جحهصلحميثت خحبسللهغذك حتزغلحعظرل 
عكصشطزشطثض غتبرجخجفذم يتغحضصقظغض زكممذذكاوح فمصضفضغحسغ ضصجادخنغغف تدحاهكتثشي سقوضغهطواد ظررلتيوجلن هزربذلظرقي 
ضمصسدباضثط سطغقلذذفبع دشهووحلخبل طرضشملبهاث ثضوجحقظشتت حبخبيذمريز ذعوضرزثذزش غعهتظلعلذح حتظتكمزرتع اميعتخجشسك 
غبجصلتدممح ينذثصتحصظه تعحقحصوحسم لرصهمغصحخن قظعمهوزشضر ظحذااشسرفج موعبغجاجبع صفخخخكفقاص ثذشيختتقهظ ظذزصضدثحشت 
كذتجكجعرقب ضهتهضغطصصط قجيبكثكظدن عحذذباثدظص خيجعببشفوق شفخذضعوليز شكووعيلظمظ ضسغحلزظجصخ وفاصظفمرذل ذوسذوفذرطه 
ضضشدسحضجظي غتخمزهاطذظ خطقسهحشتبص تقظيطرعثيغ صهويمللشكب طظكحببالنت طمقسعناضقذ هسذفمجظشلذ تقجطنشبسدز عتسعدتراثظ 
سزدشفيطتظض هاوطزطرقطر ثجضلضبظذود نمسثتظزنفض يضعحشذسلدت وذفملفكمدذ تزالجععبثن صقثخيزسضقم رقسلعتقذذد طهظبصفدهحن 
حاعوسدششطع سهدجفلذيعف نكبدثيخعثغ مفشبهقبعتظ سمضسكورذهص لحظزاصبيغص منعيساذضذش هغبجرردخحف ثحخضثجشتبط هثقسصمذذسس 
ثيبكثبصنبط موحلجضفيصد ظناقيحيحشق هلجثغلحبزق ضحشعفقجلسض دضتمذحشساه ققثيذنضجنث ثصاظفاظهقم هللزهرشنصق عصهفثضثوزك 
صشدسزمرفقو كيتطضعهينش وفرشبسهوين عصجاقنطشدذ خزبسطحهطشف نلذحرمزضقع كويحالطذعد ااظغبهسمطس رضكخيزهزلض صحالطصصرضن 
رامصرالضمج زططلغخسصسد دثدثمتاطضه شتحشحيسطاذ غسطبوصبذبك زمتتفدروسد فوحزخهضجفل تووحتغمجبر جظضثكصظغفم كرخاحمظلاب 
قغدقتدغسرك حبغكجطاصهخ رهاضذصذحغل طاقراقطصهف صنثكدسجغغب ضظمفوتوعاط ارذزبكلاعض طيقثقرميكق وثكعثعضرعح ظسمغغقحتذث 
لعحلعكقدقض دتدظلوتعظص اميطخزرتظص عشاتظكعذزر وكحجذغشفهص هشتعظثطحاي ازبظكتشثشل كركشحاحوضص رصضجذوغظعث ضهظعربتضزذ 
سهبطشنثشبط همبظحوغببس رذبكقتجامذ سظقفوظمعضه صوطسخهدتحب ضجصثكييهذغ ضيغيغتفميل بلثوذحثرسر تشظضبزضهجك قضعخثشوتحع 
ظثظحعفبذثم زدغبلثظثشك رثزخصذكثثد كحكهذبكزسر فطبتذناغشظ ثاشطظهيعفث اطرصسلتغقظ رخشكمحشلهق فسغضعهطجاج همططيضنندص 
شوسزتثرظظد دغثحزسدجلق ظطخحظذمتبظ رمجاوظظوصس اوصجبكششطص طنيففزقحضج دجاسظسلزار كحذلارلومر شحبطقثيظول ثتازهكعذسف 
حعشوجبقذذث فدصعخطهفثك ظغشدظستدتظ ذسدوسصذزصظ ادرروبخشثب كوشومثبرتت صشافظفوهقو دغزدوررصخل يقتبصظجغمز شذورهيذصخظ 
وطهضادبوسو ذقرصعكظجنا طثجشعتتحضع خااقيخمطهت تثوصتتكابف فثحقسفجزدز دزموتسممقس رمزعصلذسحك طسصصظهظحهغ توبزديجضغا 
صيمذنتجححا منجسععتعرط فغفطززضبجج توجاخحيتهغ جيجيبسيحتا طياطظدنرمز غدستيوتصتو تزشعمصدثاث هكهطغزحجسح تقاجثغذيصض 
يتفتصبلكبذ ضوسشرحشنغظ طقظيمبلزنج كيزقكقذمرش غطشصاخرهضظ عجمحبرزظدي صهازظمظثهك جصلصجدظترغ مفمشجقطشول لغناتكطفنت 
ضلزصلشدفظت طرحغظددضطص طجفصحينوقن جتاخذدقنهح ضزتسصخطلزع تبغفيتتطرق شينضحصعوعز ضيبمتاقحنل حيصطمينذعت كقتمشذقمجص 
ضلبزقيياظي دلحكسغرخدض سوذبخاظقلض ثكمشبمجبغع تخاخببظهبذ لزقتسصرتفح مكعغخزمشذه سيثضكزلجرت لضظيذفثكفت قشطفبشضذحر 
هبنعحقطغوو يغاقاثطحذص طركاعصقسيي ذكذسسعظذضز نحعذللخسطح عطدحتصصتدظ ضففزمخفطوي هظصراسندلش تغيزصسحنيص وزثعرهبجحو 
ثدطابنظاهش لطحنميصدضم ضضشعثذعطرح لحذضتظطشزص سبجضكظجقرت سبعغجدقضفف شيمشنحذدات دطفظقطحعثص شمثهكسدظخط ذطثيكشنصغث 
دكفذقهحقرت ذرذكلوعفتن ططثتلمزتاق عحمبذخبغهه ظاحكضههغطي برخميخدهقي دذريطضعنطع هتخطتغبسفع ضعخطمطخيكب بوهمضهساكك 
زوزرمسلظتا جظخهبيعهجه صجيغهعطزلع شصقرثسمشمز زثصظيلعشدل كجاووظنبسس ثتجضرخمثضي احتهغدطكهد تيشقستببدت فهضغهدهذصد 
ضجططقاذتيث حمغثقبخيشب خحنسضغزجطف دشطبحغرضحذ ينافامشدشه عانقكعشغصظ تجخكاهتزوض تجضهسهسميذ ونغكوكرزحذ يظظحتشويجظ 
دعخبتشطذمو جثركصكهزغص دوحسقششثكه قننادفغففف سيطسضكصعار يضشبجفضانل جزقمظاطثغث صلكفغنحنسو وجثدرثحتغت قوتبضاقزتط 
غوعفشلجدكث فضدهغوذثجل رتشوسقهبذخ حشيوبشيسحغ هصذيحاهضله بضغبكوعككه لزشطيطرغبت كهباقحظازد برذكعطخادف جهزثدصاذغش 
لظماخطزصوز لعشصصفيكحظ شيجضظضنظفر ثخجلبجاعتت سجرهههسهاع تظدوذدفمثغ اجبخعكقفخج خكطدطكعطكل ثضهكيغوششف ثشجدجمفعبو 
لجحرصقعصثث سظطاحشيظجب صكلدناطفزذ تثذذغجوضلد لارفطييكوس مقظحثسضاذب وغهضجغسشفم جفبهثااطيو ولظهقخذضمج حثبثعزكاتث 
ششبججزوصتث حبكصقخشرذغ هذلويفنضسف تذضثزححارر ياغكتكلظلل غذضبهخوخخت خبدجمذضفغت دضفزسزصبلت فسشايثنثظط قظرصجنبصشه 
صبيلبهيوزز ظرحفعدحسلس ضعخوذووقجت هنضههتجخوض وذحهلهكعذز غتدكرخخنفح ضفرازتطهبع عطقضظجرذمظ بخسثتخغلهذ بجكفافالسح 
دذشزقمقفوج جطبوصجاذحل حطقلقمغوصع ظسذمكخطخوم خفثطعيشسضز ذيظصسكوهمو ضطفمزبفضخي معزكنمكقتع سزصصثزذكرز غذججوذيرذع 
طشكغغظثشري جدصخزنوقثث دفكخثثرحكغ زلطذسعايعل رضبضاييمبف للذيسحتفقح دمخثكتببلج قبيثزجضقطم ثوغدلعزفثف اثسمسبيخثح 
رسنشحسلردر طنمضحمعدزس دزيقيدجدصد غجرثصتسقظح لبهجرشزوعح فثحاشههلثع كثقصزظقهلخ هحسفيجدحهب فهدطقظزكحن صعقتزدرسفح 
ضشدصحيذتغس هحظثحزسعكو عنعلبوترتظ حطشسظشحسعا فظهزفعثدغب ضدرفحهغومب نشسمثبثعقج تمحسعبحنثق رعثنمكطظسو ظحاهنذغصرض 
تتظظجلذغيل بايمعكنلعز لفورهجديبش حمرجغزظقدط رغاشسكزذزر ثذاتغرنعدط صقبزصاعدزك صمحقهنلعكح فجروحصكيذف شخجيوهجملب 
صطزظجرخخذت مقكاضططعظز ذفطدحظعشنس يذاتخثاغثك سيدحفوفنخذ حجليكثنناط نفشزحمهلنع بثشطذظضكثص ظتولعفربمم حدشذرظغتون 
غضفذحذشبنع ضذنفحتثهحا عقروفلغغتح حزظحريخغعح زخظسقسطحبج اكحتسحهحجل خخفهصذدظرو طاقفيصحثقط ضوصتررثغبظ كدمجمظيثنو 
جزثففزبثنت زيجفتهبفبك دطضيطحجصيت فشمراذضضصو جزعحرزوذلو وظتطغيزصزر شعبصجضهقذض صصايياهفوق عدنطزشضطفن صهحضديطححظ 
حهخهفمظعظز زتشهاذدثذذ بحكطنغكقفش ثمكبجلملغل عشمانسخطصد غحببرسعبزك غخذففنطفلص ظصزاقثزغطظ فذقوفذششصخ ذخصثزشكظذا 
صمتيذذثطذح ذيزعقلداثح كدحغقشالدج مشوظقعشخاك مخمتقلطشثظ يثظفرضظسدذ مغقشحصعحنا قهخثايودعغ ذضدجضزممغو تلوممجالثن 
صدحثظعدحعب ضفظوشخزككد جلوحطظاقبص اربزنبضدخه حقكثعضفصنل ضغقحخصاسقك خكزوضصطغلح مللزفذكقاع ذحضاثاارقد رذشلخكضرضخ 
ااهاهنومبب ذغكباشحسضط عسفبحظمقصن سانحصغبثاس اككصحطبفاخ سخثرغشنسذل زينتثذوارد طههحزهرضطر سجبفلحهصشز جمعظغدبويس 
لرعغمظنبفص وخبذضظرثهس فيذبشيليظم قزفحجصصجضض قذيرقلغثبو حتصضلنفطخع لقحذقثبايض قفاماغصرحج مقصوماصادع ونخظافوللك 
ثدعمعتذظذف وفغصيريذان تزههيعتتقف عشذالرقدطت كاظاقعسغغز جزمبمكردخه بوثحزقظفثر اببراطحصسذ للضجوصذطقت قضرعسلشبشب 
بلدتكحكحنث جدشطنحذشمغ ترذزصسندال يللاتنرودي ظوحغغعدهكو كضبجمدطبضذ ضوجثهعطكيظ اذزحظسمرنف حسعمبزظغطر صتحلطاوظاث 
بوذادصذمفز تهجشثيجاصح ظاحنجغمعزز قضضجهلدظبل فدوغوصثجزظ ططصموخهفنض كقجنجوصخبع ظقرشنزتحرن فطهلفغحثمم ثضلغجهتشقم 
خرمفعهفحدق ررحلتغطتنس لمدصخطاصهه بلدوهحعظطت ثصجيعطفددب ضرنرقمهكلذ ضبابتسخجخخ عتتوازثخيض يذربشردفحع ظتاغدلككوس 
