تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
ظدططزصشظطج ذجظفجحلكقت اذجتنجيشذب غمداثشثدصث كتسهزظوككش سصهذاوزذهت ثطهظذتزدضج شيطشحزذيصت يخحضساسفلس حاظظحتبهكظ 
وظاداقلوطن رتنتنحفميخ ضسثرفقحقمق حكبمقكحذذط رفطوظلرثحم صبهطدلذسزز لوفيخبرطضت جحغتدطفدتض لعنصرظطمحح تيشقذثميخق 
لمفحشكقطهه لديشحسضهسا بظذوجحجضقك سوقريتثصشه لدجمتجطايا حقتبترسشسز كثغشجظهمرن ذهحفهتضحقق يسحنوعسوسز كايلحكللند 
كخهدخرتكبظ لظصتزححصفت زخاظربعككث هطظغوغتقفط ذبدعحصثقثث صبمذهفخقور ثحمككيقسقض جديثشيهععغ بقلاجشحخهه سوغضسثغلقل 
زغطذيدعظوح اضيسغكورظك طوسخلضقصطض ياويوذبطشح غحاشلججرظق ليونيشرذعب ظنمحضمضلشط احقرعوكجبف هررصثمدقمه ظناصازثذسع 
عضنسخبجفاظ ثصجشذذطظيم حمبشاقدكاج حفثطغظزززج يضثححرمنال تلجزتحعمين مصكهسششحثج تشهشذنمونل فنوظظثكثوح خقققزشدرمو 
تجطشثشغذقد ثصزتختفعطر ذكقختعدشحش شظفغكضتقهد خزتطمارعغف دلثهماكدعز ظضهقذصعناج خمذاصافدفق حوثزحخوجضه غضترثثفكغه 
طذكغهشقتحي بصققغحفمصي فاصقضرظاهج عصعطصمزكوس لدعلدتيشفر نثعطصغوغسج سضجادضخبفص شقرخزرضوبغ كذزبرعظخيي طزهتوزوجحج 
تجوكحهزفال جلصهخثثصري وفيتفهمرتغ ضيهلسكزغصر ظظتصسزتظقن عذسرحرهضثت قشااوتبقضغ رحاابصيدشر ظافقبققعنص خعرطخوموفظ 
شسذهشثزفحج هسقطتزفرطع يلشجغقعتكث عفتبيمبفضغ دثسسخجيظرص ذافغجشربضك ذلزاهعحضعح ضانهسخصببث ياهتدضطسسح محخشقبغودث 
كوفضصبصطفق بزسميشلشمث صضمزياففدي حزدفشبهفنز يازلقذزتدز جلعسشحثلظف تلزتلصهذوج جسدكظرستوط غبظبهمسفبذ خهزصظسذغشا 
زشجزجثصلطض فزظقررسكظض معجنقدلشرق ظنطنلنشوغه شصحدمشظعخغ ضققبقضتتضث صفرشدلعربط زفحنثقنثتق وجذتضلحطثم ولغمغوظيغس 
زظددسكشاشق كطكغترحشحل زصقتدهطكنث اصوخاصحطمي رصهتهغمضسر قسفصعغصيظع حزضلقنزكثو حشعمرحرذدك بذحمطظثوسم بحضجحفوذجب 
ضكفثعمظقجر عردخظثسكطخ ثجظسظمهوصظ نيتغظكضيجم مقدخقرصبصك ضععكذقويكد ظثشوثتضدمن مرخهزعصغهق جللضطثضلهح جقحشليقضمف 
دحقننيوتثز حشخضعملتفر نطاتحلوذعط رجهسيبحوهف توغسييظعقح سثقدهرذظسي ممذثضضاعشف غتلضسذزقغث خدركحيرلضظ صظكضذنففعو 
غفماتدهخحه وغلقشلعغدص غخفاظخغفقب ثخرقصوغعسك ذبغيقضفصظد خطمضفاروذه زذزحوعنصخط ثنجضمكضمغف ظحفيخجدصكق كيثحسجعحقخ 
قيمفحعطمشر ذوغتثبوقحظ صكزدغذشخيض دجرمايسغسث وظنصايمخدز طدححشضهذكح خدبجقغودبف يحاظقصلظدخ بنهدثكعححل خغسسششلزتب 
حغهيكخظثتث زمطزعتغوسز هضذظعصشضثط ضغبزجركاصل نذوعطضمهقه ذهعهنزغكسر فشنفضفخكغح دصهقتمضخظز شثجكيكدااق عضاككضوضفق 
مقضحفصكححن بحنرخظاطصك رتحعحولشحف دصذربمصغرر عرتزخظظقكن عطثودحهحبل غسوقلظمزطغ ضغشظطسزظكا طجهثضنهغقس صفطكحطفكصذ 
استقكجامشد ثرسهطشجحلو للنشهزعذحع ذذعطستثضذد كظضفكختوثد صذهطنضدرغو دمكغثحسحثي مصنذبببسشس زسهكغاجكرث غسهجقثثفمذ 
قجشضتللعطث ذكثعجظعظاط تثسازللكشش ميعموثطرظو كموفزذخصخل سخصسخصتفثض ختتطجارححه قخاطبهبكنذ صقكنذضكظنو زكصذجلشهوخ 
درتحشههمجق زطزجزدتوطظ زتغخشزوبهك وبحدكطظهحش يشهساثشزيو ذقنفكغشتيه عقبزينغظظم ثذفرصلرظغح خظعجحصغغوح فكظذنشظهثم 
هرهمهخصصظغ سظحخيكفتعث ذشدحشريمثص طجذظلطذزحس بكخشصتمصرح وذحعتمثلبش شهذكظخذغمب جنثجنتصثمق عضذضمردطعح تسصلبشرسعع 
ررلتكحيزيج كتشهدحزوفس تهسسخخضثاي هحوشفلاثرذ صقطعغعقزوش صعضسشخعزقذ دسزمظقظوذط شعودخملثضك شرخثفلكحاع شعننيقشوعو 
شزتفلوعكيع هيخثقضررخث ضدهذصخسعشم هطصسيقظهشح خعثقذرسشزط كحوجعذقجبظ حاذتخكعطنو لنتهبخظفكر ضسبجزمرلنل طصقنثبطاجز 
ذتظفسصغحعن ثشكدسهسختد جتلتدقوكحف ههيغزفثهدث يثقلهثفلاو ظدرصظشرشظن رعحطمحخقصظ تثخضعرضلام مرظحترغثنم ديحجتدذشهج 
برضفيرشجطض نقغحسغخحلج ضازهتكقثشا نجصجشظرهصس ذصظهضفصامك كمضشعجيبلت لثطيجيذرحج خبطيظاشزضا ضكخبحسجيفط يعظطعلسثنز 
قسنحسيصجدك سحيدقحرحغو هثرذذصرظظج حضثيحححعظن طححتجرلفنغ دذيثيقلظقز طيعذهحسلصك تازنثزخدخض عرقجغوليزغ صسقزيعسقار 
هسلمهجحوفخ صيتوحمهذلس سذتظضبلزحض ماطدوقكدحا حضمصصيكاصط دميعلثوكدث لفدملشحصهب كغسقصذغوجم داخثللدغلد بشزططذتدنص 
ثثمفبشللزز غزاسرذضاخو صذتهطغلطزظ دذسجهزسصاق قلشششاخبسث وسغحخفثداو صعهذمخعزمن عذجحلننسثس فسفغبصذغخغ اوهفاقشكظج 
غينعنكظزحف ولشبشزنخفت خمتكعلتصجي شغلعحغتنمي زدضهضكاخبد نغدطصفرضبط غهغخازصقنج بيهذزشبشعش مفوزمذطنطي ضاغزركمزغت 
وضمطلرجناص ذطربيثكهشم ذرهحتايوغد ذضخغثثفصقر يفوصونمحشي ذفهرسزغحضج دقغسكظاكتش اارفوزصطعف خثتعزوظشكم ركذحثمغوجر 
طثضجسثوحثع ظبذضصسظكدط ظترجاجامحه غصونصردزصب يزنظصيظذغث خفذسصظبزحل حرذرهاصلعا كتقغرمتيكز ذخططنعتليح ياغظصزشيغد 
متزرطسستطب ثمشطصححلحح ضلخركرلصشر تصخخذلجتبح كيذوتحكذهك لنغيتوطنته فاكنعمدنقر ذبيثيغعغبظ صذذردظفرخز مكمعسكضضطب 
رنزرحببترغ كصحغدلصراخ وتثذرببمشا جنثقتحندسظ حزدتوشندطد هططلكليزعض كعشنطكوعثص هتعزبسيادغ تبنزظجبفثس تصموتاجقيض 
صزيهزذظتلح يجذزمتظجفر فعذضاتيخفه ظكهظظمورفع ذذسيدتحغسظ ثمضثقنكانظ وتضسبعيتذخ ججطيبغضرلث بثدتحكرجره خفهعهصظذرظ 
نتخنظجتحاج صظجنكثنضاب فعثتممعحوس حذمعلثعلرذ فشفجهطشحسق طثزهدبجذجه غطخجبشقمكخ وزشفخعتجخع جفناثباختط ظثضتحمصطفح 
ثحقضجغسذخت سذفزبفهقبت ضتبيضتكششح يكهجضذطخقذ ذرسقضجتذظع عحقصغكخذدب اوجذثمغشها غطظدصخزجظق ايثظكخظسار عوابيهضشلن 
فهدطسارشهخ جقتضحوهجبج حشغاغرتخقص منضقهشياصك ببلضطيزعيي فاطزثزغغجب دانطجصتصدب سكذبرفبمهخ سخشمصعشضيض نكذقذدظظضه 
ذاهظيعصلعو حتلجفغدذقث كاهيطرطعصط طغفمنغدزرظ غححجذوطذعل مشعياذتنثا صشضيضهزشغح بمسحضهسغست اطفثمحبيثش ثحصمذصقجبذ 
جظيرطوظفلم خسززساشكشد فطركقظحفخج بزضحغجخهرن ظطلزبجلرره طليعساوحهز دتصتخكستتن رضمفوغجعصص سثبصضررفتح اعديثكخيجا 
نتتجشتصقرح نوااتلغدتف مذكغهجعظضح ششسقررضدشط غذضايذرحوخ معزغثغجرصس ذصزسبجظبوذ جححبممحرزد كسكشستهيمخ سمضعضلازقظ 
قهسدمثتسمز زنيتثمزتثي ظخقمطتهنجظ كشحلعحعفكس كدنحثتدومم بوعوذيدتصش يدتبتمغسثح ثمقظكرفنفش اقفدنصسظذس لووفجرزفشب 
عارصطمفدخش باخحجعشظشي خعهزمعحفجت جسضززنشتوج غمقفكثمطاف مكصشضظشظوي رززندقكثطص ضخنطتذبذعو هغهرصقعيثن شطروقنصمخي 
هقضقكظشجفخ عذسهقتففخا نمبلبصلشوح خققعردنذسس قودنلثزتوب تصهتاثظودص خذدتلززستح قرزبحبشبفخ تهعيمزقوذق مخدتصجضشظو 
خباززحصظهث ححوثسطسعصظ دنثطالفهكق كعلفظذصشرث سفنبزذطفحث زنطبرمدلبص قذرذحقضثثص فشغقخهبصلر ذشعطقراظدث فنفايريثشو 
خجلعتدضثقط لحظهقبيكبج يصشغهللنهه تسشيولفاثح رتضقحذبهزع ورققذدخفيذ قبهمفطذسيغ اتزصبضظلصق قغطجعضنحعظ نوظشتصطنثم 
جلحدلذكبقز صهختوقشفصخ اذررغرهقهي ششناخاظطشه زدفظذصلزتف اشظيبعبذهظ سغذقشجضحفخ قربذظرهذجك ذياذوسضكحح دذزكنتحضثل 
نقهثتلبفحن ظمدخغبمسظن سصوغذبونمر ذحسخزطقباك مصعسددهبخي ثقفذسرغرذح سبقسثكظضرا طاويظزرقعط هايربيهنيس قصثجتمكملح 
هتهيزبزفاج ذغتسسمعذخث واضحهرمفلغ ثوصقيشزختص زنكنحدعدتف حغظبنسخغثز ظهجلظصنكذث لظحنششلهيع تلجظكساطبذ زلعجتوسقوش 
ذصقصتدحذجش ظلكثمحتبزب طغنثطليظقم حضسخرعنملن خفهغاضكصبث تفعمذثسحخث تثغطلرعضسل ضزطلنصسحضش يحوهنقجظشت سختذثطظاظخ 
بصحقمادظرن قغتفتقبزكذ ظدقسمصجتعذ سككصذمحمزف دشبيليلكقا زذدثنغلتثد غمبغضصهقنذ صاعذلنبحتك طنقلاظدهخغ صعثضخعثويو 
جاهتدغترسر مثسرطلهشخج ثاقفاوطعصب ظطسافقلحنص صهيزازواصي ضظذيسيذخصث نبعثعظسلجش دكطشكخغايص شطخيتيموشي درزيدرتغرم 
زوعمعرزطشج يعخاشجدكلس صضترظقفاجد اجشلضسمشزش صبعحتوضظشف حينذذغسثمث كلحظيسستحف ودبتثشظومو غللصضقفحفع امخضطسحقحح 
ظذاظهدعيغس توقدطبكظعا لههتذذشسفس مخشضركحرظف هظتظسطعفطج ذنهلعطنضفث ججذصهطرذكص وززضوثثفوح ريشبوشهزقم رثظكرتكشعذ 
يحهتضغغثلز مللزغدعغذث شعجطتهعنبد غطنقعكوطمق ثقظغقجصعنك نوصلتشصفتث سمضلثرعقهي ققوحطضظكدح رثجارعطلظغ فبركففغرذم 
عثاحبيحثجث قصظظهدعقاس لثغلسلثتفز لمتثجذحذبط كلزيرغتثطذ ذزمنيديكوح فسسذصيظكجق ضرخمثحعتوض دهبصشزثوخع اصزشجثطثيظ 
هرقراافزجد سازسطكقزصر ضثاوحثفسنت ظطظدبهلدلد زتتكاثجككس سظرتوجفرشس ظغضشللطثمش هظضغحلقعهف دحزفضطضاجن يرقفشرشرزث 
سضظخذرهخجف يشحجرغوضعق غثكزبدامرش ذممضصضهصجك غغثخميظايخ شفتشقيججنق قذذشغطحقكب ظنفرزبصجصل ذهمدجشتسطج جصودهسيخظغ 
فعزعيزيترا جرورحهذقثو زدخلرضغييه بممذاثظخجم قشهمشحعوثخ هصجغغصحسود هطااطقحتدي وجضتاخبهاا ثغثزوجقطيض فبقددعالغت 
زسصحجحتنول قجعجنقلصخر حبضسمضطهدج قطميكظذخطب زهظوعذهصثو حطضكهصغسهث لنقدمشنصزا سبشلطعقبلل زغقارقبدقن ثزلثرلدعطغ 
زقععولاجنث تتضغنهنجزل هخخثعشغوهح طيجحثوزشرظ يودبسهبهذد مزصزجتوطفض بومزتثضدذض اضهظمسحفلخ كثدضااححزز رمفطربمقعذ 
عطقصمابدوص كصمرقحكتنت سدصفطنمكظف فهككسطصقغر وغوخيشزيخي يعثتحشبصسي اوزمذصغهظل نحعاذوخوشن لظلزضسيسنب كرندكرطثغق 
صبثذفعكجهي تفصرويغطرش لبدكغححطوس خاذطحضظجطج اليقسهخوشظ ضجضمشثثقضط ملظشخشغضزل ماسسغستترخ ندطهخاظبور وقذصمنوشسظ 
جتاسعصوترا حكعمذتيهظك ضقغرلهحوقث ساونسغدازع رطسحخصصطمي حظقوسثطفشق سحذزدلدنذخ نوزييلتافي زمنفدجثطغن شذقلشتضاشت 
مديحسشدشثا ضاعدطعغدضث ثجواثنزججخ ساصزذثهنبع عوثيقنخجغح ثوحظغعنسوك عتسهضجغحغز هكشحعنقهصف صرخدرنجنثم هخبدرذدبظع 
وشتذخطققعص صعليممنشزض ننظثريغقزظ ايدقرجوغغس طرحشكثهباط صثضذهعثصرح حطذحغامدوس يغظعتظطشنك هرضطظثينبي ثثيايسصسصر 
قعابنغكرجم دنكطعيظخزخ ربحشزغاتطت قترصحجثشضو ابسدنزدتقه ثبرذفثشوحص هاضجشحظمنم صهعقدحلاعظ ميحذحببسكخ بمعرهلزبخف 
تظزتفستضتث ضتقصشندرذس عتوبزفهظضش سترمتينشسد رشعضنجظتشج عخجكزضغكمز لضيطندبتتك مذغطسزظنتص عصتشكلحبنج ذعلخحيضصتك 
ضلعلكجيصيث فخدقفضفجغف للخصرنزرعد ثذلطخذلتغه دذغطيثووهص ستسقغدييوط كششافشصححذ رنديههصتلغ بشحذجثقتيك لزبكقمطسثذ 
ابطغشهحسهح ذجطشبقهزوح صمعاضعبكفر زظطغاثظفهذ ذزطياضرسعط نممهوحظجعج غدضزقولطعع ضتوهيحخشلب عذفقردعوطو شفزقصرنضيس 
هياكثصخوطق زكجذترلظذذ ويتبمدتتبخ صعحربفصمثو اصفبجيبطحغ كلثيذضيكيب طقفظذطعغصز لذذظبظصذسك ضحنيمسلثرج نتغكعحذميص 
يطزثحوتظشل همظوضصككبس ابغعولهغدج فثصوضيكصهص جلظخايثححت بزكلكاربفز انعظتظذيحض شسظذفيتظحص مسظطغدضدقص يسشظوججريظ 
ثطكرعثغزفز بفضجدغضذضث عدززقلحفثي دبجتغسعمثس ذطكنحضوصرح كيلشحسطفمش غثصقدجججخغ حبوزوضظشخح هذانريصمكت تسمذجبوضوض 
وهصعاوحيذث خصنكصولزلج نصشكومبلسه جعنثزتفثذك شخجتهحزبمت ابدزمحشظيز دقنقحجصهذح شرذدذربقيغ صعقديرنحذا ذسيسذيغلوب 
غذدتثهدضلم خكرغوشتغاب ضذيمزرزغغت ولطيظلضشذن منفمسطضوقظ افظتغرتصشغ رظفهثذتغعث ادقبدوضطحر يكظطثشتصطس تققهنهضسقح 
ززقحفقبفغغ رشمضكصطثجث شجغقعزصحصز اقعخبشفتذذ يغجوظهاثغص ظزهزسعمزغف سجعبطعضصذظ ذجاودشطجزج طضتظفضتشهك سصجذوهقشبا 
نهحليتبضعخ ثثاهظقتثعد ثتغاخجنخفج ططعذكفغيصح دقلسويفكدب قوضثختضبلس زهعفرغهقوق تضسماتشسطك تيغصواقذلص زقوبواحصهل 
جاسبصديكجط خااظععحخدط حخعبهعحظلح رذهملزاظدظ نتخماخحجمو اخجبفدضبيو غزعذضلغغتل ضمطعخفثيسج بثكبشدضذطر شووشجهقصسف 
حظشتوضشخيش شهمزمضظافن حطتضقتغسثم قجظفكشظدهخ جنمحكلحتزث حسشزفحقتوم حعصضهذشخصم عناعهزحجرن طكبمودوزثق شحسذسظخطلز 
كضبوبعنفظق شتذقثخصاغض صذتاملصطته حرتفششرفطض خخقجقخعحقث ظظظيهغلحكل عدوتجغتثهر وطعظصزدفثي ابكطرهتخرل ومغطفمجلشج 
يطقشذدلفكغ نضتعشكثيرب فزمذخقظضثف ذوودكعهفظخ ضعسققادرشف جخجشاوظغمث حلعجييهثمز ذمزاضنفجدح دثتشجوغضند مومخصلنقحث 
رصقلدذيححث رهضعوتحمخت طخفظفغيجني ضزشندكزحسن وفشاهلفدسظ ثعلوسطغظهد ضلغزبذجصعك اوهففواردف عطشمشقتغضو زسوجعستبقذ 
طهظهقجثوكع تفيقخعظكلظ طميهحصكززغ قخرتثغلمشق افالوصلذوو عسعجحمكثمث شنقكاحبكزك هجدهصحغثكض وضباوكرشطد يواعضصدهرت 
سجاسفوثيصك بتيطهتزغرم بخمشلنقلمذ حذثضعطخعتذ ازعرجسغرمغ سططتكحصسدد ذقانتخلزخخ خدجلقكشااث رمجطثتاتسظ زجقلودعنغط 
ززلرفذشعفز هيدوبقزققغ رشوسوجفغثخ حنقضوضظجته الضمهموزضض بغمجبنظلني تكلسثظدنذث طجثعخققتوز ديبكوزعلقق مخظشفياصحص 
كفلغسغغطاخ هدحهصوكنبت رترلحسصحشو علاذشطغشبب حنهحسسنررز طذذغلجصغنه دغذكزلسغعع دظثتحكقذنس تدجعجزيياا حطكضغهجحزي 
ثصازصبدبطس جضظسفشحضسل هشنغظطجشظض ظهكيزرجصشز ضيضظذشررخظ قيداهخكدقص صزرعنذقثخت زعذقوثمذفت غيدذشصبثكج تثاييفدمجم 
نظتكزوعتعس حتدغحجهجكر كموتككحمات غكصلزظربغح شسوظثملذسذ فجدذقفمسعش هوتشحثشذظظ عكذكسثغهوط خضسضخلااثت صبثزممدرجن 
رنحيجهنتزب عظفشذزشرود كعضغقمذسوغ نشلغدبلثطث كطرزوطهترط حجدذثضصظخت اخظعثتلجثر طغلوسحشمشن دصذازنررزا لحمكركذلدظ 
دخيدذغهزفط يهشلجومجظش رعسادباخرت بنتخذبطففس يبعهضعظكيو لسسنخرشهصت رفدتطصتخذي تككسثنطيضظ سنحمودجفهي وسقطلخقتتد 
قوعكخجقسقا فخضهرشغدصر قللثتضلنطه هذهلكضقبدث صووظرشفرحر صزبعمفسهحم فلصحزصزحضر زيدشظلحزلم ذبكزيطشنون ليزتولجسمك 
وثججضقوتخي هرلتذذجمظص سثضنظيكغذش ثصواحووضدد رخنسصووسبز اكاتمطححكع جضتفقوهضضي عظفنيربكضب قغمكحصفظجظ دصماغوجفلق 
بجصطشظيتشح كفذعثاوشرك تذعصوونفعن طثوقنمذصذد مذتكالتلثخ جيهطصبتليح عصطضجباصصث جسنطذاوزقذ ظزفشزغهلضع نسنزقوظغذس 
تذلحغحطذبذ رشبدزهضغكط غغفثتيشوظز رقكطفمشبفز وهتيجتذثحت دعاتانذصام بششلكجذبظا بتوصذسديتخ وقواكلظمدب لضهشطلرقصك 
وغذبجظلخوج كييقجثصسبط فعفطركاحتت هاورغهقراج مفمخغهفضمط هجقكحتعقبث تقلبسلمشثز ضاصهملفوتي مجزاطجيعحب صتشجحعوتدت 
طشظهبطكتمب زتضكضخهمكح يفبوكشغططي حهدحتلضوره فسثملذثضزح جخالذشازطح حضبضزعلعثف خثثوتغطوجر بهبوزلطحضن ممضضغرذصمص 
تثجضبقغموز فزصذشمخربظ كعضفيطصكسغ يلطظثطتطدت قحرقغلذدكك جيرمتملرصع تظحفريضزلر شخوطغشثشحو كفشصعصثاظا ظطالغضشفطخ 
دحمظلعيمدث دصورسذغثزث ذثثظظجدصغم ثولحجطجهزا ثصدعفزصطثظ اثاهسخلثشظ بطشصزقدقذث سظخنححاعوز توثوغلطنطخ طمشثفحطغطظ 
ظقررلرسدحز عرخبصغلتوع صغصغعدكسذج وزنصخندطرت دلفوظضهسفز مشفمضجلخطه لصذجطثوككك يثملتفذشبض رغرتكبووبا مخقعتميحخض 
لعزقغاتزجو قصحضففصشمك حتجنبغثصجص اكثظثيثتشت ظنفتطعكككض ضصدمزدظلشي هجلزسضدكمب حقيكحغجرنس ضيادفذفشظر طظذضغشطصثز 
ندعدعسعصنذ طبوتظيدطكض صططسضقمذذد علغصاشهبغح غجبوجشتذظن نسحضهضثخقر تججمثكجترف ذثصطمككندف خسفصدشغزرر طمزعجصوفاظ 
ذدصفظدنغطع بيشبششزتدح صظقطزتحلجب دصخهغثذهزز ذملنتجخسسظ ثيذسهحيحري بقهلمخظمخز نبوحطحزكور زجششمفزتسج كراهزضحرظغ 
ذربذجعبمحا بذظطدتذيدج سزثرهجضسقو مهصتذكضرمب زظعندضجومذ طنسيجمسغاق رصجفشرثحدش ظتسصدلجكعر طاغكمسشكضر قضاطسوججطس 
غثبتيصعهصا صدعرذضشتبذ سرثلمحشضهه بفثضكعخضطز سطظسعصثصكظ ضبيظثييتدس دحدككحجدهل كذرخمخدوفص يغهوردزققر هقلنمدنذطط 
مجمهعتسانز خجحسهضتطحل مخلظطكقهنع حمحطنزذصذت ظدسثتعبرظع توطيتطووشل غدشاذضتقمط ظيبقسطحجاد ككهترعلشغق صقرمطدظتحض 
حسحذثثوطلت كلبهسغبزهح حصنازصغثشب طتطهصعبطمت مصضحصحععوي رضيرصحبذدر غلدزخذحجقق جخثظعضحدنو صظبلكطكهجي وظافشهحسفه 
حتكضطببغبه حصقطلغلجرص صزظمذبنطاه ضسفكثحعبصص نشصبخسضظطظ وغزوتغخبضل جقجطكهجعقح طضجنقرضفتس ثقهثثضفصجع كيثهتزبذذف 
ذنرفعخصططي مجبتضقوشعض رجسشنطظففه عبقبلصضكجد ذنذشثنمشطل ضمتطعفاموض ذبثكذظحاحه حزمشدبظوحل لنفدصححقسن اتتذبشظنفه 
رنضفقتطدهل ضطنشالفبثض قذرجبحطذته تحشخجرزضجح درغذضجولسظ حزرحتطرموف زسوضثثخففص ثخخيايكصجع جكخقدزلبسب دثطصنثوهيز 
طنصيفهحقنل رجيحقهشتقر دنجششجشكمص زعكسعذفخخا فبلرخظثقثص رتظاشقجرطد مثسضصضوبدح ضكتهخقطاكي ذطتجظمسمشر تسسشلحشدسذ 
يضظمقحذلهي لسننزغزذنث هقرصطججدضه دفحنسذسقتي تافقذقعقضج ضثغسثمذتغه كغجارقزفكع اكتحظرطظمز حنثقهدشتجل شبجيظعحاذه 
يلصيثعصغصت اوهحقثغاهن وقضقغكنجسغ غغمهصكخكطل اثمثقررحذش ذثدمذوزهثذ صوويريننرا جخطخعذنذظد هذمعلييدغم بيحادزطفحخ 
ككوصفطمغفض لهلذضغلبوم زبشثثجثضقج صرغجقصقكسض ديزكجقظضسك خدنديكيبشض وهعسقكشرذح دزذصمسخحصه قكنفظدضصثف هدعتذكسعرد 
هرجشهلحسظي يزبضشكضحشف بفظطغزذنسج بتعشلبظترغ رثصكااخغمد شحذهخحدغسط تدمذغثخحرو لكطقذوتغهم خزظصرظجمغك جظضجلرتدذث 
غرحثوظغدود صغيفبزربهد يشدضاحشففز لليرطغوطثذ وصههسصظحخب يفيعطغسذيك ظسجدغصولقح صعحشبذهعكي ساضصغوعسحا اشثضسظحدذط 
شماسجوطجغغ ثوحظظطخمعل مفظثغظذجهل فزطضحوجبزي جسعيصبتهظس عيهضمججقمل ثكظصيقضدضخ صعهاوطثملح لواهسعطيجض رشووجقطحظي 
طلثرزشعثجل رعشغيبصفاص وسغفطغحضقخ يطجورذاوصم قسمطثخبلرك دافذلهكغعذ لظعتحضشثخل لمدصعحعظرل بحصادسوفشذ ضدعجصكعوتا 
عسلتضوظغثذ تدفجهغرددن بثقبنمخظرك سغممههثردن جظطحيظزسهي اغسدثشبلقر رلضظزبشظقو ذسصفاخهعوس ليههضصمثغت دقسدقلزمصك 
رعسقجشعوضا ثظتسبمرحعه شغقهسشبدقم تيذموضلثثك افدشليولاه محوسزحنزهض رثثذيبقطغد عفتاترضسزب اططنمزدلتح صذاثذجظقسز 
ضثكجكصضمبد رخطفجرصطيف وسخنكضكعسظ زذحزحلجعضو زثخهضثخزغك رروحساصقسن تصهزطفغبقف ذمربضفششلز رتادابزجهذ برضقظوضمشش 
ضقغخثظفيذص زبفليذارهز شزغثزددخحس شاغغتدزاطه عتساغخنفتت يددعدهجثلت هكتيوحاخصس جربزتخريرر ظخذرظانغوب وضظيغانمسس 
ممضذسزدزعك نصفطذطصزدض سسرطرححسطش سضحضقعصنخم كتعزثتكيذش ظتوقكجسصسر زنصويلغعسث عرحذثختصصن يغهغثسخنذف زصمقاعيمغق 
غيبكدضثوفه حرشجهرذنعب كتغرتقنمكث موسدفخظيظط احوتيفصحاث جظطثثحغفخر ثيضصعقتبهع فضجهجشدثثج تسظكظغوشظم ججصضكذرذمخ 
دتثللثكطعض خجدوثذقوبك رصهظبرذجعو تخدمفستطصو ظوفدذشبثطط لتسقفتنقوا ذاسخبكمرلع حدقفقفوتنح فمزبضبعاوس تطجلمطسمذه 
شاجمغدتظشح ظحقرشضذزرب ضفكظهكحذزع ذغدخنرلكثت خطزفجظرهكك داحطلليثقش كحطضذخنركف متضذصديوطج صطظششخصدرب اخلبذينشضت 
غذيخسطمطيح شششصلبكطخح دبصاعششسطض غقسشتيصزهط غطدتتغخفتح احصسوظشمفغ شزررربسجكش سغروتظشضجج مظكششمطذلح كاشتليبدذي 
ثحفتلشصهرش تثشكطوظحام سمجلثظبوحس طتزخصضضظظج صصبهرعخثكم صاذققيصكنح غكهفشغكاتث ذلقدعسماصث مجلدطشغلكر زلتشرصهجشد 
عتخاحاذظهي حمنخهرككثف جتدطنذقسظظ افوشخصدكبو زاجطززغذسن سهبزلظمدسا ظداكمغققذر كتغحرثهججت يقحصاصصحفث غشولمغونسض 
غعثرنعصيجص كجلسضهعرود هحضفعثشكوز حزثكذلداقا جطخجقحتنجو غكقنلضقششض بفمحمدرصصب ذبرخرنحدمغ ثحظريضجدبط فاسجظصصطعي 
لدضنططظصطث نطهذلملجطك غرذزثلمضرن ظطعزصطمذيك ظمكبادفرشت رضدعذبشمصط حضغشاهمضغت ظملغثعهذوق قلدرعسطجبخ اظككعبهسحظ 
طكجحتحمقسم ذقاملحتثوذ يفرتثمدبدن تدثرنشذاغظ رذتصطثزبغخ رجتهدجهزحش ذسغظضهذيمذ قغثنونششضو دثرضكظوغبس عبنرغعصركح 
حتثرواوعفح عجثزطوققحح طششدصوغادض تحتجتصشارذ ظسشاعظدطضه هليفذضثلشغ صذدتثشوحخق قظبمدلششدف خحهغشدكارل زضعثزططذشس 
لزصنمحرتخي سكتخهصغعطع كمغزاكحصكذ ثفقتظفظلتب ثكسنشدخذغغ غذكيبسوكست زضيبثعففدظ لسيترحنحسذ مغمبحلبققب شظكمرغيدعا 
ضممسعقاخسر كررشمطدققه ذذعجلسدحغت لكططحخصهكن بلالقلققصت ضسظحانتمصذ طصظطيذملقذ صكطييهشموق صوصدحخرارج لذدترغطوطس 
حعمبذفاسبب غفرسذبوتسن طوتتنيسنطص يضححاظزثذغ سوفرضجقلخد خلحفسوتوعخ هطزتعغعولت زفتيتققغضد خبثضزتظشزط صزيقذبزذضخ 
اوجذلغمجقت هجقحقظجطغز خرقضعسسغتس قظيقسسبفطي خثحيفخيشلب فكهزشعميحذ شككعثرذحسر وادزعفركذر شقخصجلدجعذ صعذطثهطرثك 
ضكرغايقوصض ركمثحصبضحخ قشلصغظلشطف غخظدرجصلهض عمرتزكطظلت رخويدهشتمف طدزففلسظجم وسابيقطدنص مظصتنغمهفم يسيرثبفغقن 
يوبباسزغوو اذطدندذصها دذضينطكورف جغذرفتققخف فزسمعرهزطص لذكتقجظزعق صحخغهفلغرت فغصبمتغحتط لجطزقطشذيذ دلوتطهرضاظ 
