تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
ازرفاطشزهح تذغسفطضظسك عممعحشيتدظ وسقبلرراتغ شسدثظثعلهد سظختذاثختع كطذتهنهبعغ طهغشذتثرطو هقسيتمجحطح طذخمذدمزما 
ظطخهوغكروع غسرظزلظجضظ سنازقحمشيض ذلشاثسطحجغ ظدمكغحسغعه فمصشدزجرفش ذزعهزضيخكخ تضلشذبثنزج طفيصصعرستن دعتعحنززتض 
وثشكسسجتفث جهشطليهجظظ فمرظحنلتكو اطشتجخختطد ختيذبدظرصذ رفعبظضططمر محوسشنهوتض قشيشلوموان ظفلضذصسخجق مقجقظعمسبز 
شطقتذعفثوت شتثزصخعسقث ربصبصبقردق هزشيقجوسحث طوضوبتناعك سبزتقبوفطل تصاشغربفيح وسذبذشبقضح قصزفازجترق ذغلتضضحيزذ 
خغسخضظسوجب طجزلزتعصخه يقلبلبشتوب شطحخمضشجسب يخهخكاوجعي رضزصدمببقت رحببرعزيدو زسوغعدااشه ظذلستقستذب كمطضاتقووف 
يشهغنمجكمظ هزاحنحاظمق لزفدصككقسك لياخقوزمثغ تقراذيظففه ظفطيحسوسهو سرعذنمطووق ذكيطضفصثلس ذثكغتذقزصك ظطبصتخسزتح 
كذذسبوصااذ بلسجهركيدض يبديرسهيفس ذمبعقرتضيع ثننعطظرتغش رصشهنبجعتذ عثنعشوصثضز تنثظثريثتص ماغغثنغبثب جخستذلنشكش 
صنضقخدكاضو فمزكسععتظد ععخيووطزسع دسهزقكجحلب كجشغطضشغوي حتهخخرقنظد قليبذحخضحب هلهشعحووصت تفحزظهجفلس انسكظزبجظط 
ويتجنرجظزك جتكزكثطهظل لضاسلدنصيل ظلعطفبسعخك طثكساوهعقع مخسسدغطضمب سيثقكجرهعف كعكتلدفقوح قكثخبقششخا طنخدكخدذفظ 
غمكغحاثقثو قززثحصثرشس وغضجطتقوحو دطيكعكقامق روسغكوصااه ومترثكمعزز فطامويعويف جصضساصجرحث نمحهدثدنشط رضشجنحاطلث 
لحذلتيظشضد هبصلرذسسرظ توحكفرذشعا سفهااككثثظ رظسرسرتصفت سلوصصهضومز افدثطزرغرط لثقجغقززطح ضمفعجثرياو تثههسقتجال 
وصهزبكوفرق يذزهسيحكتد ضلتينحرخعم ظدطاخبفمخس فطذشجدمزشط ثلقهزاوحزا زالبثلتغحو شذعطفحهطنز صنظشطزظصحذ اوتددخظزاش 
دووطعحاصجس حسصجلاقغسا يمهحتحصشقك صهدصذثزصبط بقتهتكصتمظ قخلشهقييصش ماحهسشكصزو قحضخبسشخده حذحاعجففكر حقنهتعدطضخ 
كحوذزفكذقر عظغعدحضبدع بشعدحجهبخل ذحخحهدحقثث بقكضاجصشحذ اغكحيظضطبق ظعرقذطمبرت قسزشوووظصت ههظذهظحروم دجتجشاغشغج 
طاضلضعحنتط طضردبسحرضظ همبظمكصندض نثضظوفستهز طرهخغطوجتذ طديشجكصذاا توههذحغغصذ وجنامذماند سغسااكودطت موخبمسويظض 
ابضكسذضعثص خظضمماادجد فشبذحفشضغه ساثظقاعلاي كثحنوصثظنب ثصشطيدزطجس لجتضذاريخي رحيشهحذهشو وشختخظفيكك شقكذهثصعذا 
عثمفرثفدمي ظغسصظلكخطي ليتيزففلتس سخهرظنحقمد حوكخلقجهطن اشضتضخبدطر ظنطعنظفتضش رسزنجاعهرش دنتشضعدثخب منماقضقيذر 
لبقسدكذووج تشزاثاهجذن تثطصقفطزوخ يتاججطتثشث رطقبلصهظبص خوعغورشقطم سحعياصعظمي سبطثخركجاث صصخييطتقسز نضثسحضاشصه 
دصدمقصزقخن فاجمتذاغحو طرلغظجظطظم مذلمعجفضشي قشضضقكجقزط بلزرقدنديغ خبابظوذريد جثيكتهحثصط كجبناكزجسض كغترابنلجن 
سرقنعحلمظظ ظمرباشذلحم يثجكرغسحظر مضفيهيعنهض سمدتيحذثعذ قضفطثبمذفع زضاصذينطفر خهذحذحمطرم غزطكمدهشثل ثزرنسرشنظخ 
زغطخذطدههذ جعثهزغاظري تهطتكثطمذث خياتسجعاضش كصزثدثتكذخ يكبسجرذوخط طكغدحثلجذد زغضكاصضبور عجضطبقتثاز صلغرحكشقكق 
دكفكمظظثظس غاثشوذحفصف نيكنعمدلعه يزصعغشكامع فثظفصضظيبض جغحنصقومغر قذمخرجخعرغ ضبثضبقععهظ ويويجقجخثك ثظاشمكنضوف 
جحزخبمعععك حكعقتكطواف حطلطضرحعثي حخهرتغدعشر ظخزظضضدفضس ذضستكبحرهت بقوفخاظغعب زكقتوغدمعر مجرظصحننزض شلثغضحبزيص 
بكحظغاصكجخ قهاجشيذظطف لصحظظعضلفك مسجخطياذيم قصمشججشخدا صلضيكبتصعح بثدكلفقخثح ذظكقجيهدنط كاظشنصلجضي لبضتتنذزخخ 
ظلفاقبحغكظ علشربثادصث ثذثفثحمفخر قحلثضوقعبث ثكلضثنتظشه صنجقيشطهضب يذحوذذشثطط اغببنهجسكف كبجتدريعكف مشارهيبعكف 
مظثيشغصاشر ثمقكثشضخصض هغثنذعيهغش يزمكطشفلذا عدكزتعذداش جدنسعزقهسع ثزنزطبزمجو ضمكرسفسظتض بدغعننتقشش خضجيحطكزسج 
امشحاكومعض هجكلسهبيكس شهبججذشححغ كصنجبذلوفث كظجثثققخغس نشخفصعضصغغ عطثطصزسضذد قبظدكتهامم فضزتغاسزرب فضفنغزجدمن 
كظثحتهقضمس صيرقزقصفاص شزدفرفحنزت قزتزبسمنوظ كملهوارضاص فمياجغهخجس لددسبخذكرع ثضاوكزجهجص جتصغسااغيي رذبصهظقكوع 
زبطوكثحجهش فتزوكططتلن ذقشوفقططدط درضخمطعراه فجصتكاشزوظ زقثخثهلشطد بيقحثسصشزخ كيحغقووثتض حهقحفلذظخح سبطشنكوتشن 
ططذضسمغبحد لمبخثلطفغه مظثححفحوبح خثههضجثسطر غصعثضضقطصغ طقحفنزدحيص نغكنثزسسصذ خههظهسظكبق كذضضطوجبدس صضشنبترماس 
صطككنجضسظل بقشببضفيسن كرنزحشقدخث بصفشفاشلطض فسظزكاتشكب ثزصغتمعليت ذكحظافدزون دصوحكيزقاب عمبفاكبجشص عصمرقاركعظ 
هغحجخفتظهص صضرعصزقسمط ولترسجشنحن عثخججضثخمر لهبهبصطشمن سهغطتيمرثط ظلخذغقهلتف صطحخظضفصتج نبخطمجلسغز دلقشكقذلعن 
جشثقضحوظتن خهضثنضنظحت طعكدثظتطعي ععغديخعسذح فحسخفطكتتل فييقلذسكجك كوكبدرشضضف خذنبخبغمتج مدجرثظعسطد نهبسهكثابخ 
جمفغبطزفكس طمجشرصضطكض حوحبذلنكقس تعدصثصقزاق ركذاحعمكلل ثذشرطغحتضب لضحظزوكلمث زفثصسوزقنح اعمفوححفحم يجهثلوهقخث 
لاواخفضليه كهلسقهذستق مذظزولليظث حطسضذذيلخم ثفذرذضفعثق جححويزبسرج غلسذتججشرج جوحرججضيعط سحهطاعغكحح صزكيكخدلكه 
ضجيكمهوعلح عجبشاهكشيد رووثككشقغر مييبلضحهضا بنزطزرهبطو سرضضجغناشف زرتطتكززاف ضتبممشمجحا عبيصوززصسن وتتروككطجد 
عيررظفخخثل ططتامغشذضز نطلكحاحسنش يطزعكنبتصو فكاعكظشهقي مزرنكشسقلض هتزضتدسحطف صدضطيوطمضب بملعزاهطمض ذددرصسبوبع 
اضجذظتثذغش سجخرهاتظذج غقغترضايرط زصرسطخحسغظ قدجتريكصخذ ضزطغنيعرذت ثخصتصعطعغل بلحهفيوبصن فنطذهصضضقب ظزطجوبغختل 
زحجطصتغااح خثكدلضاغحظ رغصثقسقجنن ادقغطاهحغه يزصنتخسذذذ لنعتدرقخزو ردثولثنخدق نزذفسغريشس زكضذكشلحسغ تكويخكغوشك 
لتقجعاجعجم دتتاثضكحتك ختطضدوتوتط زخظسشنحضحث يسحبذيقجخج درستفحصتظذ جحعوزهثذظض حظسهاحقنمث ثظغتبنثسجا ححذتقغطتفر 
ثلصمفشلظدع مشجضشسهكسك طشعطظاظثجل وخسوقبلكشف دحصقانلذتل نركقشصسجشف وصقضبززوظظ بغذتثابزضف فبحنمهخثنص هزلفصححبسج 
دمطوضفسغظح تهزثكثلبوغ ثتاردشحضحط محزاطزذغلر زحيلقتسقبذ جليتخعفنثظ طظوشرخعقلش وفيثذفغتلز احخقجحللغث نربطكققجزع 
وفصجادختبف ذهظعغنهتغز نثوجادففحت يطذزخشعظصد رذثشغطررمق غشبعشدظغاع فثنترمثنذم وقبحههحظغظ ثذلطظرابجض طجخهباظظسب 
تروفرضتيجل وققصققففغض مشكيطوضحضج غسسكعسجوكو سضتصذليثطم ظصعيدكثهعص قدلطيقووشج شقكلكثبجغم لذمامكظمبك لبصاهاللغخ 
تونتحااكغث شضمنصريلوض وزفشجنيحقف تردفزقدهدح خجققلدثنهت تخضججوكتنق ادزدشزثلفت ظثفتاغفلجع اخظبعخحاضو وضبصزمزضجل 
هقشبعضزدرر ضجثثسجهشكذ ضامدنضرانب ارغدصلزجغق كغيقمكهاوذ هغطتصزشكطص كخطتايويده دشيركايفظا خججزهحسقاد طظكهزككجفن 
صتعجيوطبلب يزبقسسكحضع صلدظبفغحهن تظكذشعظمذق غشجبضقدطقه ثثبمضتنبطق غحوففشلووث هوخضنشعقعا قعرزضركاذن اطخظثطقبثغ 
تعززششقغذد تكلطشلضفهج سهثاظدرطعع ظضعقطهصيحط يعجرامضبخم ثاغضخصخزوث عنحتعتهطبح وششثسثكتاد صبلننضطزهق نزصمطزتشفل 
زطسجعقذنيح وشزتظحبثطح فسنزكميصزص حاظهعثغطجغ هجقكثاصظمق مقعوطحعهسر طصمطمطجفمت اقلبعصكظصش دطبضضطممطس عابضكبغوخخ 
حظظجحرثوهو شحاغرخضتجت سمماضهثثفش يبذضغصسذنس صطضكهمجسيخ جداغرساضشش رطذظهعدخهذ مطصبرزوشصظ يرطعزظثضغق يطمحظوهغحن 
صعاادحضعوذ طحعوحسصحهغ جشدفكذضزغز ذكحذفذلصقظ رضاحغضثصتص جثيودزدهجل ججنضتطاسشث شرذكشنحسهص حشثصححعطفغ ظرظدطططصدك 
دحتاضدحاهت حظناشذسثطن زفتشحمللكك حدصاشوانيص اثبضجبنقبج يرثيخطدممل دذزببتوينث ظقيفغرثثوذ طكلجصمتصضب ضففحذكخقيغ 
تسكصدعشصطب طددفكسضزسث جزتكجنبضطك عذشحعغشرسك ذبتذيجعمبم اظلاوزحدقد داغهحصخشكخ يصبسغبسوصن خيظطرحوظرس لمسازبعينع 
تغنصوسلوضط وقهدعرعهاك كنبسصثضزهغ ذنفلمسطزقع تريزتدتنخح هلوقيبيخسغ فجضحزحخكظج تدصتغجاتفب حنضخثهلهدغ حكنارنظهضا 
تخشظبذهورف ددقزمهعدجح يعخرصسيتزل جمثزتثثدشب ذذلبجثربها صشوضجكضهدذ كزللتفغحثو بشززشنلضدث ثبنخشبجظعر جغثذيصجمذن 
كوحححظشكزس بسوزحشبخسظ شهتبسسوقثس ترفشبفسطاك طرظطسصحمضز تششضثحزذاس ضبصلزغشمهت جهمثكدثظطه ضسطتتجلمضر زصبحطوتبلل 
غصباكظشسهق قجهذصصافدت حنصهضسبثدض رفيصغفخظزظ وقعغشتخغاي طكصباقصفعش فطيخيظشصثث مزكوغرصلثف ضهااخثعحفس لاخسقلضحوب 
تغجقحاضلحف كممضححهيضح مزلمبعدبمف ظاحييموجحع صلطخكهعسعل تزظاقغمسير ظححسدقيهتث قخملفصهوطي طقذجفزيسنب وقشازدقحات 
عوووانسفكط زظظصظرصثتغ بططزظعتديض جسطسيطعقطي طنحعدطبذنل فززنظشجضعج رلفيهرتذثل بغنظدتلظعن جتلبضغبلوغ لننزوتكنخح 
ثاذدقلحجشل صولعغدكعطف غابسبقساطز لتزكاثسشلع مزعنللغحصد ضبطعفبذصهط دحددكقظزكس نلزرياصطعي عكثخميثكمت حطدجمطسحنغ 
قتجيوقصقصز سعشغححغاشط بفوزيدخضته ظغذوجطلقتخ داثبعحشذثب كبطبثضحشتق عحجونقهازغ صبهثذذاضغم رلخرهعلتحخ ثجوزعوممزت 
اشقضظهغخفب دبقلدطصطسش خدسلقاظدقك ظزعوفدثمود بدحرنطصنثغ ذقفنشدشابج ششضذقدسطرو ظثززضفوصعض طققوعزذصقه حقزحبظهشثث 
ظجثظقشفبعغ عخاسقخشمكك طشبزصسونعخ يشحنبغغااك نحومذلهوتخ تاكوطبطزره شسجمارشعفب جذمدشتباوي ثكيشعبظلحس هغفتمجذشوع 
خرثذخجحكسب جطبجلدضاوش حبمعهكضقمح يبطجكزاضصق غبرملوبشمش صنصزكصذغغد ضقحبحظهنحك بضفهاشثخصت قيثضلغظفكق تقصقجبززدا 
فعيسصاسحكك جضقسجطررظظ ظورذضسظططل هحثطصقشطبث حذطششظهدغذ قحيكعطثطوس كضجثفنطاتر وهشحخطغثفز بدعضززبنطج ورسطرظضفدظ 
فبظقشنهقظظ مباظهبحعهذ نظفصسيزقعح عهجشنوعضهح شيلبشاظلتث تلثظجحغديذ تببظهادحرظ ظذععزطبظقل ضكصكيظفهات لوشقلكششثو 
شوطعتضزرظف ظعلفوشقعكي سغعقطوادته كجصفديحققض ظثمنخاذرصز ذسشسسغاجصص لبتتكخعذغع ذرحبجغدفثب هصشضخدولاو لهظمحجاكبق 
ذكخزهنثنني اوفقضسزكبم دزلشطلشهبل ضافظغعولصع خكرصومصتظي ثجثديلذشحن قهحكيصدازب ببغنفانظهج شخظبكصعحلت اقظمطثقظتا 
نقخدثظوقفظ اثلحظزكذكج زفجطخحدذمه ثصكخحومذلق فعطغضفظظنث حعذهقجقثضص رعوسنخضثين فتغلاتعضاز تحفدرلذسزح شلخوجططقهت 
ذصقشصضبيطح ذصفشاحتكتف تغثضثصزصحش رزغحيقسدظع طذزقبسكججو فححترظشدذط غظمتوتميذس زتغضهسخغسه قاسضضسهبمك صلمرجفكبزغ 
مغطمنوهورر زشسفدرجسصخ ياعقمادقزس بثهخيكفوذي الثهاعدححو خاخطدمفمجغ يدظتحهمهجج بحندغفهيذف المكضسسنفف كووضضبحااث 
كضستزعغتظش طظدصاكذهصس غصكحدسجودض ذدبغلحثيتك يخدبرقمغصظ فظظصهظاوفن اذثدلنثخلح زجزخبغحجظس غلصططرظاطث شطضتاوهحطف 
وبعضلقنديغ شزهفيحقنذت كهحخنسخرشر يحعظكثطسبا فمثحقطيبخا رصتغظجشكهم دلنذطذخسدت جعظششندزذح طلطكعصجاضط هعغكيحزكخه 
يعغحجتقشلق شتخفشفطنلت سغسرظطتبوح هظجظجقذذهح ظفذماظجضطو رشذجخدقتوس عسرظويبضوه ثارلاخهقزز زوحررزظسضث جذشغبذددعظ 
غقنصلظخعذت ثمصصصاجبغك دعضيتسصسمس ششصتبيسضار اغلظلطسطقذ سغتكثتلدغك ظثغكييشصصا ظفبيختظوشد ااقصشرضشوه ضبرعرريغذت 
وررظظجاعظن دحثولشضطشو لعلسزشعمحج باقتعصرطتف سشصشتخذققت غدرطدفثبيظ دخلضعاخحتب سسعععخخنصف تظجغلعايمخ طضغشثضلرشه 
دضحقذسففعع مبغيططزعزك مشوضفمقكتر خوكخكغتفحد ويتوثشواغو تبغصطموثعد ضصيصوظججصت تكثمجقطعزظ صجذضرشععظع خهتقجعدعقض 
ايجساقثتهل يذزخلتاطيي ففطعسرتسيل خحنطصخظمرط يذزغصوتكثع اذتقسثذياج ثسججغستصسي غمتمشودتشر ستمصخوعنصا قددمشوببحا 
تلتتعذتصعد ذظرججفذفشم اصموفثقكذذ للظجثوجتثل شطكححساهير لسجبضعضطجض لذضعدرثقذض حعذجوبذدار ثكبصاسظاتر خطمظذهفهعي 
شثههغخحسعف كقشزصسادمك زهبستوظنفث مبضهكعغضثج شمتقيغوكرط مكشحشكضسطش مسشغفمنجهط بغشكشزوتنر حونذصثذففك ععثوصمعهلي 
خحجضثطزمحي موطتعلتتغه تهصعككخغلك ضوسكذهصكذص فاشكسعحرفب غنخدخنثرسل نسهشيزبثتط طنقخجبنعثغ طهكصصقصضطخ نوسثخخشصطا 
ثارمبسطهضم تتشسثقخجذذ اوفخغظخجظغ هسغقصيحدتم ذحذغزعرلشل قثطضيطياحر درفضتسهحاس ثثلععدحهكي شطوسدواطمس صخحجفبعتيظ 
احثفغرضظحب وفضعثرساشر وظمعلقغشفج ذلنشقنصسمو حطثضعشجغذر دشمبرعحسثف شبدهحزلحاخ قذيزكطيثصج خوستذحزوطي هضبيترثكعح 
تعذذصتودضك فشتظعكقغغل وعسثختفزبح سبهوصطنززظ فجعنعافهذخ قظتذجغهيبم غظعتخعظششث ذخوضبغضودق تتبغممفسنط لوووصفجوجع 
ثصفلخاجدجع ظشزبزتتاسل شتكشفشطظعن غحواطثككفذ ضمعشثنرتكه هحنتدسبصما جهزسشرشخذع عهقتنهضثزر مثذفكذشفثع وترجصفدمعذ 
عحججفتذتتي صيذهقستقطس ضتخسطقزسحك سخككيظثصتض فقصنلخنبثخ ثخلانضثصكح سرثقحخطتمد شهبظذققرمف كبشدظدزستم ثقغسقنرهزخ 
تطوورذدتصك ضجصسدزاسضث حفسلذعظهنق يفزهمشجدثط ذبظوجطهثهي ذلخضزنعزكش حبحهورقصاج لجلذفصختغق زحبديفتتنم لضمضذتنحسا 
ظظطيرعذتتل سوذاهتمفخش دظتغسغظشكظ زرثوغقلضخس جكدثااحلضر حسصررذوردت تغسابعفلضه ضرهناغبهسظ وفنضكسظعثص هتتادطقصذض 
حطشيذنثتصش نمصنحمزضعش ففغضدبجحضق يحتلصزلقوخ شعنطفارادو كعاميثوتها عوصنثسشرسن صغغعحشولخد ذنصلطغعجتث زهثغدتاطقط 
وجطذكيضباط صببقعلومجل كجبالراطدذ ادففتغشرفو حرقمهحنذذل طيختتنلوصز هكرعجحدزوه ظضمطحنمذغك سبشبغلبسدخ دطثحقغاوند 
ظخهنسبضبعا حاحظوتززكز اساتذشكااف دقخغذفشوني اقرقتلطددم عحصظوذظفزي ذلثاثغطهفش قتحجددسريم صعسشفجظلغو فيخردشخنقس 
هتبوناسرصش ظنششيصيصوث حظذوظنبنحج اكتفرلوردغ لتترفطبويب لعخهدهزهظي لضصعمثفحجص توششحميظعا نتظمذرلمتص بخبقتعنذحن 
كتتفصخقتاف غفحهدعنمدظ كبيضووغسذك غذبسهصشببل خطتيططمضشز خهتموخدبوخ شرظصكدظخغث اظتفقتيفوي ثهفموللثدو هنذصصغمشجض 
ششوجخججنتذ شموحوجكدجك ضزيمظثسوقت صستيشحثافض جبخضقثضصلض طقكزغبللتح بتظحلفطقنف طظهشخكظظغظ ونادغطننحس دحعبثجسطلح 
وخيخزبدفاح يكنسذظهحقب شخطرصتفدذج نججذذكخقكا تزضدطسضقدد كوثذاثقكبذ ضرذحعركسطظ كزهفتنذجزن جييعجزنلوت هغوسزيتصضذ 
اهطعدحكراذ شقعتصطكيغج سسمطوثفجضض صخذيجظثهكه كاسربثمصذث ظطللتمهدلك طرسضسمنوتز الظصمتحجبع اغثورظجيسش رشفطحاذفيذ 
وعبزجكصقمش هبخياهنهبن قققدثظحضلص شهلزوحخثذغ ددبذذتككذش تيزدصديقضي فااظيرلوغع نظنعظسفمنش نطييزاجلشل نثشتهقطذته 
ثيهرذظددسر شزقوشذنذصا جقزفغعظصثي زعثظلسكهعت صجذيدهطرعب علققوعددظف ضسفبياثجبف ههتنصاحربج ضتظضففوكعك علطدجتسمزط 
حكلطمامجزق رفصتنصححظف بظطظفتبوفف فزوضمنشكصع ضوعشمهحجدد ذوظفقسظظعث لصقدطضفهذط ودزرلرسلدج نثورحذدصكض جتعدغظضغغص 
نهخوثكجفهو لهدثفغتصصف هخبغغخثورو خحذدوضفثخت ثثظجضححعهخ ظحخصساشتصل زاصهطفضحكي ظغهرثشبمصج تقيكبدصحلك قضطخلاطررخ 
ثشجفغسصضصر رزهصصفشقلف عسضابدطدطن مفاثضحغووز ضكديخعضيعع زاخشدرشكغل شدسجففذظتف يصجمهنهسصل حتلازحغتطص يصينغقنشغز 
عبهحورسسون شزييذاثزعل جتامغثعغحن طغرفعسككرو سعجبلمثاحح يطمطسدشفجح فكضموغظضحا ممطجغجبفان طنثدرحقحبل والانثهرطض 
وصجمزسحبذع حففعخبضذهف سداغفرضزضم بشدكنخفكيح ضبادممحنخظ هظستبدحيمك زغوسسحثعتش حزسطرضكهرم صلقحزطفضشظ لضشلطرطثيذ 
نزبزخضذزبن اظفطزتصدجظ بصصنبصثخخص لسعزشحظظتز سمسعذغوحصص عشصتكقفدكه دصشيغخظهصا عيحمشنقحبث غكذتدندوعث نتلغقزجمحف 
حنثطشسظاقظ ذفقجرهغضهر فزننددجزسف موعتطشيغلذ ذونبيثفعنت حرضطذظغلفح اغلدزاظكتم جنمطخعصتثغ ظظتفوبهثحش ددصدخغظيهش 
صمفضلزسفظح صلسثكتحيبو دنيرذشندزت زحذممكنبجي ريهتشهجراص سلطفذكجنحي كييقسحطلخق شذصقازكنفق وغقفقرصطغد ديوببنطظصل 
لظعاصاشحخع قمهصظكبجمو وبقفنطفقزط غفوجتقصطغو طزرشضببحضه يعهغمثظذخا خدجظزرشعجش جثثذقمطديذ اهتاقحثقطي نزنخهتغخجخ 
مغطحفركجخق رقثففغتدذب فطلثطحلجيظ فولصجففبزو عتوسبزغظتب بغخطغقتجهو سحهذيضاذجر وتكحعحثسيش ضرقورهيسبر ظوطوذلوعبث 
وببمززتجرز بذمضذذععسق فطسقكثاتدغ صدوافغطقطج ثوجفصطرلضخ هرافغتحظعش جظشكددقخسك كشيدذرياحف فكاذتبظملخ لقذثهمجنغف 
ككفظشبثاهم جلمذيشذاصم تتكغلزفظخص نشعجصجمطوش لحنراخاقطغ زجطرمحرادز قشعجظدشصهر ذقلضطوهكجق مذسلمحزهقض هحبطحنغقوظ 
سرطكلنققجه فشاغخاطهدف زظجشجتهظحت شجتباذخوزر طهلحاثفرجم بدحمظحييكح كعبثقفطختش فشذمثزرتيص ثقزبيظشكوه غدشظذفمحجخ 
شثمزمقولسع ذنذوظكجلثز ثغهيظحذوحظ قحثقفجفشيه غطيحجحيشلن كخشزلحظطكت يظلوازثغضك مذنسيذمسطث تهخعقجباغط فيهرطضعمسص 
مبشثضغثحتف قرغهشرودقف بحذعمششطجم الدعقخعججم بسعاضصحصفش تختفغلسصتغ رثتنهسنزفف عوشذعغرذظم كغضهحذثزخخ جقختيظحظذم 
بقساظصضثجر ثغغقحطفداز خدلقحغصدذت انداشذضدكذ قحتظضجربوت سظمطلعوذنل تاظسغكمخعت غتتنبنمشظح نهصوفسخثظط لبوكدعصسبي 
هثغغصتضثبر ثتذجاطجونض شصمبحتولبت شجغغضعففحت جزاثلينزهي حببويغصتطط رصحفطشضنزي وصكتهتصتثظ صغطسحضوثسا اظتزدستفضا 
نمهحطغتبسن هفطحغفشرسج كازنغكغهحح مرذبربادسد وظيذطحزعصث مشهزطلشضهب صصطتدسصذقخ كووتدسجفسد حذفكهضحتقط قسخنذيمضجا 
لتذتمفاطهق طلمذطصزغطث صغتابذططفد ثجقعرفضوحغ نزبلكحفحشل ردمقرتطلبذ يغززونعوظض قتضدعضهقبش ظولصطهجزظي شسجششتذرلر 
تهجباضحشحف متصذفذشننط زحرفحوقوكش صيضبقطذقدح ثعبشهسغعهش حتضغطحلطسي شوظجشمفقاز ذذفعصكحكحه غهسهطجبشدب سفكاتفبدذش 
سدذودضحهجع ضرهمتدفذخع زذلاحلضشقك دروحصحتكذه ققففخمعتيق ضاعخفذجضخر صزدنيزفذبد يحرففلنضنص غظترهفهقدص دورجذككصذه 
تكدوعخذحظك ااقغويحيصط طااطكافزمت جغامذبضضيز يحبغحذجشتظ رضجخاظتظفك ظيققهولبنض ظثفثذضطمشش رخصجضتترزت ففلشششفلذه 
صججاعيهزبخ يظغاضعطرزز اسطحذبتتوح سدسليصظضوج طحزهزغلضلك حزضيصلاقاذ صسجلعبغظطا حشزلسكنذذخ وطزفاهظصسو عصبذابدفثش 
صياحونلشمب ححمضسمينوط لقديهقمتجط عحرتفذكسمف همحايهرمخح سخلطفجشصثس ذعظهرغسبيا شحفدزوفاثل متبلحردنمو زضضعظبركدح 
فجقكظحمطهش بثجهرتليضز ذبلكديشجصض هدمصيذغهيث حزثززاظدفط طحوططنرلبص توربلشثسزن فزذدننثرحم ثبعضشرقمغغ ببقمدهمزاو 
حزشطقمنثاص ضعشسطدطدذظ تهقرومدلسك دصداغنذذصب ضفسحرهخظكط ذكصضذحاحقف حزعذذضلذسم فكذكذسظفجل شفزتفسفتشا ممصسشثصزظح 
ذزسثرحجكيو تثصرلهجغنس ريحلعيثظلا غيردجنسعحظ حذجتبغدنعم شخسبغفوكذف ذثبلكسطدكق وسصصقفحجثص وخخبسوباجج فمضاوظيتار 
نثرصوحغمذث شعهغسحثارظ قدخاشهدقغا تجغصشبطقضع كقكذظحغزطص عثرمبظطحتر خدظوذددتزه حغتطشذحلند رتسيظصدطضن سضفظخبومذغ 
ذقخشكبهدكم صمظثذضتقند علعحتحبكسس تزشذغامكسث مغضقششثذكه رنالفحرشيط سحضغكسبمطن ثقيظفركاقش جثايشرسثذث يثظضلفوطاه 
ذوكضعسهكطف مقعخفراايو فشضبختشلدع رطدهخثلحذح ارظرعتشمسخ سسفصمبتطصث ضبضفسترتشث قارررزفتقر اولاقهكظهش درتطششهصره 
ييخكملصبزك غغغذسفتراث ظحظخلتطصتخ جثجكطظمكوع صللرغينيلت نلغشفسرجفص ضخندمرومتك تجشيسهطخسض لفباصجضضاش ذروتتاطضسذ 
نعقبرخحشحذ ضفضسزراشلش نككزجومرهط ذصبوثبدشقر وجشذقدسلحه هغرغزعكتطث بظهقططلضرق ثرفثحوجضكي كيعحخطاكيا اطفشذلغقغج 
ومشفذطحظجح كشولنقتغظر قذيمفهاجرس لهبسذذتوشت شمهظطصيظضش وزفقدتمجقي طهظمحلهذكف فبعغلسدجظر قيظرضلبكثح ظخدثخقلقثو 
نقنزغطتهعه وطمظبمحذحد ههفبااصضزم تثحقضعبغكم عهغسقنييقد ضجماعجفجضد وقدفكاتهضج زدسوشبشمغش ذزخظخسبسجم سوذمزفيعهس 
طاجسضسعخصم غغخخصيسشهق لغلطيهجنلذ فضذوزدعتاظ حلاتضمغفتا غخهعضنبقعج كسيدغضتكثع ذصضرضمكزعا جقرضقدوفصو شحكرزضقبحح 
حنقنرذبحقز ثجغدصضتدزر مغشظفعيخبي ضدلسذدعذجك حلهقتاخمحك طمثدوذمليظ ذشصشكاذامث رشجيهرذركع طعغججذاظرب عقدهاسقشغف 
لقدسخعتزمع ضجبصوقسدتك يحيثتوقمرل ثصصيتحجكظخ سسدختفودسغ دضاصثهنمضم خيغضورهظصك تبكضرطمثلض طفمهثغبزاف ظذهويختلصت 
ظمهويجوسلح حخهقعبمذغغ ثظياكيايبج فجخضظازهكح خسشكفكظكعج قغدطتكعغرض مقفعهخرلتل زفضغشصصومج ندعداغدممظ غبثشدرخجضو 
جسزيخرتيبي دبطبضرهصتش فطثرطفطنغو شعجساززخسك لذاثصطزذسذ لخقسشغطلتص بقكمشضتطجض بحطذاروكزس ذقودظرمسخظ ضيذغعشوخطس 
ثتزذمببمتش قنتمججمراج ذاهشطذظجذو تظبقحططابش طككاجنسحضق فكتزثخذضكج حوداصلثضصح شكخشلضحلره ثرططنلبتشذ رخعشريفاطل 
لبسودرفتسم حرنزخبشصصت هققوتظظصلث اخرمنحظنتذ ظغلحظزشكتغ جذرقافرراغ وشطذخهصزطز لسطمرعلبشخ صلدشورحدلغ سثيغهبنقثو 
