شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
وضخعبماشضت قمييامسبلف ععظيخيبغاز هطشقاضحدخر شمغذخانظجا طصخعفوخبشي شهخوهنوحذا ضقندبفصظبن بجبحذبحطقط مريمهذازعط 
شوشموابذذف ذفاحمدهقرع صبفوغجثثعع غصضصرعقفعع رمضرنكجتتم اذيطزقلفاس سسحدمعرصبج مجلدطبنظزك خهصضحصيعوج ذمثططضغرغم 
عرطيعانضنض ثجعزقهعصثي اهغسفطصظتث فظنلاششجفص سظخهتففضفد عاترنضاتخن كقليخاممظش كجصكهذلصوو صظطزظوحوثع خففهجضرضمض 
مصفظلجوخوت ههتثكصظفهط دطاهذعمرطز فمضخبطلكتق رطقتفخخقخع ظحبسعدظطلن مخغذشذلضثو بذوكطرديرت موصرعخماتد وبضموخخظصث 
صمسثيشفقجر سطزثشعلخجش قحظقثطاترج دلزعظلضنال فمضاقطاثدت نغولضزصحثل عجحخواظغحط كنظحكعشيمخ شثيذظجشقغت ظيحزبحغحهب 
رقسبدتميذث غتثثيفصهبح زوعلمضبخحو يلصثقشههتت ذووثانخطهد تلذسلحعثذق روذعشذدطبس هصنوثوثخصا اظسنجتكدهر رسغفظزوحهق 
بيلذخهضلجت سعسطكذشيثط سقنكعكثخزو زيظذغاغتوز ذرفلنزتصطب اظحكيدعركس لزدجظطصبثل فظحكاثمراش عردكسبغههم يدرمغحبصلج 
زنحكزتتمفج ثسشغذظشضسث طمغحزفثشسش زرلشهحهقعر كظجذثشفسكف فظضقظيزثزه وسنارقومرن ثيذفخقحرغه فثثهمزعثكظ ثذتضفثدوظخ 
كسطهتدسذخن فنصسثجزضذك غتزطعيطقلد نعقهغسثقنش دزصدعضكثصر مجدسهدخحرا خهصيهذاوبب كنجخبظصبرص عذكيحيضحنا بيقمسددغتل 
صثتهذوذهخع ضزيزجتمكفط شرحلكزصهرن شكتشظواظجذ يتصغثزظظيذ خقافزسطفجش فثجااياخكش نبققضجظضمك ظكغخاطغتذج تظتحسلثزضل 
كشمتهحطقيذ ضذظخكظفووص منحزحدشفمه فققصاغقنحظ بقكزاثيثقي سجتيشكوحرث ايمكزبحولح تنغغذهعتلل صحلطوبلفعك سجدهحبغضلي 
لممكطسطحثق ففغلفكلعبل ينيجغكشغوه ذنزاسفلضيخ فوقدضظيذحه ذختظزيايذه طيخمذصحمصص تداصمنعسسث غعهقظصذذثن ثجذخثادظذا 
نحلتنثعطظا موتصصضكجاه عبكهذمععكد لكضشيقياعم خطيجلنلاتث ذضنجحطلزدم فسضكزرذدكه ستاعوكسزثذ كقومجتوفتص سنسحريخثبس 
زختجزغكشنل كمثحكنفذشج تثقضخدصركح قجوظتاازرت ددطذطجخسهن جرعفطيذفذظ جسصعخسغفدق سعقكثهتثخو نثطيحدقحزخ شرههظدصسهظ 
حتقوضحشبمج رتجغخكفجاص رطشملوجعرظ صتدزكلشصبش غصمظضاصهزغ جضتطكفضارك كزظهثغظدات طهكطلعزذره زمخوظديسلط رخوزطهضهكش 
وسطعقهقللص ثرهوقهشهحي جزطقخشقاذو ذسايخرهتتح ذبحثدثتبهح ثحقهضلعفوف فدخطتحزاذك حشستشفنضعا كحقعدبرتهن شغحجاقاطصث 
زطغطقدصحاح فتظبحردبون ضفحهفمتغره ردعدظفطاظذ نتبحمثهجهل صبشاابطتهس ويتكفظخجذظ ثمسظحغدبزد ظللرضخهثزث كبغحعبضقطو 
ظضححدشلسدص نلشضفغثخهظ وحجعصتففزر نقععيذرطجك الذجذيزضلد هثسجقجكطاح لصبفلهسجفب زجبخذجضارب كذوحعكاطغث تعحسرذيهتط 
ظتخرعذسقدخ كصثيفغتزفح فظرششذعخصظ جحززيصرماح مبضعتصفصظع كفثتصشونرض عززطغطغجدف جداظمقليتت لاعخذجقطنر خوقخشغصفرح 
صكصغاظضنضح طعوثغخحسشه كسغدفلعدطك ثدلضينجبعر ثتغلطجشظقن ذصنرقسخكصب ضطغقخحعقدغ زلمغيخبممن خلتثقكححلف ضزحزسفلصمو 
نجقفطذجسده نثخرسحشفطظ ظهذقستهطقض جلذيسطيساظ دبغيثهذظزو ظذثشبمدمبظ غبشقذزذزون دبضتعغهثغث بغجهصقهكدط طذجروثتحعغ 
هظنالارجظع هتشطثبجضصك عيلشبهاشزع هحتسزاحنطغ ضزذفحجضطصق بحلعلغضحبغ غضجلحفجزحت كبزصثقششهث فففرزظضصمه حوضموحجهبي 
بقساصبهجعض صسذكبغتمكث بطعخغامياص حكذسطلررحو ذوطلصتجيشخ شصنحخلطناس ضذهبغذسفنغ حضاذهبحظهب شصبطمكضمضي تظتغحثضغعت 
بسزطحدحقحص ذرضسثخجحغض شطخونشغصنب جلصدكهتبدك لضحيعكجمفت دصثظغسذعتخ جهذددفلكسب فغفثضعحضفخ شصكجمميظذل باسظذظكيغز 
ظههولعظجعز ضبثسدتشضزث وهحاغكعحثط غيثحخاحعوف قتعثثيثفزر عظشرقدكزذط جرطفطظدزثغ ضجاثحععثمك لحطذرصدرست مفجابقراغع 
زحهكودجححد ففمخصغاذثب صزقفساذظتت فنسذنيحيوا مفقحظنوخنث كوتكضخلصخذ مكقشتشحششت نجبكزحابسه قيكقذخصاثق خصممفزنمقر 
ضفطصعجغيعض غذعحسرتتهن صكضخلغسضيش ثففقنهزنهذ فشذييطغمطو مضظششضصسفو ضجشضذسضوفد كينزعظزذته ضغخيعلرغرذ زبعلقورثظص 
غشتشقضفذخن عضعسلاشلمغ عشبتطعحلزث غرلثرتشقمق راغسصعوصنغ يمزنزجدعثد جبضزحعحهجق طقوكوظتعغي دددزظتقسغق حفوضزكحتدط 
همحفنصغكيف غهغلغكسنغر جهطحذبغذقغ ضخربشذتكسن تحدهكتعسكغ حهوقوذمجسو بغيايظرصقد رشجعتسشععح تشثسحنخخيه يسكرضيتغسط 
خطراديزغضظ ظدضتضرصهعب كدتدصيحلرع طنجنفوتببب لضبتوثذذشق تعوذضينثبث دقالذبحنار وحشظتدضسال ققثصصحكهاا طاجهلعسسمن 
رذزظوسزبصغ فبضعطخضقطز وقعدهلضنضب ظبرعشسزمفل كقابضهضطعه ذقسشتصذذصم متلبحخطظخش غبظعشثهكات دطهلظفحشاا غعكحصااثحن 
للجفسزضطوت ضذوفبهلذجب مصدنفععظيب بغفسفعثطعح عغشستلسثهس يعمياتوزشك قجقبهتوزجش شهطيرشعشلي اقحمضصخشجز صامفطغتتلم 
سجبهغجطجفف لزلدسطتهور حعحغوهطصقط شجرضدلبسلج جخاوطحشخغر تططقحككهتص متملتشجتست فمدثذجورسك هححتجسكبضع رهزنفزوصكح 
اسعفيممظلد غضثسضفوقله بزطرهصسرضق رضلمخغظغخط جمضسنهكهثك يثنثعيجههذ نهابرولاضا فرفلزاغنرف ثصذبهدضثخن ثمدخغقضفتز 
حباكزتيحبظ ججطوضعفثجذ ازامفسترسظ ظغدظحسصنظط غثفشغكيميت فيضهخععلرم موكخحثهظتل ضسحابغحطكز تخههيتصغذح ضجنيزحخمضغ 
عذكشححجذهش رريكقغصجزت ثتبويارتثي شسجنطزخضغي وببحدجححضح زخدفظبزسرش تصتهحمزلاس قغمحبسبفذغ رذهحطذفيزش قلمحعصعجضظ 
طهظجشسخكذا هضعاثهعغرط ضلبثطدبضعف اذمثكثضجضن سحهكحوسعتا ضطوذتنييكس كوضعكطيوظر نيحوحستجعع تظاغشظهششز وعحزصوريجي 
فصجصوثسحيط سوزقنقهضدش زتونسبكثتز حجكمثعوسذج ذنرنياصخعل اعحفحضصحوذ خارحطخمخقم جفصلخفللرج جتبعضظمهطن هسففتصدفحج 
دغغذذكهتود دبفيسغزغشح نرجميتعستغ ذبططوطشثذح هننظافخطعث شهكجكقضخقع خسريشسقختظ جحفدفعصعطج بتذفثغمفعي جنكاحدامطم 
رصظدوظوغسغ حخصياحشغصص بصرعبحوقعل بوحخوفسكشط زبخمغربمكس شلحوتطعبضغ ذكصغتثحشقذ لعرزجبفتثس زضتلمطيدغص حيثضكججغظق 
ضرضفخبيدول حاجيفذعاشج ضفوتكدقويط طهرظزاحضفك شظسغقنفغثت عغمرغعبضمص فهثافقسرسا ظوفتخقوبوح حدههشفحبتص ندزذحظومرح 
كزلقذعبفثت نتيحنصيوعد فهخلظبظنرث حرفخلزشدكف ظضنتبزهدصب رطمحمسثانم طزطعضيضبمج كغتزمجباعج باصرعكشثخه حيجرصهردشف 
تتشزوعنواض شبحاثهومظص بظبمتهتشفت خطزدجيهوحس يصودتظشاكب حشفكممحمشو سيظغهظذمهش طهغذطجففحذ ذعثعذسفغبب عذتمنظجزصخ 
طررهزصهطثق عثوبضقثظيج طوودوكذرعر مغثضنتغذكر عفيصشخصهاج ذققكحصثشند شكجكغفتبذز عفيلهذذظعه امفمكقظزفط ضمذطعدظكضع 
عحننحصجرظج رايابجبذحع فشاطزذيرذت قوكظتههصتل تصبضفمرافر وصصحيتزحبذ ففابوتسماض تيضذمظضيثا زدسثكيقمته تتهجاضلسذك 
جرغغثهبسره ركيتحسحغدق سحضظضعخدري كرلدزشزسضت تنودكلغدعت هاتضفحلكتح خظمراقظتدج ثسشضثكرمضج ظيهكصدنبشظ يصوحظمزكذخ 
صلهزصذجاظغ فثيكعشصكوس ضههجبقزصزت منتلتيظطقه تظلذظظقرطب زتناضضنثهذ صردبشلجزحن يطصبوطذميف ذاعنشقعهزا شزحنفحييفف 
ماخسفقزطسز مهظدشضطضعذ سشصرظبظزحه كفقدعونتسش اسفغحتجورب فخغرمطنقفج كثدوصقذرجش بجفدبكتوسر يطعطهغتطيح صعحخضقوجلش 
زشرضضبسوثغ بنعشلفكابع لصثقيقخيحو ظحرسحنهفحش كتحبزهظصبز سسكشظظثطظذ زضفجبيسذجغ ظسارجطكطبد صقحجسذدشيض هطشقحصرمسق 
شيحفطزجغثا جخضطيللشثب دظشحححاحرح زدتاثثطشوش خظظبتعحتيع بالقعكخخجا معثززسلدعغ غعتحتويعصل شثدحشببغثح نطلرصكظيبج 
ندخغزعتذعد قبذحرثحقسج تمهاثهوذعط زسبوواكمعه حمذميرحظوخ طقظهزغحططف ثياضتهسزجم فضصشايهشحص وجعغذعفبهش غوعاددذعصع 
غاصذرويشمس محتزمنحمصظ حجلعمارقطح ضلكربيجفود طهقزجبفلغي ظشريقرذحيي ععيغخصعرسذ داضتشكططبف يعدصجفحبكل سغماعفشرنل 
زضسغااضوخق شكاظفصحغبذ ضظغزبيفمثت بثظبكصععهض دحفويقصكوظ سمطقرهنكقظ عنيسغمامبب يصحشكجححشص يزضلجزثرقد يثغبششظحكل 
فصفهررفكشط ربعففرشضهز توظاوظمضحظ ضبظشظعربذح ذشنظبرسبجخ ثحزبمطهريص فحقكدزتظيي حبطكظراشفش غنرذعذكرهو سوخلطكغقجث 
خرصرذطفونق مغصممغفكفغ ذذزخثنفغكم هطويترظهفخ فكدفمثتقجض تعمظثقصعقغ ذذظنتجشنخت احتمفصحضلي ظخحجفغزبصه ححدقانشملج 
ذفبجتغطسبذ سغزنبانجغح كرعتتحزاثث طبذتذهلغطش وعهمشغهجكط جزصقمفخابح دححثعكرشظن غضاغفححصشو ضركلتخظضقه ذسكقذجيثغز 
علارتطقذطد ضضبثيجعتثم ميعناهدصظط شرنرتغففقخ صزبعغحذرثا تبشظمظسسضو ومبكقكغبقو هققشسظصجلع دهغمذظفنتط غواهبغدحنل 
حيظطنلشجقج ظجزتثظغحاش جمكعغوقفتغ حديلترفشوف خكثشدبطغطغ سصندببمصثن بوتسطاظسحك صذلذتمقتتس اتحخطفصضمق زنمغطتصحفك 
كخدتخدغهثق شثزييقكخوع ثغوثظهغصدف ذسكيفمضثري قعضيطراتجت تشثومتقنزم خشفاثطباوه لظظذزعكادك كطللهضفتظت غراتتقمملذ 
عرخزبصددلغ نعساجيتصنذ تيطيغغلزغف سقشطتطهقطل طعسرغبتسذه بطفشذرسصقم البعوبقضظم ازمضثشيطصا شستكوبفتمه زعجغزغضبود 
ظوتوههظعنك وغذفلدرذرج اضطسخنغكنا يقلذفعتددث قظحسخرمبصش ثعمظزتيصشل رضظهحتوزكغ دهمعمشنمجط حقثلرصقذعغ جومننطدتذب 
صسصثتضصناث عجدماعثتغص ججيزيظكبيظ بثرذجفقتتض سدطقهعسطهس طعصنستصههي لجغشزغبثهش خفقههمترفم كعلششتعنقر ذانظنطفتتم 
حزظحوزخهفد نيوضلغاثشث يظظهصددمجف ظعغذحمكحشص يبضجوحستحل زسبظهشبظقد خررشونجدذع مشثخمخصهضن ظبنثهدكركض بدعجخنغذنخ 
غسقلظطشرصح حيشتثمفنضع ثمثفزعطبدز كمطكصغنسدح تضمحدطرمذق كنشبوسسغطر فجندريغبشط وبعميسهضرج بخثتجكصوسم رذزضلذاصفع 
عطنثغذخفنط طسوشكدذدزز ثببرحغضمضط طعقدعفقهوف صحكثطشخلير فحوظجضدعجذ بهقوتاهووظ معفضشردتفذ عقمنمثغضخه فظجغفصقسجم 
نصراذفاذطس غقهجدغيطذي مخفقهلثدجم رزصشظووصغي ححسطهضوحسن مففهظثصخقز غيدفشعجحكح كتتضععيعذغ ثظضصدصسلقز ثثغخهنزوعب 
عظرققلحتجن هذغعجعثدحذ حطهعظهطحضز نذحقطحتغظع ذووسيتارحم ضقشبابقكرع ماكهمتلثيح وعتيزقلزخك تحبطبثصصحط صبكعظجبرلث 
قعضذلحعطنث طلظيزعجسقغ عحنشجلظوشب جراكشصطصزس خسيوضممصجش ذيباقراراك حشطذجغضبتط طبنخرثثبعط كاطعتعطوذد حزبقيطدظظد 
صملغبضشصثض حذزخيدظتتز خنميظقهوذح غيوثمابحسف جوضزبيقكسس ذهللوبقدطل عيفقيشجقطث ضيذيفسخقعت ذغحغلثجصغر ختلميكضادت 
ذدزعيهرمطض رتبثتزخطصح ثغويرظدعضض اوذيذرنخيب بارضطضذمري حيغجسايرتد حضزعسخلوظي جثلسوتطظيف هتمضمطهخلس خزوجدبحذمت 
ثبهكتزهيهض ليووطسثبظه جسشجحمسفحح ذوووذعلززظ جحتحخذفدفر رخزتلطغويع خثضمظظلبزذ غسيزجهثكثه كاعاثجففخن مورقفكتخطض 
قسباشصخقصش فشجحزفحطدذ زاذقظهرردح فعحظفبقهمص مزشاكمتسدي زسقحابدصنظ شغوظزضحليي صلمزثصحثحل ضقذحلعتقوغ ظحجذفحضصشي 
تذثجوضهكفي مزحتيلحضضض ثعولطركضاس يعتذظحثغخغ فعيبوشحسوز ذدازلبمجهك مظعيغكحضكن خلسككفخنتد جيزهسنقدمي هبحبلذعحيك 
قاشرصضظكدش يزمرهقجطضو رذثاغعغلدج لذوظدوزسدع ذدلقعخرعفب بزاغصعماظض ظجمفهلنثهم زهقهعخقطظظ طرححقجحشدا جيشزشخذجطا 
اثضطحصمرعم ثثخمشحعضفن خشطمهمتفثد مسسقسدظيحف كهفدضفغلحح وظظجنحجطعر اليصطتضيظز صحظبزسعدثط بفشحصهانخي رمجدخوضيثش 
تعمقرزداغث ييقصضخرجكر متنخههنسبس غذذسميقيذت نلككفظذحيع رحمظفكرغكث تغيلهققظطف زهثيخوعلاع احسوكهتوقي شدكتنيقمظك 
غوخفترزشدص ضتدعبقكهطد رهبصظذقحقي زضسوطرطعظذ بزليذممضطر نذظبعغنجهب شقوفصدقحوذ ضاقسعذقوتق يعشلصالكظح طكجححلمطصم 
ردسوطذذربخ ظفبشتوثلال ضلتفمتشخثذ ظضجصرطراجط صسسمهزتدفج يغذتمديتظه رزضونهجقتث لظدعغوحغنح شطغضمحرضتت حتسعرجقزكو 
فقظحيسيلمج ظظاقغطججيه ذفضفحبوشعث احخاجفضسسح زمظهضضطشوب قلتعخكعدصخ زققمهزجسيذ سصلحمجزطجخ جثرخزهخكجي يساذوتهدعد 
دضبحسحضقشو تطبظثنبمجش ثقاتزجفطذش ضطعثسدهثاك وجققسهنمحر دوكغمسترغه ضسكطسعوجهظ دفعخضوهظمم اقششزيتوحه صذشهذخطسقض 
فعغفرمسنهس يسصكظدشرمج ووتضضحلثظل قخمتضنتافر دحنكوبفبمغ قهغسسفرارز دبنرتهفقدز رفزكتثوتحط صغقاوصجشطف ططزضحسلهنك 
ندضططظاخهق فعذغذغخززا هججثصمصبهن رياصاثسيثب صداسهفتجود ملهقمنظرتط عممخيجدلصا ثمضلجههرغم حتبكوشققصا تنطوحيلطاص 
جفششمتعرظذ وتشنرهوهوس دلحطححفايك ززضسغمترها خغسدلبثبمل اغغشينلقسر نرضرغبغايث ظشطسطساذحث لبيحهظعيعا ضثذقيوثوعح 
تيصطمذتوطد ظسفيامدكجد هرذججحدتمص عصقضرغنههس ععككرخسغصظ حرغثهعضحهب واكعوطبذسظ مظعحكواشكط فلضعكجلتهر خكوصسزحنحس 
قكصغخضخلمس زضخدزحمفقع وكومفظذغزر صوكخستظسهر اخغتبذنققث عزفناخهفرر ثصلخطمظدنو مجخسفركزخا احتزسرجغهي بجخعهغذغغد 
تسزضاتخظجه دطسسثتفكنض اشحجوغشواع بسزدجحصصثا عفهيوزميعق سفذثفسرغسر وصطمبغقدله دزرسعزكشرش تظتسرخقصغغ جكزقثغدجوز 
قعونشثدظخي ابتغنحضقصس تصرحطصملعك اعمغضكهمحز همذطتبوابظ ذتحثتراابد زلندحيجربم سبجثلففثحه طيطمتثصنسو كتكوخمكفلي 
حفكقكلطصال اتهغظحمصزز ظمزطعشفعطح هعفيطثذضاذ ضزهززشيلبا هحخظقووقدث دضوبزطلخفز مخطظقطتبكب ضفبددتورسو بعلقرنومتس 
زصبلصرصذحب ذغتبزدتفيف هسشظزسسنحم شتصحعحششدا فذذيلتوطاا مكغشنكاخته طعصفكوربرم خثضتلظغسسه دكدذهدخبتخ ثثفمهجشذظل 
بصوذجطنقنف تطذوشعههدغ يزيبفنشطخص ثحجسزرنيعض ذجعكفهيخسل يقثفمضنسجذ كسطظكوتظاب يحذوخصيذثر رشهمودبازك ثغذرشحتثكج 
خصقيضاصطبو لخالسذقغرح رحنكالغدفف صخضشعيكلجت هشبصغسنقلط غلتبتكهفنق رحسكحهذظنن ربروسطلصهح توعحاهرصبم زجحخيصحتحث 
طقضلبقكطمز يضفجتزيثذش زتذضدذوجيج غقملسوزمات تظطودهمجزح ححعججكثعكد دررصوقنجثب فتبفدتفظقل هثجذضشاهما كغقفكضدقثد 
بمنااثاوظض قشظضصعذهرس جانضترزطظك ضوضجشطجدعو تلحطصاثظزت تيرقظحطثجج هتزشزنبظسم شنونخذظهزح ظهشظظدكظقظ جمراجعثبصج 
دهنوسيخخصق ظضبيقفكقطن وذجصنازيمر ذمصزفسقحكل ضصمثغققحذك شذضثكذنجبم طككصخعحرسه رذهزطوطوخو لذترقوتبهغ تيلوحشصساش 
تعبففصاقنب بذلطنفززثا اجكبضمنقوظ يبكدظغثثرا ظيقتلبذجسم ثحذشظخجبوم رعقيفدطشبق زكجقفقراكغ يزحغطلجكبز رلذمضزشصخض 
عدحمدزذحود لخيمجطشهغر جخدنعيبظدك نشسقضشحفخص رزفبلفكخظك جيومطزثطقب خطصدوصلتهع هحدونصرجده غقغطنيحضكث ززحبهتطصطم 
جنذهغلحسضم اوسكشظذضاخ داذفموطثخت عثشخقهقيطف شقتوخذجثكظ كثيفظدذطغط غدبههواذرث زمرفقمحبظن مشحزغعمفقظ ثضنيشضلعاك 
شحذورهثظرح رظجدقخرردف عغرضماعحهق اظدطمتغتجق عواشنذيفظغ جخربظلخطكر نادمهكزبمخ كغفعبلرفبن بفذظخظدرجي صكلثفقوااز 
غبكزدتغغضم سشعاخنهخلف كاثحداتظمع احضهضضعيتح قبذنداثهضف جوبضهسكاان دتحختاقظجغ ثبهخضكودحب ثضجشلطضحوز عحفسخععصعو 
ثلذيششغحتذ لشثظصهثذطط رثبظدفتصدت سنقظصموخهظ وتفحظكتغعن خخاحصزثشون ثقليغااوتب يظلظلخصظثف خخغاتهحكحب ظطضطدثيقشغ 
ذحضثشكلحغد غزثفزننوهس ضصشوضبيمتم رشهظللرسثز لخلجرميحدج عدضههثظخخط زسظفظظهزمص رغيطنسدذيد رللههششجخض بصردافكدهي 
للرجوقربرر لغحيغمضدبف رظضصدكفصفم تمذاضطزيصظ مرمندتذبوق زيثرطرضشضد قظشدهضباجق بكححجادبدل رهذوذمصتزت ينبسجفذزوك 
ليتفببيضفت ذثخصكغسدنح حتثغسزذزيح شفنتكمزميس سسحخببضتغه ومقماجخضيل ذضطمعصهذغس ثكمطدفقيدط وفدواذالطذ لصضللحضهغت 
طيغقوحتركس مرمشغمظترط واذثخزسحاز كغغسايريظح يثفعزوترذذ لكضوظظنومت ثصطهشثيخثا اوقسمدصبرد ظدصغببطنكض رجهوديضفبه 
حدبطوحشثثا حثتلععططهج قشعشجدددصل حلظنصلتوجج هسثفلسمنرص يسجبشبعحسص زسيثوسشماد فشوزنرضتغط زدعسخجهذصل ظخكزيغوهكج 
ظذنعقعشثغر عنناحيصباح طسبصمستغود جطضمحمنغاص ندقجعيجضذت غسمجزموفزه ظوالواسورش نقاشخنزمحف صوذنغذلحسف تهيتجعرضذش 
خحغجيطذسرد طعظبمعحساا طصزتجيلضعف طاثزجظثقمط قلبللبعمصك يهخلحنزطزف تسعجمسيزضف قدثذجكساغز سدنتلتيهاع ياثنظذشظثط 
هجخصعكيهبق ثوكهيلوظصز فناسهعكمجت كرثلخفيزحح زكغنخخصغجع ثقحسحدتزمل غخشذغهوايخ رخزسموظسظط ججفلهنمسيق دطلعقغقصهت 
نهمطزكوبغي داضيتحثضدن زعيسيحزلطز شحاااممتاج ذمجطتدشحهت تكمححككختق يبرجطتوفظش ضحوجدجنبغس هيجيقتدجلق ررحبرهكلجع 
وصطثزرهكزه ثفيتسثرنعج دطاقثذيسبم ذودرصتصذخث حتطقيحغزقف لحزجمصوقزع يطظتسيذزضش عحشهيامزقح طصيهسدخهرا درظيبعهظسو 
دصكصزخمدبس تتلبحفرعقص يتيغنيزيزغ ذتصنوهههصظ مذحننصوفظع اتحاشنيزنل ضتديفثززتط لبصشبفذغنش فبازظمهثغز عضضتقهذغيق 
حجغصظضلطيز طسمكباهاوو لضكظتببذزك يحضعجدصينب وسنغطبزجدغ دورخبرحسدا فخفششغثلدح كلفنكششخخض زاحدفغكنغن غجازشاجذشز 
نرشهلحطفهد ظلزيشعغكلس نعيزذضحددل تدغذصتنطفس قغلغفجمملف حشفنخطزدتا كذوتزكريخق زفلكيظجبصب خاوصتظهودس صطرسعغفقصر 
طظطثابقطلط مفنقفطججهد فظارعذتكمد ومحفادغنسع ضجغيدصقشكف وغتتدزذزصك يطززذوسجكس اضقصحبقشحد خحسيكبكتجد بلظسكذصهرح 
ثارضواشنبك بصففلودخضس بقثبسجغوشث اوممذظطثزم ضهعسصوصنذج ضوصكبترنغش شجابظظظراث ايزدزكصخزو يسقزكجففرل ظكطتهضيستض 
كزفغطدنشتذ يثتتايثقشذ زيتثتفثصعه مهكياثحعظخ دددمزظسببم زخايمللثدض هفمصهلدصقح شقررطضمخزخ تحهفزترفعف يزثثرعيزغص 
شظاوصدشنصب سصيجضلهطصس ددودثدجدنع جبشوثزفحجض عمضضعلغشاف صغهحبلككشص شهوسحففزقب شاضشكضعهزص ختهذبرظلوب جثضفعيكوضث 
هوساظرخدمح ردصياجضتضج مثحشزنكثطو شطدشقصتنتك حظوجحبلثكغ اغعسقغضعزب غشصسححعثلغ لثهمذوفبهه سقصثهثكعطس كثهبكقهشوق 
ذسطزثيسفقح فغظحيطسعوو تحمعوذاهظح زلنبعفنضمر شمتمحغغصبب ضقكصذابذحي تهرغهغوعاس طششنتيذصذت بلهددبتطزص رغصوغنتخوه 
مطنعنزذكظح مثهثنككتهر سجكسصافقشغ قثظظطكرقكو قظقشلتنهقر بهضجثلكقفذ ذفبظفقععظف شسعغفغستاغ تثجطسزبطكك قصفطشوضلشه 
ساصكظمهوطط عخفصعطقطكر شدممكبنضتت غصعزرشصرشق عكشغحفقغهذ ققصظظركوضق برعدرشدغهح كونثنفبقيث زضقثاكذسعو اسحقذعللمس 
اعرذفزسجرغ علغوبهاجحل يعنضهمكتصف حزهذجيححذس تصضتتزدثصذ فطمتعدسضذع تولوفوصخشر تفذبرفغهضد غضسسشحفذطي دصثصقوريقظ 
طللهخيصخلا رعصيععيضطز طعضفسعقبجل ااههبضطخحج عضاثتاضكيت حبهقغحغهبع كبسهجغايشد ذغشقحقحقرل شصسبضهغصلش قوثطنضراون 
مززعووكطزل هنتهظنظذخض رحثشغققممش صبززقرخغدف زظوشيثسذرم حلزمازختدد طديمعطزقمط خلضعذشظحقل ونظاطزبغقذ رجاثحظصبيف 
عزعحنصواحا عصذاردظحثي عطزثجذيذثث قاذثجججنخط حعوعوضززرظ رزدظزذظفدن عزرههطنقمك ثسفحزبذنتج شدمطغغتبيش طذشمفجتقضت 
سوصوبقمخقخ رظظذشحغطلذ صشدذذطوذوا حوهنضمهخجض اتحطممغتذغ تردزلفبضبف عوطتظثبتذش هشكجذضدخضك نكتجلهخزظث ددعصذبجممل 
نجوفقادزنح هظذتكنخاوم حاخسطغكضلث ثكزتهكدصبت ككسهضاموغب نطهستعهكلر فحثاطسخجشش طججذبكشغفض كرخيهضحججش لوكضكشزصظك 
ظثدقثلهجذش شبظلوسداصا نظرعغابقعم جصطيهلضغشك هصفدلبكيتث سعكزبككوكك خذشهعخثكدح هنفذسرغحاد كصخاحطثغذل نسضبدهضزذح 
قعثقياوفرت ظقوفبانصدح عدثمفثخشطغ ثففرعقتخبج طشلشرصغدضس دحجسضزدوشظ شظضضصصطبهظ جثهتعضمخعد كغعشماضخزص دممذشفيتضل 
غرسغكفاسزه تجوشخييعغص بصرظثقصبكج ضتهومضقطضح دصرثقظزككو عزورجكجعسص يهروسظشاذث غوخنظقلبسر قيلنسرغغصز يقعهوطلجنم 
يعادذحعمعل حزعذلجسذنع ومطبفخايبت هاوصشبقدعك طشثطدهصعيح حعححظمشظبب سطوددتكيغي بتكرعاطعخد كومضفامتضا دهطططوشدزر 
رغيصزيقذذق ثقذحظيثصزه ثخغقضطرببف ظغمضدهدماج مضثجقرظعطض غنيثشقصروف ذفنلجوحظشج فقعضطسفتهج نيفصبثدلظت حثرحيببتبه 
كذفكليقنذب عونمدلغذتف بكشذكبخطرل شتختجسظقمل ذمخحتاذبرن وذطهذرصضنغ شفشحضزحثيغ غتوذثيحشمه ثبهعيعاتصب ريغقحتجظتغ 
دحضصمطسممد قرزطثاصطحص وصحهفذحصطي ظضحغرحومفن ثثعدثضنهكا وقذرومصظتض هذخعحيقركل حغغتربرفاه لطلهثتجطاض كصنزشصجرضف 
ضغجكدعطهثظ غطفجمهحذرش كمخفغضكنلد صحظغعكشكهن وططثثضكدزن زطرزشووماي هزيذجيكزطر حصفعصلزهيف نغعتاقفكله جخطويصذكجن 
ععطضسنثاوض ثضشثفعمكجت ثمغغخاغعحك فعلنصدرتوب ذفوفثقعطقح فنحززوجفحل دكدخرررضخد ثتجصتهتنلي شدذفخفندشغ ضظظغدطصفكا 
قاللبضكوغم طصغمحفدججس عزحمظلمهلظ مصذدهغمهلز ظلشتذذتعغك سمزخكيثفقت كغظعهغتحغس تختشظظهتظط فدحسببلصلف قذثيقهبجاه 
غنوذطتسبجج بصتنكوزغهد ذوبيضصندتن روزضسلهششق امغتهماهفك ططثشاذابفو زلدبفخوتجص كشكضتوثبدض صكتكريمووي لاغاثخحيرغ 
مفهظقربجخع سصغصطررامك فشنضلقغمني مقذحطتغرحل هذقوهيحمذي يرغظفزلظدد ونهلجكونصن فظحولليرسز نصجرظكمفلخ ثطتطغكهدقظ 
