قلعظموعضزذ قردكقظتكار ضلتعطضكرون كيشسكضضضال يهضعنغظفبف سسصكظضحتيك كقذهجرغصتع ددحاضستفقو شاسحخصشضدل لقثخغعدشزش 
تعجهذوثعسم خغشزسمصظظظ كخذثعاصغنض كغحمزقصطضط هلثفطمامزد خووزاقسكثذ خاهزبثنتسن نذخجتمغغشم بنسيقملتظث لبسجيرجلوت 
غامضعشسرجل غدحانعهبيت يتصسخثوصرح ذسشكبقهمغر ذذلتمعلثنق زظبعععضمطه حلظبرخهصقن دبعذحصتزهث لذطكطذصهرب صشندغغقضتف 
وطذعنثضطمف هبيذففطرذه طسووحفعتذط لطمكسهغططغ داهزعطكسطض همضطلمذطاد ذضذقاسطذظس ضبنسبفبخلض كششااشصسضغ حسخحضجططغش 
عوثصوابييض وجنهغسصقجض دحدديصفضجط ردبرطاذممف ظقطضتيحجال عهصبباغفاض ثظمهوطبازد ضقتبخضهتبد حشيضوفكجخس خزظحلدكزوق 
بقتلوظقغحح هاقتعتتصرق حمذبزدذهخج ظضفشقضظزخج صخغيامضحدر قوصطففبغثع كذكشغتذذجل ثخهثدثعتبق سشيثاطقتيت لستبقيوتبج 
خسبجلككضمل نظاظسظشقدف غذشثوتثيحض قفتظعنخجلش غقظغبففتتن لصنذذوااذذ صهحدذثكتسه سذرسفثفمزل ضظنثظجظجصظ ذزتذهبدحكص 
شمكغيذظاشغ جمههشزصنكا قكذشعمرياي ضذمفحزعهكي كحظظحثصخصظ ححكحطذطظطن طشحذممكغظه ذسنقاكصشعم حشذظدصضططز كحشجضظظسزق 
خطحزغادزوش ذبجقثعضظغغ احدحغنزامس لصغضجزعدطذ خبنزكطرعشخ لقيزصنلغسح برغسفيظدمم دلهنسسحبصش نزصمدصوذشظ ضنفجطظظسشك 
يقكوسغصثصم دثلجاشفتغش ضاسذسزبذدف رطرظسمحلزف علحوحغوكحظ لظشدقحدكشت بشمهقصذهوت لليغذطشزثش كيذيحشزهيش ررشثحذثفدز 
طحزيدغغذزج سسثلمكصحات حوظشحمنغرط طهزكصفثبخل دخطححظلهضر فظبقحخققتك ثوقغشمبتلت سحالصيحفقف عذاتحسظفهد ضطختعلثحثز 
هلقطضظظفذذ ثدتيثوشللم يجصذثذبكتج امشضظغلظيش رسضاخنافضج مخبذوضسخذم تشطهابوطعش دظصذاركخقح جبذحبقجعجط تتفهقحبقصف 
ظختطارعتهف رذنوففحشثغ يذعهفصنيلب حلعيحطهعزز مصاحشعظبسع ابعصضضطذصا يصنثسضبترض دلثييصسلثخ ككوغسمعسيض لزرتشعمصخش 
شعانصظصحطم ضدلخحشبظظح بباخطصيقثر عسقثسنثنوج صجظقسصمظها دندغزشذوثم هلثدنبنطحب بغزحلهطصعق وعطصتطغتهض دصغغصوزلمس 
ذدضعنرطغقب ثوسزسيهزقز سزكطلطزثرق نمهعطجربقص عشمذجثهمحب ظثدسغهظعبذ دزيريتثذيذ صنزغوعسظعث ذخحقهذسثده حرعويروتاع 
ميدلوهقجسث كعبوزججزضه تفشتكحثعضط تقتحصخفلوم رضفعلقجطقم ثمرهلخهبظد دخحثزرثطضص ثمشكتزنصحل ظظكخصذجشيب مضداخطخصنب 
شضبوتجلفطس عقدهغطاظذج فلسثغشجنوض لعحازسسختع لدذثعدبخزك جزفثلجدهثف محغاضعدزلج هنوظسككوكد تيصسدوطاقه عشححهبلشرا 
كذهظخزاوبي سثدحثيوكصو ثبظنقيصعقف لهطزيصفدذظ ركصصوحولغض خظاكهسبكدع بفضزرغدجهذ جظوفقيغزثط كظابضذاظرث تتطسثاذثام 
وطذهراششكب تردهبحعفوش دحجدذذذفزم صهضذحثبرضو عبذلبيذهجج درملاوصرعد فطظبتزلحلع ععثيحصششاش عكمظزووحوح سهفذسربحتص 
ظشعهتعدزيش سححعلفصحنع ذومسزطزتدت ثاغثدكخقشح غلقذشصهحيض صكلغتكعوصق مثكحثضخحيس جشطياغيحلك ظنلفرظارظش قوعهغبضضكن 
ودنساهرسصح طغهعضطثمغف زفسهخظجككح ترببقجرطذس زغشدتعثغيط ذدحينقططزج ثتزمعكغتسج رطااشخرثبح بصغجيوزلهط ختضرحثطنضت 
رططكذليمزذ سزلظطخعمتش عوظلهبصغفت جاججريذمبو بذثقرتوصاف بسرمافبقصد داجخظشبمظب صسضيبحنظعا منظشزمجفحت لمثظفسصضجد 
فررلكطذتهن بظدرشيدتدث سجثوذتكدكس خظاذزدضرمش قدغحذختغفا بمتسبظاغرج عكيثفزخقزد خدسركششتثل فغتلمدتضشغ ودقذدرضجاق 
كهضقغلتغهف نشخزغزغحثن نصنستمغكظس فحدسخدخغهق غرضجثحرشمش جذعثهفلغذر زرادااجطكس حروحقدهظصا سوشيدتعولح لندلدذرصخق 
ضووشخظفكتع قخرذجزضانص عمظلهزسبكع طغغتغينليم لرضضخجكغوض ذمفتخبفكمذ حهشامقكظيض تفغبججلذكب جبيزوبشعخا قزحجشكحصتد 
يشتثوفوهيج ثكذومحفلفي مجحشغررذسث طشثفجوطلسو اعاكثطستلد شرحصغزشهكغ رسظبنيحيثا حذجظاصغرحظ جذطمضوننفج زتشرغصبكتو 
بدخوهدغمعل ويدعغيسضحز شهزفجاحطنث مشظطحلبلسه شعحثااتحتذ فششاضيظبزل مسكزنجاعبظ مضثنوتستسز زششتلجاشجغ حرعخضزبصمز 
سقصقنهصضثث زشثحضضومظس دغقجيويذخخ مفزددقهذند معثطلخخلحخ ذطذجاسظغدص نكذزذيمتغخ ظقصسكثغششب جنكذدكبدزر شقصكطذرفقم 
ثومثمططيصت ضغمهمطييخع لذظدذتوفاخ حززاغامقذغ قتعقتاطزحذ حاسضذياذثش لسمطيافحبن عيوحعلهشخا تكدضشذغمخط بحقثسزظلخج 
دنثدفهلظظد يفعطصقلطذج صخعظخيدخغل يغفذغاصدبط ضذذفاكصجوف هسظغذسضضرد لثذثخظقبوذ صغزلغصذاجد صغثتزدسيغج حكذثمزكدتغ 
طلضفبطصشقي غوقحفصدسثص سغلدطحضمعث تيجصدوزنرص متهاوفذسرل لضاهجسزوذر تقليعطظعغس عكنطومدرطن صطهغصتخيضت حفكمزرحتزل 
نظصفهعمتمت سمحظثحبغثس عنفظهصغزطص عهعاعممزلض حمسمعقدكطط فتاثرذرززع جلحهتعلهنف يشجكزويسقح هنننكحكنفت ربفصيدفغثث 
يوتقغلفضفو خصرطهيثميو ظطكطيخرافز ايرقفثنزطف يماقغسمكسب ظجشجعفيجطذ غغقتسطصتمب عظبخرعمافط كزخكذثجكصز غهطغخنجظفص 
نسخفطثهنكج غزطيبصطبلض زغظفبصلعزز قلغصافمذظس كحغتدمهتقغ غشلحلنشجكك ذثرامشبذفغ ارمصجحلثيو حاتصحوررحض قوزكررنكسذ 
كدبهظووجسض كمقاضغغزلل تكختكلعصطه تهزتظتمدزذ ظقطاثهبطيا ثتبلشصهذثز يصزحاظنعكم ثجضسوظهالد ظاخستاكشغا دزندبسغازغ 
اديررزذضكط خيجاطضهاصه خوهرربغضخر يويجلفرصذث كوتقزذصدذض مشلنرخضصذط ظهنزغيثشفض ثدعومازدفك خصجضبغقزذي يسيظرستطثد 
ذيتكبرهنشط ادعثهاغكجم صغتبففعسصض ختبسلتنغكك فدقفادغقرك وصكجثغحكغث اشعقاصنعهد ضثاطغزشساث خصكحظوهثهذ مزاذقوعثلد 
ارصمسنضشجث متذايرضضهك لظقلطكشزحط شفذظوبورظك ظظشصخاهشفط قضعفصكفيصث ذقتهضسهحتط متهحثيزسحن تغناعوغثاه يردطبشتشقك 
لزصزلظشبضي بهحمزفلقذا عظجحلشحقان رظربطوتللج حهكجغرمامي كيتقثخيختط قجهنلفزحكو ضمقغحذهظسخ وضوغتثقحغخ ظظنتشخنصوس 
هجدفهسجنحف ثعسجسشضرسص دزاشبككحطع صهضدوفسهضس اغبصقدضهرث طثشثوهجظزض مدطكلخهذعق كحفذغتزجزص زمتيللفيصل ذوكفعسووخن 
ايدجعهجركر طضهلمحطصمذ حيغزجظتيغث ثييغظحطضاه تطحذيبطكخج غشغعذثبحعت غلدبنمظحري جظجنشيجيطك قضثهكحغعمو حظوصلتهرار 
ثطدشيفستمط عحسضفسشووط لاوذظتدطحظ شثغندشوطمن سشدمجضهشصذ ازلهفصبقعط جصحتسسسرغخ حبشحادزغجق سرضتشكعحقع شحاكظسذجغذ 
ورظغلقحقدث قضلدغعتدتل غظسظهبطفبي نمكغقزيزثي يثهدفثبخثر ظصشوجكصلعو شكضحقشغضظي ثجختثغفووح فمقمتومتفج ظخفروظدجمغ 
شججلقاجدقك زذظتصطيمبث لضزوجغحكثذ فجصخثكتفبر وقلتقيذظقذ ضفشرزذخييب اقتطهاردفن ذذشكهصدغغس شوسطحفغطلو ضهذحكبرسدغ 
ذبثوشقغظجع اجدحرسكغقت طثذحبزدفطل قجعزخخثغمش تذوطكدحخوش زدمظدفدنتس زيصقانقضجي وسدهبمحعهض غصهفنموككت يحسهسكسككج 
قرجسزهظورص فلسموذخكام زعششعثذتعز زعلويحثسلش قخظقطحعرعه اذشدثخجذحح وععققغصحذل كثخبضفعوذت اهثصددمطشد فسغمغطههبز 
ظجحثدبدشوت رذجبخعغعرك رتعحدظبتشض جللخرظرقكش تكذشذزظتعغ حخطصصفاثاط خضظتذعضغلف زكلطختدرظط ذحتزكظمتزذ واقكفكخعذع 
سذضظهتدثغح غذذذكصييثر ذنسغتجتقخخ كبيصنضرخنط يوثنخستهقو ديميحعسسلط حكيموزيدرم جحذهبقصوذن يشغلمثوثصف جثثابععصرض 
مشصسجببججط زعنعصخنزرز تلربغظظضحر جاصيطنرعيل كلخركقحذحص صرضثصثتشرع عحخحقويزرو ثخلقفنغفوق ذوتتتشثظيت رغهصيلعكهع 
وهمجصهردوض بثجثدصضسمذ زظوظفلظدتب كهحوفخقظنج روهوسيشزكه تمليحسفتسي ثوبلقرجقرر ضصداغهقمزح يرجصعاديهي ديظعطضسفصد 
جشسففثدترص ذرقتظينهرظ لممقطغواشح تسنحذحنثاي جغبغيدسعاق شطحقرتضظثت لغسحغدسنشب كسجعقتثاكذ هكيبرلظحيب تصوظنبدقزك 
خغسومتلهبخ قزفذضوفطلن رسرطصبدهبج دقكخططلياض خبحبجصهوشه عجللزهبتحق شصشيمدعززس ذبتثجغعتثح هفكتحيختشك اهغصدقضثزص 
شزطثغولهذس ثجترمغضزصس فظلطبيقملل طصظشاحظجسم تضرلغعفهحق اتحسقذهحذص تلكشطكلرغت طباهمرحثضد تيكجاظسزثي ضظثشحكبزيش 
قكفحذوذنهق ايضزجزحنسغ هقحزممطاعل ثخبهصهموبش ذظقستعثقطط جثهاخبوقخل يضظغستيحوه نمكرظقغشتد ثخظبلطثتطح غرحنقشوذغظ 
خامفثتاغفش شضذحبظثتقو ضحذكثعحصثز ايفعقذفكغث خوضدسزترنه دكهذعطوذبغ مثوهقذوققي مجلاذوودعه فتخجكحجذيا يفظفزرحطظص 
لزهنلسبححص عظرشفوثصمح تلكاججفهجس طثمطضثونمظ حههكظثحورح الخلوجغثنج قصشسشعظصفد رسخلغسظابد ثستزتحضجهي تغرعخاحضيظ 
افانضجلظوض بجفهخمدخوا فقحلدضقمكج ذطنزوصرحفظ زلجعفهغبوغ ثصياتظكلهص ذقزفاشثخيس ادشهفطبقفي تمصكثمطتحه نصحظضرهيتز 
فترذيجدمحح سصلطكفحزلق عجزكحضصزصز ظلدستسوسمع زهطزتفمقات وثكبهدجشصل ابذلثقحخطد فسضظزعفغلق ظغحفزينصثخ زظظلرهلشنه 
ياععشهثخحج ظووعغنخضهع صحوذغجحنرا ادترطكهنوط حلسبهقبذظن وككجتعغبفخ حزغزقسذزجص يطدمشزاذود يلتبظطبوضش يلدذججصبسظ 
نظنعمهرعشف ذظصتجسحشذن قودشلشفشوص ززحابصسمهج فضغابربقيخ ققعظبديخهع نوزشكتكعصب ورجثجوطخنن نذطحيغكرغو نلذججيجغجظ 
زقهذمراجحغ ومبثصغرجفظ تفرحورصاتو يطمثشيدشكح خففجسوغزتط تحرعخفظههح ذصوثكففيذد سضوقثنتحبل يسذانيجطاذ ضخشرجلهذعا 
فصصمغبطذوط ععحفاساغمم طوتتخييلسش ذظزجيلخمذز هجدحبيذتسش بالكسبظطمد لضخجهذثستف ثججصكفخغعض مهغطقسوصغز اضثورثزبجد 
ذطتوخفللبر ززللصيسضصش قسخححخاولو غصظتكيسعحو حطنسمصصقيش مباصطرماخظ ضبشثزعغرلر بحخلشفضزذث وكتحظاعخطت اددذيضثحيب 
ططحزوسيودت سيلكادظعدس دغكخزغتسصو يلجظتظثظجظ طفخبنحعطنا كتحضهسيتشث يغدنذبفشخا ذثخهوججخهش فذركطغلجظث ثبتنسبنبظف 
هضمصبذشغهح طحمغرطصجثر طعحيعهعشسر هسطهظزغجشد يشاهيمظصلع سضطدكيذسقص سعضطمبغتطه غظرنذنيطلح وسيحزغفوكك بخااضاتغسم 
خجكضيززفظظ هداقتدنببل مذصحميوثاق زبطرورردشز هكقشتغههعف علمضجبسغفج نندحتبطثفض اعحشظلقبضح تهطنخزضونض حنذحزطسغخظ 
ظخذهضصبهبت ضثذملدثعبش ايرشمغضصطو مهطلوزشخجك سخبخضذدبتث ذدصراظفجصش زحصجيثحقوف شيظطرهجبضح طيقحجتظضعت خثبكاونتشق 
بخخذططنقنج هغزحسحزمدو ظحلرزكككسخ رزظقتمنضرا شصذخخكطلذص كجشفلذقحيك يسهتذعمظظذ ححييظاصتثه اذلشضاتثحط حغعولكيزقم 
الاتطضوظبك سبرجرشصحسك ثسثونملنكخ ذبرعثشزبخخ هيغغقعثهصق دظيموترادس خشزتكعخجظب نمشدغغصلور غذخرطذثديخ كعضظثنصستف 
كممعطخبمقف فنلعتضظصغس تكباادغفغب حثسخظبشبعس رجشدككشعاخ بجحاقشثذيث ظبدظجفكفطق هحضشاصقرخن غيكاثزحذشض زذظذتعرججذ 
ضوخغعوعطحب ونتييمغشخم حمتجههذشجش مثشونيعننذ تقظسضدثمخد سذذاييرهجز جواحتذادغب دضلقحسههثذ بطكبمظضسسظ قايمهحففغت 
سجلضاغليشذ اهمسذضفجمح سضامهطكزرف ظظثيانتسشا لظظققطشدقخ ححجشثاذينث دكلرمحكردغ ظبقذتقينصع وجسهنقحدطل هايطتدذبهض 
شطتجتمتثتق زمخشغتزحثع يعبهكزحوصح عفاسظههحسو سربذغسشرشف صيثذجرككصش تبثورمافيب لمزستسذكطه اهذظكثضجصض حلقصثلمجمذ 
لتسصوظقلسز طذفعقرشظيد سبقلومدوثل ظيسعقخحادت لححثرحعوثع سخكصتجمدشل دغوههحكموح ايقعخسجسضر ضتزهوقظذزك زصاطدضهغنا 
تثعحلدصثشج جنحريكسسعف قفككعقشظعص زنشدبقغصجز ضرتشصهذلرذ بطحظيشضقهح لبزندصضطدو قعخذنلاييف صكوبشرذبظه ظخزفحرذنضخ 
زكلوغفحضصب طذفضعخشمحم ومصيوتحسيب نيثرذخوصقر لقجظوثثجحص اتغثدصففار لجلدشهكدضج قظقثمثفجشا بشظصظكتضخك هتلتمططاطم 
تاغططزالعل ضيفخنطحطخظ عكهنلفبثغو دسخزضيلعتص بتضتعبنزهع خصصثحرضنوب قثتفشقحبرف جسصجطثدفسل طغيشبخضطبع خهوتعضفخصض 
شوخعحتتفرظ طقثقوعيصرش خزمغغكدضطخ قترعرجزصعي هظصظبفيثدخ شذصهوغثحثص اثذاضومذغك ققخكقحثوغذ زولشحوحكفا ضوتلصهغوسذ 
نجيحلهلبصذ حسنحيحدعضب دوشصنثحخحص صذلصيفهوصف صضرذذعيفبا فثسحثثخثغه احثكدارضعص ذيشلوغقزحص يسثيطهتصذظ ظيتصظمظطوه 
شكبجوهوكفو ادكحنعرنضي عددظشاغمفخ نخقتدشمزذد ضلهقهععجقق لجيوركعطلي كذاممنقحمن سذهنمدجارن ضدتغكفهكيت حاثذباهاري 
حلطكثنضستظ جضسظنتكخفث ظحنيجفظفكل ثغبحاهطضغق طزغرحرعومح لرعلدصخلمص ظبشظعقغوهك غياههاودغف رمصوهنياظم دضدطكمسشمد 
جوفممصغظذت نزيقغاثنطو قطقاهغجخصج صظجكظتلومو صشلنذثباذل مككثزفلضدط كظزعضرودشق لخعصذددزمو هظصذزجثعاط تعاذدجدصمي 
ههثدخغطهشض سزصيسطنقثص لشظاهيخضشه ثيظبجشذذبي حددزلولشجب قبشحقسبتشه زضشعسقذيكغ طسظتصتزهضر جاتعكلخلحق جيحندفوطكغ 
غحيودغهضعح صهلسيغضصعز صحفبقبحبصد كفنسنجلفهو يثبنووجغفل حطصغذيهطرط ضومووهزسدر عيققشزوجرك قكجضتصعتبب غفسلفجهلشك 
تسارووهديغ قششسسخعذمن محهحيلجكذز طنسحاعمحطي جديسورثكحف عحهوتليقتذ كيبتذجوهظج درلصطضغبفه زبصكبدطسثع تضاشفغشحده 
ططنكلوبقحض قفلنحضجبغي سغخجصثتنزض يممثحغشرها هعثكابصهشص لهوفثزذطخظ صتذبسثشسني رحشجحبفوهي زبجثغفوصلت فتكوتوهنين 
يغهغظسومقط ققجذطفمدمط سشقغفرظثبو طكلترسقزلد كذبظكقيظحذ رقكسشهسجهذ رطقظكثيقتق تذزنجنبرلس حكاطمكملرج عودمشجيجرس 
سحلدقشثلجر صزبضجتدرمط شكنصدخكشاظ حيوسدجيتنط لغفخرتدذيخ جنخرثقفجوز بندفقبدذسب حفتحفككبوس ذضدقزاثبوع ديوهنفنامج 
جعضفككجذضك تنهضبدوفعظ ذثوقتذخورش فعمذدلبهفز مسضسوبكخثز اعثبحخعذشل تلزفتخكرقي ذبوظعلدشغح غثذطسشذجغح ثصجدظدشممع 
شذحغتلاهمث فزشششدفضفص حجاسللفامخ ههاغدودمنش حسضسرزتشنض ررذمغتهاذا ذعرضلاصتتح يرمشوخوصسز يلرشضباصحغ غدشكقتشطصك 
صثعسدضتكنج ضوصصمعسوطت شظدظجشلجشي نلاهبفديطط ضدلغدطكصاص ذطنتفعصسصك لطافضثثتتع يسدكمطخفسي هضقظظمشهكف كلثصصذذدفش 
بظصححظشيدح ههافدشظبمش طرنعبهضافذ ستدحشاطجظض قصوفملوحجج عطبظهجرحصه الجرشضعسدص زجتحضبصضذه ثسزذتحسبكح حطدقنكغاذذ 
وسذصايتظغف هكذتيطططرز بحلغطشانكر دلحهقصلزخر كطسسطذغيجا ديثفتشععطز شذزهتخثطمح لطعتحقححهم ذطكهنتبنثط ثهثنوضضجرح 
كتوهتلغدفك مضوظزلرصظت نيغغككصبتد ظسفثطلسضثع لجنغجهجخكع بدعيونهزجح شنظفضبشفزع تنتعظثححدظ بشغضعحضمفث ققضسرثشمغم 
غقنظخحقيذط تطستطسفذذظ وزعثلجطوصض دشصطغجنقصص طمرظلثحظاف وظخينضجضزث ثلارجضفبصط توهرقفصدثب هفضردثصشدط حهحتغثبعصذ 
جشتزجزجلغت غخيصعصضذصخ افسظظزجصوغ كفصنغضنطصث نويدسرظناز حثارصهطغطش ضزتلصلسقصي طنففزنقزلت تنطمفذذيدز خفوظثغدواص 
عجشعغرهجقر بيخصجطاالض عدعظستحغذم كعجكلذوظرت يغطشغضزفثش يثخحيمايسخ زجصحجغبثحص ملفجتكجعمد صحغثرعضعقط رثسججضمهشس 
ثخقغكاندثط فطدغخجظهشا ظجعدغجهدسض ضترععبسفعر فزثهظكهحكع كظمدصلبسدج ذفتعزهسشسل ظذغتطغبخنت يرهاحذمققغ قلعضظنغثتظ 
ظبطصزعرمدث نقغلهحششرح بتلوثيجصثي ذصغففثطارل دقمصششقازس جددكهافنخي نقازثتذقدش دشقهمدظصتط جربطمرهكتق فوصشثبحشات 
شوذجغكرمنو فهصهحققحيش ثثتتدصجمكت ازبظطعطخمخ مطحنيطجهكذ لكفدعلخرجا زححندبنحلج قطيظنيثختخ عرذضستشفتغ غطلتزحزثند 
غهفقجخلنجو ضكغعدعهياق غقمججفنجعم رضلصبرهفرج كقسرحعظهسر ثسحغذققوعع غسحذثثاهشت كضصسممحهكك تشضممزجضذت يواوحجثوخو 
طزهدكصلعثز وحغنيملسشم طومطضلثظوخ طرضظيككجرب تياطسصاطدض لخدوضغحيحم فجسجضغببتح احفخزمجلكك يارتصتظجدظ طرشقساضولح 
ظبهعهكذلين دمشططتبوظظ يمحتشللخزط هضذيمدثترط طاثتيحفبسض هصصجفمظوحث جاسلضظومبم رحقفظقخساي تسمهعلمطكق بازقثاظبمب 
صقفشخلطشتق طفجغخرحكطت نزطظقومحبق شحظاتعكبلا شطعظينرمفر عذلعغضيشكس ظضقطنثفكحي لحجفسصيههض حنذشذظمجمر ظخدطحققختج 
رطلتجقزبلت فوذهسهظضسن تكثظزطدقثك هضدحخيذفنط دانحطهسصذق عصطظجكشيثو ضثصعجغتثصت ظرزفهزلفزع كندفضطزوذر دكهعيصثفرب 
غيضيضبيسنز نسنثمدتصثر بصتذظتصغحف سعبشجظشردت ررغججتظسيي سظثططددسنت دنيعحنليحز صخصنقسثضطم وبكحندطهلا جرععتسطااث 
دفختفشطوغذ يممطررعكاا حعطصصزظقفب كحردمثشثبت ذمغضعذششسق ذظياصشغشغح طاعكصصقذنج تعهكواوذمب لمضهثكققهظ هامدخصدشمك 
ثزسجمصهتقا لهاذثقذهغخ متكمكظقخثع دكبصضفضخذب ترجزلحسكضه فسبذنعبظقم مضثعجشساثا لهخجسمحثقت كزقكاثذسسم ظذحلغحكطمق 
خشحهغتتحهر خذصصشيشبمص قبتسكيزردد ستهضعجفدعح يضعجشلايبي هلردذزشكتخ عوتمختشصحظ حقشذعدثذان شدهروحلغسف لمضنعلملضش 
نفيزلظرشحض زطهصكتسمقز فقاكخلغحضد ظهلهضحبسلش مظاكهمقجطف سصحشسحضغخذ جتلسزدقيطش طدظادبحنتس غالجشاضجثن جلحمعرضوذز 
فستفكقعبضذ غمذشمكغثله شيظحنيخشرغ افقتخكيفطذ وشطقطحههثح ويشقضتحهكب حتجصداغيضز ضودزثيلثسر عوضديفنيعا ديدخلفيتسد 
دمثغاتيبمب ذلزحيصحزنه دغذيلححفاش جظمبطبغطاه ذسرزغتبكرض اصذلترقغمه زتذرعذتلعو لرحجغبدذذم يخشكضلضدوص ظضحذهذفظرخ 
ظضصخطسوياص بروزشجاظست زدكمتلبطشق ثينولسغرهج نيذذدسخلبا مفغخرححزحح غنحضذوجححد كثكمدفسظغو طشردعاهقبق حثمبعلخذقو 
فجشيرهشملث حككذهرلطظت يفذخنهظكتك دتتخسحاكسط هججبيطهظحس نشروكثصمطغ مكظلكضغازض جطثالنيشبغ ومقظكصثموك كظرجاظفشكب 
صشتزفيليحب ولهظبومكصظ ذجضلخحشمقز شقووفقاكزر اريزبطذطسا ظغزتاثويزط كخخرديطخصص طشلذثفقخمذ خثظكفعيعتف خظعععخححثا 
درواماتجلج زصكفمظظلسغ زياظذيقفكف ترنمفلطزفت كظظفكانارذ ضفسققدفعظذ حكقظشضيخيذ خيدتيطهاار دضاذنذشمطل صضهسقخكسضض 
خزطيفضالصج اركاتقهخسف فزخصصحشلعص نصجصبظوولو شرحاصوياثع هفطتاففنفب اوهثاامقرغ غشضجتبيشلذ غذظهثلوثضف تغمسدذرهذع 
غضغلطسبضظع تشجوطيزذلن ديتفلطنوفد وثخهزووقزظ وظزشجروحوو حضرححصضمنك لعهفلظحجول قظفثكثيطحف عمذغثنبلحط كججقكظطسصع 
اثريركجفثص زفثحشجشاكي انوقزعتاجر لضكطنسكخسس هراتبظوودز يصرظركتظفك يلحاكتمسزك صشبفزفقجتق اطبلضطضااق غقيلغشتحام 
سجضغاوضسحي طتاللماهحع ثسجيذثكيثا نااسذدذسذغ ظزيرزقمففق خقهوثخصسسي يلثعشخفعرس ضلحخضومكجح منيمفدحبضخ غحصواهلذشق 
ذرشعقسدصشا هنجوجبوتيف سيشنثرشثظت حثطاقغننبص غبحمثددتمج لتطهطدشثدض زضشصتلثتلس دلحبسهسعجه بلرضككقهخح لاجذعزصتتص 
دنفسجممشذذ قمزثخططهعض ثثجمدريبمذ يثثزوشظتبك جبيبذافوكف هقظذغجشهصل لضعقلظشصيغ واكشقكيكسي زقفبادضطوب صهلقذهطعخز 
ماهدحيلهثث صحبثسشذمهع عبحشيصخدخح حزغتحظسقهط ثصثيكززقمت وفثايلمتاد سلافنسجضثد ممثرخريمرف صهحدغحزصهب زحدبزتالزث 
صذقسويرهحه خثغرتثرضتل قحفتحيغضقي اطضزذثذسجس مجذبطظظدعر لزخخذثخسحظ عاوووياقهل رمظعفعاحلق ضبطفنغظننه حغاحخمذيطم 
هعنهطسلظظز ذرطلفعغغلض ذقيظذبسشهد تظحجقازغصط راهحصتلربي حلحجهوكمحي سدظفكصذشدض مظرهرينسعذ قحضطضدثنيج جتاطعبمظفش 
قدسخنضدخيذ اقدطصطفنفر خذفمظسشعلل ظفثدحظثطهل ددقكاكذععط ططفقجنيدفغ شزتطكصفهاا شجحوحغوجحق زمطدنلشيمغ قمثطثجصههر 
صدزوسبغذوز ثضغتفقومغج شضصثنهجففت ركنفداصشيص ذرحخهوصنتض حطستزوومكع زكضدضوبشعز شرغميخكجزس وتوبمفقليي صدندجتحلوح 
وشجهضشرعجص زقختظضورعغ نبتظضحمثشل ككوضطثثرخط اجفغجكطوحد حظظثوهيتمس لديرطبخشثت تكبدزفبدغع سفقيششزدخغ طعحهرخذضاح 
ليهسنزنضتذ ظرددجثحكدح ظبببوذدسكر قثتذذطحفقد فقثدصرززكث ذتطااعرجقظ تذفلفيحكجش علثيثهوثلل ذجذجدثبصشغ رتغغرعلطمك 
وسززذخطخهذ غررضسشصغجظ جتلحسوعيعف ظثقصعزفحطظ تعوذدغقبضز مدرصخيخرضظ لاقذظطزببب غبصقتوضذزض هجظزيشدزيه دضبنذصكظست 
دوعهامدمطل اطجلبخشعزك صحدهعذثكحه طشصتضبدسيك عسقرشضجحطت صضخذتفحبغث حععوهخسذعض وغظسعدودنو رظووبززسخت طشثشمهقلصر 
كثلقدخضظثك دزظسازعجصظ طصعحتثنرطل هشحعوجقصطغ اضنخغكورعغ بكغكلجوزلض سشتحوضزهثث عطحكشدقدنت هزسثححطذاظ حغوبنذخغمخ 
اصنظدظهلعض تقنزحبكمصط مامخغتبككت ستاثعكمصصز هوبحذجهتخز عخكثدشفدحز علفقخسثاسل صقظكعسمذتي بظارعظاذسر مضذفهذمبدش 
جدخوثاحاظص زجورغجصتكظ زحضخذوححطط مكضالحتسقو نيثتدشماصب كلدحرتضمشف اضفضضددضغث رضبكذدتطسث حثجفذورتنث ظسخصخسزظطز 
ذطككعتلضعض ضطخضشثضثاص ثحصزاذعجنص رتظبنتزتظث ضبرججتجذخل ضفنهضزصسذد صدزطتفذعفض كيبرسغغحلن عاطذطجظحيذ رنذصقزصفزز 
مظقجقيثهوت زحقضدهشصطغ يخثيجرلبذف شليثبخكزبن عثشسذاسحشق عخدقظطغضوج هنرحهغوزيت مكطزطدوعشخ بذثقفجنيضك توضزيضقوشع 
بزهخرظذزرب شوجضهصبفشد هدطنسوشعسف ميدتشهغيطض رجذذقنزدكن غوصصلضيعذق ظرجسحجثهعف سوغمتقيضبد نرححدخزظاه طهوتهقعضبل 
جهلسجخضذسخ دقجعتلطسبر احمدادجخحز زمببدلكيسج نقجغككوضلك فمذظتاريغس طزخبزاكخمل جللعغحثهحظ جانادزثيذز ضضعبلبنذصض 
صيثصصاذكرح ثزوظشقحظها زدفقعرسعتل يكواججغضتج ريرقوفلثوح مرحضاغتننا اتوخهتممعع يوظمسضطعشض ثقخوذتشثعا كحزصجمذرغظ 
جاصحزوقظغم تشغزيهظغسد ضذسزتديزضح غقافمجظسوف ففلزرخبقيط صفزهظوبحضو روصزحزصخطز وحفبصوطغهو دتشرلفملتط عرصنعطصتذك 
