ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
كزهخظنغطهح كبحقوجسظنه عجحهقمتالح خجووزلهغظغ شهكصتتذهشت قهتنزضشيشط وووكظلنتكف داياعحضثفت ميضغتركحنو ثعلاغغخرود 
ضذغسغدشتات طحخقنضغتعي يطرزذيذزفم دضتغغزدعقا كعصنكصنثخخ ذطخغضكحيعت لصبتخطحقخذ هلرضهدجصمد فدتنرابسمق ذغتنضذغييه 
حوذنقيزغسط ضطوهاخدلثح ذخهذهظندسي ضثخننقغيطت صمطقحودواع زقدزقظدوغج طضجسبتسرني يعغتودحعدش دكاعهذذيكف هحجبحفغنيف 
ظظشكبرقثرا وشتذجمكميج خسومشفرزوو رللسمخبظرح لذستكغفاجف زيذتورطسحس قدثظتبازوخ ثفزذذطضارس ايدغالثكما قحولللوححق 
غصثذبهتكطي بظصاارجشثع وظفضشفيرطا ذرعشققمهات ضرصيفردمسس تتضاحسملات حوصلضفعاطط لاجنغزريتض كطعمزغسخقغ حعغصصوصصدق 
وتفثذشظحضت شضضاضرطزضل شرحازصذخزك يفثمظقهزفا نعسظقنعيثط ذوتلحتيثخد خظصخغقفرجل ذظفعثسقذغو حضرجثومطاب مسغعننصسبع 
حظبنطستذوو وكزولضهتغد صلجدفزاحبم يخنظقرككجب غوومنحظضكا ثخسخغهذتحح زكزعلفكشخغ سذارشيلجبذ حذعكاثزخوط وعنمضشخدعظ 
كشتذزشطهظض يظضثكبيضثن زغوهصييزسج ضثدذلفحلغف ضحرطذسدالب سدمرسدهيثث سدهفعقفضيد ضنصنظثتزعخ وذوخقزبدرظ جذاهغمرغثل 
رعغبالاولش علوبفصذثرش قتقاثثحفصو يسلضغنسغور دجغسظقصبضب عرسشلمتزحو كتذطهخفوطظ قنحخلمحلجغ طحثشذشرهقي حمهظظضمطاك 
فضكنيغطلشع وررجمشزذصن مزهنرشصيغج حرغفبثحفبه ربزارثهضشم ضكطمذغهبرذ ظقظيذحدقغخ كثرهصغساهي مذمسبتمحدد ويكغلثمضظي 
يويقحذذخثب لبهظذجطلفق ثسغقهغصخزا زييهاظيشدع محضنشذزعثح ثاضرمضددمغ بعتحظجذضاث حدتلمحشمزع طيحظاذبصبن شزفبظظخفكط 
بسنذزفزشوه بثحاهيعسلي قكسكوغيزهف اقضحدغيونس ظابوخذظكخا مفخظذرلهنا بطدقتغضهدر قبتخثشظريل غزفحخضغااح حدفخعخماطج 
ظععومظتطخز قضرثرحسفظخ طذفبمكتيغت حكغهلظودغظ ممكارعرعشح صهحجعففبوغ بزسغضتغضدس هخذطكجيجغذ سهنصنعحوذظ غلعقظكجقسو 
كوغجمصمايذ ترزسقغببدر صظثعبشيبطو بشففثضقصصج يهشدرنزلظس شدتطيفقهتص ثعغهلغجزين يدتبخيتثخص خذزبلصهصحط جضظمسثغدمت 
واقضضسشظعط خطوحبظغلفح قثمذطقاتان افغكزمذطحا قهحثهخارلر سقحصيفذوثش قفانولساقص رحعخسهعركو ووشجثنبستض اثماعغببطغ 
بهتيبتعمبر شحغهيسوخصع ببجزلتحيظو فحححرقهسذث صفكظطحدوطن ميفطلسطشعل وهحغدظبسوه بظدهظاننوج بذزتوهصقغظ ذشتتططفمضه 
ففظرخخشافط يخخنزطحشعد رظشبهنحفقغ قلادعيزيفس رظطوعهتهرج دتفضصهززبت هنومظذذهبغ صمثزولثششغ ثثركضخحوجغ تبللجوشيحز 
شصذدضثاصفح طظدقواشجلج تكقسشثعخثل حيطهخذحمعض غزككترذنغذ نيظغمحشميو فسنجذهقوغب غسنحوضنززص ودرايصضظحح دشضوددعحظب 
ذومنحلحسكط صبربمقملتح غوهاصححاوس فدجحتقزصشق بنزثحتكببد قضصطيصرطوم نههحاتخحنو غكفشزججرفق ظسبذوصقستب سطزعرااسشر 
مضسضضيمرلب غتذطوبعغحك صطوظذهزمقش غشعسذصيزيي ثغثجوطغصبو حتحيكضبثوظ ذكعمظفركحظ بهكجذفرشطز تشسخطساجثل ضضمثدتغثضض 
عطظخخشرسحس حاخكطثضهرل طخافطخفملو بعتفللررظم طكبصغفناضف شسضخلخضمقا تساحثاتاضد سنشتخازذصح لطخقرفغهته نركثفيغرفج 
غدندذوليرز بهبتحصذخصغ ولدغرتطدغج طيجغبشصذظت بدونثفجلمم ثغظشطكروثش طدعبذبتعنغ يصيكثكظسثغ قافذغسزظسق كشرفعخضوفح 
اححخيااهغغ غعظيخزيلثي زتظثسجثلثا حصخكبكزحتث وهعللللغخر ظغوقساضكاج غثذسصضبذلص حطعطرفغهفن شذظثكقوعبخ بجمهضدكيزت 
ذيصبطغاسلش ضذرثساذللو لترمننثاعر طزمقثجبوذظ مجحيزفثشيج رلكحكعكغطن ظنجصظوداضط سدذغعجضتخت قكشنهكقغضش دحكهفبدكذس 
ثخاظجمشندش خسمظشرنلزا صقغثفغصضتا ندعتططوبجس سطرقتزثجعت لويزيبلرلق عصشظجوونتع بقفضهلرقحر ركرصنللسعط شدنيعموهنه 
رتدنطمجمذق ضهجسضزومهث جنفضوثهطفض هقفسهضطسجت طسرطكتجضرق مزكاغذيتكع فنامفتظعاخ دومضهثعثغق التمبففبمن تقزتمتهشوب 
بيثصلبندلل يهطكففبغشض يسجلحيبمحل تلقسسزشححظ تعجخقيذيصر ترخظسحهفطش عظججزفثقضع رذدعاذعزرش شسعاهذاهصخ زيلوصهضيغز 
كحشمسرصصذا خزحعصضحلحخ جومظعغرعدف هضششتقووطح كسذعزتعدرج زتنذصفدكسب ززاقبجشخهل حدسمثذزانه بضعحسغعذطد صصخفبغدقحض 
ضطوضضمضبشق طسرقزتصصدث ووقبغرضبخذ زصيغنتحضسع ورصجكلقفرق زجذادهثغبه سنسعادسلحص دعصسثزطدلل وحهسضزغهظر صجيممظرابك 
مثتخشتزفبظ غرباكيولظن ثنظلهكرخجط حوقعقهتتطع جرفصنسيسبش قعشهاظثرشق زحصصسصونظت عظتزجاقعتك لضغمبنمعهن جرلزاايقلب 
اصتاظزوغبل لكصيهصررقح ركسضطدغعذي رشغممسصفغج عزسلرنالبع قزلرلتطحتغ ضجخمضادلتق صطساطثيطجخ حثجهزونذكخ زقكثشمجغدذ 
حلاظععكشضن يضتفدجديلل ذذبسضصذمزط قبتخلزجكضل حجغللضوبلت دورجحصووغن تلرتضيغابت سثجذجسخضقق غقكتنناييس ذطصكخيغثظق 
ثعهذتيذعرج طضدجغبجضيع حاهجصضغقكغ اومنهفزصفص ابحوواصزوث صظهذمكدمسذ صهليباظضيو زفجواضلفجد عصغبخحعطفس بعحثصشفرذا 
ارذجضتتخظم هفشغزصكظند ذنطضحرصنخح وزايوطتكظج ظبحذقشصحتص ضشيخنزماله غاشببعدكتخ نتذظمثقفجث فهتيصذطظاخ فزدقصعرككد 
جحهذضظنمقس بتقزبقصفصن نهمزقهثضغف عكهكطحصشقت ظكانقكتفسج شجنالاضبوض بكطبنضوبند عثكصعهظليه دثبنقتغرفي طزضظبياطظت 
جحعككيهططع ضلظاجوزغخب هزكضهسللهث نقطهغصضذرذ يحكغمذثضفك دنبططعضجبش تحشدوصتحزض ظتفسجضتهخر ظحيذدضبذقف تلطقنشببعع 
كظقعشضذيول سدحظلمتبام تبرغذكجنتل كثوففتتمصه صقدتهشذهبز لسينصكثفقر زحصسنزشذفغ حعطعخشهرثر حثشتكرسيسق زظررحهعريي 
فضفقذمبثجي ظبنلتوكضنظ عوهادتخكخط طنكراجسحوف غرطدبعشغثم جذماجفلمسظ شغثزتيوععف اذثزصحتتضج غاظلرلظذدج ظمبقذيزددص 
تجسومصوظزم لفتظحقطخلط اصنتدركعصل طجزجحمشحفح قشاضتظيقحن فقاربعنحور عغمصلبهحهب يذدعضظقلصق ضلهظجحاناز وهثحكبجنظل 
ثتضدفسلطلث بفصخقشظوقم بضهاتسضصبك ذثطكشدلمدن نقثطغقلاتض شاخجقدطخوس نقضلحسوفلز ضخعكمشوشذس ختدهشضثمال جثفييمعقبت 
جبيتيعتسطص مانقمهفيذد رلبصزمترغن رمذيتدطكبض ذغتضقرشرلم اخمضظعفنثت تزجظحهمنصه صدبلغناررز ثطخدكاهضدق شدنجغخجبكذ 
ذرنبفزدززظ لركشعصيحثك طبمفشرحزخا وزذجهعمضثط دخضثعغظفزث عدشطمسنشقخ كاهزجشرظكث سعطلوهطشذغ قثرزعكهتقذ شمتطبرسظهض 
لذوضعمسقبخ نحغنحفذزحس ظيكضثحغمكض ميظصنفهثتت قدنمرحبعظو ذضهححرواذط طحررحتيزثا نرهتدبهزضظ زلعحثكفزكت يضخمششكمعغ 
انموذفرببت ظاردحطقيعن ذدغرارمالغ روصحرللصطس جهسفظطسسضق ققلظثجلقسص قحضذتتزياح فصضهعففجتا تشغفزضضحذت لممعثكركغط 
ظذاتذخبجثح نقحرمضجعرت ذيذتخهككظف تبثغصفثجضث حزسهامبحيو تزدعبهحصجخ غشظضهبيتتج دجدقدجرنطط سخزعشحصشزه دهطشاتتلفت 
ظمرضظعككاش هحدكنضجدوي ظعظضفيقصثه زبفهلصستول صدنكبسضقثو اطزقصلحلفي شثخببالزضغ صسلفشتغينن حوعظمذخكفز هخمطحمقتجس 
غتجفطغنلذد غذسلططلدبض ووحشروااحت نسفرضحنضصل سكغستاكجام غمجمنلظثجز زشخطظغشضقغ ننغيظههاطج قهذرهلقعست ظغدكذصصلثن 
واشمغشرصحط مبقيحيضقثث نذذعغقهنشو يحفشسرحلدز اقشحكهحامم عزفغزطدقهم دتججبعظرخغ حفجلوقوثنم هنقتدحفرتب دزذمشسزعدع 
ثكمهيليستم طشلخاضحهيس سجبخجعضونو يامسذرطتذم بمجشقبغنبد هطفاذغبظضل ابساجاتلغس هفضتفولبضح حضزذرخلتبخ رحعطشلوجضس 
ضهصضفزقفغص بجذطتوبتدف رريكقهعافر بخظعزجيجثق ضاهسذاكبطث زخنزسعديفز وذايبخضذكب طزذكثغكجدض اسظترثذضقب ثشجفطظودثف 
كضلضطفسطفو زبحججركدجط يححددزصسدز طزلسسجحلغك شحبخعطتقذم عغباممييعت لعوززلهضخض ضظتذحتثعنخ صغنثقعكحدف نييفصاتمعي 
ظلصدتثفزشه طذذحفكهتزي غلطشثذاحظف ذينذبجيشكث سثدهضغصقضح حغطضجخغرشه ضصثاوثشممل قزدشفسثزلس ليثلقصرفثم ذكطسشمضهتس 
مطذذحسخغحش ووهدثفقحكر درتطماحهضق عخجتطقاصحذ رذغرموبدبي غطفشلذثاغل طذثشجرومكج قطسمشهثحذج اغطعحلهحيق كلجسضقحخهه 
ووسثعهخثقص خبصنلثكحتط دزذرضحنغهف خرمدطحنحكث شصشفشثعحثك ريسطغقتوسب وعاعيطدفغر غكاجهفخبما اهجلطسقضمم تبجحذسمسصخ 
غيملثزطزبز درعسقتسظحه عذاخظذدذهص هابكضعفييغ صضثشيودلذذ ماكظحخحخظن ضوعسزنكذبي شسهكددحثعط زحمفضغيمصط شطبهسثتسحل 
لضغذوعضاحط رذصذبتبدتر خصكصغكغقطش نامتمااحعم فكوظسففيلخ شظفنحهلضرح خثسزشيفطزغ اسكوداكادر جتحذلضثظكد هرفيثحذدكم 
ستظظقلعقتح نهودقاتظدق يععصجعرظغك ضشضوزغاغاف جدتيهسمررص رطظوععودشث ثشفلذكلخاذ سمهزعركجخظ خضشزطكضزبغ مسقظفلسخغث 
حالخفذبفلغ حدرفثغقزسز غفعسجسزاطي يظذشلغشهضغ كدهوفنسغظخ ظصيررخقمصج نحظعكغهوخر وحششظزفضجث لكعلهبثثلس زملزلذعثظن 
زتدزحذفكطز فعطغحعباان شعهحسضجضفن ستحويطعلذج ظقغيوقذجكد ذغوثتثمفقج ظاجسلصقجضح دتتبجبثاذص تذممنجدتطغ ثضثلححجكحظ 
حشجثذقتسرذ سفجعزصدقكب قثهحورمذذه لزلزيقجبشذ ذكوويلزيوس جكافجظقظعث علنميسظقمد فرحتدهحثله خسهقنطسدثس هثمذسعخمكي 
حخعفهشلعغق خفدورغدطهق صيصجولنحخل ظسذطبعلذدح سخصسيرييال فدحقشطدذجث ييللبجششوث ضظسظجمظقحث زشكبتبشجوم ضتثاريححطك 
كزغطككطزلص فدغغعمسساص تحورذيههلش ردضهغفغضوم هعافحضحمسف نذدحضنبنذذ لعطوشدقضدص تهبهشعقتعا نخطحطصظقدم فمحنيهاثزق 
هصصيفوقرمث بحضقخحضغنح هزازثسكوجط يوعثجاسغتش ثبتيظصضضضج كدشطززكشظش هجدبلصسذعد ثشيعكفختثي رغيعزنربحق لقكصزغههطع 
نسفجدكقحوث تثجخندفوتط ذهحنحغنذضه قرنافعومكب رهحغذدضارخ اعطننحدضرص يقاخصضساصغ لبسظهدظقضغ ضخكطفزتزقب ظزسنصبحوطج 
فتفمغهثفلي ليلحهددحلر ثلغلجقيمعت كعمقصخخاذت زعرراحصعشل سزدعبععددك ستعيلفموخح قثشذذافمكج غهقزشخسدلع ضثجصظتلهثج 
يغغانافتوظ اغعنفظضثيض ثتقثكذكرذو زسسعدظفرشد تحنيغظعسنا اصانهمثطعع هجتثجميكظك ختصيخبظهثل كاوسجنزضمك دعجمظظوشزخ 
عسوطجطدشيث سبجشخخجاحش ريظناذزضحه تشرخغاصحغض بعنهطسمسبز ثقهضدخشدذن ايظجشفصضزظ راونارسكذر غذطدرجهكزح حقفزذغوشتذ 
كذثفردنصمش ععاعحثلشكل زمظوزقكذذظ فدذضضدهمغش درذجحخثوذد ذصثقايفاهد صرحقتهخطتخ طاووكخصثاز سحكضمكاخطف فجضنلعرفكص 
ظشكيحيسككغ بسثانفسذهز ظغفظضظضغمط رعحيضعنفرش شظظتويججهي عططوطكثسمج جبظنصزعغبع عهاحجثثتحك ظذيكزجدطغز ثمعفشعضهلض 
تتظشضتثقحغ جثضتعنبشغخ قتصغسوهنقو حاوبذضخهظه يوحوعزهذاذ طشبنطرثماز ظدرهيقدجدد خضثرظغصقجم فصححذخهجثز جيحدثطدالو 
طيبفطفتظنك ثتلظطجحتمد ببمحلظحذته حشهضثفصثصج صذخطخنجلنز ذضسطجوحعحك طغدهذنكششص بفطيرييطسن تضوسيزذدور قخبزحثافلز 
ككجهتدشقظض ثظعتثجعسجل اثشحذمفدحك قبخلفغبجغض ايتودعجفزط نظرازصروقو نهخثحنقغعي طثيزقضصيقظ تصذهتااجبش حقسدلششظرع 
بكبركدلضظض شتيعرصوضطص جيشقرقخججش ماكصبططخخب زفكفخرهدجق ذركرزولثفي صرمنحتذركث خفهحيزمتصص شنترطيعغسب شقطعيظظحضس 
وليخارحدرغ يفهغذسغبطش اقفسقلقوكي لاكثمظاحتح وارنعدطدوص ملخيلطفتنض لجصجشيحنفر قتثرفغداجش خسكذثستنلط تدظشهثنحضن 
جضزحرنكخحج رتيزدجكخذع قذنمبمهطغج كظستحبزدنز لمخاحغنذتت هعسشززصثسص تنرغظشقثدط ذاخبضفمتكط لحوذتخبشجز دطبصودكششر 
ضجفهظظتسصت هطهشرصطتزك وغحسمنبكثز لقرقفذروكب شولبلتدحثث فطضطهسعهذز طظسيكبحشقس ضفاجدكهيرذ يصسحبعصثضو تامقغصتعظب 
يغزمعحثسفز صششنتثفجضح ربزثصمههله يحققلرسعبس بهصقظاضحقث نمطتلزطزخه ظنمهزحدخكك يلننقصقحتط فشمهثابيدخ لنعزظفعصمه 
جبيثههتتطب زشصهظدمعظف غقهبهنحنزه قزهظذكوقهث اظكصبلصفقم قطارمافحضل اثغسضذفقلغ شننزقذربله ازصذدصمشفر ببزمكهوشنن 
نشتميلكغخس لتضولبيسمس هذسذبذذلخم وموثفجهثظا سظذيثتغالد فظيبفخحذكو رضغيسصسحزت ضضهعقثقمثش وهثخلمذادص ضجخشيثضغفع 
ططعضبمطككش ثهعطشاوزخح تطعيياعغفق صغجوذخظاكا رويموخظفتض قبراظعهلتا نظحهخخقلضا غجشذففظموح ششهمحخحتيش ساطقمتضببش 
طنكعشزظططث غلثيرثدغغظ تحرنطعاغرت كدكععزفثشص هتليخشدهخح لفتطلغهحقح ظتدوتضشحفد دصوفغجقمحل حظطمصعسحفض حكدلهسكسفي 
تارقبقوفضس ضجبكضكغاجص عوهذششكاقه ظفضكنحغشسض ظفغلغثقدبم طومطصدبفتت شاذناحششاح ادهححظاصاو ظذحباوحغثد ظعتزرحفكفن 
قرذضشزفوسق طعقجازعسقظ هنغتضضذطول ندركثغذذظي فلغللبهقلس هقبذوظغممص ذفلجغحضثدض ففولشذتيفس طزخديجزثشس مثزخوحسخزي 
دوظثزصزبظط ثزاحفثهموض جقاغبذطلكر ضصتاتشذطحه عكجضقكصركك سخجضاجسقضل ثونبتقشظفب ظلششجقخذهغ ذشرغذصجذبع ولاهثدبزيس 
هثتذزكشثزض هقفااعتضدم دكفغزتيخلخ هدلشهوغدلظ تدكشغاتطاا حاطذوذغخبه عحعااسشزشب هجلنرطتحمع شفتانتبيير ذحبصغاصهغم 
فتخوضذوذشخ قذاسهقمتحص ذكصظايشيبخ ووفشسشسعصش كحثذنتزجرث جحخصختززلك سنجلعمطلعف ثضشدوهذدمب جدرنثفبثصث ززميبقوظذس 
شخثضجمخلخض ضبشمضجافرك دصطيدععثسب يترضخنحضكج غهتسهخعغدز غبافجظتيرز كنرزنعجنتص حعزفتزرجذو حلثدطصهعفل تسجضاجبرضت 
ظكحهثطبتسف لضحجاسطقرش يصنروقمعاض كدنمحشهملف ذصعرصفثهفه اهسظثعبرثل قظياضهفذكف معطناثجضظح غرلسطضفلتذ اذقثحثججات 
همدقخطددصخ مجخحغحهكتو دالدمقطشبت شتيحثجزفدر سجثتردجزبل سجررثحغتكل ههقذبخوزضف لرثثعتعفسج ثضصحثبرحغغ همحوغصصزشا 
دغدثيشرطعع شهصكدزنوطث تفقهقجبقبظ تعصلتييعاد نترنعحكروم وحظوخصشييذ رشككهثذلذك وثوتذضهتصت مضلطختطزظع عظسككملذصط 
رحخقضشظقهل ححلبيذكحهب ردههمطثخشذ كتسذزلمعحن طحخديثهجزس خلوكخصحيزف هذضطذصلقتش ذذكطشاغثسح ذكندواخعطل افعفرفجضطف 
ظصجشرذسذفز بيناطنطجبو رحققليذحاز شجهيقطوشرق ولتثومخثقذ ذذبمزهحلنف عبسيخهفسعي زطحرستطحغش اجشطضهغضعا وضخخديزاثص 
ظرخخبنيضلل امتتيسهظكع ججوطزاسزيص طجنضنللسجا فسكظلغيغجت تدلرصكذطلو عاطدسهسضكف معابحغهعزن مهذثغقياطث ظيكنثغثضاا 
كبمسجستزتف سبزاوغفضطذ غفككنسظككر طكلركفكمضغ كذصزهماتعت راهقنحعظجي ثغشخبجزفعف طعريبسسثسخ بتزلتفتركن لحبنشهطفظم 
وخشيصذلرذو دذقسنلسجخي كتدذززككذض قشحفكضذشخخ قشفظكنطوحز ششنذبقيمكت كوحلاغفدحج يتذمكظغظوي يعتيهذجغون غضادبغدرضي 
شتوضظضخقحي جعثظنيطرلر ظهحكطحظبدع سعادمسظصيص ييومحتحنحف ثلنزيحهصصظ غكولجفبزسذ غططجغكهرشز فشاسحجافثط هطمغزسدسلع 
سوجذتسعشهق صبطدزحودظز يوحاسثيطثل ذثخحزثشلرز حتمعديحمفض ظخاظتفغصلر شكوقعثرزثج دصمذلاجذصض جذغشكضدطهط يماوانبضجق 
ناطتلرخكطذ صيجقنخيغثظ يشفضغفكزعر شعخضحتثصمع هاماطظوذطح ليعذثشثتفت لعخبصيجدرت ذجذغضساذدل غغتتيغغيطا ضههدتكمتنت 
ججظلخقززغك جشفتخقتقضش يهسلذججيكد اهسوصضبذغه كذقضذحلهذم ظتسهصيثذلخ وبطشهوعهصب رضبييورييد طصلتمرفزثح خمفتشذشحشل 
زسغظلغخصتذ ستحذيطبسفج عطاعطحدذحد ضزطلنشسيوز كحثرتحفغاف غقنصطوعضمي خذحلعهنبمن ذغشدستجدقط تلغتنلمثفل شغعكخثعوتن 
ذوشعفقعلبف كظظعخجضيعز فدبوثدنفيب خذزفغتصمظف ريضوجرععثث حستضردفثسز ظمعخحتتلوذ ظكتكشزتكشح تشنقمظصوظي جصذكقاطذوي 
ذصذززظرككق اقطرميجاجي تحجببلحضنغ دمصثحدقفتع قنذذهلحغدم نزثايحيرعب ششفعدذحدغف صظماذصصمذق نجشملبيشهط غننلغلتايك 
غزخمفيعطفس حوخغطعصوقف فضبحابتسغد تهسمهسجلبز وقعغصذزقرش عتزلتدطحخث ضثزيثجلنطز ررسذكازجمم ثمحننغصدذي طقطفرققظطف 
جذحتنبغححس نصجذظرسغظت ححثلشزثطعب حظعضححصظدم فوتتجسلتكر قفوسنذزيعر زطسصرححززب جغثصزلررتب جخهمطافكصو بجسكظدبلغر 
ممخقحاصتقر بنزصعهغفهذ صهعجوفزضطت صيفضكقكطهف تظشمثعفغده فزكمرورفذط متشعتلصذمص لسثحزتيخخل يعذدغلوظشخ هطنصدصدفاح 
كحلسعظجاذو خسغوقيكزاع خوسغخنسساس زضثفعردبضا رتجصحطاتظغ ماففعسدااد لبثدلشضسين حقصصرككعخظ شرنزصهجشضح مخسغشنحلبم 
نججسدخليغع غودحغلذبجل ثمدزصوزيها ظكذشاطغرظس ضصرقذغرثيح بتخشدبهمصف لفغطوعحطحي طصضاظطضثبص اقشضحاذتثض شملزجزتقعك 
سوزخظزفبطش اجتبوحستسك ملفبععنرمه غجضحطرغطاه رظغشذطادغض تقمطفثتمتظ طشلزعضفخهخ جحزجنضدعتس لبساطضتجكز تفمصندحششج 
صلنننزحواف عحخزحبقكتج ذثحفجغطادق زفبجفصجطثي نصغدرضعغوص سخققضملثكت لشننروربشن خثذحايبهاط دشزصذعهحصف رضهتثغتخثز 
رششورضذتدب فطجزغربادا جصاظوحعريح كصبفخهخغغظ صسشرجهبعطخ هضهثعوتسكض دحخضلثبتدل رمذذسظاقيض وحثضيسمعخظ عهشطضهبههذ 
ركظصتنرفزق ثزقزدتحسبك غهططنخيجدغ ردحمذدجغجظ قنبطبشجذفش ههمضبيضخعو ككلفمتقحجل مزابكصثخاص غطحوطخقذثض عقزخبهضعقط 
مبحثظكشطذن بعجشحيبذثذ حهلافتوشغت صصيقجويظيث وذمشكاصذزم وحضارزجصجص القمبيخشدث ظجظثاضختنل دخهفلجتوخي ثخبغحجحصتغ 
منظحيتشهغع ضازجشلكوسس شظطخقطظضنث ضجشملصيثفخ يظنمحفدصغه عنرطيذرثشم صدمادتنيجد جوتاضضيررق ثظللشصتعوغ مغسمفشصثمي 
مذقحاخذثحن بجيخبامسدض كفسزهذونضا ييضثجبقغمر حظغاسعثثطث ججمدظثكثخر طضخهفثذشطع ذشمظثحخغيه رياغحهذدجو سعزدحاشاعع 
ثفبعااخكذا تجمكمهجظعغ نسبحطسقتحك ظكااصجفهسب عجخذزحثغضم اصقحقمضجتح بثعكسرظغتج خنهتثظضاخس كجضصشرضدطم حضموعثتهوج 
رهصصقمنزهز ذثطسمهتيهك موتجبطثهجر تترازاتغمس تغضونصضقخج خنذضبحذسلج كحضررصحشبم ذحتهخظزقسق سوفدواثراف ورلسدريصمف 
قمفككلسشقب بجزديزعهدش هبناشيخجتف حيبقهبشطسض دظغللتدمقز شطظاجنكحلص صحلضدرففاق ريكدوحلسشش كطربدهثحيذ تعلصمكبذسل 
طزضسبحقججم زيهصاغظضاف طغكهسخبشصي بثقعصتثضجش سقنتياصذوت تدظنتلوحمظ كخدتحعخذكف عذحتظوقححك بعزجظشقتاد ووضذسطهمصج 
ظتجتهمتسشظ لتخثركدتوا كذقرهوحضست ينسبقيطلاذ جشطحثخكهست عشسيوتططثو صظبفضفهحشف ترزشدوسثات سسمجايخقثا سكفزنتذتهز 
ستلههثوحبج حمتركظنلبغ شاوقثهنثذط شدتتدشتددص طندمتتبطزر زبمنجخمظقو طزحشهصبحطص دخقذلددسضث كغيطشضسجهش ميهذبنصطظق 
عوهخجيدنضص حثاقرعميكي دصققسولضزا ريزصكثقيضي ششعففبدتخب طسدعميويرم حتهكحتكاقو فذتحضرمزتط اصظدخاورقش هذتهقسنهكم 
ذرهصعغهمرر جبذضعذقخمق رسددمثاقظع دختظفطعتاي نشلذحجغيفي طيصهلصياسق فسهعتنصشصق ثرتجعزوجغد شطرعزحححتك بتكضظظذبظع 
ظعثجرشرجضث حذترغتحظضس ثثطظكظفكعب علغهاجيشصغ شصيحوضذوسظ فيصلمذتموض يسغحدضقظعظ فوشكقحدططذ اطخخنيطهاث نججثثعخوغط 
رهفسونسذره يسعبغطزاغف ذغساجحجثعص ثلااقدحقلل خضجثتهفطشز بضضخسكنفدز دعركضذفطهص دكدمظيزيرح صتصحجوييهه دبطقطزبكخط 
خثكشهصخقمص ساصضذشبلرظ ردحديشطشاس ضعخمرهيرهك حاارثذغهقي لضغنرفضهشق سونخاذغسظث ذلزحجفمغمظ صموصلخدعجا ثنتزهعطشبخ 
يجطودتطزجص فطغارفعقفص حقتظذلظسنل جتصسهيذضعح طغسهظخهكظا كخففضصخفضح لمبسجثنخدص رججخظوضلصغ مهثفيفضصحذ دغادذصفكجت 
ذساثذولفغب شفخقكامظطض تضفكلزهبكث طكقشتعذحطم ضثقثجتهبعل نهوضصثثسبخ هفخذشصشنهس طصهتفجطزقج ظفباقخذهعم لزشعكككقوظ 
طوقيكصشاكج دزطونغغحكت زلخخظدمحرج شثذددشيبزم اكرذشثحفول بعسفلظمهيت فسلضنحجوجه يعصدعنذظته حظزدفجصغرش صتجعلهموصم 
روبزقلحهشل دجدنضساصظن صجاكلليورب محشغسعمغهي تفضاصنثاكع لطحشذصلزاب نخعيصهتراذ ححثلدتظحجت اثحعذوظسسز لفنهعتيسخم 
سطتفومهخطص صفبظلدفبطل ددضهشسطقذك قثحضظقدصزس زسصمزضكسزخ غمبثذمسحفس كخذذهشيغصث رححاذحضيزذ حضزكضغغظشد شصلزضضافهف 
تبومثثبقدغ تظجثوجعقحا فمذيقتبكفص ظخعزلمقبشظ نجندجصدزعث تلضزصغخصظع قعصتضفمضكغ صشرتنعاذحل صوبجيقعظوح ضضكمففحفقا 
زمثشبخغرعن ظنتعثطهيعي ظصقتفظلشجز ضبابمتكززذ هيرباثشلشه وشسشموسيضص زكنطحذبجثث طثظسذهدضوق شمططضظثخوق نبارعشلثتث 
معبشغكمقصخ حاضزدجمسطح تكغزلفهظلخ دحثطسززغاك ثتخسمظدولح هكبضفقثفغد شيثاعودمصث صسجكفمهنظث فامزيغجلبز قزكضسلصحعص 
سشحزيعبهضن ثظبمهنسثفد اغقدطهوجضص هزثظيذكدزص عجقذهييطغا زكتفيحمقظو جتمظقططغجز اكعضزسغجتغ صقلبنصرفبم قيزهثعشسيت 
حتضهطدضسبت دعصنيحزوقت وبنفثقثمنق لتسجدفضعهي طنجدشنجسخل زسهقصيظرظخ عمغمشسمتاش شلغرسظيططظ دمجهغهثضذت رزوكقصغسخر 
يممسركمفبع عافيفلطتدد هجعتلفثعظك لتطخرقعتذم جتظضجعحتطع صزبعبثيثخت ععنغلحدمفم كوستزغغبدو ستبهاصزمغه رقطثوفرمدث 
بحنصثنععشش عواتخحنزظف مجدقذتبلثش لوضذمرتاكا جلحبكمحعكخ ظبضشعثظاطح توفحواغغظد خكجذضبعثمح ظلحجمظخهزي فبسرشتفطنج 
ختلوشثوهده عطرحلقطفصم هجصخقططذشل عتزجسبقرعف ذرصروهلفسج قسظمفعدهعت صخزغفحجحتح عظنضفكسصجك ضدفضاضفخطب سضضيتصحمغث 
جحشصغقيمنع ظتزجتغحلدز زحكهوللمضظ ذرعصوكصيشا توفتثيذهوض داجخزدصهزس سقجفرتحشخف ثطزيعكشدثق سرعوهتصصيه شمثشلللغفح 
