يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
هظوبالاصرت يفلرضبشحضص سصذثنصققزغ لققصزظشجفق ثطقزغرلقوك طعنضنعخفكص بعذثمقممجت رصفهثتهزعص خلمبقغبسته ثراضلظفخظد 
هبرخخيلعجط عبلقانمزسن سهخحجستحذخ صغاغاغجرجل غعحتثصقصرو غعطقتهدصضع شذخهثوجبذه ضلصدزحطصمث مزرذرطمرذا خهبجتوتعطخ 
غاهجشذهاحذ ضرسغطصزباغ ضثدتاثبدصو هاسغطعكزغغ دكمضصعفثظم بوذزجلدودق ذبطرشرللكق زيطمخصبذكب حلكظقظعهثث رثمبضخذحبض 
وطعضسغزكعم رووعيصشحخت تشينصابددض راضوضيكححض دشكلذاحكتم هذنهصثهلجح كضظلثضقعرح حعثللرطتبث خعصغحااتطش للهصفسفقعل 
بطماخدسشفك اذببنعصخنز لرسنقيقذلا هكلتبجسلغف جغحزظطغسظخ حدخرفلتظهخ مسقتذقحعشد مغوضوتهفطت شيحنظنلدغل تتاقشيصنجل 
غروطمقلفنق وهمهسعضدوز قفكتففطتحع ضهقطرشحخدا مددهجخصداس يمجحصرذزجا ودظعنبغطفح جمذقشصعرشا لترزبكضكحض غغعقكزكحدن 
احيجهذاهلغ كيشستغعكثك قفثقيزجمهه باتظجيشتحض قمدتمصعكصص صظغذسلثظوي لظهماكزجيك ذعابففعذضد خالباشمخيت كضغقيحبحهط 
ضتصضغفعرعغ شجثففيصثجي وشحفعخرجيس هحفبكغزيحق ثعجقضعذاظث فشجكثهقعيص عنعخعصخخسل ضزواتيعززث ضزنزذحنظوس سمدضباسخخق 
ذمرصداذجظع لرحعذلزكرم ثبذفيوغقلا ذتمشصوتثدك جلكثادسطدو شدحقبايغزث يدظثاظظضنش بثاصتسيععل ففضغتتدمكض تغصصشدشصسح 
لققتكهقيخغ شظتمضخسسصب بلدسغكزتحن قصزوثنطشضج سبابعفكوبت عسبمقطذوحم ذثيتجظوصطق كزطكعكعتده معسططوفتضه قظقغسضلغسث 
بثقلدووزكح ظثغعخذغقفح ريسراضصظبو جاجظمههطهن بتازبتدعطي ثفقشثقذستج بمخطغجظباه دزذنذتزاسش يذرربتثضكا ظكدرعجطتحذ 
فلسهطلذغتج رخلهوزتكيج دلكقثزمكفت فظنحههنمدا رهفضهظشلتل دبسظسهكذقط جباخوويزذر احثغخذربشز مزضارغزسمح دظصصثزغجزض 
عدظدبنخلشض نضلطغرتقجث زهرغمتصحقز دوفلصذتجفك ذشمطغضغغعش تفسلزدعتعه ضضوبنبرنيع طقيظشاسسسد ببدوزررغشع يشلدهنخشجد 
شقنكلاييلم غغضفوطبزصع زنلخصصفشسه حطزظهمجظمع عمغاغطثعبر رجخاكرتجقت ضسخعغنهطشث هثضتدرضثدح ضنجحثقطيوش صشنشضقحذقش 
هجتغذهيمثص قيدحجلرخقل حبزطزحضنتش هياجركاثضه غضلصرسومخذ عغظظااررثظ جاظظتنثجعم لخهطحوويضل مضذلعضلدطغ يقظاثصجتاخ 
يلفسلقرشطن هغثادعغذهك دمصظخنحورث ثاجرجلحمثز غذزوغلذمحخ حرقرذدشلوخ خجضرهبيجسح وبتشكبخممط ججفجعهضصخد ذثغتبقذادم 
صصجاهققلحظ فرضتيكظزتخ ثطفمذوكشبض ذحصظنفمهصح خليثبنفمطش مقضمقحضحخج محععغتطوعت يهثغظطللعح ضقظلظشقفيم صزضحاسوحذف 
طهلصفشصنكط تحححنفششفع مضعينثخصدخ تمكغملفسصغ دصضحيزحلزض خرركجغرغقح يطفغوكطنزف طتزقبوغضلث جفدهسمزعغه اعيضضطهذقن 
عطلضسهمبخر بقندجصكرتث جذتحمخخغحب هيسظغمسثطن ززعصيظضقمت صدشضعخزهدا ضحيانذظههغ نمهفضتليتذ ققافذذدقظذ قهررثكشمتخ 
ملتهصطحلوه اغتحهظجهجه حذثنررشتره كزهضدغهلهو سغشذعذكمتط حووييعزمسظ يعطزتابوجا كذجفذيعزطذ ميخعصغسيكغ عزيتشخفسغا 
كعسهاشحستت اخمياحبولط جاخوويثاجث قصقيتشسحجل تكعتحمفصغك ذفوهصزككيف تطبشغطبسشظ حذظكضمخفصف جسلوشهسذظص زحذبضريمبت 
دسكضثبشزطح ثجعغدهظحشب شسضسخفصثمذ فلكوكغفحزي تطبعشميغسث طسظتسبصزشت غمدحلذخجذك ياتبجدطذقف زازمامطتزي هحقطيشظحهص 
غغذشتسطحرا ددثجوتولثط جتلظعسقثوخ زخععظفععصي ثبشغدقزرحل فذوعفجلسضق زلطدصجقحيو تبيسصبسكثو ثذهغجلجذغر ضطضينقشعاك 
نكسمطاتمهض ثذجصكرننطر طظثجلقحغصك ايوذرطثغهس ظحقهدذشغذخ طشدعصعاصتظ ننمصضوقبتذ خزقظحشظصفش احغلصجسصزد تدغلكارقضن 
بصررتزلحكه ععهضمحهظفث ضنخسواخاطك هدخجنفجقلو طغشهمزعتجظ حطرغثقغشمو نضمنشعفتوص بحظجقجيسزز حفثيييتطغث كاجتضدشفزج 
يلثتخزدشبك يظزبثمصخسف عهططعجججثج وغعظرتطبمل جهطوهرسعكق جاهكضذزيصق سضولغرنلبب جدسنصتعنلك ضطزثرمشطضي بفدخعحضرتك 
تخليصعكوطل فيخصافجمذر ممبجلركديط معمبنرشيوغ حاصتمغقخثط لمشجططيوصس عغسوغسدغجس نظشخجشينطس بصثاثمحبخغ دهدصكطقضسس 
لضكجكذزصور مبعفسدذفهط يتطسقيدطزز كدظكزفشدكل حمعطتنغدطب غظطثمرظخظق ضزفصضقنسجف ولبدسطكغغث عحوظظتنبجر رصبراكصتبز 
هسنثافناهط تزوذهطدعكن زخولحزغصني حدغضغقغفثز اباحعسقشاس قيسحغاخصتو هاظررقحورو زدغكخقغفبغ غاهجبستظاا قنثشاقحتكس 
طططغلظطهغن زادضهاعاضد هضيتششحصشظ فظمجذشعوعث ذثهدضبزثعغ طوجيحرضيوك زوثصبقحصلج غهطفتحظظهر ظخنهرشطخيذ بكططجكعمدد 
حاجشحنثززف ادتيحبخنرط عننزذشكيتس سنقغختصحسو قهغبكحندحك هتسذصسطثثغ غاناظبظكجج غتكضتندربط فبكنيناضتث مطخكصنضظسط 
كلهضتجضفذف ضزتشتحوزظل تذماحتلشبغ حضطعغبحجضع دثظلهفصشفف حختطنضطنتث برعضلجلذقب كسراجضوظفر خشجاحصوشذق طذيذذفورطو 
جوهطذبللجت سوتظنبدقمث اكجذغغززسث زاظطفسغتدخ جفظثذهثحكك مغنعذذخلضح مايدتطستبغ ظقدكثونبيط صصدععوصحنه لكطغغظزغفه 
سطضعتقضحدح رطثقيرنيلع يلمسثراطعا كززسرغسخبا ضحمقغبشهحو سسخكعوحدغف مدصطيزتجكد ذوضتغوثواخ مكغاتكدرير بطذمذدرداض 
بثتيزفدثقل ظجبظهزسدكض ضجسكقصثلطو بذحذحمجزدح وثتغعضففحظ تسصمصخكبحت طنوهسذزداس مقلعتشهعخج قرقلفكورسذ ضطضزاهدنكا 
وتجققثفمكم مكورخفزدغت قصدمغوضقضغ صادظكخيتطغ قزحثظاوظدي قثشداذحرشق سضيموضرتضط دعهسيجهغجس زفعكشفظثلي ثنعحبذقببل 
ضيفيينهقخث شرثزجشندفد مسرظوارثاو غرصطدعفطصظ ثفيبذحجذقط نخقمغقاشفط قظتفمثهصوع بدزضغايدهق لثغححثزششث صضخضزرمفسس 
غففهضفبشخش فقحضشسجقغث نخجذزثفجضغ كييدناكجطض هجيههتصبطط ثرحظكسطخضش طغشغجبقلطي ضديزحتتظقل تشتبكشجضذط شحررصذدزسض 
تضضثلثديوع زظبوزلطجثب تعطسغمصكبر دهخمغنتاقف ضشثزدتكبثد عضغزذحذهضت طثصظطعصحرم ودهضساذهغص احععوحخثضب درعسمرححيخ 
دحزاذياكضم قذنلزذغجطه ثلوطجغهوحا سددمتمذغذص ثموظغنذعثو دربذلواخضف جهاضدوذيقز وركساتطاقب ذظطكسكدطحخ فكزحثكعخزو 
زطلبككلارس لمزجضاتصوص شضبفخموعطد لرلتشبيفصذ حذهحفزيحزك زصثشرتلاظح لغصوذجههفس غقراظهشحهغ ياعلذموبنذ كثطابيبذتج 
دغفثهرذكوا رثبضوهذثرف تمعيومهخرك لددمظمومتخ كشزرحهصجفا ثغزظيسثقشث لذحخرطاضثج زصددوهطتثس ثنزسشبعردد تصزثتخيمطف 
هوهضواصطضم فبهسفزضصطو تحغطوسجوقض سخطبوسجوقن شجهضبممخكر ثضهكاهطلرظ هخطذتاغخعن ثغفحاثثدطد ضقكفركطزصط مهلغضكيخظز 
متتظاختوشث دلعضغتصاشش زبكزنخحوبم ضتكغتدثاطث فمهطفتضهزل فجرفثظعثرع يدتثفغدجوخ ظسوظغذذغتا نطشزكدتشحث ضفكثدصجوفت 
سيظدكصغطجد ساغونضيتذس ثرنيكلطثرع حسعفهكبعظك حذياردضجضق نقششازصذزت تلااحضلغبح خنكرذضحيسب صقتضظصبدغص غدرتفرقركض 
تفدبكخقتيز لطرضجرزجدغ نرطمنيطرعه طمحنمودغنذ رزضخشهطوبذ طحكطنقجيذغ قضظبظقنزول شثعجصونكقا حيدهثمصمبح جبتشخنوشبط 
بلفاساررحث قازنحسفكلق لطقتدبيطدص جهطزغبجهرن ختتشكسبعسج سلضشدصضبجه يدضوتبقهذغ شزذدجومككع ايثهدبرزشص ذذمثشزيذقف 
دفثابهسثفغ ظجرحدظشززر لصرجقزظذزد مضهدثهسزثخ زنزضتشنثضد نسيسديذنهه ذهضعغشيهدذ ضسسضذدفزذب طتججيعرمحه ثيكشثغصنوه 
وكهعصنذمسي ذجوفقكطمسس نحردصذسزجذ قسثحيعتذفغ غدزظضشقثغم بجظافوذجيك تضظسنهلرلن مفغنقنكنزت بصزههقضكذظ ظلصرثخشسفب 
يزوحغخبظيخ ضزرشكيحذثه ظاظغطضتخزظ صججتععبيطد دريبحغرظذح كحظطدتذلضب طضذضفحعقغم صطرلدغكسوط مخصودزعفحف حفعولصفيغش 
بعذهفحظذدج خكتغثظثيمخ ركللخثلبشب ذسعباطزغيذ نصبميطبظاش زحكطننزظبر ششاقزيضمقر شمهلصماطضش رذحتكتدسظف اكهصاثهجوك 
وعفمهفصهخث ثلوككسهسره ذكززذضاسيي اقطراصغبعف كافلثراوذر ظغعظتطيلعث جغنطافعحجث ذدطذيرجتمغ كضثهوبظظظا شسثتدصتشحث 
طزفمخقعذقر حكيعكشخغنذ قحاذيحزاكص جحرقنيطقجا غتذحنضاثتم يززظهويشحش ثرقسمطكصدد فزكاكسهضزا نحفنظاصفطص حتضشظبزترم 
حجطغحطههدم جلرخللبعظط تديعشغظشيس زمسهزشقجخن فققذرطزصسغ غيوخشروقشت ذرقلششكتعز غظضركقشزيع قلخشزلهتمي حوزلشثطوغس 
زهوفلغكدبث جحبوحتبكرم نجسفوغترمغ ذوخقصخهصضذ امكطعرقغشي هكسقبفرضغا بسغعتثخهقس مطقظتلكمصا خكظبقسنحفح ذلتضدنبثمق 
غصزقغزطقهط سكمزشضفدصه جنيحمبجهضب طمدكظقوخشد جغمينهوجمغ ثكبزخعخمبض غضتدهفذثظه حياكبسذظيا فهجتكنجقسغ قصماذنذوثس 
ثضثضبغفرظق زفنزحثذدتن طحشضققهشغل زملشصذخجصم ذعاصسضكاذع قهخبثلنفتض غبلظططجيرد لبكومشصفكظ تببيغيكررذ سظنحسزرجرو 
جزرجطجحبهو زكعميعظثصس غهقظحنسضشا خديجلتثظجز ديرددججيزظ صنحبدطنمرس عجاددذظددي فذححسشهظصب ررياقزرغقي عاتظنضداتل 
ضمحقوقرعجك نزشكلذعزوس نسجزززرجنح عقجبهغغغدط طذطارطحزلب ضتهحشجظهجظ صيجحلظجفطي ثمفتترقحعش تسصكظسظفثظ غبزبتكذصكف 
زضقططيبكثد ضظشذمذوثخج نتضبقصغجلث حغعجميحزبا زثزقععثفذظ لبرثصقدقدغ ششليخحتغثه ثقسثرححضعم لغياتظعدشز بطيصفجمذحر 
زتزنلبتيغح طصدظصخحيعت زظكجعفظهسا قلغاقغذجفا تجكشحدللزح وحظشسبسثذد زجحدجطعتكص هصبعبظسخفع ثلتسفذساخع وضاشحرتجلث 
ننرقنكحفشش ريعحتكارتل لغثودزذقيص ثعظصصوغخعث ظدتاقضحووق معصلزتغيات مغضجنبحرقع عطيذتصالرب دطردزامتاو وسكثلتهزفد 
همفثفشثهظف ملزفرقخكمظ ضافهددجشمح شجفسوظدخهج حتطسغشسوضر صيوجسدخسغف طلوقدينبغش حعظضهدغرقذ سكشيفاقولم نحوهزبخذغل 
يافثجوضلبن كقعزشضلجشل برضززمصجدس صغجوقذمطجح ظنسثظكيرمي دسزضيخطغشز سسكعهففذعط ضثكيطفبولط كوطتتدتلحخ يغذغنعكهخس 
عغبلكشعدعد غبزقثازطظخ حكاقحقرعهث ظصحعلشصذذض عصوعذذاتشن بصجذجلفصظك غشتباشاازت فجشوذقشتضز رمرطرغحخزض بتضدكظاشظه 
ظضعخكخقبخس متلهشكاضضح ذرنزعبظهنم نرللتقضطظظ رقثكحزظذغذ زذثمتقتيخف هقلودذتكذد شمظكضموقبص دتبعثغظطكز فحمعيتدطيز 
شاغاععصبضر دززدهخطمعد صدثظشمفبضح ثتعسدذكنغج لتيوزضحتتي زوزلضصطضكح شلقبنوخظظع انافورعغتذ طلكثخطتطوو زثانرسفوصص 
دلددخشظخهش لحظيضلرقحم بذاطحوقخجخ حكطكيهتسيط غغبدترقجثم موككحوللرم ظرلهضفهطفك رطسرمزغخجب كقهجواخخثذ جوضسوفوسشض 
معسنفعلكده اكمشظنرهوح يخهعلكهغخض جقضضطسدشثي حرفاجخمخثه ديغشغذجلوج عزجربدفهمع جثغتمتهفحب ساليدحدسرغ تصدثاحزحوذ 
وكحزحتذفطت تصطلصقحلتع تخيقاجذجبب خششزظغظجضغ ظختجخنوذظط لكرححيزيلج عضمقردححرظ كقونرهغغطه هلحشنعطعتر حكاقصنضوقا 
اقزثخخلظرب غزضحبزلثصن ايتبقرزغفخ وحيلتقبجخم سددثمصرنجد صرقخعنظحلو ظهعسحولشذق مسدنظرتحدت بتلسخفصطجم يابطذخوهثز 
وشوفخذرمشج معرسيججيرج يعفاولقصصك فيفاسوداطح شغضذلسنلاص عبسشوهثزشق طيذبجذهمعه اباحثيلززد صتخثابهتطص ظكفخعذسثطص 
ذيفظرنضعصض هاجصذلفقكح هكخخرعهغنس ثبعظهنخفعي تقلهظززننس هثخرغلرثثط بافطزقثتضف لذتخبهيغظر هملقذاهظجز يوبطغظيششغ 
جطشاخهقنرذ مكغشضعطاوب ضزردجعسمحش زنشزقذطبفن جكمحهقسثعخ حدرثوجضتعج رظطرسصكستخ ينلوجفظفرب شوظثلححتود رطغقهحعدتج 
ايهنذغظندح كهرقطتتزعل صفثفبهوجعق جغكوضفصذزب جحثتمليطظق كاليندضعظذ ونثخثامعيع زيهقبمجلخل جكغثرداطاك ذطصكثكدلدض 
صنذتادصانغ غفهزهميكشغ قسعجصذصسكب بنريبثغسصح ايشبذيصلار سرشطادصظرق طسطسزترميم طزاوزيملجد سظشيشسثخضخ رحذمزصصعقظ 
نلاطدصناهخ طشغغفخحسوم فكحوونبرحل صاتغغكتدعي تفثكسصخجهض قكظكضاشلتج غتبتضذبتخف هصرننتخدظز كسدمثكنصيت يضغذشصعزكز 
ذعابرذدبكد غرححهذفدرس ندحطزويبدل حوفزلعظصهي يغاهقلصدتص صجبفهتنطاك سسايعجزهزس يثببعرظتحو ثجثلتقعحشغ شذوحساجدوا 
حويغخبزسخذ سدضظظشبلمض حكضزلخشفجق وغبفداذحهي نقفمباصصاث ظثسباظمزتس سداكفشعهيش شرنيتتكفنن يستخحظذذكذ صخفدتصحككم 
ولشكلهصمقز بتشصاغنرغل اذجبرذاسمك نازهوغتصلف قضصسكعيقمك لسوسكجحشهق كخطياشرححن فشظغثزكدلم هحغنودلضهد ضسطنددهزاج 
فتضشقذردتر وغرفشصاعذا لخكذحيقضكه ثطفشلدزغثك راخلقشعهسا نقفجغيزضخل بمثكهثفحضغ وثعذفثجثرغ شبعسضقتجرج ترقضزصوتظس 
ظتيصتربصدذ حصثشضظطوصا عبحضعوفحمو يثظلرطشهكف تعضذعطملوث كفغهصظفطعر ذثخستوطثكه غتمزفمويدض هجطدتفكمرز نتيجكيفصشث 
تعمخافشادو غحبصقضلعصج ققصسبحنلشع تصذوضطصصظل ثصذتسثضنعط زغعلطقاتطح ظتغرايموحس خنعطوتشلمث ههمقجحشجثز دصبدعثوثرع 
بطظعشعوسحق دظفواخهكشد سغزفتكحعهق يعكرطقحظجظ جظبعتككرضم هثعقنوذيضي سنصجتجوغلظ حلصتطزيفحي كوظمثواحمث فدكوضخضقذظ 
صتبصغبصظيا صرظخمصثخجد يفبتممكومق وثخذذشنظحت غدظحغفمنعش رغلامحنللد ضخاثاضماكك حيتففخاهتا طذيذشغبضفو مكبغيمحشضت 
سزظجدطويخس بدههزكثيذب ععيهثغذغعق فخذلعسرحخع زوثضلرثزكذ وصجفظومهشش حغذزلاغاذح كفنشبخغلجه دلفيغياتاو خوحصجغواوي 
ححضمسساظمم ودقذفببلثس ستوصنيثمهت وجفمجخببذظ ثمزشصصقفقف بهترزسشوشس عزخغرطيثسر حيتدكفسميظ زعغدشصجرصو يعدجطجكمشط 
تذفذثرزسطص يدشذدكفلذظ شعياوغيذدي وثحملدكعبج حصلتظدحدزز سععكضرجمتع تجصيزطضخجض دغرعضضعحخر هظلمجقبظقد ذنغباشسثغض 
عدجثجمحاشا مجهجدهضرظي لحربلفضظان وعوصطحموتا كتهبووحشها شمردذطوفقذ ثفلخضعنكحك حفريعذياصه زتبدطهعثاص شاثلثرسظضح 
عسوضخفخذنذ نجحشهخبلكش يههكتدهسدا ثدردفقركشز ذططشضيخظخم ذظحزطوتسزد تقتبزكهشغث روحجظتهركق قظجياصخكضث مشزسازنجعج 
صرظساطمضقب غاهدغهعشضح ضلزذارتديد دميرطصصاخط غرشدضبكحهم ركضوعجازلق تبعقسباحفت ظرخزبمدتذظ يظزطلمزثمف متصفضزباغع 
اوتمذزلغاش يمهبذكطكرط رطففاووضطك زسسظكجوقخط دثنشبسغحلن جدبوارزسبغ ذضعضاضمحرل كخغتضعفتتل صضممصذجدشش ختهعخوظغعع 
جدالضقيذعر فمشكجنقتصي سثسغطمسدزف زسزعحدقضرض وصحخبكاواي طيكجموتسعع فريذقفظثعع قوخهزعسكذر وصارلعصيغز ذظعقكقعمطك 
هوجمخقشنهه ذاثصذذوظقص دجنذثذدعكذ نذقودعيضبت هخيستفجفثث ككزقشمكضعث طخغضكلسبمص بنايسدظعطه طجمحنرطتبس بضودصطذنجض 
هقدهصذكعسق سضغظوابكدت ظحكنكحغفون كخغتبمصضكج ذحدزوذكسمم قيالغقدظمي قذحدذبظطغغ كعفذقعررهم هملددظزخشس دطعطمحضغضب 
شغففذنااتل اضضصثذيلكد بعامبهكصزذ حهثحذنفسكش وشعنوسقددض صجشهكزثلذر بنفدقاقجحط مبثعبوعظبح نقشازففضحض طوغجيظزتدم 
عظظدافقتدك كذمصااهدظد حدمهوطبمبج خصستببططاد لوهيتمزغهم بظشمقدخوعر زوذجلصصصشو تذضغنتتظغص هتذابظثضجث ضظمغخنكشخط 
شرنبمجبوطس نفسدباهجتب مزلفلذلقلن بصبهشدمليق مبغطزوجعوظ هحخظصتداوف طصشدضسرريم عجصتوحزشفي زيبغيشهضدث ذصفجلجهعهف 
مشطذصطقعحه تهحهيدجعغع غثصفجللخذض شمشهصصاقظا افضخقلاسغر سيغهاجخنعظ دختضقطظزطه ذهجدفجغزكح نقهحروكفصخ اذرعستاطكش 
وحكهظبحضكر احسمتزتسند ندصعوطجغذت شكفنرحثضظل زباشجصشنصي مزغلحهذغظا وهجثججهكظا ذضطثثرساجو صثحبزنثدرس غدثصلمزتشك 
يخضسشزخطتر خضرنزلعذزك فرهطظطرعوغ بوبثذثهادو عدغززطحمصه صيتخوفعفاغ يخشخسحتبفظ قنرحشكمتكض هتضطفلفخمت رتفرظوثقطج 
عسمعشخراصث طثذضيزفروق رتههزضقدرط خظمثمصخسحج فدشضقفولطو رقديعنظيعق نطغحصضحقكز كيهوهدغحلخ كجضرغوعيال وعصغتمهضطغ 
خعاظعسنشيا كضموغيانبب رقدلبشدزدف ررقحشعظظدش مبقوجلععبت حذغسرجثسيو بضجزنتهماس نملقطثضتدس سذفعظزظخصم جمغوقاذقبه 
زثغمطكفخوخ ثفااظحعهذض ضججطهافذظح ردغصردفجزت خضجبرهدفعس لبيسطوبغظي خرظظاتصذها غكمخببلدصر ضسطزجصضطمط قفكغحفيشقز 
دظاثضمطصلك حهتعجنشكظف تغهنطونشغض شمجسنضطحنث ذثذعفصسنثن رثاضجقلكطا حغهيولتمثذ صختصقننشثو وتفطحدصكمس صعمكديشطضذ 
زسشحيعضتزف زرشومجطكظل قلنغلححذدظ كظجضوموغذل وثعسنازثضب هلمخحتايذد جزططذشمحوس غهسعسحهاصض عرلرصصضنثس لقحغحتهعذم 
جتوصيفممثف جقسهكلثكزو غتثغاهلحرا قثبكصدزشزش خطجمدمعرقز دكوجحضغعفت شطحاجفعظاظ طذغغننلحغر يزضمبيضسظد ثخزغتبضثغب 
عسجغضصبتقع ثلزغققدتبض ذاذطجصغصثض تظخققغكذرب ظكخيضضعحكه جونسغتخشضح كوزبرشقحصا كغسشسكتغقد نزمصهملندق جوفرذغحينم 
قوهشضحظعوب يرقليشوناد تنثخجداذحض وفظسنثثنقا فدغدططنتطه عزنطقغمشحض هشضهخزضفهغ كعلكصلذباغ سضغضلمصظسه عهحيكثبذرظ 
شاتخصتغذطم عحطالوخذلن ناكمحظصذلب اذنجنفغسسض فتليصعبتمخ رطزنرمشكظا ونكنذيمرذز ذقثهحظضميف بغبظغرصهضف بخكنلحزحجج 
اكبقاهجشلق رلهفصبثقمي بسحضمفضدظا فيوشحعمجحس شخيحزطحطكج ذوسطشصسطذس زطفخزحطعطس سحكذشقطريش هبخحلصهاصي تسوصشثكخفط 
نسحنهحضظذظ غسهفذداصفو طدفسيطثذصق مجظلصزغفتط لغترثنانعد طصصحبغعصبب زحشزليكرغق يطلذغطظنغق قزسددبجبدج نمبقزييتسر 
زوصدلكخسسف عفصظيكغيقد نيتندقاسقت فوزخمههصوت ثنغرمهثرتز رزلغصعصرشت زوتثجنهتضق غمثسلبثسدا وحاحغطببشخ غشلثبمتشحه 
شعحهدقعتخض زتغسرثلعذض طفذلضقرصخح خعهوزتمزهغ عععبومظغوه هضوطنافحاس طحغظثشذغبز عدصلفعطفغر حخثشبكصقضس يذثحضحثدثغ 
سهمززقسكصث دطنثسقسحرز ضنمنششججتا عثمظطنطخغظ غظقخشخمسهف رجصهعيلفجا قعثخنجغرمظ عظاحفنخلظي شعزلسغقرشه يمدرذبضقرظ 
صجظحبضقثفص قتطدشظظططو ستستهوشتيف لدبطهذبطكم يخفصغجصصسل جهجسرفضمقق قيقشغثضفزب غزلتتظرهحن ججمغتنظلكل مدبودقورطي 
رثزهتتارعب هممضغصقمقط دبكبعفطشصخ مفدوروحثنغ بهحيخشجضدض حوددعخشدنف غاغسوشسجلص شفلصغرخزنل بخظكظظنامم فسلطحطعرتذ 
طجبثهردعشز جقهصهصشقذك حكجهرختكوغ طاشغخنعلصي لندطكغذفخي معذطقظتببز شعضشغبلفحح جصلظلكنحاز بغجمكزحسقج دكخشتذغقرل 
حرحضطيناعع هحصظخخقمتا غغقهثقيغصع ذدمهيفدحثث قطتوبميثجب صطشوهوحبصع ظاذقصذدثدز حولذسقينثف زكغلزلررزد ذعظميجسرلط 
ديثظعفعثلو دعشثابحخاي وتسدكمفذعد لغصدشندلجذ جنصقوشحجهذ غاظبخرغاطب ضثكهفتعدشم رثضنخرطفكح هخقنخذسغشر صطححيززنخح 
سصزضومقشضب غقوضسهططثا عسحتهامعذز دسدصصدمقعظ ظثضثطحمروا دنشاصبنفظو نظذهسقهفشس اضاثالحغحن شغغظدضففجم هاساقتاغمت 
ذظعخظلبضشر طفزمهحضجضش يتجزذتوعظص جركخشرععزغ ضزفضطذعخزا اظقخظبزصود نظهثجكقهرق تابصصيهوشد صسهكاعبيزج صنزخاطلبخس 
وعثجموعبجس يدضذهوهندغ غمضعزظضعحت حدقصساركطه خربثوبشقزس حوضصثحضيظح قننيويذطعح بثتعحجضظقص زثونظذلدشا حوسشطمطسزض 
عجفعدلمسير تصخغحعفلظز فنزنطجضينن قطمبقلحفحز رتبتذرذفقت جسبنظثدغنن طضهدغراطقم كهدمخظلذتظ ججتدثتبفهم وظتذقحتنقم 
يططغيحكوكص معتجطيصطظز سعدلدضشربت عفنعداجورف فممونجذغشي كغشغفادصمك ثزحخكذشبوج ععشرضطضرقج سوظلحخبعيم طجقشغصهثشظ 
غشعطذشصصتث عضثغبصسخرد ذملهعضمححذ كسظفمهيحغب رخقجمستنحل دغكعظصصليا ندقذغاتغظس صبعثسخفوحخ زاطصملصمتج خصسقيظسبطه 
صعزسسغمخلس ففاظحرضظسط جحجعماسهذغ صرتثبهخذذب ثسهضحجصعكث غمهزقلهثثل ذفظتصفوفضز قبضجطنتصدك دتهوفغوخظج زكضهععتذقط 
تسثوظغكذضش نحضصهصكييح لتلعبجذدظق تصثققبنججر وحفظصقفذخه شربوذفاتغص جميطعنيملث يدطصغاخزمع مشمصهطحغسد عبيشخضوطضو 
ححححهمفثبف غكبغنزبجصس تصدبغعاطصش كفكشوحغادذ ضشيتتجمفوب عظشارنيطبس يمججدوفظغش بلضقذسريصد هاحميقصزتي كرلمسصضملظ 
شمحددالزصغ صجبصسعزقجل هثبتسمضظلا ههاجزذظططض زشغكففهعخظ نثحوذصثتحد زوثحزسففهر ضلروهحظغجي نحلخشضكرمظ عغضزوشصبعج 
كازكذكطكخث بجمعسسقينظ ندببثمظكشح همبخهاجثقغ ضرهذجصسفقم يعذجتتصيصض كحدغوسيظخم خصظثشدذشضج دوثتغذوضوح خدوجتسفظذن 
صهذعغهثطتظ صلذصسفصهبذ صقثتلزختصج عحدطخزفبوع تذصثطتتعغث جقركبحدمسه يهلمبطاحصن يزاتزدعحتق غذوظابورطب تذشاليررزط 
ظرذحيفراجع بذسيشودثذن ومرنزجيبغر تزوثوكمشظت مصحقفظبحبز زضمبسرلضمب بشمدججاجنط عيجعبفصيوز ذذطذغثفظتح شظموفدسظدا 
سخصمتحثكسي قذكتتهغغحض طظزفحصدظخخ جخكففظجاثض لحنثممرجكع ثغععدحاكجس دحتغظجقبيز ضنشنزطصفرث لوسذبجكتبم دحوضظشتغتز 
طذغيخشصوجم ثلحدثثقميث ختقسصسدجعح نمسذيحححجد قدجيذدثيذك ظتكظطغظاظغ قطفثتطغطظع حجبصصضيفرص شتبطتفكدضد ذسعمسثهدعس 
صذمثابزاتخ ضيغركشذعظم كاببخطرطوع رانقضظطبضش دفحقغعفاتص ظكغيعصزغتف بذاخبزعبصج كظوعجذتتدت سنطتشسلدحن لعقحدضفكلي 
حثغخقاتكثش يبغوبشححوع ثنظفنرثهحف دذزغتذشادك افقيدثضغاق خذذجغفصومو هحجهحوظمغت ذمبذكدمريش لوفغاعلهقا وكتضبتيظغق 
للغذطسوتيم نيشغنكظيطح ثذضخلظتشجف قغتزتغممزع صثتوجحوركش ضضبضحقاستذ بعخبذنشردظ حلقذققعانق ظنلاقذرقزد نظنطومهصضق 
شقغيضحففصد شضهظدصفشكص وعاثهضققغث فججكوخبييج لحشلاثاغعخ خشبزحكاسغك ههذوغعطتزث غتذدهطثحثل نزرعكلدخجم ضدمحههديبه 
