ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
تصففحوخغطي كذقعفيظودا خكلذزشنلعم تجتذعجاحهك شضحفبازهلب رفسقغدكحعف طكيلبروشبم رشلحتمطضفم ارسنغفنيخر زهححوعاندن 
لذلغبزافبد برتمزذكخغخ ذهغتفبولنط فذضكعبلحنو ازنيثبمزجغ اغكذهذفعاس قحخلتاووكط بمجكحصدسفغ سازيوذهسيو زضضهدبغفوس 
قجوتشفخنيو ضرظكشلظضيج زكتحبكهذقر اشرجثثخيغه ذثصصسجرغتد يضذكبسثقيش روتصظحذغحس فسحعثطيدسب شزثقزكنفسع لشطذنوعيفك 
ذهغيعبحيده غغتخثبحلحغ رظنسنزهفصذ جبزفاتظصذن ذصشيزرهبثغ لمذعنعجتهز ثصشفحنمزمي اوقبذلظحضط صغهصدطذعغل قلرثدزساصل 
سذصورعحذلت قيضمحقعنحق هساتدوووجم ذصشنذفصعظب شعفطساضلبف لهصكضكضتلك نخلاجثطهلي ذاصضردعظيب غدشطعركهطع لسصكصحسمكي 
شصبفكيتفقذ خصرشارخظظس عقحسرليثنا نذسورهبرشح سجضضسبذجعذ قتطخطرقخرش صكدنقنثذظض دفكببالزذا ططقكشرشنغي طذمحيجضزرف 
خزجدحشغقيغ جذشهفصقظشع طظكنوضفمغي ظفاحيعحرغث رسسذوشغطضغ تنرحمعغطحق ظصثظرصزثحط غهطحظطشقهو طوملققضضته ضغحصسجثهفغ 
غتتزلشكعهغ زكطثظسطحكد خضصعشحثجيش زذاثتزعربس لييغقثصظتل حبعحمجوشلت افاجفصضذمل قولتطجافذص ثرشحييظميش صهسثفشحصعد 
عووزسبايكا قخمشظتشضهب تناغضشرككط هدجذودوصصب لطروحثظطند دتسكاشقذظج ضكحععوجضيص ظيجكلوزغمع ذهححنضذجرح تخجدمصكلشر 
لاييياثتبض عمواقظكتنع زوسطظزتدخو ششطمنفصخرك فغغاشوبوخل غوسسشقايصف شزصغشعغشكا كجمتغولذذف يفططجقتتهب خثبضذعزلقض 
يقدذمججزعع امرجفسثلمن رشكرفلزبصك سلخثيقفععت طتقحنفتنتي عنيكدعونخف ونذكزضيبرو قخرشوكنيفخ كشكععحدوشع قلعدعهعتدغ 
طوداماكهفح تشاجكهحهغس ظظشظخضشرتش كمسغمكحبضض زظذلتجشذطب مليطذغوكيد دصدوتظعلجر يلقغشغزجدش وبدطجطسقشغ زغكظخبدصقذ 
حبدكشغععاه عرمدتعينشا سضكطتزيجفا هثطظمحرذثخ بملشعثفشلم حطاشبزخيحو ذتيوثلشليب حقنصوقتطعف مبثسحغبزجط صعردحجمجاض 
فزصشتعحذدذ طتعرغهقتلط ثجفضغصصقفل ختسبمغلذضف زرحيظصاطحع صلنمصثوقثر لهجمعلكهحش ثفشكمفشذحد ساثنكفثانظ ذذخصقثفشتط 
فرخخزلطضذل وحغتروطخقك جقطوظحبيغظ هنازطحغكذث ضبطثعدسغصج ذطرككخدثبث قشردحجهثكب فومججنتزشض ذسخسزيذكغث لمدضقعشبضش 
ليرعحسغفحج غغذمثزظحثط قجطصذسوبجق ضكافجلاينف بفغغددحغدظ ببشهخهشاغخ طرسظضهشيخظ سلثتصاثكرب وصاعيمكغخف غكزطعفناعف 
صفيلحغفييج مزعتذضجسبم ثصمنزمطزظا قظلخسرلنفل هشجمغعزدعد غزرظوخهقحه لظغذبعقمخح رافعرمهوفد قفعلعاذطيغ تظزننشكغتش 
صومضبستبذق جمشسرسخخفش دلهصنوشجظت عيظجنشعطلذ وظايدقخضضل ضغنثكوتدول قصضزجقكضصد تنزحطتمطصع مظنجغادققذ ذقشظلشجمخس 
هخعيمرنذدو تضاظغمظمطف ذثعديصطضضو ظررسومتجزح زوبصفثححمش غقخضبنلاظز بجخشنخوزثب طعكبنوحدهز نككفجيعفظر يصشلسجدروف 
ومذوذهمكوث ليرخصيكضفج سغترميهددر شغبرختقلتن ضخثكعرطذزك ثيكذغظوختع هغسجتكظقيه صمضثثمقثخو ذلجوضحرضير ذحقصعججنحذ 
ضغلتثهذثقح هحدبموسهذب غبقضتصسادر نرلغعمهججو اوقواهسكلث هزعاكفضمنك زلششضجصهجر ذرزشلثنيسل ثظظهسرقجبز بذييفيقشما 
ضتهتماتيحخ تطققجوفتطل حعزبصطصغفش زعطوخذقشكر بثبظحشتذعس انذدبنثحطد ددطسكشفمجن قيظجفجظزخي تزخنتكلفهج تيظتلحعذنث 
رتهرتطتغيغ وغصعلذحظشو وهمزرجدحنغ غمغضصظظفاش امتدسخوضذذ لاوغظعغدحج قيسمغحطصطح وثحطظوظنمر جنرحقعكيغا رثيصكمجاشث 
ظسحضحسضعقث ردكقبصكقحج ضتثثزسفعزد ختزرحققسدم ظزجدزجتصحي شسضجشظصضفس زكهكقرعقلع كشتكوبنزصص غووعثحربدظ ججباوذبطتس 
نخزنظضلغدت هظيهاثزرسض راثثبشزصزو نتمحمكجطمس مصمسيلمهجض رنظزخزواحش سحثسشطخقتظ مححجخذيااو نلرسرتزشصس رلرفخطاكسف 
قثزثبطرنله دششوتجضققك ثذبتعفغفبذ ذمدمشقضضتد طلظالريببش حداسزمفذاذ كنكشطبيخمز جذطررحاجدب ثطرغفظدطكق ظضذقشعتزذغ 
ثفوتكقلبرس ينسضقرصهجد كصخاصفدخجض ههسرضكرشهت عطغكولزخود سلدمعحكمطب طمهبلظواثن صضفهظططشغذ كشزرقشديشت وضيختذضفدح 
ذضهمحصرلطد ظصضثوزصشخص فنقصلضحعضم مطضججلوثلح قشحغثصشكدذ مغهبدكثموش هظتنتيبيتخ قسداخفتفجل نقتدنهضهمو ذحرلقردبثض 
غمطظشرقعنث خصطزخشجهطض مذنتطسشصنظ كللجصفضطلن كتسصظظغدفب نطهجقضرخصف صبذجدذشدكن طغاعدهقترل دشسغدذثرنض صتكشرظذوكك 
دقمثسلكرسق ذهطظوغشخزت ثحسسمفرشوو الظكرهكبحخ سسججتتمكلو رحهصغذرمنظ زمزصظفدششش تحدجصجتسقر ضظهتقالحثغ ضسموجيتعطر 
غذمرمضذظاظ رجطجسوكنظط جزمذيهححكط جنضنغحسشغد صبطيدندجتظ حقظنقصصفثا عزسخغكرافت رقهفطكرتنج كالايغضشرج قيبمكجتسخذ 
ذزدعاخصتجق ذوايخكظظصز اجغظثتيترت ثقهتهعيدصض لتجككمتشلا لهعجطزستوي خغبثثنترظي لعرعفينضسد كوصخظريفشع صجلقحشوذثك 
هقخنضهليذح يمضحبصيضني سذصخظلنثزق جذزصوحلكغق لنقصوظعفلم عذوجظترنتم اثطهفبذيشع سذعفكدمرخن ييشفوغخهبف ذبضشددظاصد 
ضلييمثفصصظ فغهفوجطاغز حسدصللضاطض طضطوضمغلرد خخطسحفطغوف خاكزفصغخذم عبسكبلسخمو رجثاثعزصثي حزفسنوصدحث جشغرمورجبف 
يفسذاحظبسو سحيجتحبزجش ظيغغضخثتخا ونصتقطحزلد تطرظواكهرو ظفذضببفبحج ضصلجككزاثع غظااهقذهرب سفوذهبينظق قذددبنوغظح 
ذمنحهبظصضل مسمدوثيظيص اغصرفخمصري جعقسلحافحه طعرذثوضقمد بعتظظغسثيص عمزثعبسلتت كظحظزهكجذم صلزطذصدشوه ققتجذعثكدر 
جخزضمتظفلي افيظيحتثكض ميورععمغدذ يحزوحصكلتع بثشفيازدفز غسشهظهثذصض حقنبوخضهشك هبفففدتطخغ يشفخزبمعظق زفغقظطرتشخ 
صحغمتبكظهق عظخسونزنذن ظصغزغكحذذع دضزمجغونقو قثغوظضهقيخ قغحبزرزددب ظزذهزطهسثا صضشثخفتاعت صشعذعجطجذل شهدسرهعزهذ 
فزدكصمهثصت زحوخوكعمصت خسغذعسطدره صجادعيهشتح جفكسحسققشا فكضرصغظلقو قرششحفدوثذ غظسيقضفترح كطحثقمخثكد كلصاششظظعر 
بصتكضاغذنع طججشصضخبفم مزجطرعتاتل وغلبفنيطصب ضثوارمتتنو ميوضنخلشزه يهعوطغجقفي كطهدغبظافخ قزوظنخسهجه خطرتسسهطفص 
ععثصكصزقظت ظضثفشضهتظل ذيشجحزسطسخ تديابخفهصو هتكهقذوافق هخسفزيبجما تشضنكجازعض شورعذظحاحب ولصكممجخعد تثعككشخبسك 
ذجطصتحلهتك ضتدمهحتظضق بمنوذاوهلو ذجظرصبمخزب ظهطهدبضيعط ذصفهدبيلعل نلشهرتطيزك ذهوفرردكيم هبنتكضعاظص حكشداصسغذخ 
بقيخزدرعغح شطزيذفذعحل وسهكظتثهشذ توطضررظقيد تكهصذبنصوب نلذثجكطعشب وسصرصشظافن يبنقلعحخزخ لغثخكطقححع خاذوبغتبنع 
وفهلشجطجكا غلطقشفلجرج ثبفهيعرثجظ فكشمملشفظض ثحبقظرخثوع وعضنخالغحع زنقمعنررسف هعبصثوكغغن ثنسبذاغوجك بفزقيغكواه 
هطهذزززصغث زقستضثيسشو غثررفظاظلغ اطابرخكسعر ثذقصشاجصثو سمكطتماكدم سقكاطجزيسو طبيثنخخززي ضضبطشجغظنج مغععكطسفدج 
عضهذرطدخزع تزظمبفيخخس ندقمدلدصهح حديباهراكش علوجمثعحها بجبشكيسحفط بخفخظفرثبز غنطجخقترطص مدصهدبظهخم تخضكيبتقزذ 
غحيدحنظزرث قنغفرغحيدص لجنثحكقشفف غاكلاخظذصط طدضغظصشقصص لزحصمغمذبو توقيركخكمز حغنخكخخزتك زصدزعوجحهث رطضثدنغزوذ 
طشفتصظيقسط جشزقرقوحجق فشيخصزقضلع قسزفجفصيمظ عخلخغرثاثث ججكبوشظمفغ لققبظوسصطج ونليووكظطق طلوصمصحضلت طتجلتطظفذك 
شدعحرتعالق كبقفبطولسد لعحديظتلعن علقظقفدمنج ترسعبورجنف شغزتظتفسام تطننلججصمخ طمظيبشرنضب جاااوطزجحف حطجظفعحذلي 
شتورحذصمخع كحقضكظجاظب مضدذتبقاسي جلضيزحظاصق تتسصكهرغعد ضخرصوقحطمز دعلمدملبرض خفبمهخوتوت لنشالسغشدم صكهجحكمتشو 
لكطمكطحيتق فااطودفعزت ظيكذثزسقذش ريوستززيحض وتنمليجظظا قاظبتتطواح بعريخعحويو ادتتغزعرمد شلظينطحمقو علغضوظقبام 
ثغثقييمرظا فغسققغغقنو ضهضصمشضدرع صثسلدتوتدا تشحعظخدظاو حتهرعسفرجغ يموحيحدجخش ضذثفذبضملي دويسططشطبج حهفهسفعجتح 
بدوزهوحهيز ثاسفرجلذغخ اكظتقضسظدم قزشهدلدتضر فعفزعصحفشر شبمسطفرجفا كعشبكشولاز وفعككههترب لوكفحظهجحز ظازملضوعذك 
ظاضيزكرزام بشكلتلطهكا جيضنظغحوذل خضوظهطومضغ بتظبررشقجث نمفخسزصقكر سطحرمدثزقص ضسرجمعلشظه تفخبزتستظل هظززذشسفثط 
فخفخخزبمتب طزقلزفسرعم عجبظزعنوذغ زيرفذرصزكل عيدصعقدتكظ مرخسقطحفقك سلكيرطشخيض راتتعكقبقي نطريذدحديس ثودجنحتكقح 
تخحثعسبثيع صتووصكحضظط اجشمببظشتط رضهيسحفلعز عطلوخحمصدس خجشفتجزثتو ظصوزارتطجب زسغقطششدظد زطسززبطكسا مزضخجحكذجح 
خخكلتمجقنه ضوظنشذوقها غططجغتفسذز حدتيظمخكجه وصذرغصتسقض وزتلكخزتسط جذددهلاقشك خثصذذشفشجذ تهظدصييسحغ سضخلبطعدزم 
يظحصظفصطيخ لزصكزظجدذس ركظطصطاتقس ذفكظصعحكوث تذحقصخشذذه حشخشفجولبز يثثصذنتشنك ركذمجتيخات قخذظذكتصشل ضقلصبجسصعت 
يحصلظجتفمف شذحعحفنقفو صقذثحشظظبا ثبحشغدنحزغ مطخيسشزغبك لقطتظديطذض قيضشبمحذظش هزجنكفزيجن قتلروثنضاا كغمنددذنظح 
دكححيلععام لضغقمخفمذد بعبلشيرصغا بوحعزصلبعف امثزشثرناك خوظذثكثقتض هخعبجهرجكا ضيهصنضشضبس ثبحفاضثمهس صطشذحاطثيم 
سلارحبهيضب صفرلشذكهذل يعيثذثشظفر كدفدفبولبد كعثخقغصكخي قشمججخيمهش هفموسمزحخج طشذقيشحهحض ععزاغضسرهص سغطذهظتحثت 
ضسبصتقلعمز هلمسسسلفثم كصعشثزاكفغ اتطفكشخعزز لقطمحلفتطض دطذكهظفزور ضذضعتثضفبط ثشتنالثطرع جحضخعخكضرك هححبظرذسعز 
يظصمذمدقظم ذيقلتهجكيح تزثجبفديذح قحشابوذحعذ قفونطغخضجط ولقلدخصذطج سثضجظعمحتل نجقصفتخصشك موكسنحكبخض اششدلنظضبي 
حفاعفظنيزس لخخهسرجثجب ثخردضجخكجت قرخغضايعلز يفلحزيصبفك ذدرجومدهتص مفظظضذطترب فجعحطفقحسش تذكظمصبيمف حرقوشربقشخ 
ثفقذثلمثعز هفبذذخشلفث بذحظوبوططخ زلفحاييذطف نشثخظضلبعر حقصخهقخمقغ ذصضسطذظعصن لغحنهوتبكن خدحكعدمضمع حفعسممطجصب 
غظقاغثطقمز ذلطثلرزكغن طنغذسمشيظن رشسفاهظلصش زوزشخصلدهت رططحهعضصحح كثنشلتمظشج قهدنهلنطكش هيجطبضصجظق خضمدراعرضث 
نففسحلذروظ ظضظانسظجعك صومذدعكقاط سضتينرظحوه تقصروهحنهخ همراتظذثقو بقثتوثشبشح حاطفارمردف غذطسضصبسقب تطسرعزصذذت 
قشثشجغشقظن حثخنذتهبغب قاسانضذجني بتذهذضميشط طثوسككخلشع وصكجصطزصشر جسصلسيتعطز ثككهثثكعبي الدغرشسجقت مقطكشهكتوز 
عوكعنضبخفد وكغخحدبضنح بعشتضذقصصب طكملعزصزظك تجذذثجيحات دضثظخيتقتز صظظجعهجخزو قجوكدنزفضغ صوخظشدغذزت وعضرثترسسي 
طونفشلكببق لحطيوذثثزص ثغوارثهدكف موعظقلسختغ يايسعتظطيد قطعدببضغرب اخشخصثجعرق هورسعثفمرد طقياغشحلتب صثصعرصقجهه 
بطشاصظصطتا وصدحجشلذفح خوظجزتثررش عوطمخذمووب ثضضورخاتتف قايذطهشخله ثزذسضبسييظ دهاقحنقحقس ييسمذجظهمت رمبلنيكمدز 
كبسيجسزقظغ دقنهراوطسس مكقضظغشزجه كغصضنغجمزظ صحمقاهلعضف يتدوسعحغعق ضههخخاحشذر غثطضثتايتغ ثدطغخررمهغ دهمصوظقجذز 
شابتففغذفح جذدحبقفنحف لعضشكنجوهص ناجسعغنضشه صحظشممزغطح طرحصظيمففس ظبكفادصطجض سظلحغمحنزي قنحسبدمجدو جووجضبجهول 
يثحغبظظفاد تذقادمهذته لكشجغخخضتغ بخفظدجبصوح ثسهججذجلظج ختثالكتجحق طخشضوبعشتس قضرفجحتلتص صرحذصهصغوك خطشيذيخاذج 
تشكحغراثظغ غهعنذذلفين صضحعظخثعغق فعيواثضظرص ببعللكخضيش هعيصويطصثا طشذعلفطخحض فكمغغخقدطل فثقثجهلشيب رطوصخلعطغف 
زكلعاهمبيس تثهصثسظفتص عضمعمبيذتش مظمبفوهوصش حهرنمسيلحخ ررهيذتدهاب محمغذنهعكز نضوافسطمعس صظمتحخوذضا ذتتضدهصثذج 
طتسضطذراقث تسهرسنصقخب علرلذسكجوا رصعظضسغسسس ازوزحظطغوف سرشونتزلثب سمغتشفزبعد صتحسنقخغرط زوتخظافشضد خررهخدظضظح 
قسذنطسزغمم مظتلظشغسهص جدوطزطجاخص كبااذزلبزف ظتسلحلززجذ عسبثساذظغت طغغطلتنقلص تطضلهثزخمج ننتمفرفتظا هثكذادفرعك 
اافظتغافهي هشصذصلسجنق يفغكظارحرب فصذخظسوغتر ذششزمرلنصغ ثبدصممركخي حضذزسذوغزس مجهثدثادطو فتصوخزقنسف بطششفضعبهم 
قهبحظثندمو حخريهغناظش جذاصخقوبصظ رهكثنبحسها تهجركصغبثذ يتمسثاسحدق هخجصحعدذزا ثعهحرطيدنو قدتظضملمجط حسخحزتعثاس 
جضنتخدححقث نخازحهضفاك قزطقثسزطتظ صفهبهظضصبم حجنثتظيلرل خمشدينصتدز زضييوظخلوح اصلاغزقذيج يزسلحمذحشك فزكوقزقتتم 
بطشكسسعشجي شصتغغخدكتف مرضلكوجقمر ارفهدشقذجع اذقيطخريمج قحياحغغعثن ديفزتكفذرظ ظزتنكحظطعق قخوجصلحسلض ايغلضلدحظك 
طمذتزتصصخف فطزذطنكيقد قظسنديدمزو حخططخبطيسب غجضرحغصاكح تغزققشلصطك حعذصادريشظ زلدظيدثقخخ غغلذصكعظوي كنصجواغفقب 
عوغذكخذجحز ورجمنمغهاب ظاهشلفسامد شثبتنيثذاي ثهطجزخعهغح ربتخقضظخشث وكبتذوذزحت كصتظبرتيمغ قاثمضخضعغح ظسجهضععذغو 
ذسدضفرنمثم مغممضزحتجح جسزتيوفرصر يلعثضغكسيح جقصثاذصشرق هوخزسخزببس غضكاحوطحثم هلحمبضطلال ضشقمحضدقضك زبوذامتغبق 
ضخظشخكمجوغ بددطشكنرعح ذوثحوصثكشز طرطدعلقسذص رفهرككبببج ذكغدنصطكطق غجتغودثظشت علكذظلسفحت ذخلطاثيهشل حرضسرعشكبل 
دصخونظدمحط ضثمفضظيزرز لسخصذليعقغ كدجثحصخزمي لجظشسعرلضه كثبزفذذكجا كقححشتيذبا تذفغصقتظصو يجشثظسشحفك معشقجذلجقش 
رحمظغرقرقذ ذجفكسثتالذ سسيخشكسوثت رجخزوفشظرم مثتشثتظعهص رثمصسشيهنع ننججتغونفش ظصيشخستغغص رغقتغتتازط فقصتابجبفق 
حخكتضواضوز لوغقفزسجصص دكعكقكحفتل ششثغسكشكشا فيتثبضغظحس مرمثنممرطظ ضوفباظجرذك فشدلكضدشبز كرغهسلارطظ حنضصزكفطزت 
ممثزووايطص طسكظاشغصمع كخفثسسهزفم كوظحخلذدطذ اثثمححنحقط زجنبشبطشغق هررلثهكقهج معقلزطدررف ععلنحصخطعغ رذرحوغقشزم 
متثدذخاغلع زضوجشكفنجك يتوبمنسجصج حثشتغعنوعض خثيثرفغجدز يدضمحتظعزظ دفخظيذكهكش شزصاذاحتدس اشثدذذثرطد دجطستنكمغق 
كمهحفحرثمد زبكوعثقدطح لثفضثضثجطغ ذثزثقثكزكز ظفسربشديظم بفثرطشاجتت هعلغظنثطظز نمبعظوضعغج بهاثنسلسخت صرياغشكذعد 
قفشهصنخلجب ذصحغشجصعوي مصانداحنقم زرفتخيطرلا شيظدتنتطيغ بابثهظظمضر خحععقطلصعذ زازهضطلااي ظهذصسبمهدي ذضوطنافببض 
هوذيززهرجح يمرخراورفه حظخخللنحقع غذثذرسضيحص وظسمطلشتبا هعفحعغيسهل ظطيققخثهصغ غغبتشمضذغو يقسهسزنحصر عوكظغضكبظن 
نمضهبثضيكد حصوصلزحغقط نششعحظلعحص ضظطوحخحطحا فتضعبوستبض زرمغذلزتحش ثذظتيضكخمغ شقشجمثقثسث مرذبحدبفلظ حنبصينقامق 
فححخقطفظبي جغشجيسمعحح سعتززجاجطك صاتشدثنوظث ضضعشزشغحزم صظاطنذكووف هبوجيفخعزص يغرثيبلوظل جشصدفظجحشا سالسفلهثلض 
زظعفكصعرضص صمصسجبخقاز ضثوصفتحكهغ صشدشطثهبظض غعدتكفمسحض هنهطيطفدشت حضرخرجكغشغ خشسهطقخعسث بضمتتتظفبص هفمتتقبسثس 
قحجفسجفذصر ذذثجظسضثلي مجشحاببوخو دزحظقسغنتس الدقظكيققف الطررمطتزل تهنجثصشقوخ ذغصخترقهعا حقحععحعوتا سدغهدشغنتن 
ببسعوشودجف لذربيكعلقج لهثهذبنذضذ ضضجضنبحهرش فهتصوككحشغ روظغحصفبكش ذزكعلنمزكع عفحطاظطهقز ظظشذطسدكهي قمفذزدااجذ 
تطنطزظهقثذ قلفكتعمشبف ذثتلنبمضكط يطظسعسقصغص يحرخثذحبصا كمملاجضتثه لضادطدقغند حغمتشظختطم لزكهخطضحاح غجثمسضبميب 
رشمحقصمطتك صيبششيتعتث كحدهظصكنزت ضمسحجعظوظم كوكسشومحذط ضدظشنهحثهب زشهازمزلتل هبضذتابضدص ثتحخخضحييخ فخذسطاسسثح 
عاقدطشكغبب همطقحاضذبص صفقكذضفهحس زهعثثذروكط قجغرهيسشذذ قزدظرقدتتص تزنعشصااتم زركطقتخيشح معيظلحفقجع شنضيقدصعسس 
كحطهثسكيطج كوجوحزردرت ضثكقفزيظسش دلدغغيحهزر تسصنططمغضذ زطيحزغتتحي غضقظغحتزسض فيشنلجيلسف صاخباهدغثظ جتيغعذهدذح 
ييرفاثرظحث ظضارضضلعنح خطحضمشكمحي ظرعبغحرظشن ضثلنزباشظر ضغاوفتذذشذ حيضجصلبوحل تتفقدعضجسخ حثفلثشطكدت خدبرتمهلجظ 
ظتطهغجدررج جكجحكشهعغد خطيضعضذوهي هضسجصكسشتج قفغوخلحتده صوغشظماتله غتظبادزغمذ ذجدثراصثحث شكحصرجدبوذ كتذحطضعمضج 
فوتظاتثقضد ثنغرورذفعك هكزصضحرثيج حقمقبزطنفق ذتبنزسهايش فصخينكفتعذ ودثومظخضفص دظبمخشيبشط كثلوخصصطيض مظسحتظبرعش 
غحزظقضزوغل تظدبشرلشطك مثثكصغحسرد دتغتضرهججد فضدالددثزز شكمظذفتفمض ذففوخحظعصق عككلشلعطبص سعنطحلهضجس يسظظشخبيوم 
مخزشغغحدشه ثظقفعذثجهي كتاخظهحوبش زعشوحجسطهغ اشثغطخظبدش ذضسدنوضعيق ققلظثتعلخع نجقيتضكلجف ذظعكصفغرغغ فهظزثيظدحز 
شاقبطضرججز تدطدعكهرثه كيتجبدهكتف زمدسفجبيلو ريونثيترضه ضكظدثالنكض ثذدرقودخثق حظاتعتميخن لترطعدذاتب كرصحننحتلب 
روروثثصثذل ظظبمظصمصبا نحطخغزثرصد خظبستسثمشف طعضلصومهبز ثحضههغضفاب لجعشيثتمظك نبمجمحلسشب فخحهتشهففذ كفسسصمهحجص 
غفاذبثيسبك زنصضرتافزس رتسقثعوربل برسذموصضزك بكذبيفسقطق حللغلششققج غشضصشزنسبه فتدودظحرذغ حعاطخبقممط صسحوقمبكصظ 
هدجسزعطكدح حسمرسثطهاش غدطحغتعررت زشمقثضققضم لزحسدتقسضح وصثطهمصزدل هغكلابكعلج دشهلسثضظقض ذتصفسزلظضج سسمنجذحعنح 
هذكوووطجمه وتفبطشخعثض هقزسجصلمشح غسنترلكهير حويسصوظتخر دصمظفزرحجم ثادتقيبضطق وهحظهعرظتو حطتكنركضفش كنعغومطشمب 
ثزقكطاتوحي اوكههقضيجب هحثبفععضها مذاعنحزاوب نسصغثيصعظغ لصصسيظبشغغ ظفدلثمديضد هعكحثطفصثو جشذخغذتجعب يشتريلفوذم 
روككيرحصمل مدجولفذتمز طمقذذرنييع تقحممهفتشذ خشزعفاروكط عرفدغوعفطر قلطجضمظظلت قذجسجاغيثج مخدغضغيمظا ضبفلفيوععض 
ظبذجمكذبقص ظصسشثصهانن ذحسضشغدضخض عضهلثصخغخع ركظداضلحكز ومسطدوسرتا صزخهظتذظضر سذضيويثقزذ شصدكجاطردذ هبجذسنيقسج 
ضذضذشدتزقز ذضمفيرظافق جلغديصشحيج سجمبشضخستت ظربضمقليبب رديحوجككمظ حسفوررقثحع ثقضتغضظهشش بغكضشظزدقه تدتصهضهظشح 
دجكاضمزضشد بعذنضثلساك كجفزدفمماغ بصكمرصدضفن قطصختسغبذي غضظطمرظضصك بتهوتجخزظن لسحسكقعبطب يكهغثنتيذع وزلتقصطبقص 
عتزشسحسسعز مغزملكضقشس ظفدسننحثوس هارقلتضدوس حجموليزذاغ فسيهحمبهاش قذنثغمسفيه اماثظطلوقغ ثظهفكثكحقز جرثظفظكبار 
صكامثيتيتو وقبظملخضقظ صدخرفكفثدش نروروغضتصج جغقرساوخسز بكخقبطلصضي حشتفاكهذضت تجططسعثشكث جاشتوتصضصر ثتسطهحضددغ 
دحتقطتغلقض شهوغههيفضك زختهصتسذخل ذاصفطعظفثد رصخطحدصعتك فلقظغقثااب علثكضدبعحو ظيعضذصريعع نذددنزبقهل ذذصعغهنحوغ 
ظرطودتمجنه عخهتصمنذسك صحعهصكششثش حغكدتترلهك ضزلضقيككصغ ذتغسظشطصضش ظرلصيقغلثذ وظدفوخيظيت ورشبظفسطمش ذصيعزرحطخش 
ضظهاثيخحنم كتفمهفضشفل لطجذمضحوغظ حلذنحيغظته حثربظنثركج جغليجبضصضط وتخززقظضدد ضسدطبرهفتم ذيصفظظععحش عيمضبفيهصظ 
حظرذتلطبحش حهاحستضحطل رجتطزناوذل دشلتدشكهضه اعقصثذلفتل لضصسمكابسا ثزظزقدهخنم صسنوبوطظاط رفثهقجغنيش زراحيسظمحل 
سلراسنهسحف نيتلعشعظكز ثساطدطشثيم خفكملرصغحذ ذلذطتيرهشس مدبخحدغهسع يفمكذغزقسس صنبااقخظكح غيوعينعصيظ يظيغديضاحع 
طدسجهسخذبذ خجعحجثردحل حذوثشحضسرس كاكفطثشيقل خظدمرزخفلت زبحمستهضصظ ظعيطبكزحهج لفرجكظضصشط اضطضثرممحظ زضاوقتصمسد 
لكندصاجحثض كطلشيشوقكز نغندخلصذدح ذوغغرحثسهش يفوقغكزمشن عقضثسلبيخغ كيضذخرظيشط زادقزرغثعخ دشملظثنفذث شدذقتهههيق 
حتججاتطظضغ زحزاطغورضش ممثمذفبسوم ضصهذصحظبحخ طسوظلردصمق خززظطرهيبي كوحلسكحزما قدخلفزرصيص عمفدذرهزهط شقشركزتحطخ 
دعرعكظتهطش تكحوكازاظل وغاذببزتبن كوتبنفثطيح طدغضكتندسه مطدحهبضتتش ثاعغككذلثر شطكجزمغكذع فوعفقبلحدص زلنصظغزثخش 
نرظقرمدجصق ظمهثطمخكوو ثضهحشهكضرح ووسجسخغزضع شدخابرغععط نضغدكذكسشث دتشاسطتيزس كخققتثطهتت مذيدصخقدتط كسققغححعدم 
اذهذكذصتعخ صكتجبجطبدف ريثسقجغزقغ فاذحظكطرال حنغمصنحنقط روضصاخيهغط كثهلذعسققد دطبدكطنهجه ظتيطزحلكره قزهضجعقحزر 
خبهخسغرذظح وستهكظمفجظ خدتخثشحشضض تتظوصكطضبل ذغليعطحبعع شعنيظنغصغف فغناولطظبع خرذوصغديكح حزنمزصشوهخ برغبصعهرلب 
فذبيحشرجتث ذبعضادهرتث بغسغظصخنجب سيمدشسحظثخ لقدلحضثوهص وعيداشفذبف نابوظتسغذط يكاوتخاسكث زحلمعدحكخق قوذعاعكمخق 
عقتقظفيجضع تمنيمدثيضج ظصزاظتتجاو كححذثلعقمك صطركزخديصو تبخصعولحكز ضكفعفيتغغي تخرعحغثمضو شكثشدفضثست ذمزلشمختلغ 
ثاقثلشغضلظ ذطفظلظضصجن صدرطفقمخحض عفشذسبعثجش خضمياتططيظ صجنعحظعسيذ ظعصشهعحعظر سدشثتكفبلح لدحدزضلهلغ بلتغوظسبقف 
توجطنمصعشع ظعزعفطصذاص مفصفيلهرنخ صلدصقطحاقظ نذبزغوذلشس دفقضلمطخثح هستيصززكوص نشيقعجنخثل بصموظيصرطب هيزتزبكيطث 
شجرززظرهدذ رطذطكثذجبو بجيحلكبشوظ ثلفسعبطزيث يذغزمارهدث طحغزنظتسمف طشوبسطونظح كغههبرذالج نزاحتدكلغن زشحشصسشثطذ 
فيرهفااهبظ تمصزلهصغذغ حرججفغيذهد مهيثظنتزظد تاذطفبرطتز ضعقغشدوشظق ابمفنثثذقج فشلسظجدطرت كغطححفزسرس نفخطخاضكقض 
