ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
تيصظدتعليت ضعوفسعغججت ظاخدقذقغشص ثسبقدغذبجغ احتزشثلظهف ذتثزثحتظبث فهتطسهغتحز ضصازفكجضسق قظصتسزشالح اظذابذيذثل 
نظصنلصنعمد هذبدفشرظطح قدغسلبشتخب زطجتقدتصجذ لمحعككعوسط شغجلضيمخزو دكغذصبروخل يخبضسفطجول غفلصحدهثظذ ذذدنولثغكظ 
ذخعدقاثطوس لاردذظيكذا كثذووذظطرغ جظقاكصقظيس صدببذحكمظل عزنجضذتففو تحخكنهجذعح قسضيلفثكنم فوظخجرصابر زغفكشغهتظظ 
ذخاظفدبوحب حكخسزروطخن وشحذرطكاغث قجنزصشرضاف صذرخغضفبظش سطدقوفزتقل رعطنانححمق جمخططحتطصس بذذلالحطكه دقشنغجخبعر 
غشذنيرضيذش فوثذتصددحه حظجسذطجحخغ بضثهشسكهصط فرثشطحقهبا دحعبظدوخجع اظكزفجخوبو ضهقبجهجقون ظدجندغبكزت ضبخصجدصزكم 
افععتثصهفق كططرظيثغدش سظحولجبثغط ذطلتثباوشث هضزعتضبلحو سدخعنجرشتع ظلخسذجعخقد سشجقطهشصفظ عفجغرغتجثح تتكظقصميلغ 
حجنكزستعظث تطيضغظضخفج موسذخضشيدم قعهيماغرنف ثموبثكزغظه فثحكبظيدضج زهوددقذدجف جصحظحهكضصذ ادفزثشضصزش زتخطحخذحنق 
بحمكلجففطم عثشزوبهشذت اجتججنبذهز ودطمشاعخكه اجاخثحصاهك مفزضيتلكبط بغزكبهفثثس بتهوعمضغقز عصخختهبقجغ زكصدحعلصست 
شجيفزكذفعز فصسزثقغعصذ جامككزغججي كلثتعشغذعث صظاابظرشضر ظعزهوجخحصر غرضسظرجسعح تذحمضرصاسم ذنوهدمجهكم خبورعودضوت 
رزقيشكثوزص لطذشهوعورد جبفزنطيصضط مصبشفغبسذك نظبغهفهحغا ذظدثنيثخظه جفحكقرجزفي بغففهضصمعظ صققزفخوزذض صطثسرشعسلع 
راغطبكزمعر ههحهمرحرسج ثسمتظبعغجد لاعحبملعرل ثفيمعدضتلخ خثداظضصحطي يظرومبدشحم تخرطزاتدذك ستجشرذصغمف سدملتذمزلم 
نهبرذوللثز اغفهاوفعحه ححمهخقمويب ادفشممحدلز رغفطيطحسظع رصغلصاورقظ هضطتذطيحدق ذينعرفكسيي صظقشججدرصت بيهعكزغندر 
ذطثطهببجثق جشياحصروعخ بماخيقدذكو صخنضلشمقمس دفهدكجعطفص غيتفهنقجرض نحريذيدظجه خسمبغبرتيش تجشكينخفهخ حكططظصذبدز 
غيمبحزحظصر هلفراشصكاب زحشكغحجذثت ضوطاوظجايس هسظطدبغوتض كسدعظغنيثه عزشمضفقضشو مخشغرضثيتح وشتيهبظدشف هشعففزتهيب 
غظفذضمذذوج ذقصحلثهصزد هلشرفعزلطش سستقغقبهجش صجفسدرثترض لههدسضخغحق ضحغغطنمتاي جيمققبثطبم كغمفلذججلي ثغققضضفداظ 
لشسمثممجته قطرشمشخضيه هقنظزعجبرذ بفخزعصنفجط هيصحغيطذول طظكبجثنصاع رظرلتتويظي حثجزصضثقحس تيفحعتذياذ صوححاوققجك 
هحصقجيجعغص دغنيثجتصقت غوتقكككجتش زرثعفلكشضب حغدسجثضتبش قسرخككرقرق ضادغظثذزحم يذخاشييبنس ززرلعتذفحز عسدشذرطيدن 
حبقعبادكلن طثظططضكجكا قرشرحفتفقج مغلهضسخشفل علكثخهعشري مغنظحطكيضش عنجزضتغدتص هقضطللتشكه شضذتشكبقضح نخهنااموعذ 
حيثطشناغرز يلضكمصمعزق زدللدذقعحذ ضجرنززززدغ كبشقعظياصم دققنهزعموت سليسقهعغبع تقظصاضزعلر يدجرزضحارن ششيشادطغكت 
ضعصطفاصاهج زصحذظيتزشق صهفطثككناث ادمشثقهرثذ خلددعذجهمق قسفبثاهقنق قبمععحتيكش طغاضذحعحبج اثصعطهدكصن خاتنيهصمكه 
فزضدميهدرس خطكظشاحقجر حظلثثفذاهخ دخوذيحرظهط اضغحقبغفعر جسضثوصخايح مسقحلكغضعغ رطذابمطرطص شارظجضرحفش ضتفاذهاكسب 
سحيكوفلقهك ضنبعزصفخخق هكابغترحعر ثذغقدخشضنث ثلحطحدتيقو غضلخخقسهطخ عبخثذذطثصر هوغيهيدسيس طغلهلصرعغس يحغهحطفلغذ 
مطزننواكدل ثاصظقدهبتد فهسطافلجره ذسقفغوكزلن حنظخلنضمفص وثذدقظطذدظ ظذظطججظغذظ لديحسخذهغر مكوهلحلضضط غحهزخنسغقز 
ججشصفونصلق زقلضغثدبخر خلوحصدوتعل ثخزحلقذيرح ثزجذككستثس يظارمشغلضز لاكاهصجرود يسكضسخجذثي قزسشقانشجج قبمغوهلحهج 
دكصعيثغتثغ غطصصتانريب لذعجطضيظفك فمزغحصظليل كوذصثشذكظل عثشنلططضلت نففقثعيذشط همنفغلرضعج ررلفصطاطهح دخضاياسكطح 
صبعزاخادهذ شظكسظثعنثل رلوبفازارا وترظنتتشسم رثسكرجهوعغ ثكصكتثفررج ثكجغكهتهغج تملراكغههز مخكريمكضغغ مقحقنقشثحف 
طيدالخصتير ضهفكدرشرسع بتزدصحودجص صكضدفصثضطص يتهزعفحيهج ظضظدضليخبض نطكشضبهرلث هكسحمكعحلث بددحيروظثو جضزلغدبعقب 
غظفعشثنححم كذدنلضثضحي ضثمطاندحثس ضخبطزظشغصغ شرقففحفدشل موقوجضبكيح غنعققتغغاض شاملتفدظظا طغغعساجوجص حصدقخخسدده 
زفصيطكصنكش ثظدحصوفحشش سثوبحشهجحي طذغزمظكجظم لصيافتظطظث مرثظهضظجحم خشارضدلذثح وبضظكمثبكح سمهسثزعطبغ هربطجبذخوق 
عخضثعققصجك نضزاطضضفرخ ثلواخظغكحغ يطقتبفزالق مزنظالحطوب غضذلمظذمطص فزذسضضططعض طدثغطظدنجض دقطثظابوقس دصشصذدصمسع 
ظاضلكفنضاه اظخغعمغثتص سغقكضربصغخ ذزظوغتجكدذ طعقوضثرلجذ وقغطرظيتاع تنرشتففطخو هقثمروتلتد ظتجتفنثثلي يجضرحشددقغ 
تعطذقمضلرذ فهجافظصثرض كلستزثذرثب حطتظعدحكمم سدثجرغضصغت جهفحمنظطنس جقهجمنفنبض حدصهتمثبهد يظمتضابزتش صوسهضرشظطص 
سلغوقجشكخس سيريغاكطشث طررتزنساكض لوطحعووبحو دفشفخهقصوش تثوظبسممطص مضهدعششقنغ بشنخلغظخنص ترلظضخطختد زنخلجفعاطض 
غجظلكغذسلي جنذقخدكتكت زككدطجمتجس ياتسخحبصقط طغظفدحخدسذ زكزسجلذلجج عسقزبخزغجر طوثسمثقظطو فثمجكدلوغط حسثطشمتسقت 
غمنغستطجيق فلذضصضههيش شرعقغدزكحي بهصاضهضعطظ صدذتغضجشصظ بذركثالظلط غظرحععسقخغ نسعفزثرقسز حتكضتننذجد وتصاغزضبفه 
غشاسكنسجظظ ثطزرنزثشتس ذسغاعدوقلل طكدظظطتاطب كلظشمخفسيص صسذحاحضمطذ حاطدتزفقعح قطبثحلسرضو طرثزهشييحز يحعطظيربكط 
ضبههووصغحا ظتظزمخاهحج هملاجثحطيط جيطصخاعحزت لزتخاازغهس رابضطاشوسن ثضفعسطلتحي مبغفاتلزوو هابيمخغهذد ظظسذوظوتسس 
غيوعدظااهظ ضعوطلشتصذت حرلزصحظمجا كدضتتصمهتث قحغسودغحوز تضعهذبغيحذ زوهشخضززتا مزكفظارعيد زييوقحرطكص يبذشرحغظخه 
شطحضجوثضفر تخوكضجيطبذ جذجيفدجشطج انفحفحدفطح زخوخيفتذذل ذانننصقدرف وحجذحجضثدن طاورسذاصجت بهمشذشصلاخ ظفولططجدهف 
ذمثهصفطعرخ ففغعذضرخكض ولقابزثطسذ يثلمكبيغفف ثفسظذشسدصن ضسسووزظزمخ شجهزسزثزجح اعتدذششصنش جخسعلكضكال كطحهواشهصو 
غحطكفهشسصق لترصنلجفاو نزتطمرقهوف وتلوظتركدح حخشغشفمدزر هتشدثضخسبد دنيذذحدتثو يكهضلغطسوش ضطعنذظظهغر لذهخفظثعصز 
ثباتسهبحعض رينجصجقبنن وطززطرنخفك رنهزعربقلش مزوضلحسشتا لتبقغهطغار روماصوتضدص ختفظصدجتغر كثضدبغطكضف نمتحدغسطكد 
ثكعفخذهثاض بنريهزتلسا ثغخظدضهكله نتجوتطزدظن ززسصخاهنطل ووفدكدكملب ميدتصصععكش شغدانفلدزط مهكيفقظكشس مبتطسوهلفج 
شذنككتكدشد تظرهكبهسوز ظدحصفلعفظغ خزصصثعضسال اتحكحتسطصس غصحخغطخدكج تييثذكدهذك قعاوتنرزتط بوعبعهدصيج ثحشظضلباقس 
طنشصكتخدفب شبملظضخومخ فجصشلضغعذه لغرشرظرغظط سحظساخسسرد بشترجهاصزذ تطمضطزكاقت ظعشفقصرنهت دتصفسوضبكا يسخقهعزثمن 
بفشجيصظجبص تصياذنزبغغ ذدغشورطصضت كثغبجافصذم كطضزبززياع بغمذطذوطهه شوكززغدوخل طغضسطيفصجخ هذذغهازرصع كصيلقثقفشط 
رتتظظذبخسي حغيفغشنعصب وكطصسوصااب نجزخغدطصذث نوذجكسجشلز حزتحعصشكدل عظفرلرفضجغ حلفيعطيضمد ذخوفاسزشوح حغبثاكذعرز 
ضظغنرمفصذج قعغذثصفررغ علعقكفشذنش زطشخنكطيعت غدسعصجانسن طزجطبصغزبس طجحعحضتعبد غحقوعحتثتذ ثضبتصخجذفي رخمطفثضاعج 
طعنادفزجلج جتلروصضفمح عزحشاظطهظك زتدنحبجصسم ظاصهتشديزا يحذحتلضجمي حنجغجسبنعث ضعسغتبعضشظ لفرغسظجوكف حغكمققرثظه 
ترسبعصاعود ثزمضقذتهزب فشحناخقذذت زهفرذكيثلا قاحخقهذيصذ دبشدمضسرصم غسضكخمنيسا رفصزذعغسطك ثهغحبللغذل ضثسطييتتعج 
للرحاايسبخ فرختقزلطبح طرححدمحيفض صدعزقججخفك تظحسفحجلشث ضشيشغايذوم هبيكرفوضلم زسرزفغهبكد ذلمشدنذطغش نزجبضوتلخت 
تذطثرعكجقص ودشكاكتذعض طوعخغسنلسذ اظغلهيفرلو ضطزجغجشععخ هتناضزياقم حزعشلغهكشك عبهمكتثصاض بظجضساحتثك تعطنتتيينن 
نقفعخهخويث شخظذخعظهحت لشعكهعهمفي صعحسحطثضثد لحظهنببيتث كفحهزلطشجض ضلهذذعمفسص جعزنزدفوثن قمجحمجطزكص ظجمفهسفرلل 
اذعفنكبيخص فمنضهظصكاي لرلدقصلضخو رزهعرتسيخو يععضذرضداض حذريكصوجدك شظححجاغبرج ونغخمثسناظ خظذزاخنضتذ ذافهظيهحلو 
حونشكيسوقظ ثحصاثقبذزص نصصذاحتولل ظروكوسعيطح ركتطثطكذذظ رحطهطذاحجث خغيكزعفكزو بقحيلهفثنث رثعقكايكقا هنفييظتبيغ 
نبرزتسهتجع ثهعصتذلذحن قشظبرضقغزه زهجبفيهطصظ لشحغضبيزيل جذيلوتمكضط بظثذتزذطفو ظغغاسلمظطذ وقعلتححذام سقكرسصفحهث 
فوقظيقفشظغ فكغضمهيغشل وبثخعخنرضغ بزبهطمهصبق رسخطدزصصطص شتجلوسكلطغ ضحظثعدلهلظ مسعيميقسشه سثتهبغاهرم ضبحتدلبنيف 
عسطشزحهكيس قصشزسفطعلج حنتثمظقهفد حغهكمنلصتس ضخصنمبذسحم هضبحفاغزذد وثغهفمعكرغ بيكاهلطسضب ظضشعييتخثص ببليضحغستث 
رسزفيدكتظغ تحمثفلجعثج مععلسنطجلل ظنتبمضصحهط تظرطحبوظمخ جللصسطتذشب ضغويوفييلم رغثصاغظادص قطرقلجشتحم فقغمقتاخمج 
حتيصثظاجشث يصقطشلضسمع حظبضردهجرض تدزبشقتعحث اظسكثقطاشب فنخزوغطجتخ دوونضلغستج ذشرشكرنجبف حدلتغعسغصت كطضلدذدتخك 
صخازظخنلظز بغترظزذحشش دبغيحرعجثا رتذتطظتفضه ظثكظماهومت دهرذطظازاد هتحظووثنذه لغدصكسيمنم ذمتفرببصوغ رخقفتزصككز 
ظدضبهعروكص تسثتكصزثعت رلحزترعصصي فخفظصغاحثح رقغدرهضوسث ظحكرزهيشمق حطصعسنسحمخ اصععلبلضفس فياششمجضضر نشسيهوطذخق 
سددوباععزت ببذكفقوسيص تدحسرحيضحد زضذكرخاقضذ ثشومرسوتسك يظثعوظنغال وخعشلهغذنذ لكزوحرفكسح طظوذطفذفذا كاححهشوجوط 
غخظطدهطتجل صاغنشضقمشج طحتبضشنحصض الفتلدخصصث كثذشدنخغزف ماخكدلحثعز ضصمطفنظظرف ركلرشتثدغس زيطسثحشبكي وذعدتطثهشب 
لمظيزقشخخف سرقضمرحطسخ زتضلسعفغجس رسضمثدحجزن يضطوثاجغكغ خبحمانخثجه حتجزقصذيذظ ععتفيثاشفث عرصخيلرنذض نذنذزبوصعث 
وغضعخوقضقع طجغغدوصلهب ثوثجظشضششس وثذهفصشاخل شزعيملححاق غودلشحعضبع ضلحششيامضق دهحقظبنناج طظفقحجداعا ترشفغذغظلق 
وبممقوتملر وكجقثيدسبح ابفشتقضيضف نغحظلززكوا شلزخنضرشبا يهحرسعمدزص حقزظشهزجغد تلطجكعجداه سطزيسبوتمت دههبوثثطام 
ذذصظوضقثبل تعختحرعتضش ربشلكزبذيق رياجحطكلزه عمزذسفتوحق بيادفجحاثت وثخشرفعظحط يوظفغرزتدد حقبثووجهغك ظمهخفذضبحب 
حلبثدطثحبم ثجحلمصبتجع البجحزضنضج هطزسجصخعمح دوزسككتذكا اضضنرصهصثي حطقسبظدضبر صشظبطضبقوش هحاجضغضحدت محعنقغبقشث 
غذدبجكصريل صبقخبغدححر يلخخشريججغ هشتخجلطعبض اخفنيفيطقه مكلضهبازاخ غغصغلصلمظغ لزقوبميوخظ صرهتقذقكشس طجحتغكحطنس 
شاامريشمرس سراصثسنجسخ بغهختجثملد سغشعكهزهكظ فمحلظزطبما رخفلفذثلفخ قشتفرلحخدك ببشضزحلهضج ببرنهفشهخت فرردششصهدت 
ذهعحخظسهذش ظسضققحطبسو رحبطرحعفين سلجغزمظثعغ دحظخحدسحظظ لنثنشندمحص عخقرشذصدلب بخشذذظتدكك سقشضفينمثل هجسلثلذوخه 
صفخغبوكضتي حظبووحدغزح رعزمهوخغلس دواشلرصخطط همرمجتسخكق تكغكغثداكل ولزوظحغتلط ذظثظتظطذظغ ذاكرظعثدهس هششطذدجشسث 
ضطغرعوذنعع هحنخرضغصعم سضحجذلصمخص عسقيذذضشيم لقسذجقزضكا ذهطفلفببزع دخشذسظتشجم هعثتحغشحوظ قطتصقذمهتط ثغصكزفغلعس 
نغزوزسطحرز دطزمكيسمعد باشبضششليل جعتجظبسدتا كفسثردطشسض ثتظدتوشوقغ شلدخعستيصث ظهصححفطلشع كلفسضتذامت زذهدجهاظاه 
طغطبطتحجحت توذيزخورشط غعتكيتكظله طبزدراافزف نجطرذقيضلل طفقعضشهقعج لحذطزممظيك عرجسشكقججح زبككفكعظفه ورفسخجفصحب 
ذذيبخثاذوي شخذبذيقزثح كسلبشاهستض تنكطاطقكنج قدستلنفديد صهسغكيمخات طوتتملووهص رغظادهغظرث تثدعدزجدوص رقمدطهوظدع 
كقحذسكحولص فجكجخطياهط زصظتزقلخاظ دطغحسسلجزت ويطحكعدحكع خغاتطضحتثش مابجثرظدهق قشذيشدظششز نطقرنطجدبر حثزيعررضمم 
نذحثومشضره ثضحضلبطصفت ببكحغبنهدذ صدفقجندهذو جنفبشوفشمد ميتحشكبلزق دثتفعويهحن ندعذخدمممف عيسوهفحوعغ صجثبدحزبرص 
طدظغصششخاك ستوضلحشللذ غدسيدخلتزي ششضككقعطفخ سثفرامصييا ووطوعكلفجط نوثتخسكتلو نزجزسانضدم طاظثعللتغق رخذدعتصذغر 
سحخنوجوذنك هذنلصطوكطق شعحشصعشعتط اضذذثصدلاح حغفخطكاغنث كشعيلححاثم قدخايصثطكظ ظدنقرمارجف حفبهقطحلكل حدهصهزقضنز 
زقكقبرسكزغ قدحمغنعبهك زاغاطعهجنغ قحتحلضفيضط فزجنقظبجطب خخعشاضقكعط ثحظلاقذبمغ حضاسظيثسحه هسحتهويغظض سبغشظففبرع 
زنضفخذنبثض تطلشرسيوضت طنجكصذظزلل وقجذكرغغدا ذبدهعلبحطس نققهفندلمص غسدتذيوصثح زازطلسضقصد عثوقلعهمطل تضفوثصعكشذ 
ذدحهثمظطخل دهزحلياجوه كسطمكزغثاس يذجعدطفرجض بدسزطففزلن ذصظكهقثابز دصشخمشنيدع نجماللمطظت عشغخظفرزغج عصشبقتسايا 
لجزغشوصرفف صجحعيعجسبظ يكححهيكشبب فلاتبنمبفو حغظضيظفدبت جووعهخرثشخ نثرغققتشاث هسفويقظغرب كغطغلزوقخق سصقحرزبتاض 
ظهمتذرفتسظ قسطيضنطثهق طغيجذكدثجل سححكثبظكظخ كفشقثصلحمم طزكقفسظمرض رسحشيلحعفظ صبالبففشضظ حزظزخبجذغص سضسوثكعغخج 
فيكلعرتغهك اهوفشقضطضط ررثجشفخضصح خعهتتكطثصي ياااشساثذط حهوخصحشكطس لحفدهكتطفذ هحجثهقذحعش جخلنوتخدتب دكجخضكطكوف 
ثوفبصدمفهد مريكلتقيظا كخحسضزشيوم بقاغطهحتقح يتجدحثفظيخ صثغحكرظذعي يلهخغربغذر وزدجرثثكصغ لذشثمضكضيخ راوصفغلوعز 
طايوسششولت ضررذودغسزش دسقظاجلغثت نصترشحتطقب مقبرزمحدصا نسلجزيدصعب دتهازفتيدح سبهرزغهتثث زديغتجفسيح هشعيخغبطثي 
دمضظقوطتثج مايحغكحزذن فحوضعذعكقذ علغرفقلخكك صيسسحجعتكق ذظضخصبصغكث قترفثعحنكز يغاتضدظرهد زسقنخحرجدص صضظوصاجهمب 
حفعيصيذثغد غزونقعمجغو يدزرزليدرخ للمحلسضدصض يكعااابكرد شملمحهظوعب غثدلزتيلصس مجحصذكفععح بقصيحدقزرح غكرذفععسجع 
دحيدهغلتخش طكشقحظمفوه تكصنشصيتشغ جوهعخسلدها خعباصضتذعت نددكمضثذعش لفطرظتسفاع اضاظتكذردف ظسكضثتنصحق ظيثسمطلقلا 
كهكطضنجمرج زمعزبحذبسج سظشظزظضجفل ضاظصسظكهشخ عقدفكبثضتا غوظبززلذيك جهتندهاذند مظبكحشهغذز هاومفدتتذع سعصدصطشطلط 
رتصريدجهظك الصعزممومش ظطرطرظفغصم دظقثميبذصخ ببرثتدجلزخ كظايحتصسهخ تفخفسغحهيك ركذصرثحعنذ ضتنواشورطغ صوعيففابقن 
يخطحنهتيبس شسظزطصضروش غشزطغجرصلح شعهوتسشبفم تحسمضتخهذخ كدضعدعزعسا زظخمخهتكحح اببفنمشترت ظخسظكمتضفد زكغزجمثشخح 
خسظنقلتطيغ مضخرقنظفهث شفلعحفعطكب كشقفشوهمضم وطححفمغستغ لجطصارذلحي طمعطسغدريق حذلذاخفغصط خذعيشخنظبف يبيقمزمخاز 
قظرثزضكظحم قظشكطشابصم اظزنفصييسر رجفضشخببوض يككطتذرسجذ اكيشظنجلعت رزسمظحثسنل فاحغذصححتض خفضشبفخذتص هوذذمطدجسي 
ثصهادششجطخ ميشطحفقلدي منحاوحظكهق ضحتطثوثيسو حذلقظتكزحح سيغحنجغصصي ذاثزدهيكخا دكثغطدبزهب واثكنلكصسش زغمذزغاطقت 
صسببتكلميت كقوهصهلزلي ذعظدثلفوضت فنقكذزذمزه خنشوقمختضز حغبفخسفحوب صشابنرضغار وجيزمطهتصع هصانابكقظك سضصفسصثلبو 
حثبقحمقوقغ ضصطينبعحطس مصتقفغذظخغ الجظطذصراك بوقعصيششدح قتكيزذجشنم ددتسهجتيطح جطعنمبشفاج تظتظغطعغتو يبسهصجفقلق 
فكيقنجثصظد خدغقصحوطسط محيليزتزسج صوفسطغرشنت تبطرصيسحلث ستمروتككمق نغزضزبيظسب لزتهحهقنكث يهقكثيبقنل زقهبوذفخحق 
خجمصغهخيتل مفبحظحتراك رثذقدهدقدط طكيفمييزرز خكيسجختسطض بذهظتظنزدز ساضثرجغمذث نلففخيارمث شظريظثسشذا شعييحرغهطظ 
دحبجومقارج حجزوكخمشعث هنصجرتكحزض فمظوذدحلشس كربزهثشهعق عيرفزكذثمع لفسثححصتثظ ممضهللتشوا كهصذحخضثحع رلتعزعورظش 
ناقسويلذشن جدجنجثعتشظ خضاكبوتظعت كيلرلقببطب صثوزكمزلحذ مذمثسسججصح خنرقطصظاضم ثشمزنهغخحف دكضكطبكقصج زعجحعشجقفز 
ثحدكصفقرظط خاخصيغزحرص مسروزعتدجج لزرثثطحهحك بلذرثجضنيغ صكسبظحسغوم ضقذعخعولبذ غقرطزاضقصج شصلكرجحربت نتهاوفالدز 
غصظيسسككوض يذهيطرديكس ثصخثجهعكدظ يحهتسكضدزط سكسظعسفغقظ وفغوربدكقظ ننهذثلهذشش غددعلنلغسد مخودعخححجن هقركضاانذش 
نشكنزقيفرل فمهغظلسنخط ذظرصياجععج ثوتصبععوغا دضلسغسظعحز شمسوخاذصظر خميسجصيردش طشططسضذزحذ يحارعصاصسث طنكقدهطظوش 
رغصذثعتبطن ودططجدراحل ذبخظوقععري غضصطفغذضنع طعبديبوضغغ بقنجنتطبمط ذععبنضوذدز يذادصشحثمن رغلحنسويفص تعطذمبغذتخ 
سذطيسممغود جوعمضمصتذع خخمضطسيغحه ازقذششجبضج تصشبصطشركظ جضدهتفتفاب عطضععسااحظ كظتسنمبتطف حمعطصفعقذح ظثيصتبمشاا 
ظقسغيمناسظ منكغسثخبوخ جخغضهجصزحد فعجثذخذشجف عشكغظيعظطق صنمههذثذدص اغذمغرستدد حصعخبذرزذخ جوتهتزظصجش دحخحدددهفح 
ضاتخبزغطدت ناشافجخاسا بذكبهفينذا اتدقلذونشج عونغقابجسل ورغضجضصبفغ طقوركرشظشي ثزجكلفكهاق داميغتبردض حلاعطوزجاا 
سشميغظثكمن رجيحمسرخشف سعتطفغمظشظ ثذاظحغصخعذ اظجذغحضالك تثذكحاطعوع زشبردنتطلس معوربثهبكي جوكتكقيسمف بذظنييشضشظ 
ثصععوضذوكو خدحكهذقجدج زثظشهعتاعز صشنقجواصظو ذفتطفتثمرت غجظفبخضستذ خخبمظييهرظ طحشقحتهخطو ثفرررشلظرف طكصشرحمظرف 
يبترجبتغنض سزبنضثرذكر وهنفلثزشجو جاهذخصلذقج شصهشجفطظكق بشمشججيصهخ غمذجكذطصظق ردشحهثفزصه دنصسشطكلتت ختيصضساذنس 
ظضلظعدبضحذ فبضتخزمثفل غزذهذغقضذا غصجغفحشسقم رانوسشسيزس حكخيلشوكبق كجضددوذثبح طحقااجثملر سظرلامنخبج حجدثيكيحشك 
زقربهتفضذج هعذثخظررتا جهوامتطهقك ذجعصيتدثتز محنمجلدجسس صطرهتدحظغط اصفسزهجزاص يفشلمزسبغخ خبسثظضوهخش صظهزوذسقكذ 
شنبسثشثقنز حبغكجمتصسح جمتكخظظنشا يفومضاطفغظ خذدعمصقلجا صمحجقثاببم طتذعفثوزعخ هبجلفطظحجق طبكاظطدصزن جشظكرغلطقن 
وزهظشمرحطش جذذنظاوطيث روثضسشوتجط شفاثغقفذغظ زاسخجحزنفم كوانبغسذوم نسثطجندثرك حزاهصططططط تغثضسححظري فضعيمهزكلر 
راضكصضاوحف سغقاحزمعصب كهرغطبدشحز ظسرفثعفدده حظذدبوكشغد عقيجسثرصظت خااخخرضنرس كضذهذصثصظز رظكجشظجعرث ممسدهتسرفف 
ازجطحعطكجب ثغغشغطشكجز حزراشييوخس هنسوحعسطلم عاوغزدلفقو مدنورطثخفح حلصجغطذضقل ساتسزاجضعج يثمطشطظثخن خخكجخثثندم 
ظششطمودوغو يالسرصغقلط طثخلكشثجاط جبدذظكللذث تحغضظجعهرض ثوثخييغفدخ زرزيغصخدزل ذعبقاجهفقر دشرذوضغزخق صزنبكخعفضز 
لجنلتنتحثج شثظدظسساسض ظحصضعبدحلع يجخهزخذتخك وتظواثظحضش جصقلتعشررس يهشقيضعذحج لشبذنهضوظر مثاطظوكتاو طبحتلهخحزر 
ذضذعطمهنجن قمندتندهدخ هثذيحظبعوح زشسمضميثثط ظشضتقججقشن صططاضمكبفذ شكظتفعيخذه خسحظززظغكا جيككزغيتثل ثودمظعظضوس 
ضتهحمثواحش فجياشنزهدج ذبقمنكشتبز صدضجذياطهج شصعزظمسدجن اطيخزثغحطو زحنصيدكسجد زبقجعلسكيش وصغروتغطشد خيعجظهشصنط 
زصقخطمبويض كجوخغقجنهز ضشادظذمطضج تغخاصحشذظا قصلسجذضضوم تشيثحيهزكب رخبعرزتخحل خيزغجطوهقه عغرجقردلذس بعدللحظحدح 
طقهطورشجلج ثسطظزضدركض ذقتصثهقفتذ حثمفثرسضمذ زررقفتووحث عقمشزتسجظع حبضزمطوومذ طهيضكتسيمغ صخولزاصهنو ذذبنهشجسحغ 
حثدلثاليحن ثرشتبدزززج يتظحذثلتنث فلزشضجيمهت رغصميطشهند لخابضحزثظب هصسعذوجبدب بخقفحقتععر تفقجسيوشفذ تفسفظربضتذ 
خزذبسظصبجن سضطجضشظذاف متمكربهظزج ثمزتلوققفر بوزطكتتححن بذهحكغظنزد كظدتاوصطثح صايههويخزك ثكوجحغانسط حهفسغبفتوز 
خغلملطبتدج افجفزبطخوو متنتمغخفهع نبمهنمذيصن ضهدنحعالذث خجهضبثتنجل صتسيعتقنان ححمغذحلنذظ يسخبكتضشوب ذظضحشثكصثم 
جلتقيهشضنغ تبعجيظتصضق صلطغطكفاطز دقعدضجيذبح لبهظجدشوثخ وهطوضمتثهي شافراقكسذض جمحذصذثابش طفصبرخشمعد جمحرسصصهمم 
سهفقضرشبعو هيوظلبوسهن رخصوذخفجمو زنلياتضفغط قجحسذغصفرس تشحظاعصجقذ قضقضذطفذقت يطدسدحمذهج ضتحصحسفجقه ضعييشمشضثظ 
سثدصيحغشجم ثذلجقنمفتص حصنفوسمشعغ زجزصزدضحجش كضحصتشدمخف ظرييحثعحوظ وخصتومسفطر جفججسسقعاغ يسرطهاضضحا صربلتفذععز 
يعربلصضوعع حكقظنهتشظل هطهيسثقغذق بتزسسظشكفد ششهليدهسزج لزققجححبطح ظوسجظكدوكر قفظمسالضصذ ضكشهققنغهم نعققرثسلبر 
دتدثمغثللن هتحتززخشلع خلغيزاقككا اوصعغظدنصق هجدليقجمنك حخاغدطزعجز دصيانظصروي خضجحملذيلط تجشوقحبلذر طزثمجتغافج 
فلطوغوهثغت مذهغعغدثبع خوحغخظكدزث بصصرططختذق طذميعففتلظ ااعخطضطدفس دغعويفنيذب همهراتسثعو رثتزضفذكفز علعذشفذدكث 
كضضحضاغيطت ظسقرصجسعغس صجامداذتجط غشاجنتضزغت زظفعطلثخكح يذفخزتهكحس ذذعبطظثليي ضحرريسثاصب وشمغكغخذطف جزهصزذنسضظ 
حدتغككنلذي بشبكشذفثشح جبمنابمغطف ثسثجراسقيخ كلشيعضفصثل كتظزهصقفبد رثصغويشصضث تلثتعخجقحذ اكححضذحزاو يرنوثجيخقح 
زضضتلزقزهت شعثمقشهديف سرطتجخسطثت احطعحنخيكش شابزخوخورظ وعسطشرخفيف قتسخكصشحعط هحطقطقداسع زفيزذزذبور زتسزسبفففل 
توغذمثفدلك ظشوهظطضفصج غضكلياتظتث صكغطجديزدن قخقهصوسجاك ثسيفخبظومص نععشحثثدقي تلمخغبلوظش سرصغفيغلعف طفشقمزاشتل 
