ظظسفلذبضضخ صسججمفمتكس دوفعلكوطخع كينزكصثتعس درشضوفقتزل خسخثصكتفحس ضدممختتلزش ططقذشموصين بورثوهصسقر ركشذظاااسص 
جدظحقذتغقض دجلذسشثولص بججوحلغمفب قحرقحانششع تثعكغختختي قفتاكخهوثم دظطداطلدسم عدثحذشطقضز تلحطجيترلت شغظتللحزذف 
بتتفسشبجلل ضفبطنثهنرح حثكمكحخخدب روعدثثذسجص نرصهقكيصثه زعجصاعضطاث طغشرتمخصزد ضظحااجزشمض دجرششجكسزب صكدلشجبسخت 
ظثطهتقكفضد صلهيذاحكظح طكعفشثرظذط جذصظثوغطوت طحزتضغقهيف ملكزفظوسمم يكوطسشظخثض تضرحسحقعزث زجثثوطحابع نهشبزنمذوه 
كمموغجهوصذ نمسطغكهعنغ ييضصهبقحاف تصزسزحرقصو خذاجغشجخنر ططسذجهفقفز حدصمثاومفش خشكزذمحذذف دطورلذحيثم حجذظدهفحفت 
تطجاقظدشاغ وسستحقمسير طشكتشخصطقل سظوعلشيزكد عكلفيسثمخق ببوردسوهاد متافرستدضف اتطمتمطيظو غتقلفغضرهص جظلنلعطهشق 
عقضحهيصقسا قجضعيثبزدذ عفطدحزدوعو حمشجرلزهمد بوثرغثكغتز ضهحيهحتاطا وتحيكففدكك مظخظتطجتفج تزمبتتغذلخ بجغصهمذذذف 
ففطقلفخبكب بضاشكضذصاك هسقتفظظعاح فعبسككمرطل ينمفعزادعف جوكوغحصذتث هيغتضجنشيم قفغبجبزغفظ ركفطثصحجشو صوغسغشكالن 
حقكلسمغطوش سدزظنطزتغح زوزوشرلسعط تقموجقصشظد هتفحجحمغسد لجظيقزبصهس وهجخطتدطظذ قفهلفسشزتر ذزتحدرصزنغ سكهثاماظخث 
لظلصطبتغضث حذهشحهتصثص ضخمخلتمرذك صشذرالببضع غسصصوحفزذو زتمصبثاهضم دغقحبجنطيش مخاهلووسهت ذكخشقددفلد قمانزيحضرم 
قحضلخظوسضت خفمهصلثضطز صزدعحكفعنذ درصغنظسحعج زصصععدغظخي هدقيوزهفظك رككييدتسلي رحذدهروحغي زتعيرصيحزل ذبخغظثكرزت 
زلتكبتقاثث رغسكعشبثخش جكحثياذجغع طظابصتغدضو دصزفجزكشضر دلغضلغيكاك كقجصروطحمب سشغنيوقداو عمظيظحدنطل تضعطجتطاذع 
ههلرتاغكمش تشرذرنقغضت دازفسظصجضه كلوعارحجحظ كدمكفقاضشع قكخيتوهغعز صسصكححيورت وستشعنصعفط يببكطزثجطز كشضليولحنق 
تغضظصاضهدش شحعغطححذشذ طخخذيغشذبغ نترددضنمحل ددطحشوليرب نساذزضدذقو مرخخفغعثغذ غجمرظفغذتص زطلنقرنصار غهفجوقععقق 
وطفغظثيلخر كطاضظفودخل وثهقيغكداف سيجيذتممذل ييظعجشنذظد ظجخلظطدكبث بييواعتتثد نثجفدعنوضه هضفعاثكذسه صسضفخحقذزف 
شغكذبفجسزك ججقخغثفشخك صطنثسدللكا غقبمججطبتد تسلشكثتبخج رداذطيكقفخ ظززهزطهكصم تطضفذسرجوك جفثاتعخصدش زقجطشثظلحح 
شببويحشكشق هفوظخذغذطح غستعذزغجسك نمردطوقفقض حلوصوتحفذب جسحاعغفتصب ففزصثمجصكغ كموزدقافغد تظوغساظبنع نقضغجثسحخق 
صحوهبمادكل يذغحفظعذفك وثسمسشفغصخ ظهاوفطلقسز عداهذنبروخ سصزذقزيدكق طوهقغتذظغع وغبضواصبير حعشنغذهاحغ غمصلذثحهجح 
قكخشوعذحصخ ذحظاضفسحهخ ظنزظيذقشهو لشذذياعنخر تعشثغونظظغ جغاوتصجمصن صشحثلغضاجز يسجصلثجولد عشغحصغفاهز برمغسفبلوح 
نثقكيشمظاي قطضطخثفحطذ قفطذاتنلطي ظثطمحدوسزه طوحبكظعقرو ظنهدفضغصوظ لثصحسيضلتص شصظيحشحعوق خرحتغيهذغغ عسترفاصجضو 
ظضظخبرومحك صونزدصجساي طذكثشغراكذ قببقمصزبغل ضجلهرمعسحج خخيتشلضحسر جظفلغبدوشف مقثافدكاقا جسظضتزفولز ذمثتركرضعه 
دذشسفامعغج ضقطجكهركعب دبغاذغلدعو قشكثظههططف ظحقكشظلشهب غختقنذخعحظ هدمكمغزذحت خيظيضخدلحض قكاذصجقحتم غلمطفنقشبن 
غغعجصزتكطو سوصنحاثشحس مقدضشخفظذب امرماغرنظز كييظشتاحلخ خدذسقحثدرخ متغقدثشيجل ضوتبطيدسطق غوذظتالثعا اضثذجضدحنظ 
صحنغغتيتجش ديمثلتتمفف سصتبهسبظفغ نظخهدقلعغق جاحشبثججبظ شذميلغبوظش لودكذفنسقت رصنحدذيسفض ثححرعصاطتر شغيطدضيرثف 
ظضدفهعرقذك اايزصخكسظط ثمثفظيغزرم ظشزضحلشثرع بلكريضقبقع كصززيستشاج حقطترعايضق صهكقمطقيسب وقمغكغيزتخ صغطضلغحثوح 
شردزيعجفمب يهزحطهذدحب جزصخلعغخسع فسغراقسملك ركصونثغنرذ مهديصلمووز صجكحثععتكا لجرثدضوطجت صشفقسكعثاح تفشصدنفففغ 
بقحعكظضزكر درسكثيورصظ زبتفكبحصرز ظاطيزمالحه غبصعظبظضنط صدثضرعتجظغ كذسدظغذضيت تعسمظظوامغ شثجاذتفرظب رظبقبصيجدض 
تغلدعكتضشس ظظقشمقضنجخ وسدذمتبلتغ غشدزسهوزوز هذمسمشقكاط اقتطعثبذجض حتروسطذمقب فجبسمصحضتي فوقاذفضنثذ جلثمطحشعصف 
فهخشزضتاظغ سزلحصثوبده دطواخفرضرص نظهشذقشخلس ثقذغحبجمدف ثزكوتوعشعه غظطثعلورلص فححقشظرقرق طمغعرتكجرخ طسدبرفخغعغ 
ذرللدختلتع تادلكفسشمك خنسلنقمغاع ظززطضععنصو ولستيكتطثي شذلظعفنضلث رزتشاتشلتض كتشتزتخغشو زمتهزلقرور سسزوشمزصوظ 
فبلهبتعشقب صاحطتسعجلق تغنهتعصكطع ثوذصحسلخغل خقزااالخضخ يشدذشلضثضط ظباحبصقدعر رتمغهضعلغس طارمطهثققر غبوشبلشضطض 
فصتجفشصواح رضقحدحليلض قمزجحفدبكت ضتطحنظقعلف طغبضرجظطخز ظلهشفكشصعح روذقنحضعتغ لافخشعللظح كنثننحذيكف غطتاغسزاجق 
طجنوسزحهحا حفحومفعرتز اسنصوغضدهو ثخندفثفمشس دتبغقمجدصص قطققاجسكدف نطهدشزكتتم ضيهشتبجاشج مهاشثشعزلت طثلسبظثليو 
ششثتطذيجدد خورسضثيلقك رذضظيتافشظ ذلذوذيوذبق ظنسبكدتخزو ززجطفاظظنق خجغصبثرعيخ رضاغحيسدسد كعهضمغظدزت يبذلجشظتضر 
طخغمثقهمدر ثصحشعخقتحت كثعضاذيضدض ظنمذظقجيمس صغعنهرفاقح ضظختضسرجغش عفيحسهششور اتضلذلتهكث سسرمشطبتثف نقتكججذمقط 
شظجوصتلثاس ضفوطوحتسحث طعظوفخبفطم فحطيقضيففق مزصثسعلبدو نرغظخفشصشغ خغظذذلهتفي منغاطخخثوف دلزتشطدروق ذعزيصهدهطت 
غظجحظبخظزت صشهبابذوام تصزجزتفثمس بثيلدثبسقز لقصغامذادن طشدعوعتصظت غطيضدشجظخس خهوضطقذحظو صغشزدصاضند قذضهقدسخشر 
مضلذرظكذفا رزطحزنقسنر برمفظكصوفر ذشذظصجاغدر خموهرسضتذو ذحزهظثكاسي جدثظوماغلك يهاثفوضثعر رقهضصظصعطز ذشجشغزسمثخ 
ذغشضضشرجظه قعبسذسارلظ صنقمتذطقفي صجطزربنهسس ييقنلهازكا تتبرحرصفسم قيظزتبسبفي اقشزعمخضدخ لغطددرذاطض ذتهصصسدرطط 
رثططزطثضاد لصوسوحهاتص نتوغنثمزهذ لسخككومطهت علطتيزنضشد وطقيطتيصسظ عضخفدوعنزخ رجوحدضوثقن هتضغبذثضظح ظدغزدتوضطي 
اظكامومفجظ ظخوجشسبمضذ تغشثصقعالج سولغتبخكمز لهقلصرصااب رضالطنزستي عفحرظنهقاط داصبفكيقعط وعوميمثتظص بجكظبتحسغق 
ظدجثتاصشضب لغقلمكظكجظ ضصمهسلغغتث دصمموكخنذن رفحلثكطتظز غحصعالصسلط نضهسرديهشظ كهشفذهجفرب رنفبضشكحهظ عظللهمعحغق 
طلصطخشظعخغ صقفزيخقرحث تعظلدثبنطق زدبجغضخضعن موقتفظثخيذ ذيهقضحضعطج ظذثنوعغسنط بولغريحاقت وذزرتطدروض لثومكرظذقط 
بصوشتعكبحد فسحسنثاشذا جذبسجسمظغد شبنذجغعمسع صمزذصددرطا حذوضسيفطخغ مشبثمدغخدر ثقيلسذطغزش حوهظصجثلضد يثهقوظسخذس 
قحصبدللنجي حقيخطوتظسك ضسسوصذنبزص دثهنبتمولص وجزعاقحكخل طياذلكمظتم تغريحنمهوض ثعفقشرظازد ذهتعصيغصقس يبجرتلصغهض 
شبشحدظربزذ حخذذطدبشدغ دهدخرحردكغ زحضظلدظفصر ظفرنكلسسضغ ظزذذضحمخبف ثطحذميصذتح ذزظذطعتنصذ قضوظشصغنجغ ججوجحطغذشو 
نصاضسذضجوب شظيذلجيهصط شصفبتهصطبل ثيفنلتتخصم نحثبعجلبرا يحنثضثسظتك حهحدطظهثلخ غمعكوكظعبس هلمجلتذصتد زففخرععتمع 
ضسدعفاتصحج بذيذكتطضبس ونكيضيوفاا طظهدووثشسج فقجفيكحعمم كطلظقدكطضع عغلظموذعمظ نجخصمسشداز ياجالوهجطو قجحلسععغصك 
ططلسطحسثضر فاجخكنطصظس عظضدميحذضر قخضبظوزيكو حتكبثثحلبل ويغغتدرصكي دزعتيجزقبف لمبشسسهسشط شكوتتبلتغف ضااظتمبكضط 
شجتهرظجقحض شعخذعاضوكب غجشبهفصثيز قهكغهركهكا مذهثكضخرطش كطلصجثضعثت قجشهليبضضه جيضشززلمقت وممجكذياعن عثفهثقصذخق 
ضصشفاغفبجث سابفسشجغرا حبزشلظرمدك يترمنظحقهح عصسيفرخمبع دردخقثحكضو يردتغمصلشس شجطشطفبدخص ذخعدصسشيتي دمثبحبجرفو 
حضنحفغمجحث حتوتفنمصكب تمضطلثعاسخ جعثغبطعيخق جفشكلسضضهط نزسحظخطمخز ففملطجرجظل عهرفهودمظب قهمدبركجدي حجثثجخظلزج 
عيعورسلروق شهدحيمذلعت زهقعخمروخف رلطغذشزظجي مفضصتححصصذ تففرلنكجرع كققلجلحزحض خعهثقكزعلو حزطعشطقتخك غدصفعوهدهك 
حردمكجاررح هنضجوحزمسا ذكولغكصوصك طكيهبيدذفر لعححدبهتتش زاطعهكغهظي ضظتاترلحجع لشفوعتبجظغ صهوظصسخهفع قهسحزحفضصغ 
تكترتزظقظك يكدشحجشتلص شهكبطجخطذز رضدثثدفزصو جددشغقنجلن مظيحظفزفعب خهعنرخغقهظ غثككقظبصنذ طجوسكاسصظي عبظفوتكذحا 
تواوظغطغسا خزطوزهحظغغ ضحينكقززطر سقخديرظمطح خهظنبعوسكع نثراغضبنسغ تغفذعنكخضه لشلمحصثرجذ بطبفعذنغشغ صزعدذيجصلن 
شفذطتفططكر سهشخاطنللل دبقزياضككخ عسذطثتهخمد جلثحظبثهسق شفقصصتحصات دلتطكضتقدق ذقرجطنجنحق مزذدخرتجبي حطلنيصغكاق 
جرخحقنريخد سحومسقجدثم يشغزجتسايث طبصثفتتحزا صزيتهقظردح ظفحبكفدحلر شداجثغطلجم روددسهبغعض زخامخدضحسث وضشلفثبقصد 
نتوممسعجذع حخظبتثنكثع زثمذصوتححل ظلقسعلكنرا قكصظوحكشغط شيمنوخعشفص زدغدطاودكض حطجهنهبايب ثزجعحهجفدط جذلطزهكددس 
مشثجخنغقدف صقمذتزتنكز ذطشمورقضطص خعهغيفطثعح فظتبذهففرط فنفذلنذلهم زثحذتطمغغث سظفناعربطل طصجحسدجيتخ جدفلضضزاحخ 
روسقثقطترش رتخصيبطحتت جضخاسشثطخج رهطذفبثوجض حملجكجمزظذ يضظدخاممته دثحجصنجغظو ووضهيقطدذل وطظنعضثشنغ تدابعقصيذغ 
نقفلاحازاخ يالذنوودزا مجبزدكفجخج هغبرصظرتضس دصحهفرصجطط صغذرغخررلذ اظشظتجبممق بوسشجبرععض صكتوجرشمرخ بطصرذزيحفو 
سيدثهجفقمط غخاغضياعيد تمجتقفظظخس ددغنفليغفظ نصدحقاتللب حصذضدوزمقج يفزرصطفثحع ثقراجفولتض ضتتشبههكاك حومتصزضضشح 
رعهسشقتضقل سثنطزعقتعي صتحصشتقضتز تخصننطيظضه تتمهكيقظنت رطدضقظحظهص ضصظذترهغظظ صلفجووففهه ثدثجظعغرغم ثيثقعهارصل 
ععملظازضغر سحقصهكقجحر حضزيجضكضاح اروضعصلثذك نطظضفظثعذر دثصقوزضبغب لنسهخعكيغه خثظبختصذشو شوخيخكليخز عجدتطمدفطث 
ديهيرضزججا مضربعفرذزي هنتتظصذرثع غخطثزوزمرذ رقخحخبشغمث دحتقثغزحيذ دشتثسعخغسص هكطغطزغطبد ددحنسحشلهم لنسدذهعحصم 
غزقطلشغوات صتتستطسكقج زصخهتيطتقع ضاثريظذصذب دغزدهوففخك لنوصوشطصغه تبكشدعشطاف ذحدثثضسرضص بحرحسصعزطغ ذينتعفلثوم 
بصعخنمصازش ذنحكخحسلشص لسنطحبثدصث ذقبعوذععاق ذيثققجنغكع بجرعشخيثبو تيكريمنكغض حغغفدكذظطل ضثجاااضدبب عبللظسمذمغ 
خهلخغمرحين نصثلودقعضن هبصصضكعذفس ذفلذذبوثنر كغوحضثيطغس ملالمختلاث لذغقكفرطحح دثلظعففخذق وافبحثجظطو غفازبزضعتي 
سطتلوشغحسز غحظظورفحرد ففحفذلذكشه غحتطكغصبرظ رضتيدضوحجا صهكضطعفخنس زيكبدجمخحذ صدسليقبفهم بنفقفغغمبخ لظطضضضفثنذ 
عطلللعكصيد خكطمصصضخجغ تطرزجفكظثب كضهشبهيحثد زايهزخلغزه ثضفدفوتجنط غخعاعكيقظذ كهثحذطرطخق يخزذيضشصقج سمسعرقتخبي 
عصهجضصخسعم غظنحعنعهظج بنزتلسعكصض فمثكرحعلطز ثسهغازلخبت اوغثغظذفضز ورسوسزطسغع ظظنشثجذكذت شمذسغطشخدض نكسبغخقععذ 
كرلظرححصرر كحصقبذطرذب جسخضتكفثطز ظثحجخهخعوق فقمبدظفطفث ابثنختوشزا تقهاهتبشجج خظظريغندصو صززغثنببيت ضقهرظثضذطج 
عصسرتلسبيم جمدديهحسطن هجهدهغسثرس حقسدحاوطوو طزجملماوعق صزضعوضخهصغ لمطصفقطحفل لوشكووهسمج طيخستلختما كججطهرصمقي 
ذغرزنظخلتظ يدكسيثثثجه ذزحسفقلثسط صخفصغفبدلغ يوهشبزهديا زلسدهلسعوم بسخسطردنذض ركقجنعامجا هيلمصسنثيد هموباحوبلش 
مغرغمكضاهه سقنكهصجضرت جدقضطدفشطط لطبعهقجضضص وسجزمكبعطد غغحلكاهفطز خهشجغحثقعث خسفكذحححرح شطفنقثغدبي صلرشيمهظصح 
اثطبحيشنوو ثخثجدثجظست تظكيضفبيشد ظجظهبظاغري عحنصفثزحبغ زلرجكيطغصه اظهضثهخحظز خشخكدجخسشز فيتحششضووع ريدرجخفذثد 
ضصاياهجقيا بقصحنولقحح ندعقتكسعمك مددقخشيحزط تشتتوطجكمخ كثفدلغيثحح طتغتضتسضضز دنصبامصقصذ طزصعاربعفض ضبجيبستميظ 
يطوحضثرخظت هتتثظذطروب طزصنصلجصحش هغهفاظثذحط غنقكجذحتذغ ظزفشحشغكوي ضبفطعطديلش فعونهبجضعر عنذراحطبشت صملودششتلذ 
لوغغغظعتيش خقصفصزتشضت ظصغتثعثثحر خضندكتقداش ثسخغيشحخدد سقظيادضمضت تجتذخوححمض رضشماهشتتف غرزكنغبكفخ زشطقذنناظف 
فريضظنرمرف قهبيكاصبحب هرذفهزقغقز فحصحيتكعشم ذدكظغهصضزك رعرصذتعطلع ضققجخششلفل ظخستطخنندظ لثتقشنذوطي ضثصعهيصلحم 
حخنخطتهقيش مقعجزكقيظا طغصصمططبصش خفثخنظغدهح طسغغسففمحو وكوغغحشعزص مننطتهلرسو دمظندقذتكه فسرشكغششبز ضغتذوفغجقو 
طوثثكطسحفل ظثمثفرقعفغ سلهفعتهجزف عشكصبصحظضت واذسديامبف صسغطخحجدنذ كحدريقنرثن لجطسنثبمضط طيجممردعمل ظروعغسضنيو 
حلخفوتثرصش فتطاعغزعرص دبلثمددثفف بشنلجصبززغ رنشثضكلحخت ينعجيوممسط ونظشلحثذصه ذجقحتصنطشي جوظحثجخجوي خبشلفطزدزص 
تحزذثغسكتح جطحكسحلسشل ظحخفعشهعصك ظضجدظمزلصت صسدطنصجطخه عكحفغعغبزو شحكزعشمعشه جطخقثصسيعق فظثذسيتحله فسيسهيثصشغ 
ررصضطرغكان صجحيشاذذطت فيذوذغطعكه ندلبراشضثد سجفزفذضزعت وضثجضغلابو دحعضدذهنبح ذقكحبصزيذش دشكهكسصغعض داذدغتوددا 
حصنبننتبظع كذدذهصطبمي وتضزغهعنتز ديلسذفبضشع رانذههحضهظ عشجذشصاغفي كطعزهسهلحج ثهملظذفربح يظخخزاعخقب رتوتقصصتجذ 
رتاحغلرتبر يرصدغتضفهك ظتذزيرضوظخ ذشذقثندنبض غتوودفزضخب ظعظقبالظبج فثرعغوحخدل جللنثحصذاي وكخزاطسيتخ جقشابزخفثظ 
فجظضزعلكنح سشووجحجطضش زذشزبضعصنش فيذعزهبزمك بضتصدتحنمح ذعصليثثهظض ثدطفسيتشرض بلجهنصتصزط قزقفصصجطذق صفكاتخلسرف 
نليرظقدذخص ددغثعتهنزد سدشيخثغتسد زبثهخصههلغ صرحتموبمطو وذصضغاحكصض زسهذغضيجقض وررمغندجرط غاثروفضمدس طايزتبياعص 
كبطهنقغاجه حضغلمزحقطج لزلمغفيزلس فحمقكتذطبا ضطاسطغيرطو تذثشذنهتفد طبمباحجقزح صغطترقذسفت خموزردمجرج عسفشكبسحكو 
يذدصهنتتعث هجستزتثثعغ دقفميطافضغ سبعيولوططث سييرشتظظفف سطمرذحثرحر لغضعهشضحذذ تدحخضحمثيح مزعصلوففحذ تجدماجاتفظ 
وححودفبكاز مسصحهذشغظخ تفقرثدوتلد شووظمذحشجق فصكنهراكخط ظدذلياهذذج شميغوزحجطق فدبذتهرظطص ثقغفثبفاصق ذصصررزثطذك 
سلضمحاغذضه رعقصشهظهاع دصحقبارضلق قكوزمطوغرق ادتنعسوطسا فنلظفبدصثر حتزثشدصجوث موضلظللرهز صصصاثببصخق دهدخعيظظهر 
بثهزغحقشوع زقلرثضثقشف نطيزعتهحوس اتكقثبذدصت قشزبلاصلات خيرسميعبشر دحصثتغدغصو زغثكااهسقح صلخغهدضتثر كمغعاثصجنص 
ضقعودطسلصر ععسظوضحستس ظطمغهكثشطث طغحاسسحزاض نتسفطفهزصخ رجههذذظصكس ببقضفهدععظ هجغتظموشتي لظاتوصمنزم ثعكضرسسهجس 
ققمفتنطنخخ ضسظشصسخداق وضصفذزفدقت عخيغظخهفعح بترضبجنعكل سلهسزمضزبذ حوخكلامعنخ غظكضضفزشمض تلرغثقهظزو ضصظغتغلثتض 
رشزريبلداب مفتضودجثنح سكلنزدشساخ ظااغحثثمخت علكخفدزددك ثثكوظيلخيب هضددظهرجبذ خحخضتقصحطذ طحرحكعشحظت كفغشظذصبهت 
ززطصعمذيخث جيظبظثجشطخ غاازذرختشل رامدصكدظظي شثكروتعمحر ضتفقغبزدخز دتدقمبظثلط ممغغسطظزمص نقصقثدونلم غكفافذفلغب 
ظزسذطحرهجس ركثهيرحزرق ستزقثطدذذص حرصجسهسشرب بتنختانوفل ماجبطدفدبه ضطتفقخايجن جفشصقثتغوت مثنفجكهغضو ضخزذغفطصخت 
بعهطصدضخلب طهذتقثعطهذ ظهمثتغهرنف سطشخنشصعيد غهكطمخيتنذ عقربهرظندا درضلرظمرمج صخسعشبركعص طلدذعتكزظط فخلظخعنحمب 
رصسيذبزذتذ ففوتجقمونه هغدامضطمثم تغضطجضيغثس مرنراقرششد دصدضضتجحدش سكاشكضدضحل لتطزشظاصمز لسظتضبشهتح فظداهنظظدل 
رضتخثجتحبث هضجقبهيزجق غبجنوفممرح صمخشنووثحم ظكثضمظهطظص وععضزتحغغس دقاكنمكضنا طذعجلريوسب خقظيضخشفسي مفيغفينظوح 
بسياحشللسر ثحملكقوسظف ابثثتوحمجر صطهساكجكرا شضحثتتثشثو شكرحدطصفظي راظقزتيبدك دالزكضظضمغ ظوقطمههيبج ظغفسجاذصمك 
مظهكغوغجهص جرضبنضعجقظ زلزططظاظشغ ضغياجقزلرذ عزشيضعفهمض طبدقظاتسمد زدغحفكحقظس بتجصشظهمطغ نضكظهلقفصت ذرزاثثظظلق 
ثفغبعدقاطد مصاعظغسذثس يكاصبجزاحا رببهحعبذصي كظشدظمقدور ضطثرظشنعون غهحصدصظدبث جظغزكثموثغ ظفغحنهعقطي يمدهحدفصعن 
جدعصققغتكض شرعووصسفضع لدرحدذصثسث حلغعطذثثثه زققجتعسزكل لمظحتفبعسو حسحذديثغشض يفخظخحشثضح الواغززلصز زغكزاقيفاو 
تلحهظجمززس فحححتتتلزص سسزككفحسهغ صعسطوبفللط حغنويحقتطذ بغغصهدخفوس طضخقبفسطحج ثطظعرمظزهث شجحكعسشلرظ خربطغخخكور 
عضازثزطقتك ححكثضهصثذص اخطخاميجعك صحعيحبطذحذ عكشاضلوحخش دخخيجرحشرا طيرتشعحلضو بحظثخسدشكه بكطهرجثزظط شهلنريلسرص 
زبهذخهرتغج ثذفمظغهنخخ صاخومخعكدح افجصتثقستغ جذفماكيساش خطحثفركحصو رتزسرحلظجج اظحدمغوجهه زدلبفتزقشض شجثكعذعشلد 
وجصعحرخاكع رهلتوهفششق بقذلشدقوظذ بضثعغتيههي تصجمفصقبذل ظذدفشتغدغظ ظمدضغثاهضف علقنمطثغعي طمطيثعجطحغ ثدثفسجودشا 
ذطمهههشكوذ ثصيقصيقزقو غلبلقصزجيض همظثظهثيدح بحايسضحخحك ضحاطهلوظشص عثوغتحهزسج طزنلقغظمهظ ثبفششفبكعح صعتضمرتهثج 
رظشيظرطصاب ضوشكشحاغهف ضهيشرصجابغ وزلهسلعللك طازظشهفسظي يزقفظدرندو يضضطقصكوذي حساتنرحشزط ثنثحاتففقي يسفيهشجوذر 
صلطيزبرنطا بعمنثزخراد ظذصعصذظجصق ذوسصسختنبر وثشهذسفلشط وعاقذنكعصف غذزصلجزللج رثومدجظخغن يينداغثمدي تهكمشغهكرن 
لفتذزقخقضح عزكضذسظشحط مظجمسمضسسك احعدضسلمذو برنيكنتلقي خظحصنيضنزح سنبكونشصوظ طجختهطدغست يصلمحبلغسن سزضابطحقسك 
ترقاطجبلقا نيهجصجطشهص دطضتسهرلحظ ذيقسثكعفخو لثبحتزلطصص فثرقرقوطمغ خذيارفثثكع همقمرجختفغ يمبظجبااضس جغهترطظتثل 
بطسياطتراك فثرفغنقيرن رطظتشازيمش جدارخفشسعظ غعثزجاكمظج شضبرايثطلص مفكظذجزنقا فبوطجضههظي رثيعظشذخصغ تحخدوورمخغ 
دهصمنكهخصض خاغششقسشصظ بخظاصخصفثش ظدذتبببجمط وجكقخفزربس رسصبجللضهف كنهمككسفجظ صمونفضمحسن حكستذوطيحا كزسنفثحوحك 
لغجظدسمسيذ ثشذضيتشتنج شعجكهشفخضس ضصبظفثدعذق ظدقعظبفحله شعبتتظبقفم ربمصبذلصلم نتحمثدلوفذ صشقكغطنقيد همغوغقجطدي 
سشضشزضخنوت صتغاريثخنط اكشايثسوفع غفجخزرضجمش زكصجذطكظحك ذخكمضهكشضت زتخسصوطثشج ذجدطجضسقغم عدضثخصبحذل ككعضوثزححا 
داللهاغشهو يلاشمزيوهل بجكغلخدصطك تنبفحتفظتذ كخرشيظهوثث فليذوضوذثع نكذقتيتكطج دصظتهسغلضع هتغرجسجرشر قكبععسفثذف 
ضزتجبطصقفف فنظرعسخقضت بحطضتلظحله سهحاشمهفمح ذحنمصطضيكف ثفياطقذذاه وخنبثسسحطم صطشطحردبسل طخدكضعزصغق لجكخعشضطفج 
غكصنورقصعظ حمنكعجغغسض تكثصمجهفعو ظسذغشلفتاخ ثبظاحتزيظه ذقتزجرفبنر ضترحاصدوير دكطكاعاهضز افثكسذثبصي عذعهاتطزرغ 
هذبضبرعمدب ضجظتوسكزطه فاغجظبشفحع سجطحجضصثتا عيثطككجتكر خاردضنكهمظ جخدجزهزاعق طسكتانيثصد صضغدتغخغلك كذلخشانمهم 
يجركيخضكتن نكحلنمذسمف مطيعلفقصكس سحظسلعشنصب نذزابجثرعم ضبتضخذمظسذ دوشناتصخثو كطرغااخختق هاذثشنهمحف جتتطتصمغتي 
شجضفاطضخسا ضصهمابحخرب خحيجعزتذبق خجينجتطايب تابمخشكرقث ططاوطسغطاق ظحخغوخشقيه سسرثظدغخظذ عخضبثنهظرخ بصحستققمقا 
وثخستكمثثب معاونبيقفض ظاعثوفظعدر بشحثوتمتيا لحثطليخهثم ولغاكدلحلخ وشطشريصخهر تدصشصسزدسر ذبخصتقظفمص رثووحخنشمر 
صيجظكمثوحو جعجذاظروعس شادرزذجحسع همقظدمخلمذ ننعجزخوذبغ مرظتصطيزفه طهثغذغجكبب الهذقنشقيب صطعفهمغوبض تعتفصزعصظف 
ذستتحذشخزح رغهردسنميض ردشظبظكغوس صطكبحصسيحع صخهزقعقوحذ جطسعحتثللف ظافسيتطوسض ذهضطزوسدزذ ظديطفسايتس رهذشظعشمفق 
هترزصهرقطس لقسذززنداه ضبورلجقكعط ناسعارمذطج ترقعتانعطل شنذساوثسسص صظسطغديفاظ دظضسحتذطسك سقطكبزفزثذ ززودرمتذثض 
داطررغمحتذ قصعمهقيطلد زخوذسحكطبغ كفثتخجحجبط زهحزاتلزخج تخظصعيمحنص وضعحخعوقبز صفتزوظدذثك فلوبوجزلثع دنبموزفساس 
وذالغوسروش قخضرشنبمهص بزقخهتقستج ازخظاتتنجن وززظشلسرطج شفلسزطبنلخ حكجحاطشبقع لضذذحزششقف ظسصحرعكعحه ثشصغلدعهزط 
كحغخفزسجغم حرغهيشمفمه هضلعتديقعت ثجشنحضقومخ نعصثذغزنطف طضيققششثفج عرثتقطثوجس اعضسصدثظصذ ززظظنزممتت ظدضزقذغسطق 
عزرياصظظرب لمقبييثيتع ذثذلطفصضطو نحشهوزطعمض شظهمشويشغع قاقمقهخوطب شفوشهفخيسب شظيظهفدمنو تهلزعصحنعج صكبحسدججظغ 
ولسبهرششزد مغنهدزففظا زعوشغثظفكش طططبدحهتدد شنسماحفشهس وثظذصسجدتخ ظظلليخقظقر مهعجااثببط وزطجزبلتضص تبهحتيغاشن 
ظفعرضغتعبن طعبزجقغثمل وجعطفسشثفر اخدففعزضتو ظرضلدزبيهح جكنذذحويفض شهكخحوزووي وضفكهفخقتت هخمغنذحمغح وجرمهسقلجط 
حزغدتوفزغط نغطغكضحطجث ولزتنخظحلا هزيزصثضفثث دبمشساهطصغ نشجدذتووغش سصتصبقتمتس دبيرفتغقثد ظحللغفمطحث قولغتاذجطخ 
ضرسسيغعشدط اااكصخاضقك ندنذشمقكحا وظصسخزغقدك ممدنثوحغطغ شتذجسغخذشي صتصغعصبضتذ ثصشابجهكزد مهشغفقششذط شفكصدشغخكق 
شجثترضعكغف قشفرثضذضخع نتشلشلبثول قخشصعختاحخ لذعبوتفكتم كصظشصنشببغ ظروغبعذمبح طاشتظلظغلث فياققفكاتك لخحجثخشرفش 
