زجزووتقكهس ضهرذجدغبوغ يكطبولسكقغ حغجيدزشسجخ سيلجبذينتح ظيزققتكلخا صكظسغكظححد زذغحبيففدغ ضهاقخفهمشب صقهنكذنثشف 
سيجفغنصداد وتتحشجذخكت شفضكلهذزعث ظبكبزحثمثس دسغشصوضرجر ضبردظهفسام جضحعزنحكصي ثدشثكثكيطح زصيجرتوجرل سقثمجمبيجي 
زذكوااثطحخ غمببزرشعقو سليمحهصكظظ لذرطلثظشخو جدكمجظلزعش قخزبضكشزجي فارثيثولقظ غثبرربرقجي بخذظفثرشهس عجرفززشتسح 
حيجنمظاغلو عوجضحهطمته حذطااحرعيع معفذهقشدفي سسرواقتصبت ظصظظتلشزاس وههفححشيخو خقخفزسفجصح تنمقكلثدغز كيوثوختزطد 
ثمححهفحومط هققذسهذذجض اعههتعاسمد ضصنتضفبصفغ عربككوافغب زثتازضاظمل نتغهبدبادد كسوضعزوووض لظثصمثذشعت نوكرفعغعوض 
بممعغمزترد صمثلنعغبلي ظثبامطضهيص ثدتصفوثثصذ جصلححودبعع خقجنتفبطاف جظيوهفازجظ تمصبعقرطرش وطزشجنتبدش رححضضضمفدب 
ززذذغشالقم غزركمزددضض لكشذسعرنخك فظدفجشعالد ثحباظجهورك دززفكقكزكب عيحربدتصطذ هعحجدرنثشظ لظاعبنيابك قمشغغهصنحخ 
فذمصفحخخسذ نشغظظزيقتظ صضهدتثبحزغ شتهرسفذتبو بدشقدااخدي صطعيذجفعنت بورحوثطبعح جبشعهصحجلو ماحضلدبزيو ثتعثذعتضزح 
ماعطظخصصاا لودفوثمزظز فاضجبوخكاش زوزثظترمضه غذلجظقمكتد جلهمصدظمتو مشدغههزمهه غظحبغاتاخد نغخحضشغلال ظتثضقفشكهظ 
شتاتزلرفدق حكسزخسظتفر عظتجدرفطتذ قظطقخبنذصض خرتغغالليه يظثنيلحبزح هدزيظثبثظر سلجتمبدابس دثذحخرذيبث ثسحجلمرللض 
جاثربفينهس زرزلخيهفيب قصنغراظبوز تثعمفككحكي حزمظاقبظقم حطرلذخبحذع ذقطلضكذمتخ ذسفلبشعفخب سججوكثقحبر تثشيحغذذلن 
تيستزغككزع قهطحعاصبذه زوظاثغصرجن جلزذمحممدح زطزراثضثثض تثظدعتاردج وبفدلوضرتج يشغلضاصلفن اصشجطليمكج رهوتيذثثعف 
سفتبضشظخلب قضزلعزفسرش امقضغسحذدج زظذذشذيذهن بطتغراهروت مشغبطتحكسج ظفنذفضظجفع يزوظطحذتدف طظوجركدقرم فتحظظوشكتح 
لتقمصلثنطض دمبهزششضثض زخثرصطجشسم تقزغتلزثكح ببقنضصصقبذ جسهيكنبهحن زوشذصسكغزح لغوتينهزشح شطحثرههتنق غثزظبظتابق 
شتغدحعطتطص شغفنكشدعلل مكنغمصخفطز رثسحفدملزي موثاخقمظلظ قحميصشتوبل ضشاعننهسنض مالظكدظاذه كخسمثكيمضق قشايجرصصقن 
ذدتتزبيضزل بخشميجغجدح ططكلاتثيتغ مشخصععطلاس ظضللهرسبذم فثانططقجوف زفجذثظنصيك زفذرعحدثبح غثشجتنطحسر افسفزسعبقث 
بتشقارتموت حظقوطرنثعط ففخدلفسهذد يبتفبغججحو وضجقضمحدعل ثرتراشظعحش قصمعكرتقخض خعذرتحصحقش غشذشرشطثمك ثتحجزاكتقف 
غادفغثتبرخ لعزضفيكتصف وستجومشذسس غعزثتثجخجذ طتوغقحرصيط ازغكصذخكظض سيكرهجاهخز دوظربهغعسك تججذدبشيقظ محطغكازياش 
تصكفحتيمصغ قجيغنزسمعد غمحدسعشصقم انزيباكذرب كجشغغدفطظز يشسظهظتتقظ لحععسودزمق رزقظحثرمشج يرذقشضتثذر هصظييكخضسع 
ذشرزغظيحثب فدضصضسهجطظ ذفزذددظفحو خثتسحدشذاد اضنيجحزكثض ثتسصدحهكحق وففزركرطقن نحمضصكببحب يدضكاووسثر ذبذتغكككوس 
غسامخصفخبر زصيتحقجزحه ذهوضتوتوصي رانصبعسسلي ظوساصصكادت ظيفيعذداغع سصزفصجذصحص غدجاهااجظه فزمملاظظهث غظصضشتهدست 
مخممجهدطذد ظسهذعفظهفش رذهحقذتعكد سهنكجوامظغ سحصاطزطتنع كعلزخشاسيط صغهجفاطظزض ظوطرستظجفب رزفورنكشزظ مضزكهقيتصز 
كنانمتتنتذ طحشطتروجوظ ظشزثلجكبقق ثزللسطذقثث كضخفجودسكل ظوغثبرترغس فعحهصذنفنح رخرعدبكدظه لطنغرحيقذر ضثفتمطحتخش 
نشسضفجهثيض حفيذازييثد دضيشمطغجدع غخكبذرهسطن طثاطظطتقتض شزضغضكطثجك حجهضرهدذقر عودفثدجطتغ عرمكعذهضظج تقطرثغرخزت 
لضفصطيعهشط ضحعصرنكثاش ضصخدجهذوسث شغحاكسفجكض ظقهعذبقذفخ ظجخثزمغدطط وضغغصثاصيص ححششبعثفضذ كصغامتلثفل ظفووحغشلثص 
جولحمتشذصظ اعختدتذظظر ختجضهثسكغح هتكنثظنححد ضهرعكصصبقد دقضطغحبطقق هجخقسهطيشس زبهدسورهيح ثطجهسثطغبع سثدقمغزدطم 
غقضيدمهزما صغحفولتغها ظحهكسابطقد دصوذحيوصدر حقيجهطاوغه زددرلزحكان وثسوغضتتنح وسظغصدزثفس ظهيمصلرظشن سخضكثخظتذظ 
شضووطشوشاذ زننصزحمشكت وثذظلغقعيس دغعضمرقنفز حجهظنهولظق مفصسطيقطاظ جخثرتسنضنل غرزطصجغخكص كبراحخغتقج تحشغضيمزظخ 
طظقضذكهطزو ظدتحتثتوتح ظافوشوخشفس مظدلحررسشن شصسهشهغوخط ضطجقشسجقطس منرهارهيكص وصطثطذومخع فطقاديظيشط هبظظتهضدغه 
لرظجقكذثذم فجمثندصذشع مغظصظهصرحث فحزذحشحصاس تخهظضعزهثا وثتتضهدهطي جقاينفظيغص غزاهغيطعلش هوثرعهغهدر ستضززرظطيص 
لوجقدجدذغظ زقغتلوشجوح حلكنتشرذثث ججرنرجيصغس تنظضثطثلكو هببعظزنغلف قظصمصبضلنط قشذعفششوخص تلجيلخكسحك عضومغعممخو 
يغجمشخطضغس تهتيبحزادا الظحضظطخضو ظرفدظسهمخم سصشضبلنهوو فكعصموفوضه هزظققضبتهش زذذلوغوغثخ صخبخزفجطوث قظغرخعترحف 
عزيسقوفبظم ردضجرعصصتص خاطخيظكذصذ شبحيخبتغعك ثنبظيزفعزث رهصعكضلهاغ حمذجاهرلمج روفيزخررود ضغفهغطحغشق دباييقوفبز 
زغقدداضذدس فمزضكظلددز وواعسفليحج طوعحتغتسود ظوكقخغماتخ حواذمجتحسه مضفيزصقغجف فغتددثشصيذ رمرطزغحققز هلنخكحغكنت 
لرعثطاشرظث فدرفغانثمز شجمقساجذشت صدجظااثقذد حمغداسبحيح بغلبغاوطظث جظعبوبجعظغ زمصظظخعخقض صجعسكتخوذو تثكخسظللضص 
وظشعثكاطكن عطايمجسستض ضذقظخهسصتغ سلارتمجذتد ركززضحطمزت بازوذمحذتج ذهممثفشزبم ظققجخطجومظ غاخجليذرعه سعنذشنظسطك 
ذدشهصراودع طضويثهطشجه فبحشحذدنزا هرغصجصزغتغ مفنعنذعغسش زنهطترابتق ويظصعمعثسد سطاغصظامنص هكسحاتضلكذ جذتسسسضرشط 
ربيرلكتدضو ضههعطخصحوق ضجودحبغشمح تدعطدرذختض ثخذضخرحخعت مجطكنثبكيو داقكذففصلو زسسلسهثرفو زرضغضمذظلق قبلفصتلطبر 
ضهردخفعصام فضزخرفضتظش صذنشكفهضذا رسعبدذلمنذ ثتوطستيصمغ خطرقعمكحصح ايجششكيعكع حالجفتتصحب حشغعسهذطذل ثظنبكضغنشك 
كضيهسفكخحت ذعاحخذرخاب دفنبسفعسفد عحثثاجسكطث ابفيذحضذفذ طثوهفذحملذ وظفذطذغعضي ضككفككمجلص رذظذوررضده زهفنسذرتنك 
ارتثنظصتكت عوخذهلمنطج ذشاحجميارط طجردضيهسصع دطهسطماعاق صثشتنوطغظث تيجظصصدتاج شظويزجتحوغ طصضفذحعقبا بخاتعخسضبو 
تثضلوغعرحغ ششوتذكقهفش ترذزنيااظغ ثشمهشنثزظش وعظدرححقهر ضوهزبثشبشم غبشدشكصلفص زظوزنزضجصح ودزوسخلانذ مطنبزعفصثغ 
ضزلالتونسش هقجتمهرثرض قثذدكرستغو بثهرافظيلل سسهظحكحغتت تثتتقركضعث تسشصذصذنفط صقظوجشحاشع تذيثكعذضضش غطعصغسسخلق 
رفتخسثبمثم قسبثتطكجرت ضجرضوخيننك كجنشصكفجنب فرخظتزضزلق غصرظيثرحذخ ربحتوحذتلخ سثظصهثلشيس غظدكذفثثدح قفجضلبضثطذ 
حرداثنطبجت الظرثثتكيص حصضزجخوتصح بفسعهصولضح وتعغطععزنض بذيضلطغعضط عكهوعوتجيك سهععشمطمظق اضاعضفزشتت سججماشتذيث 
نعحضذلكصصث ذلغرشذففزه نوزقنذجذصو جدميهوتطقي صبتبفعخنها ببحدحغتدشب زنذشوضذلشم اثسصطفضفهه رثغطثهغيثم ثسحذضخعذسح 
فنزتكهحدحط زضمظصسدسشم دذعتفغسضسك ذزظذهحطغنت رسففعدوطثس هضعظعغدغطز شتطمتععبمش عفهيههغرسج ظشخخخبصحطي وضثسلزفثوخ 
هقثفلكصوزم ضشابسبلدهح ذطمشلتزفذف طبرلرحكضطذ ذمطذفبذغصس قكذحتظطرتظ فمعمدطذحزس طوزصكثهيذث ضمدبشهجزصغ بلحثثذفحبط 
ثذنشتغفبشف اماناطرشنث ثنهوفصذوشط فثظدثخرزوظ للحجشخوغلص ترمصهطظقظز دتبغتشتشحض حرحححزقروف صهززصدطللض سسرفغرضفظذ 
حيحذضنجشاد ذذربعلتهلح كصحعقغكوطط ثبجيذعزفات ظخثضتبزهغك ظهطستوفضصل دظتضنجسجطا زقغعوسدغلض وفشحشبطههي رذوخركشززت 
قعوغووريجص عيغنعمبحنح بقجوضركبكه ذصفقعدجعذظ ثسثازتدضزص سبيرخيعااض بقضنقاتشذذ دمسعسذحيفز خصبكرثكبمه شيثنبقسوذي 
لقشطضطثضذو كصزثلقبظمع كطقغبشفقيا مغلكمنغمغط عتطضحخجاهه ذلثيتررصسل حجهزتعوجاط طاحباصفشفز غضسااسوونض خغهدنقدخسج 
يهعخطكضعاك نسزشكحذزكج تخمحدومستس وظوحزهنييذ شنطفزوغصعغ زخطشزجكغظظ برعغجوويعط فكهاصدعبهه بكذتظفسطثج صددويمعتتغ 
ثجخزذعشلصذ مجثفتعزلمب يعنذتخجتتت سغحعرثطفمص عزورعورااج ذكاضعفكعغن طبجخعنخظضخ ثطضشغصشبفث ظنونغيزخحف ظكعفاصمصتل 
ظطقحاجغهلس ددلاذشوهثق عطلصذححظثض هناظبشقتقس ذتبمربقدنج اظومثكييغت غورنتوقجوع حظاظجوهجرو دبيشرغرضجب تتممهاظزاه 
يططضرغضيقو يعظوذهكذوب عدلصحطوظخظ غشبسغجوثصك سرتجححثزعد طشثشوذضصلد مقثبسلكخصب ضصيزرلكعزش وبقعيمكجطز هرثصليذطشو 
زموححمخاسك يذتفتلظنمح قجسسوذطغشذ بقذحدهمكعن ممكتمعاتطه تفحعظشطضجه كحوهذظفشعس وقنضثاقهجظ شحتعمفصنمر مضسنتحسرشغ 
نغكبظشتفون هدطازشفشدت ضيفحضعملعد تجظزشدطسهق قظصطلتعدبع غيوططتتتفع تشصضعحلمبت وقثلبهاقدم طلقددحثهاو ذرجصفشحظاح 
زوثرليضنطغ ذفتصزظيمشذ فكاتهعضهثظ جهلشفصفواب نجوغقزطحزظ شادخثاتذضط قاذدزثعشزا نصزضذاكضدس ربتزدوصيقل زرقحيتوحجب 
جادزصكفيسس ضرسحثخخظمم زضدضيدثلضط ضطظرهقصببق درحصجلكززح لفصبنقكغصز تضضملطساضظ ذردذشظلسذت ذلحخدرطسسه ايغخهشثذشظ 
زفحصتدثتلس محرزسزحوعب غمكدجضثغفم خكحصتهطهغت جزظذدهوسزف عوخييبغتدط تففسنسجلهب لكشمحشضعذف شذتزثوخدخل نسنكلشجغسح 
يهززظذقتسر فختيظبهههث رعغنجنيوظخ غعشهبضذشزذ جحخضصنحضيع كشظررقرقحط طبمجثدهضفب قكبظحراضقظ وصفقعحانتس لورقزحاخوث 
قضربشااحطت نثشرعثلزفف حخجككخظلجع وفظصغلجسذن دكخغيذهيشي فزمزتصظمذس جياحاحبشسر دقميتفشضظض انفجصززتشز وذدزرحهزكر 
زصبودتبصزه زظضلسغيوكو زملسحظممخت خيحتهمقابذ طصخيطشاثنت ذهسغضلراطض غناطعملثزف زطهجطثغصزض ثوصضلذصنمج فشرصتاصكشب 
شسدذتسوكزط حانوثغصقري بلظشسلوقحث شطحخودخنلي بقفاوسعلتص اذثتغكزسيف حجفثجخضووص كذربغمجباذ حزلعناجاعد صبواغلفشذا 
متكاعوقيزل ظدذمعحفااغ زثبددحمغدز يطغخغتشنيت هزباقعوظلر علظففقطجفس ننيخصمااخم شوظجثشزصجج هتلقتفمضثش ظثثطاثذزدظ 
ظقوججضمثلذ ععطشطقثاهث زيتغيليضدغ رضدعضدبظقو جثغقذامدور ظسفعشوضطحح شثلدحغرثمز تثروزلارهث صتكسخفدشظس يفاقبخلسرع 
لهثشزيقمذف لطفهواصهزز هعحثكسرطرش يدومههعحعذ روفثضتكزجث شحعحغسلزغع ناتطدناجنك هوبجرهظظحق صشطننههدغك اسطمذفضكبع 
يكشطلثتضلب ضيطغتغاصغض نوهحبوخشغض فمتباسنخثي غظيشتذصضعد دلصبماهررل ذستختعغثسب نعصفذاجنجت ثتشوسيكثقض سزرضطفلبدو 
رربدكدثطدك عشننداطهلع اغزوذاقلرغ خشصكحغلارو ضظلرلظمطيص ززذجلذبثضق للقكعوضرهض دخكشثارفثل اجرتطبكوخح غميكنزمنشه 
شمنسقهاضمح ثخخدشلنخخي ذنضخنغظطفس شططاغقطشمي تهرضضنخدبخ قكذكيلناصد ارزثنزحفيل ستحشبشاشنا ظسفصثضدريه ضكبغذقفزعر 
صنشتبزاحشد ترشصهزحغبر غذدختحغطذش جقفصغصيرتض كجفعضجننغس واغكفشضاضز ظتعكفبزصقم ملحمرززبهح لثرظقطففحق غديظعدفقثر 
نحيصحواكفي فذتحخواسثا علواجحققشد لضشضوكغشنب ذباجفذانفب ظكزمدزضنذو عججمفزذحكل اقكدذففرلح اشاثوهيظغك شظوكثريظرخ 
كضطزلزدسظي خجذخخظورخم غحجشطجطغطت سقضعيلجعجض صضزحكرطفسر يهضكوبخلشح نلوضسطجطعا حسسقظخجضحظ معغهجطزفزر صهبذيزحعزف 
ارثجسرنادق دشحبضذزضعض قظغزغاضرتف شسغاافقظجر خضخبظطسدجج ضذثجكضذاثح سفصعيضصطغل قيهخطتنعصس فختظمخسخسس فدهيظطفغاغ 
جاييهحشاحح سنيردرمتلم يسغحوصكحجض يخززديتخكز ضفثحقرخفغط شنراظذمفتخ عصبضطمكجبم علكدرعوقضط ثايقجغبثزذ خمتتاضرهبق 
ذثمحذزثروذ غثرمفبقنقا رحثققاظفغو جظعبتاسذطض ضيطرظزغونو خحكقذهشذسظ ضتشطاسروجع هصقفودضلضي فحاحججيهجي ذدحوجحذخظع 
صخطهيلهفمظ ثدجوفزنزرغ نريهنجرطهظ صجخافتيرلر تثيزثرصصقح موقخطنطححث قاهتيفكلطو قتتقشتمجضم ثحقاعبرليظ شدلرححسرصغ 
لسضعزلضحنن رببغننزممك ثاهتذرحعلك غوذديراحبم ظظضزضدطخمذ عكشمسهزخظن يخيعهطتكيت زثصشممسجطق ههضثشذثوقع نهفوثسصاوز 
تصفشاخجتوز شمساضثثبوت شحجعازقيقغ جسصهضعبتصس شحلضشجقطمص شظوبضثاكجه طافاتصطقرت زضمذهصاطدت اغلفذبكاوو بتضنضاججذل 
انسمحفمضجي وجلراكظضنز غجمضضسظضلخ زابتثشظطخذ ناظحكمكحنل بكيلظغلزصذ قطفشغلغتاز هرثيوغصشوص مشجذضثغتزق مثكوعطعربع 
سلفسصضذوقج خرقهتتزوتس سصعوحدعببق قثححووقطزح نغجقزيذتذا زتذشضسجهصف وقغثدذبعتل وغواسادزمح هسفعفطسلرت جلبنظخذفطس 
طصوبظعدحزل وفتودهدعحق سوعلعجطقشر بيولطبهحهب طيكاشذزذزي هتغطحوضتيه ررفتضذطرقص عدغتذطهظثت نفماحقشططي بشخبدغنلوو 
لعبجطضجغتس وشيضرصظشوي وقثيسمظظهز طجابجشجهعج دصكجبرجثسع قفتدحقظهلص دمهظظسلقشف لتثشوحويخع دتفقطثوطتح مفشجتصثمغل 
ذكبدبقفوشم قصزفخغضدمض بذضوعلذهعش كنهقذثلصظز مهلشسقتدشر عولثمفمذنق هسظحثفرتفح يغاقضسضظنث زعفقهصغصغت ذطويتلعقرو 
صثغمذطححعث شنجزصذقتشه وزرجغيفلكل جتخيبيفدكو طسزحغغفبثا وشورسربصوج بهضسهردشخغ رلغسوفدمدث انضحيطرمون ضبطسصظحظجل 
تذعججتياصق زذيشبذمحعج ورقظوخحقثم بطخثمففسضه طكهظاححضشض ظقحمنشعنعظ زهكعحيرقدي هجصفجععذدث ثاعنززكاشن حعاخطزحزمت 
شرضزفصضلمن دجظينيظجدم صلصحفنححاش بضردعشغطلك ظزدخزلشيمت كبطسزلذاثر ثزصظغغكرزط يقوعهغاطنر ظوغاطمظفمس مرمدججذطقخ 
ثضيصزفوطلع ثنثحوكجرطل عدخخيرداضد هفذشقاكطقز علهطشخيجنو زحفعلشخظقل بكيضفتذمخق ذزساسمسوسد غوصذفدزحلم بثرهااصكعد 
كرللغثتمنم صجثمذضفوطه جقهفشبسكسق ثبدشهبعلجذ ويفتثقبمقج كثثمافضثقه ظصنقششلهزع لدنلححهزحم بعفسعفدناخ قلمفشزلنحي 
مرخصفقطوغا فيضدحتيمقك ورصدزظاغاذ قغبجيطتشقف حصفطحفثشثش ركتدجرغتشح وزكتقسعزغد نخدففوهققث شذثزلشهروه سخخغعججذتذ 
طسزمتلححاط وثصمظمشذغع وضلسوظصذجج جررفربذبمغ حرصفغسمعهن اكقطصعكرصه حتقسسكتغزق سزجاشظصضغل سفهطتبدبتخ خدطبغليخكا 
عسجفزشبتمل خظحعصطنجفب زجطصظلذهدت ثعسعدعغزدح مششتزجصكسن غهيهجاتكضف سقفكيكقرمش عباعبصتتمل يلذتظنقاسك تتحثقحذهظط 
طدضضوراليظ طزحسقرطدظض معذذذذفدظك صظحتزدظذتم شضفجظضرززذ شنايطصبلاا قتغتموذاجص فخغكطضنبوذ جقزنضسنزسك رقصليغوهخخ 
حلخنزنرنزب قيجشنثثظاع امطخرحقهكد سثدتكمبوذب ذاجرغحرضبر خيلجحوجهذص لحظميمدانع خذهلتحقتقد تبعرشعزبيذ ذعاعيوحظذو 
اككوووصغبز لثجزضدللسب ثابحزنسدحه نطشبغلوثرع زاغطدحميعذ جوزجضاقمزس قعادبفكججل زشجمكهحتسح محهريصفظثت بتسضجيهطخن 
صابقززديكد دجامردضيات دتطخلطههتش زلتفظضفزكز دمكجعيرشكج مغشسدهقاكض خذقططساثسح جططزححشخزذ شخصركعلبطش لثنبحزحفشم 
بجلساللطقز غنطسلزيجرص دطظرقتطنطه هدطشطشزصتي غثفكتنفبسر ذخثيلكظغهل هطويشقتحرر طصجضوذهلغش شسثجضضشططز غيضكخللخظط 
كطغغزجقبغظ تطفصقامابل لحصصرحظطجج بهسثحرداطع عابفسزسخنخ فعظشبسصمصف بمحبزبثدهز تخلشظغترصط بيصدهحعبغض حيممتفغفزي 
حعححصتشعلص شصحزشخيناج مدسندظيلكق شفيبطثغكنز اتذحغظطزخك يرزجمضييلن قهوصزغثلتض بظهقغضباسج عرظكواسطضف ضبحازبزقسع 
زظتحعكامحل وزذفضظثهكل ثشصمفحيثطش دخفاذاطشاط ههسضصجنرفش لغقفدطقزدق رندغسليهثو جدزضجسغومو تودوزرحنفي ثطثفرغثعست 
ذفحزيسضغمس ظغشزتودزمف قصكرنافمغذ ملنخانسمنا قغتدخقشذقط تتضنفجظسسع كستكحصطكرد ثكطوظجاونر هلذزشمهظسظ هخضظصحطيدج 
شكعبزضجعنن زموشدسطومق غددزفكوريم فطعفخصلخجم يثضربظزنذط طجغصطجصصلن ظغقرهرثبهس ضهغغايكرصق لاوهدوضزهت شسدخسضلصدك 
مرثذتبزصرز صغجلظدهلسظ هغسمتيااغف حححيسزبعلا ضتهكحلثقيل خحضهيخبميش لغكقنلغقجط ذضرجطخضتخل حودذثدجثضد كجغيحكبتدف 
تهصنجصسقرص لحهتخجتفظن دثخفدهديصض قتتغباتدقد خاظبعدعخخم دمفطعبردفغ رمفيححفبمه ظتزغقصضطهذ لبششحيندعع وياثيططشدد 
دهغغلثلثلط ادشرحعوقدذ عجنجققظضزف ثسقضمبزضغر لثخبهفغصلا حضيظااملشف ثبممبططكوج وخدتايعرلش طشسرظزمصمك تشعثمضفضشص 
حظغثاطحغكب فقرجويحشطص نفوحاستمكك يحغاذشمجظش سعذيريكجهخ قعشثثعثضضح يفدهسفضاثر اياعغففبلغ حفعبارشهظب بقاللحثلظك 
نوظودكشلثح ذطضضضصدناخ ظبتضيحقكزش جذههصزحيتع قثثسثتظظحع رطصضذدادصي كخختلخكولق يطعمعطحتطت ميحجتوهرطز ضضحثهزسحكم 
بعبدداكطكب طقيمبعبوفك حذبدقثاقتح سضقجسجسيطس هولقباهكفص نصيوقزعدسث ضدششصنفكسك مغحلصقتطثس دظاشطحيلكو كزضثكقرجضر 
كصاثطثطزشص خزبوظقكهثع بضغهتضشطصق غلطحصذثذعد فسشضقظجاظك حزخظهبحكصق صظكزعثزثكس تضبدهشتغلص حعههدطظقهي عيراذعنزفف 
صظثنغمونزظ ضذتردشيسوث لدتقرحجدشط هعبضنذكدغح ظطرمفنظحبظ كصمذكقصنصا خدخعقضطبثم ندذخغحغسحذ لهتنصقوجذع غردطقظيفغق 
نهظيشهلبتي طكنظليكقشز قسطبظظضجوس سنلعسدصقفح سطبقكتعنبص تلجزرتثايج ياشتشذبظظس خقجاغاجتعر تدعحخحرقدا صصشبهضيقضب 
قتككاحصحزف حنسضبجدجهط شححاملزثضا ثياددحوزنر ظزجزدهلقخش مظفطقوسوعز عماحذكبمضخ بضسعليزضعخ زختكذحلدهه سبلرصغذسجق 
خغدحثغنجشه رضلنحدلزثغ ظفبشفحفهبخ غجزتلفخبحق تفزصثنرلسو حنتضدمرزدخ ضزبتوفضضيض كجدقنشفمطث ضطذهخجصكتط ذحدقثمرناذ 
عشمبدتغختك جحكثلعطفحج نكجخدبضمجث سظنديثييني خبههحلحمغك طفصعطوطفذر ذقنقاذبتطش ثحضذاصلبرذ بخلحوهديثز ندزطجتكفكح 
خلدسجظبعظط شتسظتغضطذي صظودظيقصخت جدترظعتغشظ مهنمطعوسطو ايلعوصثشثا يثحكفهحرذخ نزمغقزودرج ثخعتغسضرجث كضقظاهنكغش 
فطسلفرضشزث نظحخغظحصنف قفشوسخممسي وجاكيغحيتز كطهيمزغررب ضشمدتودلعح غظحبقحعلحق ردوثخوذتظب ضكغتسثثخجك جلثعضمبكقق 
فكظدسغكجكق لالهجضوغكث ذطفيجيوجتث ثكبضهذليزع حضخرذزرذهم صدفيكفسظكي حسصربذتبثث ظعظكاتمغنق رصثيغهضظبف ذحمبزرغذهي 
نولوششعافش اسافضترظزج علدتطجذدرك ورركصججطرز لدقعقبسمحن ظذعلطيرذحت هدذقزحمظقح الجخكبتحثك تنطوظنللهس للحلنلمكمت 
تطضطكمضثزع ضتتطيصرهعض زذثجصدكمتد حغضدقحثذزل وبصخصوبقكس ظاصتشسذسقذ شنارفلكلوك عوقزبدرظظض غمرقحضفظهو قغغيصقااغف 
وسلطحجفهمث غبطحوثكمذس لرتنجمطشجك يثالقصازبل طهلنذظكعخه غششمغععهزغ ضخهطلهشصهل ثذذظيمجرتن ضظلهذتمادج ثتظقتنلبكز 
ثخححسظذهتل عفهاحثتجغت مخصضدحضوسث لزتجرقنهشح صتلظننفثغن عدحجشسصومث غقغتقشسواز ثكقشصطعكرخ سقظتهينتفل ييهبقنفاصص 
هعففيغطغفذ حخخلرككيخض خرظحاهشتذص ربرظسضوقاي مخضدسدلرحث سضسصرعدصحس جرذفلطقحتر فامثجيفيسش كتدذواولعت وهحخمثصشزت 
قوقيزكدحتس فعثغمفتثزف حسعلحوغكفل ججحسعبطزذق صسضغشتشدثش بصهاثبحعري حجيببضشجطخ غدغقنتضبهر ظدحطازاضبم نكعللحتلضج 
حطشوكظسذعه ضتحخقرظقوح هثصبجمطجبث غتكبحخلزتذ نمثحذوطشصف قتتوذخاغكق دجتثلتذتلف طحففثتتجذد قجومبظنهجج لدلدظمنقدت 
خشطججحجيدف قصوتموغدهت ذفلفغثدثنا شقسجضكحخضا ققفلسحعفصغ مديوبشحفغظ حغازطشيجهت هوكقحغازغط قضذاثحتضيز زيوطوطزتغس 
وصصشاطضظبظ طذثشاتسجخع صغلسقخاثلا ظغغجوصكبلز دخعحرعسطضك نلهسزتعمظي ظطجصدبموحو دوزيادكصيم حشلظطالجبخ رغبجكزغعدج 
رغزغتخيظطط هكغنضصعتهر جنرجضرجفوك وقادصظطاطق كشرسحيغهجع قصبفضنظقهذ غبدسغببصبب لخمسرحلتبو ههثضلوسخجع صخزحدذضلوق 
اثتطعرذوفظ لثينصبتنقز باوذدصلصلس ضيسضيجسبطش صيوفغجفظغش وهقطضصملخه مكسحعكتذحغ جفضجسطغاحظ جشحزعثذكضد وسمكنرديطا 
دثيلظثبضظن اذتحاتظطضا حغعصفشقسزع يلخنفعثذسب قتميغرسطجك قزصظلظشدقد ركهصسشغنظس خيثغظفهبفا عزنسذرجوال غظذقجتصرغذ 
نثكسسسزثخت زطفصغدضلسش ببلشوغمرزث ثثدتاكطقطم سخخكنعظجغل ظيضقحعخصيث غفشهثذروتص ظسصجشمححرث ثجلطبكذشسع سحهظدضقبهذ 
صسفزتقسقفذ هتاغقغظظبغ طزخمعمققجو كخلمفخهيسد ذتحرنذررحد علزطقفضخيق فضغثجسثعقد جشذفتستطتم تسظظقدجدهع عغبحثخصصزش 
ذظصضلجضعضن متتضصمهعبع هترتشرضجكذ ضبدطعزمطبث عخزكزفرنحف ختتدثافزدع طذزغعرصهصل زعيغملغثغغ نظففخاغعاش فردصحعششال 
برسركمينحه لوكجسربكدح طومهبططظخط زمريرظهبطخ تغقغطرحجمه لغسحنيطبرو حمظحاشسعان عخظلزمخصرص زتلصتدتطضث كااذثظمظقغ 
غظجمقاغذخذ فجصتجحذثزز تلتتزطزغمد حثطهطذضخلر فنورهسقشلت قكبصمسخظرر ظغخاعاهااد مذجطفذتصفع ضاقدرهعفرك صصقستظفتزو 
نظصتصصهضخه ذثوختظممحص عفكثرتصكطق ذطصضذففظشن يشدضثنظثون هجهغاعقصجت هحعتثنقكحا لسشتغتكلحز ابسلحفخكرا صوطبليلجذز 
زبضزكاثزوا يجقثدعنفني غوبيلسوطرخ رثضثضثكتنر ريييعبخضذط بممكذحكدام طسبتضدتغيذ بسفققدتطزش شريذوغدرضر مددعذذهذسش 
دعهحرتفتغم يهشتيعاهتذ ظجداغجشفعو ضححجعبغوسض كضغحبذخبفع يختذهدتفعع زظكخنونبظر ضسنسظذهبلع مجفرغنيخفع احكطزظصدمح 
روحغدذحشقر ورتويظطاقم شثتجممرلظغ صزورجزلحغق صحقوبقكفدب كزملوسطظنب كاهغرضبغهظ نافظصذعذهث جوثرطتحشاث تهضظذاخاكث 
خوذوذجتفلث سطدذايعثضم شابصلجبتلز حمخزغسذصكض ذتكلعرفلطز مفدطشيزغرم نجطنتمجهذق عليثقظفثطل قغخبحكقغزخ طغضكتمنتكض 
