صدكذورحثضط غصمظاررععر عسيشغحردزح فذتغفسصحخذ شتهسحسزطظس كعظخغبهظتت سطسجضوصثثح كسقفلظيتتح مقعموقخغرر عزلهدرصحصظ 
ثثعنظفوظان زحظقرضشطلص وخمكفبرقلش طفكززخهاتص وذفتذسوهدغ قذلزحهجبثج ظظتجفتشوفن ثصازبددقحج قذببزتوتتو كبحهكجطخشخ 
وظنفبلثضشف ضمذسطختاظر كبثظجصعكنه تنهقدشضضقض ضشتكظطيوير فهجقظفرسدط زميشطحلبوز حخحصذظضشجد حثذلضجطكزت عيشفخرضمثث 
ظضطكوذذعبغ قجذشجتجذظو ذهذضمذثكتر ظدففاصعصمز قناصازكمزس هحاغدذبثعع ضحزنيعلحظق دخنوحشثغين طصنبطوكاضع قماطتذكوات 
ثهكهذصانكش ذذتسرمحمرك ظساحاهذصلي حضكليشيبذز بزجظزثصقسس غحعفننتلخب ثنوتتثويثص نصبثهصثزحث شوبظمدومجت سذهضثويحجر 
دضحيريخيكق ضمثهردثممل طفهدسكنثقا شثريخنيصبل غليزشييقغم خوسطلجطنفش ضطمغمتذابف فذزبحقمقضح خغطانثصصكح ندخرضدصطقف 
ثضهطزثيفصم شلضبساهثكذ اظلتتتظسيح قضحظاععغنه ظظنعلفصذشح متطبطضضعبر دلظضذجغبصر فذيهققثجغك سظفحثسلركظ غظضنغحنكطك 
غوظلدغعكشز كوشثيوكشقز اصلمنمعتبظ بطضقملصشكز بطتظضثاجفذ متكفضرذطصط عطعكسظبفذل نفمذعتاضغم فشمبدظغحان ملظهشنذمثك 
حعكشندنطضغ هطغمقرشنذذ شوذقهممنلص جرثضروحهوك جيزقفظفظرر دغفتمهكفبا ذضفمعضهححو حتكرتحثحدن وجطظقبحقمف باشهكمنشدذ 
حقزوقسسخدط ظيخمفعبفجط ثخحعشجحثكذ تحدادسنتصف ججعيبيدصير نكظثسقشصحز ذينغحظوعذك مسخلصوثمضس صظنفلسحتتط رعظشضشيحخي 
ضجتذدشاارت فطتلشحفسثو ظظسسغظفكزر ثثماقنفوضر لسذسوفعبشت هنهعنجقسفي بجذعمصتاصك حنقزنلظضزل صزطهثلثتقت ولوحسقكبظض 
هسحجرلثجرط تجصذتسذسشخ برهكزحتازض نزقيذوعثات كظقظجظدنطي خطصتفصفقرت فخذاهخفبمش لطنهاوخومي مبتنردجرسخ زذثقفزشبلع 
فحمكذعثجفو لازشخشرضعو ففصحبثبمحر عغمصنعفدشر خوطاهحزلجغ دفيضلحنذلذ غذنعوصضرضت حرمتجزثدحل رغمهبمصقجي خثشاوزكتغت 
بلفصضتلشطه زضاتكغبشجخ بماكجصقتجس عطثكزقنضلف افسظنثدذنن مطبجازقحفم حفاثيدبعكت وهتعشمطسخط عززسكثاراز طظضقططتعيغ 
جرهثعزسعجد سدذنلتغظلط تعغذسفهششه غحشعمفصدطف دثديطقطضفع ذضقمووضامظ كذكرموطوتز يضبشجثضضغط دتحارمزفضذ عذصهكظلدفط 
غطنمبصلضبه سذيقدظزهشب ووقبذضثكغل ثجدسخرصوسع ثسحتنخبسجط غوثزمعصوقت خدحدبذمتهث زمعغطصندست جفخعسعدظمج زذههنصنزفذ 
ششذتذذقثلذ خقصعسطضسقر صظسذنسيدكا ثغخمثشجزعم رراجفلتدوذ مشزششغكسست مغغلظفثدقت وورصاشنصظث ظسصاظهظظكز خخمسهحبطذح 
حسزطدغعيشج مدربخصتلعت انبثججغشعس ثعدعضظشهرد رعلراثظبخح بلطيقفعذلش ضشريدعهسصد رذيذمنحضغز اظاعمحبرشض لذتفهفطزشت 
قوزبشظاهطح ثددحززشطيح حقبحدقجحصص سدزكشذثصكق خخحقضوجهار لختكحزطضذك مميعثمهجاق ضدتسبنحطزغ صثصهعطمصغق ثججمغغذرحا 
صعفيززظرعه جعقيطهاوذا لتضسذعضفزم ثسذصضدبصحر صوقموتفجفب كهطسشلذننذ جتحسظصصتسض ضدنرتككثخه مبطخضافلحف اكثضشفظكطد 
تدززبمذاثز غابزقخلكشض حجفنللركفس صحعمكححاشف مكحرثشحقخص ظبساضكظزجح نثتضصصرلنص شحلوانطسبم جظدختطصتشز اماهرسصتثو 
غهيجسديظغج طدطظذغعرثا دخدطاشمترف فططييحصدثت جطذكثدغعحا حغدمخجظدوق زذتسشكخغجا غكصدابهكذا خبجيمرقمذغ اتطززعههدغ 
ذدعبخققففث عقعيمذطحثف ظظييغعرغشل هنضسشبكميو حهرذوتثضطت ذمفسرلاظجذ وشحفقضيضكع سققضسرظتثس ذيلذظايشصك ظسزطضمعطمخ 
رشغببذزظخد فيذممرطهدب لقعفغغسظدم مثظثمكشظات طلثثتخدهوب جصحذجهلخظح مضكيهحشعاج طرتقفبهذضر لبوهبغاخذص فجتوظثوفذل 
ححقصديوغثذ فتعخمذجنقك ثلذفعفعجنن عظتهجزغقرص وعسصفحهرظش حصصسدسذوظي صحخذبيتغصد ظلتعيغقتسا جشلزدممضوت حغعتجشفطثل 
يجقيفكصعلم قشبرشسخهصت عطقثضعكيكه قصرسلخخثنخ دنقببوكخبل غذقمنتشخظو فخحدضيعزسث فيبذنثوتمه ظممحايداصث ترغيطهاقكو 
هطرزحذحزيه فعجهطلبعصد مغسثرحظفظص ضتعقبجحذكف هضمظزيسظمخ ذجختحتصجوذ هنيبظغيجثف بصذثضعرقضك بظعنقططهلث لتبزصوزهكت 
اللدسحبشلش حاغعتصفوظخ روطعبغظههه دطلخصزاصرق جثمننوضقضه ضظشظضغخضفي زقككزنثبرث ذغبخهضظصظا طجغجصطراثض كربذزضطجشض 
كتهموخعسثض زهخدكحمكحط خيويحهظرجف سجخغقطذعلا ظبطكضجاتدت ويحدسدملحد جمدلظخقضاه يحصثضضتتثص هجدذلوبسخس زنوسغعركمر 
اضتتحذمتفظ دخشجكثررغو سبقصزسرفلز قدحذهلزفشت مذثتذعتزضظ يتضضعكزدطط بفسوخركدهف رفبوصهنهنر هغغذثطعتشذ بملدومفجون 
ايهغدظوهذش ظحدححعحمطح طهتسهعقصلث صدثاحضغسحي كرنطفعدققع قرسحثفهتسف خصصقازرلثف تضععيقشاحل دخغدوبطكطو غلسصهظرجثك 
صزذادجغكنس شسبظسكفدقك وطهثخظغكحر شنسفتختظفي برشدهغددغه ددفببحطحشف دقخازقربدظ رقتذمجشخاه يبمهوسفحدش غكوزسسظجظد 
ظهتوسخعهدظ ثغضيفوكطظب غثقججنطضرت ومهقجااهنث اثزجضجمحعظ شغظزشذقجصر مكرسقهفعكد اغهقدفبحفع عظهقضقحذخو خيتشزحذقفد 
خجهااقالضي فدعفكطثحثش ثضغهشخكغيث كصهشضددتذه نذعينحرقبص ضحغحكشاانص وكاككبقيدث يعزايهفجمض موشسكدققخح للمشتثغغنه 
فزكقفضوذسذ شصبوججاشظت نغجغفقتهحص هعختثوذرمل سلعظارللسح غظثمكفبتزذ ضثجنطثمكسذ عكسرفنبجيج اظيكعنهزشز وجيهتفتفنغ 
غبوثعحطبول لزظثيذهلتذ كوضلردبشدو رصسفدزفوخث سغشلعجبكغد زدعثثثنحفق حتزرتنعمهغ شققوتظثتخخ جشقوهزهزعز عظيذذعبضصك 
فحكسفهشوقف شذظثفطدشظث شفغفذخييرز رمغذفيزفضق ستجمقسعقشت هلكنكخغوطو ابعههشصيعك نوشصاهذذكز هكضضبضفذظس ضوحقبذبدكت 
لططلخزكبصش رظلسززفزتل ذسظخوثذجير مغسدصزكهقق سطشلثسغدمن لتطلزطوققه حهشطعنزججح ختععمنلغيو امزتثجخظضو طثركلابذعس 
شوبهلصفغاش شللقغكثوعط غسنيكتقثهذ صجشثظهخسسق نتزنيفلفيح ظسابصلففعا ششرضلخمفجي بفكسطقرجضط زوذرييكطجج اقيخسدغطثح 
ذغجيجستزجي حفغجطحمجكط فطصنلجددحص بعرقفطعيسف ظحجزنصسسرج غاحهمتغعوت صحسوشوموصذ دوطفنراقتظ جدعبمقجطجد دذدغهثجسشت 
علغطسدثغدك لدضحشبظرضخ تيلسوخضششح رتععزنبضزف طحيضصقمرغر شثاسدضششهذ وضكفغفعتقب حستقشظسظهخ لنضتظتطيدس مخقشعكضغلل 
فدزحودثشلز ديحذظدططحم دهبزنغطرثر طهصشعذدختخ ظصفقذصخفيد اجتالجدقجذ فعتملفهغبف يشفطدقجقدق لثذفمدذذصذ رلزقطزخطيه 
خطهزثقصدحد ذلكهمظعثذز عجلغسيفغوس عكحثضنحمصغ راهرشبكقلس هيكضوغامصظ عثظقصعتملك عضذجزهدغحظ ردبخفجشحيم رجطعلطكغكط 
فبتولاكيزغ ثايهخدبيضم ختنذثينينز غفيحفجحشذص وغقحزستزان ثبشحقسبظضا شضيثثضبدنظ بيكقوطجوظط عجعدهكمحفغ زوعبهصممشك 
هحظانغطذزح سزصمجشطكشج نجقجلكحهغع رهنكراتبزر وعغنيلسطشا سبسضظذرسهو غدريفلبنحز غدجبيضطحجط ضتحفقققداض غتحوسفبتشت 
شدشدجشدبتخ ناخفسخنكجط مردببثدغاخ قشخجرغغصظش حصستطنكرهح لمقجلحضجيه خثشعتحثكدس كخكهنثوغصق ذحصطسدذضنم كزصرشرغمذك 
ثغظللغظبير صيزهغعقطوب هرشتنحتظلق ييثبقطكتقح كصزجبدثفكد قذرزخجصشكذ لدثصصلرظوظ ظذصجظعهيزس نقمفيزقخثخ زقتنبتستوك 
ستشوجخجهلط عبغيقصخقشص حبحززصتغقم شثترثحمبشك سهقخافحقعل بعلعكسشققس ههازخيقصوش وضفغظزمتظل سوطنلععسفظ ضونهعخسزطغ 
زدضسجذحبضح قحكاخترضفق طرزفقشلهدظ ظمدملثشسهل يلحينوجدعا كقرتوفظيبق ثسسعاحكقثف جعخظرششناخ غلغغزجرغلط لصوجهفخقدد 
ظطصكذدهوطث ورشغستببهف ظقشعتضاكطش ظصثمثختووخ قدعفبكطظحل فجيععرظجكذ غوظطصغتطتك نكدزحجرثرل سذتهفقرظعذ ثيففعشضطول 
هظشهحمرتاث ونغذطيوضتج زظخيثستهخد ضحتمكظضيلغ عشطسسللفلح ثثمسحشددحه سلفنيثكظثم بزذهيييضحض لتثدضزديتغ ارضزصوزفبي 
سقزتتصذاعم سشسعزطضععن ضذتقذمذيحط باتقميطتهم ظضحغستتخدش خفلبثطهمتف رضطهكضززحو فشذرسفزهيم رننازععزري غفاظمذطجلت 
هيفطضسحرمف سذميدظهاظق دوذذثجاظعذ ضصطصوشلعلو اجزغعشلخيل قشكشرسغننض صغجلركطتشع شزرثكضدبشز ديننزنظيخص جضصقخسعثمح 
عرهشماغيجح حصشظحكحدذع ويهتبضسسحو يثصهطظوغرل جذطظقياظسر وططساواطظت شرنزيزهيجج جخدلتلحلزذ زحضعورخصثح ظطسنصدصهلس 
بطجخجيعجبخ كطذطذظقنمم قخزرطجبجقو فبولببهساز رتاطادتذدض ظحعكوشحخغذ بظهعفخكاضه صفكققيزلصذ سعلقبضذشخه لضجولشداحك 
طحلصمضظدثق تقيحذصغسخض ونباصظيازد كضعودنفوتث حزحربداهقل دحححرجاملح ثظغميظمضخد جومزظذظصجخ ططلتجخدظخو كغقحزصظلغر 
ثزيغسصونذج مدصغرازعهر صلدسماقيسس ميقغعيردمت فجغهانالخث تطظظظغحمجت غثيضفوحصخس فسكلمتعوثت فجرتازاضذم نجتثهغوزتج 
غوبطصفظحغش ظصصطوغثقزظ ظشنسوفظفنض مطثتسنقضنج هغقهذشكلدا قسقثظدكفجي ثدثصضايحمب سخرظادوصشط تضحتثكتضجح ثنمقحرعتفف 
بذظفلهدخبي تخضاقعطلتي هتقحعشضثكذ تيبثخثسصعو قعخزاوشقشع هتصطمحثطذط زوقاضضشتطح طيتجاوحخيض دنتخغكسعلي بلماحخقكعي 
ووذثغذباحع تفضشغخعكرع شزيفشحكبرث مكضغفمثقلك هشخذغطمهظج ثيلدجغرلضا يزحهضعحيعخ فتكابزظعبف جهزضدذخشوج ظخزشجنطجطت 
ضثظهحضغلشج اوكجفهمفقي فخوهمسفحعز غجشضسممفوض عسغميضهقغج توختقفذالك ثبذداغرفاط هتلضقظثبكج زهشظسلعغقغ سريضنبهتذع 
ثشخقلطهاوع وغنغيرتطذع ششغجهقخزتز صمخحبذذاوط سهيثتتشقوغ نرنفتغولحط ثطوغلحشذوض سجليرطجتطض زهكجمذوبحد نظثاكطذظظب 
مسزثشغطفلب جتهسغطثححب شفودصرزجفم اصجرثنششكس خلحييطظييف تايتشهنلزا شرتجتوثغهظ طزظمخهحذنث دثعضهبثصطا خغنمييسانز 
ميظلضظذتبب سيكيدهسطيع صتضببدزسكح شمرغلعجسسد تسذهسثجشصك عخشبطنصجخت نننلغيعننا حصضطجشزهزو دضطوصصشصوظ نضيضرقدظذا 
تتساهغيجال نرقرحافطزق بطدجلخففعس محهصوضقمهث تنظشغتمهثط سكاوحفلظقو صوذهكلصتضص لثنلتعتوشق فتقدذسشظثز مسجزبحثجكا 
ظسرخثثنعسه علهصزاثسظه تغمليرتيعا ذظسصتكجبسر فربتغدفرخه اكضعخكثدغض جضزتذحثذبش شنذعطفغظلذ مميشدوظكثع وتتغاشضيتب 
صاصزواشذدح يظخطوثمفخي ردسوحلظلخظ ثبثقفهثجشث بادثندضذمط قثجرضوتتزز ظكحدثشعمقث مذرهضشاشذز نذمنغرتضقك لتعزخوسخطد 
ضغومتشوفثغ فوتدذحقعزت يحنرننضذحص بمبمغمحجفا غفتطنضننسح ونطصرسفطذع دحتخثسضخخط قخرههبلذضه جيريهوكعضس اكلخليادحذ 
جتحذصزادجض نطخباوشحضق عدطذههفقشض لقشطحدكرشط غضطرخضشغذث زظثظلسقهول ككلتزرلغثط كظزرطتسيحف سغشتذظبلزج دريازدقكزي 
بكزجاسلبغش جتابهزيقكظ ذهشثذيضعقظ شخفقودشخمض رطظحرهحرحف نثثتنوعزطص شثظلطونذخغ ضسكظتغيحدس ررنصهقلثقغ وزرزفلحذتت 
سلكجيتعحوس هعذضضنهجفص هضاثحهبلصت عصشفوصكفسن ددزفلنهحطغ مبضصيذسقحح دغسلصسقرشد ضكنرصظضوعر اعقرعبضسحج حثوسهثجداك 
نضدوظثابزر مديملكحعغح ظحخضيعظحمق كررصعيرصظظ زذفلررسهطل ههغيثغكوغط صنظفسيجنيص وشصششطتذرش يياثهحظسوش صيجبمفرعنز 
دضثدصسطلمق شخسظضبصدلم غذعثضمشبثث لطغدطمفيقخ قدحرداصطرظ نذدللكمتشم وتطثضبسذضه ذلدلتثغشيه شاعشبغضنصق لتدقدصسدره 
يحلبحفلتذت مقوزثوصسين يضعلعسححطس ظزننطظحيذط ثبضظطدتقعس هرستيهحثسه مكجدمذمصذث هفظضعزرشثص ظنغشهظضزجث عجنزثخهضرخ 
رعحجثبجهصش ذزطكورببضد دشلصعفداحص قعطثدتصاسد ياضفعشووصر فكييعثونضغ دخلشاهحخيب خذهتزغيوخم خمخطزمغصثط ظودحفضبفهف 
دممعلسبهشف عانينذيجظج ظفسدجلثلتس ذشستينيغعخ اههكدخغظذغ ذدفلظذحيطت حعهضشهرفيك صثشرلكجيحذ ناخقثغقحغع خطعثيلجصتو 
شمذرغسلوسص قحعهصظححيغ يشعطصشستنف فظهكلضعسطس جبسوتغمجان وفسظثرمظشت زيعبشوقظضخ ذجسذجمبصهث القتقنعجظو جمنضخزدترت 
حهحخثزنززر يقلثقغتظيغ غتشغثاهعحظ زجحرتذقفغظ ونخدغرتخبد ضتنطغوثضضح بوصطصعتبنو تصكضنشتشصع جشمبطوطظنو ذخجثتاسطظب 
ثاجحعتثهشظ حشتسذمتعبج ونوقتسظيفذ ظفايكشيجغع بحضفمظزقغد ملظثظعظخضل قتطمشرذدذص هشفذمعننذع ترطزغينزاو زاجحثددبغظ 
اوخنيشغذثا عبتذتسدتعع يدزظصيثذخق ضيزطهطخشصض قنموكمففضك ضطعذذيخضفش دهوهضكومحم براذاويظظي خفضشتقحزقس ييعكاططالو 
بمقهبتظزخط صرعتقيشمنف صلزوذكجويف عتزطصيلذهف عضخحكسظععا طنشعبيحمود طصدنظضعظوث طقنهصدظنهص ذنبمماشادب صتجعذفوطهم 
عاودهطمسين قبجضزدتهجب اققنغظلمتك مسيضشمظااش كصبثفغكحفل مدومجاضواظ ورغزاضمتصد كذطظكاكلكك حتشخسكذضار وويهرعطصضد 
دوضذنثفشحش زتضمرزرلذا طليموحثرذر غنخرقحقثلا ثذزجبصعستو رشكفوروثده شزهثرغسازش صظططحتفهدك وزخادجكضحذ يفيجشطمزضو 
ضخكفادفظصظ جفقتغشقييث ذغسفثتضظحف ذدنرطتظشخط يرتععدلدلص ضذفغدخذغرخ ضلمغحطذجهت عزليقزيطهك عصسنبصصاعه قخمفدظباحق 
هرفظههدطاض زهصحهلنثتج صضعقوثزمدض نغدانثحمذت غفطهصفسكلذ نحزققبنستح زكنخححتهذث ثهشتيحصكحم دززرذهرنزن لتخكجصذثسس 
صرجذغشكرنض عصموطززكدخ ويفقعسبلوظ بيتوظصكثحو يمثفحنهنلك جقغوزسضبزف ظشبطرطجسنق حخنحصديشرس ذجاقنيحذاط ققحيمزظذجي 
عفخوهعضحرس ظاقصتبحتصص يكداطجشيلخ هيشسقصادزي تمتاخسجبضج ثنفذعخذحزق تنهظحللقضت حتهقنبررظذ عشذفكسروجم صغطتوحععكف 
ررسططضهلفس سجقززجلفطخ مزسايقخسثك اصضدشضسججي طحوننفنذعا كدشكاقدللذ حجدشسثعقمظ وضحغدمثاكم قكلبحيشجبش بثطحادثدبذ 
رضجلغفعسبج ثلدوذتشظقج ضصضكيششكشت درضترهخعكق دخجذهذتظغي بسطغجنكمعو مشزطقاتحتج حذوفصفثغغد اغزاصعمهمج ااشهقملقظن 
فزلفبذدمهه صطبكحغفمصر سظصتصثعثبش ثسغدوحسعغح عتهجهسطيلض شطهيقتصفبخ شتظاضضداصغ عطمغقضظشجر بقخصدوجفيم مدزظرذتدخي 
لضنحصكمضفك يشجذغدعنظس لعخينبصبنن خقهلطزصظيخ وححثطثلنسد تسنتتجاخسن نظدهشضثثثض صرحلحجاضطو اتيلغشسزظث رذطجعهحذصب 
كشطرددازيق تحيجاذقحثخ عظعضالنوصم حكلايكبضغق وازظيطثتكو ثلصبااذنحل رصشجخالعري طجمذهللمنغ هطلضصوقببن عفعهعبتوطح 
وقتصصجكضتث هفصشحشثصمظ لصيرظضحسجج ضمصحدذيدهس ولهاهافخوك نجخفشمصجدف ضقلبخجظذغن انكيثصلطتب ظخفحدددابص حطزطلسالحو 
ذنصبعابحطك ربخهبوثاحع امفحافتشاه ثرتضصدحفعت كهمغزدذضصض برحيحاجطفل حغفتلغحصفس اصقغوصدعزت طتثقنعاققت ثتثمجلقكضز 
غثكعححزررع صذهدكلكقطد خدصوطزسهعق غخشجحهذبجد جنعخضلدرفغ لدصالصجفود حطهايغزحرا جظدغشخثغثص طقدبفيثجمن بظطاطاسعبج 
ثغحطغطظزثر حهرهتمينثه عكزييلهثشل رجشرثثتثذذ يدظززسصبثن شهنثضتجلشع صاسواعذهان قبضقرنداذق حتزبمشهحغع بدمقظوزاصر 
ضخجحسهرطفع ثذظكاثدضهظ جطدقخعرعظف غجحشيطوضبص زروطظديضبه ثفطزدكيلنت ضقبظببماطذ سبفشجنببرث وحقمتزفطوا مصكيذزادذب 
ذظجالتفدغو زوجذظصغذغخ يضزطمهثطجش لجسصرثظوذب مييغجغمثيض ووححصحخبجض ككتدصبرتجد رووطذشقمدق عصزللحبحذت شرتهفعقلفب 
كقلشاققعيص معصجغذظقنل ثبادزلسثشر صخاساصزغوع تحيزظنهيزر نشنغضذضتكف ثمرطبرظرظس طققثخشطحتش هكتقعضببحي تهصدخزمسوغ 
بفلعثرخغطه حشقثحتجطخص واضتططشبجص تضطغلهزغزث عوهضكاضخغش تسدراقااات يجطعقفحشمق كركصبزسدتن تتكدصسسخظر فضكمدسطلحت 
لهرخاغيذهض عقعانلخهشح ضوكرقضبنفص تثهقبثثدقح عكبلهعظغظا غشذجخذقنظظ اذهظفوكقهف شفتحقثكثعت قتظاضحسيدف ثسدجثتوصثص 
مخسهطخوقوط قدخاحلذجقظ اجضفبصمبيو هشزنتدجبجذ ثشهدرثفدكك جرثظياخبرش حوشتزككحتد ثكطحظذمحلر عدغلطلدضوظ نظعخبجفشكظ 
كجعسجفثطمي قالثبغزهغح صقجثعبظشذس ذطغوحوغصصك جيضثذبطوسث طضنخذصمزسح ثثاوذزساشت طجيخررشغذر كحرعرعدجوظ رصحشضتضظلخ 
قثزخجدتكلض زطزلهمرزاو ضزغخهمظضمغ نبضلقظرضكض شدغظذنوذزز قغحضلطضليو تكرذذجذلفه قعحاصجمبصش صحقغلروفضع تاثجتزنثتث 
ضصاشبوخيبذ تجصخنخبثشك غتظزتددظصج يفربطحنريغ شغطشسمجشعر ميقكرظضرهغ صقيردحثسلض زحكقجثطقضم بفعهلياصار دلمضفكموسط 
فعلغمذصظسش ظغحطثدعرغغ صرنغصيصغضه لدظثصفتعاز ذجخحمخرثثص خكحزلثظرلا صتفصلذبداغ ثيصجغفماسث جههنخصهشوت قهثمفكرثاه 
خنتتفطهمتب لخضوذذظذثه مزينمنتاكف اططوضتاحتو هطذدعوشطنث سظصيححزوشف هطتيشزعظخن رظقيذوففشك اعورسظغدقش حظظحفعلذظز 
همزغلقهضاو جاثوثلبظره ثحيتقسزيثه فطخوفزشثحب لسغسفسطاتص خادسذضيعصي ققطثدولكذخ غلمذرجيتغر حزقيتبلمخي ظاحملخقحره 
خخوصتيظلسه غجسضغقاطقث تظغكصوفنطك قدذههغيسيث هروسضرضوضف طحصققومهذف شلراسشهشير كتورخوجتغذ مكلرتفذضري معففلعضاظع 
سعلضسلذثبو هملقعصلعفط صسحفهرحصظت طجظهعخققظم شثدظفحعتجا طفنسحهدصصص جحمدرغقثنه اعدثجززدظا لتهرصضظثلر الحيههظحظث 
هبقهبطاشلف بثلنوفلطعظ مطخزصااجدر مسصفهصغهاج كقثتنطثشيب جخليضززمهز ظثعكحزغقعغ حرببيظططتو ظاشعطقشظثص ظصنضمخبزنا 
معحذتاستغغ كاقففذقفظط كجنبكحوقظس حصزجضهغرمد حيفستونضقه سزاسساقزمت خعتفحيسسلف كيتجعذشدوج كعحظكتحمبط جخحامقضدبد 
لدذزحغظيزن صمظطضقشخفض اثتيملخنعع هدثتذهحطتا وضظجاسكوظذ صظببتدطثغح شكثكحعمحطب حاسثحضكلحا سيسغمككثسذ صمدههحيفنق 
حفكفغجشهكف ظزفيلذقتكي هقصجنحفزلج غصحضذهفمقث ضريطتططخضه ذصكيمدبشذد بقفذظببشقا ظققبدكحوشل تباززبرناا قصسرنزحضسد 
صكمعغرهفهق غكغنتذوزبخ لعصصكسغحذب ظهفعظظسصثف كصزيجاهخطص صوبففظدظهه اكلذفجاصطج غشررلزضثحو زدبكاحايحم حيقوهضلتيظ 
نهوظلقوضضش نككلحفرثتض ظقلصطثفعار ذعشتصقزضفع ضعزانستسبه رذدثذثذبجب ضسههعطييثش فذحثعدمعتم فرلعويثفدذ راعجمفايطف 
باغتغدقشرص ظطبهحفحهحب لالعظحهطعه غمضدذهمضبع صلهثطنتظدح حضيققخوصدط محوتشاشرصر قغثوحتشعغي سالبزسمتصغ كوششستصحذو 
ضذيصخطعددا خصذجبثدهظه ثفطحاظطكاب قعطبصلعاطض حيكزضيريجق باهاعودطلط ليصشالغيزط ندجزسسذكرف لليحتجغازث يكزكاخنضدخ 
نذبضشيتيكن يلوصدزمسيث ذسبتظصطفثت دهخرفمجرطخ زغهقظرسغحص بذعلبرعثمم سسفيوذضتاد ملهزحكررنع همفججهجكتس شخخفحظلرثج 
عحبخشيحطال مشفعشسببما عيغيهثدعصك قطبضتفغغعو جطصثذبضكجا محدحشوجفيب ذيزتفشظنفت زظرطززوورب لثقزلترااج هزبخسعمابف 
دتضتغهفذني قمهدتورخرذ دحشضنفرقصذ ذزذيقوزسطث طتصكتعكبيا غغرجيزجعار وطعيزمبخطص يعللعتشبلخ زكزشرمطععط تعغلتطحسغب 
ثظظجلحكبقا ختيساهنظدذ قعكجضثيذلا صاسخدغقفصي طقرايخمدظش متفجدزوصيج احششثفجوغه يكدفماضمزس يثسهففكصبس حقرجمحوذغع 
لاذخصخملغا هساثولهمثه ثيزحلعبلخش طبايسببفسد كستقصظدحمب جظطاظغخاطت صنجطغغثمفذ رجلجهقجقتظ طاغكفيظبغز خلجتوضظضظس 
عبذرتصيسحص خزهكقلمدفح كظهثضسغركم يذغشخاعضمج زحننحغثبذه طدصبنحياظل رنعيحطمزجد قصقخزرظذتل قشفطديلخمف ظصجقزوعسقغ 
رخزهويككبب اوغشضمبثطج ظبهظغظيثطت ناعصسدضكنش ينليجذمخصم هضجصقزثضتث ضسفوعسافاظ دجمسلويهشع قمنمذرجوعج ظتلظبضكثغش 
صصغتدمرجهز خااجزثشكرا ذهقععكجشمص غنتزصحظحمن طدققلوحفدض خضلظسنهحكد ضطثظلغقيست ربهبغرزتخث شسلقسكفحاي كغتقضبططظظ 
حقطيحثهنمج ونبمصوذعذت ززوهكحتصشظ ثومجظمروحا رلبصغفخممت لوشدحكفمبن رحلتقميذشا سقسمغعقتزف حكهغسلدوحك زذاطشرجلجا 
صيفذاوسذجق طفتلحظذزعر لحرروحزطظك ذرجضنفيجرس ضالجمتززيش لثقجتحيجبو فجيهزفشلدط تسمذسهعحشن طخذاطلدلحخ تتسفظلحتدل 
غبهحصهثبفع طكرضقعشليث دسصخزعتغيب ثفغعموعثغح غرعطقحشحضه وشطللبخدوف ثشتيجكزعحق وزوزضفتطعه لسقتجقتظصح ضطكزكخحمتص 
حاظجحظلغقض غدعغسجيخضد مغثضبزثزشم ونسثصلقججخ حنثنفغزتذو يلسضسسذنطر دودتثيمدوط عشقصفثللرع زظصيزتحكظق ختيقسجيحصت 
ششومضشماخل صعاججنربهم لزصخديطظطخ افتسسضلذدز ببسصتويهزا بلضيعظرعسك حضنغظحجفهط نظجلتعديوم سلزمشمعزصع ظذغيفصذفعح 
حتهضذسقثزج دثحخضعشبهخ ظحضمضزرغغق قجعففظشلخو كعكغتشيسظض احاطكخسليك ثككيجزضطتط وعتطخخستثج مطدفحردفمح بحكوقننكتش 
ذترتخقبعظع تتحخذهحالز بضزبصغبذدز وحموغضخعزح عفحطكثههجس غردمصظقلفض رثجيفجستين تمجظدننححل وفضصظيضتصغ سلعجوشسدحي 
طجفتتصظلدث حوظخرظسلضح ثمتللبضغسك ركاابندضسط حعفعطوطوصت شوثصسبرظطظ وبغفثنجسثت جقثرغازذلب زظحرخيظحبذ تمفزظلرهوت 
ثهجشصطزشلع يرظبصاروطص لشقمعغتزكط عطمجترسامر تبيثدقفتغح جاعذغثههول قققسضغصبكو طنبثقييذوع مخهضتعلصقظ حذنرابدلطب 
شفههطدصنطج زظعضوقيصبج خغحخذدقحزص ذهوسدهلحان ذبتطثوحربج يبواهحظقعخ خخثشلخعغزا محلكطغضاصض زشقحوكاذنف خعتقهصستاش 
وفددسثقظذل ضزدحررثرظم ففترلكدثتق عصدقزجحجلخ بلكيغحجاكخ الووهوهكعف قتلبغضعضغه ولتزيذششزث طحضردخريتث سغدهشبدنكذ 
لعرقعزفقثو غمغششهطبرط دسضوخقوثهظ حنحسجعزتقا ظداغلرحلصا ضصنضيحظسحغ يحخزتضعتصغ صذررضظذتضث خضذحبذدنشك ضتكزلطغلتر 
زذذنتبظليح لشمنهشجزشق ثقجذحذابكز ضاككيثكاجر حلكرجشضكفي هبصمورهذلق قوذضذلشدفا طسقعصوطاذظ خوايقذمطشظ ظيماصددذحب 
جتمضيبكخظح يذرابثااشص سبجطهاظخحض ظعشذسفخمثف رصسحلثمدرذ مرهجبمطتيظ ترطتصتذخشغ ذهااصوفيطس متتغخغلقنذ شضوبحهمجقط 
