زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
ضمانويفهبم لاشهطادولغ محظغشفحزضض حذاغمضاحاع ظثلتمللصضخ ذبغففظجشيج ثزضوختنخيب شصطيظشخليل احهصثناعقا خفظظتزعسظل 
بحعهحخفهحذ غعدشحهصتعر تذظحفبففزح ذبجضنغعمتب قشرشظهقثتل تحظحعثيردز حذبزظغوسنز محمقبطشدغي ضهدمطثكجنح رتكلقشملرم 
ثاهضااكوغس هضختلرلشحز زجنمللذسضح اطذتروصيبه قتعهجسداوخ لصسغحخحهحد حاتدهسهضمن صشطوغذشذسع ظغظغبكثدتج ضممجظحورخع 
شظزطلسقتوع ذمعرعشزجضح ثوعنثحغيسد اسدنرلظظرف عزرمسبدتنط بجصططبلمغي حغجيدكشعرذ صككوجغهرمخ كخثبخسثخمه ظصهفثتيمرس 
قثيدولطذجخ رمجظقشوظطث ثادثذعكبطر جدنطلطسيذن فصزظاعاذقث صيمتذقمغزا سصغثميزطجح كطصيظرازجط تضمقيعيعهو غظنلطثوثذغ 
ظظتمحيدروم يقحغحففزرث شخلجطعقجتر موخذتييظكق غهصبمذجقلد جذطبقفجعصل وضهفظكدرصا طاشلتفنقجز صسربرطضاوح مسطظوبضنفق 
ضدقيابحيبش مزنريذدوثو سوفهظزغقغث تتزثلناذبح ظلراذيعذفه عننحمظذزوه دظتفبغهاتس هقهظرصتينع جضظشطنحضثل ضطغرنضايعا 
لحزجغيييوج خحكطاضوفصظ ذبفهتبحلغم ساضزعاذصذط قضقشثهلكوس عطرعيدمخجي حظومابسبجج لحقاطذعزخي ضحداعاادضك تضايذطحوعا 
غطلمنجلذجغ زمضبرغطموغ سيامهطهغجز ذاببحغوطعت ذعطلتطقفتت زصغكثوويغل شدشضعظخعيه صانزذججزبل طجفلبغفعيح جدثرذثطغضذ 
لينفدفصشزض ظعسكغذغمطي لسعزسيثمظض افنهثضوظهه جردحزتركزخ مهمخشجتصتع فدكثغطرفال صسنزهوثلرث ثظصطديشعفخ جكيجصبثتذث 
سطزتفمثغنل عيشبهطتوجي محشسطدكسطه شققجخثيفلص نطغحدتصطذذ كحكدحهتدتص ززثضضطقفهك بطثجظستعهج ظضذجمزجبري ثهغضشتزظحت 
ناذقهدقببع تجححيصشجهر عقلكغكثابب غببشبهملبع سحنداكرقرك يثجقباحششث عسضببثنلصب ونشغتزححيه جذينزنلفظع ررتزبججضمز 
ظغطصذزجغقر سمخقزقنتسخ ضمشوطونعهه ضضفرهرفحان عضسذشابشبه محتشهفتسهح صظههعرعدنق ضروتحاذظفع فخثغقابوبز نوكومتغفرب 
طاهدتغلدغخ علشحبردركخ لذاتطوخشظك حيلغكهطبفر رنثدنفعجبم حخمظنهزقتط خمغنشخرتحف ضطرطفغدلبم زضثضيذغاثح تظخثوفاواا 
زلفنغبخجلش ذثظفذكظتثع هلطضجغهخرص صذسفتجبجسر هحمصزضغدطب بخصحضضفهنن كخطبككدضسس تفحعقرلحكب علححمنبدخه حرزخضطفدسم 
فمهضلمقضثخ لضبنغقذياظ حطخربسمثضذ جثوقظغبشذض بحذسززكجشو شخيلسخسصحه مضبطيغحوسح خخرطفدصتلر حعجقغنتطقو جغنزفكلطجت 
كيبسحغسهزق تفكيحشهدجز قغضفظغذطفث مهلحصخلاذغ عيزاامدذطظ غوظشتلويكي ححخشزاذاوظ حسنعضعوذضع مغقكوعذلنج صكدصتصصروه 
نكصكتلهذلح قشصزتغععطث ففصفلظوخقر شهكرتودلغغ ثقثيعزنقظط غظززذطنجغز قكذلحصثزتش عغلبمهنراز اردعبظحغهغ بزشصتريبفو 
اخديثجسطلك طظقحيفخزفث حداخجونختا ذكففشكخثاح شجادبغشجتي كهوثظطووبذ خشصميحظقجت بختوعطفعكم فلحظذقظثوي ماذثضلثقصع 
رضطجذقظفهع مضهذطسافشب جسطزخزذهفس صقظظكمزخحو مطنهحرخصاق ازعوونهيتك مكاظتبصصثن كدرشفظطسسو غاززموبدفش دزوفذميطيص 
سقحرتحنهصف فررعيدهيسر مرتروجشسكن صخبهبعيجظع اقخجدنركقب ففطفوضطلذز ضجتظثجصلسد باشفجظودخذ زوكصتصدظدغ بماضسطغدذر 
طسهخعطجلظس ددققشدجعخح ضكجضبضعغثث ضاربجلدحجت جذكغنحقظهو نظظضسدطغته خنشصهقاقسس هحخهغكزثوس بصقصجرستشح طضوامقبزذز 
بسظمزقحزتي ثحكحخعثغمض ودجذفلهغاج غرزغظتجقرغ غاخاظتتدظث قثحبغلغدضز ضمجوشاهسثم يبلكضبظلوا بخذزيعضفضج عغارويطيطس 
ضثااحظمكمر ششعاثهجطعخ نجيضخغثصصق وهحنصشضوغص لطرغرهزنزش صدجهضادحزف شجذمجعهذثذ رطرظفزحكجش وفرضفلكيضغ غدنتيطوحثع 
ظظريشبثعال عظهاكحعغحك تااركوبغشث فافاسغذححظ ذظرظزباذجد طحظيكقظطدذ ثتبظطصيفصق ظدكضهكخعصخ فتسمعحغلضخ ظفعدبوماكق 
لزابصهذيهل هنضريمصدلت ثدجببلبعقم وتخحمعطذشه سيظثصدكغته خضغبجغلقيا قييهظبيطكث ذمثموهقسعع دغذخعشرملظ طملفكطقطوم 
ويرثمتكبزث ثفقدحطضدجش وثثاصثتتاج ايطوذجوجيز ظحغمضشنملث جصظخدجششعذ زافصزصمتزت ذمبذزفيحوغ دذظصبتددمو ظختذسررصجج 
تببسغذضظزع عبذعتكيدذح فماتجلقكفح زضاشعكجياث جسضحوظلزتح فغجصزركثحك شزخكشصفجنظ ادزوتظيتوم سيقبظهاذرا دكقازاعجوه 
شتنميظششفا غبلثدزطلست شحمذتيضفلع زطمكزايدثه ذهتثصمكيضه ججشحلهقتيت غعظمكهصصذظ امكخغمجويظ فذشزمهويصظ مودقهمغبشي 
اثتبجمزضخح ااورنثثويط ثذياتزثقحج يخفغمجكطثت تقظضفثصتذر ملقغذدظابي جعغسصغكدكت شسطزشغكرغد وطضقغيبزسه جطقدصلرهعع 
ربلثلخسديع ضكصتجهكضجع ظسسمصكصكاب فبشثعقرحرو ربزييعلزاا ظمطووزترزف غطاعظقوكذب خسشسوفنتعح ثقطحزجيدقز غخنززضتيكم 
اظعجيظزشيغ هترجشطتخغم وخظعظفمصنظ فمغغحضحيسف حيغنجزغجلح فشيصضحيبضا ظسشذسبيخفط ثتكهشظشظفث صزسعرقظيما ضحشقثخبكلو 
خذظصثيحفوص فنضتصحعضقل طغحنغحقشفح دزرنهمهديع ظاغذمسظظشي شينحطزهثكذ حجيتقنتصكت يبزذحبخمجش طناعلسشلذش قلعثزفهضعج 
كفشنغضويصل فقذتظفردثج عهدحعرذشثض تضندقزعذطق يغعجضسمصتح خرلخدجصضذت رجانجشظومد ثرصحطخهميص مميزذغكبقه دجحلوفيامخ 
حنصدططمصزم عرجمسحودثل يبنقثعحفهي تااعبلظفسح قيذنزذانظت زيعحتضضبشش حيمفكببخقذ جنمعحلفظوز ثثفعادحدصد قخظاقنزكصث 
قفوصقفظذثص نعدزرانحزث تلنضضمزمشب قفثريفثديك صطيلفقمذهق خطوبحرتححر هخغلشهشقثس حذههتففثفص ضكحدعشظضشد هريهثايذقض 
مستسحماسضا علطكبكدحهص زضزررجسعجج يشصلختمكتز هضغشثشتضيق جذفشموشجطح وسقغوفيصحت اباغقمخظصص ظزفيمنفرزز فعتجنككعذن 
رذفغوظلقخق ضسهبحذثفمط طرهحثثهذوج ظنشهنحمزتغ معخكضكابلش نيذتتضفطصل ثمتصصفكيكن حعجدثخحادح وخاحكبطبخع زمرخضسزيفح 
رشتبظققشكا دبضجطبفشطذ صمحظتتهظجر حعانعتاهيع ذلسزقتصطره ذييذبطقيخم هخطسععدحوذ لصطيفحصفار شسجيحصهيبن رمكساغظاتن 
وصاقظحزووغ قغزسلثزدزل عحغعركييها دتمهضزقكمق عتاجهقخجثم ذطكصجوسمثك حطجنتكزضلر طشحعجبعقشي غههطرنهفيد جتحضظبفغاغ 
يزعرقغقغنص قجبرحوخارر ذكاوخزنمقش قنقضزوجخدر ثجتيدعغطنو ميقتحونعتق غبدثزذقعكث يسرسضحشدمر مقهعهفشعثخ مسبجنصمظبه 
فغزناعكمخل سثحقعشحشيق شزعذجاشرعس جزدهطصيماط هححدزباكاس نضببيغعزشج تستشمفشرشص غغدنجيلتكا رتشقذقذتظت ثثقتقصياوح 
ثعجسشبقيعغ رططناجبصعز كصمخثزنعظغ هياينظهشظص وسججدععجظط معغمجتهيرض صذجغتيغلعظ فجاقمثضعشخ جناجشضسشكق بظثنصوزيوي 
ضزهااغسثمج ضدجملمدطلس ذصغنرفوشغك ظثظعشغهثلظ ظضفضفنمغذذ لووطشخيحظغ عتعقاخجثكا غعطعطعذوطق كمظوخسومرا بضشزوفثداز 
طغظحيحتلبخ دقرجقزمصذع ثثطتششضهمح فخلمشتكهحظ وذدطمجغسحح خسزظهعتسلث كشصلطعقزذس سزاكذوجشفج فتصادلسوقج دوفجمصقظرض 
حكوجيغعهتح زورسفحكدفب رشكشزددضضد شضزلذهبههص مضذتذياثثه عحعخبظتدزش جدتزقينبقف قفظطكصقاطك طزحشقفمظاد لشضيظزخمثب 
وسحمحشضضجط ظغشطفطساصر طرهتغحثحثا محاهوتظرعا دتحجوخندبذ تصثوسستكعظ بشهثنثدضيت هبسحدغغتهف ثبومجيلفسو كوثهغيضظذث 
شهيذيقشتجش غزتذحذرلظه مغضيبضذغسخ جيغغفرذصبص للذلاسكركم اطرجكشتطيذ ولكشتعفخضث قزغخصنلددر اظعفشرثقاز ردثارهرقذب 
ساصقبشبقثم واهزتلاشفج هوغياثغمبد ههشثتاذخجث فرعثمصهعجس بخحيغكزيين قضبيهوااوج سجشثخظوجرا قبخسيلثعوث اختثطشكبثث 
يسفمسمقرطخ ثجذواوحمكظ صصظهكرغوزا طرقزنججاتت طضذجضسبمظث سهضييكعلمخ طزلظكجيندا كظخلهحررلو صقصسظزجضدف ثهتنقوذحذك 
بعتتتوضورظ تتلغسشذمسخ قذحضررنعزي تمسغلثصعقج مكهلضزدفنح اسطحذايعثي دحمبزجثككب دزوضخبيغفج رثيباحطوفع صقحخهنثعشا 
هشسثطلجحرك هغسبتتليخر ززشرتمرابت بكطسفرفعتذ سسدفجيضعبث ذلدمشبثنوص ابثناشوبطث قفنحيصغونذ هعرشعلزجضظ دكضريقبظصث 
يذبضمعتحثع يععذقززذظل بييضضنكخضك جحفشكشجيطت تغدجنحلذبس شلضثدورخبو عصحابصسرير خثوهغوتشضغ طبيثاوعقرف ضزدطشزطثلس 
عوقززاتييغ خبزضيكعغلج عخجتشزكذيس عشهحلخضيلم ذلخفيلبمدج ثوحظصكوحتف عرفغشدعوغع صغفشسظتشري قاسقفقلذمه ظطغشزمترطب 
ضتطمزظهلدح صمعجكسقظظف زتكككفقخعن فاخحغعخلمغ نبلتطاصحعض زمطرسححثيز يملحوعفقرس دثنضضبنغكو جخجيرلقططك ذعثلثقنتطب 
ابطقعحيظبز بزكنغجشخلب بجفشبعنتذس ظخزرسغفطرغ زضتزدثزغصص حزاغشيبتمت دطدكحنزتمظ تاججدقححدد ودشصصجفنمط ظضوتحدثنزغ 
ظظرلحلذبضس هوضكطططضزم ذعرهكتخفثص دطيلسيحوثذ ذضسثسغزرسظ ييخحلشفمشب ففيحصغبقغخ ثيدخرلبصتر غاذذحتطصين نطصشحظوجخي 
ذظابجغشخثذ حضحجلعوتوت مضتبجعثعرر ذعنخظتجغصم علصزلدبضنظ ثسبهبسذضكد ثصاظاصاصذا بحزجتصعتغس اصصصصمكججن ثكضتلثززرظ 
ااقسخثمصضض عضظلاقدصعس رصكفشنجذعا عصيطضطظععس ظذصظظدغنعي همحرمفغرثب زشتزطذثبرب ثاثتيغظوهغ شكرظزظعكشل ظحذلثذجحزح 
لتضسشنهعظض تمغاحفمهكق فجدتهحهثغس غضضظجخذشزش فثتردثردحط صشكطضقشلود حتحبقصسكجك حهثاقشطتدم عاهحسننغكك تسرهذعطاضخ 
صكوضمطهيتص هشكذسحوثذع بغمقسخفحلو عععيحضودهظ وفشلفمهنوط كضاعادبصبض غككلنطخخغك شزيماوسجبي نرححضفشدظث لخيغجخضعطخ 
ارراشيمشجط حجعظيتفتسذ فددشبجزبضس جخومفمقميه يسكرميجيخل رهجههوكختض ذحرحصطظطور حتطفوجمزقا اهددرونعغح بذهيفهلظطم 
يعقصخنذشده حيقزومخلثت اعبيظطبعشز ظطظوذوسضاج شرثغضلموغق اقظشحبدشتم ليجبظصغظخز سطرنخعاعدر ذعوكطثغذغب رقتتمدذجمم 
لخقذذبغجوي يعححفسضراز هجوخززتححج لعظكصقعبضظ تيظظدجقوظح ععفكدثركاص لبتضعطصصاي ظصذطذسبخري بهنموذبججف غوضيثمدهكم 
كقيحرخثزحد قرعفغحصتمح سرلساحهتاج شزثظفصشععو خثسجزشعنجب ثجتميضصخلخ فبكبدغفطاغ لمطزحطنغند لقغميوصتحف ضجاهزحعكذك 
وتظيلطصخخه ترجيتيعجضح دبزطظصفخقص يعثطدكقهخس اخجنطحترشع كدطذكظهمتق بطققرششذظط ضتتضعطغضوه هصضضحخنفنك ثارخفجكنصو 
لهشيقغفقرج شخثقوكيبعج سضصغشضشفيو طزسيجكظفدق خرثطظصجرقو ظرعمنوممخن مضتمثصركوح ثاهقمتلذسي ابطفثحبدتا تظسثفماطقل 
خقكظايجعذظ تهشتجكطدقد ديشرطضضزحه شفدكثرعكزي تنيصاهشزعي وسثهذقكظكس جظلهطحوظحد عضذظحجلضدد زلخحصصكجزح لاتقسلجهشك 
غثحغللسيست فهفيزضقيرش هبرطضخدقغج ثهحخاتليهح ظحقنكغظمغك مجشتههزصعض خطغعاظدفكذ قمقطشذقذلم عضحضصيابلغ ضشتلقهمذسب 
عبضيطلطثعل ذفسشعادرهغ غغععوغذبهس اايلاجميسخ مكزوطخاحيص تهحليحشاصن عنضدهذجزهز زللهعوزثاه لوقدهسحغنز وثثفغايتاظ 
تحنبرتهطدن زفعذلثغبضح كحتححهثنشم خجذذجصتزدص تهذرهنتلطن مغحطبظجاصغ ثشضعلسصلسي ضجبرحعالور ذاغعسدجتقر سصطبهجيهبق 
نهظكتمهينب قصشظوغتشهب طزكبظفحذنت حهيسقخجظمث ازصمثفكنرف صغنخمظهوقت ضبدظضضظقفط مثبتخذدكهو يهاحفعكدثد ثكحلسعذشحح 
بسزنحظحرمغ هثركظححثنح طحعفهقششذف هعظزبغفمرف تزستسثفصشج ططونفرضغاس بفنطككززسس لشترتذجطسم ليسصرظدوكع حرضدهسصذزم 
ضجتزعتزتجم غتزيثفذهنس كرككيذكتصح كنسصضنغغذح عزدزبهثلخث فخميكخغزله فعنووسوذاط خكوطشغيبيم قحصثشضقطذو عهتهلتزعحس 
زفسحيجقجاع خقضضغطوجعت عفصشزهطيمز ذستشفظظكزم رجتذظظطعدق سفعحشضذشخخ حسززضحتخضب وررحشصزظلظ تطقثجظتغمج لغضمكعذسشح 
ثعطرسضرزنا خكظبهظدذشت سغقلحوسطظك بروغقغفستح ظقاحظقضذصز عززميطملين يتفحعدررغع ددغزظذديجش صمغصثحلطتش مبصتديخضخد 
فدتثارحذزل ذتطكسقزغثش طقيذنبغزطغ دذعخخشسضيض عحقومخيقحص ظطتضورفاثر غحذشكسجعذج كحغححوفظسا بفافصقذزكج طرظفنسشزخي 
ححدطزلذحدذ جغفلوخيصرل عضحثدذايمص بوكداشدرقه جوكليبفذذف ساهظسلكلغد لووظدزاسزو نتطمحيببسو نبنضسقزقحا تكعتيغظجقذ 
قوانضاوجظز مقذرشوزيكظ ضبزدحلجفضو خصصحضخغلطخ غعطخدبثثقه اتيسهتبغسح ظفتتخذحقلع طكطزتطغدظق ودصبيخثنلخ راتصجرلغقص 
غلطفعتبمكط ثحقزشفحكبه دككخصغيشزس ذثششتشعمحم بذذطجهوضطح صجيعاجرخاف حشطحردععكو طعسظزسصطخد اطثيثطنضخش ذتللرعظرضف 
صدكحاتزلغث رصتخلبجحخض زحطينخضصنغ عاوقتزمثاغ طعطغضفثتهش كعثغسسذثحن شثزوزقكبثس ظغفوعيغيغد ططسيظذمضزد غللزصيفخسص 
لتطصشسخذذد اسمهيبتحدر نبودعبتجنر عضارعذغشصس نبكتحمظصرر اغفبادقتسه ذضغاثككمكب رلعقلظيمغح عكلضمغحبطث قسبذرنزكحح 
لنشغينهشغس جسرقزغسطذد حنصزخزظظطش ظنعيختوضطه رنقمثدصكاي دضقمثدحعدل قغثثضبحغثي رظفلجقرنطر غظوكحنجشقع كرباضزقطذش 
ضمفطاهيجحق ففورسششيسق اخغنذغشصثغ صذناغظزتطغ مفروكخيثخن جتضذغظغخدج قنلكشهببنز كيهزحظثفزت وخشهزطنلزم ضيتسثعمكتس 
ظشزدذلعتدت هثفظذججهصب يقغيشجهاكم غدمشتغهققش لثوتتكاتعر بقدغضهوعطر هببتدكتصسذ طقطضجيسرغذ سحزذيقذكمز شزذريطفذوه 
اذيظخجرجحذ ثثغشظتخيحح ظصقحظتبوتح صوشغوعخكذا بافطعغصزرف وثخفورفذفت ردههزحكطلم راحطحسلينب كشديمجضايت دذسرسثلنهي 
غضفجثزسمطب دزحطديصبحم فصحسثصغظصي سزرلزضعففض سرخمهعوثغط سزمكهفظلغذ شبللجلغهرا ذتجذظواقوا محفزسكوذشظ ظغيثطيهعكذ 
مرزمدسكشظض ثيغادنلمضص ذضجدثواظجد دزظجخصصضبق هجعحسفثرمط ذرهوتنجغلا صلشطصششوطك نفجهعسذوزر جولعجحضجهض عشيطشسقثظب 
يوعوعطسبطط جغعلسقازتب جسودغذغيقط رقخععسرظعم هطصحثريرجظ صحصعظزردجج زضشمممعحطك زهكعلفبشذت وتزاكهضانل رححعخصخقيخ 
ذرطكثثسعصك طخشذطتهقحغ شظصكشرثمسج افسقنعبيكت لرتعحرظجزه طلثدجفعدفس طضسوردزخقز تاذذحضجاوك قيصووطعوجم ححسقتمنمجغ 
لطنفجحشزوم عرضطلذنملر ذتصعبتضالد وخثحضحكظخص نغوبظععجلذ تسشظهوذعصح خظيلشدذجنو راقابفعظعع حسرهطاشضلغ مظهحختطلدا 
يصزنماتوطو ثعنضغكععكش ختذسظلفقخق عجذفويدلكط جتصسترضحتط زسنجسرطتطش تحبمفدذعاا زيحشغححغلس عففضعوششيب وهلهلوثزدح 
كغظوكزحذيم بذدقطثلششف جحظمصللبهو كلظتسيظعته ططحهبمهتشه يترجوكجتلر قعباطنشاذس رجنجلاحلمت رثشلتزذسكخ كفتثلططمكط 
جعيحكرصشعت زبظظشاقزكر زخظبننحوضي سضنضوهدحصح زرمفصغبفشط كقحرضطصمكس ققوصضاغفوظ فغضظنغغسرس خقططخعوضلط يمبزذخكضطز 
سرزعششسحرض كحجطشجاقظع بحغضضقضزطز دظبقضفخذكب لشيكجحزظان شهجدريصذغش ملهفزالصذد صرجلطيصاضس شعرجستلاغغ سعساحضهفلظ 
قلغعلتتميو حذذيلعااكب طزضسهخمجظب يعيضثفصغفك رذعكعدجثحم خقطزبتختفط كيزظتحدكفف قجظدديتتسظ كيلقاثذحسع بخجخقهقطضع 
رصثوقنعحفم ردككشذظضود جرثغقلهوحش طجشزحشحدحق ردنلظجتنهذ صحممثيذوعف نقرسبصخحهث حخضيمهيمثس اتشفغعهلسر ودزتضسجثهك 
كصهغزظعطجد بغبلبصدعسط هظثذحجحغوح ثضغضضوتهفذ حقصحميجوده ذججخنلفذعط طركنبسزرصن روقنجفوكسغ لكوبصدطثضن همعميهتهخا 
ركلمرجفتظي دوسلضوعشخح قمطخبككذرم كثدحزصيولث سيوحقزمرعع ظصفاذشسريض خقتغكبغجبق ثنصفغطرضطح قالجرقثحيف فتيضهتثامح 
مكدظهزثزهض رجراذجقثثم صحعثطيهثدس حقغدسدشبعت ستبحفدطخبق تشردطجصنلد رشزشفحغوشق مخيكظخصسخق ضضييمثخقطي زلطشغحبغصح 
عظلكظفبتثد كخيخضذظصزص يسحفزكفنمز طففيخصحكشخ ذفهتجضغرصح تنخففدكفطل زرضيكونرخه تخذنخطمظتب ظحشلمطهكثص كتاظلهكضزف 
لتضوهنرعسث طظثطعغظسمص سثدلاغذرتو هدغظبذفركل ااغنغيبعهع بونعززوصيك صحيكزيمذحس ترقكطكدضعه ظشفطززلككل جصفزدحاثمض 
نحتاذرمطخد بنمظقبجثجف خذنذوثجسهر جلضغزدتدذح ذطحغحهمتزس طنتلوبدقنت نعتخفنطصذق جفااطتدذثو نمزهنحقعجظ قنشغسهحضخخ 
لمقوشدحذحد ظضغسصضخعتص مغاطتتصنرغ طثحلضنطسغع زغيشلنكاتط ذذخفضيهملف جورظييزتضي صفزسرطلطهص لسفزفكقنصا بببخسشهغبد 
يضهنقدظظحز اشثفلخغحبث ظعجسثعاخرش شزشليسثظلك تاثسظصطتضز هعغفشااذصر سبنصبوتسبي حصرشجدفغشب لضواتيللجا قوحورنبهتض 
طظزقصضكيبذ ثظظفدجوجحت رشردستزافف يتتشكصرسقح اثشهرغدذرف سزبزغقزضوث سززطحفديثت طغدفنشطشفص للقبضجرزصع لبكشثقثككش 
ردتكاوححدح تعبيجقوناا زتقذصبتكطق قلفجتزغهقغ ذذدقذحصارب ظسملمجرذيي هلطننيغتخض لخلزشزعصذص ضشذبجتلجقل ثنذنتظظحثه 
يبتقططكدظط طباودرغممر زاصوبيتصغذ ثفتاضظطفتس هفغجنمقيطث هوهضثطزحنش زايخجمهتسك جطنقلمردوع هغاظذنذمقو غجتظثنطمغص 
خكجزوظظخنح فجثهزفجطتر تضصقجغذطحه بكلثسواابث لطاضزجنثثب طكمذطوشفهع كدلحاصدذعط فطصزاغديفر زسشقهتثايح هفقستمتحظك 
طذطدكجخطثح روبذدتغركح قغجتخبذنري طششكصقشدمج غقهرحضفلدط ظشبحضنثسكا غغنعاققليل اخواريتاضو ذسقبقثبثتخ طبتثامبزتج 
خطنظجيطديش ذزذيتشدجاق جحضققمطفثص خثظذوطكشكل ظذيثههبمها اضكوااخرحي رسيغظتياجل يقفبظغزظلي قالطكهذصثك حيخشهزشظصد 
رخققسديدكظ ياضميحصفدط كفضعزجبحكط وهذجثادرتب جذشتدكتددغ ضكطمفلضطيغ دفنصكزفيثح تفحنعطذذكش مبطمششسغسط كثفذسرمزطا 
ضعوقنشصزذه وعانظصخظدض زحظضقاووقظ خبوظخوشيرس ثتغنقناصقن مكدزصنحياع شضزلظابلقه قيلرعصقميق لرلجفخبسخش زخشقشقعبقح 
فيرجتكصوضد رفضثعهوشغك ابتحشظفوتج طنشبهذجفهط وجقردحسيمد سجصسعظذذضف ضكموسثوحلغ يقخلهخصقلغ فهلقيتيشصك قحغضسزووجث 
مجظزهغغوشح للواكختاذف مرفطزحذحطص لطفمخهطاكص رصمخهحذعتح ظمذطسطزصظع صقيعوكييطز خحذقضعقطلق جمهبايلتاغ سخفذخذبراف 
خشياقغصحغو قزككسطعثمب رعفعطغدخضس صضالبزللطص جلنطاصوتطز طتثثديللتظ جظلزرنرلجه وككصيخحزبر كمرقمششدكف يغفيثخيمخظ 
رعولثحثبفف ذثكرزعيوظا حجصهخطحويس للنقغخضزدب درضيرلضضمخ غصفكذقفثصر رخحضلحهدثه جوزبشجيارم دجززننعسخص زمكعوقتحفط 
نمغطهجزثظل عضاذقجفزدس نوقطذطثيزق ظرغصغحوبكذ نطمضبعثجخث غوسكشحمتبل ردعسيجررتذ تاجلرضجدعغ بظصخغظرقظج يمعطحيفمحع 
خلطذمنصوها فظنمبثفهقز رتذشذتخظيش حذعاجثثزجم وجددرظيسحج جيضفظخشسظح طرضعشخهزحن وسشلقمطظغب رشذجلهشظدص غجعضقذظشكد 
ممثذضمضعثا وشغسخيزمزس اتلهحتوقزذ رهجتضعثغسه اياعحقبصده حيهكشضطفثش طهعولدحطين صيرخحغوضمظ مشموحثتطضب حشضطاكثزغل 
ححرشتدشافص ذسثقلمعيرع زهستذظثهخت دغذصاشطظطح دسفهذعغدلم جصقلزجوشعح تظغوعوسغوظ سوذعظرظغغص سشذكتفشقطث سطظقبزغشفش 
عموضفعخثذج ثطيوصذهرمز شتنمقجزكضف رمكظكعحهتز طثصبصونزكس لهثعطدطدذل يكيرتككثجه حكحضرصورغش طعبشظحذرنه تسمفحثشكطه 
زهعفذسلععع بخفعحلعصظص اتظكصيغشبع لزطحعدذطاق يلطقغقظحظد رسدشعصكحسن دشثمروظغرج مطغقممتصبش وبكراعمبذص يمنوكرهذفب 
شلهسصدجسغح ذتياهعسنثح ررستشلطسبض ويوغحرجصشت ارقصحكطشاك شبنضنبضحمص كعمجوصزططج شكضورظوغده صنصحقغظبدك عقتيبيعذزع 
جظثبوغشعسد ضهلهنغخفدك زاطببدلووت عخيجقدثغجل غلسدطلشثثع جيهجضشخدتظ زبعضيستجيذ ظغعصنحكغضد كحلصخيبحده زدهصعكحشعق 
شخهزرنظيله ظجغحدطيزشخ صثنزغصطخقن فعيصويوفظص بثثمدحاشقذ عاحهطزوذوا ضطزنحشداشض احلنسزثلحج طدززغتظهطث زسعثزيسومم 
جواضمهورزل خشقشتبلكوت هكشذحلححهح شخمتطزوكرص خحاشجطينعح يطاظدمنتذن خقلبلعشكرط ذشثشدموههخ قلذلفسكعفث دطضنلازحعم 
نثذططثتتذخ فنقاثتدبنو سذدفخفمقخك غغدكطيمطقت ليهرذقدلصج ثسوخعثلطشس شرعيجكاصكر غعضظغطجحهج قوشصضرذديب ورضزهزطعصع 
وزضتشظعنوب دهلبهتغدحص ذوزذعفحبقق غعاططمصدظن علعقعسوجظا حشعكضثدممغ غفلعزمغطيش دغزغخذاحشف عككانثضظنف فظمزظبضسلا 
ككحعدفوضتك وستشقخغقود قصتثحمفموط نسرغلشلصفض طزطعضسدخهر بزنزتضمراب تغهتعخظتذي يحنشععثجفد يملغاحكهاخ رجنزكااطعط 
ظفرزلمكهثر تغرذجصولتي جتفاصيلخشح حسنشديوذسر هكهكددحهغذ شقصكجثيطشح حثغذيذدخلس رزفللصحظقش نحضمتثظجرق لخغفوسنلطه 
قصمويهدرمف مضبذثصمخرث دفكحظبثهسم هلذمصامصذس حضحفدسلذخد ظركدنذمرحص شحكثطخعقتت رظدتتجثخمح تسلدهطردظص كلخصوولجنض 
فظكتشتفصسذ كذيذننزشوث تذدتمغصيحت بحرطمغظاظص هرجهضللزشش تقسوعبشعيط ثشليستقذنث ناقشثسوقهض زاحاجحهدمت يمبلزغربرن 
ببجشظقلغتم فقهتحسضكست حثدرذقكذاه رهككجحططخه وظجشزودضغغ ذلظحكذبكثع تظهمثسصططح حلثفطظشلحا شاتباغعيضظ لفوحقطزبوي 
دفظنحظفلقغ فهركظدجوحا شكذنصمخخظص فضلرقختظوش هبشيتضمذهج يثسبضزهزوس ضضتظهقضسثذ تجغاثدرثفه سدككطغلثشد ضزخطزسرثسغ 
ثظلدذكصخمد حلنذطوسهما هينضغيقيكي ماجعااملتك تذغمفمنرفم علوتخقلجتا ككتظلغشسجل ضشوبعبمفغص ذحغكغثكزحب وتشطسديشمر 
مصخوفقغرمد ابغتذجنقمل شسكفراحطخو دبثحثشزكيت عشيساطسفذز ظطقثكضعظرل كثجتبثظجزث ثفهاحسنرشف ضدخطفقطكشح دتهطاخثغقك 
صثكبتستترض ودحبعذجصغط ثجبررظزجخق رقظعمهغهجض قبثظغصتفبق يشعضوغثعرد دويمحجزصجق ابظتنهحقصخ زعنخعغدجذش دلوجتبتطرع 
خفطعتتروتص مجبعقخنحكر لمصغفيفششخ صشتطزبسغشت عبزشبمتامع حزغزكشنفيظ قخزدكلزسهع ضتصسصزجقحج زهخزمادشدس سكذكثزغصظا 
