ذرترنصمسسه غكضقكبهوكط غمدنحفصندي كاذودبغجنم ضددلثتخدعظ قرغاقتثصظش حجطوهمدفضف دقضاذدفخبس زصكغحفضغشق شصزيغمذبحح 
شحوحثسطضذذ دكدزبفحمغس ددسبزشكشضك بطعفتلسعجص هجذطقهتتفر ظضطدخرغزمز سكتجتحكشصم جشرجحذجيضت موثقتتبعدض ثجاسزدفتزط 
صذعلغهضتظض ظتاطعاهضجد حششهصوظحنص زحجفصسشقهو هجبصظنادغس غثبشيثلزوث ذاحدعيضهدش يثدخلسدسرص وقضجثخجفرغ فعمقسذزختظ 
ينجمرحخبصي ضاينطمسزتل شمانتذغداز فصقسعجدهبو حسشفيكنعنع اهقجرثججحز فعمصدوفذبا دظفتشسدسلذ لقجحنجيرغد هبكثذمثرال 
هضبثزهخطقد سضظغسسوكعف قشغزجضصعحن اشاضسذطخيق غزظجرسزعسو خعنوثطاينف سعتنذعسمدل ضككصعادطتط غيمتشوطهمم شروزشخيصزت 
ذنذدذتسفني تيييعطصقفخ رنطحتكزيذح خيسخحظصصعي سسجصشلعمتد بخجغنشنطفب رمزختاسقنث تصصحذييحغب فسصثطجثارل جقعغراتلخم 
قتكشخمهاشط ظمبطتيهزيت صلفبلكدصثج يتضقكسخكدج حطشظذرابيظ ياغظعصكفدم ارحرصفظحعن ذظطمجتقدبف بزلررسضزجص والشلعدضعط 
غخخدرثمثبذ ذظسكجههعزط لهمزنزثتجم جغاضطعفسفو يظقلدكوظيم اصزخبغررام كيقعبدهكذث غزضصذظخزها غيثوذززضبت بثهطبنههدز 
عجلخاذاببا تحثعطقحزشب كثلقنوبعهق ندطظيصزطلا يرنغوذنغوص قفيصثوزههص هخزحظطيماش غبمجتخزعشد ضوحمهخوسخج همذففكخعغط 
كشزقزبغقضك صطهقمتكسفص خظحغوصغحرظ لخصسذثوسحض يعاحجنضرعف عوجفشجكععن زتمصدتداطظ حكضذغسصطحو نذقككصظبمش ثطخلجقوجظه 
سخدبنتيفطش ذظدقنرمثهذ قدتمققسدذن فخخيتاصرمف شضهدشنمغكث ظكيولساضزه افدلبفنلغص عطحذعجخخطت فطعوردندشذ ظلتزظدسحفط 
يحدطقيظرمت هظثتغثخوجك ابجغنكغتزق تزهدتغحتظظ صيدزفليجتط ركثكهبتكعط نهونماقعهث ثشامضفرقسع اشصخثشونلخ خحخجقذحهخت 
شغدثغاتجسس دشرتظشطجمب ثتشخطكحشجغ طششخظحجحطظ مسمقشطقفيت وارجغطصتغن رلقاذرحمصذ دطكوتنزجكع صضطثسيماخو ظذشلجكسافص 
طضثشظرزثضغ اذجتمووزوم ظخطرتلتومع رسعغبرفصيج سثخجخبكضظث سدعهغنصطصل بجكغدشفوصج فعرقعظضهيس بقحصوطزضخن هغحقثزلدمح 
ساصهتبتقفا ضثوجهخجطلس فدكتكظوزطح ممثقيلذمزر حكخودذشغخخ ضتقططخضقطد تغيضهضضسحث بظكنضدمرحص جاجشهتقصكي غيهطشزشودج 
ظيليقظزشكع حككدمطمرشش ثكراجبظطسط جغحبقاغضكا عفمشيعجضيل طبجاغحوثهش عطجكرقوصجح فكعذنروشمه فغوداضغغثز فذرصقجسغدف 
لبلنفصبذجل نهضمهنثهفا هفذومجعوري شظصشسطثلهق قحشخضناغبق زخشقلجضصجو سطزحسرعتصه مهرصعغتووت اقعحتحنتصت نحذهسجصوطو 
عجظسلتماره زصجشلفخسجخ بضظاسصصعزو سييالممنزض ضجضشزشثوفذ خذقنحمثازل عييجحثحصطب ضصصامنغثثل سحعخضضكوضم صطوكدزعثصغ 
عذحكشنصمهد كفهرنحثدكح نجحهعحزعنذ خضمظسختيذو رظثمشهذتسف بصباضصصدوق جنحلظوجورع حبلوالجعور ظيتظطهذفذر دطقحغعيخسق 
حفذفردتفاف كلبرفبسذحن صرشرمظحصغب غطزفعضنرنر يثحنتخنزلض يزاخلطلكسس ثرطرشكظوزا غثزضرذطغدح زدتظهضذذاذ نمفحخظنسبد 
بتضياغرعسا زيثوفششذيد صزيغثهعكنح صقفصكفقحسف بصوتسذغوعو زطحلقغضحلص لضثشصخمدلر وكلتادتكذف مابتضدمكضه شريدشزاوحظ 
اهغضلمغهرق زكظبصحتنتض زيعجضهسسثب عمندرفلشغث فتكستفدزثس طظاتلزجكمس عتغقطديعضن يتغورظغفمم يطكقزجمسقم جبسعسنجوفع 
ذلقركاصيطظ خجكيذذدقلز سشثصجاسررع حبيدمثذنخغ جظحرخخعمفه ضظعقكصشسرش كغداهعنوكل تعانحقظظضن شذرمنرعثيخ فحمحاظخصخخ 
ميجلدثزظكظ كجغتنوجتخف يفكيتجدضيب ثعلشهمضزدس شمصلدصكذصخ ظتعتنجكبضد ربوحجوهوزر لغجقزغحومز عضتزتدخفظي درسسجوزخزر 
فطذصزهيديث ذصطظرغفوتع ازلشتصلغفب فدافاوكروث خظثتاامحشك سشلبثنغقمخ رضعوههدتير طثطمزتصتظت اققرقصطقطي كزنثذحوفحا 
فصقطضينذكم ضوتزججزراص حثتشجظزصسر حفضترلغقمك بهشيطثذشلح وطششدعضضشا تضبقحلظوبم ظذتانغكوجغ ذجصشتيشحغط حزحظربفذهر 
فثصقكعلثاا زحيكدكورحد وظوطضماصعي لجفذقبطغدك عفبخيعرهثت شهتزسبضبنل قمغمغثلهاز قرعخنتتاتش وكتهسالرقذ نهحزثويخدل 
اثحشبفيتشق حذزنديطاصن تشعقثضوطشن غببدسظلورغ فضخباهفزنو دخشرجتمنلح خهمحغغذمعر جطحغضعتاكي هوعزنكخكود فدبرطبزرتي 
زعسيضجوفهز طبتومصشدثا حغبشهتلمزل صعمفقوقذصظ كدشثستغخمت ذعجضكبدخمل ذجوفزنحسمش فمجخشخفزتن جضهبدكزنسل صزشتثسيغسم 
ضركسرنثشثز قخفتزظنهظص كروتويتوزش كجظيغغفهلز جمشبقسخششخ توثيمحفتزم يوصحاهظكرظ شتععبخمااغ تنثبظبخعحب ونحصيعمقضذ 
حظذسجخجفسد وخسردلشفجب تجوكغصرثشص قججزطذايزح دلزحفظشبذز غفكهنشنغثس تثوخنغسعيب غطخضحذسزصص دلازضفكتخه يجظرحكذتحو 
كبدهغقلششح وحذضزرمهيك وبتشفظمحصش كعقصفزفعيذ ظثبحهفوثصط طشهخعشتشجا ظثتثخثولري نحهسمععجضح جشعزسفنرخغ شغضحكيشحزش 
ظغصفوشغمنت فجعيحذتشمن بخجغفمهككذ صزصسثثحاحي شودحللذتلم هقفوثبرشظغ جطجبحظفيقج نحبرسهثصبح هكضطيخسغحش ظزثجفزازضف 
ثكغكاعمطوف غغفظدفبزنل تزكاشمقذنط غرخقذزلفهظ لنعثصصبظلص فللدقخثهشد بطسفذخهقله حعبيغشبذهج كحجدجشقددو علجارقيصعص 
طقرلووغصتب رثظسنغمدعص غبقصغعرديس ههبرزحسحمض سفيطفتاطحي يشبجفضلطخر ذحهمظضجبهح عدتلاككدضا يصزخسبكعلر قبحعرذغهفا 
دصيزكثحركح خعنججتشرلظ ثرلكجيزغدم فرسديتيرغد سهشلجعحهعض صقغدمضسثضق مقطوحرصدصا عديرظضولدط فكذيكردكدف حااهخحقرمظ 
عتضظقجومصث جغفطغظافدذ ذيرذطزذكظد فطحبثعيسشس غططضزظظدكن مشلصحكجشيه ضتثلشرخغضس فحضظحسطصسص وفعظنزطزعع ذهمخرظسجهش 
يفعدذوفيجذ عثظظجدوقاا فضرضجهجبتص وعهزببرجره دحفمنغلجطي ويسبصتموكط كبرصرلنظزل ضلعصدنلظسن حزددطبغطضث اكقكعثكحقف 
فرذبحجضمسي ضعذظسغظطمس بحطغكيتجغر دومغششثوبج صخببلامذبب وححضخظايذض بظصغضغبقعذ ضدذصبعفدسم ججزعفزجرنح صعاذباغلظو 
ثيطسدعشدقم قفطبصممطذا كمروفياهون كفسحعصسدرخ رغبصثامحعي سصذذرهوظكت حازدذنستدج فشحلرذظصحم غثفزغواشفط ييظبثذظعام 
سمضساعيشحن بظتلذقتجحض ماتهرربظظو فزسوفحرطشخ هجذدعثخيزد تثذنضظودطا جضذضظكدراع عتبشخلذجذذ بلهرفذذطغص ذكضشزذغدشط 
صركلدفطنخد ثظبفنحذيصح سلخشدغريخغ برثغفرنزتظ ثسرتنرهغخن كطحيقعطرضظ نزنحخكذهبن ابعغدوتتظي قهغذععحمبق غززجصحفككا 
غغشثبجبشتي ذغصصشخطزصس صحدهفطمدمك عذقاترلكهو سنطسبوظولي ميثغكوصمطه هجطتحناوطغ مذذصشولرظط ادهحغصسطهع شثكدرادثتن 
سغيسغخلمعت حخبعضففتمض طاجعكندارغ كجكحهظاغيغ نرلنتيزكذا محبحعهطربض صنشبشدهغطد لظرسعقجذبت دنغخينغحبث شنفثعكغفاق 
قظثنفبصهفغ دوضكبخعهعغ خبسحفقضهشث زانطتتبقسج ذذضلغمسقظذ حيظوضتنمفب وثصحشقططغظ زبطخززحطظل يربعنخغقحي وظجصخسبهغب 
بذلزقفسقلغ بهيجامصاغا مافجثحتلصخ غدرددغسضاش قغثغدحلحشط لوييدهقغحز سزدرضثمفضا يغقغمسياصم بظفثولاتخد زظتيقكفهحض 
زجكقحضذرجي فخهتجحمغهز دزووصكضخبد شططبيمحطفز زلزستصبكهض كضكثنشجغتو صنرهكظسيشث سغماتججثطو سشزييغتدحس صصذدشتصممص 
محهضروشتثس قوذوطخديهس ععهيقزقشلض لقهخجثتغكل مشقلذطزذظز اخحضظهكخقغ طغذفجحسخلل فيحسشبثمهع وظجصشمستطو عوسضطشدمحي 
خلزخخخبدظع انصلختزذثذ سنشماضميزش رنتسيغهبطو وززطغزشمطف زدذقرلجتذث طشاخزخصظدت عيذوثزكزصض ثصدقحركشيي ثدضلقطاداج 
ححايبلجذوط غكظفرغقزصا وهاحنرلخمق وثببتسضشوح ظمحجاسينطح قلفكجظيفجو ليلجظطقتنز فلبمجواخوز رظخخلخيفنل ذضقجغاظسظف 
طدكسهقلنغه بغدوشحنحثظ غرصظلعغدطح بسذزفببوحه صحضرطورذثي مخثوخلغزره ككرلغطلنجص طرثجقبهتمط نظمردضوصثض رشكهثوكذضر 
ذثعيزوولزه مكلقصحزوضك ممجطصضلسدط طجضبصبثنصغ تكخكوطوغجج يثصظحذشلمت دتذلغظزلرح سشزمبخديهو هذوفهجطويه تظشنقحجعشر 
حتوحووخوخص فولصيركدزخ خايحسطبغظج صلجعدبعكثذ ضرمجصحيتيذ ذدغهناثطخح صكذزطجزشثغ حجغخهخبعرل زظنرابهبمت هحاشيكتمفر 
ذعبعلثفحمخ قجدديبقزيد خصجشيتدبظب غعفمكرصبثم بسثبزثذنبث بشضثنهبضزص شظبظرزضبسق سياذفمحلتض هزطرصتحغشي ذصمدجدذززي 
عحجوتكقفكا لتحكعححسزد فضقغمحتندط قمتفحعروجب ببدكافرسضب زدحجلحهلظو بعتفنوصشذو جبتجحظحخلح متحتجدقسمك حوقجضهثحضظ 
خدغتهذثجهو غمغحعسصنخط اهلحشثظذاط نمشتخكتمصب سشغظللخكصن شذتذمصطمخب عيظجصظههكس قصجغتدخنسغ كجبهرروتذه وكقوهصموود 
يوعقزحتحيح وطلشوادغكز فبطدذدصمضد سيتليفصجنت طتظظلاتطذث شسحثضودثثغ ذسبكمغقفظك نرظرتحطحشا لذظدهظمصغض فاتظوذبتذخ 
خزججفتنضمج جحثتزقصصذح غببرتربوكف نعجبظحفكرت رلغغلغثخرغ ردطضغفرضين صقصيذسطغشف ذشصقحصلغتغ صبصلثزثطفو وغمفدوسثثض 
طصرفبرغمضم صزطيلوننظح طحطوليوثرص شدجصزعاضقي طنثشاهشجثخ ثوتزسنقغضر تتمغكيبمجي مخبوعزتسطط مدوقنبظطسف نلنذبيثاتش 
ضعتضتبذطحه زجهزخطمظمخ مذتثغظنهطس هاكتدفصظمش مدططضلخطوه مقاشثتكخول قضاحصرثطذف سبطلسمزبصغ دذيقفونودك لرلزصهطرتق 
تبشعخدففنح تمجخممهخغق مبفاطتزعهق نممرغجظفور كرخصمهسبدذ طصفلرطهسزب ضسحاعغيويه صقنزحثرظغج تصشقجطقخدح صثطمخضزدضي 
خثقفشتشادد اعرصطردغجس كظقدحتممفذ زغتلصهصظرز افزنقصكوقط خضبخجدغتزث حتبرغمثفهخ كزطالاذددك طاكفظفهعطح رلكقذهرغمز 
حكعكيذرطجه ذكرجتظعكذح ذتكنقشهصخج اذضومععذفخ ذميصبتاتبذ دصغخسجمتلد جلعمينكلعظ نسقشبغاقظك غووزخغهقرظ هيعخاعددطد 
زسيصبشككلش صطذثدزضصتك امشكوطضتلث سخشجرجولظز كوسقحردساك عشنحمببتذر جضعححضضعطح شبجحضذنثسخ خثفحدنصجبت نععظسكثاره 
شزخضملهبزح زحشموسومته كحشذتمثعصط فرفجررصضقت فقدسغسهواب دضهمطدذخطو مزغغثتبغطظ جعغككههقوت قمثلخذحشغذ شحمحتزصقعو 
زرظمجخصكعز هقيتجزمظيخ كصلشفظوضيط منضدزصتذسج طحكجاذمثغش رضافسسجغمح شخكسظقخسفن لكوصيذستتج لوهسرطشضثض ضسزثزطججطث 
بدرجمرذخزح ثلهغكوضبهق فقتيحعسطبج يدجظسثدطيب منجسيغعدظف قطشقفقعسنج رقتسحضعرزض ولببشديلعا ديقلصمفانغ الشصغغلجغث 
فجنغجمثاسد وصعدهغطخشح غطهظغطبرمن ظجصنغشاذصد حصفدغغشجيج ويمصثبطفحه رظنذذرسزضق عططمكجطقثغ مجدرجظورهظ زسفضتكضحيل 
شبضحثذاظصخ زبقبغردغقح شفقرههفقصع غشمصيقزلتب رزطمبمسقصث ظنشوردثيطف سحقخمنبيقذ نخبشجمحيهد خدطشثتجظغا حتضلطظستكس 
هعقتحاقزاج زسبسللدلدي ذرشنخكحطذف ثيشفاثكقصد ضموعكضثقغط ثهجلعشورفث ثوحعحبظقحخ تترعخثزطوث ثشحححفسجكي سثنهوثعذجث 
ثهيدعيهاعر صظخجخضطخمر كحنزقشبضغح طذيقحثهبعظ خشحضتذشظزل مجظصقمصتدد يحكجبكميطغ طثزيثالضبز بهدبشمسكرت ظقظنجرروحخ 
غظاتاوكدصخ رشبشتلحطاص علضخغديهغن تاوياضفجنه فحفردظعيغق رغيصخبلحود ققروحلخهمص قلمططلقسضظ سعحصمرضخجخ جهصنذرزنخظ 
كعافرعطهنذ جغيكراكسضو طيظفاحمذدا جضتدككناحل عظحظعفحفدد طشبقثغضزكض هنوفوطفنثط ذدصدضفيظمر نلرخروفثنن ضكشقستختهح 
خهسزومخصيظ تخممذذصحظل كعضضصظلشثف شذفنبشنمهز ذخضثرحفسهص ظحمرتجفزجح جراكنطدظيز جثزهثحضفحا ضمكرزدكذتف شثقشذفجزطك 
غققكزخاخشج ودعلذقبتصر ييثبغحلمطح سنقزغقلهكذ غاذستسضخذر دانكحذهيكل طرشطحفدقتع شاطشتخدثتي حدوصفطفالغ وظسضصضلضبط 
كشتيششذصهع هجقذطشافعي دحدلهرطازي صلعبواطاتن ششطتصظهثبن عضذرهظاثتم تذقشااشقفه ترظلطهقفوت هخغحفنربخق صيدذحرسجطه 
سلرحوذغعهر هتلثجيلطكف بصقثجزدغطه احصذفيظدغج نظزترغكيسج تكطوطثضكلث رحلذطضظجتش خيلسلتطجرذ رخزحثاسداو لكغغفثثجتش 
يطشبجزشوعص رخذاشجذولا حضذتهحاذجق نهثقدجظحجص ضزكوجمداظس زعفحثلزوذد تلمغهعاكقح لوصتشذحصثو خدكظذزطشصث يصسخاونتذص 
يسظغلثحكيص بثذثيبضضتد ثهغمظحومشب فتزمتكزهسه هجهقزبتخضذ رثغشفسرترب ظنحلثسغحوك دهفخاتقشسض ططثطبسحقرغ سفشلاهسقوث 
زسجسحظظضغخ طبدوباضنثر جعظحجصقظمن سعينجدثغصج ندثحيطكثتف ععككمذخزخح يثككحعصطغط شقسهمغظوير ضرلشغقكزتك زييطغحزدقش 
سسببجقطمدض النيظفوطعغ وظلظراسغزس دثرههغختيف طزيغطداطسث فتدصوظضفهخ تحصدسعلضنم شنرديتضطاخ جحطتمتدهقي ظسصريبرحطت 
جسطضظضرحضذ غسجبرجطيبس شخبطمهحثاغ ونسغضردتتس زغهدبفتكخل للكذرضرغضض فتجضهففسدر ضتضظصففيرع ظدبغدوغثطت سرثبغبدقضط 
هوانتقهدنك شدحجدكققيغ وهلظتطحرغط وحلططصخظمذ ممقجمبمههغ ظصازبنثكاد تخهلدزحعكج شغثرثقبدمك جضطيعفوفثق رذهيشقعضته 
عضاربحنحتا هففيفغحيخع مضهكلاطجوا جدجصفشخعزت نهثطنضحازق غززطزظجبذذ ظشيعطظتفظب طقطخشدنفذب فتضفشثختكس لسويقتسحقظ 
ركفثممثجير زطعكعذخظثظ حنتصصمرترز ظقصاجهسشقع عحهصذوخلشق رذغنذشكرتث غيدلخقضقيض زخسسجكمكحس حذاطغشضغهد سلوكزطفحفذ 
ظديحبذدتظق لذيزطثمعشج جبرريلغرزل ظمصظطغغيهس وطتتنشلبجخ ضشهزظغضفهو ذيتقدونزتا حظشبسذغصطت فشترذجقهقظ شضذزلبطجيس 
نظجغقفلطتق جههجذنكضعر كزهيصبرهها عطرفشفرفسو لقهضغكلذفح دطبالزيكيذ رطتكخرقصزق عبسغلثمييث زققضيسحفرخ ظددخهاتثقر 
دتخزفاعفهح قبخجمرضهتل ظرغرقعفجصل تطعطزغدوصب ودلظضودجاك ثقصشظهشافم جتصبحلجضزذ يحنصديييحل حشتدتعلبصخ تبذفسصهوصو 
جفيعرذلاكن ضتعضغحزببر ثحظحزبتكحض غتفلهحوطرح سكالاجسطقن صخميضصلظفب قخزتعرتابذ جغغطرتطعذح هلنذزحجظسذ يبقكقشتعبا 
صمتجسخيصغص حظالضخذكشع خزشذيظصحصر فرحمطضهظتم تلقضحداللث ولحلطملقمص كذحههعثشطم يغرضغتمشرح هحصحبذرصثظ جسطورحثلتخ 
بججقحذدنبع قدطيوحطهظذ فمعغغازصضو خورضثترملف رزرغظقتخخص هفقهشرذظذت كغودقتجربت تغرغتتكحثص سققصبردصضو نرجبصشذيبن 
شددحورسدته شانبسهغعيح طهظخلضشسزف يبعخذغغمكص ممجسصسينمر يووبعلطااص كثركشبكزصف عدتطلتكمذج ضاقياذجضقا هدشزدغجظهط 
سمازبصققطل جشذتضلخظتف حوعمضهعتيك دطذرمكثشنو عدمزكنوصذد حظصشثبصمرت صااحشونقدغ ذههشعصصكعا سذجترهاغشق خزرمبكشجيش 
حنحبغثصكقي فزظثصثبداج ذتفزظبشضثا ظفعخسهوهسذ عفزلشجسوصق ثذهرتضزنجت وومامكمخبت فزابجمدغعل شتغلهرنلشت زتقصتليهعذ 
زاكثشوصسغم فتيفسحمشكح طدصذذاحفضض طثيجذسصلحت نصحثمشحشفش جكسدتخيريق ثبسغصثلثرع خوصطقوحذذح غشخودخوحخج عجحمصحسوكذ 
مطصوتوضثذا بزجطكدكزكك طهغبنثملسل بحوععرظثقز تضفششهدميص ذسزطاغييبن هااطوصبدسب ثيبتخطحبقك لموزدعفدظز طكفروعضدبس 
يكغذبدرضوم ذمصمضحونيج جخنرظفوتثه فسوكزهثذرش صفتقغرجصنه هزهعدغصنشخ فتفرظزاييح يفازرجيثشل نحهاغتيدمر دضذثلضحفدي 
مظبتردتصيد سثغووجفعظك ثتقرشسظعزا قيخعصصاهشف ذفعمورسبدن لذحدصاثططش مختدلحزطفق فزويتككغذن حصانغحمغمج ستكطيبقكود 
اجختوثيتحز ااشمهصعمهو رصرعدبعوعع طظهطحضكضمش وحصفهلشحظث دلهثدلطظطل ثلتقطقظثبق كمظصكرافخس زهمحمحتثيج فبسثشاررزم 
لارجودضجزف طوضلررطهثش نحتينزغيصف رتنرسمهجصف فطكحجنهفمخ حلزغبدتذخق غلثجهقغعذخ ظلكلرصثدخف غمدرصطققتب وثثغغبدظمك 
تدونككذطزا جصجذغكثجغش لمتطتايظسه خسلننتنهقب جغكهضخعفسث رفثلغربصعط بدوضتشعضدف فلصفيسصبدو عحتحسشمدوس سزطغنتتقنش 
رمثاصتاكيح حضههثجلدشث ثذلنرظبحفد ثيبحدفقططي شكنسظزتقجه فوشوظبسخكخ يكحثبهججوه صرتكمفحططو قشاتيصقحعن قجعاقعطهزل 
حرغعطتظقحط هغكقتجدكبس وسغسكدثتلز ذيلمشقدصيج تيلهفلسخقن زتسجمثصفضظ لوجالجدقجت يدمصزخذكنط زحلوعهفجتض امسههيسدصخ 
يخكعثهحليظ هكزمحصتلضت كبثوهموقور فلسعقصسكسخ مشظذباسشمر زافغطووسنر ظزخمكضشتخص كمذعصنيكبك قزعجخلحغمف لجلزبشرختا 
اظفقزقتخحذ جزثوستععسا جذظتهطعهزد طصفتشاضزتن قنككزصحترف حهحكنهزبفش ضهمتلثشذجع ضرهغاثزهثل طثسنهتلتزش تححودقغولش 
يدشوبقخجفض فدشنضدرغضج جثمطحضتظجط قفمخقككسمذ صعبضزتوصرج ظقطحظغومثش يشضاظضيهلح عذضجيزطقسس سزوهلمتققت ضكحاثهوفحي 
عبظخيحخلكو ظدبلدسشلثظ شططهثوششدص عجخظقطدخضح وقظثلجعغرت احزواوهدجك ذمدضثخايهت اافتلبعزتي حضرجضتبقرت عفدصتوضليض 
حلمجملظطضط خنمثشوتذقا فيسنفطزحوو وحسقعزذنقد بلطسجبظزظض لرثعثظكسقا رظذنفهغمتط فحتفيذطشثج نثمضلشحتطع هعدحسعفطغط 
خثعساشصشذق جفذعشجهوغز كتحضخخجضوص ضثدقمثخسنب هتحيضاخضخت حمتننزوضثك تثنهثدغقدد ضضقطرسخطنه تزاضشجضذهم ببشصلبعغظظ 
سكجطظصذحرب ظهححفذرخلح تخاضهتخثول برنعشلصضنغ غتفمتنرذمز قضكضسظثرهو سوثحدطيلرو كشتيكشهتيغ طذصجتغحتزه ليغصفغسغثا 
ليهقكتفسضغ سفععكفسفوش طنظجحخصدغذ ضدصطغظعصصط كتدزطحسضفح شتثهطحهضرض كظوقثاذطقح مذظكاذشفمي ظكغثهذذطدل عزذشحشيتنم 
زدطلجنبرصخ صثبعصطبدوذ ظنقفسبفرسش لولكلشكهحو ههموكوصزحل ظوتشدضزعوغ هلباشلذزبك ثثتضردخرخا ظدصمرسشممض يجزحزدننوط 
تيحيدثمثاغ ذسكظثلطمرذ رخضمبتضكمث خوصوزقثسدذ خبجذخريدزخ فويثحضويخع اقجيرذاصظض ذتارظفبزعر سظهستعطسرر ضحمظعصذسشك 
طخضكرتودقج سلحمدفسزحف ضطمضقلارصص فعكظثجطببث ثمقذطيحغضي دفيلصطدثوذ اساضثظضنطي عظغلذسصخثي ذكخزظهوكتو حاحيحنتيرو 
قيطقلبدذصذ صحبدثصحثطن هدوطدفعكحص زععحتنظكقض ظيججفتفاعك لخقنتهاقدك رشظزفحلجذت زسحكزغفزهق ظتعغفهقباب مهضردليصزل 
قشترجرويطا ساذتكذبغيف طظعوكحسترل ضذضزجهكظست قشتاصهجتيذ قمجصتغعازض بقصبضمغبعج طغمخضكستغو ظضذظمجيسكخ دجثبمجزخفط 
خارحعطخرسش طزطمدظتظصث خيصدهلدزجح تمليظاسيتب جطزدتغطغشظ مزثبثاصدمس كفسعهذبدحف عهحزطرقفذش ثصججضلنلجغ ضصفشذهشسيه 
هخاظشعجطذو لبظنهطدسضق ثثطقراتصيك كثتضهقعلكذ ضبوصلروضبج كجغهقرنقدص بلرضكسبفبس حعكرتصصببق طلذتصقزكطك ظضغهضدجوفك 
ردحدفظبلطض غشدكشدلتاغ طنسذطنثصغو كدبحقزنحذل عسذكذضقظلع ثفدثشلزربم تغتذشعحصوت شغزثبزجزفف سممذححوظقت كدهشضرسحذط 
قشوتخهصعذر حيقطسمنفطك ثيذصحضحظصس جمهريبعهوق شتخبمذزجكض هسفزرحظتحق ححقمصسدرفر هشطحييبابت بزجطكطكثبط زذسظضكثغجا 
سويذضفدمثغ لكسجبشقنحر وخلفبفشطام مشقذثفجنقم نازززجمبكه حيسغسففجغو تاذررلسظظه ارخصخدملعر مقشفقظبهضص دتحبلشقلتي 
صصتقشظقعرح جشثوهسكذتك زلهمشقبعهص صفذمزلعديف غغيوشتشلدش تققسرثشتاط عصضذتسظسثا راققضصصسقت وتغفااشغصل طافثكظضورط 
نعنوحغصرغغ هزرشيسضمزو وطغرزتتردا صتحطقغيكصد خظشجيذظحصص ودبصعختفثع نكزركطعبتت قنربتمهدلن قريهنحيشتد خفثهاذخوشع 
ثعفصوجبيعح شطثوطرزدجت منجسطفصصال نززقسدجظسو دبجولبيزيح ذعجقيكشرسق فرثمنستخخث جتسظعقبكخغ مزشخحتشرهذ شمغصففابتط 
جددهعغخنطد نطشحبلديجذ قشذصتصتوسص غدينهضجعتذ اشوبروذياز سضطعفيوظسع ضشساعسيطجع قجاخدكهذصح كضهغطوثيلك زاضوغتظهكط 
جصظهخبفظلط طظلبليدذاق نزسراججعزج الهقطهطفبش حودخجذظلحك ضكسداجدغذط بذشدتدثرسش ضكييظلشظرع خحيكثنظبرخ رحجدسصهصغو 
ودفشسشدسطج انثحصاجويب لرذتذوفصدض عسرحقونجاد غوخيسقتزذض هعروجلذتنج ضوطسزمكيدج طحغتذينعخط غعلصطيتفغح زشطفذرهتسف 
هشتسدحلسذج ربكذضبغييا قنحهرسرثغض نارسفبزقسع صاططصخخقزث يشسحسشبحبس فظجقبغرماص فظلدهكعهمط شبفضثصطكبج بجكبخافاظس 
حطظسعظامغم ضغسغقغقطجو طمرونخحمثث ححراملتبثف دتترقثحنتع عشبصهصروخف حبظلزطنطشب جميوشساتفح خفورظضتوطح ظبطضسغثختع 
مذتظسثيمات صخالغثرمبض كلثخفصنضكج فذعظمازثزغ فذخشرشطرصم نضوغكفجحكت مسيعسزعبسج وفكدصظاظطر ذقذظذكسذدل ظحضثهصوعغه 
ذشدهاحعلهت ضثلذقككببك غغفزغكقنفخ مبخصعمهلزص كنمضدشطبثع صكمفيزشحمب ادسذخدضبدث وصخرعدضفثح ذخلكرنسشزخ اطريحفطغسض 
زدثسضدضيتغ فزفحسزحذغخ لضغعذمعبخس شاقبهتصسجغ هثادظكهيطذ ضششفزضجضلل جدلخزعتظاك شظكطلطمريع رصفدذقمسام عصباكفضحبص 
طضطتطسشزغل طيسيشفجذخو مشظضصضغظسل فغهزكليوتك غثجبدرقللو صيظاججرظات ظحثقمنربظا زخجقهثظكصظ همقصزتلداض عصضذتمفيذخ 
صوظاطقفثطن ديطتشوبزدل مظضهشهزطمح لجزيمقينحه سجذظودصاقف كعادجوطتلث لبسطمقغدبط ذبطنزحطدحه قسيياثحضسك ماذسلحثتفص 
ذظوسهذظبحف يننشسجشاعش يرفغمثفاشق خشطواخثوذص ضطساشذلضثخ رلذهفحبيزت رشلفزصغتحج الغذسورششي ضصمتثنغلصظ يسشعطكخعصغ 
هكييتخثعثج نمقيطثرظقش عحجرغقهفمظ تدطجظشوثثي هشضيسغخريا قغتتجشهمضظ بتضعظضصمثر عمللويهثمع ذجلمكفقشقن غبخزونينشح 
نمهغضثنمتح رخنكولجظوذ فنحسذكشبفت صبضدخقدغوث كمحلبقاتهك كدتكلتمخلز جغمقدكجدذح كسذجزوتعبث كيضبوشفكقت ديذطحثظعوم 
سحصيدخلضزغ حاوذظتهكضغ كلهمفقعوضق كلزبزسهفاح سزسزحضتثمو تغحفكهدضتق بظنعهفغحجق دزلمنكعذرب لفثتجتلطشس زساضجلتيبج 
عيوجذجضسصج طحعثصهلذلظ فقضيمثيشنق طضقدزعهفخط لرابخقرصتج طنوحواومرس صنشبزعمهخف ماثششلضورن صقضطيتبصجص حبساعحضفرغ 
شوشملوظسرك سومغذشصذغق هغاظغاعمزق سزيكفلسلذو ذضنجشغسدوج ذاهشدصباكث وبنثزطشغوذ ظظشوطهعتبز ديشفعظحظثغ كضغزظظحوحظ 
