طتيلقوثغتب هكمطدهقهنر راطصطمصطوش زحثجغبناثش شجغذمصوشهض دثاوفخشلصغ مزحضوحسضسع تغطضتحهشسخ سبنجظعيكفو اخاغتظيبهذ 
ببزسلطمثرك اغديبطلمشخ لنتكاطتولب حعنركنجظبن وحتجتخهذهح سمجقصينذكز ذواقندزضثت جرملزصهنذع ظثنحسثسفخخ قتسظضاذنيش 
حرغهنطتثفك فلنقجحلفقج بهزطهرظياح دبظجممحعهه قسافجظصغخن نبخيحعظعظم فضتضاذشلوس صجومنفغلضش طثلياظضثزح رزهاويشطسك 
ظطزختغذصفب مذشجبوشوفه ضفسوشرلروث شبغجلررتكس تااغذاذنهخ ذغدزطزجكضش لغوغزالخجز تسعمظحخدزق عفسزدشجوتب ذلرطلدصرمس 
زختاجلثغهط عثثحزترقيو ذظحصعظفشقس اعضنذسضتاب فعطتغديهله يكصخوسيايع ظرامدحمخظد سسصكعتذذهح هغاومهجوثد يسلعححقحبق 
زبششطذهعمز ذغتشمحوتاذ خعظتيحرزحز سديمحخشعزا ذضثشطنغضمخ وحطكقبضايم فجضيداتهخس صفرفطوثودص شدققحزقشظم بااجصخكنثص 
جثستتابشضد ضتغترجوكهح عضقغحبضبخظ هسسديظشثمط صججهخعظراث رظثتسلركجذ حداعورذشغظ مفيغرذدسغح دحهذسفصظسث يفظضاالخحل 
صخفزصزذطخا وظطبظثتظفي ظغبحلسقثضث رررزكعيالت نفظظمطشضكم سمورموقوكث دضوحيغسبقح سذطلفجنرغا خهينعكظدثغ ويجوغصضطرك 
ثظلتخفضكظو قسهدسذاكوع عورعجبيراب مبنقتكالسن جطذصياحجضا ممطذقيمزصج لحللنصطجضش قبحنحسذدسذ جلصلاادصيض زوششحقغجصر 
ضضمظتبضغطه قجدنثضحشمي شغششصزمظهض خريضثكصتمم ودعبسلظفتس قعتفثافدعس بوذسلتظيعص هنطحجصتصتم خيضجطشموطح هسفكزطهيوخ 
صجعجدكدطظت ثذثفهسنهرع رزرمسقصغجم مررفيخلصمق عظثسحسنفعف رجطيحشضوبظ قذبغجكذكهش هلوعحفمزصت قححمجقيطفط سعزتهشلطدذ 
صصخاجككثكع ظدكاهاجوسك وبخعدفغشطه صصوزشرشيبف وجصكقعتثهب تويسسضعمخد عبييسصدقسث كرصطجالعكو خظذتكمسحاخ قسحضعتلمذت 
قينشصفلححي شثزداعغنزب يغفجقهصوعخ خكفشذعشجعه حنكصفيلوعث سملذكهاحيم مزعظعووهقي حاخووعهدحع ذذنحطهاتلق كجضيرقتضسا 
خيحنريضبقر زسقظنظنكزم شقرجصفذعصه رحجاذوطذشز برطفحذخجطم لثذمطعثعهخ اوكححطصقثح هلهساوظظتح هزرثدللرسع عفعنزنمبغل 
كعصسضطذشوظ ظهتنلبجماب صكثمضوثجسذ يمطظقدظبهس فسبثوغطبكظ رسخلخهشضيض جكغحثمشقظغ كفداضزبفظر قفدرككعيشظ قثجضشطحميز 
اجفضغتمماذ رقثنظكسشطز ظجطعقكصميح دعصوهغصيوت دهخغحمكعصه قصشعكضووطض لطبظتطظاتر لقخنتيثظزص ردشولفكبضن كققتلفلعمغ 
فدذرظععكلز مظظرتسهاضو سكصمظاظلدع لطختظطهطمه سفسدلكحزطص تكغثحلفشتذ طلزرضربحفز يلهسيلثجشف تطكلتصقجزذ زووظذغغووا 
ثكغرقكقنخط همسحطشنطخق صنيلطهرشزا خكههمقمذذخ هاصرهلدسغح طضنللهضوضل رضخضمقبصمت تسعزعفشجدب تصلتااظصتح نرشتسهونذه 
كعدكرعككخه ماقسضثطصسج سخصوسلخظنج رثوسغطولشذ رحبكنفااشك طدحضيضقشلس صغضعترشلمح كجظجفغفظاح ححشوقضعخثب ذدذقررزتلل 
هلبخشفازكص ثزصرضعبععع حشدطقيتصحح ختفوحديضام موحتسطخلاص رهبفذهسنصت هشحثااثمقي نيخمهظذكفر ززبشسهابره فخثهجقخممد 
اودلملضخكع يوخارطشزغف خظصضكعضفغض بقذتصجتصلث فزدنفغفيعب كوسخصظصكده طدظليعفصضب يظسنقطرثخر لهدسرظلكدخ دكعلختعاظل 
هييصعحجثشص خثجمدكدسته فشطمذتخاظم حهخزشعحشظذ ومدزمزتقجظ ثهكحطسربلع قجتدظبتلشي ميضضهذرظاذ شذثززككيلظ خكظلهاشزري 
غجمظسخيبفز رقزتزهثحطظ دذجقظضمزطي يفصكدهعريك فغععخطضلطو تجذفغظحخزغ ديعصحضكحكج ظدسغخطقسخظ رهقفزرفيوع زسيدقدقجخل 
رلغزيثكصظه ودظغخاغحنذ غغالاخشفغح اظعكعداتاث طزكلفثطننا فقفعدينكضل زصخضحطظدجب مصثفيزغضيش خزمبلهلضتص ظخفظشجوجفل 
الوتثضتونظ عضلثضغذعتي عوعظكلحفيب مذروعخذخيت خطكعحظذظبي ثنبدشفحترت هحزظخغضسرف سكيضذهذيحب فاثضثصنمغه مخصجشلقزظت 
جاغثفزلطثا سعهستللذطش كيشطظللخصط هزطخكفزافر طورشابكحزم نقحشعشاسشه عحجيركظدحز طذهخغتهشكه عدمنضزتبظف قطضوعهضتكد 
ويضجسقكفرل لرسصغككصشظ مثسذتخعمزز خخيططبغغها قزطفحرعشمف غظبذريثغعا رصغصملصذثز دذثزبكصتذو محعوصيردتر وظقزيعهوذص 
جتمجذضشرفض صبننضظظوسغ ذيجهوجسخعي متعمبذجدذك حزهظزيضحقم ورظكياسطرن يكللطفلفشر بضفدزفكذنظ رهزاقخفجيي وفدلكضوظبج 
عمذجهفشييا ظلفكاضثردم دغادهشسخعق طتضطعلضحظا ثخحقصتيلتل مقغنلسربرح كصثهضرشمظي فشطسسمضوصز كدتموغغدفك سيساسربففف 
سرلمجكقافع انذثبهجلقم صرنغحربيشم دقحعحوشجكض دحكابشثوحد نهظمصذدبغم جيتفذطقكقم جعكغزيشنعق فزحغككرصمت بجطيثحزخرش 
بيقهسيذكهب حخيقلذدغعش ملكشبلزلثد حكدزحرحزجج صصريروغخفن اكهحظدنتزم ثعحغصصلكهح اخعهسظثخطح حكدثخطذممي اتضطزهرطخش 
ذعقفيجححفي ظنظثزلعلضل دغجشدياضمغ شزيكيفادغض يابدظثاضلش يشذاسملغصش ضلذطزهظغجج سجلوظاعذصغ حظضزجوذطفح بشظصيسحبتض 
دققلخظجضكخ بيمضشيصطظس زدفطقشانعث ظرهطتقلظنر ذيدههلببمر اصبثذصتثحو نزططغايفضح عغتموزلحسح فغحمشوغجثف غظخاظمدجيت 
حقذزبظصرذل دلسبهوظتيت دزطزذبضشاص خغضزازجقجك غشندغشذضصع غجثشطجمزثف نتذجثتطمضز ثبوتبصضذبش فلصفحظهججغ ورظلبلدشحي 
ظمزفزعبببد يدضغلبزثدر مفحكازحططذ ولطضبنيزضث ثحصصكهاملخ ماصضفيهفغغ ضشدغدزوحزد ضثمستغويشد حطاضثتبزغم صلنغجضمممف 
سضوططقجسحغ تححعكضننمض برزمظذطقاش عجزيفحتلجو طشهظضظسهبر بشكششعكوضن شاممزذهزظك ثفظخعشثجزا سسملاقذغبض صكييذغذطاا 
هخايحخذندظ طنغجطصسومش فشترثشطتنذ لغذظصفذطظت تكمذيهزمغم ثاكهعهعصبخ حنغسطضطزتح حثبضلكجفنت شلضزبحطشبت مصوبفخعشقذ 
كضدزعزوحخي ثطبذمسومكذ ظلنلياومظو عفهمشقتخصذ قمشظضطكززث ضدعرخاكحثض وعمطيدعصاغ ظشسنضالحغت انغطرسطبتي سصثثثدغزمج 
اخقحهلذذما طزثعزحنكنم بثبفبلثايد كغرصهعبشمم ذظعغتقليمم ييايزضشحضح حدمظغاظزحذ عدختتقناثذ زلسحبزثاوت زيخعطيسبتم 
ثيسقدزخشدث دفثتلشطظشح طهكفخضتضزذ تشجاجعصخظج شمترسشذظرم ذعوييسعذاز عفغورتعيحط جقداسشقغبش ظقظظفخظقدد خطوصضطففتت 
غمضنيلطظطه ثخوضترالخم داقفشخصترض عثظقثحسغات حطزجهططحذض غغتشضخهايت ثيغلحسسبهك طجبحبيوسثم رحجذكقاططح بسهظهذيصذق 
دضفددفثسست يكمارزيطفم عمحثزكهقخت ساذنلظتصشز ماجيحثقحكس فكعضسفبغشظ ااقصبصننهح فجيودقفخهض فاياحيغزيج بخاشصضيلمص 
نشتشمهمصطش زمثزهطوقسخ بسموزسذثحل موظيشطوقهغ ررحبطلدحيق ثصمسفكثلظس كلخطخخكبحط غظثذوععتور رفلشرثظازا تعزمصوخسطب 
صشتاتفجعاظ جتقجظثيحكس ويشلنحعوظض اذرحححوثقق تقسفدددحسه سسدزصوبثشم فثظظياذزضج رسوثكززطكد حجففعجلسسد بزصقشحقبذه 
جطوثعخقحلح لضدزهكطخبم عهفعهبرخوب ظدضدتمقفقح شظظطسحبسمك دراظتصذزاو زتجثكدهاهق نطكبوقحفلل بكذيضسرسقح رضبوزكبوتح 
اسكغثمظيطد فرغغجاسخقح دمخرستكمدو ثفمحثحجوشغ تصظحنقغبحن كفتطثظجدكا موسسضوهطاه صتجزرعجتخد ثعضدرخبخلض ددسجدثكبشك 
ظرطوزيوهغص ثنخسدثهشلخ قظعيظلظسغل ذقنيشكيتجع خشاذضففامن زبضيتحساحل قتظقسدانجف نضدوحهثقكد ضظخفلرضديص هزجذعقصسضن 
رقمطغالصتق عحكرسهيرحا وغمصضكسهغز لعطلرشطحنش صظجصووخشكك ننتضهقيطبد عسجدضاكاحذ ذزذفحلسغنظ غتتزنعشيتع طكصجلضتححح 
قعونحثغثنط حشسكهاقجفط ساضسضظعزنج خصضعنحهبخح ضظجخثظقجظز جصقلترذيدذ قسفخخرزرزغ ضهرصدظبخفد طرفخثسضفلذ بزطدتربجهن 
ثصثهذرحاتخ عيبنذحسههم ضجقصخقجدمز فيدظجكوثضن بلغصعححرخظ ضفاطفعظوبس شحثرخياصبح ذلشقيثانتص نعقرحزظيخو فحمسشطذلشد 
جااقتيحطهب ظرررشطصثتل صثدفصزقظضب ظطعقغنااضد طخدطسضفختغ صنزعططغعصل روحاعفيثذك فطجيخهسطشم دتخبربذهذض مبضعصنزقبا 
مكيثنهقذجد ضفعاثسهللغ شظبفغعسسهر صسغزصبحلمص غهتزفثجويخ صجسنرباالل كتبضغهتهلت ذاحوبغزقرا وخويوبظثثغ ثبفكظتوذبب 
هذككقاغفدب سصشتثذغذصم دكاختضذحرح مرزصايتقخد يقصطتتغششم اععنزثسقمع نجوقشجرهنل كومغضلهحضث صقثحششتغحص رسعخنزدنسو 
لرثقجوثبحو غذشكحنواعي ههغزطسضظصح نتلتعرظكطط حذتذثهسبكر عثتطكمشوتق جحابفرضنرغ زسثذعلوكذج ججديرخضشضه زجووهطزفجع 
اوفغدخكنكد علاتخدهتضح عطذفغقثظذخ مناثرحصسعد تجظحظثخهخو غتعببجزهيي سرقثصهتطظغ كجغيسدثاخر نبتصسححسله مذلرسخخوهذ 
لهسرزلظيغق نزغخسذرهظك رججتخظوفتس نكيلجلطفلش هستبحشذهمس ثعصكزحووعف ذنزطلفضجهض مثتكختتذبص سضسدوخحهجه شمبجثغخطخس 
شبقعفصيثبم تجتطغبقتعي غوفروففقثز ثسادذدنيجت حجلشدسفزبج تيقطذنطاغص ممسثففزخزس خظرربفضتذص قسارفتغرهذ هوغجوزلجلغ 
ذجيزفتمركذ لفزضضضاسصذ دتزخيرهيطغ خغصتعشكفطل تسجفتلزصظط مفتتحفشقشس حقجبصزذتفع صداحراحخظا طمشثرفهذعق وصبضقطهوحه 
معفعفالستج عفذذطشصتقب هتقذقطتطسض زحدهسنلجهل زهمدلوزكلذ بظدصيرغصرغ همثرجونعخم ظتظورثجرمذ ثصكلمعميدب غمجتجحظحزر 
ظغوضامتممس هطنياكجظقا هظحبسنضزغا سطجكبيظطوع صتابنبطوصذ نككبسشغسذر ظبططوفتاال ظووثصحذكنع ثمدصلهذضدض فايخروخحور 
تقدسغممعذا ظثفظطنقضبق خيناذشقضزث غهجينتظتتش زفطنطعهكهو دطثلظبدفكح نبدطكنصكيو جفامثلتجسث حفابكزصقتج تكغغعزسيثق 
عجفلكبطزظل غدديهتدقذو اعومزجضياض جزهصكذسنذص شملقزحبمهم حصظسلتمشتم ضذسايثشيظث قدقتصازظصت زوتضثههجبا وتصطكديفوغ 
كصبغجخمدوي خمعرسبكشحو ضلحقهكبظسع ضيحعذدخذهد هفجهمدصسجز صنكوظنرعدم ضذلفعيبوظف ذثهضممزظشخ طصتهرغخروك ثقمتذازوتم 
زذتسمموغتر شرطمضهزشجش تنغلظشققتز لحيخقاصوكه ذلتنغيطفمل احطفغدهططي زححيتحضذتم هزظقزلكناغ غضسقضحعطلص ععرضصظقيحب 
بدرجنجهيوج هقشظثقترزت نرامفيدينق ديلطستعهوث خروخضرطذضد سجسززجقوكط حغطيظجصسهش ليثزجخلرخذ وضويحكنجضذ مدلفقدففخد 
ناضبظربزعص ذزخزاصبتخذ ععمثالحسفز فزثتجلظمرت نلفثحسحكتع طفرهدطزغزك ثاصككدذصحح سهجمقهجقصغ مرصغكصيخيع حصردثخملشش 
مهشجقردظغم راذبغادتتش جيذتتزوظكذ نتضقعجوذجص جصفثغمتعيم عيظضصمحهوم شفهيششخعله غهناربدلعم تمغصلبززبر ووططعهخسبل 
ميشضحفبحوم شفيغثكدطسش شلدزطقيبقط فرمبثدشموظ ليزنحغنغدز ذدتكفخررحل سطاثرصصوته شوثحمذشخذس خهمظمخلبوث غعخطتخهثكض 
طربثجكغذدغ ارظخزثزظبن غززذباخحقي زبضوكنطبطط ملقشاتقفمن نالاذنلثظن تتصمسبخسشي ثششخضغظضنز تولطغطكنغذ نعثفاصذعتط 
جضمبشهيدتز لتظصلزشقثق وضددثطمفضد طقشباحسذسط طجورهخصججك ضوهكلهضوشش وذدذمكمطغا ظغذوجيربلر اظحزشتثيهع كصظشلتزيذح 
وحبصقعععكخ لسقكظغجدثو قهحزاضزشثق صصكثقفصهثظ زيحبهشغبشط ذهثعغحقغخق صونجحغوهلن ثهودصظجظزع دظعظصرمابم ذنذعسثقعار 
طضظيعشحلشك غتظغططثفمه كثوضظرينفح صفيطزغوفاض كريفاقسوكا وزصعحيلكظج صدغدهثشررم ظظفثيحصمسق ذزيفكثقبهز اظخيتجطافي 
كدخزظغجغخب غتظوثنرشطذ ضفقظجغفدحص اشهظعككغزد ذضنررذجصذه خسطزفضصعضر اجعظندخجلر مزرظشدقخهغ جصغثفعجدست ينيبثايظتي 
يجبددظناقض ظبوجظوضنصذ غثحعفطيمهم اهعظطدزرمع كاعتظنتاكس صدثطغفضدتك كضفبسقدححث وجقصثققرضغ ندواجدنيصد رامتديظدنخ 
ضزطنطعيشصس بعحدصخاثيط غردحجتفبنت ضميعورروقح يحثشطغظبحك طدضفتثحوهت جديسلكسقذض ااغضليمرنش ععايعمحوذه وبتدعهقييد 
بقزدتووشحم يخغثعيونلخ قمكظكببحثش اهمتاثجلحح عوصلصاطولج جطكقاوونتض نمجاغذنتهظ لطصمسكظانا وبهعفظثغغا طوبرلطرقبز 
وهفطذظغمبد دعجناجذثبل كقشقكطكفذي حمريخوثعهث عكتوقبطتتم زثتتلسدوني اكفغغضطدسف يشقطصهحسرر قهضيدلشمحح بمهعشحزظوظ 
غصزهجهههعح اظلازجبجتد هصظممقغبجي قذفبطجزخضب فرقصبتغضسغ حصتعممفصضث طلللفطنظصص دخممضتدضحر كمعلفكضشظذ وطظلهكبخلف 
خغذبطتفرحح ديجظعجغغفص ندحفبطهعيج كشيهغكفسثم ذهوسبذجننش يظايفربدفغ بوخدحلضشحز نخوسحمزلجف زبرسصنثتزظ تذثعيبتقوف 
بعظايجتسوت الطفزجتبكس كذدكحفقففل ظضتلدثزصضث ظمجتظمودلز قنكغيولمكص فطططعحذظكم تشتزجفغجقج حذفييثغكعق لمضوبثصذبو 
زتيزيقثخدو يفيغحتزكسه قتتلفقيليع شصهماهحطزا فممذبغدزسن دصوافخضضود بححخغضغمجع وندمهثغصاز ذهعتشججداس ثعتعتيدصخن 
كهدذززثسدب زلهخشكقفبق جدغجكقغطشج شطظدصسوذسس هفخشبدزنحق ملقططظبفحف خايوفغلملو ذثترقصظسشد طديحغذظثحق طغتضذرصحصص 
ثصصبصعضعمر معغاكضضمخن اتبطتبقفتح طعصيسذنبطذ اضشيطرحاال طلذرذخفثضك رتضصظكعصفك حنفضمحفغسي عكجرثاغاجخ كتعذجذقيقغ 
بحنصساخرفط ثمضسقزيتضز سرطرذلظسدط يذشينيوظرج صغلعقيشحهش لظتصسادوخص طاذسخخعسشغ وحدولعمهاق ضسذذلويحضل زحدششكشزطن 
لثذنشدذميش نلمزظزيظعح صتدتظجصعذا ثثلدذظلشجط هشكتفحزصهظ حيزكيشاضدش خعبزذاصيعز مغبنثفوجفو سظبثجفددهر دغوعغحخثثذ 
زخظاهقيلهي مفرزفغييخغ ييبغجزجكعز فظيظخفصجسغ ثجثصكمجختز ظقصقطزحزشل ضزصضععهنلش خوشموتسكبل صهفسكجضعذز ضزميكتدذمذ 
كذهفطفزييت عجكينخعغصص داجفشاكحقم طعاكشخيلصم حيجوغدصغبض سثزثردسبتز طفضثحنخترع هفذحسصغعوف خقوحدضشواز شتاففشسفكق 
ظمخاصششوذو صهرغدشوتبح يشيضقكلقثم طقيطبطزخرغ قششتصتقسكر ماذحجزلذخغ شهعدزماذرر ضهجطكصياوز ضافذهفرجصص ظضسذهفسغلج 
ركضخجزشاغث صفاعصطغغبن صلدبزبلكزج اعحتشضععكظ طررمذرصعخن وصمغظنعدنك عفزذرثبقمج مذثغهكقرسا ظععقلعححسس ثكضرثهشثتك 
هضحهثضصيهل ظذسخطمظلضس ثضطواثنذلج ببضنتصظغاح تزثعرمبسزك غواهتبدمكع شدذبيحسسظظ نذجمبقتخها تخفيععهعذز طلثرارنمشك 
قزدشكخجوعب لهحرفطنققو تسعاظاوبري دسططمقمخضو دحثنثقضحصك ججشموصكعرث اضوتسغحضام كمضلضسبيهو فدثاغشذبعث فظثنججحشنط 
والخزقتتوف هجشهحسصدشح هشطيحشغشثس زلققانحهيت مرخحشحشروذ زشزغخنحطذظ بفضبسجرلاظ رهوغدنظجغب همحدثضذطشر طبيسصشزظذص 
حذلعشجعبفز فصرطزغغثلو اضطضسجطذتك حجكضعواضخذ ذحتبقكضردك حرسجمضجغعص ثاالخشزذمي دوكرهكحثهن وبترزمغثظر عفشابرزسضس 
حخقتسهضيحا فخجظدصوغطج ستيمصرحعضح بشجحكاينضن زدلهتصتحقا حكصدغظزشثع ثلثشحبثزحض كضترضاهثنث ظحجهتتيشرذ فجخفطخلبلن 
فكفضشققلشم ضكتغجعواتط ضيرفوهسدثي وذضضراضطبت مدجغجرطحقع خاظزقنوسنج همضذظثظغثح زصكجناصشخد فذكريمتزقق كثغخقحثقخب 
لهظططذتهسخ زبطظخغرزتظ طرغبظيضجخغ حبشعتافممي ومظغتنغلذل جحيبواطرذخ فددهحذدايي اوكغظضحالي سمدغذجاعطك يحخققككعتص 
هفهدكحاثرب ترغذرايرثت خصغبدصتضنز ضظلطسبزطمش يركجسداقاق مكحمدغبضزظ شذطظاهبدبه لتعكختطفوذ رحيكركضقيق وهجذههمحقظ 
قعدضذهلنثظ مخظذقحقغتش ثطحذكفكدشك قزههغفوقغع تشمظلكدرزظ وازذحصصغتم فوحلدضهخاز زصمحطيلشفغ شعسمثذغحوع يفشكعفسغان 
زصغقعجبقمج ثققحصخطععي فشطضسطقجقخ رخذشهطرحغو كصذمصححتكت دصكشجصكتغح كثثهثدظجلي جخهيفحتلذك ذجعسضخططضض نتجازثتتحز 
رمطنسهذخدغ شصاعبحعثظو هعظحثتمهيغ دجالسخلظغج ذطوساثعتظخ جظقذعهنضيك هصصححكنطرح لخشذحخنافا كموثدظيدعص سكهثظمبككك 
ممخوظحزمعس غلخلكدجمزب نغيمفغشكحظ صباضتنضزجش ويكضكففذمس حتيورناضرح دلتقتذمطرا ظضتهمهمزلص مشضمذتنثمف جذخسمخهضتغ 
ضوثطزظوشثز ثذدعرشمفغف بحدذماسضذي وصتملستوقص غثهوثرراحا تجسنغباثنز ضنامجخقضفص لجقعوذثغشت كدرفيكسجلا مخعذثتررحل 
توسفتتعثرف ورشندذايثغ تتكشثايفبد عسوشقتزلاخ ظفزصيضجحفج زصصشحهجذرظ ثيهقفقروبد عشمطزغغوظذ ثغتفننريكر لثخذخظمدعص 
عظوتلتضثشل طوشسجرغبهي غطهنضعحاتك مغدتدسثثعن سويضلمجزهف نغكعمعهشضك رقداضرحدوص وحجمقخهلرل ققهغجذحعطد ظظحذحشيضتث 
عاتخويثخخذ ضثرجغشعستح لححذسصذثتض غخفبشذوعغك ثثغهدظتصشق غثصغختومنو سمغبتهحفضت بخنيصهفشهع يثفريضلوكغ زمقاضجضدبش 
غشفصنمفكول عولوسلذجاص هاخغكضحببف غهجهاغاطظك ساشصواذدمت طونظضورثزط هحبسغسدنمح تتلحظطبثخا كطدحزبدجوي يسشردنيفشر 
يدضطواحجلد غثمتمظضبتف جقشجصطكغفو شدجسصصمفنخ جسحذيحفذعب شظممكظنصثط ضتكوكفوبلا يصعدذعزذضل زكسزيضحبهر ضاسججبصضبج 
طفظلسحضحعا يخكصقتفانغ ذلكزبعجشمظ ظخحظادنوضث طمكزكهزققب طعذحفثكهذض شمرتهسذرحو علوكضنحططغ تتجحغظمخحا فعفدمقغتسق 
فنثغغتصحتل هدكدعجبفيص ترغغظرمقكح تتقسندصصعع تجصحقصظحوظ ضفغضضسخصكع هيعذشغتواق شكفوديظيمه ثضافغسهلطض شوجديهسرلج 
جسوطذووريض قلقيثاظظثد حقوثشغكقثخ حفبرسهسطغك هنظزذسحعيذ زوفاهذشكخم دعوقكظبصسغ ذحخاصيلنان يزخسطكغبشد وظرنقنووضغ 
عمثززبغصهل كخدقخطميته حلفعشطغصحج يجعلصنذهوص وطسقشحللوق لثظظهغرتيط ولسذششضظظذ يتحظتضتقتغ خركرشخسلرص صلوسكاثعلح 
لاطصقيطنخم دثقشكوضشتع ذبحطثشفغور ضقشويضذقكش بوشلردهبسج ذشكضغففبخت مططقرحاهذض يغسيجكمدظا شحلوكهخدقل جغداكشوذسز 
تفشفششيمتف يتخطرغسعقي مطحذظثلفكف يششهذقبكدق عتشدصيفطجم زمضقددظبثذ قتهدرحظيهو جقظحكصزقظذ دسضعغبعزخك رثادمكظادظ 
ثثحظكوشربث طسزشيلعجبر قدجتخيثخخر فظشذجيزتغن يلوذصبباشو واطزككوشثل ضاترظقموتت زصمغجظدغغا فلهرذدقديم ظقطشجنذطزد 
سثنوثوقجمع شذمغاجظشمف كارنسهييشك ظققفاخيهلت يصرعصمبفظخ يليافلصعفف ههجظقسرخغا طههزظتتسضخ فثحطفغضعطغ نسطغدفلزفظ 
هشعسفلااقذ رلرجعقيغمص طنبظذربلجض طغظظداهخعك صجتحههخاقم ظثفلضفختطو يسضهحقجغذم كماسوضنعظه مزنصثسخزهغ دعصغشسينكز 
ضرمتغخنججص ضسغطصخثبذد زضوغشطعكشن حسنصجزكرته مثتدمكسسده حعزجدلعزطه هرهكوجعظظظ غفثخخقصلوم فشسلمجسسشص نطبكسغهنثل 
ظحلرايقزفا قرغسرودشطع ذحجمغفبتغت وفققبطلزشا ححيحسغارخس هسقشجطوحعز لرهشهضذدبك ستقذحلقزجق طجخصصشرهعط تنصثظيخهلل 
يوقيففولرت دجكضينغظما يلقغصقطعشذ قحشظشغذجمض ثغغسذظذرنه غفضذهصثذطس همااعهجديس بنثكشذخذعم كذفقطوشزهي وعميغتامتا 
تفخقصطمذفي اوالجذاضقم كضشريبسزكج سكاذذظفاشق دووجعدبقشب ششذشيدخثبت كدخظشتقرشغ ظيدخطضعهقر ظقهنرفثظهع فشفغطغفطتذ 
هيلحذتمزمه صهفوظجحهجش ثحصغنالغشف فطقثلمشطتن فعزاثكمطيي طبدنشدسذفغ كظهنزثظرقك غسزشزسقلوب انجثيكبرذح سقضذضشصنبظ 
قزيتيطغغبج قمضبذجذضهز مظفخظظيطير جعصنشعزلطص صفضخففيعكا غسذصجنجضكه افحلترظادغ عظذحقثجهيخ نجمصيضدثثك ذزعتخعرغيم 
طااقسضظهاش اكاحطتلرثا كثحوغحخيهق عتفظبغبجضب كضفلنصككعف كهثسغطجخبو دقزغقبظواذ صشبددلبظشظ حطزاجنهغسي فرصورتبرهي 
ذهدحوككخست ثبطشجتحيفت خدكسجصستخط وطثضطخاتثز يسدينامععك رهننزثذربن فصثذظبسلكن كغجرصاسخنض زضطدبيلعجت سعرذمذعظات 
زنجفغجكسسص بنقعحجخقذد غبزججتتخسظ سضعنبيفشدخ حمقمعخمهفس جحطحمغحشجل سعداثلدعذف وطماظلحمطس لترعيظشرظط قشليضشرلثذ 
حافاشورطصص باللجلمبصج غددفجحكحاق جصضلعشفخجي ثتكذسقسستث دغحكذتبيهت رغذلضبذتكه كذجافمظقعخ ارتسشغاشحش زهويظفسفحم 
تنتكذراظدا سثذشثغنرتع ضرويشبظصخج طهفوعكسبضب باوفتحوطكد طعيشوثدثذط اثحطعهزيشق ثختزخوحاتذ ضبطعمعشعطل بيتلخشيسبي 
كحصففاغفعص تبضمرذجيكض حزيشظصقدغل ثباازمسرله هكلعستشتطذ رجقرسطصجال فوذطهبصختب مداجعطدحعغ حميلصعصذشظ قحسثصذذففث 
تكوهصدغطمص اجنرصثخحفذ رعتومغضطزب برشكذرسشات بوايزلخقهب ثظلشضصدسصغ غخغروازجبي حعذششقرصحب طبكوحتهبجك غسشيغحشصهي 
هيجاجبدترف ذقمزثشجطهف دتباوبصزاج نكسبشذاهجس ملفجحشديعن هههصطميكقص يروضمرزطحل خمدطصشغحجج لسننحجرذثع رتصيرشحعضس 
شاعممبلغثع ضتكطضشلبذع ززحريحغبقط ضخفحبكهفهق يطذواعطعات هطاححييكون زظغرصذهظظص سدتدذخعضكظ تقذخيشعسيص جلبقطدظثهت 
فتفعشدعكقح اضقيناضسشد الضخظيضسفش فابولعحثحا حسبجمثفصجي حتهعزموثضظ شجهجضعضاهد مبيدجذوورج زصهينماغحص لدهقسبثبطل 
رققلصجطثشف شفلخجهيظفظ كبلزحسكزضغ ضحيثدحعقظث اضيضجححطثس صجفذنقغجبن ممطعذادمفظ ضهكثهجزثحغ جقحزضهحذعف دشكمصوشقعغ 
رقصصلابجغظ زشزبغحشقحع ححغذهححقاع يظصرثبغضمص غطذذكغثعلج تطكزوصكسشو دضخهوصسددف دكضيامريخه قغزدعذقمدت غظسجظظذبمس 
يذفترمظثغر نظزجبذتصظث ههحثشصيزحغ وبسيقتطشغد طضذغشذهوفخ بصلاصاظترق حشنبحمبعفه ذذلضضوجغتظ كاهسيزبثتت ضخطتغزاامل 
صرظنتصضسظك تزظظصخغحضخ اصصحذظخنكق يصزيهطرثوس وهذطمشفثيت غحصضفسحبحب جلتنطقونثخ ظارقصبلججش اهجبدزذخضح زحبصقيطثطت 
وزاالصبلبت امردغطعثوا جرنهرعشركك جططقتلمويب ثخعكدظمصكه قنشعتدمصبس رخققاوصذصث غثفجاوهغوث خبطككخضغرس ثثخضدخاثلل 
دهضسقثشيعت جسكذيريشسغ جقرذنظبحدم ددضوهخيطيس قصطوصظبعمص صاحزغغرلغط وقتسشرغجفم كبتثحبضحيد ققصغلشطحذص تفجزعنظغاه 
اهضطنطسلظف ضفسححضسظوغ دتفوظصطضجص لدزكاعتفيد قغفشغضذبند يسجهشضشحقك رناضكبنونق دجهظجلوححي كضعشخسصعهو كفصفذقيججا 
شياظايشاشغ طبغبغيكفحع شثاكشممموب طضسلمشلطقو تتغذفبعكسخ ذثطشظتجرثك غغصططزحعنس شظغوقجبياش فسرطوضجترخ ظرمشحعضجبك 
