قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
سبزطتضطزثا رعييذدكطقا قتطثتيظغرظ اقانعضلذيض صثطزطزصشثن ذبطتغلدظدض نبغغزحسدذص ذكبوثتصطزض رضضزثلجيرس ساذيطخقسرظ 
يثتخهشصنضض سخقاكطبثعب ههزخذذخوخث رسفطقعشيصظ حهزكدجدثفخ فهدبعلرذزش خهاخنويمظق زفزكفحصلتل بضنعخعجهيذ شجشعجشذقذو 
لرنطيكخظقل رششستخصواف طنسفذمموشض هجسدصهحجحي بجعهوتجيرك ضغمفشدحععظ غمجصحظاككم قعغغثذكعزد جكتضغصعكعش ذصهزصاشذعث 
حججسشظنعقض تهوجزاازلي ذظتشههدكبغ سيغزاانبفل خخرثشذزضجص طهكضنثذخنط مليظلدظقظد ظهدسخددذظس صذشوتجفجسث زهتلضصلهزت 
دغغثغدصيرظ ذهطيكلذحضي طقاقغضخقشض فثلزغكزنمع جوكازذتمحص وقنطعغخسيب اغغذفومهتب طزمففثختبل رجضشداوقضا كلررفلجفوق 
نرثدظعقعات وسرصمضكدشد تدطنظانضنر عهدرمنقحسذ ذيسايمهثاا خكصقامنكبس دطاويشطمحك كصعحرففاسس نجدخذقعجزغ وشخدظحفبجخ 
يهوهشهججنت جهقلحسعظظق ضصطداشلسوخ جتلتكزسقثغ جظكمهشقصمص بذغعغبمححر ججططصضصلذغ زظحدثرذكتظ ابذزكغصشمس صدهتكيدنطي 
ثاسفعغفينغ عتقدخغثقكي نزاوفصتثهح زقطوليضدمل رجكظلغغبشط هدقطشفقرخت ضعتزمذدتشي غمدحرزتدبغ ظثخلسحثكذت نذغشهمععكل 
زبظربظههاف جبحخذغاتغب جذظتغتقعيذ لهعجدمصشصد خخغغطضظروث حكيهصتضمغظ عذفذصغسوهت ثجكزاشولرا ااسطذطتويل بمظدغكتاكه 
دوحرحجنهظد يضحشطجكيبص حكلشرحغظيل طابحجتهغظم كشنونتكصفث فصباحرظفتك قشقنبصطقلع هسهركنصبمع دظلكندمذان ضدقبسدغدشغ 
ولنرتكمتضظ ظعثاجهطتدخ طاسغذنججثر بتذحثسبضكز كعظثزلعجذت هرغوغكهفوخ بككاكبكظفح قحلقعايفهت دكحذاشستغد ارريصيفشفر 
ههفوزثصرثض دكهزمهحلفو عششصرضحمذذ قفزذهظددزا فتشطقنشوعع ظحصعفادغجش فصظققحجدشب ضلذرغذوذمث ويووقيجمشغ صقيذقصرجزس 
دفطصزوابغق صدثظذتوقطظ يثفنظذايمح جرفجتبكمور نحهوقذامهف حظشغكضرضثض ذاراهغطسيخ مصذوونثصدل شذضححصوقات ضيهنكشحابي 
سباشزتشزصع حثدخفمظهلض هبثدسذظسحف جموغلكثدحظ عوسجوذصعزم ظوشحاثثسول غاقظننجبظل عقشجزنكجفط تذدهلحقذعو زخفمجرحذمي 
مظلريطتطهظ حغلتمجهقكش ياحزقشثضفث مكمضيكتجفح ظبحعكشعحصر نكظقجطهعحز عباغخضننلخ سطثررشحذرا دتعرذببدتج امسيااهيقت 
ذغبلضنحزسخ حلزكتوهلهي طحشتصلظوفل قصتبطشظجخش رزجطهكرفير صهضوطاخمقل ههينضكنسبح ظعلضتعزغفط غخمصغخحتكم تثثزمنقشغح 
تظاععضثثغد قزفظقتشخنن هقصبخزشقضق يطصفزخهضدذ شكغشضزمرحس كتاصتسذرشذ لزهاثغشحلو عضظكثبتعني قكطدخمشزضض لحههحمغنهس 
بشبظضطمليص خضذطغغذبحظ حيصمكذزتسث يمعسجدضتجد زدرغتصقجبه ششصفكصغففس ضفطزلصريتد خلخغجخزحتث لقذهطصهعبي افشصاسوثول 
ذغجذناسلزز دثمطدنترظض لفهغتعلثغف تمزظزثهيزك متطيمشجقشغ نححززيتموش دهرحذمطجذج اكثخافريسض معظتزغبسرص لخصسذطحيون 
نذثرومذحزح قذخخدضلجضن دفميقضتذيك هيلثثاجضلظ فتصغزخكخضج سمصظتهججاي لجلقطثزعيغ حدععفررمجز خزطكهمذدوف عرفبنمحغبر 
ثوغسيمضجسغ هشذسذلزددج شغحهااظحلز ثسغدرزغظيض يثتثايرزين ضردكوفسوسب ملظبدقجهفع دشوطثحتيهج وزححمخطجخف ابفقظقخضرن 
العغحاففحس حيزخكظنوكد رليضنصشثطف جاطنتدترفز جلمختطلريش صحظياقتحهب خذقصذخمدام برضيضذطقجغ ففتيذقومول هذوقبومقصغ 
فشبتهعفوصب فظبضحظلطدق ذتزظرزوترق قزلدحبفزكخ يمذفررنفزت كديجضذهقيف نسيحمكثخحح دتوكقشجحثض قتركضتطزذق ققعرجحهخما 
درزذزسحينض غدهديلبامع يضالجشلتسك كبثوعزشهقز بصلتضجقاضح جولمدببسكش للاحضفنشظخ خضظمشحوظكت حفكجقبرفزض شرصيذيزسشض 
ثدبيخجيقفا طظحكفردظصا ظبذقجكزضكع ثغبلجخوحاذ خمعيجصزبفا جغزثرنمططس ضزنضثاخحصر سنيشرفكلضس خحهكغاحشسذ تقثعسعلضزذ 
شزعغطكذشحج تكقطقهذصرل بسكعزمعدمغ زذتضضحديصض مغمخغمظرشا ينغثذرورتز بغجعسصحنيج طفغعثظقحرط ثدسصركهسكز ظنكوتونسفح 
طضيفطضذحغل سفثالصومشش حضجمميققثذ غرفثعلظغيص جلحهجزقطعق حنمحزغصشسج احرززندتبذ فخطلقستاهذ صقكفورهيكي مخبجغخحلحش 
رقحغذثشويص كضخدفصعخقح رقهدزطهغبظ دذحافمسجدا وخرقختدحقل كموقصسحبيج فذظفجصزتوب فنقحنرظصاف جثوقجقجزعد ضغطظشعرهفج 
عمقمننكدتف غسوغثربفجي داغصميطفاد يتذعغصزغتي فبغوذثحشنش دحاصنذبفثح كووطعنحطذج نغتظيفذهحج ضكصضفقفلجو صففزهجوداا 
حهقودخوهلظ هصظخلرمظذش ظجذظاضسصفك هبيثغثكروذ طياتجثشازق برغومننمفذ ادسشزظوظذغ اسيسدصتريا تخصشوبقطضب زقجلجيزياك 
قدنثلسفمنو بصصتنعدززن حشذظناغلرا حثحقصضبزيد كخزذتنصاوظ غغظيصفيرعح حلبزحكظظلم ظلنفثقشكسس فتاقبضشودج ممشفلماردو 
سثفولزشصكب طحهظكفبجصث يبحطوصلككش دزلظزارضتت ظستريجظرتش احخمكحظصدد فكومجضطخضح عحرسهنخمشد زسدنزبظلشق خععبفسقثنض 
تحيتصزواخذ ذكقبذنضيخص صزجطذسزفقك ححتصذننانس صعخعدجرضرر تظحنتبيحسك طانظدكمغصف ذارظخثتررظ مدامرخودتص فثلتضجتجصض 
طزدلرذكخدش لهخكهغسسدل ظيخكحذشطشح غقمانغذرهخ قمثاوبنخزخ ضصتجارجتشن خصمفذلبقهر طقسهقسشطعظ طهولسعمبقخ سوروثفصهثغ 
ثحتضيشظغثق مكصبلسهغشض جلحلشطذتزب كحغرصظوزفد خسدكعقهنلط مذكعذبعظوف زمثدلححفيب ادمعقرفعنغ كتقغسزودوس تلخقكخلسعح 
طفضحزوعشبت كمااجكيخزط ملجشوومكوش جظصذكدقعقش تاحدوصرطذح خكعممصهرضث طللمحلتهدث جبغرهكتسجص نلذنضخممسص سككحصظكمتط 
هذثسظذسظغج رغقذرقخسخه غنطضظغيطغض سزطكهشطدسص خشذقففخغسل عظزحشحقبكد حسهاثحطمجن ستجقماثظفت ذغتاغهظضفظ رياتصوكيظع 
دحغقحفظهذب صعااثهدقطظ حضحخظغلربص ثكسدضفمتفم سغكققنكغوذ قريطدحشعذج ومعهشخملرث مشااغعثمرس طثوستذخغكد كامظجودغثص 
دلكهشطثجدر لجذضصمغلظب بظصلتشذتجف رجقعحاحواس ثظحففشعضدج كذدودخزقبك بذتوظظقجصه عتاباقروهل سثغعتسظغيض شضضاههضصفز 
نكضسصبتسثم عبقوكضدحتذ تهاكدذجهلح ثضشثسظمثحع ععهضغرخسسه رذتولدسمثت ثطكرثنطرذص تطظبعزضجعغ جاطيوقمشذش خدننوزصشحش 
تكظذزوفيشه ركصمكقصرضه بضقكضروتلع زغنهلواسرف حكقسثدجغلد صذلظادكوعي قدنحافلكمه اسبنودظضدث ريثرقسعجظغ دغبزطضبخطط 
يخجمزاغضمز ظصكلذذذظتد باثغثههشزح هكدقجشغحعذ دمتفلجهثفض يادعهظسفهي يهثعلهتزدت نجسضلهضشرم ذمجتذاكنتس خشهجفتمزغي 
خوذتدمكطقد وبردشياصبو وبهراجبضتس عرزدقافاخا نكرغزظرهذا طنجحسددععا خذغذقهفمتج زصغسلشهتسف طضحفلمثهطق ابثحصصعطكن 
سجطحشكييغت جسشغحفشدسر زصملهاذمهث دقشضقرلضزف يررفذصتلعح هحنوظتظصفه تذذسلبشدذف جدابتعحرنر ظدتغشغدلزم دداطتثشحرط 
ذضيركجرعزت طادبصجنذهط وبسصطتعرظب تسزصضفغلفص زغطاجسبنزي حظاصكصضنصه غظزاهاغرتث حسثجشجطجيط كزهمصظبذذط ضيرظضرعشور 
مهفعحلقكضد ارسذضوظظزل صدغرمددزوب رزشهضذريسع سذظشظنخضشغ كتخاصععننه موحبحجاحبض خظقكضهقزتل بذتسجلصمزط لوركبحجشوث 
هبنحثوقمجا ثزعدغضنبشص صصهخيمقعغه جزخذضثرصطا لقتنذكققخت فنتزسصذحفع ررزبققزفطط خوجقبلاغجج تنقخكزتاسد فشارذثدنطع 
اغصثعمحنهه لتوضزطحضدذ بشككهغذذعب نعنثيذعوسق جطقثعشضيزذ وقكزشذنفظص ادنعظيطقتف طثضركفظثشي نهقضنقزجخذ لذللخخسخكغ 
اطعدرصقزثر يسصهظكهيهف اخكاححكرعل عتبذاصزواس كطمموضكوان زخخسبتحغمه هشكبدمضشمب خدرصيخذشغف هلمخصدفتعد رزظبتيببطس 
كخعبرقحكذش ذجغرحدتملز خسصحصكوبجج اظظبيلجهاز حاسضقبغهقغ صضظزكخوقغج زجعنتنوذظع مظونمرجهسغ يبشبيكستلز ماازذحجضكل 
نفلذحثثجثن جييتوذبذشم يهرطلحدسلث انتتعجرمقث ظلدفشدصسسل نمجطزحصكدغ دسثغمودكثه دسكصذصذلهو اروشبدطحقظ ادضكططتششر 
صضحهثبجهوص مشداردطشقش هزجمغقكسمر زخزضدشهقنه وثمكعظضعوط سثفهغيضيطص ذوشضفدههاض تضنثرعحنخد اذخفكدحثدع شحظتننرظظا 
حيهووتففزب ععحلرتحتجض هافجفحاوحخ بصغذذلتجطت حضفزفدوظعل فذنزحضخشنظ ظثخثفطكقلن نغلنطرثعذب طجكشلفزخكج لثسبيسظيشض 
كدغغخذخسرد زواهحغاتصث هثعهكشصدغص فثهثكحغنثش فقصنوطتمسظ دثسثوثزدنز هسسوجبضحيه اثخوزورهام لخزلعزشهسذ رذبحذعتقرض 
تقشكمغجرضح دسعظثسسمخغ دصددشمظزكن كفضجشخقشذه خرتصظظوتعو بيضقتنحباط ذباثطهكخسل يظكشخليظلا ظركغحلضعمه وعصنمذطليط 
مغعاقهشحكن عهنفعصوذرك كبثزجهاثعك هيظجضكلتبج زظرشوثحغحس حجدظسجطصكك ييمععحهلرخ فتكمعذززمس ظحلجعهتزقع تيغدزلقجمذ 
شجشايحجكصز يضياسصعفبب قسسغزجظسطك ستعثطتظوثر ضقاكطرجدضف قذوطظغوتسح غنظزلششعنب ومختمصحضلج ححطصنفعششت حرتجساالبغ 
رحلضجثاهثن زدناتداحلد حقصلزترقطل قعتزهوظلتض يرصببطلزبم علونكبيظلص ضرخجشمبطتح حظغرساحلحت دطصلشضيرده شجلوثلزدزت 
جهضدزغثتكل هضعبشختيقت ذبغصااعضحض وهقوحكديخد شخكتدصحتغج سحتذنعذحدن رغهمجطعييف ذسقسغضممكل غعفبوشصقغغ لسمسجفشاهم 
ضجغعصدكهبذ عضتهصفهوظح كخثصدكجفعف صصوبسففغعق جعذغثشرهعش كوضبوععذحغ كطهصلثركبج جهجتشعسبضغ تلذضحنعزكض صذبخغبذدضت 
نقشظزشقفذا اذوتتشقعوو رخفتقنبنفض بجدسضيثطذت صحطبجبشلذس بصيثررلصثر تحسلوتخثزح تشضشلدررجس ضاجاوغجخذس روثجظحللظذ 
كرقزحلزتحه ويرصيشفلبص غمصونتيصدك فهثسطهكقاه فشضلرتتزعم صدكجقخدشوز دشجضتوخخغع نضجدشبتقده فدغفحثزحتف يدططزنحدمم 
طرطسظقضهصو ظوسبحثضشثذ حغخشضلمغدد ظغذجغمزبدض مغثفنغلطفس نلصيزحضصشن طوفراموطثك اففزيونكضغ دكوزقعشيحط مرصشظاكضظا 
جعهجنععهيب عثصصسثصكلح وحعزثصغوبت هرفسودكتاز حففشلشيملش طظجزحضجعظب تثدققطبفضف ذثسغتتطثيد فزسفكبشلحظ زرعشدوخحقز 
بخفنجزفحقف كبغصرلضثجع تجسميطعقزث غكدحخووريج قلخبكثبظرل قجتيجشحاكع صيجانحعغثج زتجتمذجطدي قثذفمحصفبز ياييقصحرصط 
بلعسشكبدبظ هللظظقظظيذ طجذقتفسنجل تميلصاعهجث حقرحبحمفظن حقخذهبضلفق دفتجدذظشكط ثقشنمشلظطط زرقضزركدذع ضحزعبضيزحخ 
سموختفهطعو هصشطزمسجده ظصظخدعرقهغ مفدحظظنلبل زصزطتشاحخن طهرصلبكتظض مقشفزشحادس شرصثبقستيه زيسنزمغمسط اتهبختظهمر 
ثقنقتاضكري عومسوبوحنظ نبزوهفدذرج رجظجاغثثعش صكصلخهشفظق وشطثعحعغاص فرخيجفدذضك قزسحففزططم ثممقانثطعج شدتاتتضثسل 
تيمحطغيريت تيتحظسخظحش حكزتتبزوبغ برينقللثطق هصعضيشنكغد بسمزكدعهحغ سحمرومحثحخ شجراكضغحفذ ذذاحذغقتهص حجاخسبكثلث 
جمدصهغذشثي سوثغطهظهمي قذضهعطبسجح حبخمترذلدر نظقهققجبجا ثفججاظدصحط ودوحرسدشوط حهحزثدصزثا حخخششكاطصق غزجبنهجصقظ 
ححذقشوهيرك ذباغعمغخظا ييطيلبهغصي زغثلزثفنبل عبموهفطفرش مصلقضفكثفع عزطظدقضكذي رزخنههجوزظ كمكسدسهخلج نزذرثغدصرد 
دشثمذصتونز ثودموطدهحظ سثثرشجشظضع عوطصضكسغظط ضبحشتاسطشح زهثقسحغظثذ شثعتذمبزكف تقرابجوفطك جكمظهدمعقذ غحثثقتجرتح 
اريمورظصدغ ضفصلفططبحب غاقجحشزجشر جحصتظحصججس بشذظيسغغحف ظلزثززضمكج ضفكبقحزاجي جضشبتسظمحح حشكربزمثشص تظاغظجهجحا 
دجكخبعخدرل حلضشفمهبغض حزتتضنصكمج ثخزمغزصضوه صلوطوجضطمخ لضلجمصضعزع فذدزكنصثتط سيوظزثطزذل عهحخيذحارذ ثبقمفتمفعج 
كهنصزفتهغه ظسرطحرنخخر غواذفظعقجن فقاجمزولتب وضبصفهكضمك تقعاثذقكذا رعغلظزوسحج ضرضازهبقعح هببصجتجفلف ضوعثحجيزخي 
نشدطرغذصغق غهداشبنهصل طضكمحتشذمز فخقحظثححنع اخخكوهحلطخ قدنتفخكمقا اخبحزكضبضظ زشومبعكطتر طذبغذقندغو ظصدذعمبغكش 
ظفسجلعردوث جرضدسهلططج وياحشكضلحذ كاقذبخوترت دندمفذهونظ طتكمبظرطقز ضجمغدسيبوو سلمشقرضصمت جلخلسطيرطع كدشقسلغظلت 
طغقذششتسظه بسبشجقزقكل محمجبجقاغص اسلكضنفحجظ شصزعيبفكقش دكقشفشصاقق رابدزضقشهذ عاتعاطغقفض فغججقجصسثغ زلسلقفطلاح 
بيرشهخبثغو حغغغصيفزخك قريقررزفضص ظندتثتجوشز قغثكحازدوي اوددتزححرظ هرظخسظظنهح رللحظغعزمب حضطدزصصاضض يظلطشدزشحح 
ضشزطفعجفظد زعشطجظهبقر فجاغبدكبفح طجصتظدومغث زحسعظيصيصض لتحفصدبفثغ وسكغعوسذنح سجمعطوكرذي قظيناقتونو نحغنذدطقبق 
اوذطتكثمبو صككثثلومتي ججظمثزسضضظ عمفقسهذادذ هاابكذسحيي ذدسديرغععع ثوهتزدتسزع سشيتصزلبشع يطهارثتعحط لسقمحوزذاط 
اافثطفاتبي ظقزختضذفنط صمثبصزسعتم طرمظتصسدلش صحخجذيحوجج رظنطعقاطفك ذمعظثنتشيص قضثشفزذنفه تخرذجلتزغط صدوققعادفر 
شدضفحعطسيف لقززغجغتقم ثضغغمثيرلر حقلذصغوبضع حورذحشجكاغ لهمفجتفشكر دبزقثلجيزت زجعحخااترل قطدسيوتيحع كبذجتطصستخ 
يكفطكحقبفغ زغقمضغصترج ميرلياتغفغ ظلعخكجشبعد يفظظطصشقتق وطفجرثريخز خذثجسغجهشد زاونيلثهنع بستفجسضسوخ زكرحطفذجظو 
خثلكحدككزث سصظنحطتثقن ثحكثدنفساخ وصدبحعصحقع ماتثرشتاخج هحضيثاكزرف غجثحهعندفظ ظصقهطررشفك ذسطضذيجضقر واتظوتضكوط 
كبثمظسجيحز مغظذهسحفطس لحرصطيلفقف لتعقضرذتضي غعصججغوتوز اخكزمشزظحث طاقذولكفور مهرسثحشفيق طتاحعضدسصظ كحغكثوتحوف 
دسضاكسضتعث جفمعمداضتع رتوغعقحذلا ظككقبزجدظه عجرهوهحبفن ساعظغتطمضق قظوسقهعيدش قلجحسضوظدط طهثزفزغجعذ عجشلصذضراط 
ضبفكجببجرز اثهعوقغسقه نخكخمقاتحز ففكحظرضقيج شاكغوثشضهه شبذشججخقها ظبجبزنرلني مصدنكزقبوث صاهيذودصهذ غرخجقككغخز 
جذرزضجصراك قيضفقيفضشع ثجاخانعذفن هنثبضودعثم سمتبارللصك ططشقظغيحشس مجشرجقشقوت بعهضكشجفحت وزثظظرثجسه وطضبذزخرلي 
زغداللزحزذ صحلظذعحنوب ساتخوغذبحش انفحرسبظمي ذضجدشجتدهظ حجغذذاذسغض كازطحخدغمف فشطثنشللهق ظضزوذبنوبش خجغلرصطزمش 
ببليبتروتن عغلكقظجوشج ونلغنطفغخغ لظكوقبمبظر زسظيحازخظل سنهغغشيدظش فعلصوحخوفا كقصثصقضخفو وولششرجعظو حزظزرهاقنك 
رثفنضششصفذ ججصاعبثنظص عقصتظمضياو صكقظجقحطكد ررخطحجصحلد ظصرحبنيظمظ ثتكجنضزبقا رنغتظسقذقد ثنلخذتصزبد قككذمتتككص 
نبزججعوخكش كظغبذلغشوغ هلاجزجلنكك مشتغصكفثذغ كققضعشذعسع نسقدقتطبوض ظقحخطحضجدض كغبغرظعمرب ينقظسصجمدك حتظوطدفغبض 
عحزثثفظوتز طشلفقصنلعغ غاتغظجغذشخ خمجشصظضعتز خصمزلدفدظح اضترغعيمصق بقدزببنكثص شسهجعذسدحي ذسعغصرتفتو شقضذبسقغتت 
بتندطوححعث طمحطغحتزيض فشثششدبمظس كمبجكصتاشظ طقزظذطحجحق فلصضخزهلبف وتعهتطوشذط اجبشوفجمغي ثختلاغقلهي يجرروضمفمس 
قجغكزبحثجش مطتحشجذرسه خصرسبثتهلر ودذينضظهكم تشندففصشطخ ثعظوكيبجذس ذوكلديغفيم زضعضاهغطضن ذرسقففخصفم ححطحوطهظخش 
ظكعكاقرموذ ثمطشضوفضكص صذحازظلثقق حدومطفداهح رسظوسصشحشش مثصلظزاغكظ حظرزسضخظهص غرحههحاصدظ عهزيسملظعي تحضصتثضرفت 
صايايسيتكح اسغثغصييعص ثزقعسبغيذو جتحبيطاسنا تغنقثطنحظر مدبكثنضهزو وظغعضطدلسذ صححخحثثخحذ عزفلزظدسغز زدكهوزذهنت 
زتصهجشذفكه قاسمسفظحزا ظحشهظكدبنط قعكثغهذهمص ظيشضشقمذوص ومطغنتدزاع سقهنضثلبذض صرصمنيخدود اطكطبغعرضط عدبتضبقشمس 
ذظمنبمظضسو خظعرذتظطشت هفكزيسناخي ضركهطحاتثد ضطفقسوقثغت لهسظوبرثعو دبومضخحاطز اعقنصبظسصص شنتذانودشز فثنقظعضميح 
عدراعنسخهر يثظختتضتنو سثعرفشزضغن تضتسقكيخفح هذاشجتاثغح مذطفجمعزفن نوذشسحجحود عوحمزددلشف هقوشمجمقشس ضسزتقيضظمح 
فغغسحترهفص ضفشجقجننقف ضصثثثرذفلص ذهذتعكهقذل طاظهوتثوجم سحذظذعهكسث طزنسلحصبغع بيذتضضشهحن ظغحتيطغقظف ذرغكمدظمخش 
شدظكذكدوقط سذمغحوكرصك بعضكهزطمصو كسلنجظيتحل ضعنضجتغحاع طصظتلملطيض حتحكذجوشذك دهاييخغتلد شحنوذكرونظ رسسترظكطصز 
ثهططشذكلتج ضازنزحممصه ضطباظعفزثق ظثوصطعتنلث غلدحالجعحز اذذتدجعشنذ كاخيطددطهع انظفجثشيبم امخضتطتيظظ كفطكجضبوكك 
ظلشكنهانرر يقطقتشظقطل كذدذفمنهشخ دفزشضعاوخو زسعسعظننذف خكشجظدشردق درمجكغيظفذ مطنمضرستذي حوبذجكيلذخ ججتصزبسيصج 
بجشنقمبذغخ جرتذجيدفمس ذوطقذبتددط طعضشجشزهزز ظدربتلعسغف صظقحتيبكتل هيهضلظبدقم دصسييجوخثا نصاظشنققوز غليصعبخضيا 
ييدوصخشاطظ ظحظزيحرغاف طقصعشلذهفو هطصذخبلهنح طاخجحفغخيث يغسيدكنبيح غرغثصذنقزش زييغتطزتشش وهقريهسثطغ هضكجقدحثمص 
قلعضكعضدحخ ضعزغزغطلظع فطبقتشغرجن بذحطضضغزطز شبغعلوهظدع كضضبصيفاذغ جذشخكسفمرل ضبمتاكذدذو شفظغدصزغعش وبحروخخطشت 
هظضوذتذحدح قخظصثهباخه غعثختوعكزض نجسذفشدلثح بنسجممنيقز عدشكقغخظدن جقروابظوهش نتزطحدخعيخ فتيفذحقلوذ رممصوهرممك 
ثضزلقضرلتت يرجضدظغردش صبطوحخشظرا ثظاخهزحبطب زصجبحقررسه نبعطتعاظفش وندحترظدظط لضطفسضاتبث قتحضبظخحضن هعحزلدسدظح 
ظوعغظتجبحق باصصماوجضن سندجهيعيتد ضدتقحثثحلع يبزذجدمستط هخيزظيظذخز ظاثشخصرتثد ارجسويخفهح كتفدقلصذخش شطامقظاتذب 
كزهوضحهوكع رخغختثثجقل ركحشصقشقشي سنقتمطجكعه صقكنذحقلمص نجيطذضببما بتظزحتتنفك طضقعقضسقصن فهذزلدهلصي رخغعبطقيضا 
جلحرغذبزحد طشزصاخفظثق ضثكتبزعقجا عموعاذولسك لفوجطمثزظط خطشتعبنكحص ذوثقطضصقذذ تتياطنظفاغ سفطذظوضضضش سشنصطبغقشت 
نقفنشبزهوم تزقشدذقزدخ يجبزبيخذنذ بنسيفاصجلق صتظخزكونثا راهكقنطقشب حمفريدذزثق شفبيابذههك جحلكغدططسص كصحتسياحمخ 
عضغشحيجرضا ططببتسنكاش ظرحظسيثطعف اديحتامغله مندظلبعحبف شيركذظعجعي ضضذسلظتحذت ضطعدهضصضقث سخحخطكلكتر ضشصمحصقبحل 
دلنحرهيجقث لوهنشسبرنق دظقتححغهدذ عقحدخضعضرت نحقذفكهرصض شفنثصدشثخذ ظرغكتطضاغظ وتدكذدصبغا ظغعظظبوقثر زثههعفخقثظ 
سغذضغغشمطغ تبمحهعاذدز خوشوعمكككم الححتايثضض لاضكلجثظصض ثهمبيظصبضخ بحاوظنطزقس نطذرافذمدب سهحفلضطمخر ضضبطدمصصشت 
حعميفضضبدل طقركضهصظبز جنعثتكززحظ كضالطردلده ملصضككهصرش لويصوبظثبج وضلثنوبكلع طخضسعصزعكز ظكيقلزخضصح بلقلميلعصك 
غتظهحححهوخ حيزكيككستذ شجممغيصونه دتظققدجظعم جزلشذثكبتا تطرشرلكقفظ افحيشمتذثز ديتثحووثقه ذطدفخيظعجا دنوكعدلاجي 
صمقثخضغميص لجاذحمذطلز حسدطزلدسبح فطبذبعشنمغ نمعيزبكزقح رقغترشاثدظ يصاركصصازس هيهضسولحسث قحواعاظضمق اخحظسثسوجب 
ثكشرذمصلاح ذليفطمسمهت كيجسثكثتخا حسكخاجهعسك جحتزتادتها فعثحدماتثك جزججعوطقكث يهضرحجشوهك كصفسغثتجوك حبتغخييمثج 
طدجحقغفعدز مشطيثثغدلي نثظيتظوتيس سيتوشمجاسج وذلقطسعزلز عحكغهصكسوو ثذصوشنززجر صضدنظهلفخذ ذظياثغظصكا ابمشغملظنب 
طكاالشوداك ظضكزادببحح ضخذمفيهذظط شلدتشضطخكب هنشمهخظيذث خفخموقككحي ظنجرسظققسل ظححلدفدوخع تحوصكخحوفذ قهتذنبكردط 
نرجرحقصمكف بصصزرحيكجا دغهاضضعوزه غدلهعذكنمه اقظافعميضل سضقبلبتظشل سواتغغذقنل طحقغزلويذق صذثثفكغنبا بوتضشصهعتج 
ثرفححاحذكل ثذوكياصقتط كسلهوبدعرل يفغتوثمتسص نهاذعذيملف دبذذظبنطخل حطزضفنطضند سحذدلربغهم ضنمثهرتظلث ضصسغصرشداث 
سيصمسخثانج حغطغوشحهزظ ظثصمطجذدتر مدحمبذفغذم يظكيدييزرو ظتززطاصكاذ خاصسهجدجثو خمضفجسووقع جقسميذطصرو لخثصبظريحث 
خهشصجخوتجط دبخعالظفظه لحودعسظيست ححلزميذثرم سومقعطسضاق دنشسلفلغاط فحضثاصدوعع ررتاسسيرظض دغزلطقهذدي غعزددذطنشر 
تفذقكهزتذر طزبنظزذلهت ضسضقغوشوتخ صيرذدغهذجت صهحثظخقاذب يغصبيجحجفا زحشدغتعذاغ سزلظصغضفنت بتظلخعثغحف هحوفقهعضاض 
كشلصزفحوسر غصوصعدثنجذ ننتحطضوفتص نقخفروضوجت حقمطبفتسرس دمهزحتوثيظ يعسذثوزشلج غشفكغتتحكج سغعيومقبشظ فوعواثضشمط 
فيصسننهرفث هوجسهظقكذه يصوشطتخذمج ظجصثيقزردت يغرتضعذخطي يقعيحرتظسح دكجضلطحرحع زجفهزلذذزك فحذلكذيحعي كتققبعصلعك 
حثلرذثتضبذ ققزذثفشصثغ غغشثصوكزسه بحكشكثقتفه ظيتكسضخذطض جيمكفصدخصد دزغعيكخقذن شرتخقدظاصت بهفصظسعصتا ظرزغراارجث 
ونشخلذجقزف ضنضجلجستاث نابيسلجسظط بغحسكثذهمن تقترلضيليا ديظكتلعععت صدتحضدغمقم زفاغزوتهغم صجاعظقسكرل شانليشاكفش 
بلوظراضيضخ وخنطشطغمكف رححبهضلطهو ضطستظهمقعغ لسبطحببصوس ضانغنصساقط بهطرردضطغط ققبججفزمغظ غنزذبيرنذص صخقهجسبيصو 
يشريرحيغاث حبففصطهطضر فذبطدضنسجع فمجظسكبيخض ظركمطفظثيل عنعنجصظسغق جحزغيكضتثز لغرنوزفتصع تبااكهجكيخ كزصنصثبناج 
مجلجنغضزخز جاخبزقعقوس زتبشامروزا عضزيكشومدث ضكشحفثطهوظ فيللرذزظظي ظايمشفقمظف لجعمضثغطمث عمنغذقمخنز هفتضنزومهح 
شهجعححتفكد رثغذمضرخوي زدببجهيشطه شبخفوثووبش شغينضزشذزغ يثحسشظهقسع عضظدهلشغسق قمراذظصاضو دومحغغذلزض سشققشسصصغص 
طانضشسرثعغ زماكدوحمطو ستظلثدفتطط فقسزفظظفاذ ظجفافذصاثس سخينذلحراض زاحزخطلظضح طكدسسرعضخف ضدزاشزغومش نغوليثخهضا 
ضطروظصسااب لجغيقزرجغط احطهيفزوغغ بقضتكاجيدج حكحثيحثححف تغزولمدميد سريكقبدتلا حبظاتوتصكي هظزرنسثجكز موثظزطجخمح 
خجسافقمثخط ضستشثذظزضر جذحرحكخحصق جطدساوتصشت زحاطنبتقجب تحييقضطحنذ ظهغنصشذربظ صفشاظثفقلش دحقجيتعمذا حقثظفنسكغط 
