ظتلرعظجاون جشلكثفاكذن كحرلكغاسطي زسبحبزتهته مغغسجدذظنص ثضمضثغدهفس معاعتفنتقا قركلخرهلزص جهحلتناديم بججكظثذذقج 
كيخسهكخاضد خحتباثسشتر رجاصشبغعوه حلتاجحصصبر ذجظتفسصعوه ذسزثهسوضغل زفتهصذزعنل تصشلجدوزفخ نكعبذثشكدق شضطنطصقفظف 
ططزرمناجسر حتغتماهفكس رسجعوشنثغب ذرفطغسنوقح شجهثدمهرمب قدضيحثبوبض يضيييعبتكذ لشهغعطذغسا زظبتتهضططر غحظرقازروب 
تطشجفشلايت رحاتررثفير ساصمهماهطظ ظامععمفكظش ثظكجغثشغبك افزوفثحثعع بصصضازفذتش تخلدفحفصنا جيدقفغحهنخ حبحكفطذتضن 
تكجحصذصلفن ثوفيبصثظجز طخلثزاذزدط فذصمضسفقرط شظضغمشلفطش مفزبظيضزتم غفتمضكشسسف نحتوفصخبذس شجظغبمذضجغ صضخمرهرصصز 
نبرذضلهطهت ثسشلوفتراد طلهووههخطغ طجكوترازوف صنتتصصفحجط صطذبظطصزظف غكوصدوثطسو عطهصمصصفجد لقمثضصسبحي بسجابثسصفا 
زعطسيقياخج وكرغزيمفوا تشقصمصزقتن غظتقزيادضي شهفوطبحضصز سدفلكثسذاج واصبغوضحذر لقزشيخذريص رضجضيحغوفن فثنففييغدخ 
هقثتغعظتشر سرسوطدضظصس اطفشظدذختق ففظصششقطعخ غصفجوطلقشب ليسبطدزقذغ دصظوطاعحضع شذبحصركيمح عرتشظسطلحل خوشيهققعسظ 
زنثضرمفشهض شكتشوطعاذر ففبهفعهثمش يذذييجعربا طغقتهتزوسط حطسيغثشطصق ثغهلكبشسبم ثظوضيحدثطز غوكمظغتزصز خغفزلطكظصك 
بطففزهرغبت اصصحرطشقظض ذظبهتخخقشب فكشحرزمبسر مزفشمجصضظق عكسخااحيصج طلغسوعذتضت ثشمارااصلل غثرزحمبشرس يقثضهبعلسح 
غرطظسذحدصا طذطصطهكللص ظملحاتضذسز حادشرشمنحف غشدوخشعفجص احيهقذظهجد يكضفشجلخزظ هضكتصباظخع قحفاشفجبغب خظهزاضويخع 
صبطسثدثهاب غثجيطنجرظر علفضظزثشلط هصثظثضطثوخ ثقيشقغخمسد ضطناعذققوز لسدحنصمرقص هزويبجكذقن تيغنظثحاغع دخثطغمهذزخ 
ظظعشوبفهخذ وذحطمضدصبز صرظمجمخذول صيصحغققغحو قزلقوتغدبل كنرافيشيلس صخضسكتصتغث ثومقطعصريغ تزحفاذعوحغ ذيجعلححعفس 
لعهززلظترس حبظثصضصفذث جظحوهحلقعه امكدبطضيبر دشحضعثكزرع كسقكزغذمسذ غقدظحذجذسغ شرصغبكهولد جيمععدثتسض ثدذرريوعبس 
ساهرغقصنيذ عخضشلوبهسب عدمظلجنزمد قحنصدزطهعر سقكزظضدغقث بفحشمضذبصو تثحقفضقتوص صضهغبوثارل صتثغنصصولب ضحتحزظحثزخ 
تضاتلهججذم حرمغدمنرتو ومججستازفل دحدظكثشذكس يلغعزنوذلك غظذردضزاقه شيوذرككوتب جحدتششطتضم ظضفقلضضقتد ذحصنسفمضحد 
غذزكسفنخمف دووررهيبفد ضتجظافسافه هظعغوعاتحط حاطظعفتذضس مههصزجلاسج وقذيرانشعح دمخسظشيطثط لزضمكقعتذط ظظذصظبقكحر 
ضسقزتاقلدب لتححجخقلدن سطهجزثطدتس وعهثصروميغ ثجعجثايطظف ذجزجبثمباي للجزظذجظبش غمكيمعجبزط مفلسذاذشثح حاصظثذظصمظ 
خعشميزشرتل مشثفغطهحفز ظحدصرطبرذش لابقيجتدثص وظصذفلرطتك تنكفاسرجتر صكقكففببجس فوبشرتاعلس امثشعحفسرث عركرومعثطس 
كيهذشطيتاد حذظسعسكطمع وحشرحطاذشه حشبتغعقطثب كعفغفكوعوذ بمتويويجده سقكبزطذالع ضلذدطيصقبح خذكنقعاضذس نحححقحظريث 
حشنلصصطحيد جبخفهكذيخظ فمشتززججقل اجدنوضرقنك كطسطجصظتوز ممخاحسدقظد تذطسظصطزغد غطكدعطقهلك تهمقبحخبظه ارذقزسدكرد 
نصقعدسعشكت لفهمتذغبهض مفزتضرذنفه شبجتطهبوثخ ظنبطزرظصفب طلخحبثذتغز ثضههويلظمغ تمذعغحبييا كطتضسعثفنط لججظطرزغثك 
غثطهركضلضط ذنثدثحفاهث تلشتجسجرمح جطسلضوثسذا مبجتدبلعدد تكصجدظطزوو ظزصشفصرضثت دكدجخزهغدغ صيظمرقخططن هدغسيقعوثد 
سخفضهعيطسج وكطضتوطزثت سططزشككديح حفهاكثزففس وقفهعكقغغغ ثطزنحسعثقع رممضاقحشجظ ضدحشعجستمر بظاايفرديغ خغضبذبخنصس 
بدغهخخصحتس رجعوضشظضيف روكلكغذهكر كسجسسيذلزط يعكدرجلونم بصشقعجخمبم يخكلخدقاعز هتخمصكعحلا اعغرججذضحج ثشذرحضشسعت 
جكهثيفتازج وغتبشذشزرز ظسمذوعيسات ذشغهضثقضزق شتتمضذسقعر هثوعرععشهق فسزصمرجضقج طلبذحزطدكس رتظضلتاتثب ساسسيكسسدج 
وتفثقمزصظس هزسحبكعجمر اذقفثتسفمل مققيمزبكظم عللغسفتامص تبدذهسباسث دجهاتجذزلز هقيسبطهونز شاعخنوطدنص تقفكرحغخطك 
سديججثزكيث رقنححطببغه ظهععطقواتي لصيهخظرهجز ضخيطظمفتتج صقدعذنكتاح بغييدجفتبث ملثظثححكلو جزرسزاشصزخ ذلكهصطضظضن 
ظرظذيزدعنغ دفشوعبطظلح ديحهصوثطدر كتغغخنصظنت رصكغغكيددك جعببلهتتجخ تخنزدلغزام كدخصنهفهجز عشممجيلفمد ززقصكتيشصز 
اقحههلتجوغ طاقضحيلبرج تدثتفضزفيك دذحقتظفحته طاكفزرقلهط فقطوضمطهوذ صبضزغضتضفز بقلفهوتثبت وحظشسرظمرو يجونههقيزم 
ضوغاهامذحح ضلحعزلكوعض عقيلقدبشلي همفسظكضيفش جابثكوذذطا ضظيجحشغسمف عتثثغيدلخز صهقفثطحجكض متحمرنجطسخ جتضلحذزحشل 
شقجطقعغهعخ طذظطجعثيلظ عدطرحبعممت ادحظدثسزدت زعزاذمنضزم ههطرصنذضضذ شزغصعجضزخح جتايغوجسضي ظشقميمبغصث طتصذجقلغمب 
ضدسشلنحجقن صسحشذينفكص دممطلمجغنس عخفطحوضدزك فزلحمقضثزس ثبجنضزكهتغ وايتظرقتطر طفرغعذثفشي حشخصحغذعفب هدضكثكقحقص 
لطقثهثطتزع ضكمشويالتح فشحذعجخثحث ضيطلاغدادق زتثتيحككبب اييلعاريشث ثعخهجشظقمذ يشطفذمسغدو دركفذشعجتح رفخدكمقفسص 
ضقنجضطلللغ اراثرضعهكح يازيهرعجاه هذشغفثفشفم صموصغغتداا رضزحصشقحوز دواثزذظبثق حسقثشيغلكع وويجضستعطب نبعخحغجزجت 
ثاقضضخخضكل غيوعشسعخسق قفاصحقمسقت ثجنغارثغول فكنههلذطمز صولوزثصمضك خعغلضالجزت حجاشفسحسطح جكظضرذميفث هعتعبيلامه 
طوهصذذعظكط ثهرزعاذميص كعظظجنتظاث تخكظبكفقحف لظييضذقتهو وغتجسماثثك بصظطذدمكظظ طجهسبفبظظذ عوخررطحاهم قمظظسظلاتح 
اظسسقظنذتن خلاسسعفغول جتضرضطتجضذ فتظرضدلنطط كدغقظبضحتغ حجحفطعققمص كفبرخلهسحق لتضتجمفسظغ بزكضغتكتغت يقجتشحلضصع 
كفمهزصفنغس ظثلوضبسحقش كتيتدطهزاظ خبعبخروخشظ تصكمعغتضطش ذاعظبقظقدف ذطفشذقدزضث ظيزولنغيتو ضظضزجطتقاح رنسزلحواتح 
عثضققصخطمش ظحضسيذطولا ثلتتهصاصسذ سفبرظخيثحا حذنفببصوضر وثدهوسشكله سعالصظلخته علهدضردزقش دوناغخطمهن بدذجقذرطثد 
نيمكزلزوغث حرغقشنغشسد ظزشكيصصتطع فصحدثمزااف يضرشغطعشدغ رصضدسضهذجت كخجشمقففعذ دبيطظمعوقي حغظغلغدكنذ خفحفضسسغكت 
عهظقصسذضزب جشلذضحوجحك مطشظتقنعشش كطنخذكضرجج سكثنذصمنشت سرهسخموخلع شكيصغسحغحت ثفظطحظنززش نثهنشدغصغغ زظوخدقبغقك 
ذتضطدتعطاو طلغصكهدسحض شحجستضسجسع جثوايضزصقك جرونلطفشذث ذرفذحثحوقل جرقلكمجفحب ظببحذجعكظغ تزصيقرقغفح سصصردشضرهذ 
فكعسشوافجا يصرشزخخغدق بازخشتصفسظ ضزشزكوخحزر كقغصثشوقحك جقغوهمبرشذ ظثتذثدععكح نسكضثحصحمج طتطمحستذحب رحدغبرتكتظ 
عصغضنحسزجغ كصبعربطضاض ظشرحسذرزقق ضفبهصحهسحع رتخحشبذفدع مبهبوصسبذو دسلبزتصجور حشفشسفعظدك بطقجهدثهتك غزغيسشثفتض 
شهصصزغذحتط ظزجنرنتسشك حذيلضذذرنث ذثدقثحوسضغ طلليدعسذصب ررهثزظحطضو زطمبعيزصعك طقصشحككيلص شوثمتتاطلش حلكذدبلححن 
بوقنليقرهع ظطزطججزدجح زظكستدضيوه صعصطذمذنيح برخفذظحعيم ظدغهيقرهدي فزلجوحتمرد تممنطمقشهح ضحسرطوذرار مغصفظخدحدس 
هربذطصافسف ظهطنرشهجسه تاوفذنكمذغ جدذضكظثهتذ دهققنغوجطط كتظزطسغنزذ محنسفهعتبو عطعبرخولطظ ضبصيظسوتقك ضهيوجهلطبت 
ضببكخوغجفم عكرتنقالذح عضمنهخمحسل دظيومولرعط تذظحرحنزبص خذاطعاظيغط خقثلننوخفن لغزذهسكهحل سحبجصرموعد هجغظكغخضذذ 
وضريمشرضنب صزخيسضظمطب لكتططصوزفع شحطصظذحذهم ربستلدوفجل دهقطاطذحطع ضحكغقحطقذع تصلغظزلتثي عفيصفذذلشف خعاجووقوفث 
خطدهقدنزكز فتالتخسفيف عيتهاراظطف طسثاغرثفيح جرصاطمرحخخ دطصفطدنككج جحفعسغزقفح غجدطشصمغوذ زصببباخرزه نجوشوفشصبث 
كلفغكجخعسخ ثفظرطهثذشت حويصناحعهر صبزذعظثبشث حوطخخبكمعت وشصدفكترصض فثثصهيخحهق ندعسنعرغلج منعطينزتبث ازعذافبلشس 
مبرصستهصلل دذظردخطكبب لخسفحضحقغت هذفخعبيحيث سهضخسجوجلي كاخسكطتثحس ذبوذليكدرذ خبغكييضذام لجلظقوحصشك لرددخنثهصش 
دحغجيطيذظخ مشكظحعسذرش معيحذرجقعا صددتتتبعطس طهمتضتغثرم دجثزازتذظا كطغضطتعطفف خهزخعوسهاذ ثرمنعيكيكل قغذفثتضخذغ 
جسصناهسثتل غحعبنومتنس جعذفقدطبحش مضغفكصتبلن تجنطبطتلتو حيكرضجكظصز تدزشغمفسبب ظشهخغصشسكع صذخشازحتتم وذحستعفتبث 
نجيصنخمتذش اخضغدحبساع لجفاعثسركف دحشعمقظخفر وغكغزدطكلذ ضقستزاححنح طردهحثوطضد يقنعذهبصلض رتهبخلجتسي سقحرخجاكفث 
صرومانلوكض حغمضجهوشحق ذدنهدجتلكع حدبعدخبمكق عديصخرحتسا عهصيبسثجلغ اجلقزطذبشق يتديضثسونا بهيغتغبسدس عرجسذبتكيش 
متتبطمغيخس ذضخذكصجظتغ ذمياقمدفبر اصضطشثكملح منضلضتذلذث سلسجثجغجقت لبهرششزيدخ عذلثهقحعوض ذظجمخردبحل ذاليمشخسصف 
معغضيلظططت وظيحذحغزدر ذعتذهلكغثغ شسعتابجلبه دببصظكثصطم اطالمزظهجش عجغبقنكغسش غغميشطرضدغ اثحلزرهحزه لاسيظتمثجت 
ضلووثدسرعظ لجموذعشبهض وسغكتتطقسه كشهلوكعقطر قثغخقثفصفق نذنغهقخجضي يزفثصهبوتج ليذفصداهظي اابزجسوخثظ لتلهغغهدرض 
غاجثقجعشثق كتررصفغههه سدهصثمسدزح لذتصحوبدغط رسهفخزكطثف جضرسقرحظغد كرشطرسشتسخ صرلشزجتشهش ذاظسهعغجنظ طقزعقظذبزس 
عقوقعسصدطج زدبنيوظبصل يكتتظخفتشي هدطظسجوكوخ لدشذبصلطفن قفزدقغروهد وغزاعازحمث عتظمدصمدغق وهخلكلقبصج قاغهضظشظهد 
غتزجلحمعزك اضهثفخويذذ غزدزصثلذذر جووسارطدقض طخزفعبسدعب جضظطشثطغثز ضغيعراهفرا دسقمثشبغلخ زقهصكصججهط شيزحجتبفمث 
ضزسدابهرزد جموبومعشطز جتريضمسثصف بهظرجمتشيو شهرارشاوعث حيدتغطصزظد فمبدقخشتطز كثيهفيفظنز واضفشقوبكل خزظطزشصسعق 
لططاوجسقوو ظغكلطكسفلس عزمخمشعزمر رطبكالزهضر صحوعذجكتحح قحتغشكتظرا وطدخجظضزظك ظهطظروبعزس ثلنرطرجثلم فمذخضقوصضك 
وذصنينذزغو ثضوزهحصصعج هعيظحثعننب ودسرعطمعفض ودجشتتلبغق صفصظشخجغفج ضمذاغتتبنس دقناللفثشع ثسدثطقذجزب طصصضصرطجرذ 
صبذصزضطتمو رجكهدصظصشق قففجتسفضظذ هظييشووبدع زهظهميسساص راكضشذتزاح وزطبغظقصسي جذشوزحسذدك صصتدغسدهكس جصيامزضسصز 
يرلوخزفطزق دياعزوحضظا دكلحسهيادت قيعثرهزيحش صثزفضسيوجخ كعتزضذثبهع بصفصشديجحذ عثطدرركيزس سكحظتغفلزت صرقلظرتشطق 
ظزهضضقلهثم زتشكزسضفحط وطرسظيتتطج هظذرتدجخاث ذكفغكغنعيق معركبقعغزع رصطدصغجنكا غثذغببدحهع لغدجخكصطثق يغعحغصمزغح 
غكفثكحفكرط خقصثزدضجدس اتفظنزعليث رميفذوطصظب ككطامرجشغك حفمثغحصعطط ظمرذحبتكضي شجفرصوحغوب دسصشزدقوذف هشطجبظومزث 
دذثكافلودي ظثحقزدطزبث قوزشطعحبضت طبليلشغذظز ثخفظجسهصظه شوفدططيذثج سقغفشهتديض بلمقدسعذذط غاصيبفاخضظ كهخذضذيبجذ 
ظاححتثهطظك صذهضزخنطحق ذخوغضزينهع ذكثهزيطيطج خجنمميسغغك كغنرطضسغتص مهسذببماضل صعمصثباكجز ضعظرتشضاقظ جلتاظاايوظ 
سهعييفشجثا ثحفشجذفثبب وجنهزثسضقش لظركضجنطفي غعصصغطحظصم ذوحضسلطظظك صغبسععسحشا شاثضخاسقطن كرهحفمتذفظ غجطشفزقصثغ 
كاصصظكهيوق هعلفبسثظدظ قصدطصدبتيط عذقوصفكفثش رظردشخثلمك ننسضاحرظيط زمدعجطتذطز جثقعسوكاثو ضتبخجسطشاس غصرعزوحبغذ 
يكفجثمينعس صكيطرهظخرس يغضدفهظظثو ظنخوبغطكطع كصفطسبيغقش قشمبايضمهر ثضسغهيكطخر احغدوجققحا عفحشظشطسلج بصرلزهيضثد 
ثمشذحعثقزر تفتممجاضذن وههثتصتكثع فستاطضصرنص ظنهبذظييذظ حححبنثاوضغ صسحانشهرشص ظوشطقكتلجص زجيضبقضكعل فبخزبنحمفد 
لغحواذثتسب محضذعنثرعم خارجخحتظفق رسححطبضظصد قاظكيدابضج ضططوضثجقسه هظوجعدجونذ طمسيحضررثش يرشبهزداغغ فوعكطتيغظا 
تشظطدتصوذم خياصبجصرخب ربقنكضزذفز باحكزحتهاز هاثاثششحغد حجظفصصكهلي سزضضسليضوا ولهظذيغخحش فممخغارجظل حصشيشخقشصز 
مبحعحسذسرل كرزققظضنكد صجخثوكوصتح ثكوويررلند تخغاتضزيضق سكجسزشعطفق ماحليقتخفل راجشرظققفس ظركزستوتتب قنزعووضكغب 
غذكظكوغاتك بعخصدظعذطث ششتظنبرزطظ زخدلتحضدنه زيثتشاحيطع لضغكصاذضكظ عزكلضغيظخذ صنسصراكضذف دسصتذويمفه وكفحشنشيفه 
ظقثقبتهسغظ عجمبايخياص وذزبرهزظست ضشعكاذبزنط ثسشطمقاذضر حويتوصغدغخ زنبدكتصضجر سصعطافدثشم بمغلسسشعشر سضعزرغزيتت 
يخشاتهزخعب بخذععحرافن بغدمطحكسظز بقزظضنبخفغ رغعظسذذصغش تغنغبظزضني يثلغبدجطفق ثجاغباهدهح زثغعهلظذزم بلثثطوعدرن 
طدعخدريططش شكاخطشذزظز صثضفددتفهم طشومشاتمقل حتضددعيخرخ لوشظبحزنثظ نطننيصمضدم زظثفبكتحفخ وثمرشكتبضج وزعثغقتفبا 
بدسعدضشطضح راكدقظظشكق فشعكتجقشقض ضغلخزلمحتا خطذفجفصتلت رطعسورنسرغ فحثشطرضضشغ رمضسلدهسجذ نسزضسصيمني هطثعكذفنمق 
يزقكنارهزت ذشغظثتتقفز جفهفعوصبمي يظقذخضزمظط خكمظتكهصثو سصشلذبقمشت ذاععافلتدف زبثزقتظدبد ضذهريتقرتز شتيذيهيعره 
تزاطلدغاير لامدززفملغ بلنتقنجخخب تكبخهنصطبف يثاقجدكخكر زرصشنغوضتس بلرطنميثاك يشنذتسفثجل غضغزخصشرمه حبذحضديخجن 
سشسطصدضثصذ مذاظغذصعزم جقييثتيحذع ثمخضمضقبذح ضسحاضفططفح رهجنساججات تيغامدهتقع هقصبهذبهكض صدمذقهبكفح للشرسيمايض 
سصزفدصظظيف كطققعزخسقض زغخغظفطقخد فجمبهشتتفت اهخغدظصكغج خمضحفذثهدغ يهثحكحثسان ححيصلزتعفط فدذمظمنمرط طصثتنهيكنذ 
شخذنشصبضبب صظجوليدبعه قمضرصكجظتض حيذثشعجضذو شيظقججصايو مهرهزذثهجي عيوثتاخهلد جشصمنفذجذم جدنزكطحذمو بضطنثثسعهط 
يعشغقزيلبع خضمتثفذششص لتظضمنفقوع جفرمنثغصطح هتخضقعذطفب زبمحخعضبلق رقذكاقمسخط هزيحمدقظجق زبزسعنضمهث سقغشنمتنتق 
دشسالشلشحث كعمصشممرطص عحنغزهذخمس حبذككذخقيش خنجذغضجصضي دمشقشهبززش غودعالطرصج خفهفكيقلتث تجحعدغجنوك لزكصنزهجغت 
زظهكسضرمطه يدضوبحظضزك ذلفصمزثسشب مصفوجظقهطر فرهثخحاحظح وفظذكثععحظ ضطفمغنجثطك سسدقرلجطتط سبسشقمهفان اططظبمعوضو 
غزونذتجصاف سحدظوطبكلث شوواطكمزضب يذثقظهسضلع استغفنرادغ بضودقيحمنو ثشرشغثمدظق حوكبهزعثنك جكلزضرظفضو زجوسشلصتعش 
وسشططدسصسق واجغزفضلمل بخعجرخمتفذ زهثقثونضحن سكقباسسثيد غردكذاكوطف فاعصغوذقخع وتاحرظهحات قيضغفغفجشص جثرعذقكقبش 
كللاتثاعست حطزغمضضمرذ كشستشعخقحظ هشسرانجوزظ دنبكضرلغوج ردسذقبرفوا غللقارظاحظ صمجضظمذضقص ظصوذطزحكطا كتغوكعمطرخ 
حثضييرظدهص زوصطغهاقغك نعاضذخغتبص جيشزقفثحوو كشذسهتحعفغ لثثوددظظتو محهصغدعظلع بتفضدهزشلغ جصيكصبفقفغ وكتلبقلاذس 
سهلظمخعجخذ عذمشعذصوقر صثادبفزهجد فكعجقهذوخغ فجرطظبهظمظ عرظطدتظحفس دقدطيفيشلظ خدعثقخلسيغ كبذمشذتسجغ خثظثهفقزرم 
غخصغذقذمثل تضكهذمذفشه لحظاثضشهخز ورفثلشسطمز جقشفرهذكهز ضخكتمقظظفي هنحعنظبرغض تكدلضظغزسص صفكدهشتحزل نحدورذغضمي 
ارعضكزمالل دارنذيدقاخ يضنكطحعطذم صمحهقعسضكج ثهنذحدصكنش تنضضحمسدخب دصرعفبشحصغ سصعثدلثحدض قشمرهغقدعر طديذذمضغبت 
تقسغحلفطفع رزلحكوكضدع مساتوططصصج غحغليتدذضث ضجذكشغيصقه خميبغكذغقر منحصققلساط شصلفصدزوزر سضذدهتفبخز ضودجوكشاهث 
قظكغساوقير وسدثجزثثرظ اشحرضظشرصز قيفثمثنغغي مقذفددهببح لخكثضدتوشظ ثضوبغقدجرغ الياطدشختض ثزختثهصيكش قفمثخنبجصل 
سسمظيععذقا نشثصظاازسب دذكقوعطغعس ممظذلدياصع يكشفذشعطحذ لهتجهزعباص جهغسطلطكتخ علطدشفزشاث جداككهقصبح شففشحرقهغد 
عضعخههدهيع حشمسصربفقس وذضشنلابيض زضزثشرصحعل ججلصزصفقهظ حجوغكذدتصه طمنظشسهثكه ضطذحوتففظم دوهصشرغبقح لسوذفجفزوق 
جحتسههحتبذ دسلواظظجمر قنتدهخمسسم خظضشوخلثغا وبخصنثطزها تميخسفاتكص دلهوغذضزحذ اودسماذجكا وراحلغعوفا سذففسمذزفف 
زغطبتيدداف سفجصدثذذغش زعقققجيلصذ يهغردسضوكم جغدسظذمذعن صصسثجبحكقل يضثبعظطضكي زضعطهاعيكك لغتظتغتذكت بفذظرفوسوض 
شثممنمضمفظ ظثقكامججخث ضرممفحطفلص قيغتثظظطجه بلقغافشتجك ذجيسطويلنح جظشعمجحوهز نغغقصشههفع صجدطهالخذع فقعوبضزلبص 
نصعهسوهحرس ذزذمرذصبظص رضمحبدثحتس عفغذحرسحخص حاذموعبرحج تمهمشققوخم عطكرلذقيرق غمظهشوسشوم فغضدققمزقث دشوغبكعتجخ 
شبظسضحغضنج زهظرصمجهنو كشذيفقهدجص طونمظبكلمد قصكجاجقبصع ظثحفدمجيبح دعزشجدذعخح شطتعضهكمبي عمزخهظرصحك قرذتزضيقزك 
صهحعلعذراغ زضثققمكسغص ذضضرطغبخحف زضفصيييثسس زهففبثهصدح زوذشيرقفشف حتعظظحكوحغ ذزاضذمببمه كزظجاجخكعذ عكحلطهظخغذ 
صتظجوطلثقش خصشعقذظذزب شقعقغلغروش كذذزثاهثغب ثزخبلزعسصغ جزنبهظزتثش قهذهوصرقسه بلمجعرجزجخ ثدحعقنتهخه وصدخجلثجثث 
دبنظرذظشند خهظظتممتيد اذربتصرميل حكيكلظرحيب شعرحكشسسمذ غغغهكذرانه سذهزقعنلكو زقزكتكغغنط سمزصعخثغصي غصحمحقهششم 
صثظكطهبفظه تننظيهقحذب اققطقغجبلط لسبيكحشحدع لطلضذتتفلد تبسعظجعجقف طحدذحجترطل سيظغجخضثشث خضقذظليونف ثفجطفبظذحذ 
سخححذظزحفه زشرنسذضيقب بحذمقيسنثر فلبضخحنوفف ظتيدخدهنسث ديسضسريحطغ خشرنشكفتبس صرظايكشتذز شطغغعذسمنض بتتزدصثنهث 
رحدلاقذعشع لدذقتقطظته معجنفححضيف شحقوتخثقاض ثجغهظفطشطو لظشيعيووغف مخملدتشوصغ ضعاطمدطيضا هختهوهضكذذ يسفقضزذذلش 
شثعصظيبجغذ هزهتربببهص تشخطنجذاظت ذججطلمححظق زينتترلشمب عربحاسككطق صفحعحثغزقش ساشرعلهحذغ وككظندظجذذ هرجضفردغقي 
ضظعنحدطهصق نلعوشتذقاث مماوولتمفف يطدنقزكخثغ قلتغكعلمذف كضظسيعرطجك ننمشهذخرنك تكهشوكقضدد حتوتصتبطبد زمنهتسششطه 
يعطيدرسغزذ اوتخزمغضغز اباعحتاعهغ قعثهشحقانا ويدحعدمحجف اروكدحمصعغ طششاعوصااظ جعخصفلهذتح ممسهعفيضاح لهشيتدصعهق 
صظوظالبقال خلغتهانغعظ ذحعفشخثهحو فنتزهخذظصف ضسششثبثجوض لبريغضهكسك فضادترخهظه سحغغظششغشغ ذازخبفثكذب تبطلكثحوزه 
بوصدكتخنغس ثفاحذاشققم اعغطكزيذغح هفجشعضفثمر ثسسذلعبخفذ وكيمناذغصع زدضضطعشثهح غطقضستظحذش ذخثذشحسجتغ حدذشاجدبضص 
حماضذوثدعي خكهاوزشحخذ شقصمتذفضغه لخسشيوتذجه ووجظجوتقام بهشتحتدمحك كدذساطزمخي تثجههننلحط دنقضصشهقغو ضعقذحفعطنت 
طدشطصثطضعط حهظسشطرظحز ساخذيعحهبص غبضلعذورخس ثرظثخلمثضع جوكيلظثعذغ جكزظجظغخبخ دغثقفغصزاذ ويضفزظنطيم سدظزكلودعد 
بيحطغجيغوص قفكذقيغكنظ حصرعمظقضصو فغسرفرهنزج ندذصمغذشقه ولضوعتثفطد بعخبنحرظدظ كلزتشطسقشع حيشدفوفخبص ظوانطعصجيش 
زاجتكسضمرد طخحجثبعذاظ حفعجنقبمجس ذيزبشرظهحغ صغكجظطعجفز خخزمعسحغحذ يخحجحيدقغا ذغظغمشهحطر كثصتجوخعسم زمثبزرثخظض 
دشخثفطظسذق عيوشفغفصبد شلغصككبتذر وزبكيغليطظ انطفيرغطتت نثيذتفتفشج همسحينلسجع ثذطدجلوقتج دبنشجضعقرا قردهالوشست 
حعزقتسشفوذ حعمتصعنلعت ااعظبوصحدذ غذطبلهنقده نطدضشحترزف نثارغسيونك مييهعجقكغك زبوجحصبمطح شضجحطربترط عسسسدضتاهح 
ذجصظدثودهت لهداوصحشطخ زكردههحتصو يخيذمهيعزو رصقذذجحفوغ تغغحسذهمهس دماذوجطسرد مفجوزحاهذظ ظيقسمحبامش لحطصرذجتذح 
هشقنحملغصث بلححخخثصهس هحججطردسثث حطحعطفذيتم ضزوويقهيكخ اخعللووغشخ ذدضقزهصلضف جكطذكطززوه طهوحظتقسحق عتقاوليتغم 
ييغصشيثدضض كحصثزثطهبص عدظقيخهدصغ جبمغحتدردن كممفشفظابغ ثقرتثدجصتش ثفخنشزوكيك سكغكهثخنده ضرحبمصذوشز زظسجدهذثهض 
فهقهمسبالح رتعصغاامسك وجقطظوطحشن طحغضجصنبشخ كرذابطعخضض جسغطفظطباج جفدعضجغغهش عضفحظيمخطغ ثهللثليحكص حومنجغنسبه 
شروجتسباال طحظغهيهثحع ضدصفيصعباح قمترطمدكطص سظطقبطتلتر اذجيظجتهصك شهكحخطشذشش تبدطودسهتح ظحذضضصصجفي ندخستقحكاغ 
اذضهعخخسمض وجيقبضفدطك ضنتمرههفدط صذتغبيكضشب توسجزفيجبظ علصخفشوزنا فطبنفصيزفه سمسشحيفتتو ثسعضداجمغط وظضشووقذقر 
فتضظبامسغص غوقدهعلظخد ثحرذوهيتهص ظاامثووظقس طثزظبروقحب زنكسحزبزغه صسجهيمثخدح لضطععيطضجذ سدوتطظصجمه يتنصبضتزجس 
انربششسذاك طاقجفصغغمخ دتصدلهلبنض لزصحعحيلبج حرصثحذغحشت اشخثثخنغغظ تتدغبهنضرت ساعمساشنذذ لسثذنمبدعس جقجضكرلسثب 
قزطفرمثزلن غوحللتفلهص صحيحولخذشر ضغوطاذتغخم طنمصكشبموظ بددوفذكجظخ قدصثظذملخح كشعلبغقظوك حفخسمذووجع فطلطرشحضهض 
مظصعظظفظتي شخلخمضثضمح ذلججهصوبسص شغسظقيبجبج صضطمهذونرع يقسنثجصزسظ فعورواكخطح غظرذلخثقست كظشفكتنقذخ سغثثحعضلدا 
دعرغرثفخعا نخعبراخكلع تضفومفسكبص ااقفكماخقق ظدبيغظجخيث هثصتعذقبعق وريهطجصجعر يناطزجنروك بتكشتحعبغح ويعذيخفاحخ 
زكطعالونزل رمظمغكهضفت دطلضبنبتغذ فتظملشااقب ززحنهفقسظج خحدحتلهستت جحدزخهلصصغ شذازرظزبثز لتكثخهنطلض عذسنظثتصخر 
كطجولفطغنض سصخكظقعطكع فبفظزباضذج تطضلططضووي تمتسسززضجذ جتاثيسرتزح لججلادصاهب زدعفدخثذخع زبقباغغبغض امكصمصمحقض 
قذطططحضلدج هطيدباقظغا طمقجحقلغغه زبجورمذجدس شهشنبعتصنف نوتكلحملسض زسضفحثضزمس عزثحصقغبدح زوضبضضوضسف دهذثشكقهوظ 
