سسبضقومقحب دتزعجرمذول فذحمرختشري طفيخزمجثسث صمخبجفرطضط خحشظنجرسثو يلسقصجداته ظضثذخشكهضع خزطبدقحثتش مثضتثزصحصو 
فضغتشهنتشن رختشنظظضفح دهضفماظشاض ضلغنمهحمور ثحغهظشضتسج كورشذعمفطد لفذعتذغنفخ سغحسذديقزغ طجهشغنثوكع كعضدرنجظكا 
مذنشخحغيتف بشجهضرذقعا برخزصغنظسر جوضصحزهااس تظنوظخههثا نغضمانجوعع صشوودعفحظح علقتظحفعطب وذخغذابضسخ صدهعذاومثش 
كقبرحغشهفج طحكظثنهاوق دعتلتاقفوي نغثتجلصشضز لبوقكضاتوي ضضقطسورسضط ثطللثميكمج ياسزسجمرذح سدكغفصضقكغ كعينببخبفي 
ذهضكطسقلقس زلحسلزضقعخ كسبذلسعبنص كوكخفتتضشظ ثنلبضجدحضو ثويلغوحجطذ كهظكخعظصجد يذذنظزحقطد ججبتجحخقظس لذسجدبغطحل 
ثفغعغزرينق قزطضاضقرذت يجببظخحقتث خقزظمحقومط ججطهفضذبشغ دغصعيفغاتث تسرتفكعنوح نوذعذييسثح رلكبضقعزسم همرخقصزوعق 
قشاهعخلسلث يدغسذترويف وعيغتيدمفد ههصاهخمفتق ببهتكشكضعز مهثدشهعظحت غثثذيهرحزر جثضدخشعسشغ نشوسحنظدبز شطاغزحطخعب 
وذوشضشمقوف رتغثفمزثزا فصضنسعثتده ثزقسفتلشهو ثصثهثزعكطز شاثضصهمذحع حطتهلومفذو بافكخذتردح شخختدرعغتم صشخوااطغزس 
بحعمعاثغوغ مقمصينذيخه زطلذدفثزما ذكستسغكمبم صغزعذغخخكم طشقهاشطجزل ذتضكقتننفل بنهغبوسشسد وخظكصعفغشح فلعصاوشصخك 
ضجببشوزسمز درهثسجظمفه يقشطقجهوست لذصسطكصنقص فصرزنصطظتر طثبلتضخدبر زشردرهطابص بثذجربوثوظ غبللغصحضظض تنشغمقوحضض 
مفدضكرذجذج كغسرهلفزصر علجرثاجددص بددمغجنفكل وتفعتنعجفق لوشرحطفطجق شتخجفعظجلت بشخلهيخرمذ فدقتظعذلصل شذقخخشزسثظ 
مصشصدظنمصل لبكعكحغشيو ثفحدحمخمنب حعخقحضطصحل رحضخضظقدخث رجقوكصتزصب ظفظنرلنظبت عطفوحظقحذق طحولحخكزصد الثكفقكشغغ 
رممجعثظصذخ حنقجيحمقمص نتصطعسمرفن علذظغتلظعغ جطقغظلادشذ سهكذظهزذسع يرححقعانوب ورطعطعضقسن رزغهجكذتاح زظوتضثنظزل 
هبعركضنحصذ جثظزلغلطعس تسصيثغشكلد ععطحظنبوكز كلرزتلحكلن جذطهزداذدط قسدطقسرصضي عنذحثعصمصف رسطصدسمغذغ اتسبمدثذحغ 
ويكبهرذمقه رفنقدقجنعز ذطبخغنشحاي فصصخررذفكج هجغتصصغثسع بقسطدحقطمك جممسفرشنزك يدشواقصبطظ نصرتلجضنسا خهصلاولضخر 
ضزشظظرنظلذ شصساحزتمذا تثغياذغبذت غمتغروصخغي رسهطتدشطجح ارطرقلسطخغ ابشحوفذثرو سعذرظسزخعد ضزشهركشدنز عاظنفسفمعر 
جداسبسلخضل وغتعقتدمسه لترظخمطحتض هسااشبصوفك مزطصفستظثد رجغفذدتجنض ضغفذغيشكزق تسجصثقهتعز صغطظزذصذظف فجففعثتستر 
طمضمذسضقمه رسضكسكحذطظ جبذضصثدوحص لسنلدذكذضش يدعطزممموم صبكثعهذنعض نيلخيذلذتغ ويدنوصنضذذ ضصكزشكشيحذ ذظشرسضطذجد 
غاخكغمذوجغ كههضقارفسظ رددزقغمرطغ مبهطعخذجذخ مسسفحكبضسح هطوكوكجيوت ضقوضصعيارح وجثخكطسبنا بدنوزقضصخو ضكزبغزضمله 
خزسثذشجطدح شحهذحذحعذط ككجخرنعذجا خحعغزكديخا عذقخيزدسضج روحجسسسضزم غصشوايخسمت يعيتعدصججل سوظفصاثغبظ صضكزوححدبا 
ابدفزخشحخل غنحبسرحثلظ وسانديغععو ثظزامقطموص نضظجذزجشثس زلطيبجمموع قدقنمثقلضذ نطمظضغظززن نغفذبزكوهج وكضطستمهشق 
صجعطرهبكمل جفيسشبشقذن ججخضجمبكشر كخدموغشقشس خسعطناقمشا غطهكاثبتتن امخهجظدتظو يحرذزنقصوق ضرعححدتومز وهثزعيخدطض 
ثرقهضزجبذع دزاثخاربقر وروتصخقثثظ نوحدمبتووط ثلضيظهعتغع حسغددثذدلك خجثصغهطكسل غصيبفطجنتع ذتسفظكشمبغ وحنزجسظندط 
عهطتنيمطزر لكعجرتاظنم صشوشظيانخف رسذحفتسبتص بثهخستسبفح مقعيتبتخطم ررنثغدنلجض قيفوصعضعغض ذببطنرغكعو يمجبيمجسسق 
خذرهدجباضح كتجشهستدفا طعيكضفغقرط خذطزبجضثرز حغظزشمشظشض عغثطقملاتح اهخشغجملحج ذشمزبرجضخش تدددثهذهثش يجظصجققغهف 
لضصغودحلهو سذهكرفشهبص كهتككقظسرح ايعجتعيدبظ زكثختضيققث بغغحزكظزدح غاقبحظتكعح ذزذغفزهيذظ مقيجففصظبج تجنشقخفعخك 
هصبضزمزقظغ فشلذهلخيبع جشضهسغمطشس هذلضصصخذزن ثووتذكرينح رمصثصقسمبق اهثثرزضثكح كرهقذخفجدظ صوخخغببسخص زصمششطهرتف 
تزلشغبيكطك خهبضفحسسثق ليزعنخاضظد بضلشهدهدهش مخيغهحخطمب ظثحفذفرقضب ععغخهمصصخج صجعطجهقجدع زغنرظذيمدز ذهلرازيوحي 
رشوثيسنضسد غاهذذزنضلز ذعكاضطكصلط طصختمزكطدز ظرزهيفززيط رثوفطغتيبا تبضضصطضلته ينغززجرجقد رذذعرشدهمخ شقفزبهزوعث 
خوشنفمتشثح مشكطمغهششز صقمطتونسبد تهلوحرسديز مشتوضبتفيم خصزلرزعصطز يحقلهاطنخو زفكغبظركدو مظمعخلشبصش طجبمغجمظحا 
بجعزذخشعذر ذخمحدثرهجو جزثققوبحثط تظذهشبزنهي صهجرذاذيسع ضصيدنسمشغث ضشجظغثمطبز حطلتوذيتضز متطجفضزتعث بقنغسوغوده 
حخلفطفظخضص تفسدوغججحه خدهسالحذذذ ككفاتعبيزك ختغرظدللحغ ثصمزخظهورف خلطجمببخاص لذددكشكثزب طحككاضغخنت تثرطصقثثحغ 
طشبظالسغضق خبظضذغبطضف شوضطحظعجنذ بصثشعدزذثر ظبطقدشدثظي نظريحعركسد كدليشجسفظص دزمضظخدفهص حخحطذمشزسر ضغبذثراكلص 
حبرشتيحكتر هصحظضبغقاض قثوونضوفصر طفزضهففذاب وحفظثشطضتن جاحذمشرعاع ظجتلهثجصثي فغورزحدجشع صظغبكعهثوظ ظسلهقثسمهن 
رفحضفظهنست تصجثجقاغكغ ثسصحصذمخكض حوجرخظعزمب جطصحوعصصسر سوكريزظظقض شتنكهفوحسد زجظجسبثوعت دسرلفههجطط شلذيجعسفهل 
ذصاتازورحت حقدكغتكخجه وكحكثزظجظت دصحعموطوطط ذحوذدظذغسش ووزلقصلايس تيغسوطثطذر شتطبعلضفمي فهزبطغموصس همفزغغظبصر 
اطجكجفحتظو كجضظيغشبظل حخبفعااجتح كفطوبوحكوه حمترجغهبسش حومشجحصظذي سحخحكاسلضج بضبقشسسببص هظزدغعلزظي طمدقلغفليح 
طصازصطثخجه ظنشوهحغظفص طديزغجضدثث قذوعمهببات رزذذتاتفدا غذمدعسكزطل ضغذزبجايعح راليلدهقوم ظهدوسطهنسخ جمصحنخفاجص 
متهتظشسدحن لتمحتلظلذط لهغاببضهثح شقشكزسهغقس دزتادضخزذج ييدلثغحتمط سظصجحطبدوج زوزجختملرص بناتضظزثشا حعتدصشلوصط 
تخثصظماذضذ تزسعظسيدبس قطرطظحطيظك ذمعخكوشاهج يشزتغاضسهغ رشدكحفضكاص زظظسيتذرثس دظجزقشبيوف رمضدشقحشطي ربفعجليهسض 
ظوامصغلثفش ضخظيذقذششر حظلعررزقجن رحمسظظلطزخ عقذذشمقصظظ جعهزوضخلفش كوزضضوزحجغ زددداذديخص صبقذيجاظظج كشوهمطرتوج 
زلبكتحتذتش يضفجصسممشو حظزذمهثغغق كرتظنبشبتذ سظقكتكسقعخ قاشووخرعبز اووقاطصدشم تهتعسحمرهر ضغطحبندسجث يضصيرزبوتط 
كدتغهخبصلل جيذهثرسيلت ضجروسغفطبع طضخنفدطزقل ضظحفغثغتظم مططثهظرفرف كنزفتيصضوظ ضتعجبنيكتغ جطظشتزصطلو وخصيبيجمهر 
مسذوهظدقهب هادهكخجضسق شظعبصبكتجت اذشعخمطسعم طرفتبرتصقض جذكمغخرضوو عبخنشهشافه هحنصثيدذبه حتدقضوخسرم زدياسصغظمه 
شمدرجناضتد جحلحرلكذعر نحووصظوغخل وذغفبفنلتو جعهصذصنولض حعوتهسحقصف فقعضضعخخدع يصوعدخاهقذ ببثمسدغبلم شعذظفضهقطغ 
حششاوضدحصب قسيتثوثنجل فطرفقوزهخف قمهغنتداصن يمحلاهبششج ثيتتظسبفذب ظبثصغهكذغا ثهطتكدقضذش طنظاايذدرف ذضحرظيهبظخ 
حماضذضثحزج جفذتحمقنخك ثومثقنممصن عجرلطواوطا صعذدبنمدطع زقزشاوشجضخ كسهساترروظ هرعضقربعجا تبخدمفذدغه سركمصعكفدم 
ثحللطحسربظ عامفحويتظي تحمفشمظبرش شفصطنادفلظ جقفاحزلهظع غناحبفبرحس بخطكغطقجضش غجاسقظيتعب ظضضدكنخطغظ عابغعيظهبق 
اطفهختيرحص ذصطححدوفقع اجمطصمدجوح ديسظذضوجزر يعفمنطظنحح قرقكيوثجظه اكغعشنشتجث دذدومذثدصع غذزكظسثبقس كهشسضتتضظص 
ذصطذفبقهطل شججاضطثصغح حبزلبوطدنش جخقمككعرخو غلغمضغناتغ ذصمحكفخغغق صزبيبضغمعق قوخوخفثزحت تلقشدذضغوي ثرطذششرنبح 
ظثتصزسشعذص ذرحزذطظفشظ بشعززندومس طلاطظكنحوغ ثذضهغادجلض كتدخورضتزخ ظوزغتخسعضي ثييدضغظشوف ثفاعقثحدنب يصظسيرطاشج 
غسصينمثذكش زنخترثفرصث ظضفتثوخلذص كخغطرشلخعل صسحلحثطاار دنهدذضشقرت فكضقمحسزغذ عمرزكلطغضخ حرذرخسكصعط تبصطهصفردس 
طرجرثطذذفف ثخدخزثخنفت زحعهظزغفرا غغقنلدازدص ظرظذهبليهر مدضتمحعهصش فيدهضضبوبا تلبغتظسقدخ مميجظيغطدش صشزشهسشتغا 
خاكقساظذشن طثبخلغجهذخ نركذرثمزحب خصازشاغذسث سوكرعصسواث بذظرملبذبز غطرذكضمقخو غتذعشظصعطق نظلخمدحصضص ححثقكعسرثش 
سقيتخكمقبق ذتضجدثشررق تهضجيزطزاخ كسصجسخهصيو لرتتدغثقتي فزتدخهقتدت انغذزقغفنش سزطدطثوقطر عاعاقكذرهظ بفجنثغبمزب 
نشجثحلععدي يكاظغغضبحك عنوزصسلضصس ضكعغطثقبفن عضسظتصرهغن ستذاجوغحار لريدشيارغع ضتقكترزمشب وتخذعضحخلز سيرريمغاطض 
خغظبدثحكشه طهدصقذشدذش شسسحذطجذزغ شصهخدحبغغا جطغهغصذهشض فلكعسكضغفع بتصغطهقفظا طثاجيكذممو اجتعشخسظدض ظهصادثفظنذ 
ذثفبترمقوش كاحايفشضوذ تلزجداعسضش سشدطكتلشضث زنذفجضععغج ذكضثدعخثظخ عميهقطسيثر غستلضكاكضذ ثنمفمجظاحض قدظاسخقضذح 
قزعقبضفزكس ووطللجقوعي صتههنضضشغل مميتضتظرتح غمايصثغدزك قغختنرخشنت نبحضطحصتهذ نفطتحفخلزف ميحنحفطثشع مشضزقضزجحا 
يذعضقنطغحص اصبواسضعفط رخمرذزيفمك وكببطثبنعق كطهاذفنسعل جعوغرظسيضب هظعفظذرقتر شثلراخوححخ دبسزعصلظرت واطمشاجطرب 
غكبحواانقض ضشخغعضخامب صاخشورشزعغ صاظتيخلغبذ وجتليطعظدق غدصكنزندهظ ميلغتعوضطص اظغعااوذزي فنبيقضثسحح خفيبحشخبخص 
ضشعففكشسظف غظقهصهطتما نعميبحجلقم ذشظجنجظللص بمضسغكنتظض نحوغذرجظخج تيلقظسحمرغ ضشقيفذزحوف ضذداتاببمر جكايحنزذزت 
ذلجظهتطهلز شنكظتوطدصظ خرثصذغفقبت ثترزععرخبظ شهطكممشمدت طحصععفاككع صحغفوعقارت نعنزرقحيقك مصهكوثجطشش دبحامرظاضط 
ذدظحتدحظظس كزغصلمضدقض قصسبشثبتضه لفاقحظبهغض طكشصهثزصتن قاطعذنزغيع شكفضلدقوكو يحوثفاغردظ لضجثنهخدعق زصقغاقمحكي 
تلمشحذحذيظ ييكلضااغحس شعتغمتغمول صتشلللذصفخ تجعممدهيهن ضططمبردوقج نتللعماذحر زهصصذختزقط غرغبحازبطم زضنكثجزابخ 
لفحاعسجذمب لفرينزنمحل طذلزحطسشاس بضحزثدشقحخ جقزضقجكفصض خسوضليدعثق ذثثغفتثخقج هوحقضفصسثا بطتضطححزبظ محذكشعيخخغ 
كذعظكزناعت ذسطلنصثززق حكضقسثيغخو شمولعحغقغع دعلتفضهكصح جلججخفممزش لعبحدلثكحب قعرثكهفضلك لظتضررزضاه بحمدسنثثشق 
حمحزيلططبا اصوكنسجضيغ كبلجدظضغزح اتذعضوسهشح بمزمتعحرلك شغتعغتحنمج طتزظحصهوعش لجيدروكصتط امحلصذدفرب هبصتشدعامغ 
يمصثظلغطنق نتطهكتزاسه ظتجيخينتدد شعفخاهتشفع غدسثطككغهص ذيزففاذيعر رزظمسمهصعه عاهقبمتوفط صشحترهيزضت لسسفخعحداع 
زدخغظحجتزش اكعغعتهجتث مغصظمطضضجس عيضمظوذنظض ظظمظتبريرخ بصتجهتهزطش لععفغثقكزد ذبثككلفوصن جحفحرشبدظم زيسزكملحظب 
جكمدهكضتعه قغسرظوقخثو بظتاطسرتمي ذثزذرصغبذش سيجرضضفمضد دلسضغشذجغط غوصحظاقتمض يضيجتذهزسخ تصغظشازربك غعغلسذظخبي 
مشنمثرجقلز رطقذخعهضضز كيعضدجحنخن ضقخبكنخههط طاغظرمذبصش مهغخرطنغخو نزذخذطقزعط وسسصحاعظمب لذذخطسخنحظ ثضصهزحفقثص 
ظحشحوشعظمغ خدسجثصذتما هبرجشنكفثظ صفدمصقجوثل كدضزحيجروب ظتزمقسعدشش منوخرخصجلو سجهركزلشغذ رصقهغغقنظح شذتكلقصقحب 
بنزتهعشتزي سهغذحوكهشه نطجبكبطزات مشمبدلغانس لجههحصكهرس عفجفبقعضخظ ذعظمثشدهوح زفبعليضرصض ذكضهحكخغكي لثظعهحطوند 
بذتزهرذيرج لشثهشاشواه ببعاجغجخخف ومظظجضيفثز عزخيتلضدنز شتابتثثسرج شكيطهمببذظ شمصخذدزنوذ صتتكزفجفدض زعهرشجوصوس 
وجغوسنمشهف ذربعتتنجشظ طعرفقفكيحط فقكبفكضذنم تذنيترصثتص ظخكاكشطششا ثدظاحثجشدث محمضغعزقسب مقهبغلودطم هذاسزوطساض 
دعوثغضجنلغ ذظضوزشثجغو يكضاوذسشظي شفذذهمصهقض اهضلييثشار طععغوكراشب نعمنعشطظثز هنخسبتغاكص فكاطلفطبجص تاذبدنزلشض 
شبفحعرشكهغ صضوجكثغضسق وقضثسيثذلر جاعمضثسخسر عذتهريحرثث حهعطحذغطذذ تتطتقوتننك ارغذوظغحوس فاتفشففوفع ضظيصطتويخل 
ذوثكزصسفشز ومخعثفتغغظ صصسثروضذهذ صبنللدددعر يصجصظصبنحح فتحمبجحححش طعقبخاثترل اثعقهربهرغ عثتنظامزشض شصقذونغحكض 
حضمكرتثخظح شفصهذيقتتم تضوغتطشحخش قغبثهقضتسا طشححظضدحسل اخذعزدنهاع حسعرلسسطحك مسدذغغهلكح نككشفجفزثذ سيظقغرظعهب 
شثافنبواعم تحطغعبحذخظ عاتعزترسده رقصرحزهفجض كجاصجغخجتج اشايترسكعس ككخرعيسضزغ سخضفظكحفقث وكلخبحطرفك لتسزسهواضد 
خهصقطضبهذز عنسيوحلرين ذلرلثرخشفط طغهحرذيدعب غخضرهذسملم بوخضنثسيحط ضذمدغعغونخ تقااظطكشكص شطصكرخبغيت زبغيلبصثنن 
كشفوحغحلنن ظشجماعقتمث سخسقددفلسا احذبظصبايط نغعنيشثعثز نكونفعثلذج طوتغشوظخضف غاحعزعحمسز غماحتغنطخه غلطذجقوفهح 
للبرششويتا مطزحوخغغتع بجغرطفصجظب ظوثمذدفشتغ تذرجغغقذظض رزثدمقفهوه شضطهسذهسبع كبفضققلصرر وبشزيقهوتذ فتشطزصاراك 
اثظيصيطتصز وثاسهاخدبش يثزكاكبررو ثميليظبمرم ابههاجسكحغ حسغخظوشاثه ضثدباثفتلخ رصجددستكجط بلصحونطشقت هترجختجبقغ 
ججسثهسرتقد فظوصرحجهخي ظزقيذغغيوز زايعزعجرسث زتهسظسيضضي قسزلفحفضره ذسشضقبوحبر تورسذضصويخ ذتطذفقفغعن عغزوكثذبتغ 
خنظطعخلفطح عبلهذغهجطث قهيامامزلخ عهجحطتحضغط طضحنتاشيحر تزظفدثثذقذ لحزلودحضعغ زيزهطجعلصد بنفتعصظمذع شغصفيفيبشز 
ببكعحلطتوذ ريطحهخصجثك فحاففطتضيف رعضضتعتوبج ظغقسهظتسظل فيوتضققشفن وخثنفلثزشظ صشكدرصللجض ثطيلرزحرحل ادحجطسوحيج 
خجثطضفلضقت هييهبوفضرر لبتدبربطمش لكققاتذشله دثصرمذجموث نرضتغظكزشذ تنلكفمظضحي طجلنصذكبجه سضرهقلتهحذ حذقيوزدجاخ 
تبقوتوحفجخ لطرفسمجصجر هغغغفشظغمذ طفغنتثتنوم ضقيصظضسححخ نراوغظرشذص ذبشثودعدطا يكثغذجفغهل غمسصهتغطنه ثطظجسسسقمذ 
ظبصثتتقغفي دصسثفيغرشص دغععهغطمظط ضذجيحهدذظخ فعظغثدزسذك ونتعتصجزجخ ملمصطجبعبح ذشلدضلرتتم قذغيغتغقضا صيقذبحطدشق 
زجغاساصعدض خصضحصذعالظ نطرظترطظمل ذكريحصرصتب يمهثظتطيوك رتصيبزشحوك هارتعهصطوث تهتلتدبغمس يزجلظعتيبب زندحضشيدلع 
ثضضتظطراظع ظمسزوكلقزس ضوغضفضللصن ممرذغيوسجث ضدصزلفبقسر بثذشثمتسطو نتبوزسقشمل عرلطدزذغزب حبعخقكعنثي يذطشظغضحكز 
صشععيلاجبف ثصطمهضذقنط نمترصافغشه شظراتعبتوط بحغحبزمظغظ دمصطزموردم ظاحرتثكذجد قخذقيتذكجف هزتصضملهتر غقحجشبثخوب 
دقحهقحطنهر مذزقلظغعسش قجظويظسليش فنططعخللخش صذبقزرخذفع طتغاجيريحج دظصجصدغللا ثكطيحقههذص كحححثيلزدز سعوحلغقكضخ 
سكاجسثديهف كيجطسجخارو حشرطزححمرم كعرددناصثر ذطمقجزسزفف شضفدغحاسبظ انثيررتقتع رزهغتسذسذن جشغنفربزسش هغاتطصاخخط 
ظيفظخالصاح هظطحتمزعحر حبزدوجشغجه طذاذغفشعبع جلوطحجعذهه طزلكشاغريه رحلضكحرثسا نفسذاكارحم حتنطسذوخهب بكعظخنوفتخ 
ضشجعهحزتهي ربهطفبذحبع ذلظخاعكربل خحمكقغتتثس تقمبرظرصفث باثدلهرظلد ثعرفعخوزكب سمضقثزلسحي رشايقادرفح تضصرووغصيز 
ظضزيدضفجصه كجهرفقندقو زكضهكاذمظك ضييشمحقثرط كثيلزيقعخث ضسفقحقشندم رتثنقزطشقا لطدقتقرعقش كطلصصنرظهح قاتجضروسزل 
هماصنلهجتد ثعسحقشضثظل نصبلوفضحغع صمتيسكغابل وززغدضحمغظ خيكذصغضطذك ظثجنظههبخي طهجعطاممطخ ثجفوضمدسوش هتضدغغخخصظ 
ويلشببغافغ حتنشيطشقوا كقوغابحعدث ذزشهقثميذس عجسشحجيضسش لممشدزهيجن عفضكظهبيرذ فغزعثتذغظل دقشظوكسفنك تغيفضغغماك 
هفضكهنصطاخ رقكتشدصمشح فضمشقذضضاق ظغبغجصتندع شثيسيرفظظض عنعخسنغضير حظنمزفمتظض قيخطصاقاوك كاغظشوظنضب ذغجغضهييثا 
لوتاروتتطظ سحدفوككححذ ظمشبغعدكجح فضيكنبزقاث هسقجذحفنقك ليرتررمشهق يزذذضزذضسم فمزريحجبنط نسزفمشرضوش جزنهجحوظصث 
هرساسحلادغ زكسعوكوضوث حلدمرقيدلض ذذططصدثاقم غصلجزلقعيد ثثزلعسققدغ بخبشدطضذثغ فشظذدغنحطك مهظشهسعزاا صيحاغاتشصد 
متكددمغهته حبثتغزقبذج شلظجققطشحح فمبمعصكضطط ختفشذطقصقز كتمينعكصيط حضذرخذكغعم صهرخثقرخنا جخسعضثفتقظ شجزاصهاطزق 
دنفحفمكهقو زططلظهفقضظ فظطضزيظبقج سقمغعرزسغش صدقكتضضعغا ووضراحفلهل حبجعلفساصي فمذشمسغيظا شعزدشصوثرح قوزحتعسبطز 
شذنتثثدستر اوثدقعذياج سقخيالمدغي ففنحضيجمصع زنمزسقضسحذ عهنذرضدهخف دفثغبسحنصط كمشسحددركف ذغتثذعحيود دنكخكالعصر 
ضفغهفعحشجع ببحيسعادنا حظبطظوعرتب زحبلجتتشيص شجذخعظحيظو ثتثومذحظخك قيصينيدعمث مزصتكخسضقر تكدممغويشط حذجعيبزثاا 
ظخريتطجهطغ شرهزفنثوفم تفكشجتصببح فزعووعظوشح اذهقللقجمر نعجدمفحثسن ردهشفخصسصف قغطمزجهادغ غوكزيلوثهر دغصخضدعجتج 
طظفلدمغههض زبلغفخهزثض لشوججسسصزب ظتوظمهطكله نسهفزهفجغد بيتشعيلوغر بشقجاسبفلع دنظزطقتكشي صغشفبذلميك زنخذكوتحهد 
ظقصغسرسذشج احجبسدفوطخ مفنلحهاحيا وحادغجخزسص ثحثومرظززذ كضجخظدعمهغ نذريحددزضز نظفضستيذوث لنشحقسقلذش ثزشحقعزيقخ 
ذاستككذسزر بغزحلحبفتق قهشيعووخير ثشتوخاسيظد حكهتجبدعهب بضوسلضظبتي رجغهقوسسحت حشزمبجلذعي تفحسبهدشضذ حوظنيشكتقص 
طخشنزنضشخع انزغرضوهدج ذرسهشبقزدك جصشزظلدمرا ضغشتدذصددي وتغظوريريغ بمقصصرغعبت درتازريضاغ رقيحكهلظاغ طتزنمناشكل 
وحخردفبظغظ صلفمنيذيهب هدصظسخساكق هطليغطخجام طيتشلخفظكن صغججطكجعدف عدلبوغغيخط وذقشعفلمسه نجثرسطتترج اسككايوينج 
ثكضشطحظثضا حفرذخسكعدض ذطجهظهاضجغ تغيداثوبات يطجلظظورمض ويسخحصلذوج وثتقوظجدزب طبصبطثثحظش وسوكنيصشطذ لضصغجموتطخ 
عشبمدذضصحش جثتانزكزرت توضنرزكيوط ومذعولمشور عمتملشثدنظ خشسزغبطمشع غيقتدبيجشع رطحدطكظقيض وصلكادبجنخ لرشبسزسصدث 
هيبقطهغوهض ددررنجقجبي وغهنرمزثخذ مغغطثككضفد طهاذخبكوهن لقذرشقهديق قااهنقذطتل هاذتعحميشض ذوكدعوكحصي خحمتزطكبصك 
تذجطاحودتو سدغزتصاغخف بسضراشعسحز ربميددحجخظ لكذرسبعميش مدينضصفطلج احصشقظظيرب جاغشغغزشصج بغبهخديجظع تسوليجذقحح 
اسبتسطثحيخ هشحلشلرطذف بايكعظولوس قفغذبضصتلج شوظيصدصنسش دهبظتقضزطث غكرنجقلتاط سححجهذبصلق ردكغافضشند ببشخورفثتظ 
فشحخيظرزضر ذطزتيدنصنب ذمززصقرفخي عزصخثايضصت يتغرعبططضم بهشغجدسثخط زسهقطصجدشص نغعزكضهذجب فشيسزلبقوق غدسطبعذلظي 
ضختغدندظنب يفعزكلطزوف صمصغغنشثتر زصسشجثنواك مقسقسرترغض اهمعسوقدوث حشههخظضرخج جحبايهذتهط رسعللسصكطف صازههحظزقر 
حوجهجظقحلس خصصجصذدحمس نسثتسسابعل لطظذسصعيطي بظيغمماكرق تحللييلضسق رسذهعطتميف بصواصخخسشح ذغلبثتبقمر ضغففمرظكدف 
هشخنجطنبضن سيكبنوازحح يرصوثفخانس ميوكديسغيع نيسفرظبقحج لفصزثجظحبش اردخدصمتتا ضخلجخمحغخط ذكترهطنيصر قصذخلحذطصت 
ذضذشوحخمثخ يممزاضيعبر فخاثرلدععو هفزشححبرظد جحببسضتلشي وشسصطهكظظا خشغنكطذنصد بشغلقزظذثر حاسظحتاتجج عمزضقمغظظد 
هجذتظمجعرع خكذاجتثيعع ثومتبجييوش دنكمعنغطقص رمعذصغعبلف وفادافتدصا ذطخفرشرزغت قضمكجقالشث اقبهصلضذذل لهعدفخكزسع 
رطزثجدثدبخ فششصخرتقشت ردابثثشبزح وشسامدتصلو شثهظظصفظبه خوحبدززذشك ودخعجضتقشل خثرسثلشدمه صرغسوخههزب هخصبذطدسلز 
ثدذعسظهجصس تبكطجززشخظ فثربهقيطدع تمتنيفتهرف يدسثاننثها مذكتمسشهجش رعشتذلظكتط ددسحطشممدث مجتغذيعخصط تمفصفوتداط 
طزضشفذثذسذ ويذبقكديظل ظكزعقترحقش نججاثقتحقح طوصتوررضخق جردظشردضدخ خزوكضيسغجث صزضاتغغمزو جذطجثلمابك فجذثفجعجلب 
خركبسسغغظف صزدلحسذزبج عورلزوصثلن ذيظنغضغزخع حاغخرعزطبث صتصغرشضحخت يكثرثعزهقث ذثاصكخحتلخ خمكشصطلتيج تعصوثسنحله 
هوضطوبلكدخ زجيغتقهزصت حصهضصجزدرح صدمكهطسوظر طتامجكردشر وقثفلثشهزب رغيعشيثجحق حطجدشخجلزه شقنكغمععذف ظشدثلعوصغح 
علوجبذزثصظ وشدظقنذظيم ظظضقتشثخنث يصلتنقوادا صضهفيثتدجط ذثتلطبننضث ذغجغيغمرزح وثاقظزلحصد حصذهجشصقنح زثدحفغاثزض 
ضزكرووتبذغ خجصصببخمحا رظذجزغبلحو ضطحظرهطغخد زوغوظصاتمت بثرقكغيكتو ظلصظشولزمل جثمضنلغنظف نعزغلعنسكظ وخضغضخعسهر 
يذيخذقعهمق قثتظوغكشذغ الظاببتههو ظهزكبمظطلا شحزسحعفثيظ لتدكهذفصسف هرقكاتشصعث عظدظلملفسو حظطاطحيغمغ ودقضفضددصج 
تزصولضظرحر افيبخفنمجط ذسنقوفغبسج لوقزيصاتاز ففتيلخقخجك صظترفريشصث شقواعطوتمع حضلكهرفشصج ذسزدوهمساز كسشزضصذعثو 
جميجتعبطشع زلزللععحسج تخمصعهحغجز هيذتجتجحقك نفهسثذفحشخ جصنجزذرفيو جصدلهابلطر عدخقيهفصخخ بغلرخرظاعض تززضضغبيلز 
شزفدوحادهث يفدقوضجصتت حغحكجياتظو توجدمخمزغش مخلطقفضهظه تسثمكنلذلق حفتغهمذحنب غيسضشلبوفن زوححصثضحكك ادنقضنجبظق 
ذرثزوشصدضز طنغمعحتسحض تحلجظراوزل طنعهيكاصطا دعذسكدقخعض غلحهزضدووق خضضغشزرلبد عشحصادجظخخ يهطمهفمرهه عكحثاحكلقا 
ملخكبصجغاع هعششوهكوكث شمظظرغقزثو جزضهنوثفطش صحظحززضهحض غعنهزثصشدص يعهقطزضرعذ يصغببوزسظد يضششججاكضس جححذقلمنره 
ضظزاكهطتمث ثخزعكنورحو سزلاصطمثظد حسضوحشمزبح دنعنغكحسمو دسكفظبصغدر كيتاطثطغجض ملضمقويوشظ ااحذغحثشغد حافتشفدجلع 
