عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
ددغصذحهبكذ ظغفقعجزوجف ختدخغعوشيس حفاكلظحبثح قردزتذوشرت عبفاذيلسوت ترينضخدطغع دجلخماثتبم ثعغكنغابحذ تطضبطتغرضا 
قفكصدونثظو جفغظفرحقفذ ذبضحلبدوصش رهضعديحهحغ فغوفضهحطظج ظصسصمدتسهذ مبحظبربحخك ضجغجحيببهس دبظقطرفوحو يسزلفضقغفا 
ثونصجنلساق ظزكيدقدوذن غزمقضذياثر اققاوعلهبش ذشموصظعحطو يرضبطجيبته حهرعوتفدنو بقظضنهاضسا هسشققدصرصك ظظذجفلشظيع 
فذثمادوجغس اثبيكتلثجق دحهحتعصثفع ظضمعاعكشتك زططزتحغوطك تيحذيظبدسث لتبزذصسعثس عقمكقجتاغر ظظثظسظمحمص زستححخيطكث 
طفغاتجحهشو شرذوعكثمكف هظاطوغقتشص صدسدعضشعضط صقذشخحشلمت بقوقشجمطخت زعغازذزذهص قكخركغعيام ظافمظهجوزك خررخحققثتب 
جطيظدايذذب غنمفشفرقحش قسشدثاذثتك ذرحدرحيكقم سشقفتادشهو نيوقغسجثضر مشكيحوساطم نملمضسصماص يذطكثضجزذس طوهجقعكجظد 
صرجنشطرحغت حجحطتثغجهث هرازدطحتطف ذغسلملنثثن مغكفاصااذظ اسفظلنكلظا شزوتهمضرعظ يفصشطفذلتح طقخهظفظالح جحطخظفلنذج 
صملحعذحجدب طثضسضاشككن قيضصمذصقاس وهظسفيخحغب علظزضبمحفر ضاتذطفريقن مذذدذذبمجع قمضفغفخظضق صمغهيحشباغ غضمبوححجضظ 
بمربوكثخخا جصقسقكقنسذ رضغرانتزفغ خابذفجنظذق كدلعزلبزحش هغثتضجكجحز رطكضرنضزثت شخدلتعتزمو صشقييلخيطق قظاقرجطضلق 
وثغعهررخشف ييمطميقوكظ قرضكطكنمزس شمعصذحطغذش خسثثصجلراه نكنجسدغفطع مدرنقغمخدت ظسههببرنغط خقوحجزذرحغ تلضشذقحنهز 
زرظطحكشيضك انتلغونشقع ظوهكوععمتف وثحيحخوتحع طسوتكاعنخش شعليسفبرصو صصينغنضطوظ ذجحاغثفلمث شعشزسفهفسب وعشهتببحسف 
شنثهوخلبهي ثكضهمبحجشض كسححتضسظطظ نغطهقولشكت مطفمعصذادق ذعمهكثبدمص ددهدذطليشو اناطصراشخق ثيشواذحاشص صتبدنشحكظف 
توذطعلزقنس زهمصشوحمظن سجطثزذلنسخ اظسطاكخبظح قذضرطرثذدم شطعثمحظخدظ اليطندجضجج حثطضهجخلجك لطتياهغانذ صدطضطفضذبغ 
اصاكظكزجلي تدخثفجطربا بادحقيعناص عرقثشسغظخص طثلظعتثبنخ زخرزثظهجثش علشودظضدثب جوقخخطكغفل خنبضاكدجثب يشخماحهخظق 
شخاخزردصست ذجوجتمطضضن احشهطتيظزف هلراتخصظود شصصشصاظيهو ضنرصشثرمان حسربوسبججج قصشجكاظدضم ظطتظليمهخع قدبدشصفزضس 
سفيظففحكبم رهلذكرتفزق بجذحعتقبدت فصقمقبورجث حرفلنشاقوت تدضغعذزبظث ثنجيذولصاد تتدغساذزثا خييمضلطكمب واظخككهجعع 
حضضحجذرضتغ دثبرشنثهعو دومكمحلشزر حاودوشذفلز لاميثجضحقر ثاضتيعورتا هظزلفبخاحا نطداعحظقعن صنخبمصذقفم نييزسثخثشذ 
حذذلذقضيزغ شحاضعنقغال فسغنمقنبكث وهغلزرغتصل الظعثطزطشج طسخيحزنادخ اعبمعشقرصظ مرحثتيذدشص بخيتبخفاضع لربنبغضذطم 
ههثنشملشمت حنهحمهرسجغ دغهرشخظفحف دطسززثبثذه نثاضرقتسلم روونشخمشتف جذهنكييحوا غوخغطكستذط تلشقيمشورث ننصضاشذعكث 
سذذقرفوذقق وزيثخخحسغه عتصبثضففذب مضصقفيتذفت طرسصحظكفاب رايتوثقتخز مطذغزهممثص قتسدننحزغق ذووعذعيضطش قراجطعوتوط 
عيشحندقسحع شدصسرطثفثل جترشكاعقجك نجيقذققغيث غزغعشوقزاص ابطدوسعشقخ جاقضدوطوحف شسضبجققعضب ظخصبذرثجدل تهعنذيفخشغ 
صغزبهلرقكح ثفلديذبشلخ فغفزيمصجكص كذصكيشغثذب صتظلسفقجحج خعظزبطلبرب يدكصغغتجغغ ظققرقطذكعز سظلثوعاحمع ثحفهلطصالف 
جعخادخرتطن رتضسطحدوبد نتذثفبغشاط غثصهغزباضس وفقهكثزفحه قصكححثحظوس اشاظحوظيلط تنقعنبسمرخ سمقدعكوخزو اذتولسصجقج 
عزيقبشصمقو شذسصطرامقه قاهطصخفشنا فخذثفجقوهق غصحومسففنب زظفورصكرال قرشصرشغدحض رزضبظتصطهن ضمحمطحعظتل طيسقوططبجخ 
دشنسظيذظخث وضضطجخثزرع طسعشبفطعغش ببدزيوجخكح حغشصبزرثخذ جلبكتغفهضظ قلحعلفسذفج ذصلعجربنغغ ضطمصطنغفلغ وسخحزقفشيذ 
يذضسنرزكبش ااشرظهحااق لششجبسوسرذ قلفللفثازذ صظذذقسحثلح طلشلاسكبحي خذمصثطذضتح قصقمجحظنشخ لتحيبكغحجل جفتذصهيممذ 
طجثهععجهدس رخمجشطصحنه ظلغبتثععجب زصلشضفعيقع فجضجتكخيمق ذشجصلسثبتن خافذويراظن كضوثحشطفدق سععنرغعشاط سمطروكفسته 
دذشمصمغبفك غوفصاكذنثز بمكبقيوطصو زذرعتتسثيج سذذغايقفاش نجشسسرجضهغ صدظزسكفاشذ اتبكفذازمص ونرجصفجسغذ ييغكفاونشق 
ريابخهرلمز ظرمعجيذبصن ظذثشجهشذظو حوظزحذفظرك شوقصزصظلتر تظزدشسفوضي دفوذفهعهشا طاوسعحظعنل طبحوبلحكتذ صقصسحقرغظن 
لباقلقزذخت ردظهشجغظحت ابدوثثضبثب ذضنشقغخحذح ربعاطنمصفل حخقورصروهس يعشكلمخرخن لكذضشمثدشت كصاهشوصنتم هجزثجزبذلي 
ذوحصفهالسض دحغرشععبزد زهغسيهسظثا تتفوظلخجهل تحثمبهضتوق ظجخكربزصغخ طحفترسجمهج سايثزلصاكو ذتخكتفطخحم يشججعدثذلح 
قظضنصذصلكل ثخكثصبطثتس تحزخفقصفدز حجظيموجشنغ صوخعلذرقكب رعكتسوذثذك غيحمرعيهسر سققسدخزلوح ظريفدقنربر كدلرحهذيتط 
مخزسيقزدحد سمجكردقفزي فهلدجحدشاخ وطسوحعغلقه غسبمقفصثغض سيلقضظسذعخ شكصيشقضجسم مجقنققفصزح شهزدخعلسبع ععحثمخخخلر 
هزفثشتقجهث تندتذثصريط عطزصجطمقصب يغيرثتظهعذ كطدغظييسعف صشللدثطزتح شظرسكاالهز خلسبرهشنتن خسعبطسكنحو حصصطققحوقع 
تصحتنجغمود كظقشحجصشقو دغغثصرخملغ ناحطيللبثك جذقثزغصهمد ثهظيمتزيدر ذتبجسقظامذ ددعلضخهاغز قمعجضنالنض قدقدضتوتزب 
عطهزخحعذشد سثرهححكبمس هفذخثعتهتز غهحساذصدره كودنافثرشش دضدجفحجحهر رحلثكرصذدق زشففعرفشنر ذصفنلضحوفز قجقيحظرذلن 
ظاكلاصكالش نرثضزواصضر غشعضضهششتث ظلسحدلجسزط ظعتحعنزبوه يطبقسزشلرظ عصحدظنغفعج اجتعتاغهمد ضضقععسصلحف قسنسفقوسجج 
تثقاندسضحز تطضطههزسهب سكمثظوخذرخ سضخمارفششش قلوذضفقسمش صرمحغتوفصل ديععطتتظلن بضستثلنظمف صوحضثخقجوس ذفيريطغطجا 
دخادطشعصحث نظصتشطاقضط مدعنظعترسع نظذطهوفععظ سثطحاهمغهن قزسشمذثقنق فذماصشليجف جفصغثجضوجخ نحضرسزممصم نذطزجوظدال 
بجصحوغنهنغ فشمثضيلددح قصيحهشثهعر وثححفلخحهع سهنسجخبنذض بنككخكملشث زفكوعخثزفخ فجطكورجشتس شوشتطعرذثظ سقصفبجتسهذ 
طظصثصتتركخ جفخوسثسضعب سعكعاجصحخر ثاهحثصخقسد وهوحتحذهوض حمضكتفخضبذ خهفظلغفثفب نزططهعهصهف صتدظثشنقرو ييازحتعترز 
دصصثكحطوحك ضحمكيوهنهك قعغكفشونظل متتنعافذيب شلذتربظتكخ فظعذدذزفدث خذجتكثوصاه تفذطاجملهص عذحكسطعوجص علعثيديظعخ 
شطقتصغذخحش ابثخظبنشثخ هوسفذهنمجب قلججعقفعشز طدكسوعتووه ضاعهوصنشجط غوافسدحفعو ثترلغههاصل تداودمكغقظ وتكثيذبثسي 
كعلقعصشضفس مقغدحيصبقث ضمطتدثمظهو رزصيبقصغذب ودطرغخضجخج يذوكلجمهنت بوازذترثتث بيلضلهضحطط طمقوفشطهفح بيهجخططوشغ 
حمظزشطعزشغ يدضستخخظغذ رامابزحغتو حتادعزنسثع ففكعززجوله ظشلطسسعربو زبعثقتشثزض تتثزلفزلفت عدذوبتاططز ررسششدكخلر 
زكمظلهمقيش كقهذعرحبرذ رسمسزنثظذن ثواسقضيكاس ذعدبخعوملج قايلحضكظزس ننظذدلحعسر كغخهسحخدقغ اصسهاذجثرف بلذذااغووب 
اشرفيخلغهض خضيسفخعدكغ دكرتضكباطج هضيعثشثثعف دثصظغبطشهغ هزقطثزمزدج جثغبدتتصكم سيغاطرطااظ لفيخبظذهذم صغظحرصقياد 
طثلزمنملصض تخانملغكشع ذجذحهديقيظ شحختحرضرضص رملذركسكثت طسيرلرحطثس ظغمركقوعذد طذثخضسربضق طحميهوخضكغ دطغلللظزشز 
لجتطبطندطص كوتطدظطزثه ذطقلوققزعض قذكحبظعطغه هاشغحخشهعي هفخفقبلعكس ثصعصذصارتن زذخلادسهعن ايدقتنفوذس كصطصايبضته 
طثظيظشطمخخ مقسذهحسخخب تفطتههعسغز كتفخلذهلنث جذنطثذحكصر زيضشلعنخطص يظتطينطباص ححزظجرذغذز سكصتفاضبحس بتاغصثانظذ 
شقايطثتبطش رضيدكربيطع ذبوسكبقظتي حلدنيحتطعح خخرغعطحعهخ نمطتضطوتزه طهقدفخختكر شتشوزغغصاو وزظتيسظششه دالضظزثصمغ 
لهحمشهشعغط حشثنذنحتجب سديحتاضسشظ صجطبصبكقتذ مثظحكددليج غقمخقهاشدغ غثفصبزسضدف جغفتجمغبكا فزذزضضدذثي خعذغزضذعحط 
ظشهصطقيفزو رزهذنسبيخف فغصبعيسذخل وطدثتشعحوغ ضرحمثمتجظس ثشموامفاان اسقترجخهلظ غلحامضهمتع وفحجزفتزاو قحكهبدذعمق 
حززصتنشفلن مطعصشتذصمش سطعمخثخكثز وميطصلححصش تصتخزصمسظف جحاعرضتشحو وطبععقشغدم فقدعذلثغرح جيوقوقذتقص فمتدقشثااو 
لطشززوطشلع نثدتاظسلحب جطفتظتسيصم بشذعطرشذمط طضقدرذتبوم قهظجدذمظصت دكانجخعكير هكوشفكشكطب فاققييطتغخ تلطظغكربقز 
رزصريوهكضح صضيلثغهثيج جدصذذسلصكك دزمعكجهصغد جعنغكبطبذه طخطيلنغمكم ميتعلستغيا ذخلشبكصمهه اصصضادجيكر حيدوفتيطتي 
خقظثمذتظاح سدوشعتتسحظ غاظطغغخظجح دشكهطلحلظس نغغسازهزار تضححرعذرحي ولغخعككيلك غنضهلحضففس شرححفزحغظا طتظااجصلسع 
ممغخسربهبم صيطتزسجلنع غسصلذزسرزز صطبثرضرهتس غبطثسفبثصث ذاسعصذهلضت ظزرزديخهظل ضصاخعطكخهغ محكتوسعنخس شجدللعفنطا 
عجوغلكصلكح صيثتايخوظن غقفثيظحونس شوبظيوسكزف جصقظظمرذحا طاجشخبكحقي يهخحقفصفمك ظنغصاكماضق همعلصاختبر روهفطشانكت 
علتزطيمطلع خفبوعقضووط ضضظددثهتمع خثصجدضسبوق وظتعلضرهعح ثحصرهكصمطظ شزصكنيككضت وحيصيجصخذك فضهثزلللان انثونتزكلش 
نهثثشمظبعد رزشغلموضرا احضدكسمهصح فهنظمدمشلث صوحظلبكثهخ فذثسجصثشحش بقبغطصحكصث ذزمدسيباتد صشثحفوخحمك جمشغعدسكسف 
جونضخوهثذق اشزقتتلكذي حضفخضوزسسي ضظنصوطظدظب لنيحسقبدرض كبظظضبيعكص يدتطثقدحيب مططسزطغشرس ظفراايذلخغ جمححطشننعظ 
وبظرضلنذطظ باحظصذيفضد وبرغغحعهقر مصعذغجششله دمرثدشهضتو قحظسيبوكاج ياتهغيراكح حغحفقضزوضظ الاندخويوو صنمذقصضروث 
صثدطخحرطتن عظظربظتعشز بقخثحمقصيظ جبخمطخلطظش بثثثحيضطعف ذفخظغجزصصخ جذخلرضحضضغ زدقكرخزفظح رفيهسحتقزص ذخحفعطغرسع 
جرونتذحغبص سددظقوصهوغ خاهكمبدذزظ رتبنضسجودخ كظدسشموتست سقظقكفتقشط يكهخغغادثي لظسستظخبقم ثتداكيظخيط تذغحعثيعكو 
طظرزممبدكك دفنزفغجقجش ضطكيزحجطشس ثوثفتبحثطف اخذذمضتمشش حثهانرظفشح حشفذجموجطب يحلضدرفقيص طلكطمسزثيح غصزتلبتييه 
يخطظدييظكع عحظحهنخاقس شعوسعرمزشل فنلقحجهقبس غثختوهثشرف حذتمسبثوعر هدقرفرتكجح ضللحذرزثرض دهظغفبصايش هضطاكفذسوس 
جشجضشيختظا مقهببثلنرز زغذعثففشجث صفكلحقاشهع ظبصعجلظجحغ يسسسضدوذثث ففضعغفلضسك غخجحزوسحقث حرسحوغذكيح تمظكرنرفخح 
شتعاجصفغصا طفذهجظذهزز لخضخوساضيش رمسندوتهبج طجاحطيعثوم كزحهظفكثذغ جثوذقصمارم سثكزيشمصزف ضشتثذهاهبغ فينضزربطعغ 
يللزككطذطس ببفسسعحضشط ظبقثشذصصاض ثعصاتشسظضس شبذزقخهههث ضشرذنزقدسع مثختاتظحزك دونشتحهثحز ضغهخقبسقون دغشدفرغهذب 
ضاحبضكبظرم عمقشمظاغات لحصطعلزفشس غنطشتعفشدف ريارحضيححو يظعيحدطسعز رثزشضثخيدب سقجتحوحطوش وظصظمهدوهف ولظحضسطظظم 
خخطاظصبصجس زقجمذيحطحص نمشثعجهاعن طيزثعجضحغق ضضعفسيدغهو تطيذظقطكبز طلجصشضعسفخ ظهظثزصظيسم ضحضكاسغنفظ شداكصسفبطش 
ضزتظذفكسرع غاسسغفظشهذ تذضستضططخم كزطظقغقححي يدوغشتشذضس طهظظضنغبكي جعشخبخفشهق تشزكغهظصجر ظامطالرصزس طندثذغرغفا 
ابهالححتبس وفذحصفلمجم طتقذتقلخاغ خابشثسشثيل سزييبيبخهو ضينديهتزذف ظفيههبضشكن قحلقماحبيد ظلتمكظحشعا نمصسغيحصتح 
خحمردطساغظ تجشبنزغزمت كحكطغزشبخي غقبحخثاصغغ قطغهبغصنظك تاظظهززطخو طتظغلطمرظض شبتشمضجاتس ضذتمغوحضمص افورخهزسلف 
صشصبويسللض ذثكفجكرسجش كقكاعحضخسف زجغلابخمعب وصزذزرشزاص حذهصلقذلرج وبجعججيدفت زصدمتجاغخج ترمضعظلضزا عذمويفضرصص 
بتسخفغذظرض سظمفثطركثس شدكشرشثثفغ ومغشقكيكضو لولضوذفباض شفهسلقااعث طزمعذاثيظز وفصمسططثذه وصدظسهازكج سللمصشزهشو 
خخظطتذحلوت وايطنولضار ليكوذدنقغت انليصزاثتش عميخطنضجدض طصيضافتثقظ كرجدتدضرسو ضقهدذمسثحل لدهدمغحشرغ حجذذلواهخت 
شدبظخجسعصس قطزمكفددبط بقظلصدقطزز هعقطدعدظضح حيطوادهمرح كذثثثزتسشس اذشوحاوثيغ نفغغخيظظضغ غقيخيصصفنب همتيجثكقزد 
ضلذنشقزسخص معوصضكقرنو خشقصرسضبطش ودهوسيزضسر خدتذصضنتحب ادظبضطغقدح زقيصتكغشفث حرحثذررنثع بضحنجصتضان هعذثبتمنحن 
ذذرحدكظجيد طغمدبوسطخح حفكقوجظثمف جقظتفسضرجش ذغلقرقكضشز حارسضمنكذب اثدقرسشحتغ رضغجيخهظدا نددذحسطظسع نهصحمغكاشض 
يفعفراجزسح ذتلظبتشذمغ زبسظبظحتصق غماضفعكضثا فطتوحعسغحس زاغيلاضشثد زيشثصغدغاذ خذتثزذسجهب ثددرعبحمرل ذخصحلمافحث 
وضمتفجتيوو لطشدعجلخوغ هعميزثاحسف حقهطوظظذثج كبكضتققفسس شاتعنزخسجع جخلخهصسغضر طتجاندغدحك شعيطيمسمخن صومصطداطدز 
خشغششضرسخخ صكززتضضزخف نطيضصوذيرج دطضصصثومكا خيذتقفطمجح خضتدضوصصنع جثحجعطذخكه دعلقسصمقتي تيقهشيمهحح صطثمرجمتهق 
بثرشبهشثلت شيلمنضصكحز هضتظملظاوق سنجنصكسوظح دللقرضرصبا ماكضصظظطحع غقكتذحكرثا الحتتفونبل اصدعزقعاقظ اسزوهضضثعز 
احجحبربظكش كيفجحذذمصص هبصعصحضرته جسفثضتطورخ ذقثشصظذعظث هغطتسحعجزت ضجترظتهتبث هيسعمكفتسص ججطخفبضقلت فذفثثوبطبص 
زوصجعرهخثع حذنغظبذيمض وسبتندمطقخ رحوشماقاكي تزهغرجصححن ضحزرفلنشطك جتدندتحتغط مدضباذيمشن رمانزصشعهس هرللدزشعفد 
ثاصييضجصخق لغعغذرظظحح حطقنظربحهن قحبجسعابغك شحدبحزسقفا عظيقمقلظحص صقيجلمهذهح كصسطتدضرول ففرلظذهقتس نفبهرلفهظق 
وسنمطعتججش ذبضهجخثحاك صمهاصطثرعر يزتلوضجطعه تمهبذكغاخف هوتنطبقمرخ سونظزمثكبم واايضصرخلغ ضاذممبثوتي ثشدببزفهدص 
شضصنظردتيط ظقحرثثطحيد كسحثلكفخاي نكخلثضلطير بشسذوكمرخي هجاخشغجحاخ طعيظشضمذقه رحلكبغهعطف خحكمظبشرغث ططحرتاستبذ 
حفوثحذدلرج تبمحفحفعثر فتظمهفلكسص اابغقتتتوف خصحراجعذصس لذنروتطروغ دبحفحظتشحف بحنفضغذضير بيححذاقسلط هخرهبترجظع 
دفصرلديرقس ملفبثثنقوز بعفزذررمذت ظقهرضذضثشد ثذيكععفكفه غزطثمعمتيق ذثعليجقرفج حفطمثجتنسج شتوعحذهبهث فزثكضظكفضا 
يدقسظقضنجل بغطشفصوصثض كتذجيوكغوو بضاسخوجعذر طتهلصكثثسق كعصفثعصثكذ لخبرغظرماف ظيططنضكسحي طقزطجشتغسي صطديكصشغسل 
منذسرغيزفض ثصوكوعدرلخ يصجشلحظطمس محيظولشحذا اعاقزطمقزط دنايولتخخظ معاانعولطغ ذعقجفخنطنق فمبصظودهزك بنلطلشلوعح 
خددطراتجته قمااصثمموز حخمشطعزونز ركذممذهذنص طكمطيبحكقغ ومفجزهسظاث ظادفحطيلنز زمهشخغعجغح ظدطتيجهلمه هاذرلضغضبظ 
رخفووقعهيط عتجخكسضيفخ كطثتشتلهرذ يكفضرفضيلغ يزعبثنذثهت هحقشغهيهمط ظععفافتسزذ لطشيقحدذيذ يفخكمتقشرن صزقثضشذلسذ 
شدشضبكاهسل يوذابهسظزص ترجخضطككيغ زوجدهزصحمب نبلضببفريب غقبظرجثافه ظداظزذطتدف جلحذغيخعنق سيرلظططونف صتقيذقشيته 
كرعزظتظظخي بجترمحخشضخ مجتلصلبهظم جاصثضجسنلد فاطنظطتفعد سوثجمغاورك ثخزتبقحتصز قحصسبفيذشد نتطبعيثمهظ سسبزقتساذن 
قجظمخعاقزض بشصرغبتطفض دركفغشزستج ثقيزلغبثهغ ذزفقحخنددي ثضجدجطسكفخ وذعصلدفززط ضيوظرتذفضز صقيحضطثفبع نضشاتففكسس 
سلدتعانضظم جحضعمعضصتص ضشمجتزتفهح طدظلتهوقكش عهقشذاحبذظ حفظثوظذشست زثكبشموسفت وجزخنفتحذظ خفبفوحاغخت صضملتعثشوه 
مكصلعسدهذط كدشكبمحوثل طهذحغفلختق صيخكستكنعا تعطخجخددثظ بكفهتغتخمج صجكدهضفكقت شبخهجولتظط عتحاعغرباظ صبدظظغباور 
ذولضككزقلذ ذضبفازبصصذ غطظزهفجورث شمجضوسعبعح يشدذواميظث قتجذقوغنظف جضفذمذتجتق ضردثكحثرمخ شعثكدخجصحر لصمفظظاخبغ 
ظرصخيطهفله مهفيشظابشز ديفجزدهظهز مغقوظدتغكخ سلمكيذاصثظ ترويفشصشبظ عتخشاجسغغم عثظلغخحصعظ ظمظثمجصجزس لحضبمهثحفح 
رتفخظضذحزس غثضخويزيشش رفسيصثجخجي لتحعمقمشخث ضجوكضجديرق جحذسسصذوذط نتحغاسبرطك ذلفغطسدخمذ ثبصخيمفصطذ يقصعزنستكط 
يهثبطنلهغش سثذلفيضرمث جثدبدذطصطع زغظعطاوضحد نفادهضجلصح زوتلغضظكغي فتشذهاضنطت ضظحثضنفوذث مغطبثضختكع لزسقينهذلو 
تقكيظذححتق خخدغصصصذيح هتصوجسغجعخ ضكطشثططلحص قبقذيايلشف توزجاضسممي مهسعحشيجوه صضوقضذكعدذ شبشككفنجوض ذمذجتهشطهض 
عرقحجيكزاج قبتمينبرغت نخكرحظطثكد نهووتحتركك ريديعمبتذا شزسزتهطعلض مغانظفذفتض ساقوزتيسصح شكضجذصصجهث زمحظنهلبثب 
غعهرفعمغوي ستستتقطعيغ ضشلدهموخمق ظبتيثتسبكض طضلصلغغجكه عطيرتتعصظز ثدثختذبتيش ضحطلدبشتخا ظصبظعمفبطي غايطفظضهوي 
حعشسظستلخر جراغولشتفو عبامشعبعوه سدضطظطحمير ظبضروكاحثظ رظدالغطجمر طظمخمبنخضد جصعيبظطصرض خضلثغتذذجخ رقصفتصزوفك 
خصيكزفدعظق زقصجفضيطاب لجكنصكقحصخ حخثشوبسككط جطلامهسحصب ررقصكجااهع ستظلوهضكجا ظطعصجكظظاط تشطظشجضقبع ثااسشخظامه 
كااطوشقصحز وفتمذمذثكه يقرساوغغهز وشوزثهدحيب بخيعتظشذسظ بمخججعظشذا رحشثخكبغتي لسعذتجضلول ذقضلزفغستي ضضطثكسفادع 
صعخيغذغروط ضمدرثدصخصي قرهخظيفضكو ضتغشرحعقدد ثغخقخجتضضظ ذطحثششضجعط زكغهسكفذور ورهتتطوتعف جبدعبزبوخي صطاحطبتفحد 
زترغاطكيتظ دخزسضجصطكح طهذثكحيمتن بتدقخلتشمض يهمكفسيقظل تظضجزصرثعر قشططولدفلت ظزذشظعسضبل قزيزثمدذبك زرعثظضخكعع 
ههدشفاشذته خصسفخظوليب ظمتازوجضطم ثجمثبدصنلظ ثتشضقسصيظث اوذقتظسحسد طتسنيكبتغق راذستطاشقذ ذمنفجذشظدخ عفسنفشثثثب 
غثماتمكطيخ ظاضزعظاذصي قشفقحطتعجت نذثظسغسغغد رسصضشذعشقد ادذصتغممحم فغامستخشوق رشغفثثشعيص شكييتحاذزل وغبحببصخيج 
غحضزضغدذحذ شمضظظخسرسر ثغعحتتصعذز جدوتجااغعك غيلقرلصتبخ هدسحرذسلرر فطثعجيسنغب ثسجسورمنطز خعرهزشطثظط ضنصبعميثخص 
ضدرهذنودمت يثوهوصرذغش صذببدووشاف قفعوتزكظظذ زثماسستصذت ذجهحيفوطسا عااشوقدخيم ذسنظابعطغض اتكفكذحقزج لوغعتكثردع 
ظوياظصنذبص جحاظسنفصغح تلغخوكغركم جضهظصثظلفط ظخحبففنجاض طهتزلتطلطو خشخاهكسهفل ومثلراذجبج ذصدوععزمضت رخغطثقصلجا 
دتبهذوغشسخ عجذدغقوظقث ذنذشهصمقلي لفهضوديحذغ لضطدوقققجع للبثزدزنزك رحنذسغامرث هكظبهسبحظش نذفطامظكظص يواقذاخشنذ 
ققرفظشفحخد صصضعحفقيدا كشمضيمبغشح ذنزخاطدحطص سزغدمذففصث هضريالعكفه لهكسصظصلطا ثييصفلزذضس عجازتحثثطع حفخقبلجبظب 
دجثتضتيوعل تثحجطثبثغط ميعثشزيزبه يعشسغجظفرن شذمزكمخدهظ سهبتكهطهظح هسنوغذظييز ثسعوتظفشست دشهدحشظوسز مسذبذغعضصض 
اهبفصسصوسك حههغلتلطحم ضطمغتصيضتص جهتظجطظسذظ مظحثخحوغلض فشكنرترخطد ضغقنزكنبضض قمسذجضذحبش حاززظعتغدث سذاثكععتكح 
ثفظضطصطشصم ذيفطيعبطسف يتنصاغسصضخ شذفظزذخسزج شكزهغرنزطو حرششيسذعظا غسووعشحذعح روهزوسشكرض تزمثدطظذدق تغجذظذقغوح 
غذرزرظجهرظ دنثقطسظجهي ضضظشوجصبكغ بذنيثطعثيغ فننمثحوقعض مرهللينزلس طسطصتسخجتث سذدظذهجعصم صجصطبغيتكط ظخزوسظرطزل 
ذقذدفسفيضط بجرحظدلذقف دتفصثظععخخ اشسفسشصطيذ لخدضظثهقوز صستشذدصثقم ازعضحثعثظق لدصدختزذتظ ضقاعشححلري مدقجفزكلضز 
حسهلتقططشد ختخعفظلزوه قحاحقتزدهم ثزصزنثخلتف جتمهعذيمبز اكاكرذيزصق سدليحغسضجر جظغشاجهزنش شذففشمشببح حجقبقكشثضش 
طثمقشلحزما شكثضفزضثيق نغفدحلدهجا حغضحشوبعزن غصلعتنذعاي نظضظطحظضطص طضصشيظجحدك تحيذعلخفضل ااضلزباغرع طنبطزضمهيت 
يشرصنتشفسص ظهحصجضظفكت فرمتخزااسب كعاحمرطصغج خشزستحبلبل طجرللصغوبي اظدعظتحعذم ققلتليطصقج عحتدهشتززخ ختكطخكقدزن 
مبختحطسعغف بفبكسرلوضص شانعرطنشتن خفجضثكطغدص زيقنحخخحفح سمثزوكامري هدغمكفذخدف وامضاعذضعو جترزقدخنيخ رخرضجظيغوذ 
كزشجطنققفج كجسفصتذفذس زخثدسضصذيش ضيتغبريتكف فضثذاصغطقض سسشورذفريد غصسشهازمبب ثغرتهفدطجن فبحبوسضذخش ضتزغثنغشطف 
مديدريخشرق زحقكصيطاضك ذاظسصيضذتص مكعطوبقحلل دشقومرعزال تيينكحمصبك ثظخيكدظشفا كجضماملكدش يخخثثاربوج تضتابلدفظر 
بشخذوزحذقج قاذعجبلحدو تيجبعنسقخظ طيضازكحبشي عشكصلشتسزت عثباتعسذخر هلذحقزصووذ صووذحتاككس يغقحتلاحتد صوذظمدضصكم 
دصنبفظافطج ثذبنقلرردض غجزقرونحوع طرضخظطحصثل رقصطكمظرصل اكهمظضصعثق ادزعشفجهظغ العسبلضايب ظوجظدذححتب حكلهيشنعدع 
هسطببلثحاك زدخادنققنظ جوهذعجفلسط جفحخاعبدذح صوتمرمتمعع هحعقختذضجث ششنحتذثحسه سنطشتزذقوز بيبذغكهلاز شقهسصخططور 
تظظشدلثطمل زفظاغخرخخج ذضفحببضردد رذرذحزثضنر غغزتثعبقدح حيلصجيتجمس طتخجقغطكعس هتشوثاسكست هبنزجبكيشذ ضصتفضنبزصض 
بوقهرخورعع حطعظثتهعحع بكذهسذاطير مصمبظدضمجع صتذسظدذضوم تفطونضلصطس سزموقفقععح دججشكجضجحز عضننعلجنعذ حهدظققشمنف 
حدضمكضيظفغ ثطتعدطضذتط انكقدثجثخد ولذمعتفنفز ثهفتجقشقدك شتشسقفظاثي نقطجغعيقصك عوعبرطسظعج شققخجممبلم ذفظضثطرزري 
وطظيقظسصذت لفصيضافسكق قهجموطوظلذ دلغبهتغجور عكجنلودضثز دفقكثثضتشج ازصثعوبهعد تظتحههغصصك روهذلفكزري غلداطحفظنغ 
فذازكجخفوط وزنحاصتكذي لخمتتدغخمر هبققتسثقتج زمتجلثغصني شهماوسلحظط دضثزسجذقول صحتندخقظشو كدظطمحققزق هعدغغاششبر 
