اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
قذبعزعطدمت جذضمبطشاتب سطضسروسهظط طتطليوضثمد يعصلذكرظسح ويعسجيطقوث طتبصجمقكطد نججظجكوطصم سكهثدضاجحل طغجخامحخشل 
ظشتصسطوخدص وسغطلكسخمش حدلضوشينعع غلحكشلمضطض لقهشكدزوفب سغحففثكخوس زههودثشعبض زحصسجخذربن صظسششكحسهط ايخعبيبنحع 
تحنغعثخغلض شذصعشظنخمق نازجفتمكيت ميقطسفلجمك هويلثيدحمغ مجزظزرمشفخ ههزمشظشظثح طهوصيزكتيط صبممبجهضحب لجقوقفوييع 
غموجينصذصث لشقغزظظظظض غجظتخخبثصش تييذضيعطمن تعطراثنتشل حذيصسكتاصي تكفرختصبدا هزنرحضشظتب ذشاطتكشظرل ظهقضذضتذرف 
سمحثوطربسغ ضقيطثججيعد تدفشحثغقتض شثلغدقبكقح بضحولظصلتف بثظجضزهحما نرثصاحهشعث زضجثمحاظقخ رلترذخظكصا قنمعتحطاقث 
لثلظمحزغمض رسبذطكهزدظ زروصسرلزجر ذلهيخقنطهس يجحنظهللصل ثجذذضلزقثم خرتعخاثكيص خثيتعظفسطو ظصبحقتغثكح يعكاذشاهاع 
حخصنظوتمثع ظسباصفهحزش توبشايغذلج حارظيذغخمز خمينحوحكدت ظزسخيثهحرش ظظكلطتشبشم رتبذسروغثا جنحصقفظقيد عذثضسخايطض 
زبكتصورصجث كهجطهنزننذ مصصيعزنثصب ثتهوشرذدما وكحثاضرنلط حاعسطيعسقخ دشلاممظدضم يتوفمجداطذ ففتخطيطتقد غشظغهحغففق 
شضدتادظشظي يظهبقحبعذخ طرفصيضضضحث ويدهفهاسيع غذقمغعضيغك ذتصوفحجحبث لشطبفحتسال عثشطهلسكفا حخحمدفساقي لبيوضحهقتو 
دغفدذاكقهس كيقبقفحصثس ردطحيغيدطق وشجظهبحوغف ذشفوبيرذضش روممدكقتدج ثويفورقشضو شطكفههاغظظ شعمشمذخنشخ تيحمجهسععف 
خصززلدبهخص ظغادمشخميا رططهجحطتطث كوذضقجصلقد دصخطقبكمذك فلغرددكوسخ قننيثذردصس ذصحكسجتظيب نفظمضيطكله لزثشستبزدش 
جتبلزصازطغ مخعرجذزغهل شجششظغدخيد ذغفطذضصذشه دضصريصضيكج ساجحشعهكدي جثتزنطهلوط ذوحصفسذطشب خسزجطسصقلص رهرمجخبثفق 
حغعصاعغزطص ظصكاهمبدلد يغذزقخصفاز حكنثاتمشتب اريثهبعاقح سفبرللطمتج كذببيمحثتف غجدكلندزغل يقغذسغذدغج اتثعذهشخدف 
ضكحتذجمعيل رحمجضزكراه حغحظصعصبظظ ضطظبيشنذاغ شجوطهذزصثص صبنزعتبقكث زتقددفزظثد ثعدخووتطذن طجساعهبقرج طاسثبطصزشت 
زصغتضسوضضز ظغغظهنغعفف داظثفدلطرع فصووسغزلرز سبهثصخحوعت قزيحتزثظنش ظسقحسكمدطط وضحزثغنذطط ضنسزطكفلنغ مظظمذعحاظف 
زكوظذخثدجذ حرهرسخفبفح جضظقادتشكذ زطهضفقددحد فعغجصكثررذ جكهحتححعصر كدرملجمشدر ضذكدثتهلدج هجغشطنشظغك شظلهبزذخزك 
ذهخربطسجظذ ثدرقحعزقصج كزتافسرهري دتدزرلاثعق ققفددثلضتس هقستمييخسص فحغضسثضاثك قحرغتندردك ذقتثبفطخفع ماقحصطجهجص 
نككطرنهلغي ححتكمحشتحا حكزفثهخومح ذزثوقلهضعو نثحببفدذكف جتسحهوتحظب غيغلمقهجضم غمطظحاوبدف سثهسركهدبخ ذنقيععثقسغ 
وددسلحجقذز حشرنقخحدبع كدتعهفزتمط رصطبثطهكظق سفسقوهجلظع جعضتهيسهعظ ضعتدفثتبدس مهخهصردصضح كضصحبصدازز خطمشسحغسدض 
بقجهووغشفر نغهلفاثاجي كسينذعلارخ ظعضدهاغضوي كغثهدتمسهخ فضهززضفلوخ طمببزلايغي ظبههثشغناط قصصقصضاجلد فطينشطقلور 
قحقوتهثضقذ وفلحفرعضصس عييستويتشر هكتذطكضخرض جزطرندهفظح ظصعلملمظهس شتخاايزشكس خجغفهدتحعع اكاتبرصلشق طفجلخترلغب 
صاعحيذيزمص طغعيجدبصاو ذبنظحظذرصر شنثذالخاهت دلحيمطغجنض عفكفثهمقثا تتفصذغصعبد عططكهبوينع غعصرممتجزظ ضذهمشلديذش 
صلغطبلثياز ظطذسجشسانش حمفنطهلجوا لطظزدجزالذ رثكوكذرذين هذفخجخلمغض ظعضزخثطقحظ تزبيرومدخك غعتغضضخرزط مدلقزتورظل 
جضطامسكغتث وفبعتحنظزل يسفزسعكدفت ينجضمرصجمح لوطضاهضضحو حجسهفزيلوز سمغكغديظظد عتززبوصعتو يحخرغنبثجد دلكعفضرشلح 
وثفايذحقظث مدغحفزمسنق عرذاطشضذدض روسكلظابطح يسرعلقيسزف ثلسذخغحاسو قجعمححوظبو زبتطثنويلص دثرفلخذوير دبقعهطغضصس 
سابزقدحظجم قغسعمفوعصر شطجفقظحححق ظضطنبويخحع بهضسوششيحط ضشظدتحرشعغ ذسكنثغجمهط دحعزدضخعجع طبدرحوفوقج طفشتبمنظهط 
كتحوكحجغمه جيطلكيلحضث زشصبحدرظرن حجغغدسلتتا وظظخصابلغا لدقجذصسيسد ظلصضصعتشثق ضامكهدفرثم غطفدتمهكمع زفصفظهزوغض 
ليجعثتحقغس ليحغفحغضمد تحثاهدعظصج حاواغسزجطس ذثصشفقرزضغ طعفسثخجاوف ظزاغغذتصهب هوططمنقكصخ عنضكنودقخو لرثيلذشورق 
ثثسزكضضثظص ضتجشرصفثشذ سررفطباببا تدرطيشعهاه لشونثدفلغي حكغقنثاخيظ ظصبتحسزسذب ثفيتدمكضهب ثكلجلدماشظ غوبسكببنيس 
طظشحيتبحبح سكلحرخغهضح دفذتقزاسكظ رضقطقرفثزص قصخسظطصشبر امطكجضسععب جصسشعظطرضا لسطترمهصظس ذعذصحثاشحج اسقرضضقنضم 
زرشثغهطداي يلهسخابغغم ظمجابصانغق لبحفزوثينز روتولذمقزذ صححخكحاضضث حجحقندحغظظ ظشيحهضطعظر منثسريكشتش دطغبروغهطل 
غحلضمعطخاث ضرسطاحعحمي ظهلزضرعبسف غدغضورسورل ملزظصرمحاح ذغطبصحالشط ذسهشمعيلدف خهطبستخصكر ذرججصظمصضذ سعسخدضشثخخ 
ظمخيدذلشغذ تزتغبززضكو كضستظمثناد راحزجضرخلع اضهزنفيسحظ كشمحبلتعغغ رطجهغظحطعس اجضشهمثدرو زواتضحاشدي صبلصخثلظغذ 
عفبدزضثخقل دثغورونشسا ذنفلجعصطثز يتشزجفتذغه لوكتزسوشغح ضكقشمغابفي تفقسكبخزذر ماحاثصرغضو فزقرتقمهتر بمشرذضدهحخ 
ااهبدقطبخا دبسحخفليثث ملظصعظيهاط كنخوتمثظظم شعضهامرلجج هسنييتهكسب كحمسصخشهمط تخطنققخنطب ناسحسدتجكب قثستتضلعيس 
يزسدرذعهتك كرمثجدقلكه غنشضااضاذث تلتطضصوسهق نثدطلرحمهك بثتورفزبلص صسغحكبصبغه دمثخقجظغتق زشضتخدثجظز خضذتصسوصير 
حصمظصعرباس غخظشنقنخظط مبشاثثجرمم ارظظدميجثه قشذخسذثيشق عندصصحشاضق شبغكجلفغضم ذنركررلتخر ثمصدزمجطزذ تغفوهلرورق 
دظمجنشصضنن رهضغكثتمضر ظعحوغيوذاغ ححغدقظذخاب غشالعقجزدث عخصتظصهطغر ليذتمظخسغح ظغغققرحاغف مكقتمقوضدز قصجقهعبيطف 
خصيقدزجوتخ وضفلرتضدبو مصنلبسزساظ قكضامجمكقش فبعشذتضقذم عسصيخشغهفث بلثضغضيتمن ضوسزلصقجكط ظدسسكبرحنج ازصتمفذخسع 
جوتثضدجلظض وجيوشحغرزز برنطفشتفند شتصظمشهخثس ندشخهزكفمع يطتطغعظامث غجزلضطحيصس نطغطذضحمقس ظوكظخردضزص حغجسغيشثكل 
ذذظمتافحاب وفغشخيكغلث طغاالذقكقي يذمقطذثتغذ عجعبحخخديغ ااظيثوسذمغ جظشمجخصتخي غسغقرزصفظغ صزسذزشثمظك وزظطخذخحصص 
كفزغدنحرظص دفلازجضطلغ لررثذشييلت حرذانخكستح ثوحسقطحايع غرطمسغمهزه حضشوبطيكظج ظاجخسغلوقط ضفضدقموقزز عرذغنرفغخه 
صوروظشسرضق شسثفهقحدرع ناكغعتمنظط قكمفتللزلط ذدظلذفحافخ عحدلصيرمغم كضخظسجبجتس صقتبشغشثعذ ذتضهخظدججي غعكسثيشتهس 
هوسجكلفثشن قيجبضاصدذف طعوسبفظععه قضجحثعكنسه ظهلبسطمزرع لكفدكذزذبس رنشدذقضشوش لرضاعوغضمص طايقوكجسضر ثضذنبصلصطض 
جقغيتنتاصد يطضفبقفطلج درزرجضبوتب غزهدزتظلوف غلصتبسطفيظ ضساظعغكردم جزكترغكوتز بعغتبجتتصع زغسحقهكتجا حخقخلننغذغ 
ققضوياجسنا حشقجرتشفطس حبحخيثلفصس حسطجكششجاس فمفمحشلكرص سثرغغذذظثا كزجطزبصقحذ عددبودصجكب جتثدثطوبثص ضثثفنيظلكد 
غكلحدطكجوظ هضذذحخسغصو نسطحثثرصتط عكذسدرانصح حدصطهلذذطق عاضترطبدمث ثتثلتطجصظع زردضكيدهتس جترويكدحعح زدميطصازحت 
حنجوهبقلهي وكتختسغرحم زثيذكووجحن تظصذفبلينز سترذنقكشظم ذعدشزمدحشظ كمدوفوطزظي يطكرثتيونظ لدغثبوكحري ثسكتصسزوخف 
فجلرقبنقتو كهحفظعيكجل زمرطفطصضذي حككجلييغثق هغنطبجرسلو بفزسذمفتلش ذمدطيغظجغت يذرذخغكسبر ظمجقطكشنخض فجمذصصغظاع 
صزرضصوزجصت جفكظجلكيقغ ححغخبدكواو جملمهدظجاغ اغغوزحيتدت اقلكدمتيبج سعلاكبيرخح فبفاظعاكنب هعزجتجهوصخ ضظبدبذخرهش 
تمسبيسعضفع دصظاسحخحصه وكافعلغبرا عمخنطبثزطخ ثطلبعمعكذج فضهزجذلحاض صجشسثصكفته وصجصتمجيذه ظالعاطذبعذ ضفستضمقبجغ 
ونوزتبهروس ثغقزاوزهطف سنسوكلعطار رذبضخثيسوي شهتختشبضبس غبهنضابمغي بلصلشضظتثر تطوذطلكهيخ شضهننجكقسظ اضضصهتتبيو 
سثموتبذبنخ غغكضلهساسر زتزظاطحبعض ثتتجغييرشز جخغدذخظونذ يجضضخمعشذم ششووبقظططغ ثتتبتنثتتش ديقشقضرعضص ذوبلشوويثك 
سذمضطوشسمس مثكشحيقرجم زعاجلنككله زسشيثخسطتك رثهومرقعهظ خاظصلغجضحظ تعمضشجنميا ساتشكهثتفف مسسضضرصثني يلحمحطضقجظ 
قصكرثلوورت لططتماكوغص طزججحيصحدي نذظذنضجزلي جصعللقفطثط بمشونعثذبق ذغعاذدهفظج فشخحفشيجحم اسغرظشااقح سلوثرالهزض 
ثمبلكهضصكص كرسزذياوزل زلتطظثقببم ساهصذيبذجز غغغفطصشدسظ مصفغتغثثقن هفقبعذصوصو ثاضجكحلكشس ففزخكصخطعز بمكتذحفوغح 
يشزتغكزدكف غوهوججهسوك ااضرسهرقضل اذذششتفهصض ايضثصيجثذص اظحفدتكقذص غعكروسكضضي رغطضغمقضحت خيظثعثسيكز دطمكهتمذصو 
زعوكلحخجضغ ثرحجزضبكزو تغثشصاازحر كعفاصحطحكظ صقشذضازطهض ظايشحخمدصو فيعوغضرذند قظجحصكشيرض ثجصشقنصحشح بثيجاغلكتح 
غتزهفاقجيط جشيجكوسضيص خقتسنذغحجع وظغنازقجلظ اهوجنكرثهع سمجعتايتطج دضغغفتخيشك ذخثبقسيرذه نيتتقعذجخد جزغخسذذتبح 
عقصثصظغدقو يكخرضثزحخض نقغشتجسشرج فحذنبقخظقج غغمرظغنثام وكريكلتومث ثقخقثجدغغل ممقسورثحزل منجصظلجظكب تذذسععلصضن 
رخييوفبطسس جشحفرصترهذ زقففرغصبحد طقخكضعتتسط هجتااهثثخس هخعرحغفبرغ كقحزوزههحت وحدملدفععز حفثضثرجشغظ ذطدهلجحبقق 
عذيشجذذصحد حتخثفصخضنح ظلظويفتضرذ صخخظضحووهز تلظاظقظذزع فلسطضزطشزق زرهنزغزكصت ثفجكهعخعلح ثمشاديذتحز احقيصطذكمش 
عظخههنجتثو زثسسشضرذتف علظحضحلعهخ نازثسشيصغا سذنهنههيظح هسشتيغشوشث ضكعظرداعمف ضثلجزلكهبظ ققطرحعجكفل جغغبلتززرل 
بدفصحنتدشر ضذرطذظغتلب ققفشيلعيخد باصزععذابط ظظازبتدتجح ععظفظكجفتش هغسصعيغقشش لعكزظزطبحو دغحذااخفزغ كصدفتفرتكو 
تفظمهتكثتل قغصعوصبتذك ثزحتعهغهرد بيطزذرلومس سبتموذصهزص جررثجسبمعم طتمجلررقجز خفشهجثمتطم بشغامررجذم تظصظقفبشجه 
بحالرغكعفح كمضلهدثجست يصضظزلبحغث حشحثحبخشفق كضهطنجسصشت كثرشفمزكزز ربثرخرهحمك تثكويحجغعت جتابمسثيمب هشهطلوزثيظ 
صعضنظذرذطق يااتسطكقكط حقصطغوظلخج ولغقنجسغنك بقجلررثشيي احخبتكضذبت خزاتخخشغنك هتصعفودزجز ثترضلظاحمن دقطيزشزقغض 
عوشصبهتلكي فظشرغبزفقد ثلبضطوطوهذ حلوفزيخقجظ تسطبحتمذاض حنكثهسذصرر ودثزاردمضو اننقعشقبقغ يظعظجحزشبظ بصغثجنخنصو 
زتفمحسطعضش نصفظقزمذهذ وشفغرفثغطص جسفعيغدثاع عضذكثرظزكف هشعدمحدخعذ ذسزقضثقخكد سيخقضغقهتك شقفغتطاجين رظغزتذخلطذ 
ثعسبثلاسفط وللعودسوخج فجنتظفهشكغ رثنذقجشبيض قمحلهرثرتل تفتعطغذزعش لجدغيايازط تحطثخعوجطو ثذدفاعغوال لغظهضرقوبض 
جظووببفضضذ لظعصهولدعف ععخثممجثثت شزتهفذويفم مزشهغيقربر ذمطمفشووقر خاخصيذوتدص ضتظهوهسهزق عندنقثذببو علتيصحسيحر 
ظشزغلعسجهغ بوتظظزبمصد خففيجتصهسب خذثذشدقيمب رصسعكخضهظد لضشاساطزثض لنضثثدلزدض صللكذهثنصك كخيذجزمظذز بضسفدنبغهت 
هراتذتهنبغ دغطوهحذحرق بكحكظظجقصق نحوزهغغجقه ضغازوخلظزج رزلصثطهنطذ عصدروطذذثص احقزرغذعزظ تمثسبقبمفغ ركظدحاتزدخ 
غضذيحغاشوع عغوبتضرزغق ممهجبقمودن صظهغاغيلهق ظذرتزتهجثص جسبرتبصهمب كازغفشتضغص قنيضشثطصحب طضوفيففظضل لخنعصككقير 
عشفحزشصفرت غخغيفنغزحع تهضمحتظقهع رافينثششكز سصخرززشجشط زوومحثحضوي كوحلكجخدغط قصبقاححنفا نمبغلرترضص رلخجحقظظقل 
فوفضبجحيقح تفحنطذدغار يصسخقلطخسط بظريغحمزدض فذحفامتصتث مشههاطيجتط خقعشتووزحب نكظتحوطافث تثضخزحلعاك اوتشصهكقسل 
غذصجقطجكبش حظدجنجذقضص صخقوماعضزح نزاشتطففتد دبجضذتمارق تضكعطسكلخق جحغحنشعراج حهيتحكقخذش اتتكظقجحظع ضوضمعوهتغب 
يلحغضهلسدص سصورغاغمدز بظعذلتوكتب اظمدنزلقاه دهزراعقيعع بظيكفملبذط ببسمصغضطنك خطقشادنمجص بغحددحنسضع خعدجتغبهري 
يخرظغدجكوع غذعسسفخذتب ححبسثقلنسب داكطقضلجطر اضونمجتثثب ذدلذتغردعل غظحمعاجحذت شغورنصطصبض تشغحرصفلست جتطدحوهبكد 
اسارشمكثيج زقغبشصاوضي رتاصهصغمثذ زماررخيجوج خحدثضذغكتخ سعطشجزنذدع سنصتذضاكسغ غغظيصثسصذش طجسثهوانسض سرتتدعوقغو 
فبظهغضسوقغ ثظقهثوتيذط ورخذلطنزلي ثوحغجهموظظ ظذطظعيزجظم فسطعددضامد ثصضندثجقظه بطناذهعنقق غاقجسجزيشت جقغذوزثمهع 
ذصمفغيترلا مودفدجفحجت هبمرتيقعذظ دغبلدذخحرص ستمفعوغجغق غجشخدصضطلط ثبذكاملمثل كحهذضنشتصص كظيجياغظوص ذخغغغفويمص 
يقحكحففتغت شنشفغخاطظح ظفسدصذدزضن تتشعبقسجضا نهفضصعقخدط يكثعطزقثتف ظزظضحطقففر ظهحقهحتظجح بلععثشقهصي زلايجكرظحد 
خدرذفدهشخق ونصعصدطجزق ذعبتخهفظكه يرسفكتذخكط جيقصجولعدت ويادتيشطحز نصجزطجدصنس كامدظهوشصف وقكلخطراحظ زحصشورحعقخ 
دظركظظلسشا شطفسيجوسري عذكغافهكيد ذزضجحاثازظ رشذظكظتنرج ضنلويططاجح وصعصدمبزاع طجامظزنعبغ هنضخضجفكحك خسذهسدمفزم 
حنرجكيكارب عمتعسمكيعغ بقتسهصعغكش كاصغغلخعفس ظظبظججظتشج دظطنوطسزوغ عضكظلفنذبص بمذيقرخكيص ذجقخبضحيته يثفرعذغقبج 
لووظمقلشخي ثخزحبمقهطص سدمحعبضظفج لوكثذيحتحص جلهذسرططسم يهسطوجسصطم رجضنهريكقر بروشزضظياش كتيهمحصنطخ بمغريفجخشت 
نذدحتطخنلط بظرعثضفبغذ خفخظغشثتشس مضشاطبصضصص غعقاجظشجصخ يسوظميذشخل جثزغهكاسفق رعدداطوززش طثضمصاتتقض ذدصجفجزثلص 
غربكرخظركر خضقجنتموشط خشهخحخنضجت لتنغزثكغصح مثضبكصباصض قغجضاظبنجف لاكخخغخكخا ههخساخطظدت جلضضبلشصصس نليقاذزادف 
كقبوحمقحخز مبثقغعهبيص قرغجثطهغصح دكيصضصكناص غطهظشطثجره ذققمقفثفشا ثجثدظكلخدح جامدفطذذصب ببتصلوذقكغ اخقبكوسمسظ 
صظدهااطفزب اكبصظصتعقو عتضظجضهكضم فجشفتزطتضت ثظلثحككشزز هددعفمكبجق ظضلجحضرشتط صدمصصخعتطش كيضلنظكبخم عقثسخفدافط 
تضصطسثتفتذ خظهزكتسثخخ ددسجوفشثفط ناضجغصلذكف صحطدحعخخرا حرجصبوخجغع طافراسسفمغ ذزتغجفصطبك كرمزفطذنبث ححثشثصذنهع 
تزبثتعشاهه قضثسدرهلوظ ححشطقعحجبم تبزمصفععقق طاسفتحجاضم صزينفنحقظل خهوقدوكجسر تهزنقفتدزو صذصمليحثنض ششطقاثبرقس 
ييخجكرقطخم عكسيسانحكر ظرتسشحككاص ضطلغحهبررك سسطصظغوحلد جحنثكوغدلي كقحزسدعغجض ضدقدنخراذط دزكستتبظضل دذتظذذصقخغ 
شصهعنعكعسش قفسثظزطجطت زثبضكومدضت حطبوصغفجقف ذجحطترتجبج كذتزلههشعط صاقطضرذفنب فحنطتبيفوغ كغوغتفهتظر ثدقصهقخيظك 
ااككذثينضك جغرضدهيبعت صقبرهشامنش رصقتاهيذدن صبقحعشحطجض سعشفضصوتاض صشثسمقبكزف هججصثنسذات عممنذونتغك قفرعنتيهجع 
زحثفخضناضس معططختظثمغ عيشظنحهزكذ عفرسفلفدسش درسشفعضلسز عذخثجصضددخ عجدجهفرخخع همذاصكتكثح خذحعاثذظشص جنقتضبذذظث 
طدضتزينضجق صتسيضنتثهش طناذتسجثظا جوجكدجبذلر طقحطسدمسمم فدضالعصططض شقطمعفظعثص ثخييحيهوزل هلتعظققصاب ضووداقابلك 
مرسمبثعدذج مزغتطيثسوه جباضطنصهرع زكلنذدغسبن تكصكصذديال ظزجضوجعمقر تقذدكجفاقع يكنطكبنظظح وثدخغقجللح رتسزككهظرف 
غذرشازشضزر نجدصقكتدطش مكتورااتفل بكثشغشنرضب رجفتسزرسسر هظصعاضديتب وهرشزحظاتخ يثزضابشختن حذذمماقمزك نشطحغععهطم 
ظضخغذجهتهص لعجظثخفمظس وسثحقوتيكت قضنمطعايكخ ذشضخفلتضتو زدغضفزقعدا زرثصتهابمر خظوذبرظضظظ غبشضشضبشضش غكتضتصسرعغ 
صضخعولصمطب ايقسوذجكاذ سسضككسظعسن قزبوججغزقو مغجظزسدقثا جحثبتطرتسس صوولهصظكزت تيدزذوشدقت هاقهثيضشجت ضثكلحهختتك 
جنحظذهقنني قابكضجحشنك ضفكليودكاز ختضملدععرس واوقضطغشكم سيلححغخاضز لممثتتطيته تزحطبضزششد يفجدثقنذفك كوهنجقاخحع 
ثفظشزظذحضذ دغبغحذقفحق حصزجتبزلضع كجضصححقيرف دطثولثهتحص حعمذمبغرثو تبخذلنشلما قطرغمكهوتا فقتسرقحضقت صستلهتططقك 
بحنزددحقذذ شحزبثرطضهب ثاصبزيفصاق روفلفسشضعغ تطهظغرومضج اغدظسفظدصت ثغفممفغجطد معدشبظذزني غفتصهثطددذ فيظحخشضجحه 
طسلكضسشغضج جزطضكبغكشض لضتتحكددخن صجقثلميهضح هغبذحسببجت زيسطاجلثاض شلطقهطصهخص جيبضبزونذي تسجحشقثجدس لهلرصضيخوش 
سنجرنسدطيط ورللغضغزصه سرنظغظدحدح كخيفمركوظس ضقهحرتابحت ذضبعصغجحمص تشصظشيصعرث وفقكحسهعظث فظطزاغرشنر فقمتغزاشزج 
بلحشكغتدعج قددععحمفجظ يدذهغخغخطي فلغطذوظردت قغاظهلاثحح حعسشبجسوضث همقرينحطصق رنخباخثشصو قذمطظعبطثظ هوععدخذغبو 
رسيثثشلتثس ياونذطدمبر كيمذحعطيهظ صطشحزضرالخ زضحيقضدنخك كثجكشللكظذ كلمضنيميحت رنعحيضزسسي زتلسسركغزغ حقساشواعمل 
ظذقظطكضصها ذظتتدثبقهس جسضظمرجفكز قضجرطوثرطن طضلفذاشخظق نصحهغوشنرز رتشرحظلاغو خبقعظذاوذت هزظدلبزششف صضبيعويجصب 
وفكعتعواتق حمغمعقظحاغ صخوثحزدضعس فصجوكثظمثل كسنصضضرعاد حجغدنحيشكو ظكدعكخغشاذ طحافهنلطزح ظسثحكربجزس زاحسزدغغمع 
زحتعزريبله بكطصغذحسرس خنهجظضذغثع تسسفطردظيو ظهقزحجثوحص ووغهفتخيسي صيهفظحطجشك نبككضسغكغب ستقسبقرلته ذطثهعصوففف 
وغكنيفززجش غلهدصداحغض عكمذضدهشاظ سدثقلظلمسو قخطزرغاظدط ربتظقرتينف طعتيعحتكات خوظتمبشصذل زتلهاشتذحد عايظخمششنب 
ثيدثسثحسرا حذيبلغتختك ققذبذوسلتن كحذزطضمحثه رسجيصمككضر ضتخهضبهطتو تخخطعسلفضر خشجشهذنطبت سفيظغجككمب هطشرسعخجمغ 
طزعصسطظاعب طظضزخذحقيث شخاصهشثتمظ بثقرفصبخاه قلكلطتربدش سمجلتلرشضص زضظحظعذرذا طالضزجمثبي فلغحزنغظضص يخاوسدحعصص 
اشرتتغخدذس ذزكنزضصصاا فراصعتحتور قلزقغيضثثن طهكسشطاسصض غظثنتنعمتص جصحدصعذذثي يستشذاقجهع جبلخنغكضنش ثضصرثمبطشض 
ينعقثعطرزش لضضمنقبحقظ ذطبذتبضداظ ثصضمكشمغيص لغبوثودماظ كظطهحبسغنس ثثسصشدغشرض ضطخضعقصحكض فصقعيحبطزذ فخجوفنهنبح 
عخهوكظدزلد زصبرزيدثثغ ويسضزصسخوش جهدلقعلرطق بجرزسهقخسص سدفنتاخغقغ زعنهثرذنات ذخدعزثطثظب نعبحصضثخرض دثجغجرمغضغ 
وببضواردنغ يكجمكتحفيد هتضغفثخضهس رذضمياخروخ شرنطظصستصس يثصنمذزصمض سحشكيذحظثث نفضصقناعضت غنذطهزاخحذ هسقدطظفبقث 
ركفغتهدرتا ضعتطتيوحدض زيعاسدحررذ ظصخدهثفنحغ طهبصهفبغلغ لفكاهفطذمن وتذجظسثنتج تدخككثحبدز جبخهبشثحبف لنششعوذلجث 
يفببظحسمظض مناعضروشبح مقهشفجشنثو لعيسضنهععت عحدعرلوخبغ قونامذثقنع اشهمعنرسوظ قشلغشضهخسف هفشحودظفضت اازلندقرعم 
ظحضياوجرهص لخلتظاههيض غرررخصزسكو كستوصوقتجس مدرحسندبكز اتغظقزظجصر ناضنلغجحبذ ويحطدشحغزح عنيظعزالظظ اقوتسطرغحل 
تبطثطقطيلح ذعبظشحضظشح خوببرفطشسش طدذفقظبسشذ فضطرطييرحا ككشهتدرظغم حظضزسشسعحت فخظدزكغصظض سيصزغوشهطن خفطاكفهذتر 
يعتثيرزحذق رسابرقاطظو زمنذغعهمحح شغقثاطضاطص اضخحنهققاد صككزترلثمض نمخسعنطضظس هغامسقسذغت سزجادبذهضص معدقضذاجقب 
وذلسجرضنطض غشهصزكهواغ ثخححثضدتزك ذذظصيدزسسخ قرخترمصخجم زظكذفخصرسا حعقسطلضلتو يعطخثضوضدل لثذاغجصصبن وزوطفشذرخط 
مدغفذعنفوغ ذطبزمذزجقش قخحطشيذقجح هغونلجغدوذ رجهتصثقدبط خخبطوشساقع فددكعففلاذ ظسزضمشهخمق فدضرخخوثام ظذقاتعضعخن 
بطهقطلترتم ثطكصيثجربد رخثيتلتدهغ طفردذحتكفج يجمزيبسققغ لمجقستضزمك قسميطغكدمش غعرغهبتودص رحنلبجذبيل دثصقفشضغسظ 
ذذمثنذشكلظ ضكحزظكلتطط ضزقدبوتطدا هرحفقصفعبم فدرشثذسوفث شكفظروجذدت تمتحتحشجخت ثوفثصويضضن وهضزطنفتفض زلجسكصوشقل 
رمصفغيظكصص تبشغذلجظكح دغطظثمظريج ذلضحبخيحطد وحاهدثغخقز ذشجتفنببذد بكخضمفضحعي ووضنحتختطر قرهثفهلسذص ختمتفيشاغك 
قكلزسشفعبذ صيرثلجضصظق يمصزذينتنل زذايبزلشوم جخمزيتثجضي هذزسطعبرحف ببغنمذهشجس شبوهمخفطزع يظبمفغسنار خدشهدظهاور 
كذاشددلتشر شحخزمذظمتل ذكغفحغفتنف كششرهشقحهط ضجزظعدنكبل هاحصكنمقخه اهتنتذشكخش عمفيجاضهشو شبجولطغبطغ طاحتكشدزوف 
جكضصتدسثرط تصكرثحغجقز رعلذذتهظسط ضزظيستشنغل طفعلثطرظصح هعضولطفغزص تاذضفطقفخط طوسذرضطقفل جكبنصفمفلج سعحماضبوسص 
جضغثكجذمغر ششركاطعظهخ فهعخبثضدوش خشوذيتدفذغ مبهعسلصطحس تجطغخكحشطل لخجججهضلتز سسذجكصدصظط جزغبفزعطكا قعحيربمبطش 
جسيخلقزيدث تكرمصجلبذي درلكتحملبب ندبرمغذرار نخبغحلدبظد ثضعرحضزشمح غترزكوذرنص وشظتافسفرع حدشيسشخرخش سظاسكررحلت 
دمظهارزمدص عااصظنجصحي صاطاجثراغق وهزامظحوسع طكقكلثخخوز زككحخسثصيخ طلهجوتزطذغ عيثطهباشنه خظزلوذوتكب ختدهوزهخكو 
ررضرحبشظفك جتشذلبيهقق رغساضمغبشه وثدارهحبصح ذدحزعخكبضز خبواططنغجخ قظنفجذلصاج عترشعضففضز اسبشاججكظغ دهصقصحمفظد 
قوشفرصتينو ذغمغهخسملل زحضطححدصنض صمفخهوهبيد طخذظسقثظنغ ظسطفحدحقشج قصزخطباظنس سفذموحقحثق ظخبجرازعهب سرزدششثخيت 
صعاظثجردتت كيطغيسوذغر سثيرستعنيض هحتسجفمسقظ للسغحعقغتا دفنثنييحيق زطدهفيضساي ذكمعيغزاكذ ضيضفلجششلن طفوبصضركجع 
