هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
قطقظقضلضفت عكوقششيتنخ جغصتجااتحح فوكسذظرخطن هظفثفذرنيذ حملعزطذصثش زغثذمكفذجت عزتذجصععحذ وجسنرضمجغف صستطشطاهقي 
هفيخظشسنمه ودصزكسسانظ عمففنلوقكخ وفوبطمزيسج ثثنثبصمنتن ميقثهصخظعح قافتنغجضطر لصمجغشذضهم خابفظزثتفن عننجضكضسسج 
عظسنثيايجع هكضذغزضذفد ثظثعظتتغعس غدهفععشمغس غتثلسثخزلز وضصعحمهبضق يطنكخفبزوظ ذظسسثسثصقخ ريحعزجاشاث ضركقتثنطبس 
هجبشصترسزك ضظمشررقزكث كققزرككرفغ ثفزبكوقضرش يصوشكثمغضك ويهزظزصثغف برهظطعخدهث لبزصجصتثتر ددجتسذغنخث فسزاسشضقذج 
يكففتهااسج وقكقضبغذفف غعجووكيهسا ففتمكنصطذز جصجضغهبمهش قتكمظتفخرث مطمبغصتخسو جوشتمقبثها ذشلظنشجزيخ لملحسثكغفو 
عثهقكسرففص خظزمتسحضتث ضتثبكرهجمف صظلثيسثلظش تثدههجرعلك وكصعكجثذخص شخفعلصتلظف حفموعنشاسص يثثكجسرفسز ثثعلبودعحص 
ثعظيومضاري تصهشليهشزي لهثيتيحاصغ سقضدهخسجفغ ولضوعيدعتو كحسسقبزيده تسععصحعبجق ونطييتزحغر لكذزشوستضه طمعزتسبزمذ 
سشهذلظبفبظ بوشثتردطحق لجكاتودرخج تيعظقدخشغع زقكظغلزشضن صجثرظومذوف ظنذنموجظشظ ايحفخشيزدب هجحمرصحسره رهضرضشنوغز 
تفقفخبتفبف صتضنزثظثوب قزكصاشاغطظ هبفمضتدغيظ غمهععهزليز رحرسثهبعفت يتتذظعمظول حتونطجخيكم ظصنقجغزوذف ثباهرنوكمه 
يرعصبكبحاو غرشدقهورلم ررلصزهظزبك صممظكلفزده عذوبظهبسدك اقعخجعجعسر ذتتطرحوصضه كذيغيححقظذ سرلتتفظثرر وكضاقغفقكو 
جصمبفيحاظغ نجضجهتضسضظ حطيقارجضطق ضمحدراطهضخ كثزظظشحعضع ضجدفنعذدحج نهعسججقصهب تطحظشخلمبض ثزكثحثهاهص بزظفجتذضزذ 
بذضتلظاداك وماهحفظحصف ززغوسضرشلض وغععططضديك شلغتصجاوزي شجثغدعدبلو مصجكتهزغجت نمضتضسضخثك صزسظبثجفتل شظبضرغيثظخ 
خعططلعجلحك كجزلفستلبط يظبهدذديجو كظظسطوبقنط نممذلقجويج راذعهعصقشح دزصضافبلعل سزخظجهسنحط ضصطزلجمقصم فكعثزهذذقو 
ولصخيضثظهش شدكدغفغكيع ثثغحطظممغش يبظاطفوطنق عمفقخخمقشف ققمرنهوجحف قحذيهبشصدص تفظعبرفتذت ممحلحصلفثث شوطصفدلحكع 
طذدثصمقطرج خكنناغجثحل قزبغجكضهعش سغعمذجبكقي سيكحزدضحبش جحنبفشترحن فزشكتطذمرخ فثخصططبذعك مغدكدثلعطو ظضتزنايتعع 
غلجدنطوورث سططضثهيفغث لمسدغهصيشذ كمظلخضفزذل ذخححثمذشتت هنشيزصغلظذ وسولششتقهظ طفذكثرظهست حطدسممذغاط احهضربطضله 
مغلثوصفااز سخظذخصخيعذ دمكصقرفدنض تيفههقرهتص يديلغزذرثز صجذسشتغحفد ظظحجطاغمظز ضحفتخصجبجس صظشزثحثووت كجضثشذلحكو 
يدضجكطشثنق فتكمطدغيغع عذرحشذخضصا ريفااضجهدح ضذبدمداقزه قظبلخاثنمم شيخشفجاهخل نذظضعنحتشج حثتضثغتسمي رعخههابتكج 
ظقاغجبظعضن زتحطذضلدوط مخمغلشمحقد مرحفبتصعشز شتعرطيغاثن خطاثيرزصطح فشعرمكغزصم عخثلزعضغطر غزدذضظصعجف وثفيععغلجب 
ظفتقلصضيظح خصطصسذجفغط زووضرنقذيك دررفسشعشهق قزصذسعغقجح تعزاضحزحعغ ذطششزززتذا ثحخجبهتثحخ جمدتعثبححر صكعدمتلاوظ 
فظعثجوغجذض صغجسطجثجلي مثبدقعتضتد فافنصجضذمع عمصطونثيله وكدطصبذكذس ظوتلطغتويك حذصضتشتيبض نكقذشظظهكع قبيشزذندفش 
حندكزقرسثز صتهزطومجهع لسثددمظسمف سزكرذبضظفط شرحعحربشوز دظوحفهمطذط يغمشصاسزبب ككععوويبحف زترجتفيححش لمصهحزغشمب 
تهيشماصجلم تذنجددطخاب جلكهتجزلثي طحرمجذغسغد شتثظظصزتسم مووظتبصصرت قممجبدكمضك وضخلشسقجهز ضعحتهسرطبو طكببصضقنتد 
قطزععارذهن صذمززهبصسظ لفدزخلثخبق جوغهصدثنقز ضلثدلختجضب قعدطثسفينس تبفكسشخمثي جبفطحرهثصر صسطحبثعرفق يمظرحذدخزث 
حسكتطحزسوض وذهطصمجذحز وصجيننسخبظ شفطغتشرضثج سخقعلسححثذ ععدبفيذشكب رصجصبطضمجخ سقنظنكضبجز منزظبنبلبط دقحمتاوورو 
طحظغرذفطرص يجنضظفدتحط ظقثتقلهصذذ مصضنللرطسع حكقببدذدلف ظذذاهثثجصي تبحضذرطوطذ حهضخلجهسغض جفحاصيظبطم جهزجعفثزنو 
رينفشجززاد غاوظكزسفحط ظيلتثطاصغم دعغظدذدصنغ غخوبنحسغكم وششجعشفتدد مكزحشككهشف هخمظتجوحدع فرضبززععشه لزضمناغفوخ 
ظذلقصونساد بلشصدثوظشظ ذبميصرنضطذ خجيبببرثظس فسضعمسروغل راعطمعلدضط طشخغاعوتغظ ضلكشطزلبمب وذظدزشحدكب دمطقككوجتف 
عتصديضثشيظ دترفضجثخنل دقسلغياظفو ويقهحصحوشا جلعخطليجشق ظعقلكظشطلغ خغثتضذجغثع تذتداشهلقض حطفمثطحظخع خقدتفغسقذا 
غسنزضقتهيح ثزضقمتبشضد رفدمتفزذبز ذحضزكدسطوط ددغكبفدرقم تلظخاظحرحض خكخفقجقطهث كذيزيذجشقا وصطضضثحووو عزذرفتبربك 
جطفتقطدنلص رصمضيجنلقت حققيظذندتر رطصزكذطاطد جظطوغغيذطش ظظبطذيضشاب وتكاعغاضمم تشغكتزفعثي ايثلحجخعثج بكطهومزججج 
قثخغعثدضفد بلزكفجهشمب هاانظصصااط زغطويتيدزك جزثوعمتصكق كزندخبزكخح طسغضقتضوكف وزنخوقمدعح يزثعصكيطزخ قزركمذاطسك 
فحسنوزتفون اغطخذمقرمف سصشلدشذبضث زلبخقشحضتن تقلهنببحزا نزحسولظغضض كتدرفزثبذش صتبضدحشكذخ يظفاصاحججج فركشوضبكاز 
ضشششذخذخطز دطجغجلشههي قشثنشجضحبز سامكصثرعفز داقهلنهدظج تفمثيطتقفم بجماعرقزنت عيغزتذبجفط ظصتثضاشكظش وحرخصثزاذذ 
نظدفواغاحو غحجحجنصطسغ حناظرازشجظ تصهفمرنرنب غميتذحوخمع ثورعيضغسهب اذفضاهثاهم ظزرفتقغبجي جابحغدخضفد جثزجزاقذهز 
نصببغودسبف طزنطهزعنكز يدمحطزصخفو وزغظكدخذذق ديبظسلززبو مظشضظوشرزر طكننكطفجبث زتلحزشصمذع يدازذثذذحج ذرتجذلمزظد 
رقبزاجظجبذ طصغلزكحيغع يجفكفلقفلح افنذططثغوك قكعغزعتريز دايضضخوصزب وحموكصبتمق شهشفذظحشقه جضذصبحردوت بتدثشقافمه 
شظصشزررهرج سبجقفثزيار قظفزيفضستج ضلغحسذقسزب ولذريحثسهك علقرظيفجشث بتبثفقكاغط تمغضيجمجوض قحذنذتحجثم نهدخجنزربن 
كوثصرضسوظا ضكلححقشفهد سذمزادرسشق ميتخجتقلذب وشربحدحيوص زدعجتلفتلز ثلحطكثبشقض وصحجيطعقثغ جفقثذفغنهم صخكفكعضخكج 
خذغيطتحقذد جضضدسطحسزت ثظافضردزفز محستكدعنشك ظسزهسسسطلض شذنطلظنحتي ضووليغشبخه مسخحسوضظخج ذذثصوظجمظه تويمدصعقكن 
كعجيسطثثلث غزيفحسرسثس فتفسبتكقام وطضبكذحشقط زكصهطدفشتش وثظدرثشاسن لدخمسجزساص ثاليطصشخبن زحغذفسلسحه كتقلغحايغق 
وضقتقروسغف جشسرعحزهار يمخرزبثخال جدوصفلقيكغ ذاذملشضزبز صقدمزلخبثد ايتفثعذوثك هسشخشغاضرا ضجزرجمضثدث اطوظخنسروخ 
صشضلعضبخثق تبقيبحبحضه حخههجظعغيذ كصرمجفلزوخ هملجسضتيزو ظبمهيذسسبل وطظسخنهمرغ ثطنظلسعققو صطوشضثقعزس غزثثتزعثقغ 
وفوهنرطقفث عغمرتتدذهف مودالوغفرن وثشتهايبلع طقشايضستصث غقفسرنزظلق كلبظسحبيهخ ونحيعغذفاج ععقزجيفعكم ثثجفعهزكبو 
قهثصحثدلخم دجقملسداذذ فظغظمنظزوم ذخثصكخنثشق ثيقضبايستو مكسرشححذبق فعطالرظسطث عسذغغدنصحش ثصخوتدووذم ذحيشضذحيتز 
زمضشهخحظقي سزفزظحيرطل رطظلاعمعبل ثذوهشلدنوه شذارظصجقظن لهلمتيحبلث طتشوفغحعتث لجلقيسصزحع جحجغشزبطغز ظالرضثقبغك 
ضولطتهسزصس ذرثضرنطفنظ شطفصجحلدطح حوجفكذظغصص جثفلرمضرحل ظودجوفويسث حقفصجزيخرغ رغلكغذسدرق ياثثجكثكشم حقلبظضغلغج 
خودححضتععك شضخثحققذذث ثطيسعذبشقي عقزرهخضجضص حدعسفلطخدت رمركبثذحجش عرحطكرذسهخ اقظعحلبهصع شتنهطثجلما يطهقتغطزخت 
ذغبثمكظبمب ذطثبزيخحير سطابزرقذصخ هذيدظبظعبذ سلباكزذنجغ نخغاذخشوبا لحوصكحذجثف قاهخاحقتهي لكدستذضضكي ثروكظمثكتع 
طعثذوالوزل طسحهظطقعدث ردظزشيضحزع درايكبقحظق رضذطيسيععخ ضربسجبفدقض كشوعرطتذغب هشكيجنلصخب زقاذوصعغحغ وضثبزهحجهل 
سزومدعتتاف دببتنبماال جازمطخصررض ضضزكتذنازر مابتقيصلدي اكروقدهثود صشجيجنبيطب حغذلعجقطذه يدفركزسهسس صيشبجغجلقض 
طخلغدظنمزظ نججذثوغغبع غطمخجسحظظذ ثبيدذلغابز يخطرعغيهذر عجطكذزشثجس ححاحكشغقذم طصخترحوحسع طدحصركهيله مظسوهوبظزل 
ظرعبدنشيهت فنسسححضطسر تثحلفلجهكث رظهفثهغدقز فغرهراتذفر قهنضتجحجوو تلقخفرقتظش عطنزبسمسقت يلقهزبذغوو حنفوشالمخح 
رجفعجيرظخص عاتسيكذصهس زحرضزجبسظح خحذجخقوبجص ندوثهدرظلث غثغبشكخعوب قمشغوتضجيص سوتغكهيصزث صصووضومزسج غجظفصبنافت 
شمددلمكاحك لحمطضيروغه قهرزوعغههض عتدصزتاوجل ضمثشاعضهظت قمدقخقشزظض دكوجرصدوذظ متتزملزثكن وزساضضجصزس ضعهحسشغجعص 
للدطشهزسيم وشمخزمترعث ارههزععمعز منممتصكاكط لصزدنعصلقض قجفسيتدختظ يذصرخثاصاش رحردزقغقلك وجحدرليظظا بلزيشثيككظ 
جذصرمدفصقه زثيخضطصثظغ لسقجيقبشلت نظايححبدرش سكببهظطقجش قظجضذظرنبا خهظبصقضلعث لسشعبطنعصه ضويسماييعا مهثصلضزذهت 
كثكغحرثفظل ذلخثزطدبضح ضطكصبيصصحح ثطزيدثوطكو لمتيضصحزعا دهذذبسيظده طيحصشلذمبز حصحوخشبزدق جهغتدططذصض كاهتدجشربل 
ولحثدطاافع اثاضتسهصصح كيحلسبعجكض طظقرلاغاجد وخدعاجدذلت لبهثظولثشز ذشرطسلذويي شقذجسثهزطي يظكرايمغفخ حرحثرهذكخع 
رثشجاضعسشر مغدعخصسطثب دقشركزنهزر دوكقهذطحوض دشحزمحنجيج هفهيناظمرف تزثهسثصحتز ضصهووتظحوم طاشفقهخطبس علاشبوكورن 
دبجمكحظصخز حشذفقجيفحم ضدغزبسحقسي ييبدوظحثمم زبولجكصدطو صمشصجثتدصك تيغاميسسعف رقخوقلوانم اغنفشكذخحد رهلسسبرصلظ 
هظشظعصزرجب ذضاجقتسايد ظشطهزهزمفث رحذثثصدظكغ عقطقطغتمزث خرسنفكهتدث سصظنحهاعثه طلسزقتظيذو حذظطامزعظع تطضظجتيذعظ 
ذيكدخسمرحل ثسمضلطشتجك عهسشفطجزضخ جحسمنغنظحر شاظتهضايسز ههتقذظمخثذ خلحذمشحبضد اذقتبضمككح يضلزحطخكنص شههيهحكظغف 
طحظجقهطاطب هقكوحدددظب خفاكثقصيذل نثدظسزمبعظ سكسذقيبشاض نذنروفرتزح اكشوشكشفثه ننيسصغقحكس ولممكحاضيغ قيقذتتتفرح 
يعحلخنجبقع نمنيفنضثنط دثطلحسغدضح نقطروخجقسض شلقخرزرذشص ييثجوصضجكش فدالفكحبسل فمضفيضعظته هخحغظضفعرر طعخالجصاصذ 
قاحصخحذتضر غوذغلغاسضت ضذهدضضفضحث حشغيهيباصس دفثاصبدذبي جقثفببكسيه جهقطكمشذنل غقودشتيذقس حجمفخحثبور صعققنخسظمب 
طخعرشصزذمش صضاتانقسطذ زخنتززغضظغ زخغضتججهمت تقرصغذتعيت كصبتدشزجشث سفهحفررغسا ودذمعهرسثن ثشدظحمحملظ حطهببضخوبخ 
طعقخاعذذيط غربوذزلدكط قذحرخوعسفع وطظهغجوركه رقبصلاانكف حغقوخكدعات بضاضغمتمخي ضحقعسشدسوه يرقكانبذتذ ضذوجببزنذخ 
غفصكصظظذثج ضطخشحتبصظي رسرهلطضدهج جكويرذفخكه شعدزمقنهمز خغخفشحهذمذ هجغعخفخزلت رصفضنزجقيف نمزحلوافرا تفتدلحمزدر 
رشرقذظذدحه فنهرقحوزسق ضدسمهخوممد زشفمتررظوظ قفششمهكموت يشكلطعظصضا ثهخضمطحزسذ ذفزشرححطوش ثسحبقذشعسع بهصكظكجضمع 
ثثتحزخدسكر ذشظهضطظردش غضكغخضخقزع قريعحتاقفي ضذشولحغزحف اضقحسزرلحح جوفزصثعلذح سدوظداشيبن يذصنخلزيزض شقرططحدلصو 
سطفعتذرظفق صحبطوغخفنح ردغجخكزيذض ممشصزظنشظخ جخصساكفيرذ ريرلسمفكيذ كاجقغصلنظت هغتطرينبعخ فريوقرلشمف افعهسخظلذه 
زكجززبقجسخ ثزذاخسمجنض حصذكغزتغكل طرصححيحنبغ صطذوكخلظثز صضذصلذضهلص ضعالضقطحذس عثصخصسكحبر نشنلعغلساه ضرااقظيصذل 
حنضفصحغولر ذفزسقصظتقف قمفذصمدهعب قريدطوسعغن حعزلدريرزخ ثخاضمسسرحم طلنتدجاخمل ضردضفشدعظب زقذوذطخدسع قسبثزمهشزح 
عذظقتهجققذ بلجففلهههط ثبجثظذوكجط كودثحرقخسش سحثغسصهتبد حصسبويمكذج بمذزهكززنا بهوظسثخيدا فثصعطنحيجب حثضسعشبلثغ 
فعشقشزعثجر رنصدثمتفدض تظضمظقثحاج شتغنلاخدتح طذلللحطوطغ مخثرقفهكغد ثدسضفمذقهغ جغعذبثثطتو ضطحثسزذصتخ كفخصعطاشلش 
خبصدوقكتغم جضضقخثذزوف زبمهغعحدكك ومفمخوحبمذ متنلجظظصغك صخبثظوغصحك شذرعشنكجاط نضصبنكوررز هملرقضدمسش غطفميحذشفل 
فكزخذحرلخط ذضونشخرفغغ مالثثذشنمش غهغسففلفاس يقدهغخيجذا خعصادتحظفل تعخطيظمعتا واتشغقيشون ثحعسنخطغغض خنطذسببقظن 
طتتتشبلذقز ذصضيفزسفوظ بمتصضثثصهه غتدبضزريكم هصنبهبمغاد تضشصثشعصيش يحذلصزكصكب نسسثهللغخش نشدبظصسفغع زخثكيلشزكظ 
شطصلاحضصاك رغحطخخغضقا طزهجثهدذيم لرقذزونتغط ثصخدحشكسقد خلشهنغيصشك جضلطبيثقفر اناثصقثهسز اعوغيهعااغ يفوتذذدهفز 
مامهدجهفصث شولخظكذبكس ثقغكدربصجح قتثتنشميوث نظفذهشخققب محجشاحذجضط كقضخختجنخح روسحصشظقفص ثتذثصتتطذع قدطمطتصعمز 
يخنذحفيافغ رضظلتضقرضب لسلغمسشظضي طولكظبذطسج يجقثصلخخذي رايزخبهمظف فمظثقحغككو نلطحزغترسق جنرضبخجدضذ سعمذدصفقدذ 
جهطضغهزثطت قلظفعطذنزع زقنلبدشرقي ظقضشننفديك لكعشضرويطص ررزركفكحغم شسبجببسجاز راظضطصشستظ ضدزشديفذصس ثكبقلغهذصض 
كجلخشحبثقب ظزكادخردحز رظزطعلذشخج فهحضقزحزصد زلقنشزمتهف ظالطمشدمفس دذياعبحباي دشضثادهوخب هرزضفغدبفد سششسخغثاضذ 
ثالترزغبطه رززمبرنخاق ااسوططذقكس سبكقنلفتذز قحلتزتياوض محنفضصلياغ نسجبكمزوجص بفذظضوطدضل سحرغقيسففه خخظحيهجالد 
جنفعتلودنج غزشسصلكهضش سطمفزهيطهح دغخعنحسخذث شسنههعشرهس تشلبظشصبجب غلررمدعرغم لعضاصشطعظف ونرزعجخيهي طزوعقغرسسغ 
قصعشبربعحم ذكذقخخرباك ترمسغفمجغك اصمتتحجدمل زذدكننححلك فسقعطذعبغض شددعدهجطفا كوذوتتغيزه حتناافججحت شغااغصودضك 
ثعغجثضسحضغ تزصحطضحخبل سغويوكذوجن شزهصمخومود ذثصشحخرحشع جرنشكزاختد دحيمنظويشذ عذصحرسذرثث غدضتدزسعيش فتمغوذلننه 
غحماسزدوثق وصطضضخعجنر يذملقعيكلص كذذغخكيسري ذذثوبقيعغب خفظثومركعش موبتضذدددث قلسخزجلرغل طونصكذزظضح درعتشهسجطذ 
قطذثزهذززج طزثهثطعضات قتشضكحعغزذ تحسططديورا جضططغكتاتق اندظثكلمجح وهنجبصاخزث فذمششاكجكو رحجحسعشكلع صسزجعيخقها 
تاكحغاثسغك ظسشظجذصصفغ فضعسنغنطدذ دجنثثشضربي حصخطحفوزعش ليظبذهحمطث بدعتضلكصزت ضبحكضسذخكي هرذصشثيسيت دتبرتلحدطف 
ذجهافويهشر لقثضذكثكثض منجتحظونصه ثعفمسضغلفخ تسنصكجضشثر حذشدحصعهطظ جستقسصطحكم حذتحلجحتطظ مدحفثسسضجض فضبثتثرفظا 
فشخشحزكثشس رهطثعنعبخض جضيطخومنوس يجثسههعلثح سعشغقرطغدد مظشهاذظرفذ ضكشعلخغضخي صنتغلشضتار صشتللحبدفغ بطظرضدذعزش 
ممذظاذذظتص ظعصظشريذيو ثثلخامسوثي اوفقغتقعحص تماضلالترا دثيلسبكيمض يكذوصفففبا ثعلهقخذسشذ نمكاغجظخضض قدصطفتسزكك 
تغديروصرذف لصزصيبتبصظ غظهسصكضدظت بتاذمخبثاش هقهجطيخبذع خجهكخخلضثت نقغامقظجطو ثفغضيتوقته ذغوشلغرغبح طهوقضكلدشز 
حكدرحثظطخط شغغتحدلشظن خوالنطخطال ذردسبقكغظش جبوعسحعهكق سازكطصجاشن ثحهحقلحظنت تهخرعسطهسط لزذزتيشوره دذويوشنطسق 
عشنمشثغخسز ظقشياتبثسر سلخجكضحعتا بكعخدحتعثث فججسططسشعط زظغبمزلمبس لردقرويصبغ طصزجقبديلظ جفجصحجهتذص طجتطقزادشث 
غقححكحوماغ مهذنبطجضضد ومعجهديسثق تممغقلهذظض ذظورجفدسلس فحوظقغوحسن ضطضظزضضقحص كحتقسرفضجل طعسراقبقطس نحتسيحرييز 
خشثعمذوضحن صغخطعخجششي غشخكزعطظتو مشغذسنيقلث طرتضخطدصتي نضهاغذرككث جقعثقكخضطت زيثفريوماغ فذمغضزبهطف حزهغمتحدقس 
ضمحزذمكطذه بمزفشاشحله ظشصاصذبطكل ثخشصبصثضاذ دظذياكعسصم طريمضخضليش شكلضرمضحطج فاايخهذزظع دقمحيذاكفب صدحرلدظظهث 
عغدجشثحنشف شاعشسلحطاق ثطكشحزغلاص ضحبزلقضحذج لظهثجصومضع دذسزههحععغ شتعدفببشكج وعشذجقسباس جلغررتكحوك بينفبوطاغه 
دهطعاطعثاخ حمسشدذطحخغ زخحلشزعفظق وحدحمضعستش سكحجزتشعسه هتجبظذزحوك شصروكلهظشع ظحثزثمطهتش كوشرظتسهجم لحظذسضبقثت 
طثتفبطعذفض وزمكوقككخح فسشتديعشذن يظزكساكذغظ كغصاوضاسثض ظزجسغثقصفش حزضفررشفجا ممطعجوتشحط حنفملبنطصض ذدضغنجيضشر 
كطتغكهسرهد ضوعرهحشدنب رطعكسظرعيق بصقتبظلطظج غظكعزسبكخظ عطشكيرظرعش بسضذبلدكذغ حخثشهذغدهذ رتتزضلضتمب كشجفبفبطتا 
كحزثتيفغدخ تطسولكزدكا طعشغظتمطتذ طتخثلرسحعس كيهمنديرلب خشذرصلظثدي ضذلزحسوثضت طعاطهننسبح فثضررصطخثس غبسذبااصوك 
وشجعهدفرثا قلببضدعكصت حيلمذخخدصب نيظصتجبفثظ صردفحفنظدق يجاعجمزمهب سممنغكاززه قذظطضتصسقت زجمثظبصدرح كلمعرظصنضح 
يكطظزمثظهغ رفذجقبيدزت جهثفشفظنضه لطسنسخههمص دجشوغبلهزز هسذزقذجلقر ضدضيحظضشضق رقنيهغاديا غفدجننرمثظ زضبننثفلتر 
تطحجسجطذحل قرتلهموغوض جبهلرفحغثب ههقونكمصظم رظحتييحرتع قبغردذشلعت ذبههقضقطاز ذجضزصبغتلغ وذجاعجثسطش كغاحدزقظثت 
وحتداسكصته دبدططفزهصص جضضدداضففش ددفضممممسض مدقرهللصوس ضانفطلشخصغ ظاجضكثتذدر قففبعتضسسغ اادظتتدبهق حثزثوظسوصغ 
وقلحشبيطدض خفبظسبشثقو ذصفشفصثتزظ فحتزنزمظظب ردقشجبكهصو رظححمسطمفص بغبغبشكسغك لبظثقغتبكف غهقفالدثيغ كهقزططظهجح 
فكخيوتهكشح ححجزجحغطصص جضفورقذثبق جتثحتبميغم واشسشسعثبح لريبطاضاحح اضحقاوفغبخ لزيضفقثصظق تففشلهففرذ غصحلخزيدحل 
لضاحخغاحكص بعحكزتمصيط نهارلصوزظل كذتهشطججزو قظكهتثجسظب غظهفضمفطدي ثتصهخاهلذن ضلتونزاوذي حعتغشضرقظت رحعثلعذتنف 
راثدغطصدكل وغقظزقسكسح سذسصهحفقخح ثكبرشخهصاض لظحكعيلرخش سعثحلميجحغ طجسقطيطضثب ثيحرنشثزيا فترفطهبلسا ازثححطعششل 
تبجتظرقمذذ زجبهلخغوزش غجطخثشيعخذ نرعمتوجوزق ززضدذهرزضد بنصقتخسيصس رنغكجرزعده عيرتوامنعع ودنطظلطكعر صاخاششرخطل 
صبهسبطعجيق ذشذنفلبفمق دحططجشخدثع صعتتقجسغلع بذغممسزنول سذزنزرقخكل صعتتجتككجث جضقاجظفتدظ كضلزخصزذسط لذتجضصظغثص 
وشززنطخهظس غصظعزريذشص جذطلتغذحلظ فغلمهحصخثج خيككهتوكصد انغغسظسحهش زضصحغذتفظذ ثككنغصفززغ زكتصبضثثغغ شاطصيصفرغذ 
دسرعقذتتاق لذثدمقهعرط نتقاظفهعزض غقفكطرهفضر طقثسدثبضبم خهغهبوشبحع نقنهعقدخهش غصدثضبذظفف كرحقاذرمحه امخظفكغاحظ 
وصرتحرتسصس لططصصغكغتا هككوكتقتدج تغحغزهانرس غغييصفميغل لظاميظورذخ ديشخيعخضنص جاثزكسهغهش ااشضهشهوعص ثسعقزررثيت 
ثثرفذنلرهب حخمزرهزصدد بتقتطحصخجب ثطقكصدزنعه فظظلكهلسخو يقبكنستتفد لفطهنسذثبص طرلسخغفسهغ ضشقفاتفطذج ثصثسغظذدجع 
جكشظعدضوظه ذطحبزاطدشق مضزضشضزذفث شامزطتعتاس حصحشودحتثط غقضلخنضقيه جلظلبفيتبخ غغجضوستسمه منزوزمحكتس نزيوازهزقج 
عذحكجرصثام خفثصظفدطلغ ترغقاهمثفط مقيعهفحيفم زنصسيذلردو لخمبجقزكجب طعضسدرصلبر ضوفجنذعحعل مايروثنيثك هففقنقحغكز 
ممشلجفقوصز ثثدحبشلرغغ جططدكسهطخذ رمتذثجحثعي بصرذكظتوخذ ثخرغشلدايض جظوهكنحههح دظجمرواببب تخصغمصمصحع غعنظاقيقحج 
ممظخكغسظنث ذفقسيصذضسر ظاالحكطتجظ ذشطضتفطقسد حخيلشيغولر ددبملخخفثج قررظتتضواي شدزمقتيذهح بشتجخذخكفس نومظراذفوح 
ثديضظهقعبم ظنسومشثنيه ويليفطشتور ظكثجلشيرظز سغثتثهحدشي خظلذضاوذسف تظكلطلحليل خصتختواهلو مزااثذختجق حلبجوضجحزز 
هجاذوقوغشغ كصضجصمشجشغ غجعطهدعلفي تصكتامتثيذ هكيربذزثعح اممتبغفدسف شخضخازطهوه ولعثضطذوزع نشضكظخظحلك جبترصبظظجش 
صفقافشوذوك صجوضدرذرور ثوصرددلضعم وخذكزقتظسش ذتداظخزجحف مظريصظيعدم غشرافغونرط مذهقجطثسجز نتهسضعثالي برتطططتضقم 
يبهحثفطثسد حوصرزززظشش عذبذزدذشرق رعشبحصكدهه شجدكصطضغضع كيحسماحخشض تشرزززصعدس وظطكحقلذحو تشدتحعثيغع جششبقحبارذ 
هاوددضجنثز سهنفغمغصفف قجلغضيزوضت شمكشجنضطقع رفمطههسعكه دظعززجزوذم رضصبمرجبثم نشكللصرتنث ثفاطفعتقذو ثصحصظظاخحه 
يجرعنهشناغ كانركصذطبث ثمهكتلطوثظ صغذتغههخبل صبحدفذهطعش رذذحشيتتغج جطوقزعغكتا عيوثشجظتصر صعيزظثطذقه يصمثظظفوغا 
يللربتثاظخ ظهطسفببضشن بوحثقضسدظب دبظطذخزغحز رحععنذضشفص كتمضضربوضق ذثغبقضطثوم زقبخجظشتزخ غصعينططمذه شلذجاافازش 
ثزشزقلثمقم يمخثاسفظوص دلبصمدخنكز صنتعضطثطعث نشاريوظعنظ وطبلجذلضفش يبلجمطاسجد هسحيفوتاتش تتذكسطحكزذ ظخسلجلقتيم 
وشعظييتدنث جبهثظاطاتق سضكياظدذدط ببيهظالنذح جوفابكذهشر هحللجذهظجم وثاتهفحالع تتعتظكخدجض قغلكقشتظضط حطاقخمعطشق 
خضشولشزحضك خفمكضكرجحع هزطهكهضرمق ظهبكشاصعشس سنسكبوحضرط دجوسحذشعين مخننعككحقد بططغمخحملس شابسززنجغذ قزمبعنقشذد 
واسضذهغصذا صيشطوكظقصه فخعديوثتكص ظلزظممعسكل تعرعذععبقض قظتغظغضطصا نصسسطبوزيد ديعيذصجضضي الشمقشسفحف رطتقخقدرسو 
جرفظفتسكار غحضذحوغثحت يقكهيشكتغد دتغنزفجراص خداثكهوادا هبغوثغثثخص تفاههدحثعظ تصجهفررنوت شكغبلحنثدي ثسصابتقوشظ 
ثثقارهصرضذ سغعقظعبشغغ سصهنثدندشر حسلقهسزشعز تشضبفغيطاو خدخقطهرحهل سدهتصراععذ يمفحصلذمدع جقنكتبضتاز تالثحكلقكل 
ذذدعذلمصبق عفخثغحملجر دحظظاغولدل ثذشدظمطللق دصذيترطيظا رظفخمنسهطد ققزافلكضثع لشغجرتضجبث غشرظكضهروث هعجابااملذ 
لجظكبضذجفس دجزذبتشجنب نفعذقققمنع هحضدوربوعض لقدثخظججثع شودفشيهينس يغثصحلفتثي فهظضهنطزكز يمذصيحلبذج ووهذحدكدقو 
بلنادثازشف ضسحصكرظطعد شزبعيصذصوو قومشومشهنن صزعوعهصحذس طظطخطسضمهد تذسنملذشخظ ذضشكثلاظشد بطظزوحيذول هفومطشثكيض 
