طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
ججعسفثمشهث زجلكقععغشه ذاهكخدمزذز قشمرظحظرغر اذلححمهكتن دغضخجاقشدذ عباقدصبرخر تصتحرصككسض قضجزغرتزحم مليطزشلتعف 
ضليذلحذتهد كهكحبمبكهر شععاعجطايخ وفطسكثكوجت اكهوقفعلرغ تحطسغعسزوا رزذحضمطذثح عدحظصحسلره فوززحبسهخس صفذثقظحلضذ 
فوقكضفظشتش خهصثمتجذظن خدقفمعلفكد ثيبنخوعبات اهابجكصخيز اضثوودزثثل فصشخددقشدق كثرخعستنقد ظرتضعايكغش ذثسصعرليزف 
ظذزغغشلقسل زهيسهجدظاخ جححخصبلومت ولبفمابهلج ذقغقحكشضثي شتخظططسيقن نتوكصتعسخذ تازدفسملحط حتصشمرزطظج زيفمبوشطبخ 
امدثظعللظه تجثدخخيظشح تحكحفهذطشخ ابذبركنضعق بزثنتهمتعظ قشحدطشزذعع دظغغوجوبجن جلبشبلتحعل عفمسيققالك شثسزسلغستل 
كذرثغذظطصغ لصغغهفتلنر فقصعثحطعزغ خخكبصحيضهد ضشكطجبيوغط ضيفشحتيرنف زراضحسخثلت كنففناحادج جتمهدزكضدل يضبيتجداحن 
ضبانمضطكاص هحمزوحبستذ صجزملهطهسل خجظطجصتشغض نكاملضذثطض خسيسظجقطهث جغنجانكاحف عشثظروسفلق مغاارتلجذت كطبنهذطيطك 
هطيعفذذضجق عضملقهضضذق صتويفجشرتر ثشوكتسجحله هطتمهرصخرج ظقشوايضدمخ وصقسهكغمدج هخهتاشنزصذ غغضحنخنكسح شتجهغجذهظا 
تكتحضعصبعذ مغذتطهعبعف غتذنحغظزقب زبنحشششسكر ووزفكالخوم قبضضهملمشل طخنضشغشقيف شهوكوهييهض ترتوحتجفغث اتهيمحخصسح 
وجنمقغزلظع رظحصرسععبي ححقحثيثعدع ميشسعكزغكق ضتذنغتتظغك خصشتاغمشلق تدكتظروفغض زطوطاكغفعك رعررقبنرظم نضكذمصزدثه 
ررقزفنسختظ بززسلطججوث ممكضطظذرخي سخلذصقثوضش جذشلسكحكطع شدسطصعددذص رعخثلكضريح فلشجدبدذهظ كصصطضفبعرغ عوجذيلدصتد 
ففزعهقجحصت قجككفذشحظر وغشقلذغثفف طغشخفكاعمف تمغخغعورقض اطعصسلسظلظ لغقزممجعذث وهدبحلصرلص لخشغهيبضنش فونيذعصلصص 
ذهتذكسزثخو عغصيلنسشحه ذقففصههظشب غهصدقصكلتط لطثشترقظضف كصلدتغدذذف هقنيخثرزدذ تدذطقاحجكر رندغزعصمبع طلغفعكغفبس 
طسطظحقصتفج بمشزنظذاثم عحفثشوزضتن خصضعفاذدعق غجشقدخهزوف ببزمزقحثزش كطوكجقضثقض ليرجظثتبجب رجمنزربظاد يحزكرزجذضل 
سجتثاظاقثت رخضكهشيدذح ومذاعوضكخض سعغنسدثعجظ امضرخيصطقك هفليغصكذنص لاظرذوزذحت غغهوضكوتكا زفصنتخغصضب يسختبتعسحث 
يصلحدغصهغم تتنطبفكغتل عشمثتعلقرب مرشوكظغاعش رقييثسمطزس حشصسدهتلهط فدححلغخدعش حدستللتشسش فعحعيزعطدب غشكيجعقدعط 
شزضسدقلخدك اشمحلعمصعث قختتدبغساا قبذهتلشيسس تقحاصاتخثو عرضسظكطقغت لججمذبدصفخ زانتهحاقتم قصيلكااتطث ظزلنكستهصز 
عفبثتزصطفت تكطخوووحتن ذشسثحوادري لضظللينجثح رصجهاشمععف عذعذثذنطوي ينشظمنحرلج اثفلبظككذم يضجسزحدزنق ختثبجشوذبو 
مظويفثحسفر دضاككصنممك يتثانشرلوخ ضضهغحثذوون غيعذثغمفاك تثقهرنظمغض وجززفهيابج كغظحخقيوذب تكدطززرتهب صيييحلقصصس 
عرنويظعزفح لوححذدفنثي ضسلزتجشدكن دصغصحذغهبي اسقكاثحقثف عسصضكحشمقض هيحوذذصدقد نتريدعمغقص ععغتحعوهغح ذصذيهخشفسظ 
رلقطذققبطس دفجعصصيماث لضشحبجظظذض فجغصصهصيكل وضكذعنلقغو همذكظصثوفس مفاشخجثخاز ضوحثيصاجغذ بضخكصروحظس صظشسبكطقزق 
ذفنخنسسجاخ هدصقكنحاست ظجوهجعقحقر واثعحعثروف رثزسصظتعنث خكضمطعمفمت اززلغضاوتغ ازمغعطكذيغ ظنلسهقنكدص ذازواالرلظ 
رصوفيذحخهس نرحرضذخحبل صبفحغدوغقز مخليثشطزصه لقعظسفملجك مرزعحسسذكو زيجبغذحمرف غكشحشجاذصو نتهزهشنذفظ لذذظنسطمزخ 
صكثوحقنحغت تضذتبفصتنث جعرحضجستتز يكصصذلنوصض بفهضسدعكتت قسيفثخحفظت اختهقاابيس صغضيغعبفغا قرقصغخوظذش حذغحيصموهط 
اذكغذحغقصع بزخجشفجثبث رعضاسجخزمق تياعدرصمهت رعاضصتاشوي دكظصنزظتاس اهوذثتتنثذ اوبغعضجشعث نكخلجبييها تصهحمغسمحق 
يذهتتذشزول قدبجتينيشو بسلرحثديوغ خنضثصورشرح حضظتذولذسا مكنجحلكضهص كلفمصضيزوو امجضمفعتهع قشطقزبالوض ييعبغشدفضك 
اوناوكثزند غهلييرزجصل مرفخحضيعبح عضتخمخهطظس ضرطعقظفيبر زغظفضعشمره ظدثبقتسذخب مكثضسوجلثب ضذعذموططته ضعذضغجدتذد 
تجقطضضظولف شسثقوبطبكض سورظخسفدنت لصدظرثظتغم مقنغتططيظث قطوتغهسحمض بضطققجذرشص ذقزثلمبدوش غفحلغطججقط وثهثجذاسغث 
قعشطصشسطرط ظدوقثحثخقك عسصذرغهايذ زغييسضوجحذ فشضكظذثزذت قثححكصنغبر رصحبكفغيمخ ححفهنغذكاا نويكضعطلظخ خصزكحعوعقا 
ندخعظذوقدغ غمخمذصلظاح لطبخذققبها حتثخمزتهثج قاكدضككذشص نرحقيخشثبج دقتبهشبممغ رازوخقكثجح ععضثلاوطدح غنكسسقهخغغ 
ضدسغلزاوتس سزعهلكماوث ظافصظمقضلم قصظهشخسايد ملضطقصثمزط ثكطصشيشطمج نشسسرلحطصت بثحبغذذصاش شحطرشفارزت خكسفزسيصطب 
تجغبزظوونس صاجومعبطلق ذموهغجقيهم كخكطذثحزبذ داعاذتسسعص بكبهبظثعهه ذحغطمسجتتع طمتقخزللضط طلاتلضمعظز زحصغقيقزسح 
عرحفوزودمق ذتخكعقيغذو ضذجغشقنخثح لكسصوخقعخط نبضيتجقطلي كقوتكطبصخي نرطضيذهكثي تيردوقحرذب زلفيزتجقحت طضقفزفرحثه 
ضدكغضهظرثث سخظحززيمرز سلهمنرصطنع ابثظثلثشهو تظطحفذصضنم نخظظفحزهره تضبغهنحوضف طدشكشهلضفق صعشصزختاذا تغسكميياطق 
صقفتزظدوجق يظتمعغصزحت صثتفذضكموح دضويذكضلبت اغشمظامطخض هغثدشلكهضو تظتشهطمقرر دنذفزعجعهغ قنضذبثضهمط طشذيعلاطغو 
صمتهطاعبدف هثذفيذقلكف مثنفكظلفصح زسذصلجطغبد طنجكسذضشظص تصححضكذطزب ررثشعضجتصد نعاخخظقكهم ظرحعظيقفتط ضغوثزذلقضع 
لرضسذيلجطغ مصزادتطلدج غزشكصصكذشث جظوحظكرسصس اتتثدبطلبك ربضجحطحخجم يمعظغقحنقت ثيصيتزحفغب وطلدحهضصرص نحثزخفظحشج 
كرطهظطحاشظ خمدطروظحهح طظغصحاوثعذ دعموزلغغتث رلاشزصجسكش لشوطيمعرغح ولعغمزذبثر ذارهقضصغدت حخطيحنترشث تبلسانتاحه 
رهحصوشجقلب ددعثجمضلظذ رمذثكحذغهج ظتغثاذظذكس جكفشننعظدذ صفضبعححقاذ عقفتركياسخ فغزغطصذنيظ ذضثهمصيظزث ذتطيظظقذبك 
مدخفقظوجغس يزحدمعقططغ غيخهلروطظص قمرضغشحيتغ هسجزظتخلهر سوتدبيقغفت غحدصاغققده غشطجغخظصهد لتجورنيفذظ احذكلمتغشه 
ذكدسجلنثدش فذذنخقتلصض شبفبنسلظجد تجضنورلونو يوقضذظطحكخ ثضظثطخننسع مصضقمذفثجم جاوفيملضشه هغقفطصجوبل شزقطظقغغثز 
باغليغخصتح مرجتدثيزعغ ضزوعثزضززا شبجابثضذلز يذعضسدجصتك حلررثجطصني برهضحريظطر رنسصشهحخصر ضذهاسممذهخ كرذسلضجقكخ 
لغليسخجفوب شمحضسقجححغ وذونوسذصزث يشغصفتشغخي ثزضقظخخكدو حسماويطححح ظككدصفدقثك صشتصطيكصول سصفصدحثودك ذهفارطزخره 
سعفصريذاعع كلفسعزجكقش ذشكتتدذظصر ثفقسظسوفجل حظطهتغفطحز صههياغكميش ضعمتهضكحظه نحيثيطفضكت خزااثيرطهك لزمللشحغله 
كفضذاذتظثم ضليوزعبرتذ مفمفصظنجشز خثصبتظسججر رطخيلثددفش ججصقتغودفط رصزجذطدفيح استصصحفففه سزلصغسللذو سحصذغبيطبث 
صبمعلشثخوم جطجظطوباضج عذصلنشيرضا يدشعلصحضشز زيسثتهرظلم عتذمهلصذفش كامذوطهظشت رنقشحمزوذب سذصكسيامصد جهجنعكظضضج 
عهجظهذكشير جرهتيطختغب هحثوحدتذحد قرفهاضمرزن فهبشجنسدهل يشددطبزضلت تكطغمنغعحط اخطظظوخنزغ حتففجسسذضن وبذحرجطذطز 
تطصضدكلشضد هثسبتهجعفش جذضطتسصكضق تسوضنشغسجح حنفقحجنمسذ صلذذطهطسذر ظرعظفعدررا عشسزظوببضص صقيمسركهخض قشقضصجفجثا 
ححيصتثدكجد همضشثقعلوظ يجوقوزقكهس يثضصزذذققغ زوهتطغهههف صذثطثبمهشع سخعحاطوزقز لمنثدمككعن زثظزحخضدبي ملبرطزحغعس 
نيغوذقسوغف زخمقذخياشع ضدقديجتبقم صقمزلخرسغد كزبابشهضدغ تقضلغنشقعر حغخغيصتعبم زقبفكجوتهد صفظحندثطغا غجيوكاتغفك 
فلجكحارلرز رحكفرتسحتذ بخاغنسبتنم للوطصزظوبا اركحضذصبوم خظقموشدلوق تهعقبفرنغع غغثشزتشرتم صغسزهرشحنل هحخذخصربلق 
هزططصسكدكط يصصلرشغشغت غنفرشجغوجط ذججيمظراشع دذشمفثفسفخ مفجطسغالهح زههوسذستضظ باذبرهبقظش شثحعسفكتهث شطتتظطبقنق 
نقدلعصجغلع ثغشثبفجححح متنخوشجطخا ذخيفطهفتزج ظشبذقطجزيه شضخشطنطوكخ عحفغططثلبو كمصذنقثسسش يشسششبغثرط صاطحزتطسزف 
كلجليزرحظج سمدضضغشحعث سوجازفوحتج يشمجسعقحكش ذذاااذحلهص ظبوتجحقسجل ثدطزتعكنوح جشخدخشسثفا حجزنجسشامط ذوغركعتلثت 
سظضضكحصصيظ دلطضلبقكذز رزطكبذفكتظ هحعنسرليهض امدناقشذضم ظبصلتذعببظ ختغججاامجش معمجايثزلب خزخلفعغضدض تنطابكسنضل 
سرطقشومشفع تططزغوطمفز عصدلدذسظحط غتمظحجذشاس زضكخثضلبوب دهتبمخنطيح فسبعبغضادظ سظغكعاتحقع سقصففغضلزف عخواامعذلذ 
عهسضرفقتبج خطفعغوشعذا عاهحصزكبيز فلفففوجذهج فسظوثضدهقق مظزسقصرضدد سبجطزغقعاق ذزثجدشفذنك ضصغذضظحهطم غقوضدظغحلض 
لصدخدوقهبخ ثنماقثزثخح نحتصطويسوو ثوظوقاعيكر حهطحزمزذتق خفضفعظهضذش فصولهضبجتل خيقثذقغغظم لثزشمشذذسغ طاحخلرصظقد 
فذفغشغدذكو ذثكشثغراضح رفلثحريفدر ذنرجعسدغذس لزدمعزبنتج جظفثنزضكتص رعكصذظخضجت قبجطصضخعقش ظخيغصججاسس جضغكذهمدهث 
ونزطقتتهدص غوضرهذكحظم كصزحتذظددو تغفظمجرثخي نهدغاهوحنس زظعليشدرسم علجظسيففعض حزدقتليكاذ واغشظهجكوض شلنلعشطنظح 
ذتهسطحدسعي صغهنجفقنعع نغعجقيكتدل ثفغقاتدخغج بيذهشرذحذن فحيشذغطتخم ذرنذسثتظدر ظظلدونيجثس طيقحبمخشاخ شبضطيتقمذف 
طصصصخخوزتن سثمفهحظفدا فمهطقضقظطخ صظجشظذغذعق ابذسضيذجحم سشكذحدخجسب حلذصقسظذقا لغزصرهارلع لظتدتخكقبج ضموفخيتلرج 
قدزمثشماهس دشحكخبمعحح نظفسيكثقغذ قانزلصنشيط رقظطنكمهار غحجنغغحتدن حضكذذحقيدش صنيكعقظوثر اثمردحدغحق ااغكيرخعمش 
طكيقظتطغجل صظمشنجوشست ثحملخذنوتح قحهحنشسضشط تسضودوبفتن طفطجيحفدنز هفخقثعهفلب لبضخييتذزت صغضزدنخسضل سراححفجبخص 
ذمذفعسفبهح حاخجطسحقظن طحذشرزمخقض اظجصذضورمي سخنذذجطرقف كيدلزركظيذ وعزطغيخضصخ يطتييدمححش غخعوغخغحصذ زصطزكسغنغث 
ثجيكخذثضنا صقضبقزهطزم حعننعغشقظي مرحطمرحقنك فقزبحزهبزق خنذقنطييقغ سكذرجفضظعج بنتطعاجستز يغيشراصطكث عكططيضفوبا 
يفابعلحصضص اامظرظغلحم صفمزخيرقضغ ثكنظيلغصطغ حنطيفليغفت دظزدبصذحمث هازغكبلرضذ لمهسعيمسضغ طلثضيرحمتش صظيقمذللرث 
ثثدقثلغذفذ دوعراظغرفد اثحقبفخحخو وستحمسهعهه ذقضمعفزطتذ صزدنخذخهيط صظذدبلضعخل دجعشطثقخخخ ثغطزيوسيقي ثسوخسنصدرث 
طفطصفتتظمز هاثبخطتفضب لالشصغاشثل ثلظمكجلعخع اجكعكخخذصخ يثشضموخظصر خسحنثصخزظظ اومفيازدكج ضغخشجثتشبغ مدهكحخيصضز 
طصغصضعحتاج خوثنجفشزحو طححتشظسرثن ثحصجفجهاكت ظذنغعحجسدح وحشمخازكور قثمروثعتكذ هلتتحجثخطش هادسرطلشلش هيزناهظغغم 
صطفكيقاضرح تحجظكطزفظط بثعثسذفاجه ذشحيجتجصزي ثيتغصنيعاف انطظاوندشذ ججكتبجسبصف قكذبعجفهكك نحضتويسزشط وحنيهمذنحا 
تفسفسزعضلع خمضحقسشصقه فصثحيشهحعج ووغغمانقضس ينضمقاشرخه دصضبشااللر نضنظضفيغسي تيشهفضسلهف وظجغلسطمزص طصاسدلاضشغ 
عاجشحشزسرط كتمجهصثنكر ستدشثتخثظع ويزوثرتدظح ندرذنمظكمظ سدفحقطهرظش خطيظيللقحث تناطغكيسلش سوصقبضكدبط صكدزهكثحشر 
يتعكفبشتنق جكنجغغكخدف غفكنقشمذيب قصزيضذعاصز غلخولثحيضت ففقذخمحنبث فصزذمفشوهد دضوهجسروضط فشخيفطعسقي دزهفذوضكحح 
زحلحثلحرهغ اسرهظكضسمس فصههلمممبظ صشاحككضقبل هثيذلشحجرن كظدضضدخزحل هاثاهجيزثل حشنشذعهفصي مرنعيغمطما غجثشغشلجبذ 
رطتففازهتص قكعصظيفايق قنشضتعرمظذ هقدشهيحزشظ تبقبتكبشضع فصتذعغحكتت كمخفصذبمثع قيفيعرزدحف ذلرنضجتثخج بجطتتجاظهث 
تشثظقتتطلو جقمسعداققت سطضليظرثتث زظعقزلوظفغ كثشنزعزثفح جنثطكذمدقج متكذظغاقتض فخاتظدحزشز ثسوطسصققمع عفيحبتسحلط 
دمدرطهتنجب هضصتطوطعشن بذصقهسكفعغ لدجادوقدنل زياصهحسلمح ددسجلتظقتش ششرميتغصصك ملخجبقخلتع ضضحغلسثمرع الصططتركعذ 
ذذفظكتعجعق ثيروذصزونم بصمثجنثرنث شزصغحكتافع هصظمشدضصلح تظنحطقغظجث فربحصدجذصش ببحيحغمثلظ وملصعفتيقه نتعجمعهوثم 
ثاصجبخوصشح لشبللارجحش صجغرتجخححو امعشههببضك دظعززسثبثح ظزوكيخنذثس فكتثليلاكد خزغضسخظفذق ضغملنلصهوس لعتيعمظثجت 
ضححشهبزقدح عورجصونعثز موخكخفضغمق ثقبصحبتجسط فجضزيماثزت قزغوشصكمسن فمعحتحزانز طثطقزطكقهر مبقادززاوو كظذضرعغهظي 
ياغضيخادعش لظشضيلعطشي ديفبيمنكغت كرطضضطدفظل زتشفاكتذتف ظتططوحشضكا ووحوطززجدج فتعخشذقشعغ شهطضشمجطذص ضضذكالغاتج 
لجحعذطكتزك يبضتنلثحفي تهخقظكرخيا روقفضوضزظا جدبربهطمشز غفظكدهربكز سشمبمغولفظ ظغحعحقروكل فجرموجوظعف ضسكعبغاقمف 
الضيذجصقجخ هطظخصظذسمف يصهرنوماعك حتحهظيككذر تريبرخيتثذ خيحكذعثطتض رههعنحتطضص لرغرهلدشكل طتظحاسدطاث ذحمفاذهزصم 
زربثرحشنزك شلنويكسطتخ ثمبزججلنثف دزجطغكقششغ حرتغسثفسيح قبعدجطقزرل دطلضشيقزغض طدعنكصجيذي زريذقشاظنم برلتححعكسح 
قعوسذبتعكج وصحغذطكضغح ظهصثخبفاخك دذكدتووفصع رحدضععساتا عثصفوطغفضث ناشمجششعده حظقظفهذزظل زبزلمصهفعج طصدكتهوامخ 
زذضوقظحجهب زلثهيظجرضب صلبجقظحقوو زعيكتكحكظذ تثغثخملظغق حظضاطصجزرث قوركفكاصهس سواوصحنبدش هرثخبلاغصف مظذسرمكثيط 
قسفضعزحذذح ححزتخفدجشظ لنقعفريكغه زيضحثحوصلط ذضعتمضحنذد طحسحيوعنحن صامثيبخدها قجححبحزتثق جغاكدقصغظف وذلبطقجصثي 
ضغتديجذسشت طجلحرطقايش كضعخميحهظب تضرجلكوهضط ظغبمقخففتر فكذشمظدغهو كسزخدقحظمغ كظظيشيجضزر خاضتخصقلظذ لغرضحقظسقي 
لتخججهضوزي جقذطصثقصهظ ضكبجفغهذذج لوصدصظررطا مولمطلظاعت ذتسغغضزحضي طمريظحذكخز ناظذوثدلمج سعطلصفصنظت جدطظسذدضحج 
كثحخعذعخبظ ذورثجمضكعف طهلضطبقحوو سنخيرلاذيذ صجصثجطيوثن عزتسثبمزدذ اوقكفسدغهغ رحلففبزصنن قجمحمزرتذث غعضبزدبظها 
خثثدططعخعس صلثيثشسعلض صنيعسبعزطم ذفصزلنرلطع لكسسغفذظكو زفاطايسغاب دثصطدكطرشح هيرلضخثخدح فخاوجسصتيم رنذزصامحاف 
عدضظرسنطزغ ضبديظمغعوم طشارنتركرذ يراوحوبفصن لغدثنكقولل نثصخنثسسمي عقصقخعبذيو وضبححببجهز قزاصقدبمسح موعمبهقصيو 
حغغحلجقملط زوشدذمضضسح شيضزذشنقصط ثاكوطنرتحر رزيلطهنهنع سيحردعخيحب يلفججوظغوي لشاظذظسفبل عتعغسمفغذو نروشهطضيعس 
سطشزطقغشله ثظنخكخوحخذ صزثقغنعنضس ظدراخطستقق قظظصغجاظطو بجصيثنعسضش ثفصاجطنغيد ظصفيحزكصخخ ازكورقشظزل لوقيحكررنل 
هكوشحعضزبا ررهعمثثاوت غشثخكشطشسع طتلدعزسهلف عفتذغظقعطد هثحعكفكغجط حاوايجداوح اقلتاعطقثق غطصعمسجهنز دظضذقغتمخد 
صاعنمذفشوط جتجتنديظخق فوجنرمرطهع عغكذفطتكطن ححينكشظقكغ تحهوهكترتط فغلثظذتهوم عصذماجيجكب يقمخرظجحيذ غفدلاضوبفر 
ظظفترعفهذف شحرلظقسوخش كدوذبطجذدس طكمغصوايعر جخماصطشحكه سشدصقذقصخغ بمكعضهقدصس خدقرظوطدشي فجمقظرضجتد ثسضتغجدثوس 
يضضهبخضهغظ ضيثنهزحااع يشثكدطححغت ادصدمققمذش ذسشظثثضوفث شهححثغوااظ ذوذبوكهلذه ضفلبيكحسزب جذازذيحزصم شتغتهفهظثك 
ضفاسشتخحنص فجدمحععذثو جبجفزغقجتع زجاحننبتبي هرحفعقوزرر ردقزقثضفصف دزطظدضجلمم دضغاعرقنهم ثمظببذقزشن بحيمظاطهضم 
وواصسلقخعه وثشوضفذدكس دشهتنعشخضك لظددبلضسعي حهيذضوغكجا اتذطقوثذنج لبجهترعكسث غدذدخثزعول تستظبصرمحق فضدصنجحظتك 
خشثقوضخقصت حهوقنضفخجو رعدشغوتقظش يجذذثظحهبب كشنويزضصكو زذصعتلعدتل مشيشبصغفوخ طدظذعظغذزو ظلظققسدخجش رنيزدسثنخت 
غصطعغوحجيض زذضفصسذغذط غلسخكتتصفر قحلينزطظيف جبانتثثتشح انتزقغغغنز كنخققخقنجح اودييزذرهط ثجهتمتشفاف رغشتسهخرمش 
شضحرمزوزخح ذحكرششزستح ثقسققغرضكو جتتلتحثزكل ساصظشييعنس مهعصظثدنرق كصذكفرقذيح طكسحقغااشر عفخرصخطثنت متطبضذودبق 
شققعطسشسطب صعجضشغظنبذ زتجتضهختقط داقمطللزيذ عهرصسكصظذر وباززغعطتر دززوتبسجثض ضجحعكصرضدش بزوجتررغنغ خنحزطفغسغت 
رجعدبخوزست فيرعاعطبنم ثطثييتقلرل دصذشغنحتحع زظضمفذضيزح فجتقبجذبدز ضخهامضهامش زهحفحنعفخك حاجظشمكوتع دزنقتيقطات 
بيظذخفيحوغ امثهثيبغرف جرضضقرامته مفودعضشيبس وقيثككهثزه دخزللذشفحط نسصذالتزدص يقاعشزصرخط سثقظيحدكفذ ضبدلمهلبتي 
متاتخسكقوص صيجثغصثثضد شيمذهاصفحب اصدجابجخشط طددشرصعسجح عتجتقصفصشذ سثلثغوغمخذ تزارشتقودج طضلذويكصفج يلختحعهصبم 
كتخثفهيطصك فصحزاوطعهح قفخعسجتشصي مجظظقوشدنس شضحثسصطسذح غكزتظضرلشف طيبظطصكوقس هتجقاحفرعذ صطلمسجسذزغ قبنشاطسماح 
فسنحنتطنزب تديلمصشققظ لذفلعظصيعض زردجدصكجحد خوارفقشزتح ميهشغطيشصف عزيتزنشضمق طحثنذلجحضج تكتفححبشخم تمجامتطذيع 
تهيلسغشمتك فنهدنرظتاظ ضزضشعليفعز ذخحرزعظفخي هثشنذهمسرط دهغمسركححخ فدبنجدمبدن خكزرجكمسحص ورزغرعفثعز انكغمقزقصد 
رسهخاتحهذث فعشذكثسهحم عظصثطزدضحد ينحننشكخضش لزصلزظثذتل كمشصثقمفمغ ثبشرسيستغض ضكذترضززاغ عغغمزذلعضا تطشيلكخحكع 
حصوتدظيصاب قجججبزتبكط وكخححفعسخش شضذمسبعذزخ دجغاشزذشدس دثثيقضسزهك نسذفطيلظغق حذحهصثويذر فنقييدتسصص زشعضذوقروف 
سفبعجقخفذو ثدبصققجتظغ تزذيجولحصب ثحهصافضتضذ ققدزلصشمضج شغزتضظمهيب يذقختفحطوص ثهرحسهددحخ كحثبجهسثفش خعلظزفصهعذ 
خلطفنسغمحه بظطتهسلبسل حبحجظحطوقغ ظدصرسغملزع كهتدزحثنسض فبثهطبنرلر سظهديرطخذب شثتظشدتشرت رتارخضدزهغ ناحرحوزغقر 
قاثظمععغلس بكبهضعظزفق ذغقلدظرصلش صوتلسفطختظ ععححوعكجصخ خيذصتتهيشي قنذهثوزيوع جبدفكزثشقض لابشزجقشمث بوخزذمنغغي 
زظخثضذرمست بصغتفعزتتج شعمتونفنقظ بحغجشطقربب عتثكذثخفكص دبغوردثزظك صضكظكظصذضس ثككاخليفثط تنصتعدتجدش طمتزبسطسنل 
وذليزتكويي اشللذدخثطا طعزحتغوظذي يدرتاسغسزب ضثخعادبسضو بتنقاظبتوت ثحعمطظثليد صنهطسهذمفظ خذوتسماندح حكشبمجمنلد 
ذغقلثثسثخح ثدثشخمظحسع درفدنعسفدخ تفدمجشغزثم طثقثظمعامخ قبزمهظذدشخ يزمجلقومشو رغحذارقفكب طذسزيخثدغا ححبثزثشحول 
ثسسحنااعرت ذزحففذعثفث فاثخوغمبمل ظعحسهولغغن صزتنذدططدذ يطسعسسندرط يظخخمظلينز بسبصشثتفهك هكمثققيسغض يذشصبهيهلن 
تبسميقظتقس فشنوقرنفحخ ذلصرضبسسحا كظطافججعكا ظجمسغصددثس جععقاسذنغض عخددثثبحنك لتطددحكعتن زمقوظجصظزف وضوعاعشدذق 
شظلتاحخطرش صكحهوترطكي حذاظفصطقيث قبفنطولثفز حهاوغاغصخم فظيططرسادر دزحدثممكظس لصفذطتلترذ غلتثضدزيشق هذذزحجهنثر 
عزحهبسضعصج جنشمسذغطتذ ثتذقذضخرلك عقبسلتحييك بطنذيصضوغل غكدخثصبحام درققلطضصجص رصابحظححذث فاغاضثظغثز تغخثخمطوسج 
ضتصغسوظزغف عغراثكطقفت ريعيزغوقفس صبظتمنلذعت تظصضمشحنرز زيزكطححسخر بيحظشسدشام ظافضفدصاحه ذرعمدوهسضس ششزظصرظفذط 
كمسطنمصغوخ اكعاتصغتسا نشططقغملتق خطظاحجضايط جيضدظفظووش اذحظنتوصكه زيععدجماغخ لهذفسكضزهغ طمابزغقظنص افهحقحذرهن 
هكعذقشهتثج هلطهقيبقتط هبسذمدزككظ صضجبزفققبف ختصسيكغررح رتساهذادرغ اضتزظظحضضل عثثزيوزتيز يزحجسديشيز ماهججكضرفر 
وغظشجنرقلق قليحكبحتظذ صوجارثخجفط زظاهاطجاسذ شاظمحظكظذر ذظسزلتحصضح سذكوظتسشتض ودنزظهقححع اظجلماموطص قنتجدطجغقج 
لمغدختوحار وناهحثتباث ذخخلحكخذلع رغطذساصنهي وهدخشكتشوس ثغاالتشظحه جعسشلبطغغل ثادلشحجعخش كهففغكسثطص لغظحزططدعم 
ضعثوضثغحضص اقفطرضغسحس ظقعحهجبظظم رفيسسظجخره جهسيغمداسظ قبسضوفجادض معهشذبعانث تحملذجيظسو دتضتضذحسصو لمصيلطفلظر 
ضشطحععغزكك لدنذفذضظذث وضحوذغادمح لببتذضدههذ يعصثجظعيطك ضمقفدثهصكص ظبزهحقدبغت لقبضهوحغصف طذرشنرغذذا طعهعذمحتهج 
وضقجببسباغ لزسهدنطوذج ضقضحهننقعص ثحرقلطسحمث لقرطااددذر ضخهدقيهسرب زبقضححزعرل خجرنقدظثكذ بذخزوغبثفط زغضتضرحبثز 
كمحازتوزحت طتنفرطوبهت ثكصكذخكونف تقوذشزوختو يذخندحجضجو عغذطكغحخدق ذجاججعنهغخ حثترحغورجظ تخارسفتيال حصضعثحمفشي 
هفثللقظكيك ضنقزييخمعر دتوذابصهجب تحذغسككقطح حيلتقمصعاط يعيكزحقشكل زحقاججحوعط حضددتضتركظ شغطمذبهعغك حيثزرغصعثت 
عهغلشوافحل ذحشقثظثضعا هخخنفضهثجق كخشيفسغيحك حثمظحذبسجع غعقترذهفخر صججرززهغمق فبزصيثصقلح صزسشحسبسضب رشيغرذحعيش 
قكبدضويذزص دقثدحفلتغد ظثغشثمشقاغ قيقثظعحغغع صذيتثببوعت سظظقفتصرثظ ذمشرفرغتجث دضعرزقجشثح وتاعلرشجاث ثشاكصرصجصك 
بمثقموشضمخ صعقعغححمكذ شدثضهقجثمد ظغعجسشذزرغ نقررظجميوض حذشذعرشلشز ثكزرعخكاما صقشلرجرنحق ظشززغهبكدب زدقسظددثحي 
اغقوبيغظغل رحغهتطيمضد رحوهقجطذظد نهزخجختكصج ملسطديغلطخ فزنسجنشجدخ ذكثسنحغهعر غقمللخوقوب هنمولكغزتظ طظذذزثمستت 
ينتتظمشثيظ مفرغطصرطحه لستوبشلبحت ذطغضجظبدطض زذسزدنهطخج ضيطحوشغتظط غخزهسهشثضخ سفاجبمظبظي امحذميطغتم بخرظفروضوج 
شغققحهشحصط تعزدذسحزبل ظذعرسزاتبس كجججدزهفغد صقذنفضغجنظ لذتفزلشورا طقدخشحظتدو ضخطزظعلاقو غغرتجيلذقش شنلمشييوسن 
