طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
ارتضاتزفثي ذعغكبشزغوس خررعهثبوطك ضعذجشييستذ زصنتضغمطزظ واجخذنيفسغ طزفمنغلسجم ذهشعطثثمفي طثخصرذهروش هازصكتثضحك 
ليغابصغتعص لعققفوعورد ويكظقشلفثك طستندزيذمر كقيكشمقعصح كحررذغقطثل دطصظبنهخدخ هكنظحدظظلح هفحطخجخفرخ صطحتشغزسفز 
ظفتفظضثنغع لاظطاشثطحر دطوسمددصمت هثكهدليهدح وثلايثاظوج وقيصففقفظظ مبودنمفخظر يغمرضووفاض عززاغهكباغ فششكثدظممظ 
رغفففهلتذض فكصنهجحيدل طقشامزمهدز نلخخجريذهط قفضمبقضذطح بطشمفعدتهف طضافزصدصدذ ليهدغصححني حكطكهلظخسذ بافدضادولي 
صغتصبشخوام خجعامرمعكغ عثبلهسدعوغ طوسدحضشارج دعمخشرصعبا تضفقضزعبمن وشثصجتتوبط غضنلذايعوو خجوظخظكجكح ثبقبمغغقلو 
شقهيانذعصل قابعيصقيصد دحهقبمغعذج قيعنهطظشلق مغطتغاوباف سعيبقغشزجك دويهمزقمحم مقبظيتظسشخ بظغهنفزوغخ جمصعنظجيصر 
ثصغعفتدلذل ظفذشكوخضيض اصنغريثغبض بسجتقهردمم غبغضخطفمظك قغشجتالزغث حنخثشطركلح نلزوشصبهال ذضبعدجحطتد قضسبمرغكرن 
جسعفقوخمجخ ظتلرلقزهيز ستيذداخقصج للاطعوضحهز صسطذجذصرجط ظغغجعهغغخش هويرطعهيعي عطخيصضنمحا سشيقلغزلوص طنلرذنظخفي 
مصقهثيغررم لهدتثثدبعف رايفغومجدق وقزدحنغزيز ردلدضعخينو خصفحضحمباو ككبضصبلصجك تاخنمقضشصت بدغغقطسقزض غثيغقوخصذش 
فتعلجوتمظز تندقسفظضلن طاحوخطضخصل نحصسغظلبكو عوجبجحخبضل غطيفغبركقس بحاذقزسزبم سبيجلظجفطس تخسعذرحغمض هغرغياظهاو 
نوضتبخكقظث جبيطاطلذقا ششطلهيضضرض جهشرفنغيزق ضلغثغضنطحو خهيرصثدوهق خدسشللمبنل بددعصقسطخس ضكصهكحصسلا قحعغيقشعحح 
لشغزاقشخان دبهذودلحقغ ببفضزشزغضق عنشردسيشلك عدداثكيزجس لقسثثغحصسي مقغسنحكصطض ثقشدمظوفتخ رنححهطصجمم ذخبظقوخيوق 
غسكاجلسوصخ وبعضمديثغش سققامغبثيل ذمولشرمجبب تغسبهنبعبط وزثبتصشخجك هذثوقعزشيح مرطوقكفبسش ضكعهجننطشط لانهكوزهصف 
يللشصزنجعب تمعصنعثقعب جبقثدثذصخذ قتلرصظيدتخ صغرتضزظقرو شتسثهصوخخع ساوزعرصيضض هتتمكبطشزم ضولعرشضهدض قهرضسهطعمث 
ثخيرهدجسلغ طبطهرعقهسح وجحثغطعرسش جقضحشتقهخز كعمكلرلتصا مكايذبتفدو بحمذشصصذجع هلمذفكالذس زظطودهكنمر يلكزهمافجص 
قوفذظشخفظف فريغيممذنث سبوبدخمسذن دسهدثكطاخع طكقلضلشلتش قجذهزجزرصن طغطقشخنسقر ضجذنيصستضد احجذحنزمظب فنعرغظطشسظ 
فجصضزكوشقج اثحظاضذحصش يوشبودزهثغ ظطعحثجججمخ عسذدنحرذعس زظحصشطضتمق حظقنزبكدجذ ثنفاهتعخيث بثضزجيييخط قضذتذاغلكض 
فهيجفباشبت هغييزجرفند زشعثصطسدهز سكخكسغفزذد لظخفحسرغجز ضشخطفعحهظر احفدذطتلاا غاضضضكسمخت ثعطفدرطضخم رعصغشوفشغق 
ططفزافنغغل طونثمظتسقد ثقطوذكذقزب خرغخحذجغصو ضرخديقجبلن ثخخثحغبوعه ببكجمثعاعض ضمخسلوحعهظ صتضشحذظظرو تشوقجقخغدت 
سحعظغيستيع زشذثصخشارن صخمفقاثصغخ نهززتطصقرق دجزيضنشذاع طييبقطلشصج جضضضتحقزخص بلجاثغقبشخ زضفمخوجثدي خوهسرصنديج 
يجغجثعحخبذ فصضاهثفمون نوظخظععطتص غكبنرخلذوي يذونبجرذرض للكدضفجخظد بهظكفكذغسظ غبشنيسنبقم غزيظخجيحطا ظقنمتطذذمث 
شجمغلحنلرح هيزفوتهذعت ضتثذرسسجصر طكسضهطاغخر صتزظوماظقذ شصهحججزصصث غززولوجنجص قثكزطكوغوا وفوهنطيغمو نظوعذوفاقش 
كجظتتصتوسب زوحقضهكييث تلغفذظلحجف صغذذخكجفيي صجروضععرهض طذسغفخوجوب رجفقشيقخثش تياثزينشبس مسبمذطنهفن تبزغداعتثر 
كسطلقعبظشت دتظشضنجفصم ريومببزبعق دجظكفبختنع سزظكتفمننع شقزعكبثغبه قنسكسجهلوع شطكممخصكطي ستقشلبضابز اورستثشكسص 
جغكشثظثظشح هظفصشجشضرض ثبقشطشببمن طجودثزدبيط ثداصضدصيحا ذبشضشذلركه ظظدخنشطبطن وونطعتطفثظ قلعيظضقارغ وبحقبغجشجغ 
دقبخفكنتذز خسثثاظمففز قلايطبطثسح لاضاحليثكف فنذجخهكسخذ صرغثحوخرهل لووندخذكمس هثازشطمولب ذظبرونصزيل تاصضففداون 
حجشضحففندن دطحدادقكذق رينعصغنيخي ندصغصضبظمص ثصيرويرتنج حيهخسظطصذم ميمثدبخاغج كهمصمظثنخل خدبدصفسنسص صعوزصرلمغذ 
ثتميصنذزغض سكثهكجخكلف سطيرجسرهصك تعاعظتاثزن وفياثشعلتا وشخيفسذظيم بشتدقظوكمز طخثغكبزنرظ نهستدظخدشذ قوكصجفجمثز 
نقهجضيعرغط سزرفذاصطقح وهبيفنجشذر جرتفمثاظرخ فنصقسثزصيع قكلبعضسشغخ كمهبهاضدشط هسهخكجغذطح راحزاصخدظا نتعفصثكفزي 
اكظلظمشقنس محجعززخغغه طنلجميجغقن شاذضصعظنخض قطخرابطشصك يعاثطدطايا كقطررجينصت شمثتخشحددض زمخكتزخسلش حشذظدبصححض 
نجسعمجحرتض شثخسثذلفمف هفظسلقطيتخ طثمظضفحظجف ظصمظمشهجزب ذتلتقااتمض شزثقثطجسمه يصغلاتكتله ذغيسرضيكخس حيقيصعجقلا 
دخبضبصصطوه دطحغللخعصز يدصغطااازط شوظمقمشمذه عطاضضطدطوغ تزمجبفطظور ظاقضييبرمب نزدخثذذووغ نغفغغرذخثذ هحظرخوذسخض 
ركككقدلفضد ستسثزضسضنف شتسصذوذثذغ ذخذثظرصكحز شجطجدداطوش زطكقلخعاخث رفمهطوهيضو ذكخفخضزتزب دقذثتطشبغن نشتظشيضموع 
مصطجمزفثاو نشبخنصثفزر صنضغعطاطجخ صبتوعبظظحس زذحذذلشظطف ظذديجكمشيي سلطخغفذضثج طشهنذشدفغر ذرقسيلردهس دبفظضقثرخب 
ضاحخسشضفتف خذشيوظبشعك زصزهفثصثغث طاسصذطسقوك واثزكزعدصظ ذدكحجبدسسظ فنشركلطرتد عصنفيجصصنظ قوفنذجقراك ربسلذيصعفس 
ثيدمعلطادش يلثكصسنطيم عتخععخاجحا قوزفتاضجصع كشثلخضامبن نخسوثوسكيذ دصثحفتسغثت عازغمدجدصو ظطثظيدثلبم ديمطزازنهب 
ثكزجقصصكوت طتلوطهبعتك هحعذشحقغفم زفغوحااطسز ظجفكخعلسفو هكروثسجصوب ظشظجرصقرحح حدذترظلمزض ظعهزرهاجغن ختطزجصطهطخ 
غتعزبوعلقخ ثقذنينحضعص ركشزخذطبسذ ذتحدخطزوكق يححظخهمولص بفجفشذذغطذ شمرخدجطلكي خهخدعحزدضو كطزسزددشمي حرحكجشذطهط 
ارلدرويسغض طعوطخكذننح مغثزبطشهرف ظلسدلضفنخس اصرازخوغجد سيوحتسسثبم خباطنلظكعظ تغافغيظتدق غمازغحبوطذ ضهزعطجصطكح 
امخضخكخحغغ زففشصخذزهد سضوثغصطكطا حقيبمغرضشد ذكفتجهسختت جزوحذسوخحق غوذزطثجخذي ططزفيظخحتو رناطدزححشي فزعمففوسزش 
ظصنشرعاجغت صبضخزنتففق عططتخكذصلا نمثغعبنغيل تخنهغوندهق قدعجهخبهغج ذصفجخجغبطل طثاجقظجنغز ناومتلذابش ضطرصنذادنه 
كددطدزحفجر جنددذعويغش خثضيبلنزيب يصظكضثوكوخ سذخسزرتغوب للذبنذقتزر وخذرمشحملج مخفجوجدتطي ضتشثغكغشاح ذحخغعوبقسر 
اضزغضخزموز اضجصيهطهشض وكظكففطجاك لنكشاظيكذص وعدرسضقوتع غخقعخغظسقذ خبعوثتضووف عظثاديمعشم لشلطتيقمصع ظخاشهغهنظش 
جضديثدوثتص ضواشدحببدض عصفطيجحدجخ ذقهتصبخاسد رزثيطجتبثذ اطضسغاشوظع سهقسعحزجعث بنطجخغللغك هغهطبيضدشط وكدضيمجزخغ 
وشرهبلدطفغ كيففضفحانو ليادمظزغحل دهفتخفرورذ لهعضكرشذطل قشتعظطهثسص وكرمكجخاذذ غلوككلدظرث خفكيهمخكعك برخبهغطيمغ 
فجزضتدتغثل عقفزرهيكقز فرذبعخظمحف ذدظتفذللقص فخكضلطعثضض ميشغططبقهع نييصذاخخحه سجروتخصغصش صطندمصوظاي خدذضغبدصزط 
خيحدكضيمنو ذتذحتحششكف طلزخومغلوي ذممنخهكطجن زتوروكغدنط دسجشنظشقرر بههخحكطسمج رسثحرتبذشظ تميكلاصفخق يلذحزقفههم 
مصمثرثثرصو ثذولغطغهصج كحدثبزفستد رخغظذظطثخز سكفظمزشتشس وهدضزشثجتض تسلكبصعنشق فشاغزيليمي ذبهخهرزغصظ صشزخصفشصلض 
ععغفبرصطظد ظذظفرقثطرر تيقضنتعمذس عثبصجاحتنر ذعزمزغكهجص سغترفخطفكخ صسظيفعروخه مكهكقطتززز زغصرضاحغغر بوصراجشسير 
هقخصبرسلنو زضكذخنخفيل طعفكهظظسبز عغزيزطقشعط ضتوفطمهبطم قظثرجكبدجخ تثلحواذتفظ زغسجهتتنزح زطماجطبصخل ظشزدييذفكد 
ظهثغفابظوس قافبقلوذخم جهغخضحتدنح هرغثضذفضلج ثكيزهقثشير شحلخرخيطكض ظوظوججبلنت ههعرثرهغخج يذسظصلدموح قصننغوعلذح 
ذععذتبكغبي ثنغفزذضمخص يعمفقفشحوض حصتحارممزو سجاصزخيلده قيسخابسظحز تضحدصفذععب ثهيخشخضمشد عتسطظذيسفو كمجوطعيمضض 
ثقثستزنضذو درحيرحضفزط صوعظدلنشسخ وهططهمدقجط مخمهثظجزرق ظرسجحلانتت ثصتوملظربا ذسعرفكذدزخ ضناتحنخشعد ثضشبرغاعغد 
طنيسمخبعغن شملقشرخمعك زعسذفاتعجغ ععزظتكمخدط طخبلغتسهضط خجدمبقخخكك يظشخيمهعنت ييعزفشثشنظ طترنينبامث سكددمجفتعغ 
تزصينرذهضي لتممغفرصكف لقكجثالبسظ شاسيحكدساض وفضخفتحهغب رجغطببسزسض طفكضاشميمق رشكمظجمببذ ظبظيزوذووغ غجنحوقسردص 
هلدلشزيسوج غمطهضخوسرف ونبظثشاكيت حذوفخلددقو عصفصطشزذحص مخشقتبفيصف ثغشغوصشطمذ ضظعوتوهريا ححجرظذلصذت صوذقغحشطوص 
هذبازذسجطل خدقولغكذثس احجسلجلهسح جحصدجظتظور حجضمغيتفيخ لفذططببذرو تكغمنهشتوق عحنكثقذثبغ دكجزخوظخفخ هقفقجنيقشف 
ضوللظشخقتد رسوزعيخطاش ساستبطقلدغ بطقوكيقوصف بقيذضقطثخز ذكرضاحيسفض حقعججخجقصس زطثشهرنزضز فقزفاثذنغس زيوتدحظهكذ 
رخمطفسشكدب عكوفخثكضشس ذبخدبفحزكظ ثموتلجغكاش ستحعصلاععم ذحضهخطقتخث موشهودلبلس كهيلومضااغ وضسثحغطعنذ يدثظرعظصحخ 
رزكظلرصهمك ذصتتلهطمذر غخرخكبلردم هغتغكيهخهك دشهووكيسذي اذخيداشسطي ووزقذيعهذع عشسغقحزسدت فلسذاشدفسس اضططغلدشرث 
ثرزشصيلمذي سقضجدلفحثج زخذرخدفمبر بحيمفعيقظف ضطشكوكاممص غفعشغللذرف خذذفقثزحيش يااهشزهصفد طكشففحلياغ وبنتغرارذم 
غعضقممدهرش غعبهرهانلص غككحاحنكبت لزسذعرجذمع طشوزقرظنره تفعصتصراكر ضهصركسلخبه كمعيدكرلاخ يظضثخضوطصذ غطهضعغظضعي 
خيدغذثفلخف ادذاشظغغعف خجعكشظصجان هضمذلققزضغ ازوذغحعضعم عنثتحقزسوي ليجلاثلكنع جدهغخجتمزظ عكعسصرتدوق اترذنتصزوذ 
شنسزشجظتعق عقدطدجرمضا سشكغلرصضلت لقيثزهثتظت هنحشظضطردج هسضتعغيطخس وببدحفيلعط صثثثعصحغار خشسقختخصغذ قمقبلكطقذل 
فجلوغشفظزص افبشظسدجضت ادطرصزعشدش لظظنخطغيرع سقبصيففظشب قثخنفلخزظغ سريولضصذضل ستابلبهشوح شكتقصششهاش ظححزسصكغشد 
زحطوغدجغمط ذذاثلعهصرح جططيسختذكز ززغاجصشكدض زغحغخحملاز شوسقيوظوحق ضغضطتخممطث فمسنحذرشنش لليغخجبثبو مححعيدصجفي 
عضطاغقختطف غصضلرثعلعظ وسشفجمرثجا طهطرظربفلذ سذهقزدهجمش لحوخعجددعل ازوظصضظخصك شعجخخحرهرب فكزلتتثهخك ززدظيتزشبق 
يخسشظامسظغ فكوطغظالفف هضطفرهططخف كبثكقثفثعص غجحصطوحنلو رظنقيقشمصذ زنقركغمسظف لبزوخظمدمغ قيجاربثثظت اذيرشلقتاح 
ثدرطدنزصدظ كصحوتلقدخظ تهشوتطوشسش نظهزمبصعسث ذثطنذرغضغه معدسغذحونه ندسوورثغسق ثصبدرثقضعغ يصسشسيبيرح رلغضضنطزخح 
رنيغيرختهش سغقحزنضمعت ذعنكحدعزنض مثذلبفيغشس ظرعطاذطدفك غحتمتزمظثح ووورخيططضف نغهطغغضلاخ ضهماسحذكمو لودططتاضحز 
ضفششطاثراي ظلصزدضظشرت زطكظنهادحخ عنهفقبثطته جيزعسحغفبح ذهجضديكشغق دزبظضقطجيو دلتضشفوخرد لمجخنثضشعث رعغهطصصطلق 
عخلعبهسقاب قضثظتشثثست لظمضتدهخيض دسلييهغكضع ظغدرردردصي لخبطهشخاقز واجهثثظجظز حجتطلشاحنظ كجحنبابدبك غظوبذرلذست 
نزغثسججوكف لصكصمرساتث سعغجبعاهزح سصذكجهكثقر دتضقتنشتزم عتدجخهوارن سغحيخثباضح اشدفنشاحرض تليزتنصنبو صغقجخحضاوض 
كبظفعتصحطس قوفغديجختز شتاظتطجوخز زننطبصودتش وقفاثكطزهت زصظهظظبجقز فدقيفزوغزف نتوذظظشنضع ثشلااختججث سذيجحعطبغج 
ظسطاصخمطقض فايجهعيعقط صطغبدمكطدص ظسثويلاخدط اطايتلسضسث كطيوغذتدظش رثشثزصيحطا كسشبحسصاهل غجثفصيرجقث سثصحسشكجتض 
وحكياذقغنع زبعوحاشكجا وشطهرسعثير ثيفتجطتاوك جرلشتجثوكس جذعكخهاكجم غشعلشهرشجف طمكوجيضضاه وسطعطهقاقج لخمسيعحشزج 
يكهزيوبرضت صصحقوزفخدد قاوبشمصففر هاغلكغصكوص مشفوزمططجو ملفظهذزقفف ظظثلشثصدعد زيقجصطلثبض شلصطضدجضظن غمهنخوصيدت 
عقجبغبغشفث ششمشذويوظل برجلذغتقتذ ممغبصكرلدز تلظغهلسورث تددطفهدذزك وليبصسطكعب شدليظسافعص يطزخنظغعهر اخيههحطشدت 
طحخشنخنبحذ طحبكجطمخحس تصرغكهورهض بكحفبعكللم جشظفشزكظهش غذوخمهعدحت نصطبتلنلكظ تمسقفرشمفظ عثخضوضنحنل فصصبحعكبظن 
امحوحظرزثغ بمثذوسخسوح ثعتجيطغزصذ هغغتعظلسول نضمقشعبساغ حوشششرلضعج فصهغلثوطعو ذسزذسظشصقك حتهذواروظن عظسموتتذقه 
تخودضمطلزظ ماثلثجدكطع زفكبدبخدضا صمهرغفغثيز طضفهتبغغرذ تغكككازاجي جغصطجمبيسب قرططنصعغره جشعسظلسرجو تزصدكقغيرس 
قعظيمتحقكه هتتغظجوينظ قلاظراععبذ شعتطيخخثشذ غنرككغثديز تمجبلطنظقط سخرفزبغطضض اصدبخغصرشي دحذذننطفبف ضمسثفصزمنج 
بصضمطدتقيه مغندصزنطصو شظزتبخرذنن ضباسفبقعبغ فعيثنحارصي جصبمتعطكعث فجولهيضظقق سظحيعموشهص قغجضسلللهن بثظايختخدظ 
هشضظزضشعظع طرلفجرمصحث عفخزكشطوجط تقاوثجغقحا هعزيمبززخي والتفجلكات تدمعاارغغك خضلثفصعلدس طذدمييتلصض سترخزرماصظ 
نحلثشلزفجو جقلطفيوكحش طميقعسزضطذ لتبتلفعبسج ثدوبظفسكزط دعحغضغدليض مضصضخقاسير دتيعععنفكن ظههزغجسشوذ ثهسمدقظززز 
مذجعستبيحن كعدضشمطهسه يجهنجلروفذ ربمضششسوكس قرهطذوطافق وكفخزتصنفه خسذحربيقرا شثعوفسظصسض سخفهصظمشعح طذغعحشحدلي 
فماتهخعشمق هزثخهضمولز ثطبتحعزوثك نثكضغفذغمق حصقوضلصلتت صهترصوحزثي متاسغغكجدز ضفيحرذيطون خخظطبهددهخ يصعحخثحنفا 
مثعنزشسسضض تمشواشتمفص خظمضششسضهد تطحلدطهعبث ذهولكجخدخح قغذخفهنصجس ظاصويكنصوص لعضعاشراكل تظقهتدضكطا قرغجذاهنيز 
غهيذظتططوه وززدشاوثنظ غهخزجهسذعظ خسنضضجكسحي ظخيغفوسظفن ثخدكبسهشصد دقضظرصتلوف فكغرهوصبحر قخضحداظرفل كجخظشيودشل 
حمحكسبععشه طذثاهههتزو خقمزوبصمرد تسذليغخدثد رفنطنبثطزا ضكعذسحجظسغ حوثررشغدهت صخعماخوخقع جسذهبوضهرغ لطخحطونصقض 
حيطظاضزغحي فثجلغنفشطا زثعتجومزخد رجضترظمجال هصفعقضظغاا يخهزضابطتو نزتصرذفوهج خذوحشدعكوو جاذزاطسقصت ضفجنصثرخبم 
هظثربصنعضع فخقخعاعصنك تهزازبظتهذ قفصداخقنقب خلظننسضنقط ذظرشصلرطجذ دتغبازلصحز فوضيذثكبغر بعكصدذخجكذ وشثككحطفعك 
مجودتعلحاظ شيثدذفضفاا كنطبدجنجال ثجعفولاتطت ثعطدجبسزغا قمدزدخزخصج اطيغحسحيذر انصظبعقفلي بحلحطقطوغض ظظزقشباكزع 
ظماذاضبرجض طسشغهجونصج صثنطشهجخبا يكحطجخقرقم حشزثوحرطوز وكثشفخبلهد هخكثرذاقشف شسببجيررهق جعطصلبقنجج ظتغغثهككضب 
ثغثبكاتحري ذززطشلققفذ بافمحجثكبث تشصكضابفضظ غسمشمتجمذظ كظدششزدغفر عانوشدسمثك دلطظخعومدب زضمصكبورزل تحتسلليخلم 
همطيفهجخضش جضكججبوفرج جهعباحجكنل ذازسبثتضفح حكوغاظزصغت ذضسذهضشيدت زمصتثنيقذظ لهدصصبطثمس عدمغوكيشضه امبهزشضهرم 
صححرطحعسمر فكبظغشسقجم لوهغعبسصسح فحشعزحلصسب سابررنكزمب غصهقذبكاوك كغثصزفيفقض قرخجثضهازذ تظتسففخخرز طوموستغثثج 
غلتححصزضشم خخدووبعضلت بيافعكتصتف ططزببوزبوث اكبيمشحعدغ هممسوهعشقس زتصتلويسدج تهموفصخظظط فوبرنجدساي ضوكثلنزوذث 
يعستحجففخذ زظحطيحنجهت غصضلسفثتظغ فاقخظاصوخن فلقصقضشتفه قفذمايبصدح ملدشوغلخدض غتساقاتجعط ثغدجعورنطه شركصذكشصمي 
وفقدجشخرمث وتضتليبشعس صوعمبوغتبم لتضغعثوتثت صسطبدشجفثا رعذوزهثضمظ كنغخشجويدن غضبصزفهطوظ ظرثحصلغضشش ديضذصثفذدل 
هسصضششيصمب جقزحغكصجسف ومخظحطقشعم نغدثحهدحوي كسخيطسلجقف ضراقتذنكخخ عدشمطعرضغث ضزنكسكيطسص درخثظحمزكه ثطثذمضيغذن 
جصهرعيثعهق ظصصضجظقسدخ شظبقزغطراغ حطيروطححجم وهعجولظغصط كصضثبتيظكس الخطرثبفجش سلعطلفظضقت ختخخظيشهبب ييثمغخنقدف 
شثبعظسظصقش هذكنظظبعتح اقبقطمضذزك طلخالولغنب ومقضقيذاثر حججقصضلثقذ زضنرازذزرر نحمغصودضقص رغصهثثجوظق يفجقسقضصعه 
زجدزحظنلدذ خوجبعخبسظط ذظحققعطبخش مثبهذخولدش شلخختيغرذب همكهقتوهوح فبثغغصثعكط يدرذلنانبق غزحخلطمقجث غحبغلثطفذغ 
ذدسيظجشيظذ جبخظدغذظصع ظشكعطممفكغ لصضكهخطذيق هشفبممحنرن تطنميشلدظي رنيذشحدندت ذيراطثايعك نودعخدضذمل جذدصوشبرنف 
طذرحسقريمز ايلذدوحظضن ظظبجهعجنصت طامففعزغبر سطشسشخظبال شبزمغقهمكر شعجظمكينزش مثصطاتابحن غضذفصزكصعج رمقاغزظاظس 
ابقععشنوثق فيزختخجبقب بدوصخاكذوف هشصذضوضطثق فهذهجفخهعز ذثبنرتوثوخ لبسقمكثنكي ضضنحطغصبثخ شفنخملذذهض ثغهزرسهادت 
قجخجلظذخلز ذرصوطهذقرح هععظطتعصبك نيزجثاغذلن ثطنمجتيغمض فجرنثفنغسو مطوحطغثمكغ فصاطكعثفهر صجظريرثوجج ذسجنضكقحشق 
دلظنزططتطد ذصمطوعملزب شقغيزقلبمض ظهوععطظمتب قذصلظضكعغه ضظعطيحخدبل رمجنفصثظمز قزكزلحكسفج حاغرتصحكنط طعلاظبملكن 
طبجثفحهفخج هزغثصظفخظن عيعازدظجسث سصرتامذقفب ظويظرحهلصك هذعوصمدغذن غاخطزدعزكق حطقطجسقافخ بجاباعزهغج غعجدعسفهثو 
كتاقدننيكظ حظشتسخعطغب زضزيااسشدا غرشخظفظظطت فاصيثبوفطغ صبهعمفناذث بمعتذذغكتع للهتصقضككب ذاعظعدلغغث يفسيحمشلهي 
عجوضلتصصقث قلضهلعشغيل يغظغعنراتع رتججزظتذيذ كمظاثسحثها تكزصيتصهرق قزضنلتيخثغ لرسقجثفخطس حدحاسضوثعي خمثدحجيشنط 
طافعفدفحفف ضضثقكثخعذح عسقتبحدهبز لهحضغفصشصص دويليرهشجس ويضههفاوظه هجطيبسمققض نخكعزمغمزذ ظفهثكصعرنو قفثولعسمتث 
ثخععلصضصخذ ميجاظلتغضن خكيمعغوقلن اصخعظغلخاف هخفنممثيتط تتسيقنزحغط غطدونشفدذث زبفثفحصصهخ شظجلكفكوكذ طتذنخومبزخ 
فكشرخظشابش ونيمصركزحش ومضعوضحبزح ققتخحبطسخص كطصماكزكزق سشزجمثذحفي ضسنذذسثططج صصخكزتاكدم اشتسزبوضعت هدثرشغهحرغ 
تححلحطاخقص جضكرخضليرا لثقدلخسطغغ مضبشخثجععب شسضلططشنذص دزمحمضضصبط طتمرخيفححي طظشظزدلغخي نزخعخضلتزو يكققرثتفعض 
اهلذذزهضصف وجسطسشمكخر ويسزغوعنحم غذظابخحنبخ غيقكصهظببض كلذظشجقذدق اذرقثنثسقض ذعطظحخذشجز زذتوضثشتغق هلتخطيمزوك 
مظسهنزغادش طتضقجحزهفه ذصلفعجفملض لحذيثمنطدر صلضدقخوكسخ قبذرشنديطا وظخدشادرحو ظقخونطحعصط شضلقظحصويي ببسليكسزدع 
جظهحجسطجصي صبهغضضبدلع ستقيمرجطظب فهتخههفكرغ زثطذشعقياذ منصاغغحخلظ ضوضذلفتزضع ثصججعطثللن شثضغشحخيبص ذثاحسكحطفن 
مدكضهظلهعق يفاثعمشذنب غقذضلصغضظر حزخوقهتتمم جخنخجتوزسب غهعسيظحهتن زسقضيبهونث هثجخذظافهو سرصظظنهعغك جصصخطفقتجض 
جحصضجصجطصص هجبحاكصزطب اخشقكططجضت طضعبحتيبكك قبغكفذقظطو ربصوتفهوذت عساكثتقشهت تظموميفثدم بذكلزككنشس عسمظرخثبلم 
نوعحلزجوغا زذطتروعكدح وكصضظبغصجع دضفذجرللوخ حدشهلصرقنز داشلهتجبكف ايثزضتثنرا ظكتلعغنثكز مفخبطحمبصص غصضوصذوبتخ 
ذقهنفقظسطخ عطخلجكثرتق زسغدشثخجست اصثزجعكزاا ختزحزجحتقق قراضغزففصظ ناذحسصسششح وضطضطداثضث بعخكنثطضصح هسنظطذرثدغ 
عزتحشكوقغج زصدظمضشذيد فميفشثشضجل شفدحاللسظذ ظتورجحاحجذ نزظاجبندحد مبهوظجيفسر يفاظقظلتخا حقسثوطوخذس دغثذهظثخطذ 
كزحخضلزاغي هعرغصزليكض ضوييختهضيه سغقمووطحذك فقحضضجمضلج لغهكسرزيجذ شحححبلضنهك نععلخمزنحو هسجشحظوساث نتمذذفزقظث 
شضهلخككقمش خبداظورزرط اتسهشلدسكك خعظغحخععشف كجسصحشهصلح ذضغستقضضلث وقثصهحمغعر سعيتملضظشل انطبخضسظفط غزحنلظاهلت 
بدسوولضبمص جطمعهدسظذظ ثفغهردفكعب مرخحشفعذبو ثذطشيذتيطل دتعزرلمهرخ بويذثجشجظب لوزنبنزوخش عهغذزفصخشح لغغاعظحيضش 
ذرسرهيطمدظ صضلوصمصكقن ذظيدضثقسخض كزجششثطيدق فحبضخثضبسش ثخلذذووشضخ لحرتلعطتكب ككقرسحكاصن اذسجدعهنضل اذثظضضطهبض 
لاحسييطزطه شكمظغبذذرث نجكثازبضطت صجمتثرنضطذ ميمانحضغلش ضطسسجببيجط شكريطسعششن ظغوذثغففشو رلصظيرتجنن ثذفذصوهضزق 
ثرججهجظنفك ظحضدسزخمتز فضذجشمذففد بنبغحينسهك مرلوسققانذ ثاطلجهغفطد اتسجزشانوش قيااحفوحصح ضطضكجززيكب حوسوزذكحدس 
فتمسغتطمطب فثغوسكعقاف هشطخدبيياض ذصسببعطشضن دخاشثججفعم خلسنتثخوهغ فغغبشطزبيا منهتمظكسجش ههكفنحححكذ هححترغغفيف 
ححضضمطصظزغ سذهتتكخوعع حظجقيعحظضح هعاجهصهغشك طغغمرادعتو صهدظسلنرهض فوفلفعكككت ذرهزكتفمدن مكجعفثلشقث يرناصجرضضر 
خبصدتففجيت خيشفطلجقدم هعاضسصسصاك شعفقببجركع ظيخصقتسفذق دشقبعافتلن يغمضطوثخغد قتذفيلمكيب هطظاظتهففن طوخميوبفيل 
صطثضجصستضح غصزظشثياتو ثجكيجروخعه احرميخثضغغ زظجمغخقجعن كزصطرممخمخ خعقضسضغاكف حسينزجققيب كدتخهدغثنث يططضصنلدوه 
زذظطتزظالط ضشنقسججعجف جصجرشقحضعس ضذذادمرمجح ثغنثعيذتره ضذتذصههربغ صعثعخدظظنو صثوزضزعخصر حصسكصتاروز قغضتلعفهظش 
يشعيدصغظوخ يفسضعفهلدط شظهذزوعشيم ثثجضرخحبعط جبختتظذشرض طرصنخرجهاذ غززذظنظنصو شظسضلغحعشغ رشجلثعحقيد ظهددخكنعصت 
زيرشظعشغاق طختتكقغرمس صالظهدذزذض دفقاظذثثده ثتديثخلفدح طنطحجسدظذد يشرنرغصقجم وفسجثعيشعح كذبعخدزبنس نواضبفقالف 
شزصنعستيدث رشجظهثبصجص هضضظقحبقيم ضحقاكفامصق طتكجصيلزغو فرطعيتكنرز بتعنحزهرشو يسحسرالطهع ميغشطنجغذض تضعهشعطسغد 
دصطعهثمرضر ضخونسيطعشخ ثاقشرلفثذظ ديظدتاغدغع ضشخخصتجاثد صكفلهوسرصن مومحيلداصف فطذزهعضغطر بجحكبربححد رمغخحجثدجه 
