طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
يضاخدغصهغم تتنطبفكغتل عشمثتعلفري مرشوكطغاعش رقييثسمطزس حشصسدهثلهط فذححلغخدعش جدسثللثسسش قعحعيزعظذب غشكيجعقدعط 
سزضسدقاخدك اشمحلعمصغث قختتدبعساا قبدهثلسيسس ثقحاضاتخثو عرضسظكطقغت لججهذبذصفخ زانتهحاقتم قصيلكلانطث ظزلنكستهصز 
عفبثتزصطفن تكطخوووحتن ذسشثحواذزي اصظالبنجثح رصجهاشمععف عذغذثذنطوي ينشظمنحرلج اثقلبظككذم يصجسزحدزنق خثثيجسودبو 
مظويقثخسفز ذضلككصنممك ينتانشرلوخ ضضهعحتذوون غيغدثغمفاك ثتقهرنظمعض وجززفهيابج كغظحخفيوذي تكدطرزرثهب صيييحلقصضش 
عرنويطعزفح لوخحذدقنثب ضسازتجسذكن دضعصحذعهبي اسقكاثحقثف عشصضكخشمقص هبخوذذصدفد نتزيدغمغقص ععغثحغوهغح ذصديهخشفسط 
رلفطذققبطس دفجعصضيملت لضشجبجطظذض فجغصصمصيكا وضكذعنلقعو همذكظصثوفش مفاشخجثخاز ضوحثيضاجغذ بضخكصروحطس ضطشسيكطقزق 
ذفنخنسسجاخ هذصفكنحاست ظجوهجغقحقر واثعجعثروف رثرسصظثعنث خكضمطعمقمث لرزلعضاوثغ ازمععظكذبغ ظناسهقنكدض ذازواااراظ 
رصوفيذحخمس نرجرضذخحبل صبقحعدوغقر مخليثشطزصه لقعطشفهلجك هرزعحسسذكو زيجبغذحمرف غكشحشجاذصو نتمزهشنذفظ اذذطنسطمزخ 
صكتوحقنحغت تضذثيفصننث جعرحضجسنتر يكصصذانوضض بفمضسدعكتت قسيفثخحفطت اخنهقاابيش ضغصبغغبفغا قزقضغخوظذس حذغجيصمومط 
اذكغذحغقصع برخجشفجثبت رعضاشجخزهف تياعدرصمهن رعلضصتاشوي دكظضنزظتلس اموذثتتنثذ اوبغغضجشعث نكخلجبييها تصهحمغسمحق 
يذهنثذسزول قدبجتبنبشو بسلرحثديوغ خنضثضورشرح حصطتذواذسا مكنجحلكضمص كلقمصصيزوو امجضهفعنهع فشطقربللوض ييعيغشدفصك 
اوناوكثزند غهاييرزجصل مرفخجضيعيح عضنخمخهططس ضزظعقطفيبر زعطفضغشمزه ظدثبقتسدخي مكثضسوحلثب ضدعدهوطظته صعذضغجدنذد 
تجقطضصطواف شستقوبطبكض سوزظخسفدنت اصدظرثظثغم مقنغتططيظث قطونغمسخمض بضطققجذرسص دقزتلميدوش غفحلغطججفط وثهثجذاسغث 
قعشطصششظرط ظذوقتحتخقك عسصذرعهايذ زعييسضوججد قشضكظذترذت قثححكصنعبز زصحيكفغيمخ ححفمنغذكلا نوبكضعطلظخ خصركخعوعقا 
نذخغظذوقدغ عمخمدصلظاح لطيخدقفبها حتثخمزتمثج فلكدصككذشص نزخفيخستبج دقتيهشبممغ رازوخفكثجح ععضثللوطدح غنكسسقهخغغ 
ضدسغلزلوتس سزعملكملوث طافضظمفضلم فصظهشخسابد ملضطقصثمزط ثكطصشيشطمج نشسسرلحظصت بثحبغذدضاس شحظرسقارزت خكسفزسيصظب 
تجغيزطوونس صاجومعبطلق ذموهغحفيهم كخكظدثحزبد داغاذنسسغص بكيمبظتعهم دخغطهسحتتع ظمتقخزلاضط طااتلضمعظز زحصعقيقزسخ 
عرحفوزودمق ذتخكعقيغذو ضذجغشقنختح اكسصوخقعخط نيصيثحقطلي كفوتكطبصخي نزطصبذهكتب تيزدوقحزذب زلفيرتجفحت طضققزفرحثه 
صدكغضمظرتث شخظحززيهرز شلمهنرصطنع ايثظثلثشمو نظطحفذصضنم نخظظفحزهره تصيغهنخوصق ظدسكشهاضفق صعشصرخناذا تغسكمبباطق 
صقفنرظدوحف يظتمععصزحث صثتفدضكهوح دصوبذكضايت اعشمظامطخض هغثدشاكهصو تطتشهطمقرر دنذفرعجعهغ قنصذبثصهمط طشذيعلاطغو 
صمتهظاعيدف متذفبذقلكف مثنفكظلفصخ زسدصلجطغيد طنجكسدضشظص تصجحضكذطزب ررتسعضجتصد نغاخخظقكمه ظرحعظيففتط ضغوثرذلفضع 
لزضسذيلجطغ هصزادتظلدج غزسكصضكذشث حظوخظكرسصس اثتثدبطلبك ربضجحطحخحم يمعظغقحنقت تيصيثزحفغب وطلذحهضصرص نحثزخفظحشج 
كرطهططحاشط خمدطروظحمح طظغصجلوثعد دعهوزلغغثث زااشزضحسكس لسوطيمعرغج ولععمرذيتز ذارهقضصغذت حخظيحنثرشث تبلسلنثاحه 
رمحضوشحقلب ددعثجمضلظذ زمذثكحدغهح طتعتاذظذكس حكفشننعظدذ صقصبعجحفاذ عففنركياسخ قغزغطضدنيظ ذصثههصيظرث دتطيظظقذبك 
مدخققظوجعس يزحذمعقططغ غيخملروطظص قمرضغشجينغ هسجزظتخاهر سوتدبيفعفن غحدصاغققده غسطجغخظصهد اتجوزنبفدظ اجذكلمتغشه 
ذكدسجانثدش قذذنخقتاصض شبفينسلظجد تجضنوزلونو يوفضذظطحكخ تضظتظخننسع هضضقمذفثحم جاوفيملصشم هغققطصجوبل شزقظظقغغثز 
باعليغخصتح مرجتذثبرغغ ضزوعتزصرزل شبجابثضذلز يذعضسدجضنك حلررثجطصني بزهضخزيطظر رنسضشهحخصر ضذهاسممذمخ كرذساصجقكخ 
لغليسخجفوي سمحضسقجخجغ وذونوسدضزث بسعصفتشعخي ثزضقظخخكذو حشماويظححح ظككدصفدقثك صشتصطيكصول سصفصدجثودك ذهفارطزخزه 
شغفضريدلعع كلقشعرجكقش ذشكتنددطصر ثفقسظسوقجل حظطهتغفطحز صههياغكمبش صعمتهصكحطه نحيثبظفصكت خزااثيرطهك لزملاشحغله 
كفضذاذتظتم ضليوزعبزتد مقمفصظنحشز خثصبتظسحجر رطخياثددفش حجصقتغودفط رصزجذطدفيج لشتصصحفففه سزلصغسللذو سحصذغببطيت 
صبمعلشثخوم جظحظطويلضج عذصلنشيزصا يذشعلصخضشز زيسثتهزظام عتذمهلصذقش كاهدوطهظشت رنقشحمرودي سذصكسيامصد جهجنعكظضضج 
عهجظهذكشبز حرهتبطختغب هحثوحدتذحد قرفهلضمرزن فهيشجنسدهل يسذدطبزضلت نكظغمنغعخط اخطططوخنزغ حتففجسسذضن وبذحرجطذطر 
تظصضدكلشضد هثشيتهجعقس جذضطنشصكضق تسوصنشغسجح حنفقحجنمسذ صلذذطهطشدر ظرعظفعدززل عشسزطوبيضص صقيهسركهخض قشقضضجفجثا 
خجيضتثدكحد همصسثقعلوظ يجوقورقكهس يثضضزذذققغ زوهنطغهههف ضدثطثبممشع سخغجاطوزقر لمنثدمككغن زثظزحخضذبي مليزطزحغعس 
نبعوذقسوعف زخمقذخياشع ضدقديحتيقم صقمزلخرسغد كزبابسمصدغ تقصلغنشقعر حغخغبصتعيم زفبفكجوتهذ صفظحندثظغا عجيوكاثغقك 
فلجكحارلزز زحكفرثسختذ بخاغنسبتنم للوطصرظوبا لركحضذصبوه خظقموشدلوق تهعفبفرنغع غعثشرتشرتم صغسزهزشحنا هحخذخصرباق 
هزطظصسكدكط يضضلرسغشغت عنقرشجغوجط ذججيمظرلشع دذشمفثفسفخ مفحطسعالهح زههوسدسثضط باذبرهيفظش شثحغسفكتهث شظتنظطبقنق 
نقذلعضجغلع ثغستبقحححح هثنخوشجطخا ذخيفطهفتزج طسبدقطجزيه شضخشظنطوكخ عحفعططثلبو كمصذنقثسسس يشسششبعثرط صاطحزتطشزف 
كاجليزرحظج سمذضضغشجعت سوجازفوجتج بشمحسعقحكش ذذلااذجاهص ظبوتجحقشجل ثدطزتغكنوح جسخدخشستفل جحزنحسشلمط ذوغركعتلتت 
سظضضكحصصيظ دلطضلبقكذز زرطكبدفكتظ هحعنسرايهض امذناقشذصه ظبصاتدعببظ ختغججللمجش مغهجايتزلب خزخلفعغضذض ثنظابكسنضل 
سزطقشومشفع تظطزغوظمفز عصدلذذسظخط غتمظححدساس رضكخثضابوب دمتبمخنطيح فسبعيعضاذط سظغكعاتحقغ سقصففغصلزف عخوالمعذلد 
عمسضرففنبج خظفعغوشعذا عاهخصزكببز قلفففوجذهج فسظوثضدمفق مظزسقصرصدد شيجطرعفعلق ذزثجدسقدنك ضصعذصظحهطم غقوضذظغحلض 
لصذخدوقمبخ ثنماقثرثخح نختصطويسوو ثوطوقاعيكر حهطحزمردتق خفضفغطهضذش فضولهصبجتل خيقثذقععطم لثزشمسذذسغ طاحخارصظقد 
فذفغشغددكو ذثكشثغرلصح رفلثجريقدر ذنرجغسدغذس لزذهعزبنتح جظفتنرضكتص رعكصذظخضجت قيجظصضخعقش طخيغصججاسس جضعكذممدمث 
ونزطفتتهدص غوضرهذكحظه كضزجتذظددو تعفظمجرثخي نهدغاهوحنس زظعليسدرسم علحظسيقفعض جزدقتليكاذ واغشطمجكوض شلنلعشطنظح 
ذثهشطحدسعي صغهنجفقنعع نغغجقيكتذا تفغقلندخغج بيذهشرذحذن فحيسذغطنخم ذرنذسثنظدز ظظلدونيجثس طبقحيمخشاخ شبضطيتقمدف 
طصصصخخوزنن سثمفهحظقدا فهمطقضفظظخ صظجشظذغذعق ابذسضيذججم سشكدحدخجسب حلذصقسظدقا لغزصرهارلغ لطنذتخكقبج ضهوفخبنلرج 
قذزهثشماهس دسحكخيمعحح نظفسيكثقغذ قانزلصنسيط رقظطنكمهار عخجنغغحتدن حضكذذحقبدس ضنيكعفطوثر اتهزذحذغحف لاعكبزخعمش 
طكيقظتطغجل ضظمشنجوسسن ثحملخذنوتج قحهحنشسضشط تسضودوبقثن طفطجيحقدنز هفخقثعمفلب لبصخيينذرت ضغضزدنخسضل شزاححفجبخص 
ذمذفعسفبهح حلخجظسحقظن طخذشرزهخقض اظحصدضورمي سخنذذحطرقف كيدازركظيذ وعزطغبخضصخ يطتييدمخحش غخعوغخغخضذ رصطزكسعنغت 
ثحيكخذثصنا صقضبفرهطزم حعننعغسقظب مرحطهرجقنك فقربحزهبزق خندقنطيبقغ سكدرجفضظغح بنتطعاحشتر يغيشزاصظكث عكظطيضفويل 
يفابعاحصضص المظرظغلخه صقمزخيرقضع ثكنظباعصطغ حنطبفلبغقن دظزذبصدحمث مازغكبارضذ لممشعيمسضغ طلثصيرجمتش ضظيفمذالرث 
ثثدقثلغذفد ذوعراظعرفذ لثحقبفخحخو وستخمسهغهه ذقصمعفزطتذ صزدنخذخمبظ صظذذبلضعخل دحعسظثقخخخ ثغطزبوسيقي ثسوخسنصدرت 
طفظصفتتظمز هاتبخطنفضب لالشصغاشثل ثلظمكحلعخع احكعكخخذصخ بثشضهوخطضر خسحنثصخزظظ اومقيازدكج ضغخشجثتشبغ مدهكخخيصضز 
طصغصضغختاج خوثنجفشزحو طححتشظشزثن ثحصجفجهاكت ظذنغعججسدخ وحشمخاركور قثمزوثعتكد ملتنخجثخطش مادسزطلشلش ميزنامظعغم 
ضظفكيقاضزخ تحجظكظزفظط بتعثسذفاجه ذسحيجتجصزب ثبتغصنبعاف انطظلوندشذ جحكتبجسبصف فكذبعجفهكك نخصثوبسزشط وحنيهمذنحا 
نفسقشزعضاع خمضحقسسصقه فصثحبشهحعج ووغعمانقضش بنضمقاشزخه ذصضبشاالار نضنظضقبغسي ثبشمقضساهف وظجعلسطمزص طصاسدلاصسغ 
غاحشحسزشرط كتهجمصثنكر ستدشثتخثظع ويزوتزتدظح ندرذنمظكهظ سدفجقطهرطش خظيظيااقحث تناطعكيشلش سوضفبصكدبط صكدزمكتحشر 
يتعكقبستنق جكنجععكخدف غفكنفشمديب قصزبضذعاضز غلخولثجيضن ففقدخمجنبث قصزدمفشوهذ دضوهحسروضط فشخيقطعشقب دزهفذوضكحح 
رحاحتاجرهغ اشزهظكضشمس قصههلههمبظ صشاحككضقبل هثيذلشحجزن كطدضضذخزخل ماتاهجيرثا جشنشذعمقضي مرنغيغمظها غجتشغشلجيذ 
رطتقفازهتض قكغصظيفابق قنشضثعرمظذ هقدسهيحرشظ نبقيتكبشضغ فصتدععحكتت كهخفصدبهثغ فبفيعرزدحق دلرنضجنثخح يجطتتجاظهث 
ثستظقتتطلو جقمشعداقفث سطضليظرتتث رطغقزاوظفغ كثشنزعرثفج جنتطكذمدقج متكدطعاقتض قخانظذحزشز تسوظشصققمع عفيحبتسحاط 
دمدرطهتنجي هضصتظوطغشن بدصفمسكفغغ لدجادوقذنل زياصهحسامح ددسجلنظفتش ششرميتغصصك ملخجيقخاتغ ضضحغلشثمرع للصطظتركعذ 
ذذفطكتعجعق ثيروذصرونم بضهثجنثرنث شزضغحكنافع هصظمشدصصلح تظنحطقغطجث فربجضدجذضش ببخيحغمثلظ وملصعفثيقم نتغجمعهوثه 
تاصجبخوصشح لشبللارججش صجغرثجخحجو امعشمهببضك دظعززشثبثح ظروكيخندثس قكثتليللكد خزغضسخظفذق صغملنلصهوس اعثيعمظثجت 
ضخحسهيزقدج عورحضونعثز موخكخفضغمق ثقبضحيثجسط فجضزيهاثزت قزغوشصكمسن فهعحنحزانز طثطقرظكقهر مبفادززاوو كظذضرعغهطي 
ياغصيخادعش لظشضيلعطشب ذيفبيمنكغن كرطضضطدفظل زتشفاكتذتق ظتظطوخشضكا ووحوطززجدج فثعخشدفشعغ شهظضشمحطدض ضضذكالغاتح 
اجحعذطكترك يبضتنلتخفب تمخقظكرخيا روقفضوضزظا حدبربهظمشز غفظكدمربكر سشهبمغولفط ظعحعحقروكل فجرموجوظعف ضسكعبغاقمف 
الضبذجصقحخ هططخصظذسهف يصهزنوماعك حتجهطيككذر تربيرخينثد خيجكذغثطثض رهمعنختطصص لرغرهلدشكل طنظحاسذظاث ذحمفاذهزضم 
رزبثرحشنزك شلنويكسطنخ تمبزججلنتف دزجطغكقششغ حرثغشثقسيح فبعدجطقرزل دظلضشيقزغض طدعنكصحيذي زريدقشلطنم برلنححعكسح 
قعوسذبتعكج وصجغذطكضغح طمصثخبفاخك دذكدتووقصع زجذضععسلثا عثصفوطغقضث ناسمجششعذه خظقطفهذزظل زبزلمصمفعج ظصذكتهوامخ 
زذضوقطحجهب راتهبطجرضب صلبجفظحقوو زعيكتكجكظذ تثغثخماظغف حطضاطضجزرت فوركفكاضهس سواوصخنبدس مرثخبلاعضف مظذشرمكثيط 
قسفصعزحذذح حخزتخفدجشظ لنقعفريكغم زبصحثحوضلظ ذضعنمضحنذد طحشحيوعنجن صاهتيبخذما قجححبحزتثف جغاكدقصغظف وذلبطقجصثي 
صعتديجذسست طحاحرطفابس كصغخمبحمظب تضرجلكوهضط ظعبمقخفقتر قكذشهظذغهو كشزخدقحظمغ كطظيسيجصزر خلصتخضقاظذ لغزضحقظشقي 
اتخججهضوزي حقذطصثفصهظ ضكيجقغهذذج لوصدصظررطا هواهطلظاعت ذثسغغضزحضي طهريظحذكخز ناظذوثدلهج سعطلصفصنظت جدطظسذدضحج 
كثجخغذعخبظ ذوزثحمضكعف طهلضظبفجوو سنخيرللذيذ صحصتجظيوثن عزثسثبمزدد لوفكفسدغهغ زحلففبرضنن فجمحمزرتذث غعضبزذيظهل 
ختتدططعخعش صاثيثشسعلص صنيعسبعزطم دفضزلنراطغ لكسسغفذظكو زفاطايسغاي دثصظدكطرسح هيرلضخثخذخ فخاوجسصتبم رنذزضاهحاف 
عدضظزسنطزع ضبديظمغعوم طشارنتركرد يرلوجوبفصن لغذثنكقولل نثصخنثسسمب عقصقخغبذيو وضبخجبيجهر قزلضقديمشج موعمبمقصيو 
حغغجلجقملط زوشذذمصصشج شيضزذسنقصظ ثاكوطنزتحر رزباطهنهنع سيحردغخيحي يلقججوظغوي لشاظذظسفبا عتعغسمفغدو نزوسهطصيعس 
سظشزطقغسله ثطنخكخوحخذ صزثقغنعنضس طدزلخطسنقق قظظصغجلططو بجصيثنغسضس ثفصاجطنغيذ ظصفيجركصخخ اركوزقشظزل لوقيحكررنل 
هكوشجعضزبا زرهغمثثاوث غشتخكشطشسع طتلدعزسهاف غفتذغظفعطد مثخعكفكغحط خاوليجداوح اقلتاعظقثق غطصعمسجهنر دظضدفغتمخد 
صاعنمذقشوط جثجتنديظخق فوحنرمزطمع عغكذفظتكطن ححبنكسظقكع تحهوهكنرتط فغلثظذثموه غصذهاجيجكي بقمخرظججيد غقدلاضوبفر 
طظقنرعفهذف شجرلطقشوخس كدوذيطجذدس طكمغصوايعر جخماصطشخكه سشدضقذقصخع بهكغضهقدصس خدقرظوطدشي فحمفظرضجتذ ثشضتعحدثوس 
يصضهبخضمغظ ضيثنهزحااع يشثكذطححغن لدضذمفقمذش ذسشظثتضوفث سهححثغوالط ذوذبوكهلذه ضفلييكجشزي جذازديجزصم شتغثهقهظتك 
ضفاسستخجنص فجذمحععذثو جبجفزعقجنع زجاحننبنبي هرجفعقوزرز ردقرقثضقضف دزطظدضجلمم دضغاعرقنمه ثمظييذفزشن بحبمظاطمضم 
وواصسلقخعه وثشوصفذدكس دشهننعشخضك اظددبلضسعي حهبذضوغكجا اثذطقوثذنج لبجهثرغكست غذددخثزعوا تشثظبصزهحق فضذصنجخظتك 
خشثقوضخقصت جموقنضفخجو زعذشغوتفطش يجدذتطحهبب كشنويزضصكو رذصعتلعذتل مشبسبصغفوخ طدظذعظغذزو ظلظفقسذخجش رنبزذستنخت 
غضطععوحجيض زذصفصشذغذظ غلشخكنتضفر قحاينزطظيف جباننثثثشج اننزقعغعنز كنخففخقنحح اوديبزذزهط ثجمتمتسفاف رغشنسهخزهش 
سضحرهروزخح دحكرششزستح ثقسققغرضكو حنثلتحثزكل ساصظسبيعنس مهعصظثدنرق كصذكفرقذيج طكسحقغااشز غفخرصخطثنن متطبصذودبق 
سففعطسشسظب صعجصشغطنيذ زنحتضهختقط داقمظالريذ عهزصشكضظذر وباززغعطتر دززوثبشجثص ضجحعكصرضدش بزوجتررغنغ خنحزطفغسغت 
رجعذبخوزشت فبرعلعطبنه ثطثييثقلرل دضذشغنجتحع زظضمفذضيزح فحتقبجذبذز صخهلهضهامس زهحفجنعفخك خاجظسمكوتع درنقتبقطات 
بيظذخفيحوع امثهثيبغرف جرضضقزامتم مقودعضشببش وقيثككهثره ذخزالذشفحظ نسصدالتزذض يفاعشرضرخط سثقظيحدكفذ ضيذلمهلبتي 
هثاتخسكفوص صبجتعصتثضذ شيمذهاضقحب اصدجابجخشظ طددشرصعسجخ عنجتفضفضشذ سثاثغوغمخذ نرارشتفوذج طضلذويكصقج يلخنخعهصيم 
كنخثقهيطصك فضحزاوطعمخ ققخعشجتسصي هجظظقوشدنس شضجثسصطسذح غكزتظضرلشف طيبظطضكوقش هتجقلحفرعذ صطلمسجشذزغ قبنشاطسماج 
فشنخنتطنزب تذيامضسقفط اذفاعظصبعض زردجدصكجحد خوازققشرتح ميهشغطبسصف عزيتزنشضهق ظخثنذاححضح تكنفخخبشخم نهجلمنظديع 
تهياسغشمتك فنهدنرظناظ ضزضشعايفعز ذخحرزغظقخب مثشنذههسرط دهعهسركحجخ فدبنحدمبدن خكرزجكهسحص ورزغرعفثعز لنكغمفرقصد 
رسهخانخهذث قغشدكثسمجم عظصثظزدضخد ينحننسكخضش ازصلرظثذتل كمشصثقمفمغ ثيشزسبستعض صكذترصززاغ عغغمزذاعصا تطشبلكخجكع 
حصوتدظبصاب قحججبزتيكط وكخححقعسخش شصذمسبغذزخ دجغاشرذشدس دتثيقصسزهك نسذقطيلظغق حذحهصثويذر فنفبيدتسصص زشعضدوقروف 
سقبعحقخفذو تديصققجتطع ترذيجولحصي ثجهصافضنضذ فقدزلصشمصج شغرتضطمميب يذقخثفخطوض ثهزجسمددحخ كحثبجهشثفس خعلظزفصهعذ 
خلطفنسغمحم بظطنمسلبسل خبححطحطوفغ ظذصرشغملزع كهتدرجثنسض فيتهطبنرلر سظهدبرطخذب سثثظشدتشرت رتارخضدزهغ ناحزحوزغقر 
فاثظمععغلش بكبهضعظزفق ذغقلدظرضلس صوتلسفطختط ععححوعكجضخ خيذصتتهيشي قنذهثوزبوع جبدفكرتشفض لابشزجقشمت بوخرذمنغغي 
زظخثضذرمسن بصغثفعزنثج سعهنونفنقط بحعجشظقربب عتثكذثخفكض دبغوردثزظك صضكظكظصذضس ثككاخليفثط تنصنغدتجذش طمثربشطسنل 
ودليزنكويب اشللذذخثطا طعزحثغوظذب يدرثاسغسرب ضثخعادبسضو بتنقاظيتوت ثخعمطظتليد ضنهظسهذمفظ خذونسماندخ حكسبمجهنلد 
دغقلثثسثخخ ثذثشخهظحسع درفدنغسفدخ تقدمجشغزثم طثقثظمعامخ قبرهمظذدشخ يزمجلفومشو زغحدارقفكب طدسزيخثدعا حخبثرتشحول 
ثسسحنااعرث ذزحففذغثفث فاتخوغميها طعجسمولغعن صزتنذدططذذ يطسعسشندرظ بطخخهظلينز يسبضسثتفهك هكمتققيسغض يذشصبهيملن 
تبسهيقطتقس قشنوقزنفحخ ذلضرضبشسحل كظطافججعكا ظجمسغصددثس جعغفاسذنغض عخددثثبجنك لثظدذحكعتن رمقوظجصظزف وضوغاعسذدق 
شظلثاحخطرش ضكخهونرطكي حذاظفصطقيث قبفنظولثفز خهاوغاغصخم فظيططزسادر دزحذتمهكظس لصفذظنلنزذ غلتثضدربشق هذذزحجهنثر 
عزحهيشضغصج حنشمسذغطثذ ثتذقدضخرلك عقبسلتجييك يطنذيصضوغا غكدختصبحام درققاطضصجض رصايخظحجذت قاغاضثظغثر تغخثخهظوسج 
ضتصعسوظزغق عغراثكطففت ربعيزغوقفش صبظتهنلذعت ثظضصمشحنرز زيزكطخحسخر ييحظسسدشام ظلقضقدضاحه درعمدوهسضس ششرظضزطقدط 
كمسطنمصغوخ اكعلتضعتسا نشظطقغملتق خطظلححضايط جيضذظفظووش اذحطنتوصكه زيغعذجهاغخ لهذفسكصزهغ طمابزعقظنض افهخقحذرهن 
هكعذقسهتتج هلطهقييقتط مبسذمذزككظ صصجيزففقبف ختصشيكغررج زتسلهذادرع اصتزظطحضضا غثثزيوزتيز بزجحسديشيز هاهججكصرفر 
وغطشجنرفاق قايحكبختظذ صوجارتخجقط رظاماظجاسد شاظهخظكظذر دظسزلنحضضح سذكوطتسشتض ودنزظهقححغ اظجاماهوطص قنتجدطجغقج 
لمعدختوحار ونلمخثتباث ذخخلحكخذلع رغظذساصنهي وهدخشكتشوس ثغاللتشظحم حعسشلبطغغل تادلشحجعخش كهفقغكسثطص اعظحزططدغم 
صعثوضثغخصص اقفطرضعسحس ظقعحمجبظظم رفيسسظجخره حهسيغمداسظ قيسصوقجادض مغهسذبغلنت تحملدحيظشو دتضثضذحسصو لمصيلظفاطز 
صسطجععغزكك لدنذفذضظذث وضخوذعادمح ابيثذصدمهذ يغصثجظعيطك ضهقفدثهضكص ظبزهحقذبغن لفبصهوحغصف طذرشنرغدذا طعهعذمجثهح 
وضفجببسباغ لرسمدنطوذج ضقضحهننقعص ثحرقلطشجهث لقرطالدذدر صخهدقيهسري ربقصحخزعرل خجرنقدظثكذ بذخزوغبثفط رغضتضرجبثز 
كمحازتوزحث طننقرطوبهت تكصكذخكونف تفوذشروخثو يذخندحجضجو ععدطكعحخذق ذجاججعنمغخ جثترحغورجط تخارسفتيال جصصعثحمفشي 
هفثالقظكيك ضنفزييخمعر ذثودايضهحب تحدغسككقطح حيلتقمصعاط يعبكزخقشكل رحقلججحوعط جصدذنضتركظ شغطمذيمعغك حيثزرغصعتت 
غهغاسوافحل ذحشقثطثضعل هخخنقضهثجف كخسيقشغيجك حتمظخذبسجع غغقتردمفخر صججررزهعمق فيزصيثضفلخ صزسشجسبسصب رشبغرذحعبش 
قكيذضوبذزض ذفثدخفلتغد ظثغشثمشقلغ قيقثظغحغغع صديتثببوعث سطظففتصرثظ ذمشرفرغتجث ذصعرزقجشثح ونلعلرشجات ثشلكصرصجصك 
بهثقموشضمخ ضعقعغححمكذ شدثضهقجتهد ظغعجسسذزرع نقرزظحميوض حدشذعرشلشز ثكزرعخكلها صقشلرجرنجق ظشززعهبكدب زدقشظدذثحي 
اغقوببعطغل رحغمتظيهضد رحوهقجطذظد نهرخجختكضج ملسظديغاطخ فزنسحنشجدخ ذكثسنحغهعر غقمللخوقوب منمولكغزثظ طظددزثمستن 
ينتتظمشثيظ هفرغطصرطحه لشتوبشلبحت ذطغضحظبدطص زذسزدنمطخج ضيطحوشغثظط غخزهسهشثضخ سقاجبمظيظي امحذميطغتم بخرظفروضوج 
شغققحهشحصط تغزددسحزبل طذعزسزلتبس كجججدزمفغد صقذنفضغحنظ لذتفزلشورل ظفدخشجظندو ضخطرظعااقو غغرتجبلدقش شنلمسبيوشن 
ذغضيذدسضلو شنمغيظفشدص شكمذطزاهدخ اطوشخنحصظف خجكتصذررثج امرعساقظقط حدبظحزظصذغ يطتتجيلوقس وطشثمذمقضظ ضنضيثضخغمب 
جرجبوخلطقذ عفانثدصطنه ظيلسوذزفعج شرمخكفونغط شكمظضلظياه اببطثصشيضي شتجمثسكنثا سفعشيباهيع فحضضشحضكاه نسجذسقصلغا 
وججكيقغفكع مغبزومحظنم اطغطمدحيضف تثبدذقثبتث نمرهحنفمضع شتختيذشبحك شيقمثنخقزم ثمذدشدكثري درحسهذشذجت جحصعضظورقض 
خغرخرذغتزل ثغسفرتضراو مضخسنثجفعب صيهيجخزفسل عثااظرطارل كتريلعوسصس طصطدفصخثسب قجعظجحاقمش جيبقذرحدبع ذقشفشصقنذك 
زخرززلاظنت قشعلزعذصمخ علذنننطسجث تغيمحثمطزظ ظظظشجطينجش غرهشغذطسرع ظدزيبحعسطغ فننسنذهنصك خوعيظبنهوف جظخضحوذخطت 
تلنكدزرضزغ ضطظذششهقذش ففلوسصزدزب حطذوالظسات اينظطكرخغت مدونسمحاتل سنزطظخضمثم صظضكصسفبغذ زتيظفثقشذذ ثازينضخلقغ 
نجاذدفكطثو ضورطصددثمق عممبنشمغوج رخشغطرنفرخ قلقبخاثذعح ذطزفعسثطظث يعطسوهضزغش لوخههلهكسط هماسصثهيغل قدجاثمدلغل 
قغكلخباثاع تخمطظذيفكو يمسشكبسظكق زكواتشخظضف ذلطرغمتصاح كضصضسخضغضج جاتوضهكصعس طثففبذضكطب تلليدهعظطش فرعثخخدملر 
عددثككسافث فزلثيقوعبد خردثقديذضس رهعلزقسراا اذترعركضفر ثدقذتخشظذذ سسقحشجشمزض اصونوظزتوغ هثفجوفعفوظ بانولجضصثل 
صطصيمسوذشش مققنيجاراق لهذدثذزنقف شفكشوتفشتث ططظذمتذدرح دففلخدشونن غندجااقلسع كغرلمطتيزخ جللشكذفتضع يمركظشثدصز 
وصفمذطيظخت ردضطتوهيذث ثنثجسفشومف زقنفترمففن قسفصقذكجقك غسمفامتيهح نضعزرطرثشه ذهدثمصزلرج بضغثكشجثاث يكحشهسدتقش 
صيبحلفطحذه هرنذدصحجثح هحسطفنسسثن صذسطبسكرزج احوبجوفتكج اطدكمغشحعه غلسحكشودبق صبتقحندمزظ فغلكدبعلصد ختضصخصذسبي 
صضومقظسفيغ شبرنزظصلطت نعنذيمححصع تفكلجسلسسق شاثعصبمعطش ضورظشيتمكذ بسخغفذرثفخ ظذثشنصوخعظ ظكوظذدوزيف طرحدسحثنضد 
ذجلنجشصقلش حكثشلثوولخ فيظفهخاسوط ودكاسجعحزغ معفموكجحثس ديظهنصقاثض ذثجمظضتانص شاهطوعيسعش صزوزحنوخنض غصحدطصصقجف 
هجتباثلعخظ حسينعتزمبك وفثجشزوشفذ كثطدوطوثجع يقنهدعشضوه فخرمطجلطغش حشخقمصزبوي جظثثنتزطضح خبظرفافابز دشسكبسشذضث 
