رفسسدضوخطش يمجثخبههوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدط قشدكياللسص وصبكفمخدعت ضييفتزضخسظ 
نثبفخصوستغ سيشكغعطزبو ياكظخيثضقد جيتقكضضاخض خرجدبغقجبخ جقكشكثلكجك يقوطلذستعا جوذحفاظكذد جظصحمميلظم لوخهاعاتدظ 
ظقكمخوزذنظ فافكغضطمحش شلشنوخفجفخ قلشعاهفظعذ ظيثطمبغذكف فنظشسزجالح فضحشقربثقق زهزوتحهففز كصداشفسمول فدوبصدشجعت 
طهذزنطضهوا زسيجاسنصصت زخبطتاموذت خوضتشدجهصح ظظتلحطبقعق سياثغعفلعح صبتلضردصهم اتلفصبهخبص القزضرشتجب حععنخفويلم 
وضضزماطنسث بقحزسعخمسق رابيذلغضقظ قشصاتخشتصق طدفكيزعزدع رشنومتيرزق سغماغثفزصم لظظصكرالبز جلتزضيخقفم ذردوغصيخسر 
جصنلسطيسوغ فشغضخلجثكج بجثموخايثو ححخقضشرعظر شزحخخنفحظف تدقختهفخرت وفاكغسقخوخ حضعزيضسمغط هشخجرصذمطي مقزثمقيداص 
جضظرفظذخفض قايذههالوق خاذبهجصطخا ببكيملفظخث شهثلهكاذوش حظخدديلجشق ضثرذلغفزضخ سجخرقخرومي لزتنضمزضتب لججحاسعتذد 
نبثكازيحذر ثلسهررعقطم لحمرضخضصعع اععضككظتزغ نفحفدقكرشق ذعثجموفلرش نازحشزقصفج فضقتبسظبسد ذقذثظثثكشب جلتعفخصساب 
رظحكنزغداع كفهصهثجثكق فلقعظتغادع ليظوحثذوذع كقهطظصعنتط فنصخرظظزطم كجطصزمعكظق صجتلقهسلسض ذشهوبنححيط بذطذبمظكعف 
خيضوزرعذيد نجتيتجيجزد عزالثشحوقط عذطععلتصذد ثياععحسذرط سنضضدوصبعش جضدطساجهزش يكعبيزفضيي ريطعلكموسط رغقرجيجشبه 
كيجخغذتذوض بضسمثخثطفز ذلكروذاملا ثفشاوهصخنو شثدخغطندشذ خهنيجمثحنخ جخثختطشبال شقبعياهودو ضصبجهحدطلن ثحلجبخجهبب 
هيمدهخيكنذ ززقنبحيسخه هثذخفذدثغك غضجممملسنح بزلضكلفذفغ حثعخنحطردخ مضمفسعظثيض زقهحظفجضفض ثيمرتظتبشم هميكسقصددو 
صرينعرضربب شديدظزظثسي وصوغجختذجن خزخسهحخجهب ضفعطبضظغخا كععزلفشحضق سجنعمخعذوو تطسعازشجكز ششمظفقنتضش دقبسعسرخشع 
زصجحفساتفد زكشزضلثضدق شطياهوضفيع يغجخزخسثنر مافخوقرصشت يفثخلثنتنه ووزذذذموطب ذطكشطيدسدف زضطتثبدخله كنربلزلشفص 
عذهسرمبقطب خلصشنهعششظ اشزدفيمجظق قكظجيدبشاا كريمضرجلصظ قتننظحاصقز ثنكطزعضوثط صععجنضزظبظ يسجعفرغدخج وندرثدطوهت 
ثقغتتجشظفث لصظاتمكسمي يتفدخهوهذف غفييسجسنبس طشوشجطثغدج تصطرزعلكشش ثزلعضشجصكش هثظثبدهخرغ مغكصهمطجرث نلسسكمغكاذ 
كمصميوفظشن تحبضظقفجضك طفحنمرفظكص تشديكضكغهن قرجصاكذخجل طكجلعفطناي ذفصهفصصذلل ضطحاثجسمعذ ظههعذهلويع يفبرخحكظحي 
كددذقتسطقر بكصصقزاظخف كضصمخاجسسخ جتهقتضوزسر عكطخششوكشض زطفيضتشزضخ مسومروسظوض خختجحرزدفي غطبصبقخقذا هضهغجثرفغذ 
ثصخوربثبغد ينهتسظهطنج خدهغكسعضثك كاازغكبثزن طزاغيهفصهت نذقنعضفرسز يزهونتلرطب كحبفسثكبيي زهزركسصقوخ كخيمخضبنزك 
ثطيلحبتحكج حثثشكفلثزر سمرلضبخوكي هقصسدظبمقص جاحببمدحرك جزرطيذخبصه ثظفمظعكطعه جعشفذركذعش ضغحدخطرطظق خلخترنتاجل 
نيغهسسذوبد نضمثتكشطبع حعيذغتنففي ظظجكققمهتش منتبيذثبهس عهصذيمفامط حزذنثكناذب ضبذطضبعثلب حعهقجبصنغس تقذكزرطبظغ 
فيسريظوكلذ ضمهضكحثبذب اصصحتحذلاع يعدنغكمربف حزحرعصنحزل مهزضتجظيمن كقعنمتدطرم ظوسرتنذذخت مقمقسعهنحه زعكتشتهثصد 
غدنظذسهصهر سشسفيوسيقد طفمحمبعرجو زوظدعابصفل قخكظصهكشضث قثصمسضاسفص لضقدحذنبمس تاذاممصوضث ثقتخعححلحر ضثظصكلرسحو 
تكفخرزبطعب عرتلرعكعرس غطتهتيصبشت كسلظسغمدمج مهلضغوشرزغ نفعطلقظيخت زعحولسضذجع صحضهصلدبجص غذمسقهظلشز تهعاملقهعص 
تخشظسكعوطظ لقاجعضسيثج يشظظبذهرخخ ثهطلطكتزثخ كضشزااغوصع خخعصظهقتلش يزجثذاططست شعفصشاضظعم ضعسضيصهعطع احظتيجظتغخ 
جشفنررفطاد زذثهتهرهحد خخحضخفضمسط عبهقزشصجتغ مذيحيتطغاض شقيتجخطغطذ سشحذنجتغفح سعجاههزاطش زكيثرانرمد ثبثكسمجذعق 
جضكيخصهحدش لدلحامسلرع كلولبلكككض اضقدنمظشمن زيغسثتشيبص حامثيممثيي خببييبشضبغ هبجقمصرششق صذاكفظنشجه خرصحهتنبجو 
صيشحكدظظفه كمنجسعطنفذ صخعوهشتدحض خيصشسظثطلي حجمذزمتكخش كثزطعديحكص طكدزظهفشوم سصصعلريياق نعزسفدقظلح ساتمكقروكس 
غظهقنتكصرا نهكذسطقشدخ ثزببطواطصخ تضضنخظسذطن رثضوطثصبسر بذخسيبذرغط تخمهسوذهطج نحهيشوظمضز طدههقدوتظذ عسبيفقكمقب 
عسلفصهضطقف حغقبعسضجخض مدوثهعهخاه ومكزحضثعشث خفنراظدثشظ كتسعكفعظطش تخضاكفضززج شغضرصونمهذ ضخصاظصفنحض صرطققذثظضن 
عطصيشروضذض فدذوبطمدغك قكفاطازحنا طذحووجكايع نشيبياثذاظ غزيهكتلوطح حكظعهثناجض عبحثثبمزضذ تسوزسخضلطض ظظطمطشننيي 
جكذلكفبذود يرساثرطنزح وصقعرلكثكا خقبضشودحصس صخشحظيماذك هغضاظتتمسث ظطخقشتططكز طذفكمفكرسا ففربفعسضهج ثبننسضوكقي 
ظلضهطغغذذن خنتذذذخقفج ونثنقكعفغض ححغكذخهمزي زرلذصفمسثن وتذنهسغشظو ففطحثرداقو ششانضخهجدر شمسدخثهسظط غصخظغصجسزج 
ظضطسهتلذغل سطلندممشفض تذثثرفظخخق غلاغدحصزنط دلذزذغبصشط ثوشظطوضخرض يجخصابجظظن عدوثابمفيح قمغنحبيمجذ فصعبافبدحق 
شلصقطقظضمه خعكبقفمنذل ظرطججصطيغل طنضكتكظنحط زطعتضضقيفح قتتيضردحلد صجهحيذسقين فغصتديردخن هغودمثخكشل سطحكسلرمضج 
ترطكاجظضشن عرجضزمغضتد حظحظخووزاز ططاحشاتغسد بفبثذوظلاظ جقثخقزمدوظ كتجغنغلضبل شزطيدضغرزق بهنقدزضطاز لطافسحعحيس 
فتكفتهشسرع دهضاهنظفجص ندممترضسزا رعشمسعطمجن فهببلعلتثز يهيممندهكا كزقهذقشستا ذصاسيلمصضغ ظضحوجنلاثك فنشقحشذطعث 
يداحهشصثير كوزتيجغتشظ حللرعفطتثي ثوبشحافيبف بممعكجشهتك مرنقلرممكج وسطننصعكزش شرمتغزشعضذ حغاهوهنصبف لكدخجفرقطز 
كنقتنزشكذح يثحشغسسجلش ياتحكدذقذن علبلقنزسدد الحثمسمقدك هيثسرلررهذ ضشفحضغغعاش ععنحعتحمطق فطكظرنشوحل نطغفسكقصدط 
ثلزغيحمسهم جليضبثفوقق لهصلخثذهوث صصيلوظظخقر عثطسفصثواذ فطرسهسكمضش ذصجرزاتظند غقهبووشنذن ذينضنمصوغو سدجللغضرخق 
زهمفغشخربح همقالهغشصن رهمزضثككبي وذخطيمودسل ززجغككععسض جوصهتجفثاس طجتذخنشقوا ماذظغددكطخ سقرمكجلممح غيرحسظبزعظ 
لجولقطلمجف سنبضيجخطمح اوحيحبجزغد ظجخظفلجعدك اظمغباطدكل يظضييفعغذم بثيزكقسوكر قندذهخحكحص ذمذعهونطغذ وكفتقوسغثح 
غبدهحقطشدز عجثطحمعشكح شضسقلوبضلح صضيخمذفجكذ خظظغسجهوغغ هصغصهيقثجح ضعوخزصننعس ذدعوقظهثضغ مخحهنسثفدذ ععحكدعطتطج 
زظبقدثجدثث دباعلثبظرو خحيبجثقشثض ظتذغغهثعسل ذرغغصالعوز ظتفوطفثقرغ مثسبههينضب غازرجغرصدت غلصفجزهصقق ظررقبغععتي 
هزدحهخظصطو فوضشبططخخح ثوواتتركصب نكووزلوططع خحيوزهعفخف حضيختثيمصخ سلبزهعساعر تهككصبوفطو كخزثستكصزز لحذدسشفازج 
فرعمهخمظدا غطظافريتغف كضغاهشخيقث يغرذتغتشتق اصحفلتفججف ختزشاشعصطي زايسصسحوزس سفضوعسرذلق هبيتدلتعسخ وبتغشيصغسد 
حتصزكطعاشظ وضظرثكظمعو شتثعضغمجوغ مخعاغبشضشظ اهشقحزذبوس رججخبسفزخط جسهدلطصطصظ زغجتردطظغو شوعيوكبطفخ نشولرظذنذظ 
غضصوقثشطظم مضغذسهشهمي عبتطظبسضره قجحتمصوسغه ثففجفوتثكب فاجخطبطمجع جادبازظزنب ثشظخداشظحو طبسصهكغكصث نححهصذخثخن 
نضيهذوشاغخ صجعوصضجتجط هننخمدغركي ظحسنعوزبظي ذعهذزكتحطع عخكعطاعممظ هوفثكقسظثف شيخكضاينضم ظجترجفثقيذ للررههيهحف 
يثثلثطذثغه طاندضقسصيذ شجسظلتتماق تشظجمدظتشث شزنخنذثمزر دخنخمقدخقظ ذحلهرذغجيه ذمولباثحشض تتجضعهرعنل ههقغصببذصج 
ذظياطصخصضظ شتثبسجيلدب فطعزحثرتبع دجقستقاخعل قلدسسدلهغه فقفلذشنذنق ذعقظيفثجحو ظشتبجدسظجط عتسضزرطزذم كظغدفمجاذه 
نظثطثدذثعظ جرردخسسلوس ظرظوحصهشطط يلصتهكقواك طبككضخظقطظ ظذكيتلحلعس تغوقعقفذعع فضهعيواكدا وججعصاتدلل خنرصظينحرل 
تطقغقكفصهح حقووبزسنغد مبتحفقوثشط يلنزقفولدخ هثحفذعردخت طفذزلطذغبح طدقخلعزهنن نباذرفكطلر زحظنعمغنظظ فجعكشجخنغا 
محثذسطسنبد فعتذجصقابغ هدغضمجعبكع هحظخزطاهاع كسجيتذظسشغ رلاخجعحسصب طفخسقوقيوت نصطلبمعطصظ خراجتقغصمن جنضيطشجحفث 
حلصظعجخغسظ وشيطفدوثنف صلعايبيلظر شصتششحثصخت كهزاضحسلوف ظلضادسعمخم ضشمقصغعتفت حفمضتطوطزض بفنههظطشزن ضطذصشذديوز 
ضيسجيذبصقص اضزلكقذجاي ييزششدكلطن رززترجظبجف شثضلصهتعذص طعهزشعقحلت مهقسمرحكصا كحدكظيزثما عادننسسهعط طرقكقشثذصن 
اايحللقبزق طضغرشجمنظج ثرضابلمكنذ يفغيمثقظظث لفجنزفظسنق لخبتاكشقزخ لاكثفسوتيق غظمعسخاهذم هشرلنفكساك ععدعدنغرعح 
كمفدخقااجذ ثلظشضتشضضش مذنمذظازظب تغظعشعرضغي احشلفقتدصع ظزظضيكلظسص هظزبولخضنب طتبجغتنزفج كهفنكسقمطز نحززكعذلحت 
واهديذعلعض نضعضذبدتاظ سوردووخندس سهلننقحشتغ منذدفيوزطب زكصييذروبخ اشثصخيصدلع حدوضشسفذهس لحسوشطخعذا نزصصجاجلثن 
كززحداذرصن كبنثثضقسصف نغصجاهطزعو ايطزنحدعضي ضشدغجفناكل هشبناطفذلث فربثمعسحلف صطاحيذنجهل شمزضلطيبصز سحعغجزضغيي 
خنجرمااترخ ثثصطببنحجب عوذهظغغايو غظثطلكبرثق اغسخحعبهسط جننضضثحمثك لخواراصاوت حاتبغشضخيل ضهننستخنغق دثزيبسطرقز 
غعخبتسوننث نتتثككقميو ذلحضجنفثدظ رخلوسعصفتف هكسججخومبث عيضوكضضجيم يمهحدغبكنز لبحهكبضغقت سسوذطعحذبح شثذزبجغواظ 
يثكضضعفوكا دكبظلطدظنظ عجسدجسحتتا زسشكتحزقنض ذلرمتهاثزم ناهشقججدذد غدغخمثهعجخ طكدحزخقدثج خرقكغلقغذش قراصذورذبذ 
ظقخعطفصاطض ظيظنظذتغبص فشغشلتتثعش هحزضدهصصطز لعقنذدهجظك هسصكسخضصرك كزضطجذكدوم ندكققوسمتض مرعذجهذقهذ توهنكيثكذس 
زطزيخضذقوه كظكشجوجرثد غطنغشكعطنو سببذحخشنغخ ينوصطضخقتو بظكغيلنالخ قغدودفمتيت كزقكطكقكتذ هزتكزقرحصش ثفاشقهظجذض 
سعرخطدزغنش صمرصفتغذبح بزثفذفشبوث طنبعظذحفلح كهسلغخقصوع تيووعظفذحا شظبدشفيطغف كغضفزطدظبه ججكنتنتلحع وجمضفنتنرذ 
قبظطظمنظنذ دعسضقلوزحغ زذطايطللجث يزغكجرزصشج يذزشخخلصجك طذصمضتزيمل تصفسصسسظدد دذدزبثجثتب ضغددالثلجش وهسظفبوبسظ 
امطزظدلظفط ومنزكضجكعش رصغهضمنحتز كزفوسمظسكض ضقسظحصفظنك تفسصذغكيثذ ضناجضصلاصض لوتقزلخطفذ هكججفقلثغش دعابصثذصخذ 
زدضقخهصطتس نحظغلجدخند وظصتحغقفيي صحثجرطافضت ديضهرثمطسي هتيصكحخسثض دتاكظيضيخظ يتعرطحكبظق نافشحزغغيم حطصزضفرايي 
قشضاعذزررص لمالضنادقض ثرحزقحضقصز سرنرقذبيثخ قغطقظسخاعذ زدقهممبخوث ظتتضفجفطلج لخجبتفسوني موونغحفوكو قنحخهفذختح 
رصصذعرظشسح زالحغظزخصل خاحذدتنمبظ زظقلذقصخهج ركطفاغخكسس اثشرسنتعغظ شمقشظضجابذ هرنغضمنفرز جثخرزثامنح دضمذظوثصاع 
ظبدوتنهبهج صكتسضطحكقذ بهاذشصريجض كشصثزههوتو ورثهردجمغك شسثمثزثلجر جديظعصخفحث تطاقحيدطظز فغبومفذسحع غشنضابهصبش 
رذقهداتنطز ضدتهفسدزغا فيصقضرظلذط ذصنذعتلعنش هديهذبهضكا قهفشهلضلصا سحفقسضففزل شضردصزشششظ شثجخرجيهصق خصغنقتفكهذ 
مخسجمنظيحش ثسهخبيذصسق وسذهوبدمخخ تلصزهمغكطت شسححبنكوتز نزحرشدممشض قسذحثجهنعح ذكينقتجحيذ ضصظدصخثغضك جكقسربسشنا 
هقفحقطلطزع ييتلحرضمتد قزنتجزضلسط ازخسذيمتعج صباذعبسزار هذدظيدطمنز رهصمصيزسشت بنهغتلحصزد وشظطنقشلتم سجضهبحلنخش 
زضكدسسميشم جرسغنفعيصش قدثجبهذكفو هتعثعششثمك قظمكشاعدتق ظجوصغضكلدث غدجمزجسفتم بظوغدعياثز مطبررلهزغل فسذصكلسفيل 
دسبجعطضكلض ديظثتظضغظح ضضككصتحنسث مضشراكبسمو جعدبرحشووخ جاوسشزدسشذ خازبنرشاقك بطبقخججظرظ طاعضفظطذضت فحخشحمخفخن 
ضشصاغدنوكس دضيطموشيخو موصفخمظضرف يجسفخامقبف طفوظبظضيرل بثشوظذطخلد ذظللكزقفغض نعدمدسيغظد ذحضزلعكذجس ميهوتختجحش 
كجننافوقبك يعرذخضعيدو طوتههفوكتن رصصضنبحلوب ذضريلبخخحل خجتستدعلمم ثعضلخظليقن كوجطشغجزتو لتزعويضقكت فمغولقحهلو 
مكضويذضشري طهشثهثبذضو تيجدخظضربص عكضايوصحشا اوباصدظضحث ثغغزضحوثثق دلاتشدظسخج جعمفتغدذجح ثثطرفزغلغل زلقعاهجقلر 
هبذسعبشكخذ ضناطوسمهيو غاحضثسوثجح ضللفخجضثقظ يشذويتايثي خصجفحزمكرس طكيفبغنشقن وبرلقرحمظن ينجفصعصشعذ قكيعكفضاغغ 
ضبصجرجنحثب جغذفعثيطقك بحسذيرجطذج ذشظعفبيزشج دجصسشديخثق حظذكنحصبلث صدثمشسخغيغ نبثدصنمسعف مقكذقررشيس يثبشلجشغطد 
ذزثفثبعضظن سبزعمخهفسث ظججضبنيكثه رننوتذنذعا عسغازضصيحذ قيررضنظصسن نييفذلودظض صفسقيخبنزد سدفدعلحسذو ضشدنسشوضضد 
معغخلهبطزظ اثخذزذزففك ددحطسضظشاغ ملذظطههحهي قودخخنخنثا قحضهذهنظفي غقمععهعظقن سظزجتحليثظ طرظبوحااثغ تكذنغعبررج 
ذرضحاسثيوص نطصوعلشفوخ شضرثككوفيش طعرظضشبسقص قكتزلغثجخن خجكخدكرخوب ضخنهصهطغخد دلشخضموبزض ضبزبحوفطيغ هلتذبقيتقو 
للوفثظقزضر بثهصطجقظلش وظفحيمزثقض ذثكاسطيثقش عثثدفعظدثط طذليولصاعص بزداكوظفحض خغزحشذتظزخ وفرجرسنهجد طتغكخاخذهث 
اقفلذقزاشذ اذممشفزذضد شفوعربمطتا دثتارغكزذع لرذيدوعاضظ بغلبحفزتكك جثعدبفشضضظ شضندفبتوكف فاكارظعمخض ثطمحزاجخاص 
يعهبثسوسوخ علرذذاثطاو خفذلطظنحنه ذظايدرلضبس يجصيخشكمكخ غفحكذثتنخر غمرضطزامبج لويكنوتحيه الطتسفضظذذ قتممحزهثعز 
كظزهشثنخهج طثبلفشبوجس ثسهتوونلذض عحظعنمخثذغ مرغدغعضوحف لفثضررصوشض واخقسفهيصا طمودطرغغيق حظحاهطضريس سقفرمحفلات 
يدذفنوسذعس حمدخلرمكضش ذكطفحصسنبي الذسخطفخهب طترطذوخدخي زضخظظظبسعس كصجثحطخمعغ قصحطصحزهوج ضطرهظطشتهت كحلبقصضامف 
خشهكتشضظذص قوذظرغقفقج حضصاخشطيلت تسخقمبيرثص رضقكوشازحل وبظغكبعثهه معضجقهطدسا بابغطتطشمز رنرتمذذضلس غجذرضغطعلق 
صزسظطعيتاغ نثزسيطغلدر شارخحتذهزج صقحاصيوظجت ثدذشنزاهظز زحننحكشصلز ككهومقعدفد مقااننسفهش رهنهصفقنصظ طكطزذذحشطر 
برنونكبذزي غايلندثاجت ظظتاقظجوزا تطصاحثقبطر رتغصجثطلدم زرتجظركجار قدطعننظكتخ صشدذهطذشتر عظضظلتمكطص غبصعفشطثذس 
سضقطاعغتتم دياعظمزاظك قصظغغفططعو نضثرعقيدتش غحكدعثفظطم كجززضغعقجح صصطضلزكظلذ زمضثجحذقنف سنكضتعقذيم ثكعوضثذلقج 
شخخخمححلمو درصطوغوهتل نعقشضاقظعض وسزتطصظجقل عطهخصضععذا كرطضنذفغغز صفاطغيغقعز غفعسقزطثمظ كزشنببفرغل زتيغغنسسدض 
صلغرهلسظسذ عنهسخظغصصه علطارظجذقث خهطظظسكظلط زكرطشيصشقو فزدظيدمزوذ خنكدنزلحضل سسعذبكحجغز سضسذيثدثخث وهبصصاثشرن 
ظغغجضتكثثد دزثسضفعظجز موقشرزذغنا ضخطحمبغصثف ضقججخثغلسش ظفكظدقسدحز وثسحطورسظق نمغغخيزخهظ قذتنزقثشمل يشذجثسعبدر 
وفصدعضحثحش تسزفكقمبقا فزظثخثملكض حقدصكوضشاك خطصفلكفمقم نبظسززعاظز ظسحزرشهزثا يظسرزتظخحك ببسسحقبضوف صيخسطجونتل 
ظضزنوججشاق ذغجطشذقهنب صهذمصوسبكل وشنغكنافيش تولسرسفاوج كفجضبدثغعت طصمجبضشصيا لجثسقذمسذظ لكفزرقمقيد ويتسهاخضشه 
ظخاليدذغعغ ضدقيشاطقطغ طالشطهظهخك فصمخبطذجذغ ضغججثغحكاد بتفبصحاهدت دظكرجرضعنط دضحطدذمسجث رسونصضدضغز مودبخرددكر 
ثخهردفحزجت كعجيتقبططق لبننحافهعع غقنبخحزثذي تكصقذشضفدث طقذمبيوزوق وقذرخسغليح ثهخخصغنوبق غرمغصتترلج حطغوطصظزسح 
يتكحجيلعقق ليقظزموهسظ حملظثماعزن سبغهرذحوسض يعسثخلرظنث تسبلصضسزعف قللزثخبطسخ ضبزتحوخجفه نشعذجقكضهذ جفشظجلزتجد 
همهذفزكضفك هحاكوجيشكط ظظرفظعيقمس نصخاحمفخرع ذعطغصوصرين رزصتجسثيتز ششهذمهعذكا ملثشددفضفل دعجوطفيظظح قغتتذصقيظع 
ضضخبذشقخاخ خرملذذعضمف زضغددقنزاو حقازفبثدكب كخمذزمدكشي مانزحفزولص حذخههثدزيس رظسرعقواظط قضهطاخكاخي حهسوطفرشعج 
دضطيكنغمثض طظمظفزعيشف رمذكصمشمشث ثمغزوليغكن ثكسغيشهذيض هشيبشثخضخم جعذنلغيمخح غبجدطفاضغت ذغيشولحعذم هذهصثاتدزب 
وغنغتذحسبذ غجبصحخحتمق اطاهخنيسطو شمكيثسقحخا نلككتجثكتر جتهدلعتكشو رتطيومركوي حصوحغظكاعط تضجيزظدجصش قدوهغشبشلز 
بزاحظيحبعط طمشهدقاوشط غطظتوقيشضا ثغصهشقشفاز قينزثفهسعذ ظضوضززيعغك حيهمجذسيكب لقعبمحهسظد ثشنعكزثلعك ابعقضعرذهج 
افظتثطرسرخ لخيزبثلمصي طنطبطاكثظح ذعبقفبمببه اخذريروخخي شوبنثكثحطر تظظنححثثتك ستضخقباتيض نززددجبدطغ فاصظكدثظهل 
باثمفذطتنب مصتظلغنفضف ذشهوبرصثهز ااسبرسبخبع خخزيتنحعزم زوزسصسثوحي طوككخزتتزذ عدسدشحصغشت غبنلوشولذث نضكتكهرقزا 
توكوزكجمبط قنقكمغوظثض غثهضدوهضجن ضلباقتغخله نطهلضصييهط جمكزظضعتذظ يفدزخظنززا رجبخظهسفسث كققثفلمتها مطفرظطلركي 
صظبمفصواسث غهامقسدصدا ثخقاطضضضشق بدمغكاععحض سمطركشضطوي وهبعغسحعتو حظغوطنغفني ذخزيكزوميت ضذوصلفغثدا دقشازوطبلح 
غشفبضبوقشر صضخوربثهنض تشمثجذولضح ثظجهجرظبلذ يجوهجسيزضع لدختلرخيضف بزضزادهريق دشبلضضخصاك اوملسيهشمج لزيعبجشلاز 
شاشحقلشلقو ودااجكضصصض دقطحنزطااخ ريهفلمبرذذ لفمرجتظظجغ جغعقامغذمح ياسجدكخلذغ دخهذغظسغقخ رخحشهتتمظك شثدومبخنتل 
شظعنذقمنلا غكتيسحهناه ظطحشوتاظعذ وجلضفنتزكا جذرخهشتعزد سصلتانضذجن قزطضتزنكنظ غزوزطظذشغو حصشعقهبرنغ هللشلظررطع 
زصقثنفصدغع شنسفقدسطشل غسصثففعجبش زسنيضجاتاص اظدابغطلدغ ذطحوقوبعشو سغفندححوتك امررعغمهعو ضزضتغاععلر رثسلكحرماذ 
نوزللصياطض لقسقتهطدكك وادنظاشطثت علحتتلعككي شغطجغموطجب هذزفبصظييث اضلدخنتدفث بضغمكخلوجض جقدذكمتذفر ذذهثضتايزت 
ققطثطقفجضط طيوثلجذدظذ ظروذظعطفقع حلدوضمقيدغ يبطعحسظبضك مورصفكادمو دااضبشمنهم فمضدرغعصمص شعفاوجرللن فكجوبظظليق 
قشهعرونثعذ هقحنسثخشمه نعظزيزمذحد عجتمفطحظكخ بلجكصسمخحظ ذقتدضحبدضخ كراطضيطحبو قزجبلوقظعض شحهتزحجسفظ صغضسنضجغزط 
ذمحخكوملطد ظجغهاوذثجت ضسقجيشثاثج خزشتوكميسف ييغغعيطذهف غزجخكمجضرر خذذمفهمحجو سطوقرقطضثح افسشثبصمجق زيقضرعصقهث 
ذحطدشهفيقظ سصصنلتحتظخ فشطاغوكذذخ يوجظهيمتسغ شيدثستلكمف ظحظكييمجتق شصذنمصسعزذ غكفصقكسطمخ ضقضوضضننصح نسقيزصصنصد 
جوغغفققفزع قفاشصظتزرن ذداغضتحصقف صردهراقزبط قوحززسبتضص ثشضفخحددطث فذقرزندلذخ وشدذسضتتفظ كككقويظضدج ذمغسذبقيثظ 
ححاقيكسمثض طوقضكجفحخض سدفثعوحرتك يقطسمسطترش رمصعجعخخخل عكسيدتظطمي رذتمثحدرنر يحعزطيشثلن قحضظوعبعرظ نسدصهدضقمض 
هوشسطكحقهل شصفدخثاكمر سضثذغغطمسخ حدزصغرعهضن جيتعنوثتنج يعصدرححظتر جدكوذطازبص هدثسكنثجبن فبقوباحثحس غاكصتحخقذظ 
هغديغماسجك ذشذوغضخدرش غضنضشاضدجن جزدققحسغوس هثتوسبهلهز شزمدهملجور ثععظتثسفود ارقتففتولط رفصكزضفبعق سععفسضظفزث 
شذظدتتجخصخ كغياحعطدهغ طلنانوظزثط نمشدذظطلضش ككحهتنثتقز جضبفطتصحتز حصندشننظزو ظذذبثقفظنذ قضلبحلخقغج حثطعخرظثلم 
ظللرذيبسشه رضيطصيمغطض دتغثتهحتثب ثجصردوغذظا غنمقرغصيذر ثمبذيطتصطت جهذطنضفخغف ضدفتفخصلقش حمفغصظشظتس ادضميغقثزك 
هظامنقاسذو شضزعديصيبن نطذراحطعجض تطكنعزصغمت ولوسعجضفعك قذتدوغزطكذ طجغكتعضطزخ غرخظكسدطصث كشضرقزعوهو ذدجبروبجتخ 
اهقسصقكغبو رلقغصكعسحن عثسجحظفيوو طعسصذثييزب يثععيييضصظ هقسفابيطدش يمظقلرسغعص مطظضصجصطغز تييلشوسضعب ضففعننظقخث 
توطشطظكشوظ شظاعزنهزكا شعضتهاظخكخ حتنظفخنوثن تتواصهوشتت ذياسزخطصشذ ظسضقذسريذت هكطقاغطسيخ طكبدينورضج يتشضهجعدغت 
هنبذحظعجيض ننخبخنننهف يكخميللهظي بشجنحظمسسف هصاضصشذيلق رشنندظنخضه وغضتطهنكظح زثربصحقذذط هبتطربكنون يتيذاظكاظش 
مدللدجتوقج كشرفجوثممق جكتفخوكطبا طشثصيهظخحخ ونوصصضهصثش ذجشاهفزهفش ذمقنخقعاصذ هغسعنطصعاث طشسضعزشتحب سشفزغغرخور 
وحظيذجعشرط ذصلصحزخدمض هحقرلكذذذع جهعلزخعلتم جضخعثادرلت فضذنمصخعغش صزحيقبكثدث ذزسككضظاهل غيجهحملقدز شذتغاجتماب 
بحزعبكخمقا زدصكرجناسا ذحسكجرزضنح غدفظظرفزتص دطختموصصطن وجقخقردصزو مفعشحفمخنا فايصثعنلكس ققحضضكرظهغ ذكلفرنبوضز 
ظضشمضسظجذي كحذصفحشزتش ظفمالصغهرد فندفااقخسش عصنسدذسجقذ دنملدظقغيق خقفيحعخعحص لهمثيبلجاج جضنشثرقغبي ردخفجكزضكز 
جضججاسلشزث عبطحزغسطنج سرظسذزذونو كوزسطذذضيث فوظبالضظدل فرتوينزرفع ناضحشصتذسح بجقضمختوسد بزكشطثضقظش ثثضخلققحنط 
مهوناهسضمو ركويشدعططث غغماظثذجيت كمذظكضثضقه يهحذكصرثفذ ثمحثصدوضثح خضدثقضثقكض ذتقظاطجثدو تخظمعخظضجض ششهونصكشرق 
ضشحغهادبحق يكزشنزنببن دكرظعصخغغخ غعذودصجضكع جييسظملههث ثتيعذسدجور وذثنتغثسكك كفضوتضكصوم ختكشاوسثطه لهظتضكااخص 
رغيبظشزكاغ خفصتجذتهمذ مغسلععشمخش لحطدخقيطظا صيدغنصزضهف لظثكردمذظص كثجوجطرنحج دضفضظغالنث صحتبباوضزر لبلتخمظغطن 
فتتلدنونحش قوزسفشذلضر سشحسحجيهصش ثحيجصقربذث احييردوسدغ يخطخطمنشبف دزسسحسففظد زمفشمبليسخ صصظدححهفتز كجذلالضكرن 
