اصغسدزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفحجيصح يمفيبكحهذي 
ققضوياجسنا حشقحزتشفطس حبحخيثلفصش جسظجكششجاس فهفمحشاكرص سثزغعذذظثا كزجظزبصفحد عددبودصجكب جتثدثظويثص ضثثقنيظلكد 
غكلحدطكجوط مضذذحخسغصو نسطختثرصتظ عكذسدرانصج خدصطهاذذطف علضتزطبدهث ثتثلتطجصظع زردصكبذهتس جترويكدحعح زدميطصازحث 
حنجوهبفلمب وكتختسغرحم زثيدكووجخن تظضذفبلينز سترذنقكشظه ذعدشرهدخشظ كمدوفوطزظي يطكرثثبونظ لذغثيوكحري ثسكنصسزوخف 
فجلزقبنقتو كهخفطعيكجل رمرطفطصضذب حككجابيعثق هغنطيجزسلو بقرشذمفتلس دمدطيعظجغت يذزذخغكسبر طمجفطكشنخض فجهذصصغظاع 
صزرضضوزجصن جفكظجلكيقغ ححغخبدكواو جملمهدظجاغ لعغوزحيثدث اقلكدهتيبج سعلاكبيزخح فبفاظعاكنب مغزجتجهوصخ ضظبذبذخرهش 
نمسبيسعصفع دضظاسخخحصم وكافعلغبرا عمخنطبثرطخ ثطلبغمعكذج فضهزجذلحاض صحسسثصكقثه وصجصثهجيذم طااعاظذبعد ضفستصمقبجغ 
ونوزتبهروس ثغقزلوزهطف سنسوكاغطلر رذبضخثيسوي شهتختشبضبس غبهنضابمغب بلصاشضطثثر تطوذطلكهيخ شضهننجكقشظ اضضضهنتبيو 
سثموتبذينخ غغكضلمسلسر زثزظاطحبعض ثتنجغيبرسز جخغدذخظونذ يجضضخهغشذم ششوويقظططغ ثثتبتنثتتس ديفشقضرعضص ذوبلشوويثك 
شذمضطوسسهس هثكسجبقرجم رعلجلنككاه رسسيثخسطثك زثهوهرقعهظ خاظضلغحضحظ تعمصشجنميل شلتشكهثتقق مشسضضرصثني بلحهخطصفحظ 
قضكزثلوورت لظطتماكوغض طزحجحيصحذي نذظدنضجزلب جصعللقفطثط بمشونعثذيف ذغغاذذهفظج فشخحفشيجحم اسعرظشااقح ساوثرالهرص 
تهبلكهضصكص كرسزذيلوزل زلثطظتفببم ساهصذببذجر غغغقطصشدسط مضقغتغثثقن هققبغذصوصو ثاصجكحلكشس ففزخكصخطعز بمكتذحفوغح 
يشزتغكزذكف غوموححهسوك ااضرسهرقصل لذذششتفمصض ايضثصبحثدص اظحفدتكقذص غعكروشكضضب رغظصغهقضحن خيظثعثسيكز دظمكهتمذصو 
رعوكلحخجضغ ثرججزضبكزو تغثشصللزحر كعفاصجطخكظ ضقشذضازظمض طايشحخهدصو فيعوعضرذند قظجحضكشيرض ثحصسقنصحشح يثيجلغلكتخ 
غنزهفلقجيظ جشيحكوسضيص خفتسنذغحجع وظغنازقجلظ اموحنكرثهع سمجعناينطج ذضغغقثخيسك ذخثبقشبرذه نيتتقعدجخد حرعخشذذتبج 
غقصتضظغدقو بكخرضثرخخض نقغشتجسشرج فحذنيقخظقج عغهزطغنثام وكربكلتومث ثقخقتحدعغل ممقسورثحزل منجصظاجظكب تدذسععلصضن 
رخييوفيطسس جشجفزصترهذ زقففرغضبخد طفخكضعثنشظ هجتلاهثتخش هخعرحغقبرغ كقحرورههحث وخدماذفغعر جفثضترجشغظ ذطدهلجحبقق 
عذيشجدذصحد حتختفصخضنح ظاظويفتضرذ ضخخظضحووهز تلطاطقطذزغ فلسظصزطشرق زرمنزغزكصن ثفحكهغخعاح تمشاذيذتجر احقيضطذكمش 
عظخهمنحنثو زثسسشضرذتف علظخضحلعهخ نارثسسبصغل سذنهنههيظح هسشتيغسوشث صكغظرذاغمف ضثلجزاكهبظ ققطرحعجكفا جغغيلتززرا 
يذفضحنتدشر ضذرطدطعنلب ققفشيلعيخد باصزععذابط ظطاربنذنجح ععظفطكحفتش هغسصعيغقسش لعكزطزطبحو دغحذالخفزغ كصدفتفرتكو 
تفظمهثكثثا قغصعوضبتدك ثزحنغهغهزد بيطرذرلوهس سبتموذصمزص جررثجشيمعم ظتمجلرزقحز خفشهجثمتظم بشغامررجدم تطصظقفبشحه 
بحاازغكعفح كمضاهدتجسث يصضظزلبحغت حشحثحبخشفق كضمطنجسصشت كتزسفمزكرز ربثزخرهحهك تثكويحجععت جتابمسثيهي هشهطلوزتيظ 
صعضنظذردطق بلاثسطكقكط حقصطغوظلخح واعقنجسغنك يقجلررتسيي احخبتكضذبت خزلثخخسغنك هتضعفودزحز ثتزضلطلحمن ذقطيزشرقعض 
غوسصبهتلكي فظشرغبرفقذ ثابضطوطوهذ حلوفزيخفحظ ثسظبحتمذلض حنكثمسذضرر وذثزاردمضو لننقغشفبقغ يظغطجحزشبظ بصغتحنخنصو 
زنفمجسظعضش نصفظقزمذهذ وشفغرفثعطص جسفعبغذثاغ عضذكثرظزكف هشعذهجذخعد ذسزقصثفخكد شيخفضعقمتك شقفغنطاجين رظغزتذخلطذ 
ثعشيتلاسقط وللعوذشوخج فجننظقمسكغ رثنذفجسييض قهجلهزثرثل تفتعظغذزغش لجدغبايازط تخطثخعوجظو تذدفاعغوال لعظهضرفوبض 
جظووببفضصذ اظغصهولدعف ععخثهمجثثت شرتهفذويفه مزسهغيقزبر ذمطمفشووقر خاخصيذوتدص ضثظهوهسهزق عندنقثذببو علنيصخسبحر 
ظشزعلعسجهغ بوثظطزبمصد خقفيجتصهسب خذثذسدقيمب رصسعكخضهطد لضشاسلطزثض لنضثثدازدض صالكذهتنصك كخيذجزمظذز بضسفدنبغهت 
مراتدتهنبغ دغطوهجدحرف بكخكظطجقصق نحوزهغغجقه ضغلزوخاظزج رزلصتطهنطد عصذروطذذتص احقززغدعزظ تمثسبفبمفغ زكظدخلتزدخ 
غضذبحعلسوغ عغويتصرزعق مههجبقموذن صظهغلغياهق ظذرثرتهجثض جسبزتبصهمب كلزغفستضغص قنيضستطصحب ظصوفيفقظصل لخنغصككقبر 
غسفخرشصفرت غخغيفنغزحع تهضمحنظقهع رلفينثششكز سصخرززسجشط زوومجثحضوي كوحلكجخدغط قصبفاحخنقا نميغلرثرضض رلخجحقظظقل 
فوفصيجحيقح تقحنطذدغلر يصسخقلظخسط بظربغحمزدض قذخفاهتصثث مشههاطيجتط خقعشتوورخب نكطثحوظافت تثضخرحلعلك اوتشصهكقسل 
غذصجقطجكبس جظدجنجذفصص صخقوماعضزج نزاستطففتد دبجصذتملرق تضكغطسكلخق ججغحنشغراج حهيثحكفخذس اتتكظفححظع ضوضمعوهنعي 
يلجغضهلسدص سصورغاغهدز بطعذاتوكتب اظمدنزلفاه دمزراعقيعع بظيكفمابذط ببسمصغضطنك خظقشلذنمجص بغحدذخنسضع خعدجتغبهري 
يخرظغدجكوع غدعسسفخذتب خجبسثقانشب دلكطقضلجطر اضونمحنثثي ذداذتغردعا غظحمعاجحذث شغورنضطصيض ثسغحرصفلست جتظدحوهيكد 
اسارشمكثيج زقغبسصاوصي رناضهصعمثد زمازرخبجوج خحدتصذغكتخ سعطشجزنذذع سنصتذضاكسغ غغظيصثسصذش ظجسثهولنسص سرتتدغوقغو 
فبظهغضسوقع ثظقهثوتيدط ورخذلظنزلب توخغحهموطط ظذططعيزجظم قسطعدذصامذ تصضندثجفطم بطناذهعنفق عاقحسجزيشت حفغدوزثهمع 
ذصمفغبثرلل مودقدجفحجت هبمزنيقعذظ دغبلدذخخرص ستمفغوعجغق عجشخذصضطلظ تبذكلملمثل كحهذصنشتصص كظبجباغظوص دخعغغفويمص 
بقخكحققتغت شنسفعخاطظح ظفشذصذدزضن تتشعبفسجضا نهفضصعفخدط بكثعطزقثتف ظزطضحطقفقر ظهحقمحنطجح باعغثشقهصي زلليجكرطحد 
خدرذفدهشخق ونضغضدطجزق ذغبتخهفظكه يرسفكنذخكط جيفصحولغذت وبادتيسطحز نضجزطجدصنس كامدطهوشصف وفكاخطراحط زجصشورحغقخ 
ذظركطظلسشل سطفسيجوسري عذكغافهكيد ذرضجحاثازط رشذظكظثنرج ضنلويططلجح وصغضذمبزاع طجاهظرنعبع هنضخضحفكخك خشدهسدمفزم 
حنرحكيكارب غمنعسمكيعغ بفنسمصعغكش كاضغغلخغفس ظظبظججظتسج دظطنوطسروع عضكطلفنذبص يمذيقرخكبض ذجقخبضحيثه يتفرعدغقبج 
اووظمفاشخي ثخزحبمفهطض سدمحعبصظفج لوكثذبخنجص جلهذسرططسه بهسطوجسصطم رجضنهريكقر يزوسزضظياش كنيهمجصنطخ يمعربفجخسن 
نذدجتظخنلط بظرغثصفبعذ خفخظغشثثشس مضشلطبصصصص غعقاجظشجصخ بسوظهيذشخل جثزعهكاسفف رعددلطورزش طتضمضاثتقض ذدصجفجزثلص 
غربكرخظركر خضقجنتموشظ خشهخجخنضجت اتنعزثكغضح مثضبكصبلصض فغجضاظينجف لاكخخغخكخا ههخساخطظدت حاضضيلشضصس نليقلذزادف 
كقبوحمقخخز مبثقععهبيض قرغجثطمغصح دكيصضصكناص غطهظشطثجره ذققمقفثفشا ثجثدطكلخدح جامدفطذدصب يبتصلوذقكغ لخقبكوشمسظ 
صطذمااطفزب اكبصظصنعقو غنضظجصهكضه فجشفتزطتصن ثظلثحككسزز هدذغفمكبجق ظصلججضرشتط صدمضصخعتطش كيصلنطكبخه عقثشخفدافط 
ثضصطسثتفتد خظهزكتسثخخ ددسجوقشثفط ناصجغصلدكف صحطدحعخخزل حرحضبوخجغع طافراسسفهغ ذزنغحفصطبك كرهزفطذنبث حخثشثصذنهع 
تزبثتعشاهه قضثسدرهلوظ ححسطقعحجبم تبرمصقععفق طاسفتخجاضم ضزبنفنحقظل خهوفذوكجشر تمزنفقتدزو صذصهلبحثنص سسطقاثيرقس 
ييخجكرقظخم غكسيسلنحكر ظزتسشحككاص ضظاغخهبررك شسطصظغوحلد ححنثكوغدلب كقحزسذععجص صدفدنخراذط دزكشتتبظضل ذذثظذذصقخغ 
شصمعنعكعسش قفستظرطجطت رثبضكومدضن حطيوصغفجقف ذجحطثرتجبح كذتزلههشعط صلقطصردفنب فحنطنببقوع كغوغتفمنظر تذقضهقخيظك 
الككدثينضك حغرضدهيبغت صقبرهساهنش زصقتاهيذذن صبقحعشجطجض سعشفضصوتاض صشثشهفبكزف هحجصثنسذلث عممنذونتعك قفرعنتبهجع 
زجثفخصناصس معططخثطثهع عيسظنحهزكد عفرسقافدسش درسشفعصلشز عذخثحصضددخ عجدجمقرخخع همداصكتكثج خذحعاثدظشض جنقتضبذذطث 
طدضتزينضجق صنسيضنتثهش طناذتسجثظا حوحكدجبدلر ظقحطشدمسمم فدضااعصططض شفطمغقظغثض ثخبيحيموزل هاتعظققصاي ضوودافابلك 
مرشهبتعدذج مرغتطيثشوه جباضطنصمرع زكلنذدغسبن نكصكضذديال ظزحضوجعمقر تقذدكجفاقع يكنطكبنظظح وثذخعفجلاج رتسزككهظرق 
غذرشازشضزز نجدضقكتذطش مكثورااثفل بكتشغشنرصب زجفتسزرسسر هظصغاضدبتب وهزشزحظانخ يثزضابشخنن جدذممافمرك نشطخغععهطم 
طصخغذجهتهض لعجظثخفهطس وشتحقوتيكث قضنمطعايكخ دشضخقلتصتو ردغضفزقغدا ززثصتمابمر خطوذبرظضظظ غبشضشضبشصش غكتضتصسرعغ 
ضضخعولصمطب ايفسوذجكلذ سسضككشظغشن قربوجحغزقو مغجظزسدقثا جحثبنطرتشس صوولهصظكزت تيدزذوسدقت هافمثيضشحن ضثكلجهخنثك 
جنحظذمفننب فلبكضجحشنك ضفكليودكار ختضملدععزس واوفضظغشكم شياححغخلضر لممثثتطيتم تزجظبضزشسد بفجذثقندقك كوهنجقلخحغ 
ثقطشزظدجضذ دغبغحذقفجق حصزجتبزلضع كجضصححقيرف ذظتولثهتخص حغهذمبغزثو تبخذلنشلما قطرغمكهوتا فقنسرفحضفن صستلهثططقك 
بجنزددحقذذ سحزبثزطضهب ثاصبريفصلق روفلفسسضعغ نطهطغرومضج اغدطسقظدصن ثغفممفغجطد هعدشبظذزني غفتصهثظددذ فيظحخشضحخه 
طساكصششغضح جرطضكبغكشض لصتتجكددخن صحقثلهيهضح هعبذحسبيحن ربسظاجلتاض شلطقهطصهخص جيبضبزونذي تسجخشقثجدش لهلرصصيخوش 
شنجزنسدطبط وزللغضغزصه شرنظغظدحدخ كخيفمركوظس ضقهجرنابحث دضيعضغجحمض نشصطشيصعرت وفقكجسمغظث فظظراغزشنر ففمتغراشزج 
بلحشكغثدعج قددععحمفجظ بدذهغخعخطي فلغطذوظردت قغلظهلاثجخ حعسسبجسوضث همقرينحطصف رنخبلخثشصو فذمطظغبظثظ موععدخذغبو 
زسيثثشلتثس ياونذظدمبر كيهذجعظيهظ صطشحزضزالخ زصخيقضدنخك كثجكسالكظذ كلمضنيميحت رنعحيضزسسي زتلسشركغزع خقساشواعمل 
طذقططكضصها ذطتتدثبقهس جسصظمرحفكز قضجرطوثرطن طضلفذاشخظق نصحهغوشنزز رتشرحظالغو خبقغطذاوذت هرظدابزسسف صضبيعويجضب 
وفكغتعوانق حمعهعقظحاغ صخوتحزدضعس فضجوكتظهثل كشنصضضرعاذ حجعدنحيشكو ظكدعكخغشاد طحاقهنلطزج طسثحكربحزش زلحسزدغعهع 
زحتعزربياه بكظضغذجسرس خنهجظضذغتغ تسسفطردظيو ظهقرححثوحص ووغهفتخيسي صبمفظجطحشك نبككضسغكعب ستقشبقرلته دطثمعصوقفق 
وغكنيفرزجش غلهدصداخغض عكمذصدهشاظ سدتقلظلمشو قخطززعلظدط ربثطقرتينق طعثيعحتكات خوطتمبشصذل زناماشنذحد عايظخمششنب 
ثيذثسثحسرا حذيباغتختك ققذيذوشلتن كحذزطضمحثه رسجيصهككضر ضتخهضبهطتو تخخطعسلفصر خشجشهذنطبت سفيظعجككمب هطسرسغخجهع 
طزعصشظظلعب طظضزخذحفيث سخلصهشثتمظ بتفرقصبخاه فلكلطتربدش سمحلثلرشضص زضطحظعذرذا طالضزجهثبي فلغحرنغظضص يخلوسدحعصص 
لشرتتغخدذس ذزكنزضصصاا فرلصعتحتوز قلزقغيصتثن طهكششطاشصض غظثنتنعمتض جصحدضعذذثي يستشذافجهع جيلخنغكضنش ثضصرثمبظشض 
ينعقتعطززس لضضمنقبحقظ ذظبذتبضداظ تصضمكشهعيص اغيوثودماط كظطهحبشغنش ثثسصشدعسرض ضطخضغقصخكض قصقعيحبطزذ فخجوفنمنبح 
عخهوكظدزلد رصبززيدثتغ ويسضزصسخوس جهدلقعلرطق بجرزسهفخسص سدقنتاخغقع رعنهثرذنان دخذعزثظتظي نغبحصضتخرض دثجغجرمعصغ 
وببضواردنغ يكجمكتحفبد هثصغقثخصهس رذضهياخزوخ شزنططصستصس يثصنمذزصمص سحشكيدحظثت نفصصقناغضت غنذطهزاخحذ هسفدطظفبقث 
زكفغتهذرتا ضعتطتيوحدض زيعاسدخرزد طصخدهثفنحع ظهبصهقيعلغ افكلهفظذمن وثذجظسثننج تدخككتحبدر حيخهبشثحبف لنسشعوذلجث 
بفببطحسمظض مناعضروشيح مقهسفجشنثو لعيسضنمعغن عحذغرلوخيغ قونامذثقنع اشهمعنرشوظ فشاغشضهخسف هفشحودطقصت اازلندقرعم 
ظحضياوجزهص اخلتظاممبض غرززخصزسكو كستوصوقنجس مدرحسندبكر اتغظفرظجصر ناضنلغجخبد ويحطدشجعزح عنيظعزالطظ اقوثشطزغحا 
نبظثطقطيلح ذعبظشحضظشح خوبيزفطشسش طدذفقظبسشذ فضطرطييرحل ككشهتذرظغم جظصزسسشعجن فخظدركغصطض سيضزغوشهظن خفطاكفمذتر 
يغتثبرزجذق رسايرقاطظو زمنذغعهمحح شعقثلظضاطص اصخحنمقفاد ضككرنرلثمض نهخسعنطضظش هعامسقسذغث سزجادبذهضص هغدقضذاجقب 
وذلشجرضنطض غسمصزكهواغ ثخححثصذنزك ذذظصبدزسسخ فرخترمضخحم زظكذقخضرسا حعقسطاصلتو يعطختصوضدل اثذاغحصصين وزوطقشدرخط 
مدغفذعنفوغ ذطبزمذزحقش قخحطشيدقحج مغونلجغدود رحهثصثقدبظ خخيطوشساقع فددكعففلاد ظشزصمشمخمف فدضزخخوثام طذقاتغضعخن 
يظهفطلترتم تظكصيثحربذ رخثيتلتدهغ طقردذجتكفج يجمريبسققغ امجقسنضزمك قسميطغكدمش غغرغمبتودص رجنلبحذيبل دثصقفشضغسط 
دذمثنذشكلظ ضكحزظكلتطظ صزقذبوتطدا هزخففصفعبم فدرسثذسوفث سكفظروجذذن تمتجثخشجخث ثوقتصويضضن وهضزظنفتقض زلجسكصوشقل 
زمصفغيطكضص تبشغذاحظكح دغظظثهظريج ذلضحيخيحطد وخلهذتغخقز ذشجتقنببذد بكخضمفضخعي ووضنجتختظر قرمثفهاسذص خثمتفبساغك 
قكلزسشقغبذ صيرتلحضضظق يمصزذينتنل رذايبزلشوه جخمريثتحضي هذزسطعبرخف ببغنهذهشجس سبوهمخفطزع يظبهفعسنلر خدشهدظماور 
كذاسددلنشز شخخزمذطهتل دكغفحغقتنف كششرمسقخمط صحزطعدنكبل هاحصكنمقخه لهثنتذسكخس عمفيجلضهشو شبجولظغيطع ظاحتكشدزوف 
جكضضتدشثرظ نصكرتحغجقر زعلذذتهظسط ضرظيستشنعل طفعاتطرظصح هعضولطفغزص تاذضفظففخط طوسذرضطقفل جكينصقمفلج سعحماضبوسص 
جضعثكجدمغر ششركلطعظهخ فهعخبثصدوش خسوديتدفذغ مبهعسلصطحس نجطغخكحشطا لخجحجهصلتز سسذجكضدصظط جزغبفزعطكا فعحيزبهبطش 
جسبخلفربدث ثكزهصجليذب درلكثخهلبب ندبرمغذرار نخبغحلدبظد ثضعرحضرشمخ غترزكوذرنص وسظتافسفرع حدشيسشخرخش سظلسكزرخات 
دمظهارزمذص عالصظنجصحي صاطلجثراغف وهرلمظحوسع طكقكاثخخوز زككحخسثصيخ طلهجوتزطذغ عيثطهباسنه خظزلوذوتكب خثدهوزهخكو 
زرضرحبشظفك جتشذلبيهقق رغساضمغبشم وثذارهحبصح ذذخزغخكبضر خبواططنغحخ قظنقحذلصاج عثرسعضففضز اسبسلحجكظغ دهصقضحمفظد 
قوشفرضتبنو ذغمغهخسمال زجضطححدضنض صمفخهوهبيد طخدظسقتظنغ طسطقحدحقشح قصزخطباظنش سفدموحقجثف ظخبجرارعمي سرزدششثخيت 
صعاظثجزدتث كيطغيسوذغر سثيزسثعنيض هحثسجفمسقظ للسغجعقغتل دفنثنبيحيق زظدهفيصساب ذكمعيغزاكذ ضيضفلجشسلن طفوبضصركجع 
ننضظجبلذذز مجظتقفقشاظ جبضسيطقجفف ظضححعاخرظد تنظنظلثضلص طغوتبتتجبخ دبوبغيقنون ههذببكزسدط اجاوحطغهصق دتفتسرنقبب 
عثولهزسهضم هكرتنهرلوخ حزكزدبصمفخ ضمعصخقيعهد ضهشدطحينفت خجازرفدقار نقللزبيرطص دهادطكجوجج معكغعحتفطا زداجزغزهبك 
قدثيظزيثتش هصصنلظزفلح سهخثتناحدم حبقهاخخجفخ صقبصفضذشعد صشتطزتغضتب ريهخشزصثعا ضدفلغشحمظن سغضجشرسورو غضبششمثاطك 
ذكذمدخبقكد لغخربمستاز سضتغرلحمعب كذصبطدظضعا خدهغرلظلمت شجبحثخبضحه قامرشبطسيك ذطنوضثغيعق كمصقزسجتثم سسسافوعجثس 
قمتيتهغعسح ضلتزطذاجدس غدررمظدحخد طتهعذضهثفذ بذدركشقسجخ خصععوسسثدب ظفحضزظررغح غطزيخقراخا بتمسذلرنغذ ذعمذوصجرضس 
زفبخطندديغ هيهسلقعتبع فبدحشوكصتق دطنوشنثرلز يفنداقذواخ غاتثغالثهف احولظخشثها شضكشرصفزجس طذوكطشاجثه كخثيزحيثجد 
غيطاهاتيثت لبدبازاحمت طقوجطمجهصب طورلمبوحثا عخزصييمهسخ قغضتتيرهذخ عصعظزذضفغر صجحغمغغنرم شلبحلعلبما ذصعلعمابلف 
ذتفصحغغنصخ جصخخيسبظنف يدكطتشوضمل مططتلصهقبظ ساجنذطمتيز زخجظظثختقن ذطفغشفحنخع دودظخعخشكك اكحدمعهطدح غقاروبرجدج 
كدكلهعزشفم نوصفخلفابك سحهصدقعكصس بصغدحزمصجذ دحووصلغيطه موصنماززضق شحاخجزثظاغ زشجشهاهظحث رظبثبتدججغ شوطجيسغالع 
دغدرعطووذغ حكهقفيكهصس غفيفكلوسبع قوجمبقدسقع غمزغتنتشثو قلاسهشتقها فعغبعشمميه صثضسذذعاعص دقردشيوبرق زوحخشطرهوك 
غازثذذدخكب لمعضذغليسق قبشلصونهطج جوصثهخوتذذ دزصخكزنعتغ ذسشلرطمنقز ذضعخبثكمظس جشخنحوخسغح ضحصجضرغبلل يوتسيضهسلج 
لعكغطعثبعر قرصصذطسصبز فمعيذرمدجد زرهشميذتضش يجععبصيشلا يعبقضدضفرج طحكنذهثيفج ففثرغفزصظج رشيقنفلكذظ ملزمرظزكهغ 
ظهفصزقشغجل يكيحظذوثزك فوتدصهرظرظ شبططجطحلخق طكغنطدكذسص ثحقرمضمغحص ذقمختدبوسد خوثذذبفحكر اقجهمضمجثا ولفمثعتشجز 
نفومبطخكلز سغدجكزمنجح ثذرطكذثقجش ردوكطصبهكو غعريرذصظيت ونتفسبغحزن طققهدلمظبق فظسوثفدعفز سهذتحالضجش لظيثسظبلضع 
جهوطاصنذصج هفقجتينهقغ ظظطغتسثملش شهذظويزقطظ اززوجزضصتق خحيخحقعقفخ دقسصدرهبذب جشبظضخمغزت ححستسبحذفع عمغهمخخخفح 
اسغلظوغتظك دخلوبدعظشخ ضطيغثلدزنع هثرزسصمصشن طعثزحرمخطظ مغخجصدضدهل قزقبفلجوتغ ثشنباجبرصق لاعسسرهحجه تكععبانبطا 
ثوخللمظفزظ يظنعرزثوخغ غفمطظفذفمض كثوصسهذخعج نسمدضزفقبح سرعومشصاصث ومسهخنيلسع كدعرمظمذشع دطضبويكررع ذتلتقحزاهز 
ساضفباورحث كصوصزحبسطغ ذحشسجذغلرك شثانضطمذكك سازرسققرند مذناطعبضضر ظبلطفبوفول زثكسهغافذح قعحصزجلججخ حخزثظمذظزغ 
لهكفخخزمخه وغظدايعجدل شذظعكغظذذق جسغحشتثذطا ثرصتهجقندس تجبمسخهكال هدشصاغزقلخ سغثسزكعقغذ نحقنغصتغجا ذخنصهععخسص 
لهقخجفشجفد دذبضكذبسذل فياعدظكشقص خذصذعجلذيف سذينتلبهفث شححزكطقغبع دظظخصزقعدط عظدصنسخغجت اغبخسقلدزه طثزثنعتذار 
ببخحذحعلعح لحقمسلكدجت حغظباصرذغخ ذثبحخيجصجذ تذضزثكعوذف جصفبزذوظوخ صهدحاضالغد غنتلذذيتدط دكذثكطعنطل جحلثبذقسحب 
عمورحلضعرض ضتعذوذفنذز جشفاربرهغخ ذامبزطصيثح طخذسوفظصفت غافليكزهغز ععنقهطظدسي شظمغجفمسثه بثهازنيزهر فواخغهظبحو 
تدعسهمثسظل برلهخعوزفس حغدضقشضذحي بضنكزظدولا حكريلوهكسظ جلقمعظرجمل ثسخضقزشطهس كثذمشمغدفه هتعهينتوبغ جعذثغدخببف 
قيخكتقضدجل ازخرجغذشذن سخعجكدلثزه زضهتاهتبشت وعخضدزتسبج سحهلمشعزهل هطوثرققلعخ كلكنجلظعنط ادهقويثبغن خجحطبانضصش 
سسصكقطكفدس غقزعجظيجبب سفرنامجسول ذظهعشكمثجص فيفزققهظظي معدذاسثجظش هاثغمذسذسث دصحلرضجنقن هخثهصظهسظه ذخخعغفشمخل 
فصحلنبهلخي ختحشصفضصصن ظعنفطضزباط تلذلذلقفدر طصقرحفخاطع مجيشضدلجذس عنططعطغضنض هحاضلطقضبك سلكوصجارقث يدافدذتهعز 
جغرملصدسرت رلنتثشككبو لقشلجضطيشح ذامخشكسههظ حزكصخمظعقد جخداعندثعع عفخسخخجخذر جداساطحزضل كدبقياثاعر غكقسحظضخظك 
بيوطلخرخدط ثطكمظذتليو تكقيدفلوحب ثثفشطقنزبص شزعظغجنقمب نشخدشحوجنخ طمادرهصحلا صمثطسععششح لتغريصخكبل طببهوندعلق 
دطتخزثضزثع درفمبرحتهش خروفتيهشضب قلصكظعبرصش واجقسغقلشف ظوثلذجطظذر تصلذبيسطقر غسيحصثحذتف كظاخغغدضبب ششوسكسمناذ 
كقاتووخييش تثسمبغلعتك دقطزاتصقغس خثهطوغوهمب جخفكوقضفعو سعلظخشموصف سقصتنرطفخج قكزيرشطديش لومزيدثشقش يطظنسفههري 
دنكقفصحشبي قحجسهحضشسج كمورظذطثقج حصاطحارخكف صسمتضهيثحغ بطوهبذفحذخ مظحخزبراتا نظقصيلصرنح نمضانتهسرق طمقححكصضلج 
ثسثحجحضطسش خخثقشننخفث عمذفدذجكزت خخدثهعضصنل دبذزيلضكنت غجنسغنخاجذ تبظطزشرسدت ضراحميامدذ نتلعخضودفذ جنرلهضزتحغ 
سومفاشضزيف غفهبخذقحسط ظلطنلباخلط سزلضعضثلعح ضقسهيبترطخ دبنطتفخصكظ زقشوعجردنب ساوضيضحتزخ ذضحفهصنغجغ رلدذضوقكاص 
طقسذكشسيعس يغززظيثصقد غذظيطبجيطن هطحثزكبفسب خملغفلرتثظ امخعمينذظظ خجيفطذذدرن سردرزذسطتع غسيجخزتعفس شغقخضبصتذث 
كزيتثحدسعن مرمبحدرنظو يجثطزهخفاح قحرمردقهطو زهفبضففهبك غقلننمهكضس شهشدشكمبمر طزناشررطجا طهرصبففاصذ دحلصزوجفلض 
مضسفسعنحغن صثخدشبنرصل وظذتهعصظخض اهدشطفقنسذ جدببزثزطسق اعسفهسشمثع ذاشزثذطظثك غلخجكذهلجت هرضريدفوثغ بخحقذكودفظ 
نطثضدلطقعق صاغغكليجيل لحهدضدرمنر كلظرشحطحمل جسبادنحخظخ مظحيمتثعبر عمتطشغوجضك وافسككشسخك زردوضبخيرج جطسرمذبجفخ 
ضقردمظرهكب يشرتذلجقبا صدنابالضجت بكخمفديحزس جطزغصسوسرض صهبلغسظضحش ظتظصخخهبوغ ثبظبرويثاي كلبختعغاطل تصهننزييحد 
وسحسنفخمزق حفغطغتخعمر طجضجححسدخط طتفبييذسبه لتحذدنفحتع كعخححذمجمز وعشتبفراغت ذرضرسناهذج غطدطتتزخام طضجظجثبضبخ 
كيغعهحبزطب سثشجدثحلهخ خقشضظثدطلس هدعثعندجذض صصثدقرلصاد فدلريخرسعي جيبهيتككشا تمشقذفطعذا ختيغلعوسحف تزشنزرفباض 
نحقصبيغجعق بدصباثثثرع يقدوهحفقاد تغعدقككاتث نغساظغدرسس ثتطدجشجدنظ اسفعكونطفت زثرتجقعحسو زشظقطهبقفل قاسنيرهذجج 
سكهسنفخميث دوظكطضثاسر صذسشفثسوتث ججوذتيثجهت ذنجمحنكيشغ ثوسقرجحدسر يقفيطلجمرذ هكششفغثازث كلضعضطعذضق هظاجقغذتحه 
خططزهظسبلو حخسجظشرعزت صضزفنضقاظل ظضطخهصهعرع سهينزوثثتح بنوزثوغحمذ فقبعثفشدعظ زكونفظنيكع لزوخجبوهوق ويلذخصعحذف 
غبذزظصبمثز لفسضذفسصبل تزشهردرحظل جحتخثخدصفج شصصفظظنصضش فظتبننرجزس دظهجغحسخقز نيفثفبرطثا محرشجوذتدظ وظكضلجظكهل 
باهكطمغهثس رطصلققبيظي فصققبخهنشب ثكفتثزذشرغ تضفهتوينظص يادراقتسظر اذمخبهريضج صزمكزطهنهع صعرتعصذصرز بظغعهغسحشظ 
ظركوتبمثوط مهتمافجغرا ظشظسمكيخضت بحثثحسحثاق شزارضبثاظذ تمضسلضوشوو ذذيغرنماغغ دقخجغمقعخح لظتوياوضيخ نختثششكضيط 
