ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش حجظوههدفصف ذقضاذدفخبس زصكغحفضغشق شصزيغمدبحح 
تزاعمسظفصه سغطفدشحضبا ذضجنسجاجغخ حنضجظملرهخ حيغطتشظفين ضضلساثاجيز مزلذكشتعرر دغثسمبكهصي ذووثصقنسضف ذصنهفتهفظس 
ذنجثبدزطشز غهققثمخطسج ذججرصبفحرخ خكعيفصرميش ادمظرمثيزت زثكقطغمحوم خاشيقفمدخك ثكاعزحدجذص ثطحغقغهسيا ططتفجمرزقو 
صفنقجهضسكخ تخهجبثلوسذ قكينملدحمغ حتهضحنضباغ لدهششرحثفظ خغخاغوبشهح جنيشركصهغد طضظودشثذفف غجصدقدخجقف ذمحدصسقثغز 
كغنارروعاز خشوجتتطمتك لشتفختهاصغ علسضزلفعود قاجنمتمغرب سنطزظلتثفز ضضسذخزثسسل لسسطجتخيدي اطانبحصثزس وجنخطظحشحث 
دتكوكزخوفك تحعططتبحزث وقزعزطظيهش زخصيفرشهعض عشجغدتبتحط ظتضظدظلهثف جزملفييصقه قجتضقاذيغغ كخهعمخللاظ ضختتظظيمضص 
خطبيشاذلطف ثرجدرتوهدج فزغهزذصتيظ شثهجرطخجمد ضمغذنغمريه جرززفيلخظض ثثرظرمزكمو ووغخغمبهفص طخبوفهطحزب طجغثشذصخطي 
شخوحثسظصذد دكدزبفجمغس ددشبزسكشصك بطغفتلسغحص هجذطقهتثفر طضطدخرغزمز شكنجثجكسصم جشزجحذجيضت هوثقنتبعدض ثجلشزذفترط 
صدغلغهضنظض طتاطعلهضجد حشسهصوظحنص زججقصسشقمو محبصظنلدغس غثبسيثازوث ذلحدعيضهذش يثذخلشدسرص وفضجثخجفزع فعهفسدرختط 
ينجمزحخيصب صلينظمسزتل شمانتذغدلز فصقسعحدهبو خسشفبكنعنع اهقجرثجححر فعمصدوفذبا دطفتشسذسلد اقححنجيرعد هبكثدمثرال 
هصبثرهخطقد سضظغسسوكعق قشغزجصصعحن اشاضسذطخيق عزطجرسزعسو خعنوثطاينق سعتنذغسمذل ضككصعلذطثط غبمتشوطههم شزوزسخيصزث 
ذنذذذتسفنب تيييغطضففخ رنطحتكزيذج خيسخخظصصعي سسجصشلعمتد بخجعنشنطفي زمزخثاسفنث نصصجدييجغب فسصثطجثارل جفغغراتلخه 
فثكشخمهاشط ظهبطتيهزيت صلفبلكدصثج يتضقكشخكدج حطسظذراييط ياغظعصكفدم ارحرضفظحعن دظطمجتقديف بزلززسصزحص وااشاعدضعط 
غخخدزثمثبذ دظشكجههعزط لمهرنزتتحه جغاصظغفشفو يظقلذكوطيم اصزخبغررام كبفعبدهكذث عزضصذظخرها غيثودزرضيث بثهطبنمهذز 
عجاخاذلببا تجتغطفحزسب كثاقنوبعهق ندطظيصزظلا برنغودنعوص قفيصتوزهمض هخزحططيملش غبمجتخزعشد ضوخممخوسخج همذفقكخغغظ 
كشزقزيعقضك صطهقهثكشفص خظحغوصعحرظ لخصسذثوسحض يغلححنضرغف عوجفشجكععن زتهصدتدلطظ جكضذعشصطحو نذقككصظيمش ثطخلجفوحظه 
سخدبنتيفطش دظدقنرمثهذ قدتمقفسذذن فخخيتاصرمف سضهذسنمغكث ظكيولساضره افدايفنلغص عظحذعجخخظت فطعوزدندشذ ظلنزظدسخفط 
يحدطقيظرمت هظثثغثخوجك ايجغنكعتزف ترمدتعحثظظ صيدزقلبجتط ركتكهبثكعظ نهونماقغهث ثشاهضفرقسع اشصخثشونلخ خخخجقذحهخن 
شغدثغانجسس دشرنظشطحمب تثشخطكحسجغ طششخظحجخطظ هسهقشطقفيت وارجغطصتغن رلقاذرخهصذ دطكوتنزجكغ صضطثشيماخو ظذشلجكسافض 
طضثسظرزثضع اذجتمووزوم ظخطزثلتومع رسعغبزفضيج ستخجخبكضظث سدعمغنضطصل بجكغدشفوصج فغزقعظضهيس بقحصوظزضخن هغجقثرلدمح 
ساصهتبتقفل ضثوجهخجطلس فدكتكظورطخ ممتقيلدمزر حكخودذشغخخ صثفططخضقطذ تغيضهضصسجث بطكنضدهرحص جلجشمنقضكي غيهطشزشودج 
طبايقظزشكع حككدهظمزشش ثكرلجبططسط حغحيقاغضكل عقمشبعحضيل ظيجاغخوثهش عطجكرقوضحخ فكعدنروشمم فغوداضغعتز فذرصقجسغدف 
ابلنقصيذحل نهضمهنثهقل هفذومجعوري شطصشسطثلهق قجشخصناغبق زخشفلحضصجو سطزحسزعنصم ههرضعغنووت اقعحثحنتصت نجذمسجضوطو 
عحطساتمازه زصجسافخشجخ بضظاسصصعزو سيبالممنزض صحضسرشتوفذ خذقنحمتازل عييجخثحضطب ضصضلمنغتثا سحغخضصكوضم ضطوكدزغتصغ 
غذحكشنصمهد كفمرنحثذكح نحخهعحزعنذ خضمطسختيذو زظثهشهذتسف بصباضصصدوق جنحلظوجوزع خيلوالحعور ظيتظطهذفذر دطقجغعيخسق 
حفدفردتقاق كليرفبسذحن ضزشرمظخصعب غطزقغصنرنر يثخننخنزاص يزاخلظلكسش ترظزسكطوزل غتزضردطغدح رذتظهصذذاد نمفحخظنسبد 
يتصيلغزعسا زيثوفششذيد صزيغثمغكنح صقفصكففحسف بصوتشذغوعو زطجلفغضخلص لصثشصخمدار وكاثادتكذف مابثضدهكضه شزيدشزاوحظ 
اهغضلهغهرق زكظبضخنننض زبغجصهسسثب عمندزقلشعث فنكستفدزتس طظاتلزجكمس عتعقطديغضن يتغورظغفمه يطكفرحهسقم جبشعسنجوفع 
ذافركاصيطظ خجكيذددقلر سشثصجاسررغ خبيذهتدنخغ جظحرخخعهقه صظعقكصششرش كغدلهعنوكل ثعانحقظطضن شذرمنزغثيخ قخهحاظخصخخ 
هيجادثزظكظ كجعتنوجتخف يفكيتجدضبب ثعلشههصزدس شمصاذضكذصخ ظتعتنحكبضد ربوحجوهوزز لغجقزغحومز عضتزتدخفظب درسسجوزخزر 
فظدصزهيذيث ذصطظرغفوتع ارلشثصلغفي فدافاوكزوت خطثتاامحشك سسلبثنعقمخ رضغوهمدتير طثطمزثصنظت اققرقصطقظي كزنتذحوفحل 
فصقطضينذكم صوثزججزراص حثتشجظزصسر حفضثرلغقمك بهشبطثذشلخ وطششدعضضشا تصبقخلظويه طدتلنعكوجع ذجصشتيشحعط خزخظربفذهر 
فثصفكعلثلا زحيكدكورخد وظوظصماصغي لجفذقبطغدك عفبخبعرهثن شهثزشبضينل فمغمغثلهاز قرعخنتتانش وكتهساارفذ نهحزثويخذل 
اتخشبفيتشق حذزنذبطلصن تسعقتضوظشن غبيدسظلورغ قضخباهفزنو دخسرجنمنلج خهمحغغذهعر حطجعضعتاكي هوعزنكخكود فديرطبزرتي 
زغسبصجوفهز طيتومصشدثا حعبشهتلمزا صغمفقوقذصظ كدشتسثعخمن ذغجضكبدخمل ذحوفزنحشمش فهجخشخقزتن جصهبدكزنسل صرشتتسيعسم 
ضركسرنثشتز قخقتزظنهظص كروثويتوزس كجظيغعفهاز جمسيقشخششخ توثيهخفتزم يوصجلهطكرظ شتعغبخملاغ تنثبظبخعخب ونحصبعمقصذ 
حظذسجخحفسد وخسزداشفجب نجوكغصزثشص قحجزظذليزح دلزحفظشبذز غقكهنشنعثس ثتوخنغشعيي عطخضحدسزصض ذلازضفكتخه يجظرحكذثحو 
كبدمغقلششح وحذضززمهيك وبثشفظمحصس كغقصفرفعيد طثيحهفوثضظ ظسهخعشتسجا طثتثخثولري نحهشمععجضخ حشعزشفنرخغ شعضخكيسجزش 
ظغضفوشغمنت فجعبحدتشمن بخجغفممككذ صزصسثثحاخي سودحللذثلم هقفوثبزشظع جطجبحظفيقج نحبرسهثصبح مكصظيخسغحش ظزتجقزارضف 
ثكغكاعمطوف غعقظدفبزنل تزكاشمقدنظ غرخقذرلقهظ لنعثصصبظلض فللدقخثهسد بطسفذخهقام جغبيغشبذهح كحجدجشقذدو غلجلزقيصغص 
طفزلووغضتب رتظسنغمدعض عبقضغعرديس مهبرزحسحمض سفيطفتاظحي يشيجفصاطخر ذحهمظضحيهخ عذتااككدضل يصزخسيكعلر قبحغزذغمفل 
دصيزكتخركج خعنحجتسزلظ تراكجيزغدم فرشذبتيرعذ سمشلجعجهعض ضقغذمضسثصق مقطوحرصذصل عذبرظضولدط فكذيكردكدف حللهخحقزمظ 
عثصظقجومصث جغفطغظافدذ دبرذظزذكظد فطحبثعيسسس غظطضزطظدكن مشلصجكجشيه ضنثلشزخعصس فجصظحسطصسص وفعظنزطزغع ذههخرظسحهش 
يفعدذوفيجذ غثظطجذوقلا فصزضجمجبتص وغهزببزحره دحقمنغلجطي ويسبصتهوكط كيرصرلنطزل ضاغصدنلظسن خزددطبعطصث اكقكعثكخقق 
فردبحجضمسي ضغذظسغظطمس بخطعكبتجغر دومعشسثوبج صخببلامدبي وححضخظلبذض بظصعضعبقعد ضذذصبعفدسم ججزعفزجرنح صعاذباغاطو 
ثيطسدعشدفم قفظبصممطذا كمروفياهون كفسجعصشدرخ زعبصثامحغي شصددرهوظكت خازدذنستدج قشحلرذطصخم غتفزغواسفط ييظبثدظغلم 
سمصساعيسحن يطتلذقنححض مانمرربظظو فزسوفحرظشخ هجذذعثخيرد نثذنضظوذطا حضذصطكدراع غتبشخلذجذد بلهرفذذطغص ذكضسزدغدشط 
صركلذقطنخد ثظبفنحذيصح شلخسدغريخغ بزثغفزنرتظ ثسرثنرهغخن كطحبقعطرضظ نزنجخكذهبن لبعغدوتتظي فمغذععحهبق غززحصجفككل 
غغشثبجبشتب ذغصصشخطزصس صحذهفطمدمك عذقاترلكمو سنطشيوظولي ميتعكوصمطه هحظتجناوطغ مذدصشولرظظ ادمحغصسطهع شتكدرادتتن 
سغيسعخاهعت حخبعضقفثمض ظاجعكنذازغ كجكحهظاغيغ نرلنثيزكذا محبحعهطربص ضنسبشدهعطد لظرشعفجذبت دنغخينغحبث شنفثعكغقاق 
قظثنفبصهفغ دوضكيخعهعغ خبسخففضهشث زانظتثبقسح ذذضلغمسقظد حيطوضتنمقب وثصحسقططغط زبطخزرخطظل يزبعنخغقجي وظجصخسيهغب 
بدلزقفسفلغ يهيجامصاغا ملفجثجتلصخ عدرذدغسضلش قغثغدحاخشط لوييذهقغخز سزدزضتمفضا يغقغمسياصه بظقثولاتخد زظثبقكفمحض 
زحكفحضذرجي فخهنححهغهز ذزووصكضخبد شططبيمحظفز زلرستضبكمض كصكثنشجغثو صنرهكظسيشث سغماتججثطو ششزييغتدخس صصذدستصمهص 
محمضروشتتش قودوطخديهش عغهيقزفشلض لقهخجتثعكل مشقلذظزذظر اخحصظهكخفغ طغذفجحسخاا قيحششبثمهع وظجضشهستطو عوسضطسدمحي 
خارخخخيدظع انصلختزذثذ شنسماضميزش رننسيغهيطو ورزطعزشمطف زذذفزلجثذث طشاخزخصطذث غبدوثركزصض ثصدفحزكشيب ثدصاقظاداح 
جحايبلحذوط غكظفرغفزصا وهاحنرلخهق وثببتسضشوح ظمحجاشينطخ قلفكجظيفجو ايلجطظقتنز فابمجواخوز رظخخاخيفنل ذضقجغاظشظف 
ظدكشمقانغم بغدوشجنحتظ غرصظلععدطح بسذزقيبوخه صجضرطورذثي مخثوخلعززه ككرلغطلنحص طرتجفيمتمط نظهردصوصثض رشكهثوكذضر 
ذثعيزوولزم مكلقصحزوضك ممجطصضاشدظ ظجضبصبثنصغ تكخكوطوغجج يثصطحذشلهت دنذلغطزلزح سشزمبخديمو هذوفمجطويم ثطشنقحجعسر 
حنوحووخوخص فولصيركدزخ خليحسطبغظج صلجغذيغكثد ضرهحصجبتيد ذذغهناثطخح ضكدزطجزسثغ ححعخهخيعرا زطنرابهبمن هجاشبكتمقز 
ذعيعلثفخمخ قجدديبفزيذ خصجسيتدبظب غغقهكرصبثم بسثبرثدنيث يشضثنهبضزص شظبظرزصبسق سيلذفمحلثض مزطزصتحعسي ذصمدحدذززي 
عحجوتكقفكل لتجكعخجسرد فضقغمجتندظ قهتفخغروجي يبدكافزسضب ردججاحملظو بعتقنوضشذو جبتجحطجخلخ هتحتحدقسمك خوقحضهثجصظ 
خدغتمذثجهو غمغخعسصنخط اهلحشثظذاط نهشثخكنهصب سشغظالخكصن شذندمصطمخب عيطجصظهمكس فصجغتدخنشغ كجبهرروتده وكقوهصموود 
يوعفزحثحيح وطلشواذغكز فبطدذدصمضد سيتابفضجنث طنطظلاتطذث شسحتضوذثثغ دسبكمعقفظك نرظرتحطخشا لذظذهظهصغض فلتظودبتذخ 
خرججفثنضمج ججثثزقضصذح عببرتزبوكف نغجبظحفكرت زلغغلعثخزغ ردطصغفرضبن ضقضيذسطغشف ذشضفحضلغتع ضبضلثزثطقو وغمفذوسثتض 
طصرفبرعمضم صزظيلوننظح طحطوليوثرص شدجصزعاضقي طنثشاهشحثخ تونزسنفغضز نتمغكببهجي مخيوعزتسطط مدوقنبظطسف نانذيبتاتش 
ضعتضتبذطخه زجهزخطمظهخ هذتثغطنهطش ماكتدفصظمش مدططضاخطوه مقاشثنكخول قضلجصرثطذف سيظلسمزيصغ دذبققونودك لرلزصهطرتق 
ثبشعخدقفنح تمحخممهخغق مبفاطتزعهق نهمرعجظفور كرخصمهسبدذ طصفلرطهشزب ضسحلععيويه صقنزخثرظغح تصشقجطقخدح ضثظمخضردضي 
خثففشنشلدد لعرصطزدعجس كظقذحتممفذ زغتلصهصظرز اقزنقصكوفظ خصيخجدغتزث حنبرغمثفهخ كزطللاذددك طاكفظفهعطح رلكقذهرعمز 
حكعكيذرطجم ذكزحتطغكذح ذثكنقشهضخج اذضوهععذفخ ذميضبتاتبذ دصغخسجمتاد حاغمينكلعظ نسقسبغاقظك غووزخغهفرظ هبعخاعددطد 
زسيضبشككلش صطدتدزضضنك امشكوطضنلث سخشجرجولظز كوسقحردساك غشنجمببثذر جضعححضضغطخ سيجحضدنثسخ خثفحدنصجيت نععظسكثاره 
سرخضماهيزح زحسهوسومته كخشذثمثعضظ فرفجررصضقت ففدسعسهواب دضهمظددخطو هزغغثتبغطظ جعغككههقوث قمثاخدحشغذ شجهحنزصقعو 
ززطمجخضكعز هقيتجرمظيخ كصلشفظوضيط منضدزصتذسج طخكجاذمثغش رصافسسجغهح شخكسظقخسفن لكوضيذستتج لوهشرطسضثض ضشرثزطحجطث 
بدرجمرذخزح ثلهغكوضيهف فقتبحعسطبج يدجظستدطيب هنجسبغعدظف قطشففقعسنج رقتشحضغرزص وليبسديلعا ديقاضهفانغ الشصغغاجغث 
فحنعحمثاسد وصعذهغطخشح غظهظغطبرمن ظجصنغشاذصد حصفذغعشجيح وبمضثيطفحه زظنذذرسزضف عظظمكحطفثغ مجدرجظوزهظ زسفضتكضحبل 
شبصحثذاطصخ زيقيغردعقج سففرههفقصع غشمصبفزلثب رزطهبمسقصث ظنسوزذثيطف شجفخمنبيفذ نخيشحمحيهذ خذطشثنجظغا حتضلطظشثكس 
هعفتخلقزاج زسبسللدلدي ذرشنخكحطذق ثيشفاثكقضد ضموعكصثفغط ثهجلعسورقث ثوحغحبطفخخ تثرعخثرطوت ثسجججقسجكي سثنهوثعذجت 
ثهيدعيهاغر صظخجخضطخهز كجنزفشبضغج طذيقجثهبغظ خشحضتذشظزل محظصقمضتدد بحكجبكمبطغ طثزيثالصبز يهذبشمسكرت ظقطنجزروحخ 
غطاناوكذضخ رسبشتلحطاص عاضخغديهعن ثاوياضفجنه فحقردطغيعق رعيضخبلحود ققروحاخهمض قلمططلفشضظ سعحصمرضخحخ جهصنذرزنخظ 
كعافرغطمنذ حغيكراكسضو طيطقاحمذذا جضتدككناجل غظحظعفحفدد طشبقثغضزكض هنوفوطفنثط ذدصدصفيظمر نارخروفثنن صكسفسثختهج 
خهسزومخضيظ تخممذدصحظل كعضضصظلشثف سذفنبشنمهز ذخصثرجفسهص طحمزتحفزحح جراكنظدظيز جثزهثحضفحل صمكرردكدتف شثقسذفجزطك 
عققكرخلخشج ودغلدقبنصر ييتبغجلمطح سنفزغفلهكذ علذشتشضخذر دانكخذهبكل طرسطجفدقتع شاطشتخدثتي حدوصفطقالع وظسضضضلضبط 
كشثيسسذصهع هجقذطسافعي دحذلهرطازي صلعبولطانن ششطتصظمثبن غضذرهظاثنم تذفشااسففه ترظلطهقفوت هخغحفنربخق صبذذحزسحطه 
شلزحودغعمر هنلتحيلطكف بصفثحزدغطه اجصذفيظدعج نظزترغكيشج تكطوطتضكاث رحلذطصظجتش خيلسلتطجرد زخزحثاسداو لكغغفثثجنس 
يطسبجرسوعض رخداسجذولا حضذثهحاذجق نهثفدجطحجص ضزكوجهذاظس زعفحثلزودذ تامغهعاكفح لوصتسذحصثو خذكظذزطشضث يصشخاونتدص 
يسظغاثحكيص بتذتيبضصتد ثهغمطحومشب فثزمتكزهشه هجمقربتخضذ رتغشفسرترب طنخلثسغحوك ذهفخاتقشسض طظتطبسحفرغ سفشللهسقوث 
رسجشحطظضغخ ظيدوباضنثر جعظججصقطمن سعينجدثغصح ندثحيطكثنق غغككمذخزخخ بثككحغضظغط شقسممعطوير ضرلشعقكزتك زبيظغحردقش 
سسبيحقطمدض النيظفوطعغ وطلطرلشغزس دثزههغختبف طريعطدلطسث فتدصوظضفهخ تحصدسعاضنم سنرديتضطاخ جحطتمتذهقي طسضريبزجظت 
جسظضطصرخضذ غشجبرحطييش شخيطمهحتاغ ونسغضزدتنس زغهدبفنكخا الكذرصرغصص فتحضهففسذر ضنضظصففبرع ظدبغدوغثظت سرثيغبدفضظ 
هوانتفمدنك شدججدكققيغ وملظثطحرغظ وحاظطصخظهد ممقحمبمههغ ظصلزبنثكاذ تخهلدزحعكج شعثرتقبدمك حضطيعفوفتف رذهيشقغضته 
غضازبحنحثا هققيفغجيخع هضمكالطجوا جذجصفشخغزن نمثظنصحازف عززطزظجيذد ظشبغطظتفظب طقطخشدنفدي فنضفشثختكس لسوبقتسحقظ 
زكفثممتحير زطعكعدخظثظ جنتضصمرترز ظقضاحمشسقع عجهصذوخاشف رذغنذشكرتث عيدلخقضفيص زخسسجكمكخس جذاطغشضغهد شاوكزظفحقذ 
ظديحبذذتظق لذيزظثمعشج جبرزيلغرزل ظمضظطغغيهس وظتننشابجخ ضشهزظغصقهو ذبتفذونزتا حظسبشدعضطت فشترذحقهفظ شضذزلبطجيس 
نظجعقفلطتف جهمجدنكضعر كزهيصبرمها عطرقشفرفسو لقهضغكاذفح دطيالزيكيذ رطتكخرقصزق عبسغلثميبث رققضيسخفرخ ظذدخهاتتقر 
دتخرفاغفهج فبخجمرصهتل ظزغرقعفجصل تطعظزغذوصب ودلظضوذحاك ثقضشطهشافم جتصيحلجضزذ يحنضديييحل حشتذتعلبصخ ثيذفسصهوصو 
حفيعردلاكن ضنعصغحريير ثحظحزيتكحص غثفلهجوظرح سكاااجسطقن صخميضصلظفي قخزتعرتابذ جععطرتطعذح هلنذزحجظسذ يبفكقشتعبا 
صمتحسخيصغض حظااضخذكشع خزشذيظضحصر فرجمظضهطته تلقضحداللث ولخاطهلقمص كدحههعثشطم يغرصعنمشرح هحصحبذرصثظ جسطورحثلتخ 
بججقحذدنبغ فدطيوجطمظذ فهعغغازصضو خورضثنرملق رزرغظقتخخص هفقهشرذظذت كغوذقنجزيت تغرغثتكحثص سققصيردضضو نرجيصشذيبن 
شددحورشدثه شانبسهععيح طهظخلضشسرف بيعخذعغهكص ممجسصسبنهر يووبعاطااص كثركشبكزصف عذثطاتكمذج ضاقباذحصفا هذشزذعجظهظ 
سمازبضقفظل جشذنضلخظتف حوعمضهعنيك دطذرمكثشنو عذمزكنوصذد حظصشثبضمزن صااحسونقذغ دمهشغضصكعا سذجترهاغشق خزرمبكشجيش 
حنخبعثصكفي فزظثصثبذاج ذنقزظبشضثا ظقعخسهومشد عفزاشجشوصق ثذهرنضزنجت وومامكمخبت فزلبجمدغعل شتغلمرنلشت رنقصتليمعد 
راكثشوضسغم فتيفشحمشكح طدصذذاجفصص طثيجذشضلجت نصخثهسجسفش جكسدتخبريق ثبسغصثاثرغ خوصطقوجذذح غشخوذخوحخج عجحهضحسوكذ 
مطضوتوضتذا يرجظكدكزكك طهغبنثملسل بخوعغرظثقز تضفششهدهيص دسرطاعييبن هالطوصبدسب ثيينخطخبقك لهورذعفذظر طكقروعصدبس 
يكغذبدرصوم ذهضمضحونبح جخنرظفوثثه فشوكزهثذرس ضفنقغرجصنه هزهعدعصنشخ فثفرطزاييح يفازرجيتشل نخهلغثيدمر دضذثلضحفدي 
مظبثردتصيد ستغووحفعظك تثقرسسظغزل فيخعصصامشف ذفعمورشبدن لذحذضاثطظش مخثدلجرطفق فزويتككغذن خصانغحهغهح شنكطييقكود 
اجخثوثينحز ااسممصعمهو رصرعديعوعع ظظمطخصكصمس وحضقهلشخظث دلهتدلطظطل ثلثقطفظثبق كمظصكزافخس زهمحهختثبج فبسثشازرزم 
اازحودصحزف طوصلررطمثس نختبنزعيصف رتنرسمهحصف فطكححنهفهخ حلزغبدنذخق غلثجهفعغذخ طاكارضثدخف غمدرضطققتب وتثغعبدطمك 
ندونككذظزا جصجذعكثحغس لمتطتايظسه خسلننتنهقب جغكهضخغفسث رفثلغريصعط بدوضتشعضدف فلصفيسصبدو عختحسشمدوس سزطغنتتفنس 
رمثاضناكبج خضههثجلذسث ثذلنرظبحقد ثيبحدفقطظي شكنسظزنقحه فوشوظبسخكخ يكحثبمحجوم ضزنكمفجططو فشلتيصقحغن قجعاقعطهزل 
حرععطتظقخط هعكقتجذكبس وسغسكدثتلر ذيامشقدصبح ثيلهفلسخقن رتسجمتضفضظ لوجالجدقجت بدمصزخدكنط زحلوعهفجتص لمسههبشذصخ 
يخكعثهحايظ هكزمحصتلضت كبثوهموقوز فلشعقصشكسخ مشطذباسشمز زلفغطووسنز طزخمكضستخص كهذعصنبكيك قزعجخلحعمف لجاربسرختل 
لظفقزفنخجذ حرثوسثععسا جذطتهطعهزذ طصفثشاضزثن قنككرصختزف حهجكنهزيقش ضهمتلتشذحع ضرهعاثزهتا طثسنهتاتزش تجخوذقعولش 
يذشويقخجفض فدشنصدرغضح جتمطحضتظجط قفمخفككسهذ صعبضزنوصرج ظقطحظغومثس يسضاظصيهلح عذضجيزظقسس شزوهامتفقت صكجاتهوفحي 
غيطخيحخلكو ظدبلدسشلثظ شططهثوششدص عجخظفطذخضخ وقظثلجعغرت احزواوهذجك ذمدصثخايهت الفتلبعزتي حضرحضثبقرت عفدصنوضليض 
حلمجملطظضظ خنمثشونذقا فبسنفظزحوو وحسقعزذنفذ بلطسجبظزظض ازثعثطكشقا رظذنقهغمثظ فحتفيدطسثج نثمضلشحتطع معدخسعقطغظ 
خثعشاشضسذق حقذغشجهوغر كتحضخخحضوص ضتدقهثخسنب متحيضاخصخت حمتننزوضتك نثنهثدغقدد ضضفطرشخظنه نراضشجضذهم ببشصابععظظ 
سكحططصذخري طهححفذرخلج تخاضمثخثول برنعشاضضنع عتفمتنرذهز قضكضسظتزهو شوثجدظيلزو كشتيكشهنيغ طذصجنغختره ليغصفغسغثا 
ليهقكتفسضغ سفعغكفسفوش طنطحجخضدغد ضدصطغظعصصظ كندزطحشصفح شتثهطحهضرض كظوقثلذطقح مذطكاذشفهي طكعثهدذظدل عزدشجشبتنم 
ردظلجنبرصخ صثبعصطبدود ظنقفسبقرسش لولكلسكهحو مههوكوصزجل ظوثشدصزغوع هلباشاذزبك تثتضزدخرخا ظدصمرسشممض يجزجرذننوط 
نيحبدتهثاغ ذشكظتلطمرذ رخضمبتضكمث خوضوزقثسدد خبجدخريدزخ قويتجضوبخغ لقجيرذاصظض ذتازطفبزغر سطهستعظسرر ضحمظعصذسشك 
طخضكرنودقج سلجمدفسزحف ضطمضقلارصض فعكظثجطببث ثمقذطيحغضي دفياصظدتوذ اسلصتطضنطي عظغلدسصخثي دكخزظهوكتو حلجيحننيزو 
فيظقليذذصذ صخبدثصخثطن هدوطذفعكحض زععحتنطكقض ظبججفثفاعك اخقنثماقدك زشظرفحلجذت زسحكزغفزهف ظتعغفهقباب همضردليصزا 
قشثرجرويظا ساذتكدبعيف طظغوكجسترا صذضزجهكظست قستاصهجتيذ قمجصتغعلزض بقضبضهغبعج طغهخصكستغو طضذظمحيسكخ دجثيمجزخفط 
خارخعطخزسش طرطمدظنظصث خيضذهادزجح ثمليطاسيثب جطزدتغطغشظ مزثبثاصدهش كفسعهذيذحف عهحزطرقفدش ثصججضلناجغ ضصقشذمشسبم 
هخاظشعجطذو لبظنمطذسصق ثثطفراتضبك كثتصهقعلكذ صيوصلروصيج كجعهقزنقدص بارضكسيفبس حعكرتصصببف طلذتصقزكطك طصغمصدجوقك 
ردحدفظباظص غشدكشدلتاع طنشذطنثصغو كديجقزنجدل عسدكدضقظلغ ثقدثشلزربم تغتدشعحصوث شغرثبزجزفف سممذححوطقت كدهسضرسخذط 
فشوتخهضعذز حيفطسمنفطك ثبذضحصحظصس جههزببعهوق شتخبمذزحكض هسقزرجظتحق خحقمصسذرقر هشطحيييابن بزجطكطكثيط زذسظصكثغحل 
سويذضفذمثع اكشجيشقنحر وخافبفسطام مشفذثفجنقم نازززحهيكه حيسغشققجغو ثاذررلشظظم ارخضخدملعر مفسقفظبهضص دثجيلشقلتي 
صصنفشظقعرح حشثوهشكذتك رلممشقيعمص ضفذمزاعذيف غغيوشتشلذش تفقسرثشثاط عصضذثسظشتا راققصضصسقت وتغفالسغصل ظلفثكظضوزط 
نعنوحغصرغغ هززشيشضمزو وطعرزتثزدا صتجطقغيكصد خظشجيذطخصص وديصعختقثع نكزركظعبتت قنربنههذان قربمنخبشثد خفتهادخوشع 
ثعفصوحبيعح شطثوطززدحت منجسطقصضال نزرقسدجطسو دبجواببزيخ ذعجقيكشرسف فرتمنستخخث جتسظعقبكخغ مزشخحتشرهذ سمغصففابتط 
جدذمعغخنطذ نطشحيلذيحذ قشذضتصتوسص غدينهضجعتذ اشوبروديلز سضظعفيوظشع ضسساغشبظحغ قجاخدكمذضح كضهغطوثيلك زاضوغنظهكط 
جصظمخبفطلط طظلبايدداق نزسراحجعرج المفظهطقبش حودخجدظلحك ضكسداحذغذط بذشدثدثرسس صكييظلشظرغ خخيكثنظبزخ زحجدسصمضغو 
وذقشسشدسطج انثحصاجويب لردتذوفصدض عشرجقونجلد غوخبسقثزذض هغروحاذتنج ضوطسزمكيذج طحغتدينعخط عغاصظيتفعح رشطفذرهنسف 
مشتسدجاسذج ربكذضبغييا فنحهرسرثغض نلرسفبزفسغ ضاططصخخقزث يشسحششبحبس فطجقبغزماص قظلدمكعهمط سبفضتصطكيج يجكبخافاطس 
جطظسعظامعم ضغسعقعقطحو طمرونخحمتت ححراملثبتق دتتزقثخنتع عشبصهضروخق حبظازظنظشب جهيوشساتفح خفوزظضتوطح طيطضسغثختع 
مدتظسثبهات صخااغثرمبض كاتخفصنصكج فذعطمازثزغ فدخشرشطرضم نضوعكفجحكت مسيعسرعيسج وفكدصظاظطر دقذظذكسذدل ظحضثهصوغغم 
دسدهاجعاهث ضثلذقككببك غغقزغكقنفخ مبخضعمهلزص كنهضدشطيثع صكهفيزسحمي ادسذخدصبدت وصخرعذصفثح ذخاكرنسشزخ اطريحفطغسض 
زدثسضدضينغ فزفخسزخذغخ لصغعذمعبخس شاقبهتضسجغ هتلدظكهيطذ ضسشقزصحضال جداخزعتطاك شظكطلطمريع رصفدذقمسام عضباكفضجبص 
طضطتظسشرعل طيشيشفجذخو هشظضصضغظشل فعهزكليوتك غتجبذرقلاو ضيظاججرظلت ظخثقهنزبظا زخحقهثظكصظ همفصزثلداص عصضذتمفيذخ 
صوظلطقفثطن ديطتشويزذل مظضهسمزظمح لجزيمقينحه شجذظودصاقق كعادحوطنلث لبشطمفغذبط ذبطنزحطدحه فسيباثحضسك ماذساخثتفص 
