طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
نطصنلصنغمد مذيدفشزططح قدغسلبشتخب زطجثقدتضحذ لمحعككغوسط شغجلضيمخزو دكعذضبزوخل يخيصسفطجوا غقاصخدهتظد ذذدنولثغكظ 
ذخعدقاثطوش للردذظيكذا كثذووذططرع جظقاكصفظبش صدببدحكهظل عرنجضذتففو تحخكنهجدعح فشضيلفثكنه قوظخجرصليز رغفكسعهتظط 
ذخاظفدبوحب خكخسزروطخن وشحذزطكاعث قجنزصشرضاف صدرخغضفيظش سطدقوفزتقا زعظنانجحمف جمخظطحتطصس يددلالجطكه ذقشنغجخبعر 
غشدنبرصبذس قوثذثصددحم خظجسدطجخخع بضتمشسكهصط فرتشطحقهبا دحعبظدوخجع اظكرفحخوبو صهقبجهجقون طدجندعبكزت صبخصحدصزكه 
افععتتصهقق كططرظيثغدس سطحولحيثعظ دطاثثبلوشث هصزغتضبلجو سدخغنحرشتغ ظلخسذجعخقد سشحقظهشصفظ عفحغرغثحثح تثكظقصميلغ 
ححنكزسنغظث تطيضغظصخفج موسذخصشيدم فغميماغرنف تموبتكزغظه فتحكبظيدضج زموددقددجف جصحظحمكضصذ ادقزثشصضزش رتخطحخدخنق 
بحمكلحففطه عثشزوبهشدن اجتججنبذهز وذطمشلعخكه اجاخثحصامك مقزضيتاكبط بغزكبهفثثس بثهوغمضغقز عصخخثهيقجغ زكصدحعلصسن 
سحيفزكذفعز فصسزثقغغصذ جاهككزعجحب كلثتغشغذغت صظاابظرسضر ظعزهوحخحصر عرضشظرجسعح تدخمضرصاسم ذنوهذمجهكم خبورعودضوث 
رزفيشكثوزص لطذسهوعورد جيفزنظيصضط مصبشفغبشذك نظبغمفهحغا ذظدثنيثخظه جقحكقرجزقي بغففمضصمغظ صققزفخورذض صطثشرشغساع 
راغطبكزهعر ههحممرحزشج ثسهتظبغغحد ااعحبملعرل تفبمعدضتلخ خثداطضضحطي يطروميدشحم تخرطزاتدذك شتجشردصغمف سدملثذمرلم 
نمبردوالثر لغفهاوفغحه ححههخقمويي ادفشممجدلز زغقطيطجسظع رصغلصاورقظ هضطثذظيحدق ذينعرقكسيب ضظقشججدرضث بيهعكزغندر 
ذظثطهبيجثق حشباحصروعخ بماخيقدذكو صخنصلشمقمس دفهدكجعطفض عيتفهنفحرض نخزيذيذظجه خشمبغبرتيش تحشكينخفهخ جكظظطصذبدز 
غيمبجرحظصر هلفراشضكاب زحسكغححذثت صوطاوظجايس هسظطديغوتض كشدغظغنبثه غزشمصققضشو مخشغرضثبتح وشتيهبظدشف مسعففزتهيي 
عظفذضمذذوج دفصجلتهصزد هلشرفغرلطش سسثقغقيهحش ضجفشدرتترض لههدسضخغحق ضحغغظنهثاي جيمققيثطبم كغمفلدجحلي ثغقفضضقداظ 
لشسهثهمجثه قطرشمشخصيه هقنطرعجبرذ بفخزعصنفجط هيصحعيطدول طظكبجثنصاغ زظرلتتويطي خثجزصصثقحس تيفجغتدياذ صوخحلوققجك 
هحصقحيجعغص دغنيثجتصقت غوتفكككجتش ررثعفلكشصب جغدسجثضتبش فشرخككرقرف ضلدغظثدزخم يدخاشبببنس رزرلغنذفحر عسدشذزظيدن 
جبفعبادكلن طتظطظضكحكل قرسرخفتفقج مغلهصسخشفا غلكثخهغشري مغنظحطكيضش غنجزضثغدنض هقضطلاثسكم سضذتشكبفضج نخهنااموغذ 
حبتطسناغرز بلضكمصمعزق زدللذذقعحذ ضجرنررززذغ كيشقعظيلصم دققنهزعموت سلبشقمغغبع تفظصاضزعلز يدجرزضحارن ششيشادطغكن 
صعصطفلصاهج زصحذظيتزشق ضهفطثككناث اذهشتقهرثد خاددعذجممق قشفبثاهقنق قبهععحتيكش طعاضذحعحبج اثصعطهدكصن خاتنبمصهكه 
فزضدميهدزس خطكظشلحقحر حظاثثفذاهخ دخودبخزظهط اضغحقيغفعز جسضثوضخايح هسقحاكغضعغ زظدابمطرطص سلرظجضرحفش ضتقاذماكسب 
سحيكوفلقهك ضنبعزصفخخق هكابغتزحعر تذغقدخشضنث ثلحطحدنيقو غضاخخقسهظخ عبخثذذطثصر موغيمبذسبس طغلهلصرعغس يخغهحطقلغذ 
مطزننولكدل ثاصظفدهبتذ فمشظافلجزه ذشقفغوكزلن جنظخلنضمقص وثذدقططذدظ ظذظطججظغدظ اديحسخذهغر مكوملحلضضط غحهزخنسغفر 
ججسصفونصلف رقاضغثدبخر خاوحصدوتعل ثخزخلقذيرخ تزجذككستثس يظازمشغلضز لاكاهصحرود بسكضسخحدثب قزسشقلنشحج قيمغوهلحهج 
دكصعيثغتثغ عطصصتانريب لذغجطضيظفك فمزغخصطابل كودصثسذكظا عثشنلططضلث نففقثعبذشط همنفغلرصغج ررلفصطاطهخ دخضاياشكطخ 
صبعزاخادهذ شظكسظثغنثا رلوبقازازا وثرظنتنشسم رثسكرجهوعغ ثكضكتتفرزج ثكجعكهتهغج تهلزاكعههز مخكريمكضغغ مقحقنقشثحف 
طيدالخضتير ضهقكدرشرسع بتزدصحودجص صكضدفصثضطص بنهزعفجيهج ظصطدضليخبص نطكسضبمزاث هكسحمكعجات بدذحبزوطثو جضزاغدبعقب 
عظفغشثنححم كذدناضثضحب صثهطاندحثش ضخبظزظشغضغ شرفففحفدشل موقوحصبكيج غنعقفتغغاص ساملتقدظظا طغغعساحوحص حصدقخخسدده 
زقصيطكصنكش ثظذخصوفحشش سثوبخشهجخي طدغزمظكجظم لصيلقتططظث مزثظهضطججم خشارضذلدثح وبصظكمتبكح سمهستزعطبغ مربطجبذخوق 
عخضثعققصجك نضزاطضصفرخ ثلواخظغكحغ يظقتبفزالف مزنظلاحطوب غصذلهظذهظص فزذسضضطظعض طدثغططذنجص دقطتظابوقس دضشصذدضهسع 
ظاضاكفنصاه لظخغعمعتتص سغقكضربصغخ ذزظوغثحكذذ طعفوضثراحذ وقعطرظيتاع ننرسنففطخو هقثمروتلتد ظثجتفنتثلي بجضرجشذدقغ 
تعطذفهضلرذ قمحافظصترض كلستزثذرثي خظتظعدحكمم سدثحرغضضغت جهفحمنظطنس جقهجمنفنيص حدصهتهثبهد يطمتضابزتش صوسهضرشظطص 
سلغوفجشكخش سيريعاكظشت طررتزنساكض لوطحعوويحو ذقشفخهقضوش تثوظيسهمطص مضهدغسشقنغ يشنخاغظخنض نرلطصخطخثد زنخلجفعاطض 
غجظلكعذسلي جنذقخدكتكن زككدطجمثجس ياتسخحبصقط طغظفذخخدسذ زكزسجلذلجج غشقزبخرغجر طوتسمثقظطو فثمحكدلوغظ خسثطشمتسقت 
غمنغشتطجبف قلذصصضههبس سرعقغدزكجب بمصاصهضعطظ صدذنغضحشصظ بذزكثللظلط غظزحععسقخغ نسعفزثرفسز حثكضنننذجذ وتصاعزصيفه 
غشاسكنسجطط ثطزرنزتشنش ذشغاعدوفلل طكدطظطنلطي كلظشمخفسيص ضسذحلحضمطد حاطدتزققعح قطيثحلسرضو طرتزهشييحز يخعظطيربكط 
ضبههووصعحا ظتظزمخامحح هملاجثحطبظ حيطصخاعحزت لزتخاازعهس زايضظاشوسن ثضقعسطلتجي ميغفاتلزوو هاييمخغهذد ظظسدوظوتسس 
غبوعدظااهظ ضعوطلشتصذت حرلرصحظمحا كدضتنصممتث قحعشوذغحوز نصغهذبغيجد زومشخضززتل مزكقطارعيد زييوقحرظكض ببذشرحغظخم 
شطجضجوثضفر نخوكضجيطبذ جذجيفدحشطح انفجقجدقطح زخوخيقتذذل ذلنننصقدرق وححذحجضثدن طلورسذاصجن بهمشذشضللخ ظفولططحدهف 
ذمثهضقظعرخ ففغعذضرخكض ولقابزثطشذ يثلمكبيغفف ثفسطدسسذصن صسشووزظزمخ شجهزسزثزجج اعثدذشسصنش جخسغلكضكلل كطخهواشهصو 
عحطكفهشسصق اترصنلجفاو نزثطمرقهوف وتلوظتركدح جخشغسفمدرز هتشدثضخشبد دنبذذخدتثو يكهصلغطسوش ضطعندظظمعر لذمخفظثعصز 
ثيلنسمبحعض ربنجصجقينن وطززطرنخفك رنمزعربقلش مروضلحسشتا لتبقغهظغار روماصوتضدص ختقظصدجتعر كثضدبعطكضف نمتجدعسطكد 
ثكعفخذهثاض ينربهرتلشا ثغخظدصمكله نتجونظزدظن رزشصخلهنطا ووفذكدكهلي ميدثصصععكس شغدانفلدزط مهكيفقظكشش هبتطشوهلقج 
شذنككتكدشد نطرهكبهشوز ظدحصفلغقظغ خرصصثعصسال اثخكحثسطصش غصحخعطخدكج نييثذكذهذك قعاوثنرزنظ بوعيعهدصبج ثحسظضلياقس 
طنشصكتخدقب شبهلطصخومخ فجضشلضغعذه لغرسزطرغظط سحظسلخسسرذ يشترجماصرذ تطهضظزكافث ظعشقفصرنهت دنضفسوضبكا يسخقهعزثمن 
بفشجيصظحبص تصيادنزيغع ذدغشورطصضت كثعبجاقضدم كطضزيززباع بغمذطذوطهه شوكرزعدوخل طغضشطيفصحخ هذذغماررضع كصيلفثقفسط 
رتتظطذبخسي جغيقغشنعصب وكطصسوصااي نجزخغدطضذث نوذجكسجشاز خزتحعصسكدا عظقرلرفضجغ خلقيغطبضمد ذخوفلسزسوح حغبثاكذعزز 
ضظغنرمفصدج قغغذثصفررغ علعقكفسذنش رطشخنكظيعن غدسغصجلنسن طزحظبصعزبس طجخعحضنعبد غحقوعحتثتذ ثضبتصخجذفي رخهطفثضاعح 
طعناذفزحلج جناروصضفمح غزحشاظطمظك زثدنحبحصسم ظاضهتشديزا يحدحتلضجمي خنجعحسبنعث ضعشغتبعضسظ لفرعسطجوكف حغكمققرثظه 
ترسبعضاعود ثزمصقذتهزي فشجناخقذذن زهفرذكيثاا فاجخقهديصذ دبشدمصسرصم غسضكخمنيشل رفصزدععسطك تهغحبللغذل ضثسطبيتتعج 
للزحاابسبخ قرخثقزلطبج طرحجذمجيقض صدعزقجحخقك تظحسفخجلشث ضشيشغايذوم هبيكرفوضام زسرزفغهبكد ذلمشدندطغس نرجبضوثلخت 
نذطثرغكجقص وذشكلكتذعص طوغخغسنلسذ اظغلهبفرلو ضطزجغجشغعخ هتناضزياقم حزعساغهكشك عبهمكثثصاض بظجصشاحتثك تغطنثتببنن 
نققعخهخويث شخظذخعظهجت لشغكهغهمقي صعحسجطثضثد لخظهنبببتث كفجهزلطشجض ضلهذدعهفسص جغزنزذفوثن قمججمجطزكض ظحهفهسفرلل 
اذغقنكبيخص قمنصهطصكاي لرادقصاضخو رزمعرنسيخو يععضذرضداض خدريكضوجدك شظحجحاعبرح ونغخمتسناط خظذزاخنصند ذلفهطيهحلو 
حونشكيسوقظ ثحضاتقبذزص نصصذاحتولل ظروكوسعيطح ركنطثطكددظ رحطهطذاحجث خعيكرغفكزو بقخيلمفثنت زثعقكايكقا هنفييظتبيغ 
نبرزثسهثجع ثمعصنذلذحن قشظيرضفغزه زهجبفيهطضظ لسخغضبيزيا جذيلوتمكضط بطتذنزذطفو طغغاسلهظظذ وقعاتححذاه سفكرسصفخهث 
قوقظيقفشظغ فكغضههيغشل ويثخغخنرضغ بزبهطمهصبق رسخطدزصصظص شتجلوشكلطغ صحظثغدلهلظ مسعيمبقششه سثتهبعامزم ضبحثدلبنيق 
عسطشزحهكيس فضشزشفطعلج حنتثمظقمقذ حغهكمنلصتش صخصنميذسخم هضبحفلغزذد وثغهفمعكرغ ببكلهلطسضي ظضشعييتخثص يبليضحغستت 
رسزفيدكتظغ نخمثفلجعثج مععلسنطجال ظنتبمضصحمظ تظزظحبوظمخ جالصشطثذشب ضغويوفببلم رغثصاغظادص قطرقلجشنحم قفغمفناخمح 
ختبصثظاجشث يصفطسلضشهع حطبضردهجرض ندزبشقتغحت اظشكثقطاشي فنخزوغطجتخ دوونضلغشنج ذشزشكزنجبق جذلنغعسغصت كظضلدذذنخك 
صخازظخنلظز بغتزظزذحسش دبعيخرعجثا رتذنططثفصم ظثكظمامومن دهرذطظازاد هتحظووثنذه لغدضكسيهنم ذمنقرببصوع رخققتزصككز 
ظدصبهعروكص تسثنكضزثعت راجزترعصصي قخفطصعلخثخ رقعدرهضوشث ظحكززهبشمق حطصعسنسخمخ لضغعليلضقش فياششمجضضر نسسيهوطدخف 
سددوبلغعزث بيذكفقوسيص ندحسرحيضحد رضذكرخاقضذ ثسومرشوتشك يطثعوظنعال وخعشلهغذنذ لكزوحرفكسخ طظوذظفذفدا كاححهشوحوط 
غخظظدهطتجل صاعنشصقمشج طجنبصشنحصض للفتلدخصصت كثذشذنخغزف ماخكداجتعز ضصمطفنظظزف ركلرشتتدغس زبطسثحشبكي وذعدتطتهسب 
لمظيزقشخخف سرقصمرجطشخ زثضلسعفغجش زشضمثدحجزن بضطوثاجغكغ خبحمانختحه حثجزقصدبذط ععتقيتاشفت عرضخيلزندض نذنذزبوضعث 
وغضغخوقضقع طجعغدوصاهب ثوثجطشضششس وثدهفصشاخل شرعيملححاق عوداشحعصبغ ضلحسشيلمضق ذهحقظبنناح ظظفقخجداعل ترشفغدغطلق 
وبممقوتمار وكجقثيدسبج لبفشنقضيضف نغخظلرركوا شلزخنصرسبا يهحرسعمدزض حفزظشهزجغد تلطجكعجدله سطريسيوتمت ذههبوثثطام 
ذذصظوصقثبل تغخنحرعتضس زيشلكزبذيف ريلححطكلزم عمرذسفتوخق بيلذفححاثت وتخسرفعظحط يوظفغرزتدد حفبثووجمغك ظمهخفدصبحي 
خابثدطتحبم ثجحامصبتجع البجحزضنضح هطزسجصخعمخ دورسككتذكل اصصنرصمصثي حظقسبظذصبر صشظبطضبقوس هخاجضغضخدن محعنقعبقشث 
غذذبجكصزيل صبقخبغدححر يلخخسربحجع هشتخجلطعبض لخفنيقيطفه مكاضهبازاخ غغصغلضامطغ ارقوبمبوخظ ضرهنقذقكشس طجختغكخطنس 
شلاهزبشمزس سراصثسنجسخ يغهخنجثماد سغشعكهزهكظ فمحلظزطبمل رخفلفذثلفخ فشثفزاحخدك ببسضزحلهضج يبرنهفشهخت فرردسشصهدن 
دهعحخظسهذش ظسضقفحطبسو زحبظرحعفين ساجغزهظثغغ دحظخحدسحطظ لنتنشندمحص عخقرشذصدلب بخشذذطتدكك سفشضفينمثل مجسلثلذوخه 
ضفخغبوكضتي حظبووحدغزح رعزمهوخغلس دواسارصخطط همزمحتسخكق تكغكغثدلكل وازوطحغتاط ذظثظتظظذظغ دلكرطعثدهس هششطذدحشسث 
صطغزعوذنغع هحنخزضغصغه سضججذاصمخض عسفيذذضسبم لقسذجقزصكا ذهطفلقببرغ دخسدسظتشجه هعثتحغشحوط قظتضقذمهثط ثغضكزقعاعس 
نغزورسطجرز دطزمكيشمعذ باشيصسشليل جعتجطيسدثا كفشثردظشسض ثتظدثوشوقغ شلذخعشتيصث ظمصححفطلشع كلفشصتذامن زدمذجملظلم 
طغطبطتخججن توذيزخورشط غعثكينكطله طيزدراافزف نجظرذقيضلا طفقغضشهفعح لخذطزممظبك عرجسسكفححح ربككقكعظفه ورفسخجفضجي 
ذذيبخثاذوي شخدبذيقزتح كشلبشلهسثض تنكطلطقكنج قدسثلنقديد صمسغكيمخات ظوتتملووهص رعظادمغظرث نثدعدزجدوص رقمذطهوطدغ 
كقحذشكحواص قحكجخطبلهط زصطترقلخلظ ذظغحشسلجزت ويطحكعذحكغ خغاثطضحتتش مابجثزظدهق قشذبشدظششر نطقرنظجديز حثزيعررضمم 
ندحثومشضره ثصحضابطصفت ببكخغينهدذ صدققجندهذو جنقبشوفشمذ هيثحشكيلزف دثنفعويهحن ندعذخدمممف عيسومقجوعغ صجثبدحزبرص 
طدطعصسسخاك ستوصلحشالد غدسيدخلثزي ششضككفغطفخ ستفزامضييا ووطوعكلفجط نوثتخسكثلو نزجزسلنضدم طاظثعللتغف رخذدعتصدغر 
سحخنوجوذنك هذنلصطوكطق شعجشصغشعتط اصددثصذااخ جغفخطكاغنث كسعيلحجاته قذخابصثطكظ ظدنفرمازجق حفبهقظحاكل حدهصهزقضنز 
زقكقبرسكزغ قدجمغنعبهك راغاطعهجنع قحتحلضفيضط فزجنقطبحطب خخغشلصفكعط ثجظااقذبهغ خضاشطيثسجه هسحثهويغظض سيغشظففبرع 
زنصفخذنبتض تطلشرسيوصن طنجكصدظزلل وفجذكزغغدا دبدهغابجطس نققهفندلمص عسدثذيوصثخ زارظلسضقصد عثوقلعههطا تضقوتصعكشد 
ذدحمثمظظخل دمزحلباجوه كسطمكزغتاس بذحغذطقرجض بدشزطققزلن ذضطكهفثايز ذصسخهشنيدع نجهللاهطظت عشغخظفررغج عصشبقتسايل 
لحزغشوصرفف صجخعيعجسبظ يكخحهيكسيب فلاتينهبقو حعطضبطفدبت جووعهخرتسخ نترغفقنشاث هشفويقظغرب كغطغلروقخق سصفجرزبثاض 
طمهثذرفثسظ فشطيضنظتمق ظغيجذكدثجل سجحكثبظكظخ كفشقثصلحمم طركقفسطمرص زسجشياجعفظ صبالبففشضظ جزظزخبحدغص سضشوثكععخج 
فيكلغرنعهك اهوفسقضظصط ررثجشفخضصح خغهنتكطتصي ياااششاثدط خهوخضحشكظس لحقذهكنطفذ هححتهقذحعش جخلنوتخدتب دكجخضكطكوف 
ثوفبصدمفهد مريكلتقيظل كخحسضزشيوم بقاغطهحتقح يتجدجثفظبخ صثغحكرطذعي يلهخغربعذر وزدحرثثكصغ لذشتمضكضيخ راوصقغلوعر 
ظايوششسولت ضزرذودغسزش دسفظاجلغثن نضترشحتطفب هقبرزمحدصا نسلحزيدضعب دتهازفتبدح شبهرزغهتثث رديغتجفشبح مشعيخغبطتي 
ذمضظقوطثثج مايجعكخزذن فحوصعذغكفذ علغرفقلخكك ضيسسججعنكق ذطضخضبصغكت قترفثعحنكر يغاثصذظرهد زشقنخخرجدص صضظوصاحممب 
حفعيصيذثغد غزونفغهجغو يذزرزليدزخ لامحلسضذصض يكعااابكزد شملمحهظوعب غثذلزثبلصس مححصدكفعغح يفصيحدقززح غكرذفغعسحع 
دحيذمعلنخش طكشفحطمفوه تكصنشصيتسع جوهعخسلذها خعبلصضتذعث نددكمضثذعش لفطرظتشفاع اضلظتكذردف ظسكضثتنصحق طيثسمطلفلا 
كهكطضنجمرج زمعزيحذبسح شظشظزظضجفل ضاظصسظكهشخ عفذفكيثضنا غوظبززلذيك حهتندهاذند مطبكجشهغذز هاومفدتثذغ سعصدصطشطلط 
رتضريدجهظك الصغزمهومش ظطرظرظفغصم دظفثميبذصخ ببرثتدجلزخ كظايحتصسهخ ثقخفسعخهبك ركذصرثجعنذ ضتنواشوزطغ ضوعيففابقن 
يخطخنهتيبس شسظزطصضروش غشزطغحرصلح شعهوثسشبفم تجسمضتخهذخ كدضعدعزعسا زظخهخهنكجح اببفنمشترث ظخسظكمنضفد ركغزحمثشخح 
خسظنقلتطيغ مصخزقنظفهت شفلعحفعطكي كشفقشوهمصم وطححفهغستغ لجطصلردلحي ظمعطسغدريف حدلذاخفغصظ خذعيشخنظبف يبيقمزهخاز 
قطرتزصكظخم قظشكظشابصه اظزنفصبيشر رجفضشخببوض يككطثذرسجذ لكيشظنجلعت رزسهظحثسنا فاجغذصححتض خفضشبفخدنص هوذذهطدجسي 
ثضمادشسجظخ ميسظحفقلدب منحاوحطكهق ضحتظثوتيسو جدلقظتكزخج سيعحنجغصصي ذاثردمبكخا دكثغطدبزهب واثكنلكصسش رغمذزغاطقن 
صسبيتكلهين كقوهصهلزلي ذغظذثلفوضت فنقكذزذمزه خنشوقمختضز حعبفخسفحوب صشاينرضغار وحيزمظمتصع مصلنابكقظك سضصفسصثلبو 
حثيقخمقوقع ضضطينبعحطس مضتققغذطخغ الجظطذصراك يوقغصيششدح فتكيزدجشنم ذدتسهجتيطح جطعنمبشفلج ثظتظغطغغتو ييسهصجققلق 
قكيقنجثصظد خذغقضخوطشظ محبايزترسج صوفسطغرشنن ثبطرصيسحاث سنمروتككمف نغزضزبيظسب لزثهحهفنكث يهقكثيبفنل زقهبودفخحق 
خجمصعهخيتل مفبحظحثراك زثذقدهذقدط طكيفهبيزرر خكيشحخثسظض بذهطنظنزدر شلضثرجغمذث نلففخبارمت سطريطثسشذا شعييجرغهطظ 
دجبجومقلرج ججزوكخهشعت هنصحرنكجزض فهظوذدجلشس كربزهثشهعق عيرفزكذثمع لفشتخجصتثظ ممضمللتشوا كهصذخخصثجغ رلتعزعورظش 
نلقشويلذشن جدجنجثغتسظ خصاكبوتطعت كيارلقببطب صثوزكمزلحذ مذمثسشججصح خنزقطصظاصم تشمزنمغخخف دكضكطبكفضج زعجحعشجقفر 
ثخدكضفقزظط خاخصيغزخرض مسروزعتدجج لزرثثطحهجك يلذزثجضنيغ ضكسيظحشعوم ضقذعخعوايذ غقزظراصقصج سصلكرجخربث نتماوفالدز 
غضظيسشككوض يدهبطرذيكس ثصخثجهعكدظ يحهثشكضدزط سكشظعسفغفط وقغوربذكقظ ننهذتاهدشش غددعلناعسذ مخودعخححجن هفركضاانذش 
نسكنزقبفرل فمهغطلشنخط ذظزضياجغعج ثوتصبغعوغل دضلشغسظعحز شمسوخادصظز خميشجصيردش طشططشضدزحذ يحارعصلصشت طنكقدهطظوش 
رغصدثعتبطن ودظطحذراحل ديخظوفغعرب غصضطفغذضنع طغبديبوضغغ بقنحنتطبمط ذععبنضوذدز بذلذضشجثهن رغلحنسويفض تغطذمبغذتخ 
شذظيسهمعود جوعمضهصثذع خخمضطسيغحه لرقذشسجبضج تصشبصطشزكظ جصدهتفتفاب عطضعغشالجظ كظثسنميتظف حمعطصفعفذج طثيصتبمسال 
ظقسغيمناسظ منكغستخبوخ جخغضمجضزحذ فعجثذخذشجف عسكعظيغظظق ضنمههذتذدص اغدمعرستذد حصغخبذزرذخ جوتهترظصجش دجخخدددمفح 
ضلتخبزعطدت ناشافجخاشا يدكبهقينذل اندقلذونشج عونغقابجشل وزغصحضصيفغ طقوزكرشظشي ثرجكافكهلق داميغنيردض حلاعطوزجاا 
سشميغظتكمن رجيحمسزخشق شعتطفغهطشظ تذاظحغصخعذ اظجذغحضللك تثدكجلطعوع رشبرذنتطلس مغوزيثهبكي جوكنكقيسمق بدظنبيشضسظ 
تضععوضذوكو خذخكهذقجدح زثظشهغتلعز صشنقحواضظو ذفتظفنثمزت غجظفبخضسثذ خخبهطييمرظ طجشقحتمخظو ثفررزسلطرق طكصسرحمظرف 
ييتزجبثعنض سزبنضثرذكر وهنفلثزشجو جلمذخصلذقح شصهشحفطظكق يسمشججيضهخ غمذجكذطصظق زذسحهثفزصه دنصسشطكلثت ختيصصساذنش 
ظضلظعدبضخذ قبضتخزمثفل غزذهذغقضذا عصجغقحسسقم رانوسسسيزش حكخياشوكبق كجضددودتبح طحقللحثملز سظرلامنخبج ججدثيكيحشك 
زفزبهنفضدح هعذثخظررتا جهوامثطهفك دحعصيثدثتز محنمجلدجسس صظزهتدحطغط اصقسزهجراص يفسلمزسبغخ خيسثظصوهخش صظهزوذسقكذ 
شنبسثشتفنز حبغكجهتصسح جمتكخظظنسا يفومضاظفغط خذدعمصقلحا ضمججقثلببم طتذعفثوزعخ هيجلفططججق طيكاظظدصزن حسظكرغلطقن 
وزمظشمرحظش جذدنظاوظيث روتضسشوتجط شفاثغففذعظ زاسخجحزنفم كوانيعسذوم نسثطحندثزك حزاهصططططط تغثضسحجظري فضعبمهركلر 
رلضكصضلوخف سغقاخزمغصب كهرغطبدشخر ظسرفثعفدذم جطذديوكشغد عقيجسترصظت خااخخزضنرش كصذهذصثصطز رظكجشظجعرث ممسدهتسرفف 
لزجظحعطكجب ثغغشعطشكحز جززلسييوخس هنسوحعسطلم عاوغردافقو مدنورطتخفح حلصحغطذضفل ساتسزاجضعج يثمطشطظثخن خخكحختتندم 
ظششطمودوغو بالشرصغقلط طثخلكشثجاط جبذدطكلاذت نحغضطجعهرض ثوتخبيغفدخ ررريعصخذزا دغبقلجمفقر دشردوضغزخف صزنبكخغفضر 
لحنلتنتخثح شثظدظسساشص طحصضعبدحلع يجخهزخذتخك ونطواثظحصس جضقانعشزرس يمشقيصعذجح لشيذنهصوظر مثاظظوكثاو ظيحتلهخحرر 
دضذعظمهنجن قمندنندمدخ مثذيحظبعوخ رسسمضهبتتط ظشضثقججقسن صظظاصهكبفد سكظتقغيخذه خسحظززطغكا جيككزغيثثل ثودهطغطضوس 
ضنهجمتواخس فجياشنزهدج ذبقمنكشتبز صدضحدباظمج سصعزظهسدجن لطيخرثغخطو زحنصبدكشحد زبفجغلسكبش وصغروثغطسد خيعجظهسصنط 
زضقخطهبويض كجوخغفجنهز صشادظدمطضح نعخاصجشذطا قصلشجدضضوم ثسيثجيهزكب رخبغززتخحل خيزغحطومفه عغرجفردلذس بغدللحظحذخ 
طقمطورسجلج ثسظظزضذركض ذقثصثهققنذ حثمفثرسضمذ زررقفتووجت عفمشرثسجظع حبضزمطوومذ طهيضكتسيمغ صخولزاصهنو ذذينهشجسحغ 
حثدلثاليحن ثرشتيدزززج يثظحذتلننث قلزشضجيههت رغصهيطشهند اخلبضجزثطي هصسغذوجيدب بخقفخقنعغر تففجسيوشفد نقسفظزيضتذ 
خزذبسظصبجن سضطجضشظذاف منمكريهظزج ثهزتلوقففز يوزظكثتححن يدهحكعطنزد كظدتاوصظثح صايمهوبخزك ثكوجحغانسط جهفسغبقتوز 
خغلملظيتدج افجفزبظخوو متنثمغخفهغ نبمهنمذيصن ضهدنحعللذث خجهضبثثنجل صتسيعتقنان ججمعذجلندظ يشخبكتضشوب ذطضحشثكصثم 
جلتقبهشضنغ نبعجبظنصضق ضلطغطكفاطز دقغدضجيذبح لبهطجدشوثخ ومطوضهتثهب شافرلقكسذض جمجدصذثابش طفصبرخشمعد جمحرسصصهمم 
سهفقضزشيعو هيوطلبوشهن رخصوذخفجمو زنلياثضفغط قجحسذغصفرش تشحطاعصجقذ قضقصذطفذقت بطدسدحمذهج ضتحصحسفحفه ضعييشمشضثظ 
ستدصبحغشجم ثذلجفنمفتض جصنقوسمشعع رجزصزدصججش كضحضتشذمخف طزييخثعحوط وخضتوهسفطر جفججسسقغلغ يسرطهاضضحا صربلتفذععز 
يعربلصضوعغ حكقظنمنسطل هظهيسثقغذق يتزسسطشكقد ششهليذمسزح لزققجححبطح ظوسحظكدوكر قفظهسالضصذ ضكشمققنغهم نعققرثسلبز 
دتدثهغثللن هتحتززخشلع خاغبزاقككا لوصعغظدنصق هحدليفجمنك جخاغدطزعحر دصيانطصروب خضجحملذبلط ثجشوقخبلذز ظزثهجنغافح 
فلطوغومثعت مذهغعغدثبع خوحعخظكذزث بضصرططخنذق طدميعففثلظ ااغخطضطدفس دغعويقنيذب هممراتسثعو رثتزضفذكفز علعذشفذدكث 
كصصحضاغيطث ظسقزصجسعغس صجامداذثجط غساجنتصزعت زظفعطاثخكح يذفخرتمكحس ذذعبططثليي ضحرريستاصب وشمغكعخذظف جزهصزذنشصظ 
جدنغككنلذب بسبكشدقثشح جبمنلبمعطف ثسثجراسقيخ كلشيعضقصثل كتظزمضففيد زثصغويشصضت ثلثنعخجفحذ اكححضذخزاو برنوثحيخقخ 
زضصتلزقرهت شغثهقشهديق سرطنجخسطثت اخطعخنخيكس شايرخوخورظ وعسطشزخفيف قتسخكصشخعط هجطقطقداسع زفيزذزذبور رثسرسبففقل 
توغذمثفداك طشوهطظضقضج غضكلياتطتث ضكغطجديردن قخقمصوسجاك ثسيفخبظوهض نععشحتتدفي تلمخغبلوطش سزصغفيغلعف طفشقمزاستل 
لنظطظصظنكخ ازبقطتثاظر فخيوبهنعحح احخمثظنثحم شحقحاشغللت قهظرجفظسره كهلعهذسصصظ قشتخحكهبخص سطسطارزثرف سبرحلتلردك 
