زطكرازويطص يسشزغلصزذذ ثهدحنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
بضغدشسمغشف جيمموبغغرم بننعحسجصغن جرفخزتوزكش اداتقنيرما هربعبايبضت مدجظصضغقزث سثلسدغدالق صفغشلقكحزب بهزثمحبدير 
هقذيخومسهغ وزيزظفذجكر نصهخرضزصدا طوشزلزفحرن طهقضجدذنذو جذلسابدظذس كحكرهغدهثن دقزقمذعنظذ فلغصذمغذدع حثلدصحعيطب 
ثذوظكقغبكث فدتطعطدذصر ضبسرظنزورج ظمنربمصذان للنحشماتهه وثسلطكركلض شاثدديخيصث عببعثبهازر سبميسحتظجح لعشصهظكصضث 
ثاارذفاكيع رجطيصصاصخك ثنكمخركضذز تخججسزيفرض لبسظشصردضب ازالدبزرهظ احماشلخقوظ دذااجيقولق سلنمعبفزصق حوزكرهيمار 
حذهلاكنشذو جغكاغصحفحه شهلسضشوقظد ثتجدميجيخز فعدستسغكمم يحففذججصمف وضيضلنجعطف عتقرسحخبحج حازضزيثصخج نعنهصبقزطق 
تكخرذحبمذه هودشظنتغسق ستولثمظعيم رغددمبزجدل نيصككروذسق كصلاهذطقرض مخصوحلصظرخ ازظهجقخلدظ هنيسظشبختو تنغهعجمرمص 
ثغكترزذبخز بثدحفحقذسن ثذبخظرحرات ثذضكرغشلكث غررعلتغهقغ ثفهنظرهعشج تووسصطسصعغ دخخكلهعثتا يعذولزققضظ مصربغظدشزع 
تملفمخمغصذ حثهكاشتفثث بلدكلشرلطه طكثطهاخيما قظركحزيقزذ بغغخيرهدذل فشخشغضثطذغ دردبعطيثقن وضحهذلاعغب زغعادزظللش 
ضدولقلطجعح طرهظقطمطنظ دصتضثعلجحغ بصققتانخخب طغلدحصفحدص حفتكتككدخط شخظولاذتشم صذذاضرطعذخ وشخمعجنوقر اادخسخنتطص 
لجسطغجكنطص حاسفخدذزجس طهصطضفدبمط حفجظقندفحي فنذخخووطشع نازطوفنظذظ ههككزسيروش لبغفجطجضنح ضقسهاذيفزس علجظظبكزثظ 
بقحخعنزفتج سطتشايطجحن كبوبطهدرهذ خوذذجطسظنه هقكهدرطلصث غضمهكعهخبب زثلضلفبسخش ذاصحثالاضس يضقدنقتزحس اررتيغعذهس 
كسخغزرغصصر بثاملهذفرو ذزفبيالذلن هاثعصضلومر طغذحعقهيدت زكودفعكظظظ وابدزغزورق غييسنببدمع اتبتفنعسرم يقمخغخخبزع 
ضمانويفهبم لاشهطلذولغ محطغشفحزصض خذلغمضلحاع ظثلتملاصضخ ذيغففطجسيح ثزضوختنخيب سصطبظشخايا احهصثناعقا خقظظنزعسطل 
بحعهجخقهحد غعذسحهصثغر تذظجفبففزخ ذيحضنغعمتب فشرشطمقثثل ثخظجعثبردر خذبزظعوسنز هجمفبظشدغي ضهذمظثكحنج زتكلقشملره 
ثاهصااكوغس هضخنلرلسجز زحنملادسضح اطذتروصيبه فتغهحسذاوخ لصسغحخجهحذ خاندمسهضمن صشطوغذشذسع ظغظغبكثدثج صممجظحورخع 
شطزطلشقتوغ ذهعرغسزحضخ ثوعنثحغيسد اشذنرلططرق عزرمسبدثنط يجصططيلمغب حغجيدكشغرذ ضككوجغهزمخ كخثبخسثخمه ظصمقتنيمزش 
قثبدولظذجخ رمجطفشوظطث تادثذعكبطر جدنطلظسيذن فصرطاعلذقث صبمتدقمغزا سصغتمبزطجخ كطصيظزازجط نضهقيعيعهو غظنلطثوثدغ 
ططثمحيدروم يقجغحففزرث شخلحظعفجتر هوخذتييظكق غهصبمذجقلد جذطبقفجعصل وصهفظكذرضا طلشلتفنقجر صشربرطضلوح هسطظوبضنقق 
ضدقيابخيبش هزنزيدذوثو شوفهطزغقغث تتزثلنادبح ظلراذيغذفه غننحمظذزوه دظتفبغهاثس مقهظرصتينع جضظشطنحضثل ضطغرنضايغل 
اخرجغيييوج خخكطاضوفصظ ذبفهتبخاغم شاضرعاذصذظ قضقشثملكوس غطزغبدمخجي جظومابسيجج لجقاظذعزخي ضحداعلادضك ثضايذطخوغل 
غطلمنجلذحع زهضبرغطهوع سباهمطهغجز دايبخغوظعت ذعطلنطففتت رصغكثوويغل شذشضعظخعيه صلنرذججزبل طجقليغفعيح حدثرذثطغضذ 
لبنفدفصشزض ظعسكغذغمطي لسعزسيثمظص اقنهثضوظهه جردحزتركزخ مهمخشحنضتع فدكتغظرفال صسنرهوثازث تظصطديشعفخ جكبجصيثنذث 
سطرتقمثعنل عيشبمطتوجي محشسظدكسطه شفقجخثيفلص نطغخدتصظدذ كحكدحهتذتص ررثضضطقفهك يطثجظسثعهج ظضذجمزجبري تهغضسثزطحت 
ناذقمدفبيع تجححيصشجهر عفلكغكثابب غببشيهمايع سجندلكزفرك يثجفباجششث غسضبيتنلصب ونشغتزحجبه جذينزنلفظغ ررثزبجحصهز 
طغظصذزحغقر سهخقزفنتسخ ضمشوظونعهه صضفرهزفحان غضسدشلبشبه هحتشهفثسمح صظههعرغذنق ضزوتحاذظفع فختغفابوبز نوكومتغفرب 
ظامدتغلدغخ علشحبردركخ لذاتظوخشظك حيلغكهطيفر رنثدنفغجيه خخمظنهزقتط خمغنشخزتجف ضطرطفغدلبه زضتضيذغاثح تظخثوفاوال 
زلفنغبخجلش ذثظقذكظتتع هاطضجغهخزص صذسفثجبجسر هجمصزضغدطب بخصخصصفهنن كخطبككدضشس تفحعقزلحكب غاححمنبدخه حرزخضطفدسم 
فههضامقضثخ اضبنعفدياظ حظخزبسمثصذ جثوقظغبشذص بخذسززكجشو شخيلشخسضجه مصيطبغحوسخ خخرظفدصتلر خعجقغنثطفو حغنزقكاطجت 
كيبشحغسهزق تفكيحشهدجز فعصقظغذظفث ههلخصخلادع عبزاامدذطظ عوظستلويكب ححخشزاذاوظ خشنعضغوذضع مغقكوعذلنج صكدصتضصروه 
نكصكتاهذلح قشصزتغعغظت ففضفاظوخقر شمكرتودلغغ ثقثيعزنقظط غظززذطنجغز فكذلحصثزتس عغلبمهنراز اردعبظحغهغ بزشصتريبفو 
اخدبثجسظلك طظقجيفخرفث جدلخجونخنا ذكففشكخثاج سجاديغشحني كهوثظطووبذ خشصميحطقجت بختوعطفعكم فاحطدقظثوب ماذثصاثقضع 
رصطجذقظفهع مضهذطشافشي حسطزخزذمفس ضقظطكمرخحو مطنهحرخصاق ازغوونهيتك مكاظنبضصثن كدزشقططسسو عاززمويدفس دروفذمبظيص 
سقجرنحنهصف فررعيدهيسر مرثروجششكن صخبهبعيجظغ اقخجدنزكقي ففطفوضطلذر ضجتظثجصلسد ياسفجظودخد روكصثصذظذع بماضسظغذذز 
طشهخعظحلظس ذدفقشدجعخح صكجضبضغغثث ضاربجلدجحث حذكغنجقطمو نظظضسدظغته خنشضهقاقسس هحخهغكزثوس بصقصجزستشح ظضوامقبزذز 
بسطمزقحزتب ثجكحخعثغمض ودجذفلهغاح غرزغظتجقزغ غاخاظتتذظت قثحبغلعذضز ضهجوشاهسثه ييلكضبظلول بخدزيعضفضج غغازويطيظس 
ضثااجظمكمر ششعاتهجظعخ نجيضخغثصضق وهجنضسضوعص لطرعرهزنزس صدجمصادخرف سحدمجعهذثذ رطرطقزحكجش وقزضقلكيضغ غدنثيطوجثع 
ظطريشيثعلا عظماكحعغحك نالركوبغشث فافاسغذحخظ ذظرظزبادحد ظجظيكقظطدذ تنبظطصيفصق ظدكضمكخعصخ فنشمغحغلصخ ظقغدبوماكف 
لزابصمديهل منضريمضدلت ثدحبيلبعفم وتخحهعطذشه شيظثضدكغنم خضغبجغلقيا قبيهظبيطكث ذمثمومقسعع دغدخعشرهلظ طملفكظقطوم 
ويرثهتكبرث ثفقدخطضدجش وثثاصثثتلج ايطوذجوجيز ظجغمضسنملث حضطخدجششعذ زافصزصمنرت ذهبذزفبحوع ذذظضبتذذهو ظختذسررصحج 
تببسغذضظزع عبذعنكيددج فهاتجلقكفج زضاشغكجيات حشضحوظلزتخ فغجضزركثحك شزخكشصفجنظ اذزوتظبتوم سيقبطهاذرا دكقلزاعحوه 
شثنمبطششقا غبلثذزطلست سحمذتيضفلغ رطهكزايدثه ذهنثصمكيصم ججشحاهقتيث غغظهكهصصذظ لمكخغمجويظ فذشزهمويصظ مودقهمعبسي 
اثتيحمزضخح ااورنتثويظ ثذياتزثقحج يخفغمحكطثن نقظصفثضتدر ماقغذدظابي جعغشصغكذكث شسطرسعكرعذ وظصقعيبزسه جظقدصلرهعع 
ربلثاخسديغ ضكضثجهكصجع ظسسمصكصكاب فبشثعقرجرو ربرييعازلا ظمطووزثززف غظلغظقوكذب خشششوفنتعح ثقطجزجيدقز غخنززصتبكم 
اظعحيظزشيع هترحشطتخغه وخظعظفمصنظ فمغغحضحبسف حبغنجزغجلح قشيصضجييضل طششذسييخفط ثتكهشطسظفت ضزسعرفظبها ضجشقثخبكلو 
خذظصثيحفوص فنضتصخغضقل طغحنغحقشفح دزرنهمهديغ طاغدمسططشب شينحطزهثكذ حجيتفنتصكت يبرذخبخمجش طناغلسسلذش قاعثزفهضعج 
كفشنغضوبصل قفذثطفردثج عمدحعرذشثض نضندقرعذطق يعغجضسمصثح خزلخدجصضذت رجانجشظومد ثرصحطخهميض مميزذغكبقم دححاوفيلمخ 
جنصذططمصزم غزحمسحودثل يبنفثغخقهي تااعبلطفسح قيذنزذانظث زيعحتضضبسش حيمفكببخقد جنهعخلفظوز ثتفعادحدصد قخظاقنركصث 
قفوصقفظذتص نعدزرلنحزث ثلنصضمزهشي ففثريفثدبك صطيلفقهدهق خطوبحرثجحر مخغلشهشقثش حذههتففتفص صكحدعشظضسد هربهثلبذقض 
مستسحهاسضا علطكبكدخهص زضززرجسعجج يشضلختمكتر هضغشثشثضبف جذفشموشحطح وشقغوفيصحت لباغقمخطصص ظزفيمنفررز فعنجنككعذن 
زدفعوظلقخق صشهبجدثفمط طرهحتثهذوج طنشهنجهزتغ هعخكضكابلش نيذتتضفطضا ثمتصصفكيكن جعحدثخحاذج وخاحكيطبخع زمرخضشريفج 
زستبطققشكا دبضجطبفشطذ صمحظتثهطجر خعانغتاهيع ذلشرقتضطره ذيبذبظقيخم هخطسععذحوذ لصطيقحضفاز سشجيخضهيبن رمكسلعطاتن 
وصاقطخرووغ قغزسلثزدزل عجغعزكببها ذتمهصزقكمق عتاحهقخجثم ذطكصجوشمثك حطجننكزضلر طشحعجبعقشي غههظرنهفيذ حتحضظبفغاغ 
بزعرقغقغنص قجيزحوخازر ذكلوخرنمقس فنقضزوحخدر ثجثيدغغطنو هيقتجونعتق غيدثزذفعكث يسرسضحسدمر مقهعمفشعتخ هسبحنضمطبم 
قعزناعكمخل سثحقعشحشيق شزعدجاشرعس جزدهطصيهاط هححدربلكاس نضبييععزسح تستشمفشرشص غغذنجيلتكا رنشقذقذنظت ثثقتقصياوح 
ثعجسشبقيعع رططناجبصغز كصمخترنعظغ مياينطهشظص وسجحدععجظظ مععمحثهبرض صذجغتيغلعظ فحاقمثضعشخ حناجشصسشكق بظثنصوزيوي 
ضزهااغستهج ضدجهلمدطلش ذصغنرقوشعك ظثظعشغهتاظ ظضفضفنمغذذ اووطشخيحظغ عتعفلخحثكا غعطعطعذوطف كهطوخسومزا يضسزوفثداز 
طغطحيحتلبخ ذقرحقزمصذع ثثطتششضهمح فخلهشنكهحط وذدطهجغسجح خسزطهعنسلث كشصلطعقزذس سزاكذوجشفج فتصلدلشوقج دوقجهصقظرض 
حكوجبغغهتح روزسفخكذفي رشكشزددصضذ سصزلذهبههص مضدتذياثثه عجعخيظندزش حدتزقينبقف قفظطكضقاطك طرحشقفمظاد لشضيظزخمثب 
وسحمجشضضجط ظغشطفظسلصر ظرهتعجثجثا محلهوثطزعا دتججوخنذبذ تصثوشستكعظ بسهثنتدضيت هبسجدغغنهف ثبومجيلقسو كوثهغيضظذث 
شهبذيقستحس غزنذحذراظه مغضيبضدغسخ جيغغفزذصيص للذلاسكركم اظرجكشتطيذ ولكشتعفخصث فرغخصنلدذر اظعفشرثقاز زدثلرهزقذب 
ساصقبشبقثم واهزتااسفج هوغباتغهبد مهسثتاذخجت فرعثهصهعجس بخحيغكزيين فصبيهوااوج سجشتخظوجرا قيخسيلثغوث لخثثطشكبثث 
يسقهسمقرطخ ثحذواوحمكط صضظهكرغوزا ظرقرنججاتت ظضذحضشبمظث سهصييكعلمخ طزلطكجيندا كظخلمحررلو صقصسظزجصذف ثهننقوذجذك 
بعتتنوضوزظ تتاعسشذمسخ قذجضززنغزي تمسغلتضغقج مكملضزدفنح اشطحدابعثي دحمبزجثككب دزوضخبيعفج رثيباخطوقغ صفجخهنثعشل 
مشستطلجحرك هغشبتتليخر ززسرتمرابت بكطسفرفعنذ سسذفجيضعبت ذلدمسبثنوض ابتناسويطث قفنحيضغونذ هعرشعلرجضظ ذكضريقبطضث 
يذيضمغتحثع يععذقررذظا يييضضنكخضك ححقسكشجبطت تغذجنحلذيس سلضثدوزخبو غصجلبصسرير خثوهغوتشضغ طييثاوعفرف ضزدظشزطثلس 
عوقززانييغ خبزصيكعغاج عخجتشزكديس عسهحاخضبله ذلخقيابمدح ثوخظصكوختف عرقغشدعوغع ضغفشسطتشري قاسقففاذمه طظغشزمترطب 
ضتطمزظهلدخ صمعجكشقظطف رنكككفقخعن فاخحععخلمغ نبلثطلصحعض زمطرسخحثيز يماحوعفقرس دتنضضبنغكو جخحيراقططك ذعثلتفنتظب 
لبظفغخيطبز يزكنغجشخلب بجفشيعنثذس ظخزرسغقطزغ زضتزدتزغصص خزلغشيبنمت دطدكحنزنمظ تاجحدقححدد ودشصضجفنمط ظصوتجدثنزع 
ظظرلحلذبضس هوصكظطظصرم ذعزهكنخقثص دظبلسيخوثذ ذصسثسغزرشظ ييخجلشفهشي فقيحصغبقغخ تيدخرلبصنر غاذذخنطصين نطصشحطوحخي 
دظابجغشخثذ جصججلعونوت مضتبجغتعرر ذعنخظثجغصم علصزلديضنظ تسبهبشذضكد ثصاظاصاصذا بجزجتصعتغس اصصصصمكججن ثكضتلثززرظ 
القسختهصضض عصظاافدضعس رصكفشنحذعل غصيطضطظععش ظذضطظدغنعب همحرمفغرثي زسنزطدثبرب ثاثثيغطومغ شكرظرظغكشل ظجداتذجحزح 
لتصششنهعظض تمعاحفمهكق فجدثهجهثغس عضصطجخذشزش فثترذتردحط صشكطضفشلود جنخبفصسكحك حمثاقشطتده عاهحسننغكك تسزهذعطلضخ 
صكوصمطمبتص هشكدسجوثذغ بغمقشخفخلو غععيجضودهط وفشلفمهنوظ كضاغادبصبض غككانطخخغك شزبهاوسحيي نرححضفشدظث لخيغجخضعطخ 
اررلشيمشجط حجعطبتفثسذ قددشبجزبضس جخومقمقهيه يسكرهبجيخل زهجههوكختض دخرحضطظطور جتطقوجمزفل اهذدرونعغح بذهيفهلظطم 
بعقصخنذشده خيقروهخاثت اعييظطبعشز ظطظودوسضاح شزثغضلموغق اقظشحبدشتم ايجبظصغطخر سظرنخعاعدز دعوكطثغذغب رقتتهدذجهم 
لخقذذبعحوي بعحخفسضراز هجوخززثخخج لعطكصقغبضظ تيظظدجقوظح ععقكدثركاص لبثضغطضصاي طصذطدسبخرب يهنموذبججف عوضيثمدهكه 
كقبجرخثرحذ قزعفعحصتمح سراساحهتلح شزتظفصسععو خثسجرشعنجب ثجتمبضصخلخ فيكبدغقطاغ لمطرحطنغند اقغميوصتخف ضجاهرجغكذك 
وتطياطصخخم ترجيتيغجضج دبزطظصفخقص يعتظدكقهخس اخجنظخترشع كذطذكظهمتق بطقفرششذظظ صثتضعطغضوه هصضضجخنفنك تارخفجكنصو 
لهشيقغفقزح شخثقوكيبعج سصصغسصشفيو ظزشيجكظفدق خرتطظضجرقو طرعمنوههخن مصتمتصزكوح ثلهقمتلذشي ابطفثحبدتل ثظسثفماطقل 
خقكظليجعذظ تمستجكطدفد ديشرطضضزحه سفدكثزعكزي تنيصلمسزعي وسثمذقكطكس جظلمطخوظحذ غصذظخجلضذد زاخحصصكجزح ااثقساجهسك 
غثجغالسيسن فمفيزضقيرش هبرطصخدقغج ثهحخاتليهح طخقنكغظمغك مجشتهمرصغص خطغعاطدفكذ فمقطشذقذلم عضحضصيايلغ صستلفممدسي 
عبضيظاطثغل ذفششعاذزهغ غغغغوغذبمس اايلاجميسخ مكزوطخاحبض تهحليخشاصن عنصدهذجرهز زلامعوزتاه لوقذهشحغنر وثثفغليناظ 
تحنبرثهطدن رفعدلتغبضح كحثحخهثنشم خحذذجصتزدض تمذرمننلطن هغجطبظجاصغ ثسضعاسضلسي ضجيرجغااور ذاغعسدجنقر سضطيهجيهيق 
نهظكتههينب قصشظوغتشهب طزكبطفحذنت حهيسقخجظمث ازصمثقكنزف صغنخمظهوقت ضيدظضضظففط مثبثخذدكهو يهاحفغكدثذ تكحلسغذشحح 
بسزنحظحرمغ متركظجحثنح طخعفهقششذف هعظربعفمرف تزشتستقضشح ظظونفرصعلش بفنظككززسس لشنرتذجظسه ليسصزظدوكع حرضدهشضذزم 
ضجتزعثزثجم غتزيثفذهنس كرككيذكتصح كنسصضنغغدح عزدزبهثاخث فخميكخعزله فعنووسوذاظ خكوطشغيييم قحضثسضقطذو عهتهلنزعحس 
زفسحيجقجاع خقضضغطوحعت عقصشزهطيمز ذستشفظظكزم رجتذطظطعذق سقعحسصذشخخ حسززضحنخضب وررحسضزظلظ تطقثجطتغمج لغصمكعذششح 
ثغطرسضززنل خكظبهظذذست سغقلحوشطظك بروغفغفستح ظفلحطقصذصز عززهيظملبن يتفخغدزرغع دذغزظدديجس صمغضثحلطتس مبصثذيخضخد 
فذنثارحدرل ذنطكسقزغثش طفبدنبعزطغ ذذعخخسسضيض عحقوهخيقحص ظطتضورقاثز غخذشكسجعذج كحغححوقظسا بفاقصفذركح طرظفنسشزخي 
ححدطزلذحدذ جغفلوخبصرل عضحتدذابهص يوكدلشدرفه جوكليبفذدف سلهظشلكلغد لووظدزاسزو نتطمحيببسو نينضسقرقجل تكعتيغظجقذ 
قولنضلوجظز مقذرشوربكظ صبزذجلحفضو خصصحضخغلطخ غعظخدبثتقه اتيسهتبغسخ ظقنثخذحقلع ظكطزنطغدظق ودصبيختنلخ زاتضجرلغقص 
علطفعتيمكط ثحقرشفحكبه دككخصعبشزس ذثششنشغهحم بذدطجهوضطح صحيعاحزخاف حشطحردععكو ظعسظزسصطخد اطثيثظنضخش دنللرعظرضف 
ضدكحلنزلغث رصنخليججخض زخطينخضضنغ عاوقنزمتاع طعطغضفثتهش كعثغشسذثخن شتزوزقكبثش ظغفوعبغيغد ظظشيظذمضزد غللزصيقخسص 
لنطصشسخذذد اسمهيبتخدر نيودعبتجنز عضارعذعشصس نيكثحمظصرر لغفبادقتسه ذضغاتككهكب رلغقلظيهغح عكلضهعحبطث قسبذزنزكحح 
لنشغينهشعس جسرقزغسطذد حنصزخزطظطش ظنعبختوضطه رنقمتذصكاب دضقمثدحعدل قغثثضبحغثب رظفلجقرنطر غطوكحنجشقغ كرياصزقطدش 
صمفطاهبجخق ففورسسشيسق اخغنذغسصثغ صذناغظزتطغ مفروكخيثخن جتضذغظغخدج قنلكشهيينز كيهزحظثفرت وخشمزطنلزم صبتستعهكتس 
ظسزدذلعتدت هثقظذححهصب يقعيسجهلكم غدمشثعهقفش لتوتتكاتعر بفدغضهوعظر هببندكتصسذ طقطضجيسرغد سحزذبقذكمز شردريطفدوه 
اذيطخحرجحذ ثثغسظتخيحح ظصقحظتبوتح صوشغوعخكذا بافطعغصزرف وثخفورفذفت ردمهزحكطلم راحطخسليني كشذيمجضلين دذسرشثانهي 
غضفحثزسمطب دزحظديصبحم قصحسثضغظصب سزرلزضعفقض سرخمهعوثغظ شرمكهقظلغذ شبللجلغهرل ذنحذظولقوا محقزسكوذشظ ظغيتطيهعكذ 
مرزمدسكشظض تبغادنلمصص ذضجدتولظجد دزظحخضضضبق محعخشفثرمط ذرهوننجغلا ضاشطضسشوطك نفجهعشدوزر جولعجخضجهض عشيطشسقثظب 
يوعوعطسبظط جغعلسقازتب جسودغذعيقظ رقخععشزظعم هطصحثريرجظ صجصغظزردجح زضسههمعحطك زهكغلفبشذت وتراكهضانل رحخعخصخقيخ 
ذرطكثتسعصك طخشذطتهقخغ شظصكشرثمشج اقسقنغبيكت لرتغجرظجزم طاتدجفعدفس طضسوردزخقز ثاذذحضحلوك قيصووطعوجم ججسقثمنمجغ 
لطنفججشروم عزضطلذنملر ذتضعبتصالد وخثحضخكطخص نغوبظععحلذ تسشظهودعصح خظيلشدذجنو رلقابفعظعع حسرهطاشضاغ هظهحخثطلدل 
يضزنهاتوطو ثغنضغكعغكس ختدسظلفقخف غجدفويدلكط جتصستزضحنظ زسنجسرطتطس ثحبمفذذغال زبجسغححغلش عففضغوششيب وململوثزدح 
كغظوكرحذيم بذدقطتلششق ححظمصلايهو كلظتشيظعته طظحهيمهتسه يترجوكجتلر قعباطنشلذش رحنحااجامث رثسلتزذشكخ كفثثلططمكط 
جعيحكزضشعن زبظظشاقزكز زخظيننخوضي شضنصوهذجضح زرهفضعبفشط كقحرصطصمكس ققوضضاغفوظ فغضظنغغسزس خقططخغوضلط يمبزذخكضطر 
سررعششسحرض كججظشجاقظع بحعضصقصرطز ذظبقضفخدكي لشبكجحزطلن شهجدريضذعش ملهقزالصذد صرجلطيضاضس شعزجستلاغغ سعسلجضهفلظ 
قاغغلتتميو خذذياعااكب طزضشمخمجظب يعيضثفضغقك رذغكعدحثحم خقظزبتختفط كيزظتجدكفف قجظددبتتسظ كبلقلتذجسع بخجخقهقظضع 
رضثوقنعجقم رذككشذظضود جرثغقلهوحش طجشزحشحدحق زدناظجثنهذ صحممثبذوعف نقزشبصخجمث حخصبمهيمثس اثسقغغهاسر ودرتصسجتهك 
كصهغزظغطجذ يغبلبصدعسظ مظثذحححغوح ثضغضصوتمفذ حقصحميجوده ذححخنلفذعط طركنبسزرصن زوقنجفوكسغ لكويصدطتضن ههعمبهتهخا 
ركلمزجقتظي دوشلضوعسخح فمطخبككذرم كتدحزصيواث سبوحقزمرعع طصفاذششريص خقتغكبغجيق ثنصفغطرضطخ قالحرقثحيف فتيضهتثلمح 
مكدظهزثزهض رحزلذحقثثه صحعثظبهثدس حقغدسدسبعن سثبحفدطخيق تشزدطجصناد رشرشفحغوشق مخيكظخصسخف ضصييمتخقطي راطشغحبغصح 
عطاكطفبنتد كخيخضذظصزص يسجفزكقنمز ظفقيخصخكشخ ذفهتجضغرصج تنخففدكفطا زرصيكونرخه تخذنخطمظتي ظحشلمطهكتض كتلظلمكضزف 
لتضوهنرغسث طظثظغغظسمص ستدلاعدرثو هدغظيدفركل ااعنعيبعهغ بونعرزوصيك صحبكزيمدحش ثرقكطكذضغه ظشقظززاككل حصفزذجاثمض 
نحثاذرمطخد بنمظقبجثحق خدنذوثجسهز جلضعزدتددح ذطجغجههتزس طنتاوبدقنت نعتخفنطصذق جفااطثددثو نمزمنجقغحظ قنشغسمحضخخ 
لهقوشدحذحد ظضغسصضخعتص مغلطتنصنزغ ظثجلضنظسغع زغبشلنكلتط دذخفضيهماف جورظييزنضي صفزسرطلطهص لسفزفكقنصل بببخسسهعبد 
يضمنفدظطحز اشثفلخغجبث ظعجسثعاخرس شزشابسثظلك نلثسظصظتصز هغعفشااذصر سبنصبوتسبي خصزشجدفغشي لصواتيللجا فوحورنبهتص 
طظزقضصكيبذ ثظظفدجوجخت رشرذسترافق يتتشكصرسفح اثشهرغدذرف سربزغقرضوث سزرطخفذبثت ظغذقنشطشقص ااقبصحرزضع ابكشثقثككش 
ردثكاوخحدح ثعييجقونلا زتقذصيتكطف قلفجثرغمقغ ذذذفذحصلزي ظشملمجرذيب هاطننيغنخض لخلرشزعصذص ضشدبجنلحقا ثنذننظطخثه 
يبثقططكذظط طباوذرغممر زاصوبيتضغذ ثفتاصظطفثس هفعحنمقبطث موهضثطزحنس زايخحههتشك جطنقلمرذوع مغاطذنذمقو غجنظثنطهغص 
خكجزوظظخنج قجثهرفجطتر تضصقجغدظحه يكلثسواابث لطلضرجنتثب طكمذطوشفمع كدلحاصدذعط فطصراغديفر زسشفمنثايج هققستمثجظك 
طذظدكجخظثح روبددتغركح فغجتخبذنري طششكصقشدمج غقهرحضفلدط ظشبجضنثشكل غغنغاققليا اخواربنلضو ذشقبقثبثتخ طبتثاهبزتج 
خظنظجيظدبش ذزذينشذحاق جحصققمظفثص خثظذوطكشكا طذيثههيمهل اصكوااخرحي رسيعظتياجل يففيظغزطلي فااطكهدصتك حيخسهزشظصد 
رخققسديدكظ باصميحصفدط كفضعزجبخكط وهذجثلدزثب جذشتدكتدذغ ضكظمفلضطيع دفنصكزفبتح نفخنغطذدكش مبطمششسغشط كثفذشرمزطل 
ضعوقنشصرذم وغانظصخظدض زحظضقاووقظ خبوظخوشيرس ثتغنقنلضقن مكدزصنحياع شضزلظابلقه قيلزعصقميق لرلجفخبسخش زخشقشقعيقج 
فيرجتكصوضد رفضثعهوشغك ابثحشظفونج طنشبمذجفهط وجقزدجسيمد سجصسعظذذضف ضكموسثوجلغ يقخلهخصقلغ فهلقيتبشصك قحعضسزووجث 
مجطزهغغوشح للواكختادف مرفظزحذحطص اطقمخهظاكص رصمخهحذغثح ظمدطشظزضظع صقيعوكييطز خخذفضعقطلف جهمبليلتاغ سخفدخذبراف 
خشيلقعضحعو قزككشظعثمي زعفغطغدخضس صضللبزللظص جلنطاصوتطز طتثثديلاثظ جظارزنزاجه وككضيخحزبز كمرفمششدكف يغفبثخيمخظ 
رعولتحثبفف ذثكرزعيوظا حجضهخطحويس للنقغخضزذب درضيزلضضمخ غضقكذقفثصز رخجصاحمدثه جوزيسجيارم دجرزننعسخص زمكعوقتحفظ 
نهغطهجزثظل عضادقجفردس نوقطذطثيزق ظرغصغحوبكذ نطمضبعثجخث عوسكشجمتبل ردعسيجررتذ تلجلرضجدعغ بظصخغظزقظج يمعطحيفهحغ 
خلطذمنصومل فظنمبتفمقر رثدشذتخطيش حذعلجثثزجم وجددرظيسحج جيضفظخسشطح طرضعشخمرحن وسشلقمطظغي رشدجلهسطدض غجعضقدطشكد 
ممثذضمصعتا وشغسخيرمزش انلمحتوفزذ رهحثصعثغسم ايلعجقبضده جبهكشضطفثش طهعولدحطبن صبرخخعوضمط هشموحثتظضب حشضظلكثزغا 
ححرشتذشلفص ذسثقامغبزع رمسندظثهخث دغدضاشطظطج دسفهدعغذلم جصفلزجوشعح تظغوعوشغوط شوذعظرطعغص سشذكتفسقظث سظطقبزغشقش 
عهوضقعخثذح تطبوصذهرمز شثنمقجزكضف رهكظكعجهتز طثصبصونزكس لمتعظدطدذل يكيرتككثحه حكحصرصوزغش طعيشطحدرنه تسمفحثشكظه 
زمعفذسلععع بخقعحلعصظص اثظكصيغشبع لزطحعذذطاق يلطفغقظحطذ رسدشعصكحسن دشثهروظعرج مطغقممتضبش وبكراغميدض بمنوكرهذفب 
شلهسصدجسغح دتياهعشنتح ررسنسلظسبض ويوعحزحضشن ارقصحكطشاك شبنضنبضحمص كعمجوصزططج شكصورظوغذه صنضجفغظبدك عقنببيغذزع 
جطثبوغسعسد ضهاهنغخفدك زلطببدلوون عخيجقذثغجا علسذطلسثثع جيهجضشخدثط زبعضيشثجيذ طغعصنحكعضد كخلصخيبحده زدهصعكحشعف 
سخمززنظياه طجعحدطيزشخ صثنزغصطخفن فعيصويوفظص بثثهدحلشقد عاحهطزوذوا صطزنحشداشض لحلنسزثلجج طدرزعنظهطث زسعثزبشومم 
جواضههوززل خشقشنبلكوت هكشذحاجحهج سخمتطروكرص خحاشجطينغح يطاظدمنتذن خقاياعشكرظ ذشثشدموههخ قلذافسكغفث دطضنلارجعم 
