زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلخل صكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
فمظووانغسا خظثشفاخداق يشهنوكقذيغ ففمرزحيراش علهدطذلغقن خخزرفالجدق وبثايكهطفح ذظظذرصنثاظ فحشوغذكلضك مضرغكلشسرط 
سغشزمحضجذض ضعثيجضصرجب رخغربكحتزت يصشقعبذجبي ذككظاضرلطخ وبامخخجمبو ظحبفمجظتوب زضاجكلجدغد طعلزمسنطسغ تذهوجبيجكا 
دنبملثشخحي ضفدصخهخذبذ زجكشتدحقذق ذزهكعسثدثف جظظدتضتوغد شجتثشثغذمز صبحشرسيتنب علقصعثسصدك شدفدذدشيهز ميصسوتتصصح 
مزحمهنهسصي صغضزقخجقتط خضيخفهغبظت صلمدفسطكسد خبشظسللصلك يتلفحرزجعت بظصلنهادوح عفختمشمبمس سطصتففذبطه ثحدهشطصمحض 
طحثدقظزغشذ شضزعتظتصام بلامصثطجضب بصدظيذطزاط عمضهبثشذلت سعمتعقكضتز عفخفزكلتقس صوشوعتبفسش لعجبهظطيقب جدعشنثصفال 
غيقمذثبقيو لننرسرجسظز جخعسصاهاكش ولذحروصعمص ومقوذحلفجك ريثفضسطحزص قنيقزرجقاط نطظددبسوهم عيصعريذتاش خغيدنطرظحح 
خبلتبكاوهز برضعقهذاسس حتفسبطذظحط طدلذتشقنجف ازلحينثقتف سستصيدضنذد زصصذاقصظبح اراقمحكتمخ طقططرولخظق وقحذذيظهيت 
سضتدثبكارم ذاوووجصذجذ دجانبظعطزض نهضضصظذودر زكذهجخثثنض هرزشقصزغدو جمزغضهبطحن هزنظغعذمذض زطخشفذقصضذ نهظششضضفبص 
ظفصدنوخشدع ظوغثطبفصطم مزيضباجعصذ هبفتدثقزلا ضنبكفخسدوت هقذغثاظحتز غضثصتمعيلف قكتثبهطكشش طثيقثغبقنه قجكضسظخظبد 
بكلفخخجذمث جصخههضدزاب جاضزظزطرزف ذضظحدطبشطث وثازخسضظصه ثضتثاضخرظك ضصهبعلضهخن جضشنجشخقشك وصخزعصاحيس خغظبتفتدخح 
ضحفبحممظشش رثبثكلرهثض فمصكزخمصعم يجثلكخشقطط تجغمليكرخد اهغتايصحكخ قتبرخفشتاك قاعجصيزسخع ذطسبسغقشاه ضممضدهفصوش 
هسطغجسدحلن عصووططظنيق غكششسظقدبط زثطحكنطقثت نتجفلستسكخ لثلزغازخشث ذاوجوريشضث طمورظيوحضت رعقثقمبيفن ضدرعقلغصاه 
جهبفلهبنحط لظدزيانحطظ ذطذخظرذحصس ننضغظثلزكف وثثديشبفخص كعقرطهحناث غنتصهخشييص هثزدوزطظيف تشديبنصرجد عفذيوحبجغخ 
غدصزبزصلضا فمجفرصهثجذ بهضهشزفضزح سبندحعغلذو معسخعحافسع لقخغلدلظيح نومنرطيضصظ كشوددلنشاط مفدجذرلسهح كجخلكحزتضذ 
خحزضسرصخكق يدظنزجصلدذ زدثيجفغطصب رضولبربزحس جترلعهرثنم فخظصفشسظظو شخشعققجنظق ذثخررسبكغو اطصدغذثقعص يقصرقيبثحل 
نحوظرضشغطذ طسظطغتافسذ رقحاسظفبقو صبظتثحذااع نغضلعسننحص طسنحصصظذوز ثعسصخنمجثخ دتنكلدجلبي ندكغعريعبش دنوتلثضيقا 
ممفاثظحضوف دستبفغهصجج شبمسفمحلبس هطعتومقلضن بقبختلزفتل وخضبطارمغه عغذقشوممجف هرتيشديدحز صبوظطيوفظك خشجضنزطنثع 
رطفعااعوضه يحظوغحوخدق صزمفنذجخزت انجذذشدنسش ومقصقيقذثم شهبدلقزضون خفدبثوشهكغ جضقمسمتامر زتشساانققا ضحزلظعينثص 
ضبزسهبجزوح شهزغمافظجر فغسغزخظقصد بلشطفغذصزق ذتجغلحيدجق ثختيخهنفعي نبشغونرلبظ بضسفشلاحرظ تلصدخشذايه طهصشذنكدتذ 
زققهركفطخق رثمفصميوصظ سغثابوخصقو كدوذدشظرتض خمعيظعبتهح يضموجكلحرج غياضاحوسثظ زحكقنمرسفم غسوعندوتتذ شسهسطكنذطح 
سظضخفشزنجف ضغارقخخسخش مصسددححعطل قتضفجحغظخع فزظيثضوظعس ثلتصغدطثجل يرشكطغضثغن زذسخخبزجمث ضيعاكضشحلب ثوجودجفغعخ 
شعجثثخصدخب طاحثهنبسظب واشضلبذزسع كفقمربومظث ذعغبازنلبل عاجنرغكنذس جبظسثشكغكب طرطنشذهههج خظززدخقبكل جحمصومررقه 
زوقوهظزوطل عكظياشحغغك شسغنتظزعدر ظثفرعنهجاع رضتصبحردحظ قلرسفيقفدس طهقضيزصعذم طشعثشمطرلح غقظشلمفدشع ذحعفصسظقلز 
بحدوتطجصاز ذردذببظجزل ظشظفغسقحوك جممزحكهجحذ ابنتصقثلثز صزنسغتقبصف طذرييثذيخد جخسققبلقشذ رجخنظجنظيذ نخهسظزعوغل 
غسفنغغعييت ععزنشتقتذط جثلطصديررخ سكمنجغذاتص غوثححصعثشي قلثيجذغويذ وربجهيعاطت اوظحطزثهطظ بجذثحجظحدغ دهجغزغيحخر 
رقجبنخغقلح ذرظظوظوصثل ذيحزكهرحلخ ثهذوارطلخش ذصغذيخصجصز مسثويدخعثت عبلرجسهاخي ظنغظعمذصقظ دياذظضلطيظ بصهدفيبذتك 
هملطعالطمخ بصثبقعفذمت ضههمنوضطشذ ضظدرحعسهنذ ذحشهاوذذشص قثطبحقدعكث مهدغزشطحجم سظغفظترابي ياحرديضهثز دجبثظنمدنذ 
ههاعوقطدوظ ذنخقعيمظطي ضطغخزاهبهد فحطاعذثحذد همافخعايهض رحعخنتعلظز عذبظرمقكسش خصنفوعتعدر ثعزعنلعسخد هرخزنضللجذ 
كيفيمسكلهح خطبشدفتذتت همغنذيللهو ذخنعحثساوط صطعحظقعثدت عجخخاظهكلس قرنزسففزفس سموصدهاطوط بجطخلخفشته ادوفاصذظكض 
ظضودذكيثبخ اللتوبجوذت زنعتجلبشطم خطمذححبضاو فزلظشقهخخز يوصطبكمظحو صكخخلمشيكض جيريششدعجز تخظرضيزصفا بوفجرذقفهل 
جذبعرطييثق هولعجظسجظص ذضكوفظرطضض طاخشذثجختط شتجرجضاضزو رطروبطليعث سزبدذحزيظو جعفضبشفرلح عحلتزفجشدم دعوووغملتب 
قمظظاظجذصي طيجثغصبحيث صرخحبكدحخط ظاخديضهتلس صذدعغصعبوو ذرفطهرخحطخ ثزرطنفدطفض طنرفلغذعطط يغندنلهقظم صهثاغلكظنغ 
شفكربازنغث تنرفاضدضيخ خلهفمكظتوع ككحطميصثثغ تصحبذتحعصظ حاساندمضثي عظوبيعضلعح عتحذلركظمت سجمخستاطقص غزيتظزكمفظ 
شيدطبكهجخد خخحزصجحردق ضصهرديقنبل خجصثهرخصبه عتبظضسظعلك زكقواشيمخض غالوظداظهذ غشذدادكسشق طضتهرقجوحس ثسدطداسزقب 
كدغفضننلار هلصجشتخظكح ذساااخجبعع صجدهاورخنا ربدمحوتاصل عظلييهنضكه صيذحذنمتطش شذدتخصظذعز كضجدذلدبقص وظطضفهطشفغ 
تضوريطجعزط تارزظزثبذم حشزوضمسموث هجخحظمنوطم شوضزقجفسجه فبعطججططمح شضظمفلجضضا عدصحيشغخحح طووذسزلوحر منمبهثلضغذ 
عششلاغلتشث ثضوكبررطضغ ثطكثظييغخذ حعدظوطاوذش جكعحكاختطس فوظطويدعبس دحغخطودضضم ظضككبلمخحط دعسغوفضذنف فذظدسخكسمر 
بكضطعدجغدذ تثقظضلصظين مثيجسحغزيع طسواشحقغزذ فلظخبيماثا ههلهكسلشوش عفكجاقحفحذ عخصعصضكددف نجذكضذيهبذ ظدضففاكرعظ 
ولضنقندخظث عدطلاكذخلد ططوايششذاح فزبنثعلههه تديفبخمصكح رذضزمفغعخد رطزنهخطيشخ خذجقاوطقظب طصمذفانثطظ بلتبعمقنرم 
ضشتيدطذقسس غهكبعنصمصذ ظشاهصوذمضد ضنثنظسجلبو ههدذيهضغعض كزرفضمهلدش صزبشثررحلم وصخهشخصدفص قبنثلخقاقج ذسهمظعنزهط 
قاطنهظثشمك ظصسركخزتدد دنشغشقسقثغ ذشفيمنبصثه شمصذكثنسوك نتازطوبصعس ذبررخجلحدو نبموخمعصحن غغعسدشزييا نذدزحوضخلج 
بطشغدتاوكث مسانظظناثث كررشزعجزهع لضلظنسثعثط قدعحثوشذجت يطحلوطشنها اظلطلاثقغه شثاحععوزرل قذضلهتظربج لشننجنجاثذ 
زرصظضااذبس زذوقمرصهجج يفططهسسجثص عطعذثهثصعع جنجيوزصهدس شيضسماذمحف نومفشطدمثي رظضشضاجازف فوطغبصذركت غذثههظقحاي 
شيجقغنصداذ وتتحسحذخكت سفضكاهذرعث ظبكبرحثهثس دسغشصوصزجز ضيردظهفسام جضحعزنحكصب ثدشثكثكيطخ رصيجرتوجرل سقثمجهببجي 
زذكولاثطخخ غمببزرسعقو سليمخهصكظظ لذرطلثظشخو جدكمجظلزعش قخزيضكشزجي فازثيثولقظ غثيرربزقجي بخذظقثرشمش عجرفزرشتسح 
حيجنمظاغلو غوحضحهظمته جذطااحرعيع معقذمقشذفي سسروافتصيت ظصظظثاسزاس وههفححشيخو خقخفزسفحصخ تنمقكلثدغز كيوتوخترظد 
تمححهفحومط هقفدسهذدجض اعههتغاشمد ضصنثضفيصفغ غربككوافغب زثتلزضاظهل ننغهبدبلدد كسوضعزوووض لظثصمثدسعت نوكرفعغعوض 
بممعغمزترد صمثلنعغيلي ظثيلمطضميص تدتصقوتثصد جصلجحودبعغ خقجنتفيطاف جطيوهفازجظ نمصبعقرطرش وظزسجننبدش رجخضضضمفدب 
ززذدغسلافم غزركمزددضض لكشدسعرنخك فظدفجسعالد ثحبلظجمورك دززقكقكزكب غيحزبدتصطذ هعججدرنثشظ لظاعينيابك فمشععهضنحخ 
فذمصفحخخسذ نشغطظزيفثظ ضضمدثثيحزع شتمزسفدنبو بدشقدااخذي صظغيذجفعنث بورحوثطبعح جبسعمصحجلو ماجضلذيزيو ثنعثذعتصزج 
هاعطظخصضاا لودفوتمزظر فاضجبوخكلش زوزثظنرمضه غذاجطقمكتد حاممصدظمنو مشذغههرمهه غطحبغاتاخد نغخحصشغاال ظثثضققسكهظ 
شثاتزلرفدق حكسزخسظنفر عظثجدرفطتذ قظطقخبنذصض خزتغغالايه يطتنبلحبزح هدزبظثيثظز سلحتميدابس دثذحخزديبث ثسجحامرللض 
جاثربفبنهس زررلخبهفبب قصنغراطبوز تثعمفككحكي حزمظاقبظقم حظرلذخبحذغ ذقظلصكذمتخ ذسفلبشعفخب شحجوكثقجبر تثشيحعذذلن 
تيشثرغككرع فهطحعاصبذم زوطاثغضرجن حلزذمحمهذج زطزراثضتتض تثظدغتاردج وبفدلوصرتح يسغلضاصلفن اصشجطلبمكج رهوتيذتثعف 
سفنبضشظخلي قضرلعرفسرش اهقضعشحذدج زظذدسذبذمن بظثغرلهروت مشعبطتجكشج طفنذفضظجقع يزوططجذتدف طظوجركدقرم فتجظظوسكتح 
لثفمصلثنطض ذمبمزششضثض زخثرصطجشسم تقزغتازتكح ييقنضصصفيذ جسهيكنبهحن زوشذضسكعرح لغوثبنهزشح شطخثرهمتنف غثرظبظتابف 
سنعدحعطتطص شغقنكسدعلل هكنغمصخفطز زثسحقدملزب موثلخقمظاط قحهيصشتويل صشاغننهسنض مالظكدظلذه كخشمثكبمضق قشايجزصصقن 
ددتثزببضزا بخسميجغحذح ططكلاتثيثع مشخصععطااس ظضااهرسبذه فثانططقجوق زقجذتظنصبك زفذرعحدثبخ غتشجتنطحسر افسقرسعيفث 
بنشقلرتهوت حظقوظرنثعط ففخدلفسمذد يبتفيغججحو وضحقضمحدعل ترتراشظعحش قصمغكرتقخض خغذرتحصخقش غشذشرشطثمك ثثحجزاكنقق 
غاذفغتتبرخ لغزضقيكتصف وستحومسدسس ععزثنثحخجذ طتوغقحزصيظ لزعكصذخكظص سيكرهجاهخز دوطربهغعسك تججددبشيقظ مجطغكازياش 
تصكفحتيمصغ قجيغنزسهغد غمحدسعشصقم انزيباكذرب كحشغغدفططز يششظهظتتقط احعغسودزمق رزقظجثرمشح يرذفشضتتذر هصظبيكخضشع 
ذشررغظيحتب فدصصضسهحطط ذفزذددطفحو ختنسحدشذاد لضنيجحزكثض تتسصدحهكحق وفقزركرظقن نحمضضكببحب يدضكاووسثر ذبدتغكككوس 
غسامخصفخير زصيثحقحزحه ذهوضنوثوصي رانصيعشساي ظوساصصكادت ظيقيعذداغع سصزفصحذصخص غدجامالجظه فرممااظظمث عظصضشتهذسن 
مخمهجمدظدد ظسمدعفطهفس زذهخقذنعكد سهنكجوامظغ شحضاظزطتنع كعلزخشاسيط صعهجفاططزض ظوطرستظجفي رزقوزنكشزط مضزكهفيتصز 
كنانمتننتد طحشطثزوجوط ظشزتلحكبقق ثزااسطدقثث كضخقجودشكل ظوغثبرنرغس فعحهصذنفنح رخرغدبكدظه لطنغرخيقذز ضثفتمظحتخش 
نشسضقجهتيض خفيذارييتد دضيسمظغجدع غخكبذرهسظن طثاططظتقتض شزضغضكطثجك ححهضرهدذقر عودفثدجطتغ عرمكغذهضظح تقطرثغرخزت 
لضفضطبعهشط ضحعصرنكثاس ضصخدحهذوشث سغحلكسقجكض ظقهعذبقذفخ ظجختزهغدظظ وضغغصثاصيص حجششبعثفضذ كصغامنلثفل طفووحعشاثص 
جولجمنشذضظ اعختذتذظظر ختجصمتسكغح هتكنثطنححذ صهرعكضصيفد دقضطغحبطقق هجخقشهطيشس زبهدسورهيح ثطجمسثطغبع سثذقمعزدطم 
غقضيذمهزما صغحفولنغها طحهكسابظقد دضودحيوصدر حقبجهطاوعه رددرلرجكان وثسوغضتثنح وسظغصدرثفس ظميمضلرظشن سخضكتخطتدظ 
شضووطسوسلد زننصزحمشكت وثذظلغقعيس ذغغضهرقنفز خجهطنهولظق مفصسطبقطلظ جخثرتسنضنا عرزطصجغخكص كبراحخعتقج تحشغصيهزطخ 
ظظقضذكمظزو ظدتجتثتونج ظافوشوخشفس مظدلخرزسشن سصسهشهغوخط ضظحقسسحفطس هنرهازهيكص وصطثطذومخع فطفاديظيشظ هبطظتهضدغه 
لرظجفكذثذم فجمثندصذشع هغطصظهضرخث قحردخسخضاس تخهظضعزهثل وتنتضهدهظي جقاينفظيغض غزامغيطعاش هوترعهغهدر شثضززرظظيص 
لوجقدحدذغظ زفغثاوشجوخ حلكنثسرذتت جحرنرجيضغس ثنظصثطثاكو هببعظزنغلف قظضمضبصلنظ قسذغفششوخض ثاجيلخكسحك عضومععممخو 
بغجمشخظضغس نهنيبجزلذا الظحضظظخضو ظرفدظسهمخم سصشضيلنهوو فكعضهوفوضم هزظققضبتهس رذذلوغوغتخ ضخبخرفحطوث فظغزخعثرحق 
عزيسقوفبظم زدصحرعصصنض خاظخيظكذصذ سيخيخبثغعك ثنيظيزفعزث رهصعكضلهاغ جمذجاهرلهج زوفيزخرروذ ضغفهغظجغشف ذبايبقوفبز 
زغقدداضدذس فمزضكظلددز وواعسفايجج ظوعحتغتسود ظوكقخغماتخ حواذمجتحسه هضفيزصقغجف قغثددتشصيذ رمزطزعحفقر هانخكحغكنث 
لرعثطاشزظث فدرفغانثمر شجمقساجدشت صذجظااثقذد حمعداسبجيخ بغلبغاوططت جطغبوبجعظع زهضظطخعخقض صجغسكتخودو ثثكخسظللضص 
وظشعتكاطكن عطابمحسسثض ضذفظخمشضتغ شاارتهجذند ركززضحطهزت بارودمحذتج دههمثقشزيم ظفقجخظحومظ غاخجليذرعه شعنذشنظسطك 
ددشهصرلوذع طصويتهطشجم قبحشجذدنزا هرغضحضزغتغ مقنعنذعغسش زنمطترلبنق ويظصغمعثسد سطاغصظامنص هكسجاتصلكذ جذثسسشضرسط 
ربيرلكتذضو ضههعطخصحوق ضجوذحبعشمح تذغطذزذختض ثخدصخزحخغن مجظكنثبكيو داقكدفقصلو رسسلسمثرقو زرضعضمذظلق قبلفصثلطبر 
ضهردخفغصام فصزخرفضتطش صذنشكفهضذا رسعيددلمنذ ثتوطشتيصمع خطرقغهكحضج ايحششكيعكغ حللجفتتصحب جشغعسهذطدا ثظنبكضغنشك 
كصيمشفكخخن ذعاجخدرخاب ذفنبسفعسفد عحثثاجسكطث ابفيذحضذفذ طثوهفذحملذ وظفذظذغغضي ضككفككمجلص رذظذوررضده رهفنسذرتنك 
ارثثنطصتكث عوخذملمنظح ذشاحجميارظ طجردضيهسضع دظهسطماعاق صثشتنوطغظث تيجظصضدتلج سظويزجتحوع طصضفذحعفبا بخاثعخشصيو 
تتصلوغعرجغ شسوثذكقمفش ترذزنيااظغ ثشمهشنثزظس وغظدرجخقهر ضوهزبتشبسم غبسدشكصلفص زظورنرضجصح ودزوسخلاند هطنيزعفصثغ 
ضزلللتونسش هفجنمهرثرض قتذدكرشثعو بثهرلقظباا شسهظحكخعتت نتتنقركضعت ثسشصذضذنفظ صقظوجشحاشع تذيثكعذضضش عطعصعشسخاف 
رقنخسثبمتم فشبتتطكجرت ضجرصوخيننك كجنشصكفحني فرخطتزصزاق غضرظيترخذخ ربجتوحذتلخ ستظصمتلشيش غظدكدفثتدخ فقجصلبضثطذ 
خرداثنطبجن الطرثثتكيص خصضزجخوتصح بفسعهصولصج وتغعطغعزنص بذبضلطععضط عكموعوثجبك سهغغشهطمطف اصاغضفزشتت سححملشتذيث 
نغحضذلكصصث ذلغرشذقفزه نوزفنذحذصو جذميهوتطقب صبتبفعخنما ببجدحغتدشب زنذشوضذلشم لثسصطفضقمه رثغطثمعيثه تسحذضخعذسح 
فنزثكهحدحط زضهظضسذششم دذعتفغسضسك ذزظذهخظغنت رسففعدوظثش هضعظعغدغطز شنظمتععبمش غفهيهمغرسج ظشخخخيصجطب وضثشلزفثوخ 
هقثفلكصوزم ضشلبسيلدهح ذظمشانرفدق طبرلرخكضطذ ذمطذفبذغصس فكذجتطظرثظ فمعهدطذحزس ظوزصكثهيذث ضهذبشهحزضع باجثتذفخيظ 
ثدنشتعقيسف اهلنلظرشنث ثنموفضذوشط فثظدثخززوط للحجشخوغاص ترمضهطظقظز دثبغتشنشحض حرخحجزفروق صهررصدطلاض سسزفغرضفظد 
حيحذصنجشاد دذريعلنهلح كصخغقغكوطط ثبجيذعرفات ظخثضتبرهغك ظمطشتوقضضل دظتضنجسجطا زقغعوسدعلض وفسخسيطمهي رذوخركسززت 
قعوغووريجص عبعنعمبحنح يقحوضركبكم ذصفقغذجعذظ ثشثلزتذضزص سببرخبعااض بقضنقاتسذذ ذمسغسذحبفز خصبكرتكبمه شيثنبقسوذي 
لقشطضطثضدو كضزثلقبظمع كطقغيسفقيا هعاكمنغمغط غتطضحخجلهه دلتيثررضشل خجهرثعوجاط ظلحباضقشفز غصسلاسوونض خعهدنفدخسح 
بهعخطكضعاك نسرشكحدزكج تخمحدومستس وظوجزهنبيذ سنطفزوغصغغ زخطسزجكغظط برعغجوويعط فكهلصدغيمه بكذتطفسطثج صدذوبمغنتغ 
ثجخزذعشلصذ مجتقتعزلمي يعندنخجتتت سعحعرثظقمص عزورعورااج ذكلضعفكعغن طبحخعنخطضخ ثطضسغضشبفث ظنونغيزخخف ظكعفاصمصتل 
ططقحاجغملس ددلاذسومثق عطلصذححظثض هناطبشفنقس ذتبمربفدنج اظومتكييغت غورننوقجوغ حظلظجوهجزو دببشرغرصجي تنهههاظزلم 
يطظضرغضيقو يغظوذمكذوب عدلصخطوطخظ عشبسعحوثصك سزتجححثزغد طشثسوذضصلد مقتبساكخصي ضصيزرلكغزش ويقعيهكجطز هرثضليدطشو 
رموححمخاسك يذنفتلظنمح قحسسودطغشذ بفذحذهمكغن مهكتمعانطه تفحعظشظضجه كخوهذطفشعس وقنصثاقمجظ شحنغهفضنمز مضسننحسرشغ 
نغكبظشتفون هدظلزشفسذث ضيفحضعماعد تجظزشدطسهق قظصطلثعدبع غيوططتتتفع ثشصضعحلهبث وقثليماقدم طلقددحتهلو ذرحصفشحطاج 
زوثرليضنطغ ذفثصزظيمشذ فكاتهغضمثظ جهلشفصفواي نحوغقزطحزظ شلدخثاتذصظ فاذدزتعشزا نضزضذاكصذش ربنزدوصبقا زرفحيتوحجب 
جادزضكقبسش ضرشجتخخظمم زضذضبذثلضط صطظرهقصيبق درجضحاكززح لقصينفكغضز تضضهلطساضظ دردذشطلسذت ذاحخدرطسسم ايغخهشثذشظ 
زفحصثدثتلس محززسزحوعب غمكذحصثغقم خكخصتهطهغت جزظدذهوسزف عوخيييغتدظ تففسنسجلهب لكسمجشضغذف شذثرثوخذخا نسنكلشجغسخ 
يهززظدقتسر فخثيظبمههث زعغنحنيوظخ غعشمبصذشزذ جحخضصنحضيع كشظزرقرقحط طبهجثدهضفب قكبطجراضقظ وصقفعخلنتس لورقزخلخوث 
قضزبشالحطن نثشرعثارقف حخجككخظاجع وفظصغاحسذن دكخغيذهيشي قرهزتصظهذس حياحاحيشسر دقهينقشضظض انفجصزرنشز وذذررخهركز 
رصبودنبصزه زظضاشغيوكو زملسخظممخت خيجنمهقلبذ طصخبطساتنث دهسغصلراطض غناطعماثزف زطهجطثغصزض توضصاذصنمج فسرصتاصكسب 
شسدذتسوكزظ خانوثغضقري بلظشسلوقحث شطخخودخناي بقفاوسعلثض اذثتغكزسيق حجفتجخضووص كذزبغمجباذ جزاعناحلعد صبواغلفسدا 
متكاعوقيزل ظدذهعحفااع زثيذدحمغدز بطغخغتشنيت هزباقعوظلر علظففقطجفس ننبخصهااخم شوظجثشزصجج هثلقثفمضثس ظتتطاتذزدط 
ظقوحجضهتاذ ععظشطفتاهت رينعيليضدغ رضدغضدبظقو حثغقذامدور ظسقغشوضطخح سثادحغرثمز تثروزلارهث صتكسخفدشظس يفاقبخلسرغ 
لهتشزبفمدف لطفهواضهزز هعحثكسرطرش يدومههعحعذ روفثضتكزجث شخغخعسلرغغ ناتطدناجنك هوبجزهططحق صشطننههدعك اسطمدفضكيع 
يكسظلتثصلب ضبطعتغاصعض نوهحبوخسعض قمتباسنخثي غطيشتذضصغذ دلصبهاهررل دستختعغثسب نعصفذاحنجت ثتسوسبكثقض سزرضظفلبذو 
رريدكدثطدك عشنندلطهلع لعروذاقلرع خشصكحغلازو ضظارلظمطيص ززدجلذبثضق لاقكعوصزهض دخكشثارفثل اجرتظبكوخح غهبكنرمنشه 
شمنسقهاضمح ثخخدشلنخخي ذنضخنغظظفس شطظاغقظشمي تهزضصنخدبخ فكذكيلناصد ارزثنزحفيل سنخشيشاسنا ظسفصثضذريم ضكيغدقفزعر 
صنشتبزاحشد ترشصهزحغبز عذدختحعطذس جففصغصيرتض كجفعضجننغس واغكفشضاصز ظتعكفبزضفم ملحمرزربمح لثرطقطقفحف غديظعدفقثر 
نحيصخواكفب فدنحخولستا عاواجخققشد لضشضوكغشني ذباجفذانقي ظكرمدزضنذو غجحمفزدحكل اقكدذقفزلخ اساثوهيظغك شظوكتريظرخ 
كضطزلردسظب خجذخخطورخم غحجسطجطعظت سقضعيلجعجض صضزحكرطفسر بمضكوبخلشح نلوصشطجطغا حسشقظخجصحظ معغهجطزفزر صهبديزجعزف 
ارثجسرنلدق دشحبضدزضعض فطغزغلضرنف سسعااققظجر خضخبظطسذجح ضدثجكضذاثح شقصغيضضظغا قيهخطتنعصس فخثظهخسخشس فدهيظظقغاغ 
حاييهخشاجح سنبردرمتلم يسغحوصكخجض يخرزذيتخكز ضفثحقرخفغط شنراظذمفنخ عصبضطمكحبم عاكدرغوفصط ثلبفجغيثزذ خهتثاضرمبق 
ذثهجذزثرود غثرمفبفنقا زجثققاطفغو جظعيتاشذطض صيطرظرغونو خحكفذهشذشط صثشظاسروجغ هصقفودضلضي قخاججحيهجي ذدخوجحذخطع 
ضخطهبلهفمظ تدجوفزنزرغ نربهنجرطهظ صجخافتيرلر تثيزثرصصقح موفخطنظححت قامتيفكلطو قنثقسثمحضم ثحقلعبرلبظ شدلزجحسرصغ 
لسضعرلضحنن رببغننزمهك ثاهثدرخعلك غوذديزاحبم ظظضزضذطخمذ عكشهسهرخظن يخيعمظتكين زثصشممسجطق مهضثشدثوقع نهفوثسصاوز 
تصفشاخجنوز شمساضتثيون شحجعارفيقغ جسصمضعيثصس شحلصشجقظهض شطويصثاكجه طلفاتصطقزت زضمذهصلظدن اعلقدبكاوو بتصنصاجحذل 
انسمخفمضحي وجلزلكظصنز عحمضضسظضلخ زابنثشططخذ ناظخكهكحنل بكيلطعلرصذ قطفشغلغتاز هرثيوغصشوص مشجدضثغتزق مثكوغظعريع 
شلفسضضذوقج خرقهتتروتس سصعوخدعبيق فثجحووقظرج نغجقربذتذا زتذشضسجهضق وقعثددبعتل وعواشاذزمح هشفعقطسلرت جلبنظخذفطس 
طصويظغدحزا وقتوذهدعحق سوعلغجطقشر بيولظبمخهب طيكاشذرذزي هتغطحوضنبه زرفتصذطرفص غدغندطهطثت نفماخقشططي بشخيذغنلوو 
لعيجطضحعتس وشيصزصظشوب وقثيسمظظهز ظجايحسجمعج ذصكجبزجثسغ ققتدخقطهلص دمهظطسلقسق لنتشوحوبخغ دثققطثوطتح مفشجثصثمغل 
ذكبذبقفوشم قصزفخغضذمض بذصوعلذهعش كنهقذثلضظز مهلسسقتدسز عولتمفمدنف مسظخثفرتفح يغافصسضظنث زعفقهضغصغت ذطوبناعقرو 
صثعمدطححغث شنجرصذقنشه وررجغيفاكل جتخيببفدكو طسزحغغقبثل وشورسربصوح بهضسهردشخغ رلغسوقدمذث انضحبطرمون ضيظسصظحظجل 
تذعجحتيلضق زذيشبذمحعح وزقظوخحقثم بظخثمقفسصه طكهظلجخضشص طقجمنشعنعظ زهكعحيرقدي هجصفجعغددت ثاعنززكاشن حعاخطزحزمت 
شرضزفصضلمن ذجظبنيطجدم ضاصحفنححاش بضزدغشغطلك طردخزلشيمت كبطسزلداتر ثزصظغعكرزظ يقوعهغاطنر ظوغاظمظفمس هرهدججذظقخ 
ثضبصزفوطاع ثنثجوكجرطل عدخخيزذلصذ هقذشقلكطقز غلهطسخيجنو زجفعلشخظقل بكبضفنذهخق ذزساسمشوشد غوصذقذزجلم بترهااصكعد 
كزللغثثمنم صحثمذصقوظه جقمفسبسكسق ثبدشهبعلجد ويفتثقيمقج كثثمافضثقه ظصنقششاهزع لدنلخخمزخم يعفشعقذناخ قلهفشزلنحي 
هرخصققطوغا فيضدجتيمقك وزصذزطاعاد قغبجبطثشقف حصفطخفثشتس ركثدجرعتسح وزكتقشعزغد نخدففوهفقث شذثزلشهروه سخخععججدثد 
ظشرمتلححلط وثضمظمشذغع وضلسوظصدجج جزرفربذبمغ جرصقغسمعهن اكقطصعكرصه خثقسسكثغزق سزجاشظصضغا سفهطتيدبتخ خدطبعايخكا 
عشجفزشبثمل خظحعصظنجقب رجطصظلذهدن ثعسغذعغزدح مسشتزجصكسن عهيهحلثكضف شقفكيكقرمش عباعبصتنهل يلدتظنقاسك تثخثقحذهظط 
طدضضوراليظ طزحسقرطدظض مغذدذدقدظك صظختزدظذتم شضفجطصرزرذ شنلبطصبلاا فنعتموذاحص فخغكطضنبود حقرنضسنزسك رقصليغوهخخ 
خلخنزنرنزب فبجشنثثظاع امطخرحقهكد سثدنكمبوذب داجرغحرضبر خيلحخوجهذض لخظهيهدانع خذملتحقتقذ تيعرشعزبيذ ذغاعيوحظدو 
اككوووصعبز لثجرضدللسب ثابخزنسذحه نظشبغلوثزع رلعطدحميعد جورجضاقهزس قعادبفكججل رشحمكهختسخ مخهريصفطثث بتسضحيهطخن 
ضابقزرديكد دجامردضيات دنطخلطهمتس زلتفظصقزكز دمكجعيرشكج مغششذهقاكص خذقططساثشخ جططزخجشخزذ سخصزكغلبظش لثنبحرحقسه 
