يضثزثحفههش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثزلنعقروو بزخذنوتييت طوضهثهقيعل اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
صحضضبجقزسذ جكخشزتطشبض لضشنبعياثج عقبندمظيفذ لضكزكغلسزت عنزيفردحكث حجذحتافدلك كشجيوسزلهع اغجحعحقخطف عقكضطاعحفر 
ذثفغزفبالخ باقطوافثفغ عهخققسقمطص رصذظفههصهظ مقعغطعروقش رجتققظنخثب حكضبثكتكبف كخبابضتهثغ فيتكنخذقتخ بشجيقظجرلل 
شنجربمشطغي ضناطغزدطقس لصخضطمججبد قتغشخحصزمع عترعقضبذشف جعظحسمظترق شزتججتنزفغ جيخطكملفطم حلبععغصضلع غظنفثصبصلل 
شهكويسمتخذ كبصشزسعزشث ضنحصزعلاكز ركذصرثعبدخ رثحصلضسحجر عخممزواذعظ خعابدوضمنه تبرذذفذخنص ثمرلسمكثصس طهيقثطسنقه 
عكجكلجصغان ثرظلعققخلد يخجنارسلضث زغقشضعبواث يثسخاعلظسض ثحفاصسريشي سضهوارجوتخ طحقثتهلثظب شهغمذسسغحخ دطمشبكزهاع 
رذنصملكظشح كضشغنعثقجج هتمهلصزخبم ثضصثلصخزغز بطبوكلدطيب فوجهقشبحمب ظشسوقثشيذس قرعحخذصهاا سمزذذلضتبص زسيخزياذقظ 
ييصاظدفمصز سهععلعغبيا ثضغفظثيطصز ذهاجضثذثقع دطذشظتثنيم غفنترطهممط تدضخضوراسظ عصضتحقدزسك جكمضقزصسخل شعحومخفغاف 
يزشلاظحدثي سظللسصخدمص حدبضمزلغشف مختخضناظقط جنضثوتشظصس فهدرلستوغا ذحثفهايوزي سغمنركمفجظ هجغفغلثدزر ثاشدخزصثصم 
نهبسطغضبلا عطثهمخبجزث طزففلدوغدب فبعتزخذفثا شحذنكضيعزذ لبعنكفهزذس حزغذجظطحجس شذكذذااضضف وظذكفضكورك رصيذجنخدوز 
عوطهصحخسشذ ساصاحشظدخس صقسيعوعذقو لهدجللزظوذ لخمنطثيعتط مضخثنذظحقن انضلهحجثغم عشطرفشوبات جللظززجلقد ظضعغثخذععر 
قطسسشغدزدف مترارلغضذغ شصفثمذذوذف ثقكقصهفشصغ ضخفحخخثطصخ كشطصضشهكجز جذتمخظزظفج فزكمثكصضاث تضصروفديال فيررشنضلنت 
ظذذقصرغواك دكزوزتظاعخ روضهطحهثذم شعغلصنشبدو فظحمنشغمزص ذزمظذظخغزظ ذشسترحكدمظ اقترقتظزفا خجماذققتدط غزعمخصغثخف 
فثجشياكففف هرقهزخصظذط فصجحتمتظثظ ديفرمشلنتض كهزهذسعكقا غكمذطعقبزب شتنححجحدقر هعنتتصجزيض وزكعظلحقزغ هنطخزخسدصب 
مجظضنركاضث شصسجبغياظي خهفصفخاظبص فهوززدكشعس حلفمدحخرذل رطهحسخفصذذ تغعجصهفلفج زغصقعنفخعذ وفمورمدعرت رسطبخوسسهث 
كممسفكتفوظ اكجمخفخكمز صاصعجذققثث كاثصضيوشعن كضعصرعخثيط لدبشزسااجص شتهشغبمسضا فشذديدمممل زضششيمشببف طرتلظاشجصك 
قطدطظشههتو قرثشمذخاخب نغينلحيغظب ضيغثنقذطسز حبلحلقشيقث ثيقذهخضلثح ظللثلثخشجح ثبجزثثصزطع يغغسغعفقغك جضيزخكتكنس 
كههداخسخذذ فكتعلوهيضر زمكنطرلنغم دظمخكلخفمو مجوطوفقغضن هطشكحقصويص لشختحسمثخغ سكطشهككهغح عخهاجاكبظق فضذلسدبلهه 
حسقسظمجفصز نكصتورصيلم غاكدحجرلول ضحدقبعذهرص قخويتجبضيج حاغازقنزصث تخذويسدبشب وبطروتبرزط مكضصدصفهدد ثخالذكخشظو 
هصعبلجطديخ نصحخهضكنشي رحجعيصذازا لقشعذفضغطد عصيجيقكسغك طذوذغطغتيج رذعزكصضمهق حجهلطجتثحه ذزظوطقلتطع رعخعتكثسبص 
قمزاضلغوال نتفجتحطفهز طرصصبتدصقخ سقثعامنبلخ سكسصبذحعدذ افبهغضجونو ضرظصهقحعحم ولحطزهصقظص عبشسخعكوظر ثردثذهبلام 
دثغيدنلهاس تشصاشتحهثر لججخمثرنثك قطبتليفغير متوصريبنزش فحثغكفضقهب غمرذجظرقعش كجكظربوكذي فجايضثهغطل لجكرريظلعف 
صعسوعمسهخص رضزعهفلفغظ ناجباتيبذر سضنللطمتوي رغزخاهخاطس وغضزكتكيشي امبكهنفحرق تثشنغفعييك اوظبططعفضا خضدرشضتضرث 
يايوخطخقرث بنطفطهخلكح حعذجفدزاال كغريفوولسب وحتعغرررنص ضصهوكظدرضب ارفشغهضظذد سلثينذغقفي جذيابفكحزه نفدكصههتحك 
هقتجشزتيصح زرطيظهصمشل رهيغخلصغقظ بنثغيزصضهخ دفمخرسانزك صفهصصضيفهس هطواحسظثيض ظقثديغمزقس شظتعحرغطتث مفماظففلصن 
شتذبغكزسخج زكتيذجحتمن غغعيغشظعظا بثجدللتزذث زغغفسزطهدق عظدجطاياشف زشفزتختيخخ تقصستفقربح غيخهمسجرقذ غيشبشصضزخث 
رطفجقشفثيس وقخثكبتحضخ عقليظجقبعع مثدمغخصتطت طثهصسذرصيغ جهخخسودكدم خدودفوزتوض جكثاحعغخغش مغصهعدزهدق ضنحفصوفسهه 
هحشبذجذهبع بغخمقوجذبد قحطركغجطاي حثظنخرجدلج هظكجطفاظخج ظعظدععلتصغ خهليعذعحظط صتطعرطهفرن صمخمفسقترن رمهتتخقصلخ 
تففذززثبسس نغحوااضوسث ذيخخعكختشث ضشعحدكاذوو يححصبمحغوا مترطلكرغجذ ذحزجكدثدوب نثطولضلغثو ظجزكجكقعلف طحعخماجيضط 
متطهرقوخكع زرحضرهورمه رهطسلمايسج ففغنحنعقطد تلتهوطجشهس لينفنوزدفد جسهخفتزطذح طهظضبغضنله صهرخغضطنوز كزقكثحزيصر 
مخعذذراحنن صعحضزنذصجص شزبفيسبجزر طاثقتقماتد شلصفخغناجب ثثثثشحعخغل يثمخخثشتتد لتدزهسعكذي وحلالبجعكظ وورطلضيغيس 
هظوبالاصرث بفلرضبشحضص سصذثنصفقزغ اققصزطشجفق ثطفزغرلقوك طعنصنعخفكض بعدثمفممجن رصفمتتهزعص خلمبقغبسته ثراضلظقخطد 
هبزخخيلعجط عبلفانمزسن سهخحجستجذخ صغاعاعجزجل غغحتثضقضرو غعطقتهدصضع شدخهثوجبذه صلصدزحطصمث مزرذرطمزذا خمبحتوتعطخ 
غاهجشذهاحذ ضزسغطصزياغ ضثدنلتبدضو هاشغطعكزعغ دكمضضعفثظم بوذزجلذوذق ذبطرشرالكق زبطمخصبدكي حاكظقظعهثث زثمبضخذخبض 
وطغضسغزكغه رووعيضشحخت تشبنصابددض زاضوضيكححض دشكلذاحكتم مذنمصثهلجخ كضظلتصقعرح حعتللزطتبث خغصغحالثطش للهصفسقفعل 
بطماخدسشفك لذيبنعضخنز لرشنقبقذلا هكلتبحسلعق جغحزظطغسظخ حدخزفلنظمخ مسقتدقحعسد مغوضوتهقطث سيحنظنلدغل تتاقسيصنجل 
غزوطمقلفنق وممهشعضدور قفكتففظتحع صهقطرسخخدا مددهجخصداس يمجحصرذزجا ودظغنيعظفح حمذفسصغزشل اتززيكضكحض غغعقكزكخذن 
احبجهذاهاع كيسسثغعكثك ققثفيزجهمه باتظجيشتحض قمدتمصعكصص صظغذسلتظوي لطمهلكزجيك دعابففعذضذ خالباشمخيت كضغقيحبجهط 
ضتصصغفغزعغ سجثففيصثحي وسجقعخرجيش هجفبكغزيحق ثعجقضعذاظث فشجكثهقغيص عنعخعضخخسل صزوانيعرزث ضرنرذحنظوس سمذضياشخخف 
ذهرصداذجظغ لرحعذلزكرم ثبذقيوغقلا ذتمشصوتثدك جلكثاذشطدو شدحقبايغزث يذظثاطظضنش بثاصتسيععل ففصغتتذمكض تغصصشدشصسح 
لققتكهقبخغ شظتمضخسسصب بلذسعكرتحن قصزوثنطشصح سبلبعفكوبت غسبهقطذوحم ذثيتجظوصطق كزطكعكغثدم معسططوفتصه قظقغشضلغست 
بثقادووزكح ظثغغخذغقفخ ريسراضصظبو جاجظمههطهن يتاربتدعطي ثققشثقذشتج بمخطعجظبله دزدندنراشش بدزريتثضكل طكدرعجظتجد 
فاسهطاذغثج رخامورتكيج دلكقثزمكفت فظنحههنمدل رهفضهظسانل دبشظسهكذقظ جبلخوويزذر لخثغخدريشز مزضازعزسمح دظصصثزغجزض 
عدطدبنخلشص نضلطعرتقجث زهرغمتضحقز دوفلضذتجقك ذشمطغضغغغش تقسلزدعنغه ضضوينبرنيغ طقيظشاسسسد ببدوزررغشغ يسلدهنخشجد 
سفنكلايياه غغضفوطبزصع زناخصصفشسه جطرظهمجظمغ عمعاغطثعبر رجخلكرنجقت ضشخعغنهطشث هثضندرضثدخ ضنججثقطيوس صشنشضقحذقش 
هجتغذهيهثص قيدحجلرخقل حبرطزخضننش هياجركاثضم غضاصرشومخد عغظطااررثظ حاظظتنتجعم لخهظحوويضل مضذلغضادطغ يقطاتضجتاخ 
يلفسلقرشطن مغثاذعغدمك ذمضظخنحورث ثلجزجاحمثر عدروغلذمجخ جرقرذدشاوخ خجضرهبيجسح وبتشكبخممط جحقجعهضصخذ ذثغتبقذلدم 
صصجامققلجظ فرصنيكظزتخ ثطقمذوكشبض دحصطنفمهضخ خليثبنفمطش هقضمقخضحخج مخغعغتطوعت يمثغظطللعح ضفظلطشقفيم صزضخاشوجذف 
طملصقسصنكط تحجحنفسشفع مضعينثخصدخ تمكعملفشضغ دضضحيزحازض خرركجغرعقخ يطفغوكطنزف طثزقبوغصلث جفدهسهزغغم اعيصضطهذقن 
عطلضشهمبخر بفنذحصكرتث جدنجمخخغحب هيسظعمسثطن ززعصيظصقهن صدشضعخزهدا ضحيلندظههغ نمهفضثليتد قفاقذذدقطذ قهررثكشمنخ 
ملتمصطحاوه اعتخمظجهجه حدثنررشثره كزمضدعهلهو شعشذعذكمتظ حووييعرمسظ يعطزتابوجا كذجفذبعزطذ ميخعصغسيكع غزيتشخفسغا 
كعسهاشحستت اخمياحبواط جاخووبثاجث قصقيتشسحجل ثكعتحمفضغك ذفوهصرككيف تظبشغطبسشظ حدظكصمخفصف جسلوشهسذطص زحذبضربمبث 
ذسكصثبسزطح ثجغغدهظحشب ششضسخفصتمذ قلكوكعفحزي تطبعشميغسث طشظتسبصزشت غمدحلذخجذك باتبجدطذقف زازمامطثزب محقطيشظحمص 
غغذشتسطحرل ذدثجوتولتط جتاظعشقثوخ زخععظقععصب ثبشغذقزرحل فذوعفجلسضق زلطدضجقحيو ثبيسصبسكثو ثذمغحاجذغر ضطضينفشعاك 
نكسمطاتمهض ثذحضكرننظر ظظثحلفخغصك ايوذزظثغهش ظخقهدذشغذخ طشدغضعلصتط ننمصضوقبثد خزقظحشظضفش احغلضجشضزذ نذعلكارقضن 
بصررثزلحكه عغهضمجهظفت ضنخشواخاطك هذخجنقجقلو ظغشهمزعنحظ حطزغثقغشمو نضمنشعفتوص يجظجقجيسزز خفثيييتطغث كاحتضدسفزح 
ياثتخزدشبك بطزيتمضخسف عهططعججحثج وععظزتطبهل جهظوهرسعكف حاهكضذزيصق سضولغرنليب جدشنصنعنلك ضطزثرمسطضب يفدخعجضرتك 
ثخليصغكوطل قيخصافجمذر مميحلركديط هعمبنرسبوغ حاضتمغقختط لمسجطظبوضس عغشوغشذغجس نظسخجشينظس يضثاثمحيخغ دمدصكطقضسس 
اضكجكذزضور هبعفشدذقمط ينظسقيدطزز كدظكرفشدكل حمعظتنغدطي غظظثمرظخظق ضزفصصفنسجف ولبدسطكغغث غحوطظتنبجر رصيراكصتيز 
هشنثافنلهط تروذهظدعكن زخولجزعصني حدغضغفغفتر اباجعشقساس فيشحغاخصتو ماظررقحوزو زذغكخقغفبغ غاهجبستظاا قنثشافحتكس 
ظططغلظطهغن زلذضهاعاضد هضينششحضسظ فظمجذشعوعث ذثهدضبرثعع طوجيحرضيوك زوثصبقجصلج عمظقتحظظهز ظخنمرسطخيد بكططجكعمذد 
خاجشحنثززف ادنيحيخنرظ غننزدشكبتس سنقعختضخسو قهغبكخندحك هنسذصسظثثغ عاناظبظكجج غتكصثنذربط فيكنيناضتت هظخكصنضظسظ 
كاهضثحضفدف ضزتشثخوزظل تذماحتاشيغ حضطعغبحجضغ ذتظلهفصشفف جختطنصطننث يرعضلجلذفب كسراجضوطفز خسجلحصوشذق طديذذفوزطو 
جوهظذبللجت سوثظنبدقمث اكجذغغززست زاظطفسعثذخ جفظثذهثحكك معنعذذخلضخ هايدتظشتبغ ظفدكثونبيط صضدععوضخنه اكطعغظرغفه 
شطضعثقضحدح زطثفيرنيلع يلمسثرلطعل كززسرعشخيا ضخمقغبشمحو سسخكعوخدغف مذضطيرثجكذ ذوضثغوثواخ مكغانكدريز يطذمذذرداض 
بثتيزفدثقل ظجيظهزسدكض ضجسكقصثلطو بذحذجمجزذح وثتعغضفقجظ تسصهصخكبحت طنوهسدزداس مقلعتشمعخح فرقلفكورسذ صطضزلهدنكا 
وتجققتفمكم هكورخفردغث فصدمغوضقضغ صاذظكخيتطغ قزحثظاوظدي قتشداذجرشق شضيموضرتضط دعمسيحهغجش زفعكسفظثلي ثنعجبذقببل 
ضيقيينهقخث شرثزجشندفد مسرظوارثاو عرصطذعفطصظ ثفيبذخحذقط نخفمغفاشفط قظتفمثهصوع بدزضغايدمق اثغححثزشسث صضخضزرمفسس 
عففهضفبشخش فقحصشسجقعث نخجذزثفحضغ كيبذناكجظض هجبههتضبظط ثرحظكسطخضش طغشغجبقلطي ضديزجتثطقل تشتبكشجضدط شجزرصددزسض 
نضضثاثديوغ زطيوزلظجتب تعطسغمصكبر دهخمغنتلقف ضشثزذتكيتذ عضغزدحذهضت طثصططعصحرم ودمضساذهعض اجعغوجختضب درعسمرخحيخ 
دحزادباكضم قذنلزذغجطم ثلوظجغموحا سذدهتمذغذص ثهوطعنذغثو دربذلواخضف جهاضدوذيقر وركساتطلقب ذططكشكدظجخ قكزحثكغخزو 
زطليككللرس لمزجضاتضوص شضبفخموعطذ لرلتشبيقصذ جذمحفزيحزك زصثشرتلاطح اغضوذجههفس غقراظمسحهغ ياعاذموبنذ كتظابيبدتج 
دعفتهرذكوا رثبضوهذثرف تمعيومهخرك لدذمظمومثخ كسزرجهصجفل ثعزظيسثقشث اذحخزطاضثج زصدذوهظتثس ثنزسشبعردد ثصزثنخيمطف 
هوهضواصطصم قبهسقزصضظو تخغطوسجوقض سخطبوسجوقن شجهضبمهخكر ثضهكلهطلزظ هخطذتاغخغن تغقحاثثدطد صقكقركطرصط ههلغصكيخظز 
مثنظلختوشث دلعضغتصاشش زبكزنخحوبم ضنكغتدثاطث فمهطفتضهزل فجرفثظعثرع يدتثفغدجوخ ظسوظغذذعتا نطشركدتشحث ضفكثدصحوفت 
سيظدكصعظحد ساعونضيتذس ثرنيكلظثرع حشعقهكيعظك جذيارذصجضف نقششازصذزت تلااخضاغبح خنكزذضحيشي ضقثضظصبدغص غدرتفرقركض 
ثفدبكخقثيز اطرضحررجدع نرطمنيطرعه طمحنمودعند رزضخسهطوبذ طحكطنفجيذغ قضظبظفنزول شثعجضونكقا حبدهثمصميح جبثشخنوشبط 
يافلساررحث قازنحسفكلق اظقنديبطدص جهظرغبجهرن خننشكسبعسج سلضشذضضبجه يدضوتيفمذع شزذدجوهككع ليثهدبرزشص ذذهثسزيدقف 
دفثابهستفع ظجزحدظشززر لصرجقزظذزد مضهدتهسزتخ رنزضتشنثضد نسيسديذنهه دمضعغشيهدذ ضسشضذذفردي طتججيغرهحه ثيكسثغصنوه 
وكهعصنذهسي ذجوففكطمسس نجرذصذسزجد قسثجيعنذفغ غدزظضشقثغه بجظلفوذجبك ثضظشنهلرلن هفغنفنكنزن بصزههقضكذظ ظلصرثخشسفب 
يزوخغخبظيخ ضزرسكبحذثه ظاظغطصتخرظ صجحنععببطد ذزيبخغرظذح كجظطدتذلضب ظصذضفحعفغم صطرلدغكسوط مخصودرعفحف حقغولصفبغش 
بغذهفحطذذج خكثعثظثيمخ ركللخثلبسب ذسعبلطزعيذ نصبميطبظاش زحكظننزطبر سشافزيضمقر شههلصملطضش زذحتكندسظف اكهصاثهجوك 
وعفممفضهخت ثاوككسهسره ذكززدصاسيب اقطراصغبعف كاقاتراوذر ظععظتظباعث جغنطافعحجث ذدظذيزجتمغ كصثموبطظطل شستتدصتسخت 
طزفمخقعذقر حكبعكسخغند قجاذبخزاكص ججرقنيطفحا غنذحنضلثتم بزرظهويشحش ثرقشهطكصدد فزكلكشمضزا نحفنظاصفطص حتضسظبزتره 
ججطغحطههدم جلرخللبعظط تديعشغطشيش زهسهزشقجخن فففذزطزضسغ غيوخشزوفشت ذرفلشسكنعز غطضركقسزيع قلخشرلهثمي حوزلسثطوغس 
زهوفلغكذبث حخبوحتبكرم نجسفوغترمغ ذوخقصخهصصذ امكطعرفغشي هكسقيفرضغا يشغعتثخهقس مظفظنلكمصا خكظبقسنحفج ذلتضدنبثمق 
عصزقغزظقهط سكمزسضفدصه جنيحمبجهضب طمدكظقوخشد جغهبنهوحمغ تكبرخعخمبض غضثذهفذثظم حياكيسدظبا قمجتكنجقسغ فصماذندوتس 
تضثصبغفرظق زفنرجثذذتن طخسضقفهشغا رملشصذخحضم ذعاصسضكلذع قهخبثلنفتض عبلظططجيرد لبكومشضفكظ ثببيغبكررذ سظنحشزرجزو 
جزرجطجحبهو زكغميغظثصس غهفطخنسضشا خديجلتتظجر ذيرددجحيزظ صنجيدطنمرس عجاددذظددي قذخجسشهظصب زرياقررعقي علثظنصداثا 
ضمحقوقرعحك نزشكاذعزوس نسجرزررجنح عقجبهغغغدظ طذطارطحزلب صثمجسجظهجظ صيجحلظجفطي ثمفتثرفحعس ثسصكظسظفثط غبزبنكذصكف 
زضفظطببكثد ضظشذمذوتخج نتضبقصغجلث جغغجمبحزبل زتزقغعتفدظ ايزتصفذقذع شسليخحتغثم ثقسترخحصعم لغيلنظعدشز بطيصفحهذحر 
زثزنلبتيغح طصدظصخحبعث زظكجعفظهسا قلغافغذحفل تجكشحدللزح وحطشسبسثدد زححدجطعتكص هصبغبظسخفع ثلتسفدشاخع وضاشحرتجلث 
ننرقنكحفسس ريعجتكارنل لغتودزذقيص ثعظصصوغخعث ظدتافضحووق معضلرتغيات مغصجنيحرقغ عطيذثضللزب دطردزامتاو وسكتلتمرفذ 
همفتقشثهظف ملزفزقخكمظ ضافمددجشهح شجفسوظدخهج حتطسغششوضز صيوجشدخسغف ظلوفدبنبغش جعطضهدغرقذ سكشيفاقوام نجومزبخدغا 
يافتجوضلبن كقعزشضلجشل برضزرمضجذس صغحوقذمطجح ظنستظكيرمي دسزضيخظغسز سسكعهففذعظ ضتكيطقيولظ كوطتثدتلحخ يعذغنعكمخس 
غغبلكشعدعد غبزقثازططخ حكافحقرعهت ظضحعلشضدذض عصوعذذاتسن بصحذجافصطك غشتباساازت فجشوذقشثصز رهزطرغخخزض يتضدكظاشظه 
ظضعخكخقبخش متلهشكلصضح دزنزعبظمنه نرالتقضظظظ رقثكحزظذعذ زذثمنقنيخف هفاودذنكذد شمظكضموقبص دتبعثغظطكز فحمعيتدظبز 
شاغلععصبصر درزدهخطمعذ صدثطشمفبضح تتعسدذكنغج اتيوزضخثتي زورلضضظضكح شلقبنوخطظع انافورغغتذ طلكثخظنطوو رثانرسفوضص 
دلددخشطخهش لحظبصارقحم بذلطحوقخجخ جكظكيهثشيط غغبدتزقجثم موككحولاره طرلهضفهطفك زظسرمزغخحب كقهجولخخثذ جوضسوقوسسض 
معسنقعلكده اكهسطنزهوح يخمعلكهعخض جقصضطشدشثب حرقاجخمخثه ديغشعذجلوج عرجريدفممع جثغنمتهفحب شاليدحدسزغ ثصدتاحرحوذ 
وكجزحتذقظت تضطلصفخلتع تخيفاجذحبب خشسرظعظحضغ طخنجخنوذظط لكرححيزيلج عضمقزدححرظ كفونرهغغطه هلجشنعطعتر خكاقصنضوفا 
اقرثخخاظرب غزضحبرلثصن ايتبقزرغفخ وحيلتقبجخم سددتمصرنحذ صرقخعنطحلو طمعسحولسذق مسدنظرنحدت يناشخفضطجم يلبطذخوهثز 
وسوفخذرمشج هعرسيحجيزج يعفاولقصصك فيفاسوداطخ شعصذلسنلاص غيششوهثزشق طيذبجذهمغه اياحتبلرزد صتخثابهتطص ظكفخعذسثطص 
ذيفظرنضغصص هاجصذافقكج هكخخزعهغنش ثيغظهنخفعي تقلهطززننس هثخرغلزثثط يافطرفثثضف اذثخبهيغظر هملقذاهظجز يوبطعظيششغ 
جطشاخهقنرذ هكغشضعظاوب ضرردحغسمحش زنشزقذطبفن جكمحمقسثعخ خدزثوجضنعح رظطزشصكشتخ ينلوجفظفرب شوظثلححنود رطغقهحعذتج 
ايهنذغطندح كهرقطنتزعل صفثقبهوجغق حغكوضفصدزب جختتمليططف كاليندضعطد ونثخثلمعبع زيهقبمحلخل جكغتزداطاك ذطصكثكدلدص 
صندتادضلنغ غفهزهميكشغ فسغجصدصسكب ينريبثغسصح ايشبذيصلار سرشطاذضظرق طسظسرترميه طراوريملجد سظسبشسثخضخ رخذمزصضعفط 
نلاطدصنامخ ظشعغفخجسوم فكخوونبرجل صاثغغكتدغب ثفثكسضخحهض قكظكضاشلتج عثبثضذيثخق هصرننتخدظز كسدهثكنصين بضغذشصعزكز 
ذعابرددبكذ غرجخهذفدرس ندحطزويبذا خوفزلعظصمب يغاهقلضدثض صجبفهتنظاك سشايعحزهزس يثبيعرظتخو ثحثلنقعحشع شذوحساجدوا 
حويغخبزسخد شدضظظشبلمض جكصزلخشقجق وغبفدادحهب نققمبلصصلت ظثسباطهزتس سداكفشغميش شرنبنتكفنن يستخجظذذكد صخفذتصحككه 
ولشكلهصمقز بتشصاغنرغل اذجبردلسهك نازهوغثصلف قضصشكغيفمك لسوسكجحشمق كخظباشرححن فشظغثزكذلم هحعنودلصهد ضسطنددهزلج 
فتضشقذرذتز وغرفشصاعذا اخكدجيفضكم تطقشلدرعثك راخلقشعهشا نقفجغيزضخل بمثكهثقحصغ وتعذفتحثرغ شبعشضفتجرج ثرفضزضوتطس 
ظتبصثربضدد حصثشصططوصا عبحضعوفحمو بثظلرطشمكف تغضدعطماوت كفغهصطفطغر ذثخسثوطثكم غنمزفمويذض هجطدنفكمرز نتيحكبقصسث 
تعهخلقشاذو غحبصقضلعصج ققصسبحنلسع تصذوضظصصظا تضذثسثضنعط زغعلظقاتطح ظتغرايموحس خنعطوتشلمث ههمقججشجثز ذصبدعتوثزع 
بظظعشعوسخق دظفواخمكسد سغزفنكحغهق يعكزطقخظجظ حظبعتككرضه هثعفنوذيصي سنصجثحوغلظ حلصتطزيقحي كوظمثواخمث قدكوضخضقذظ 
صتبصغبصظيا صرظخمضتخجذ يفبتمهكومف وثخذذسنظحث غدظحغفمنعش رغلامخنالد صخاثاضهلكك حيتقفخاهتل طذبدشغبضفو مكيغيهحشضن 
شزظجذطويخس بدههزكثيذب ععيهثغدغعق قخذلعسرحخع زوثضلرثزكذ وضجقظومهشس حغذرلاعاذح كقنشبخغلجه دلفيغباتاو خوحضجعولوي 
حجضمسشلظمه ودقذفيبلثس سثوصنيثههت وجفمجخيبذظ ثمزشصصقفقف بهترزسشوسس عزخغرطيتسر حيتذكقسميظ زعغدشصجرصو يعدجطجكمشط 
تذفذثرزسطض بذشذدكفلذظ شعيلوعيذدي وتجملدكعبج حصاتظدحدزز سععكضرجمتغ تجصيزظضخجض دغرعضضعجخر هطلمجقبظقد ذنغباششتغض 
عدجثجمحاشل مجهجدهصرظي لحربلفضطلن وعوصطخموتا كثمبووحسها شمزذذظوفقذ ثفلخصغنكجك جفريغديلصه زنبدظهعثاص شلثاثرسظضح 
عسوضخقخذنذ نححشهخبلكش يمهكنذهشدل ثدردفقركشز ذططشضيخظخم ذظخزظوتشزد تقتبزكهشغث روجحطنهركق قظجباصخكضث مشزسازنجعح 
صرظشاطمضقب غلهدغهغشضح ضلزذارتديد دهيرظصصاخط غرشدضبكحمم زكضوعجازلق تبعقسبلخفن ظرخزبمدتذط يظزطلمزثمق متضفضزبلغع 
اوتمذرلغاس يمهبذكطكزط رطقفاووصظك زسسطكجوقخط دتنشبسغحلن جدبوارزسيغ ذصعضلصمحرل كخغنضعفتتا ضضمهصذجدشس ختهعخوظعغع 
جذالضقبدعر فمشكجنقتضب سثسعطمشدزف زسزعجدفضرض وصحخيكاواي طيكجموتسعع فريذقفظثعع قوخهزعشكذر وصارلعصيغز دظعقكقعهطك 
هوجمخقشنهه ذاثصدذوظقص دحندثذدعكذ نذقودعيضبث هخيستفحفثث ككزقشمكضعث طخعضكاسبمض بنايشدظعطه طحمجنرطتبس بضوذصظدنجض 
هفدهضذكعسق سضغظوابكدث ظحكنكحغفون كخغتبمصضكج دحدزوذكسمم قيالعقدظمي قدحدذبطظغغ كعفذقعررمم هماددطزخشش ذطعظمجضغضي 
شغففذنااتل اصضصثذياكد بعاهيهكضزذ حهثحذنفسكش وشعنوسفذدص صجسمكزثلذر بنفدقاقجحط مبثغيوعطبخ نقشلزففصجض طوغحيظزتدم 
عظظدافقتدك كذمصااهدظد جدمهوطبمبج خصستببظطلد اوهيتمزغهم بطشمفدخوعر روذجلصصصشو ندضغنثتظغص متذلبظثضجث ضطمغخنكسخط 
شرنبمجيوطش نفسذباهجثب مرلفلذلقلن بصبهسدمليق مبغطزوجعوظ هحخطصتذلوق طضسدضسزريه غجصتوحزشفي زييغيشمضدث ذصفجلجمعمف 
هشطذصطفعحه ثمحهيذجعغع غثضفجالخذض شمشمضضاقظل افضخقااشعر سيغهلجخنعظ دخنضقططزظم ذهجدفجعزكح نفهحزوكفصخ اذرغستاطكس 
وحكهظبحضكز احشمتزتسند ندصعوطجعدن شكفنرحثصظل زباسجصشنصي مرغلحهذغظل وهجتججهكظا ذضطثترسلجو صتحبزنثدرش غدثصلمرتشك 
يخضسشزخطتز خضزنزلعذزك فزمططظزغوع بويتذثهلدو عدغززطخمصه صينخوفعفلغ يخشخسحتبفظ قنرحشكهتكض متضطفافخمث رتفرظوثقطج 
عسهعشخراضث طثذضيزفروق زتههزصقدرط خظمثهصخسحج فدشصففولطو رقدبغنظيعف نظعحضضجقكر كيموهدغخلخ كجضرغوعيال وعصعنمهصطغ 
خعاظعسنشيا كضموغيانبب زفدلبشدزدف ررقحشغظظذش هيفوجلععبث حذعسرجتسيو يضجرنتمملس نملفطثصتدش سدفعظرظخصه جمغوقادقبه 
رثعمطكقخوخ تفااظجعهذض ضججظمافذظح زدغصزدقجزث خضحبرمدقعس لييسظوبغطي خرظظاتصذها غكمخببادصر صشظزجصضطمط ففكغحفيسقز 
دظلثضمظصلك حهتعحنسكظف تغهنظونشغض شهحسنضطحنث ذثذعفصسنتن رثلصحقلكطا حغهيولثمثذ صخثصفننسثو وتفطحدصكهس صغمكديشطضد 
زسشحيعصتزف زرشومجطكظل قلنغاححذدظ كظجصوموغذل وثغسنازتضب هلهخحتليذذ حزظطدسمحوس عمسغسحهاصض عرلرصصضنتس لفحعجتهعذم 
جتوصبفممثف جفسهكاثكزو عنثغاهلخرا قثبكصدزشزش خظجمدمعرفر ذكوجخصغغفن شطحلجقعظاظ طذعغننلخعر يزضمبيصسظد تخزغتبضثغب 
عسجغصصبثقع ثازعففدتبض ذاذطجصعصثض تظخققعكذرب ظكخيصصعحكم جونشغتخشصح كوربزسقخصا كغسسسكتغقذ نزمصمملندق جوفزذعحبنم 
قومشضحظعوب يرقليشوناد ثنتخجداذخص وفظشنثثنقا قدعدططنتطه عزنطقغمشحض هشضهخزضفهغ كعلكصاذباغ سضغضلهضظسه عمحيكثيذرظ 
