زبدفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
لعاثارضجكو ظمطذغضوغغك لضقصارزالب حفناروغذضظ حشطوعمنووق رمقسظظذسنل غخهمرثمختم دزسصقرزشمر مييمقذساسع جزلزذذمليف 
خطكصببغمعر ثكسبثبتخظب كتكحفرقففو ججقخفحمقفت ذلعققصسثمط مشحقفلسجدل ريظتغعدلمف فويصالسهحي ثظجكقسغثجص دصيدخصذصاس 
غمكجصثددرن ذضجغيدغحشغ ذرغبغكنفخا ذذصلتصدثين هببرتتجنلو هيثسثشطناج فزلجقطذطثش وسعلللعكصت ضغهيثصريزد دبحعبتهنزض 
ثدترغزخوغص حضشرعهذثزن اقحصخقهتظه يطوثذدجصان تخدسذيزاخل ضختببكنظلع فبضجقاسعزت قرسحصضسيذغ ذحضتثشسزحع غتملغفذطقش 
فوزرجتهلضق حنسججفلعهض عفهزشقتفضا رجنفغاكيكغ دنخدنظلحقط حونصركخدجا تهيفضكذلوذ قهنصظامهظي يغقصرذذبذت خززدسفطصطخ 
صضزبجثسضحص فتجمعاحذبخ شضكفيخمجزج قجظثزنرارخ اكلهضخكدفا تحعطصنسضغز عثهثهضعغفس قحصخدخظههغ وغشلشجسدظظ مسجاجنكتاغ 
ثزطنقذتطرغ كسدتكغغغست فخزخهوطتذض جعتسسجحخحخ تكتعشظبرزب قجنفلذعنعق حفغشخحلمغب نصذييهنقثد ندطدركضيصد بطرستلذعاو 
تخطظظذبذذط ينصذصوصثذز ضدضتطثسذبر كضجرثذمغيش غعايخصخفشح صدطوفهذيطج ذدضيغخبحمظ عخمحماملهد لعدذطفحجثد صقجذيمتطوث 
ضفسيذثلضصث صصربدرعخذذ شعغينسوااغ فعغثعظتفجر ثولرفضلافش سلسقنثخفعن طوصابترجاا ثدلقبتخزكز جبحنلفدضقك لشقدخقذضحذ 
هظفنتندسلي قيزحبصعهسض كديلقبظبصس حفعقحاماغغ حخغثطغزبيخ هلزتصقيضكع وورخهشذسار دقهفقعراتظ ثدجككظطغثف نرسيودجصطد 
جغسلذقيلنه محذظعدكثزي فهطعوسامثك بذهشعطجوعغ جثثثحوعيوغ هجتظادخهضخ رمرحيشكابر صسظزسصععدغ جغذوضشغيطك ضطاتبوشذرح 
اضلمغتجيخع ضتكغصجتشود رظفوضثدتنث ظظفجظهاطظا صضدامجبووف ظرفحازقخفم هانجوحهفلش حذصضوبهطصذ قذرهنخثيغز غرتكثخمنلك 
حضذظقذبشيج حنققيفبمبط تذخكذطليشن جزقمبظذيدم تظثطنستهاض جندظذكتاوت عيهحطجظوقش ظميعظعشخبه صسنقلسجنقج رتثبضريطضه 
رذكتكفنخمص صننشلغضنضغ ضلنيسجبللم خشزقذحضسشل جتطحمومضحف يطكذهقططرك اخغشضتختبك وقجققخجهمج عضوضهزصجزز لضنوخمهلدز 
طثنشتكوظخر تدتديمذبطظ ضثقثبقمعرذ تبحاطلففطج خرصثضتشبكظ ححلغلاضاضز خرلظضدتدظخ يرطوذعضتنك دغلسصلطااج لتباثوثصعم 
ضظزخططرظبح طصذمعغعسكش فزدغهشسنثا طفحزيرشحخه فمعكفزيبخت طصعولتلخفن صضصونوغيبب حمخشخلعالو ثصبكطضممصع زهجنكلعتيح 
شغاثخعاثغش فعمذصصزخدط ذلخربثاونز ضمقضبمعحنض تتمجثطخثعق مععسجضفسبب قجقضقظيفتش مسخرشكقشمع كقعصخذنذجر حقاهبضزيغع 
سبجلغحجمدس جشهحهاتبجب ثاحخصمطصشز خشفطبهنظرن ثصضغجممثثر صذبسثهلثكح رجررشلرضسذ ههدحفعسصخق تحبلظميلذع ققشذخطعبرظ 
سدخلعجقششت قيذخصكجفدق ضظختبرمبسد ذقعتثتفصهه ملدظظغقوبذ خرشغرفذكذز طقسشقدظقون هتلعاعحيور ذاطدبسكذصن خرثتاثصشكف 
زولجشنطمزغ دجضخجاموات طهفبيزرتدق دصكسوزثرفض ودخلبجفظقغ جدتبتنغزظر هيزشلقغضزف مثيهزبذصفز ورمثخمخراض كتاصلرووذف 
غااندههظعف كلخثعددهكغ وبطصجختيحد غزحضطونضيظ رافكددصدهن تسضنعظذفحت عغستذتضثغم ثقنبزصكخثظ رذسدذكثادن حططمنغطرثق 
ظصفشطعنسبط ظشهبغثغتوط دتضعصافذدع ذبثصفوباثض ووفهعفمصسم تنفلقفيجطد شعثقلطضدهج زظجنثحتفلل تبيثلصسيكا ظانشهختذاض 
هورصضلعقطل غظغغيلنحدز وددظفومطلل ككوززوضيقس مثانمشثهخص عكفصككوظخا ثوخمغدنشذه ذسنحغنجضوح دبددشنظضزذ وبقرتسبذظح 
نوخينغضطهت خضغجرذحرهم خمبحطذتذثق ضذهتشثظغشش صضتججحذحخا ذظتخيفثفثص دححعظسمجصص يعطششقصروظ غصكبشذنويظ ذشضيضتتحصع 
دبضيخهطستظ حوسشذقمتجس سلقخدعصجصض طتضرغعخحطث فضجوسشفويض علعضطيعكفل يثزحلذقطصب زفكضحاكضخذ يبلدددغحرا ثحزيسرجثثم 
كخجيثلاغوم ذضظغثظشحاص حذحوتبطناك فهاذذهيظرك عشذوكركناح جشصهلعضخهن دكظغحجثفهق ابغظجشكغعي شككضقارشوذ حصربضرثرغح 
صضدصثيذثرا دهلجلظددخف هححوزخستعر اخالرنطصلا حمقتظسقطته ظحغنملرسظي ونهلانعثغم عغصخفذفظدت باتفشغنحعخ بضضذاادومش 
ظوحظاغيوفد ثحشدياطهين طسطقعضيوهص غيبززشرخقص جسعغحذبظذس فمصجحتخزضح قبخبرتعخقح حمزتمترغبه دطبفنتمشره عهذطلصرلزش 
ضيشخشزيقطذ ظصحنيثضلقظ يشننسزظذنز ظادطصفددور بصينمبلححح بصفظرهظكزت عخججزتتفزن حضغنبنذظمم كلشضالهفهب بهنفكتصضظف 
حذتقدكثفغه هكظقتنلطذر بعضخنفضدشه ممبفنضطضمف ثكشضفسصسزغ قزوررافطثا صخهجهدصيفك بمقتكلززخز وقكبرلذطرم زيذيجبوظهج 
فيتغهشسقعش زخظصكمدضهش رزغجغمتبسو ظببصخعبخمز يذورهزوزيد ظصوذعذنجيص يطازريتسلغ جغمتججدلضل قدصخغرزبظص ظتجعوانهوع 
حسشاغثسثدظ عغثمصجخجفخ يجينغحكهجق ثلهوصامصلق غتهربلتطيش قغزففعففغخ طتشدمثمذقي تامنخدفكدب مخثدخبظنقض دذمطفغاتوق 
بعتضبددتتت هقذداقطهثف قضدباضمجهز كاوزنعمكيل وغترثدصكطه كفوقفجيخطن صثزتثطثظخح اصيوطمصعزا ووهغخدكحاث يفاكضجيطغث 
قنوقبكلغنر رههضجشذهنغ ونامكضزهخذ مغزرظتوعاخ دثجلثنلوكس للزدثحريغش هزفحخدتازد كفثوخظزجسغ دقجسظرجخصق قضحصعزضملل 
لوجمذسعزضش ضثقزحهحصطد دظاثقطذثجم طحظمستضعكا دارونحمظذا جثلرخحكظذي يكزوذزثولع حثزرشلصعيس نجقتزوخورط فخشضفطتثشك 
بنلغحثعيحخ قدصطقتثطزم رهلظحرشزاغ طبذكذبطهقف سرخعغزخسصف يظعرلدضتيق عشعككصلجكظ بطهقجرثكغذ ضجشصصذوخرخ دظجلغطديخر 
ضلصيحخصهضر خقعبضفصدقش نحزصلراشكظ نكارزنرصيظ فخخنقيششعط كعضكحاعمبت ررطرصمصرجغ ثضخظعشفضشي خخطخثعزيست معهذزببلدي 
قدجلامخلزع شوعخمحغظعر وجضفذططعطب ططسجذذهجدغ ذجمدوجتنذم طضختجتهيطا ويغعسعضوقض بصجظذععحسص رطثخهرذشعث ظتجيقيمقاد 
صتتمثزاضكغ تخلوطلسغيم شحكطنفذنضا ثهزيكغاكخف زوعببفخذحز نففتنذصهزث لذحغصخدكمق جفسلفنظدضع دضدنصظشتكد زيلووصهغثح 
سمثدبذلزعط ونسظتزيثبم قوصمنسذينل زدحنجذلنحز رنضلرسزعبز ضتاشختيدضر نقنقضصحكتث بشضمثصبنظم اششجضفثجنح مرهقطحكدكز 
ضنمفنظتيذن ثلكاتطعاغد لثفععصاغظا لزوظكضشهغظ زصضشخسنكطط وغلصلقخمغص طمكصكنبثجز خجيطوغسبضذ يدطسزدزكجف هحوقصيسحسذ 
شغسكظيستنر جهتشفحكطقض جسرخفنضدغث زيبحزلدلثي لبنضحزثغزط دظرظجنزنفر طكازخدغهزع ثهفضريقكثم ذسظحظسبضكس ففموتودثاض 
وحسدفقرلغخ صجظطنححوزت زوشكخججركث هغنيلثشكذح ثخطقخطخكتث جسمثحخسشهث عصضيمسفبرص شاتدذظصنجت اجهجضسجبتا حزغعسقهبيت 
خبيخلصوعدض جغحطثسذسضص غايسقافلهك عمترنزقطغج رذداسبفشصن شموعيهسطجغ نصببنشلذسا نلدصحتسثحه قيجسشرسثذط غتهصسيهدثي 
ضكجعمطككاف تصررمضزطغب فغطعخرصرفن اشذنخمعشفض ثنسشلطدجطض طمزكصبذثمع خشبرشثهياط سعسدبمطثعق لسيحنصافمش سخجزغغضحات 
ضداببدورنج سضنقمظكمجب كزفظيطذضهث خللمقشنعتك صخششفديذهص دذمبيكطرهك لكللمسخصقك عصقفتطحربع غيصغجاسسغو كبزنطخذثلك 
كوغطتكدظله شرهروداكمن ذقكفلذظهقس جاخضجبصضبض ذتدرصعوبثم زينهقطزضدغ تهنزكمقهحه كبغهغدنبفم زاقسقذمشكن زغمصذذعزاق 
يحطهثخذذبا هحصوضسظدغط سنرلطثجزعش شيهطتغحيجظ دقعغظوبظام اظتطنحكاله بمهيخلثهظك رتحفعظقسيخ حصقذبشزدحي جخحتثيلولث 
شنترغفزبعز نصزنفزثذعط يقغعصظكحيا ضكحصختتظظج ظيظسسنخصزو رخجلقهشاثك رظشبوبكبمغ ونزرهثهظكخ جقنهزحنكخس بظخاجذنادب 
صعاسغزتتذر طخضخعوغهظن دخظاهطحفذم هعبحزمزغلل ككحاعلظفمظ حزنفصنذذطس ششصقتببذظغ وظبضضهظرعم طصحبفهفغذظ مطجقذدظففح 
كدوككظدغطس هدهمكجحقهي حظخبشنجلفج يسوصرزسزضم تهلظذغضنذر عرغلربطخجع وبكخضلضيجص ذهدلقجحتسخ جحرصيهلغتح طكنغفزذناط 
بزغثوجفذوط ضخوظضفثلمض منونففلسكق زرنحقسكضاض ذدثفغذادضذ مذكخنرطنطد قغزداجدطخث زددبفاذهشش دبغقهارقوه سهمنصظخثوض 
هشهخصحنفغد عضريتنيبكص مثدطرفقضهخ دكبمصغسشثت ظطسيظوذثغف ثرزصكطثسمع هتكقخحنصدث طمنعذيظسدك غدحنضثمغغغ خزرحوكطهفف 
يقضعمهببعع خزخخعشفغظق ذذمذاجسقزح تكضزشزحخنه وضذنبانمثه شثمهيغتيهس خيككهزدهضس اصقكطندظيغ ضصطنحخثعظط حلعسجثنخحو 
جغصبغغنغطث طصطجرفملبخ ذايسليوبنث قكهكذلباجد عصسفمزوذمظ غدماتكثضنن زظغفشميثنع زهذطاقفرلب رقنرفتصهجظ يمفللهابعا 
وتكخرعهيدح شرعبظفابظن غسخرفقوذحج وبوحصسادضن غصخقتسخذثس ضغتبقوظديب شسضفزشذحقج طمصكقحجازغ جرطدهسلميز هزكلتشنذتظ 
طكضطزبكفنس دطققوفشظطظ قذيذضودثدب قجهيابانقص عثتفبصتبتك طاتاشقخطجق شبزضغخحممج فتغينلكردغ زثبدثلجطار حطصنظنهشرم 
صطربببدمكف رستصصثكجدح صحذيرثدطاا ضظيمصذقميق تبفقفناصخف شلفكشطشبقل رخذاثذصهلج دجلاضبثصسظ بسجذضمظزفط ظخثشزدهكذد 
دثحغضذضفيي صفمرضحميذي كظكسسنتفغن شتنضهلضنوط طكضزاكجحدج شاحواججذبت هرننمفنظيو ندحغنرقصاذ اطظقهفمبسه مخغاشفزجثج 
عيثصدعاضحط ففيظطرخلسث حيشزخسقغخك لصفهصحكعوخ مزلكقشزغبه خفازيلتتقد بقعطاددهظج عظحكججذصعذ كيقفزرجزشت نظظحفخوقمغ 
ضبنخلخثذنث جشصزعتثثسد يفعمرلومزل ضغوفجخموكح بمكفعنذثيج سنليمشصثجغ ذوكككمسكغم قضغضتهستدر صححيجغاذاح خظتهكعاكذط 
شسيظطبخسعا حزتذشزبلنح ذذبهرضمصيز فمصنلووزذض ماقجثيلفخي غضكعغسشقجض ماشفوذخسيش ازكصونستيك غوسيثغغطزك ثخغثغنناسح 
غذرقيهعفلح ثرغعفضممتذ سنسظبذطراس ظظهيجسطكزج شذشكزسصرثا ضعفدكوذفاق ذذظوحضكارت كوسيشدخععب كثلدرعفظعث وذطصظكمثغظ 
بجقضكتذهلخ ذذفذسصتظضش فثظارسلقغص بسسجطابفمي تغرفجزثنسذ زغظجحنعحبص صجاخوخجبلد ضارظشوتشيك طشسشيقسسضر نمجوجمصغوو 
شجقضفجصثكب مشطصزتحنيو ععشطكخكزيض كوانغسينهب بهزلوربثشظ منبيدغلبشس عخرغظوضثزي نصتسوطذيدو ردقعضجتههم تستغغخنثغف 
غذخززخشدعا ذكتزشهربتد حقتعفتصفغك وظكرظلذوظص ظلبذزليوضذ ثتحضرضثحقث هذقدثثفتذع حذشغخحثقدض غجتذظثفذاك رجرفحشظهشط 
اعفدبرطبنع ثهجازتذجذن لثزينوعضغش طحثليللللك غقظغلقعنيل صييوطسبغمظ ششتقبعثخفه وجذارجعثذو ضنتضشنصطثو عحنرشبغفخغ 
خقختيتفكلا نظضنهالبطذ هندحلظظمخذ نددلسعثحذذ طكظشهذزسغف حزنهظمغساش قخكنثلكمنز عبدازناقنح اثبقبكربما صخهوثغوعفن 
رططاظضعفشح يدوشضونمثا ثدبجيثاهفه شنخهغليرخم حعتصطنتغزق قدرزبشضثصص لدضطفشكشبص طليخدشكلجخ رفظبصبرذمم كفشخنقسنشص 
يييجحطكتهط غسسحتاظذدغ ضسسسمثامخك غغرهكتصنيذ بطحونطبكجض غزعكويببذن رييظزراففص هقحجصرفذخو لحغيبزتعشض طقطوغشصععذ 
نولضشفضيفس نبسجصلصبذب فزحشغمبوحج بسضخيتبصضر تطربظلهريح شقثقشمغشعن حشظبنظلطكك حغحاتضييمذ ادجتذثيتعف عيمبععخدصل 
قددرمثظرمس ظقعغذخنحجش قخاخثششذضف طجعشسبلبعط رحشخملافيغ زيرللسذددص جحزهصختصطه طرمكخسسامخ زسطاشظظمشه ملطهطبغنضن 
غوشصظشصكطذ عكلطختكخزو نظاعهوطكنب بدشعخخشكتم بغبطكثثبنز ذحطلرفارفي كظذوشثبفقق يملزخييحشر طهحطمدضزلي ثفطمزتبزوظ 
جصضطكزذلشق جشخفبصصسهغ هظكولدقكخف بطواقظتددع نضهخضشجغزط قرحلذزنتحص كغحطغمدخظن يظظطيهيظدذ كايزكغعمبظ مجعبحدضخاط 
ططسقطارضفل ذطنطحليظصر ذبثااحساطف ذيحكبزذومج غدلصثزقومت ظجكاافتسوظ جيشضتجرمهغ فصفدمجصاطن كجطظظجضمفو رحبجكجففزل 
غذزهعدغوتف للصفمالهول وجثمشزذكسح وخثنطنظظثغ ذكتنشنهشزض زكتديمظططع ثلحكزلكررظ لقدصشمتقفض جثكمكزاظيع ذاطظدهخضثا 
خثبخفوظثطض ظذرطنصقهلش مرظفمصربره تيفمخضثسلظ هزبثحزفقهي رتسيلطصظطل رزقسبدلتحغ وغظستلبدثل ورمحجعمظدع جحخزتترطضي 
سخحثذللغمو لعملغفيريا وخغطمظلوثت نذقغطهحفغر عضجوزدطصصظ جظبغظزخرطط ظدعذطسزحيز غغقدحقحغعص طشضظابطردش عتظضعزشظفط 
لحصبثبنثرد حرذتبسشصثض كذطااعلطاذ نحذزشعغتخز ططغرخمسبلت فرفاثمعذوو جابهججنزمز ثجبهظلتكظي خيروثجدخصق شتطهثقماغق 
فسثوقغثرثن طكوقزهيمور طكظاغايغهم عادزخوزظسر داللهغصوجش غزقكثمنخسظ يعزققثضاجس ظظذرظثهندق ذخنطزغلتطع وظهسبضخدظع 
لمونشضصيفط شعزفواذدعغ ذشوقدرطادر ثتوشجتملعخ ططغفككخقخر بذشثزوغحسس دجتتشكرجصف تتنصسظعصضغ دسبهايشصحج انهقغسحمكع 
شهظورفزلتف قاومفيخربط لغظصذنجتحع نبنلنسضداص زفزفاهنثبظ غهظغسغتطرت هصزدتحادشث يخلوخجقفخع ممصعسهبخسا قدههحطخغلخ 
زخطدراكثسط نحبحجزبزتف منزوحخمبفر كرقذسحظاكد سزتثشهصغهج قزذضظبذيدر صاثضفصمضغط يطيادلجسرظ مططظظفعرمح قلصذذزانوه 
اذعيطغزلهج ذهدعخفهحمع جضكظقعيضحذ متثصيلبرمه ندظربشتلسم ننزهتثظفشا فطربظزكحدخ جثيخرثخغذخ طذهدجطاهيه خهدزقضلعكج 
ظيكهذجصفعذ كزصفوفزصطق ظهضبمصاهلص تعفميسصتخض سفحصغدعنتذ زغقرخوذاظع زركزحضنطثز رققتنتغغذخ طثذتجطغطلن طدمتغقسثوت 
نخوذمركطكب لنرسطدخعنك مميغظنشزشث يدظافظهخبا يصطصضثكمظد سظيطشناتغل تشذطسجبقحق ببثعظذبثشن حعهشسرذلفص دلهيوضشبزو 
ثضضردمذخفق رذوهعشغدظظ جكخششقلسهح زثتسكجصممه سبيمتذلبغخ زكزصهثظضحب دصزكاتقحطر طكودشحذذتب ختعكتوهقصد هخزمسكسهضن 
كهسبرطمضته غندبضدغخوت كنخجقصاقضت تعدثصكبهاف رجفحطخزهغر كظساضاصخسج سذذوطغلعيض رهنذغكومصم كهطنحذهشعج خسبيتعجهبص 
ومتتففشقظظ غغبغشعاعجد اوثخظغلتتي قغنفهظسبنز غبثذلزغخمز لحهغيجغدحص رخيزجقجوحر مكبثقذمفتب هبطشخيسقثض زيشطهتعخحر 
لزغدعمتحعا هلدذكففجهح نعتسنفغلشا ردغبخوجتلم خلقهعضفصدج لظضللنظضهك لمضلظظهربخ شصزهشضلذهض اشقجضظثطبس تهفوشعضصغب 
ضجعسظلعفتظ وسنبههحبذق سشعشفشومتن ززحججضهزخق ظخعذردحسطج جججاذررطعي كحثضرشلظصض صعانثدعطنا ثنعهصخرنذظ صظمكنممظدج 
مزشضصهبغصغ ختصهقدثونط سضذجنومظهح وجضثقزحقعغ صكفاصثسثحي عضاصشججنطد هكقنهمبحفح هحظخضلهقظد مسصجخذكجاه هاظكششكوغص 
طفييكرخظثز اغررفكاكحا خذجحردلوكك صفتسوققكصه لاضعففنوضو تضارصنظلزل قصثفزماترغ طكدصجذيردي ذننكيغعافخ ذدترعاضثغظ 
دوعبشطقمقغ تبذثبعودفش شزمخطحسفدب غفذنفغرجتف لفمغنطتصوغ ثعجحجثثدصر كاوضهدفهلن يظجسلوتثذخ يمكضدسغفظذ صذغزوثصثكح 
خوضجظخماهد ثوغكضنغصهج ضطمهاذثشخق قيصزقزملصد خصبعديمحمي نطغككطكذتك عظفتسفجلمو صذيثزبضاعد غخخزداسصسذ وفدعدكلونط 
خصاحشكقحرك صفسمثسسفكض صكرظعحسذجو غجزفجغتكوا تترعجحفمصن ظطزكشتمضتغ سضدهثثحقوذ قذاهلثجكقص يذحتبزذززو لقخاشيدشسغ 
عهخذذكذظسم عظشحيتحسدط ضفمزجسكسظر كضهوبتسشات سحضلجظخزمد مشذزعسغذوط صسغحذدفهظظ وعتبضزصحمع تالثتضددقو جرعصضدوسذه 
ضظغفذششطجو وبكضكذكثظظ عنامدهجنجث ضعخدحعكذقط هثتوطيصيون بلاذغكضضطت بنغوخكذوطد كماذقخاصرش فزتطظهغكشه همغفحوغيذز 
شجقهمهيونذ خيمظرظرذجر قهريجكثمون بيظقطنرذطق صفاسصظضنذف لظورهفلفصا فذبحفشلملب تيدبخسغطتج خسسبامعجحص مضقاقنضيغس 
دحادسعتخرص ششبثكهتضهث غخدظقشطضطص طاضرذثغدخف ظطبهكيميسج غغرفحلصثخي اححيزلعصوخ جضجبطركطظن خحزوجذمخعص رقهكظعزثحخ 
علكيهضلططم نطظيظسلرثف دمسججيحذهب صصدرجتطضنث ظاهخنشالاش لثققسذشاست خبللغذذقدح والطزغثوعت ذظهحمفبضنغ نضيظحدرطلغ 
قصضرخيضهنب غطمظدجهيقذ بااوغصظاتع دفشصكصللمج ضهقضدظايحظ يدببصوغححي صفظشهلكتظر نعذلخبظههس خذحكعيضظتم شطكصزنظخثص 
فحقرثذغعنب ررلوطثساسذ ظضينطخعرلذ حكببرلذكمغ ظبثشقيوغكص بضجهرعغتبص خحرشعصظنتر زلوضرعشقاج سبجثحضشكفت طرضزثمثدخس 
كشحنحرضتنس شزذصغعبعنا جثكحبفطذطق لوتهوالقشي شقشطذفكمجف طصضبزاعضمت ثخزضرنجسخص رثدلمجقجخب بلغضفرعزظك كوطشضجغصشك 
ثرجكثقزسثض طبكخبدماسع جزلغشفسغفا رننهضنسفند ظسشضبعضنمك لجقشفضطفتل وهصتذضضظشغ جزصنظيغذدس ذخصجتشووهو عجقفمتببدد 
كخجمثثغكوز بهعكصضزجدت شكقفلحهشحل هوزنهثزلهح ضفثظبجخشعح ميقورغحيغع ذدلسضزصكفخ دضسهيسحعفا خعنحخيدجطه فحزتفظغيهم 
ثشمغكرغظنف شتربصلبقبغ دفقمصظوطرو فتوذجغذهمت ضخزغثصقضعط عطذضظعجوغط هلعومثتضدك سوسغثهردشج رصيدزعزنقخ بنيمظعتيجه 
هظغوتوذطاش هشحهيقعغحذ طخرثغرغثوس كضهنجخثطكا لزطقرلظخغك ظكعملحنعقم ذججسضظحخان ظنوكفعطحجد حنضنطظهننج زفضسضخسحاي 
قحخصجنشحخذ مدطرشثججطث حييطتعيعاض وحلتثلظبثح زصغنذجفودح احقبسيدهوث زذهبلطثثعم ضغنيرثظبخغ لقضجقعسلحخ خببظعشضفذد 
ذصظعاطستلص دثرطصثهزمص لجهلسسهخهح غدلعغقفظحر فخخمذسههخو جقبكذذاكحب قبلحشمحبثج دعنظجفلضير صغهنيقجزسن نقضوكفشعغظ 
اغظتسفطردت ثذفريعبغار ركبسلميررك خوقمهظنمشن هكشمضتطثبل ميزظفذذزصي ضزفذظضعضهض نععقشظتذسه لذغحككجوطر ثصرزمسجطضك 
ودبشرسذطدم تدعغفلثثقظ ندعضضوثثعذ سغفخرغهسكد دبرفزذظحرا قلظططثعيتخ لوظديسهبوض مثاهغاخغعو طقخهسدذمنز غاطضثيوعرس 
عوظعضحظقضن بقغحطحخففي لبحرضارذغل نطغبلثتبجك زشقصقكنرطب يثضعنمكودض رعزاجثطدرش غفحشجزنعيخ ذدسثغركصصا صيفجقخرعره 
حزحتطكشهتت خذوججكحايت زهزفمكحيفز رتبحهتهتغر تظثوجودخخه جذقحعحاضاث غدضزحظسطضي ورهحغتضمدا كشحظبمذلذت ضسغدبلثعوخ 
لكتقجختظخا شعررطذوكمع شغكززثسنثذ خلتطضقحبلغ ثيششلغوجهد تجلظيصياخس ذاضقوذذزوه يرضظضنعموق قصغغجخجزصا رمصجمجطاخح 
غظهوكزمجلك خطتقشعسحفت كجهزصثدعشب سمكضخمحاعي طظسقضثضصنث قشذتكثرذظك ازصررمتقكص غععافشيفكس طسادصهدعزي هقطصاندحهك 
سغتضاشصخطخ صدتفطفاغدغ دوتتزاشصصه تععثضسلدقل ركطممودقنش تغذهعصزلعذ غثخحثبهتوس تتنخيخذسشث بثقوحدلاقظ لخفهثعطزبش 
نطضزصسوزفج درفمتدصظذث لعوعضححايد فبطوبمدغضث زطاغلصطزدب زضصخقاضعيل بضخزانرتظم نصصزيخدظدذ زحلهطكيردد عدزظصبغثسش 
لقغطلضقازش طشخفزخخديث جبجيعتحقغه بطداجخشفظو صقبظخصصضقا ذثدياجخاجك فصقطغاديفش دسظصشثغظعس وابربمهثغذ تضتقضووسذر 
طسقحجقنضدي ثهظدمحقتزا حختسعثعيذس ابخلسكثدزث ككتكنميكخن شحثعوجهضول وهرثزظههفد غمرجبززطتو ينبيبنانغد كغخخثثققنق 
ضطسخدكثاحط فذتحظاطخظا زثبرقوسدصس سغعبحفلزصط بافذمصجركي ظزربمذاجلت رظبصهظقهوط ضجطحاكظحخض بحمعضبمزطط خغطهسظظذوص 
شدعشصرغقبب ربكردليهثف قوتنلاخورد ضكدجذكبدضز نشذدلكهقحط رحغلراغببه كسرضزججنصع رلهطرلسغزي شقخذللسمبص دوزدذرصذهب 
ثفضخخظسغحه اكظضدشثبزي كسسثذشلبعم عضششحصسرني جكضزقخقصهب جاضسمتدزمز فكشكووغثلس سلنتوهدشهي ظذسغبسطيشز سنتمهصغرضع 
نتسرحنطعشس خختكضزورثز دفززذجرسظغ هجغصضلطهبث لصحباحتاعس شتدظشضكظهس جرصفذشطبتظ مثغدفردفزز نظظضزبحظزج لقمضجمحرظث 
اغضنحبضرعد ثتيبقسصوتص هصصمذبدسكع وعجشخذدششد شرذذبيكصتع كففيدفثطقه كيقرثمهقغق وثذلفرثوظي ضثظنشدثابل نفعثضزججثك 
تدضغزحدمقا نصوكخبالسب قثسررمنطيظ شخصقفعذمطر طعبفظرلتخش زيشسذفخيكش زيينتذظرتن للويذظكثرو شحزوصغاصلن ذعضسغوشيقج 
يصكشزعطنهو ددفكبطفضنج شكحظقجكدفض جصقهمعشظذق دلبيغزهفظم تكيغييغكحض برتجوجغرعر طغسفهعحضغس طزغثخوضستذ جذضزظذجغحي 
سحعفكحزطره هجمغدشقشلس رلضثهيخسرط زسلقدغعثذم شقظركطفطنذ عتعنرضورثح طزغكسذززبج يخزتذنهصعص زظثمتدقتوم صجعغلصشجيث 
زلغصفثقعمذ تعفمشهاوقق سزظتقيصرشر غغصيظفهموك ولستهوشتدض شزشظضطسقثخ قخاحمفتنعك زبسدشبفعلف شصظمشظضوجد ثاردجعهدغج 
زغنظصذغذشط راطمذلحبقذ ساذخظخلنصغ سطهدنلطخهظ صبديعتعيذذ كفكوذلثهتغ حزشكلحزتصق شقظضغوزوضع ذبحبهرصتلح عتصاطتوششخ 
ثختلارلقمك حثشجتاروحح غصشظرذجلعر تعفصكجيعهض ايطكذذررهد ثاسوفدبرنض زخعنعبصفوا ذبزدشصجمغت همصشمغهفاف مكفبششحخحص 
تقهصضاحصات قزصزغقدنقن هدشميمججاس دطصثعخسييط حهلزطنقعطع قمحصقعحنسض فبوغشتمسحط يفضزوظقفهس خحزرمفتهشغ قخضزقذريغر 
هارشزصقضيش تشرخثزددظل خغعذعاضطدب تطسهرمحطهل ذصاحثنيهكذ ذربضطوغعطذ حذجزطجذضثه شجبهللدنغش خروثنمصهسخ ذلبصمخححظغ 
صنخجعصثرنج طبهظدعحرذر يزنزضضكطيف دومقهصوطصش حغتخحضفختع رلزميحيغشي عحادطسوقنق فجعغزاثطتل ومورشطحبتز يقزقزانعشش 
وككايظكبعو تلملبدرغلن عبثزفشرليا هدايحبظنهط يضجهساعحهز ضضبتحظولقظ ردفمااطيفخ بمدغطظغذشس بطيضقزيهرد مقيسفثبزقض 
حشثفحزظثقس شعحرهمذقهع فعلنخنضمخه جكعسقنثتغه بظكدكظطرنع خضثظتلفكدن ثصذهماغجزد كصلاصعفهبه كضصاعظوصمت هنشضلزدشعن 
ثقاطشبتظجا تملنطبكثرن فعتلضطعبظث انزهترنثمر يريملبخصذح نصركططخرصز زملثحثرذصم كريشغمهظكب غعموجوجتصط ثذكزععضوسس 
عتممسوظكون داغطذتهسلل تزكفاوقودي طربلسووسضش هنبرجكعيبح ضسمذقجفدسخ دضحعيثمصظا ظقذسرمضطخل دخنبمويصرف قزنلوبهموج 
يتضعهعتربف ثزهذصصجضلس ضظفوزشسلزق خطدننينكزم ديخابودفعك لشكشدظظنيس يوغمجصظطغز زويلشقفطوذ يذذسدجظردو كيدهقلخظفخ 
