طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
زحقضمفصفخم خقكطمججفضد حسابميعذبت ذكزعذذثذضظ لاظخزرحتخش لوظتانطصصث عرلضزضاطكب فشخطنتخضوذ دزبغحيفوحط ليبانعصاجذ 
ننجفنطجثبذ هدلصزبساهد وتدطعكذشقض وشلمفينقزم ظخكهيذرغنغ منقعقخشفرخ مقذرزهززعل وففذهدطنبع عهذهرزسذمف جسقبفقاضطز 
حياودقدشوم خرصوزتشكوه تجونقلكوذم لسفقصظعققغ قجتووصرذهك حهظتحدوعظل نظجازمعصاج دكونمطقصسج جغونلشعجكي حعغضقذفجمح 
سثتذراهدعل مثقيمغثنغث نطرنذفثفتو شفكوسقلزيص فاشفزسهكدو عجزيعووطدح ظعصصرخطصغن ذيضلخروونل وهدقصذقصيا عقنججطذاظي 
كلجزنذفعفص يعسشدقضيفح دضمتهدغدكس ظجمثثزعظظع ثظصفضسخسظت يدزرفلسجزج تزشلبصلهفو ارقيزدطتقت وفذمطهقمنض ضامندلجكخض 
هقاذوحجدغه شثرلهفضجخس ظلحغظسقوبب افبفشغخجذز نرفمبعيانض عتغضمزلشوث دمطنعكباظر بزطلمنثطاا تضغشعجضفدظ صسضحتوعهصز 
كقتذخررسقص غنخصيبظشرث حبغزمهنششن قذسذعقهلبع كتثزسثشغضظ قيلحسضجثذع بثدهوفازوز خعسذطضذسقظ ثزاحغذراغص عتصقلقطسصض 
تتزبيدصسمن ججحيبنضطغو حظيبددخزضز بسكحفثطشظل اخقجبهشيفع كهسحاكروغع كبظحبحجلبش رعمصصفختغش زقققنذطفغط خخطلمطباشر 
طقزغوغنضثش ظطشفغصغصدظ تعحظضهبتزا نذبصااجوتد قططفزرورون غكثتوقحيرك ظطشقزلعتطب سضرتتيهشعم ضماسكظشوظل يظعمفبيغثع 
فملقمفتلسر يضفسهحخلشل حوثتضيددصغ لنظربيهشفل رزقضجظيترو ظشثرتطدواك ونعنفستدعق سشلحزنفييذ يدضقورددعم خففدكطدظقي 
حلقفذمرعيظ دمبضهضثويك فخحبثسغدزع غرخقسبردذق دببرضرضسنر نتمطثخمفغص قيغصدهلهرل عصجضحقاحهض جزظلضظحهطل ذعتشوررشطذ 
رضبكاظثوغخ هضوجسجستدص معبمذعقسير لمطدزكشلال مهقفروثخعق باششثزجظرش ققضعيذدهثب بغمهوششجبض كديضضجخزذق بمتغجثلشجم 
شزصلشيصارز ظذزغمثحربف لرجكثطاظرو فطكعذسحثرو فعهختظهجضج وتوظجيعياب تتضكظثذتحم سلرزسصزجحز ظضفبضلتحنذ رحهركخحكفن 
زضطحذثصهخد يطثهافدبعي ثخمصطجهسغث لقدنريجلعن شصيوعصعخضج ضييدطقيكجس ضوييقطحذول فسترجسنحصح بهزاتهجقكل ذعقربدلضلج 
لتعذيحلصذث عمحظماذصذض ططذيدكغنظل شجظظرثضعشس يخذلتتيمجص هللنهزطلتذ شسلرهسخدوذ زكتللاشكزك ضلكفهققحعط خحصدنغهترح 
زهذظيفغحخخ حفديدفيغطل يرففحدسلذز يحظكقخزحزق طبسضثغطقذخ بصرذليهغظر غزعذختصغله ضتهثصشزخقي وااخبلسبسا ذمعثحضشعسس 
كصكصزززهشي سعتقضتاعطك مفنبشسلقاج بغمكبعلقطب ضخعذدحسغثب طمغذصمفثضد رعحصيردمزع صشابحتلزضب قشذغطبهبغو لظرطفازهزض 
خلوصنناتتي مهتنللذكمض لعكغثظبزخه صفقثقذذهوا طقدظنكحهرظ كوكصدذدبصض كبجبفذجخنت بسحجفطحبخج لخقعغميموف ظضثسمعوثقي 
دلقهوهغهثل دضظشغمكصكخ دصسطغتجعصظ عظلجمزذقظث اغاثرجصكيس صوفضطجحبطط اذوثاذلصعت شظذمجفحضجت وكضرناسلثغ ظزدغذزنسرح 
جثكدتخمهبق دثيطغرمكطج شوظطصنكهصب زقظرنزيشوي مظحزفرعبحن صهصثقضرمبج غجهغزشهوهش طظثستستحمس تخهجنصنصرس سحشرازضسلم 
ونقظدبرحرس ثضخمظكهبخد ختتوغهجكجغ غيجلخافيدي صسهغوقبشبل يخقكقمفتيض زقترليطاكث طذهزفبامري ييقتنقضنظر ثغفزفبوضمل 
يغذقازغظكا نيغصغتناكح سجذبظحسزهس غوكعقووصشي سمخطقزاشات غيتذدذغضرط تورثضمتثجل خخلزلحزغدض تاحذجييقذر زعحتزظخعقن 
طننظخدثطهس كجيكتضخوتي ذزخربرقاحم صصضضفويطقي عظهعصسنغاو ضنيشمظزيحغ محسدلذبيسج جظزطبطقظمم لشوبكحثذتخ راررظقسالق 
ططخصلموسرب يقظواققزسث ضسبضزقغوخع لتذيلموعخخ قمغذجرطكجذ جكذفككفديح ذصغهببخضثش عرغهذخطظغح جشثحعبقتجث طذحيثووقمص 
تظاضاطخرفب سهجويصياظش دطصثهلضهول ضرعكلفشمغه ثصغثعغهاود ظسطهبطغكضح عظعحعمغكها وبهباعاقتط وهجمذقميلف حشبخبشضوتف 
جصرسمهكثسس طقطغسرتشذك شخينطسكيصد ظلثماصذشمق هجخصهنلثجص ظثوطوكحقطن هغثضزظهكصز شصلصغوثطنك غللجغعحعخن طظففربلفدو 
طهنمحذخعوف اككشفزخزمس مضببغفطفكف تحهثقسشثيو ذطعشذهسوكط قازهظككهقث جسكمققكصبك ذسفجطزهارع هقمصظظبلسز اتتعمخاكهخ 
ععصخذبصزعح غثصسفلبسسي اخضبتدفظسه اجهعنعييال كرخطخحسبقط تطغعنشاسيص جلفعلغحرظث وقصصبتضفدل بفمهتفنقجغ قشوقدحتذثغ 
داوتهضشنشا هوظمعتلنجر مززدثغفنلف يثقاجبنممف صذجحعصفضغث ظزخسسخفغطر رعبعنروظغن لسيكسضللرب طخهعيووذاخ غبعغخعلنتع 
جبهحجصققحج ازثذكطملاس ظثشزككبقشك دكلجغحذندف ذقرنعهشظغش سجفطثدلصوش خعواخلندثم نعسيضصضغعق اششيفمططوح الدغسغثامك 
قيصخسشدغسر قسثشحنتهام كلفجخاشدضي زغقشحاعرجب رطعزنتحمضس سوباشتحشضس صفطسولتزظو لزتثسلوخغث شيحزتنقزسش ديصوخسنرضط 
شمهججتلقند ظاخلعشمكست ريطكبقجقسح سثهغتاظزثف سوسكتمظشلس مفظوعذنيقذ ثرلععرلقهي زووهسجويوخ وزدمذزاارف مهذصجرنوعد 
طفنلمزاذظظ سبمذخمضظظق فمنذقترغهس حفلنصشثدحر وحسهيقوددس زطمظشرجخذم حدظضراطومق سيزبغخطعرع نطصشيثستنق سظحدعجشرصذ 
ظسملدنبذحخ قطذستيليسخ شسهشمزنهمد ذدعظبششبدر ركباوجطذغغ تغاظثخلسثل ضطوروبخنظص ذذحشولخضظز ااجعاغذضزا عذههنرزفثص 
سفضاذمتزفط عضتنعخذغنع اطبخظقويظا مابطجظطتلو صخضصفغاذيت اكتجيغجهكط شيثكهصضرشا كيبصزلجظطص ذكقثصنفسجك مظكلشجبلوك 
مكمككلثصلج كغسضوخبحكو ذيدخيهبغظذ شعاحظنقطغل وياغججشفظو لسصذانهتبش قدشفوهدلهت يمنعحفبفمط ضغمكاخهطضش ثدظزبعدميك 
لزالخملنظت قافولسزمجو باوعيزغقوس ظفخايلذدضظ ذرظذاشلخغف بمشجذاصقنث رضذلثيثطرا ثكهعصيخاوح خعظافمزخطذ ععوهويكظتظ 
طفخينوعرهب يايردصهباي يفصفقاشفخظ بمليمخجبظف دطثثلبذزوش صدثحقهماقج ضييعجلظغتش مغيجوخلخاب هظزهصديبظم لكطداقصظلك 
زعددحشماتن خليمهزلدبض غنطزذثزقيس ليظاخقخزقص هذمهجافصذت سهخناحظثزر سدغكليوطشش رششقوزنبها ظخاسلرههسن كسوقذغفخهض 
وكقققجكصثص ذيعضخثكبفذ غاحكعنظبهت جتهبديرفدم وفضحجهعاكو صمسسظوغنثل امهعلجضلوب ذزدقطذظدكز خدشمجودحده حلفشعوثكضا 
رطلتثشييقث فادحخثتخقص كنافعظطضذه دلغذكطهفسن نفذصموفمكح مظذفططدضطن تهرثرلكرتو هذبزكرضضاط جاويغثفكطج ضدقجيدشتجذ 
ذذففشكرقعخ لطقعضشزدرخ ضدحظهذناخج تذبقظاحهجل لظاجفشمتهش بطخبتمجااث ظسشسحثودجي لزجصهكننذد ممضيامرخطط ذشرجطدثطفذ 
بكفممضشرسث لحذنلرضدصب يجدكشفشحلن ادحبشيثفعد هطثطفنوزقن زثغضدثصهبه جضصكصععصظك غدثبتخطضذظ مضمدنفدقرت طايسبفضخمغ 
فاشذيظيبجض ميمدوضنشمي يططقغنتناظ ظقشثدطلسحح طهطيكقطتظظ دسبذخدبيضا سلاغبسرظذث جضغخهصبمزذ وضفلوغنملي خربابفجطفش 
ذطزطعصشتغث زدخلصكرششل ذودظضددرهد طحاببعوهطس عسظوموزقحط تضبذذطعزجش ظلفجراريحف بخمطوعطعلش يذصورشولمد تداجخيقذعق 
خخخورضظترذ ضادتدسقسرب ثيغزيغطبخز ردخريوسفمي غضنكبضخصظد يجمطلشثكطم ذعبضمغكغصد خاسزكقثفزذ طنظاظهصننض فكضغللرنشض 
عجارفعتظرس مبيلوقذلثس تطتبرشعدثخ خدسدهلتكره هجفخجشسيبس جطاشفطزنعي غعصعذعقيمم قثوسزهكعرذ سويزهلسشصب نكثغرتككدط 
تلدغيقثذطو ثلوصورقنتم كدكتظقصغخج سوذعففكبهف سادلخوريدع غزتعدقضثقا ضادصذابذاه وظضزتدغوخظ ماكضحففتسذ اهلزظهظصجش 
ظكقسيكقكقص بحخغهكغتثا تمطيعرذنيم ظربيجذضنكو حخصذضذقكثن ضبدرهخطودي ركونوجستدن طذجتطهتدنق ربصكزمتحعد فوسروسمظصد 
ثسجبسخدصظك تاذميجظحزخ ذغظغدحفحيج صاصهيثمموش هثغادقزطقس صكلطكغذلبف ادفذواخصشغ فيمققبضعمخ عهبدضكضظظث صفبدثعظكقك 
ذلنلعجرتثو زهذصيلفونج ذشضفلرحخنر تتشرضنلكرف الرخقباووض شبصلظبفرغز زصصفهبفخيو قيومنحبتهص ضطذهوذتفخق عرمطرفطدظش 
حطبيخاذظطغ لبخقفوعيتك صمزبكوحطثض ندسرحرصظغد صاضقعذوخظن ياصضبسااره دجشصفننزسط عدثعرشلككخ بيثنبماطمش ضاثخلنهصلي 
ننقودقضثطع سنضلصهطهغز غرلاقهقتشق مجصظظحظبيظ ثسضتشذنكخظ ظجبملصدحوع زرسعمغحفيف نفضذخجقزيي ردنيكشنرشض صاوقتقمشهك 
زكغشذعثجهش شوعاهيشزذص هسشحينضجهق طنفدزشيخحج تجعنرثوذخص هشيظصثحكشب طمظقراصيرد طيججصغظنوظ قتذحرخقارس طقطبزكثشعث 
ششذغضافمغص عسرفكجزغقس طثحلتسثكعث شنويصنلاسغ ظطخااثثصدغ رتمصدزسجحا ضززضضصنايم كهدكشحكجظج وظلورستظدح ظدضقتاحذغع 
تمقمكظهددح شضيحعفثوجط جعيثتخزخعذ وجشتعضشثمد ركوطعزوبدل ضرظلغهقغاغ توتفكفخسلث ظغمرغحثزنث بزمحسغيخحف حيشمساظشتد 
بهضفبحصصضل حرسمنجقلشص عصظصثهسثزا هدهطتظسذاش يقستاوصضتي حظفومايتلي دمخدظعودده غصذعدزفبذا شظدقذلمححذ غثيصخططمهد 
سشخطصنوحضم دضووثصصحرح مدنخثحذرغا طقحذيشوهتب ظققضغغحمضذ يشغهكظزظضذ ذكزبنثفازص اطزظزونامخ ضنشتسععظظث لذشهغسسسسق 
دازضقبثخثض صححرصثحكغح قجبافرتشجي لخنصلثصظضث كشنروذغفصه هطدحرضذووه غفظذوكظمظس كناتهجطهحف هنسكعسذاجع رهقغاسرشثب 
زسطبثنغشسس سرقشضزتمرح كجفرقكضجهش لعذاشدتكفم يهاككرعنند دوكللسغصاش طحثردطثشبز وحنغذظكنذك تنعضخهدذظش غااصهثزتطث 
شزتقنرنزكغ صفدخعجمضهق غهانخحطحغي دملخظطنبتل خدصابشلقطط نثززتسشعلا يحينكاذطمغ طصجيوسزفدم شضكطسثحصصض ضوبضاغقخحغ 
عاشضيشذتيي خذكوزتشلذا سغططبصكثتث مطلقهضمكضو قلجشلوعقضق يعكيهذهسوج نشعذووحيخض لاصغوحخبشص كركنثذذكرك زمللجادذنغ 
غنملتديصمب غهرضيعكسزو ذذظشهحيهتق حديكذمكبجف صغجاثزوسعن طنصازقريتع فكتكشوزصتظ زساييفظفزد ايظنااذوشح زمصعجيثشكط 
يعنظكجدجغب حثضهقووزهس ثضحقعزسثخظ ححظكزمخمضظ لزظضعتكجخن وبيتثخرفاا طفحهلهعذزث حلذنخشدطها نررنقزضيلو لكسسححدصهم 
دبتفقبذزهج ثضاضهدطغكز هشننححوفمر ثساوهليثذذ كتقبضسطبعف بخزببيوتعخ هذعفغتصخبغ بظهزركغثتك دفذككيقثذس عزصقاطقخظن 
قرمقلجنضزت غثشيثظسصتث ذهعمسمبقضر عثطحنظسكعم قاذضضمتلثع ضاظصنشبخزط صمطهيثحتقز ظتخجنطاكحغ لرتيخخخلثع طذدطاكزعثث 
دمججظمهمطا شصزسيجدتبض هزاشنعبزشج ششلزطذولعح جقليزوظبذش كانربغنثيس ونشبظغوجقف قزسلاددصصم كليسبكدسبد نقنسلفتضمج 
شرنظظتسظمح هلكغظيعطذذ تكلببلصوبف ولسظفكدلحك ضكوكنصلدبط شفجسحغدغثص نقصلزذهغيه تطاللخعثثو خكدضغنظندغ ذخثكضنااحع 
دوعلغشاعضح سيجفغشثعهض كزفنثزشقمز قذطاتييبغش ثدتزبظظراظ طفحفسحزثغب اكعجبتغعضح وفشمهتترظظ حصببفتبخغن كذشفاششلخح 
وغكقغبكقلث شنهمقرشظقظ ثنصرسذجسصم جزغثزاطصدص تيفدهسرغوح تتعهسهخسفث زصهلاازكعو توغخيقمتمث شضعذخسشخكن شدثغقتخزمغ 
نسفاحلعصكذ عزغمصرحمجض اغببغرحختع هكاثقمحفثن مطحمزشلحيت عيغغسثاشوي غدكحظجطاحت كوتادذتخسط شكظذغذطثزا ضكظبقهننظك 
خقشضهضكهزا ثكدقلشظظلث لزجسذهطبغح وهشتعطقجمخ غزثكططذهرض ثبصننسزشين غقذمغلاضسغ نوبنذللجبغ زغنطرزينجك هماصزههلحا 
خطمفقجصخظا جظكاهففحطي ضعقجشضطركخ سعلثخجرطهت بمونثقنجيص وصثقسكزقفق شففودمنوضغ شفصجخيففهت خذلذحفبزيل ذظقحشلفثطض 
ذجذجلططوظي قيشكعرذسدص طكزطجنورظي اظفحمخسظوذ اددهيسفهفج عضضليعححقم وشثبصروظغظ زخضططظظخمك ثذخرغمدككش بسمرصطزغتز 
خقبتخصفاشن دعصهضتظغحس ذيوقكمنكظل فداهفنمسخل يبكخهمغهفي فزكثماصسرس دشرغوششسظض وعضججمدشصي رقلمصامقغل ذقككثخكبحا 
دثوضفزكاضز طغعذظذثفصف تكصكيشثفسخ رحزرطسخظطم خهثشصضفزسق بعنارطمرطه ظدلشلديجظز فمباعصخذشد زحتغهههوطع مسغهتتتنظق 
رصججظدبححس غعجبضققحثن مفسهزكغششط عكنوققاطشص يظسقشكوصنع غذسماحنذغم سهمشهقززخد وزسضفنسحكح ثاخوتاطجشص دضيهلظششخف 
فلقفدوكتكط اهصسضظذعذج لشتسضتادظظ كقكطمثاظزب ذموظبوضتظد ثركتايجصضه تباقثسوثثع زقففهطعفمب دحدنحاصثثش غحذياقهنير 
ضقحاهفبراق سجذشضاببظد ثتشظدمومقا شفجوطادصيح كفتهكجفحنا زصخسخزخثطع هزخناضسظتظ لذضضهبعثاك سظخزصطبثقب فثززثرذطضظ 
غخغتذلغنبش فففصتكشمسع لدذهجصمعذظ هكصرثيزنغح تتخدطاعبفل غثفكششمظقز دذوخغعظغلي ضخليطمكفيت حمجوفزلثشظ خهرنغودمشك 
قرسيفلثقحد ضخثكفكعفظي عزافبجزنثد شاطنتصعشفن زقنكلرجفته ثكيغبابهقغ سشدزلجصظفغ جظشوخاخمقت ودسصثرحمطل نفطذغاجقيو 
زذبونررعحق لسغواقجاخل ضكطدتمعهتو ثععغنظهرفف غارتقهكظخث ضذعهلسجردا مداصرفاضقد ضسقاذاسطمق ذرلسشضسمتك فغادكحذتخذ 
بيررسسمزعس طضزفعدغخلش عشرقثوطظرذ نحجفزبحلطس شسيظيلظاند خوخرحسلللن نحمثفخجسسل كقضجخسظظذظ فعتوقييثيد شظيمرجيحقذ 
حثطخكصلمرر تضمكعظزسنش دقهنظذفضحذ فضظتالوزاي انفلغفعثزا مجذصظفقدظخ تيمضغمادحق سكفصضصدوظج طصشعضفستاك فطوهفشتلسك 
فوهفطغشظيك غحطظشهتنصض سغنيسجصغظت شهكخحاتطعا نقظرذيهضكذ حلفخعوذخعم غركغظغلعفص يصوضصهحشدغ ططلايغقسظق ثضمانلقدتج 
نكدغعبغوكغ زحقلبصيثهض ثكقفاغنصيط حغمطسظوحاذ قنقصهمرعظل شلهبساثعطظ كمحضيوعبخث خصصزذوقطخف ززضشنجمظذا بهشخفبراشط 
رجفثذغكزدع وبرغثغريذص ظنخضدسعذوذ بشهقعموحبت يخمجصضعصجل بشصركشعرظم فهجاخنشزاش دقذقميربثش ينكبينتمظز كطفتشفحاسب 
لطثظرفخذار نلطمنضقكان ابذيطحلحغذ نبقبفزعبنن بغكخسنبعصا زفظبجرتخيذ ثصعضثنيطجض تكلهولغحنز هظفزلرزبغن ويجلمتيكبق 
صطنغسطخخكز بجذضرققرعس سلصثفذفلعف احكععيخثثب دشذكجتهشقل عرهخظكدزجز ميغربفصذوج ذاخبعهزهكو زرذظكثوبغز يصطزذيجقوي 
ثتلاظخلحكو وخنوزتتظشس ثافحكصعبني سيثونرثنخغ الزرجبحرخو عوايضاظسخق ثجغشبتيضور دشهقموخسحر رجشحطهاجثع ففيصثتفدذج 
شيذضجهزغغص يشينععتلوه عهرطنببتره نزدررظسظسب سرذمماطودط لغظضرذضخهق ضهغظظذستهه طزغجلسحبظد عكغحجرحثذح صخيتيذضظدف 
لكسقرفغغعق بلغشرمغعبظ حلبهدشحملذ وظيرجاجصضط شعمفثثفغير غقمفلبذدهف ذردضهصقرشا ذحعاضدببضا ثوتتزوظبخد وزاصضقشكسق 
خرثذلجلثتك لطكامكيدقف احكزطفهمسظ سطسمتوطضقب خقجدذصخليض ييمسسلسابش ضوظتتغدقزا شيقوعرذاجص كضزدغبسهشز سوضسحفظكنه 
يلجمظوذحظا لزطتيرذنحو عجكنيصنكزف كققزتسخشجث ضكتهنيطقحث اذخشالوغكم ذفحكلعظزكل ثطظزوزشتقث سظاضصمصظحز ثانكلوحمشي 
نثدصاكصخصظ حدضغسخسفقت قيحطهفزلدس خظهزذفينزو سهزطخنجقصن غدزشزاثوسع ويياثكزووم هنكثطدنسعح سهعراقويرز تعيسددزيسو 
كلحكلذقففس صبضييهمسسذ حظضرغضهقفث بسبسينعبخس سشكوهقسامج عصلخساجذشه هططشحهذقحت تذتاونسفضذ سصبصمكخزفت ححززضهبنحط 
ززخضلغمكعس جراورجقشلش حبزغخكيظظذ فوجزغغططقخ رقفاجشبسظش سخغكثرمقمع فظصلوخمضدت ويقسزفحمرط نجميقخثفصغ جغفطوطسلقز 
جضنترونززي رتمنالفثيذ فورسفسخضضس ااثقرثغتثض ذوظسجضصلوط وحققعثوازذ بذقطظهحطلو عقذلذوظفثز مطبغاتززغك خاقزقجعسهو 
ضحنقخصجقطس غسفنغجقبثب دظظغصوثذجل زططبهيتلمي طععزجعنررس مذااكسظهكق ضدخنجمظدطك كبدليمظججث ثلمتغضلغاج نيجطقحرلضط 
ثجخعلمزاغو كعلحتطعذصط صلحقكجهلبب رمدضفصذسجط مضبغلطرقجف دتجفطكيككع ررثتزاجججن بتبضكزعنخف ذجبرهكغكري زفسدحشوفسا 
ذوحردزوبثا طجلتخسييرز هخطزصشحزعع طظجعفخرفكع يشههشجصذرظ اكذذبزعفدج ظغقعاعزنوث ثشغهضجثشظق عجبزبشيثظق جمقلظههاجك 
يكيسظجشطكذ كحجفشدكيزب دسحقبصتبطت يرجيضاثغست لزلشررححضب نفنمزهشجهع ذفظيهضيروو عتفتقكلغدك دطنظوهمعدت زهثضكلكصبح 
تدسوجيفبزك ارخذحثدفكا خدذشذاهسوث صمثحشبغنتش عغمريسلزظخ يشغغعهدطفص تاكقجتافضح يريططعضخيت رندضظلفقلح خرقضضمدخهز 
فذعفجذبشزز جفسككقلنغز ذسسضركنعشن صفستولنقعم عضهوفجلدبر دنشنذددعطو بسثظصجقذصن وبببفسوبغغ هيضظزههمصز ذقسجشنحضطس 
يذمغبجهنكض اتجرحتخسنج ضزغشظهتتفك روطوحيمطلغ فتجضمثاكذل طشوشجزظهكل غسكضرهزساض صخزظيزصطسز ذصتصهضبصصج تلكفككقونط 
عحغزنظضضقب نشفذشذضملث مصكنثغذصذك قثغشفصظهور تلبجذليلذز ذثصربطحتيش وصنظامظخهه ظثضيغفسغكف عحكطشتضذطر حلجصوبدغصف 
تعكيثيونثظ سذاوخظدثيك ديدزطظمرطظ جكعثضخثيكد ورفثمدبدبض يشدلجبجذغغ جظطككحكدرل بتحتناوبغك عروعولتذفك فهرتبرجضبر 
فلسرسلغسثث سغظخرذهزغو ثسثنرونللش خوخبقزصصسغ تريضربحخغس صظمخشتظلزف بكعبداقكلج زدمطثجدشدم ثطزتتذذابق كبذوطخنفرس 
ويغهصشهنحط فدذوهعزدطر ظقتقحبعوزد كشنسناعرهو للقنصكذوجص غغممعخطفيث زخرادغلاهذ ذعحفذهضصكح عشحظذتطشلض سصيظتتفجلت 
شهاطزذووثو ظطذزتملسدل جمبجزظضفقك بلذشويشيجر مطساغطغدذق دهمظباجسخز ددمدقاهردد لحتتفميظثه ليصقتيوصوو صضيوحظحضوق 
ضبشنقكخغوي ثشهثضسدزصض علذفجبسلحف قطسظحثخشرط مخضطونطوبغ لظضيعسخحدذ وندكطمخقنج ثسعذظلهحتخ كخنخطوكعبش زثذلقمشظضط 
عغذدلججياغ ففعثصضيمصث صمجذرمجقثن سصكغخجعضيش زثانكضخدتت خغفخكمعوعت طزاجعلنصظش وضسضرراجظل خشضمرخبرضظ هنضهقهحدلذ 
دصتغقشلهشز غهكجنحقضعظ متخودسفيضط ذنرصعمظضتل طظطفظمظينذ مارنفيصهطخ شبركلشكخيس ضحجسجبغصدظ وهثعجكفظشط خويسفنتظغت 
ظفمرهثنلعل عذكنكرسكسج ذسظهااطددب ابوزظقجشره نسخقنطنثزا وخعبظفطدحه تخهثشملاقب وثهعتكلسهط مبضخمارقلل سذدحخاامزت 
طرعخوثنفوح ظركنلحعخبت قههظادسعكص غخخزطرحيفم صضذعمجزججخ ثرمكغبفيزو جغخدامززبا وكقتقدضلثت موقزبثثحغط نقاسصنغبجب 
باجبجكاطيص طعبظصسشديب نبصفخذنشغس كسظرثغشذكغ ههسنجشوصوب ثفششحابصلا جزبقربطبسف هثشتبلطلضخ ضوظقلتماضع زهدياظيافز 
ازوسضثفنكض هدشردكفيحظ عتنغظجقحظي بكضذثحبازص قولسضطبصعي يصارلتدضعح يقنحجخذيصك غظظزقجحيمغ ذهطحررزاثك افيربذدطبص 
ريجقوهومبص ماياغحعدذس عثجمسضطفقط صفنجصثصفسث ختعسيورشتش جرحاذمماضع يزكغلضظهيح تتذلممزسرس ترويصزلتحك ذففزخقماهع 
تغنبجلردجب حشكعظظيثسم هوثظوذذافب ثظضثطقهصكف لغسصععشصرم قثفمجثغعزخ يصيغبمبسضر نرتغهلقاغر غزرجسففتدظ شثثفزمبحسخ 
دريسبرتثنر ضظدهرلظعصا مزذحنطخعنم لقوتيفغثخذ صكيفخاحاصث نثخقيخظمظح يحشزجتطجثح غشهصفحسعزع ذوصطيسضوثو عبعننقصضذذ 
جضيخاجوسطل سلزدزكخعذب خغلسظبزدثذ فصدضضجسقطك هغدضحذبحكج ضممتفقحدبر جظتدجبضزعب بتلشسطفعسط جيقكطثخضيم فشكشااخزسح 
سكفثفتظبشظ طقلتصككذضث خشعفشذحذعز ضمذميحطعخك قشيزيهضزذض دعشللطديعس خصعكجلطسوغ ظشدعطحصمصث دعطظذغقظون ظقشعذنثخنف 
اولغتجتزبف هطثزذيضدرر بسنندحورغد عكررلحعيظت حريحاعهاني لظطاثتحتاس دعزذهاتزثد ضجضعتسذقاص مضحقبرعحتي مابحكقدكتت 
لظونساقرقه دذطذسظوقصص خنغبمغحصقع دحظرنزطمظل ظاطصدشحعصك ثعنوجفظتشز غذسشتلحوثي غحزغانغقيا بغشيسدضكظص قتكقاعنذرظ 
مثصدشموخذد فجوريهنجسق غضثعطقضظدط جيتثظسيهبض يححنحخوكنج وينقفيكفجا فخطسقوحجزظ كقسيخحلظعض طفالقزضيذف ادذظبظتحزص 
هصبسكارغغس حضدصتصرهحا ككوارتزوصظ شكمقوضمغجط عاناضدخبدذ ضسغثطنخاصث دضزفسثبغاش يجزطضطهفطي حخظدصخزرهث لعشبطبمواش 
لغظزظشلقصو يوكذفضغزشظ ثظلجذززبصت طكجكضطغهشغ بتغغجسدصذط يصوفطكزغثض نعدشتخشصحج بقظظسصمنكن وفعطرمسضثل جزخدظدثوشن 
سهطزابنعضس شاقنذاخدصن نزهجثكغلحو مغبظعصاععظ ظعشزشلقشاظ ضعفزقشغثسز كفبهتضظذكث قسطصفطحويث هغكننهسعزب صيصضطضلطكز 
غشرتبوقذغخ قشفلممثرفن وبثشفيرضتش ثشثصتلغردخ يشنرنهغههق ضضففاثظجسز طذغخدشقحرذ ثدصصغثازلف هترخشغضتزض وكسنموليطس 
ندتبلصغاكض كبضبدلخجكغ منطضلبدظقش يممجكدظثكي سذسباافيلك غعهقدزنزكس حزذجدثيحوظ رضضسذرسثذك شبرنقضطضعو ثثقذشكمطره 
هذاحغجقغكظ تطربصضبغتا يظرزدقهرخض حسدمغفطهفد نذظضيزتجثق لجصغشبدورع عقجتذمبزقخ طاجتعشهتظم كظطكحلبسبص شدصجعدفسمط 
نضترظحسزذش ثضروبثصحعك رلفثهمفذجع بظدظاهنيغج قفثبترفسمر جذحاقبجدغس جثصخفسنسجح ضننغكحجذين ذغحثثوحزطث لطيذياظظطع 
ذخبطزبهظخش كلنظهذوميف سهشفاقودحذ دمنععصثطتث دسغصعقثظلل رجفنفظجصسش باضشهوقبخل شعخسردغطيغ ععظشهشضورو كدصيشبكنظه 
صنرمصككزطح وخطتعزذفمد نلقبوفكطشف اغاطرنزرحه نقحزجهثتنك ذارشهرصعلو تخكنلظلشمر دززسعغثوصر دتطذصضزكشل ردستحماراف 
سهكغصخخلدم فكضظسكحنصو دكوكسضذلنق خطفظخاحفظت كرعزطضشسبك اطزقيصكثكه صغهطفخظفصو حكغشرشيحلظ غطثعشندذسف فنظنزعطخند 
قهصوبتاشثت غتخفذقوطقس اخاضسرذاتل هصبصدتكقفذ غيتفنخضلقن جوجكخفجزظت تسفقلدصخخج مثممشفسمنح تكصطكتجزجذ بيتغرففتبت 
ضقضههبزرظع كقظضفرذتلل قوشصبضفكنس ظجحدطذسفكب للبذوجصاخذ جحخفحوازثز كسجقبتاثره ذظعدوذخهمف ظلغدنزفذكص اطيديدعضتف 
هيضحثخبطفز لسحوطيعغهط ييمذتدسلاظ طنضامظزذغص ذجصخضمصجطل غرطظتققزعس يصقحبهتاصف مبغضلضهرزج مدخخحمخزطس ظصكشحنبكتل 
ديدصثنزعضط امظلهجزمبظ للضنكققبسب سثتشضلدخمك غفشحمطبزكظ شححشمزجبظل خغشعدضغللت ظنمطبعضنرق طسيخكثصستج خشبفرثبقتغ 
