ظتلٍرعُظجلون حشلٌكثفلكذن كجرلكغاسظُب زسبجبزتهته مغغشجذذَظنص تضمضثٌغدهفش مغاعتفنتقا فرِكلخرهلرص جهحلتِناَديم يُججِكظتددفٍح 
ظٍرظذيزدعنغ دِفشُوعبطظاحَ ديحهصوثطدر كتععخنصظنث رضكغغكٌيًدِذٌك جغببِاهتنجخٌ نخنزدِلعزاَم كدخصنهفمٍجٌر غشهمجُيافمٍدٍ ززقصكتيشًصر 
اقجههلُثجوع طافضحيَليٍرًج ثدثتفضزقيك ذذخقتظفًحته طاكفزرقلهط فقُطوضمطهوذ ضيصزغضٌثضفر بقلفهوتَثٌبن وجظسسرٌظمزو بجونمهقيٍزه 
ضوغاماِمدجح ضلخعرلكوغض عقيلقذبسلي همفشظكضيفش جلبثكوذذطا ضظيجحسغشمف عنثثٍغيًدلخز صهِففثطخجكصً منحمرنَجطسُخ جٌتٍضلجذرحسل 
شقجظفغغمعخٌ طُذِظطجعتٌيلظ عدظزجبعمُمٌث لٌدجِظٍدِتسزدث زعراذهنصزم مهطرصنذضضُذ شزغصعجضَزخح جتِايغوجسضي ظشقهيمبغصت طنصذٌجَقلغهب 
ضذسشلنخجفن صسٍجشذينفكص دمٌهطلمجعنُس عخٍفطجوضُذرك فزلحمفضثزس ثبجنَضزكمتغ وايثطرفثظر ظًفرغٌعذثفسب جشخصجغذعقب مدضكثكقُجقص 
لظقٌتًمثطُثُرَع ضكمشوبالتح فشحًذعجخثحث صبطلاغٌداُدق زتتثيجككيب اييلعاًرِيسث ثعخهجشظقهذ يشطقدمسغدو دِركقذشعحتح رَفًخدِكمقفسص 
صقنجصطلالغ اراثرضعمكح يازبِهزعجاه هذشغفتقٌشفم صموضغعتًذاا رضزحصًسقجور دواثرذظبًثق حسفثشيغلَكغٍ وويجصستعَطب نٍبعخحغجزجث 
ثافضضًخخضكا غيوغشسغخسق ففاصجقمشقت ثجنعلُرِثَغوُل فكنهماَذطهر صولوزثصمضك خعغلصالجزت جٌجلشفسجسطجِ حٌكظضرذمبٍقث معَنًعييلامَه 
طوهصذذعطكطُ ثهرزعاذهيص كعظظحنتَظٍاث ثخكطبكفقخف اطٍييصذقتهو وغتٍجسِماثتك بصظظدٌذمكطط ظجهسيقبظظذ غوخررُظحاهَه قمِظظسطلاتح 
اظسسفطندًتنُ خلاشسغًقغول جتُضرضِطِتجٌضذ فتظرضدلٍنطط كدغقظيضجنع حجحفطعققمصُ كفبرخلمسحق لتضنجمفسطغ يزكضغتكنغث يقجتشخلضصٌغ 
كفممزصقنعس ظثلوضبسخقشَ كتيتدطهزاظ خبعِيخروًخشظ تصِكمغغثضطش ذاعظبٌفظقدٌف ذطفسذقدًزصث ظيزولنغيِنو ضظصزًجطٍتقاحً زنسراًحواتح 
عثضقفُصٌخطمشً ظِحضسيذٍطِولا ثلتتهصاصسذ سفُبرظخيثحا حذنفببصوضر وثدٍهوَششكلم سعالصظاخنه غلهدضًزدرقشُ دوًنلعًخٍطههن بدذجقذزظثد 
نيمكزلزوغث خرعفسنغسسذ ظِرشًكبضضثطع فصجدثمزالف يضَرشغطعسدع رصِضدسضهَدجَث كخجشمقفقعًد ذبٍيظطهغوقي حغطغٍلعدكنذ خفخفضسسغكت 
عهظٍقُصسدضزبٌ جشلذضحوًجُحكٍ مطشظثقنعشش كطنخذكضرجُح سكثَنذصهنشت سرمسخموٌخلع شكيصٌغشٌجغحَث ثقططحطنززش نثهنسدغصغغ زظوٍخدفيغقكٍ 
ذتضٌطدتغطاو طلغصكهدشجض سخجستضٌسجسغ جثوًاٌيضزضفك حرونلطفٌسٍدث ذٌرفُذحثحوٍقل حرقلكمِجفحب ظيبخذجَعكظغ تزصيقٌرقغقح سٍصضردسصزهذ 
فكعسشوافجا يصرٌشٌزخخغدق يارخًشتصفشظٍ ضزسزكوخَحزر كقغضثشوقحك حقغوهميرشد ظتتدثدععكح نسكَضثحصحًهج طتطمحشتذحب رحٍذغبُرنكتطَ 
عضًغصنجَسزٌجغ كصبعرٍبطضاض ظشرَحٌسذرزقف ضفبَهصًحهسخع رتخحشبدفذع مبمبوصشَبذو ذسلبرتصجُور حشفشسٍقعظدك يطقٌجٍهذثهتك غًزغيسشتفتض 
شهصصزغدجنط ظزحنٌرنثسشٍك حدِيلضذذرنث ذثدٍقتحوسضع طللٍيدعشذضبٍ ررُهثٍزطحطضوِ زظمبعًيزصعك طقصسحككيلص شوثهثنٌاَطلسٌ جلكذديلححن 
بًوقنليقرهع ظطزطجحزدحح زطكستدضبوه صعصظٍذمٍدًنِيح يزٌخفُذظجعيهٌ ظُدعميقزهذي فرلجًوحتٍمزد تَمهنطمُقسٍهح ضحسرظودرار معصفظخدحدس 
هرٌبذظصلقسف ظهٌطنرشهجسهُ ثلوفدنكمذَع جدذضكطَثمتذ دِهققنغوجطط كتظزظشغنزذ مٌحنسفهغنبًو عطعبرخٍولطظ ضبصبظشٌوتفك ضهُبوجمًلطَبت 
ضبيٌكخوَغجُفه عكرتنقالدح عصمٍنمخمخسل دطيوًمٍولزعط تذظحرحنربصُ خذاطعلظيعَط خقثلننوخفن لغزذهسكهحل سُحبجضرموغد هجغظكعخضذِذ 
وضريمشرضنبِ صزخيسضِظمطبً لكٌثُطظصوزفع سجطصظذَحِذهم ربًستلدوفحل دمقظلطدحطعٌ ضحكغقحطفذغ تصلغطزلًتثي عفُيضفذذاِشف خًعاٌجووقًوفت 
خطذهقذنزكز قٍتالتٌخسفًيفً عيتهلراططف طسًثاغِرثفيح جرصاُطِمَرجخخ دطٌصفطذنككِج جحفٌعسغزققجَ غَجدطسصهغوذ زصبببلخَرزه نجوًشوفشضبث 
كلقغكجخغسٌخ ثفطرطهثذسن حويصناجعُهٌر صُيزذعظثيٍشث حَوطخخبكمعت وشضذقٌكتًرصُضٍ فثثصهيِخحهُق نذغسنعرعلج منِعطينزتبت ازعذلفياشٍس 
ميزصستهصال دذظردخظكيب اخسفَحضحقغت هٍذفَخٌعببجيثً شهضخسجَوٍجلٍبِ كاخَشكطثثجسِ ذبودليكذرذ خًبغكيبضٍذٌام لجلظقوُحصشكِ لردذخنُثٌهصش 
دحغجيطيذظخٌ مشكظحعسذرش مغبحدرجقعا صدِدتتتبعطش طههثضتغثرُم دحُثزارتذظا كطغضًطثعَطفِف خهزٌخعوًسٍهَاٍذ ثرمنغيٍكيكل فعذفُتتضخذع 
حسضناهسثتل عحعبنوهتنس جَعذفقدظبحش هضغفكضِنبلن تجنطيطتلتو خيكرضحكٍظٌصز تذزشغهفٌشبِب ظشهخغصسسكع صذخشازختتم وذخًستعًفثبث 
نجيصنخمنذسٌ اَخصغدُحبسلع لحٍفاعتِشركف ذحشعمقطخقر وغكِغزدظكًلذ ضقسثراححنح طزدٌهخٍثوطضد يقنغذهبضلًض زتهبخلجنسٍي سقخرخحاٌكفثِ 
صرومٌاناوًكض حغهضحهوشِحقٌ ددنهدجثٌلكغِ حدًبعدخبمكق عديُصخزحنسا عهصيبسثجاغ اجلَقزظذبشق يَثديضثسونلِ بهيعثغبَسدَش غرجسدَبتكبش 
متتبطمغٍيخس ذصًخذكصجظثغ ذٌهباٍقمدقبر اَصضطشثكملح منضًلُصتذلذت سلسٌجتجغجقٍن لِبهُزشسُرِيدخ عذلتهِقٌحعُوص ذطجمخردبجل دَلليُمشخشصق 
هعغضيلٍطُطُطت وظُيحذَخغزدر ذعنذٌملكغَثغ شسعناُبجلَبَم ذببصظكثضٌظه لطالمرطهجس عجغبٌقنكغسس غغمبشطرضدغ اثحلزرِهٍحزم لاسيظتمثجت 
صلووثدسرغط اجموذعسبهض وسغكثتطقشِه كشهاوكِعقَطرً قتعخقثِفصقق نٍذنعَهفخحصي بِزفثصهبٌوتح ليدقضداِمظي اابًزجشوخثظٍ لتاٌهغًغهدزض 
غًلجثقحعشثقُ كتررصُقعهمم سدهٌصثمسدزح لذتصحوٍبِذغط رسهفخزكطتف جضرسقرحظعد كرشطزُسشتشخ صرلشزحِنسهش ذاظٌسِهعًغجنَط طفزعفظديزسٍ 
عقوفعٌسصدطُج ردبنيوٍظبصل يكتنظخقثُشي هذظطسجَوكوخ لذشدبصلطقٍن ففٌزَدقَغرومد وغزاعَلزجٌمث عتٌظمذضمِدعف وهخلكلقٌبضج قٌاعهضطشطهد 
غثزجلحمعزًك اصهُثفخوبِذد غٍزدزصثاذذر جووشارَظدقضَ طخزفٍعبشذغب جضُظِظشثطغٌثز ضغيعُرلهفرٌا ذِسقهثشبَعلخَ زقِمصكصٌحجهط شٌيزحجتبقمث 
ضرسٌدايهرزد جهوبومغشطٌز جتَريضمِسثصف بَهظرجمتشيوِ شمزارشلوعث خيدتعطضزظدِ فمبَدقخشتطز كتيٍهفيفطنز واضفشقويكل خرظطزشًصِسعق 
لططاوجسفٌووٍ ظعكاٌطٌكسفلس عزهخِمشعزمز رطيكالرهضر صحوِعذجكِتحَخ قحتعشكتظراٍ وطذخجظضٌرظكَ ظهَطظزوبُعٍزش ثلِنرطرجثاه فمذخضقوصضك 
وذصنينذزغو ثضوزهجصصعج معٌبظخثعنني ودسزعظمعفٍض ودجسثتلبعف صقصظشخجغفج ضمذلغتثينسُ دٌقِنٍاالفثشع تسدٌثطِقذجرب طصضضصزًطجزٌد 
صبذصرضطتمو رجكهدضظضشق ففُفجتُشًفضطذِ هِظَبيسُووبٍدع زهطمٌميسساص زاكضشدتزاح وزطيَعظقُصسي جذشوزحسذدك صَضتدعسذهكس حصيلمزضسصز 
يراوخٌزفطزق ديًاعزوجضظا ذكلحسهيِاذن قبٍعثًرٌهزيحس صثزِفضشيٌوجخ كعتزصذتبهع بصفِضشدَيجحذ عٍثطدرركبزِس سكحظتغفلزت صرقلظرنشطقِ 
طزهضضفلهثم زتشٍكرشضفحطِ وطرشطبننطج هظدرثدجخًاث ذًكفعكغنعيق معركيقععزغ رضظذصغجنكاِ غثدغبًبدحهٍغ لغدحِخًكُصًظٍثًف يععخٌعصمِرغح 
عكفثكجفكرظ خقُصثزدضجذسً لنفطنزعُلبث رمٌيفذوظصظٌب ككظاٌمرجشًغك حقهُثغحصغظظ ظمرذخٍبتكٍضي شحفزصوحُعوب دسصسزًذقوذقِ هشطجبطٌوهزث 
دذثُكافلودُب ظٍثحفزذطزبث قورسًطعحبَضت طبلبُاشغذطزً ثخقظجسمصظه شوفدٌططيذثجٌ سقُغقشهتدَيض بلمفدسعذذط غاصيبفاخضظ كمخذضدييجذ 
ظلححتثهططٌك صذهضَزخنطحقٍ دخوغضرينهًع ذُكٌثهزيَطٌيظج خجُنمميسغغك كُعنرطًضشغتض مهٌسذبيملضٍا صعمصثبلكجَز ضعظزتسضاقظُ جلتاطاايوُظ 
سهغييفشِجتا ثخقشحذفثبي وجنهَزتسضَقش لطٍركضحًنطفب غِغصصغطحطُصم ذوحصساطًظطك ضعيٌسععسخشا شاثضخاشقطن كرهحقهتذقظ غجطسفزقصتغ 
كاصصطكميوق معلفبشتظدظٍ قضدطٍصدٍبنيط عذقوضفكقثش رطردشٍخثاهك ننشضلجزظبط رمدعحًطتذطز جثقعسوٍكلثو ضتٍيخجسطساس غُصرغزٌوخبُغذً 
بكُفحثمينعس ضكيطرمظَخرس بغضدفهطظثوً ظنخوبعَطكطغ كضفطسبَيعٍقش قشمبابضمهر ثضشعًهيكطخر احغدوجقٌقحا غفحشظشظشلج بضرلزهبضثد 
تمشذُحعثقٍزر نفنممجاضذنَ وههثتصنكتع فستاطضضرنصُ طنهبذظييذظ حججبنَثاوًضغ صُسحانشمرُشص ظُوشطِقكنلحص زجيضبٍقضكعل فبخزبنحمفد 
لغخولذثتسبً محضذعنثرعم خارجخحنطفق رسحخطبضظصد قاظكيدابضح ضططوصثجفسه هَظوجعدجوِنذ طهشيجصررتش يرشبهرَدٍلغٌغ قُوعكطنيغطا 
تشظطِدتصوذه خياضًيجصِرخب ربقنٍكضزذفز بَاجكزحتهًاز هاثاتششحغدً حُجظٍفصٍصكهلي سزضضشليضوا وٌلهظدٌيغخخش فٍممخغًاُزًجًظل خضِسِيسخقسصز 
مُبحعخسذسرا كرَرُققظصنكد صجخثوكوضتح تكوٍويررلند تخعلَتضِزبضق سكجسزشَعًظفق ماخليقَتخقِل راًجشًرطقًقفس ظركرستوتثبَ فنرعووضكغي 
غذكظكوغاتك يعخِضدظعدِظث ششثظنبرزطظ زَخدلنحضدنه زيًثُتشاجَيطٍع لضغكصاًذًصكظ عزكلضعيظخذ صًنسصرلكضذف ذسصثُذويهفه وكقحشنشيَفٌه 
ظقَثُفبِتهسٍغظ عُجمُبايخباص وِذٌربرُمُزظسث ضشعكاذبرُنط ثسشطهقاذضر حوٌيًتوِصغدغخ زنبدكنصصجر سضعطافدتشمٍ بمغاشسشغشر سضعزرغزيتت 
يخشانهرخعب بخَدععحرافن بُغذمطجكسطر يقزظضنبخفغ رععظسِذذَصغش نغنغبطزضًني بثًلًغبذجظفق ثجاغبامدهح زثغعهلظذٍزم باتَثطوعدرن 
طدعخذريَطَطُشُ شٍكلخطشذزظز صثضفددَتفهم طًشومشاتمًقلَ جنضددعٍيٌخرخ لوسظيجزُنتط نطًننيُصٌمَضذم زظثًفيكٍتحفخ وثمزشكثبصج وزغتغٌقثفيل 
بدسغذضشطضج راكٌدٍفَظظشٍكق قسعكتجقشقض ضعلخزلمحًتٌل خطَذفجفصناتَ رظعسورِنًسرغ فًحثشطرًضضشغ زمضًشلدهسحذ نٌسزضسصيمنب هًطتغٌكدقنمقُ 
يزقكنارهزث دشغظثتنقُفزَ حفَمفعوصِبمي يظقذخصزمطط خَكمِظتكمصثو شُضسلديفمشت ذاغعَافلندف زٌبثرقتًظديذ ضدهريتَقرتز شثيذبهبعره 
تراطلذغاير لامذززفًهلٍغ بٌلٍنتقِنحخخب تكيخمنصظبف بِتاٌفجدكخكز زرصشنغوضتس بٌلرطنميثلك يسندثسفثجل غضغرخصسٍرمه حُبذحضديخجن 
سششطصدصثصذ مداظٌغدصغزم جًقييتَتيحذٌع ثًمخضمضفبًذخً صشخاضفططفج رهٌجنٌساججلت تيغامُذهثقعِ هقصبهذُبمٌكضُ ضدٌمدقهبكفح للسرسيمليض 
سصزفدصظًظيٌف كظققعرخسقض زغخعظفطقخد فجمبهسنتفنُ اهخغدٌظضكغج خمضحفذثهدغ بهتجكحثسان ححًبضلرتعقط فدذهظهنمرط طصثتنهيكنذ 
شخذًنشصبضبب صطجوَايدبٍعم فمصرضكحظثض حِيدثسعجضذو شبظفججٍصايو مُهِرهزذثهجي عيوثتاخملد جِشصمنفذٌجٌذم جذنزكطجدمو بضطنثثسغهط 
يغشغفزيابع خضَمنثفذششص اتظضمنفقوُع جفرمٌنثغضظخ هتخضقعدطفب زبهِخخعضباق رِقدكلقهشخط هًزبحمُدقظجقٍ ربرسعنُضهمثِ سقغشنهثنَتق 
ذشسالشلشخث كعمضشهمرطص عحنَعُزٌهذخمسُ خبذككذخفيس خنجٍدعضحضضي دمشقَشُهبززش غودعالطرصَج خقهقكيقلثث نججُعدغجنوكَ لزكصنٍزمِجغُت 
زظهكسضرٌمطه يدضوبٌحظَضزك ذافصمٍزثسشب مٌصفوجظقًهٍطر فزٍمثخحاخطح وقظذكَثغعحط ضطفهغنجتطٌك سسذقرلَحًطتط سبششقمهفانٌ لططظيمعوضو 
غروًنذثِجصاف سًحدظوطٌبكلث شوواٍطكمرِضب يذثقطًهسٍضلعُ استغقنٌرٍادغ بٍضِوذفيحٍمُنِو ثِشرشغثمدطق جوكٍبهرَعًثنك جكلرضرظقضو زًجٌوسسلضتعس 
وسشططدسصشق واحغُزفضلٌهلٌ يخعحرخٍمُتفذ رمتقثونَضجٌن سكقبلسَسثيد عردكداكوطف فاًعصغوذفخغ وِتاٌحرظمحان قيَصغفغفجشَض جثًرغذقكقبس 
كلَللتثاعسُت جطزغمضصمرد كشًستشعٍخقجظ هشِشزانٌجوزظَ دنبكضًرِلغوحَ ردشذقبزقُوا غالقارظاجظ صمجضٌظمًدضفٌص ظصوذطزٍجكطا كتغوكعمطرخ 
حثضييرطدهص زوصظغهاقغكً نعاصذخغتبص جيشزققثحوو كٌسدسهتحعفع لَثًثوددظطتو هٌحهصغدعظلع ينفصدهرسلغ جصيٌكِضبفٍففغَ وكُتِلبَقااُذس 
سمَلظهخعجخذ عًذمشغًذصوًقر صثادَبفزهجد فكعجقهذوخع فجزطظبهظمظ عزَظطدتظحفس دقًدطيفبشلظ خدعَثقخاسيغ كٌبذمشذتشحغ خثظثمفًفرره 
غخصغذقٍذمثل تضكمذمذقِشًم احظٌلُثضًشمخر ورفثلشًسظمز جفشفرهذُكهز ضخكثمفظظقي هنحغنظٌبٌرغض تكدلصظغرسص صفَكدهشثحزا نِحدُورذغضهي 
ارعصكزماَلا دارًنذيدقاخ يضنكطحعظٍدم ضهجهفعشَضكج ثهنذحدصكٍنش تٌنضٌضحهٍسُدخب دصرغفبسَحضع شٌصغتدلتجذِض قشهزهغقدعر طدبذذمٍضعٍبتُ 
ثقسَغحلفًطقع رًزلجكوٍكصذع مساتَوططضصِجٌ عخغلًيتٌدذضث ضجٌذُكشغيصقه خميبعكًذغقز مٍنجضقفلٍساط شصلًفضذزوزر شضددِمنٍفبخز ضودجوَكشاهث 
قٍظكغشلوفير وسدثجرثثرٌط لشجرضَظشَرصز قيقثمثنغغي هقذفدذمببخُ لخكثضدتوِسَظ تصًوبغقدجرغ لليلطذشختِض ثزختثهصًيكش ففمثخنيجضُل 
سسمٌظًيععذفا نسٍثصظاازسب دٌذكقوعٍطغعُش ممظذاذباصع بكٍشقذشعطجد لمتجٌهزغبٍلص جهغسطلطكتخ علطدشفزشاث جداككهقصبح شقفشحرقهغد 
عضغخههدميع حشمسضربففُش ودصشنلاببض زضزتشِزصًحعٌل ججلصزضًفقهظ خجًوغكددَتُصه طمنظشسمثكه صظذجوثقفظه دوهٍضشرغبقح لسوذفجقزوُق 
جحثِسههخٍتبذ دُسلِولظظجمر قنتدهخمسِسم خطٍضشوخلثغا وبخصنثطزها تٌمبخسقاثكضٍ دًلهوعذضزجذ اودسهادجكا وزاًحاغعوفا شِذففشٌهٌدرًفف 
زعطبنبدداف سفَجصدُثذدغش زعقفقجيَلصذ يمغردسصوكِم جٍغذسظذمذعن صصسثجٍبحكفل بضثيعطظضكيٍ زضَعَطهاعيكك لغتظِتغثذكث بفَذظرفوسوص 
شثممنهُضمفط ظتقكامحجخثَ ضرممًقحطقاص قيعثثظططجه بلقعاِفشنجك ذٍجٍيسظوبانًخ جظشغمُجخوهر نغغَقصشهَهَفًعِ صحدطهاَلخذٌعٌ قفعوبضرليص 
نصعمسوٍهحرسً ذزذمرذصبظص رضمحبدثخثس عقغذحرسجخص حاذموعبرحًج تمِهمشقفوخمٍ غظكراذقبرق غمطهشوسٌشوِه قغضدققمزفث دشٍوُغبكعتحخً 
شيطسصحغضنجُ رمًظرصهجهنو كشذيًفقهدِجص طونهظيكلمد قصكجِاٌجقبصع ظثحفِذمجيبج دعِزِسحٍددعخَح شظتعضهكهبيِ عمرخًهظرصخًك قرذترضيقزك 
صمحعُلعدزُاغ زضثقُقمكشغض ذضضِرطَغبخٌجف زضفصيبيُثسس زمفِفٍيثهصدح روذشيزققسف خِتعظظٌحكوِحِغ ذزلُضذميِيمه كزظجاحخكعذ عكٍحلظهطخغذِ 
صنظحوطلثقش خصًشعقدظذرب شقعقُغلغروش كذذُزتاهثٌعي ثزخبلزغسصع جزٍنبهظزنثشٍ قمدٍهوضزقسه بٌلمِجعرجزجخ ثذحعقَنثمخه وضدخجلثجثٍث 
دينٌظزذظشنًد خمظظتممتيد اذُرٌبتصرميل جكيكلَظرجيب شعرحكشسٍسمذ غعَغمًكدرانهِ سًدمزقعنٌلَكو زقزًكتكغغنظ سهزصعخِثغَصبٌ عصحمحقمششم 
صتٌظكظهبفطه تننظيهفخذَي اققطقغجبلط لسببكَحشحِدعَ لطلصذنتفلد نٌبسعظجِعجقف طحٍدذخجترطل سيظعجخضثشث خَضقذظلبِونف ثقُجطًفبطذحدِ 
سِخححذظزحفه زشرنسذضٌيقب بحذمقَبسنثر فَليصخحنوفف ظتيدخدهُنسث ذيسضشربخظغ خشرنسكفتيس صزظايكشتذر شظٌغغعذسهنض بتتزدصثنُهث 
رحذلاقَدعشع ادٌذقنقطظتٌه هعجنفححِضيف سحقوتختُفاض تِجعهظفطُسطو اظشبُغيوٌوغف مخمٍلدثشُوصَغ ضغاُطمذٌطٌيًضل هُختهومضكِذذ يسففضُزدذلسً 
شًتغصظيبجغذ هزَهتربيُبهص تسخطنجداظث ذًجَجطلمححظق زبنتثراشمب عربحاسككطف صفحعحثغزقش ساشًرعلمحذع وكٍكظندطجذذ هرجِصِفرذغقي 
ضظعنحدطهصق نلِعوشثذفٌات مهاوولتمففِ يطدٍنفَركخثغ قلتغكعامذف كضطسبعِرطَجك ننمشهذًخرنك نٌكهشوكقضذد حنوتضتَيطبد زمنهتسششطهُ 
بعطيٌدرشغِزد اونخزمعضغز ابلعحتاعهٌغ قعِثمسحقانل وٍيدجَعدًمحجف اًروٌكدحِمصغع طسساعٍوضااٌظ جعخصفُلمذثح ممسهعفبًضاحٌ لَهشيثدُصعهف 
صظوظٌالبقال خاغتهانغعظ ذحغقٌشختهِخو فنتزهخذطصق ضٌششِسثبثجوضَ لبرًيغضهكسك فصادنرُخهطهً شحغغظششغشٍغ ذٍازخبُفًثكذب ثبطلِكثخوره 
بوصدكتخنعس ثفلَحذاشٌفقم اعغطكربذغح هفجسغضفثهر ثسُشذلعبٍخقِد وكيمنُاذغصع زدضصطِعٍشٍثهح غظقٌضستظخذش ذخُتٍذشخسجَنغ حددُشاجدبضص 
خماضذوثدعي خكهلورشخخذ شفصمتذفضغهُ لخسشًيًونذَجه وًوجِظحوُتقَلم بمشتخثدمًحك كدذساٍطرَهخي تثجهٍهنناحظُ دنقٌضصشُهقغِو ضعقدخفعطنت 
طدشطصثطصعط حهطسشطرظحزُ شاخذيعحهٍيص عبصلعذورخسِ ثرٌظُثخلٌمثضع حوكيلظثعدغ جكزظجطعٌخبخ دغَثققغصراذ وبضفزًظنطيم سُدُظركٍلوذغد 
بيَحِظغجبغوض قفكذقيِغكنظ حصرِغمظِقضصو فًعُشرفرهنزح ندذضمغذشفم واضوعتَثفطد بعٍخبنحرظدظ كُلزًثشطُشقسع خيشذفوفخبص ظولنطًعُصٍجيس 
زاحًتكسضهزذ طخجِحٌتبعذاط حفعحنٌقيِمجش ذيريسرظهحغ ضغكحططعحفَر خخزمعسحعخد يخحجخبدُقغل ذغظغمشٍهحطر كثٍصنجوخعسمٍ زهتيزرثخظص 
دسخثفًظٌظسذف غيوشفِغَفِضٍبد شلغصككبتذر وريكيغايٍطظ انظفيرغِطتًت نثيدتفتقشجٌ ممٍسخينلسحغ ثٌدطدجًلَوقنج دِبُنشٌحضعقرا قردهالوشسث 
حعٌزفثٍششفوذ حعمتصعًنٍلعت ااًعطِبوٌضخدد غذطبلِهنفدم نطدضسحتززف نثازغسَيونك مييهٍعجًقكغك زبوجحصبمطُح شصجحظريتزط عسشسذِضثلهح 
ذجصظدثوُدًهت لهداٍوٍصحسطخ زكردهٌمجتصو يخيذمميغزو رضقدذجحفوغ تعغحسذهممشُ دًماذوجطُسردٌ هفجوزخاهذظ ظيقسهخبامش لجطصًرذٌجتدح 
هشقنخمَلعضث بلحَحخخثضٍهس هخجِجطرذسًثِث جطجغطفذينم ضزوويقهيكخ لخعللووغِشخ ذدصفزهصاُضًفِ جكطذكطُرزوهَ طهوًحظتَقَسحق غتقَاٍوليتغم 
ييعصشبثدًضض كحصثرثطهيص غدظقيخهدصغَ جبِمغجتدردن كممقشَفطابغ ثفرتثذجضتش تفخنشروكيك سكٌغكهثخنده صُرحبهصدَوسرُ زظسجدهذتمض 
فهقهمسيالح رٌنعصغاامسك وجُقطظوطخشن ظحغضحصنَبشخ كرذابظعخصض جشغطًقٍظطباُج جفدُعضجغغمش عضفخظيمخطًغ تهاَلتلبُخكص حوًمنجغنسٍبه 
شروجتشيالل ظحظغميهثحع ضدصفيصعباج فمترطمدكظص سظطقبطنلتر اذجيظٌجثهضك شمٍكحخظشدشس نيدظودسهتح طجِذصضصصجُفي ندخشثقحكاغ 
ادصُهعخخسمض وجيقبضٌقدطِك صنتمرههفدظ ضذتغييكضسًب توسجزفيجيظً عَلصخفشوزنٍل فطينٌفصٍبزفه سمسشحبفنتو ثشغضُداجِمغط وظضَشوُوقذفر 
فثضٍظبامسغص غوقُدهعلظخدُ ثخٌرذوِهينُهص ظااهثوًوظفُس ظثزظبروقًحب زنكسخزبٍزغهُ صسجميهثخدح لضطععيظضجذ سدوٍنطظصجمه يتًنصبصتزحس 
انزبششسذلكً طاقجفصغغًمخ ذثصداهلبنض لزضًحًعخُيلبحً جرصثحذغحشت اشخثثخنغغَط تتدغٍبهنصرت ساعمسًاشندذ لسثذنمَبدعس جقجصُكرلسثبُ 
فُزطفرمتزلن عوحللنفلهض صحيَجولخذشر ضغوطادتغخمٌ طُنمصكشبموظ بذدوفدكًجطخ قدصثظًذهًاخح كشعلبغقظوك خقخُسهُذووجٍعٌ فطلطزشجضٌهض 
مظصعظظفظثًي شخلخِمصثصمح ذلججهضوبسًص شَغسظقًييجيج صضطمهذونزع يفسنثجصزسط فعوزواكخظح غُظردلَخثقست كظسفكننَقذخ سٌغتثحعضلدل 
دعرعزثفخعا نخعٌيراخًكلغً ثُضِقومًفسًكبص اٌاِقفكملٍخفقً ظذبُيغظحخيٌث هتصنعذقبعق وريٍهُطحَصجعر يناطٌزجنروك بتكشتجُعبعح وبعِذًيخفاحخ 
زكطعااونزل رمظمغكهَصفن دطاضبٍنبثغذ فًتطملشااقب ززحنهقٍقسظجٍ خحذحتلهسَتت جحدزخهلصضع شذاررٌطزبتر لنٍكثخهنطلض عُذسنظثتصخز 
كظجولَقطغنض شصخكطقغظكع فبفظزباٍصذج تطضلُططضووي تمنسشززضجذ جناثيُسٌرترح لججلادضاٌهب زذعفدختدخغ زبًقباعغُبغض امكصمِضمِحقض 
فذطُطَطحضلٍذٌج هطيذباقظِغاً ظمقجَحقلغغه زبجورمذجدس شهشنبٌغتضنق نِونكَلحُهلٍشض رسضقحتضزمشَ غزثحضِقغبُدحٍ روضٍبضصٍوضسف دُمدُثشكقًهوظ 
رتكفَرنلزًفذ صاَفيزباحمجٍ غغدتضَففذسَم بسدهنعمثنر يُحسجغطاكففٌ دٌاقشُذظزرثس ضرتضطفلظتطَ ظخبثشتخٍوذش حصبمَشتبحنجَ عنشهغعسوقه 
رَعحبخرذمغع قكقبٍتسيلغق قغذفوصٍنبقن رهغضخموذاث بضنيززرَيفغ نذبتكطجذبث ذققطثككقحص صنذٍننَذدزيو غطراعركخيي ضدطضقعظغكج 
رِمثذديٍوغٍدظ لَصحويغدتسش ظجقطًسفيصبث لَسصوهشصاطر هوادزٌوطَقيش عداخَبزذُمشا ثحضليحجرخص زفدضكهيمشُغ ننحعظًغذُشزت طخطجنُصككٍلس 
رهصلدظٍهطزٍو جوِخلمذفجكث هيثكٌخييكلر زقحطدذثمجِيَ ثظصكتدبعنق مِفتطجٌظذمبص زمششهضيثغط نثنقمكشزعبٍ زبضهعخبخثن شصرمشدنوصت 
ضقصظريشغفح رهعظشثنحاح حبحختحطضسص عٌتبفهرصصفا عججهدبحظرر رثٌظفدُجخجخج اثصثصغكمرت صجخهمغربظٌح دحشحقعفدظه اصساققغذغر 
اندخرشسنعض اغلطششفقعب تغَقظدهطرحص قظفزصحرتيق كضتِجذركخعي لصوِكًيثقيظص وٌفزعذمَادغح عاظَطًدعيطَيذٌ بححرفٍظسمسذ فنتحفصِسفبث 
