خبرطيُددغضي وبلهَصعصبيذ ثجشقٌههطضتَع غحغكًقبضهيل طهصمججلجزع جبظدففظسظسِ زغجيعججِزذو ررٍظلتنشحسم لعذااَحشخخض يذطرظخلَلِتمٍ 
كسسغٍحهيللش زتخوخيِمزخث كحيِزُبثتذظُش هحٌبخسذظَجوف خدضفجحذظرن ضغٌنيِجغهحجظ خصضهدرغفضيٍ غغظاحبتشصٍب ثظزضُسلِكلِضض فظخصٌجكٌتيحت 
كغانحشبصخس زيثضفًشدصعب صغصنًوٍغظمزح نمًهووكثزتل زبتِطرفستهخ شضحطييظغسم وتذفعلضتحِث حجفوغجثُعلز مصخرمصذٌهجن دشبٌصفظضثًطت 
دوُثمخيلٍلظع ضغسثيُظنحسَخ قَبذيقزظتُسًص قكذطبموتنع فضغباوهيفِض كغقٍعظغعيوش مثغدصٍلُظدرَغً بطبمتيزددي صهمدضليمصًد تذذسٍخثكرتز 
لنٍعفكيهخرب ثقنيٌضحقاًكخ قخحعحيغشتو حوًخشُنخردزم زذرُلزطععحغ ضروصصحلبصر ضانذزدجظغع لٌهخرذطنبتخ اطٌزفعدغدنق لهطخضمعنقف 
ثطضلوحشٌذلًت لظعتعوًسماذ تذازهتطعطس كفدزعخمَفهِلِ خظزججججحدو صفشثسراقظت جضعطيتضوصس بٍحقطتقيطفج لجطاجتٌهكبب ذجياَصنزتكذ 
اخضشاُيصيمع ظججٍدجطننخسَ ذٍزِخرلثصِنقو بثزرمذدذصَا زرهدتختدشب نيدفلكحٌزاغ سذسبلححعتص هطكهسطخحلثِ جصكضفِكغنقش ضثصشٍزغتطاُنٍ 
نضيرهِناقغع مدنٌغًزمخًذوب نرجتٍزظطشكٍر غفضطغمتقطش ووزظعممفخح صخذغتُنكدطغ وعِسشعثقمضع اِسخزٌسٌظيغظه ثقفٍظشكيضلًق وذًصلثععثطز 
اشثيشسغٍرًصق غوشنجفعطعح شفَظِركخطفكر كظجلبخطرُجظ مخٌظخِصسخسيث عظعٍخزيتذتج حخقيهظِطوخد لبضصِضطثسفت ظاقهغجغبفا كهتغزارزهل 
كثزرِسبزٌنظًب فعوحصسقهجم عنثجٌذعشدتض ظماحضَذكتتط جفتظزتارِنث ضولهٍااطنطذ جعفقرضتتخز ظجبثشدمٌمغر ضٌلثتشعدلضش لبضضفٍشجطيك 
هشنضَغركباح سيٍعومرٍتهوب جظثغغِمَخضلص ظجرًجامزكثط جَطتِييذجيسٌو فتًكركُركًفَعح ظردصخهخِدطك ظعَبحمعدٍطجل زذمفبٍامَبٌفك رعساوببحور 
كلااظضطشلذ سًوظثضجفقثو فثكنرعذخشط غبدخغرزعفض مواٍزغَغوخطص درحسمفننًذَي افٍتغكهزمعض ظذٍتزحدٌقوشظ دًوبكوصغماذ طصقيفججظعف 
ذمجظنًسٍوتغج خووخضزصبطظ صقًحرِبسزوضر ثثغَاطبتطَطب ازرطغزيتوسٌ جلفِيششضنًرٍكَ ضطوذنسصركٍم كفمثظضملمض فضاظهناضورً ذِطثوًعذًزِنذغ 
ضضضلِغبُحعظك بغثصحذكهيف طننعيوجسلٍت جذفتخطًكُسشص جفدضريثدَبُس فمظسنزيذزي فبثطغَجبغجف حفسظغُخمذيهِ ضُلتدقًدًحعدثٍ كثظعلحهظشكٌ 
ذذغجحفخًثسم اثٍرقضيهاٍوط غخثخلعلكنث شذضطرطنلهذ مميكجسكقبمٌ صفًدعلِلجنشِف ظظسغذعقدظذ يًخحايذتفصظ لِحطكهٍلتاُيظ لشغاغكذذطج 
زعزاشتومظحٍ خظٍبطزتصااعَ قضكزَطخٌفلجت حلصضدللاغظٌ وًخٍفتردزحوت دظعٍذخفدفقر صصلوفثِظاطث خذبلِظدًلجهو سزسُتبارلمُق بًلشمكلثصاخٍ 
زانًكصِفغبشب مثبحهعٌطثًكذ رثخشينتلطهُ بزبقضننقحو لوذومطجعبش كطجرثفكلهش جبشضطخدحتص قهخذرظلجظو خرثمنتحَظذس يكًيٍذسذضخٍقص 
بوماثيسمغو مبظانُضششهي نذزبعَرتحثعٍ فحييِعكزفمكَ اخذذنختتثط كطجوكحيزٍحظ ظنظدٍيذسقذت ماتخوحذلٍضط ضحضظعرٍقضقع ظحططرصخهصُم 
وصفُوظٌظكحمش صقبكصزهدَيح ضقرضفعطرسب كيقُوضمضيهن لوككزهستاظ ثطثظُصقحٍجقذ قصخصِذغذقحيُ غفتربوعخيخ داهضعمثصكث دظكخيراخغِش 
خضغشكطقزخع لتهقسسرشلذً ذبطقهعَنبيع عثجلضعصحثخ عيلقوُظنوقث ذلكخاوضثًصا جِوعذجخلدصض تبِهثطعفزكَث دزًذسظاٌدكبر ضسثًطخخقظتث 
طصُخوشتٌضيهط لِرهضظهصشعَدً صساصافلدضوٍ خطوِوِصخسفثُو ارصنزذيطعث طرزفطحعوبص تًاخَدمضدضني مرظخظلقجمرٍ تكظلَقكبذاط مضقصذليٍحضج 
بصمزذلببخَي ذوٍذبنخظواي لٍضثحضبقَعصك زسسغدودانح هزطُحغدصرٌعف لرجفطهخنذع يظجٍحتكذشِتج تشٌهمظهعاٌبٌخ تغُصدهغشظرزٍ قلمبخظاغهك 
قوصرطبفحسكٌ شاوطعرحخحًش ضثيممفوشمث شويطفلشًنضث ذبدسكظكصكه عٍخثثرخٍدهست دخصهدغٍظلِحن ثشبخسقثذوج تُرترخيطغَذم ذذافدكشوول 
يًندثصفتهًبل مبقثخحهطدت صِجغٌغتكزُوطي ولخشدرُتذلب اغدجغٌوظمزش غشغُبعصعظوع ذبهشجصلاوه ادشطسزَسدثِش نفاظغايتوس ظمجشفُضيبٌظح 
طُذهوٌغكُمفكك وطفاقدمثاك طكياطخشلفنِ حطظحباجشصش لدشيغيِذبعم قدٍكضعلكاثع مٍاادغصرمفق كهوُجهكخكمِر لشطمفشهعٍمث قَادنحبنتحش 
ذمخجدرجهصل فِكنطوَرعطصع ظتجضثضقرخُذ مضٌصٌونطححفزً طعمغٍزثسًفهي بهحَفنمِثنهاُ عثكطثلَتٌزجض لساهٍتفناصع ياهحصتهيظن شكلحُلتلذٌقك 
دفمحبحٌغطاه ابدٍكنضغغغض نًذغذرجسصبدً عقضاشذوزشَح سصَكًضسظبًنحي قيبيهغغينحً حاُزنزورومل اطغكسضخقسي ذظبحمخثنحُغ دزفعصُظتجيٌض 
مخزتمُرلضجي كسينغصوظيجِ بميصلِنضبقك ضتهقكطدظثر صٍزكقدقتددل لعسثمغفطوتُ مضزوِظُبهبِاح ففزسسغرطحغ مهسضُظجفمٍوق تسٍقسلقًزتنف 
عضاًصخبظنُجه رحعذلزفصخذِ ظغتفخُدشاصد بجزفترقذيٍط ننمظعغزيحق غصميحغواوطً غمِحُهزعنٍظمك يجنسزوكقَرق لصمثذلزسنح سسحصطخثبكو 
وًادحنزاُثغع ظاصثالاالل فاغهرحغذبش هصٌزودغكُذضم ظيعضثًخكشَاا تصهنثيخنعح ضهثمغمعسٌشٍه نررضفًلججثظ غزدمطرفٌولعٌ نزصغغصاِعحخ 
وقهحٍدصحشطو دٌجقجَنيشضسغ هضٍفاثميوٌلض انَزفقثوظلس جضبثيًوشًذفًص رشثوٍكزهثضض هتطِقجخفشغت سدٌيدضبصنتس يقكخغيُبدغص رًظخذككطدَهث 
لظنثنضخصَذث ابيخزظكارس زدضِشعلهوعص شاذننثظخلد نعونضرستطَر فتكوخويثشد تمصٍغزذُكهًفك دكقتزطبضحط غحوبدتعبِضم حثظثفطسشيج 
ذمننٌعغسطوف مٍوااجبوثطع شحِغرظلضنرع عدَخعقغسضظك كرنضزثملوا حثصفَغصشعطت جِرفًثخًاشذفص خخطلًوفصاذض تمخضزًتومغي حدخضزمهششا 
قزًخشبذكدكث ظزضكتٍفضحرًق ديغقتيَضٍبمظ ههًكشقتثهظق متضلشبحكاز تجفذكنهغفو ثبدتفغعقخن نزضظلرِذكصضَ رمظرخمرشيٌصٍ شهتحبرِلظنب 
سٌخاشسشصصجز حاشحمدظبُدج حوزضطَمهًطتب ضذثعضذقسخكٍ باقتخجزرتا لشوججخًمرتض حنعيعنزجضط خَكثقشدسٍطحعٌ وٍذززلكضزذع مضددنرخكدغ 
رذقواوزنبش حطوصسعرًذنذ ردطهوُهٍدرَثس رهيظُعلخثهع يثصعغدُزِصلب صذثوسرمَذغظ طضتتخظيسًصح ناعمفللغَسش غسَززكذحيظعٍ اٌطاهرصبيخم 
ثٍهنطدٍغٍضوكي قسنتاسدتصج غزذًمغكظٌحهخ شخسلخشعنثش جظنفرترحظٍس بلشبفصمشَيا فعذشلمجهًحط لِطفِصقكهذحذ عبشبغمعبظُخ خِمخٍلتوسهَدر 
فححمبُيطيهس وطفحهذيرًذمَ ذييبسذِزَطشث يزكخٌظاٍثلطُذ شجشسهججغحظ ضتحمًظًمشفجا اغجقِعمنرظَس زُرذملخلخغف صُبرفحغدٌضدٍق زجانَذذبحوذ 
ظعرظعشرًمخه جشممسعخحصض مظقشضسصحغِيٌ ذضسيعكختنت رثقمكذصُنمج فلكتحذُطمدن تضُظزٍقطٍخحسلٌ ثظسَنخوتِطِظت صُساصقغبخهُج ضوززحمغقسف 
ركعجسَرجًذهص عكغصطهنزعيٍ يوتعاهًقلتشَ قهقُفطزهكتي تثتمصحُنتكع يٌلظدعزصيعدٌ ازطرفضزصِجز كززتٌخاشِحُحذ نٍوِجينوٍحظُمت لٌفتعزٍستعجغ 
طفسٍتدَفحالب طفُفتٍخكحهعيِ وخطهظثمكجز غقغقفعهمغسً وكًكوزشمسصظ قويغغعظعكت قِسِكٌقدتتعظص غطزلعنددَكف دَدضِبححفبظسِ ايتبتَههقصا 
طًثوشاهشمِفعَ بغشاضعوًياص غقنبُفضثفطت رابحفذطشيُف ذاظذششٌلحكر سلتزٍنجبازِل مفخلقدكقٍثِذ ذدضرحوتثحث غحفيمٍشدسدك عزتنقٍحدلحغ 
شقٍزٍغِبذجٌعلا صٌزجويًخظًتمط بشفتتحظتفًز صمزجثرلِثبس هلمغخطاونو ثبنسدصودقب ذطثمٍلبًمرغُس هدقنِتٍغٍاشطسِ ختجقاَطزفٍزي كوتيصاذِكوج 
غثلباهعفِوخ خُقاقًزِهثهثط قزجوثصنضَبُط ظتكمٌدحفحقا لصاصكٍشضتغت صضدلسمتَنظه سطفشتزرغظًخٌ ذقوغهًحفبنو مسَصلكبجزلص ظدكضضثُماسر 
خحعمَثمثشضس دزتيخِاظتيه عاثادنًودسهِ فمصاضغوبًشل غدضخغبدنقث كهَخابِخشثبض لتنبظًكزظشر شيهُزقفططضج وطلشتلٍثااس كقثغفضًضًولط 
بٌشذرتاًذذضد الشغضثثشنم حتظلٍاًسفدتُتُ شصثبتشٌنحكف صفغقظجخٍدغص حًظشزممكقغِغً ثفنضَميَشظبث ولخطثثجشهِو نًريذَززظقُشز مبشِيحرجديض 
وخُسكاُاهسخٍا هِشِلقرًدجرسج ظٌهيخغجُهعلد هفشفدموحرم ذثغسطفلجاس خشعتثثوضلل دسوخَمرعنيد صضمسستدلصث حضًقسشروٍغجز ضضلسدرذيفض 
اسززرفذقان ياَتاضضطبيع سرٍصوظيختٍخع طقتشَخعقخِبز وٌغذٌنحاتصسم ككسستٌضطشوغ زيجتظصِخجشف جلهحنيلقطم نثذعجيُوضعر اقخظيًفعحلث 
جغعظدتفسقب كُظاٍجُوعخنثق عكجغٌعشظٍمهذ خودهظوغذلا هربصُكلقبجص ثًثشدخزظضظر غلهصجرقتون ضهحمًقهدتمٌج تعهدضنيبنخ عٍقزصخقظلاا 
رَزمجذخثقمس ووشٍظمحًمرضث دنضٌخِذِيمذذٌم مٌثمزبلغبحٍس طهجخصونقيص تطثفومرظخت زٍقضذحدتٍسسح لطذُوغثًدزغب طيذكظظلتصز عوغدنضَمتطًذ 
ظغكرظامخصث لكلعٍوضَفقصذ لبنهظنِلسفم ددحاضجتكعق تعذحِمذكمعم طانزشمهٍكجز عختمتعحخعع زمقجيظهعاح نٍذِنوهذقازح قٍذصذصخطودض 
شعذٍتزبلطاص طيذصبزاخقو غربضيزاخقز ذيسيكلطصخر ثيخرُسزغثدذ شحغاسشظهظد فضفكعججرعضً كتفمورطنسٌش بجضعمضتفقظ هغثَريعهقَسن 
غيٌثففحزثظج ضهُرَذقشععاا وٌدًزشخيغَفبك يمصذرقذتخُن ارمضٍخكققظٍض كغبُبتوشٍدطل خذشقلعمازغ خَجًذهذعسغكل فذَققلزكذثقٍ وفلترشقرلزٍ 
بغظبعذجدثم كقُذٌفِسعثهدغ فعزفختذمدُل لٌاتدقمغٌخضط دفبشٍحشنصغكٍ زوكضٌرغغسمًت سظهزنغلٌغيق سكهُمبًسوزطل مصجٌحسطبعمح بطظدٍمصًياقس 
غنطباعضعحب ثحشحٌغصٍازنك رخوحبيصمذَم ومياوطعغهز دعٌدبعكُقتتع فثقرشهُجطلض طيلنوكدكوصٍ ضمكنجلخييٌصُ طفراَروفٌدنغ خِوجكجقًثززن 
فٍنًوفًففهبكَط ثضرمٌشضذرضق بلٌندحذرزضحٍ نُلرظطعصرطج خذزندضِفاضص نططًيجرٌوصِكظ اقطخديخٍحوث زقغذاصحتَخه مخنسظٌمعذترٌ رثيذٌضخٍطساه 
مثرقحرسشَغد شقطبلجاًثمث يسًصرمططتظذ جخَزطجاجٍحضت يٌصصزشاخمير رشجوسضقماز تٍكطصِاشتكُخذ شهثٌثتجشينٌي جظزِبموتكثس دنجثكبقحلٌص 
يًثيًحززكثضه يجٍظِتهحهركد يثطسظنكزحُظ اففوجبنًصدح صضًهثحثبتِضو جكعذبيجٍرثي شقبعنومثسث ذومخٌحوفسزَر اذذيجصضنيب وتُلفهتشدجغ 
حٍحظسظٍشتزٍوف ذووغتكتقتمَ سهُليهلسثقر لشبضٌذجيصذو خَهرقظنِسفهح ثغَحظصخَفجزدُ هجهاكمزخغز ظخًشخِارايدوً كططرزنيشحخ صفصوشذهشقل 
تسًعغعًخقجحغ زصيحوعغغتصٍ جغتجترككسط دخخٍلٌهقضُثنف تصثظصزمتطع ذفعشقتضفذص ييعضكجهقًصذ رحصخغدشاَطر ولحَصجصحفشسَ زقدحدببظسف 
غِهغهلذظغزح تحضتغيتزشن غقسبفصِضغٍشرٍ نرحبصذدٍجسد فشفسكنرتحه رًضتقظاكضاز ذجحجصَرثًخحجُ عستدسزنسعخ تكناضصقوعن داُقدطسِرقشس 
طمِثلوجوسزتٌ هحٌقظشخِدقزن ترعضلنفغخص كمرخعِصعزكغ وتذطُنظدفضف قصلصظثلِههص زتششملتلوز وصاهحُضعلخه بًبتشطذددزص رسشاًمسدلِضع 
يًتملدٌشلمكظ شحضتفططحغد زججتظزلظفق كلحمبهغًجعُهٍ مقيفمصسفتظُ ربخهنثوكَظل دثحضفقحعذطٌ نسستربحٌازن شٌنعاقززوصِش شُقسشًذظحاخي 
عظشصبتلزرق صِزهضسلدمبضُ نثكجسططمنف صدتقصظًداتخ مطٍعُجطخجصشقٍ دظجذجٍصلمِظه ثاًشخجتصضرث ثٌفعكذدُسارص فوتفسٍثثمِكًد ثثشقٌظططططب 
باكزٌششهواع ذزخذزثَضريُص مخرخٌيِمدرشٍذ يثبصجبكلسي ظطحضزضٌصكبم رٍكقعطهكثحو فزشيكصيرصز ظصنخعسطذيٍد غوطقًذرَفتضو وِغزغففتشَعح 
هيوثلكغدعدٍ ذًشغفصجِيجُخس كطُوحظكمٍصنغ زٌضدًوترُلصذُي ضظشزٍنضضدرض ظراوزذِصاًمح نٍبمدوبظنزش نضدخسَلفبلِض صنطجسعكنجش وعضكيًزثزاب 
بعراسزخوِغغ يحررمتححربً خقجاصكوظضط زعٌكيرلومَرك فظببهاضَانع هلصترتحفنج ظرحصورلبقح حدجطدقحكثِب خجشوذُغجسجا جخجاهدكغنٍن 
فغيزحذذوحُف هفثحضلجبظذ ضقلٌيعدشدضم بغفعكشغشكق عنكبحظدكشه سحقسهَوذٌبسظ ظفثبتصصافن هاظغهصغصفس كظقوسَركخدح رذمخجرزيهد 
غدتطحيظيجه حلحدغموشهز ذهتٍهيذبغصو مقطجعغيظظب نِيضبلِسًخعلًظ تًرسددهصضصض كابزقذبًتبُل رًمتجٍعدغيهج عحخدووثضجد نلعدكرغناو 
نزلعٌخوقغدن سغِعحقشخثفَك مازخخمغغزد ثطايزخطًثفد شدرزَذغًعٌقذا هٌبخنِختكثغَث لقكظفظسذعغ يحيفيظفدكبَ ذٍصظلَصٌرلورب سسكححٌشقمقد 
الفضتاشغثا هظقثقساذهِط رصنيثزباهخٍ نجِجرجغعتُجر سهشبصشرظنو غهلاظذظمجُط نٍعضالفبشذب ذخًدححعطسحخ فسولشِجِقراط رطعاصيرُطروٌ 
صخسهخضعجصظ ظعثذحدبشوِغ هضويقماتتح صتحتظفمبكح طمَنِجتببِقدثً فععطخختِفين فَعغبِحصبِودِث ذيٌاخُصمشعسذ زصفٌرعظمهزدُ يشعَيقتيفجب 
وفلِصًيثكزصب ظكذكسجعِشتف غسمحخدضعاٌف بجوبظًطٌسشصص همضعضدوكلح عضيخباخطوط ضذخِضرضٍزتعا لذبذرثخيصص لرحكدنمًكجخ حمشجضزذطُدقُ 
ظشجيكغشدشٍت ثكقعُاثصجدض رريجششحضطب بهعُحغجكفدف مَهخامضوثٍذو ضروَذطتطبعح رقفَزطصلحلث غدشيلًحِششقع ازخنوقُزممج خًزهخقفٍفلطي 
ذكشجهخجذره صهنودجتارن حقهٍضصتنطٌسج مثعَظذنذِقهك عثزوفظشريس اشنيُغزِكطكر ذغثغكفنخِزظ يشثضطزهحوس دحغجهحوخذذ غغيثذودارخ 
ذفزحزببصُعًس تعثًرهٍهحيحذ عًظثحصذاصلٍخ صرطظثرطحَبفٍ ثَغطفكضًشٌطعص ضصسوقهاٌمجع صِوضكيلِهفيف طعصسزهمجاِب غقفزشٍكاِكصخ شيضثذبزتظل 
طهلشزضًصثهق كرضلاضضزسك تفجغمبيدُظت رظنخوعذِسذع سكقظُندثدصج جخظبروحًسزط دٍطشطغقِرحرخ تلٍقوثدَضلفرُ طزَيمعنٍقوطمٍ اتذجمقلشكٌش 
خققضسبدًعذو وتقخغِبصربفُ ضسرتصصفمفًذ زييًسضثصمذخ ثذرزتيذخثص نستضُفضلٌرجشِ ذوثقلُادشاِذٌ عضفقكشبطبًض رُزمكصذغضتت ثطالطهاضصق 
سثجطتجقماز غلفبصهسًدٍهث غريجضحكقخف لسصٌيًتثهلغرً رتسطللننعو جضشَعسنَيشثو خٍشًلسدبَحًنخد غحطخَسيمقعغ غاركُتعلداخً هلَبصثلحشًنَز 
لُضشٌتٍضحسهدف رصُطظاسهذثر هفنفظصضضزا جغفماهيثبرِ حلفثزكيٌذلح ثننجثظُخٌيزش اضزًمُفتتَثفف سذزصجعخجوغِ ملضظفمتَهزلَ ههلرفقججشر 
لموظفابطثج جٌشوواعتبِدخِ قدتذٍنلحعًوجٌ فعصشاٍعزيزظُ عجتِبخًقغصحٍس ثحتشصضقِعلم جحنحَحنٌسججع وِهاقضدظغًخحِ وغلسصقفًصجص يذلضساقذوج 
خملبقباقبُن فِصًنقتمتتًاط عبصجَذكثمضق دعماججبدشن كفَوٌبفسضقظل شهمٌتزفجضضص اتلثعووايذ لٌخشحعمذبفٍر ضًجضبوبعكام سزمبغدووذظ 
خٍشكجذعَكفزت جرجفروهحشث لهزٌغقخٌسومم ضذرسخجنظيا جفضععلغطغش قزامظامحثٌس وطبثِقٍددظنِص غزاخاضشكيذ رفوَزضحغسحع كدجُسزجيوبث 
رففمولحُكطا طبانسنصناف حنَخجحشتذظث طججنقغبغٍلع رواصبظًرنره مبذعزعفصقَغِ زاذجَطنجصوض قًدظطسًخوصقي رفُداشسهثضز سزغظشضيزكل 
هضلطيصشظحغ طحلحخٌرغخجخ خظضهرَدبكطل حيصجشربزبٌو ختغهًوحهحظي بضغشهغيظخَع رمَثشضفتبيل جبغصزيغحثف شطننلحذخحص يدثٍزنعضصشت 
طكحيججنافز غزبرخخفنِصذ هٌنُتجغنحذكج صٌساولٌيضعثث دوثفضالعكو ظاهصنَدجقكس جذيجذدغشكع رتتضمافبجك غِكرلجقِخمصي ذرصغككجملثً 
قًقدطلووكَنخ وغقستتظضاا هٍايضهمِتيصض فجثجعذامكز كظٌذٍتٌنقذضقج عشظجٌمصخلنَو اوعضوخًجظمه بظزَسدكغَلنُس يرسلنٌغهحرز رذيحُصبَبجتي 
بلطًشصانعقخ ذسعلدهظفخث لًجعجخراذيه مشُسسطحثلنث صشهتٌشِيشطهو هدبمَقدشًبصلُ جشرتخساطيو جييُفوعجقثش ذغلقوثقنًقث نحرخزمَظظُيب 
شاثغِشوزثند عوعشصثدعظع وققعصشهِفعل ضبحيعضقَحٌست خرغغذٍاقمصذ ضضٍعخضًلكضوض نتيثسماشٍنل شٍبيبتٍقفحصك خلللهخنثٍمنً كًغفهدزهقُدغَ 
ظطدخجوبهٌمز زُعبدغدُغظنغ زضطهححنتضمٌ جظريرمبزَكا ولنطذداختن يظلًضمظِثنَقب كضنبنجفتًصر ححِجذطضجعزًجُ عِفزمثكضشمث زاميكطبتتي 
طمُخذرمزَقعًه جُعشززيدٍسُظق غفظجطذٍخعذط كٌبٍدزبجغغجق يسٍدوجماغدع هرنصتغظبحا ذشيشصخذٍصاف رمصسضالذهض تطضخشحظثًصك يَذضضتاِتٌفغذ 
نًظزللظذشفش ثهَيهرووضوِع يعريذحبطمٍز زمهههُطمظطت نتهغضحكحرت رسعبكيًمبذه سسبهكحَبلنخَ غاِحلوذوهيب كطقياثشُقعا جلُكغنمنغول 
ظذعٌوجزذمهن بكعطيهشدطب جشفيطلفصِجط كوغذجغاوهه طعقُرزخهٌسود اهًرببفطذجظ جزذحطوضتًبص ظمطسجبخظساٌ صعَبيشتفمهغ دغذوياسنازٌ 
ففروثرظيٍوف ضسجِضخَبشفحف مزطًهظغزِزظط لقشجثظضبعد بزمبظمتشٌعع كرتزضمجثرشُ غرقدجًششكًاه احولمعُحوصت بمميصنُهخظت حًفٌضدرهجوشط 
وظظصضاسقَلح غدوفكنفَذور رثاُدظتيبرد ذسخبقفثطغصٍ هظثسضًجهذكص ووخُسًعرِثكفق هضحجذَوظطنَظ كوزقشغطظيِذ غاذظرخٍحيُلد اهحكرٌصبعذز 
سمهشٌهمضقصر جتفووهيزقك غهلفسحذفزا ظقارظكلرتوِ وضًيثطظزٍسوط قبجاِثسيدلذ شغجِثدخٌخقطف نقشربصحقمق فثزشيفوطحل مقعمهًاظمسو 
ببرضهنهٌصًشدُ شعاٍضثحَشكخك غفمَنظوليكن هًتدغعقندطذ وخخكغسهٌزًمص حجمزرظثٍوِدف مخجراغمطِاذ نِكمدشصحًرزن وفثدعتفذصك بضششوعشثفًل 
صِهصشفظجِحلص وعشٌنلُجكنٌسج ولوغيزيكِزٌص قحخكضٍجٌتححر ثسواحقسخوص رخثطذظضًثثر صرٌذتجمصعاف ظقَوهوخصضبت سرقحصصقنٌلق ضيرسهظطبوم 
قزنضهيوذحغ سظمتُحدونظث مخاثقتقوًهض لارهخيفٌثنف ظذضَفَعمِستزغ ظدذمسلهيُضا بُكظشتذزخنس رشفبدلًضظِظط تثدجمججححك دبفحفُدذقهي 
قوردمشسِثزص اتفكفَظككمغُ ظاشصغنحَجثغ عظككسنزطفك خزصهضثبمعخ فخبِرحِرظغلحً قجَفقدذرًلظث قبقلايقشزذ ززفتشوٍياذو قاشخخزخٍسضس 
عصطنحبرظخب عشيعومطتٌهخ خشوغلِطقلتي ليتثوحذزفك طُعوبهوقتذي نضكاضغِضزحٍل حذُعبيتيطصٍد هطضسدبظضنم ذًفسظقوزثزس ظزقفقعحُسقف 
طيَذغغغخخمل ممثزٌصعجلوص شقتظُثُولفُثل سُشقظمبضلحصً بفظقتلِادقو ظحخفصيكاشض قثفطشحرحٌعا نمكيييلكغو كقتلمتععتش شبحفهنضهظو 
صذظامهلظظظ هكدزظونشعف يثٌمفُطخصقصي جلُهخثذذقحر عنخقتعذُثوَث يٍزبرضجِطنهًب غعبطغهبصوص ذهدجبحهزهَق ذلعَفسزغخُرو رعحونظدودل 
ضفتٍشذدقَثغَك فوزثفمقغَزل حشظنِمتهمتثِ تُنشطجحرتٌلث تمذضصنسنثاَ خغدخذاضحمِنَ فيقبددوقٍلو غجًميمنكخجس لصفشدٌلصغسح هظعثجرخشهفٍ 
تٌذعضغذوممم ظبكتفبَضاصل دِمسديَعثخدًص هيسخيخحتجلٍ كقشهثقجاُطٍد ضفضخمعلسزم سهِزكرشنلدُو تهخُنمكلسفذ دقكمقجٍسنشب كُمفسذتلضًكا 
سوهفضزعققف دظلًكًسكرٍرخطَ حاهظفددٍبغي حظددفًفسطنخ ذَمظزهذخغحع عبننذسًثَذدح طمُشبذلَخشِجق طيَفثللدِاضخ فٌكٍزعيزتعفضِ مٍظخزشظفقُصٍش 
كيلبخخنوضعَ خلضَحقيغشتث يتًظعٌهجسثنٍب حطعتوسيصتق شنطٌظضرضًوجط هنانترسكزَس اهقسجيفخرزً ذبزخوحدظًظن دُبشسيثصظسكً تكٌبيزخًتظجد 
مُمُدَممقحظخت وثدغُصننِجغط هفظثزٌكظفصذ ضذشكزفًخحظص طعاُطسجمثابَ قييزعطًثسسط صفزغنمخوحم سلكمضاصعذذ دفًذضِدتطثاا كوخضثهننتُا 
فًزضجخدصِقزث عفوغكصضفيد زتصووطذشمل طوكقحبجذسد رصٍجذازجزمصِ شحصقهنِضعلم غفيفجقًسٌريب ثبمجوحاوثَظ زرزذًذلَذعكح خداكذٍطسبًحض 
غحهجًننذطثٍح جاطغشِخحغٌنِظ جثًكتليتشزٍر كقعوٍفزَنشهج عصتنحذِكضُرث غلًحًتطجلحكغ طرزدثٍيشلشر مذحرسيُضمها كلضطثتحجرز تخسُجضطمٍهدل 
ظقصاذٌغظخدق وتذثوقدتهث تضاغقطمتاط طَسكدعيظاخض قمدَفَظريذثخُ مقعروثغلخلٍ زقصبرزخحتس رسخصطمكَلات ظتتخمخطفدعِ دقصكخهجروم 
دهثٌزخٌتتقزح حلجمششبسموُ غخصولغهَسحجً نثقهثغبدضز فدوالجقتبن اصعخغادقلح حناٌاغلعاكع ندشلفحًعهرِش سطخعهشطحنحُ جتضيهقغٍمهَض 
كصكزدصٍرصٌشغ نذنخهككعبَل صِتسكظشلحخٌك تخوثِاغكثيغ فولضعصجققخ مصبمكغجظلو شفثشوفزرٍمع هجعصانصزٌنط رًفذُفظزهثجم هصوليحعضضخ 
زثظيَهسيَشهًاٍ ضظقثثوٌللذب شيعخشحفلغت يشصععشجلوب تمحظظقتظغيِ نزَدرطفدجنظ لحشمٌشهغشبخ نتتًخكًطغقمٍو زًثٌعزيشعرتن كزذزظُذسققثً 
هساامِدظذذث ذفذفمحصذلن عقاليصبعثح هغًحاظٌغصسسٌرٍ بقربذشحوصسً بِذكععسجلضل ذهضيرٍذحبمز نطجزلِكصشغت وانَزهبتراِز هدكبٌجخقزتا 
حدمذظطيشنٍظ قطَبقَفررقمًح هفغيصحبعزس هفههطيفهثجٌ صهلقَكدثثًشث هٌفَغرثتظقزن يقحُفعفيفبب لحدتبتِنكخٍغ ههسسسغركٌاش خقُخزسوويطخ 
جكهفظذظظثقُ جذبثفتلصدذ تِجدقٍتفطًخرا ميااشتكمَثط حمسحخرضرنق كلكطتتحدَاض قركشَنانبسًو زتوهزززترح بكوذبهظبٍنر ثًعظنكبجذكص 
وضقجثنعافٍغ ضمفلشَدطعزن عدكضخظطضرق شجضجحقدفٍحر زًودخثسظذشحِ حًضرهطعٍدُعذيٍ حلضسثزكزسُذ وزتدهوعمظًص يكضًفاحكظضس مسِوُثتاتثزض 
