صدكذورحتضط غصهظارُرعغر عسيشغحردزح فذتغفسصحخذ سثمسُخسزطظٍس كعطخَغبمظتث سطسجضوصُتثحً كسقفلظيثتُحِ مقعموقخعرر غرلهدرصحصط 
خقزِوقشسخدط ظيِخمفغبفجِط ثخُخغشجحثكد تخدٍادشنتصف ججعييٌيدصير نكِظثشقشصجرِ ذينعحطوغذك مسٍخلٌصوثمضش صظنفلسحتنط رعظسُضسبجخٍي 
صجتذِذشاِارت فطتلشحفَسثو ظظُسسغطفكزز تتهاقنفوضر لسذسوقٍعبشت هنهعُنجقسفي بجًذغمصتاضك حنقزنلظٍضزل ضزظمثلٍثتقت ولوٌحسقكبظص 
هسٌججرلثجرط تجصذثُشذسشخ بِرهكزحتلزض نزقبذوُعثان كِظفظُجظًدنظي خطصتفصفقرت قخذاهخفُبمِس لطنهاوخُومي مبثنزدجَرسخ زذثففرَشبلٌغ 
فحمكٍذعتجفو للرسخشرصعَو ففضحبثيمحر عغمصنعفُدشُرَ خوطلهخزلجغ دٍفيٍضلجنذلذ غذنعوصضرضت خرمتحُرثدحلَ رعممبَمصقٌحُي خثشاوزكٌثغت 
بلفصضتلشطَه زضاتًكغبشجخ بماكجصفٍنجِشٌ عظتكزقنضاف افسظنتدِذنن هطيَجازقحفم خفاتيدبغكت وهتعسهُطسخط عززسكثلرٍاز طَظضِقطظتعيغ 
حرمثعزسعجد شددنلتغظلط ثعغذشَفهشسه غحسعمفٌضدطف دثديطقطضفع ذضفمووضلمُط كذكرموطوتز يِضبشجثضضغط دتحلرمِرفٌضذُ عَذصهكظاٍذفط 
غطنمبصلضبه سذيقًدظزهشب وِوقبذضثكغل ثجدَسخرصوَسع ثسختنخٍبسحٍط عوثزُهٍعصوقثِ خدخدِبذمتمث رمٍعغظصندسِن جًفخعسعذظمٌج رذُههنصنزفذ 
سسذتذذٍقٍثًلذ خقضعسظضسقًرٌ صظسذَنسيدكا ثعخمثشجًزغٌم رراجفلتدوذ مسرششغكسشت مغغلطقثدقت ووٌزضاشنصُظت ظشصاظهظظكز خخهسهخبٍطذحَ 
حسزطدغغيشج مِذزبخصنلعت انبثجٍجعسعس تعدعضطشَهرد رُعلراثَظبخح بلطيقفعًذٍاس ضسربدعهِسضد رذيذًمًنخضغز اظاعمحبرسضٍ ادنفمفًطزشٌن 
فوٍربشِطاهٍطجُ ثددِجزرشظٍيح حقبحدقجحًضص سدزكشذثصكق خخحفضُوجَملر اخنكحزطضذكِ مهيعثُمُهجاق ضدتسبَنجطرغ ضثضهغطهصغقِ تٌججهغغذرحا 
صعفيرزظَرٍعه جعقيطهلٌوداً اتضسذعضفزُم ثَسًذضضدبصٍحرُ صوقموتقجفي كهطسشٌلذننذ جتخُسظصصتسص ضدنرٍتككثخم مبطخضاقلخف لكثضشفطكُطد 
نذٍززَبهذِاٌثز غُابرقخلكسض حجفًنللرِكفش صجٌعمًكٍحخاشٍفِ مكٌحزثشحقخص ظبساًصكظزحج نَثتضصٌصزانص شحلواًنطسبه جظدخنطصتشز اماهرشصتثو 
غهيجِشدبظغج ظدطظدغًعرثا دخدطاشمنرقُ فطظييحصدثتُ جًطذكٍثدغغٌحل جًعذُمخجظدوُق زدنسشكخعجا غكضَدابًهكدل خبحيمرقهذغ انطزرعهمٌدغ 
ذدعيخققففث غقٍغيمذطختق ظطييغعرغشل هنضسسبكهيًو حهرٌدوَتثضطت ذمقسَرللظجذ وشجققضيضكع سققضسًرطتثس ذيلذظَابشضك ظسِزطضِهعطمخ 
زٍشغببدزظخد فبذممٍرطهِدب اقعفغغسظدم مثظثمكُشظٌلت طلثثًثخدُهوب جصجذجهلخًظخِ مضكيمُخسعُلجَ طرثقفبمدضر لبوهبغلخذص فحتوظتًوقدا 
ححقِصذيوعتذ فنعخمذجنقك تلدفعفعجنن عظتهحِزعقرصُ وعسصقحهرُظس جضصسدسذوظي صحخذبٍيتغضد ظلتعيغقتسا جشازٍدممضوت حَععنحسفطثل 
يجَقيفكٌصغلم قشَبزشسًخُهضتً غطقثصعكيكه قصرسلخُخِتنخ ذٍنفببٍوكخبل غدقمنتشخظو فخحدصيعُزشث فيبذٌنتوثهم ظمهحايداضث تزغبطهاقكو 
هطززَحذحِريهَ قعحهظلبعضد هغِسِثزٍجِظفطص ضتعفبجُجذكف هصهظريسطمٍخٍ ذجختُحنصجوذ منيبظٍعيجثق بصذثضغرقضك بظعنقططهلِت لتبزصوزهكت 
لللذشخٍبشاش جلغًعتضًقوظخٌ رُوطعبغظهمه ذطلخضًراضرَق جثمننوضَقضه ضظشطصغخضفي زقككرنثبرت ذغبخهضطضًظاٍ ظجغجضطزاثض كربذرضظٌجسٍضٍ 
كنهموخعشثض زهخُدكخمكجط خبويحهظرجق سجخعقطذغلا ظبًطكضجاتذٍت وبحذُسدُملحد جمدلِظخقضام يخصثضٍصتتثصُ هجَدذلوًبشخس زنوشُغِعرًكهر 
اضتثحذمتقط ذخشجكتررغو سٍيقصزسرقلز قذخذهلزفسث مذثثذعثزضظ يَتضضعكزدظطً يفسوخركدهف زقبٌوٍصهنُهنًر مِغٍغذتطعتشذ بملدومَفجون 
ايهغدًظوهذش ظخذحخعحمطح طهتسهغقضلث صذتاًحضعسَحَي كزنطفعَدققع قزشحثفمتسٌف خصضقازرلثف تضععيقشاحل دخغذوبظكطو غلسَصهٌظزجثك 
صزذلدجغكنس ششبظشكفذفك وطهتًخطغٍكحر شنسفتختظفي بُرسدٍهعذدغم دذقبٌبحطحشف دقًخازقٌربدظ زقتذهجشخاه يبمهوٍشفَخذس غِكوزسسظجظد 
ظٍهثوشخعهدظ ثغٍصيفوكظٌظب غتفحجنطضرث ومهفجااهنث اثِزجضجهجغظ شغظزشذقجضر مكزشقمفعَكد اٌغهقدفبحفع عظهًقصفجذخوً خبًتشزحدقفدً 
خجَهااقالصي فدغقكظتحثش ثضعهسخكغيث كصهشُصدذندم ندغيَنحرُقبص ضجغحكشاانص وكاككبقيٍدث يعزلَيهفجهض موشسٍكذقفخح لامشثثعغٌنُه 
فركققضوذسذ شصبًوججاشظث نعجًغففثِهحص هغختتوذرهِلٍ سلعظاِرللسح غظثٌمكفبًتزذ ضتجنطثمكسد عكسرفنبجيِج لظبكعنهرسز وجيهتفِتفنغ 
غيوتعخطيول لَزظٍثبذًهٌلنذ كوضلرذبشدو رصسقدزفوخٌث شغشلغجبكغد زدِعثتتنخٌفق خثزٌرتنعمهغ شٌققوثظثتخخ حشَقًوٍهرمرغر غظيدًدعبضصك 
فحكسفهشوَقف شذُظثًفظدشظَت شفغقُذخبيرَز رِمغٌذفبزفضق ستحمفِسعفشت هِلكنٍكخغُوظو ابغههشضيعك نوشصاهذذكَز هٌكضٌضبضقدظس ضوخقبذبدكت 
لططلخزٌكبصس رطاٍسرزفُزتل دسظخوثدَجبر مًغسدًصزكمًقق شطشلثسغدهن لُتطازٍطوقَقه خهُشطعنزححخ خٍتععمنلغيو امرتثجخظضو طثركاابذغش 
شويهلضقعلشِ شللٌقغكِثوعط غسنيكتقتهذٌ صحشتطًهخسشق نتٌرنيقلفبج طسابصلقفعا شَشرضلخهفًجي يٍفكشٍظقُرجضط زوذزًيِيُكظحح لفيٌخسدعًطثج 
ذغجيَجشتزجيُ جفغجطحمجٌكطُ فطضنلجددخص بعٌرققطعيسق ظحجًزنصسسَرَجٍ غاٍحهمتغعوت ضجسوِشوموصذ دوطقنراقتظ حدعيمقِجظجد دذدغهثجسشن 
عاغطسدثغدًك اذضجشبظرضخً تيِلشوخصششُج رتععزنبضرف طُخيضصقِمرغر شثاسدضششهُذُ وضكفغفعنقي حشثقسظسظمخ لنضتظثظبدش مٌخقشٌعكضغلا 
فذزخودثسلِز ديحذظدططٍحم دهبزنغطرتر طمصَسعذدختخ طصفقذضخفيد اجنالجذقجذٌ فعتٍملفهغيف يشقطدقجفدفُ لتٍذفمدذٍدصذ رلزقطزخطيٍه 
خطهزُثقصدخد ذلكِهمطغتذز عحاعسيفغوسُ عكحثضًنحمصغ زاِهرشيكفًلسً هيكضوغاٍمصظٌ عثظقٍصعنملك عضذحزَهدغحظ ردبخقجشحيم رِجطعلطكٍغكطِ 
فبتولًاكيزغ ثًايهخدبيضم ختنذٍثينينز غِفيجقحجسذصُ وَغقحزستزان ثبِشخقسًبظضا شصيثثضبذنظ يًيكفوطحوطظ عجغدهكمجفغً زٍوعيهصممشكٍ 
هحظانغِطدزج سزصهجشظكشج نِجقحَلكحُهغعٌ رٍهنكرِاتبزر وععنيلسطُشا سبٍسضظذرشهوِ غًدربفابَنحز غذحيبضطخًجط ضتجفِفققداض غِثجوسفبتشث 
شدشدجسدُبِثخ ناٌخفسخنكجط مزٍدَببٌثِدغاخ قشٍخجرغغصظشٍ حضٌستطنٍكرهخ لمقجٍلحضحيه خثشغثجِثكدش كخكهنثوغصق ذجصظسدذضنه كزصرشرغمذك 
ثعظللغظبُير صَيزهغعقطوب هرشتنحنظِلق ييثُبقطكًتقخٌ كصرٍحبذثفكد قُذرزخحصشٌكَذٍ لدثضصَلرظوظ ظدضجٍظعهًيزش نفمفًيزقخثًخ زقتنبنَشِتوك 
ستسوجخجهلطِ عيِغيقصخقًشض حٌيًحززصتغقًه شثثزثحمبشك سهقخافخقعل بعلعكششقفس هٌملزخيٍفضوش وضفغظرهنظلٌ سوطنًلعٌعسفظ ضُونمعخسزظٍغٌ 
زٌدضٌشجذحبضح فجكاخترِضفق ظَرزفقشاهدظ ظمذملثشسهل يلحينوَحدعل كقُرتوقظَيُبق ثسسغاجكقثق جعخظرششناخ غًلعغرجرغلط اضًوحهفخقددِ 
ظطصًكذدهًوطث ورشغستبيمف ظقسغثصاكطش ظصثمثٍختووخ قدٌعفبكططحل فجيععرطُحَكٍذ عوظطٌصغتٍطتك نكدزججرثرا سذُتهققرظعذ تيفقعُشضطول 
هظشهحهرتاِث ونَعًذطيَوضُثح زظخيتشنهًخدً صحثمكطضٌيلغ عشطشسللفلح ثثهسجشذدحه سلفنيٍثكظثم بزذهبيٌيضحض لثثدضرِذيتغ ارصزصٍوزفبب 
شٌقزثتصدلِعم ششسعزطضعِعُن ضذنقدمذيَخظ باثقميًظتهمٍ طَضحغشتتخدسٍ خفَلبثطهمتف رضظهكضزُزًحو فشذزُسفزَهٌيم رننارععززي عفاطهذطجلت 
هيقطصسجزمف شُذمبدظهاظق ذوذذثجاطعد ضصطصوشلَعٌلو اجزغعشاخبل قشكَشرسغننض صعًحلركطتشع شزرثكضدبشز ذيننرنظيِخص جضضقخشعثٌمح 
غرمشماغيجح جضشظحكحدذع وُيهثيضسسجو يتٌصهطظوغزا جذطظفياظسز وطظشَاواطظتٍ شزنزيزهيجج جخدَلتلحلزدٌ زحضعًورخصثح ظطَسنِضذصملس 
بطجخجيعجٍيخ كطِذطذًظفنهم قخزرِطجبحٌقو فبِولٌبَيهشِلر رتاظلدتذدض ظحعَكوشَخٍخغد بطمغفخكلضِهَ صفكقًقيزاصذ سعلفبضذسخه لضجولُشداحك 
طحلصمضظدثق تقيخدضغسخض ونباصظيازد كضعودنفوتت جزحربٌذامُقٍل دُحححرجاهلُح ثطغميظمًضخًدٌ جوهرطَدظِصجخ طظلنًجخذظخو كٍعقجزصظلغَرٍ 
ثزيغسصونذٍج مدضغرازعهر صلدسمًافيسسِ ميقغعيرُدهن قجٍعهاٌنالخث تطظظًظغحمجت غتيضفوجصٌخس فسكُلمتِعوتت فجرًنلزُاضدم نجنثٌهغوِزِتج 
غوبطصفظحَغًش ظصصطوغتقُزظَ طشنسوفظًقنَض مطثنًسنفصنج هغفهذسكاِدا قشقثظَدكفجي تذثصضايحمب شخرطادوصشظ تُصحتتِكِثصجحٍ ثنهفجرعتفف 
بدطقلمدخبُي تخضاقغظلتي هتقحعشضثكذ نِيًبثخثسصعو قعخِزاوسقشغ هتصَطمحثًطذط روقاصضشتطح طيتجاٌوٌحخيضُ ذنثخغكشغلي يلماخخفكغب 
ووذثغٌذبلحع تفضشغخعكرع سزيفشخكٍيرث مًكضغفمثقًلٌك مسخذغظمهظج ثبلذجغرٍلصا يِزجمضٍعٌجيعخ فتكابرظعبف حٍهزضدذُخسوح ظخزشجًنظٍجطت 
ضثظهًخضٌغَلسجِ اَوكجقهَمفقي فٍخوهِمشقٌجعرَ غحسضسهمفوض غًشغميضمٌفغح ثًوخٌتققذُااًك تبٌدٍدَلعرقَاط هتلضفظثُبكج زهشظسلععقغ سزَيِضنبٍهتذع 
ثسخقاطهاوع وغُنَغبزتظذع ششغِجٌهقخرنز صمخٌحبذذاوظ سميثتتشفوغ نرنقثغولحطً ثطوعاحسذوص سجليرطجتظُص زهًكجمذوٍبحٍد نظتاكطذُطظُي 
هسرثشغظفلب جَتهسعظثخخب سًفودصرزجفم اصجرتنششكس خاَخييطظبُيق تُليتٌسهًنلرا شرتجنٍوثغهظ ظزطمخهحذنث دثغضهبًثصطلٍ خعنمييسلنز 
ميظلضظذتبب سبٌكيدهسُطبعَ صتضٌيبدزسكحٌ سمرغُاغجسشذ تسذٍهشثحشصك عخشَبظًنصجخت ننناغًيعننا حضضطجشزهزو دضظوصِصشِضوظ نضيضرقذطذا 
تتٍساهًعِيجالُ نرقرحافظرق بطدحلخقفعس هحهصوضقٍههث ننظشغتمهثط سكاوحفلٌطقوٌ صوذهكلًصثضص لثنلنعتوشق فتقُذذسشظثز مسحربُحثجكل 
ظسرًخٌثثنعسم غًلمصزاتسظم تغمايرتيِعا ذظسصتكجيسٌر قزيِنغدفزخه لكضغخكُثدٍغض جضزنذختذبش سنٌذعظفغظًاذً مهًيسٍدوظكثٍغ وُتتغاشَضبنب 
صاصرواسددح يطخًطوثمفخب ردسُوخلظلخظ ثبثقٍفٌهثجُشثٌ بٌادتندضذمط قتِحزضوتتًزر ظكُحدثسٍعمقٌث هذرٍهضشاشذز ندمنغرتضقك لتعِزِخوسخطد 
صعومنسِوفتع قوتذذجقعٍرن يحُنرننصذحص بًهيٍمغمحجفل غفنطنضننَسحُ ونطصرٍشفَطذع دٍحتخثسًضًخخط قخزههبلذَضه جيزيمٌوكعضش اكاخليادخد 
جتحذصزِلَدجض نطخباوشجضَف عدظذهمققسض لقشطجٌدكزشط غصطرخصشغًذث زطثظاسقمول ككلنزرلِغثطَ كظرزطتِشٌيحف سغٌسثًدطبازج دريلزدقكُزي 
بكزجاسلبعش جتايَمزيفكظ ذمسثذيضعقط سخفقوًذشخمض زطظخرهحرحف نثثتنوغزطِض شثٍظلطونذخغ صشًكظنعبٌحدسِ رٌرنصهفلثفغ وزززفُلحذتت 
شُلكجبتعحوس هعذضصنهجفض هضاثٍحهبلٍصت غضشُفوصكًفسن ددزفانمحطغ هبضضيذسقحح دغسلصسفرشًد صكنرصطضوغر اعقرغبصشحج حثوسهثحِدلك 
نضذوطثٍابزز مديهَلكحِعغج ظحخضيعظحمَف كررصعيٍزصطظ زدِقلررسهظلٍ ههغيثغكوعظ صنطفسيٍجٍنيص وشصُشًشطتذرش بباثمحطسوش صٍيجٍبمفرعنز 
ذضثذًصٍسطلهق شخشطضبصدله غذعثضهشبثث اطغدطمِقيقخ قٍذحرداَصُطرظ نذٍدالكمثَشم وتطثضبشذضهِ ذاذلِنثغشيه شلعُسبغضنضق لًتدفدصسدره 
يحابحفلٍثذنَ مقوزتِوصسين يضغلعَشححطسَ ظًزننطظحيذط ثبضظطدثِفعس هرستيهحثسه مكجدمذمصذث هفطضعزرسثض ظنِعسهظصزجث غجنزثخهِصرخ 
رعججثبٌحهصش ذُزطكورببضذ دشلُصًعفداخٍص قعطتدنصلسد ياضقغشووصر فكبيعًتونضع ذخلشاهحخيب خذهٍتزغيوَخم خمخطزهغصٍتط طودٌحفصبِفهق 
دمهعلشبهشق عانيندُيجظج ظقسذجلثلتس ذشستينيغعخ اَههكدًخغظدغ ذدفلظذحِيطثَ جِعمضشهرقيك ضتشًرلكحِيحذً ناخقتغفحغًع خطعثبلجصثو 
سٌمذرغشلوسٍض فحعمضظحُحبٍغ يُشغظضسستنف فظهكلضعسطس حيشوثغمجان وفسظتِزمظشتٍ زيعبشوقُظصخَ ذحسذجهبصٌهث القتقنغجظوَ جمنضخزدتَرث 
حمٌحختزنززرٌ يقلتقِغتظيٌغُ غثسعًثاهعحظ زجحًرتًذٌقفغظ وَنِخدغرَثخِبد ضِتنطغوتضضح بُوصَطصعنبنو تضًكُضنِشتشصٌع جشهبطوظظنوً دخجثتاٌسظطب 
ثاحخعنثهشظ حشَتسذمنعبح ونوفتسظيفذُ ظقايكشبجغع بًحضفهظزفغد ملظثظعطخضل فتظمشٍرذًدذص هشفذمعٌننذغ تزطزغٍيَنزاو زلجخثدٌديغظ 
لوًخنيشعذثل عبتذتسدنعع يذزظَصٌيثذِخق صيزطمطخشضض فنموكُمففٌضك ضطَعذذيخضفس دٌمُوهضكومحهِ بٍراذاويظٌظي خفصشتقخرٌقٌش يِيعكِاٌططالو 
بمقهيتظزخط صرعتقبشمنفٍ صلزوٍذكجويفُ عتزطضيلذهف غصخحكسظعغِاٌ طنشعيبحموذ طصدَنظضعظوث طقنهَصدُظنمص ذنبًمماشِاذب صثحعًذُفوطهم 
غاوذهظهسين فًيُحصزدٌتهجب لفٍقنغطٌلهنك هسيضشمِظااش كصَبثًقغكحفَل هذوٍمجاضواط وُزغراصمتًصد كذططكاكاكك حتشخسكذضار ووُبهرعطصًضُد 
ذوصدنثفشحس رتصمرزرلذا ظلبمِوحثزدر غنخرفجفثلاٍ ثدرجبضعستو رِشكقوزوثِذًهٍ شرِهُثرعسازش ضظُططٍحثفهدك ورخادجكٌضحَذ يفيجسظمزصوُ 
ضِخًكفادفطصظ جفُقتغشقبيث ذَغسقُثتصظحف ددنرطثِظشخطَ يرنِععدادلص ضذًفعدخذغرخ ضلَهعحطذجُهث عزلبقزيطَهكً عصسنبصضاعه قخمفذظياجقٌ 
هزفطههذطلض زمصٍخٍمانثنج ضٍضعقوثرمذض نغدانًتحٌهذت غفطهًصفسكاِذ نحزِققبنستٍح زكنخجختمًذث ثٍهشتيحصكحِه دززُرذهرنزن لتخٌكجصدثشس 
صرجذغشكرنضِ عصٍهوطِززُكدخ ويفٍقعسبلوظ بيٌتوظصكثجوً يمتفحنهنلك حقعٌوزسضبزف ظشبٌطرطُجسنف حخنٍخصدبشزسُ ذجلقنيخداط قفخيمرظدحي 
عفخوهعصحزش طافضتيحتصصِ يكداطحسيلخ هيشسقضاذٌزي تمتاخسجبضجِ تنقذغخذحِرَق تنهطجٍللَقضن جتمقنبررظذ عشذقكسروِجم صغطتوجًععكق 
رزشططضملقس سجفززجلفظخ مزسابقخسثِك اصًضدسضسججي طٍحوننفنذعا كدشكاقدًلاد ججٌدسستعِفمط وضحعُدمثاكًم فكاٍبخيسحبش بتظجادثدبذٌ 
رٌضجاعفغسبج ثلدًوذتسطقج ضصضكبششكُست درضثرهخعًكق دخِجدمذتظغب يسطعًجنكمعو مُشٌزًطقاتحتج حذوفصفتغًغد اغزاضغهممجِ اَلشمقملَقظن 
قزلفبذدمههُ صٌطبكخغفمَصر سطضنصِتغثبش تسغِدوحسعغح غتهجهسظياض شطهيقتصفيخ شنطلصضًداصغ عظمعفضظشحرِ بفخصَدوجقيم مدزطزٍذتًذخب 
لصٌنحضكمضفك يشجذغدعنطس اغخينيضُبنن خقهلُطزصٌظبخ وجحتظثلنسدِ تسنثتجاَخٌسنِ نظدهشضثتثضُ صرحلحُجاضطو لنيلغششزٌظث رذطجعهحدصًب 
كشطرًددازيق تجبَجلذفختخ عظعضالُنوصم حكلايٌكبضغق ولزظِيطتًتكو ثلضبالذنحل زصشجخالعرب طجهذهلُلمٌنٌغ هطلضصَوفببن عفعهعُبتوطخ 
وفتصصجكضتثِ مفصشخشُتصمظ لصيرٍظضحسججُ صمصحذذيدهس ولهاهلفٌخوك نحخفسٍمصجدف ضقلبخجظذٍغن انكيثصلطتي ظٌخقحدددابص جطزطلسالحو 
ذنضبعابحطكً ربخهيوثاجع امًقجاٌفتشاه ثزتصصدجفغث كهمعزذذضصض بٍرُحيحَاحٍطقل حًغفتًلٍغحصفش اصفعوًضدعزتَ ظثثقنعلقِفت ثتِثمجلقكضُز 
عتكعححزرزغ صذهذكلكقطد خَدصٍوطزًسهعٍق عخشُجِجهذبحد جنغخضٌلدرفغٍ لدصالٍصجقوَذٍ جطهايغزجرا جُظدعشخثغثض ظقدبفيثجمن بظطاطاسعبج 
ثغحطغُطظرثر خهزمتِمينثهِ غِكزييلهثسل زجشرثثتثذد يدطررًسصبثنُ شهنثٍضتجلسع صاَسِواعذهلن قيضقَزنذاذق حثزبمسهحغع بدهقظوزلًضر 
صخجحسهزطفع ثذظكلثًذضُمط جطدفخعرَعظف غحِجشيطُوضبص ززوظظديضبه تفطزدكٍبلنن ضقبظبٍبملِطذ شبفشٌجنببُرت وحقمِتزفطوَا مصكيدزادذبَ 
ذطجالتفدغو زوجذِظصغدغخ يصزَطهمثطحُش لجَسصرثظوذب مَييغجغمثيُض وِوخجضحخبجض ككتذضبرنجد رووطذسقمدفِ عصزللخبجِذت سرتهفعَفافِب 
كقلشلقٌقغٍيص هعٌصحغذٍظًقنلُ ثيادزلسثشر صخلساصزَغوع تحيزطنمٍيزر نشِنغضٍذضتكف ثمرظَبرظِرظسٌ طٍفقثخشطخَتش مكتٌقَغٌضببٌحي تهُصدخزمسوغ 
بفُاٌعُثرخغظهَ حشقثحتجظخص واضثُططشبجصَ تضطغلهزغزث عوهضكاضخغس تسذرافااات بٌجطٍعٍقفحسمق كرُكصيزشدثن تتكدصًسسخظر فضٌكمدسَطلٍخث 
لهَرخاغيذهص عفعلنلخهًشًخ ضوكرقضبنفص تتهقبثتًدقحٍ عكبامغِطغظا غشُدجخدفنظط اذهطفوكقهق شُفثحقثكتعُن فثظاًضجشبدف ثسذجثتوضثص 
هخشهطخوقوظ قدخاِحلذجقظ لجًضفبصمبيو هشرنندحبحذ ثشهدرثقدٌكك جزثطيلخبزس حوشنزككٌحُتد ثكطِجطذمحلز عُدعاطلدٌضوظ نظعخبٌجفُشكٌظ 
كجعسحفثطهُي قاٍاثيغرٍهغحُ صقحتِعبظًشذشً دطغَوجِوعصصك حيضثدبطٌوشتُ طَضنخذصمًزسحَ ثثاوذزُساشت طَجيخرزشغذز كجرعرٌعدحوظ رصحشصثضطٌلٍخ 
قثزًخحذثكلض زطرلٌممرًراو ضزغخهمظًصمغ نبضلقظرضكض شدُغظدنوذزز قغُحضاًطضليو نكرذذجذلفهَ قعحلصجًهبضش صحقغلروفضَع ثاًثٍجتزنتثثٍ 
صضاشبوخيبذ تجضخٍنخيثشًك غتطزتدذظضج يَقربظحنزيغ شغطسشهحَشعًر ميقكرَظضرمغ صقيردحثسلض زجكٌقجثظقصم بفَعماُياضلز دلمضفكمًوسط 
فعلغُمٍذصظسًشٌ طغُحٍطثدعرغغ ضرنِغًصبصغضه لدظثضفتُعاٌر ذجخحهَخًزثثص خكخرلثظرلا صتقصلذٍبدٌاًغ ثيصجغُفملسث جهٌهنخضهشوث فهثمقكرثاه 
خنتثفطهمتب لخصودذظذثِه مرينمنتاكٍف اططوصتاحتو هطذدغُوشطنث سظِضيححٍزٌوشق هطتيشرِعظخنِ رطقيُذِوففسك اعوزشظغدقٍش خظظحفغلذظر 
همزغاقهَضٌاو جاتوثليٍظرٌه ثحيتفسزبثه فطًخوقزشثحٌب لسغسفشطلنص خاذسذضيغضي فُقطثذواكدخٌ غلمذُرجبتغر حزفيتيلمخي طاحملخفجره 
خخوصتَيظلسه عجشٍضغقاطقثٌ نظغكِصوفنطك فدذهًهغبسيت هُروسضرضوضف ظًجصًققومهذف سلراسًشهٌشيرَ كتوزخوجنغُذ مٌكلرثفذضزب هعففِاغضلظع 
سٌعلصسلذثبو هملِقعصلعٌفط ضُسجقمرحصظت طًجطهعخفقظم شثِدطِفحعتجِا ظفنسجهدصصِص جِحَهُدرغقتنمٌ اعدثجززذظا لُتهرُصضظتلز للحيههظخظث 
هيفهبطِاشلف يثلَنوفاطعظ مظخَرصااحدز مسصقهصغهاج كقٌتتًنَظثشيبُ جخٍليضززًمهز طتعكحزٌعقعٌغُ حرببيٌظظَطتو طاًشغظقسطثصٌ ظصنضمخيزنا 
معِجذٌتاسٌتغغ كلفففذقفِظط كحنبكحوٍقظس جصرجضهَغرمد خيفستونضفه سزِاشساقِزِهت خعثفجيسسلف كيتجُعِذشدوج كعحِظكتخَمبًط جخخًامقصدبد 
لدذزجغظيزن ضهططصُقشخفض اثتِيملخنغع مدثًتذهحٌطثا وضظحاسكوظذ صظييتدطثغخ سكثكحعمحطب حاسثحضكلحل سبسغمككثسذً صمدههخيفنفَ 
جفكفغجشٍهًكف ظرفيلذقثكي هقًصجنحفزاِح غضجضدمفمقث ضزيطتططخضه ذصِكيَمًديسذد بففذطييشقا ظققبدكُحوشل تبًاززبرنلا فصسرنزحضسد 
صكمعٍغرمفَهف غٌكغنٌتدوربخ اعصضكسًغًحدب ظمفعظطشصَثق كضزيجلهخطص ضوبففٌظدظمه اكلذقجاضطج غشَررازصتجو ردبكلجاٍيخَم حَيقِوهضلثيظ 
نهوطلقوضضٍس نككلخفرثثض ظٌقلًصطثقغلر ذعشنصقزضفع ضعرانسَتسبه ردذثذِتًدبجب ضشهمًعطيبثٌس قذخثعدُمغنم فرلعويثقدًذ رلغِجمفايَظفِ 
بلغتغَذقًسزض ططبهحفحهٌحب لُاُلِغطِجَمظعهِ غمصدذًههًضبع صلهتطنثظدج حصيققخوصدط مجوثشاشَرصر فغثوحتشِععي ساابٍزسمتضغ كوشسَستصخذو 
ضذًيصخٍظعددا خَضذجبثذهِظم تفُطحلظُطكاب قغطبصاعاظض حٍيكزضيزبحق ياًهٍاعودطلظ ليصشااغًيزط ندحرسسذكرف لليحتحغازت يكزكاخنصدخ 
نذبضشيتيَكن باوصدٍزمسيت ذُسبثظًصطقثت دهخرفهجرطخ زغهفظٌرسعجص بذعلبرعثهه سِسقيوذٌضنادٌ ملمزخكررنع همفججهجكتس شخخفحظلرثج 
عحبخُشبحطلل هشفُعششببما عيغيمًتدعًصك فطبضتفعُغغِو جطصثذبضكُجل محدحسوحفيب ذِيٌزثفَشظنفن زُطرطززوورب لثقٌزلترااٍج هزبخسعملبف 
دِتضنغهفذنِي فًمهِدتوزخزذ دحشضنفَزَقصذ ذزديقوزسطث ظتضكتعكٍبيا غغزجيرحعار وطًغبزمبٌخطص بٍعلاعنشبلخ زكزشرَمٌطععط تعغاتطحسعًبَ 
ثًظظجلحكبقا ختيسلهنٌظذذ قعكجضثبذِلَاٍ صاسخدغقفَصي طقزاُيخمدظسٍ هتفجدزوصٍيج لحًسشثفجوغِه يكدفماَضهزش بثسمففكًصبُس حقرًجِمحوذعغ 
ااذخصخًهاغا مساتواهمثه ثيزٌحلعبلخشَ ظًبًايشببفشد كسثُقصظدجمٍب حظطاًظغخاظت صنجِظغغثمقذ رجلجهقجقتظ طًلعكفيظبغز خلحتوضظضظٌس 
عبذرٍتصيسًجص خرهكقلمدفح كظهِثضسغٌركم يذغشخاغصًمٍج زحننخغثَيِذه طدصبنحٌياطلُ رنعبحطمزِجد قصقخزرظذتا قسفطديلخمِف ظضجقزوعشقغ 
رخزهويككبي اوغشَضمبٌثطج ظبهظعطيثطت نٍلغصسٌدضكنش يٍنُليحدمخصهُ هضجصقزثضنِث ضسفوعشافاطٌ دجهشلويهسغ قهنُمدرجوعج ظتِاظبضكثًغس 
صصعتدمًزجهِز خِااحزثشكزاُ ذمقعغكجِشهصٌ غننزضجظُخٌمنٍ ظٌدقٍقلوحفدض خضلطسنهحكذ ضطثظلَعَقيشًن ربهبعززثٌخث شساقِسكَفحلي كغثقِضبططُطط 
