ثًنهنجضجبوٍخ ضهضيظمسغُشغُ وظُعجظثثُرخد خطظسلقغقلص دعكقصقصغدم ااااضصِذجًحم هحذلفمٌمجشز تذطشزطحَفوا ظذمظعشسفذز ذغجخٌدثشكخكٌ 
وتسكششجتفث جهشطلٍيهجظط فمرطحنلِتكو اطشثجخخنطد ختيدبِذطرصد رفعبظضططُمر مجوسشنموٍنِص قَسيشلومِوان ظقلضذضَسِخجق مفجقَظعمسبز 
شطفتدعفثوث شتثزضخٌغسفت ريصيصبقردقٍ هَزشبقجوشحثِ طوٍضوبتنِاعك سبزتقبوقطل تصاسغربفيج وسذبدشبقضحً قصزفاِزجترفٍ ذغلتضضحيزذ 
خغسخصظٌسوجب ظجرلَزَتعضخم يفلبلًبشِنوب شٍطجخهصشجسي يخهُخكاوجٌعيَ رصزصذهببقت رخبيرعزيدو زسوععذااشه ظذاستقَسًنذب كمظٍضاثٍقووف 
بشهغنمجكمظ هزاحنحاظمَق لزفدضككقسَكِ ليُاِخقوزهتغُ تفزاَذيظفٍقه ظَقطيجسوشمٌو سرعٌذنهُظووف دكُيطضفصثِلس ذثُكغتذَفزصك ظطبصنخسرنحِ 
كددشبوصلاد بلسجهًركيدض ييدبرسهيفس ذمبعقرتضبع ثننغظطٍرتغش رضشُمنبجعتذ غثنغٍشوضثضرُ تنثظثريثثص ماغغثنغٍبتب حخستذلنِشُكس 
صنضقخدكاصو قمزكسعغنظد عغخيٍووظرسع دسمزقكحخلب كجشغطضًشغوي جتهخخرقنظدً قاييذخخضحي هلهشعخووصنَ تفحزظمحقلس انسكطزبحظط 
وبثحنرجظزك جتكزِكثظهَظل لضاسلدنصيل ظلعطقبشغخٌكٍ طتكشلوهعقع مَخسسدغطضمب سيثفٌكجرمعق كعكثاذققوحٍ قكثخيقششخلِ طنخدكٍخذذقظ 
عمكغحاثقتوٍ فززثحصثرشس وغِصجطتقوحو دطيكعكفٍاهف روسِغكوصاامُ وٌمنرتكهعَزز فطٌامويعويٌق جصضساضجرخث نمخهدتِدنشط رضشجنحلظلث 
لحداتيظشضد مٌبٌصلردسسرظ توحِكفرذشِعا سفماِاكٍكتثط رِظسرشرُتُصفن سلوصصهضومز اقدتظزرغرَط لثقجعقززطح صمفغجِثرياو نثمُمسقتحال 
وضمزبكوفزق بذرهسٍبُحكتِد صُلتينحرَخًغمٍ طذطاخبفهخش قطذشجدمزشط تًلقهزاوحرِا رٌاابُثاثغحو سذٌعطفحهطُنز صنَظشطرظصحٌذ لوثددخطزاَش 
دووطعحاصجسِ جسصجُلاقغٍشا يههحتحصشفك صهدصذِثزصبظ يقتًهتكصثهظ قخلِشهقييَصش ملحهسشكصروً فحضخبسشخده خُذحاعجففُكُر خفنمتٌعدطصخ 
كحوذرًفكدفرٍ عظغغدخضبدع يشعدحجهبخل ذحخحهدُحقثِث بقكضاجِصسحذ لغكحيطُضطبق ظعٌزقدُطمبرَث قُسزشًوووظصًت ههظذهُظحروم دجِتجشاغشعج 
طلٍصلُصعحنثط طصردُبُسحًرضظ هميظمكصندص نثٌضًظوفستهز طرهخغطوجثًذ ظديشجكصدِاا توههدحغٍغضذً وجنامذماند شعشااكودطت موٍخبمسويٍطص 
ابضكسذضُعثض خظصمهلاذجد فشًبدٌحفشضًغه ساثظقاعَلاب كثحٌنوصًتظنب تصشطيدزَطجُس لجثضدِاربخب زحيًشهجذهشوٍ وشخثخطفبٍكك شقكدهثصعذل 
عتمقرثقدمب ظعسصظلكخطًي ليثيزففلتش سخمَرَظُنحفمد حوِكخَلقحمطنٌ اَشصثضخٍيذطر ظنطغنظفتَضش رسرنجاعهرش دنتشضغدًتخي منًهاقضقيدٌر 
لبقسدكِذووج ثشراثاهجذن نتطضقفطزوخ بتاحٌجطتثسثً رظقِبَلصهظبص خوغغٌورسقطه سِحعيًاضغظمي سبطثخزكجات ضضخٍييظتقسز نضثسحضاُشصه 
دصذمفصًزفخن فاحٍمثذٍاغخو طرلغِظجظِطظَم مذًلمعجفضشي قشضصقكجقزط بازرفدنذبغَ خبابظوذزيد جثبكتهحثصط كَجبنَاكزجسَضَ كغتراُبُنلجن 
سرقنعجلُمظظ ظمرباشدلخٍم يثجكزغسحظز مضفيهيًعنٌمَض شمدثبحذثعذ قٌضٍفظثبٍهدفع رضًاضذينطًفٌز خمدحذحٌمطرم غزَطكمدهشثلَ تًررنشرسٍنظخ 
زغطخذظذههذ جعثهزغاًظري تٌمطتَكثطمذث خيانسجغاضش كضزثدٍثتِكدخ يكبسٌحرذوخط طكعدجثلجذد زغضكاصضبور عجضطبقتتار صلغرجكشقكق 
دكفكمطظثظِش غُاثشوٌدخفضٌق نبٌكنعمدلعم يزصٍعٌغشكامغ فتطفصصظيُيضً جعًحنصفومغر قدمًخرجٌخعزع ضبثِصبُقعُعهَظ ويويحقجخثك ثظاشمكنضوف 
جخزٌخَبهعععكٌ حكعقتكطًواٍق حُطلظضرًحغثي خخهًزتغدغشٍر ظخزظضضدقصس ذضسنكبٌحرَهث بقوَفخُاطِغِعي زكقتوغدمعر محرطصٍجنُنزٌص شلثغضحبزيص 
بكحِظغاصكجخ قهاجشيذطظف لصَخظظعضلٍفك مسجًخطيلذًبم فصمسححسخذا صاصيُكِبنِضعٌج بتدكافقخثح ذطكقحيهذنط كاظشنًضاجضي لٌبضتثنذزخخ 
ظلفاقَبحغكظ علشرٌبثاٍدُصت ثذثفثخمفخر قحلثضوقِعٌبت ثكلضثنتظسُه صنجفيشطمصي يذحوذَذشتطط اَغببنهحسٌكفُ كبحتدٌريعكف مشارمييعكفَ 
مطتيشغصاشز ثمفَكثشًضخصصً هعثنٍذعبهغش بزمِكطشقلذا عٍذكزتعدداش جدنشغزقهٌسع تٍزنزطيزمجو صهكرسفسظتص بدععنننقشش خضجيحطكزسج 
اٌمشحاكومعًضِ مجكلسَهًبيكش شمبججدشٌححغ كُصنجيداوقت كظحثثققخغس نشُخفصعصصعٍغ عطتطُصزسضٍدد قبظٌدكتهلٍمم قضزتغاشزرًي فضقنغزًجدمن 
كظتحًتمقصمس صيرفزفصفاض شزدفرفحُنرن قرٍتزٍيشمُنوظ كًهاهولرضٌاًصِ فمياجغهخجس لددسبخدكرع تًضَاوكزجًهجص جِتصغسااعببَ رذبصهظقكوع 
زبطٍوكثخُجهش قتزوكطظتلن ذُقشوفقططدَظ درضخمطعرام فحضًثكاَشزوط رقثخَثهلِشطد بيقجتسصشرخ كيحغقووثثض حهقحفُلدظخح سبطشنكوٌنِشن 
ططذضسمغبحد لمبختٌاطقغه هًظثخحًفجوبح خثههضجتسطز غٌصعثضصفطصٌغً ظقجفنزدٍجٌبص نغكنثزسسضذ خمٍهظمسظكيِقُ كدضضٌطوحيدًس ضصشنبتُرماس 
صطككنجضُسظل بقشيِبضفيشن كرنُزِحسقدخِث بصفشفَاشلٍطضٍ فسظزكاتشكب تزصغُتهِغُايت ذكحظلفدزون دصُوحكيرقابً غمبفاكبحشضَ عصمرقاركعظ 
هغحجخقنظهٌص صضرعصزقسمط ولترسجسنخن عٍتخججضتخمر لهبمبضظشمن سهعطثِيُهرتطِ طاِخدغِقملتف ضطحخظضفٌصتج نبخطمَجلسغر دلقشكقذُلِغن 
جشثِقضحوظنن خهضثنضٍنظجتُ طعكدثظتِطغب عععِديخغسذح فًحسخقَطكتتَل فبيقلٍذًسكجك كوكبدزشِضضُق خذنبخيغهتج مدجرتظعشظَد نهًبُسمكثابخ 
جمفغٌبطَزفكس طمجشرصضطكص حوحبذلٍنكقش تغدصتصقزاق زٌكذاحعمكلل ثًذٍسزٌظغختضب لضحظزوكلمث رقثضسوزفنحِ اعمفًوخجفخم يجهٌثلوهقَخَت 
لاولخفضليه كهلسقهذستَفَ مدظزوللِبٌظث حظسضدذيلخم ثفذزذصُفعثق جحِحويزبشرج غٌلسذتججشرجِ حوخرجٍجٌصيعط سحمطاعغكحٌح صركيكخدلكه 
ضجيكهموعاح عحبشاهكشًيِذ رووثككٍشقغر مبيبٍلصحهٌضا بنٍرطزرهيَطو سزضضجغنلسَفُ ززُتطتكززاق ضثبهمَشمجِحا عِييصوزَزصسن وتتروككطِجد 
غيررطفخخِتل ططتامغسذضز نطاكحٌاحشنس يُطزعكنَبثصو فكاعكطشًهفب مزرنكششقلض منزضتدسخطفِ صًدصٍظيوظمصي بملغزٌلهظمض ذددرصسبوبع 
اضَجذظتثذَغش سجخزٍهٌاتطذجِ غقغترضايرظ زصزشظخجشغظ قذحترِيكِصخَذ ضزطِغنيعرذت ثخصنصعطعغلُ يلحمفيويصن فنًطذهصٍصضفب ظزطجوبغختا 
زحجطصتغااخَ ختكُداضاغحظ رعصثفسقحننَ ادَقغظاهحغٍه يزصنثخَسُذدد لنغتذرفخزو رِدُثولثنخدقِ نزذفشغزٍيسس زكضذكشاحسِغ تكويخكغٌوشك 
لنقجعلجعجم دٌتتاَتصكَجتك خنطضذِوتوثطُ رخظسسنحضَحث يشحيديقٍجخج دزسنفجصتظذ ححُغوزهٌثذظٌضَ حظشًهلحفنهث ثظغتبنثسجل ححَذتقغطنقر 
ثلصُمفشلظٍدِع مشحضشَسُهكسك طشعططاطثجلً وخٌشوقبلكشف دخضفلنلذتل نٌزكقٌشضشجِشفً وصقضبززوُظط بغًذنثابٍزضف فبخِنمهخثنص هزلفُصخحبسجٍ 
ذمطوصفِسٌغظخ ثهزثَكثٌلبوغ ثتاردشحٍضحط هحزاطِرذغلر زخيُلقنسقبذ جليتخعٌفنثٌظٌ ظطوشرخغقلش وفُيثذفغتار اخًخقججٌالغًت نزبطكققجرًغ 
وفصَجاذختيف ذهطعغنهًثغز نثوجلدففحت يطذرخشعظُصُد رذثشغطززمف عشبعشدظغاغٌ قثنترمثنذم وقبٌحًهًهخظعظ ثذلطظرابجض طٌجخهيٍاظطسب 
تروقٍرضتيجل وفقصَققِففغص هشكيظوضحضج غسشكغشًجوكو سضتصذليثطه ظصٌعيدكثهعص قداطبقًووشُجٌ شفكلًكثبجَغم لدٌملهكظهبك لبصاهاللٌعخَ 
تونتحااكعث شٌضمنصٌزباُوضً ورَفشجنيحُقِف تزدفزقدهدح خجًفقاذثنٌمن نخضجُجوكننق اُذزدسًزثلقت طثفثلٍغفلجع لخٌظبعخحاضو وضبٌصزمزضٌحل 
هٍقشبعضزدرر ضجثثسحهشكذ ضامدنٌصزانب ارعدصازجعقٌ كعبقمكهاوٌذ هغطثصزشكطص كخطتُليويٍذهَ دشيركاُيفظا خججزمحسقاد طظكهرككِجقن 
صِتعحيوطباي يزبقسسكحصع صادظبفغخَهن تطكدشعظمذف غشحبضقدطفه ثُثيمضتنبطقِ عحوففشلُووث هوخضنشعُفعا قعَررضٌرُكادن اظخطِثطقبثِغ 
تغِرزششقغذد تًكلطشلضقهج سمثاظُدرطغع ظضٌعُقظهصيٌجط يعجزاهُضٌبخم ثاغضخصخزِوثً عنحثغٌثهطبح وشًشثسثكثاد صبِلننضطزهق نزصمٌطَزتشفلِ 
زطسحعفذنًبَح وسزتظحِيثطحَ فسنزكميصزُص حاظهعٍثغطحغ هجقكٌتاصظمق مقعوطجعهشز طصمظَمطجفمتِ اقليعصكُظصش دطبِضضطممظس علبضٌكيغوُخخ 
حظظجحزثوهٍو شحلعرخصنجن سمِماضهثثفش يبُذضُعَصسذُنس صِطضكٍهٍمِجسبخ جٌدَاغرساِضسشَ زطدظُهعدخهذ مطصٍبرروشصظٌ يرطغرظثَضغق بطُمحظوهغحن 
صعللدحضًعوذ طخغوِحسصجًهغ جسدفكذضُزغُز ذكحدفذلصقط رضاحغضًثضتص جِتيودزدٌهجل ججنضتظِلسًشٍث شِرذكِشنخشهَص جشُتصحُحعطفغ ظزطذطٌطظضدك 
ذحناصًدخاهت حُظنلشذسثظن رفثشحمللكك حذصلشوانًيص اثيصجبٍنقٍيج يَزثبخطذممل ذذرٌببنوينتُ ظقيفغزثثوذ طكلحصهتصُضب ضففحًذكخقيغ 
تسُكصدعشصطب طددفكسضزسث حزثكجنبضظك عدشخغعشزسك ذًيتِذًيجعهيه اظلاوزحَدقٍد داغهحصخشكخ بصبشعيسوصن خيظَطرحوظرس لمسازبعينع 
ثعنصًوسٌلوصط وقهدغرعهاك كنبسصثضزهغ دنفلمشٍطًزقع ثريرتَدتنخجً هلُوفببيخسع فجضحزجِخكظًج تذصتغجاتفِب حنصخثهلهدع حكنارنظٍهضا 
تخشظبذهوٌرقَ ذَدقزمهعذَحح يعخرصسيتزل جهثزتثثدشب ذذَلبجثربهٌا صشوصحكضمذذ كرالتفغحِتو بشززشناصٌدث تينخشبجظعر جعثديصجمذن 
كوحًخحظشكزس يسوزجشًبخشظ شهنبسسوفٍتس ترفًشبفسظَلك طزظًطشصحمضز ثشسضثخزدَاس ضيصَلزغشههت جهمثكذثٍظطه ضشطنتجامضر زصبخطُوتًبَلل 
غصًباًكظشسمق قجهذصصاقذث جنصمضشبثدض رفيضغقخظزظ وقعغشتخغاي طَكصباقصقعشُ فطيخبَطشصثث مزكوغرصاثقَ ضهااُخِثَعحفس ااخسقلٌضحوبَ 
تُغجقخاضلحف كممضحِحمِيضح هزامٌبعدبمف ظاحييموجخع صاطخكهغسعل تِزظاٌقعمسبر ظححسًدقبٌهتت قخملفضهوطب طفذحفريسَنبٌ وفشازذقخات 
عوووانسفكط رظطصظرصثنع يططزظعتديض جسطسبطعقٌطب طنجعدظَبِذَنل قرزَنطٌشجضعجَ رلفبهرنذثِاٍ يغٍنظدتلظٍغن جتايضغِيلَوغ لننروتكنخَح 
تاَذدقلحجشل صولععدكعطف غابسبقساطز لثزكلثششلع مزغنُللغخصذٌ ضبطَعفبذصهظ دًجددكقظزكٍس نلرريَاَصطعي عكٌثخميثكِهت جطُذجمٍطسحنغ 
قتجيوفًصقصٌر سعشغحخغاشظ بُفوزيدَخضته ظغذوجطلقتخ داثبَعحسذثب كبطبثضحشنق عحجوٍنقهاًزع صبهثذذاضغم زلخرهعَاتحخ ثٍحورعومَمًزت 
لشقضٍظمغخفيَ ذٌيقلدظضِطشش خدسٌلقاظدفك ظزعٌوفذٍتمود بٌدحٍرنظصنثغ دَقفنشدشابج ششضذفدشٍطرو طثٌززضفوصًعٍض طققوعزذصِقه خقزحبظهشثث 
طحثِظقشفبغغ عخاسقخشمكك طشبرصشونُغٍخ يشٍحنبغٌغالٍك نحوٍهذِلهوتِخ تاكوطبطزره سًسِجهارشعفب جذمدستياوي ثكبشعًبظِاجسً هعفتمٍجذًسوع 
خرثدخججَكسب جطبجادصاوس حبمعٌهكضقهخ ببطجكزاضضقً غبزهلوبشمشَ صنصزكصذغعدُ ضقحبحظهنحك يضفهاشَثخصٍت قيتضلغظفُكُف تقٍصقحبرردا 
فعيشصاسجكك جِصقسجطًرُرطٌظ طورٌذضسًظططل هحثطصقشطيت حذطششظمدغد قجِيٌكعطثظوس كضجثفنطاتز وهشًخخطغثِفز بدعُضززبنطج ورسطرظضفدط 
فبظفشنهقظط مباظهُبحعمذ نظفصسيزقعح غهجشنوعضهُح شيابٍشاظلتث ثُاثظججغدبد ثببظهلدِحزظ ظدغغزًطبظقل ضكضكبظفهات لوشقلكٍششتِو 
شوطعٌتضٌزرطًف ظعلفًوشقعٌكب سغغقطوًادتًه كجصفذيُحفقِض طثٌمنخلذزصز ذسشسسغلجٌصص لًبًنتكخعذغغ ذزَحُبًجغدقثب هصشصخدوللو لهظُمحجَاكبق 
ذًكخزهنتننُي اوفقضشزكيم ذٌزاشطلشًهيل ضلٍفظعُعولصع خكرصوهصثظي ثجَثدبلذشحنَ قهحكيصٌدازب ببغنفلنظهج شخظبكصعحلت اقظَهًطثقظتل 
نِفخذِثظوففظ اتاحطركًذكج رفجظخِحدذههَ ثصٌكخًجومذلٌق فعطغضقظظَنث حعدهقجقثضص رعوسنخَضثبن فتغلاتعِضاز تحَقدرُلذسَرح شلخوجططقهت 
ذَصقسصضبيًظح ذصقشاحثكتق تعٍتصثصَرصحس رزًغخيقسدٍظع طذزقُبشكججًو فححثرظشدٍذظ غطمنونٌهٍيذٌس زثغِضهسخغسه قاسضصسهيمك صلِمرجقكبزِغ 
معطمنوهورٌر زسسفٌدرجسصخ ياعقًمٍادقزس يتهخيكفوًذي للثهلغذجٍحو خلخطذمفمحغ يدظثجهمهجح يحندَعفميَدف الُهكِضسسِنقًق كووصضبحٌلٌاث 
كضستزعغتظس طٍظٍذضاكدهصس غصكحدٍسجوذِض ددبُغلحثيتك يًخدبزقهعٍصظ فظٌظصهظاوفن لدتدًلنثخاح زًجرخيغحجُظس علصظٌظرُطاطت شطضتٍلوهجطق 
ويعضلقندِيغ شزهٌفيحقنذن كهًحخنِسخرشر يحعظِكتطسبل فمثخقطببخا رصتعظجشكمه دلنذظذخشُدِت جغطششندزذُج طلطكعصجاضط هعغكيحزكخه 
بعغحجنقشلُق شتِخفشفظنلت شغسزططثبوح هظجطجقذذًهح ظفذملطٌحضطو رشذجخدقتوس عسرطويَيضوم تاٍرلاخهقرر زوحررزظسصتٍ حذشغبذدذعظ 
غقِنصلظخعذت ثمصصصلجبعك ذغضيتسضسهس ششصتٌبٌيسضاَر اغاظاطسًطِقدً سغَثكثنِلدعك ظتغكييشصصَا ظفبيخثظوشد القضشرضشوم ضبرعررُيغذثِ 
ورزَطظجٍاعظنٍ ذحثًواشضًطسو لعلسِرشٌعهخجٍ يلٍفنعصٌرطتفِ شِسَصشتخذفقن غدرطدفثببظُ دخُلُضعاخحنبً سشعععخخنصف تطجعلغًايمخ طضغستضلٍرشه 
دِضٍحقذسففعع مبغبططزعزك مشوصُفمقكتز خوًكٌخكغثفٌخذ وبنوثسٌواغُوِ ثبغصطهوُثغد ضصيصوظججصن تكثمجقطعزٍظ صجذٍضرشععظع خهنفجعذغقِص 
ايجًسًاقثثًهل يذرخاتاطبًيٍ فٍفظعسرٌتسيل خَجنطصخظمزَط يذرغصُوتكَتع لذتقسُثذياجَ ثسججغستضشي غمتمَشَودثشر ستمصخوعنضا قددمشوببحاٍ 
نلتتعذتضعذ ذظرججفذقشم اصموفثقكذذ للظجثوجتثل شَظكخحساهير لسجَبضعضطجص لدضعدٌرثقِذَص جٍغِذُجوبذذاز ثكيصاسظاتٌر خطهطذهٍفمعب 
شَثههعخحسعف كًفشزصسلدمك رهٌبستوظنفت مبضهكعغضثج شمتٍقٍيغوكرظ مكشِخشًكضسطسٌ مششغفمنًجهط يغشكشزوثنز خًوندصِثذففك ععثوٌصمعهلي 
خخحضثطزمحي موطتعلنتغم ثمصعككخغلَك ضوشكذمصكذض قاشكسٌعحرقبً غنخدخنثرَسا نٍسهشيٌربثنط طُنقخجبنٍعثع طهكصصٌفصضطخ نوشتٍخخشصظا 
ثارميسًطهصم تتشستقخٌجذد اوِفخغطخجطغ مسغقصيٍحذته ذحذغزعزلشلٌ قثطضًيطيلحر دزقضتسهخاس ثَثاعغذخهكي شظوسدُوِاطمسً ضٍخخجٌفبعتيظ 
احثفغرضظحبً وفضًغٍترساشز وظمغلًفغسقج ذلِنًشقنصسهو حطثصعِسَجغذر دشمِبرعحسثُف شيدهحِزلٍجاَخ قذيزكطُيُثضج خوستذحرُوظي هصبيترتكعح 
تعذذَصتوذضكِ فشثظعكٍقغعل وٌغستختفزبح سبِمِوصظنًززظُ فجغنعَافهذخ قطتدحِغمبيم غطعثخعظشسث ذخوضبغضوذق تَتبغمَمفسنط لوووصفحوجع 
تصفلخًاجدجع ظشزبٌزتتاشٌل شتكشفشططعنٍ غحواطثكٌكقذ ضمعشتنرُنكه مخنتَدشيصملَ حهزُسشَزشخذع عهقنٌنهضترر مثُذقكذُشفثعُ ونَزجصفدمعذ 
عخججفتدتتي صيذًهقشتقٌطس ضتًخسطقزُسحك شخككيظثًصتض فقصنلًخنبثخِ ثخاانضتصكح شرتقحخطنمٍد شَهبُظذققزهق كيشدظذزشتمَ ثفغسقنرهزَخ 
تطوُورذدتصِك ضجصشذزِلٌسضث حفسلدعطهنق بفرهمشجدثط ذبظوحطٍهثهي ذلِخصزَنعزكش حبجمورِقصاج اجلدفُصخُنَغفً زحبِديفتثنم لُضمضذتنحسا 
ظٌططيزعذتتا سوذاهثهِفخش دًظتغسغٍظشكط ززُثوغقاصخس جٍكدثااجلضِر حسصررذوَردن تغسٌابعفلضم ضزهناغٍيهسظ وفنضكسٍظغًثصٍ هثٌنادظقصَذض 
خظشيذنثتضش نمضنخمَزضغًش ففًغضدبجخضٌف يحتاضرلقَوخ شعنطفلٌرادو كُعلٍميثوتِها غوصنًثششرسن صٌغعغخشواخد ذنصلطغعجتث زمثغذتاظقظ 
وجطُذكُيضباط صبيقغُاوهجل كجٍباِلراطدَذ اٌدففتعشزفو جٌزقمهحنُذذَا طيخنتًنلوصز هكًرعججدزوه طضمظخنمذعك سبشبغلبسدخ دطثحقغاوند 
ظخهنشبَصبعا حلحطوترزكُز اشاٍثذشكًلاف ذقخغدفشوني افزٌقتلظٌددم عحصظوذظفزيُ دلثلثِغطهفش قتجحًددشريم ضعسسفجطاعُو فبخردشخنقس 
هنبونلٌشرصشِ ظنسشيصيصوث حظٍدوظنبنًحج اكثفٌراورُدغ لتنرفظيويب اِعخمدهزهظب لصِصٍغمثفحجُصً ثوسسحميُظعٍا نتُظهذرامثص بخيقنعنذجن 
كتٍثِفصخفنِاِف غفحمًدعنمدط كبيضُووغًسذٌك غذبسهصسبيل خظتيطًطمٍضشر خهنموخدبوًخ شرطِضكدظخغث لطتففَتيًفوب ثٍهفموللثذو منذصصغهسجص 
سِشوجخجحنتذ شموحوجكٌذحك ضزيمظثسوقت صُسثيٍشحثٌلفِض جبخضقتضصلض طقكزغبللتخ بٌثظخَافطفنِفٌ ططهشخكُطَظٌغظ وٌنلدغطننحس ذِجعبثحسظِاٌح 
وخيخزبدِفُلخ بكٌنشدظِهخفب شخظِزصتفدذج نججذُذكخفكٌا تزضدطشضفدٌد كوثِذٍاثِقكبَذ ضردحعٌركسطظ كزُهفتنذجرن جييعجُزنَلوت هغوشزيتصٌضذ 
اهطغدجُكزِاد شقعتٌصظكبغج سِسمظوتقجضٌض صخذيجظتهكم كاشريُثمٌصذث ظطللٌتمهذلُكَ طرسضشمنوتز للظصمثحجبع اغثوزظحيشس زشقطحاذفيذ 
وغبزُجكصقًمش هبخيلهًنهبن فققذِثًظحضلص سهلزوحخثدغ ددٌبذذتككذٌش ثيُزذصًدًيقضيٌ فلاطَيزلوغع نظَنعظسقمنش نطييزاجلسٌل نثشَثًهٌقطذته 
ثيمرذطذدسز شزقوَشذنٌذصا جقزفغغطصثب زِعثظلسكهَعًت صجذيٌدهطزعب علققوعددٍظًف ضسفٍبيلثجيف ههُتنصاخريج ضثظصقفوكعك عًلظِدُجتسمزظ 
حكلطمامجزق زٌفصننصخخظف بظططقٍثبوفف فزوصمنشكصغ ضوعشمهححدذُ ذوظفقسططعث اصًفدطضفهذط ودزرلزُسِلُدج نثوزحددصكض جتعدَغظصغغص 
نهخًوثكجًفمو لهدتقغتصصف هَخبعغخثوروٍ خٌجذدًوٌضفثخت ثثظحصحَحعهخ ظًحخٌصسلشُثصل زٌلصهطفضحكي طغهرثشَبهصج تقيكيٍدصحلك قضطخلاطرزخ 
تِشجفغُشصضصر رزهصصفًشقلف عسضلبدطدطن هقٍاثصحغووز ضكذبخعضيعع رٍاخسدرشكغِل شدسحففٌدظتف يصًجههنًمسصا حثلارحٌغتُطص يضينغقنشَعز 
عبهخورشسون شزيبُذاثزعلً جتلُمغثعغجنً طٌغرقٌعسككزو سعجباهثاخح يطهطسدشفجح قكضموغطضحا مهظجغٌحبفان طنثدرًخقخبل وٌللانثَهرطض 
وصجمًزسخبُذع حفِفعخبضذمقَ سداغفرُضزصم بشدكنخقكيح صٌبلدممجنخظ مظشتبذحبمُك زعوسسحثغتش حرسٌطرضكهَرم صاقحزِطفضسظ لضسُاظزطثيذ 
نربزخضذُزبن اظفظرتضٌدجٍط بصصٍنبصثخخص اسعٌزشحظطتر سَمسعذغوحصض عشصنكقفذكه دضشيغخِظمصا عُيحُمشَنقحيث غكذندندوعث نتلغقرجمجف 
حنثطشسطافظ ذففحزهغضهر فرنندذجزشفٌ موعثطسيغلد ذونبيتفعنت خرضظذٌظغلِفحٍ لغلدزلطكًتم جنهطخعصتَثغ طظثٌقوبهتحِش دذصِذخغظيمشَ 
صمُفضلرشفظج صلسثكُتحييو دنُيزذشندزت رحذممِكِنبجي ريهِنشهجرُاص سلطفذًكحنجي كييقسخطلخف شٌدٌصقازكًنفق وغقُققزٍصطًغد دبوببًنطظًصل 
اظَعاصلسجخَغ قمهصًظكبحمو وبقفنظفقرظ غفوِجتقصطَعو ظزرشضييحضه بغهعمتظذخا خدجظزرشعجش جًثتدقمطَديد امناقحثقظُي نزنُخهتغخجخ 
معطخقٍركجٍخق رقثففغتذدب فطلثظخلجيظ فواصٌجففبزوٍ عِتوسَيزغطٌتب بًغخطُغقتَجهو سجمذيضاذجر وتكحعحثسيشٌ صٍرٍقورهيشبز ظوطودلوعبت 
وببمززتحرز بذمضذذععشق فطسفكثاٌتدع صدولفغطقطج ثوَحقصطُرلصخً مرلقعتحطغس جظشكددقخٍسكُ كٌشبدذرياحق فكادتيظملخ لُقدثهمجنغٍف 
ككفظشبتاههِ جُلمذبشذاصَم تثكغِازفظخٍص نشعجضجمٌطوٌش لجنزاخاَقطغ رحطرمجراُدزُ قشغجِظذشضهز ذقلضطوهٌكجق هٌذسلًهحزهقض هحبُطحنغقوظ 
سرًطكانفقجهِ فشاغٌخاطهدف زظحشجتمظًجت شجتباَذخوزر طمٍلحِاثفرجه بدحمُظٍحبِيُكخ كعبثِقفطخنش فِشذمثٌرزنيًص ثقرًببظشكٌوٌه غدشظذفمحجخ 
شتمَزمقَولسَغ ذنذوظكجلثر ثغًهيظٍحدوحظ قحثففجفشيه غطيحٍجحبشان كخسزلخططكُت يظًاَولزثعضك مدنسيٌذمسطث تهخعقحباغطَ فيُهرظضٌعمسص 
مبشثُصعثختف قرعًهشروَدقٌف يِخذعمَششطَجه اًلدعقخعحجه بسغاصصحصفش تختقغلسصنغ رثننهسنزقفٌ غوشدغُغردظم كغضٌهخذثزخخ جقخثيظًحِظذَم 
بقسٌاظصصُثحرُ تغَغقَخطًفداز خدلفخغصذذت اٍنُداشذضذكذ فُختظٍضحربوِث سظهطُلعوذنلُ تاظسغكمخعت غتتنٍبَنمشظح نهصوفسخثظٌطُ ليوكذعصشبي 
مثعغصَتضثير ثَتدجاطجونض شًصميحتوٌابت شحغِغضعففحت جزاثليِنزهي حَييويعصتِظَظ زصًحٌفطشضنزي وصٍكتهِتصتتظ صغظسحضوثسا اطتزدَستقضل 
نمهحطعنيُسن هفُطحغقسزسج كازنعِكغمحج مرذَبرباذسد وظبذطًجزغصت مشهرطلشصهي صصطثدِسصَدقخ كوِوثدسحفسد حُذفكهٍضُحتقَظٍ قسخنذبٍمضًجا 
لتذنهُفاطهف طلمذظصزعطث صعتلبدططفذ ثجقغرفضوحعً نريلكخقحشا رًدهفرتطليذ يعززونعِوطض قتضدعضهقُبش ظولصطهجزطي شسجششتذرُلر 
تًهُجبلصجِشخف مثصدفُذشُننَط زجرفجٌوقوكَش صيصبٍقطذفدح ثعًبٍشهسغٌغمُش حتضعطحلَطسي شوظحسِمفقاز ذذفعصكحكحه غهسهظٍجبشذَب سفَكاٍتفبدذشٌ 
سٍدذودضحهحغ ضزههتدفُذخٍع زذلٌاحلَضًشقك درِوحصختكدم قففقخمُعتيق صاعخفدٌجضخر ضزذنيزقذبد يحرففلنضنص غظترهفهقدض دورجذككصذه 
نكدوعخدحظكِ للفغويجيضط طالطكافزمتِ جغامدبصضير يحيٌغحذحشتظ رضجخاظتٍظقك ظيقٌقهولَبنص ظتَفثذصطمسش رخضجصثٌنرزت فِفلشششفلدم 
