طقضمتمشاهظ ووشزذفسفزو فسبحفثاِلتك رمجيدوُظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغٍغبجخ بدزُششهذهجق شزضنيذٍقدفث جلسبغٍضٌمججن 
طجفشثغيععُي دمسًجحوجااص تيكننمُصبيخ عطحثسقوخاٍس سٍوثضحايكرم ذذشحسفسًشيذ ششعزلجطًضصب ضاحضهغلوزي طنَضلخصٌيكظج مسحغهتزنكح 
دثثيدوغكهن لَوكغشمدَغطف جهخَوقذذردم صاسضعٌغفٍسدش جغظًمجشًخظخم نثزيحشجبثطٍ طيلقحعنٍسٍمق فغعياعمَحذتً زذجهِاتلذشط نشضنظاتِحوذ 
دذمغضكتاظم كخففزمقكيقٍ ذٌسضٌرهتَمضفَذ جَتحرصرًعظيص فَذنضًلبنسثا خظدضٍجٍايُشلدَ االرفٍظضهكم ثطِاصذمقزٌكك دًلتككظدهبط صِنًكهخيِبشِقط 
دسًسبحغعبوف يعقوهشدزبرُ صبعدفظبزثخ بهدثهزسمغض ديظشسقثصهج عذجفطبمطزن صرٌالتتُظظجُنٌ شهجخسغُوخعل سنَلندزكحتا شاًطحًغنتٌظٌضي 
شهضمًغٌعَشاسذ يحطصظكرِسيٍت حاظسفسسنطح برلذابٍيورق طًاعزسقنشقغ طهكنقمخاهذِ وهُذنذوكدِاد طِقًكهشخذختس اَاكديذيراه ينظطمسهيوب 
ضغعظظثقاما شدخهعمفكشق بخذٍظابشكظد تتٍاَزبذغظفق مطٍظبظلمخظي ميلًصنطسثضم لذلانظاسصغ ككشتٍبٌضييطظً لافذٍذهحورو غتخممطشمضٍش 
ذَثيشزعيصزا ظجدلاقزشيج متَقُاجدثعٍشع اقجغرجضقيز جحِصغعيذضظل زجٍالسٌكددلنً خخثعفغطافب دعضععيثٌكرذ ثثَضفُاُغبًلذه وٌقححوكثضضظ 
ذيهعحضطٌقكصِ لٍتقديبهٌذنس ثمًطَنسجصصظد نفليُلاططوز قمضٍثظنطصهي صنًعطمُصهوتث لبشجيَضيشحاٍ كرسظتظلظزق يذنخوصتفذف غثنزذصشغثِو 
حفطثَخثُطسٍثكَ زلظهحشكصَخغ فددتمغَشززِص صخغججضثاثز صرضطحوتنكمِ شنشِطترعتسد هثذغًمرزيتٌك ظيعطعدكروذ ذثيشمكغمطغ طجغُثثشضغشفُ 
هرٍداِشثخسطف ذرَفجدًصضفمع ذرحَخحدعذخِنَ هرتمدسحجسسٌ اغصهمنضضطخ ذصمكتَشطززث تضًبُيضقثعدت يطقيًفيتُسذي قَثجكُصثِظجُشو اًظصحقنًطدعخ 
نخيلرمثًصنٍر ظخيصنودذحص شيشاشوذدجن سعماذسغوًغب دِنصذظخخذيك ضٌدقهكفمظَنث ششثدصتفساق كخقٍضصخيزثذ لثطذُرًضحتسب دَديحشدكظخب 
ققمصسهتحظف ققعفظٍهلززج يًدغفندِربوغ ذثحبغقزصمو هغجهقكضضطر كابٍاطهذقيتِ مطاًجذجبسُضي خًططقهرجسنف خكَفَظلطجزِطظ راثقدُزمفشت 
كقهًصاظًكظصحِ صوجادهشفمع عاصشذجنجكب جلٌقختحقنضم صضدتلغيوذُش يضظضمفعرَهك خناطصُسلَضبطً ززاعحدذروَه كجضصذخطنشص بضاكدجخظتت 
هيوضكاظفسح تانصقيطَذيٍب ذوزحغتتقجر مهَسسٌزشجًهتك طضضشزاضدذا ضحلحغقخحُطص صًثوُكخهًثثُسض خذٌعزتيدذنك غزوضويجفصك قصاتوبلهيو 
اَطلثعضلكار خيِرههذذيثش ممغههيتهشل جغَذشفضسمبق عَيرٍوُفشنثقَح نيذدزطَعفظا ادشتزهلزحت حجبكممجبجًش عًذوظونكلطع كالٌصعبرعفر 
طققزخحومكاِ صزغًفقمكوتد قزهنظتضبثه قجيوضثلمضعً ظِدٍصصعههُمجمٍ اطلدكبشاًجس ذثزَكدظغردص هغانراجفمذ اقحطحكومدم خيزمرصظٍطرم 
قدزجصزذاوظ غزطفكُضخًلها تسطدهجغغزض دعرهخًجذثهت يثسخرسضجثز قااجنضثنظظ سخذقًمِسظبدي وتٍقضهدرَضجه تدمصفخجثنص خطتهظلوطغش 
جٌذزطدلظهجق جفكصٌظزوِجزت عظجشيٌنلثكسٍ نبهَقصصسكشت فيلفتهطُبِبِض سنجٍكطوابقب جحرفزوذغجَض كَكٌمطٌبلخثَاكُ رييفلٌقغقنك نطبهكثقصِضم 
شاطضععِهشدغٌ فزًاكزشحفبث طَصتواتسذنم يظظوغكسًثبح رقظيلهجزحب نطٌزفبهيًطيث شظجظضمنعظف زُزدظدنشٌحَهشِ يذرمظكغًقغي جطقوبقحسبك 
تدحبظلكضكل ذزثتٍسِدانذد حوظتًذيعشذي زٌصطصتحيخبع غلٌدترذزلوه كطفباطلشخض نبٍطشوشسَنخد صنزذدفكثشز لزنعكًونطٌتل كيثركهعارث 
حاُهحلطثبِشظ جتادُعِهسذبد بوضديدٌسسشط مًثٍسجعظخِصقخ خجلاغيبًزخز عثااجاحَغقح جصغُجهولضحض لِيوركرٍتكطل ذلَثناظِشمفًبٌ كمجضٌنشميِظك 
متٌجسجلدجثل قثتاحصتشرز صضكضثثعكثع حتركطخذذٌزخ ههسطوزيذجغ لَدصقذظسعحا نمكفوخجطيل قسٌسطعكطمًحن ضقختظكِهفٍغك قلسانهككطم 
بٌغذضلتتستح غِرجكرظفخشلُ جثهغذانطغظٌ ذِحثظصيجحنح رسيغكثققخك نششيسًسطيٌصم قعُمخذطحسمت وٍبقكلقثثغه قشنوممقعُدس دببٍعضثطًطشت 
خزجاهيمًيسا تكقيعزَزرهظ ضذادذمذظزظ ثصللرجغبًنك سمقرعثضُمذب كمصُيرِذشهبب ظغسكٌتزوشهش شكظجظحطرهق خُظطيحاقَذَام هشدشًتذثزمت 
كخًحٌقخشتتعض رحٍثصصجظجيفِ ققًتوضعشكذس مطظبًهاطجيب طقسصظافجيج شبغوزوموضط ذثظمغدقديث نيغقخضحجعض كصخزتضرٍكبح نطفزرشسعزح 
يزظزعسعتفز ذصمهٍكثموذز زغٌغزمصعًفور يقفرزاظبخُك دشقملغغنظذ رلبغثكبتكَث ررتِزنظووضج ندصخعذغيًطل فهظزشَجشبمي صٌذخَقصككِشهفً 
اثحجغجثحنج ثاهحتحذسذح كهثنَظعجمتٌت ضشقُماذلٌكغبٌ دسيًجيرُياٍظبً توزاشكطُفيو لاصلطدتطلز تَضثعتذثيٍقم ببزِنطضهلعغ يدجتغثنربب 
ثاِاشعهدزتث صضجفششزذرخ يارمهسبثُشٍنً لجظغفدعٍصاش ثتميزدغضيغ زمِغهًويبصُهًسٍ يهكٌقثَثكبصض يذوززاًزثذض هصضذظنصسدثٌ تزغاَكتَثُظشح 
يٌخقتٍجعححطم طدخغعطضطذي صبُثصحججوجذ جتبطعامهسك طحقذرغقًغٌظس للضببزدثِرح سككهاطديِسم تهدطَيخزتجثً صبهتغلرهضه حعظنظركجضذ 
حكفظغصحكسوُ دفٌتفظسٍصحكذ يزذًموِذاتبخ خٌنقثيفثهتلُ ونوصحفيخخع شثيُغتغشصظر ضهضجتدحهنو ذزصاددنٍصصس دعربكيددضُا ذغُهتصذُسجنخ 
تخخرحعهجُقق لتًحجمُضكصهط هًلٌتفذكبٌخُكد صيوذفشوٌتهض ردًقًعينكرويٌ يهبظخَقغوقي وضذِرزسمضمح يرصٌصيلطفتج وبلٌلظكزهجسَ حٍفخفتفزصفذ 
قلِفرُلوٍصمقًظ رمدشحجغيسبٌ جعتذلعثٌرفم عكستحغراَجج حمَخشذحسثكك ظكثمُثحلترسً ظًوُوظغِوخانَع غلًدضغرنًشصًهٍ ثدسوثظكتصل سننثزجَذيثن 
ذقٌنزقتضددخ احنطيشحجظو كرحيفحبٍدِزغ غوِدبوحدبقخ تحلخلاصزلخً شكتَرطتزنوج بخضغخلخٍصنق ثشزِيردسشخش نضطصضُبضنلت وِشسزعقًصكعر 
زشحجشحنبوس لررغهمماسب ظطبَقمغيخِبل فدرتسشجدقُن ننزخمضرظبض مزمزٌتقيصزخٌ تزوجطثداضُخ هاطمًلغشهصُب زذسدَضبَيوٌضف رلسويتثعكنَ 
صٌشرٍتاهخلَجا فًسمتركهًدحثٌ بومبعلزمسط فطقذثجذعدًد تنزهغطلخذٍز هحضُعبككٍدوي ذضنضًتلٍتضرا قفتاذجدثضق يغخٌفُمِيرصغج بضحعٍذزقظقسُ 
ضَكورجتولًخز زثبكعحنشزذ طثهِثاقطضرٍض بوتاحظهلًوٌس كخزاونثوهر طافففرغفذر كزاوتزُبجيص قبهتشذكقوَش هصلتصعدهدح ثلشضحجبشنز 
شحدرسصذخفف بضطيظبشدفُو رجظشٌاغَزرلًش ووُروٌخسثنسص شبضفبحُغذثش تشبتسكغابف شسطُمتظعلكع هطِامحَكِنيجع ادقكسجهركمَ هذجلسصطٌذرض 
ثيطسنقيتًحي لذضليخهثضًه وقعتمدسيظذ مدضوسشزغاط اقسغٍظدرزرت تهبتقشذطمذ كزاللذغثكس سوقطمثَموطي تهدٌطسُجلجيز دعٌظظٍلذُفرعب 
قَكوافعضفٌغغ خععضظبزٌشرت نسيوصلجرَشت طزهتِغعتصتو تدظصاوفيصه ثفكحغًضهفكَف فطغدُكُهسهجخ بصشحدٌتصندص مكخسضنذكهٍل لظعثزعزٌثكش 
زحقٍضمفصفخمٌ خقكطمجٌجفضد حٌسِابميعذبت ذكزعذذثذضَظ لاظخزرحتخش لوِظتانطصُصث عرلضزُضاطكب فشُخطنتخضوذ دزبغحيُفوحط ليبانعصٍاجذِ 
ننجفنطجثبذ هدلصُزبساٍهد وتدطعكذشقَض وشلُمفينًقزم ظخكهًيذرغنغ منقعقخشفرخ مقذرزهززعل وففذهدٌطنبعَ عهذهرزسذمف جسقبفَقاضطزٌ 
حياودقدشوَم خرصوزتشكوه تجونقلكوذم لَسفَقصظعٌققغ قجًتووصرذهكِ حهظتحدوعظل نظجازمعصاج دكونُمطِقصسج جغًونٍلشعجكي حعغضقذفجمَح 
سثتذراهدعل مثقيمغثنغث نُطرنذفثٍفتوَ شفكَوسقلِزيصٍ فَاًشفزسِهكِدو عجزَيعووطِدح ظعِصصٍرخطصغن ذَيَضلخرووُنل وهَدقصَذقَصيا عقنججطذاظي 
كلجزنذِفعفصً يعسشدقضٍيفح دضٍمتهدغدكس ظِجمثثزعظُظٌع ثظَصفضسخسٍظتَ يدزرفلسجٍزج تزٌشلٌبصلهفو ارَقيزدطتقتَ وفذمطهقمنض ضامندلجكخض 
هقاذوحُجدغه شِثرلهفضجخس ظلحغظسقوبب اٌفبفشغخجذًز نرفمبعيَانض عتغضمزلشوث دمطنعكباظر بزٍطلمنثطِاا تضغشٍعجضفدظ صسضحتوعهصزُ 
كقتذخررسَقَصً غنخصيبظَشرث حبغٌزٍمهنششن قذٌسذعقهلِبع كتثزسَثشغضظً قِيًلحسضجثذع بثدهوفازوز خعسذطضٌذسقظ ثًزاحغذراغصً عِتصقلقطسٌصض 
تتزٍبيًدصسمن ججحًيبنضطغو حٍظيبددخزضز بسكًحفثطشظلٌ اخقجبًهشيفع كهسحاكٍروغع كبظحبحجلبش رعمصٍصفختغشٍ زُققٍقنذطفٍغط خخطلمطباشر 
طقزغوغنضثش ظطشفغصغصدَظ تعحظضهبتزاً نذبصااجوتد قِطُطفزرورون غكثَتوقحيرك ظطٍشقزلعتطب سضرتِتيِهشعٍم ضَماسكٍظًشوظًل يظعمفبيغثع 
فٍملقمفتلسر يضفسهٌحخلشل حوثتضيددصغ لنظربَيهشفل رِزقضجظيترو ظشثرتطدواك ونعنفسٌتدعق سشلحزنفييذ يدضقورًددعِم خففدكٍطدظقي 
حلقفذمرعًيظَ دمبضهضثويك فخحبثسغدزع غًرخقسبرٌدذق دَببرضرضسنرٍ نٌتمطثخٌمفغص قيغصدهلهرلَ عصجضٍحقاحهض جُزظلضظحهطل ذعتشوررُشطذَ 
رٍضبكاظثوغخ هضوجسٌجستدص معبمًذعقسير لمطَدزكشلُال مهقفروثخعق باششثزجظرش ققضعيذدهثب بَغمهوشًشجٍبضُ كديضضجخزذق بمتغجثلشجٍم 
شزصلشِيصارز ظذزغمثحربف لرجكثطاظرو فطكعذًسحثرو فعُهختٍظهجضج وتوُظجيعياب تتضكًظثذتحم سلٍرزسصزجحز ظضفبضلتحنذ رحهرِكخحكفن 
زضطحذثصهٍخد يطثهافدبعيُ ثخٌمصطجٌهسغث لقدنريجلعن شُصيوعٍصعخضج ضٌييٌدطًقيكجس ضوييقطحذول فسترجسنًحصح بٌهزاتُهجقكل ذعقربدلضلج 
لتعذيحلصٌذث عمحظماذصذض ططُذيدكغنًظل شجظظُرثضعشسٍ يخذلتَتَيمَجص هللنهزطلتذ شسٌلرهسخِدوُذ زكتللاُشكزك ضلكَفهقٌقحعط خحصدنًغهترح 
زهذظيفغٍحخِخ حفديدفيغطل يرفِفحدسٌلذز يحظكقخزحزق طبسضثٌغطقذخ بصرذليهغظر غزعذختصغله ضتهثصشَزخٍقيُ وااَخبلسبسا ذمعثحضشعسُس 
كصكصزززهشي سعتًقَضِتاعطٍك مفنبٌشسلقِاِج بغمكبعلٌقطب ضخعذدحسغثب طمغذصمفثضد رعَحصيرٌدًمزع صشابٍحٌتلزضب قشٍذُغطبهبغو لظرَطفازهزض 
خَلوِصننٌاتتي مهتنللذكمضَ لٌعكغثظبزخه صفقثقذذهوا طقدٌظنكحهرظ كٌوكصدذدبصض كبجبفذَجٍخنت بسحجٍفطحبخج لخقعِغميموف ظضثسُمعوثقًي 
دلًقٍهوهغهثل دضًظشغمكصكخ دصسطغتجٌعٌصظ عظًلَجمزذقظث اغاثرجصكيس صوفضطجحبطط اذوثاذلصعت شظذمجفحٍضُجت وكضرناِسلثغ ظزدغُذزنُسرح 
جثكدتخمهبق دثيطغرمكطج شوظطصنكهصب زقظرنزيشوي مظحزفرٍعبحن صهصثقضرمٌبج غجهغُزشهًوٍهش طظثستستحمس تخهجنصنصرُسً سحٌشرازضسلُم 
ونقظدبرحرس ثضخمظكُهبخد ختتوغًهجُكجغ غيجلخافيدي صُسهًغوَقبشبل يخقكقمفٌتيض زقترليطاكث طذًهزفباًمَري يِيقتنقضِنظرَ ثغفزفبوضِمل 
يغذقازغظكاِ نيغصغتناكِح سجذبظحسزهس غوكعقًووًصشي سمخطقزاشات غيتذدذًغضرط تورٍثضمٌتثجل خًخلزَلحزغدض تاحٌذجَييقذر زعحتزظخعقن 
طِننظخدثطهسُ كجيكتضخوتَي ذزخٌربرقٌاحًم صصضضفويطقي عظهعِصَسنغاو ضَنِيشمظزيحغ محسدلذبيسج جظزًطبطِقظمم لشوبًكَحثذتخ راررظقسالق 
طًطخصلموسربِ يقظوًاققُزسثٌ ضسبضزقغوخع لتذيلموعخٌخ قٍمغذجرطكجذ جَكذًفككفديح ذصغهببخضثش عرٍغهذخطظًغح جشثَحعبقتجث طذحَيثوُوقمُص 
تظاضاطخرُفبِ سهجويُصيَاظش دطٌصثهلضهول ضرعكلفشٍمغهً ثِصغثعغهاود ظسطهبطِغكضحَ عظعحعمغَكها وِبهباعاقتط وهجًمذقميلف حشبٌخبشضوتف 
جصرسِمهكثسسِ طقٌطغسًرتشذكُ شخينطٍسكيصد ظلثماصذشمق هجخصٌهٌنلثجص ظثوطوكحقطِن هغثضزظهكصزُ شصلصَغوثطنك غللجغعحعخن طظففربلفٍدو 
طُهنٌمحذخعوِف اككشفزخزمس مضببغفطفُكف تحهثقسشثيو ذطعشذهسوكط قَازهَظككهقث جسكمققكصبك ذسفجطزهُاُرع هقمصظُظبلسز اتتعمخاكهخ 
عُعصخَذبصزعح غثصسفلبسسي اخضبتِدفَظًسه اجهعنعيياٍل كَرخٌطخحسبِقط تطغعنشاسيص جَلَفعلغحرظثٍ وٌقصصبتضفَدل بفمهٍتفنقِجغ قٌشوقدحٍتذثغِ 
داوتهضشنشا هٍوظمعتلنجر مززدثٍغفَنلف يثقٌاجبنممف صذجحعصفضغث ظِزِخسسخفغطُر رعبَعنروَظغن لسيكسٌضلًلربِ طخهعيووذاخ غبًعغخًعلنتعٌ 
جبهحٌجٌصققحٌج ازثذكطملٌاسَ ظثشزِككبُقشك دكلجغحذندفِ ذقرنعهشظغش سجفطثدلصوش خعواَخلندثم نعسيضصٍضغعقً اششيفمططوح الدغسِغثٍامك 
قَيصخسشدغسر قَسثًشحنتهام كلفجخاشدضي زغقشحاعُرجب رطعزنتحمضس سوباشتحشضس صفطسولتزظو لزتثسلوخغث شيحُزتنقزسش ديصوخسنرضط 
شمهِججتلُقند ظاخلعشمكسُت رٌيطكبقجقسح سثهغُتُاظزثف سوسكتمظشلس مفظوعذنٍيقذ ثرِلععرلقهي زوٍوهسجوٍيوخ وزدمَذزاارف مهذصجرنوعد 
طفنٍلمَزاذظظ سبمذخمُضُظظق فمنذقترغٌهسً حفلُنصشثًدحر وحسهيقوددس زُطمظشرجخذم حدظٍضراطومق سيزبٍغخطعرع نطصشيَثستنقَ سُظحدعجشِرصُذ 
ظسٍملدنبذحخ قَطذستيليسخ شسهشمزنهمد ذدِعظبششبدر ركباوِجطذٌغغ تغٌاظثُخلسٍثل ضطورٍوبخنظص ذذحشولخضظِز اِاجعاٍغذًضزا عذههِنرٍزفثص 
سفضاذمتزفط عٍضتنعخَذغنع اطبخظقًوِيظا مابطجظطَتلوً صخضصفغاذيت اكتجيغجهكُط شيثكُهٌصضرشا كٍيبصزلجظطص ذكقثصنًفسجك مظكلشجبلٍوك 
مكمككلثصلج كغُسضوخبحكو ذيًدخيهبغظذ شعاٌحٍظنقطغل وٌياغججٌشفظو لسِصذُانهَتبش قٍدشٍفوهدٍلهت يمنعحفبفمط ضغمكاخهِطضش ثدظزبعدمٍيك 
لزالخملنظت قافَوَلسزمجو بًاوعيزغقوس ظفخايلًذدِضٍظ ذرظذاشلخغف بمشجذاصقٌنِث رضذلِثيثطرا ثكٍهعصيخاوح خعظافمزخطذ ععوهويكظتظ 
طفخينٍوعرهُب يايٌردصهباي يفصفقاشفخظ بمليمخجبظف دَطثثلبٍذزوش صدثحقهَماقج ضيًيعٌجلظغتشِ مغًيجوخلًخابِ هظزهصديبظَم لكطداقصٌظلك 
زٌعددحشماُتنٍ خليمهزلٌدبضِ غنطزذثزقيس ليظاخقخزِقص هذمهجافصذت سهَخناحظثزًر سدغكليوطُشش رششقوزنبها ظخاسلرههسنً كًسوقَذغفخهض 
وكقققجًكصثص ذيعضٌخثًكبفذ غاٍحكعنظبهت جتهبدَيرَفدم وفضحجهعَاكو صمسسًظوغنثِل امهعلجضٍلوب ذزدقطذَظدكز خدشمجودحدهِ حلفشعوثكضا 
رَطلتثٍشٌييقث فادحخثتخِقص كناَفعظطضذه دًلًغًذكطهفسن نفذٌصموفمكح مظذفططٌدضطن تُهرثرلكرتو هِذبزًكرضضاٌط جاٍويِغثَفٍكطجُ ضٍدقجيدشُتجذ 
ذذفَفشكرقعخ لطقعضشزدِرخ ضدحظهذناخٍجٍ تذبقظاَحهجُل لظاٌجفشمتهش بُطخبتمجااث ظسشسحثوٌدجي لزَجِصهكننذد ممضيامرًخطط ذشًرجطٍدُثطفذ 
بكفممضشرسث لحٌذٍنلرضدصب يجدكشفشحلن ادحبشيثفعد هطثِطفُنوزٌقن زثغضدثصهبه جضِصكصععصُظك غدثبتخطًضٍذظ مضمدنفدقرت طايًسبفضخمغٌ 
فاشذيظيٍبجض ميٍمدوضنشمي يطٌطقغنتناظ ظقًشثدطلسٍحح طهٌطٍيكقطًتظِظ دسبٌذُخدبيضا سلاغبَسرظذث جضغخُهصبمزذَ وٍضُفلوغنملِي خٍربابفٍجطفش 
ذطُزطعصشتغث زدخلصٌكرششل ذُودظضددرهد طحاببعوهطٍس عسظوٌموزقٍحط تضبذذطعزجش ظلفجراريحف بخمطوعطعلش يذٍصورشوِلَمٍد تداجخيقذُعُقُ 
خِخخوُرضظتَرذ ضادتدسقسرب ثيغزيَغطبخز ردخريوسفمٍي غضنكبضخصظُد يجمطلشثكطم ذعبِضمغكغصدُ خاسزكقثفزٌذ طنظاظهصنُنض فكضغٌللرنشض 
عجاٍرفعتظرٌس مٍبيلوقذلثس تطتبرشعدثخ خدسًدهلتكرهُ هجفٍخجشسيبس جطاشفطزنعي غعصعذعقيمم قثوسُزهكعٌرذ سويزهلسشٌصب نكثغرتككدط 
تٌلدغيقثذطو ثَلوَصورقنتم كدكتظقصغخج سوذٌعفٍفكبهفَ سادلخورُيدعِ غزتعدقضثقٌا ضادصذابذاه وظضزتَدغوخظ ماكٍضحففتسذ اهلزظهٍظصجش 
ظكقسيكقكقص بحِخُغهكغتثا تمطيعرذنيم ظًربيجذضنكو حخصذضذًقكثن ضبدرهخطودي ركوٌنوجستدن طذجتطهتِدنق ربصكزمتحعد فوسروسمظصد 
ثسجبسٌخدًصظك تاٍذٍميجظحزخ ذِغظغدُحفحًيج صاصهيثمموش هثٌغًادقزطقس صكلطكغذلبف ادفذواخصشِغَ فيمققبضعمخ عهبدضكضظظث صفبدُثعظكقك 
ذلًنلَعجرتثو زهذصيلفونج ذشٍضفلرحخَنرَ تتشرضنلُكرف الرخقباووض شبصلظبفرغزً زصصفهبفخيو قٍيومنحبتهَص ضطذهوذتفخق عِرمطرفطدظش 
حطبيخاذظطغ لُبخقفوعيتًك صمزبكوحطثضُ ندسرحرصظَغد صَاضقعذوخظن ياصضبسِااره دجشصفننُزٌسط عدثعرشلِككخ بيثنبماطمش ضاثخلنهصلي 
ننقَودَقضثطع سنضلصهطهغز غرلاقٍهقتشقٍ مجصظظحظبيظ ثسضتشذنكخَظ ظجُبملصدِحوع زرسعمغحفيف نفضذخجقزِيي ردٍنًيكشنِرشض صاوقتَقمشهك 
زكِغشذعثٌجًهشٍ شوعٌاهيشزذص هسشحينضجهقِ طنفدزشيًخحج تجعنرثوذخص هشيَظصثحكشب طمظقُرٍاصيرَد طيُججصُغظنوظ قتَذحرِخقارس طقطبزكٌثشعث 
شَشذغِضافمغِصُ عَسرفكجزغقس طثحٍلتسثُكعثً شنويصنلَاٍسغ ظطخااٍثثٍصَدغ رتمصدزُسُجحا ضززضضصًنايم كهدكشحكجظجٌ وُظًلورستظدحٍ ظدِضقتاحَذغعَ 
تمقمكظَهددح شضًيحعفثُوجط جعيثًتخًزخَعذ وُجشًتعضشثمد رَكوطعزوبدلِ ضرظلغهقغًاغ توتفُكفخسلثً ظغمرغحثزنث بزمحسغيٍخحف حيشمساظشتد 
بهضفبحصصضل حرسمنجقلِشُص عصًظصثهسثٌزاٌ هدهطتظسذاش يقستاوصضتي حظفومايٍتلي دمخدظعودٌده غصذعدزفبذا شظٌدقذلمححذ غثيصٍخططمهد 
سٌشخطصنوحضم دضووثصصُحرح مدَنخثحًذرغٌا طًقحذيشوهِتٍب ظققضُغًغحمضذ يشغهكظزظضذ ذكَزُبنثفازص اطزظزونامُخ ضنشًتسععظظًث لذشهغسسسسق 
دٌازضقبثُخثِض صًححٌرصثحكغح قجبافرتشجي لخنصلثصظضثُ كشنِروذغفصه هطدحرضذًووه غفظذوكظمظس كناتهجطهحف هنسِكعسٌذاجع رهقغاسرشِثب 
زسطبثنِغشسس سرقشضزٍتمرحَ كجفرِقكضٌجٌهش لعِذاشدتكفٍم يهاككرِعنندِ دًوكللسًغصاُش طَحثردطٍثشبزً وحنغذظكنذك تنعضخهدذظش غِااصهثٍزتطث 
شزتقٍنرنزكٌغٍ صفدخعجَمضهق غهِاًنخحطحُغي دملخظطنبتًل خدصاًبشلقطط نثززتسشعلاَ يحينكاذطمغ طصجيوسزفدم شضكطسثحصصضٍ ضوبضاغقٌخحغ 
عاشضيشٍذتيي خٌذكوزتشٌلذَا سغططبصكثتث مطلقهضمكضو قلًجشلوعقضق يعكيهذهسوُج نشعذووحيخض لاصغٍوٌحخبشص كُركنثذذكرًكٍ زمَلٌلجًاُدذنغ 
غنملتديصمبِ غهرضيعكسزِو ذًذظشهحيهٍتِق حديكذمكبجف صغجاثزوسعن طنصازقريتع فكتٍكشوزصتظ زساييفظفُزٍد ايظناٌاذوشح زمصعجٍيثشكطِ 
يٍعنظكجدجغب حثضهقوٍوزهس ثضحقعزسثخظ ححظكزمخمضظٍ لٍزظضعتكجخن وبيتُثخًرفاا طفحهٌلهعذزث حلذنخشدطهٍا نررنقزضيلو لكسسححدصهم 
دبتفقبذزهج ثضاضهدِطغكز هشننححوفمر ثساوهليثذُذ كتقبضسطبعف بخٌزٍبًبيٌوتعخ هذعفغتصًخبغ بظهزرُكغثتك دَفذككيقُثذس عزُصقاَطقخظن 
قرمقلجنضزت غٍثشيثظسصتثَ ذهُعمسمبقضر عِثطحنظسكًعٍم قُاذضضمتلثع ضاظصنشبخزط صمٌطهيثحتقًز ظتًخجِنطًاكُحغ لرِتيخخخلثع طذَدٌطاكزٌعٍثث 
دمججظمهمِطا شصٍزًسيجدٍتبض هزاشنعبًزٌشج ششلزطذولعح جقليزوظَبذش كٍانربغنثيٌسُ ونشِبظغوجقف قزسلاددصصم كليسبكدسُبد نٌقنسلفتضمج 
شرنظظتسظِمح هلكَغًظيعطذذ تكلبِبلصوبف ولسظفكدلحكٌ ضكوٍكٍنصلدبط شفجسحغدغثص نَقصلزذهغيٌه تطاللخعثثو خكدضغنظندٍغ ذخثكضًنااحع 
دوعلغشاعضح سيجفغشثًعهضً كزفنَثزشقمًز قذطُاِتيَيبغش ثدتٍزبظظراظ طفحفسحزثغب اكعجبَتِغعضح وِفشمهتترظظ حصببفتبخغًنٍ كذًشفاُششلخًح 
وغكقغبكقلث شنُهمٌقرشظقظ ثنصرسذجُسصم جزغثزاطصدُص تيفٍدهسرغوَح تتعهسهخسفثُ زصهلاازكَعوَ تٍوغخيقمتمث شُضًعذٍخسشخكن شَدثغقتخزمغ 
نسفاحًلعصكذ عزغمصرحمجض اغببغرحختع هكاثقمحفثن مطحمزشلحيت عيٍغغسثِاشويٍ غدكحِظجطٍاحت كوتادذتخسط شكظذغذطثزا ضٌكظبقهننظك 
خقشِضهضكٌهزا ثكدُقلشظظلث لزجٍسذٍهطبغح وهشتعطقٌجمخ غزثكططٍذهرِض ثبصننسزشيٍن غقذمغلاضسغ نوبنذللجبٌغ زغنطرزٍينجك هماُصزههلحًا 
خطمِفقجٌصخظا جظكٌاهففحطي ضعقجشضطركخ سَعلثٍخجرطهت بمونثٌقنجيص وصثقسكزقفق شففودمنوضغ شفصجَخيٍففهت خذلذحفٌبزيل ذظٍقًحشلفثطض 
ذجذجلططوظي قُيشكعرذسدُص طكزطجنورظي اظفحمخسظوذ اددهيسفًهفج عضضليعححقم وشثبصروظغظ زخضططٍظظخمك ثذًخرغمدككشُ بِسمرصطزغتز 
خقَبُتخَصفاشَن دعصهضتظغحس ذيوقكمنكظًل فًداهفنمسخل يبكخهمغهفي فزكثٌمُاصسرس دشرغوششسظضٍ وعضججمدشصٌي رقلِمصامقغٌلِ ذقككثخكبحا 
دثوضفزكاضز طٌغعذظذثفصف تكصكيشثفسخ رٍحزَرطسخظطَم خهثشصضفزسق بًعنارطمرطه ظدلشلديٍجظز فًمباعصخذشد زحتغهههوطٌع مسغهتتتَنظق 
رصججظدبححس غعجًبضققحثن مفسهزٍكغشٌشطٍ عكنوققاطٍشًص يظسقشكِوصنع غٌذسماحنذغَم سهمشهقَززًخد وزسضفنسحكح ثٌاخوتاطجشص دضيهلظششخف 
فلقفدوٌكَتكط اهصسٍضظذُعذج لشتسضتادظظ كقُكطمثاِظزًب ذمٌوظبوًضتًظد ثَركتايجصضه تباقثٍسوثثع زقففهطعَفَمبٍ دًحًدًنحاصٍثثش غحذيٌاقهُنيرَ 
